Hybridization REF	TCGA-AA-A00A-01A-01R-A002-07
CELSR3	0.0458333333333333
ZNF568	-1.757
ITSN1	-0.550416666666667
EHBP1L1	0.290666666666667
C19orf2	-0.063
DCTN1	-0.65475
LIN28B	-3.716
TNKS2	0.293
C1QBP	0.467375
CADPS2	1.302
SRMS	1.3125
GJA9	0.385833333333333
MGC24975	-0.0116666666666667
TRIM45	-2.8775
TSP50	-0.3555
TCP1	-0.70725
TMED7	0.309
CMA1	0.167
CENPL	-0.857333333333333
PTCRA	0.2205
FST	-4.7385
VWCE	-4.10825
PAWR	0.615
ABCC12	0.165666666666667
LDLR	-0.0472
ASTN2	-0.3671
LOC441212	-0.34275
GPATCH8	-0.38825
TANC2	-2.37808333333333
KIF4A	-1.52225
C18orf18	0.88875
PGM1	-0.95175
KIAA0258	0.7155
CPD	1.032875
SNCAIP	-1.94325
DCT	-4.25933333333333
HLA-DOA	2.62381818181818
OR11L1	0.8925
UPK1B	-0.385333333333333
DNAJB4	-1.437375
UGT1A8	1.0945
HIST1H4L	-0.58
PECR	-0.261333333333333
HSPA2	-0.07025
WFIKKN1	-2.5785
SERP1	0.224875
SYDE2	0.46
TACR2	0.9615
NUP85	-0.553
CD177	0.1025
LGR5	1.50766666666667
PIGG	-0.02325
PTHR1	-2.76233333333333
RAB5A	0.043
FLJ13224	0.0575
USP9Y	-1.2615
C7orf53	-0.318
LRP1B	-1.59325
XAF1	2.9572
ABCG8	0.173
ANKDD1A	-0.169
DAND5	-0.967
SPAG6	0.147166666666667
LINCR	3.06925
ZDHHC22	-1.58825
CCDC60	0.193
THOC7	-0.975
TCTA	0.5501
OR8K3	0.464
NY-REN-7	-0.57225
B2M	2.25566666666667
C6orf141	-0.28775
LPPR4	1.4185
SQLE	-1.2755
SEPHS1	-0.667
BTBD14B	0.5155
PLRG1	-0.01275
SPG7	-0.09625
ZNF614	-0.7365
PARD6G	-0.185666666666667
INPP5B	-0.9395
GRPEL2	0.106875
PPID	0.3849
TRIM56	0.046
UBE2J1	0.18375
IL20RA	5.4415
LOC387856	-0.07775
C1orf107	1.06666666666667
UTS2R	1.05225
C19orf22	0.20225
SAFB2	0.224875
KIAA0652	-0.376
KLRG1	-1.88333333333333
MS4A8B	4.85383333333333
FRAG1	0.7725
KIAA1546	-0.3405
E2F4	-0.5792
CLEC4M	0.236833333333333
BTBD14A	0.0245
KIAA0999	0.3004
GYPA	-3.714
TAC1	0.7605
TRAIP	-0.809833333333333
KIAA0232	0.2601
ERCC8	-0.755875
GPX4	0.19075
KIAA0368	-0.14925
GPR157	0.508833333333333
CTAGE4	0.9
C9orf30	-1.20216666666667
OR52A1	0.352
HSP90B3P	0.23
ALG9	-0.2905
BTBD10	0.86425
SDK2	0.091
BAIAP3	0.4
RABGGTB	-1.0645
ANKRD40	-0.282333333333333
KRT74	0.0895
CALCOCO2	0.405714285714286
SNCA	-3.762
TMSL8	-5.04525
C2orf53	-0.3065
ESRRB	-0.36275
ARHGAP26	2.51225
TDRD9	-2.74525
HRAS	-0.0515
KLRC4	-2.0535
JAGN1	-0.0581666666666667
BSDC1	-0.00425
RNF43	1.3467
NDUFAF1	0.42275
PHF12	0.237
OR1L3	0.27075
FOLR2	1.36541666666667
LYZL6	0.246166666666667
tcag7.1260	-1.418
WSB1	-1.022
PROS1	-1.888
OSTN	0.7475
PSMB8	2.0915
SOCS4	-0.09925
DDIT4L	-1.23175
MAS1	0.048
MGC34796	1.3265
CSHL1	0.1665
TBCCD1	-0.205333333333333
ZBTB7C	0.29
AP2S1	-0.1545
P15RS	-0.1999
VAT1	-0.7307
SHANK3	0.453833333333333
TUFM	0.337666666666667
THEG	0.06425
KRT34	-1.69475
SGSM3	-0.27725
TOMM22	0.656875
SOCS3	1.1155
CPO	0.372
POP4	0.24675
BHLHB3	-1.25675
MALL	2.87825
OR1B1	0.4145
PARK2	-0.0423333333333334
GPR124	2.485
LCE1E	0.246
RUVBL2	-0.19325
CGRRF1	-0.2224
ACPL2	0.561
WNT10B	-0.893
BAIAP2L2	2.452125
ISCA1	0.03
C1orf125	0.82925
RPAP1	-0.644
RAI16	0.270333333333333
RPL27	-0.20875
NLRP9	0.043
EPN1	0.2165
LOC388610	0.190375
SLC35A1	1.0737
GAL	-4.1445
SLC14A2	0.53925
RDH11	-0.706166666666666
FAM138F	0.5745
AUH	1.04175
FLJ40243	0.2315
C14orf129	2.71766666666667
MBD2	-0.196333333333333
ABHD14B	1.039125
PIGT	-0.068625
ALS2CR4	-1.406
ALAS1	1.0123
FOXO1	1.3225
CRLF3	0.098375
C20orf107	-0.1495
FARS2	0.37575
CCDC28A	0.26825
NPHP3	-0.6465
OR13F1	0.4255
TSEN54	0.35375
DEFB106B	-0.0227
OR8B4	0.7875
STH	-1.47325
ZC3H14	-0.31025
CBX2	-0.838
TMEM49	-1.0525
C6orf21	0.6095
FLJ20920	1.018125
CRTAP	-0.1905
DDX50	-0.1525
STYXL1	-0.26625
BLVRB	-0.18
LOC147650	-1.95533333333333
MMP24	0.48125
GRID1	0.859666666666667
BANF1	-0.213666666666667
CTAGEP	0.40975
HMBS	-1.00125
SLC25A24	-0.0541666666666667
C14orf50	0.03025
MRO	-0.0633333333333333
SLC25A15	0.00725000000000001
FAM84B	0.6168
TDP1	-0.205
C16orf78	0.0115
C11orf57	0.1775
RFK	0.343875
ZFYVE9	0.24325
STCH	-1.2506
WIBG	0.49625
LOC283871	-0.47
GBA2	-0.031
NDUFB3	0.0725
HSD17B13	-0.01475
GRIN3A	2.39033333333333
FMNL1	-1.397
SEPT7	-0.8462
GNLY	5.831
GRAMD1C	0.646833333333333
ZNF165	1.354
USP38	1.04375
FAM83A	-3.40583333333333
C14orf24	1.23875
ARMCX3	-2.04175
ARHGDIB	-1.61766666666667
AK1	-0.024625
KIAA1045	0.398
DNAJB13	-0.711333333333333
NEU2	0.309
HIST1H4B	0.315833333333333
FAM20B	-0.8909
HES2	3.10092857142857
FAM73B	-0.3025
LOC388381	-0.13875
INTS7	-0.137454545454545
AMPH	-0.43475
ZNF775	-0.02575
UCKL1	0.09
C10orf97	0.44
C1orf161	1.0425
ALDH1L1	-1.01975
FLJ39378	-0.09425
SLC23A1	-1.215
RBM4B	0.1575
THAP4	0.898833333333333
OGFRL1	-0.7855
KIAA0831	0.25075
PPP1R15A	-0.673833333333333
C1orf96	-0.615142857142857
C12orf11	-0.8975
BMF	-0.198625
MAN1A1	-0.9615
KIAA1600	-0.0165
NLGN4X	-1.4875
ALOX12	-1.18133333333333
RB1CC1	-0.4767
NEIL2	0.7279
EIF4E	0.288454545454545
ABHD5	-0.13275
EXOC4	-0.178833333333333
CIP29	0.0313333333333333
BATF2	4.507
SLC29A4	-1.15375
HTR4	1.405
EMB	-2.088
TRAF6	1.45625
LMNB1	1.67825
FAM19A5	-0.28975
SHE	0.843
PIK3C2B	2.132
C15orf15	-0.3998
USP15	0.1584
TCEAL2	-1.308
C5orf39	-1.02566666666667
PTGER2	-1.57
SLC31A1	-0.6560625
IFT172	2.25675
ADAM29	0.0315
GFOD1	-0.51325
ST7L	0.258
C15orf26	-2.83725
PKN3	-0.662
CNTD1	1.94016666666667
COMMD1	0.14425
NTRK2	0.749083333333333
FOXN3	0.06325
MFGE8	-1.0834
PFKFB2	2.126
TAS2R4	-0.33
ENTHD1	0.513666666666667
PRMT5	-0.524625
MGC16384	-0.504875
LOC442229	-0.07525
TSKU	0.4965
KRTCAP3	4.51975
PDLIM1	1.2537
KCNS2	0.329
RNF126	0.0103333333333333
CEP63	-0.768625
CLIC4	-2.13425
hCG_1990170	-0.38
ACR	2.7441
KLK7	-0.09575
ALOX5AP	2.655
RIPK3	5.133
TAS2R9	0.1355
C19orf18	0.934
BIRC6	0.274642857142857
ZNF16	0.3435
RFT1	-0.6015
SLC8A2	-0.23875
TACC1	1.54175
ITGAD	1.135
SAMHD1	0.96825
SH3PXD2B	1.3321
EPC2	0.70175
C20orf85	0.433375
ATP13A2	0.984166666666667
KRT4	0.280125
CAPNS1	0.23975
MDM2	-0.251416666666667
PCDH20	0.561
KCNK9	0.5715
OR2C1	0.0195
KLHDC3	-1.05633333333333
IPPK	-0.2355
EFHD2	1.158625
GALR3	1.10175
NBEA	-3.25
ABCA6	0.7954
CLDN3	3.283
AKT2	-0.0930714285714286
EGFR	0.8219
RBM16	0.105375
ZDHHC3	1.4891
SLC25A4	0.432166666666667
CYB5B	-0.166333333333333
CPXM1	0.126
NDRG1	-0.665538461538462
FLJ43826	-0.2665
OR5L2	0.392333333333333
FARP2	1.3628
MRPL46	0.181416666666667
LDHAL6B	0.529166666666667
MAPKAPK3	-0.172833333333333
NCAM2	-2.46375
PRKD2	-0.0468333333333333
ZFP36L1	0.9044
CYSLTR1	-1.675
OR4C3	-0.00825000000000002
HIST1H2AJ	1.127
CCNB2	-1.029
ZNF10	-0.97375
TMEM175	0.424
FAM134A	0.368
TIGD4	-0.462
PCNP	-0.84275
MGC39715	0.014
LQK1	-1.1005
CREB1	-0.2391
TMPRSS3	-1.8265
C4orf32	0.5455
LAT	-1.456
KCNA3	0.764
SKIV2L2	-0.53725
ROPN1B	-3.70375
tcag7.23	0.2465
CDT1	-1.197625
ZHX2	0.928875
CD28	-3.55825
ZNF624	0.63675
SEPT2	0.0201666666666666
SOHLH2	-2.75025
MCOLN3	1.32125
UNQ1945	0.915
MASP2	-0.6115
ZNRF3	0.8645
GPATCH3	-0.21375
AGL	-0.674375
QRICH2	-1.0635
PSD4	0.121
CCNB1IP1	-0.4325
ENPP7	0.36675
OBFC1	0.6075
KCNG3	0.55925
C14orf79	-0.0219166666666667
ENPEP	0.7385
SCT	0.201
SKI	0.862875
SEC61G	-1.13525
CAPN11	-0.249
ATXN7L3	-0.23175
DBNDD1	0.272
FAIM	0.63575
ANKRD36	-0.3635
GABRP	-0.426166666666667
TACSTD2	-3.84966666666667
EIF3J	0.0775
PPP2R2A	0.172
TEKT4	-0.7495
PVALB	-3.716
F10	-2.83616666666667
FAM134C	0.5952
COMP	2.0235
EFCBP1	-3.2148125
SCLT1	0.2105
TAL1	-1.097
ACSL1	0.83475
ABCC5	-0.87575
ABL1	-0.3025
RBBP7	-0.438
PTPRG	0.470375
NCOR1	-0.0542
SPINK4	5.04233333333333
TXNRD1	-0.6095
TNRC15	0.535375
C9orf138	-0.08525
UBE2H	0.243
BRDT	-0.126166666666667
C8orf31	-0.1005
CCNE2	-1.20963636363636
SLC6A8	-0.569125
CALCR	-4.864
PPP1CB	0.5245
ABHD8	-1.8905
ARF5	-0.1227
SLC24A4	0.33525
CCT3	-0.3545
ZNF121	-0.04975
SLC3A2	-1.5027
OR13A1	0.6365
SLC5A10	0.55825
RAD50	-0.182375
IER5	0.051625
MTHFD1L	-0.791875
MBTPS2	0.98175
MVK	-0.22075
NCL	0.094
PSMD10	-0.8205
MOBP	0.488125
FLJ32894	-0.07
HRH1	1.77183333333333
C5orf30	0.78025
NUDT16L1	-0.085
RASGRP3	2.77483333333333
PRKRIP1	-0.5015
CCDC75	0.04175
LOC253970	0.15875
KIAA1239	0.418
MED21	-0.443
SYT11	0.112
NTSR2	-0.696
EGFL11	0.0545
CXorf59	-0.2515
OR2A25	-0.176
SPTBN2	-0.26525
LRMP	-1.746
RNF111	0.227
PTH	-0.1055
LOC619208	-0.855166666666667
KIAA0895	-2.139
RANBP5	-0.135125
P2RY10	0.221166666666667
NME5	-1.65816666666667
DDX21	0.2515
LRSAM1	-0.086
HDAC11	0.492
VMO1	2.0515
NOLA2	-0.413833333333333
ADAR	0.214416666666667
MTO1	-0.664333333333333
SF4	0.156333333333333
P2RX1	-0.158166666666667
HBM	0.06
EN2	1.06
C14orf172	0.616
TM9SF2	0.2473
INHBE	-1.07566666666667
TCTE3	-0.0884166666666667
TOX2	-2.56725
CTAGE3	0.307875
HBB	3.2779
MED15	-0.703166666666667
CASR	0.061
C6orf66	-0.0743333333333333
MTPN	-0.8505
UNC50	-0.50825
C21orf33	0.49975
IRF2	1.2125
PGR	-2.7405
GPR84	2.693
CROCCL1	-1.61525
SRPX	-2.95825
BRE	0.343333333333333
FGF10	0.091
SDC3	0.025
ZRSR1	-0.9095
DKFZP434P211	-0.55475
SOX6	-0.0335
RPUSD2	0.5875
C14orf173	0.869666666666666
MAPK11	-0.0298333333333333
TBC1D22A	0.4085
FAM123A	-0.5
COL4A6	-4.304
TOMM70A	0.415
NAB1	0.3945
MGC16385	-1.6405
TSPAN18	-0.910166666666667
MED31	0.00825
PLG	-0.581
CAPSL	0.023
ZNF532	0.0131
ASB14	0.01075
CA8	-4.19275
NUDT16P	2.94816666666667
SLFN11	-1.422
LRRIQ2	-0.2375
NOL7	-0.0181666666666667
BRMS1L	-0.740375
JARID1A	0.067
PANK2	-0.6535
ICAM3	-0.314
MDS1	2.1645
TAF8	-0.20825
RNF139	-0.534
ZNF594	-0.6205
ADAM8	1.680625
SFTPC	0.03475
MAN2B2	0.313125
RGS12	0.92875
EIF1AY	0.55625
LRRIQ1	-2.26783333333333
GPR150	1.209
CCDC21	-1.21566666666667
PRRG3	0.2155
SAA4	-3.359
RAPGEF5	1.918375
ZCCHC2	0.854333333333333
MGC39372	-0.00800000000000001
PPP4R2	0.237666666666667
CDCA2	-0.826333333333333
OR4D5	0.5385
PTGFRN	0.4881
SIGLEC5	1.86
C19orf61	-0.7595
NMUR2	0.104
KIAA1586	-3.009
DAGLA	1.74883333333333
CHCHD6	-0.6265
GPR32	0.8155
NEUROD6	0.451166666666667
SLC2A4RG	-1.0140625
CA5B	-0.94525
FBXL3	0.7255
MPHOSPH9	-1.0655
HMG2L1	0.1815
HCN4	0.461
CEACAM19	0.83175
SH2D4B	0.269166666666667
HFE2	-0.432
TGM4	0.0638333333333333
LYPD2	-0.2505
TBC1D15	0.28
MRPS21	-2.0732
NONO	-0.7344
CLEC5A	2.067375
ITCH	-0.4536
MGAT3	-1.53283333333333
MBP	0.234625
RPP25	1.893
SOSTDC1	-2.155
HRC	-1.9465
TRIM48	0.23
TMEM133	0.3065
ECEL1P2	-0.712
HOXC11	-1.7515
DOK5	-1.33575
HELZ	-0.274166666666667
LOC348180	-0.4275
MGC33894	0.5775
ADRB3	0.5175
DMD	-0.380416666666667
PTRH2	0.023
MPEG1	3.206
NDUFA12	-0.0841666666666667
KRTAP2-4	0.1095
STAMBPL1	0.682166666666667
ADCY2	-0.929333333333333
UNQ6125	-0.1725
KLHL20	-0.1885
SRM	-1.1915
OTC	0.7335
TMIE	-0.724833333333333
SNX8	0.0685
LIPK	0.0945
CHURC1	0.453416666666667
KLC2	0.307166666666667
HDAC1	0.686833333333333
FAM128A	0.976833333333333
FNDC3B	0.8224
MTCP1	-0.738
WFDC10B	1.1786
PCDHGB3	0.158
ATRNL1	-2.908
CAV2	-1.530375
MED26	-0.0385
DUS1L	0.92725
CHRM3	0.239625
NEK9	0.08575
WARS2	0.80675
TBX22	-0.228
TOMM40	-0.42
RP6-213H19.1	-0.118166666666667
TUBGCP5	-0.4025
IGSF6	5.386
TPPP	1.2525
UNQ6190	0.5775
GSTM5	0.01725
BTD	-0.393666666666667
PDCD1LG2	0.0971666666666667
SNRPB2	-0.428
ERICH1	0.307125
APOA4	-1.594
HOXA11	0.0775
NARG1	0.0065
MKX	-1.053
RAB28	-0.417214285714286
PKP3	2.39425
SH3GL2	-1.91525
CTSO	2.084
RPN2	0.223875
IL28RA	1.24866666666667
SFMBT1	1.4515
WDR57	-0.67175
FER1L3	-0.210166666666667
HSF5	0.0511666666666667
TTC9B	2.98275
C4BPA	1.85283333333333
ALB	-4.08921428571429
SORBS3	0.941875
UPF2	0.469
JPH1	1.543
AGBL2	-0.071
DOPEY1	1.4715
TERF1	-0.24625
KIF22	-0.945666666666667
NINJ1	-0.8765
SEC61A2	-1.1205
HIST1H1D	-0.205166666666667
SFXN4	0.916125
UCP3	0.4621
ZNF703	1.58
MYL6B	-1.0415
TREM1	2.6625
OR52E6	0.378
CKMT2	6.32325
HLA-C	3.02725
SLC13A3	-3.06483333333333
TIMP4	-1.576
SLIT2	-1.1625
RSF1	-0.160944444444444
LONRF1	-0.4935
MON1A	0.481333333333333
CACNG6	-1.6525
DPPA4	-4.81433333333333
ZSWIM3	0.2535
ZNF804A	0.0606666666666667
CCIN	0.5925
SLC25A31	-0.3815
KCNMB4	-1.862
RABL5	-0.466375
GALNS	0.4926
STX6	0.065625
HIST1H1C	-2.96883333333333
CIDEB	1.189625
CASP4	-0.366166666666667
PDK3	0.1041
KCNJ11	-0.1
TPR	-0.540625
ZSCAN20	-0.516
MTX2	0.2365
HIST1H2BH	-0.6455
LOC283767	1.91025
LYRM7	-0.817111111111111
BRD3	0.190833333333333
HIST1H2BO	-0.94325
MAGEB10	0.7335
SLC45A1	-0.37825
SERPINA3	-2.51565
KIAA0143	0.5235
KCNJ16	-0.0483333333333333
KRT79	-0.26625
FABP2	0.7155
NUT	-0.46125
ZNF57	1.235
FBXL4	-0.433
CLEC9A	-0.1625
UGT8	3.5055
BMP2K	0.87125
MAPK4	-3.70325
SLC25A23	0.4792
HINT1	0.3624
KRTAP13-1	0.266
SFXN5	-0.8757
CHCHD2	-0.0401666666666666
FAM3D	4.505
NDP	-3.968375
RHOBTB1	1.01516666666667
SLC4A4	-0.9145
RPL38	0.10675
HTF9C	-0.536833333333333
AP2A2	0.170125
ZBTB46	-0.872
MAP7D1	-0.45325
AOX1	-2.4675
CYR61	-0.456583333333333
DTNA	-1.64021428571429
JRKL	1.27
TMOD3	-0.00525
EEA1	0.5218
ADCK5	0.88825
IL1R1	0.387
KLK3	0.736214285714286
HRSP12	-0.36175
KTN1	0.37525
LOH11CR2A	0.8278
RELL2	-0.73425
MAB21L1	0.017
C20orf59	-0.338166666666667
PHKB	-0.044
ADAM2	-1.95783333333333
TBC1D8B	0.9095
FAM13A1	-0.0444375
LAPTM4B	-0.921
LCN8	0.3035
TMEM147	0.135
SYT4	0.411833333333333
XPO7	-0.623
C9orf62	1.62825
GPR75	-0.011
TRIM5	0.657625
APOC1	-0.478333333333333
RNASE4	1.3415
PARD6B	-2.3175
ARID1A	-0.399833333333333
TPD52L3	0.6468
RRAGB	-0.0215
RCN2	-1.11766666666667
HIST2H2BE	-1.479
STARD7	0.24575
SHMT2	-0.23625
KIAA1751	-0.00416666666666668
MLYCD	1.114875
LOC162632	-0.7226
UQCRH	-0.0035
RP11-217H1.1	0.2573125
SDHA	-0.812666666666667
NCLN	0.275
ZNF17	0.094
RCBTB2	-3.087
VEGFB	-0.027
RP4-747L4.3	-0.2945
COLQ	-0.2874
MPN2	-0.302666666666667
DRG2	-0.46025
KLRB1	5.33725
ALPK2	-1.51125
DNASE2B	0.79725
FLJ23834	-0.284833333333333
AXUD1	0.0831666666666667
SAFB	0.2277
NSUN4	0.51375
RFX2	0.095
MAPK8IP1	-0.269333333333333
FANCD2	-0.767071428571429
ANKZF1	-1.04433333333333
C19orf50	-0.79525
DUSP8	1.1915
SENP5	-0.573625
NFKBIL2	0.5675
LBR	0.948625
IGFL1	0.0265
LZTS2	0.081125
IL2RG	1.588125
CCDC51	1.2165
KLF3	1.412375
ANKRD37	-0.682
KCTD14	3.0975
FZR1	0.163166666666667
SLC44A4	4.14
ESPL1	-0.711125
GMPR2	-1.018
TBC1D19	-1.9775
ERGIC1	0.72862962962963
ERBB4	-1.8073
TSPAN32	-0.107916666666667
MAP4	-0.25775
GPHN	0.72675
SLC6A2	-0.497625
HIVEP1	-0.06175
DFFB	1.0832
EIF4EBP2	0.5935
DMRT1	-0.59875
HSPB6	0.46325
IER2	0.692
AIFM1	0.4395
WWC2	-1.48675
MRPL4	0.25325
FLJ21062	0.516
EPB41L4A	0.111583333333333
SH2D6	0.232
TAF4B	-0.39075
GAL3ST3	-0.1725
MALT1	-0.119666666666667
RTDR1	-1.0795
ARVCF	-0.144125
MEX3B	-1.137
FBXO16	-3.308
KIF7	-2.55775
C1QC	4.43233333333333
ZNF783	-0.0896666666666667
ZNF85	-1.1545
MMP13	0.764
KIAA0329	0.266125
RTP3	-0.5655
ZBED3	0.102
CLGN	-3.174
SLC25A37	-0.79775
hCG_18290	0.14125
OR5AS1	-0.14
SMARCC2	-0.368666666666667
FAM109A	0.717
CCDC12	0.19225
USF2	0.0546
DEPDC7	0.9185
C20orf24	-0.328333333333333
JMJD3	0.5125
DSP	1.178
SLIC1	0.24525
FAM20A	0.28175
IRF2BP2	0.923
ZNF230	-0.236
MSN	-1.36485714285714
SLC9A5	-1.5375
EPDR1	0.1964
MUSK	0.234666666666667
ZNF434	-0.907166666666667
SMARCD1	-0.128666666666667
ZFP106	-0.29
ZNF347	-0.4616
GTF2E1	-0.05275
