Hybridization REF	TCGA-AA-A02E-01A-01R-A00A-07
KRT15	-0.6665
C10orf99	3.706
SCN11A	0.292625
GFI1	-2.324
RDHE2	2.81966666666667
FHL1	-1.263
OSGEP	-0.281
GATA1	-4.45833333333333
SMC6	-0.527
TTTY14	1.26475
LPIN3	0.43
RPL4	-1.3596
RBPMS	0.1991
PRPF3	-0.702333333333333
EMR1	-1.957
SPATA19	-0.28425
XCR1	-0.195
IRX3	-2.5129
RBM6	-0.1255
KLF4	-0.4193
UNC5CL	2.91975
SEBOX	-0.085
BTK	-1.89325
KRCC1	1.69425
C6orf27	0.151
SYTL5	-0.789
PRND	1.285125
LOC653319	-0.3965
PIGL	-0.562875
HUS1	0.400666666666667
SFRS6	-0.837
C17orf77	0.216
UIMC1	-0.0606666666666667
FXYD2	-1.6474
LOC283152	0.885
ZNF667	-0.9265
ZCCHC12	-0.447
TFEC	0.7258
ATP7B	2.28683333333333
POLD2	-1.4865
RG9MTD1	0.257
ACOT2	-0.964
HIST1H4I	-0.433875
PPARGC1A	0.5286
ETFA	-1.1537
POLRMT	0.21625
ZNF146	0.06725
MIA2	-0.7815
KLHL6	-1.70833333333333
HOXB5	1.711625
NENF	-0.0286666666666667
CUGBP1	-0.10625
PRSS22	1.83466666666667
CASC4	0.6256
CUL4B	0.3761
CENPJ	-0.2883
PITX1	0.0533333333333333
FLJ31033	0.241333333333333
CELSR3	0.309166666666667
ZNF568	-0.0595
ITSN1	-0.363916666666667
EHBP1L1	0.0258333333333333
C19orf2	-0.00949999999999999
DCTN1	-1.04875
LIN28B	-3.7292
TNKS2	0.66925
C1QBP	-0.739875
CADPS2	1.42075
SRMS	0.0495
GJA9	0.475666666666667
MGC24975	-0.831833333333333
TRIM45	-2.31483333333333
TSP50	0.2545
TCP1	-0.43975
TMED7	0.5266
CMA1	0.9325
CENPL	-1.00766666666667
PTCRA	-0.5195
FST	-5.58825
VWCE	-4.0235
PAWR	0.6865
ABCC12	0.342166666666667
LDLR	0.2735
ASTN2	0.1125
LOC441212	0.09225
GPATCH8	-0.1375
TANC2	-1.56908333333333
KIF4A	-1.13275
C18orf18	-0.48475
PGM1	-0.62025
KIAA0258	1.3985
CPD	0.282125
SNCAIP	-0.043
DCT	-5.10133333333333
HLA-DOA	0.793
OR11L1	-0.134
UPK1B	-0.2106
DNAJB4	-1.370375
UGT1A8	2.09825
HIST1H4L	-0.3655
PECR	-2.0825
HSPA2	0.77575
WFIKKN1	-3.26
SERP1	0.238
SYDE2	0.36175
TACR2	0.389
NUP85	-0.43225
CD177	-0.149166666666667
LGR5	0.643666666666667
PIGG	-0.36375
PTHR1	-2.23983333333333
RAB5A	0.1707
FLJ13224	0.0235
USP9Y	-0.296333333333333
C7orf53	0.18
LRP1B	-0.27375
XAF1	2.2445
ABCG8	-0.6945
ANKDD1A	-0.0588333333333333
DAND5	-2.108
SPAG6	-0.0386666666666667
LINCR	1.55325
ZDHHC22	-1.256375
CCDC60	-0.109
THOC7	-0.3805
TCTA	0.5074
OR8K3	-0.0905
NY-REN-7	0.199
B2M	0.843833333333333
C6orf141	-0.623375
LPPR4	2.62425
SQLE	1.07675
SEPHS1	-0.56225
BTBD14B	0.0652857142857143
PLRG1	-0.52425
SPG7	-0.4129375
ZNF614	-1.03066666666667
PARD6G	-0.0766666666666667
INPP5B	-0.6655
GRPEL2	0.3155
PPID	-0.4577
TRIM56	-0.33875
UBE2J1	0.115375
IL20RA	5.73175
LOC387856	0.2655
C1orf107	0.393833333333333
UTS2R	0.0625
C19orf22	0.58125
SAFB2	-0.124625
KIAA0652	-0.128125
KLRG1	-0.701166666666667
MS4A8B	1.32916666666667
FRAG1	0.67925
KIAA1546	-0.574
E2F4	-0.0456
CLEC4M	-0.1015
BTBD14A	-0.75225
KIAA0999	0.8419
GYPA	-2.8036
TAC1	0.7552
TRAIP	-0.427166666666667
KIAA0232	-0.0892
ERCC8	-0.886625
GPX4	0.154875
KIAA0368	0.406
GPR157	0.504
CTAGE4	0.2305
C9orf30	-1.026
OR52A1	1.116
HSP90B3P	-0.029
ALG9	-0.794
BTBD10	0.86175
SDK2	-0.4785
BAIAP3	-2.32775
RABGGTB	-0.508625
ANKRD40	-0.543666666666667
KRT74	0.2345
CALCOCO2	0.398928571428571
SNCA	-4.44
TMSL8	-2.791
C2orf53	-0.1845
ESRRB	-0.176
ARHGAP26	2.779
TDRD9	-2.734
HRAS	-0.3205
KLRC4	-1.5645
JAGN1	0.138666666666667
BSDC1	0.54875
RNF43	1.6215
NDUFAF1	-0.4415
PHF12	0.2425
OR1L3	0.24725
FOLR2	0.625916666666667
LYZL6	-0.00783333333333334
tcag7.1260	-0.691
WSB1	-0.746833333333333
PROS1	0.1232
OSTN	-0.01
PSMB8	1.55575
SOCS4	-0.29225
DDIT4L	0.682
MAS1	-0.044
MGC34796	0.87875
CSHL1	-0.205
TBCCD1	-0.162333333333333
ZBTB7C	-0.521
AP2S1	-0.41575
P15RS	-0.9357
VAT1	-1.0994
SHANK3	0.1235
TUFM	0.0155
THEG	-0.36
KRT34	-0.70775
SGSM3	-0.025125
TOMM22	0.75925
SOCS3	0.0748333333333333
CPO	0.3485
POP4	0.35225
BHLHB3	0.5755
MALL	3.1065
OR1B1	0.1475
PARK2	0.0933333333333333
GPR124	1.172375
LCE1E	-0.3205
RUVBL2	-1.13025
CGRRF1	-0.8166
ACPL2	0.45375
WNT10B	-1.842
BAIAP2L2	1.835375
ISCA1	0.37
C1orf125	4.0265
RPAP1	-1.20725
RAI16	-0.632666666666667
RPL27	-0.100125
NLRP9	0.4305
EPN1	0.031
LOC388610	-1.821875
SLC35A1	0.8257
GAL	-3.43975
SLC14A2	0.0005
RDH11	-0.468666666666667
FAM138F	-0.777
AUH	0.7225
FLJ40243	0.024
C14orf129	0.8265
MBD2	-1.10166666666667
ABHD14B	0.64275
PIGT	0.384625
ALS2CR4	-1.200625
ALAS1	0.3817
FOXO1	1.378
CRLF3	-0.180375
C20orf107	-0.734
FARS2	0.0095
CCDC28A	0.9535
NPHP3	-0.7925
OR13F1	-0.0585
TSEN54	-0.07325
DEFB106B	-0.0477
OR8B4	0.1405
STH	-0.28925
ZC3H14	-0.624125
CBX2	-0.712
TMEM49	-0.69725
C6orf21	-0.3255
FLJ20920	0.00812499999999999
CRTAP	-0.285714285714286
DDX50	-0.0635
STYXL1	0.5865
BLVRB	-0.87
LOC147650	-1.12583333333333
MMP24	0.5755
GRID1	1.51616666666667
BANF1	-0.168333333333333
CTAGEP	-0.05325
HMBS	-0.86675
SLC25A24	-0.1655
C14orf50	2.5385
MRO	-0.148333333333333
SLC25A15	0.827
FAM84B	0.8805
TDP1	-0.8115
C16orf78	0.109833333333333
C11orf57	-0.103125
RFK	1.356125
ZFYVE9	0.370625
STCH	-1.1657
WIBG	0.53275
LOC283871	-0.164666666666667
GBA2	-0.669
NDUFB3	0.60625
HSD17B13	-0.16075
GRIN3A	0.192833333333333
FMNL1	-2.33666666666667
SEPT7	-0.4223
GNLY	1.2855
GRAMD1C	0.833
ZNF165	0.483
USP38	0.1905
FAM83A	-3.419
C14orf24	0.663416666666667
ARMCX3	0.641
ARHGDIB	-0.933666666666667
AK1	0.239
KIAA1045	0.22875
DNAJB13	-0.304333333333333
NEU2	0.404
HIST1H4B	0.132833333333333
FAM20B	-1.2655
HES2	1.78778571428571
FAM73B	-0.4227
LOC388381	-0.11675
INTS7	-0.622
AMPH	0.551
ZNF775	-0.393625
UCKL1	0.243333333333333
C10orf97	0.20075
C1orf161	0.6695
ALDH1L1	-0.88675
FLJ39378	-0.941875
SLC23A1	-0.917
RBM4B	-0.13575
THAP4	-0.00216666666666667
OGFRL1	-1.25325
KIAA0831	-0.384
PPP1R15A	-1.2615
C1orf96	-0.200928571428571
C12orf11	-0.556
BMF	0.40375
MAN1A1	-0.587
KIAA1600	0.198833333333333
NLGN4X	-0.4945
ALOX12	-0.324
RB1CC1	0.2756
NEIL2	0.036
EIF4E	-0.0975714285714286
ABHD5	-0.5925
EXOC4	0.385333333333333
CIP29	0.2035
BATF2	3.50975
SLC29A4	-1.018625
HTR4	1.03025
EMB	0.0395
TRAF6	0.7255
LMNB1	1.91875
FAM19A5	0.06
SHE	0.49
PIK3C2B	2.229
C15orf15	-0.5915
USP15	-0.1915
TCEAL2	0.1755
C5orf39	-1.34166666666667
PTGER2	-0.85225
SLC31A1	-0.4796875
IFT172	1.53525
ADAM29	-0.15375
GFOD1	0.72675
ST7L	0.53
C15orf26	-2.026
PKN3	-2.501
CNTD1	1.03
COMMD1	-0.805
NTRK2	0.9445
FOXN3	0.137625
MFGE8	-0.2285
PFKFB2	1.93466666666667
TAS2R4	0.1655
ENTHD1	0.0205
PRMT5	-1.698625
MGC16384	-0.647125
LOC442229	-0.60425
TSKU	0.6295
KRTCAP3	4.045375
PDLIM1	1.3681
KCNS2	0.06175
RNF126	0.308833333333333
CEP63	-0.302125
CLIC4	-0.609125
hCG_1990170	0.41225
ACR	1.6816
KLK7	1.318
ALOX5AP	2.752125
RIPK3	4.29925
TAS2R9	0.5725
C19orf18	0.201
BIRC6	-0.0349285714285714
ZNF16	0.5615
RFT1	-0.245
SLC8A2	-1.02725
TACC1	0.386125
ITGAD	0.18175
SAMHD1	1.35325
SH3PXD2B	1.1289
EPC2	0.92025
C20orf85	0.7075
ATP13A2	-0.07
KRT4	0.4305
CAPNS1	-0.06225
MDM2	-0.0741666666666667
PCDH20	4.2025
KCNK9	0.112
OR2C1	-0.476
KLHDC3	-0.767666666666667
IPPK	-0.1275
EFHD2	1.124
GALR3	0.028
NBEA	-1.95516666666667
ABCA6	0.8576
CLDN3	2.63783333333333
AKT2	0.261571428571429
EGFR	0.2325
RBM16	0.464
ZDHHC3	1.2904
SLC25A4	-0.902666666666667
CYB5B	0.989666666666667
CPXM1	-0.7355
NDRG1	-0.286461538461538
FLJ43826	0.18725
OR5L2	0.0865
FARP2	0.8812
MRPL46	-0.740083333333333
LDHAL6B	-0.0321666666666667
MAPKAPK3	0.0391666666666667
NCAM2	-0.81125
PRKD2	-0.339166666666667
ZFP36L1	0.6009
CYSLTR1	-1.38625
OR4C3	0.09775
HIST1H2AJ	1.1855
CCNB2	-1.72388888888889
ZNF10	-0.594375
TMEM175	-0.1785
FAM134A	0.242666666666667
TIGD4	-0.2495
PCNP	-0.455
MGC39715	0.35475
LQK1	0.0285
CREB1	-0.0657
TMPRSS3	-0.92675
C4orf32	-1.449125
LAT	-2.37033333333333
KCNA3	-0.1765
SKIV2L2	-0.371
ROPN1B	-4.118
tcag7.23	-0.526
CDT1	-1.54525
ZHX2	-0.00462500000000001
CD28	-4.09325
ZNF624	0.35125
SEPT2	-0.209
SOHLH2	-1.100875
MCOLN3	-0.482
UNQ1945	0.1005
MASP2	-0.8805
ZNRF3	1.4269
GPATCH3	-0.49025
AGL	-0.14975
QRICH2	-0.4715
PSD4	-0.221166666666667
CCNB1IP1	-0.323
ENPP7	-0.0575
OBFC1	0.0695
KCNG3	-0.9
C14orf79	-0.781166666666667
ENPEP	1.13016666666667
SCT	1.4355
SKI	0.59825
SEC61G	-0.36225
CAPN11	0.145
ATXN7L3	-0.507
DBNDD1	-0.413
FAIM	-0.35625
ANKRD36	-1.0635
GABRP	-0.2696
TACSTD2	0.207833333333333
EIF3J	-0.20875
PPP2R2A	-0.874
TEKT4	0.0933333333333333
PVALB	-3.73483333333333
F10	-2.64783333333333
FAM134C	0.4544
COMP	3.472625
EFCBP1	-2.15413333333333
SCLT1	0.242
TAL1	-1.3204
ACSL1	0.765
ABCC5	-0.15425
ABL1	-0.278222222222222
RBBP7	-0.0313333333333333
PTPRG	0.20625
NCOR1	0.0686
SPINK4	4.2915
TXNRD1	-0.3821
TNRC15	0.513375
C9orf138	-0.010375
UBE2H	0.744833333333333
BRDT	-0.206
C8orf31	-0.13675
CCNE2	-0.483454545454546
SLC6A8	-1.782375
CALCR	-4.034
PPP1CB	0.719333333333333
ABHD8	-1.8475
ARF5	-0.0402
SLC24A4	0.36175
CCT3	-0.457
ZNF121	0.477375
SLC3A2	-1.5148
OR13A1	-0.1935
SLC5A10	-0.36425
RAD50	1.144875
IER5	-0.727
MTHFD1L	-0.17175
MBTPS2	1.035
MVK	0.245
NCL	0.5758
PSMD10	-0.8045
MOBP	-0.210428571428571
FLJ32894	-0.1995
HRH1	1.528
C5orf30	1.11775
NUDT16L1	0.4254
RASGRP3	1.948
PRKRIP1	-0.6851
CCDC75	-0.22725
LOC253970	0.00475
KIAA1239	-0.1745
MED21	-0.21925
SYT11	0.60025
NTSR2	-0.8545
EGFL11	-0.15
CXorf59	-0.1745
OR2A25	-0.3665
SPTBN2	-0.31425
LRMP	-1.892
RNF111	-0.50675
PTH	0.5975
LOC619208	-0.034
KIAA0895	-0.91575
RANBP5	0.654
P2RY10	-0.432833333333333
NME5	0.417
DDX21	-0.10825
LRSAM1	-0.472
HDAC11	0.0841666666666667
VMO1	0.00675000000000001
NOLA2	0.288
ADAR	-0.193833333333333
MTO1	-0.84
SF4	0.271166666666667
P2RX1	-0.424333333333333
HBM	-0.3825
EN2	0.071
C14orf172	0.563
TM9SF2	1.9933
INHBE	-0.438666666666667
TCTE3	0.1405
TOX2	-3.161
CTAGE3	-0.033375
HBB	3.9801
MED15	-0.406333333333333
CASR	-0.1835
C6orf66	0.799333333333333
MTPN	-0.00375
UNC50	-0.42625
C21orf33	0.218
IRF2	1.097
PGR	-2.181
GPR84	0.59125
CROCCL1	-1.43625
SRPX	-2.92425
BRE	0.107333333333333
FGF10	0.7015
SDC3	0.287
ZRSR1	-0.7975
DKFZP434P211	-0.56975
SOX6	0.167
RPUSD2	-0.34625
C14orf173	-0.0120833333333333
MAPK11	-0.649666666666667
TBC1D22A	0.798
FAM123A	-0.517
COL4A6	-3.3925
TOMM70A	0.63125
NAB1	0.4465
MGC16385	-0.950625
TSPAN18	-0.3405
MED31	-0.37575
PLG	-0.3425
CAPSL	-0.1825
ZNF532	0.6006
ASB14	0.2985
CA8	-1.9405
NUDT16P	2.5095
SLFN11	-1.353
LRRIQ2	-0.536125
NOL7	-0.1895
BRMS1L	-1.2485
JARID1A	0.285666666666667
PANK2	0.431
ICAM3	0.05375
MDS1	2.067
TAF8	0.30225
RNF139	-0.00375
ZNF594	-0.708833333333333
ADAM8	1.550375
SFTPC	-0.44475
MAN2B2	0.201125
RGS12	-0.518125
EIF1AY	0.950833333333334
LRRIQ1	-0.6246
GPR150	0.2755
CCDC21	-1.58833333333333
PRRG3	0.2315
SAA4	-3.96025
RAPGEF5	2.01775
ZCCHC2	0.41825
MGC39372	0.3115
PPP4R2	0.211333333333333
CDCA2	-1.71083333333333
OR4D5	0.461
PTGFRN	0.844
SIGLEC5	0.977
C19orf61	-0.771666666666667
NMUR2	-0.277
KIAA1586	-1.49233333333333
DAGLA	2.2065
CHCHD6	0.37625
GPR32	0.7495
NEUROD6	0.327833333333333
SLC2A4RG	-0.717125
CA5B	-0.03175
FBXL3	1.0835
MPHOSPH9	-1.426
HMG2L1	0.21325
HCN4	0.111666666666667
CEACAM19	-0.126
SH2D4B	0.198333333333333
HFE2	-0.243
TGM4	0.5312
LYPD2	-0.00375
TBC1D15	-0.16075
MRPS21	-0.0365
NONO	-0.4665
CLEC5A	0.66025
ITCH	0.8151
MGAT3	1.1095
MBP	0.248625
RPP25	0.0325
SOSTDC1	0.9495
HRC	-1.498
TRIM48	0.089
TMEM133	1.3595
ECEL1P2	-0.712
HOXC11	0.776
DOK5	-0.37775
HELZ	-0.2765
LOC348180	-0.69525
MGC33894	-0.24
ADRB3	-0.3565
DMD	0.0185833333333334
PTRH2	0.05375
MPEG1	1.73933333333333
NDUFA12	0.492833333333333
KRTAP2-4	-0.269
STAMBPL1	0.704666666666667
ADCY2	0.1538
UNQ6125	0.851
KLHL20	-0.170166666666667
SRM	-1.55425
OTC	3.1805
TMIE	-0.5825
SNX8	0.22725
LIPK	0.86
CHURC1	-0.36625
KLC2	-0.296666666666667
HDAC1	0.367166666666667
FAM128A	-0.784
FNDC3B	1.242
MTCP1	-0.0725
WFDC10B	0.6562
PCDHGB3	0.379
ATRNL1	-1.7176
CAV2	-1.3705
MED26	-0.00783333333333333
DUS1L	0.6265
CHRM3	0.01725
NEK9	-0.41475
WARS2	1.07025
TBX22	0.2285
TOMM40	-0.30825
RP6-213H19.1	0.259166666666667
TUBGCP5	-0.9575
IGSF6	3.13525
TPPP	0.641
UNQ6190	-0.123
GSTM5	-0.093625
BTD	-0.329166666666667
PDCD1LG2	-0.351333333333333
SNRPB2	1.14616666666667
ERICH1	0.3055
APOA4	-1.544875
HOXA11	0.88925
NARG1	0.146
MKX	1.3145
RAB28	-0.637785714285714
PKP3	2.5975
SH3GL2	-1.14175
CTSO	1.326
RPN2	1.04775
IL28RA	1.35566666666667
SFMBT1	0.485
WDR57	-0.40875
FER1L3	0.111583333333333
HSF5	0.1052
TTC9B	0.40875
C4BPA	-1.51283333333333
ALB	-4.61085714285714
SORBS3	-0.32925
UPF2	0.874
JPH1	1.298
AGBL2	-0.3265
DOPEY1	2.15
TERF1	0.0440833333333333
KIF22	-1.09466666666667
NINJ1	-1.22425
SEC61A2	-0.616916666666667
HIST1H1D	-1.491
SFXN4	0.579
UCP3	-0.1653
ZNF703	0.213166666666667
MYL6B	-1.1115
TREM1	2.0535
OR52E6	0.4015
CKMT2	6.0055
HLA-C	2.320625
SLC13A3	1.3365
TIMP4	-0.584
SLIT2	1.081
RSF1	-0.271055555555556
LONRF1	-0.824071428571429
MON1A	0.3945
CACNG6	-2.038
DPPA4	-6.58666666666667
ZSWIM3	1.39475
ZNF804A	-0.147333333333333
CCIN	0.885
SLC25A31	-0.09125
KCNMB4	-1.667
RABL5	-0.6
GALNS	-0.5731
STX6	0.44075
HIST1H1C	-3.07183333333333
CIDEB	-0.761625
CASP4	0.594833333333333
PDK3	0.1427
KCNJ11	-0.0805
TPR	-0.74
ZSCAN20	-0.273
MTX2	0.01375
HIST1H2BH	-0.39875
LOC283767	1.3945
LYRM7	0.101
BRD3	0.233166666666667
HIST1H2BO	-0.4655
MAGEB10	0.1005
SLC45A1	-0.638
SERPINA3	-3.7058
KIAA0143	0.63275
KCNJ16	0.103333333333333
KRT79	0.19575
FABP2	0.76375
NUT	0.49375
ZNF57	1.12075
FBXL4	0.139125
CLEC9A	0.02
UGT8	2.1595
BMP2K	0.00324999999999999
MAPK4	-3.603
SLC25A23	-0.4073
HINT1	0.2225
KRTAP13-1	0.215
SFXN5	-0.3122
CHCHD2	0.2125
FAM3D	4.867
NDP	-2.435875
RHOBTB1	0.539166666666667
SLC4A4	-0.786125
RPL38	-0.1445
HTF9C	-0.958333333333333
AP2A2	0.2675
ZBTB46	-0.7155
MAP7D1	-0.337375
AOX1	-2.10933333333333
CYR61	-0.492833333333333
DTNA	-0.826571428571429
JRKL	1.28975
TMOD3	-0.71225
EEA1	1.0662
ADCK5	0.5095
IL1R1	0.748333333333333
KLK3	0.0871428571428571
HRSP12	0.65575
KTN1	-0.242
LOH11CR2A	1.4581
RELL2	1.05025
MAB21L1	0.49925
C20orf59	-0.817166666666667
PHKB	-0.102
ADAM2	-1.53183333333333
TBC1D8B	1.828
FAM13A1	0.5461875
LAPTM4B	-0.373666666666667
LCN8	-0.477
TMEM147	0.3515
SYT4	0.655833333333333
XPO7	-1.172
C9orf62	0.391
GPR75	0.5185
TRIM5	0.80975
APOC1	-1.24616666666667
RNASE4	0.364333333333333
PARD6B	-1.065875
ARID1A	-0.807916666666667
TPD52L3	-0.0914444444444444
RRAGB	0.204166666666667
RCN2	-1.04666666666667
HIST2H2BE	-0.6944375
STARD7	0.08425
SHMT2	-0.58825
KIAA1751	-0.133
MLYCD	1.04975
LOC162632	-0.8846
UQCRH	-0.11225
RP11-217H1.1	0.2430625
SDHA	-1.39983333333333
NCLN	0.9563
ZNF17	-0.658833333333333
RCBTB2	-0.904
VEGFB	-0.2992
RP4-747L4.3	0.254
COLQ	-0.2309
MPN2	-1.14083333333333
DRG2	-1.1385
KLRB1	2.29775
ALPK2	-1.3525
DNASE2B	0.822
FLJ23834	-0.346
AXUD1	-0.453166666666667
SAFB	0.196
NSUN4	-0.39375
RFX2	-0.0288333333333333
MAPK8IP1	-0.2915
FANCD2	-0.589428571428572
ANKZF1	-1.0805
C19orf50	-0.482875
DUSP8	1.86775
SENP5	-0.30375
NFKBIL2	-0.11325
LBR	1.124875
IGFL1	-0.062
LZTS2	-1.00275
IL2RG	1.235
CCDC51	0.558
KLF3	0.978375
ANKRD37	-0.2085
KCTD14	2.843
FZR1	0.459416666666667
SLC44A4	3.6237
ESPL1	-1.104625
GMPR2	-1.2041
TBC1D19	-1.37883333333333
ERGIC1	1.21107407407407
ERBB4	-1.455
TSPAN32	0.2425
MAP4	-0.161
GPHN	-0.72525
SLC6A2	-0.216375
HIVEP1	0.2705
DFFB	0.9131
EIF4EBP2	0.545625
DMRT1	0.19575
HSPB6	-0.2515
IER2	0.471833333333333
AIFM1	0.823
WWC2	-0.54875
MRPL4	0.043
FLJ21062	0.877833333333333
EPB41L4A	-0.0720833333333333
SH2D6	0.17025
TAF4B	-0.9565
GAL3ST3	-0.5865
MALT1	-1.08166666666667
RTDR1	2.70175
ARVCF	0.023875
MEX3B	-0.989333333333333
FBXO16	-0.6435
KIF7	-1.732
C1QC	3.4925
ZNF783	0.0643333333333333
ZNF85	-0.41025
MMP13	1.262
KIAA0329	0.042
RTP3	-0.3915
ZBED3	-0.41825
CLGN	-4.996
SLC25A37	-1.58033333333333
hCG_18290	0.446
OR5AS1	0.578
SMARCC2	-0.215083333333333
FAM109A	1.07366666666667
CCDC12	0.0895
USF2	-0.1636
DEPDC7	1.43975
C20orf24	1.1185
JMJD3	0.279
DSP	0.944357142857143
SLIC1	0.240375
FAM20A	-0.229875
IRF2BP2	0.675
ZNF230	-0.314
