Hybridization REF	TCGA-AA-A029-01A-01R-A00A-07
NCAM2	-1.57125
PRKD2	0.00333333333333333
ZFP36L1	0.7956
CYSLTR1	-1.55175
OR4C3	-0.26
HIST1H2AJ	1.592
CCNB2	-1.08555555555556
ZNF10	-0.303875
TMEM175	-0.2395
FAM134A	-0.140666666666667
TIGD4	-0.255
PCNP	-0.6645
MGC39715	0.28675
LQK1	-1.46725
CREB1	-0.1349
TMPRSS3	-2.2835
C4orf32	0.417875
LAT	-2.646
KCNA3	0.566
SKIV2L2	-0.523
ROPN1B	-3.885
tcag7.23	1.0015
CDT1	-1.975375
ZHX2	0.14125
CD28	-4.12575
ZNF624	0.07775
SEPT2	-0.54175
SOHLH2	-1.058375
MCOLN3	0.35475
UNQ1945	0.538
MASP2	-0.152
ZNRF3	0.7301
GPATCH3	-0.5875
AGL	0.469375
QRICH2	-0.115
PSD4	-0.8985
CCNB1IP1	-0.547
ENPP7	0.03875
OBFC1	0.57025
KCNG3	-1.43975
C14orf79	-0.205083333333333
ENPEP	0.518333333333333
SCT	-0.555
SKI	0.425625
SEC61G	0.47675
CAPN11	-0.05475
ATXN7L3	-0.218
DBNDD1	0.226166666666667
FAIM	0.379
ANKRD36	-1.0055
GABRP	-0.2715
TACSTD2	-2.04116666666667
EIF3J	0.1745
PPP2R2A	1.03
TEKT4	-0.602833333333333
PVALB	-4.33416666666667
F10	-2.8775
FAM134C	0.5695
COMP	0.16325
EFCBP1	-2.9941875
SCLT1	0.44625
TAL1	-1.6848
ACSL1	-0.25925
ABCC5	-0.1635
ABL1	-0.493833333333333
RBBP7	-0.601545454545454
PTPRG	0.115875
NCOR1	0.2489
SPINK4	6.75716666666667
TXNRD1	-0.0176
TNRC15	0.39425
C9orf138	0.286875
UBE2H	1.23666666666667
BRDT	0.0652
C8orf31	-0.03125
CCNE2	-1.26245454545455
SLC6A8	0.445625
CALCR	-3.74875
PPP1CB	0.163166666666667
ABHD8	-2.106
ARF5	0.1563
SLC24A4	-0.07625
CCT3	-0.4785
ZNF121	0.321
SLC3A2	-1.5588
OR13A1	0.4235
SLC5A10	0.4425
RAD50	0.472125
IER5	-0.061375
MTHFD1L	-0.98725
MBTPS2	-0.20325
MVK	0.148375
NCL	0.1187
PSMD10	-0.92475
MOBP	0.2035
FLJ32894	0.3705
HRH1	1.498
C5orf30	0.935
NUDT16L1	0.1347
RASGRP3	1.228
PRKRIP1	-0.5002
CCDC75	-0.03375
LOC253970	0.087
KIAA1239	0.725
MED21	0.53625
SYT11	-0.723333333333333
NTSR2	-0.0695
EGFL11	0.071
CXorf59	0.491
OR2A25	0.37125
SPTBN2	-0.6325
LRMP	-2.20916666666667
RNF111	-0.14
PTH	-0.707
LOC619208	-1.0385
KIAA0895	0.6105
RANBP5	-0.25675
P2RY10	-0.2095
NME5	-1.29733333333333
DDX21	0.348
LRSAM1	-0.4795
HDAC11	0.0695
VMO1	0.784
NOLA2	-0.250666666666667
ADAR	-0.188916666666667
MTO1	-0.447833333333333
SF4	0.138833333333333
P2RX1	-0.133666666666667
HBM	-0.299
EN2	0.898
C14orf172	0.97875
TM9SF2	0.3572
INHBE	-0.489166666666667
TCTE3	-0.191916666666667
TOX2	-2.064
CTAGE3	0.46775
HBB	3.9876
MED15	-0.497166666666667
CASR	0.607
C6orf66	0.216833333333333
MTPN	-0.157125
UNC50	-0.648
C21orf33	-0.2285
IRF2	1.068625
PGR	-2.5445
GPR84	0.35275
CROCCL1	-2.5995
SRPX	-2.4555
BRE	-0.381666666666667
FGF10	0.7195
SDC3	-1.93966666666667
ZRSR1	-1.251
DKFZP434P211	-0.823625
SOX6	-0.2595
RPUSD2	-0.12175
C14orf173	0.916083333333333
MAPK11	-0.571
TBC1D22A	0.988
FAM123A	0.122
COL4A6	-2.789
TOMM70A	0.65525
NAB1	0.11825
MGC16385	-1.65875
TSPAN18	-1.23416666666667
MED31	0.257
PLG	0.159
CAPSL	0.3395
ZNF532	-1.0903
ASB14	-0.127
CA8	-1.93875
NUDT16P	2.16616666666667
SLFN11	-3.0525
LRRIQ2	-0.819375
NOL7	-0.249333333333333
BRMS1L	-0.738875
JARID1A	0.291
PANK2	-0.08475
ICAM3	-0.11775
MDS1	2.1995
TAF8	-0.24775
RNF139	-0.25525
ZNF594	-1.8695
ADAM8	-0.485125
SFTPC	-0.282
MAN2B2	0.615875
RGS12	-0.1756875
EIF1AY	0.894666666666667
LRRIQ1	-0.5534
GPR150	0.4185
CCDC21	-1.07183333333333
PRRG3	0.36225
SAA4	-4.0025
RAPGEF5	2.410125
ZCCHC2	0.486583333333333
MGC39372	0.1815
PPP4R2	0.2105
CDCA2	-0.891833333333333
OR4D5	0.207666666666667
PTGFRN	0.553
SIGLEC5	-0.071
C19orf61	-0.592833333333333
NMUR2	0.44
KIAA1586	-1.59283333333333
DAGLA	0.784833333333333
CHCHD6	-0.07025
GPR32	0.5755
NEUROD6	-0.0323333333333334
SLC2A4RG	-1.7295
CA5B	-1.1315
FBXL3	0.29325
MPHOSPH9	-1.06875
HMG2L1	0.17075
HCN4	0.106833333333333
CEACAM19	-0.00125
SH2D4B	0.0853333333333333
HFE2	-0.431
TGM4	0.00299999999999998
LYPD2	-0.126
TBC1D15	0.45925
MRPS21	-1.6147
NONO	-0.668
CLEC5A	0.664428571428571
ITCH	0.4648
MGAT3	-0.5545
MBP	0.508125
RPP25	0.991
SOSTDC1	-1.54475
HRC	-2.4325
TRIM48	-1.11
TMEM133	0.54175
ECEL1P2	-0.74125
HOXC11	0.1055
DOK5	-2.0755
HELZ	-0.6265
LOC348180	-0.5715
MGC33894	0.417
ADRB3	-0.207
DMD	-0.519583333333333
PTRH2	0.20925
MPEG1	1.684
NDUFA12	0.580333333333333
KRTAP2-4	0.179666666666667
STAMBPL1	-0.081
ADCY2	-1.3135
UNQ6125	0.25
KLHL20	0.0445
SRM	-0.83475
OTC	5.38
TMIE	-0.342166666666667
SNX8	0.17175
LIPK	-0.0815
CHURC1	-0.455083333333333
KLC2	0.256166666666667
HDAC1	0.293833333333333
FAM128A	-0.1865
FNDC3B	0.25
MTCP1	-0.826833333333333
WFDC10B	0.1248
PCDHGB3	0.0935
ATRNL1	-1.3034
CAV2	-2.032375
MED26	0.175333333333333
DUS1L	0.958
CHRM3	-1.53825
NEK9	-0.166
WARS2	1.2405
TBX22	-0.028
TOMM40	-0.03575
RP6-213H19.1	0.208333333333333
TUBGCP5	-0.43675
IGSF6	2.46675
TPPP	0.964833333333333
UNQ6190	-0.0695
GSTM5	0.55875
BTD	-0.228
PDCD1LG2	-0.382166666666667
SNRPB2	-0.057
ERICH1	1.127375
APOA4	-1.23225
HOXA11	0.28875
NARG1	0.412375
MKX	0.36175
RAB28	-0.386071428571429
PKP3	2.59725
SH3GL2	-1.97375
CTSO	0.6915
RPN2	0.8055
IL28RA	1.04766666666667
SFMBT1	-0.158
WDR57	-1.035125
FER1L3	1.35666666666667
HSF5	-0.132833333333333
TTC9B	1.55625
C4BPA	0.512166666666667
ALB	-3.87535714285714
SORBS3	-0.1345
UPF2	0.7585
JPH1	1.484
AGBL2	-1.18475
DOPEY1	1.2415
TERF1	0.00858333333333332
KIF22	-1.63783333333333
NINJ1	-0.991
SEC61A2	-0.805333333333333
HIST1H1D	-0.580833333333333
SFXN4	0.455
UCP3	-0.3904
ZNF703	1.497
MYL6B	-2.442
TREM1	0.98975
OR52E6	0.3775
CKMT2	5.58225
HLA-C	1.87875
SLC13A3	-3.7225
TIMP4	-0.2235
SLIT2	-2.421
RSF1	-0.447166666666667
LONRF1	-0.280571428571429
MON1A	0.357666666666667
CACNG6	-1.54633333333333
DPPA4	-6.129
ZSWIM3	-0.39625
ZNF804A	0.161
CCIN	1.19966666666667
SLC25A31	0.12375
KCNMB4	-1.01125
RABL5	-0.21375
GALNS	-0.4985
STX6	0.135875
HIST1H1C	-4.2915
CIDEB	-0.93875
CASP4	-0.0798333333333333
PDK3	0.2033
KCNJ11	-0.017
TPR	-0.804625
ZSCAN20	0.3625
MTX2	0.065
HIST1H2BH	-0.34675
LOC283767	-0.79775
LYRM7	-0.387888888888889
BRD3	-0.487833333333333
HIST1H2BO	-1.129
MAGEB10	-0.5535
SLC45A1	-0.515
SERPINA3	-3.68595
KIAA0143	0.556
KCNJ16	-0.745833333333333
KRT79	0.24175
FABP2	3.8595
NUT	-0.481
ZNF57	2.0055
FBXL4	0.25625
CLEC9A	-0.694
UGT8	3.519
BMP2K	0.27575
MAPK4	-3.4915
SLC25A23	0.0515
HINT1	0.1646
KRTAP13-1	0.254
SFXN5	-0.393
CHCHD2	0.421916666666667
FAM3D	4.5595
NDP	-3.41125
RHOBTB1	-1.74983333333333
SLC4A4	-0.452625
RPL38	-0.09525
HTF9C	-0.938166666666667
AP2A2	-0.17575
ZBTB46	-0.9275
MAP7D1	-1.131875
AOX1	-1.26716666666667
CYR61	-1.65116666666667
DTNA	-1.19214285714286
JRKL	0.413
TMOD3	0.30825
EEA1	0.9147
ADCK5	0.975
IL1R1	0.391
KLK3	0.577384615384615
HRSP12	0.902
KTN1	0.08175
LOH11CR2A	-0.7121
RELL2	-1.5855
MAB21L1	0.25
C20orf59	-0.0693333333333333
PHKB	-0.33
ADAM2	-0.926166666666667
TBC1D8B	1.8315
FAM13A1	0.449
LAPTM4B	-1.85791666666667
LCN8	-0.087
TMEM147	0.884
SYT4	0.2975
XPO7	-0.176
C9orf62	0.7435
GPR75	0.252
TRIM5	0.265625
APOC1	-3.4175
RNASE4	0.971333333333333
PARD6B	-1.007125
ARID1A	-0.20275
TPD52L3	0.0985555555555556
RRAGB	-0.639
RCN2	-1.44983333333333
HIST2H2BE	-1.0036875
STARD7	-0.131
SHMT2	-0.02925
KIAA1751	0.108833333333333
MLYCD	0.58675
LOC162632	-1.0677
UQCRH	-0.25025
RP11-217H1.1	0.351375
SDHA	0.101
NCLN	1.0576
ZNF17	0.441333333333333
RCBTB2	-3.6535
VEGFB	-2.1191
RP4-747L4.3	0.7045
COLQ	-0.2874
MPN2	-0.352
DRG2	-0.631
KLRB1	2.4745
ALPK2	-3.5535
DNASE2B	0.811
FLJ23834	-0.102333333333333
AXUD1	0.102666666666667
SAFB	-0.00449999999999999
NSUN4	0.00175
RFX2	0.275666666666667
MAPK8IP1	-0.5785
FANCD2	-1.08642857142857
ANKZF1	-1.39283333333333
C19orf50	-0.2475
DUSP8	1.381625
SENP5	-0.102
NFKBIL2	0.56125
LBR	0.236
IGFL1	-0.654
LZTS2	-1.95625
IL2RG	-0.600625
CCDC51	0.9455
KLF3	1.78325
ANKRD37	0.51275
KCTD14	2.00516666666667
FZR1	0.729333333333333
SLC44A4	4.3073
ESPL1	-0.788625
GMPR2	-0.8266
TBC1D19	-0.9725
ERGIC1	0.521333333333333
ERBB4	-0.7975
TSPAN32	-0.0635833333333332
MAP4	-0.076125
GPHN	0.34025
SLC6A2	-0.14375
HIVEP1	0.1575
DFFB	0.7928
EIF4EBP2	0.635
DMRT1	0.14675
HSPB6	0.168
IER2	0.573666666666667
AIFM1	0.20075
WWC2	-2.03333333333333
MRPL4	0.56625
FLJ21062	0.283833333333333
EPB41L4A	-0.455166666666667
SH2D6	0.2425
TAF4B	-0.2725
GAL3ST3	-0.1325
MALT1	0.128166666666667
RTDR1	-0.86625
ARVCF	-0.70975
MEX3B	-2.61916666666667
FBXO16	-0.443
KIF7	-1.24825
C1QC	3.10233333333333
ZNF783	-1.26166666666667
ZNF85	-1.5745
MMP13	0.7825
KIAA0329	0.084625
RTP3	-0.639
ZBED3	-0.363
CLGN	-4.60075
SLC25A37	-0.756875
hCG_18290	0.089
OR5AS1	0.6525
SMARCC2	-0.211916666666667
FAM109A	0.600333333333333
CCDC12	-0.75475
USF2	0.2002
DEPDC7	1.182
C20orf24	0.674
JMJD3	1.0035
DSP	1.1905
SLIC1	-0.431428571428571
FAM20A	-1.409625
IRF2BP2	0.360375
ZNF230	-0.1275
MSN	-2.67
