Hybridization REF	TCGA-AA-A00O-01A-02R-A00A-07
KRT34	-0.62625
SGSM3	-0.212125
TOMM22	0.080625
SOCS3	-0.240666666666667
CPO	-0.59
POP4	0.69075
BHLHB3	1.01425
MALL	2.405
OR1B1	0.31
PARK2	0.3225
GPR124	2.409875
LCE1E	-0.2885
RUVBL2	-0.79925
CGRRF1	-0.082
ACPL2	-0.016
WNT10B	-1.407125
BAIAP2L2	2.705125
ISCA1	0.806
C1orf125	0.207625
RPAP1	-0.787
RAI16	-0.306
RPL27	-0.128
NLRP9	0.111
EPN1	0.0445
LOC388610	-0.754875
SLC35A1	0.443
GAL	-1.977
SLC14A2	-0.30075
RDH11	-1.26133333333333
FAM138F	-0.6365
AUH	0.9975
FLJ40243	-0.258333333333333
C14orf129	0.379333333333333
MBD2	-0.7085
ABHD14B	0.05375
PIGT	1.71625
ALS2CR4	-1.25475
ALAS1	0.3377
FOXO1	1.39066666666667
CRLF3	-0.294875
C20orf107	0.029
FARS2	-1.11975
CCDC28A	0.42225
NPHP3	-0.798
OR13F1	0.4395
TSEN54	0.33025
DEFB106B	-0.315222222222222
OR8B4	0.417
STH	-0.42275
ZC3H14	-0.97575
CBX2	-0.578
TMEM49	-1.30575
C6orf21	-0.3675
FLJ20920	1.4895
CRTAP	-0.125571428571429
DDX50	0.17375
STYXL1	0.17425
BLVRB	-0.736333333333333
LOC147650	0.231666666666667
MMP24	0.5315
GRID1	2.16416666666667
BANF1	-0.6735
CTAGEP	0.20275
HMBS	-1.6885
SLC25A24	0.208833333333333
C14orf50	0.96075
MRO	-0.0971666666666667
SLC25A15	0.2835
FAM84B	0.9202
TDP1	-1.5795
C16orf78	-0.120833333333333
C11orf57	0.44875
RFK	1.265875
ZFYVE9	1.3
STCH	-1.2663
WIBG	-0.234
LOC283871	0.0931666666666667
GBA2	-0.4153
NDUFB3	0.37775
HSD17B13	0.1255
GRIN3A	0.445
FMNL1	-1.93666666666667
SEPT7	-0.2277
GNLY	2.6425
GRAMD1C	2.41866666666667
ZNF165	0.05
USP38	0.8205
FAM83A	-3.58883333333333
C14orf24	0.899666666666667
ARMCX3	-1.013125
ARHGDIB	-1.03783333333333
AK1	0.8235
KIAA1045	0.12875
DNAJB13	-0.6455
NEU2	0.1735
HIST1H4B	-0.891166666666667
FAM20B	-0.7202
HES2	1.12542857142857
FAM73B	-0.4074
LOC388381	-0.21775
INTS7	-0.376545454545455
AMPH	0.923
ZNF775	-0.7905
UCKL1	0.998833333333333
C10orf97	-0.30675
C1orf161	0.9305
ALDH1L1	-0.7925
FLJ39378	-0.621875
SLC23A1	-1.0295
RBM4B	-0.05225
THAP4	0.215833333333333
OGFRL1	-0.884
KIAA0831	-0.036875
PPP1R15A	-0.1485
C1orf96	-0.802285714285714
C12orf11	-1.182
BMF	1.1055
MAN1A1	-0.607571428571429
KIAA1600	0.754166666666667
NLGN4X	-0.62525
ALOX12	-0.913666666666667
RB1CC1	0.434
NEIL2	0.7381
EIF4E	-0.0105238095238095
ABHD5	-1.0835
EXOC4	0.433833333333333
CIP29	-0.0441666666666667
BATF2	3.5285
SLC29A4	-1.486375
HTR4	2.12925
EMB	-2.01075
TRAF6	0.85075
LMNB1	-0.509
FAM19A5	0.506125
SHE	1.9515
PIK3C2B	2.2855
C15orf15	-0.6076
USP15	-0.1759
TCEAL2	-0.421
C5orf39	-0.857833333333333
PTGER2	-0.47
SLC31A1	-0.102625
IFT172	1.3505
ADAM29	-0.62075
GFOD1	0.06875
ST7L	1.07916666666667
C15orf26	-0.69925
PKN3	-1.74325
CNTD1	1.14183333333333
COMMD1	-0.718625
NTRK2	3.92058333333333
FOXN3	1.118625
MFGE8	-0.1297
PFKFB2	2.08366666666667
TAS2R4	0.0897499999999999
ENTHD1	-0.0711666666666667
PRMT5	-2.0015
MGC16384	0.25825
LOC442229	-0.0935
TSKU	-0.482625
KRTCAP3	3.79175
PDLIM1	0.8563
KCNS2	-0.422
RNF126	-0.426833333333333
CEP63	-0.865875
CLIC4	-0.67775
hCG_1990170	1.96525
ACR	1.8311
KLK7	2.26825
ALOX5AP	2.64025
RIPK3	3.44875
TAS2R9	-0.0185
C19orf18	1.704
BIRC6	0.255071428571429
ZNF16	0.3725
RFT1	-0.60225
SLC8A2	-0.69925
TACC1	2.103125
ITGAD	-0.59325
SAMHD1	1.34175
SH3PXD2B	0.5277
EPC2	1.2265
C20orf85	3.294875
ATP13A2	-0.636166666666667
KRT4	2.848
CAPNS1	0.16475
MDM2	-0.38825
PCDH20	0.8125
KCNK9	-0.548
OR2C1	-1.0055
KLHDC3	0.656
IPPK	0.002
EFHD2	1.10725
GALR3	-0.761
NBEA	1.00616666666667
ABCA6	1.5828
CLDN3	1.4395
AKT2	0.812428571428571
EGFR	-1.4182
RBM16	0.52025
ZDHHC3	0.9105
SLC25A4	0.913333333333333
CYB5B	1.55033333333333
CPXM1	-1.50175
NDRG1	-0.600153846153846
FLJ43826	0.1435
OR5L2	0.543833333333333
FARP2	0.9577
MRPL46	-0.44825
LDHAL6B	-0.4962
MAPKAPK3	-0.363666666666667
NCAM2	-1.31725
PRKD2	0.677333333333333
ZFP36L1	0.1256
CYSLTR1	-0.567
OR4C3	0.126
HIST1H2AJ	1.7725
CCNB2	-2.52055555555556
ZNF10	0.256625
TMEM175	-0.4655
FAM134A	0.5
TIGD4	0.462
PCNP	-0.8465
MGC39715	0.1315
LQK1	-2.195
CREB1	0.1503
TMPRSS3	2.63225
C4orf32	-0.938375
LAT	-1.98233333333333
KCNA3	-0.01
SKIV2L2	-1.43975
ROPN1B	-3.22875
tcag7.23	0.691
CDT1	-3.906
ZHX2	0.459
CD28	-3.5885
ZNF624	0.413
SEPT2	-0.00933333333333329
SOHLH2	-0.908625
MCOLN3	0.455285714285714
UNQ1945	-0.661
MASP2	-1.637
ZNRF3	2.2032
GPATCH3	-0.24075
AGL	0.668375
QRICH2	-0.3515
PSD4	0.835
CCNB1IP1	-1.04625
ENPP7	-0.47425
OBFC1	-0.24
KCNG3	-1.9375
C14orf79	-0.211583333333333
ENPEP	1.89883333333333
SCT	0.227
SKI	0.378125
SEC61G	-0.72575
CAPN11	-0.1025
ATXN7L3	-0.32925
DBNDD1	-0.542
FAIM	-0.27775
ANKRD36	-0.157
GABRP	-0.5654
TACSTD2	-0.189
EIF3J	-0.011
PPP2R2A	0.06125
TEKT4	-1.1105
PVALB	-4.44316666666667
F10	0.551333333333333
FAM134C	0.4772
COMP	3.172125
EFCBP1	-2.2096875
SCLT1	-0.163625
TAL1	-0.6821
ACSL1	2.223
ABCC5	0.145416666666667
ABL1	-0.307666666666667
RBBP7	-0.545
PTPRG	1.165375
NCOR1	-0.1099
SPINK4	0.248166666666667
TXNRD1	-1.0117
TNRC15	0.781375
C9orf138	0.65475
UBE2H	0.01
BRDT	-0.2316
C8orf31	-0.1735
CCNE2	-2.31036363636364
SLC6A8	-3.476375
CALCR	-3.66475
PPP1CB	0.65525
ABHD8	-1.23925
ARF5	-0.3046
SLC24A4	0.675
CCT3	-0.2605
ZNF121	0.434125
SLC3A2	-0.999
OR13A1	-0.729
SLC5A10	-0.341
RAD50	0.0681249999999999
IER5	-1.067
MTHFD1L	-1.63825
MBTPS2	1.493
MVK	-0.364125
NCL	-0.0521
PSMD10	-0.717
MOBP	-0.360875
FLJ32894	0.137
HRH1	1.03033333333333
C5orf30	-0.34725
NUDT16L1	0.8279
RASGRP3	3.50716666666667
PRKRIP1	-0.9091
CCDC75	-0.053
LOC253970	0.02925
KIAA1239	0.0635
MED21	-0.09375
SYT11	0.896
NTSR2	-0.509
EGFL11	-0.867
CXorf59	1.11
OR2A25	-0.7615
SPTBN2	-0.16
LRMP	-1.48083333333333
RNF111	0.7015
PTH	-0.2735
LOC619208	0.262333333333333
KIAA0895	0.22675
RANBP5	-0.182
P2RY10	-0.376666666666667
NME5	1.138
DDX21	-0.20675
LRSAM1	-0.691
HDAC11	0.660333333333333
VMO1	-0.02675
NOLA2	-1.17433333333333
ADAR	0.3485
MTO1	-0.4995
SF4	0.0155
P2RX1	-0.114
HBM	-0.7165
EN2	-0.5015
C14orf172	-0.08875
TM9SF2	1.1137
INHBE	-1.102
TCTE3	-0.379916666666667
TOX2	-1.2185
CTAGE3	-0.1
HBB	2.995
MED15	-0.933166666666667
CASR	-0.916
C6orf66	0.496
MTPN	-0.077
UNC50	0.0665
C21orf33	0.20475
IRF2	1.121125
PGR	-1.7432
GPR84	0.87725
CROCCL1	-0.05775
SRPX	-3.28875
BRE	-0.0458333333333333
FGF10	-0.272333333333333
SDC3	0.2115
ZRSR1	-0.0998333333333333
DKFZP434P211	-0.95575
SOX6	-0.7305
RPUSD2	0.09825
C14orf173	-0.440833333333333
MAPK11	0.299166666666667
TBC1D22A	1.2425
FAM123A	0.0245
COL4A6	-2.07716666666667
TOMM70A	-0.7075
NAB1	0.6705
MGC16385	-0.359375
TSPAN18	1.15433333333333
MED31	-0.865
PLG	-0.267333333333333
CAPSL	-0.462
ZNF532	0.4191
ASB14	-0.243333333333333
CA8	-1.278
NUDT16P	1.16683333333333
SLFN11	-0.48
LRRIQ2	-1.21825
NOL7	-1.17166666666667
BRMS1L	-0.883875
JARID1A	0.568166666666667
PANK2	0.75725
ICAM3	-1.11825
MDS1	1.21
TAF8	1.39225
RNF139	0.03325
ZNF594	-0.105666666666667
ADAM8	2.015375
SFTPC	-0.72075
MAN2B2	1.328125
RGS12	0.5283125
EIF1AY	-3.93418181818182
LRRIQ1	-0.6574
GPR150	-0.70175
CCDC21	-1.45566666666667
PRRG3	0.20075
SAA4	-4.66525
RAPGEF5	2.151875
ZCCHC2	1.06691666666667
MGC39372	-0.4855
PPP4R2	-0.338
CDCA2	-2.26016666666667
OR4D5	-0.0915
PTGFRN	0.6758
SIGLEC5	-0.267833333333333
C19orf61	-0.497833333333333
NMUR2	-0.824
KIAA1586	-1.61916666666667
DAGLA	3.3545
CHCHD6	-0.8515
GPR32	0.423
NEUROD6	-0.115333333333333
SLC2A4RG	0.93775
CA5B	0.9625
FBXL3	1.16675
MPHOSPH9	-0.87275
HMG2L1	0.1085
HCN4	-0.2885
CEACAM19	0.4345
SH2D4B	0.475833333333333
HFE2	-0.8685
TGM4	-0.254
LYPD2	-0.186
TBC1D15	0.16725
MRPS21	-1.7159
NONO	-0.8301
CLEC5A	0.631142857142857
ITCH	1.2266
MGAT3	0.624
MBP	0.387375
RPP25	0.44625
SOSTDC1	1.093
HRC	-0.65625
TRIM48	-0.0395
TMEM133	1.09875
ECEL1P2	-1.17025
HOXC11	-0.3265
DOK5	-0.09425
HELZ	0.418333333333333
LOC348180	-1.39575
MGC33894	-0.76775
ADRB3	-0.3775
DMD	0.268833333333333
PTRH2	-0.37875
MPEG1	2.15583333333333
NDUFA12	0.555833333333333
KRTAP2-4	-0.856166666666667
STAMBPL1	0.208666666666667
ADCY2	-0.486833333333333
UNQ6125	0.6415
KLHL20	0.705
SRM	-1.112
OTC	-0.7685
TMIE	1.05116666666667
SNX8	-0.35
LIPK	-1.069
CHURC1	-0.27525
KLC2	-0.56
HDAC1	0.970166666666667
FAM128A	-0.734666666666667
FNDC3B	0.6301
MTCP1	-1.056
WFDC10B	1.4663
PCDHGB3	-0.3405
ATRNL1	-1.0085
CAV2	-0.354
MED26	0.1555
DUS1L	0.564
CHRM3	0.559875
NEK9	-0.041
WARS2	0.42225
TBX22	-0.228
TOMM40	-0.33525
RP6-213H19.1	-1.4445
TUBGCP5	-0.23875
IGSF6	2.78475
TPPP	0.647833333333333
UNQ6190	-0.013
GSTM5	1.377875
BTD	-0.245833333333333
PDCD1LG2	-0.4702
SNRPB2	-0.241333333333333
ERICH1	0.875
APOA4	-2.30675
HOXA11	0.91975
NARG1	-0.03325
MKX	0.7455
RAB28	0.0689285714285714
PKP3	1.6235
SH3GL2	0.18975
CTSO	2.09325
RPN2	1.1045
IL28RA	1.859
SFMBT1	0.4795
WDR57	-0.81725
FER1L3	-0.710916666666667
HSF5	0.136333333333333
TTC9B	-0.04725
C4BPA	-0.567666666666667
ALB	-4.55342857142857
SORBS3	0.53925
UPF2	0.7875
JPH1	0.583
AGBL2	1.642
DOPEY1	2.168
TERF1	0.133
KIF22	-2.47033333333333
NINJ1	-0.18275
SEC61A2	-0.04
HIST1H1D	-2.117
SFXN4	0.753125
UCP3	-0.0366
ZNF703	0.553
MYL6B	-1.75125
TREM1	1.40075
OR52E6	1.0875
CKMT2	1.29825
HLA-C	1.761875
SLC13A3	2.01733333333333
TIMP4	1.57225
SLIT2	0.7125
RSF1	-0.355166666666667
LONRF1	-0.00907142857142858
MON1A	-0.220833333333333
CACNG6	-2.0805
DPPA4	-6.47066666666667
ZSWIM3	1.8225
ZNF804A	-0.0176666666666667
CCIN	0.649333333333333
SLC25A31	-0.41
KCNMB4	1.7545
RABL5	-0.733125
GALNS	0.0595
STX6	1.01975
HIST1H1C	-3.30016666666667
CIDEB	-0.24
CASP4	0.823333333333333
PDK3	-1.3096
KCNJ11	0.0575
TPR	-0.452375
ZSCAN20	-0.6965
MTX2	0.03675
HIST1H2BH	-1.45425
LOC283767	1.622
LYRM7	-0.565166666666667
BRD3	0.795166666666667
HIST1H2BO	-1.743
MAGEB10	0.8775
SLC45A1	1.16825
SERPINA3	-4.0757
KIAA0143	1.1055
KCNJ16	-0.1452
KRT79	-0.31325
FABP2	-0.0215
NUT	0.339
ZNF57	0.27325
FBXL4	0.433375
CLEC9A	-0.4005
UGT8	0.289
BMP2K	0.725
MAPK4	-3.8035
SLC25A23	-0.7062
HINT1	-0.9687
KRTAP13-1	-0.3845
SFXN5	-0.4843
CHCHD2	-0.484916666666667
FAM3D	4.2405
NDP	-1.98725
RHOBTB1	0.627666666666667
SLC4A4	-0.82525
RPL38	-0.31175
HTF9C	-0.715
AP2A2	0.415
ZBTB46	-0.639
MAP7D1	-0.415
AOX1	-2.20533333333333
CYR61	-0.481166666666667
DTNA	-1.10035714285714
JRKL	1.33325
TMOD3	-0.36175
EEA1	1.0692
ADCK5	0.3985
IL1R1	1.38416666666667
KLK3	1.1265
HRSP12	0.3015
KTN1	-0.1335
LOH11CR2A	0.6075
RELL2	-0.0825
MAB21L1	0.036
C20orf59	0.129333333333333
PHKB	-0.33975
ADAM2	-1.64416666666667
TBC1D8B	1.99683333333333
FAM13A1	0.2735625
LAPTM4B	-0.7785
LCN8	-1.088
TMEM147	0.599
SYT4	0.516333333333333
XPO7	-0.114
C9orf62	-0.70925
GPR75	0.2835
TRIM5	0.23825
APOC1	-2.42133333333333
RNASE4	-2.41333333333333
PARD6B	-0.408875
ARID1A	0.0273333333333333
TPD52L3	0.2078
RRAGB	0.58
RCN2	-0.028
HIST2H2BE	-0.9245
STARD7	0.71225
SHMT2	-0.7085
KIAA1751	0.0776666666666667
MLYCD	1.220875
LOC162632	-0.4386
UQCRH	-0.09525
RP11-217H1.1	0.7636875
SDHA	-1.4345
NCLN	-0.5147
ZNF17	0.964166666666667
RCBTB2	-0.93375
VEGFB	0.3874
RP4-747L4.3	0.54175
COLQ	-0.0303
MPN2	-0.946666666666667
DRG2	-1.66975
KLRB1	4.12075
ALPK2	-2.16875
DNASE2B	-0.10725
FLJ23834	0.065
AXUD1	-0.132
SAFB	-0.3758
NSUN4	-0.3435
RFX2	0.205
MAPK8IP1	0.650166666666667
FANCD2	-1.70614285714286
ANKZF1	-1.18333333333333
C19orf50	-0.93575
DUSP8	1.87725
SENP5	-0.341625
NFKBIL2	-1.11675
LBR	0.41225
IGFL1	0.4715
LZTS2	-0.408125
IL2RG	-0.1895
CCDC51	0.04325
KLF3	1.4785
ANKRD37	-1.4585
KCTD14	2.09116666666667
FZR1	-0.653083333333333
SLC44A4	3.4282
ESPL1	-1.444375
GMPR2	-1.5091
TBC1D19	-0.859666666666667
ERGIC1	-0.069962962962963
ERBB4	-1.2908
TSPAN32	3.16283333333333
MAP4	-0.310625
GPHN	-0.42075
SLC6A2	4.397
HIVEP1	-0.0485
DFFB	1.1615
EIF4EBP2	1.596375
DMRT1	0.27675
HSPB6	-0.45225
IER2	-0.857
AIFM1	0.20575
WWC2	0.932416666666667
MRPL4	-0.56575
FLJ21062	-0.0113333333333333
EPB41L4A	0.436666666666667
SH2D6	-0.2975
TAF4B	-0.5105
GAL3ST3	-1.1215
MALT1	0.171166666666667
RTDR1	2.19925
ARVCF	-0.06275
MEX3B	-1.0555
FBXO16	-1.58825
KIF7	-1.351
C1QC	3.133
ZNF783	0.279833333333333
ZNF85	-0.29175
MMP13	0.254
KIAA0329	0.180375
RTP3	0.8
ZBED3	-1.52725
CLGN	-0.2155
SLC25A37	-1.16254166666667
hCG_18290	0.2955
OR5AS1	-0.0145
SMARCC2	-0.407166666666667
FAM109A	0.0913333333333333
CCDC12	-0.094
USF2	0.4398
DEPDC7	1.8845
C20orf24	1.66183333333333
JMJD3	1.0445
DSP	0.137357142857143
SLIC1	0.75025
FAM20A	0.075
IRF2BP2	2.07675
ZNF230	-0.1195
MSN	-0.576428571428571
