Hybridization REF	TCGA-AY-4070-01A-01R-1113-07
OR8J3	1.721
LTBP4	-0.2905
SIRT6	-0.19575
CCL19	3.9975
PPIL1	0.343
GBP7	0.234
STK17A	-1.0432
ABR	0.681
OR9G1	-0.00950000000000001
FOXE1	-0.28775
CNGA3	0.5005
GML	0.534
CD38	-0.0655
ZDHHC6	-0.214833333333333
NEFH	-3.39375
CTDSP2	0.08875
PGBD5	-1.46216666666667
CCNY	1.16285714285714
RMND5B	-0.609
ZNF257	-1.633
FLJ22167	-0.87725
EXOSC7	-0.451
ROR2	-0.76325
MAOA	1.097875
TNNT3	0.1405
GYPC	-2.116
C7orf33	0.9085
PLIN	0.179333333333333
LOC90826	-0.11825
RNF4	-0.2209
F8A1	0.425
PLEKHG4	-1.763
GRB2	-0.35035
HIST1H2AD	0.45025
DUS3L	-1.12
EIF1	-0.606833333333333
RP5-1077B9.4	-1.22883333333333
FPGT	0.59475
GDF10	-1.129
COQ9	-0.5925
GCC2	0.758571428571429
RARRES3	1.6065
PLXNA1	-0.1367
KIAA0100	-0.4921
PMF1	-0.58025
FNDC1	4.6215
HS2ST1	0.190333333333333
CRELD2	0.297
C8G	-1.1825
CD82	0.27925
LIM2	-0.6295
UNQ6490	-0.434
MMP16	-0.2505
DRD3	-0.027
C5orf26	-0.14575
C11orf73	0.212
PTP4A2	0.75925
OR4M2	0.3015
HPCA	-1.4325
SEC14L1	-0.375833333333333
CHFR	-1.265875
EMILIN1	0.251875
NDUFS4	-0.741
COL18A1	-0.769375
PDZD3	2.9207
C9orf16	-0.323166666666667
ERBB2IP	0.494833333333333
EMX2	0.12075
FUS	-1.886
TF	-2.6969
CLCN4	1.54783333333333
CXorf56	-0.10725
C11orf72	0.2015
ELAC2	-1.14391666666667
NPR1	-1.8675
ASS1	-0.2535
USP42	0.326875
POLR2J	0.807
SEC23IP	0.409833333333333
UQCRC1	-0.312
LOC729603	-0.151
C1orf71	-0.430125
POLG	-0.994
ADAM23	-4.07625
TFR2	-1.28425
RICTOR	-0.2062
MGC39606	0.896
C19orf55	-0.198125
SNAPC1	-0.596333333333333
GNA11	0.45225
CCDC52	0.713833333333333
FSIP1	-0.667
UPF3A	0.230125
IGSF11	-1.45033333333333
LAGE3	0.3275
CHST6	-2.228
UNC13B	-0.560625
TTLL4	0.283375
ZNF687	-0.647625
SDC2	-1.3284
COX7A2	0.315
LAMB4	-0.226
FAM24A	1.001
LRRTM3	-0.840166666666667
GPHB5	-0.08725
OR4C13	-0.1935
EIF3EIP	-0.0132142857142857
HABP4	-1.0885
TMEM125	3.53775
CNTN2	0.378625
ASNSD1	-0.087
FUT4	1.658125
ACF	0.07975
LOC158381	-0.029
CDH8	-0.81525
AGPS	0.1865
C4orf18	3.97825
PECI	-1.04833333333333
UNG	0.201625
GSTP1	1.864875
DCUN1D5	-0.268166666666667
DKFZP564J0863	0.73325
SLC9A3R1	0.509875
BCDO2	-0.15075
CHMP7	-0.958125
REM2	0.0875
DNHD1	-0.329125
FKBP4	-1.344
ZNF350	1.254
MGC11102	0.572375
BST1	0.01575
KISS1R	-0.048
NCR2	-0.0435
DEFB125	0.297
UBE2W	0.8235
KRT15	0.24475
C10orf99	2.806
SCN11A	0.0178571428571429
GFI1	-0.56925
RDHE2	0.490333333333333
FHL1	-0.966333333333333
OSGEP	0.3725
GATA1	-4.15783333333333
SMC6	-0.98575
TTTY14	-0.9105
LPIN3	0.6295
RPL4	-0.9222
RBPMS	-0.4155
PRPF3	-1.02866666666667
EMR1	-1.1875
SPATA19	-0.03025
XCR1	-0.2205
IRX3	-2.571
RBM6	-0.0885
KLF4	0.2884
UNC5CL	2.02725
SEBOX	0.146
BTK	-1.45
KRCC1	0.674
C6orf27	0.112
SYTL5	-0.3355
PRND	0.737857142857143
LOC653319	-0.947
PIGL	-0.42475
HUS1	0.196166666666667
SFRS6	-1.16033333333333
C17orf77	0.15
UIMC1	-0.379833333333333
FXYD2	0.6114
LOC283152	0.6175
ZNF667	-1.94425
ZCCHC12	0.31425
TFEC	2.0063
ATP7B	1.76366666666667
POLD2	-2.17733333333333
RG9MTD1	0.06
ACOT2	-0.583
HIST1H4I	-0.621
PPARGC1A	-0.5504
ETFA	-0.693
POLRMT	-0.7185
ZNF146	-0.516375
MIA2	1.753
KLHL6	-0.4445
HOXB5	1.823875
NENF	0.392333333333333
CUGBP1	0.67675
PRSS22	2.53233333333333
CASC4	1.1391
CUL4B	0.9385
CENPJ	-0.2956
PITX1	-0.457666666666667
FLJ31033	0.663833333333333
CELSR3	-0.867666666666667
ZNF568	-1.603
ITSN1	-0.360833333333333
EHBP1L1	-0.8095
C19orf2	-0.1285
DCTN1	-0.89225
LIN28B	1.43383333333333
TNKS2	1.14725
C1QBP	-0.519625
CADPS2	0.83575
SRMS	0.25225
GJA9	0.102833333333333
MGC24975	-0.927666666666667
TRIM45	-1.3925
TSP50	0.6
TCP1	-1.4995
TMED7	0.6288
CMA1	0.114
CENPL	-0.87
PTCRA	-0.153
FST	-5.25625
VWCE	0.09375
PAWR	1.096
ABCC12	-0.459333333333333
LDLR	-1.602
ASTN2	-0.3239
LOC441212	0.287875
GPATCH8	-0.06675
TANC2	-0.846583333333333
KIF4A	-1.691
C18orf18	0.2465
PGM1	-1.67975
KIAA0258	1.063
CPD	1.140125
SNCAIP	-0.4035
DCT	-4.17833333333333
HLA-DOA	1.91718181818182
OR11L1	0.3965
UPK1B	2.8955
DNAJB4	-0.57
UGT1A8	1.83975
HIST1H4L	-0.568
PECR	-0.692166666666667
HSPA2	0.78875
WFIKKN1	-3.2765
SERP1	0.2
SYDE2	1.01275
TACR2	-0.0225
NUP85	-0.45975
CD177	0.133166666666667
LGR5	1.61233333333333
PIGG	0.43375
PTHR1	0.177333333333333
RAB5A	0.3426
FLJ13224	0.352
USP9Y	-1.5728
C7orf53	1.007
LRP1B	0.35875
XAF1	1.8178
ABCG8	-0.1455
ANKDD1A	-0.267
DAND5	-2.4235
SPAG6	0.2865
LINCR	3.1285
ZDHHC22	-1.558875
CCDC60	0.401
THOC7	-0.906
TCTA	0.5696
OR8K3	-0.52125
NY-REN-7	-0.121
B2M	0.989166666666667
C6orf141	-1.649
LPPR4	2.16325
SQLE	1.10025
SEPHS1	0.21325
BTBD14B	0.234785714285714
PLRG1	-0.13875
SPG7	-0.94975
ZNF614	0.520166666666667
PARD6G	0.475
INPP5B	-1.1619
GRPEL2	-0.0125
PPID	-0.9098
TRIM56	0.5965
UBE2J1	0.41025
IL20RA	2.27275
LOC387856	0.23025
C1orf107	0.161916666666667
UTS2R	0.2175
C19orf22	-0.20575
SAFB2	-0.456375
KIAA0652	-0.18675
KLRG1	-0.4435
MS4A8B	3.4655
FRAG1	1.063
KIAA1546	0.25775
E2F4	-1.0223
CLEC4M	-0.0841666666666667
BTBD14A	0.5535
KIAA0999	0.6199
GYPA	-3.6945
TAC1	2.25033333333333
TRAIP	-0.635
KIAA0232	-0.2109
ERCC8	-0.69825
GPX4	-0.313375
KIAA0368	-0.9695
GPR157	0.734833333333333
CTAGE4	1.1425
C9orf30	-1.55583333333333
OR52A1	0.4095
HSP90B3P	0.4125
ALG9	-0.6908
BTBD10	1.1555
SDK2	0.1665
BAIAP3	-2.23725
RABGGTB	-0.76925
ANKRD40	-0.541166666666667
KRT74	0.715
CALCOCO2	0.507285714285714
SNCA	-4.63175
TMSL8	-3.40475
C2orf53	-0.6165
ESRRB	-0.32075
ARHGAP26	0.786
TDRD9	-3.42475
HRAS	-0.282166666666667
KLRC4	-2.2315
JAGN1	0.1885
BSDC1	0.1095
RNF43	0.6289
NDUFAF1	-0.7665
PHF12	0.05975
OR1L3	-0.14225
FOLR2	0.5975
LYZL6	0.349166666666667
tcag7.1260	0.0855
WSB1	0.427833333333333
PROS1	0.3828
OSTN	0.3955
PSMB8	0.667
SOCS4	-0.3105
DDIT4L	2.09325
MAS1	0.825
MGC34796	1.01375
CSHL1	-0.180333333333333
TBCCD1	-1.15283333333333
ZBTB7C	-0.4095
AP2S1	-0.6135
P15RS	-1.6077
VAT1	-0.0969
SHANK3	0.8385
TUFM	-0.2525
THEG	-0.46725
KRT34	-0.9485
SGSM3	-0.62075
TOMM22	-0.036625
SOCS3	1.0045
CPO	-1.0135
POP4	0.08475
BHLHB3	0.00425
MALL	2.771
OR1B1	-0.046
PARK2	-0.456833333333333
GPR124	0.180375
LCE1E	0.4735
RUVBL2	-1.10825
CGRRF1	-0.3196
ACPL2	0.37275
WNT10B	0.596625
BAIAP2L2	1.40025
ISCA1	-0.238
C1orf125	2.75475
RPAP1	-0.912
RAI16	-1.31983333333333
RPL27	-0.2985
NLRP9	-0.7125
EPN1	-0.317
LOC388610	1.001375
SLC35A1	0.9669
GAL	-4.63575
SLC14A2	-0.10025
RDH11	0.125333333333333
FAM138F	-0.7525
AUH	-0.09325
FLJ40243	-0.42475
C14orf129	1.09716666666667
MBD2	-0.834666666666667
ABHD14B	-0.7475
PIGT	1.20875
ALS2CR4	-0.70875
ALAS1	0.3646
FOXO1	0.883833333333333
CRLF3	1.759
C20orf107	-0.331
FARS2	-0.66725
CCDC28A	0.7095
NPHP3	-0.95925
OR13F1	0.204
TSEN54	0.0915
DEFB106B	-0.218333333333333
OR8B4	0.628
STH	-0.607
ZC3H14	-0.5555
CBX2	0.4005
TMEM49	-0.21075
C6orf21	0.3415
FLJ20920	0.52575
CRTAP	-1.60442857142857
DDX50	-0.3415
STYXL1	-0.41725
BLVRB	-0.948
LOC147650	0.453666666666667
MMP24	0.689
GRID1	1.21316666666667
BANF1	-0.00799999999999999
CTAGEP	0.59625
HMBS	-1.15625
SLC25A24	-0.2465
C14orf50	2.28325
MRO	0.0998333333333333
SLC25A15	0.488
FAM84B	0.9507
TDP1	-0.38
C16orf78	-0.150166666666667
C11orf57	1.17475
RFK	0.758625
ZFYVE9	-0.275857142857143
STCH	-0.811
WIBG	-0.02375
LOC283871	-0.541
GBA2	-1.3478
NDUFB3	0.56925
HSD17B13	0.082
GRIN3A	0.802833333333333
FMNL1	-2.47
SEPT7	-0.2645
GNLY	2.796
GRAMD1C	1.57433333333333
ZNF165	0.3855
USP38	0.3535
FAM83A	-2.67683333333333
C14orf24	0.478833333333333
ARMCX3	1.166375
ARHGDIB	-1.39
AK1	-0.78025
KIAA1045	-0.5345
DNAJB13	-0.326166666666667
NEU2	-0.5945
HIST1H4B	-0.386
FAM20B	-0.6032
HES2	1.62771428571429
FAM73B	-0.4069
LOC388381	-1.5285
INTS7	-1.20318181818182
AMPH	0.371
ZNF775	-0.40575
UCKL1	0.236666666666667
C10orf97	1.39475
C1orf161	0.2415
ALDH1L1	0.795
FLJ39378	-0.8165
SLC23A1	0.062
RBM4B	-0.19175
THAP4	-0.0405
OGFRL1	-1.55225
KIAA0831	0.04025
PPP1R15A	-0.0155
C1orf96	-0.227928571428571
C12orf11	-1.76575
BMF	0.840625
MAN1A1	-0.14675
KIAA1600	0.1275
NLGN4X	-1.39675
ALOX12	-0.876333333333333
RB1CC1	1.0986
NEIL2	-0.5224
EIF4E	0.0359090909090909
ABHD5	-1.066
EXOC4	-0.260833333333333
CIP29	-0.3855
BATF2	4.0135
SLC29A4	0.843875
HTR4	1.11025
EMB	-1.40925
TRAF6	1.393
LMNB1	-1.202
FAM19A5	-0.51725
SHE	1.06675
PIK3C2B	1.81075
C15orf15	-0.3234
USP15	-0.1456
TCEAL2	-0.2845
C5orf39	-1.14316666666667
PTGER2	0.01775
SLC31A1	-1.1065625
IFT172	-0.03225
ADAM29	0.10875
GFOD1	-0.05475
ST7L	0.0253333333333333
C15orf26	-2.02125
PKN3	-1.7335
CNTD1	0.554
COMMD1	-0.50025
NTRK2	1.27716666666667
FOXN3	-0.367625
MFGE8	0.1837
PFKFB2	0.911166666666667
TAS2R4	-0.176
ENTHD1	0.3685
PRMT5	-1.37075
MGC16384	-0.139
LOC442229	-0.18475
TSKU	0.577375
KRTCAP3	3.1855
PDLIM1	0.6314
KCNS2	-1.351
RNF126	-0.306666666666667
CEP63	-0.5305
CLIC4	-0.751875
hCG_1990170	1.53625
ACR	1.9309
KLK7	1.61625
ALOX5AP	2.087375
RIPK3	4.33625
TAS2R9	0.263
C19orf18	0.199
BIRC6	0.245714285714286
ZNF16	0.468
RFT1	-0.26475
SLC8A2	-0.745
TACC1	1.655375
ITGAD	0.357666666666667
SAMHD1	1.28
SH3PXD2B	0.082
EPC2	1.14225
C20orf85	0.570125
ATP13A2	-0.541333333333333
KRT4	0.97975
CAPNS1	-1.008
MDM2	-0.178833333333333
PCDH20	3.39225
KCNK9	0.5805
OR2C1	-0.0515
KLHDC3	-1.48083333333333
IPPK	-0.7005
EFHD2	0.52525
GALR3	0.296
NBEA	-2.42383333333333
ABCA6	1.2234
CLDN3	2.497
AKT2	-0.682785714285714
EGFR	0.636
RBM16	0.2385
ZDHHC3	1.0298
SLC25A4	-0.416833333333333
CYB5B	-0.583166666666667
CPXM1	-0.9695
NDRG1	1.30576923076923
FLJ43826	-0.21225
OR5L2	0.0371666666666667
FARP2	0.4005
MRPL46	-0.444333333333333
LDHAL6B	0.087
MAPKAPK3	-0.3265
NCAM2	-2.54925
PRKD2	-0.474833333333333
ZFP36L1	1.6281
CYSLTR1	-0.59125
OR4C3	0.42475
HIST1H2AJ	0.1775
CCNB2	-1.03088888888889
ZNF10	-0.448875
TMEM175	-0.017
FAM134A	-0.184333333333333
TIGD4	-1.1115
PCNP	-0.547
MGC39715	-0.249
LQK1	0.56775
CREB1	0.0496
TMPRSS3	0.13575
C4orf32	0.248
LAT	-1.0395
KCNA3	0.1295
SKIV2L2	-1.14675
ROPN1B	-3.096
tcag7.23	-0.542
CDT1	-2.713
ZHX2	0.1505
CD28	-2.45225
ZNF624	0.41175
SEPT2	0.03825
SOHLH2	-2.262
MCOLN3	-0.130428571428571
UNQ1945	0.0565
MASP2	-0.192
ZNRF3	-0.0307
GPATCH3	-0.545
AGL	-0.103125
QRICH2	-1.8405
PSD4	-0.959666666666667
CCNB1IP1	-0.2205
ENPP7	0.06125
OBFC1	-0.6165
KCNG3	-0.89075
C14orf79	-0.4575
ENPEP	1.07383333333333
SCT	2.402
SKI	0.439375
SEC61G	-0.2505
CAPN11	-1.27
ATXN7L3	-0.3535
DBNDD1	-0.3865
FAIM	0.13775
ANKRD36	0.232
GABRP	0.309333333333333
TACSTD2	-0.183666666666667
EIF3J	0.486
PPP2R2A	-0.7115
TEKT4	-0.957166666666667
PVALB	-4.17833333333333
F10	0.8625
FAM134C	0.5903
COMP	2.115875
EFCBP1	-3.1676875
SCLT1	0.151375
TAL1	-0.1819
ACSL1	-0.29675
ABCC5	0.36225
ABL1	-0.436166666666667
RBBP7	-0.4035
PTPRG	0.94475
NCOR1	-0.4935
SPINK4	6.34883333333333
TXNRD1	-0.0948
TNRC15	0.4985
C9orf138	0.2225
UBE2H	1.0085
BRDT	-0.0585
C8orf31	0.2235
CCNE2	-0.525545454545455
SLC6A8	-1.599875
CALCR	-3.012
PPP1CB	0.246583333333333
ABHD8	-1.7765
ARF5	-0.9809
SLC24A4	0.2145
CCT3	-0.09225
ZNF121	0.751875
SLC3A2	-1.8647
OR13A1	0.4185
SLC5A10	0.18825
RAD50	-0.481875
IER5	0.181
MTHFD1L	-0.2925
MBTPS2	-0.1385
MVK	-0.789625
NCL	0.9318
PSMD10	-0.3625
MOBP	0.347125
FLJ32894	-0.443
HRH1	0.652
C5orf30	-0.25775
NUDT16L1	0.3372
RASGRP3	3.62
PRKRIP1	0.5874
CCDC75	-0.26175
LOC253970	-0.0145
KIAA1239	0.26775
MED21	-0.279
SYT11	0.838416666666667
NTSR2	-0.6865
EGFL11	-0.505
CXorf59	-0.672
OR2A25	-0.39225
SPTBN2	-0.3735
LRMP	-0.584166666666667
RNF111	0.31875
PTH	0.743
LOC619208	-0.161833333333333
KIAA0895	0.40375
RANBP5	0.6615
P2RY10	1.65283333333333
NME5	0.670833333333333
DDX21	0.08975
LRSAM1	-1.148
HDAC11	-0.100166666666667
VMO1	1.02075
NOLA2	-0.513166666666667
ADAR	0.0335833333333333
MTO1	-0.848333333333333
SF4	-0.449333333333333
P2RX1	0.769833333333333
HBM	0.16225
EN2	0.505
C14orf172	0.5805
TM9SF2	1.5866
INHBE	-0.862666666666667
TCTE3	0.178416666666667
TOX2	-2.68975
CTAGE3	0.4855
HBB	5.2049
MED15	-1.53583333333333
CASR	0.694
C6orf66	0.0198333333333333
MTPN	1.070375
UNC50	0.01325
C21orf33	-0.098625
IRF2	1.25575
PGR	-2.5585
GPR84	1.15975
CROCCL1	-1.40175
SRPX	-1.959
BRE	-0.468333333333333
FGF10	0.09975
SDC3	-0.749833333333333
ZRSR1	-0.764666666666666
DKFZP434P211	-0.846875
SOX6	1.5645
RPUSD2	-0.55025
C14orf173	0.163666666666667
MAPK11	-0.6885
TBC1D22A	-0.1635
FAM123A	-0.11
COL4A6	-2.47466666666667
TOMM70A	0.13725
NAB1	1.277
MGC16385	-0.235125
TSPAN18	0.321166666666667
MED31	-0.31275
PLG	-0.5475
CAPSL	0.551
ZNF532	0.2194
ASB14	-0.0646666666666667
CA8	-1.7925
NUDT16P	2.41083333333333
SLFN11	-1.253
LRRIQ2	-0.8995
NOL7	-0.241333333333333
BRMS1L	-0.250125
JARID1A	0.542666666666667
PANK2	-0.09175
ICAM3	-0.3985
MDS1	1.74325
TAF8	-0.2835
RNF139	0.4875
ZNF594	-0.2505
ADAM8	0.664875
SFTPC	-0.315125
MAN2B2	0.066125
RGS12	-0.0014375
EIF1AY	-4.31916666666667
LRRIQ1	-0.272666666666667
GPR150	0.24625
CCDC21	-1.78966666666667
PRRG3	0.1675
SAA4	-3.52325
RAPGEF5	2.892375
ZCCHC2	0.0235833333333333
MGC39372	0.421
PPP4R2	0.68
CDCA2	-1.64866666666667
OR4D5	0.3045
PTGFRN	0.1518
SIGLEC5	0.548666666666667
C19orf61	-1.42383333333333
NMUR2	-0.3325
KIAA1586	-0.521166666666667
DAGLA	2.31016666666667
CHCHD6	-0.417
GPR32	0.394
NEUROD6	0.154166666666667
SLC2A4RG	-0.5745625
CA5B	-0.23025
FBXL3	0.9835
MPHOSPH9	-1.359
HMG2L1	-0.0985
HCN4	0.308
CEACAM19	0.0395
SH2D4B	0.298833333333333
HFE2	-0.1175
TGM4	-1.29783333333333
LYPD2	0.834
TBC1D15	0.000749999999999998
MRPS21	-0.223
NONO	-0.764
CLEC5A	0.553125
ITCH	0.706
MGAT3	0.252
MBP	-0.449125
RPP25	0.141
SOSTDC1	3.5635
HRC	-1.81
TRIM48	-0.7195
TMEM133	1.29625
ECEL1P2	-1.007
HOXC11	-0.273
DOK5	-1.48175
HELZ	0.143833333333333
LOC348180	-0.91425
MGC33894	0.263
ADRB3	-0.032
DMD	0.322166666666667
PTRH2	0.076
MPEG1	2.2845
NDUFA12	0.432833333333333
KRTAP2-4	-0.13525
STAMBPL1	-0.291333333333333
ADCY2	-0.7404
UNQ6125	1.065
KLHL20	0.1135
SRM	-1.67875
OTC	0.5155
TMIE	0.381333333333333
SNX8	0.0605
LIPK	0.262
CHURC1	0.6695
KLC2	0.1785
HDAC1	0.295166666666667
FAM128A	-0.316666666666667
FNDC3B	0.4638
MTCP1	-0.689666666666667
WFDC10B	0.2328
PCDHGB3	-0.2585
ATRNL1	-2.2021
CAV2	-0.347
MED26	-0.341666666666667
DUS1L	0.34425
CHRM3	0.431
NEK9	-0.64425
WARS2	0.11225
TBX22	0.374
TOMM40	-0.811
RP6-213H19.1	0.6895
TUBGCP5	-1.518
IGSF6	3.7985
TPPP	-0.265
UNQ6190	0.1015
GSTM5	0.423375
BTD	-0.768333333333333
PDCD1LG2	-0.161333333333333
SNRPB2	0.91
ERICH1	0.52925
APOA4	0.292625
HOXA11	0.234
NARG1	-0.29875
MKX	0.80825
RAB28	-0.600428571428572
PKP3	1.8875
SH3GL2	-3.095
CTSO	1.03475
RPN2	1.317875
IL28RA	1.60283333333333
SFMBT1	1.27
WDR57	-1.375625
FER1L3	-0.09475
HSF5	-0.269333333333333
TTC9B	0.32175
C4BPA	0.655333333333333
ALB	-4.42342857142857
SORBS3	-0.44325
UPF2	1.5465
JPH1	0.3585
AGBL2	0.665
DOPEY1	1.597
TERF1	-0.0270833333333333
KIF22	-1.13416666666667
NINJ1	-0.41825
SEC61A2	0.450083333333333
HIST1H1D	-0.436
SFXN4	0.270125
UCP3	-0.5303
ZNF703	0.640833333333333
MYL6B	-0.282
TREM1	1.397
OR52E6	0.4015
CKMT2	0.82775
HLA-C	2.011375
SLC13A3	-0.3675
TIMP4	-1.01375
SLIT2	-0.1115
RSF1	0.651833333333333
LONRF1	-0.827571428571429
MON1A	0.0415
CACNG6	-1.74616666666667
DPPA4	-6.99166666666667
ZSWIM3	0.49875
ZNF804A	-1.0185
CCIN	1.101
SLC25A31	0.35625
KCNMB4	0.709
RABL5	0.80175
GALNS	0.1079
STX6	0.46225
HIST1H1C	-1.36316666666667
CIDEB	-0.149375
CASP4	1.39316666666667
PDK3	-1.0587
KCNJ11	0.226
TPR	0.0865
ZSCAN20	-0.55
MTX2	0.68975
HIST1H2BH	0.65375
LOC283767	-1.06075
LYRM7	-1.43527777777778
BRD3	0.109166666666667
HIST1H2BO	0.199
MAGEB10	0.773
SLC45A1	-0.26225
SERPINA3	-2.5832
KIAA0143	1.4075
KCNJ16	1.09083333333333
KRT79	-0.54325
FABP2	1.7695
NUT	-0.0145
ZNF57	0.54225
FBXL4	0.40575
CLEC9A	-0.167
UGT8	3.3165
BMP2K	0.287
MAPK4	-3.4975
SLC25A23	-0.8399
HINT1	-0.175
KRTAP13-1	0.1775
SFXN5	-0.2816
CHCHD2	0.370666666666667
FAM3D	4.755
NDP	-2.986
RHOBTB1	-0.352333333333333
SLC4A4	1.48125
RPL38	0.23175
HTF9C	-1.04766666666667
AP2A2	0.341
ZBTB46	0.123
MAP7D1	-0.81325
AOX1	-1.97583333333333
CYR61	1.07475
DTNA	-0.544571428571429
JRKL	2.05175
TMOD3	0.55425
EEA1	0.5311
ADCK5	1.43025
IL1R1	0.587833333333333
KLK3	0.314357142857143
HRSP12	0.89175
KTN1	0.29275
LOH11CR2A	-0.7034
RELL2	-0.53675
MAB21L1	-0.04225
C20orf59	-0.342
PHKB	-0.23425
ADAM2	-1.32516666666667
TBC1D8B	0.7745
FAM13A1	0.3253125
LAPTM4B	1.75966666666667
LCN8	-0.0035
TMEM147	0.4615
SYT4	0.966833333333333
XPO7	-1.283
C9orf62	0.5605
GPR75	-0.2045
TRIM5	0.296125
APOC1	-1.70016666666667
RNASE4	0.254
PARD6B	-0.0425
ARID1A	-0.483166666666667
TPD52L3	0.116555555555556
RRAGB	0.221666666666667
RCN2	0.0578333333333333
HIST2H2BE	0.250875
STARD7	0.45125
SHMT2	-1.17275
KIAA1751	0.187666666666667
MLYCD	-0.231625
LOC162632	-0.2267
UQCRH	-0.5665
RP11-217H1.1	0.5613125
SDHA	-2.04
NCLN	0.1244
ZNF17	-0.108333333333333
RCBTB2	-2.49225
VEGFB	-0.1085
RP4-747L4.3	0.41825
COLQ	-0.102
MPN2	-0.422166666666667
DRG2	-1.48625
KLRB1	6.21025
ALPK2	-2.719
DNASE2B	0.00574999999999998
FLJ23834	0.447166666666667
AXUD1	0.421833333333333
SAFB	-0.0829
NSUN4	0.077
RFX2	-0.208166666666667
MAPK8IP1	-0.255666666666667
FANCD2	-1.3525
ANKZF1	-1.03683333333333
C19orf50	-1.3575
DUSP8	2.067
SENP5	0.502375
NFKBIL2	-0.64725
LBR	0.7255
IGFL1	-0.8275
LZTS2	-0.39375
IL2RG	0.58975
CCDC51	0.6745
KLF3	1.167
ANKRD37	0.35725
KCTD14	2.62883333333333
FZR1	-0.565083333333333
SLC44A4	2.8659
ESPL1	-0.90575
GMPR2	-1.0142
TBC1D19	-0.729833333333333
ERGIC1	0.550037037037037
ERBB4	-1.5075
TSPAN32	0.0768333333333333
MAP4	-0.23
GPHN	0.06325
SLC6A2	0.25975
HIVEP1	0.627
DFFB	0.6016
EIF4EBP2	0.45525
DMRT1	1.10375
HSPB6	-0.025
IER2	0.718166666666667
AIFM1	0.64725
WWC2	0.335916666666667
MRPL4	-1.04025
FLJ21062	1.79066666666667
EPB41L4A	1.01858333333333
SH2D6	0.24675
TAF4B	-0.2715
GAL3ST3	-0.449
MALT1	-0.454833333333333
RTDR1	-0.189
ARVCF	-0.773625
MEX3B	-1.846
FBXO16	-0.4585
KIF7	-2.528
C1QC	3.91666666666667
ZNF783	0.0883333333333333
ZNF85	-1.11425
MMP13	-0.738
KIAA0329	-0.0595
RTP3	-0.0835
ZBED3	0.1255
CLGN	-4.0355
SLC25A37	-1.50933333333333
hCG_18290	0.031
OR5AS1	0.3155
SMARCC2	0.232083333333333
FAM109A	0.871333333333333
CCDC12	-0.6535
USF2	-0.5834
DEPDC7	1.13
C20orf24	1.04533333333333
JMJD3	0.5005
DSP	1.1435
SLIC1	-0.00137500000000002
FAM20A	-0.600125
IRF2BP2	0.66775
ZNF230	-0.8985
MSN	-1.217
SLC9A5	-0.994
