Hybridization REF	TCGA-AA-A01C-01A-01R-A00A-07
SNAPC1	-1.8955
GNA11	1.3655
CCDC52	0.371166666666667
FSIP1	-0.4295
UPF3A	0.01875
IGSF11	-3.19716666666667
LAGE3	-0.135
CHST6	-1.861
UNC13B	0.458875
TTLL4	-0.73425
ZNF687	-0.343375
SDC2	-0.8035
COX7A2	-0.0565
LAMB4	-0.586666666666667
FAM24A	0.502
LRRTM3	-0.795666666666667
GPHB5	0.55225
OR4C13	-0.1715
EIF3EIP	0.00207142857142861
HABP4	-0.486
TMEM125	3.946
CNTN2	-0.13425
ASNSD1	-0.0995
FUT4	2.138125
ACF	0.91775
LOC158381	-0.9455
CDH8	-1.76225
AGPS	-0.183166666666667
C4orf18	0.132625
PECI	-2.00391666666667
UNG	0.2305
GSTP1	-0.129625
DCUN1D5	-1.0085
DKFZP564J0863	-1.002
SLC9A3R1	-0.577
BCDO2	-0.1065
CHMP7	-0.178875
REM2	0.162
DNHD1	-0.629875
FKBP4	-0.887875
ZNF350	1.19275
MGC11102	0.215
BST1	0.54625
KISS1R	0.687
NCR2	0.3125
DEFB125	1.846
UBE2W	-0.19675
KRT15	-0.072625
C10orf99	4.3815
SCN11A	-0.105714285714286
GFI1	-2.38275
RDHE2	0.2655
FHL1	-1.18466666666667
OSGEP	0.500666666666667
GATA1	-4.12866666666667
SMC6	-0.918
TTTY14	0.75675
LPIN3	0.38125
RPL4	-1.4429
RBPMS	0.3304
PRPF3	-0.553
EMR1	-2.35
SPATA19	0.07575
XCR1	0.2455
IRX3	-2.5476
RBM6	-0.27525
KLF4	-0.1075
UNC5CL	2.18775
SEBOX	0.0525
BTK	-2.31625
KRCC1	1.18425
C6orf27	0.4505
SYTL5	-0.625
PRND	0.462571428571429
LOC653319	-0.368
PIGL	-0.279
HUS1	0.376
SFRS6	0.247583333333333
C17orf77	0.8165
UIMC1	-0.0308333333333333
FXYD2	-1.7209
LOC283152	1.48275
ZNF667	-2.5175
ZCCHC12	-0.9895
TFEC	0.6979
ATP7B	2.0735
POLD2	-0.7815
RG9MTD1	0.17725
ACOT2	0.1515
HIST1H4I	-0.50425
PPARGC1A	0.7878
ETFA	-1.1558
POLRMT	0.26325
ZNF146	-0.00925
MIA2	-0.7755
KLHL6	-2.25516666666667
HOXB5	-0.1655
NENF	0.164166666666667
CUGBP1	-0.7265
PRSS22	1.51616666666667
CASC4	0.3368
CUL4B	0.0011
CENPJ	-0.1166
PITX1	-0.722166666666667
FLJ31033	0.1335
CELSR3	1.38433333333333
ZNF568	-0.631
ITSN1	-1.54036363636364
EHBP1L1	-0.300666666666667
C19orf2	0.149
DCTN1	-0.83875
LIN28B	-3.715
TNKS2	0.10775
C1QBP	-0.650125
CADPS2	0.41125
SRMS	0.09825
GJA9	0.431833333333333
MGC24975	-0.238
TRIM45	-2.364
TSP50	0.35975
TCP1	-0.877
TMED7	-0.1269
CMA1	-0.501
CENPL	-1.02833333333333
PTCRA	-0.093
FST	-5.2995
VWCE	-3.72775
PAWR	0.6775
ABCC12	0.4435
LDLR	-0.133
ASTN2	0.1168
LOC441212	0.374625
GPATCH8	0.03775
TANC2	-1.74641666666667
KIF4A	-0.9405
C18orf18	-0.60675
PGM1	-1.41275
KIAA0258	0.80325
CPD	0.621125
SNCAIP	-1.17475
DCT	-5.012
HLA-DOA	1.52509090909091
OR11L1	0.8515
UPK1B	-0.781
DNAJB4	-1.563125
UGT1A8	2.50625
HIST1H4L	-0.1315
PECR	-2.3245
HSPA2	1.34975
WFIKKN1	-1.4925
SERP1	-0.30575
SYDE2	0.2575
TACR2	0.623
NUP85	-0.28
CD177	-0.0618333333333334
LGR5	2.419
PIGG	-0.65525
PTHR1	-2.73416666666667
RAB5A	0.0829
FLJ13224	-0.124
USP9Y	-0.671666666666667
C7orf53	0.3795
LRP1B	-0.40975
XAF1	0.5504
ABCG8	0.352
ANKDD1A	-0.2495
DAND5	-1.4835
SPAG6	0.3826
LINCR	-0.19625
ZDHHC22	-1.486
CCDC60	-0.9895
THOC7	-0.764166666666667
TCTA	0.7756
OR8K3	0.48
NY-REN-7	-0.71325
B2M	0.680166666666667
C6orf141	-0.965625
LPPR4	2.51225
SQLE	-0.57575
SEPHS1	-0.56675
BTBD14B	0.217285714285714
PLRG1	-0.6685
SPG7	0.038
ZNF614	-0.673833333333333
PARD6G	-0.0513333333333333
INPP5B	-1.3749
GRPEL2	0.17725
PPID	-0.2166
TRIM56	0.5825
UBE2J1	-0.105
IL20RA	4.83225
LOC387856	0.46625
C1orf107	0.161583333333333
UTS2R	0.85075
C19orf22	0.795
SAFB2	-0.099375
KIAA0652	-0.368875
KLRG1	-1.762
MS4A8B	1.88483333333333
FRAG1	0.7415
KIAA1546	-0.8275
E2F4	0.1662
CLEC4M	-0.0555
BTBD14A	-1.0075
KIAA0999	0.229
GYPA	-3.32175
TAC1	0.3569
TRAIP	-0.413666666666667
KIAA0232	0.0833
ERCC8	-1.017
GPX4	-0.365375
KIAA0368	-0.166125
GPR157	0.4235
CTAGE4	0.3585
C9orf30	-0.950166666666667
OR52A1	1.132
HSP90B3P	-0.2145
ALG9	-0.1715
BTBD10	0.1705
SDK2	-0.11475
BAIAP3	-2.08075
RABGGTB	-1.302625
ANKRD40	-0.7905
KRT74	-0.1545
CALCOCO2	-0.0827857142857143
SNCA	-4.45475
TMSL8	-3.16325
C2orf53	-0.0895
ESRRB	0.0215
ARHGAP26	2.998125
TDRD9	-3.52525
HRAS	-0.179
KLRC4	-1.2495
JAGN1	0.208
BSDC1	0.194
RNF43	1.7164
NDUFAF1	-0.8705
PHF12	0.19125
OR1L3	0.35425
FOLR2	0.501833333333333
LYZL6	0.182333333333333
tcag7.1260	-1.1095
WSB1	-0.804666666666667
PROS1	-0.863222222222222
OSTN	0.39
PSMB8	1.75925
SOCS4	-0.525125
DDIT4L	0.12925
MAS1	0.459
MGC34796	1.07175
CSHL1	0.117166666666667
TBCCD1	0.199833333333333
ZBTB7C	0.3315
AP2S1	-0.61375
P15RS	-1.1861
VAT1	-1.3395
SHANK3	0.484666666666667
TUFM	0.57
THEG	-0.2745
KRT34	-1.3305
SGSM3	-0.59775
TOMM22	0.2005
SOCS3	0.547833333333333
CPO	0.382
POP4	0.41225
BHLHB3	-1.095
MALL	3.0675
OR1B1	0.5185
PARK2	0.071
GPR124	1.426625
LCE1E	-0.0515
RUVBL2	-0.131
CGRRF1	-0.7228
ACPL2	0.67225
WNT10B	-2.218625
BAIAP2L2	1.463125
ISCA1	0.098
C1orf125	4.655625
RPAP1	-0.7115
RAI16	0.511666666666667
RPL27	0.035625
NLRP9	-0.198
EPN1	0.859
LOC388610	-2.31475
SLC35A1	0.2127
GAL	-3.106
SLC14A2	0.64075
RDH11	-0.202833333333333
FAM138F	0.3245
AUH	0.5735
FLJ40243	0.089
C14orf129	0.7775
MBD2	-0.683333333333333
ABHD14B	0.700625
PIGT	0.450875
ALS2CR4	-1.2785
ALAS1	0.1167
FOXO1	0.847
CRLF3	-0.54425
C20orf107	-0.3435
FARS2	0.0605
CCDC28A	0.831
NPHP3	-0.8985
OR13F1	0.434
TSEN54	0.392
DEFB106B	0.557333333333333
OR8B4	0.8685
STH	-0.95275
ZC3H14	-0.56325
CBX2	-1.283
TMEM49	-0.35475
C6orf21	0.6125
FLJ20920	0.36875
CRTAP	-0.734785714285714
DDX50	-0.1535
STYXL1	-0.1345
BLVRB	-1.11283333333333
LOC147650	-1.28033333333333
MMP24	0.782
GRID1	1.551
BANF1	-0.183166666666667
CTAGEP	-0.165
HMBS	-1.0385
SLC25A24	-0.739166666666667
C14orf50	2.173
MRO	-0.624
SLC25A15	0.28275
FAM84B	-0.1373
TDP1	-0.415
C16orf78	-0.0555
C11orf57	0.55025
RFK	0.53525
ZFYVE9	-0.462571428571429
STCH	-1.7265
WIBG	0.4625
LOC283871	-0.0556666666666666
GBA2	-0.329
NDUFB3	0.093
HSD17B13	-0.1115
GRIN3A	0.871833333333333
FMNL1	-2.36933333333333
SEPT7	-0.5057
GNLY	1.904
GRAMD1C	0.349833333333333
ZNF165	0.39775
USP38	0.20675
FAM83A	-4.04316666666667
C14orf24	0.46125
ARMCX3	0.307
ARHGDIB	-1.00033333333333
AK1	1.10725
KIAA1045	-0.480666666666667
DNAJB13	-0.0701666666666667
NEU2	-0.22
HIST1H4B	-0.0348333333333333
FAM20B	-1.7292
HES2	2.04221428571429
FAM73B	0.1376
LOC388381	0.1105
INTS7	-1.02945454545455
AMPH	-0.78775
ZNF775	0.55
UCKL1	0.266666666666667
C10orf97	-0.4025
C1orf161	0.546
ALDH1L1	-0.39425
FLJ39378	-1.08175
SLC23A1	-0.6215
RBM4B	0.033
THAP4	0.253833333333333
OGFRL1	-1.52975
KIAA0831	-0.070125
PPP1R15A	-0.215
C1orf96	-0.625714285714286
C12orf11	-0.80675
BMF	0.40125
MAN1A1	-1.2545
KIAA1600	-0.284833333333333
NLGN4X	-1.05475
ALOX12	-0.961166666666666
RB1CC1	-0.3077
NEIL2	0.3227
EIF4E	0.229954545454545
ABHD5	-0.752
EXOC4	0.0658333333333333
CIP29	0.118
BATF2	3.2545
SLC29A4	-0.922
HTR4	2.5095
EMB	-0.923
TRAF6	0.739
LMNB1	1.47575
FAM19A5	-0.259375
SHE	0.1165
PIK3C2B	1.88125
C15orf15	-1.0094
USP15	-0.2856
TCEAL2	0.4605
C5orf39	-1.9915
PTGER2	-0.87725
SLC31A1	-0.5396875
IFT172	1.89625
ADAM29	0.425666666666667
GFOD1	0.81425
ST7L	0.529666666666667
C15orf26	-2.3655
PKN3	-1.5155
CNTD1	2.2985
COMMD1	-0.604125
NTRK2	1.48509090909091
FOXN3	0.61725
MFGE8	-0.3415
PFKFB2	0.933333333333333
TAS2R4	0.27725
ENTHD1	-0.103
PRMT5	-1.356375
MGC16384	-0.5755
LOC442229	0.00799999999999999
TSKU	0.557
KRTCAP3	4.281375
PDLIM1	1.7025
KCNS2	0.18325
RNF126	-0.0351666666666667
CEP63	-0.607875
CLIC4	-0.8845
hCG_1990170	0.2195
ACR	2.6952
KLK7	1.9625
ALOX5AP	2.0795
RIPK3	4.78125
TAS2R9	0.9535
C19orf18	1.096
BIRC6	0.275428571428571
ZNF16	0.5145
RFT1	0.02575
SLC8A2	0.32575
TACC1	0.31225
ITGAD	0.7165
SAMHD1	0.1635
SH3PXD2B	1.3344
EPC2	0.85075
C20orf85	0.132
ATP13A2	-0.0306666666666667
KRT4	0.481125
CAPNS1	-0.081
MDM2	-0.730166666666667
PCDH20	3.0975
KCNK9	0.4515
OR2C1	-0.1005
KLHDC3	-0.7375
IPPK	-0.07
EFHD2	1.23375
GALR3	0.9455
NBEA	-2.40883333333333
ABCA6	0.1453
CLDN3	3.94333333333333
AKT2	0.131857142857143
EGFR	0.3854
RBM16	0.58275
ZDHHC3	1.378
SLC25A4	-1.32016666666667
CYB5B	0.905833333333333
CPXM1	-0.81175
NDRG1	-0.567076923076923
FLJ43826	0.47025
OR5L2	0.322833333333333
FARP2	1.3571
MRPL46	-0.968166666666667
LDHAL6B	0.628666666666667
MAPKAPK3	0.193
NCAM2	-2.36425
PRKD2	-0.215833333333333
ZFP36L1	0.8989
CYSLTR1	-0.83525
OR4C3	0.27725
HIST1H2AJ	2.0745
CCNB2	-1.52511111111111
ZNF10	-0.8775
TMEM175	0.1985
FAM134A	0.312833333333333
TIGD4	0.212
PCNP	-0.8955
MGC39715	-0.19325
LQK1	-0.514
CREB1	-0.0049
TMPRSS3	-2.23
C4orf32	-1.305875
LAT	-2.262
KCNA3	0.111
SKIV2L2	-0.7245
ROPN1B	-4.6485
tcag7.23	0.43
CDT1	-0.69075
ZHX2	0.129125
CD28	-4.4495
ZNF624	0.446
SEPT2	-0.39025
SOHLH2	-2.047375
MCOLN3	-1.162375
UNQ1945	0.2855
MASP2	-0.667
ZNRF3	1.2066
GPATCH3	-0.2785
AGL	-0.70175
QRICH2	-0.8295
PSD4	-0.0528333333333333
CCNB1IP1	-0.023
ENPP7	-0.00175
OBFC1	-0.1455
KCNG3	-2.05125
C14orf79	-1.04316666666667
ENPEP	0.9495
SCT	1.427
SKI	0.762125
SEC61G	-0.37725
CAPN11	-0.044
ATXN7L3	-0.0995
DBNDD1	-0.0633333333333333
FAIM	-0.13375
ANKRD36	-0.1015
GABRP	0.134833333333333
TACSTD2	-0.887666666666667
EIF3J	-0.45
PPP2R2A	-0.6725
TEKT4	-0.0818333333333333
PVALB	-4.1784
F10	-2.18466666666667
FAM134C	0.8959
COMP	4.00275
EFCBP1	-2.88625
SCLT1	-0.326875
TAL1	-1.5532
ACSL1	-0.0425
ABCC5	-0.46925
ABL1	0.171722222222222
RBBP7	0.047
PTPRG	0.34275
NCOR1	0.0212
SPINK4	5.404
TXNRD1	-1.454
TNRC15	0.754875
C9orf138	-0.243428571428571
UBE2H	0.486166666666667
BRDT	-0.5882
C8orf31	-0.0145
CCNE2	-1.26772727272727
SLC6A8	-1.461625
CALCR	-4.7215
PPP1CB	0.727083333333333
ABHD8	-1.4425
ARF5	0.7124
SLC24A4	0.093
CCT3	-0.7105
ZNF121	-0.52975
SLC3A2	-1.3092
OR13A1	0.774
SLC5A10	-0.12775
RAD50	-0.00387499999999999
IER5	-0.365375
MTHFD1L	-1.22325
MBTPS2	0.1025
MVK	0.180125
NCL	0.5539
PSMD10	-0.98525
MOBP	0.343285714285714
FLJ32894	0.8715
HRH1	1.10266666666667
C5orf30	-0.0945
NUDT16L1	0.7029
RASGRP3	2.14766666666667
PRKRIP1	-0.4536
CCDC75	0.219
LOC253970	0.03325
KIAA1239	-0.66525
MED21	-0.47025
SYT11	-0.0756666666666667
NTSR2	-0.3045
EGFL11	1.359
CXorf59	-0.6135
OR2A25	0.065
SPTBN2	-0.9095
LRMP	-2.28883333333333
RNF111	-1.11875
PTH	-1.2535
LOC619208	-1.04966666666667
KIAA0895	-1.82575
RANBP5	0.210125
P2RY10	-0.761833333333333
NME5	-0.519666666666667
DDX21	-0.45775
LRSAM1	-0.4715
HDAC11	0.469666666666667
VMO1	1.3825
NOLA2	-0.219166666666667
ADAR	-1.07633333333333
MTO1	-0.897833333333333
SF4	0.193833333333333
P2RX1	-0.00916666666666668
HBM	0.2805
EN2	1.1305
C14orf172	1.259
TM9SF2	0.4685
INHBE	-1.12466666666667
TCTE3	0.13925
TOX2	-2.41175
CTAGE3	-0.129625
HBB	4.3924
MED15	-1.03583333333333
CASR	0.11675
C6orf66	0.547333333333333
MTPN	-0.421
UNC50	-0.49525
C21orf33	-0.13125
IRF2	1.119875
PGR	-2.22933333333333
GPR84	1.146
CROCCL1	-1.134
SRPX	-3.1235
BRE	0.034
FGF10	0.47725
SDC3	0.115166666666667
ZRSR1	-0.989
DKFZP434P211	-0.668125
SOX6	-0.523
RPUSD2	0.38925
C14orf173	0.29075
MAPK11	-0.474
TBC1D22A	0.3185
FAM123A	-0.4045
COL4A6	-3.32283333333333
TOMM70A	0.158
NAB1	-0.23175
MGC16385	0.10575
TSPAN18	-0.838666666666667
MED31	-0.48775
PLG	-0.21575
CAPSL	0.222
ZNF532	0.6542
ASB14	0.4005
CA8	-3.10725
NUDT16P	2.932
SLFN11	-2.136
LRRIQ2	-1.022375
NOL7	-0.00383333333333333
BRMS1L	-0.95425
JARID1A	0.0635
PANK2	0.453
ICAM3	-0.605
MDS1	2.68875
TAF8	-0.4225
RNF139	-0.32325
ZNF594	-0.291166666666667
ADAM8	0.173
SFTPC	-0.0645
MAN2B2	0.087375
RGS12	-0.3709375
EIF1AY	0.327916666666667
LRRIQ1	-1.38916666666667
GPR150	0.95225
CCDC21	-1.65033333333333
PRRG3	0.15625
SAA4	-4.207
RAPGEF5	2.33175
ZCCHC2	-0.249416666666667
MGC39372	-0.1425
PPP4R2	-0.182833333333333
CDCA2	-1.23466666666667
OR4D5	0.461166666666667
PTGFRN	0.2961
SIGLEC5	-0.088
C19orf61	-0.4445
NMUR2	0.0735
KIAA1586	-1.40566666666667
DAGLA	1.49
CHCHD6	-0.01675
GPR32	0.324
NEUROD6	0.468
SLC2A4RG	-0.5245625
CA5B	-0.278
FBXL3	0.59825
MPHOSPH9	-1.70225
HMG2L1	-0.219
HCN4	0.4935
CEACAM19	0.5255
SH2D4B	0.1855
HFE2	-1.0255
TGM4	1.04566666666667
LYPD2	0.07
TBC1D15	-0.8785
MRPS21	-0.6934
NONO	-0.2293
CLEC5A	1.093625
ITCH	0.8299
MGAT3	-0.2625
MBP	-0.4025
RPP25	0.68525
SOSTDC1	1.247
HRC	-1.78875
TRIM48	-0.5465
TMEM133	1.0205
ECEL1P2	-0.9735
HOXC11	-0.6405
DOK5	-2.05325
HELZ	0.253333333333333
LOC348180	0.176
MGC33894	0.14625
ADRB3	0.2835
DMD	0.0428333333333334
PTRH2	0.30025
MPEG1	2.0095
NDUFA12	0.284166666666667
KRTAP2-4	0.228416666666667
STAMBPL1	0.692333333333333
ADCY2	0.1615
UNQ6125	0.3775
KLHL20	-0.630833333333333
SRM	-1.28675
OTC	2.07
TMIE	-0.186
SNX8	-0.60175
LIPK	0.6585
CHURC1	0.367666666666667
KLC2	0.383166666666667
HDAC1	0.346166666666667
FAM128A	-0.0261666666666667
FNDC3B	0.0103
MTCP1	-0.138166666666667
WFDC10B	1.6308
PCDHGB3	-0.2515
ATRNL1	-2.57422222222222
CAV2	-1.523875
MED26	0.0805
DUS1L	1.283
CHRM3	0.271875
NEK9	-0.04
WARS2	0.1525
TBX22	-0.7355
TOMM40	0.18975
RP6-213H19.1	-0.337833333333333
TUBGCP5	-1.74625
IGSF6	2.79625
TPPP	0.466
UNQ6190	0.3975
GSTM5	0.95325
BTD	-0.914333333333333
PDCD1LG2	-1.11883333333333
SNRPB2	1.16866666666667
ERICH1	0.79625
APOA4	-1.5745
HOXA11	0.81875
NARG1	-0.304
MKX	0.05525
RAB28	-0.743785714285714
PKP3	2.0945
SH3GL2	-1.59866666666667
CTSO	0.69625
RPN2	0.8231875
IL28RA	2.19066666666667
SFMBT1	0.743
WDR57	-0.866125
FER1L3	-0.0500833333333333
HSF5	0.8274
TTC9B	0.5585
C4BPA	-1.87483333333333
ALB	-4.26908333333333
SORBS3	0.551375
UPF2	0.3575
JPH1	1.4015
AGBL2	-0.07075
DOPEY1	1.6605
TERF1	-0.597166666666667
KIF22	-0.244166666666667
NINJ1	-0.703
SEC61A2	-0.892166666666667
HIST1H1D	1.25333333333333
SFXN4	0.900375
UCP3	0.2734
ZNF703	1.49916666666667
MYL6B	-0.6635
TREM1	1.42425
OR52E6	0.3195
CKMT2	6.4905
HLA-C	2.24425
SLC13A3	0.363166666666667
TIMP4	-0.563
SLIT2	0.57725
RSF1	-0.116888888888889
LONRF1	-0.380214285714286
MON1A	0.285333333333333
CACNG6	-1.86
DPPA4	-6.526
ZSWIM3	1.9585
ZNF804A	-0.0726666666666667
CCIN	0.90075
SLC25A31	0.61225
KCNMB4	0.74825
RABL5	-0.372875
GALNS	0.2299
STX6	-0.101375
HIST1H1C	-3.27383333333333
CIDEB	-1.251625
CASP4	-0.545833333333333
PDK3	0.2289
KCNJ11	-0.0585
TPR	-0.991625
ZSCAN20	-0.178
MTX2	-0.34925
HIST1H2BH	-0.43225
LOC283767	0.59225
LYRM7	-1.1505
BRD3	0.827666666666667
HIST1H2BO	-0.668
MAGEB10	0.052
SLC45A1	-0.67475
SERPINA3	-3.3866
KIAA0143	-0.14125
KCNJ16	-0.3206
KRT79	-0.11375
FABP2	2.37425
NUT	-0.13
ZNF57	1.1185
FBXL4	-0.23975
CLEC9A	-0.3405
UGT8	2.83483333333333
BMP2K	-0.50025
MAPK4	-3.53525
SLC25A23	0.2487
HINT1	-0.9881
KRTAP13-1	-0.566
SFXN5	0.1625
CHCHD2	0.458583333333333
FAM3D	5.3355
NDP	-3.497125
RHOBTB1	0.0423333333333333
SLC4A4	-0.601125
RPL38	0.41325
HTF9C	-1.655
AP2A2	-0.148125
ZBTB46	-1.375
MAP7D1	-0.790125
AOX1	-2.21533333333333
CYR61	-0.19875
DTNA	-1.02484615384615
JRKL	1.3765
TMOD3	-0.739
EEA1	0.9017
ADCK5	0.84475
IL1R1	0.055
KLK3	0.511928571428572
HRSP12	0.2985
KTN1	0.1645
LOH11CR2A	0.827
RELL2	-0.146
MAB21L1	0.53775
C20orf59	-0.355833333333333
PHKB	0.13625
ADAM2	-1.71683333333333
TBC1D8B	1.47316666666667
FAM13A1	-0.169
LAPTM4B	-1.77441666666667
LCN8	0.3245
TMEM147	-0.1545
SYT4	1.17366666666667
XPO7	-0.488
C9orf62	1.25975
GPR75	0.1975
TRIM5	0.63675
APOC1	-1.92616666666667
RNASE4	1.308
PARD6B	-1.244875
ARID1A	-0.407583333333333
TPD52L3	0.1257
RRAGB	-0.483666666666667
RCN2	-0.985833333333333
HIST2H2BE	-0.7725
STARD7	0.24225
SHMT2	-1.12675
KIAA1751	-0.233
MLYCD	1.23625
LOC162632	-1.6308
UQCRH	-1.1055
RP11-217H1.1	0.1345625
SDHA	-1.20916666666667
NCLN	0.5872
ZNF17	0.241666666666667
RCBTB2	-2.157
VEGFB	-0.421
RP4-747L4.3	-0.47925
COLQ	-0.1703
MPN2	-0.897333333333333
DRG2	-0.183
KLRB1	3.436
ALPK2	-2.599
DNASE2B	0.87775
FLJ23834	-0.2605
AXUD1	0.180166666666667
SAFB	0.4362
NSUN4	-0.666
RFX2	0.0908333333333333
MAPK8IP1	-0.0738333333333333
FANCD2	-1.11164285714286
ANKZF1	-1.31566666666667
C19orf50	-0.63325
DUSP8	1.814125
SENP5	0.069375
NFKBIL2	0.435
LBR	0.675625
IGFL1	0.6195
LZTS2	-0.62175
IL2RG	-0.06925
CCDC51	0.10975
KLF3	0.91475
ANKRD37	-1.34325
KCTD14	2.88883333333333
FZR1	0.409416666666667
SLC44A4	4.0275
ESPL1	-0.807
GMPR2	-0.8111
TBC1D19	-1.47183333333333
ERGIC1	0.625925925925926
ERBB4	-2.28077777777778
TSPAN32	-0.0798333333333334
MAP4	-0.018375
GPHN	0.06875
SLC6A2	-0.292375
HIVEP1	0.31475
DFFB	0.3633
EIF4EBP2	0.779625
DMRT1	-0.383
HSPB6	0.07525
IER2	0.7745
AIFM1	0.37175
WWC2	-1.01483333333333
MRPL4	0.04475
FLJ21062	0.715333333333333
EPB41L4A	-0.314545454545455
SH2D6	0.3325
TAF4B	-1.3245
GAL3ST3	0.076
MALT1	-1.89533333333333
RTDR1	1.06475
ARVCF	-0.315375
MEX3B	-1.39733333333333
FBXO16	-0.30325
KIF7	-1.68575
C1QC	4.2305
ZNF783	-0.0193333333333333
ZNF85	-0.50375
MMP13	0.1005
KIAA0329	0.2985
RTP3	-0.4445
ZBED3	0.4725
CLGN	-5.4815
SLC25A37	-1.46379166666667
hCG_18290	0.1905
OR5AS1	0.3875
SMARCC2	0.0135833333333334
FAM109A	0.900833333333333
CCDC12	0.078
USF2	-0.3082
DEPDC7	-0.821
C20orf24	0.707333333333333
JMJD3	0.123
DSP	0.736571428571429
