Hybridization REF	TCGA-AA-A00F-01A-01R-A002-07
C6orf27	0.536
SYTL5	-0.5335
PRND	0.39725
LOC653319	-0.2525
PIGL	-0.73
HUS1	0.784
SFRS6	0.158583333333333
C17orf77	0.4505
UIMC1	-0.573333333333333
FXYD2	-1.6749
LOC283152	-0.6505
ZNF667	-2.0775
ZCCHC12	-0.73125
TFEC	0.6559
ATP7B	1.789
POLD2	-0.863666666666667
RG9MTD1	-0.232
ACOT2	-1.06483333333333
HIST1H4I	-0.814
PPARGC1A	1.0055
ETFA	-0.838
POLRMT	-0.074
ZNF146	-0.073625
MIA2	0.2725
KLHL6	-1.79166666666667
HOXB5	2.44925
NENF	0.1985
CUGBP1	-0.26775
PRSS22	1.98583333333333
CASC4	0.8644
CUL4B	-0.0187
CENPJ	0.5607
PITX1	-0.811333333333333
FLJ31033	0.314166666666667
CELSR3	0.6755
ZNF568	-1.6975
ITSN1	-0.520166666666667
EHBP1L1	0.0308333333333333
C19orf2	0.26825
DCTN1	-0.9645
LIN28B	-4.1685
TNKS2	-0.091
C1QBP	-0.709375
CADPS2	-0.663
SRMS	1.1705
GJA9	-0.139833333333333
MGC24975	-0.246
TRIM45	-1.732
TSP50	-0.11275
TCP1	-0.5125
TMED7	-0.3024
CMA1	0.205
CENPL	-0.708166666666667
PTCRA	-0.279
FST	-4.40625
VWCE	-4.07825
PAWR	1.1045
ABCC12	-0.191833333333333
LDLR	-0.6819
ASTN2	-0.4879
LOC441212	0.232625
GPATCH8	-0.30775
TANC2	-2.50791666666667
KIF4A	-0.85925
C18orf18	-0.23175
PGM1	-1.939
KIAA0258	0.84225
CPD	-0.207125
SNCAIP	0.48925
DCT	-4.25333333333333
HLA-DOA	1.63813636363636
OR11L1	0.51
UPK1B	-1.31716666666667
DNAJB4	-1.478875
UGT1A8	2.54925
HIST1H4L	-0.0365
PECR	-1.15633333333333
HSPA2	1.4925
WFIKKN1	-1.4915
SERP1	-0.0755
SYDE2	-0.24225
TACR2	0.632
NUP85	-0.80225
CD177	4.20533333333333
LGR5	0.6425
PIGG	-0.320583333333333
PTHR1	-2.46683333333333
RAB5A	0.2582
FLJ13224	0.2125
USP9Y	-0.272833333333333
C7orf53	0.7945
LRP1B	-0.82075
XAF1	1.3624
ABCG8	-1.537
ANKDD1A	-0.482
DAND5	-2.2885
SPAG6	0.0183333333333334
LINCR	0.79275
ZDHHC22	-1.412375
CCDC60	0.1345
THOC7	-0.383333333333333
TCTA	0.7601
OR8K3	-0.15025
NY-REN-7	-0.3245
B2M	1.05116666666667
C6orf141	0.43825
LPPR4	1.846
SQLE	-0.942
SEPHS1	-0.88975
BTBD14B	0.503857142857143
PLRG1	-0.51875
SPG7	-0.0336875
ZNF614	-0.544
PARD6G	-0.0861666666666667
INPP5B	-1.2621
GRPEL2	-0.736875
PPID	-0.0323
TRIM56	0.69825
UBE2J1	0.204625
IL20RA	6.32225
LOC387856	-0.0495
C1orf107	0.301833333333333
UTS2R	1.3485
C19orf22	0.54875
SAFB2	0.119
KIAA0652	-0.14275
KLRG1	-1.83516666666667
MS4A8B	4.09266666666667
FRAG1	0.71
KIAA1546	-0.43475
E2F4	0.2824
CLEC4M	0.249
BTBD14A	-0.97825
KIAA0999	-0.4213
GYPA	-3.857
TAC1	3.4438
TRAIP	-0.106
KIAA0232	0.477
ERCC8	-1.4255
GPX4	-0.0215
KIAA0368	0.133375
GPR157	-0.1865
CTAGE4	1.4225
C9orf30	-1.1985
OR52A1	0.6385
HSP90B3P	-0.298
ALG9	-0.9603
BTBD10	0.882
SDK2	0.0335
BAIAP3	-1.4535
RABGGTB	-0.929875
ANKRD40	-0.845
KRT74	0.2235
CALCOCO2	-0.0139285714285714
SNCA	-4.013
TMSL8	-3.0075
C2orf53	0.757
ESRRB	0.05925
ARHGAP26	1.96775
TDRD9	-2.7625
HRAS	0.213
KLRC4	-2.205
JAGN1	0.3365
BSDC1	0.1195
RNF43	0.9291
NDUFAF1	-0.6415
PHF12	0.02275
OR1L3	0.2825
FOLR2	1.14275
LYZL6	-0.298
tcag7.1260	0.1705
WSB1	-0.911666666666667
PROS1	-0.7943
OSTN	0.5695
PSMB8	1.37375
SOCS4	-0.34225
DDIT4L	-0.55175
MAS1	-0.2555
MGC34796	0.792
CSHL1	-0.0473333333333333
TBCCD1	-0.761
ZBTB7C	0.1585
AP2S1	-0.958625
P15RS	-1.5933
VAT1	-1.5401
SHANK3	0.693833333333333
TUFM	0.270166666666667
THEG	-0.482
KRT34	-1.31775
SGSM3	-0.39775
TOMM22	-0.407625
SOCS3	-0.194833333333333
CPO	0.1205
POP4	0.402
BHLHB3	0.362
MALL	4.178
OR1B1	0.2765
PARK2	0.0178333333333334
GPR124	0.718375
LCE1E	0.7565
RUVBL2	-0.61375
CGRRF1	-0.5305
ACPL2	0.288
WNT10B	-1.806625
BAIAP2L2	2.19025
ISCA1	-0.161
C1orf125	3.507875
RPAP1	-1.09025
RAI16	-0.497666666666667
RPL27	-0.829875
NLRP9	0.1945
EPN1	0.5745
LOC388610	-1.52475
SLC35A1	0.9135
GAL	-3.5585
SLC14A2	0.26925
RDH11	-0.244166666666667
FAM138F	-0.102
AUH	0.13925
FLJ40243	0.67775
C14orf129	1.67
MBD2	-0.555833333333333
ABHD14B	0.448625
PIGT	0.075875
ALS2CR4	-1.121
ALAS1	0.3969
FOXO1	0.7295
CRLF3	-0.80675
C20orf107	-0.6915
FARS2	-0.0755
CCDC28A	0.608
NPHP3	-0.24575
OR13F1	0.3765
TSEN54	-0.063
DEFB106B	0.2644
OR8B4	0.823
STH	-0.663
ZC3H14	-0.220875
CBX2	-0.712
TMEM49	-1.14925
C6orf21	0.221
FLJ20920	-0.0425
CRTAP	-0.512785714285714
DDX50	-0.4595
STYXL1	0.34075
BLVRB	-0.820666666666667
LOC147650	-1.1285
MMP24	0.472
GRID1	0.917666666666667
BANF1	-0.0868333333333333
CTAGEP	0.3515
HMBS	-1.1195
SLC25A24	0.224166666666667
C14orf50	2.51325
MRO	-0.705833333333333
SLC25A15	1.12075
FAM84B	-0.0265
TDP1	0.234
C16orf78	-0.212666666666667
C11orf57	0.1625
RFK	0.796125
ZFYVE9	-0.32775
STCH	-1.6307
WIBG	0.3475
LOC283871	-0.511333333333333
GBA2	-0.1007
NDUFB3	-0.023
HSD17B13	-0.66625
GRIN3A	0.507666666666667
FMNL1	-2.4715
SEPT7	-0.0971
GNLY	3.2325
GRAMD1C	0.665
ZNF165	0.401
USP38	0.3005
FAM83A	-3.44033333333333
C14orf24	0.669166666666667
ARMCX3	0.287625
ARHGDIB	-0.612833333333333
AK1	0.3575
KIAA1045	-0.19725
DNAJB13	-0.3195
NEU2	-0.084
HIST1H4B	0.025
FAM20B	-1.1933
HES2	2.28235714285714
FAM73B	-0.0578
LOC388381	0.2565
INTS7	-0.593
AMPH	0.31475
ZNF775	0.28375
UCKL1	0.191833333333333
C10orf97	-0.50975
C1orf161	0.766
ALDH1L1	0.4995
FLJ39378	-0.925
SLC23A1	-1.665
RBM4B	-0.25
THAP4	0.077
OGFRL1	-1.8705
KIAA0831	-0.0835
PPP1R15A	-0.607166666666667
C1orf96	-0.300857142857143
C12orf11	-1.2865
BMF	0.47875
MAN1A1	-2.03875
KIAA1600	-0.0231666666666667
NLGN4X	-0.93525
ALOX12	-1.0295
RB1CC1	0.1303
NEIL2	-0.5659
EIF4E	-0.0151818181818182
ABHD5	-0.27525
EXOC4	0.456166666666667
CIP29	-0.056
BATF2	3.0485
SLC29A4	-0.932625
HTR4	1.49925
EMB	-1.72875
TRAF6	1.19675
LMNB1	0.686
FAM19A5	-0.347125
SHE	0.465
PIK3C2B	2.64275
C15orf15	-0.8848
USP15	-0.0514
TCEAL2	-0.4565
C5orf39	-1.39733333333333
PTGER2	-0.3795
SLC31A1	-0.4870625
IFT172	1.136
ADAM29	-0.15325
GFOD1	0.4795
ST7L	0.0881666666666667
C15orf26	-2.329
PKN3	-1.85375
CNTD1	1.21833333333333
COMMD1	-0.55325
NTRK2	2.15591666666667
FOXN3	0.413875
MFGE8	-0.7702
PFKFB2	1.6365
TAS2R4	0.1975
ENTHD1	0.712666666666667
PRMT5	-1.489375
MGC16384	-0.155625
LOC442229	-0.6885
TSKU	0.5155
KRTCAP3	4.09175
PDLIM1	1.3869
KCNS2	0.258
RNF126	0.296166666666667
CEP63	-0.21325
CLIC4	-1.242625
hCG_1990170	1.20825
ACR	3.0049
KLK7	-0.64175
ALOX5AP	2.257625
RIPK3	5.234
TAS2R9	0.449
C19orf18	-0.0395
BIRC6	0.497857142857143
ZNF16	-0.299
RFT1	-0.26
SLC8A2	-1.33
TACC1	1.84425
ITGAD	0.771
SAMHD1	-0.064
SH3PXD2B	0.6369
EPC2	0.89325
C20orf85	0.21375
ATP13A2	-0.252833333333333
KRT4	0.51525
CAPNS1	-0.24775
MDM2	-0.525416666666667
PCDH20	5.2385
KCNK9	0.536
OR2C1	0.0755
KLHDC3	-0.980666666666667
IPPK	-0.243
EFHD2	0.951625
GALR3	1.353
NBEA	-1.99733333333333
ABCA6	1.6474
CLDN3	3.27733333333333
AKT2	-0.0841428571428572
EGFR	1.2112
RBM16	0.41225
ZDHHC3	1.803
SLC25A4	-1.5915
CYB5B	0.628833333333333
CPXM1	-0.63175
NDRG1	-0.484692307692308
FLJ43826	-0.03125
OR5L2	0.343166666666667
FARP2	0.9403
MRPL46	-0.9225
LDHAL6B	0.112833333333333
MAPKAPK3	0.0413333333333333
NCAM2	-2.3235
PRKD2	0.115333333333333
ZFP36L1	1.1463
CYSLTR1	-1.561
OR4C3	0.59375
HIST1H2AJ	0.739
CCNB2	-0.919111111111111
ZNF10	-0.715875
TMEM175	0.49
FAM134A	0.1975
TIGD4	-0.26
PCNP	-0.55875
MGC39715	-0.177
LQK1	-0.63025
CREB1	0.1546
TMPRSS3	0.16125
C4orf32	-1.080125
LAT	-1.57591666666667
KCNA3	-0.156
SKIV2L2	-1.194
ROPN1B	-4.7805
tcag7.23	0.0055
CDT1	-1.29075
ZHX2	0.216625
CD28	-3.55425
ZNF624	-0.07225
SEPT2	-0.398166666666667
SOHLH2	-2.974
MCOLN3	-1.7905
UNQ1945	0.5145
MASP2	-0.116
ZNRF3	1.095
GPATCH3	-0.65775
AGL	-0.617625
QRICH2	-0.6375
PSD4	-0.0673333333333333
CCNB1IP1	-0.631
ENPP7	-0.33475
OBFC1	-0.97775
KCNG3	-2.3715
C14orf79	-1.0255
ENPEP	0.597833333333333
SCT	2.3065
SKI	1.08325
SEC61G	-0.25625
CAPN11	-0.18975
ATXN7L3	-0.37525
DBNDD1	0.357333333333333
FAIM	-0.03675
ANKRD36	-0.8175
GABRP	-1.0415
TACSTD2	-2.789
EIF3J	-0.24425
PPP2R2A	-1.35725
TEKT4	-1.50566666666667
PVALB	-3.89166666666667
F10	-2.07216666666667
FAM134C	0.3613
COMP	3.226875
EFCBP1	-3.2604375
SCLT1	0.71225
TAL1	-1.0646
ACSL1	-0.03625
ABCC5	-0.516
ABL1	-0.403944444444444
RBBP7	-0.0624166666666667
PTPRG	1.058875
NCOR1	0.1629
SPINK4	6.443
TXNRD1	-0.9207
TNRC15	1.03225
C9orf138	-0.431875
UBE2H	0.4385
BRDT	-0.0868333333333333
C8orf31	-0.0115
CCNE2	-1.19763636363636
SLC6A8	-0.343125
CALCR	-4.24425
PPP1CB	0.72575
ABHD8	-1.442
ARF5	0.7366
SLC24A4	0.35375
CCT3	-0.387
ZNF121	-0.16175
SLC3A2	-0.8883
OR13A1	0.5985
SLC5A10	0.30425
RAD50	0.150625
IER5	0.119375
MTHFD1L	-0.463875
MBTPS2	-0.5055
MVK	-0.74925
NCL	0.3473
PSMD10	-0.918
MOBP	0.409625
FLJ32894	-1.3635
HRH1	1.6265
C5orf30	0.729
NUDT16L1	0.3229
RASGRP3	2.7325
PRKRIP1	0.095
CCDC75	0.7935
LOC253970	0.28425
KIAA1239	1.01775
MED21	-0.99925
SYT11	0.00791666666666667
NTSR2	-0.348
EGFL11	0.8925
CXorf59	0.179
OR2A25	0.347
SPTBN2	-0.92225
LRMP	-1.77233333333333
RNF111	-0.54775
PTH	-0.3905
LOC619208	-0.71
KIAA0895	-1.79375
RANBP5	0.82175
P2RY10	-0.0716666666666667
NME5	-0.3965
DDX21	-0.79
LRSAM1	-1.1065
HDAC11	-0.112833333333333
VMO1	0.6545
NOLA2	-0.947333333333333
ADAR	-0.44325
MTO1	-0.956
SF4	0.114
P2RX1	0.3805
HBM	-0.19275
EN2	1.4285
C14orf172	0.76975
TM9SF2	1.4206
INHBE	-1.11183333333333
TCTE3	0.4555
TOX2	-2.31725
CTAGE3	0.192625
HBB	3.7683
MED15	-1.03033333333333
CASR	0.48175
C6orf66	0.6025
MTPN	0.600125
UNC50	-0.56425
C21orf33	-0.32025
IRF2	0.6995
PGR	-2.75883333333333
GPR84	0.8795
CROCCL1	-1.6855
SRPX	-2.91975
BRE	-0.12
FGF10	0.7485
SDC3	-0.827666666666667
ZRSR1	-0.5075
DKFZP434P211	-0.614125
SOX6	-0.2675
RPUSD2	-0.02575
C14orf173	0.29075
MAPK11	-0.3955
TBC1D22A	0.678
FAM123A	-0.665
COL4A6	-3.47
TOMM70A	-0.1955
NAB1	0.813625
MGC16385	-0.86725
TSPAN18	-0.748666666666667
MED31	-0.98475
PLG	-0.243
CAPSL	-0.0445
ZNF532	0.7165
ASB14	-0.385
CA8	-3.09425
NUDT16P	2.57333333333333
SLFN11	-1.939
LRRIQ2	-1.06175
NOL7	0.076
BRMS1L	-1.52875
JARID1A	0.977
PANK2	-1.0905
ICAM3	0.2355
MDS1	2.34075
TAF8	0.34125
RNF139	-0.271
ZNF594	-0.2355
ADAM8	0.760375
SFTPC	-0.2485
MAN2B2	0.377875
RGS12	-0.175375
EIF1AY	0.275916666666667
LRRIQ1	-1.83983333333333
GPR150	1.55825
CCDC21	-1.75633333333333
PRRG3	0.48825
SAA4	-4.1395
RAPGEF5	2.86675
ZCCHC2	0.10725
MGC39372	-1.559
PPP4R2	0.1405
CDCA2	-1.76416666666667
OR4D5	0.519666666666667
PTGFRN	0.916
SIGLEC5	0.594333333333333
C19orf61	-0.757166666666667
NMUR2	0.1905
KIAA1586	-1.70366666666667
DAGLA	1.57766666666667
CHCHD6	-0.5205
GPR32	0.5155
NEUROD6	0.217166666666667
SLC2A4RG	-0.0138125
CA5B	0.07875
FBXL3	1.30375
MPHOSPH9	-1.65075
HMG2L1	-0.33575
HCN4	0.8395
CEACAM19	0.15025
SH2D4B	0.337166666666667
HFE2	-0.468
TGM4	-0.0703333333333333
LYPD2	-0.00325
TBC1D15	-0.16675
MRPS21	-0.4945
NONO	-0.5326
CLEC5A	0.922
ITCH	0.114
MGAT3	0.9795
MBP	-0.0457499999999999
RPP25	0.89175
SOSTDC1	-0.05225
HRC	-2.14275
TRIM48	0.0885
TMEM133	1.76675
ECEL1P2	-0.295
HOXC11	-0.4455
DOK5	-1.2945
HELZ	-0.2225
LOC348180	-0.06925
MGC33894	0.26675
ADRB3	0.2905
DMD	-0.105666666666667
PTRH2	-0.817
MPEG1	2.44883333333333
NDUFA12	-0.00216666666666666
KRTAP2-4	0.288666666666667
STAMBPL1	0.063
ADCY2	-0.152833333333333
UNQ6125	0.4
KLHL20	0.0728333333333333
SRM	-1.105
OTC	0.83325
TMIE	1.15633333333333
SNX8	0.34175
LIPK	0.1275
CHURC1	-0.263333333333333
KLC2	0.317666666666667
HDAC1	0.174166666666667
FAM128A	-0.741333333333333
FNDC3B	0.2194
MTCP1	-0.208833333333333
WFDC10B	2.6369
PCDHGB3	0.295
ATRNL1	-2.5709
CAV2	-1.5225
MED26	-0.0796666666666667
DUS1L	0.8105
CHRM3	1.133375
NEK9	-0.00599999999999999
WARS2	0.62225
TBX22	-0.6995
TOMM40	-0.44
RP6-213H19.1	0.142833333333333
TUBGCP5	-1.4225
IGSF6	4.4125
TPPP	0.213166666666667
UNQ6190	0.4365
GSTM5	0.206
BTD	-0.762166666666667
PDCD1LG2	-0.67
SNRPB2	-0.797666666666667
ERICH1	-0.242625
APOA4	-1.9
HOXA11	1.33425
NARG1	-0.27125
MKX	0.5615
RAB28	-0.661428571428572
PKP3	2.93375
SH3GL2	-2.832
CTSO	1.82425
RPN2	0.659625
IL28RA	1.74783333333333
SFMBT1	1.41625
WDR57	-0.9465
FER1L3	0.376083333333333
HSF5	0.148166666666667
TTC9B	0.81025
C4BPA	-1.14183333333333
ALB	-4.60942857142857
SORBS3	-0.044
UPF2	-0.022
JPH1	1.812
AGBL2	-1.4415
DOPEY1	1.62
TERF1	-0.626083333333333
KIF22	-0.409166666666667
NINJ1	-0.93775
SEC61A2	-0.944
HIST1H1D	0.130333333333333
SFXN4	0.03375
UCP3	1.0066
ZNF703	0.782666666666667
MYL6B	-1.064
TREM1	2.252
OR52E6	0.2875
CKMT2	2.5065
HLA-C	1.903625
SLC13A3	-0.772166666666667
TIMP4	-0.94325
SLIT2	1.331
RSF1	0.257333333333333
LONRF1	-1.544
MON1A	0.444166666666667
CACNG6	-1.47033333333333
DPPA4	-4.72633333333333
ZSWIM3	0.951
ZNF804A	-0.393166666666667
CCIN	0.60125
SLC25A31	0.189666666666667
KCNMB4	-2.42375
RABL5	-0.329625
GALNS	-0.3955
STX6	0.597
HIST1H1C	-2.10266666666667
CIDEB	-0.830125
CASP4	-0.146666666666667
PDK3	-0.6327
KCNJ11	0.153
TPR	-0.3225
ZSCAN20	0.061
MTX2	-0.054
HIST1H2BH	-0.4255
LOC283767	0.09325
LYRM7	-1.1745
BRD3	0.4965
HIST1H2BO	-0.3575
MAGEB10	-0.1235
SLC45A1	-0.2665
SERPINA3	-3.48315
KIAA0143	-0.0315
KCNJ16	1.304
KRT79	-0.245
FABP2	2.7445
NUT	-0.4765
ZNF57	0.64975
FBXL4	0.162875
CLEC9A	0.5905
UGT8	2.35333333333333
BMP2K	0.0385
MAPK4	-3.51475
SLC25A23	0.2484
HINT1	-0.6692
KRTAP13-1	2.518
SFXN5	-0.2933
CHCHD2	0.417916666666667
FAM3D	5.199
NDP	-2.6425
RHOBTB1	0.518333333333333
SLC4A4	3.733125
RPL38	-0.41675
HTF9C	-1.4065
AP2A2	0.268125
ZBTB46	-1.074
MAP7D1	-0.762875
AOX1	-2.33666666666667
CYR61	-0.227166666666667
DTNA	-1.77421428571429
JRKL	2.67825
TMOD3	-0.69175
EEA1	0.2756
ADCK5	0.924
IL1R1	0.529166666666667
KLK3	1.78257142857143
HRSP12	-0.33875
KTN1	0.5695
LOH11CR2A	0.4803
RELL2	-1.24225
MAB21L1	-0.40625
C20orf59	-0.383333333333333
PHKB	0.14325
ADAM2	-2.26383333333333
TBC1D8B	1.404
FAM13A1	-0.555875
LAPTM4B	-0.651666666666667
LCN8	0.4945
TMEM147	-0.0035
SYT4	0.919833333333333
XPO7	-1.4805
C9orf62	1.66925
GPR75	0.1335
TRIM5	0.57775
APOC1	-2.001
RNASE4	0.617666666666667
PARD6B	-0.92725
ARID1A	-0.304333333333333
TPD52L3	0.1917
RRAGB	-0.188833333333333
RCN2	-1.05383333333333
HIST2H2BE	-0.9961875
STARD7	0.232
SHMT2	-0.55675
KIAA1751	0.0815
MLYCD	1.021375
LOC162632	-1.4809
UQCRH	-1.45
RP11-217H1.1	0.1805625
SDHA	-1.4
NCLN	0.3113
ZNF17	0.015
RCBTB2	-0.78825
VEGFB	-0.3163
RP4-747L4.3	0.53975
COLQ	-0.1941
MPN2	-1.0495
DRG2	-1.0065
KLRB1	5.33325
ALPK2	-1.839
DNASE2B	1.12925
FLJ23834	1.01866666666667
AXUD1	-0.539166666666667
SAFB	0.5347
NSUN4	-1.1195
RFX2	-0.66
MAPK8IP1	-1.19733333333333
FANCD2	-0.333857142857143
ANKZF1	-1.1135
C19orf50	-0.832875
DUSP8	2.38125
SENP5	0.061875
NFKBIL2	0.5035
LBR	1.195375
IGFL1	3.7605
LZTS2	-0.59625
IL2RG	1.733375
CCDC51	0.289
KLF3	1.363375
ANKRD37	-2.2825
KCTD14	2.60533333333333
FZR1	0.141
SLC44A4	4.2184
ESPL1	-0.998125
GMPR2	-1.321
TBC1D19	-1.74666666666667
ERGIC1	0.647703703703704
ERBB4	-1.7802
TSPAN32	-0.458
MAP4	-0.0525
GPHN	-0.587
SLC6A2	-0.123
HIVEP1	0.71725
DFFB	0.3334
EIF4EBP2	1.090125
DMRT1	-0.6705
HSPB6	0.251
IER2	0.437166666666667
AIFM1	0.541
WWC2	-0.911
MRPL4	-0.2025
FLJ21062	0.836166666666667
EPB41L4A	0.641083333333333
SH2D6	-0.00799999999999999
TAF4B	-0.8975
GAL3ST3	-0.2
MALT1	-0.707833333333333
RTDR1	-0.10025
ARVCF	-0.848625
MEX3B	-2.08933333333333
FBXO16	-3.03175
KIF7	-2.061
C1QC	4.16816666666667
ZNF783	0.489333333333333
ZNF85	-0.595
MMP13	-0.176
KIAA0329	0.506625
RTP3	-0.806
ZBED3	-0.377
CLGN	-5.353
SLC25A37	-1.52420833333333
hCG_18290	0.446
OR5AS1	0.172
SMARCC2	0.454666666666667
FAM109A	0.857166666666667
CCDC12	0.27825
USF2	0.0338
DEPDC7	0.39275
C20orf24	0.2965
JMJD3	0.272
DSP	0.961357142857143
SLIC1	0.98975
FAM20A	-0.16425
IRF2BP2	0.661
ZNF230	-0.7645
MSN	-1.3345
SLC9A5	-1.668
EPDR1	0.4375
