Hybridization REF	TCGA-AA-A01D-01A-01R-A00A-07
TOMM22	-0.093125
SOCS3	1.23066666666667
CPO	0.148
POP4	0.19925
BHLHB3	2.05925
MALL	3.64725
OR1B1	-0.006
PARK2	-0.2156
GPR124	1.36375
LCE1E	0.832
RUVBL2	-0.371
CGRRF1	-0.1656
ACPL2	0.15425
WNT10B	-2.213625
BAIAP2L2	2.899875
ISCA1	0.5385
C1orf125	3.588625
RPAP1	-0.25125
RAI16	0.174666666666667
RPL27	-0.478375
NLRP9	0.4115
EPN1	1.2
LOC388610	1.907125
SLC35A1	0.0685
GAL	-3.78375
SLC14A2	0.35175
RDH11	-0.664166666666667
FAM138F	-0.1475
AUH	0.61575
FLJ40243	0.73175
C14orf129	2.38483333333333
MBD2	-1.25066666666667
ABHD14B	0.338625
PIGT	1.454125
ALS2CR4	-1.491125
ALAS1	0.5793
FOXO1	1.3715
CRLF3	-1.165875
C20orf107	-0.8855
FARS2	-0.35225
CCDC28A	0.7385
NPHP3	-1.00725
OR13F1	0.219
TSEN54	-0.3095
DEFB106B	0.1039
OR8B4	0.8985
STH	-1.05875
ZC3H14	-0.17525
CBX2	-0.6315
TMEM49	-1.48025
C6orf21	0.1695
FLJ20920	-0.44625
CRTAP	-0.592357142857143
DDX50	-0.4445
STYXL1	0.02825
BLVRB	-1.04166666666667
LOC147650	-0.1485
MMP24	0.2635
GRID1	1.3785
BANF1	-0.472
CTAGEP	0.43425
HMBS	-1.7535
SLC25A24	0.367
C14orf50	1.51975
MRO	0.543166666666667
SLC25A15	0.8375
FAM84B	1.6458
TDP1	-0.183
C16orf78	0.00933333333333332
C11orf57	0.23825
RFK	0.84725
ZFYVE9	0.331625
STCH	-1.4787
WIBG	0.1795
LOC283871	-0.602666666666667
GBA2	0.5175
NDUFB3	-0.0155
HSD17B13	0.61425
GRIN3A	1.0822
FMNL1	-0.917833333333333
SEPT7	-1.3423
GNLY	2.769
GRAMD1C	0.842
ZNF165	0.07975
USP38	0.66975
FAM83A	-2.772
C14orf24	1.20708333333333
ARMCX3	0.904625
ARHGDIB	-1.002
AK1	0.205625
KIAA1045	0.2205
DNAJB13	-0.0341666666666667
NEU2	0.175
HIST1H4B	-0.545
FAM20B	-0.8422
HES2	0.255142857142857
FAM73B	0.434
LOC388381	-0.834
INTS7	-0.503181818181818
AMPH	-0.06825
ZNF775	-0.108
UCKL1	-0.4865
C10orf97	-0.6655
C1orf161	0.374
ALDH1L1	1.893
FLJ39378	-1.1135
SLC23A1	-1.7875
RBM4B	-0.43975
THAP4	0.407
OGFRL1	-1.232
KIAA0831	-0.00762500000000003
PPP1R15A	0.120666666666667
C1orf96	-0.561
C12orf11	-2.21225
BMF	0.583125
MAN1A1	-1.065625
KIAA1600	-0.0736666666666667
NLGN4X	-0.0775
ALOX12	-1.0515
RB1CC1	-0.2661
NEIL2	0.7527
EIF4E	0.271045454545455
ABHD5	-0.8635
EXOC4	0.1865
CIP29	-0.754333333333333
BATF2	1.91275
SLC29A4	-0.90975
HTR4	1.81025
EMB	-2.87775
TRAF6	0.83075
LMNB1	0.42375
FAM19A5	-0.243125
SHE	1.22475
PIK3C2B	2.2795
C15orf15	-0.3739
USP15	-0.5032
TCEAL2	1.66425
C5orf39	-1.15666666666667
PTGER2	1.57825
SLC31A1	0.0738125
IFT172	0.657
ADAM29	-0.20225
GFOD1	-0.2375
ST7L	0.401166666666667
C15orf26	-2.3055
PKN3	-0.33
CNTD1	1.20683333333333
COMMD1	-0.17875
NTRK2	1.64958333333333
FOXN3	0.827875
MFGE8	-0.1438
PFKFB2	2.31233333333333
TAS2R4	-1.03725
ENTHD1	0.0733333333333333
PRMT5	-0.486875
MGC16384	-0.655
LOC442229	-0.56175
TSKU	0.24
KRTCAP3	3.998625
PDLIM1	0.8663
KCNS2	-0.06575
RNF126	-0.129
CEP63	-0.99325
CLIC4	-0.9435
hCG_1990170	-0.2045
ACR	1.0879
KLK7	2.2385
ALOX5AP	3.59275
RIPK3	4.91525
TAS2R9	0.441
C19orf18	0.517
BIRC6	0.395785714285714
ZNF16	1.3485
RFT1	0.001
SLC8A2	0.034
TACC1	1.493
ITGAD	1.0045
SAMHD1	0.75425
SH3PXD2B	1.0569
EPC2	1.07875
C20orf85	1.670125
ATP13A2	0.6005
KRT4	0.57175
CAPNS1	-0.1375
MDM2	-0.442083333333333
PCDH20	1.463
KCNK9	0.3295
OR2C1	-0.5815
KLHDC3	-0.8975
IPPK	0.0725
EFHD2	1.773
GALR3	1.0015
NBEA	-1.4985
ABCA6	2.0421
CLDN3	3.17216666666667
AKT2	0.4085
EGFR	-0.1872
RBM16	-0.04125
ZDHHC3	1.0852
SLC25A4	-0.251166666666667
CYB5B	-0.259333333333333
CPXM1	-0.36525
NDRG1	0.144153846153846
FLJ43826	-0.151
OR5L2	0.277333333333333
FARP2	0.5709
MRPL46	-0.304416666666667
LDHAL6B	0.049
MAPKAPK3	-0.840833333333333
NCAM2	-2.4365
PRKD2	0.278
ZFP36L1	0.7928
CYSLTR1	-1.16425
OR4C3	0.07625
HIST1H2AJ	0.297
CCNB2	-1.12833333333333
ZNF10	-0.142
TMEM175	0.2035
FAM134A	0.252
TIGD4	0.1065
PCNP	-0.646
MGC39715	-0.888
LQK1	-0.98225
CREB1	-0.1315
TMPRSS3	0.536
C4orf32	-0.9645
LAT	-0.532416666666667
KCNA3	0.1275
SKIV2L2	-1.244
ROPN1B	-4.62125
tcag7.23	0.639
CDT1	-2.13825
ZHX2	1.454
CD28	-3.00025
ZNF624	-0.19125
SEPT2	-0.156666666666667
SOHLH2	-2.473625
MCOLN3	-1.27728571428571
UNQ1945	0.5225
MASP2	0.874
ZNRF3	0.889
GPATCH3	0.20525
AGL	0.117
QRICH2	-0.7465
PSD4	0.6885
CCNB1IP1	-0.423
ENPP7	0.03975
OBFC1	-0.8895
KCNG3	-3.64775
C14orf79	-0.2285
ENPEP	1.15983333333333
SCT	0.039
SKI	1.139875
SEC61G	-0.68875
CAPN11	0.00574999999999992
ATXN7L3	-0.13275
DBNDD1	-0.487166666666667
FAIM	0.19025
ANKRD36	-1.763
GABRP	2.75833333333333
TACSTD2	-0.1315
EIF3J	-0.34075
PPP2R2A	0.31725
TEKT4	-0.9525
PVALB	-4.71566666666667
F10	-1.31616666666667
FAM134C	0.433
COMP	4.6025
EFCBP1	-2.28646666666667
SCLT1	0.41325
TAL1	-0.9533
ACSL1	1.39525
ABCC5	-0.826833333333333
ABL1	-0.340944444444444
RBBP7	-0.32675
PTPRG	0.987375
NCOR1	-0.318
SPINK4	7.66966666666667
TXNRD1	-1.1282
TNRC15	0.614125
C9orf138	0.1655
UBE2H	0.163166666666667
BRDT	-0.1632
C8orf31	-0.073
CCNE2	-0.478454545454545
SLC6A8	-0.070625
CALCR	-5.04575
PPP1CB	0.607833333333333
ABHD8	-0.708
ARF5	-0.0968
SLC24A4	0.401
CCT3	-0.1105
ZNF121	-0.659375
SLC3A2	-1.7354
OR13A1	0.521
SLC5A10	0.053
RAD50	-0.1675
IER5	0.296
MTHFD1L	-1.54725
MBTPS2	0.3175
MVK	-0.470375
NCL	0.1011
PSMD10	-0.80825
MOBP	0.097
FLJ32894	0.791
HRH1	1.7015
C5orf30	0.364
NUDT16L1	0.5827
RASGRP3	3.59916666666667
PRKRIP1	-0.7431
CCDC75	-0.4485
LOC253970	-0.1085
KIAA1239	1.954
MED21	-0.518
SYT11	0.348666666666667
NTSR2	-1.0525
EGFL11	0.305
CXorf59	-0.126
OR2A25	0.09625
SPTBN2	-0.788
LRMP	-1.72933333333333
RNF111	0.22625
PTH	0.8595
LOC619208	-0.549
KIAA0895	-0.33225
RANBP5	0.195125
P2RY10	-0.151166666666667
NME5	0.4755
DDX21	-0.79675
LRSAM1	-0.3725
HDAC11	1.00516666666667
VMO1	3.1005
NOLA2	-0.9515
ADAR	0.219333333333333
MTO1	-1.064
SF4	-0.163
P2RX1	1.07266666666667
HBM	0.38825
EN2	1.169
C14orf172	1.25925
TM9SF2	1.86
INHBE	-0.924
TCTE3	-0.0250833333333333
TOX2	-1.31975
CTAGE3	0.2065
HBB	5.1949
MED15	-0.591833333333333
CASR	0.833
C6orf66	-0.470833333333333
MTPN	-0.5525
UNC50	-0.913
C21orf33	0.092125
IRF2	1.047625
PGR	-2.4186
GPR84	2.956
CROCCL1	-1.44125
SRPX	-1.94525
BRE	0.192
FGF10	1.01
SDC3	-1.201
ZRSR1	-0.308333333333333
DKFZP434P211	-1.031875
SOX6	0.435
RPUSD2	0.2085
C14orf173	1.16375
MAPK11	0.035
TBC1D22A	0.878
FAM123A	-0.9755
COL4A6	-3.638
TOMM70A	-0.06175
NAB1	0.995625
MGC16385	-0.3075
TSPAN18	-0.052
MED31	-0.81575
PLG	-0.0635
CAPSL	0.307
ZNF532	0.2264
ASB14	-0.108
CA8	-0.7885
NUDT16P	1.47483333333333
SLFN11	-1.0685
LRRIQ2	-1.62675
NOL7	-0.6205
BRMS1L	-0.369125
JARID1A	0.147833333333333
PANK2	-0.51575
ICAM3	-0.3415
MDS1	2.14425
TAF8	-0.6695
RNF139	0.581
ZNF594	-0.538
ADAM8	2.727375
SFTPC	0.21
MAN2B2	0.696625
RGS12	-0.14975
EIF1AY	-4.30058333333333
LRRIQ1	-2.0175
GPR150	1.211
CCDC21	-1.538
PRRG3	0.80075
SAA4	-4.6855
RAPGEF5	2.48775
ZCCHC2	0.137
MGC39372	0.3875
PPP4R2	-0.205333333333333
CDCA2	-0.959666666666667
OR4D5	0.426833333333333
PTGFRN	0.9413
SIGLEC5	2.31233333333333
C19orf61	-0.445166666666667
NMUR2	0.43
KIAA1586	-1.69266666666667
DAGLA	0.279
CHCHD6	-1.256
GPR32	0.673
NEUROD6	0.1155
SLC2A4RG	-0.273625
CA5B	0.045
FBXL3	1.45975
MPHOSPH9	-1.1105
HMG2L1	0.35475
HCN4	0.118
CEACAM19	0.804
SH2D4B	0.493666666666667
HFE2	-1.2255
TGM4	0.639333333333333
LYPD2	0.2685
TBC1D15	0.26775
MRPS21	-1.5992
NONO	-0.4632
CLEC5A	2.41575
ITCH	0.1905
MGAT3	1.8225
MBP	-0.345625
RPP25	1.19175
SOSTDC1	-0.04625
HRC	-1.46525
TRIM48	0.1485
TMEM133	1.25425
ECEL1P2	-0.55525
HOXC11	-0.327
DOK5	-0.60675
HELZ	-0.249666666666667
LOC348180	-0.153
MGC33894	0.4625
ADRB3	0.2235
DMD	0.586583333333333
PTRH2	-1.01025
MPEG1	3.23216666666667
NDUFA12	0.039
KRTAP2-4	0.356083333333333
STAMBPL1	0.2075
ADCY2	-0.2575
UNQ6125	0.501
KLHL20	-0.2365
SRM	-0.9565
OTC	4.58025
TMIE	0.274333333333333
SNX8	0.65975
LIPK	-0.383
CHURC1	0.822583333333334
KLC2	0.245666666666667
HDAC1	0.604833333333333
FAM128A	-0.469166666666667
FNDC3B	-0.3412
MTCP1	-0.794166666666667
WFDC10B	0.5727
PCDHGB3	-1.0645
ATRNL1	-2.4423
CAV2	-0.8825
MED26	-0.562166666666667
DUS1L	0.3605
CHRM3	0.51175
NEK9	0.6275
WARS2	0.80225
TBX22	0.9225
TOMM40	0.03125
RP6-213H19.1	0.0405
TUBGCP5	-0.928
IGSF6	4.58
TPPP	1.62783333333333
UNQ6190	0.3275
GSTM5	0.135125
BTD	-0.373666666666667
PDCD1LG2	-0.7435
SNRPB2	-0.0843333333333333
ERICH1	0.2575
APOA4	-0.4245
HOXA11	1.04825
NARG1	-0.098375
MKX	0.8625
RAB28	-0.397857142857143
PKP3	2.17575
SH3GL2	-2.94625
CTSO	1.60175
RPN2	0.391125
IL28RA	1.33366666666667
SFMBT1	0.698
WDR57	-1.015125
FER1L3	-0.11825
HSF5	0.3468
TTC9B	1.2445
C4BPA	-1.41333333333333
ALB	-4.84042857142857
SORBS3	-0.032
UPF2	-0.239
JPH1	1.7575
AGBL2	-0.927
DOPEY1	1.2595
TERF1	0.180583333333333
KIF22	-1.22066666666667
NINJ1	-0.32475
SEC61A2	-0.990833333333333
HIST1H1D	-0.6035
SFXN4	0.08475
UCP3	0.5648
ZNF703	1.36983333333333
MYL6B	-0.953
TREM1	2.9865
OR52E6	1.0095
CKMT2	0.659
HLA-C	1.592625
SLC13A3	-1.48
TIMP4	0.2155
SLIT2	1.8
RSF1	-0.191055555555556
LONRF1	-1.29571428571429
MON1A	0.4645
CACNG6	-1.98966666666667
DPPA4	-6.2465
ZSWIM3	2.163
ZNF804A	-0.213166666666667
CCIN	0.85375
SLC25A31	0.1225
KCNMB4	-1.608
RABL5	-0.81275
GALNS	-0.6961
STX6	0.65425
HIST1H1C	-0.165833333333333
CIDEB	0.07525
CASP4	0.417166666666667
PDK3	-0.3105
KCNJ11	-0.1525
TPR	-0.844
ZSCAN20	-0.1335
MTX2	-0.50575
HIST1H2BH	0.978
LOC283767	0.12425
LYRM7	-1.46211111111111
BRD3	0.5985
HIST1H2BO	0.80925
MAGEB10	0.2445
SLC45A1	0.146
SERPINA3	-1.88005
KIAA0143	0.65625
KCNJ16	1.07683333333333
KRT79	0.35025
FABP2	4.72925
NUT	-0.3975
ZNF57	1.1125
FBXL4	-0.68775
CLEC9A	0.9635
UGT8	2.82816666666667
BMP2K	-0.3325
MAPK4	-2.46975
SLC25A23	-0.1943
HINT1	-0.7976
KRTAP13-1	0.0125
SFXN5	0.0516
CHCHD2	-0.19075
FAM3D	5.1535
NDP	-3.2695
RHOBTB1	-0.418333333333333
SLC4A4	2.131625
RPL38	-0.49225
HTF9C	-0.559
AP2A2	0.80575
ZBTB46	-1.0425
MAP7D1	-0.137375
AOX1	-0.9135
CYR61	1.869
DTNA	-1.52778571428571
JRKL	0.86275
TMOD3	-0.775
EEA1	-0.3496
ADCK5	1.118
IL1R1	1.03733333333333
KLK3	0.599785714285714
HRSP12	1.4425
KTN1	-0.47825
LOH11CR2A	0.8685
RELL2	-1.44125
MAB21L1	0.13275
C20orf59	1.09466666666667
PHKB	0.1435
ADAM2	-1.80933333333333
TBC1D8B	2.318
FAM13A1	-0.56925
LAPTM4B	-0.04725
LCN8	0.1185
TMEM147	-0.1235
SYT4	1.82283333333333
XPO7	-0.4015
C9orf62	1.60175
GPR75	0.1765
TRIM5	0.444
APOC1	-0.0896666666666667
RNASE4	1.0825
PARD6B	-0.38125
ARID1A	-0.1365
TPD52L3	0.3661
RRAGB	0.0796666666666667
RCN2	-0.864333333333333
HIST2H2BE	0.406875
STARD7	0.13875
SHMT2	-0.495
KIAA1751	0.219333333333333
MLYCD	1.10675
LOC162632	-0.7876
UQCRH	-1.053
RP11-217H1.1	0.583
SDHA	-0.170166666666667
NCLN	0.6703
ZNF17	0.5495
RCBTB2	-1.3
VEGFB	-0.8565
RP4-747L4.3	0.082
COLQ	0.0152
MPN2	-0.845333333333333
DRG2	-0.927
KLRB1	4.3215
ALPK2	-1.9045
DNASE2B	1.91225
FLJ23834	0.432833333333333
AXUD1	1.00433333333333
SAFB	-0.2507
NSUN4	0.099
RFX2	0.294
MAPK8IP1	-0.6835
FANCD2	-1.39071428571429
ANKZF1	-1.57633333333333
C19orf50	-1.081125
DUSP8	1.369875
SENP5	-0.513625
NFKBIL2	0.437
LBR	0.567
IGFL1	0.4975
LZTS2	-0.38625
IL2RG	2.362875
CCDC51	0.30925
KLF3	1.630625
ANKRD37	-1.587
KCTD14	2.56266666666667
FZR1	0.0390833333333333
SLC44A4	4.5129
ESPL1	-0.82525
GMPR2	-0.6147
TBC1D19	-1.13116666666667
ERGIC1	0.490148148148148
ERBB4	-1.8487
TSPAN32	2.83383333333333
MAP4	-0.524
GPHN	0.7215
SLC6A2	-0.5005
HIVEP1	0.25675
DFFB	0.2686
EIF4EBP2	0.568625
DMRT1	0.4205
HSPB6	1.23625
IER2	0.247333333333333
AIFM1	0.0865
WWC2	-1.19045454545455
MRPL4	-0.4155
FLJ21062	0.352833333333333
EPB41L4A	0.648583333333333
SH2D6	0.34525
TAF4B	-0.42125
GAL3ST3	-0.6075
MALT1	-0.720833333333333
RTDR1	0.50675
ARVCF	-1.281875
MEX3B	-1.78966666666667
FBXO16	-1.348
KIF7	-2.448
C1QC	4.671
ZNF783	0.153
ZNF85	-1.218
MMP13	3.255
KIAA0329	0.493625
RTP3	-0.982
ZBED3	-0.6005
CLGN	-4.70075
SLC25A37	-0.750208333333333
hCG_18290	-0.0195
OR5AS1	-0.469
SMARCC2	-0.00608333333333334
FAM109A	0.991333333333333
CCDC12	0.154
USF2	0.2796
DEPDC7	-0.42275
C20orf24	0.4625
JMJD3	-0.1505
DSP	0.236642857142857
SLIC1	0.10875
FAM20A	1.069875
IRF2BP2	0.806625
ZNF230	-0.595
MSN	-0.853785714285714
SLC9A5	-1.84
EPDR1	-1.84
MUSK	0.0313333333333333
ZNF434	0.4715
SMARCD1	-0.194166666666667
ZFP106	-0.10075
ZNF347	0.1399
GTF2E1	-0.14125
RY1	-0.774166666666667
