Hybridization REF	TCGA-AA-A00L-01A-01R-A002-07
BAIAP3	-1.678
RABGGTB	-0.030375
ANKRD40	-0.19
KRT74	0.213
CALCOCO2	0.776785714285714
SNCA	-3.94725
TMSL8	-4.526125
C2orf53	0.118
ESRRB	0.0475
ARHGAP26	1.909125
TDRD9	-2.583
HRAS	-0.312
KLRC4	-1.661
JAGN1	0.0516666666666667
BSDC1	0.17875
RNF43	2.2515
NDUFAF1	-0.27775
PHF12	0.331
OR1L3	0.48
FOLR2	0.8045
LYZL6	0.142833333333333
tcag7.1260	-1.7855
WSB1	-0.3335
PROS1	0.3717
OSTN	0.591
PSMB8	1.54475
SOCS4	-0.631428571428571
DDIT4L	-0.993
MAS1	-0.3575
MGC34796	0.67625
CSHL1	-0.139166666666667
TBCCD1	-0.426666666666667
ZBTB7C	-0.5385
AP2S1	-0.664375
P15RS	-0.7596
VAT1	-1.1912
SHANK3	0.489166666666667
TUFM	-0.00816666666666667
THEG	-0.21125
KRT34	-1.145
SGSM3	-0.313875
TOMM22	0.788625
SOCS3	0.6155
CPO	1.495
POP4	0.235
BHLHB3	-1.69925
MALL	2.18325
OR1B1	-0.103
PARK2	0.618
GPR124	0.00225
LCE1E	0.026
RUVBL2	-0.404
CGRRF1	-1.2264
ACPL2	0.20475
WNT10B	-1.365375
BAIAP2L2	1.912625
ISCA1	-0.1865
C1orf125	2.817125
RPAP1	-0.49675
RAI16	-0.282666666666667
RPL27	0.476875
NLRP9	-0.179
EPN1	0.2775
LOC388610	-3.189625
SLC35A1	-0.1512
GAL	-2.3455
SLC14A2	0.44925
RDH11	-1.89233333333333
FAM138F	0.4345
AUH	0.4635
FLJ40243	-0.0895
C14orf129	0.4705
MBD2	-0.0778333333333334
ABHD14B	0.594875
PIGT	-0.0465
ALS2CR4	-1.538
ALAS1	0.6047
FOXO1	1.371
CRLF3	0.320125
C20orf107	-0.792
FARS2	-0.28225
CCDC28A	-0.0505
NPHP3	-1.22375
OR13F1	0.3935
TSEN54	0.97075
DEFB106B	0.1537
OR8B4	0.836
STH	-0.29925
ZC3H14	-1.022
CBX2	-0.027
TMEM49	-0.27625
C6orf21	0.645
FLJ20920	0.924625
CRTAP	-0.509428571428571
DDX50	-0.0455
STYXL1	-0.2075
BLVRB	-0.2865
LOC147650	-1.0615
MMP24	0.34275
GRID1	0.106166666666667
BANF1	-0.797333333333333
CTAGEP	0.39925
HMBS	-0.7165
SLC25A24	0.355666666666667
C14orf50	1.17375
MRO	-0.508833333333333
SLC25A15	0.55225
FAM84B	0.8132
TDP1	-1.1825
C16orf78	0.197333333333333
C11orf57	0.10125
RFK	0.501
ZFYVE9	-0.120375
STCH	-1.4808
WIBG	-0.2805
LOC283871	-0.551333333333333
GBA2	-0.3595
NDUFB3	0.18625
HSD17B13	-0.78625
GRIN3A	0.4215
FMNL1	-2.5435
SEPT7	-0.1225
GNLY	3.732
GRAMD1C	0.0475
ZNF165	0.87375
USP38	1.28475
FAM83A	-2.8425
C14orf24	-0.0483333333333334
ARMCX3	1.16475
ARHGDIB	-2.0365
AK1	0.5415
KIAA1045	-0.16375
DNAJB13	-0.0366666666666667
NEU2	0.4925
HIST1H4B	1.00483333333333
FAM20B	-0.8477
HES2	2.03628571428571
FAM73B	-0.2326
LOC388381	-0.008
INTS7	-0.395909090909091
AMPH	-0.13725
ZNF775	-0.137
UCKL1	-0.151666666666667
C10orf97	-0.05175
C1orf161	0.87975
ALDH1L1	-0.327
FLJ39378	-0.71075
SLC23A1	1.4665
RBM4B	-0.619
THAP4	0.380166666666667
OGFRL1	-1.87675
KIAA0831	-1.14925
PPP1R15A	-0.605
C1orf96	-0.640714285714286
C12orf11	-0.7605
BMF	0.34175
MAN1A1	-0.760625
KIAA1600	-0.0526666666666667
NLGN4X	-1.85925
ALOX12	-0.567333333333333
RB1CC1	0.2309
NEIL2	0.4335
EIF4E	0.523227272727273
ABHD5	-0.632
EXOC4	-0.146166666666667
CIP29	-0.52
BATF2	3.698
SLC29A4	-1.249125
HTR4	3.5005
EMB	0.337
TRAF6	0.6825
LMNB1	0.7405
FAM19A5	-1.166
SHE	0.106
PIK3C2B	2.1655
C15orf15	-0.4057
USP15	-0.1811
TCEAL2	-0.99325
C5orf39	-2.18116666666667
PTGER2	-1.98025
SLC31A1	0.1121875
IFT172	1.60975
ADAM29	0.28975
GFOD1	0.77125
ST7L	0.525166666666667
C15orf26	-2.486
PKN3	-1.31725
CNTD1	1.2345
COMMD1	-0.243625
NTRK2	0.5955
FOXN3	-0.463
MFGE8	-1.7846
PFKFB2	0.907166666666667
TAS2R4	0.064
ENTHD1	-0.671
PRMT5	-1.58175
MGC16384	-0.114625
LOC442229	-0.44475
TSKU	0.42925
KRTCAP3	4.109625
PDLIM1	1.0774
KCNS2	-0.6585
RNF126	0.287666666666667
CEP63	-0.076125
CLIC4	-1.440875
hCG_1990170	1.0005
ACR	1.7685
KLK7	0.71225
ALOX5AP	0.12075
RIPK3	3.74975
TAS2R9	0.54
C19orf18	1.3065
BIRC6	0.245642857142857
ZNF16	-1.097
RFT1	0.01575
SLC8A2	-0.55225
TACC1	0.32725
ITGAD	1.0035
SAMHD1	0.042
SH3PXD2B	0.2276
EPC2	0.60875
C20orf85	0.427
ATP13A2	0.160166666666667
KRT4	0.30025
CAPNS1	-0.46
MDM2	-0.44475
PCDH20	2.64375
KCNK9	0.274
OR2C1	-0.1645
KLHDC3	-1.46433333333333
IPPK	-0.0795
EFHD2	0.838875
GALR3	0.7505
NBEA	-3.3595
ABCA6	0.3481
CLDN3	2.6115
AKT2	-0.189785714285714
EGFR	1.3584
RBM16	-0.2715
ZDHHC3	0.9844
SLC25A4	-0.866166666666667
CYB5B	0.324833333333333
CPXM1	-1.4625
NDRG1	-1.77969230769231
FLJ43826	0.026
OR5L2	0.306
FARP2	1.2417
MRPL46	-0.19075
LDHAL6B	0.3145
MAPKAPK3	-0.01
NCAM2	-3.532
PRKD2	0.3625
ZFP36L1	0.2854
CYSLTR1	-2.18275
OR4C3	0.459
HIST1H2AJ	1.1055
CCNB2	-0.858333333333333
ZNF10	-0.76175
TMEM175	0.203
FAM134A	0.0608333333333333
TIGD4	0.4015
PCNP	-0.617
MGC39715	0.1665
LQK1	-0.951
CREB1	-0.2333
TMPRSS3	-1.30875
C4orf32	0.598125
LAT	-2.06583333333333
KCNA3	-1.3755
SKIV2L2	-0.622
ROPN1B	-3.71275
tcag7.23	0.0795
CDT1	-1.251625
ZHX2	0.23325
CD28	-4.36875
ZNF624	-0.5885
SEPT2	-0.652166666666667
SOHLH2	-2.42466666666667
MCOLN3	-1.2025
UNQ1945	0.6865
MASP2	-0.2315
ZNRF3	1.6967
GPATCH3	-0.095
AGL	0.330125
QRICH2	-0.306
PSD4	-0.3005
CCNB1IP1	-0.76725
ENPP7	0.37375
OBFC1	0.28775
KCNG3	-2.0405
C14orf79	-1.75341666666667
ENPEP	0.275666666666667
SCT	1.2155
SKI	0.414875
SEC61G	-0.189
CAPN11	-0.32525
ATXN7L3	0.22525
DBNDD1	-0.317666666666667
FAIM	-0.8255
ANKRD36	-0.4485
GABRP	-0.454833333333333
TACSTD2	-5.0294
EIF3J	0.1795
PPP2R2A	-1.042
TEKT4	0.0711666666666667
PVALB	-3.2475
F10	-0.5475
FAM134C	0.572
COMP	1.42725
EFCBP1	-3.670125
SCLT1	0.212125
TAL1	-1.1301
ACSL1	-1.846
ABCC5	-0.223666666666667
ABL1	-0.374833333333333
RBBP7	0.309166666666667
PTPRG	0.417875
NCOR1	-0.272
SPINK4	4.672
TXNRD1	0.0305
TNRC15	0.549
C9orf138	0.24575
UBE2H	0.00516666666666667
BRDT	-0.166833333333333
C8orf31	0.224
CCNE2	-1.29836363636364
SLC6A8	-1.8695
CALCR	-4.13925
PPP1CB	0.2925
ABHD8	-1.76875
ARF5	-0.2287
SLC24A4	0.32025
CCT3	-0.555
ZNF121	0.00500000000000002
SLC3A2	-0.7111
OR13A1	0.806
SLC5A10	-0.03625
RAD50	0.85175
IER5	-0.388125
MTHFD1L	-0.038875
MBTPS2	0.8875
MVK	-0.32975
NCL	0.0644
PSMD10	0.0785
MOBP	0.54875
FLJ32894	-0.56
HRH1	0.858333333333333
C5orf30	0.46375
NUDT16L1	0.2013
RASGRP3	2.2395
PRKRIP1	-0.6871
CCDC75	0.67225
LOC253970	0.00299999999999999
KIAA1239	0.883
MED21	-0.5715
SYT11	-0.914833333333333
NTSR2	0.052
EGFL11	0.7485
CXorf59	0.5595
OR2A25	0.44775
SPTBN2	-0.01225
LRMP	-2.54183333333333
RNF111	-0.10875
PTH	-0.216
LOC619208	-0.725
KIAA0895	0.24425
RANBP5	0.817
P2RY10	-0.753333333333333
NME5	1.65783333333333
DDX21	-0.32675
LRSAM1	-0.627
HDAC11	-0.231166666666667
VMO1	0.893
NOLA2	-0.403166666666667
ADAR	-0.3385
MTO1	-0.4005
SF4	-0.0966666666666667
P2RX1	0.051
HBM	0.0745
EN2	0.824
C14orf172	0.19
TM9SF2	1.1504
INHBE	-0.7505
TCTE3	0.10225
TOX2	-3.1115
CTAGE3	0.0215
HBB	3.2361
MED15	-0.7205
CASR	0.06725
C6orf66	0.848166666666667
MTPN	-0.570875
UNC50	-0.106
C21orf33	-1.256625
IRF2	-1.571
PGR	-2.778
GPR84	0.779
CROCCL1	-1.26525
SRPX	-4.054
BRE	0.471166666666667
FGF10	0.4245
SDC3	-1.039
ZRSR1	0.351
DKFZP434P211	-0.397125
SOX6	0.1615
RPUSD2	0.10825
C14orf173	0.0695833333333333
MAPK11	-0.5895
TBC1D22A	0.421
FAM123A	-1.209
COL4A6	-2.5215
TOMM70A	0.283
NAB1	0.393125
MGC16385	-1.391375
TSPAN18	-0.036
MED31	-0.999
PLG	-0.1495
CAPSL	0.579
ZNF532	-0.6899
ASB14	0.24475
CA8	-2.1565
NUDT16P	3.35933333333333
SLFN11	-2.6155
LRRIQ2	-1.334125
NOL7	-0.047
BRMS1L	-1.6545
JARID1A	0.297666666666667
PANK2	-0.1085
ICAM3	-0.88425
MDS1	2.37625
TAF8	0.0295
RNF139	-0.41825
ZNF594	-1.54266666666667
ADAM8	-0.60375
SFTPC	-0.280625
MAN2B2	0.42475
RGS12	-0.142375
EIF1AY	-2.29125
LRRIQ1	-0.965666666666666
GPR150	0.84025
CCDC21	-1.06833333333333
PRRG3	0.4315
SAA4	-3.0445
RAPGEF5	2.691
ZCCHC2	0.356416666666667
MGC39372	0.5065
PPP4R2	0.0406666666666667
CDCA2	-1.81016666666667
OR4D5	0.624333333333333
PTGFRN	0.5589
SIGLEC5	-0.000499999999999997
C19orf61	-0.7045
NMUR2	0.459
KIAA1586	-1.23883333333333
DAGLA	2.44366666666667
CHCHD6	0.55575
GPR32	0.695
NEUROD6	0.476166666666667
SLC2A4RG	-1.010875
CA5B	-0.1485
FBXL3	0.96575
MPHOSPH9	-0.85325
HMG2L1	0.28975
HCN4	0.501333333333333
CEACAM19	0.379
SH2D4B	0.209833333333333
HFE2	-0.4475
TGM4	0.00316666666666667
LYPD2	1.10825
TBC1D15	-0.0625
MRPS21	-0.0708
NONO	0.1052
CLEC5A	0.48775
ITCH	0.1452
MGAT3	-1.93166666666667
MBP	0.0574999999999999
RPP25	-0.68225
SOSTDC1	0.19225
HRC	-1.2475
TRIM48	0.434
TMEM133	0.30475
ECEL1P2	-1.16025
HOXC11	-0.4595
DOK5	-2.074
HELZ	0.488833333333333
LOC348180	0.014
MGC33894	0.43175
ADRB3	0.225
DMD	0.445916666666667
PTRH2	0.1095
MPEG1	2.30683333333333
NDUFA12	0.3895
KRTAP2-4	0.264666666666667
STAMBPL1	0.677333333333333
ADCY2	-1.08083333333333
UNQ6125	0.553
KLHL20	0.0585
SRM	-0.912
OTC	0.222
TMIE	0.684166666666667
SNX8	0.702
LIPK	0.5075
CHURC1	-1.40366666666667
KLC2	0.2225
HDAC1	0.345833333333333
FAM128A	-0.2045
FNDC3B	0.1137
MTCP1	-0.373666666666667
WFDC10B	1.1938
PCDHGB3	-0.18
ATRNL1	-2.14577777777778
CAV2	-1.810375
MED26	-0.149666666666667
DUS1L	1.5265
CHRM3	-0.21675
NEK9	-0.7545
WARS2	-0.21825
TBX22	-0.3835
TOMM40	-0.3035
RP6-213H19.1	0.329833333333333
TUBGCP5	-0.914
IGSF6	2.6075
TPPP	-0.326666666666667
UNQ6190	0.5285
GSTM5	0.302
BTD	-0.942333333333333
PDCD1LG2	-0.587333333333333
SNRPB2	0.447
ERICH1	0.962125
APOA4	-1.574125
HOXA11	1.30175
NARG1	0.086375
MKX	-0.11125
RAB28	-0.238571428571429
PKP3	2.0395
SH3GL2	-2.0385
CTSO	0.1505
RPN2	0.6580625
IL28RA	0.8855
SFMBT1	0.358
WDR57	-0.69375
FER1L3	-1.29666666666667
HSF5	-0.2544
TTC9B	0.33
C4BPA	-1.246
ALB	-4.006
SORBS3	-0.07475
UPF2	0.0865
JPH1	1.228
AGBL2	-0.7335
DOPEY1	2.0455
TERF1	-0.522333333333333
KIF22	-1.24633333333333
NINJ1	-1.0505
SEC61A2	-0.789916666666667
HIST1H1D	-0.0703333333333333
SFXN4	1.223875
UCP3	0.4139
ZNF703	1.40366666666667
MYL6B	-1.676
TREM1	1.37075
OR52E6	0.43
CKMT2	5.25325
HLA-C	2.56025
SLC13A3	-2.65983333333333
TIMP4	-0.937
SLIT2	-1.59925
RSF1	-0.283888888888889
LONRF1	0.184785714285714
MON1A	0.768
CACNG6	-1.39683333333333
DPPA4	-4.63733333333333
ZSWIM3	1.254
ZNF804A	-0.403333333333333
CCIN	0.896
SLC25A31	-0.165666666666667
KCNMB4	0.05675
RABL5	-0.716875
GALNS	-1.005
STX6	0.12125
HIST1H1C	-4.0185
CIDEB	-0.84375
CASP4	-0.170833333333333
PDK3	-0.2568
KCNJ11	0.145
TPR	-0.50925
ZSCAN20	0.394
MTX2	-0.1155
HIST1H2BH	-1.69275
LOC283767	0.92825
LYRM7	-0.870444444444444
BRD3	-0.305666666666667
HIST1H2BO	-1.87475
MAGEB10	-0.218
SLC45A1	-0.511
SERPINA3	-2.6418
KIAA0143	-0.072
KCNJ16	0.5395
KRT79	0.042
FABP2	0.695
NUT	-0.3935
ZNF57	1.33425
FBXL4	-0.037
CLEC9A	0.2625
UGT8	3.34566666666667
BMP2K	-0.08975
MAPK4	-2.3325
SLC25A23	-0.7167
HINT1	0.1615
KRTAP13-1	0.3295
SFXN5	-0.0184
CHCHD2	0.871166666666667
FAM3D	4.419
NDP	-3.248625
RHOBTB1	0.418333333333333
SLC4A4	0.09925
RPL38	0.51725
HTF9C	-0.593166666666667
AP2A2	-0.154125
ZBTB46	-0.9615
MAP7D1	-0.807
AOX1	-2.501
CYR61	-1.74041666666667
DTNA	-1.87221428571429
JRKL	0.7045
TMOD3	-0.1835
EEA1	1.5278
ADCK5	-0.6525
IL1R1	-0.429833333333333
KLK3	0.473285714285714
HRSP12	0.26575
KTN1	-0.5835
LOH11CR2A	1.0325
RELL2	0.5045
MAB21L1	0.22825
C20orf59	-0.240333333333333
PHKB	0.14325
ADAM2	-1.0075
TBC1D8B	1.68416666666667
FAM13A1	0.2554375
LAPTM4B	-1.48708333333333
LCN8	0.098
TMEM147	0.06
SYT4	0.148833333333333
XPO7	-1.1305
C9orf62	1.175
GPR75	-0.052
TRIM5	0.13475
APOC1	-3.995
RNASE4	-0.318
PARD6B	-1.33175
ARID1A	-0.302083333333333
TPD52L3	-0.149
RRAGB	0.365666666666667
RCN2	-0.4635
HIST2H2BE	-2.0253125
STARD7	-0.01975
SHMT2	-0.26575
KIAA1751	0.067
MLYCD	0.906875
LOC162632	-0.6652
UQCRH	-0.38225
RP11-217H1.1	0.9639375
SDHA	-0.985166666666667
NCLN	0.4602
ZNF17	0.0158333333333333
RCBTB2	-2.858
VEGFB	-0.6159
RP4-747L4.3	0.1045
COLQ	-0.0922
MPN2	-0.501666666666667
DRG2	-1.008
KLRB1	4.29825
ALPK2	-3.08175
DNASE2B	1.21675
FLJ23834	0.288666666666667
AXUD1	-0.224833333333333
SAFB	0.0334
NSUN4	-0.408
RFX2	-0.665166666666667
MAPK8IP1	-0.9085
FANCD2	-0.955
ANKZF1	-1.3235
C19orf50	-0.553125
DUSP8	2.02925
SENP5	0.000999999999999996
NFKBIL2	-0.0312500000000001
LBR	0.7385
IGFL1	0.1895
LZTS2	-0.908875
IL2RG	2.292
CCDC51	0.30375
KLF3	1.287375
ANKRD37	-2.663
KCTD14	1.26683333333333
FZR1	0.3295
SLC44A4	4.0195
ESPL1	-0.517625
GMPR2	-1.3535
TBC1D19	-1.46033333333333
ERGIC1	0.579555555555556
ERBB4	-1.65722222222222
TSPAN32	-0.0630833333333333
MAP4	-0.86925
GPHN	-0.1495
SLC6A2	-0.0245
HIVEP1	0.189
DFFB	0.6619
EIF4EBP2	0.4625
DMRT1	0.555666666666667
HSPB6	-0.10375
IER2	0.398333333333333
AIFM1	1.04
WWC2	-0.875916666666667
MRPL4	0.1105
FLJ21062	-0.275
EPB41L4A	-0.475083333333333
SH2D6	0.56275
TAF4B	-0.5165
GAL3ST3	0.082
MALT1	-0.0913333333333333
RTDR1	1.933
ARVCF	-0.31075
MEX3B	-2.70366666666667
FBXO16	-1.42575
KIF7	-2.084
C1QC	3.29
ZNF783	-0.232833333333333
ZNF85	-0.56925
MMP13	-0.954
KIAA0329	-0.485625
RTP3	0.789
ZBED3	0.1715
CLGN	-2.03325
SLC25A37	-1.39783333333333
hCG_18290	0.1155
OR5AS1	0.2215
SMARCC2	-0.0785000000000001
FAM109A	0.756666666666667
CCDC12	-0.32275
USF2	-0.3789
DEPDC7	-0.05325
C20orf24	1.00066666666667
JMJD3	-0.3195
DSP	0.798857142857143
SLIC1	0.208125
FAM20A	-0.875625
IRF2BP2	0.962875
ZNF230	-0.6195
MSN	-2.23914285714286
SLC9A5	-1.354
EPDR1	0.9804
