Hybridization REF	TCGA-AA-A01Q-01A-01R-A002-07
FUS	-1.58025
TF	-3.567
CLCN4	-0.519666666666667
CXorf56	-0.47875
C11orf72	0.89175
ELAC2	-0.4315
NPR1	-1.82925
ASS1	-0.104166666666667
USP42	-0.176875
POLR2J	-0.9625
SEC23IP	0.351
UQCRC1	1.154
LOC729603	-0.19275
C1orf71	-0.79375
POLG	-1.312
ADAM23	-3.74525
TFR2	-0.59125
RICTOR	-0.9171
MGC39606	0.8055
C19orf55	0.1245
SNAPC1	-1.3435
GNA11	1.072875
CCDC52	0.0273333333333333
FSIP1	3.2925
UPF3A	-0.9555
IGSF11	-2.3705
LAGE3	-0.4075
CHST6	0.704
UNC13B	1.30975
TTLL4	-0.717875
ZNF687	-0.13725
SDC2	-2.2346
COX7A2	0.39725
LAMB4	-0.3065
FAM24A	-0.0425
LRRTM3	-1.844
GPHB5	0.7835
OR4C13	0.1535
EIF3EIP	0.801571428571429
HABP4	-1.0695
TMEM125	4.45125
CNTN2	-0.191
ASNSD1	-0.40975
FUT4	1.8665
ACF	-0.37025
LOC158381	-0.5675
CDH8	0.0253333333333333
AGPS	0.601333333333333
C4orf18	-1.27525
PECI	-0.121833333333333
UNG	0.00375
GSTP1	-0.235125
DCUN1D5	-0.837
DKFZP564J0863	-1.43925
SLC9A3R1	-0.261
BCDO2	1.485125
CHMP7	0.145125
REM2	-0.1835
DNHD1	-0.354625
FKBP4	-1.185625
ZNF350	0.553
MGC11102	0.064
BST1	1.82625
KISS1R	1.712
NCR2	0.6585
DEFB125	-1.627
UBE2W	-0.017875
KRT15	-2.585125
C10orf99	4.4165
SCN11A	-0.324
GFI1	1.84225
RDHE2	3.37066666666667
FHL1	-2.11233333333333
OSGEP	0.975
GATA1	-2.876
SMC6	-0.30325
TTTY14	-0.01625
LPIN3	0.5235
RPL4	-0.6752
RBPMS	-1.8498
PRPF3	-0.603
EMR1	-1.82
SPATA19	-0.15475
XCR1	0.3285
IRX3	-2.0024
RBM6	-0.0375
KLF4	2.0183
UNC5CL	1.61
SEBOX	0.1975
BTK	-1.979
KRCC1	1.16175
C6orf27	0.839
SYTL5	-0.675
PRND	0.85375
LOC653319	-0.1045
PIGL	0.0755
HUS1	-0.442166666666667
SFRS6	1.55283333333333
C17orf77	0.496
UIMC1	0.135
FXYD2	-1.3915
LOC283152	-0.19875
ZNF667	-2.63425
ZCCHC12	-0.7845
TFEC	1.2667
ATP7B	0.303833333333333
POLD2	-1.08516666666667
RG9MTD1	0.04975
ACOT2	-2.025
HIST1H4I	-1.07825
PPARGC1A	1.9935
ETFA	-0.4412
POLRMT	0.7545
ZNF146	-0.20025
MIA2	-1.885
KLHL6	-1.591
HOXB5	-1.1935
NENF	0.349166666666667
CUGBP1	0.09575
PRSS22	2.604
CASC4	1.1003
CUL4B	-0.3564
CENPJ	-0.7164
PITX1	-0.154166666666667
FLJ31033	0.692666666666667
CELSR3	-1.05033333333333
ZNF568	-2.27675
ITSN1	-0.870333333333333
EHBP1L1	-0.144833333333333
C19orf2	0.035
DCTN1	-0.683
LIN28B	-3.47216666666667
TNKS2	0.31925
C1QBP	0.312375
CADPS2	0.99025
SRMS	0.71775
GJA9	0.0216666666666667
MGC24975	0.107
TRIM45	-1.69766666666667
TSP50	-0.29
TCP1	-1.07375
TMED7	-0.3052
CMA1	0.93
CENPL	-1.1885
PTCRA	0.042
FST	-3.79275
VWCE	-3.4405
PAWR	1.41925
ABCC12	0.7125
LDLR	-0.68
ASTN2	0.3189
LOC441212	-0.51775
GPATCH8	-0.112
TANC2	-2.33241666666667
KIF4A	-1.34875
C18orf18	-0.47975
PGM1	-3.24175
KIAA0258	0.157
CPD	0.29175
SNCAIP	-2.4735
DCT	-3.87466666666667
HLA-DOA	2.48204545454545
OR11L1	0.8715
UPK1B	-0.403
DNAJB4	-1.497625
UGT1A8	3.45025
HIST1H4L	-0.1025
PECR	-0.495666666666667
HSPA2	0.56625
WFIKKN1	-0.9245
SERP1	0.457625
SYDE2	0.0385
TACR2	1.2635
NUP85	-0.327
CD177	0.201333333333333
LGR5	-0.106166666666667
PIGG	-0.0520833333333333
PTHR1	-2.51366666666667
RAB5A	-0.629
FLJ13224	0.395
USP9Y	-1.89833333333333
C7orf53	0.244
LRP1B	-1.26525
XAF1	2.7082
ABCG8	-0.755
ANKDD1A	-0.427833333333333
DAND5	-1.5055
SPAG6	0.205666666666667
LINCR	2.7905
ZDHHC22	-0.96125
CCDC60	-0.066
THOC7	-1.14983333333333
TCTA	0.5736
OR8K3	0.6165
NY-REN-7	-0.48475
B2M	0.664
C6orf141	-2.701875
LPPR4	1.484
SQLE	-1.874
SEPHS1	-0.96325
BTBD14B	0.897142857142857
PLRG1	-0.022
SPG7	0.2650625
ZNF614	-2.17383333333333
PARD6G	0.0923333333333334
INPP5B	-0.6498
GRPEL2	-0.039375
PPID	0.3823
TRIM56	0.195
UBE2J1	-0.40375
IL20RA	0.7655
LOC387856	0.07425
C1orf107	0.538666666666667
UTS2R	1.54525
C19orf22	0.84925
SAFB2	0.312625
KIAA0652	-0.693375
KLRG1	-1.69516666666667
MS4A8B	4.4255
FRAG1	1.15575
KIAA1546	-0.024
E2F4	-0.414
CLEC4M	0.302166666666667
BTBD14A	-0.67425
KIAA0999	0.5042
GYPA	-3.54725
TAC1	0.6481
TRAIP	-0.2925
KIAA0232	0.2346
ERCC8	-0.81275
GPX4	0.24925
KIAA0368	-0.10825
GPR157	0.9395
CTAGE4	0.1685
C9orf30	-1.21483333333333
OR52A1	0.398
HSP90B3P	-0.577
ALG9	-0.9213
BTBD10	0.5505
SDK2	0.22225
BAIAP3	-0.069
RABGGTB	-0.319375
ANKRD40	-0.684833333333333
KRT74	0.33
CALCOCO2	0.890142857142857
SNCA	-3.562
TMSL8	-5.487375
C2orf53	0.3335
ESRRB	0.05925
ARHGAP26	2.69975
TDRD9	-2.44875
HRAS	-0.5405
KLRC4	-1.522
JAGN1	-0.229666666666667
BSDC1	0.91125
RNF43	1.1877
NDUFAF1	-0.22875
PHF12	0.38175
OR1L3	0.191
FOLR2	1.7865
LYZL6	-0.0525
tcag7.1260	-0.9715
WSB1	-1.036
PROS1	-0.7229
OSTN	0.5885
PSMB8	1.31075
SOCS4	-0.468
DDIT4L	-1.405
MAS1	0.0935
MGC34796	0.83225
CSHL1	0.504166666666667
TBCCD1	0.750666666666667
ZBTB7C	0.185
AP2S1	-1.132875
P15RS	-0.8715
VAT1	-1.0889
SHANK3	0.796166666666667
TUFM	-0.474333333333333
THEG	-0.12
KRT34	-1.323
SGSM3	0.154
TOMM22	0.82525
SOCS3	0.877833333333333
CPO	0.4605
POP4	-0.14
BHLHB3	0.3605
MALL	-0.0885
OR1B1	0.319
PARK2	0.401166666666667
GPR124	-0.10275
LCE1E	0.306
RUVBL2	-0.3735
CGRRF1	-0.6627
ACPL2	0.3185
WNT10B	0.237125
BAIAP2L2	2.633875
ISCA1	0.2665
C1orf125	4.262125
RPAP1	-0.4175
RAI16	-0.279166666666667
RPL27	-0.053375
NLRP9	-0.335
EPN1	0.2065
LOC388610	-0.054625
SLC35A1	0.8663
GAL	-2.92925
SLC14A2	0.8425
RDH11	-0.724833333333333
FAM138F	0.6595
AUH	0.995
FLJ40243	0.039
C14orf129	1.52866666666667
MBD2	-0.428333333333333
ABHD14B	1.14975
PIGT	-0.228625
ALS2CR4	-0.68075
ALAS1	0.6858
FOXO1	1.23183333333333
CRLF3	-0.265875
C20orf107	-0.779
FARS2	-0.2885
CCDC28A	1.054
NPHP3	0.4775
OR13F1	0.6565
TSEN54	0.431
DEFB106B	-0.0193
OR8B4	0.8795
STH	-0.438
ZC3H14	-0.186
CBX2	-0.2435
TMEM49	-0.91
C6orf21	0.256
FLJ20920	0.46775
CRTAP	-0.438571428571429
DDX50	0.25325
STYXL1	-0.725
BLVRB	-0.0775
LOC147650	-2.13716666666667
MMP24	0.46275
GRID1	-0.35
BANF1	-0.740833333333333
CTAGEP	0.488
HMBS	-0.656
SLC25A24	-0.655
C14orf50	2.2855
MRO	0.1145
SLC25A15	0.089
FAM84B	0.122
TDP1	-0.734
C16orf78	-0.0728333333333333
C11orf57	0.890375
RFK	-0.166
ZFYVE9	0.52225
STCH	-2.2738
WIBG	0.81075
LOC283871	-0.6045
GBA2	-0.0913
NDUFB3	0.25975
HSD17B13	-0.6445
GRIN3A	1.25983333333333
FMNL1	-1.84516666666667
SEPT7	-1.0505
GNLY	5.243
GRAMD1C	1.81433333333333
ZNF165	0.74925
USP38	0.675
FAM83A	-3.16383333333333
C14orf24	0.60375
ARMCX3	-0.4635
ARHGDIB	-1.583
AK1	0.096625
KIAA1045	-0.53925
DNAJB13	-0.4175
NEU2	0.1635
HIST1H4B	0.403666666666667
FAM20B	-0.6922
HES2	2.16035714285714
FAM73B	0.3729
LOC388381	-0.20925
INTS7	-0.726363636363636
AMPH	-0.8615
ZNF775	0.495625
UCKL1	0.023
C10orf97	-0.202
C1orf161	0.26475
ALDH1L1	0.00650000000000001
FLJ39378	-0.44975
SLC23A1	-0.888
RBM4B	-0.18075
THAP4	-0.175166666666667
OGFRL1	0.77025
KIAA0831	-0.217875
PPP1R15A	-0.6555
C1orf96	-0.298357142857143
C12orf11	-0.375
BMF	0.28125
MAN1A1	-1.696625
KIAA1600	-0.368166666666667
NLGN4X	-2.67975
ALOX12	-0.958
RB1CC1	-0.8645
NEIL2	1.0379
EIF4E	0.410636363636364
ABHD5	-1.1355
EXOC4	-0.1935
CIP29	-0.258166666666667
BATF2	3.27525
SLC29A4	-1.068
HTR4	1.50425
EMB	-2.555
TRAF6	0.443
LMNB1	1.66025
FAM19A5	-1.15575
SHE	-0.1225
PIK3C2B	3.59525
C15orf15	-0.5307
USP15	0.3727
TCEAL2	-1.376
C5orf39	-0.339833333333333
PTGER2	-2.327
SLC31A1	-0.7008125
IFT172	1.80225
ADAM29	0.2535
GFOD1	0.5285
ST7L	-0.359666666666667
C15orf26	-2.97125
PKN3	-1.133
CNTD1	3.18016666666667
COMMD1	-0.27475
NTRK2	0.180416666666667
FOXN3	0.554375
MFGE8	-1.7672
PFKFB2	1.22066666666667
TAS2R4	0.46725
ENTHD1	-0.0751666666666667
PRMT5	-0.647375
MGC16384	-0.37025
LOC442229	-0.958
TSKU	0.680125
KRTCAP3	4.42975
PDLIM1	2.5292
KCNS2	0.219
RNF126	0.356166666666667
CEP63	-0.128
CLIC4	-3.5935
hCG_1990170	-1.673
ACR	0.3787
KLK7	0.089
ALOX5AP	1.9705
RIPK3	4.978
TAS2R9	0.545
C19orf18	-1.911
BIRC6	0.693285714285714
ZNF16	0.144
RFT1	-0.695
SLC8A2	-0.60425
TACC1	0.4875
ITGAD	0.03475
SAMHD1	0.73925
SH3PXD2B	0.3026
EPC2	0.8365
C20orf85	0.267875
ATP13A2	-0.260666666666667
KRT4	0.827625
CAPNS1	-0.58
MDM2	0.350083333333333
PCDH20	-0.24825
KCNK9	0.508
OR2C1	-0.561
KLHDC3	-0.956333333333333
IPPK	-0.238
EFHD2	0.81225
GALR3	1.454
NBEA	-2.23433333333333
ABCA6	0.025
CLDN3	0.845666666666667
AKT2	-0.129428571428571
EGFR	-0.6531
RBM16	-0.106125
ZDHHC3	0.5838
SLC25A4	-0.0678333333333333
CYB5B	-0.360333333333333
CPXM1	-1.50275
NDRG1	-0.136692307692308
FLJ43826	0.1415
OR5L2	0.420666666666667
FARP2	1.0745
MRPL46	0.199583333333333
LDHAL6B	0.4135
MAPKAPK3	-0.237166666666667
NCAM2	-3.56775
PRKD2	0.0318333333333333
ZFP36L1	1.5075
CYSLTR1	-1.403
OR4C3	0.202
HIST1H2AJ	-0.8
CCNB2	-1.53066666666667
ZNF10	-0.781125
TMEM175	0.5365
FAM134A	0.383166666666667
TIGD4	0.0495
PCNP	-0.83075
MGC39715	0.3035
LQK1	-0.71875
CREB1	-0.9462
TMPRSS3	-1.4295
C4orf32	-1.95675
LAT	-1.46508333333333
KCNA3	-1.313
SKIV2L2	-0.73325
ROPN1B	-3.50175
tcag7.23	0.5005
CDT1	-0.68625
ZHX2	-0.031625
CD28	-3.44875
ZNF624	0.53475
SEPT2	-1.03675
SOHLH2	-2.71528571428571
MCOLN3	-1.349875
UNQ1945	1.151
MASP2	0.568
ZNRF3	0.5858
GPATCH3	-0.33875
AGL	0.468125
QRICH2	-0.286
PSD4	-0.229
CCNB1IP1	-0.28025
ENPP7	0.13425
OBFC1	-0.4585
KCNG3	-0.80775
C14orf79	-0.375416666666667
ENPEP	-0.378
SCT	0.5565
SKI	1.15775
SEC61G	-0.66375
CAPN11	-0.08775
ATXN7L3	-0.321
DBNDD1	-0.6135
FAIM	-0.30025
ANKRD36	0.278
GABRP	1.079
TACSTD2	-3.61283333333333
EIF3J	-0.40825
PPP2R2A	-0.79825
TEKT4	-0.247666666666667
PVALB	-3.52466666666667
F10	-2.63916666666667
FAM134C	0.2983
COMP	0.482
EFCBP1	-3.777375
SCLT1	0.529875
TAL1	-0.7495
ACSL1	1.1455
ABCC5	-0.379166666666667
ABL1	-0.412333333333333
RBBP7	0.627083333333333
PTPRG	-0.516
NCOR1	-0.7202
SPINK4	5.9635
TXNRD1	-1.4503
TNRC15	0.69475
C9orf138	-0.21025
UBE2H	-0.296833333333333
BRDT	0.187
C8orf31	0.151
CCNE2	-1.14072727272727
SLC6A8	-0.5985
CALCR	-4.67875
PPP1CB	0.292583333333333
ABHD8	-1.57175
ARF5	-0.0114
SLC24A4	0.35975
CCT3	-0.3225
ZNF121	-0.293375
SLC3A2	-1.7743
OR13A1	0.9705
SLC5A10	0.702
RAD50	0.65675
IER5	0.5565
MTHFD1L	-0.527
MBTPS2	-0.23175
MVK	-0.395375
NCL	0.0313
PSMD10	-1.00175
MOBP	0.78025
FLJ32894	0.152
HRH1	0.690833333333333
C5orf30	1.391
NUDT16L1	-0.3733
RASGRP3	1.8515
PRKRIP1	-0.6909
CCDC75	-0.07525
LOC253970	-0.0825
KIAA1239	0.20225
MED21	-0.10225
SYT11	-0.652083333333333
NTSR2	-0.36
EGFL11	0.0225
CXorf59	0.278
OR2A25	0.13075
SPTBN2	-1.0065
LRMP	-1.493
RNF111	0.0435
PTH	-0.1985
LOC619208	-0.923666666666667
KIAA0895	-0.67675
RANBP5	-0.133875
P2RY10	0.555333333333333
NME5	-1.7675
DDX21	-0.20725
LRSAM1	-0.5625
HDAC11	-0.125333333333333
VMO1	0.81275
NOLA2	-0.5835
ADAR	-0.04925
MTO1	-0.972
SF4	0.1385
P2RX1	0.131166666666667
HBM	0.22175
EN2	1.783
C14orf172	0.812
TM9SF2	-0.0536
INHBE	-0.786166666666667
TCTE3	0.316416666666667
TOX2	-2.53925
CTAGE3	0.085
HBB	4.5772
MED15	-0.666
CASR	0.54575
C6orf66	-0.110666666666667
MTPN	-0.496875
UNC50	-1.10475
C21orf33	0.951
IRF2	1.38975
PGR	-3.0825
GPR84	1.518
CROCCL1	-0.8775
SRPX	-4.4145
BRE	-0.124666666666667
FGF10	0.37425
SDC3	-0.209333333333333
ZRSR1	-0.590166666666667
DKFZP434P211	-0.331375
SOX6	-1.0445
RPUSD2	0.6475
C14orf173	0.813166666666667
MAPK11	0.185333333333333
TBC1D22A	0.8915
FAM123A	-0.8425
COL4A6	-4.59433333333333
TOMM70A	0.348
NAB1	0.935375
MGC16385	-1.426375
TSPAN18	-1.05816666666667
MED31	-0.08375
PLG	-0.0455
CAPSL	-0.102
ZNF532	-0.5375
ASB14	-0.23725
CA8	1.117
NUDT16P	3.56166666666667
SLFN11	-0.315
LRRIQ2	-0.3155
NOL7	0.0698333333333333
BRMS1L	-1.476
JARID1A	0.167833333333333
PANK2	-0.6315
ICAM3	-0.073
MDS1	3.0525
TAF8	-0.263
RNF139	-0.4455
ZNF594	-0.6295
ADAM8	1.483375
SFTPC	-0.13675
MAN2B2	0.637
RGS12	-0.383875
EIF1AY	-4.68466666666667
LRRIQ1	-1.8235
GPR150	1.75375
CCDC21	-0.919833333333333
PRRG3	0.26725
SAA4	-4.001
RAPGEF5	1.26775
ZCCHC2	0.702166666666667
MGC39372	-0.7065
PPP4R2	-0.306666666666667
CDCA2	-0.995833333333333
OR4D5	0.45
PTGFRN	-0.2125
SIGLEC5	1.38516666666667
C19orf61	-0.617833333333333
NMUR2	0.197
KIAA1586	-1.34083333333333
DAGLA	1.33766666666667
CHCHD6	0.588
GPR32	0.464
NEUROD6	0.202
SLC2A4RG	-0.6684375
CA5B	0.41525
FBXL3	0.17725
MPHOSPH9	-0.52475
HMG2L1	0.2815
HCN4	1.21933333333333
CEACAM19	0.47825
SH2D4B	0.3
HFE2	-0.527
TGM4	0.749166666666667
LYPD2	-0.1305
TBC1D15	0.19525
MRPS21	-0.1502
NONO	-1.393
CLEC5A	0.77775
ITCH	-0.2213
MGAT3	0.3845
MBP	0.3325
RPP25	-0.1395
SOSTDC1	-4.76275
HRC	-1.85375
TRIM48	0.499
TMEM133	-0.3525
ECEL1P2	-0.235
HOXC11	0.0035
DOK5	-1.90125
HELZ	-0.00266666666666667
LOC348180	-0.17225
MGC33894	0.54125
ADRB3	0.374
DMD	-0.4085
PTRH2	-0.347
MPEG1	3.1105
NDUFA12	0.624166666666667
KRTAP2-4	0.423916666666667
STAMBPL1	0.187333333333333
ADCY2	-0.977333333333333
UNQ6125	0.0515
KLHL20	-0.206
SRM	-1.32575
OTC	1.2725
TMIE	-0.0035
SNX8	0.465
LIPK	0.3905
CHURC1	-0.351833333333333
KLC2	0.544166666666667
HDAC1	0.346
FAM128A	-0.133333333333333
FNDC3B	-0.2813
MTCP1	-0.498833333333333
WFDC10B	1.3082
PCDHGB3	0.164
ATRNL1	-2.4644
CAV2	-2.613375
MED26	-0.173833333333333
DUS1L	0.57675
CHRM3	-0.7695
NEK9	-0.131
WARS2	-0.62025
TBX22	-1.083
TOMM40	-0.33525
RP6-213H19.1	-0.315666666666667
TUBGCP5	-0.31225
IGSF6	4.9435
TPPP	1.95083333333333
UNQ6190	0.2075
GSTM5	-0.527625
BTD	-0.8955
PDCD1LG2	-0.700166666666667
SNRPB2	-0.416
ERICH1	0.7085
APOA4	-1.396375
HOXA11	-0.5065
NARG1	-0.4465
MKX	-0.8435
RAB28	-0.580714285714286
PKP3	2.472
SH3GL2	-0.40925
CTSO	0.87525
RPN2	-0.246625
IL28RA	-1.887
SFMBT1	0.5685
WDR57	0.192125
FER1L3	-1.20616666666667
HSF5	0.106333333333333
TTC9B	1.19875
C4BPA	-3.028
ALB	-3.86828571428571
SORBS3	0.06575
UPF2	0.541
JPH1	2.1445
AGBL2	-0.51125
DOPEY1	1.4785
TERF1	-0.87275
KIF22	-0.1415
NINJ1	-0.85
SEC61A2	-0.821
HIST1H1D	-0.627166666666667
SFXN4	1.287625
UCP3	0.5825
ZNF703	1.74716666666667
MYL6B	-2.37025
TREM1	2.514
OR52E6	0.0615
CKMT2	-1.21775
HLA-C	0.771125
SLC13A3	-2.9055
TIMP4	0.627
SLIT2	-1.17125
RSF1	0.101888888888889
LONRF1	-1.0275
MON1A	-0.0453333333333333
CACNG6	-1.45466666666667
DPPA4	-4.40266666666667
ZSWIM3	-0.08825
ZNF804A	0.0188333333333333
CCIN	0.6925
SLC25A31	0.13675
KCNMB4	-2.30525
RABL5	-0.450375
GALNS	-0.2843
STX6	0.623375
HIST1H1C	-4.07783333333333
CIDEB	-0.778375
CASP4	0.00233333333333332
PDK3	-0.2834
KCNJ11	0.421
TPR	-0.18325
ZSCAN20	-0.5015
MTX2	0.258
HIST1H2BH	-1.39475
LOC283767	2.48475
LYRM7	-0.375111111111111
BRD3	-0.0771666666666667
HIST1H2BO	-1.2385
MAGEB10	0.395
SLC45A1	-0.8695
SERPINA3	-2.8622
KIAA0143	0.7815
KCNJ16	0.0783333333333333
KRT79	0.034
FABP2	1.62375
NUT	0.02625
ZNF57	1.46075
FBXL4	-0.07425
CLEC9A	0.146
UGT8	3.65233333333333
BMP2K	-0.6405
MAPK4	-2.969
SLC25A23	0.5537
HINT1	-0.3957
KRTAP13-1	0.4805
SFXN5	-0.7748
CHCHD2	-0.0885
FAM3D	5.4805
NDP	-3.611625
RHOBTB1	-2.84533333333333
SLC4A4	2.763375
RPL38	0.361
HTF9C	-0.438
AP2A2	-0.010625
ZBTB46	-0.5425
MAP7D1	-1.072625
AOX1	-2.76633333333333
CYR61	-1.00925
DTNA	-1.90164285714286
JRKL	1.77575
TMOD3	0.2665
EEA1	-0.3475
ADCK5	2.74575
IL1R1	-0.827
KLK3	1.48942857142857
HRSP12	-0.22325
KTN1	0.08975
LOH11CR2A	1.9438
RELL2	-0.68425
MAB21L1	0.02325
C20orf59	-0.1485
PHKB	-0.12125
ADAM2	-2.38
TBC1D8B	1.85116666666667
FAM13A1	-0.126625
LAPTM4B	-1.62191666666667
LCN8	0.4925
TMEM147	0.096
SYT4	0.637333333333333
XPO7	-0.4645
C9orf62	2.1035
GPR75	-0.196
TRIM5	0.70225
APOC1	-1.2945
RNASE4	0.631666666666667
PARD6B	-2.287875
ARID1A	-0.3445
TPD52L3	-0.00619999999999999
RRAGB	-0.322666666666667
RCN2	-1.11283333333333
HIST2H2BE	-1.4720625
STARD7	0.438
SHMT2	-0.1305
KIAA1751	-0.0803333333333333
MLYCD	0.804875
LOC162632	-1.3397
UQCRH	-0.10225
RP11-217H1.1	-0.6803125
SDHA	-0.482333333333333
NCLN	1.2853
ZNF17	-0.443
RCBTB2	-2.17775
VEGFB	-0.66
RP4-747L4.3	-1.06525
COLQ	0.0347
MPN2	-0.729666666666667
DRG2	-0.66725
KLRB1	5.8485
ALPK2	-3.2005
DNASE2B	0.834
FLJ23834	0.277833333333333
AXUD1	-0.347166666666667
SAFB	0.6268
NSUN4	0.09825
RFX2	1.149
MAPK8IP1	-0.542833333333333
FANCD2	-0.0319285714285714
ANKZF1	-0.508833333333333
C19orf50	-1.08625
DUSP8	2.329875
SENP5	0.66225
NFKBIL2	0.93225
LBR	0.161125
IGFL1	0.2975
LZTS2	-1.100125
IL2RG	0.22925
CCDC51	0.1295
KLF3	1.565625
ANKRD37	-1.65175
KCTD14	1.90983333333333
FZR1	0.510583333333333
SLC44A4	4.1042
ESPL1	-0.665625
GMPR2	-1.1023
TBC1D19	-1.33333333333333
ERGIC1	1.03633333333333
ERBB4	-1.6628
TSPAN32	-0.125666666666667
MAP4	-0.3875
GPHN	-0.958
SLC6A2	-0.1695
HIVEP1	0.68075
DFFB	0.9437
EIF4EBP2	0.930375
DMRT1	-0.4655
HSPB6	0.3815
IER2	0.1975
AIFM1	0.47
WWC2	-1.96041666666667
MRPL4	0.405
FLJ21062	0.5355
EPB41L4A	0.386
SH2D6	0.558
TAF4B	-0.3265
GAL3ST3	0.1195
MALT1	-1.47516666666667
RTDR1	0.48875
ARVCF	-0.435875
MEX3B	-3.14933333333333
FBXO16	-1.511
KIF7	-2.675
C1QC	4.90083333333333
ZNF783	-0.127333333333333
ZNF85	-1.8615
MMP13	-0.733
KIAA0329	0.239125
RTP3	-1.6375
ZBED3	0.572
CLGN	-5.35175
SLC25A37	0.164333333333333
hCG_18290	0.546
OR5AS1	0.2035
SMARCC2	0.03425
FAM109A	0.6985
CCDC12	0.40175
USF2	-0.0526
DEPDC7	-0.5295
C20orf24	-0.932666666666667
JMJD3	0.202
DSP	-0.0907142857142857
SLIC1	0.41525
FAM20A	-0.501875
IRF2BP2	0.9975
ZNF230	-0.554
MSN	-1.8055
SLC9A5	-0.2015
