Hybridization REF	TCGA-AA-A00N-01A-02R-A00A-07
CNTN2	-0.207
ASNSD1	-0.2785
FUT4	1.78375
ACF	-0.1745
LOC158381	-0.1895
CDH8	0.26625
AGPS	0.249833333333333
C4orf18	1.60625
PECI	-0.367916666666667
UNG	0.029375
GSTP1	0.715125
DCUN1D5	-0.580333333333333
DKFZP564J0863	0.58025
SLC9A3R1	-0.594375
BCDO2	0.51475
CHMP7	0.2065
REM2	-0.8615
DNHD1	-0.00725000000000001
FKBP4	-1.452375
ZNF350	-0.62125
MGC11102	0.511375
BST1	3.4905
KISS1R	-0.8015
NCR2	-0.00449999999999999
DEFB125	0.3905
UBE2W	0.534875
KRT15	-1.032125
C10orf99	3.674
SCN11A	-0.36125
GFI1	-0.22625
RDHE2	4.3755
FHL1	-1.00766666666667
OSGEP	-0.152
GATA1	-3.99466666666667
SMC6	-0.4315
TTTY14	0.946
LPIN3	0.00899999999999998
RPL4	-0.5575
RBPMS	0.1124
PRPF3	-0.840666666666667
EMR1	-0.779
SPATA19	-0.205
XCR1	-0.177
IRX3	-1.3434
RBM6	-0.12775
KLF4	0.3591
UNC5CL	2.942
SEBOX	-0.295
BTK	-1.01925
KRCC1	2.22825
C6orf27	-0.0465
SYTL5	-0.761
PRND	1.220625
LOC653319	-0.7615
PIGL	-0.06475
HUS1	0.799833333333333
SFRS6	-0.0331666666666667
C17orf77	-0.072
UIMC1	0.286166666666667
FXYD2	-2.0199
LOC283152	0.21525
ZNF667	-2.161
ZCCHC12	-0.4255
TFEC	1.2802
ATP7B	2.18233333333333
POLD2	-2.077
RG9MTD1	0.2645
ACOT2	0.318166666666667
HIST1H4I	-1.016125
PPARGC1A	2.4341
ETFA	0.1766
POLRMT	-0.00274999999999999
ZNF146	0.22475
MIA2	-0.2675
KLHL6	-1.06716666666667
HOXB5	2.092
NENF	0.2915
CUGBP1	0.7675
PRSS22	1.86466666666667
CASC4	1.3736
CUL4B	-0.0836
CENPJ	-1.7172
PITX1	-0.314833333333333
FLJ31033	0.5325
CELSR3	-0.2535
ZNF568	-0.71875
ITSN1	-0.666636363636364
EHBP1L1	-0.204666666666667
C19orf2	-1.13
DCTN1	-0.82175
LIN28B	-2.3705
TNKS2	0.8505
C1QBP	0.216375
CADPS2	1.7075
SRMS	0.09675
GJA9	0.661666666666667
MGC24975	-1.80233333333333
TRIM45	-2.08533333333333
TSP50	-0.4405
TCP1	-0.7785
TMED7	0.9926
CMA1	0.5725
CENPL	-0.674666666666667
PTCRA	-0.665
FST	-4.6955
VWCE	-4.10075
PAWR	0.56675
ABCC12	0.298
LDLR	-0.2066
ASTN2	0.5206
LOC441212	-0.084875
GPATCH8	-0.132
TANC2	-0.776916666666667
KIF4A	-1.2925
C18orf18	-0.01425
PGM1	0.015
KIAA0258	1.25025
CPD	0.85175
SNCAIP	-0.5625
DCT	-4.9192
HLA-DOA	1.05854545454545
OR11L1	0.053
UPK1B	-0.2138
DNAJB4	-0.2165
UGT1A8	2.5105
HIST1H4L	-1.045
PECR	-0.6465
HSPA2	1.9175
WFIKKN1	-2.8515
SERP1	0.50625
SYDE2	-0.21175
TACR2	0.0675
NUP85	-0.56875
CD177	0.962333333333333
LGR5	1.49083333333333
PIGG	0.0378333333333333
PTHR1	-1.64216666666667
RAB5A	0.4068
FLJ13224	-0.071
USP9Y	0.17
C7orf53	-0.274
LRP1B	-0.56775
XAF1	2.0151
ABCG8	-0.099
ANKDD1A	-0.1045
DAND5	-1.027
SPAG6	-0.0191666666666667
LINCR	0.21825
ZDHHC22	-1.21825
CCDC60	0.5355
THOC7	-0.967
TCTA	0.4763
OR8K3	0.431
NY-REN-7	0.7315
B2M	1.85783333333333
C6orf141	-1.651125
LPPR4	3.19525
SQLE	-1.2565
SEPHS1	-0.45
BTBD14B	0.131214285714286
PLRG1	-0.02
SPG7	-0.4774375
ZNF614	-0.760666666666667
PARD6G	-0.202333333333333
INPP5B	-0.7462
GRPEL2	0.137875
PPID	-0.1671
TRIM56	-0.45125
UBE2J1	0.80125
IL20RA	4.679
LOC387856	0.0165000000000001
C1orf107	0.341416666666667
UTS2R	-0.269
C19orf22	0.18575
SAFB2	-0.018375
KIAA0652	-0.47925
KLRG1	-0.956166666666667
MS4A8B	5.3225
FRAG1	0.71875
KIAA1546	1.195
E2F4	-0.5139
CLEC4M	-0.349333333333333
BTBD14A	0.47325
KIAA0999	0.8623
GYPA	-2.44916666666667
TAC1	2.9561
TRAIP	-1.2075
KIAA0232	0.4752
ERCC8	-0.262625
GPX4	-0.451125
KIAA0368	-0.349625
GPR157	-0.523
CTAGE4	1.6295
C9orf30	-0.644
OR52A1	0.959
HSP90B3P	-0.024
ALG9	-0.5379
BTBD10	1.06975
SDK2	-0.515
BAIAP3	-2.17325
RABGGTB	-0.57625
ANKRD40	-0.112666666666667
KRT74	0.384
CALCOCO2	0.695928571428571
SNCA	-2.9055
TMSL8	-3.66325
C2orf53	0.0145000000000001
ESRRB	-0.71225
ARHGAP26	2.10125
TDRD9	-2.434
HRAS	-0.149833333333333
KLRC4	-1.458
JAGN1	0.126666666666667
BSDC1	0.69275
RNF43	1.4867
NDUFAF1	0.7295
PHF12	0.4455
OR1L3	0.39125
FOLR2	1.445
LYZL6	-0.235
tcag7.1260	0.852
WSB1	-0.740666666666667
PROS1	0.507
OSTN	-0.229
PSMB8	1.5925
SOCS4	0.320125
DDIT4L	1.539
MAS1	-0.561
MGC34796	1.19475
CSHL1	-0.435333333333333
TBCCD1	0.270333333333333
ZBTB7C	-0.542
AP2S1	-0.372875
P15RS	-0.0491
VAT1	-1.6351
SHANK3	0.3245
TUFM	0.029
THEG	0.2135
KRT34	-0.82875
SGSM3	0.06225
TOMM22	0.86125
SOCS3	1.7255
CPO	0.0295
POP4	0.33275
BHLHB3	1.065
MALL	3.603
OR1B1	0.0865
PARK2	0.1045
GPR124	1.25225
LCE1E	0.23
RUVBL2	-0.97625
CGRRF1	-0.0488
ACPL2	0.47275
WNT10B	-1.634125
BAIAP2L2	1.899875
ISCA1	0.203
C1orf125	3.326375
RPAP1	-0.95225
RAI16	-0.039
RPL27	-0.13625
NLRP9	1.1715
EPN1	0.086
LOC388610	-0.423375
SLC35A1	1.6594
GAL	-3.20725
SLC14A2	0.0065
RDH11	-0.141166666666667
FAM138F	-0.73
AUH	0.41
FLJ40243	0.2155
C14orf129	2.46166666666667
MBD2	-0.643333333333333
ABHD14B	0.111625
PIGT	0.338125
ALS2CR4	-0.6115
ALAS1	0.8563
FOXO1	0.834
CRLF3	0.0545
C20orf107	-1.068
FARS2	-0.6745
CCDC28A	0.5265
NPHP3	-0.663
OR13F1	0.1525
TSEN54	-0.66075
DEFB106B	0.1786
OR8B4	0.904
STH	-1.4985
ZC3H14	-0.444875
CBX2	-0.506
TMEM49	-0.83275
C6orf21	-0.3655
FLJ20920	0.082875
CRTAP	0.113928571428571
DDX50	-0.1345
STYXL1	-0.3245
BLVRB	-0.997666666666667
LOC147650	-1.15433333333333
MMP24	-0.09325
GRID1	1.203
BANF1	-0.732833333333333
CTAGEP	0.706
HMBS	-1.2905
SLC25A24	0.968166666666667
C14orf50	2.1965
MRO	-0.0643333333333333
SLC25A15	0.17075
FAM84B	1.1807
TDP1	0.074
C16orf78	-0.226
C11orf57	0.38125
RFK	1.259125
ZFYVE9	1.308625
STCH	-0.9372
WIBG	0.43475
LOC283871	-0.192666666666667
GBA2	-0.2873
NDUFB3	0.9865
HSD17B13	-0.00775000000000001
GRIN3A	1.03166666666667
FMNL1	-1.54966666666667
SEPT7	-0.5892
GNLY	2.4505
GRAMD1C	0.397666666666667
ZNF165	0.78075
USP38	1.5655
FAM83A	-1.81216666666667
C14orf24	1.28583333333333
ARMCX3	0.719375
ARHGDIB	-0.0676666666666667
AK1	-0.244875
KIAA1045	0.05225
DNAJB13	-0.347833333333333
NEU2	0.2225
HIST1H4B	-0.746333333333333
FAM20B	-0.7312
HES2	1.87814285714286
FAM73B	-0.6046
LOC388381	-0.02225
INTS7	-0.580727272727273
AMPH	0.776
ZNF775	-0.933375
UCKL1	-0.786833333333333
C10orf97	0.63375
C1orf161	0.3475
ALDH1L1	3.2265
FLJ39378	-0.799375
SLC23A1	-2.498
RBM4B	-0.30325
THAP4	0.2185
OGFRL1	-0.01925
KIAA0831	0.0425
PPP1R15A	-0.882333333333333
C1orf96	-0.352857142857143
C12orf11	-1.138
BMF	-0.011
MAN1A1	-0.379142857142857
KIAA1600	0.407666666666667
NLGN4X	0.1685
ALOX12	-0.2458
RB1CC1	-0.643
NEIL2	0.6034
EIF4E	0.751136363636364
ABHD5	0.1575
EXOC4	-0.3445
CIP29	0.541
BATF2	3.94325
SLC29A4	-1.195
HTR4	2.0025
EMB	-1.9485
TRAF6	0.48025
LMNB1	1.3775
FAM19A5	-0.635
SHE	1.10975
PIK3C2B	2.20475
C15orf15	-0.6378
USP15	0.0381
TCEAL2	-0.62425
C5orf39	-0.527
PTGER2	0.915
SLC31A1	-0.3156875
IFT172	1.807
ADAM29	-0.15275
GFOD1	-0.54675
ST7L	0.670833333333333
C15orf26	-1.57225
PKN3	-1.56325
CNTD1	0.853
COMMD1	-0.18975
NTRK2	3.06441666666667
FOXN3	0.954625
MFGE8	-0.6949
PFKFB2	2.05333333333333
TAS2R4	0.12475
ENTHD1	0.0615
PRMT5	-0.97225
MGC16384	-0.9295
LOC442229	-0.013
TSKU	0.87
KRTCAP3	4.152
PDLIM1	1.7855
KCNS2	-0.306
RNF126	0.2095
CEP63	-0.614875
CLIC4	-1.006375
hCG_1990170	-0.225
ACR	1.371
KLK7	4.071
ALOX5AP	3.254375
RIPK3	4.13475
TAS2R9	0.6195
C19orf18	1.8605
BIRC6	0.118714285714286
ZNF16	0.126
RFT1	-0.4135
SLC8A2	-0.7595
TACC1	1.14475
ITGAD	0.198
SAMHD1	1.136
SH3PXD2B	1.3732
EPC2	0.866
C20orf85	0.366625
ATP13A2	0.168166666666667
KRT4	0.10475
CAPNS1	-0.29075
MDM2	0.373416666666667
PCDH20	2.08725
KCNK9	0.2475
OR2C1	-0.5705
KLHDC3	-0.874166666666667
IPPK	0.0815
EFHD2	1.332625
GALR3	-0.36
NBEA	-0.921333333333333
ABCA6	0.5808
CLDN3	2.23166666666667
AKT2	-0.168
EGFR	0.2976
RBM16	0.341375
ZDHHC3	1.3286
SLC25A4	-0.123166666666667
CYB5B	0.3585
CPXM1	-0.74725
NDRG1	0.699230769230769
FLJ43826	0.051
OR5L2	0.6098
FARP2	0.4436
MRPL46	-0.0824166666666667
LDHAL6B	-0.06875
MAPKAPK3	-0.401166666666667
NCAM2	-1.4925
PRKD2	-0.282166666666667
ZFP36L1	0.9773
CYSLTR1	-0.8845
OR4C3	0.37
HIST1H2AJ	0.207
CCNB2	-1.33244444444444
ZNF10	-0.389125
TMEM175	-0.516
FAM134A	0.177166666666667
TIGD4	-0.1055
PCNP	-0.7685
MGC39715	0.12875
LQK1	-0.6565
CREB1	0.6089
TMPRSS3	0.812
C4orf32	0.1825
LAT	-2.26183333333333
KCNA3	0.729
SKIV2L2	-0.5345
ROPN1B	-2.99625
tcag7.23	0.0895
CDT1	-2.629625
ZHX2	0.18175
CD28	-2.471
ZNF624	0.9995
SEPT2	0.208666666666667
SOHLH2	-1.3685
MCOLN3	-0.0025
UNQ1945	-0.186
MASP2	0.055
ZNRF3	0.7885
GPATCH3	-0.57925
AGL	0.722875
QRICH2	-0.431
PSD4	-0.0363333333333333
CCNB1IP1	-0.49275
ENPP7	-0.188
OBFC1	0.3675
KCNG3	-0.119
C14orf79	-0.824666666666667
ENPEP	2.10816666666667
SCT	-0.121
SKI	0.419375
SEC61G	-0.183
CAPN11	0.245666666666667
ATXN7L3	-0.32025
DBNDD1	-1.42783333333333
FAIM	0.679
ANKRD36	-1.2195
GABRP	2.44466666666667
TACSTD2	0.8984
EIF3J	-0.04275
PPP2R2A	0.185
TEKT4	-0.275833333333333
PVALB	-4.28133333333333
F10	-3.63816666666667
FAM134C	0.5133
COMP	4.04525
EFCBP1	-1.7259375
SCLT1	0.62375
TAL1	-1.1473
ACSL1	0.153
ABCC5	-0.215
ABL1	-0.641555555555555
RBBP7	-0.325
PTPRG	1.002375
NCOR1	0.2321
SPINK4	6.91133333333333
TXNRD1	-0.522
TNRC15	0.259875
C9orf138	0.455571428571429
UBE2H	1.07216666666667
BRDT	0.181166666666667
C8orf31	-0.22025
CCNE2	-0.952909090909091
SLC6A8	-0.166125
CALCR	-2.99625
PPP1CB	1.35083333333333
ABHD8	-1.759
ARF5	-0.2999
SLC24A4	0.8825
CCT3	-0.34625
ZNF121	0.14225
SLC3A2	-1.8937
OR13A1	-0.1835
SLC5A10	-0.21025
RAD50	0.6075
IER5	-0.403125
MTHFD1L	-1.217375
MBTPS2	0.47275
MVK	-0.401375
NCL	0.4134
PSMD10	-0.9505
MOBP	0.00857142857142851
FLJ32894	-0.498
HRH1	1.68283333333333
C5orf30	0.4655
NUDT16L1	0.5095
RASGRP3	2.64266666666667
PRKRIP1	-0.8758
CCDC75	-0.123
LOC253970	0.4135
KIAA1239	-0.3005
MED21	0.35275
SYT11	0.743666666666667
NTSR2	-0.803
EGFL11	-0.571
CXorf59	0.716
OR2A25	-0.095
SPTBN2	-0.98275
LRMP	-0.451
RNF111	0.18825
PTH	-0.0395
LOC619208	0.371666666666667
KIAA0895	0.2375
RANBP5	-0.509375
P2RY10	-0.295166666666667
NME5	-0.2752
DDX21	-0.1385
LRSAM1	-0.9155
HDAC11	-0.454166666666667
VMO1	2.49525
NOLA2	-0.360333333333333
ADAR	0.208666666666667
MTO1	-0.598333333333333
SF4	-0.0201666666666667
P2RX1	-0.051
HBM	-0.44675
EN2	0.081
C14orf172	0.31525
TM9SF2	1.0117
INHBE	-0.736
TCTE3	-0.133083333333333
TOX2	-1.8015
CTAGE3	0.292
HBB	4.3259
MED15	-0.906666666666667
CASR	0.26725
C6orf66	0.684666666666667
MTPN	-0.167375
UNC50	-0.51525
C21orf33	0.721125
IRF2	1.792
PGR	-2.59683333333333
GPR84	1.9235
CROCCL1	-1.60825
SRPX	-1.51175
BRE	-0.630333333333333
FGF10	0.595333333333333
SDC3	-0.546333333333333
ZRSR1	-0.814833333333333
DKFZP434P211	-0.89425
SOX6	1.4105
RPUSD2	0.02825
C14orf173	0.2725
MAPK11	-0.548333333333333
TBC1D22A	0.273
FAM123A	-0.021
COL4A6	-2.63583333333333
TOMM70A	0.713
NAB1	0.795125
MGC16385	-0.822
TSPAN18	-0.682666666666667
MED31	0.1845
PLG	-0.22075
CAPSL	0.182
ZNF532	0.594
ASB14	-0.2965
CA8	-0.5345
NUDT16P	2.32083333333333
SLFN11	-0.124
LRRIQ2	-0.529
NOL7	-0.719833333333333
BRMS1L	-0.519375
JARID1A	0.0783333333333333
PANK2	-0.2735
ICAM3	-0.2485
MDS1	1.73
TAF8	-0.6995
RNF139	0.51225
ZNF594	-0.624166666666667
ADAM8	2.3325
SFTPC	-0.68175
MAN2B2	1.205875
RGS12	-0.3540625
EIF1AY	0.69775
LRRIQ1	-0.599166666666667
GPR150	-0.05225
CCDC21	-1.5465
PRRG3	0.585
SAA4	-4.387
RAPGEF5	1.48925
ZCCHC2	0.3165
MGC39372	0.056
PPP4R2	0.697
CDCA2	-1.3265
OR4D5	0.316
PTGFRN	1.649
SIGLEC5	0.397
C19orf61	-0.939333333333333
NMUR2	-0.3665
KIAA1586	-1.19833333333333
DAGLA	1.18033333333333
CHCHD6	-0.44125
GPR32	0.5235
NEUROD6	0.0658333333333333
SLC2A4RG	-1.1061875
CA5B	-0.14125
FBXL3	0.49975
MPHOSPH9	-1.32175
HMG2L1	0.46875
HCN4	-0.057
CEACAM19	0.34875
SH2D4B	0.452666666666667
HFE2	-1.504
TGM4	0.7972
LYPD2	0.125333333333333
TBC1D15	0.10225
MRPS21	-0.906
NONO	-0.5798
CLEC5A	1.89075
ITCH	0.2792
MGAT3	0.0841666666666667
MBP	0.436875
RPP25	0.29975
SOSTDC1	2.84375
HRC	-1.91725
TRIM48	-0.4735
TMEM133	0.7635
ECEL1P2	1.271
HOXC11	-0.405
DOK5	-0.1995
HELZ	0.0895
LOC348180	-0.75275
MGC33894	-0.17375
ADRB3	-0.2675
DMD	0.9625
PTRH2	0.1215
MPEG1	2.62516666666667
NDUFA12	0.337833333333333
KRTAP2-4	-0.211090909090909
STAMBPL1	0.7645
ADCY2	-0.3416
UNQ6125	-0.2045
KLHL20	0.273
SRM	-1.0835
OTC	-0.3265
TMIE	-0.6335
SNX8	0.01775
LIPK	0.3625
CHURC1	-0.0653333333333333
KLC2	-0.3325
HDAC1	0.752333333333333
FAM128A	0.058
FNDC3B	0.3554
MTCP1	-1.00866666666667
WFDC10B	0.6462
PCDHGB3	0.185
ATRNL1	-1.20377777777778
CAV2	0.1665
MED26	-0.016
DUS1L	0.8355
CHRM3	0.336875
NEK9	-0.51425
WARS2	0.9585
TBX22	0.303
TOMM40	-0.83125
RP6-213H19.1	-0.685666666666667
TUBGCP5	-0.44875
IGSF6	3.59675
TPPP	-0.0375
UNQ6190	0.3965
GSTM5	0.200125
BTD	-0.658666666666667
PDCD1LG2	-0.496166666666667
SNRPB2	-0.0123333333333333
ERICH1	0.401625
APOA4	-1.55225
HOXA11	0.741
NARG1	0.685875
MKX	0.3035
RAB28	-0.260928571428571
PKP3	1.83925
SH3GL2	0.31125
CTSO	2.308
RPN2	0.4984375
IL28RA	0.513166666666667
SFMBT1	1.058
WDR57	0.076125
FER1L3	0.697833333333333
HSF5	-0.4974
TTC9B	0.32075
C4BPA	0.565
ALB	-4.19161538461538
SORBS3	-0.72525
UPF2	0.876
JPH1	0.6385
AGBL2	-0.2175
DOPEY1	1.8365
TERF1	0.272833333333333
KIF22	-1.50166666666667
NINJ1	-0.9845
SEC61A2	-0.336
HIST1H1D	-1.48883333333333
SFXN4	1.028125
UCP3	-0.1481
ZNF703	0.284
MYL6B	-1.4905
TREM1	3.3125
OR52E6	0.988
CKMT2	-0.33425
HLA-C	2.55725
SLC13A3	-1.776
TIMP4	1.3935
SLIT2	1.97925
RSF1	-0.557944444444444
LONRF1	-0.874714285714286
MON1A	0.190166666666667
CACNG6	-2.18683333333333
DPPA4	-6.25283333333333
ZSWIM3	0.598
ZNF804A	0.0478
CCIN	0.6015
SLC25A31	-0.243
KCNMB4	-0.966
RABL5	-0.7545
GALNS	-0.6153
STX6	0.739125
HIST1H1C	-3.15633333333333
CIDEB	-1.008875
CASP4	0.4145
PDK3	-0.3112
KCNJ11	-0.4865
TPR	-0.787625
ZSCAN20	-0.328
MTX2	0.423
HIST1H2BH	-0.61275
LOC283767	1.752
LYRM7	-0.424444444444444
BRD3	-0.4245
HIST1H2BO	-0.98925
MAGEB10	0.0685
SLC45A1	-0.74975
SERPINA3	-0.5987
KIAA0143	0.70825
KCNJ16	0.765666666666667
KRT79	0.01975
FABP2	1.0735
NUT	-0.1775
ZNF57	0.85275
FBXL4	0.14975
CLEC9A	1.1235
UGT8	3.34183333333333
BMP2K	-0.11425
MAPK4	-4.17925
SLC25A23	-0.5148
HINT1	0.0174
KRTAP13-1	-0.327
SFXN5	-0.737
CHCHD2	0.02775
FAM3D	4.611
NDP	-2.517
RHOBTB1	-0.0613333333333333
SLC4A4	2.344375
RPL38	-0.267
HTF9C	-0.559166666666667
AP2A2	0.340375
ZBTB46	-0.93
MAP7D1	-0.070625
AOX1	-1.69033333333333
CYR61	0.183666666666667
DTNA	-0.364571428571429
JRKL	0.30675
TMOD3	0.3685
EEA1	0.3873
ADCK5	0.21375
IL1R1	1.41566666666667
KLK3	0.476428571428571
HRSP12	0.18525
KTN1	-0.07375
LOH11CR2A	0.96
RELL2	-1.17425
MAB21L1	0.021
C20orf59	-1.0085
PHKB	0.022
ADAM2	-0.866333333333333
TBC1D8B	2.44783333333333
FAM13A1	0.788125
LAPTM4B	-0.223333333333333
LCN8	-0.387
TMEM147	0.3995
SYT4	0.5246
XPO7	-0.567
C9orf62	0.2705
GPR75	0.7105
TRIM5	0.52825
APOC1	-1.789
RNASE4	1.85866666666667
PARD6B	-1.9085
ARID1A	-0.0343333333333333
TPD52L3	0.146
RRAGB	0.277
RCN2	-0.759666666666667
HIST2H2BE	-1.27286666666667
STARD7	0.3645
SHMT2	0.10375
KIAA1751	-0.0546
MLYCD	0.99975
LOC162632	-0.5526
UQCRH	0.13
RP11-217H1.1	0.3765625
SDHA	-0.456833333333333
NCLN	0.5566
ZNF17	-0.703
RCBTB2	-1.192
VEGFB	-0.7048
RP4-747L4.3	0.5655
COLQ	-0.1089
MPN2	-0.590666666666667
DRG2	-0.452
KLRB1	1.85025
ALPK2	-0.23775
DNASE2B	2.10933333333333
FLJ23834	0.532166666666667
AXUD1	0.086
SAFB	-0.0354
NSUN4	0.30725
RFX2	0.2065
MAPK8IP1	-0.695833333333333
FANCD2	-0.863428571428572
ANKZF1	-1.08683333333333
C19orf50	-0.568625
DUSP8	1.105125
SENP5	0.000625000000000006
NFKBIL2	-0.182
LBR	-0.593875
IGFL1	0.9935
LZTS2	-1.338
IL2RG	0.6845
CCDC51	0.6225
KLF3	1.431625
ANKRD37	-0.0745
KCTD14	1.78316666666667
FZR1	0.225583333333333
SLC44A4	4.6633
ESPL1	-1.108625
GMPR2	-0.5551
TBC1D19	-1.1195
ERGIC1	0.560222222222222
ERBB4	-1.39377777777778
TSPAN32	0.214083333333333
MAP4	-0.585875
GPHN	-0.68825
SLC6A2	-0.73575
HIVEP1	0.00275
DFFB	0.9966
EIF4EBP2	0.94925
DMRT1	-0.44125
HSPB6	0.0825000000000001
IER2	0.262333333333333
AIFM1	0.546
WWC2	-0.12575
MRPL4	-0.198
FLJ21062	0.0648333333333333
EPB41L4A	0.77
SH2D6	-0.058
TAF4B	-0.85775
GAL3ST3	-1.311
MALT1	-0.0578333333333333
RTDR1	-0.42575
ARVCF	-0.922625
MEX3B	-0.9155
FBXO16	-0.0575
KIF7	-1.867
C1QC	4.0705
ZNF783	-0.222666666666667
ZNF85	-1.26325
MMP13	4.064
KIAA0329	0.45125
RTP3	0.7665
ZBED3	-0.6905
CLGN	-3.947
SLC25A37	-0.563083333333333
hCG_18290	-0.06725
OR5AS1	-0.065
SMARCC2	-0.458583333333333
FAM109A	0.882666666666667
CCDC12	-0.03075
USF2	-0.1409
DEPDC7	-0.000499999999999998
C20orf24	0.615666666666667
JMJD3	1.545
DSP	0.394428571428571
SLIC1	-0.125
FAM20A	1.569
IRF2BP2	0.608625
ZNF230	-0.326
MSN	-0.353071428571429
SLC9A5	-1.547
