Hybridization REF	TCGA-AA-A02H-01A-01R-A00A-07
PGBD5	-0.637166666666667
CCNY	0.0827857142857143
RMND5B	-0.645833333333333
ZNF257	-2.68433333333333
FLJ22167	0.000375
EXOSC7	-0.619833333333333
ROR2	-0.21925
MAOA	2.764875
TNNT3	0.410166666666667
GYPC	-2.5985
C7orf33	0.626
PLIN	0.335666666666667
LOC90826	-0.315
RNF4	-0.322
F8A1	0.2925
PLEKHG4	0.43725
GRB2	-0.2591
HIST1H2AD	-1.6755
DUS3L	0.0756666666666667
EIF1	-0.0933333333333333
RP5-1077B9.4	-0.987333333333333
FPGT	0.925
GDF10	-0.4075
COQ9	-0.197
GCC2	0.562428571428571
RARRES3	0.5655
PLXNA1	0.4245
KIAA0100	-0.4554
PMF1	-0.2635
FNDC1	3.8395
HS2ST1	-0.0685833333333333
CRELD2	0.0005
C8G	-1.336
CD82	0.7645
LIM2	-0.73
UNQ6490	-0.105
MMP16	0.306
DRD3	-0.38275
C5orf26	0.11575
C11orf73	-0.244125
PTP4A2	-0.073125
OR4M2	-0.6525
HPCA	-0.188833333333333
SEC14L1	-1.01933333333333
CHFR	-0.426
EMILIN1	0.358125
NDUFS4	-0.09625
COL18A1	-1.556625
PDZD3	2.9595
C9orf16	0.160666666666667
ERBB2IP	-0.0873333333333334
EMX2	-0.109
FUS	-0.98475
TF	-5.1003
CLCN4	0.698333333333333
CXorf56	-0.29175
C11orf72	0.14175
ELAC2	-1.2145
NPR1	-1.57525
ASS1	1.4885
USP42	0.3645
POLR2J	0.1345
SEC23IP	0.9315
UQCRC1	-0.35625
LOC729603	0.17975
C1orf71	-0.427875
POLG	-0.5315
ADAM23	-4.06
TFR2	-1.49025
RICTOR	-0.1704
MGC39606	-0.1165
C19orf55	-0.491125
SNAPC1	-1.81683333333333
GNA11	0.971375
CCDC52	0.423333333333333
FSIP1	-0.023
UPF3A	0.85125
IGSF11	-1.61466666666667
LAGE3	-0.166
CHST6	-2.64
UNC13B	0.0505
TTLL4	0.178875
ZNF687	0.277
SDC2	-1.4794
COX7A2	0.36475
LAMB4	0.00175000000000001
FAM24A	1.4455
LRRTM3	-0.5812
GPHB5	-0.226
OR4C13	0.644
EIF3EIP	0.512357142857143
HABP4	-0.2225
TMEM125	3.20075
CNTN2	-0.351375
ASNSD1	-0.142
FUT4	1.73375
ACF	1.5165
LOC158381	0.371
CDH8	-0.454333333333333
AGPS	-0.306
C4orf18	0.01
PECI	-1.23858333333333
UNG	-0.094
GSTP1	-0.1095
DCUN1D5	-0.646166666666667
DKFZP564J0863	-2.178
SLC9A3R1	0.07925
BCDO2	0.04375
CHMP7	0.322875
REM2	0.28
DNHD1	-0.801125
FKBP4	-0.98675
ZNF350	0.90175
MGC11102	-0.046
BST1	0.93125
KISS1R	-0.448
NCR2	-0.2895
DEFB125	0.0105
UBE2W	0.36525
KRT15	0.2275
C10orf99	4.0765
SCN11A	0.070125
GFI1	-1.46175
RDHE2	0.823666666666667
FHL1	-1.5165
OSGEP	-0.3825
GATA1	-4.07516666666667
SMC6	-1.14275
TTTY14	-0.32
LPIN3	0.5305
RPL4	-0.8162
RBPMS	0.2089
PRPF3	-0.183
EMR1	-1.995
SPATA19	0.42125
XCR1	-0.182
IRX3	-2.6911
RBM6	0.104
KLF4	0.3826
UNC5CL	2.51825
SEBOX	-0.119
BTK	-1.66325
KRCC1	1.47825
C6orf27	0.2175
SYTL5	-0.223
PRND	-0.02225
LOC653319	-0.017
PIGL	0.317
HUS1	0.6565
SFRS6	-1.2265
C17orf77	0.016
UIMC1	-0.246833333333333
FXYD2	-1.8943
LOC283152	-0.15925
ZNF667	-2.0685
ZCCHC12	-0.155
TFEC	0.355444444444444
ATP7B	2.23233333333333
POLD2	-1.13483333333333
RG9MTD1	0.4305
ACOT2	-1.21116666666667
HIST1H4I	-1.063125
PPARGC1A	0.6819
ETFA	-0.5918
POLRMT	0.3355
ZNF146	0.03325
MIA2	-0.4995
KLHL6	-1.50866666666667
HOXB5	-0.55575
NENF	0.8305
CUGBP1	-0.85575
PRSS22	1.17716666666667
CASC4	0.8978
CUL4B	-0.0432
CENPJ	-0.4433
PITX1	-0.012
FLJ31033	0.140666666666667
CELSR3	-0.0676666666666667
ZNF568	-1.02025
ITSN1	-0.82975
EHBP1L1	0.0165
C19orf2	0.49375
DCTN1	-1.05625
LIN28B	-2.72216666666667
TNKS2	0.78975
C1QBP	-0.744
CADPS2	-1.3595
SRMS	0.453
GJA9	0.368166666666667
MGC24975	-0.172666666666667
TRIM45	-2.29333333333333
TSP50	0.20375
TCP1	-1.35075
TMED7	0.1405
CMA1	-0.2035
CENPL	-1.40066666666667
PTCRA	-0.6555
FST	-5.99025
VWCE	-1.71025
PAWR	0.2535
ABCC12	-0.2302
LDLR	-0.9177
ASTN2	0.1104
LOC441212	0.886875
GPATCH8	0.097
TANC2	-1.55816666666667
KIF4A	-2.21525
C18orf18	0.22425
PGM1	-0.2715
KIAA0258	0.666
CPD	0.933125
SNCAIP	-1.5065
DCT	-5.10983333333333
HLA-DOA	1.25377272727273
OR11L1	-0.132
UPK1B	0.2808
DNAJB4	-1.322125
UGT1A8	0.30875
HIST1H4L	-1.3135
PECR	-0.958666666666667
HSPA2	0.41425
WFIKKN1	-2.385
SERP1	0.815375
SYDE2	-0.06925
TACR2	0.003
NUP85	-0.4825
CD177	1.15633333333333
LGR5	2.9235
PIGG	-0.15425
PTHR1	-2.2365
RAB5A	-0.1446
FLJ13224	-0.509
USP9Y	-0.4754
C7orf53	0.3005
LRP1B	0.09975
XAF1	0.6498
ABCG8	-0.487
ANKDD1A	-0.0436666666666667
DAND5	-1.318
SPAG6	0.556
LINCR	0.4535
ZDHHC22	-1.164
CCDC60	0.2545
THOC7	-0.528
TCTA	-0.1222
OR8K3	-0.0235
NY-REN-7	-0.18475
B2M	0.9575
C6orf141	-1.332125
LPPR4	1.2855
SQLE	-0.80275
SEPHS1	-0.70375
BTBD14B	-0.0756428571428572
PLRG1	-0.744
SPG7	-0.1561875
ZNF614	-0.461
PARD6G	-0.316833333333333
INPP5B	-0.6894
GRPEL2	0.1145
PPID	-0.2919
TRIM56	0.597
UBE2J1	-0.511
IL20RA	4.2775
LOC387856	0.009
C1orf107	1.06041666666667
UTS2R	-0.2435
C19orf22	0.7485
SAFB2	-0.528375
KIAA0652	-0.28
KLRG1	-1.38383333333333
MS4A8B	2.95316666666667
FRAG1	0.975
KIAA1546	-0.105
E2F4	-0.0804
CLEC4M	-0.184333333333333
BTBD14A	-1.20275
KIAA0999	0.8195
GYPA	-2.213
TAC1	0.2096
TRAIP	-1.6132
KIAA0232	0.651
ERCC8	-0.96825
GPX4	-0.07025
KIAA0368	0.472
GPR157	0.696833333333333
CTAGE4	1.502
C9orf30	-1.31416666666667
OR52A1	0.277
HSP90B3P	0.085
ALG9	-0.2213
BTBD10	0.63175
SDK2	-0.451
BAIAP3	-1.48125
RABGGTB	-0.69025
ANKRD40	-0.153833333333333
KRT74	0.393
CALCOCO2	0.282571428571429
SNCA	-5.123
TMSL8	-4.122875
C2orf53	0.079
ESRRB	-0.32925
ARHGAP26	1.906125
TDRD9	-3.01075
HRAS	-0.59
KLRC4	-1.146
JAGN1	-0.171833333333333
BSDC1	0.0275
RNF43	2.2967
NDUFAF1	-0.061
PHF12	0.35725
OR1L3	0.13325
FOLR2	0.299583333333333
LYZL6	-0.300833333333333
tcag7.1260	-0.973
WSB1	-0.551
PROS1	0.0653
OSTN	-0.128
PSMB8	1.01
SOCS4	-0.13475
DDIT4L	0.394
MAS1	0.3145
MGC34796	0.84025
CSHL1	-0.0791666666666666
TBCCD1	-0.024
ZBTB7C	-0.149
AP2S1	-0.79725
P15RS	-0.4906
VAT1	-1.2352
SHANK3	0.4335
TUFM	-0.193333333333333
THEG	-0.2095
KRT34	-0.68525
SGSM3	-0.1675
TOMM22	0.4405
SOCS3	0.5715
CPO	0.401
POP4	-0.11875
BHLHB3	-0.4215
MALL	3.05075
OR1B1	0.103
PARK2	-0.615166666666667
GPR124	0.83575
LCE1E	-0.439
RUVBL2	-0.74675
CGRRF1	-0.7784
ACPL2	0.86975
WNT10B	-1.25775
BAIAP2L2	2.81775
ISCA1	0.1385
C1orf125	2.266125
RPAP1	-0.65675
RAI16	0.533166666666667
RPL27	-0.031625
NLRP9	-0.142
EPN1	0.273
LOC388610	-2.041875
SLC35A1	-0.1306
GAL	-1.46475
SLC14A2	-0.06575
RDH11	-1.37166666666667
FAM138F	-0.1705
AUH	-0.1075
FLJ40243	0.164
C14orf129	1.049
MBD2	-0.7485
ABHD14B	0.158
PIGT	0.66525
ALS2CR4	-0.884625
ALAS1	0.3774
FOXO1	1.473
CRLF3	0.116625
C20orf107	-0.9165
FARS2	0.12225
CCDC28A	0.00225
NPHP3	-0.456
OR13F1	0.235
TSEN54	0.45125
DEFB106B	-0.0808888888888889
OR8B4	0.545
STH	-0.7085
ZC3H14	-0.73525
CBX2	-0.734
TMEM49	-0.254
C6orf21	-0.0195
FLJ20920	0.99075
CRTAP	-0.0197142857142857
DDX50	0.1565
STYXL1	0.31775
BLVRB	-1.49083333333333
LOC147650	-1.386
MMP24	0.346
GRID1	0.981166666666667
BANF1	-0.464166666666667
CTAGEP	0.375
HMBS	-1.25175
SLC25A24	0.127666666666667
C14orf50	0.674
MRO	-0.707833333333333
SLC25A15	1.22475
FAM84B	1.2479
TDP1	-0.1875
C16orf78	-0.305666666666667
C11orf57	-0.00425
RFK	0.749
ZFYVE9	0.45075
STCH	-1.9955
WIBG	-0.084
LOC283871	-0.417666666666667
GBA2	-0.2411
NDUFB3	0.14925
HSD17B13	0.1865
GRIN3A	0.672333333333333
FMNL1	-1.83183333333333
SEPT7	-0.9081
GNLY	2.6825
GRAMD1C	0.000666666666666667
ZNF165	0.628
USP38	1.0765
FAM83A	-2.92883333333333
C14orf24	0.710166666666667
ARMCX3	1.2495
ARHGDIB	-1.912
AK1	-0.823375
KIAA1045	-0.225666666666667
DNAJB13	-0.276833333333333
NEU2	0.7245
HIST1H4B	-0.410666666666667
FAM20B	-1.1799
HES2	2.4445
FAM73B	-0.3035
LOC388381	-0.12525
INTS7	-0.672181818181818
AMPH	-0.31925
ZNF775	-0.34625
UCKL1	0.905166666666667
C10orf97	0.4905
C1orf161	0.13775
ALDH1L1	-0.5405
FLJ39378	-0.36025
SLC23A1	0.121
RBM4B	-0.35525
THAP4	0.411833333333333
OGFRL1	-0.9935
KIAA0831	-0.61325
PPP1R15A	-0.410666666666667
C1orf96	-0.348071428571429
C12orf11	-0.46225
BMF	1.058875
MAN1A1	-1.29725
KIAA1600	0.326
NLGN4X	-1.274
ALOX12	-0.8625
RB1CC1	-0.5701
NEIL2	0.7162
EIF4E	0.145681818181818
ABHD5	-1.2895
EXOC4	0.326166666666667
CIP29	-0.573166666666667
BATF2	3.952
SLC29A4	-1.139125
HTR4	0.6955
EMB	-2.78275
TRAF6	0.70175
LMNB1	-0.356
FAM19A5	-0.346
SHE	-0.0785
PIK3C2B	2.59825
C15orf15	-0.4791
USP15	-0.1454
TCEAL2	-0.57325
C5orf39	-2.122
PTGER2	-0.4175
SLC31A1	-0.942875
IFT172	1.62
ADAM29	-0.27375
GFOD1	1.47775
ST7L	0.482166666666667
C15orf26	-2.24625
PKN3	-2.1845
CNTD1	1.54433333333333
COMMD1	-0.546625
NTRK2	1.49425
FOXN3	-0.014375
MFGE8	-1.3881
PFKFB2	1.31816666666667
TAS2R4	0.2955
ENTHD1	-0.121166666666667
PRMT5	-1.448
MGC16384	0.262875
LOC442229	-0.43
TSKU	0.135
KRTCAP3	4.36525
PDLIM1	1.3743
KCNS2	-0.2705
RNF126	0.148333333333333
CEP63	-0.589875
CLIC4	-1.777875
hCG_1990170	0.26025
ACR	1.9683
KLK7	0.66425
ALOX5AP	1.957
RIPK3	3.29525
TAS2R9	0.7235
C19orf18	1.3915
BIRC6	0.447285714285714
ZNF16	0.974
RFT1	-0.89975
SLC8A2	-0.515
TACC1	0.32925
ITGAD	-0.032
SAMHD1	0.11125
SH3PXD2B	0.497
EPC2	0.9045
C20orf85	-0.102875
ATP13A2	-0.279
KRT4	0.153625
CAPNS1	-0.19975
MDM2	-0.48975
PCDH20	4.253
KCNK9	0.023
OR2C1	-0.4325
KLHDC3	-0.6685
IPPK	-0.0935
EFHD2	0.427
GALR3	-0.4635
NBEA	-1.947
ABCA6	0.1763
CLDN3	3.516
AKT2	-0.124285714285714
EGFR	1.1286
RBM16	0.134625
ZDHHC3	0.5148
SLC25A4	-1.68133333333333
CYB5B	0.578666666666667
CPXM1	-1.18275
NDRG1	-0.370692307692308
FLJ43826	0.231
OR5L2	0.252666666666667
FARP2	1.1356
MRPL46	0.234916666666667
LDHAL6B	0.0183333333333333
MAPKAPK3	-0.122333333333333
NCAM2	-1.66925
PRKD2	0.318
ZFP36L1	1.1102
CYSLTR1	-1.387
OR4C3	0.28875
HIST1H2AJ	0.5185
CCNB2	-2.30566666666667
ZNF10	-0.062625
TMEM175	-0.255
FAM134A	0.175166666666667
TIGD4	0.2975
PCNP	-0.513
MGC39715	-0.01375
LQK1	-2.59625
CREB1	0.2344
TMPRSS3	-0.598
C4orf32	-1.947
LAT	-2.2545
KCNA3	-0.7955
SKIV2L2	-0.3995
ROPN1B	-4.29
tcag7.23	0.739
CDT1	-2.208
ZHX2	0.201
CD28	-4.1055
ZNF624	0.98525
SEPT2	-0.199166666666667
SOHLH2	-1.08485714285714
MCOLN3	-0.504
UNQ1945	0.187
MASP2	-0.7265
ZNRF3	1.5665
GPATCH3	-0.882
AGL	-0.260125
QRICH2	-0.1455
PSD4	0.528166666666667
CCNB1IP1	-0.2795
ENPP7	0.03675
OBFC1	-0.45525
KCNG3	-1.498
C14orf79	-0.0641666666666667
ENPEP	1.33216666666667
SCT	3.219
SKI	0.1465
SEC61G	-0.16075
CAPN11	-0.2055
ATXN7L3	0.151
DBNDD1	-0.355166666666667
FAIM	-0.18975
ANKRD36	-0.403
GABRP	-0.738666666666667
TACSTD2	-1.7448
EIF3J	0.1905
PPP2R2A	0.28575
TEKT4	0.0291666666666666
PVALB	-4.3865
F10	0.782
FAM134C	0.4979
COMP	2.468625
EFCBP1	-2.63313333333333
SCLT1	-0.62125
TAL1	-1.3353
ACSL1	-1.3215
ABCC5	0.670583333333333
ABL1	-0.233888888888889
RBBP7	0.473833333333333
PTPRG	0.85575
NCOR1	0.2289
SPINK4	5.60566666666667
TXNRD1	-0.8543
TNRC15	0.284625
C9orf138	0.213875
UBE2H	0.457666666666667
BRDT	-0.474666666666667
C8orf31	-0.10725
CCNE2	-1.64063636363636
SLC6A8	-0.754
CALCR	-3.22075
PPP1CB	0.741
ABHD8	-1.83025
ARF5	0.2864
SLC24A4	0.8705
CCT3	-0.38125
ZNF121	0.475375
SLC3A2	-1.4485
OR13A1	-0.1175
SLC5A10	0.4035
RAD50	0.492375
IER5	-0.842625
MTHFD1L	-1.171875
MBTPS2	0.11925
MVK	-1.11375
NCL	0.0613
PSMD10	-0.793
MOBP	-0.31525
FLJ32894	0.4805
HRH1	1.04616666666667
C5orf30	1.0255
NUDT16L1	0.3809
RASGRP3	1.8845
PRKRIP1	-0.4774
CCDC75	-0.44425
LOC253970	0.1615
KIAA1239	-0.479333333333333
MED21	-0.4345
SYT11	-0.149916666666667
NTSR2	-0.21
EGFL11	-1.535
CXorf59	0.975
OR2A25	0.0415
SPTBN2	-0.87575
LRMP	-1.82266666666667
RNF111	0.69225
PTH	-0.0125
LOC619208	-0.344333333333333
KIAA0895	-0.966
RANBP5	1.013375
P2RY10	-0.110833333333333
NME5	-0.0586666666666667
DDX21	0.2475
LRSAM1	-0.481
HDAC11	-0.399333333333333
VMO1	1.32625
NOLA2	-0.479
ADAR	0.0655
MTO1	-0.292333333333333
SF4	-0.108
P2RX1	-0.0128333333333333
HBM	-0.355
EN2	0.327
C14orf172	0.527
TM9SF2	1.8776
INHBE	-0.536833333333333
TCTE3	-0.370416666666667
TOX2	-2.983
CTAGE3	-0.263375
HBB	3.1902
MED15	-0.585833333333333
CASR	0.1165
C6orf66	0.212666666666667
MTPN	-0.085875
UNC50	-0.1145
C21orf33	0.055125
IRF2	0.702
PGR	-1.7394
GPR84	0.67125
CROCCL1	-1.22075
SRPX	-3.59725
BRE	0.3195
FGF10	-0.14
SDC3	-1.4025
ZRSR1	0.107166666666667
DKFZP434P211	-0.687375
SOX6	0.1055
RPUSD2	0.487
C14orf173	-0.161
MAPK11	-0.7165
TBC1D22A	0.54
FAM123A	-0.087
COL4A6	-2.55283333333333
TOMM70A	0.52025
NAB1	0.757375
MGC16385	-0.622875
TSPAN18	0.226666666666667
MED31	-0.759
PLG	-0.05775
CAPSL	-0.2845
ZNF532	-0.3074
ASB14	-0.045
CA8	-3.00475
NUDT16P	2.65233333333333
SLFN11	-1.4615
LRRIQ2	-0.863375
NOL7	-0.554
BRMS1L	-0.921375
JARID1A	0.356166666666667
PANK2	-0.432
ICAM3	0.33975
MDS1	2.3265
TAF8	-0.4275
RNF139	0.15025
ZNF594	0.0328333333333333
ADAM8	1.083625
SFTPC	-0.285375
MAN2B2	-0.053625
RGS12	-0.486875
EIF1AY	-3.673
LRRIQ1	-0.745
GPR150	-0.11475
CCDC21	-1.2835
PRRG3	0.29425
SAA4	-2.7035
RAPGEF5	1.996375
ZCCHC2	0.496583333333333
MGC39372	-0.1325
PPP4R2	0.1355
CDCA2	-2.10533333333333
OR4D5	0.799833333333333
PTGFRN	0.2814
SIGLEC5	0.0288333333333333
C19orf61	-0.637833333333333
NMUR2	0.2795
KIAA1586	-0.915
DAGLA	1.7645
CHCHD6	0.1175
GPR32	0.7095
NEUROD6	0.136333333333333
SLC2A4RG	-0.195
CA5B	0.81125
FBXL3	1.25225
MPHOSPH9	-1.236
HMG2L1	0.3375
HCN4	0.192833333333333
CEACAM19	1.40775
SH2D4B	0.232666666666667
HFE2	-0.055
TGM4	0.0636
LYPD2	-0.164
TBC1D15	-0.41425
MRPS21	-1.1054
NONO	-0.6166
CLEC5A	0.596375
ITCH	0.6551
MGAT3	1.095
MBP	0.0957500000000001
RPP25	0.032
SOSTDC1	1.49775
HRC	-2.0375
TRIM48	-0.0975
TMEM133	1.391
ECEL1P2	-0.63725
HOXC11	0.095
DOK5	-1.29125
HELZ	0.222333333333333
LOC348180	-0.58825
MGC33894	0.23525
ADRB3	-0.226
DMD	0.0401666666666667
PTRH2	0.13675
MPEG1	1.37933333333333
NDUFA12	0.1485
KRTAP2-4	-0.0603333333333333
STAMBPL1	1.2865
ADCY2	-0.782666666666667
UNQ6125	1.02
KLHL20	-0.247166666666667
SRM	-1.1345
OTC	2.655
TMIE	-0.109166666666667
SNX8	0.069
LIPK	0.315
CHURC1	-0.57175
KLC2	-0.0471666666666667
HDAC1	0.511166666666667
FAM128A	0.145833333333333
FNDC3B	0.7798
MTCP1	0.244666666666667
WFDC10B	0.732
PCDHGB3	0.229
ATRNL1	-1.4208
CAV2	-1.473875
MED26	0.231833333333333
DUS1L	0.83825
CHRM3	-0.301375
NEK9	-0.2205
WARS2	0.329
TBX22	0.093
TOMM40	-0.462
RP6-213H19.1	-0.0261666666666667
TUBGCP5	-0.57725
IGSF6	1.59575
TPPP	0.1685
UNQ6190	0.47
GSTM5	0.3105
BTD	-0.673
PDCD1LG2	-0.152833333333333
SNRPB2	0.2515
ERICH1	0.865375
APOA4	-1.935125
HOXA11	-0.0325
NARG1	0.5305
MKX	-0.034
RAB28	-0.639214285714286
PKP3	2.292
SH3GL2	-1.57925
CTSO	1.0255
RPN2	0.89575
IL28RA	1.54033333333333
SFMBT1	0.191
WDR57	-0.771375
FER1L3	-0.422666666666667
HSF5	0.2764
TTC9B	-0.093
C4BPA	-1.89383333333333
ALB	-4.89564285714286
SORBS3	1.059375
UPF2	0.762
JPH1	0.7355
AGBL2	1.62925
DOPEY1	2.222
TERF1	-0.344083333333333
KIF22	-1.89466666666667
NINJ1	-1.02025
SEC61A2	-0.223833333333333
HIST1H1D	-0.964
SFXN4	0.95725
UCP3	-0.2511
ZNF703	1.03616666666667
MYL6B	-0.6335
TREM1	0.39625
OR52E6	1.067
CKMT2	3.06725
HLA-C	1.872625
SLC13A3	-1.409
TIMP4	0.16525
SLIT2	-0.777
RSF1	-0.326055555555555
LONRF1	-0.0830714285714286
MON1A	0.383166666666667
CACNG6	-1.98616666666667
DPPA4	-6.55133333333333
ZSWIM3	2.26875
ZNF804A	-0.3195
CCIN	0.63675
SLC25A31	-0.2845
KCNMB4	1.00475
RABL5	-0.253125
GALNS	-0.214
STX6	0.321
HIST1H1C	-3.23066666666667
CIDEB	-0.83275
CASP4	-0.0408333333333333
PDK3	-0.3217
KCNJ11	-0.0685
TPR	-0.92075
ZSCAN20	-0.649
MTX2	-0.0945
HIST1H2BH	-1.708
LOC283767	1.33625
LYRM7	-0.597058823529412
BRD3	0.00383333333333335
HIST1H2BO	-1.541
MAGEB10	-0.1415
SLC45A1	0.3645
SERPINA3	-3.95745
KIAA0143	0.274
KCNJ16	0.733333333333333
KRT79	-0.28425
FABP2	1.2365
NUT	0.15475
ZNF57	2.2795
FBXL4	-0.01375
CLEC9A	-0.267
UGT8	2.733
BMP2K	0.15825
MAPK4	-3.66675
SLC25A23	0.0994
HINT1	-0.2335
KRTAP13-1	0.608
SFXN5	-0.2805
CHCHD2	-0.01825
FAM3D	5.1015
NDP	-3.19575
RHOBTB1	-0.757
SLC4A4	0.407625
RPL38	0.03125
HTF9C	-0.297666666666667
AP2A2	0.1695
ZBTB46	-0.926
MAP7D1	-0.921375
AOX1	-2.60933333333333
CYR61	-0.655916666666667
DTNA	-0.946769230769231
JRKL	0.9175
TMOD3	-0.57475
EEA1	0.764
ADCK5	1.599
IL1R1	-0.1475
KLK3	-0.166071428571429
HRSP12	0.63175
KTN1	-0.2405
LOH11CR2A	1.0063
RELL2	-0.74325
MAB21L1	-0.7765
C20orf59	0.167666666666667
PHKB	-0.08225
ADAM2	-1.1885
TBC1D8B	1.85483333333333
FAM13A1	0.46475
LAPTM4B	-1.18716666666667
LCN8	-0.416
TMEM147	0.0575
SYT4	0.584333333333333
XPO7	-0.5695
C9orf62	0.04675
GPR75	-0.3335
TRIM5	0.187375
APOC1	-1.3705
RNASE4	0.888
PARD6B	-0.38875
ARID1A	-0.319083333333333
TPD52L3	0.117111111111111
RRAGB	0.736666666666667
RCN2	-0.0271666666666667
HIST2H2BE	-1.2796875
STARD7	0.36825
SHMT2	-0.72425
KIAA1751	-0.0618333333333333
MLYCD	0.826
LOC162632	-0.5448
UQCRH	-1.22475
RP11-217H1.1	0.52225
SDHA	-1.06616666666667
NCLN	0.3454
ZNF17	0.243666666666667
RCBTB2	-3.358
VEGFB	-0.2755
RP4-747L4.3	0.2395
COLQ	-0.0494
MPN2	-1.2765
DRG2	-0.11425
KLRB1	2.68875
ALPK2	-2.20625
DNASE2B	0.387
FLJ23834	0.461833333333333
AXUD1	-0.0531666666666667
SAFB	0.1393
NSUN4	-0.44425
RFX2	0.185666666666667
MAPK8IP1	-0.275833333333333
FANCD2	-1.18457142857143
ANKZF1	-0.893333333333333
C19orf50	-0.610875
DUSP8	2.149625
SENP5	-0.118875
NFKBIL2	-0.163
LBR	0.36425
IGFL1	0.5515
LZTS2	-0.7565
IL2RG	0.185125
CCDC51	-0.0675
KLF3	1.5445
ANKRD37	-2.1415
KCTD14	2.9105
FZR1	-0.06625
SLC44A4	4.3034
ESPL1	-1.044375
GMPR2	-0.8645
TBC1D19	-0.9215
ERGIC1	0.412666666666667
ERBB4	-1.0458
TSPAN32	0.222333333333333
MAP4	-0.64175
GPHN	-0.1305
SLC6A2	-0.25125
HIVEP1	0.89475
DFFB	0.7547
EIF4EBP2	0.792375
DMRT1	0.29375
HSPB6	-0.0625
IER2	1.34716666666667
AIFM1	0.284
WWC2	-1.09058333333333
MRPL4	0.16375
FLJ21062	-0.00733333333333332
EPB41L4A	-0.379333333333333
SH2D6	0.22275
TAF4B	-0.337
GAL3ST3	-0.4535
MALT1	-0.264833333333333
RTDR1	1.15375
ARVCF	-0.44325
MEX3B	-2.0235
FBXO16	-0.41875
KIF7	-1.663
C1QC	3.92616666666667
ZNF783	0.449
ZNF85	-0.53
MMP13	0.252
KIAA0329	-0.19925
RTP3	0.49
ZBED3	-0.07625
CLGN	-5.28225
SLC25A37	-0.448916666666667
hCG_18290	-0.000249999999999998
OR5AS1	0.615
SMARCC2	-0.306666666666667
FAM109A	0.638833333333333
CCDC12	-0.53075
USF2	-0.2475
DEPDC7	-0.2535
C20orf24	1.18283333333333
JMJD3	0.909
DSP	1.53771428571429
SLIC1	0.03325
FAM20A	-0.862875
IRF2BP2	1.07725
ZNF230	0.031
