Hybridization REF	TCGA-AA-A01F-01A-01R-A002-07
PLEKHG4	-1.0855
GRB2	-0.72545
HIST1H2AD	-2.475
DUS3L	0.259333333333333
EIF1	0.429
RP5-1077B9.4	-1.17583333333333
FPGT	1.50975
GDF10	-2.40966666666667
COQ9	0.3935
GCC2	1.28021428571429
RARRES3	-0.08375
PLXNA1	-0.09
KIAA0100	0.1408
PMF1	-0.8305
FNDC1	3.1415
HS2ST1	0.260666666666667
CRELD2	-0.21075
C8G	1.7735
CD82	0.42325
LIM2	-1.123
UNQ6490	0.764
MMP16	-0.9565
DRD3	0.3055
C5orf26	-0.12525
C11orf73	-0.8145
PTP4A2	-0.284375
OR4M2	0.768
HPCA	-0.277
SEC14L1	-0.9925
CHFR	0.24225
EMILIN1	-0.576
NDUFS4	0.03625
COL18A1	-1.582875
PDZD3	3.2564
C9orf16	0.136333333333333
ERBB2IP	0.037
EMX2	-0.542
FUS	-1.3465
TF	-4.2751
CLCN4	0.584166666666667
CXorf56	0.32675
C11orf72	0.0195
ELAC2	-0.691333333333333
NPR1	-2.4485
ASS1	0.371
USP42	0.548875
POLR2J	0.108
SEC23IP	1.54883333333333
UQCRC1	0.25425
LOC729603	0.52275
C1orf71	-0.331
POLG	-0.7565
ADAM23	-4.07575
TFR2	-1.636
RICTOR	-0.3975
MGC39606	0.65025
C19orf55	0.012
SNAPC1	-1.83183333333333
GNA11	0.95275
CCDC52	0.2595
FSIP1	-0.579
UPF3A	0.823375
IGSF11	-3.215
LAGE3	-0.42075
CHST6	-2.879
UNC13B	0.5165
TTLL4	0.07775
ZNF687	-0.661
SDC2	-3.0469
COX7A2	0.2015
LAMB4	-0.532
FAM24A	0.2555
LRRTM3	-0.737
GPHB5	0.196
OR4C13	-0.549
EIF3EIP	0.766214285714286
HABP4	-0.39
TMEM125	3.35225
CNTN2	-0.331
ASNSD1	0.02425
FUT4	2.285
ACF	1.765
LOC158381	0.3405
CDH8	-0.31925
AGPS	0.133833333333333
C4orf18	-0.5255
PECI	-4.51208333333333
UNG	-0.880125
GSTP1	0.406125
DCUN1D5	-1.67366666666667
DKFZP564J0863	-2.194
SLC9A3R1	-0.149125
BCDO2	-0.4235
CHMP7	0.571125
REM2	1.7955
DNHD1	-0.767125
FKBP4	-1.106
ZNF350	0.479
MGC11102	-0.675375
BST1	1.56975
KISS1R	0.0685
NCR2	0.853
DEFB125	-1.0255
UBE2W	0.35225
KRT15	0.615875
C10orf99	3.445
SCN11A	0.479
GFI1	-2.57725
RDHE2	3.20483333333333
FHL1	-2.97183333333333
OSGEP	0.1205
GATA1	-3.60566666666667
SMC6	-0.1315
TTTY14	-1.138
LPIN3	1.10075
RPL4	0.0307
RBPMS	0.3177
PRPF3	-1.03316666666667
EMR1	-3.635
SPATA19	0.57775
XCR1	0.082
IRX3	-3.1209
RBM6	-0.42
KLF4	-0.5539
UNC5CL	3.64425
SEBOX	0.8075
BTK	-3.455
KRCC1	0.4345
C6orf27	0.393
SYTL5	0.162
PRND	0.527285714285714
LOC653319	-0.6715
PIGL	0.067
HUS1	0.8895
SFRS6	-0.0370833333333333
C17orf77	1.6095
UIMC1	-0.228666666666667
FXYD2	-2.2685
LOC283152	-1.7305
ZNF667	-3.01275
ZCCHC12	-0.702
TFEC	0.5894
ATP7B	1.72166666666667
POLD2	-0.542
RG9MTD1	0.204
ACOT2	-1.5955
HIST1H4I	-1.176
PPARGC1A	0.6076
ETFA	-0.3433
POLRMT	0.04075
ZNF146	0.414375
MIA2	0.141
KLHL6	-3.53366666666667
HOXB5	1.49725
NENF	0.628
CUGBP1	-1.363
PRSS22	2.34183333333333
CASC4	1.8437
CUL4B	0.1973
CENPJ	0.4812
PITX1	0.984666666666667
FLJ31033	0.858166666666667
CELSR3	0.0471666666666667
ZNF568	-1.95475
ITSN1	-0.801333333333333
EHBP1L1	-0.718833333333333
C19orf2	0.89475
DCTN1	-0.634
LIN28B	-3.46516666666667
TNKS2	0.8285
C1QBP	0.154
CADPS2	1.2625
SRMS	1.29075
GJA9	0.353
MGC24975	-0.432833333333333
TRIM45	-2.50166666666667
TSP50	-0.88175
TCP1	-0.3965
TMED7	0.2731
CMA1	-0.1755
CENPL	-0.178
PTCRA	-1.075
FST	-5.038
VWCE	-4.9915
PAWR	0.43925
ABCC12	0.333
LDLR	0.0015
ASTN2	-0.9159
LOC441212	0.194625
GPATCH8	0.00925
TANC2	-3.07741666666667
KIF4A	-1.13375
C18orf18	-0.70825
PGM1	-1.83375
KIAA0258	0.75775
CPD	1.73575
SNCAIP	1.448
DCT	-4.61216666666667
HLA-DOA	1.18295454545455
OR11L1	0.524
UPK1B	-0.766
DNAJB4	-2.219875
UGT1A8	3.0315
HIST1H4L	-0.6395
PECR	-0.460333333333333
HSPA2	-0.8025
WFIKKN1	-2.326
SERP1	0.1845
SYDE2	0.9535
TACR2	0.1575
NUP85	-0.90425
CD177	-0.720333333333333
LGR5	1.65333333333333
PIGG	-0.331
PTHR1	-3.3115
RAB5A	0.1082
FLJ13224	-0.393
USP9Y	0.947833333333333
C7orf53	0.966
LRP1B	-1.22175
XAF1	1.0718
ABCG8	-0.0445
ANKDD1A	-0.723333333333333
DAND5	-1.0345
SPAG6	-0.131
LINCR	0.672
ZDHHC22	-2.05275
CCDC60	0.1935
THOC7	-0.756833333333333
TCTA	0.8962
OR8K3	0.2265
NY-REN-7	0.14025
B2M	1.15266666666667
C6orf141	-0.509125
LPPR4	1.391
SQLE	-0.119625
SEPHS1	-0.2905
BTBD14B	-0.0619285714285715
PLRG1	-0.546
SPG7	-0.18575
ZNF614	-0.5795
PARD6G	-1.56533333333333
INPP5B	-1.616
GRPEL2	-0.051375
PPID	-0.4768
TRIM56	1.0675
UBE2J1	0.1975
IL20RA	5.325
LOC387856	0.02
C1orf107	1.66266666666667
UTS2R	0.15825
C19orf22	1.4315
SAFB2	-0.25075
KIAA0652	-0.78025
KLRG1	-3.19066666666667
MS4A8B	1.96483333333333
FRAG1	0.239
KIAA1546	-0.30675
E2F4	0.137
CLEC4M	-0.263333333333333
BTBD14A	-1.27575
KIAA0999	-0.4002
GYPA	-3.84083333333333
TAC1	5.6788
TRAIP	-1.22333333333333
KIAA0232	0.5998
ERCC8	-0.102
GPX4	-0.989125
KIAA0368	-0.709
GPR157	-0.268666666666667
CTAGE4	2.1845
C9orf30	-1.3945
OR52A1	0.655
HSP90B3P	-0.1105
ALG9	-0.4805
BTBD10	0.673
SDK2	-0.4575
BAIAP3	-1.33125
RABGGTB	-0.528
ANKRD40	-0.740166666666667
KRT74	0.411
CALCOCO2	0.0643571428571428
SNCA	-4.403
TMSL8	-6.52575
C2orf53	-0.364
ESRRB	-0.61
ARHGAP26	2.14075
TDRD9	-3.3005
HRAS	-1.35533333333333
KLRC4	-2.9135
JAGN1	-0.7375
BSDC1	-0.2125
RNF43	1.3696
NDUFAF1	-0.33075
PHF12	0.753
OR1L3	0.47925
FOLR2	0.623583333333333
LYZL6	0.296166666666667
tcag7.1260	1.17
WSB1	-0.708
PROS1	1.1617
OSTN	0.5
PSMB8	1.227
SOCS4	-0.051625
DDIT4L	0.56025
MAS1	-0.1065
MGC34796	0.72975
CSHL1	-0.0973333333333333
TBCCD1	-0.501833333333333
ZBTB7C	0.3575
AP2S1	-0.9975
P15RS	-0.4147
VAT1	-2.2123
SHANK3	0.321666666666667
TUFM	0.0095
THEG	-1.005
KRT34	-2.3465
SGSM3	-0.149125
TOMM22	0.5645
SOCS3	1.1105
CPO	0.0525
POP4	0.1735
BHLHB3	-0.43975
MALL	4.0435
OR1B1	0.6925
PARK2	0.6745
GPR124	-0.923125
LCE1E	0.118
RUVBL2	-0.57175
CGRRF1	-1.0151
ACPL2	-0.36125
WNT10B	-2.84225
BAIAP2L2	2.687875
ISCA1	-0.36
C1orf125	0.685
RPAP1	-0.4735
RAI16	0.111833333333333
RPL27	0.522625
NLRP9	0.385
EPN1	1.014
LOC388610	-0.560375
SLC35A1	1.1885
GAL	-4.45025
SLC14A2	-0.0315
RDH11	-0.938666666666667
FAM138F	0.195
AUH	0.78875
FLJ40243	0.353
C14orf129	2.1805
MBD2	-0.202333333333333
ABHD14B	0.95825
PIGT	1.003625
ALS2CR4	-1.12425
ALAS1	1.0434
FOXO1	0.778
CRLF3	0.990125
C20orf107	0.703
FARS2	-0.1825
CCDC28A	0.64
NPHP3	-0.7565
OR13F1	0.15
TSEN54	-0.18075
DEFB106B	0.2228
OR8B4	2.0505
STH	-1.64725
ZC3H14	-0.645375
CBX2	-0.176
TMEM49	-0.70775
C6orf21	0.3165
FLJ20920	-0.548375
CRTAP	-0.680071428571429
DDX50	0.24475
STYXL1	0.46075
BLVRB	-0.744
LOC147650	-0.859333333333333
MMP24	0.76925
GRID1	0.187333333333333
BANF1	-0.668
CTAGEP	0.92225
HMBS	-1.6615
SLC25A24	0.4505
C14orf50	1.26375
MRO	-0.782166666666667
SLC25A15	0.3145
FAM84B	0.4077
TDP1	-0.8975
C16orf78	-0.0575
C11orf57	-0.356625
RFK	0.66925
ZFYVE9	0.064625
STCH	-1.5159
WIBG	-0.4845
LOC283871	-0.267
GBA2	-0.249
NDUFB3	0.1225
HSD17B13	-0.27575
GRIN3A	1.104
FMNL1	-2.23733333333333
SEPT7	0.1406
GNLY	2.4155
GRAMD1C	-0.6065
ZNF165	0.15
USP38	1.09625
FAM83A	-3.4205
C14orf24	0.896
ARMCX3	1.4755
ARHGDIB	-3.02333333333333
AK1	1.018375
KIAA1045	-0.08625
DNAJB13	-0.710833333333333
NEU2	1.2775
HIST1H4B	-0.196666666666667
FAM20B	-0.4399
HES2	1.89807142857143
FAM73B	-0.5033
LOC388381	-0.263
INTS7	-0.566363636363636
AMPH	-1.275
ZNF775	-0.444
UCKL1	0.556166666666667
C10orf97	0.392
C1orf161	0.49
ALDH1L1	-2.34875
FLJ39378	-0.6975
SLC23A1	-0.982
RBM4B	-0.90525
THAP4	0.392166666666667
OGFRL1	-2.84875
KIAA0831	-0.648875
PPP1R15A	-0.896
C1orf96	0.0604285714285714
C12orf11	-1.21
BMF	-0.27275
MAN1A1	-0.534375
KIAA1600	0.7015
NLGN4X	-1.887
ALOX12	-1.40183333333333
RB1CC1	0.0536
NEIL2	0.8825
EIF4E	0.0470454545454545
ABHD5	-0.95425
EXOC4	1.1395
CIP29	-1.39833333333333
BATF2	2.867
SLC29A4	-1.79925
HTR4	0.3875
EMB	-0.097
TRAF6	0.98375
LMNB1	0.883
FAM19A5	-1.237
SHE	0.22825
PIK3C2B	2.723
C15orf15	-0.1032
USP15	-0.1826
TCEAL2	-1.919
C5orf39	-1.3575
PTGER2	-2.052
SLC31A1	-0.72875
IFT172	2.1375
ADAM29	0.36225
GFOD1	0.72025
ST7L	-0.034
C15orf26	-3.22175
PKN3	-2.18275
CNTD1	1.4255
COMMD1	-0.30675
NTRK2	0.7555
FOXN3	-0.135875
MFGE8	-2.0537
PFKFB2	1.61233333333333
TAS2R4	0.511
ENTHD1	-1.05433333333333
PRMT5	-1.363
MGC16384	-0.202125
LOC442229	-0.29575
TSKU	-0.5675
KRTCAP3	4.0385
PDLIM1	1.1012
KCNS2	0.319333333333333
RNF126	0.0936666666666667
CEP63	-0.73725
CLIC4	-3.756875
hCG_1990170	1.17175
ACR	1.5199
KLK7	0.9785
ALOX5AP	0.917125
RIPK3	4.3295
TAS2R9	1.1465
C19orf18	-2.7385
BIRC6	0.590714285714286
ZNF16	0.3465
RFT1	-1.0865
SLC8A2	-0.67775
TACC1	0.75475
ITGAD	-0.0403333333333333
SAMHD1	1.96475
SH3PXD2B	1.0953
EPC2	0.595
C20orf85	0.774875
ATP13A2	1.0605
KRT4	0.451375
CAPNS1	0.10125
MDM2	-0.7495
PCDH20	3.58275
KCNK9	0.4255
OR2C1	-0.127
KLHDC3	-0.788333333333333
IPPK	-0.3615
EFHD2	0.294875
GALR3	0.26025
NBEA	-3.88633333333333
ABCA6	0.578
CLDN3	3.26583333333333
AKT2	0.0825714285714286
EGFR	1.8601
RBM16	0.398
ZDHHC3	1.2449
SLC25A4	-0.815833333333333
CYB5B	1.81866666666667
CPXM1	-2.26
NDRG1	-0.402692307692308
FLJ43826	0.6365
OR5L2	0.984833333333333
FARP2	1.7078
MRPL46	-0.273083333333333
LDHAL6B	-0.1762
MAPKAPK3	-0.558
NCAM2	-3.46025
PRKD2	0.0168333333333333
ZFP36L1	0.688
CYSLTR1	-2.5425
OR4C3	0.007
HIST1H2AJ	1.1925
CCNB2	-1.15622222222222
ZNF10	-0.80175
TMEM175	-0.068
FAM134A	0.3495
TIGD4	0.67
PCNP	-0.9735
MGC39715	-0.56975
LQK1	0.28475
CREB1	0.3125
TMPRSS3	0.7165
C4orf32	-0.587125
LAT	-2.523
KCNA3	0.0335
SKIV2L2	-0.22325
ROPN1B	-4.56
tcag7.23	0.506
CDT1	-1.59075
ZHX2	0.229625
CD28	-5.33425
ZNF624	0.311
SEPT2	-0.2305
SOHLH2	-2.78242857142857
MCOLN3	0.298
UNQ1945	0.3125
MASP2	-2.01
ZNRF3	1.3094
GPATCH3	-1.14675
AGL	-0.27275
QRICH2	-0.948
PSD4	0.7825
CCNB1IP1	-0.2935
ENPP7	0.0205
OBFC1	-0.1505
KCNG3	-3.301
C14orf79	-0.39625
ENPEP	0.0491666666666667
SCT	1.1
SKI	0.781625
SEC61G	-0.05575
CAPN11	0.3355
ATXN7L3	0.01325
DBNDD1	0.638666666666667
FAIM	-0.9645
ANKRD36	-0.667
GABRP	-0.1735
TACSTD2	-3.06633333333333
EIF3J	0.3425
PPP2R2A	0.4055
TEKT4	-1.24266666666667
PVALB	-4.35683333333333
F10	-0.907
FAM134C	0.85
COMP	-0.4725
EFCBP1	-3.91113333333333
SCLT1	0.431
TAL1	-1.2922
ACSL1	0.71575
ABCC5	-0.359083333333333
ABL1	-0.853333333333333
RBBP7	0.0251666666666667
PTPRG	0.320125
NCOR1	0.3646
SPINK4	0.998333333333333
TXNRD1	-0.6641
TNRC15	1.227
C9orf138	0.02675
UBE2H	1.33083333333333
BRDT	0.624
C8orf31	-0.72425
CCNE2	-0.722636363636364
SLC6A8	-0.476125
CALCR	-5.3605
PPP1CB	0.577333333333333
ABHD8	-1.491
ARF5	0.7142
SLC24A4	-0.033
CCT3	0.1745
ZNF121	0.127875
SLC3A2	-1.7105
OR13A1	0.5
SLC5A10	0.0885
RAD50	1.727875
IER5	0.229875
MTHFD1L	-0.646125
MBTPS2	0.50225
MVK	-0.328375
NCL	0.2292
PSMD10	-0.40625
MOBP	0.344875
FLJ32894	0.083
HRH1	1.45366666666667
C5orf30	1.487
NUDT16L1	-0.6118
RASGRP3	1.6115
PRKRIP1	-0.3642
CCDC75	0.4685
LOC253970	0.6775
KIAA1239	1.83625
MED21	-0.9415
SYT11	-1.13891666666667
NTSR2	-0.7165
EGFL11	-0.5105
CXorf59	1.18
OR2A25	0.40825
SPTBN2	-0.786
LRMP	-2.8515
RNF111	0.49975
PTH	-0.061
LOC619208	-1.15733333333333
KIAA0895	1.785
RANBP5	0.740875
P2RY10	-0.758666666666667
NME5	2.0035
DDX21	0.7045
LRSAM1	-0.382
HDAC11	0.744333333333333
VMO1	0.1985
NOLA2	-0.1045
ADAR	0.0810833333333333
MTO1	-0.0388333333333333
SF4	-0.735333333333333
P2RX1	-0.332666666666667
HBM	-0.15825
EN2	0.552
C14orf172	0.52525
TM9SF2	1.498
INHBE	-0.753666666666667
TCTE3	-0.296166666666667
TOX2	-3.55375
CTAGE3	0.637625
HBB	4.0854
MED15	-0.6465
CASR	0.08025
C6orf66	0.891166666666667
MTPN	0.50025
UNC50	-0.37975
C21orf33	-1.076875
IRF2	1.183375
PGR	-3.27566666666667
GPR84	0.96625
CROCCL1	-0.73075
SRPX	-4.17075
BRE	0.399666666666667
FGF10	0.731666666666667
SDC3	0.2725
ZRSR1	-0.124333333333333
DKFZP434P211	-0.801625
SOX6	-0.401
RPUSD2	-0.27625
C14orf173	0.582333333333333
MAPK11	-1.18166666666667
TBC1D22A	0.156
FAM123A	-0.562
COL4A6	-2.78016666666667
TOMM70A	0.303
NAB1	0.856875
MGC16385	-0.593875
TSPAN18	-0.915666666666667
MED31	-0.363
PLG	-0.67375
CAPSL	-0.555
ZNF532	-0.5705
ASB14	0.1615
CA8	0.8365
NUDT16P	2.2745
SLFN11	-3.379
LRRIQ2	-0.619375
NOL7	-0.368333333333333
BRMS1L	-0.741375
JARID1A	-0.245
PANK2	-0.65675
ICAM3	-0.66375
MDS1	2.1455
TAF8	0.52175
RNF139	-0.03075
ZNF594	-0.598333333333333
ADAM8	0.72875
SFTPC	-0.27875
MAN2B2	0.30325
RGS12	0.2086875
EIF1AY	2.36
LRRIQ1	-2.1098
GPR150	0.22175
CCDC21	-1.20366666666667
PRRG3	0.13175
SAA4	-2.388
RAPGEF5	3.535625
ZCCHC2	0.283
MGC39372	0.4915
PPP4R2	0.0678333333333333
CDCA2	-0.4595
OR4D5	0.592166666666667
PTGFRN	0.8398
SIGLEC5	0.011
C19orf61	-0.595166666666667
NMUR2	0.028
KIAA1586	-0.973333333333333
DAGLA	1.335
CHCHD6	-0.5295
GPR32	0.3555
NEUROD6	0.491333333333333
SLC2A4RG	-0.473125
CA5B	-0.44425
FBXL3	1.5185
MPHOSPH9	-1.344
HMG2L1	0.91125
HCN4	-0.00966666666666668
CEACAM19	0.01925
SH2D4B	0.004
HFE2	-0.822
TGM4	0.261
LYPD2	0.369
TBC1D15	-0.691
MRPS21	-0.7919
NONO	-0.3168
CLEC5A	0.257875
ITCH	0.604
MGAT3	0.843166666666667
MBP	0.298875
RPP25	0.6855
SOSTDC1	-3.655
HRC	-2.52775
TRIM48	0.5715
TMEM133	-0.16675
ECEL1P2	1.37225
HOXC11	-1.343
DOK5	-3.0955
HELZ	-0.4495
LOC348180	-0.282
MGC33894	0.44925
ADRB3	0.415
DMD	0.1035
PTRH2	-1.05725
MPEG1	1.7375
NDUFA12	-0.289166666666667
KRTAP2-4	-0.344083333333333
STAMBPL1	0.763166666666667
ADCY2	-1.624
UNQ6125	-0.165
KLHL20	1.136
SRM	-1.316
OTC	4.234
TMIE	-0.694
SNX8	0.0245
LIPK	0.4655
CHURC1	-0.404166666666667
KLC2	0.0431666666666667
HDAC1	0.255333333333333
FAM128A	0.371166666666667
FNDC3B	-0.8795
MTCP1	0.0838333333333333
WFDC10B	1.3464
PCDHGB3	0.125
ATRNL1	-2.7708
CAV2	-2.405
MED26	0.169666666666667
DUS1L	0.36
CHRM3	0.219875
NEK9	0.37575
WARS2	0.59
TBX22	-0.205
TOMM40	-0.28575
RP6-213H19.1	0.404
TUBGCP5	-0.491
IGSF6	2.76675
TPPP	1.40533333333333
UNQ6190	-0.656
GSTM5	0.707375
BTD	-0.326
PDCD1LG2	-0.150666666666667
SNRPB2	-1.10816666666667
ERICH1	0.941
APOA4	-1.71325
HOXA11	2.83925
NARG1	-0.03575
MKX	-0.48575
RAB28	-0.635928571428572
PKP3	2.1255
SH3GL2	-3.15925
CTSO	1.015
RPN2	0.741875
IL28RA	1.5825
SFMBT1	0.1475
WDR57	-1.306
FER1L3	0.601
HSF5	0.3165
TTC9B	0.474
C4BPA	2.891
ALB	-4.59335714285714
SORBS3	-0.398
UPF2	0.6045
JPH1	2.7495
AGBL2	-0.62425
DOPEY1	2.656
TERF1	0.533416666666667
KIF22	-1.25933333333333
NINJ1	-1.26975
SEC61A2	-0.564833333333333
HIST1H1D	-0.1245
SFXN4	0.700625
UCP3	-0.0957
ZNF703	1.739
MYL6B	-1.96625
TREM1	0.46825
OR52E6	0.832
CKMT2	0.2855
HLA-C	1.791
SLC13A3	0.973666666666667
TIMP4	-1.90275
SLIT2	-2.56025
RSF1	-0.399666666666667
LONRF1	-0.0257857142857143
MON1A	0.385833333333333
CACNG6	-2.56416666666667
DPPA4	-5.1905
ZSWIM3	0.86575
ZNF804A	0.0268333333333333
CCIN	0.13175
SLC25A31	-0.07375
KCNMB4	1.4065
RABL5	0.201375
GALNS	-0.179
STX6	1.29575
HIST1H1C	-4.68466666666667
CIDEB	-1.32025
CASP4	0.722
PDK3	0.6158
KCNJ11	0.836
TPR	0.1005
ZSCAN20	-0.2315
MTX2	-0.11475
HIST1H2BH	-1.04625
LOC283767	1.48075
LYRM7	-0.353277777777778
BRD3	-0.612666666666667
HIST1H2BO	-2.293
MAGEB10	0.215
SLC45A1	0.048
SERPINA3	-1.97315
KIAA0143	0.73975
KCNJ16	-0.356833333333333
KRT79	0.1485
FABP2	0.373
NUT	-0.2945
ZNF57	2.317
FBXL4	0.66925
CLEC9A	0.1415
UGT8	3.121
BMP2K	0.44675
MAPK4	-3.8895
SLC25A23	0.4858
HINT1	0.2269
KRTAP13-1	-0.2015
SFXN5	-0.3124
CHCHD2	0.716583333333333
FAM3D	4.1505
NDP	-4.24725
RHOBTB1	-0.467166666666667
SLC4A4	-1.003125
RPL38	-0.03225
HTF9C	-0.274333333333333
AP2A2	-0.0105
ZBTB46	-1.127
MAP7D1	-1.31575
AOX1	-3.42683333333333
CYR61	-1.965
DTNA	-2.01235714285714
JRKL	0.9765
TMOD3	-0.102
EEA1	0.2151
ADCK5	0.58975
IL1R1	-0.275166666666667
KLK3	0.507642857142857
HRSP12	0.76975
KTN1	0.0695
LOH11CR2A	0.7759
RELL2	-0.94775
MAB21L1	0.37075
C20orf59	-1.20166666666667
PHKB	0.639
ADAM2	-1.63383333333333
TBC1D8B	2.39133333333333
FAM13A1	-0.9358125
LAPTM4B	-0.667
LCN8	0.1705
TMEM147	0.33
SYT4	-0.093
XPO7	0.0765
C9orf62	0.27875
GPR75	-0.0925
TRIM5	0.353
APOC1	-3.98083333333333
RNASE4	1.52783333333333
PARD6B	-1.25325
ARID1A	-0.200166666666667
TPD52L3	0.0238
RRAGB	0.606333333333333
RCN2	-0.670333333333333
HIST2H2BE	-2.72775
STARD7	0.114
SHMT2	-1.105
KIAA1751	-0.315666666666667
MLYCD	1.15275
LOC162632	-1.2298
UQCRH	-0.93325
RP11-217H1.1	0.589875
SDHA	-0.377
NCLN	0.3269
ZNF17	0.248166666666667
RCBTB2	-2.52
VEGFB	-1.3339
RP4-747L4.3	0.46425
COLQ	-0.522
MPN2	-0.7315
DRG2	-0.80225
KLRB1	4.85025
ALPK2	-3.645
DNASE2B	1.41925
FLJ23834	1.3065
AXUD1	-0.344166666666667
SAFB	0.2664
NSUN4	-0.1475
RFX2	-0.133333333333333
MAPK8IP1	-0.642833333333333
FANCD2	-1.38892857142857
ANKZF1	-1.08033333333333
C19orf50	-0.55475
DUSP8	1.030875
SENP5	-0.6125
NFKBIL2	-0.26825
LBR	0.8945
IGFL1	0.458
LZTS2	-0.253125
IL2RG	1.14775
CCDC51	-0.045
KLF3	1.549375
ANKRD37	-2.315
KCTD14	2.94933333333333
FZR1	0.392916666666667
SLC44A4	4.1054
ESPL1	-0.884375
GMPR2	-0.7992
TBC1D19	-1.2285
ERGIC1	1.21188888888889
ERBB4	-2.2531
TSPAN32	-0.7075
MAP4	-0.437
GPHN	0.50525
SLC6A2	-0.333625
HIVEP1	0.31425
DFFB	0.9356
EIF4EBP2	0.8575
DMRT1	-0.58625
HSPB6	-0.71375
IER2	0.514666666666667
AIFM1	1.00775
WWC2	-1.784
MRPL4	0.207
FLJ21062	0.679333333333333
EPB41L4A	-0.439416666666667
SH2D6	0.46475
TAF4B	-0.06725
GAL3ST3	-0.01
MALT1	0.191166666666667
RTDR1	1.76
ARVCF	-0.21
MEX3B	-3.38933333333333
FBXO16	-0.3825
KIF7	-1.772
C1QC	3.38233333333333
ZNF783	0.2025
ZNF85	-0.4565
MMP13	-1.1085
KIAA0329	-0.016375
RTP3	-1.0735
ZBED3	-1.61025
CLGN	-5.4825
SLC25A37	-0.19525
hCG_18290	-0.1135
OR5AS1	0.6235
SMARCC2	-0.30025
FAM109A	0.9855
CCDC12	-0.40025
USF2	0.1829
DEPDC7	0.462
C20orf24	1.68933333333333
JMJD3	0.9235
DSP	0.724428571428572
SLIC1	0.949125
FAM20A	-2.283875
IRF2BP2	1.05125
ZNF230	-0.386
MSN	-1.44792857142857
SLC9A5	-1.601
EPDR1	1.0365
MUSK	0.219333333333333
ZNF434	-0.232666666666667
SMARCD1	-0.1815
ZFP106	0.05625
ZNF347	-0.8837
GTF2E1	-0.33975
RY1	-0.391833333333333
