Hybridization REF	TCGA-AV-A03E-20A-01R-A00A-07
USP6NL	0.478125
ABCD4	-0.2415
DIMT1L	0.275666666666667
TEK	0.345875
SLC25A46	0.896
LARP7	-1.9466
CD160	-0.00216666666666668
MT1JP	3.63016666666667
PHF20	0.1111875
CPNE4	1.3205
GTPBP1	-0.752214285714286
RAB33B	1.07033333333333
ALDOC	0.791625
ZNF212	-0.18375
NUDT1	-0.808333333333333
RFPL2	-0.53975
ZNF83	-4.36433333333333
GDPD5	-2.189125
PDCD4	0.38295
CEP350	-0.949
OR10A2	-0.14975
CST7	-0.46825
CIAO1	0.485
SELL	0.282625
OR8J3	-0.0435
LTBP4	-0.529666666666667
SIRT6	0.20475
CCL19	0.0445
PPIL1	-1.19216666666667
GBP7	-0.0544
STK17A	1.3096
ABR	1.4645
OR9G1	-0.0905
FOXE1	-0.049875
CNGA3	4.1365
GML	0.269
CD38	-2.13775
ZDHHC6	0.573666666666667
NEFH	-5.075
CTDSP2	-0.28975
PGBD5	-1.39683333333333
CCNY	0.549928571428572
RMND5B	-0.329166666666667
ZNF257	-2.282
FLJ22167	0.777375
EXOSC7	-0.0356666666666667
ROR2	-1.125375
MAOA	1.454
TNNT3	-0.389166666666667
GYPC	-1.009
C7orf33	0.424
PLIN	0.334833333333333
LOC90826	0.4875
RNF4	0.2976
F8A1	-0.927666666666667
PLEKHG4	-0.04175
GRB2	-0.1242
HIST1H2AD	-1.2
DUS3L	-0.9945
EIF1	0.527166666666667
RP5-1077B9.4	-1.4815
FPGT	1.65325
GDF10	-1.1322
COQ9	-0.04225
GCC2	0.119642857142857
RARRES3	0.653125
PLXNA1	0.2812
KIAA0100	-0.061
PMF1	-0.82775
FNDC1	0.4815
HS2ST1	-0.276833333333333
CRELD2	0.1545
C8G	-2.159
CD82	2.72925
LIM2	-0.7185
UNQ6490	0.222
MMP16	0.6915
DRD3	-0.03625
C5orf26	-0.87825
C11orf73	-0.43775
PTP4A2	0.601
OR4M2	0.555
HPCA	0.896333333333333
SEC14L1	-0.469
CHFR	-3.946875
EMILIN1	-1.5525
NDUFS4	0.80175
COL18A1	-4.788
PDZD3	-0.0966
C9orf16	0.278666666666667
ERBB2IP	-0.0241666666666666
EMX2	0.16875
FUS	-1.22525
TF	-5.5298
CLCN4	1.80983333333333
CXorf56	-0.35475
C11orf72	0.2185
ELAC2	-1.37733333333333
NPR1	-2.8125
ASS1	-0.3445
USP42	-0.858125
POLR2J	-0.5635
SEC23IP	1.1825
UQCRC1	0.5415
LOC729603	0.06
C1orf71	-0.53925
POLG	-0.997
ADAM23	0.396
TFR2	-0.727
RICTOR	-0.6362
MGC39606	0.2555
C19orf55	-0.423875
SNAPC1	1.19633333333333
GNA11	0.0745
CCDC52	0.584833333333333
FSIP1	1.486
UPF3A	0.184
IGSF11	-1.511
LAGE3	0.3335
CHST6	-1.372
UNC13B	-0.68175
TTLL4	-0.754
ZNF687	-0.307375
SDC2	0.4449
COX7A2	-0.1385
LAMB4	-0.0615
FAM24A	0.8975
LRRTM3	-0.38275
GPHB5	-0.15825
OR4C13	0.181
EIF3EIP	0.475785714285714
HABP4	0.737
TMEM125	-4.0655
CNTN2	-0.749875
ASNSD1	0.2685
FUT4	-0.35025
ACF	-3.1615
LOC158381	1.2635
CDH8	-0.62875
AGPS	-0.559833333333333
C4orf18	-1.957125
PECI	-0.133583333333333
UNG	-0.571125
GSTP1	-0.789375
DCUN1D5	-0.967833333333333
DKFZP564J0863	0.413
SLC9A3R1	-1.621875
BCDO2	-0.64225
CHMP7	0.546125
REM2	0.1035
DNHD1	0.101625
FKBP4	-1.0785
ZNF350	-1.9315
MGC11102	0.910625
BST1	0.51125
KISS1R	-0.707
NCR2	0.235
DEFB125	0.765
UBE2W	1.189625
KRT15	-1.58925
C10orf99	-0.1835
SCN11A	0.082125
GFI1	-3.6385
RDHE2	-0.845166666666667
FHL1	-0.515166666666667
OSGEP	-1.276
GATA1	-4.495
SMC6	-0.51025
TTTY14	-1.35825
LPIN3	-0.58075
RPL4	-0.4376
RBPMS	0.54
PRPF3	-0.593166666666667
EMR1	1.505
SPATA19	-0.21225
XCR1	-0.102
IRX3	0.6843
RBM6	-1.58175
KLF4	-1.9916
UNC5CL	-2.41375
SEBOX	0.39
BTK	-3.2985
KRCC1	1.5385
C6orf27	-0.267
SYTL5	-0.173
PRND	0.0685
LOC653319	-0.082
PIGL	0.2495
HUS1	1.07416666666667
SFRS6	-1.34041666666667
C17orf77	0.249
UIMC1	-0.0613333333333333
FXYD2	-2.4955
LOC283152	0.83025
ZNF667	-2.296
ZCCHC12	-0.73825
TFEC	-0.2382
ATP7B	-1.957
POLD2	-1.10283333333333
RG9MTD1	0.05725
ACOT2	0.127833333333333
HIST1H4I	-1.125375
PPARGC1A	0.3523
ETFA	-0.4951
POLRMT	-0.05125
ZNF146	-0.2905
MIA2	-0.6605
KLHL6	-3.7685
HOXB5	-1.63
NENF	0.949333333333333
CUGBP1	0.12425
PRSS22	-1.1255
CASC4	1.5483
CUL4B	1.2962
CENPJ	-0.9626
PITX1	-0.849666666666667
FLJ31033	1.02983333333333
CELSR3	0.216
ZNF568	-2.1165
ITSN1	0.110416666666667
EHBP1L1	0.1395
C19orf2	-0.35925
DCTN1	-0.62675
LIN28B	-2.9165
TNKS2	0.61175
C1QBP	-0.45725
CADPS2	1.8195
SRMS	-0.23225
GJA9	0.695333333333333
MGC24975	-2.85866666666667
TRIM45	-0.5615
TSP50	-0.4195
TCP1	-0.0415
TMED7	1.1757
CMA1	0.392
CENPL	-0.1075
PTCRA	-0.5485
FST	-2.60775
VWCE	-3.2015
PAWR	-2.69
ABCC12	0.440833333333333
LDLR	0.6014
ASTN2	1.6649
LOC441212	0.386875
GPATCH8	-0.12725
TANC2	-0.0639166666666667
KIF4A	-0.68825
C18orf18	-0.10525
PGM1	0.4825
KIAA0258	0.912
CPD	1.303
SNCAIP	-1.21975
DCT	-5.64133333333333
HLA-DOA	0.942363636363637
OR11L1	0.19
UPK1B	0.480833333333333
DNAJB4	0.427625
UGT1A8	0.09525
HIST1H4L	-0.9945
PECR	0.01
HSPA2	1.98025
WFIKKN1	-4.2925
SERP1	0.085
SYDE2	-1.07525
TACR2	-0.3325
NUP85	-0.08025
CD177	-0.447
LGR5	-1.2225
PIGG	0.173666666666667
PTHR1	-2.99366666666667
RAB5A	0.8833
FLJ13224	0.001
USP9Y	-0.428666666666667
C7orf53	-0.2415
LRP1B	1.56875
XAF1	-0.9799
ABCG8	0.088
ANKDD1A	-0.00416666666666669
DAND5	-1.2915
SPAG6	-0.2725
LINCR	0.9705
ZDHHC22	-1.534125
CCDC60	0.55
THOC7	-0.611
TCTA	0.8916
OR8K3	0.336
NY-REN-7	0.0683333333333333
B2M	2.022
C6orf141	-1.215375
LPPR4	5.9615
SQLE	0.21875
SEPHS1	-0.729
BTBD14B	0.442142857142857
PLRG1	0.319
SPG7	-0.6061875
ZNF614	0.120333333333333
PARD6G	-0.969
INPP5B	0.2246
GRPEL2	0.51725
PPID	-0.8317
TRIM56	-0.694
UBE2J1	1.143
IL20RA	-0.7905
LOC387856	1.268
C1orf107	0.6925
UTS2R	-0.411
C19orf22	-1.0935
SAFB2	-0.8425
KIAA0652	0.45175
KLRG1	1.09066666666667
MS4A8B	0.325
FRAG1	-0.22275
KIAA1546	-0.5405
E2F4	-0.6635
CLEC4M	-0.678333333333333
BTBD14A	-0.5925
KIAA0999	-0.0298
GYPA	-3.2986
TAC1	-0.12875
TRAIP	-0.491833333333333
KIAA0232	0.6656
ERCC8	1.116625
GPX4	0.646625
KIAA0368	0.7825
GPR157	-1.60683333333333
CTAGE4	-1.192
C9orf30	1.86383333333333
OR52A1	0.3805
HSP90B3P	0.4245
ALG9	-0.2459
BTBD10	1.398
SDK2	-0.85475
BAIAP3	-2.60625
RABGGTB	-0.19475
ANKRD40	-0.172833333333333
KRT74	0.45
CALCOCO2	0.747357142857143
SNCA	-1.457
TMSL8	-2.26375
C2orf53	0.5515
ESRRB	-0.28775
ARHGAP26	-0.776375
TDRD9	-3.76375
HRAS	0.391166666666667
KLRC4	-1.0825
JAGN1	-0.0886666666666667
BSDC1	-0.145
RNF43	-1.9317
NDUFAF1	0.71625
PHF12	0.64175
OR1L3	0.80325
FOLR2	-0.148583333333333
LYZL6	0.385333333333333
tcag7.1260	3.6565
WSB1	-1.32533333333333
PROS1	1.4743
OSTN	-0.061
PSMB8	0.2
SOCS4	0.9405
DDIT4L	6.352
MAS1	-0.078
MGC34796	0.1515
CSHL1	-0.0673333333333333
TBCCD1	-0.791
ZBTB7C	-0.5005
AP2S1	1.206125
P15RS	-0.1213
VAT1	0.2674
SHANK3	-1.59516666666667
TUFM	-0.749333333333333
THEG	-0.42
KRT34	4.73625
SGSM3	-0.646375
TOMM22	0.2625
SOCS3	1.51616666666667
CPO	-0.096
POP4	1.051
BHLHB3	3.56775
MALL	-2.78566666666667
OR1B1	-0.1265
PARK2	0.1615
GPR124	-1.819375
LCE1E	0.1205
RUVBL2	-1.247
CGRRF1	1.7682
ACPL2	0.6485
WNT10B	-0.958375
BAIAP2L2	-3.165625
ISCA1	0.1665
C1orf125	0.0755
RPAP1	-0.51275
RAI16	-0.305166666666667
RPL27	0.10075
NLRP9	0.802
EPN1	0.00599999999999999
LOC388610	-0.088875
SLC35A1	0.3944
GAL	-6.34875
SLC14A2	0.02875
RDH11	0.645333333333333
FAM138F	-1.073
AUH	-0.1585
FLJ40243	0.130333333333333
C14orf129	1.30433333333333
MBD2	-0.922833333333333
ABHD14B	-0.11425
PIGT	0.61225
ALS2CR4	1.03
ALAS1	0.6973
FOXO1	-1.446
CRLF3	0.28575
C20orf107	0.177
FARS2	0.1685
CCDC28A	-0.01825
NPHP3	0.18225
OR13F1	0.2805
TSEN54	-1.765
DEFB106B	0.1555
OR8B4	-0.0195
STH	-0.10575
ZC3H14	0.160875
CBX2	-0.539
TMEM49	-0.46725
C6orf21	0.3245
FLJ20920	0.268125
CRTAP	1.34764285714286
DDX50	0.452
STYXL1	0.67075
BLVRB	0.752166666666667
LOC147650	1.583
MMP24	0.43575
GRID1	-0.422666666666667
BANF1	-0.1675
CTAGEP	-0.6695
HMBS	-1.8185
SLC25A24	-0.790833333333333
C14orf50	1.277
MRO	-0.701833333333333
SLC25A15	-0.4385
FAM84B	-2.2199
TDP1	1.207
C16orf78	0.0462
C11orf57	-0.86975
RFK	0.76175
ZFYVE9	0.58
STCH	1.4654
WIBG	-0.386
LOC283871	-0.659833333333333
GBA2	-0.8499
NDUFB3	0.7585
HSD17B13	0.217
GRIN3A	0.66
FMNL1	-1.89716666666667
SEPT7	-0.1963
GNLY	0.9755
GRAMD1C	0.480333333333333
ZNF165	-2.37325
USP38	0.69825
FAM83A	-4.0715
C14orf24	0.20575
ARMCX3	0.91175
ARHGDIB	-4.115
AK1	0.713
KIAA1045	0.062
DNAJB13	-0.5375
NEU2	0.601
HIST1H4B	-0.811166666666667
FAM20B	0.2214
HES2	-0.141071428571429
FAM73B	-1.022
LOC388381	0.0755
INTS7	-0.182090909090909
AMPH	3.2615
ZNF775	-0.490125
UCKL1	-0.761833333333333
C10orf97	1.29525
C1orf161	-0.1555
ALDH1L1	-1.4455
FLJ39378	0.20675
SLC23A1	-1.3435
RBM4B	-0.00824999999999999
THAP4	0.036
OGFRL1	1.0565
KIAA0831	0.25175
PPP1R15A	-0.415666666666667
C1orf96	0.477785714285714
C12orf11	-0.8735
BMF	-1.041375
MAN1A1	0.531
KIAA1600	0.315666666666667
NLGN4X	-2.1265
ALOX12	-0.46
RB1CC1	0.5379
NEIL2	1.513
EIF4E	0.537363636363636
ABHD5	0.627
EXOC4	1.03916666666667
CIP29	0.442666666666667
BATF2	0.02725
SLC29A4	0.13975
HTR4	0.159
EMB	-4.994
TRAF6	0.446
LMNB1	-1.35975
FAM19A5	-3.574625
SHE	-0.29625
PIK3C2B	-3.47475
C15orf15	-0.2791
USP15	0.2148
TCEAL2	0.1195
C5orf39	0.124333333333333
PTGER2	2.02175
SLC31A1	0.09325
IFT172	-0.39075
ADAM29	-0.08325
GFOD1	-1.43675
ST7L	0.987833333333333
C15orf26	-0.828
PKN3	-2.69775
CNTD1	1.85966666666667
COMMD1	0.40025
NTRK2	0.486416666666667
FOXN3	-0.8645
MFGE8	-0.5219
PFKFB2	0.1395
TAS2R4	-0.33225
ENTHD1	-0.162333333333333
PRMT5	-1.70175
MGC16384	-1.497875
LOC442229	1.0295
TSKU	-0.587
KRTCAP3	-2.642625
PDLIM1	0.7936
KCNS2	-0.00100000000000001
RNF126	0.0438333333333333
CEP63	0.40975
CLIC4	1.21625
hCG_1990170	-0.71725
ACR	0.085
KLK7	0.21725
ALOX5AP	-2.21775
RIPK3	-0.81
TAS2R9	0.802
C19orf18	-1.3275
BIRC6	-0.551285714285714
ZNF16	-0.175
RFT1	-0.50475
SLC8A2	-0.63
TACC1	0.3965
ITGAD	1.1475
SAMHD1	0.97525
SH3PXD2B	1.1078
EPC2	-0.09375
C20orf85	0.240875
ATP13A2	-0.590833333333333
KRT4	0.6625
CAPNS1	0.10525
MDM2	0.014
PCDH20	1.08675
KCNK9	-0.155
OR2C1	0.3595
KLHDC3	-1.50683333333333
IPPK	-0.0755
EFHD2	-0.06725
GALR3	-0.24075
NBEA	0.395833333333333
ABCA6	-0.1801
CLDN3	-4.81616666666667
AKT2	-0.374714285714286
EGFR	1.341
RBM16	0.39275
ZDHHC3	0.4353
SLC25A4	-1.0185
CYB5B	0.0473333333333333
CPXM1	-3.226
NDRG1	1.43615384615385
FLJ43826	1.0945
OR5L2	0.069
FARP2	0.6186
MRPL46	0.182
LDHAL6B	0.313666666666667
MAPKAPK3	0.196
NCAM2	-0.20275
PRKD2	-1.032
ZFP36L1	1.1817
CYSLTR1	-2.03575
OR4C3	0.40625
HIST1H2AJ	-1.243
CCNB2	-0.333555555555556
ZNF10	-1.661375
TMEM175	-0.197
FAM134A	0.270666666666667
TIGD4	0.407
PCNP	0.09225
MGC39715	0.24325
LQK1	1.37825
CREB1	0.8219
TMPRSS3	-3.12375
C4orf32	0.864
LAT	1.72866666666667
KCNA3	-0.2345
SKIV2L2	-0.29825
ROPN1B	-3.654
tcag7.23	-1.063
CDT1	-2.2315
ZHX2	-1.31425
CD28	-6.04325
ZNF624	0.502
SEPT2	-0.0509166666666666
SOHLH2	-0.114625
MCOLN3	-0.92525
UNQ1945	0.3335
MASP2	-1.3745
ZNRF3	-0.398
GPATCH3	-0.77375
AGL	0.805
QRICH2	-0.2515
PSD4	-1.82
CCNB1IP1	-1.66825
ENPP7	0.14425
OBFC1	1.207
KCNG3	-1.47225
C14orf79	0.102666666666667
ENPEP	-0.322166666666667
SCT	-0.0775
SKI	-0.097125
SEC61G	0.81775
CAPN11	-0.03425
ATXN7L3	-0.7405
DBNDD1	-1.88216666666667
FAIM	0.6505
ANKRD36	-1.04
GABRP	-0.632
TACSTD2	-4.40616666666667
EIF3J	-0.63975
PPP2R2A	0.49875
TEKT4	0.746666666666667
PVALB	-4.7995
F10	-3.42133333333333
FAM134C	0.1498
COMP	-0.2935
EFCBP1	0.511333333333333
SCLT1	-0.01575
TAL1	-1.5282
ACSL1	2.258
ABCC5	-1.03641666666667
ABL1	0.042
RBBP7	-0.0535833333333333
PTPRG	-0.275125
NCOR1	-0.5888
SPINK4	0.674166666666667
TXNRD1	0.2629
TNRC15	-0.19525
C9orf138	0.3755
UBE2H	0.999166666666667
BRDT	-0.2485
C8orf31	0.3155
CCNE2	0.327363636363636
SLC6A8	-0.646875
CALCR	-3.4155
PPP1CB	0.930166666666667
ABHD8	0.2885
ARF5	-0.1543
SLC24A4	0.592
CCT3	-0.733
ZNF121	0.125625
SLC3A2	-1.5126
OR13A1	-0.3125
SLC5A10	0.1265
RAD50	-0.148
IER5	-0.65975
MTHFD1L	-0.169625
MBTPS2	0.51575
MVK	0.485125
NCL	-0.4206
PSMD10	0.20225
MOBP	-0.0825
FLJ32894	0.8525
HRH1	2.52516666666667
C5orf30	0.0235
NUDT16L1	-1.069
RASGRP3	-0.463333333333333
PRKRIP1	-0.6966
CCDC75	0.63225
LOC253970	0.37775
KIAA1239	0.11675
MED21	1.088
SYT11	4.036
NTSR2	-0.258
EGFL11	-0.4795
CXorf59	0.593
OR2A25	0.418
SPTBN2	-2.39125
LRMP	-3.07866666666667
RNF111	1.118
PTH	0.1335
LOC619208	2.182
KIAA0895	0.6755
RANBP5	1.043625
P2RY10	-0.625833333333333
NME5	3.53083333333333
DDX21	-1.2215
LRSAM1	-1.2345
HDAC11	-1.463
VMO1	0.438
NOLA2	0.0958333333333333
ADAR	-0.361916666666667
MTO1	-0.837333333333333
SF4	-0.5445
P2RX1	-0.285666666666667
HBM	-0.62875
EN2	-0.108
C14orf172	-0.31425
TM9SF2	1.0665
INHBE	0.193166666666667
TCTE3	0.338666666666667
TOX2	0.1285
CTAGE3	-0.2375
HBB	0.0405
MED15	-0.7265
CASR	-0.4525
C6orf66	0.434666666666667
MTPN	1.010375
UNC50	0.24275
C21orf33	0.207625
IRF2	1.111625
PGR	-2.80816666666667
GPR84	4.0085
CROCCL1	-3.03825
SRPX	2.4985
BRE	0.9755
FGF10	-0.26275
SDC3	-2.94483333333333
ZRSR1	-1.25666666666667
DKFZP434P211	-0.94525
SOX6	0.107
RPUSD2	-0.4255
C14orf173	0.304333333333333
MAPK11	-0.476333333333333
TBC1D22A	0.2505
FAM123A	-0.464
COL4A6	-0.586166666666667
TOMM70A	0.30475
NAB1	1.65725
MGC16385	-0.252625
TSPAN18	-2.066
MED31	1.5665
PLG	-0.27425
CAPSL	0.463
ZNF532	0.6598
ASB14	0.0333333333333333
CA8	-3.81625
NUDT16P	-1.2426
SLFN11	0.547
LRRIQ2	0.254125
NOL7	-0.735666666666667
BRMS1L	-0.365625
JARID1A	-0.13
PANK2	-0.872
ICAM3	-0.19025
MDS1	-0.315
TAF8	-0.9895
RNF139	0.40175
ZNF594	-1.912
ADAM8	3.17825
SFTPC	-0.71625
MAN2B2	0.318375
RGS12	-0.0458125
EIF1AY	-1.13175
LRRIQ1	0.837
GPR150	-0.11725
CCDC21	-1.71166666666667
PRRG3	-0.0445
SAA4	-4.82975
RAPGEF5	0.12075
ZCCHC2	-0.271583333333333
MGC39372	-0.7535
PPP4R2	0.308833333333333
CDCA2	-0.158666666666667
OR4D5	0.233833333333333
PTGFRN	1.4942
SIGLEC5	-0.503333333333333
C19orf61	-1.16716666666667
NMUR2	-0.1695
KIAA1586	0.213333333333333
DAGLA	1.10983333333333
CHCHD6	-0.26675
GPR32	0.5905
NEUROD6	0.0553333333333333
SLC2A4RG	-0.8464375
CA5B	-0.09725
FBXL3	1.546
MPHOSPH9	-0.86275
HMG2L1	0.96475
HCN4	-0.0391666666666667
CEACAM19	-0.6405
SH2D4B	0.240666666666667
HFE2	-0.4585
TGM4	-0.155
LYPD2	-0.000499999999999987
TBC1D15	-0.2765
MRPS21	-0.7294
NONO	-0.9852
CLEC5A	-0.180714285714286
ITCH	0.3252
MGAT3	-3.89
MBP	-2.311125
RPP25	-2.53025
SOSTDC1	-2.494
HRC	-2.656
TRIM48	-0.6775
TMEM133	0.91525
ECEL1P2	-0.96825
HOXC11	-0.0175
DOK5	-0.12575
HELZ	-1.08466666666667
LOC348180	-0.9855
MGC33894	-0.1475
ADRB3	-0.409
DMD	-0.649916666666667
PTRH2	0.04375
MPEG1	0.0636666666666667
NDUFA12	-0.730833333333333
KRTAP2-4	-0.09325
STAMBPL1	0.839333333333333
ADCY2	-1.83416666666667
UNQ6125	0.925
KLHL20	-0.383833333333333
SRM	-0.604
OTC	-0.08975
TMIE	-0.119166666666667
SNX8	0.12575
LIPK	0.007
CHURC1	-0.418166666666667
KLC2	-0.0691666666666667
HDAC1	-0.925666666666667
FAM128A	0.220166666666667
FNDC3B	0.9273
MTCP1	0.349833333333333
WFDC10B	0.6651
PCDHGB3	0.6675
ATRNL1	-1.6471
CAV2	0.56125
MED26	0.0196666666666667
DUS1L	-1.15725
CHRM3	-2.36525
NEK9	-0.1245
WARS2	0.90625
TBX22	-0.118
TOMM40	-0.69625
RP6-213H19.1	-0.733666666666667
TUBGCP5	0.72325
IGSF6	-0.3125
TPPP	0.172833333333333
UNQ6190	0.368
GSTM5	1.671125
BTD	0.15
PDCD1LG2	1.894
SNRPB2	-0.922166666666667
ERICH1	0.425125
APOA4	-1.21625
HOXA11	-0.295666666666667
NARG1	0.54725
MKX	-0.00125000000000001
RAB28	0.8715
PKP3	-4.15175
SH3GL2	0.282
CTSO	3.48025
RPN2	0.589875
IL28RA	-0.55
SFMBT1	0.13175
WDR57	-0.5985
FER1L3	1.606
HSF5	0.275
TTC9B	0.658
C4BPA	-3.0885
ALB	-4.84269230769231
SORBS3	0.416125
UPF2	0.659
JPH1	0.223
AGBL2	0.255
DOPEY1	-0.055
TERF1	0.179916666666667
KIF22	-0.906166666666667
NINJ1	0.19625
SEC61A2	0.83125
HIST1H1D	-0.878166666666667
SFXN4	-0.12775
UCP3	-0.6998
ZNF703	-0.530166666666667
MYL6B	0.7565
TREM1	3.8135
OR52E6	1.077
CKMT2	0.824
HLA-C	1.748875
SLC13A3	-3.24766666666667
TIMP4	2.95025
SLIT2	-0.00699999999999999
RSF1	-1.07644444444444
LONRF1	0.422
MON1A	0.576833333333333
CACNG6	-2.15166666666667
DPPA4	-7.34433333333333
ZSWIM3	0.80575
ZNF804A	1.48966666666667
CCIN	1.4575
SLC25A31	0.1305
KCNMB4	-0.2375
RABL5	0.328375
GALNS	0.1106
STX6	-0.584125
HIST1H1C	-2.31633333333333
CIDEB	-2.347
CASP4	-0.0248333333333334
PDK3	0.3589
KCNJ11	-0.3095
TPR	-1.730875
ZSCAN20	0.5505
MTX2	0.356
HIST1H2BH	-1.1955
LOC283767	-1.29025
LYRM7	-0.184333333333333
BRD3	-1.11916666666667
HIST1H2BO	-1.718
MAGEB10	0.4395
SLC45A1	2.9485
SERPINA3	-4.5268
KIAA0143	0.70475
KCNJ16	0.168
KRT79	0.72225
FABP2	-0.88175
NUT	0.27125
ZNF57	-0.05375
FBXL4	0.683625
CLEC9A	0.0165
UGT8	2.76083333333333
BMP2K	0.975
MAPK4	-4.22725
SLC25A23	-1.3082
HINT1	0.8021
KRTAP13-1	-0.1865
SFXN5	-0.264
CHCHD2	0.495666666666667
FAM3D	-0.2
NDP	3.29325
RHOBTB1	-0.344166666666667
SLC4A4	2.423
RPL38	-0.569
HTF9C	-0.811666666666667
AP2A2	-0.13525
ZBTB46	-0.8805
MAP7D1	0.89725
AOX1	1.70216666666667
CYR61	-0.805833333333333
DTNA	2.06371428571429
JRKL	0.82025
TMOD3	0.27075
EEA1	-0.087
ADCK5	-1.28675
IL1R1	1.84433333333333
KLK3	-0.0372142857142857
HRSP12	0.84875
KTN1	0.4465
LOH11CR2A	0.4421
RELL2	-0.026
MAB21L1	1.69675
C20orf59	-1.42066666666667
PHKB	-0.357
ADAM2	-1.88266666666667
TBC1D8B	3.36266666666667
FAM13A1	0.525
LAPTM4B	-1.11466666666667
LCN8	-0.3775
TMEM147	0.7755
SYT4	0.434166666666667
XPO7	-0.253
C9orf62	0.14425
GPR75	0.99
TRIM5	1.052
APOC1	-4.6935
RNASE4	-0.834833333333333
PARD6B	-3.203875
ARID1A	-0.5475
TPD52L3	-0.0045
RRAGB	0.483333333333333
RCN2	-0.045
HIST2H2BE	-1.139625
STARD7	-0.709
SHMT2	-0.9085
KIAA1751	-0.1995
MLYCD	-0.546125
LOC162632	-0.0401
UQCRH	-0.2095
RP11-217H1.1	0.839875
SDHA	-1.41316666666667
NCLN	-0.5888
ZNF17	0.235833333333333
RCBTB2	-2.81575
VEGFB	0.4417
RP4-747L4.3	-0.5435
COLQ	-0.2855
MPN2	-1.11483333333333
DRG2	-0.85425
KLRB1	0.10975
ALPK2	-0.1425
DNASE2B	0.103
FLJ23834	-0.360166666666667
AXUD1	-0.739333333333333
SAFB	-0.769
NSUN4	0.26275
RFX2	1.03233333333333
MAPK8IP1	0.1125
FANCD2	-0.671357142857143
ANKZF1	-2.5285
C19orf50	-0.16325
DUSP8	-0.00100000000000001
SENP5	0.143875
NFKBIL2	-0.87825
LBR	-1.0135
IGFL1	-0.8
LZTS2	0.000999999999999987
IL2RG	-2.237
CCDC51	0.17625
KLF3	-0.348875
ANKRD37	0.1855
KCTD14	-2.2035
FZR1	0.499583333333333
SLC44A4	-1.6102
ESPL1	-0.099875
GMPR2	-0.9368
TBC1D19	1.5795
ERGIC1	1.65718518518519
ERBB4	-1.4826
TSPAN32	-0.0499166666666667
MAP4	0.0545
GPHN	0.201
SLC6A2	-0.17325
HIVEP1	0.0415
DFFB	-0.2286
EIF4EBP2	-0.497875
DMRT1	1.95475
HSPB6	-0.0715
IER2	-1.34
AIFM1	-0.5595
WWC2	0.556666666666667
MRPL4	-0.3035
FLJ21062	0.3985
EPB41L4A	-1.34516666666667
SH2D6	0.7445
TAF4B	-0.7505
GAL3ST3	-0.3065
MALT1	0.387166666666667
RTDR1	1.25325
ARVCF	-1.84725
MEX3B	0.26
FBXO16	2.134
KIF7	0.45275
C1QC	0.252833333333333
ZNF783	-1.14583333333333
ZNF85	-2.5655
MMP13	-0.6115
KIAA0329	0.485375
RTP3	0.477
ZBED3	-2.13025
CLGN	1.34625
SLC25A37	0.041125
hCG_18290	-0.168
OR5AS1	0.7635
SMARCC2	-0.127416666666667
FAM109A	-0.4295
CCDC12	-1.26775
USF2	-0.00450000000000002
DEPDC7	-0.1015
C20orf24	0.759333333333333
JMJD3	0.719
DSP	-5.65414285714286
SLIC1	-0.5475
FAM20A	-2.72325
