Hybridization REF	TCGA-AA-A00U-01A-01R-A002-07
FST	-4.66925
VWCE	-4.0705
PAWR	1.39075
ABCC12	0.063
LDLR	0.2287
ASTN2	-0.1209
LOC441212	0.433
GPATCH8	-0.04725
TANC2	-1.1795
KIF4A	-1.0745
C18orf18	1.21275
PGM1	-1.0305
KIAA0258	1.2665
CPD	0.883
SNCAIP	1.752
DCT	-4.18333333333333
HLA-DOA	1.13363636363636
OR11L1	0.203
UPK1B	-0.0231666666666667
DNAJB4	0.063375
UGT1A8	0.82475
HIST1H4L	-0.428
PECR	-2.05266666666667
HSPA2	0.3355
WFIKKN1	-2.406
SERP1	0.383
SYDE2	0.61225
TACR2	0.0665
NUP85	-0.14325
CD177	0.4255
LGR5	2.387
PIGG	-0.155583333333333
PTHR1	-2.44683333333333
RAB5A	0.321
FLJ13224	-0.13
USP9Y	0.359833333333333
C7orf53	0.418
LRP1B	-0.8325
XAF1	1.2829
ABCG8	-0.236
ANKDD1A	-0.361833333333333
DAND5	-1.5705
SPAG6	0.143333333333333
LINCR	1.873
ZDHHC22	-1.463625
CCDC60	0.0610000000000001
THOC7	-0.5485
TCTA	0.1462
OR8K3	0.18975
NY-REN-7	-0.4095
B2M	0.213
C6orf141	-1.343375
LPPR4	1.27575
SQLE	-0.286375
SEPHS1	-0.00824999999999999
BTBD14B	0.355857142857143
PLRG1	0.18725
SPG7	-0.3698125
ZNF614	-1.71366666666667
PARD6G	-1.0485
INPP5B	-0.7484
GRPEL2	0.658875
PPID	0.1456
TRIM56	-0.289
UBE2J1	0.0325
IL20RA	4.012
LOC387856	0.1815
C1orf107	0.882666666666667
UTS2R	0.01325
C19orf22	0.47175
SAFB2	0.359875
KIAA0652	-0.25475
KLRG1	-1.45283333333333
MS4A8B	1.55133333333333
FRAG1	0.84675
KIAA1546	0.3995
E2F4	0.1612
CLEC4M	-0.0711666666666666
BTBD14A	-0.205
KIAA0999	0.4849
GYPA	-2.6565
TAC1	-0.2325
TRAIP	-0.363666666666667
KIAA0232	-0.1321
ERCC8	0.389
GPX4	-0.32825
KIAA0368	-0.665625
GPR157	0.480833333333333
CTAGE4	0.9895
C9orf30	-1.35316666666667
OR52A1	0.2005
HSP90B3P	0.6005
ALG9	-0.2854
BTBD10	0.94525
SDK2	-0.41225
BAIAP3	-1.48575
RABGGTB	0.441
ANKRD40	0.208833333333333
KRT74	0.2485
CALCOCO2	0.344
SNCA	-4.19125
TMSL8	-4.864375
C2orf53	-0.276
ESRRB	-0.294
ARHGAP26	1.51125
TDRD9	-3.1595
HRAS	-0.0421666666666667
KLRC4	-1.9355
JAGN1	-0.0216666666666667
BSDC1	0.123
RNF43	1.4154
NDUFAF1	-1.11175
PHF12	0.279
OR1L3	0.17175
FOLR2	0.765
LYZL6	0.0641666666666667
tcag7.1260	-1.2565
WSB1	-1.05233333333333
PROS1	-0.6682
OSTN	0.056
PSMB8	0.9665
SOCS4	0.290625
DDIT4L	-1.10975
MAS1	0.03
MGC34796	0.3705
CSHL1	0.0848333333333334
TBCCD1	-0.256833333333333
ZBTB7C	-0.236
AP2S1	-0.530875
P15RS	0.0639
VAT1	-1.4238
SHANK3	0.298666666666667
TUFM	0.250833333333333
THEG	0.125
KRT34	-1.62375
SGSM3	-0.681375
TOMM22	-0.173875
SOCS3	0.834333333333333
CPO	-0.124
POP4	0.015
BHLHB3	-2.1195
MALL	2.5925
OR1B1	0.1925
PARK2	0.167333333333333
GPR124	0.32625
LCE1E	0.144
RUVBL2	0.06425
CGRRF1	-0.1239
ACPL2	0.4505
WNT10B	-1.972
BAIAP2L2	0.869125
ISCA1	0.0745
C1orf125	1.73275
RPAP1	-1.1945
RAI16	-0.686666666666667
RPL27	-0.167125
NLRP9	0.0165
EPN1	0.3485
LOC388610	-0.87075
SLC35A1	0.7704
GAL	-0.98675
SLC14A2	-0.000750000000000011
RDH11	-0.143
FAM138F	-0.0035
AUH	0.50175
FLJ40243	0.0225
C14orf129	1.6285
MBD2	-0.593666666666667
ABHD14B	0.20925
PIGT	0.483125
ALS2CR4	-0.69925
ALAS1	0.8051
FOXO1	0.382
CRLF3	0.018875
C20orf107	-0.1385
FARS2	-0.48225
CCDC28A	-0.1835
NPHP3	-0.67675
OR13F1	0.3775
TSEN54	0.432
DEFB106B	0.0656
OR8B4	0.3665
STH	-0.57025
ZC3H14	-0.216625
CBX2	-0.3675
TMEM49	-0.677
C6orf21	0.2655
FLJ20920	0.155125
CRTAP	-0.495571428571428
DDX50	0.34
STYXL1	-0.135
BLVRB	-1.56216666666667
LOC147650	-2.29466666666667
MMP24	-0.3135
GRID1	0.4035
BANF1	-0.185
CTAGEP	0.274
HMBS	-0.6875
SLC25A24	0.716333333333333
C14orf50	1.3575
MRO	-0.322333333333333
SLC25A15	0.16425
FAM84B	1.2883
TDP1	0.647
C16orf78	0.184
C11orf57	0.04375
RFK	0.463
ZFYVE9	0.62
STCH	-0.5462
WIBG	0.085
LOC283871	-0.378166666666667
GBA2	-0.0885
NDUFB3	-0.249
HSD17B13	0.45225
GRIN3A	0.313833333333333
FMNL1	-1.957
SEPT7	-0.3279
GNLY	2.326
GRAMD1C	-0.568666666666667
ZNF165	0.5145
USP38	1.58225
FAM83A	-2.81116666666667
C14orf24	0.820583333333333
ARMCX3	0.25525
ARHGDIB	-1.32683333333333
AK1	-0.02725
KIAA1045	0.0955
DNAJB13	-0.257833333333333
NEU2	0.339
HIST1H4B	0.111833333333333
FAM20B	-0.4683
HES2	1.12635714285714
FAM73B	-0.2392
LOC388381	-0.5255
INTS7	-0.349454545454545
AMPH	-0.055
ZNF775	-0.663625
UCKL1	0.0956666666666667
C10orf97	-0.04575
C1orf161	0.5245
ALDH1L1	0.37475
FLJ39378	-0.558875
SLC23A1	-0.9615
RBM4B	-0.5715
THAP4	0.306
OGFRL1	-1.01725
KIAA0831	0.132625
PPP1R15A	0.397166666666667
C1orf96	0.155571428571429
C12orf11	-0.51775
BMF	-0.767
MAN1A1	-0.73825
KIAA1600	0.339666666666667
NLGN4X	-1.29175
ALOX12	-0.597666666666667
RB1CC1	0.2343
NEIL2	0.2345
EIF4E	0.518318181818182
ABHD5	-0.49425
EXOC4	0.139833333333333
CIP29	-0.166
BATF2	2.7555
SLC29A4	-0.72075
HTR4	0.6605
EMB	-2.38575
TRAF6	0.9745
LMNB1	1.90925
FAM19A5	-1.334375
SHE	0.5035
PIK3C2B	1.962
C15orf15	-0.74
USP15	-0.1293
TCEAL2	-1.28175
C5orf39	-1.91066666666667
PTGER2	-0.16
SLC31A1	0.01075
IFT172	0.627
ADAM29	-0.00875
GFOD1	0.54775
ST7L	0.293833333333333
C15orf26	-2.634
PKN3	-1.44725
CNTD1	1.06483333333333
COMMD1	-0.28425
NTRK2	0.726666666666667
FOXN3	0.092125
MFGE8	-1.3269
PFKFB2	1.35116666666667
TAS2R4	-0.16725
ENTHD1	-0.3355
PRMT5	-0.216625
MGC16384	-0.09425
LOC442229	0.19725
TSKU	-0.21725
KRTCAP3	3.329625
PDLIM1	0.9695
KCNS2	0.121
RNF126	-0.182666666666667
CEP63	-0.315375
CLIC4	-1.524
hCG_1990170	0.94075
ACR	0.9222
KLK7	1.33
ALOX5AP	1.328125
RIPK3	2.9775
TAS2R9	0.2735
C19orf18	0.2205
BIRC6	0.299428571428571
ZNF16	0.4295
RFT1	-0.032
SLC8A2	-0.42725
TACC1	0.484375
ITGAD	0.12925
SAMHD1	0.8235
SH3PXD2B	0.6326
EPC2	0.71025
C20orf85	0.328375
ATP13A2	0.228833333333333
KRT4	0.220625
CAPNS1	-0.05
MDM2	-0.29925
PCDH20	0.5335
KCNK9	-0.007
OR2C1	-0.297
KLHDC3	-0.791166666666667
IPPK	0.903
EFHD2	0.720625
GALR3	-0.03675
NBEA	-2.819
ABCA6	0.1552
CLDN3	2.6065
AKT2	0.01
EGFR	0.3586
RBM16	0.45625
ZDHHC3	1.1
SLC25A4	0.152
CYB5B	0.460166666666667
CPXM1	-1.20525
NDRG1	0.163307692307692
FLJ43826	0.05975
OR5L2	0.328166666666667
FARP2	0.5535
MRPL46	-0.977666666666667
LDHAL6B	0.723833333333333
MAPKAPK3	-0.129333333333333
NCAM2	-2.34425
PRKD2	-0.0451666666666667
ZFP36L1	0.5423
CYSLTR1	-1.96175
OR4C3	0.40775
HIST1H2AJ	0.4325
CCNB2	-3.55577777777778
ZNF10	-0.123125
TMEM175	-0.1275
FAM134A	0.219
TIGD4	0.5495
PCNP	-0.62
MGC39715	-0.31375
LQK1	-2.52925
CREB1	0.3129
TMPRSS3	0.26
C4orf32	-0.37925
LAT	-2.08366666666667
KCNA3	0.444
SKIV2L2	-0.034
ROPN1B	-3.23375
tcag7.23	0.1865
CDT1	-1.128375
ZHX2	0.230875
CD28	-3.3205
ZNF624	-0.72175
SEPT2	0.326
SOHLH2	-1.926125
MCOLN3	-0.71625
UNQ1945	0.268
MASP2	-0.071
ZNRF3	0.9008
GPATCH3	-0.259
AGL	0.487875
QRICH2	-0.343
PSD4	-0.141166666666667
CCNB1IP1	-0.0165
ENPP7	-0.06075
OBFC1	0.32175
KCNG3	-1.1215
C14orf79	-0.105833333333333
ENPEP	1.45366666666667
SCT	0.198
SKI	0.832625
SEC61G	-0.864
CAPN11	0.257
ATXN7L3	0.31225
DBNDD1	0.0241666666666667
FAIM	-0.005
ANKRD36	-0.7025
GABRP	0.767666666666667
TACSTD2	0.442
EIF3J	-0.097
PPP2R2A	0.0445
TEKT4	-0.8155
PVALB	-3.43533333333333
F10	-2.94333333333333
FAM134C	0.2371
COMP	0.777125
EFCBP1	-2.9079375
SCLT1	0.716125
TAL1	-1.2384
ACSL1	-0.09325
ABCC5	0.00699999999999999
ABL1	-0.311722222222222
RBBP7	-0.35875
PTPRG	1.265125
NCOR1	-0.0267
SPINK4	5.045
TXNRD1	-0.3384
TNRC15	1.0145
C9orf138	0.23475
UBE2H	0.682
BRDT	0.0801666666666667
C8orf31	-0.13975
CCNE2	-0.267090909090909
SLC6A8	-1.864
CALCR	-4.23
PPP1CB	0.267416666666667
ABHD8	-1.63775
ARF5	-0.1983
SLC24A4	0.225
CCT3	0.1775
ZNF121	0.5315
SLC3A2	-0.72
OR13A1	0.1635
SLC5A10	-0.0775
RAD50	1.0255
IER5	-0.204375
MTHFD1L	-0.455375
MBTPS2	0.1545
MVK	-0.172125
NCL	0.6712
PSMD10	-0.71475
MOBP	0.156
FLJ32894	0.0135
HRH1	1.26483333333333
C5orf30	0.603
NUDT16L1	0.2024
RASGRP3	2.15466666666667
PRKRIP1	-0.4508
CCDC75	0.6425
LOC253970	-0.0895
KIAA1239	0.48125
MED21	-0.1065
SYT11	-0.32325
NTSR2	-0.2005
EGFL11	-0.13
CXorf59	0.125
OR2A25	-0.012
SPTBN2	-0.63825
LRMP	-0.499833333333333
RNF111	-2.1265
PTH	-0.0365
LOC619208	-0.657333333333333
KIAA0895	1.194
RANBP5	0.00537499999999999
P2RY10	0.0755
NME5	-0.215333333333333
DDX21	0.74075
LRSAM1	-0.287
HDAC11	0.178
VMO1	0.57025
NOLA2	-0.300666666666667
ADAR	0.199083333333333
MTO1	0.0291666666666667
SF4	-0.198666666666667
P2RX1	0.11
HBM	-0.06175
EN2	0.273
C14orf172	1.0605
TM9SF2	0.23
INHBE	-0.561
TCTE3	-0.13725
TOX2	-2.86525
CTAGE3	0.1515
HBB	3.3534
MED15	-1.28083333333333
CASR	0.1825
C6orf66	1.1795
MTPN	-0.370125
UNC50	-0.837
C21orf33	-0.07075
IRF2	0.7815
PGR	-2.191
GPR84	0.57425
CROCCL1	-0.629
SRPX	-3.82125
BRE	0.2355
FGF10	0.3015
SDC3	-0.852166666666667
ZRSR1	-0.216166666666667
DKFZP434P211	-0.833
SOX6	-0.0505
RPUSD2	-0.3805
C14orf173	0.325833333333333
MAPK11	-0.635666666666667
TBC1D22A	-0.698
FAM123A	-0.297
COL4A6	-2.0655
TOMM70A	0.65975
NAB1	0.810375
MGC16385	-1.05575
TSPAN18	-0.810666666666667
MED31	-1.15825
PLG	-0.24175
CAPSL	0.08
ZNF532	-0.2937
ASB14	0.154
CA8	0.50925
NUDT16P	2.05716666666667
SLFN11	-1.933
LRRIQ2	0.131
NOL7	-0.0575
BRMS1L	0.201375
JARID1A	0.114
PANK2	-0.25725
ICAM3	-1.2565
MDS1	1.7955
TAF8	0.14925
RNF139	0.41625
ZNF594	-1.40066666666667
ADAM8	0.1075
SFTPC	-0.108
MAN2B2	0.135625
RGS12	-0.2574375
EIF1AY	1.05125
LRRIQ1	-1.2665
GPR150	0.16175
CCDC21	-0.393166666666667
PRRG3	0.0645
SAA4	-2.872
RAPGEF5	2.185
ZCCHC2	0.242833333333333
MGC39372	-0.4465
PPP4R2	0.912166666666667
CDCA2	-0.831
OR4D5	0.328
PTGFRN	1.0777
SIGLEC5	0.358166666666667
C19orf61	-0.58
NMUR2	0.17
KIAA1586	-1.01266666666667
DAGLA	1.15383333333333
CHCHD6	0.004
GPR32	0.311
NEUROD6	0.011
SLC2A4RG	-0.8561875
CA5B	-0.7045
FBXL3	0.38325
MPHOSPH9	-0.39375
HMG2L1	0.1215
HCN4	0.00283333333333333
CEACAM19	0.3855
SH2D4B	0.188833333333333
HFE2	0.00600000000000001
TGM4	-0.323833333333333
LYPD2	0.2915
TBC1D15	0.1795
MRPS21	-0.9354
NONO	-0.3926
CLEC5A	0.22125
ITCH	0.3125
MGAT3	-1.7555
MBP	0.06325
RPP25	0.40025
SOSTDC1	2.76425
HRC	-1.2895
TRIM48	-0.297
TMEM133	0.2595
ECEL1P2	-0.1355
HOXC11	-0.482
DOK5	-1.99825
HELZ	-0.2995
LOC348180	0.07425
MGC33894	0.21375
ADRB3	0.1345
DMD	-0.0639166666666667
PTRH2	0.00775
MPEG1	1.52183333333333
NDUFA12	0.218333333333333
KRTAP2-4	-0.0789166666666667
STAMBPL1	0.9975
ADCY2	-0.715833333333333
UNQ6125	0.404
KLHL20	-0.1775
SRM	-0.48225
OTC	0.358
TMIE	-0.0561666666666667
SNX8	-0.22425
LIPK	-0.2015
CHURC1	0.779416666666667
KLC2	0.105833333333333
HDAC1	0.710166666666667
FAM128A	-0.0955
FNDC3B	1.0201
MTCP1	-0.450666666666667
WFDC10B	0.504
PCDHGB3	-0.2775
ATRNL1	-1.6574
CAV2	-1.3795
MED26	0.235666666666667
DUS1L	0.795
CHRM3	0.9725
NEK9	0.408
WARS2	0.5365
TBX22	0.0845
TOMM40	0.33325
RP6-213H19.1	-0.218
TUBGCP5	-1.19625
IGSF6	2.417
TPPP	0.421166666666667
UNQ6190	0.052
GSTM5	-0.40775
BTD	-0.792666666666667
PDCD1LG2	-0.282666666666667
SNRPB2	-0.2245
ERICH1	-0.305125
APOA4	-1.40025
HOXA11	1.39375
NARG1	0.439
MKX	-0.012
RAB28	-0.124571428571429
PKP3	2.43775
SH3GL2	-1.3325
CTSO	0.71825
RPN2	0.6544375
IL28RA	1.3165
SFMBT1	1.4845
WDR57	-0.29425
FER1L3	0.2145
HSF5	0.1375
TTC9B	0.213
C4BPA	-0.739833333333333
ALB	-3.49778571428571
SORBS3	-0.443625
UPF2	0.8095
JPH1	1.816
AGBL2	-1.93425
DOPEY1	1.778
TERF1	0.280083333333333
KIF22	-0.384166666666667
NINJ1	-0.6885
SEC61A2	-0.529666666666667
HIST1H1D	1.37883333333333
SFXN4	0.803625
UCP3	0.2713
ZNF703	0.738333333333333
MYL6B	-0.94625
TREM1	1.3365
OR52E6	0.3715
CKMT2	0.81775
HLA-C	1.429625
SLC13A3	-2.69666666666667
TIMP4	-1.48475
SLIT2	-1.45125
RSF1	0.037
LONRF1	-0.960142857142857
MON1A	0.855833333333333
CACNG6	-1.96616666666667
DPPA4	-4.58816666666667
ZSWIM3	0.32075
ZNF804A	0.0955
CCIN	0.08175
SLC25A31	0.0485
KCNMB4	0.8285
RABL5	-0.59975
GALNS	-0.4977
STX6	0.707875
HIST1H1C	-3.80383333333333
CIDEB	-1.48825
CASP4	-0.5765
PDK3	0.333
KCNJ11	-0.026
TPR	-0.647375
ZSCAN20	0.462
MTX2	-0.08475
HIST1H2BH	-1.029
LOC283767	-1.1885
LYRM7	-0.474388888888889
BRD3	0.806666666666667
HIST1H2BO	-1.69
MAGEB10	0.1585
SLC45A1	0.10825
SERPINA3	-2.4095
KIAA0143	0.474
KCNJ16	-0.0858333333333333
KRT79	0.047
FABP2	1.0685
NUT	-0.23325
ZNF57	0.658
FBXL4	0.357375
CLEC9A	-0.199
UGT8	3.038
BMP2K	0.428
MAPK4	-3.55125
SLC25A23	-0.716
HINT1	-0.0476
KRTAP13-1	0.171
SFXN5	-0.4208
CHCHD2	-0.259166666666667
FAM3D	3.9845
NDP	-3.028125
RHOBTB1	0.183666666666667
SLC4A4	-1.16925
RPL38	0.24825
HTF9C	-1.4465
AP2A2	0.262
ZBTB46	-0.834
MAP7D1	-1.094125
AOX1	-2.627
CYR61	0.1475
DTNA	-1.39807142857143
JRKL	0.5535
TMOD3	-0.195
EEA1	1.0022
ADCK5	0.63875
IL1R1	0.434833333333333
KLK3	0.761714285714286
HRSP12	0.9705
KTN1	0.403
LOH11CR2A	0.4579
RELL2	-0.7845
MAB21L1	-0.2515
C20orf59	0.116666666666667
PHKB	-0.526
ADAM2	-1.14883333333333
TBC1D8B	0.775666666666667
FAM13A1	0.738875
LAPTM4B	0.68275
LCN8	-0.0335
TMEM147	0.2125
SYT4	0.172
XPO7	-0.3025
C9orf62	0.49175
GPR75	0.646
TRIM5	0.474
APOC1	-2.8835
RNASE4	0.0706666666666667
PARD6B	-1.5645
ARID1A	0.315833333333333
TPD52L3	0.0622
RRAGB	0.325166666666667
RCN2	-0.958833333333333
HIST2H2BE	-1.730375
STARD7	0.216
SHMT2	-0.21025
KIAA1751	0.0108333333333333
MLYCD	0.67875
LOC162632	-0.5144
UQCRH	0.04625
RP11-217H1.1	0.068625
SDHA	-0.7405
NCLN	0.5927
ZNF17	-0.0785
RCBTB2	-2.70775
VEGFB	-1.6477
RP4-747L4.3	-0.35175
COLQ	0.0293
MPN2	-0.430333333333333
DRG2	-0.251
KLRB1	4.37425
ALPK2	-2.20775
DNASE2B	0.58475
FLJ23834	0.167
AXUD1	0.337166666666667
SAFB	0.4351
NSUN4	0.252
RFX2	-0.0298333333333333
MAPK8IP1	-0.134166666666667
FANCD2	-0.709928571428571
ANKZF1	-0.998833333333333
C19orf50	-0.35275
DUSP8	1.20725
SENP5	0.652375
NFKBIL2	-0.0835
LBR	0.570125
IGFL1	-0.273
LZTS2	-0.159
IL2RG	1.603375
CCDC51	0.294
KLF3	1.362
ANKRD37	0.875
KCTD14	2.0745
FZR1	0.1355
SLC44A4	3.0861
ESPL1	-0.45975
GMPR2	-0.6915
TBC1D19	-0.784833333333333
ERGIC1	0.678592592592593
ERBB4	-1.4456
TSPAN32	-0.160916666666667
MAP4	-0.1265
GPHN	1.25325
SLC6A2	-0.417875
HIVEP1	-0.024
DFFB	0.7746
EIF4EBP2	0.613125
DMRT1	0.03475
HSPB6	-0.0265
IER2	0.5415
AIFM1	0.58125
WWC2	-0.5875
MRPL4	0.1645
FLJ21062	0.351166666666667
EPB41L4A	-0.215416666666667
SH2D6	1.2915
TAF4B	-0.11325
GAL3ST3	-0.4045
MALT1	-0.176333333333333
RTDR1	0.323
ARVCF	-0.88325
MEX3B	-2.26266666666667
FBXO16	-0.0915
KIF7	-1.8295
C1QC	2.744
ZNF783	0.0496666666666667
ZNF85	-0.41175
MMP13	0.21
KIAA0329	0.07225
RTP3	-0.604
ZBED3	0.9625
CLGN	-3.4905
SLC25A37	-1.24833333333333
hCG_18290	-0.01625
OR5AS1	0.248
SMARCC2	-0.326916666666667
FAM109A	0.597666666666667
CCDC12	0.079
USF2	0.0704
DEPDC7	0.36475
C20orf24	0.462833333333333
JMJD3	0.405
DSP	0.562142857142857
SLIC1	0.04825
FAM20A	-0.588
IRF2BP2	1.1495
ZNF230	-0.255
MSN	-1.54721428571429
SLC9A5	-1.7935
EPDR1	0.3321
MUSK	0.2725
ZNF434	-0.646166666666667
