Hybridization REF	TCGA-AA-A01K-01A-01R-A00A-07
PSMB8	1.67025
SOCS4	-0.520625
DDIT4L	-0.00874999999999999
MAS1	0.6635
MGC34796	1.4255
CSHL1	-0.379166666666667
TBCCD1	-0.544333333333333
ZBTB7C	-0.9295
AP2S1	-0.6305
P15RS	-0.5068
VAT1	-1.1602
SHANK3	0.8635
TUFM	-0.185333333333333
THEG	-0.81875
KRT34	-0.9545
SGSM3	-0.457
TOMM22	0.908
SOCS3	0.588833333333333
CPO	-0.0135
POP4	0.4355
BHLHB3	1.11575
MALL	3.299
OR1B1	0.0915
PARK2	-0.4164
GPR124	1.2725
LCE1E	1.9635
RUVBL2	-0.54925
CGRRF1	-0.7292
ACPL2	-0.042
WNT10B	-1.1665
BAIAP2L2	2.069125
ISCA1	0.4165
C1orf125	1.755625
RPAP1	-0.916
RAI16	-0.201
RPL27	0.4445
NLRP9	-0.0215000000000001
EPN1	-0.103
LOC388610	-0.84675
SLC35A1	0.9994
GAL	-0.5935
SLC14A2	-0.23225
RDH11	-1.10516666666667
FAM138F	-0.562
AUH	0.473
FLJ40243	0.2
C14orf129	1.258
MBD2	-1.24216666666667
ABHD14B	-0.345
PIGT	-0.1085
ALS2CR4	-0.88075
ALAS1	0.1671
FOXO1	0.691333333333333
CRLF3	-0.029625
C20orf107	-0.672
FARS2	0.4145
CCDC28A	1.07125
NPHP3	-0.1395
OR13F1	0.3565
TSEN54	-0.09525
DEFB106B	-0.161666666666667
OR8B4	-0.206
STH	-0.85475
ZC3H14	-1.031
CBX2	-0.213
TMEM49	-0.451
C6orf21	-0.06
FLJ20920	0.035125
CRTAP	-0.348785714285714
DDX50	0.20875
STYXL1	-1.25075
BLVRB	-1.02216666666667
LOC147650	-0.864833333333333
MMP24	0.3375
GRID1	1.2185
BANF1	-0.984833333333333
CTAGEP	0.2555
HMBS	-1.05625
SLC25A24	-0.00666666666666667
C14orf50	0.30125
MRO	-0.140333333333333
SLC25A15	0.377
FAM84B	1.0744
TDP1	-1.464
C16orf78	-0.360333333333333
C11orf57	1.13675
RFK	1.2765
ZFYVE9	0.20325
STCH	-1.3124
WIBG	0.7845
LOC283871	0.0856666666666667
GBA2	-0.2285
NDUFB3	0.933
HSD17B13	0.186666666666667
GRIN3A	0.779833333333333
FMNL1	-1.33583333333333
SEPT7	-0.6153
GNLY	3.901
GRAMD1C	0.566666666666667
ZNF165	0.9835
USP38	0.7845
FAM83A	-2.60716666666667
C14orf24	0.276333333333333
ARMCX3	0.798875
ARHGDIB	-1.2185
AK1	0.778
KIAA1045	0.1585
DNAJB13	-0.265
NEU2	0.2745
HIST1H4B	-0.377833333333333
FAM20B	-0.9067
HES2	0.628
FAM73B	-0.3248
LOC388381	-0.567666666666667
INTS7	-0.250272727272727
AMPH	0.61525
ZNF775	-0.69075
UCKL1	0.084
C10orf97	-0.052
C1orf161	-0.04975
ALDH1L1	-1.4695
FLJ39378	-0.668
SLC23A1	0.1665
RBM4B	-0.5815
THAP4	0.0566666666666667
OGFRL1	-0.6185
KIAA0831	-0.170125
PPP1R15A	-1.00383333333333
C1orf96	-0.277214285714286
C12orf11	-0.45425
BMF	0.603125
MAN1A1	-0.932
KIAA1600	0.576333333333333
NLGN4X	-0.96525
ALOX12	-0.345
RB1CC1	-0.7214
NEIL2	0.4034
EIF4E	0.501681818181818
ABHD5	-1.317
EXOC4	0.353166666666667
CIP29	-0.1375
BATF2	3.483
SLC29A4	-1.1265
HTR4	-0.1085
EMB	0.88975
TRAF6	0.801
LMNB1	0.64575
FAM19A5	0.33825
SHE	0.3305
PIK3C2B	2.66775
C15orf15	-0.3765
USP15	0.1995
TCEAL2	-0.061
C5orf39	-0.773
PTGER2	-0.113
SLC31A1	-0.7654375
IFT172	2.03675
ADAM29	-0.776
GFOD1	0.52475
ST7L	-0.442833333333333
C15orf26	-2.10325
PKN3	-2.4505
CNTD1	0.380666666666667
COMMD1	-0.342625
NTRK2	1.26283333333333
FOXN3	-0.018375
MFGE8	-0.2928
PFKFB2	1.76433333333333
TAS2R4	-0.18925
ENTHD1	0.793833333333333
PRMT5	-1.96975
MGC16384	0.161625
LOC442229	0.16725
TSKU	0.170375
KRTCAP3	3.63
PDLIM1	1.5272
KCNS2	-0.1825
RNF126	-0.0313333333333333
CEP63	-0.708625
CLIC4	-0.84225
hCG_1990170	0.491
ACR	1.9446
KLK7	4.65375
ALOX5AP	3.40875
RIPK3	3.43325
TAS2R9	0.3905
C19orf18	-0.131
BIRC6	0.491785714285714
ZNF16	0.639
RFT1	-1.036
SLC8A2	-0.3735
TACC1	-0.041
ITGAD	0.651
SAMHD1	0.6445
SH3PXD2B	1.1589
EPC2	0.5305
C20orf85	0.731875
ATP13A2	-1.14983333333333
KRT4	0.03375
CAPNS1	-0.364
MDM2	-0.275666666666667
PCDH20	1.691
KCNK9	0.0505
OR2C1	-0.4655
KLHDC3	-1.14833333333333
IPPK	0.2455
EFHD2	0.402875
GALR3	0.0955
NBEA	-0.941666666666667
ABCA6	0.5505
CLDN3	1.80466666666667
AKT2	-0.0131428571428572
EGFR	0.057
RBM16	0.64475
ZDHHC3	0.9231
SLC25A4	-0.9485
CYB5B	1.20183333333333
CPXM1	-0.951
NDRG1	0.698538461538462
FLJ43826	0.06375
OR5L2	0.464833333333333
FARP2	1.0144
MRPL46	-0.18925
LDHAL6B	0.213
MAPKAPK3	-0.810666666666667
NCAM2	-1.04625
PRKD2	0.073
ZFP36L1	0.3611
CYSLTR1	-1.048
OR4C3	-0.24775
HIST1H2AJ	0.0405
CCNB2	-1.65677777777778
ZNF10	0.094875
TMEM175	-0.4225
FAM134A	0.354166666666667
TIGD4	0.762
PCNP	-0.48075
MGC39715	0.29325
LQK1	-1.0065
CREB1	-0.4231
TMPRSS3	-1.2285
C4orf32	-0.83675
LAT	-1.4035
KCNA3	-0.9075
SKIV2L2	-0.3255
ROPN1B	-3.61625
tcag7.23	0.5875
CDT1	-2.484875
ZHX2	0.525875
CD28	-2.56175
ZNF624	0.2025
SEPT2	0.0310833333333333
SOHLH2	-1.382125
MCOLN3	-0.20225
UNQ1945	-0.2735
MASP2	-1.162
ZNRF3	1.564
GPATCH3	-0.842
AGL	-0.2685
QRICH2	-0.3315
PSD4	0.320833333333333
CCNB1IP1	-0.70925
ENPP7	-0.149
OBFC1	0.17575
KCNG3	-1.55225
C14orf79	0.245
ENPEP	0.575333333333333
SCT	0.8055
SKI	0.231125
SEC61G	0.394
CAPN11	0.658
ATXN7L3	-0.502
DBNDD1	-1.4615
FAIM	0.15
ANKRD36	-0.451
GABRP	1.07066666666667
TACSTD2	-0.7554
EIF3J	0.1075
PPP2R2A	-0.1405
TEKT4	-1.42216666666667
PVALB	-4.95666666666667
F10	-1.04066666666667
FAM134C	0.4212
COMP	2.6075
EFCBP1	-1.8323125
SCLT1	0.3665
TAL1	-0.9417
ACSL1	-0.02575
ABCC5	0.25325
ABL1	-0.331055555555556
RBBP7	0.217166666666667
PTPRG	0.532
NCOR1	-0.3576
SPINK4	1.60783333333333
TXNRD1	-0.3543
TNRC15	0.703125
C9orf138	0.0171428571428571
UBE2H	0.620666666666667
BRDT	-0.254166666666667
C8orf31	-0.20925
CCNE2	-1.44818181818182
SLC6A8	-0.527875
CALCR	-2.944
PPP1CB	0.860666666666667
ABHD8	-2.006
ARF5	-0.1254
SLC24A4	0.2835
CCT3	-0.13375
ZNF121	0.101375
SLC3A2	-1.8006
OR13A1	-0.204
SLC5A10	-0.3085
RAD50	0.498375
IER5	-0.59325
MTHFD1L	-0.73475
MBTPS2	0.14475
MVK	-0.5165
NCL	-0.1681
PSMD10	-0.7845
MOBP	-0.253
FLJ32894	0.314
HRH1	0.9285
C5orf30	1.07625
NUDT16L1	0.3065
RASGRP3	2.76883333333333
PRKRIP1	-0.6074
CCDC75	-0.38775
LOC253970	0.10925
KIAA1239	0.33125
MED21	0.158
SYT11	0.607083333333333
NTSR2	-0.975
EGFL11	-0.4275
CXorf59	0.344
OR2A25	-0.661
SPTBN2	-1.04825
LRMP	-1.2315
RNF111	-0.14025
PTH	0.3295
LOC619208	-0.722666666666667
KIAA0895	-0.27425
RANBP5	0.0925
P2RY10	0.5905
NME5	2.79383333333333
DDX21	-0.15175
LRSAM1	-1.113
HDAC11	-0.81
VMO1	0.76225
NOLA2	-0.171166666666667
ADAR	0.214
MTO1	-0.631
SF4	0.214333333333333
P2RX1	-0.386
HBM	-0.394
EN2	0.2315
C14orf172	0.26
TM9SF2	0.7394
INHBE	-0.3866
TCTE3	-0.0148333333333333
TOX2	-2.185
CTAGE3	-0.2245
HBB	3.5264
MED15	-0.505666666666667
CASR	-0.2145
C6orf66	0.7515
MTPN	-0.227875
UNC50	-0.2505
C21orf33	-0.20675
IRF2	0.901875
PGR	-1.7004
GPR84	1.09625
CROCCL1	-0.7795
SRPX	-2.5485
BRE	-0.3575
FGF10	0.31075
SDC3	0.27
ZRSR1	0.195166666666667
DKFZP434P211	-0.63675
SOX6	0.405
RPUSD2	0.1
C14orf173	-0.436083333333333
MAPK11	-0.2165
TBC1D22A	0.871
FAM123A	-0.446
COL4A6	-3.182
TOMM70A	0.73925
NAB1	-0.0920000000000001
MGC16385	-0.780625
TSPAN18	-0.824333333333333
MED31	0.55425
PLG	-0.07375
CAPSL	-0.873
ZNF532	0.8063
ASB14	0.66475
CA8	-2.57725
NUDT16P	2.3815
SLFN11	-0.6805
LRRIQ2	-0.700625
NOL7	-0.4325
BRMS1L	-0.9885
JARID1A	0.311333333333333
PANK2	-0.9415
ICAM3	-0.6485
MDS1	1.61625
TAF8	-0.29275
RNF139	0.584
ZNF594	-0.102833333333333
ADAM8	1.89525
SFTPC	-0.48325
MAN2B2	0.096375
RGS12	-0.0655
EIF1AY	-3.58909090909091
LRRIQ1	-0.6315
GPR150	0.09575
CCDC21	-1.92266666666667
PRRG3	-0.0855
SAA4	-4.02075
RAPGEF5	1.81675
ZCCHC2	0.277
MGC39372	-0.321
PPP4R2	-0.612833333333333
CDCA2	-1.77266666666667
OR4D5	-0.1215
PTGFRN	0.2996
SIGLEC5	1.4405
C19orf61	-0.5095
NMUR2	-0.379
KIAA1586	-0.588
DAGLA	1.45033333333333
CHCHD6	0.43025
GPR32	0.0885
NEUROD6	0.122333333333333
SLC2A4RG	-0.8775625
CA5B	0.988
FBXL3	0.8765
MPHOSPH9	-0.9605
HMG2L1	0.37275
HCN4	-0.0493333333333333
CEACAM19	0.59475
SH2D4B	0.0226666666666667
HFE2	0.0995
TGM4	0.4175
LYPD2	-0.578
TBC1D15	-0.29625
MRPS21	-1.428
NONO	-0.5107
CLEC5A	1.191875
ITCH	0.1407
MGAT3	0.682333333333333
MBP	-0.0262499999999999
RPP25	0.73525
SOSTDC1	2.171
HRC	-2.1055
TRIM48	-0.0965
TMEM133	0.731
ECEL1P2	-0.283
HOXC11	0.251
DOK5	-0.42875
HELZ	0.184333333333333
LOC348180	-0.75975
MGC33894	-0.38125
ADRB3	-0.446
DMD	0.1995
PTRH2	0.29825
MPEG1	1.59483333333333
NDUFA12	0.593333333333333
KRTAP2-4	-0.181
STAMBPL1	1.67166666666667
ADCY2	0.2155
UNQ6125	0.8945
KLHL20	0.0246666666666667
SRM	-1.689
OTC	4.84425
TMIE	-0.2555
SNX8	-0.31275
LIPK	0.419
CHURC1	-0.42925
KLC2	-0.266
HDAC1	0.325
FAM128A	-0.119333333333333
FNDC3B	-0.0594
MTCP1	-0.772333333333333
WFDC10B	0.495
PCDHGB3	0.301
ATRNL1	-1.60466666666667
CAV2	-0.269875
MED26	0.244333333333333
DUS1L	0.606
CHRM3	-0.06375
NEK9	-0.10125
WARS2	0.03475
TBX22	-0.0825
TOMM40	-0.43875
RP6-213H19.1	0.233833333333333
TUBGCP5	-0.616
IGSF6	3.38475
TPPP	0.754
UNQ6190	0.688
GSTM5	0.4055
BTD	-0.944833333333333
PDCD1LG2	-0.119
SNRPB2	-0.227833333333333
ERICH1	0.508125
APOA4	-0.1165
HOXA11	0.24675
NARG1	0.728625
MKX	1.32325
RAB28	-0.694214285714286
PKP3	1.71075
SH3GL2	-1.549
CTSO	1.60475
RPN2	0.6155625
IL28RA	0.536666666666667
SFMBT1	-0.68075
WDR57	-0.738625
FER1L3	0.9685
HSF5	0.0595
TTC9B	0.64875
C4BPA	-1.2165
ALB	-4.64
SORBS3	-0.6365
UPF2	1.2255
JPH1	1.3925
AGBL2	-0.52025
DOPEY1	2.3495
TERF1	0.3985
KIF22	-1.33183333333333
NINJ1	-0.3795
SEC61A2	-0.0464166666666667
HIST1H1D	-2.199
SFXN4	1.009875
UCP3	-0.1758
ZNF703	0.278666666666667
MYL6B	-1.4725
TREM1	3.06525
OR52E6	0.2275
CKMT2	3.83275
HLA-C	2.058
SLC13A3	-1.37416666666667
TIMP4	-0.73175
SLIT2	1.28525
RSF1	-0.762888888888889
LONRF1	-1.14514285714286
MON1A	0.105833333333333
CACNG6	-1.85233333333333
DPPA4	-6.53633333333333
ZSWIM3	1.1875
ZNF804A	0.101166666666667
CCIN	0.07725
SLC25A31	0.65175
KCNMB4	1.56425
RABL5	-0.42475
GALNS	-0.0487
STX6	0.84125
HIST1H1C	-4.82616666666667
CIDEB	-0.221375
CASP4	1.85283333333333
PDK3	-0.2738
KCNJ11	-0.3275
TPR	-0.536625
ZSCAN20	-0.2595
MTX2	0.4335
HIST1H2BH	-2.02775
LOC283767	0.8875
LYRM7	-0.499277777777778
BRD3	0.118166666666667
HIST1H2BO	-1.97775
MAGEB10	0.478
SLC45A1	-0.76075
SERPINA3	-3.6746
KIAA0143	1.30825
KCNJ16	1.291
KRT79	0.319
FABP2	1.2855
NUT	0.25
ZNF57	2.03675
FBXL4	-0.143875
CLEC9A	-0.262
UGT8	1.284
BMP2K	0.48875
MAPK4	-3.6355
SLC25A23	-0.2202
HINT1	0.0762
KRTAP13-1	-0.6815
SFXN5	-0.6736
CHCHD2	0.283416666666667
FAM3D	3.4705
NDP	-1.765125
RHOBTB1	0.334833333333333
SLC4A4	0.413625
RPL38	0.43625
HTF9C	-0.7595
AP2A2	-0.1935
ZBTB46	-0.7125
MAP7D1	-0.410125
AOX1	-2.49566666666667
CYR61	-1.46683333333333
DTNA	-1.45585714285714
JRKL	1.0275
TMOD3	-0.54175
EEA1	0.3303
ADCK5	0.76325
IL1R1	0.838166666666667
KLK3	-0.178214285714286
HRSP12	0.7385
KTN1	-0.1775
LOH11CR2A	1.4073
RELL2	-1.16225
MAB21L1	-0.00450000000000003
C20orf59	-0.820333333333333
PHKB	0.0745
ADAM2	-0.5212
TBC1D8B	1.77783333333333
FAM13A1	0.6588125
LAPTM4B	-0.857916666666667
LCN8	-0.667
TMEM147	0.1125
SYT4	0.7675
XPO7	-1.1605
C9orf62	0.2
GPR75	-0.1505
TRIM5	0.63025
APOC1	-0.316
RNASE4	0.00749999999999999
PARD6B	-1.213
ARID1A	-0.799666666666667
TPD52L3	0.0864
RRAGB	0.0325
RCN2	-0.8435
HIST2H2BE	-1.64953333333333
STARD7	0.6195
SHMT2	-0.6725
KIAA1751	-0.038
MLYCD	0.936625
LOC162632	-0.7356
UQCRH	-0.6135
RP11-217H1.1	0.20125
SDHA	-1.15066666666667
NCLN	0.4797
ZNF17	0.215
RCBTB2	-1.69475
VEGFB	-1.1798
RP4-747L4.3	1.10425
COLQ	-0.3206
MPN2	-0.755
DRG2	-1.14325
KLRB1	4.2315
ALPK2	-1.273
DNASE2B	0.1085
FLJ23834	0.2415
AXUD1	-0.887
SAFB	0.192
NSUN4	-0.4355
RFX2	-0.553666666666667
MAPK8IP1	-0.265
FANCD2	-1.51978571428571
ANKZF1	-0.893833333333333
C19orf50	-0.735
DUSP8	1.23375
SENP5	0.357875
NFKBIL2	0.111
LBR	0.63725
IGFL1	-0.869
LZTS2	-0.8965
IL2RG	-0.239875
CCDC51	-0.2725
KLF3	0.758125
ANKRD37	-0.87025
KCTD14	1.50783333333333
FZR1	0.086
SLC44A4	3.0124
ESPL1	-1.40475
GMPR2	-1.4062
TBC1D19	-0.965333333333333
ERGIC1	0.34262962962963
ERBB4	-1.1844
TSPAN32	0.29825
MAP4	-0.700125
GPHN	-0.85375
SLC6A2	-0.4795
HIVEP1	0.5215
DFFB	0.8223
EIF4EBP2	0.741375
DMRT1	1.01225
HSPB6	-0.5695
IER2	0.2645
AIFM1	0.38775
WWC2	-0.394636363636364
MRPL4	0.000749999999999994
FLJ21062	0.8645
EPB41L4A	0.554916666666667
SH2D6	-0.141
TAF4B	-0.8655
GAL3ST3	-0.534
MALT1	-0.495166666666667
RTDR1	0.444
ARVCF	-0.690875
MEX3B	-0.6515
FBXO16	-0.117
KIF7	-1.86675
C1QC	4.09966666666667
ZNF783	-0.0295
ZNF85	-1.34475
MMP13	0.715
KIAA0329	-0.160875
RTP3	-0.532
ZBED3	0.28125
CLGN	-5.322
SLC25A37	-0.87725
hCG_18290	-0.33875
OR5AS1	0.046
SMARCC2	-0.321833333333333
FAM109A	0.649833333333333
CCDC12	-0.40625
USF2	-0.3089
DEPDC7	1.12375
C20orf24	1.12483333333333
JMJD3	0.111
DSP	0.640785714285714
SLIC1	-0.267625
FAM20A	-0.3165
IRF2BP2	0.861125
ZNF230	-0.6125
MSN	-0.452642857142857
SLC9A5	-1.844
