Hybridization REF	TCGA-AA-A00E-01A-01R-A002-07
OGFRL1	-0.289
KIAA0831	-0.56775
PPP1R15A	-0.7685
C1orf96	0.471
C12orf11	-0.6625
BMF	-0.150625
MAN1A1	0.28
KIAA1600	0.347166666666667
NLGN4X	-0.82375
ALOX12	-1.31716666666667
RB1CC1	-0.7412
NEIL2	0.5302
EIF4E	0.575272727272727
ABHD5	0.135
EXOC4	0.0148333333333333
CIP29	0.124666666666667
BATF2	3.34275
SLC29A4	-1.513625
HTR4	1.41875
EMB	-1.746
TRAF6	0.7775
LMNB1	1.02525
FAM19A5	-1.377875
SHE	0.99875
PIK3C2B	2.16725
C15orf15	-1.0172
USP15	0.2288
TCEAL2	-0.82725
C5orf39	-0.738833333333333
PTGER2	0.96025
SLC31A1	0.557375
IFT172	0.682
ADAM29	0.4215
GFOD1	0.13525
ST7L	1.08016666666667
C15orf26	-2.67625
PKN3	-1.5305
CNTD1	3.765
COMMD1	-0.137875
NTRK2	0.772583333333333
FOXN3	-0.4455
MFGE8	-1.3445
PFKFB2	0.783833333333333
TAS2R4	0.10125
ENTHD1	0.270833333333333
PRMT5	-0.3005
MGC16384	-1.014
LOC442229	-0.18275
TSKU	0.120875
KRTCAP3	4.215125
PDLIM1	1.0781
KCNS2	0.2855
RNF126	0.3275
CEP63	-0.66275
CLIC4	-0.362
hCG_1990170	0.32525
ACR	0.6356
KLK7	-0.44875
ALOX5AP	2.420375
RIPK3	3.607
TAS2R9	0.148
C19orf18	-1.1515
BIRC6	-0.128571428571429
ZNF16	0.3425
RFT1	0.20225
SLC8A2	-0.976
TACC1	1.511375
ITGAD	0.9405
SAMHD1	2.39475
SH3PXD2B	0.7306
EPC2	0.2645
C20orf85	0.00787500000000001
ATP13A2	-0.285166666666667
KRT4	0.457625
CAPNS1	-0.08025
MDM2	0.349
PCDH20	3.40475
KCNK9	0.419
OR2C1	-0.11
KLHDC3	-1.10566666666667
IPPK	0.8025
EFHD2	1.035
GALR3	0.06
NBEA	-2.95733333333333
ABCA6	1.3386
CLDN3	1.464
AKT2	-0.0825
EGFR	-0.2019
RBM16	0.235
ZDHHC3	1.6571
SLC25A4	0.2485
CYB5B	0.509666666666667
CPXM1	-1.418
NDRG1	-0.722076923076923
FLJ43826	0.16
OR5L2	0.0858
FARP2	0.8339
MRPL46	-0.448333333333333
LDHAL6B	0.0958333333333333
MAPKAPK3	-0.118166666666667
NCAM2	-2.445
PRKD2	0.302
ZFP36L1	0.1539
CYSLTR1	-0.8535
OR4C3	0.122
HIST1H2AJ	0.4255
CCNB2	-0.676777777777778
ZNF10	0.7125
TMEM175	-0.166
FAM134A	-0.114666666666667
TIGD4	0.7375
PCNP	-0.316
MGC39715	-0.10425
LQK1	-0.13775
CREB1	0.1568
TMPRSS3	1.032
C4orf32	0.38425
LAT	-1.721
KCNA3	-0.4275
SKIV2L2	-0.729
ROPN1B	-5.1345
tcag7.23	-0.4225
CDT1	-1.675
ZHX2	0.213
CD28	-2.939
ZNF624	0.5375
SEPT2	0.48075
SOHLH2	-2.660375
MCOLN3	0.73475
UNQ1945	0.282
MASP2	0.121
ZNRF3	-0.5383
GPATCH3	-0.513
AGL	0.084
QRICH2	-0.1925
PSD4	-0.156666666666667
CCNB1IP1	-1.1285
ENPP7	-0.00950000000000001
OBFC1	0.35575
KCNG3	-1.86975
C14orf79	-0.31825
ENPEP	0.943333333333333
SCT	0.2705
SKI	0.7405
SEC61G	0.25325
CAPN11	0.22525
ATXN7L3	0.12425
DBNDD1	0.277166666666667
FAIM	0.5275
ANKRD36	-0.2925
GABRP	0.00483333333333333
TACSTD2	-3.568
EIF3J	-0.247
PPP2R2A	0.6905
TEKT4	-0.877666666666667
PVALB	-4.12633333333333
F10	-3.166
FAM134C	0.2706
COMP	1.3415
EFCBP1	-3.3720625
SCLT1	0.479625
TAL1	-1.6102
ACSL1	1.09325
ABCC5	-0.932083333333333
ABL1	-0.445111111111111
RBBP7	-0.337
PTPRG	0.736875
NCOR1	0.3082
SPINK4	4.72733333333333
TXNRD1	-0.3361
TNRC15	0.870375
C9orf138	0.054875
UBE2H	0.756333333333333
BRDT	-0.277
C8orf31	-0.18475
CCNE2	-0.0907272727272727
SLC6A8	-0.644375
CALCR	-5.204
PPP1CB	0.611333333333333
ABHD8	-1.22025
ARF5	-0.065
SLC24A4	0.54625
CCT3	-0.10925
ZNF121	0.66775
SLC3A2	-0.1854
OR13A1	0.0075
SLC5A10	-0.07175
RAD50	0.185125
IER5	0.09875
MTHFD1L	-0.477625
MBTPS2	0.18
MVK	-0.130375
NCL	0.3923
PSMD10	-0.375
MOBP	0.197625
FLJ32894	0.5105
HRH1	1.72866666666667
C5orf30	0.5275
NUDT16L1	-0.1767
RASGRP3	3.14066666666667
PRKRIP1	-0.2219
CCDC75	0.69525
LOC253970	0.072
KIAA1239	0.90375
MED21	-0.0495
SYT11	0.135666666666667
NTSR2	-0.7705
EGFL11	-0.1065
CXorf59	0.439
OR2A25	-0.320333333333333
SPTBN2	-0.20275
LRMP	-1.10016666666667
RNF111	0.50525
PTH	0.1895
LOC619208	-0.944666666666667
KIAA0895	0.64925
RANBP5	-0.1525
P2RY10	1.14083333333333
NME5	-1.29833333333333
DDX21	0.15425
LRSAM1	-0.6695
HDAC11	0.0673333333333333
VMO1	1.67925
NOLA2	-0.521
ADAR	0.7125
MTO1	-0.26
SF4	-0.5395
P2RX1	0.693333333333333
HBM	0.1245
EN2	0.3045
C14orf172	-0.0075
TM9SF2	0.9561
INHBE	-0.669833333333333
TCTE3	0.596333333333333
TOX2	-2.61925
CTAGE3	0.687
HBB	3.4491
MED15	-1.16583333333333
CASR	0.34
C6orf66	0.289833333333333
MTPN	-0.73175
UNC50	-0.163
C21orf33	-0.403125
IRF2	1.079125
PGR	-3.3075
GPR84	2.39425
CROCCL1	-1.49125
SRPX	-1.19775
BRE	0.301166666666667
FGF10	0.08475
SDC3	-0.568333333333333
ZRSR1	-0.243666666666667
DKFZP434P211	-0.636375
SOX6	-0.189
RPUSD2	0.11775
C14orf173	0.657916666666667
MAPK11	-0.592166666666667
TBC1D22A	0.513
FAM123A	-0.885
COL4A6	-3.73416666666667
TOMM70A	-0.44675
NAB1	0.305
MGC16385	-0.9385
TSPAN18	-1.28683333333333
MED31	0.25275
PLG	-0.222
CAPSL	0.099
ZNF532	-0.1378
ASB14	0.981
CA8	1.29025
NUDT16P	3.08183333333333
SLFN11	-1.1185
LRRIQ2	-0.137875
NOL7	0.0168333333333333
BRMS1L	-0.468
JARID1A	-0.100333333333333
PANK2	-0.38175
ICAM3	-0.91175
MDS1	2.2175
TAF8	-0.856
RNF139	-0.23175
ZNF594	0.948166666666666
ADAM8	1.866625
SFTPC	-0.3505
MAN2B2	0.5575
RGS12	0.3600625
EIF1AY	0.970166666666667
LRRIQ1	-2.03516666666667
GPR150	0.47425
CCDC21	-0.622333333333333
PRRG3	0.48525
SAA4	-4.584
RAPGEF5	1.8695
ZCCHC2	0.873333333333333
MGC39372	0.0995
PPP4R2	0.724333333333333
CDCA2	0.243333333333333
OR4D5	1.34333333333333
PTGFRN	1.8451
SIGLEC5	0.7815
C19orf61	-0.414
NMUR2	0.4165
KIAA1586	-0.4815
DAGLA	0.888
CHCHD6	-0.44775
GPR32	0.632
NEUROD6	0.2175
SLC2A4RG	-1.074375
CA5B	-0.32975
FBXL3	0.9535
MPHOSPH9	-0.21875
HMG2L1	-0.11125
HCN4	0.289333333333333
CEACAM19	0.29225
SH2D4B	0.274166666666667
HFE2	-0.4145
TGM4	0.560666666666667
LYPD2	0.4185
TBC1D15	0.17475
MRPS21	-0.6788
NONO	-1.3543
CLEC5A	2.313125
ITCH	-0.2954
MGAT3	0.698833333333333
MBP	0.502375
RPP25	1.21425
SOSTDC1	-0.4925
HRC	-2.551
TRIM48	0.404
TMEM133	0.4055
ECEL1P2	-0.646
HOXC11	1.3985
DOK5	-1.53675
HELZ	-0.444833333333333
LOC348180	-0.247
MGC33894	0.12175
ADRB3	0.086
DMD	-0.59575
PTRH2	-0.34275
MPEG1	3.46233333333333
NDUFA12	-0.2005
KRTAP2-4	-0.113416666666667
STAMBPL1	1.27733333333333
ADCY2	-1.3014
UNQ6125	-0.3905
KLHL20	-0.00366666666666667
SRM	-0.8385
OTC	3.689
TMIE	0.1545
SNX8	-0.02225
LIPK	0.4815
CHURC1	-0.6465
KLC2	0.0153333333333333
HDAC1	0.527
FAM128A	-0.0678333333333333
FNDC3B	0.5422
MTCP1	-0.166333333333333
WFDC10B	0.5441
PCDHGB3	0.7415
ATRNL1	-2.74244444444444
CAV2	0.481125
MED26	0.022
DUS1L	0.456
CHRM3	-0.0665
NEK9	0.68675
WARS2	0.32875
TBX22	-0.3865
TOMM40	-0.111
RP6-213H19.1	-0.0145
TUBGCP5	0.1675
IGSF6	4.7865
TPPP	1.01716666666667
UNQ6190	0.0195
GSTM5	-0.110125
BTD	-0.732666666666667
PDCD1LG2	0.772333333333333
SNRPB2	-0.725666666666667
ERICH1	-0.001625
APOA4	-1.819875
HOXA11	2.6855
NARG1	0.4
MKX	-0.64775
RAB28	0.408714285714286
PKP3	2.21425
SH3GL2	-3.17
CTSO	1.596
RPN2	0.8584375
IL28RA	1.11316666666667
SFMBT1	1.36175
WDR57	0.251875
FER1L3	-0.734416666666667
HSF5	0.2675
TTC9B	1.09625
C4BPA	-1.00983333333333
ALB	-4.50057142857143
SORBS3	0.271125
UPF2	0.8765
JPH1	1.397
AGBL2	-1.4235
DOPEY1	1.95
TERF1	0.474666666666667
KIF22	-1.3585
NINJ1	-0.42225
SEC61A2	-0.0414166666666667
HIST1H1D	0.208666666666667
SFXN4	0.543625
UCP3	0.2853
ZNF703	0.572166666666667
MYL6B	-1.5445
TREM1	2.82475
OR52E6	0.4845
CKMT2	-0.947
HLA-C	2.604375
SLC13A3	-1.50916666666667
TIMP4	-0.17725
SLIT2	-0.9825
RSF1	0.00866666666666666
LONRF1	-0.433857142857143
MON1A	-0.012
CACNG6	-2.112
DPPA4	-5.079
ZSWIM3	-0.18125
ZNF804A	-0.105666666666667
CCIN	0.25125
SLC25A31	0.733666666666667
KCNMB4	0.14075
RABL5	-0.2265
GALNS	-0.1319
STX6	0.23725
HIST1H1C	-2.76016666666667
CIDEB	-0.998
CASP4	0.868666666666667
PDK3	0.2254
KCNJ11	0.814
TPR	-0.3915
ZSCAN20	-0.587
MTX2	-0.087
HIST1H2BH	-0.72525
LOC283767	-0.63075
LYRM7	-0.475444444444444
BRD3	-0.437833333333333
HIST1H2BO	-1.48475
MAGEB10	0.146
SLC45A1	-0.407
SERPINA3	-1.46495
KIAA0143	0.38225
KCNJ16	1.7975
KRT79	0.1695
FABP2	1.87475
NUT	-0.357
ZNF57	1.30275
FBXL4	-0.115125
CLEC9A	0.6685
UGT8	4.139
BMP2K	0.441
MAPK4	-4.0115
SLC25A23	0.0448
HINT1	0.2381
KRTAP13-1	1.061
SFXN5	-0.4744
CHCHD2	0.448083333333333
FAM3D	4.017
NDP	-3.68425
RHOBTB1	-0.238833333333333
SLC4A4	3.198625
RPL38	-0.3535
HTF9C	-0.925666666666667
AP2A2	0.050875
ZBTB46	-0.433
MAP7D1	-0.453
AOX1	-1.8005
CYR61	-0.680666666666667
DTNA	-1.96042857142857
JRKL	1.395
TMOD3	-0.16
EEA1	0.5192
ADCK5	-0.21925
IL1R1	0.7135
KLK3	0.227857142857143
HRSP12	-0.22425
KTN1	0.2295
LOH11CR2A	0.7892
RELL2	0.0115
MAB21L1	-0.04625
C20orf59	-0.124
PHKB	0.4365
ADAM2	-1.6798
TBC1D8B	2.53716666666667
FAM13A1	-0.1435
LAPTM4B	0.6625
LCN8	-0.032
TMEM147	-0.379
SYT4	1.17416666666667
XPO7	0.647
C9orf62	0.5835
GPR75	0.277
TRIM5	1.881625
APOC1	0.249166666666667
RNASE4	1.83883333333333
PARD6B	-2.62525
ARID1A	-0.00591666666666665
TPD52L3	0.3859
RRAGB	-0.411166666666667
RCN2	0.066
HIST2H2BE	-1.4095625
STARD7	0.36325
SHMT2	-0.00425
KIAA1751	-0.509333333333333
MLYCD	0.995125
LOC162632	-0.6147
UQCRH	-0.77325
RP11-217H1.1	0.7274375
SDHA	-0.700666666666667
NCLN	0.7162
ZNF17	0.741
RCBTB2	-2.089
VEGFB	-1.0653
RP4-747L4.3	-0.82025
COLQ	-0.1432
MPN2	-0.504833333333333
DRG2	-0.9705
KLRB1	4.4825
ALPK2	-1.69275
DNASE2B	1.403
FLJ23834	-0.107
AXUD1	0.183833333333333
SAFB	0.4986
NSUN4	0.596
RFX2	-0.101333333333333
MAPK8IP1	-0.859
FANCD2	0.0878571428571429
ANKZF1	-1.5305
C19orf50	-0.1315
DUSP8	0.6245
SENP5	0.229875
NFKBIL2	-0.19625
LBR	0.438125
IGFL1	-0.1235
LZTS2	-1.251625
IL2RG	0.676625
CCDC51	0.086
KLF3	1.48075
ANKRD37	0.74075
KCTD14	1.2535
FZR1	0.021
SLC44A4	3.7258
ESPL1	-0.834625
GMPR2	-0.7799
TBC1D19	-0.736666666666667
ERGIC1	0.773666666666667
ERBB4	-2.0222
TSPAN32	0.224833333333333
MAP4	0.086
GPHN	0.6275
SLC6A2	-0.208625
HIVEP1	-0.17725
DFFB	0.9032
EIF4EBP2	0.515
DMRT1	-0.0765
HSPB6	0.18575
IER2	0.5345
AIFM1	0.56725
WWC2	-1.83472727272727
MRPL4	-0.46925
FLJ21062	-0.217333333333333
EPB41L4A	-0.67975
SH2D6	0.06725
TAF4B	-0.65875
GAL3ST3	-0.311
MALT1	0.471666666666667
RTDR1	-0.00899999999999999
ARVCF	-0.620625
MEX3B	-1.12966666666667
FBXO16	2.5795
KIF7	-2.52175
C1QC	3.547
ZNF783	-0.0803333333333333
ZNF85	-0.6265
MMP13	1.474
KIAA0329	-0.080625
RTP3	-0.202
ZBED3	-0.8545
CLGN	-4.33175
SLC25A37	-0.807875
hCG_18290	-0.731
OR5AS1	0.5625
SMARCC2	-1.08108333333333
FAM109A	1.0535
CCDC12	-0.2175
USF2	-0.2748
DEPDC7	1.219
C20orf24	0.397666666666667
JMJD3	0.1895
DSP	0.996214285714286
SLIC1	0.475
FAM20A	0.72025
IRF2BP2	0.461375
ZNF230	0.1475
MSN	-1.28128571428571
SLC9A5	-1.3735
EPDR1	-2.0885
MUSK	0.594666666666667
ZNF434	0.178333333333333
SMARCD1	-0.054
ZFP106	-0.0565
ZNF347	-1.8182
