Hybridization REF	TCGA-AA-A00W-01A-01R-A002-07
PMF1	-0.75725
FNDC1	1.537
HS2ST1	0.262166666666667
CRELD2	-0.387
C8G	-1.1765
CD82	0.02
LIM2	-1.247
UNQ6490	-0.235
MMP16	-0.644
DRD3	0.17325
C5orf26	-0.4265
C11orf73	-0.273
PTP4A2	0.502125
OR4M2	1.281
HPCA	-0.738166666666667
SEC14L1	-0.229833333333333
CHFR	0.21575
EMILIN1	-0.87375
NDUFS4	0.219
COL18A1	-2.207125
PDZD3	3.1309
C9orf16	0.5975
ERBB2IP	-0.2165
EMX2	-0.34875
FUS	-0.6585
TF	-4.2168
CLCN4	1.33416666666667
CXorf56	0.634
C11orf72	0.42275
ELAC2	-1.23558333333333
NPR1	-2.0515
ASS1	0.349666666666667
USP42	-0.210875
POLR2J	-0.41
SEC23IP	0.992833333333333
UQCRC1	0.70325
LOC729603	0.703
C1orf71	-0.0348749999999999
POLG	-1.1495
ADAM23	-4.49775
TFR2	-1.512
RICTOR	-0.5167
MGC39606	-0.15825
C19orf55	-0.19675
SNAPC1	-2.15616666666667
GNA11	1.046125
CCDC52	0.1505
FSIP1	0.5285
UPF3A	0.6375
IGSF11	-2.94566666666667
LAGE3	-0.27375
CHST6	-1.7045
UNC13B	1.050375
TTLL4	-0.249
ZNF687	-0.1105
SDC2	-3.0214
COX7A2	0.66225
LAMB4	-0.10275
FAM24A	1.055
LRRTM3	-1.30083333333333
GPHB5	0.166
OR4C13	0.157
EIF3EIP	-0.206214285714286
HABP4	-0.6195
TMEM125	3.64375
CNTN2	-0.23575
ASNSD1	0.19275
FUT4	2.3585
ACF	1.43725
LOC158381	0.243
CDH8	-0.267666666666667
AGPS	0.3585
C4orf18	0.296625
PECI	-2.41941666666667
UNG	-0.331125
GSTP1	-0.218375
DCUN1D5	-0.683833333333333
DKFZP564J0863	-1.436
SLC9A3R1	-0.38625
BCDO2	1.101875
CHMP7	0.50125
REM2	1.0145
DNHD1	-0.403875
FKBP4	-0.611875
ZNF350	0.2465
MGC11102	-0.35175
BST1	-0.90525
KISS1R	-0.1275
NCR2	0.0715
DEFB125	0.62
UBE2W	0.58325
KRT15	-1.051625
C10orf99	2.7815
SCN11A	-0.102625
GFI1	-2.111
RDHE2	2.96
FHL1	-2.5425
OSGEP	-0.681833333333333
GATA1	-3.95766666666667
SMC6	-0.391
TTTY14	-0.95725
LPIN3	0.6355
RPL4	-0.1732
RBPMS	-0.4687
PRPF3	0.0588333333333333
EMR1	-2.723
SPATA19	0.18325
XCR1	0.1595
IRX3	-2.6653
RBM6	0.05275
KLF4	1.4819
UNC5CL	2.44625
SEBOX	0.299
BTK	-2.383
KRCC1	1.0155
C6orf27	0.1215
SYTL5	-0.712
PRND	-0.09775
LOC653319	-0.5425
PIGL	-0.7665
HUS1	0.0916666666666667
SFRS6	0.103
C17orf77	0.232
UIMC1	-0.18
FXYD2	-2.3575
LOC283152	1.416
ZNF667	-2.62375
ZCCHC12	-0.15325
TFEC	0.6462
ATP7B	1.11616666666667
POLD2	-1.192
RG9MTD1	0.7065
ACOT2	-1.4595
HIST1H4I	-1.506375
PPARGC1A	1.5299
ETFA	-0.4569
POLRMT	-0.46525
ZNF146	0.237625
MIA2	-0.081
KLHL6	-2.25133333333333
HOXB5	1.974375
NENF	-0.314666666666667
CUGBP1	-1.13975
PRSS22	0.959833333333333
CASC4	0.9121
CUL4B	0.3099
CENPJ	0.4767
PITX1	0.0223333333333333
FLJ31033	0.6835
CELSR3	0.457
ZNF568	-1.82
ITSN1	-0.633916666666667
EHBP1L1	-0.502833333333333
C19orf2	0.507
DCTN1	-0.72225
LIN28B	-4.04416666666667
TNKS2	0.597
C1QBP	-0.681375
CADPS2	0.95
SRMS	0.14475
GJA9	0.4945
MGC24975	-0.637833333333333
TRIM45	-2.78466666666667
TSP50	-0.15025
TCP1	0.088
TMED7	0.2097
CMA1	0.1155
CENPL	-0.490833333333333
PTCRA	-0.7415
FST	-5.2645
VWCE	-4.8285
PAWR	0.7165
ABCC12	0.149833333333333
LDLR	0.841
ASTN2	-0.408
LOC441212	-0.753375
GPATCH8	0.33
TANC2	-1.864
KIF4A	-0.755
C18orf18	-0.24975
PGM1	-0.4345
KIAA0258	0.89875
CPD	0.876875
SNCAIP	1.49325
DCT	-4.65383333333333
HLA-DOA	1.09781818181818
OR11L1	0.1315
UPK1B	-0.313
DNAJB4	-0.926375
UGT1A8	2.225
HIST1H4L	-1.089
PECR	-0.833166666666667
HSPA2	-0.6045
WFIKKN1	-1.667
SERP1	0.57625
SYDE2	0.74775
TACR2	0.0635
NUP85	-0.4415
CD177	-0.216833333333333
LGR5	-0.5745
PIGG	0.517
PTHR1	-3.28766666666667
RAB5A	0.7113
FLJ13224	0.2695
USP9Y	-1.1708
C7orf53	-0.518
LRP1B	-1.23166666666667
XAF1	1.475
ABCG8	-0.3725
ANKDD1A	-0.827166666666667
DAND5	-1.9385
SPAG6	0.158
LINCR	1.26875
ZDHHC22	-1.875125
CCDC60	1.056
THOC7	-0.293166666666667
TCTA	0.7254
OR8K3	0.25375
NY-REN-7	0.14925
B2M	1.088
C6orf141	-1.10225
LPPR4	-0.069
SQLE	-1.00225
SEPHS1	-0.75025
BTBD14B	0.0347857142857143
PLRG1	0.14275
SPG7	-0.320375
ZNF614	-0.435
PARD6G	-1.65816666666667
INPP5B	-0.512
GRPEL2	0.3365
PPID	-0.0948
TRIM56	0.04425
UBE2J1	0.409375
IL20RA	4.479
LOC387856	-0.25225
C1orf107	1.23416666666667
UTS2R	-0.195
C19orf22	0.715
SAFB2	0.116125
KIAA0652	-0.075875
KLRG1	-1.8555
MS4A8B	3.036
FRAG1	0.51
KIAA1546	0.19075
E2F4	0.1926
CLEC4M	-0.0856
BTBD14A	-0.862
KIAA0999	0.375
GYPA	-3.357
TAC1	1.7053
TRAIP	-0.753833333333333
KIAA0232	1.3161
ERCC8	-0.64725
GPX4	-0.965625
KIAA0368	0.396625
GPR157	0.0645
CTAGE4	1.9585
C9orf30	-1.503
OR52A1	0.3445
HSP90B3P	0.043
ALG9	-0.5648
BTBD10	1.166
SDK2	-0.28525
BAIAP3	-2.44325
RABGGTB	0.07975
ANKRD40	-0.2965
KRT74	0.306
CALCOCO2	0.953214285714286
SNCA	-4.33425
TMSL8	-6.36325
C2orf53	0.177
ESRRB	-0.29575
ARHGAP26	1.339625
TDRD9	-3.52875
HRAS	-0.441833333333333
KLRC4	-2.2285
JAGN1	-0.2955
BSDC1	0.261
RNF43	1.9416
NDUFAF1	-0.052
PHF12	0.636
OR1L3	0.413
FOLR2	0.736583333333333
LYZL6	0.684333333333333
tcag7.1260	-0.2445
WSB1	-1.3735
PROS1	0.7701
OSTN	-0.1435
PSMB8	1.60525
SOCS4	0.008125
DDIT4L	0.0835
MAS1	-0.0845
MGC34796	0.50775
CSHL1	-0.332666666666667
TBCCD1	-0.513833333333333
ZBTB7C	-0.4965
AP2S1	-0.902875
P15RS	-0.2365
VAT1	-2.2819
SHANK3	-0.2665
TUFM	-0.00566666666666666
THEG	-0.9425
KRT34	-1.82475
SGSM3	-0.454
TOMM22	0.169375
SOCS3	0.656666666666667
CPO	0.222
POP4	0.4175
BHLHB3	0.37675
MALL	3.31475
OR1B1	0.3195
PARK2	1.298
GPR124	-0.9685
LCE1E	-0.2825
RUVBL2	-0.37525
CGRRF1	-0.9477
ACPL2	-0.1515
WNT10B	-2.467625
BAIAP2L2	1.782
ISCA1	0.383
C1orf125	2.253
RPAP1	-0.7755
RAI16	-0.244
RPL27	-0.091625
NLRP9	-1.0175
EPN1	0.5275
LOC388610	-3.561
SLC35A1	1.2839
GAL	-3.23025
SLC14A2	0.15
RDH11	-1.49816666666667
FAM138F	0.032
AUH	0.5315
FLJ40243	0.10975
C14orf129	1.4095
MBD2	-0.682333333333334
ABHD14B	1.021625
PIGT	1.14675
ALS2CR4	-0.652625
ALAS1	1.0166
FOXO1	1.66416666666667
CRLF3	0.20075
C20orf107	-0.0335
FARS2	-0.064
CCDC28A	0.536
NPHP3	-0.99275
OR13F1	0.1285
TSEN54	0.038
DEFB106B	0.0582
OR8B4	-0.6185
STH	-1.603
ZC3H14	-1.045875
CBX2	-0.168
TMEM49	0.05275
C6orf21	0.3545
FLJ20920	-0.018875
CRTAP	-0.0415714285714286
DDX50	-0.13875
STYXL1	-0.62825
BLVRB	-1.12333333333333
LOC147650	-2.039
MMP24	0.40875
GRID1	0.117333333333333
BANF1	-0.4465
CTAGEP	0.5285
HMBS	-0.78325
SLC25A24	1.12316666666667
C14orf50	2.05375
MRO	-0.879333333333333
SLC25A15	0.36825
FAM84B	1.4248
TDP1	-0.73
C16orf78	0.633333333333333
C11orf57	-0.00787499999999999
RFK	0.560625
ZFYVE9	0.20525
STCH	-0.8437
WIBG	0.000250000000000002
LOC283871	-0.438333333333333
GBA2	0.0568
NDUFB3	0.26375
HSD17B13	-0.15275
GRIN3A	1.3048
FMNL1	-2.33616666666667
SEPT7	-0.5887
GNLY	3.6445
GRAMD1C	0.816166666666667
ZNF165	0.6095
USP38	1.7445
FAM83A	-3.1815
C14orf24	-0.11575
ARMCX3	1.28325
ARHGDIB	-0.734
AK1	0.278625
KIAA1045	-0.31525
DNAJB13	-0.436666666666667
NEU2	0.088
HIST1H4B	-1.1295
FAM20B	-0.5082
HES2	1.08378571428571
FAM73B	-0.2456
LOC388381	0.20525
INTS7	-0.105090909090909
AMPH	-0.757
ZNF775	-1.024
UCKL1	0.174
C10orf97	0.60875
C1orf161	1.209
ALDH1L1	1.93775
FLJ39378	-1.296875
SLC23A1	-0.1435
RBM4B	-0.45925
THAP4	0.3305
OGFRL1	-2.02175
KIAA0831	-1.06875
PPP1R15A	-0.6565
C1orf96	-0.619285714285714
C12orf11	-0.66325
BMF	-0.6905
MAN1A1	-1.085
KIAA1600	0.06
NLGN4X	-2.0115
ALOX12	-1.39616666666667
RB1CC1	-0.1156
NEIL2	0.5066
EIF4E	0.553636363636364
ABHD5	-0.32
EXOC4	0.362333333333333
CIP29	-0.533666666666667
BATF2	3.4695
SLC29A4	-1.808625
HTR4	3.486
EMB	-2.80675
TRAF6	1.02075
LMNB1	0.57375
FAM19A5	-2.442625
SHE	0.574
PIK3C2B	2.02225
C15orf15	-0.0291
USP15	0.1145
TCEAL2	-1.8805
C5orf39	-2.658
PTGER2	-1.25425
SLC31A1	0.233375
IFT172	1.71625
ADAM29	-0.242
GFOD1	0.29075
ST7L	0.289833333333333
C15orf26	-3.57875
PKN3	-2.26725
CNTD1	1.02566666666667
COMMD1	-0.553125
NTRK2	0.8845
FOXN3	-0.561375
MFGE8	-2.3665
PFKFB2	1.77783333333333
TAS2R4	0.60675
ENTHD1	-0.215333333333333
PRMT5	-1.256625
MGC16384	-0.079625
LOC442229	-0.6595
TSKU	-0.192375
KRTCAP3	3.171625
PDLIM1	1.1755
KCNS2	0.07725
RNF126	0.372
CEP63	-0.303125
CLIC4	-0.601625
hCG_1990170	2.252
ACR	2.068
KLK7	-0.1815
ALOX5AP	0.57675
RIPK3	3.784
TAS2R9	0.2625
C19orf18	1.472
BIRC6	0.381428571428571
ZNF16	0.3105
RFT1	-0.223
SLC8A2	-0.6505
TACC1	1.526125
ITGAD	0.54175
SAMHD1	1.406
SH3PXD2B	0.4925
EPC2	0.63375
C20orf85	0.362125
ATP13A2	0.201666666666667
KRT4	0.20375
CAPNS1	0.08175
MDM2	-0.473583333333333
PCDH20	4.52225
KCNK9	0.153
OR2C1	-0.217
KLHDC3	-0.802833333333333
IPPK	0.568
EFHD2	0.778125
GALR3	-0.178
NBEA	-3.8685
ABCA6	0.606
CLDN3	2.577
AKT2	-0.110214285714286
EGFR	0.1216
RBM16	0.563625
ZDHHC3	1.2783
SLC25A4	0.2755
CYB5B	1.18133333333333
CPXM1	-2.366
NDRG1	-1.70146153846154
FLJ43826	0.064
OR5L2	0.2325
FARP2	0.7056
MRPL46	-0.445916666666667
LDHAL6B	-0.118666666666667
MAPKAPK3	-0.171333333333333
NCAM2	-3.691
PRKD2	-0.00966666666666667
ZFP36L1	0.0573
CYSLTR1	-1.9765
OR4C3	0.71475
HIST1H2AJ	0.542
CCNB2	-1.14911111111111
ZNF10	0.03525
TMEM175	-0.3005
FAM134A	0.19
TIGD4	1.7795
PCNP	-0.2835
MGC39715	0.34225
LQK1	-1.19375
CREB1	0.2944
TMPRSS3	-0.0035
C4orf32	0.396875
LAT	-2.37325
KCNA3	-0.531
SKIV2L2	0.23125
ROPN1B	-3.8625
tcag7.23	0.0685
CDT1	-1.951125
ZHX2	-0.1955
CD28	-3.5575
ZNF624	-0.631
SEPT2	-0.308666666666667
SOHLH2	-2.63425
MCOLN3	-1.24085714285714
UNQ1945	0.114
MASP2	-0.9585
ZNRF3	1.3991
GPATCH3	-0.43625
AGL	0.90875
QRICH2	-0.253
PSD4	0.369833333333333
CCNB1IP1	-0.6395
ENPP7	-0.00325000000000002
OBFC1	0.684
KCNG3	-2.904
C14orf79	-0.187083333333333
ENPEP	0.129
SCT	0.508
SKI	0.54625
SEC61G	-1.09225
CAPN11	-0.655
ATXN7L3	0.39125
DBNDD1	-0.387666666666667
FAIM	0.434
ANKRD36	-0.422
GABRP	-0.350166666666667
TACSTD2	-1.30116666666667
EIF3J	0.24125
PPP2R2A	0.66125
TEKT4	-0.297333333333333
PVALB	-4.508
F10	-2.3615
FAM134C	0.5219
COMP	-1.0025
EFCBP1	-4.049
SCLT1	0.7855
TAL1	-1.7713
ACSL1	-0.0365
ABCC5	0.0846666666666667
ABL1	-0.363722222222222
RBBP7	0.182416666666667
PTPRG	1.085375
NCOR1	-0.1329
SPINK4	3.29633333333333
TXNRD1	-0.2488
TNRC15	0.985625
C9orf138	0.221875
UBE2H	0.314
BRDT	-0.305833333333333
C8orf31	-0.2425
CCNE2	-0.556727272727273
SLC6A8	-2.053625
CALCR	-4.84975
PPP1CB	0.552916666666667
ABHD8	-1.6425
ARF5	-0.3704
SLC24A4	0.312
CCT3	-0.08275
ZNF121	0.31425
SLC3A2	-0.6887
OR13A1	0.0355
SLC5A10	-0.3025
RAD50	1.31625
IER5	-0.667375
MTHFD1L	-0.511625
MBTPS2	-0.927
MVK	-0.036625
NCL	0.3283
PSMD10	-0.031
MOBP	-0.0465714285714286
FLJ32894	0.0695
HRH1	1.4355
C5orf30	0.962
NUDT16L1	0.0388
RASGRP3	2.26716666666667
PRKRIP1	-0.6167
CCDC75	0.11075
LOC253970	-0.14975
KIAA1239	2.1915
MED21	-0.676
SYT11	-0.694083333333333
NTSR2	-0.6525
EGFL11	-0.2965
CXorf59	0.254
OR2A25	0.41475
SPTBN2	-0.85525
LRMP	-1.94833333333333
RNF111	0.02875
PTH	0.383
LOC619208	-0.845333333333333
KIAA0895	-0.4535
RANBP5	0.527625
P2RY10	0.328833333333333
NME5	-1.06966666666667
DDX21	0.53
LRSAM1	-0.28
HDAC11	0.461333333333333
VMO1	0.21825
NOLA2	0.0621666666666667
ADAR	0.197416666666667
MTO1	0.263166666666667
SF4	-0.0156666666666667
P2RX1	-0.00866666666666666
HBM	-0.10075
EN2	0.163
C14orf172	-0.12775
TM9SF2	1.4675
INHBE	-0.879166666666667
TCTE3	-0.245666666666667
TOX2	-3.4985
CTAGE3	0.316875
HBB	4.023
MED15	-1.37
CASR	0.09575
C6orf66	1.11533333333333
MTPN	-0.288625
UNC50	0.02075
C21orf33	-0.222125
IRF2	0.791
PGR	-3.55316666666667
GPR84	0.75575
CROCCL1	-0.8335
SRPX	-3.82975
BRE	0.592333333333333
FGF10	1.0415
SDC3	-0.597833333333333
ZRSR1	0.0918333333333333
DKFZP434P211	-0.633125
SOX6	-0.497
RPUSD2	-0.083
C14orf173	-0.347416666666667
MAPK11	-1.0095
TBC1D22A	-0.159
FAM123A	-0.417
COL4A6	-2.13283333333333
TOMM70A	0.779
NAB1	-0.000250000000000021
MGC16385	-0.882375
TSPAN18	-1.44933333333333
MED31	-1.1865
PLG	-0.55025
CAPSL	0.7645
ZNF532	-1.0378
ASB14	-0.8195
CA8	-1.20125
NUDT16P	3.03666666666667
SLFN11	-2.8715
LRRIQ2	-0.498375
NOL7	-0.2345
BRMS1L	-1.128
JARID1A	0.097
PANK2	-1.16875
ICAM3	-0.44675
MDS1	1.76025
TAF8	-0.00100000000000001
RNF139	0.0905
ZNF594	-1.5965
ADAM8	-0.68675
SFTPC	-0.496
MAN2B2	0.90175
RGS12	-0.1251875
EIF1AY	-2.45041666666667
LRRIQ1	-1.39816666666667
GPR150	-0.05225
CCDC21	-0.689833333333333
PRRG3	0.0495
SAA4	-1.34425
RAPGEF5	2.899625
ZCCHC2	-0.417
MGC39372	-0.262
PPP4R2	0.352833333333333
CDCA2	-0.635166666666667
OR4D5	0.938666666666667
PTGFRN	1.2512
SIGLEC5	0.397833333333333
C19orf61	-0.875166666666667
NMUR2	0.309
KIAA1586	-1.11983333333333
DAGLA	1.89616666666667
CHCHD6	-0.2615
GPR32	0.77
NEUROD6	0.232666666666667
SLC2A4RG	-1.0938125
CA5B	-0.4905
FBXL3	1.23275
MPHOSPH9	-0.7735
HMG2L1	0.31325
HCN4	-0.0318333333333333
CEACAM19	1.126
SH2D4B	-0.108833333333333
HFE2	-0.668
TGM4	0.103166666666667
LYPD2	0.2025
TBC1D15	-0.09225
MRPS21	-2.6933
NONO	-0.3295
CLEC5A	-0.2065
ITCH	0.4893
MGAT3	-1.89416666666667
MBP	-0.60675
RPP25	-0.29475
SOSTDC1	0.9985
HRC	-2.1845
TRIM48	-0.1805
TMEM133	0.79475
ECEL1P2	-0.69325
HOXC11	-1.378
DOK5	-2.76225
HELZ	-0.125166666666667
LOC348180	-0.38925
MGC33894	0.402
ADRB3	-0.1595
DMD	-0.1675
PTRH2	-0.06925
MPEG1	2.28266666666667
NDUFA12	0.603666666666667
KRTAP2-4	0.2135
STAMBPL1	0.994333333333333
ADCY2	-1.9312
UNQ6125	0.093
KLHL20	-0.2545
SRM	-1.0455
OTC	1.182
TMIE	0.0221666666666667
SNX8	-0.522
LIPK	0.58
CHURC1	-0.651333333333333
KLC2	-0.123666666666667
HDAC1	1.0875
FAM128A	-0.0993333333333333
FNDC3B	1.0467
MTCP1	0.047
WFDC10B	1.637
PCDHGB3	-0.485
ATRNL1	-2.8434
CAV2	-1.76075
MED26	0.157166666666667
DUS1L	0.90575
CHRM3	0.5275
NEK9	0.084
WARS2	0.74
TBX22	-0.5475
TOMM40	-0.1075
RP6-213H19.1	0.355833333333333
TUBGCP5	-1.2115
IGSF6	2.378
TPPP	0.472333333333333
UNQ6190	0.242
GSTM5	-0.382625
BTD	-0.390166666666667
PDCD1LG2	-0.614833333333333
SNRPB2	0.266666666666667
ERICH1	0.571375
APOA4	-1.79075
HOXA11	1.2115
NARG1	0.32375
MKX	-0.6695
RAB28	0.146285714285714
PKP3	2.16375
SH3GL2	-2.6825
CTSO	2.9215
RPN2	0.90225
IL28RA	1.6565
SFMBT1	0.2725
WDR57	-0.792625
FER1L3	-0.159583333333333
HSF5	0.125833333333333
TTC9B	-0.1395
C4BPA	1.56316666666667
ALB	-4.39438461538461
SORBS3	0.221875
UPF2	0.6985
JPH1	1.677
AGBL2	0.162
DOPEY1	1.9495
TERF1	-0.00691666666666664
KIF22	-1.20933333333333
NINJ1	-0.48725
SEC61A2	-0.507583333333333
HIST1H1D	-0.886333333333333
SFXN4	0.98525
UCP3	0.2669
ZNF703	0.823333333333333
MYL6B	-1.62125
TREM1	0.56725
OR52E6	0.441
CKMT2	3.53025
HLA-C	1.828375
SLC13A3	-2.15783333333333
TIMP4	-1.399
SLIT2	-1.1465
RSF1	-0.115277777777778
LONRF1	-0.0867142857142857
MON1A	0.8735
CACNG6	-2.468
DPPA4	-5.27166666666667
ZSWIM3	1.14725
ZNF804A	-0.0573333333333333
CCIN	-0.0885
SLC25A31	-0.1535
KCNMB4	-0.057
RABL5	-0.785625
GALNS	-0.5115
STX6	0.5995
HIST1H1C	-3.6465
CIDEB	-1.6685
CASP4	0.323666666666667
PDK3	0.079
KCNJ11	-0.109
TPR	-0.73625
ZSCAN20	-0.067
MTX2	0.11525
HIST1H2BH	-1.59425
LOC283767	-0.00675
LYRM7	0.113888888888889
BRD3	-0.0931666666666667
HIST1H2BO	-1.66025
MAGEB10	-0.2005
SLC45A1	-0.434
SERPINA3	-2.6044
KIAA0143	0.4985
KCNJ16	0.5676
KRT79	0.37125
FABP2	2.989
NUT	0.23875
ZNF57	1.42375
FBXL4	0.754875
CLEC9A	0.581
UGT8	2.995
BMP2K	0.589
MAPK4	-4.316
SLC25A23	-0.1929
HINT1	0.3454
KRTAP13-1	0.31
SFXN5	-0.1709
CHCHD2	-0.137583333333333
FAM3D	3.846
NDP	-3.071125
RHOBTB1	-0.381333333333333
SLC4A4	-0.818375
RPL38	0.336
HTF9C	-1.09366666666667
AP2A2	0.162875
ZBTB46	-1.2395
MAP7D1	-1.00525
AOX1	-3.32683333333333
CYR61	-0.583333333333333
DTNA	-0.649928571428571
JRKL	1.342
TMOD3	-0.228
EEA1	0.8578
ADCK5	0.0935
IL1R1	0.678833333333333
KLK3	0.306071428571428
HRSP12	0.819
KTN1	-0.25225
LOH11CR2A	1.5002
RELL2	-0.01475
MAB21L1	0.54
C20orf59	0.5375
PHKB	0.13375
ADAM2	-1.8345
TBC1D8B	2.29516666666667
FAM13A1	0.145875
LAPTM4B	-1.08441666666667
LCN8	0.1305
TMEM147	-0.0655
SYT4	0.0274
XPO7	0.101
C9orf62	0.12375
GPR75	0.672
TRIM5	0.812375
APOC1	-4.41533333333333
RNASE4	-0.0865
PARD6B	-1.37225
ARID1A	0.10475
TPD52L3	0.5546
RRAGB	0.898166666666667
RCN2	-0.4255
HIST2H2BE	-1.87125
STARD7	0.14475
SHMT2	-0.17775
KIAA1751	0.139833333333333
MLYCD	1.01525
LOC162632	-0.7875
UQCRH	0.1075
RP11-217H1.1	0.549
SDHA	-0.501166666666667
NCLN	0.4023
ZNF17	0.285666666666667
RCBTB2	-1.87325
VEGFB	-0.9756
RP4-747L4.3	0.3345
COLQ	0.0326
MPN2	-0.654166666666667
DRG2	-1.20225
KLRB1	4.15375
ALPK2	-4.15975
DNASE2B	1.411
FLJ23834	-0.229333333333333
AXUD1	0.587333333333333
SAFB	0.0785
NSUN4	-0.17125
RFX2	-0.374166666666667
MAPK8IP1	-0.604666666666667
FANCD2	-0.855785714285714
ANKZF1	-1.2775
C19orf50	-0.338875
DUSP8	1.910625
SENP5	-0.14
NFKBIL2	-0.0979999999999999
LBR	0.632375
IGFL1	-0.4355
LZTS2	-0.934
IL2RG	1.987125
CCDC51	0.2735
KLF3	1.733375
ANKRD37	-1.71725
KCTD14	2.264
FZR1	0.0575
SLC44A4	3.6318
ESPL1	-0.88325
GMPR2	-1.2223
TBC1D19	-1.14866666666667
ERGIC1	0.939444444444445
ERBB4	-2.1447
TSPAN32	-0.286416666666667
MAP4	0.014125
GPHN	-0.256
SLC6A2	-0.379625
HIVEP1	0.1365
DFFB	0.9527
EIF4EBP2	0.47375
DMRT1	-0.22425
HSPB6	-0.06
IER2	1.19733333333333
AIFM1	1.078
WWC2	-1.191
MRPL4	0.07375
FLJ21062	0.278166666666667
EPB41L4A	0.33
SH2D6	0.08075
TAF4B	-0.4185
GAL3ST3	0.159
MALT1	-0.6845
RTDR1	1.29675
ARVCF	-0.63775
MEX3B	-3.87866666666667
FBXO16	0.678
KIF7	-1.232
C1QC	3.14433333333333
ZNF783	0.328333333333333
ZNF85	-0.40075
MMP13	-1.0735
KIAA0329	-0.380375
RTP3	0.0105
ZBED3	0.3495
CLGN	-3.19325
SLC25A37	-0.765375
hCG_18290	0.08125
OR5AS1	0.462
SMARCC2	-0.210833333333333
FAM109A	1.1475
CCDC12	-0.35975
USF2	-0.0603
DEPDC7	0.7635
C20orf24	1.55883333333333
JMJD3	0.166
DSP	0.926714285714286
SLIC1	-0.15525
FAM20A	-1.714375
IRF2BP2	1.261
ZNF230	-0.4715
MSN	-1.95357142857143
SLC9A5	-2.001
EPDR1	0.2365
MUSK	0.325666666666667
