Hybridization REF	TCGA-07-0249-20A-01R-0826-07
FAM73B	-0.8869
LOC388381	0.1145
INTS7	-0.516636363636364
AMPH	3.9255
ZNF775	0.46925
UCKL1	-0.719
C10orf97	1.10025
C1orf161	0.00174999999999999
ALDH1L1	-2.18575
FLJ39378	0.16125
SLC23A1	-3.184
RBM4B	-0.40325
THAP4	0.307833333333333
OGFRL1	0.70575
KIAA0831	0.022125
PPP1R15A	-0.373833333333333
C1orf96	0.691357142857143
C12orf11	-1.36975
BMF	-1.066375
MAN1A1	0.372
KIAA1600	0.3305
NLGN4X	-4.001
ALOX12	-2.12233333333333
RB1CC1	0.8932
NEIL2	1.7656
EIF4E	0.700136363636364
ABHD5	0.532
EXOC4	1.03333333333333
CIP29	0.417
BATF2	-0.08325
SLC29A4	0.0395
HTR4	0.576
EMB	-4.66275
TRAF6	0.0965
LMNB1	-1.59775
FAM19A5	-2.54525
SHE	-1.51125
PIK3C2B	-3.3395
C15orf15	-0.1546
USP15	0.1773
TCEAL2	-0.29175
C5orf39	-0.035
PTGER2	1.6785
SLC31A1	0.17575
IFT172	0.18975
ADAM29	0.47525
GFOD1	-1.1775
ST7L	0.704166666666667
C15orf26	-1.7805
PKN3	-2.32825
CNTD1	2.50333333333333
COMMD1	0.6215
NTRK2	0.0394
FOXN3	-0.7535
MFGE8	-0.0273
PFKFB2	-0.254
TAS2R4	0.00675000000000001
ENTHD1	-0.906833333333333
PRMT5	-1.412875
MGC16384	-1.571875
LOC442229	0.916
TSKU	-0.820375
KRTCAP3	-2.791125
PDLIM1	1.1466
KCNS2	0.51175
RNF126	0.283333333333333
CEP63	0.627
CLIC4	0.860875
hCG_1990170	-1.34225
ACR	0.0149
KLK7	-0.94375
ALOX5AP	-2.822625
RIPK3	-2.318
TAS2R9	0.205
C19orf18	-2.789
BIRC6	-0.566714285714286
ZNF16	-0.093
RFT1	-0.434
SLC8A2	0.406
TACC1	1.0935
ITGAD	2.06325
SAMHD1	0.8235
SH3PXD2B	1.1833
EPC2	-0.13
C20orf85	0.064625
ATP13A2	-0.531166666666667
KRT4	1.5425
CAPNS1	0.0325
MDM2	0.429083333333333
PCDH20	1.59075
KCNK9	0.5725
OR2C1	-0.2315
KLHDC3	-1.49383333333333
IPPK	-0.3775
EFHD2	0.13775
GALR3	1.50225
NBEA	0.510166666666667
ABCA6	-0.944
CLDN3	-3.26183333333333
AKT2	-0.316785714285714
EGFR	1.046
RBM16	0.2165
ZDHHC3	0.4391
SLC25A4	-1.20016666666667
CYB5B	-0.251833333333333
CPXM1	-2.9235
NDRG1	1.75176923076923
FLJ43826	1.2885
OR5L2	-0.127166666666667
FARP2	0.4567
MRPL46	0.306833333333333
LDHAL6B	1.42316666666667
MAPKAPK3	0.225833333333333
NCAM2	-0.77625
PRKD2	-0.555833333333333
ZFP36L1	1.5618
CYSLTR1	-2.79225
OR4C3	-1.0625
HIST1H2AJ	-0.9395
CCNB2	-0.539444444444444
ZNF10	-2.005
TMEM175	0.3345
FAM134A	0.4395
TIGD4	-1.1105
PCNP	0.21425
MGC39715	-0.12925
LQK1	1.043
CREB1	0.8486
TMPRSS3	-3.54375
C4orf32	0.906625
LAT	1.96083333333333
KCNA3	-0.0385
SKIV2L2	-0.5705
ROPN1B	-4.11325
tcag7.23	-1.6635
CDT1	-1.67425
ZHX2	-1.2795
CD28	-6.23475
ZNF624	0.39775
SEPT2	-0.234333333333333
SOHLH2	-0.928
MCOLN3	-2.20371428571429
UNQ1945	1.001
MASP2	-1.2235
ZNRF3	-0.1752
GPATCH3	-0.4635
AGL	0.534
QRICH2	-0.8525
PSD4	-1.37166666666667
CCNB1IP1	-2.06475
ENPP7	-0.0295
OBFC1	1.05825
KCNG3	-3.575
C14orf79	0.129583333333333
ENPEP	-1.1325
SCT	0.258
SKI	0.70975
SEC61G	0.697
CAPN11	-1.31225
ATXN7L3	-0.40375
DBNDD1	-1.56716666666667
FAIM	0.42275
ANKRD36	-0.5705
GABRP	-1.7935
TACSTD2	-4.8335
EIF3J	-0.7295
PPP2R2A	-0.14425
TEKT4	0.873666666666667
PVALB	-4.62666666666667
F10	-2.65083333333333
FAM134C	0.512
COMP	-0.0759999999999999
EFCBP1	0.1925
SCLT1	0.707625
TAL1	-1.5144
ACSL1	1.989
ABCC5	-0.661666666666667
ABL1	0.223833333333333
RBBP7	0.11175
PTPRG	-0.233
NCOR1	-0.3867
SPINK4	0.779666666666667
TXNRD1	0.8999
TNRC15	0.428875
C9orf138	0.8955
UBE2H	1.19766666666667
BRDT	-0.128833333333333
C8orf31	0.75775
CCNE2	-0.300272727272727
SLC6A8	-0.319
CALCR	-4.686
PPP1CB	0.949083333333333
ABHD8	0.42
ARF5	0.2042
SLC24A4	0.06075
CCT3	-0.73275
ZNF121	0.226625
SLC3A2	-1.4905
OR13A1	0.5705
SLC5A10	0.55125
RAD50	-0.544875
IER5	0.619875
MTHFD1L	-0.328625
MBTPS2	0.6745
MVK	0.77925
NCL	-0.2817
PSMD10	0.10375
MOBP	0.73
FLJ32894	0.00949999999999999
HRH1	2.50983333333333
C5orf30	-0.2515
NUDT16L1	-0.7488
RASGRP3	-2.13733333333333
PRKRIP1	-0.5862
CCDC75	0.82375
LOC253970	0.4565
KIAA1239	-0.28725
MED21	0.9805
SYT11	4.51641666666667
NTSR2	-0.1785
EGFL11	0.39
CXorf59	0.3625
OR2A25	0.53675
SPTBN2	-2.394
LRMP	-3.30533333333333
RNF111	0.349
PTH	0.1815
LOC619208	3.25516666666667
KIAA0895	0.10525
RANBP5	0.696
P2RY10	-1.24716666666667
NME5	3.87583333333333
DDX21	-1.16925
LRSAM1	-1.1075
HDAC11	-1.21766666666667
VMO1	0.6545
NOLA2	-0.4085
ADAR	0.04475
MTO1	-1.32633333333333
SF4	-0.214833333333333
P2RX1	-0.416833333333333
HBM	-0.18475
EN2	0.7995
C14orf172	-0.3875
TM9SF2	0.6108
INHBE	0.417333333333333
TCTE3	0.824333333333333
TOX2	-0.0735
CTAGE3	-0.780125
HBB	-0.2953
MED15	-1.04933333333333
CASR	-0.4135
C6orf66	0.108166666666667
MTPN	0.62
UNC50	0.30725
C21orf33	1.04083408558608e-17
IRF2	1.090125
PGR	-4.12216666666667
GPR84	5.33975
CROCCL1	-2.761
SRPX	2.226
BRE	0.902
FGF10	0.019
SDC3	-2.694
ZRSR1	-0.8255
DKFZP434P211	-0.87125
SOX6	2.2455
RPUSD2	-0.11525
C14orf173	0.906583333333333
MAPK11	0.0586666666666667
TBC1D22A	0.111
FAM123A	-1.9235
COL4A6	-0.879666666666667
TOMM70A	-0.16725
NAB1	1.490875
MGC16385	-0.45875
TSPAN18	-2.20783333333333
MED31	1.079
PLG	-0.477
CAPSL	0.7035
ZNF532	0.6463
ASB14	0.34425
CA8	-4.6525
NUDT16P	-1.219
SLFN11	-0.317
LRRIQ2	0.189
NOL7	-0.316
BRMS1L	-0.9335
JARID1A	0.1915
PANK2	-1.0145
ICAM3	0.04825
MDS1	-0.6725
TAF8	-0.87
RNF139	-0.06725
ZNF594	-2.22483333333333
ADAM8	3.405625
SFTPC	-0.360625
MAN2B2	0.36325
RGS12	0.3494375
EIF1AY	-1.60841666666667
LRRIQ1	0.747166666666667
GPR150	2.062
CCDC21	-1.45183333333333
PRRG3	0.13675
SAA4	-4.63325
RAPGEF5	0.575
ZCCHC2	-0.518833333333333
MGC39372	-0.782
PPP4R2	0.412
CDCA2	0.187666666666667
OR4D5	0.0251666666666667
PTGFRN	1.7878
SIGLEC5	-0.361
C19orf61	-0.791833333333333
NMUR2	0.3875
KIAA1586	0.172333333333333
DAGLA	0.964833333333333
CHCHD6	-0.32975
GPR32	0.9685
NEUROD6	-0.183666666666667
SLC2A4RG	-0.678875
CA5B	-0.374
FBXL3	1.20575
MPHOSPH9	-0.9085
HMG2L1	0.488
HCN4	0.991
CEACAM19	-0.181
SH2D4B	0.295833333333333
HFE2	-1.5905
TGM4	0.033
LYPD2	0.45475
TBC1D15	-0.40375
MRPS21	-0.8955
NONO	-0.7128
CLEC5A	-0.221125
ITCH	0.4098
MGAT3	-3.67783333333333
MBP	-2.23625
RPP25	-2.23575
SOSTDC1	-3.13425
HRC	-2.465
TRIM48	-0.075
TMEM133	0.40825
ECEL1P2	-2.596
HOXC11	-1.1315
DOK5	-0.722
HELZ	-0.573666666666667
LOC348180	-0.10825
MGC33894	0.23
ADRB3	0.3865
DMD	-0.823666666666667
PTRH2	-0.11
MPEG1	0.432666666666667
NDUFA12	-0.974166666666667
KRTAP2-4	0.17925
STAMBPL1	0.5295
ADCY2	-1.669
UNQ6125	-0.06
KLHL20	-0.305666666666667
SRM	-0.617
OTC	0.27
TMIE	0.0996666666666667
SNX8	0.386
LIPK	0.0295
CHURC1	-0.67325
KLC2	0.5935
HDAC1	-1.23166666666667
FAM128A	0.390666666666667
FNDC3B	1.3477
MTCP1	0.131666666666667
WFDC10B	1.2595
PCDHGB3	0.942
ATRNL1	-2.6996
CAV2	0.168
MED26	0.0228333333333333
DUS1L	-0.93575
CHRM3	-1.914625
NEK9	-0.21825
WARS2	0.801
TBX22	-0.188
TOMM40	-0.7575
RP6-213H19.1	-0.621666666666667
TUBGCP5	0.3835
IGSF6	0.36125
TPPP	0.418166666666667
UNQ6190	0.6175
GSTM5	1.9395
BTD	-0.162833333333333
PDCD1LG2	3.08433333333333
SNRPB2	-1.1155
ERICH1	0.3885
APOA4	-1.0395
HOXA11	-2.815
NARG1	0.234875
MKX	-1.69233333333333
RAB28	0.949357142857143
PKP3	-3.14175
SH3GL2	-0.38825
CTSO	4.2015
RPN2	1.0203125
IL28RA	-1.18766666666667
SFMBT1	-0.1115
WDR57	-1.081375
FER1L3	1.59525
HSF5	-0.0015
TTC9B	0.9025
C4BPA	-4.59083333333333
ALB	-5.65721428571428
SORBS3	0.527125
UPF2	0.289
JPH1	0.6695
AGBL2	-0.36625
DOPEY1	-0.2755
TERF1	-0.49575
KIF22	-0.882333333333333
NINJ1	0.19125
SEC61A2	0.695916666666667
HIST1H1D	0.0643333333333334
SFXN4	-0.2775
UCP3	0.0776
ZNF703	0.43
MYL6B	0.8325
TREM1	4.10075
OR52E6	0.116
CKMT2	0.887
HLA-C	2.194875
SLC13A3	-2.6065
TIMP4	2.92825
SLIT2	0.41
RSF1	-0.725777777777778
LONRF1	0.0576428571428571
MON1A	0.644
CACNG6	-1.48916666666667
DPPA4	-5.12316666666667
ZSWIM3	0.66775
ZNF804A	3.16033333333333
CCIN	2.0315
SLC25A31	-1.46366666666667
KCNMB4	-0.35925
RABL5	0.4215
GALNS	0.4883
STX6	-0.6195
HIST1H1C	-2.23633333333333
CIDEB	-2.240625
CASP4	0.0913333333333334
PDK3	0.259
KCNJ11	-0.808
TPR	-1.293
ZSCAN20	0.9805
MTX2	-0.0375
HIST1H2BH	-0.987
LOC283767	-1.3455
LYRM7	-0.424722222222222
BRD3	-0.340833333333333
HIST1H2BO	-1.43575
MAGEB10	0.2745
SLC45A1	3.6475
SERPINA3	-3.56285
KIAA0143	0.4085
KCNJ16	-0.339666666666667
KRT79	1.61075
FABP2	-0.44975
NUT	-0.22625
ZNF57	-0.30325
FBXL4	0.71975
CLEC9A	-0.352
UGT8	3.5085
BMP2K	0.3885
MAPK4	-3.9635
SLC25A23	-1.3322
HINT1	0.7465
KRTAP13-1	0.6905
SFXN5	-0.0916
CHCHD2	0.547666666666667
FAM3D	-0.182
NDP	3.337625
RHOBTB1	0.00599999999999999
SLC4A4	2.75925
RPL38	-0.1225
HTF9C	-0.649333333333333
AP2A2	-0.03675
ZBTB46	-0.3225
MAP7D1	1.039
AOX1	2.19683333333333
CYR61	-0.36875
DTNA	2.40142857142857
JRKL	0.58225
TMOD3	0.61875
EEA1	-0.2502
ADCK5	-0.85225
IL1R1	2.07216666666667
KLK3	0.760571428571429
HRSP12	0.28575
KTN1	0.52325
LOH11CR2A	0.1136
RELL2	-0.43
MAB21L1	3.36325
C20orf59	-1.23433333333333
PHKB	-0.73125
ADAM2	-2.46633333333333
TBC1D8B	3.65183333333333
FAM13A1	0.0124374999999999
LAPTM4B	-1.31866666666667
LCN8	0.233
TMEM147	0.383
SYT4	0.2535
XPO7	0.162
C9orf62	2.22375
GPR75	1.2665
TRIM5	1.22775
APOC1	-4.6215
RNASE4	-1.31916666666667
PARD6B	-3.424625
ARID1A	-0.708666666666667
TPD52L3	-0.285555555555556
RRAGB	0.169
RCN2	-0.0723333333333333
HIST2H2BE	-1.3418125
STARD7	-0.71575
SHMT2	-0.966
KIAA1751	0.238166666666667
MLYCD	-0.270125
LOC162632	-0.6186
UQCRH	-0.23675
RP11-217H1.1	0.999875
SDHA	-0.912166666666667
NCLN	-0.4536
ZNF17	-0.184666666666667
RCBTB2	-2.91225
VEGFB	0.4203
RP4-747L4.3	0.09575
COLQ	-0.8302
MPN2	-0.799166666666667
DRG2	-0.9155
KLRB1	0.079
ALPK2	-0.6565
DNASE2B	0.1645
FLJ23834	-1.4885
AXUD1	-0.512833333333333
SAFB	-0.5348
NSUN4	-0.149
RFX2	0.871
MAPK8IP1	0.298
FANCD2	-0.714428571428572
ANKZF1	-1.95933333333333
C19orf50	-0.10525
DUSP8	-0.15275
SENP5	0.270375
NFKBIL2	0.0635
LBR	-0.957
IGFL1	0.2645
LZTS2	0.647375
IL2RG	-2.3805
CCDC51	0.10025
KLF3	-0.4775
ANKRD37	-0.211
KCTD14	-3.63633333333333
FZR1	0.723166666666667
SLC44A4	-2.9193
ESPL1	0.0405
GMPR2	-1.1986
TBC1D19	1.06433333333333
ERGIC1	1.87944444444444
ERBB4	-2.5996
TSPAN32	0.00325
MAP4	0.53675
GPHN	-0.043
SLC6A2	-0.73075
HIVEP1	-0.5325
DFFB	-0.6624
EIF4EBP2	-0.68925
DMRT1	2.499
HSPB6	0.036
IER2	-0.860166666666667
AIFM1	-0.63475
WWC2	0.498916666666667
MRPL4	-0.54825
FLJ21062	0.485333333333333
EPB41L4A	-1.58883333333333
SH2D6	1.30025
TAF4B	-0.81975
GAL3ST3	0.00650000000000001
MALT1	-0.17
RTDR1	1.71175
ARVCF	-1.557375
MEX3B	-0.296166666666667
FBXO16	2.17775
KIF7	0.85225
C1QC	0.810666666666667
ZNF783	-1.33333333333333
ZNF85	-4.1255
MMP13	-1.887
KIAA0329	0.899125
RTP3	-2.0275
ZBED3	-1.891
CLGN	1.2255
SLC25A37	0.322583333333333
hCG_18290	-0.364
OR5AS1	0.713
SMARCC2	0.523
FAM109A	-0.0755
CCDC12	-1.2665
USF2	0.4594
DEPDC7	-0.386
C20orf24	0.6075
JMJD3	-0.3295
DSP	-4.76685714285714
SLIC1	-0.130125
FAM20A	-3.19875
