Hybridization REF	TCGA-AA-A02F-01A-01R-A00A-07
RAB5A	0.6012
FLJ13224	0.1865
USP9Y	-0.5372
C7orf53	1.0065
LRP1B	-0.884
XAF1	0.5506
ABCG8	0.584
ANKDD1A	0.0985
DAND5	-1.646
SPAG6	0.0686666666666666
LINCR	0.83675
ZDHHC22	-1.16075
CCDC60	0.62
THOC7	-0.1885
TCTA	-0.7915
OR8K3	0.33375
NY-REN-7	0.5905
B2M	0.9905
C6orf141	-0.078625
LPPR4	2.1755
SQLE	-0.387
SEPHS1	0.2405
BTBD14B	0.0697142857142857
PLRG1	-0.52
SPG7	-0.7194375
ZNF614	0.1505
PARD6G	-0.494666666666667
INPP5B	0.4775
GRPEL2	0.835
PPID	0.083
TRIM56	0.117
UBE2J1	-0.146875
IL20RA	3.43725
LOC387856	-0.31475
C1orf107	0.905916666666667
UTS2R	0.20075
C19orf22	0.31725
SAFB2	-0.3435
KIAA0652	-0.250125
KLRG1	-1.60266666666667
MS4A8B	1.97416666666667
FRAG1	0.58525
KIAA1546	-0.67725
E2F4	0.1499
CLEC4M	0.101333333333333
BTBD14A	-0.422
KIAA0999	0.153
GYPA	-2.7615
TAC1	0.846222222222222
TRAIP	0.18
KIAA0232	0.1716
ERCC8	-0.203875
GPX4	0.0885
KIAA0368	0.537
GPR157	0.766166666666667
CTAGE4	0.927
C9orf30	-0.4545
OR52A1	0.384
HSP90B3P	-0.0075
ALG9	-0.9213
BTBD10	0.95875
SDK2	-0.386
BAIAP3	-1.66475
RABGGTB	-0.383
ANKRD40	-0.2615
KRT74	-0.437
CALCOCO2	-0.715357142857143
SNCA	-5.3515
TMSL8	-3.296
C2orf53	0.4095
ESRRB	-0.5625
ARHGAP26	2.324125
TDRD9	-2.969
HRAS	0.210666666666667
KLRC4	-1.636
JAGN1	-0.0911666666666667
BSDC1	-0.22025
RNF43	1.2123
NDUFAF1	-0.015
PHF12	0.41075
OR1L3	0.117
FOLR2	0.0173333333333333
LYZL6	-0.1835
tcag7.1260	-0.675
WSB1	-1.43683333333333
PROS1	-0.4041
OSTN	-0.345
PSMB8	0.99875
SOCS4	0.696
DDIT4L	3.882
MAS1	-1.202
MGC34796	0.83275
CSHL1	-0.150833333333333
TBCCD1	0.3935
ZBTB7C	-0.541
AP2S1	-0.348125
P15RS	-0.8016
VAT1	-1.7411
SHANK3	0.345833333333333
TUFM	-0.096
THEG	-0.891
KRT34	-1.221
SGSM3	-1.05675
TOMM22	0.0715
SOCS3	0.390333333333333
CPO	-0.4515
POP4	1.01475
BHLHB3	-0.2305
MALL	3.21925
OR1B1	0.2105
PARK2	-0.0504
GPR124	0.4895
LCE1E	0.677
RUVBL2	-0.18
CGRRF1	-1.1254
ACPL2	0.166
WNT10B	-2.158125
BAIAP2L2	2.1645
ISCA1	-0.1745
C1orf125	0.246857142857143
RPAP1	-0.9205
RAI16	0.524333333333333
RPL27	-0.442875
NLRP9	-1.254
EPN1	-0.068
LOC388610	-2.058375
SLC35A1	0.805
GAL	-2.83675
SLC14A2	0.16025
RDH11	-0.396833333333333
FAM138F	-0.414
AUH	0.3995
FLJ40243	0.1855
C14orf129	1.33716666666667
MBD2	-0.886666666666667
ABHD14B	-0.859375
PIGT	0.23325
ALS2CR4	0.0075
ALAS1	0.5517
FOXO1	0.316666666666667
CRLF3	-0.63825
C20orf107	-0.7105
FARS2	0.306
CCDC28A	0.74875
NPHP3	-0.2305
OR13F1	0.4475
TSEN54	-0.47575
DEFB106B	-0.137
OR8B4	0.41
STH	-1.091
ZC3H14	0.003875
CBX2	-0.436
TMEM49	-1.4265
C6orf21	-0.0375
FLJ20920	-1.2625
CRTAP	-0.586785714285714
DDX50	-0.5115
STYXL1	-0.11625
BLVRB	-0.569
LOC147650	-0.321333333333333
MMP24	-0.5485
GRID1	0.918833333333333
BANF1	-0.755333333333333
CTAGEP	0.294
HMBS	-2.60425
SLC25A24	0.688833333333333
C14orf50	1.0705
MRO	-0.96
SLC25A15	0.95875
FAM84B	0.6932
TDP1	0.239
C16orf78	-0.114
C11orf57	-0.110125
RFK	1.127375
ZFYVE9	0.516142857142857
STCH	-2.0042
WIBG	0.80375
LOC283871	0.107166666666667
GBA2	-0.0896
NDUFB3	0.68475
HSD17B13	0.25625
GRIN3A	0.136166666666667
FMNL1	-2.5205
SEPT7	-0.5419
GNLY	1.4805
GRAMD1C	-0.211333333333333
ZNF165	1.28525
USP38	0.34825
FAM83A	-3.46783333333333
C14orf24	1.42716666666667
ARMCX3	-0.049625
ARHGDIB	-1.44816666666667
AK1	0.749625
KIAA1045	0.249
DNAJB13	-0.457666666666667
NEU2	0.0455
HIST1H4B	0.053
FAM20B	-0.97
HES2	2.07657142857143
FAM73B	-0.1247
LOC388381	-0.24625
INTS7	0.314636363636364
AMPH	-0.08425
ZNF775	-0.320625
UCKL1	0.212666666666667
C10orf97	0.35625
C1orf161	0.63625
ALDH1L1	-1.05475
FLJ39378	-0.66725
SLC23A1	-1.148
RBM4B	-0.1505
THAP4	-0.7185
OGFRL1	-0.4915
KIAA0831	-0.310125
PPP1R15A	0.393833333333333
C1orf96	0.316071428571429
C12orf11	-0.46675
BMF	0.296875
MAN1A1	-1.293125
KIAA1600	0.185333333333333
NLGN4X	-1.86425
ALOX12	-0.779666666666667
RB1CC1	-0.7289
NEIL2	0.2695
EIF4E	-0.00552380952380954
ABHD5	-0.13025
EXOC4	0.0333333333333333
CIP29	0.439333333333333
BATF2	1.7285
SLC29A4	-1.093625
HTR4	0.775
EMB	-0.45425
TRAF6	1.55175
LMNB1	1.962
FAM19A5	-0.673
SHE	0.613333333333333
PIK3C2B	2.85125
C15orf15	0.2073
USP15	0.1838
TCEAL2	-0.53625
C5orf39	-1.17266666666667
PTGER2	-0.43025
SLC31A1	-0.8019375
IFT172	1.11875
ADAM29	-0.392
GFOD1	1.042
ST7L	0.5335
C15orf26	-0.89925
PKN3	-1.0535
CNTD1	0.3175
COMMD1	-0.13075
NTRK2	1.66736363636364
FOXN3	0.581
MFGE8	-1.4294
PFKFB2	0.2675
TAS2R4	0.099
ENTHD1	-0.00483333333333333
PRMT5	-0.64775
MGC16384	-0.27725
LOC442229	0.60575
TSKU	-0.519875
KRTCAP3	4.250875
PDLIM1	1.0151
KCNS2	0.33475
RNF126	0.571166666666667
CEP63	-0.45125
CLIC4	-0.95725
hCG_1990170	0.33375
ACR	1.5269
KLK7	0.10425
ALOX5AP	1.29275
RIPK3	4.4985
TAS2R9	0.525
C19orf18	0.643
BIRC6	0.472571428571429
ZNF16	0.18
RFT1	-0.47475
SLC8A2	-0.396
TACC1	0.895875
ITGAD	0.182
SAMHD1	0.70825
SH3PXD2B	1.2962
EPC2	1.59225
C20orf85	0.4485
ATP13A2	-0.424
KRT4	0.036375
CAPNS1	0.32225
MDM2	-0.419916666666667
PCDH20	3.6765
KCNK9	0.1325
OR2C1	-0.473
KLHDC3	-0.4005
IPPK	0.0215
EFHD2	0.47075
GALR3	0.12625
NBEA	-2.55483333333333
ABCA6	-0.109888888888889
CLDN3	2.4
AKT2	0.429
EGFR	0.8474
RBM16	0.752
ZDHHC3	1.3913
SLC25A4	-1.44233333333333
CYB5B	1.09966666666667
CPXM1	-1.2725
NDRG1	-0.0790769230769231
FLJ43826	0.132
OR5L2	0.6345
FARP2	0.1025
MRPL46	-0.111666666666667
LDHAL6B	-0.487333333333333
MAPKAPK3	-0.200333333333333
NCAM2	-1.68366666666667
PRKD2	-0.1775
ZFP36L1	1.6668
CYSLTR1	-1.61975
OR4C3	-0.2675
HIST1H2AJ	0.6605
CCNB2	-0.310555555555556
ZNF10	0.495
TMEM175	-0.356
FAM134A	-0.851666666666667
TIGD4	0.3345
PCNP	-0.49675
MGC39715	-0.911
LQK1	-1.041
CREB1	0.053
TMPRSS3	-1.71625
C4orf32	-0.313
LAT	-1.19708333333333
KCNA3	0.6435
SKIV2L2	-0.04675
ROPN1B	-3.47066666666667
tcag7.23	0.616
CDT1	-1.508375
ZHX2	0.420375
CD28	-5.36925
ZNF624	-0.57675
SEPT2	-0.0896666666666667
SOHLH2	-1.160625
MCOLN3	0.211
UNQ1945	0.0395
MASP2	-0.924
ZNRF3	1.0881
GPATCH3	-1.23725
AGL	0.321625
QRICH2	-0.9855
PSD4	0.166666666666667
CCNB1IP1	-0.33
ENPP7	-0.498
OBFC1	-1.42775
KCNG3	-1.3965
C14orf79	-0.784583333333333
ENPEP	1.12516666666667
SCT	2.8975
SKI	0.692125
SEC61G	0.26975
CAPN11	0.21925
ATXN7L3	-0.9375
DBNDD1	0.0621666666666667
FAIM	1.1075
ANKRD36	-0.0865
GABRP	-0.2798
TACSTD2	-0.299333333333333
EIF3J	0.62
PPP2R2A	0.35075
TEKT4	-0.395166666666667
PVALB	-4.30966666666667
F10	-2.76633333333333
FAM134C	0.2851
COMP	2.57125
EFCBP1	-2.64633333333333
SCLT1	0.606625
TAL1	-1.2081
ACSL1	-0.35
ABCC5	0.209416666666667
ABL1	-0.153722222222222
RBBP7	-0.35775
PTPRG	0.553375
NCOR1	-0.1322
SPINK4	5.85116666666667
TXNRD1	-0.7756
TNRC15	-0.19325
C9orf138	0.1635
UBE2H	0.490166666666667
BRDT	0.0228333333333333
C8orf31	-0.417
CCNE2	-0.353909090909091
SLC6A8	-2.62525
CALCR	-3.86425
PPP1CB	0.920083333333333
ABHD8	-2.25775
ARF5	0.0736
SLC24A4	-0.0775
CCT3	0.19475
ZNF121	0.128
SLC3A2	-1.5589
OR13A1	-0.2985
SLC5A10	-0.0165
RAD50	0.2765
IER5	-0.35675
MTHFD1L	-0.9505
MBTPS2	0.782
MVK	-0.32875
NCL	0.1328
PSMD10	-0.9275
MOBP	0.00862500000000001
FLJ32894	0.171
HRH1	1.5465
C5orf30	0.84775
NUDT16L1	0.5139
RASGRP3	1.58866666666667
PRKRIP1	-0.7967
CCDC75	0.199
LOC253970	-0.367
KIAA1239	-0.608
MED21	0.55825
SYT11	0.193833333333333
NTSR2	-1.114
EGFL11	0.337
CXorf59	-0.286
OR2A25	0.0136666666666667
SPTBN2	-0.88575
LRMP	-1.5515
RNF111	-0.11425
PTH	-0.208
LOC619208	-0.461166666666667
KIAA0895	-1.605
RANBP5	0.3075
P2RY10	-0.901333333333333
NME5	0.339
DDX21	-0.9025
LRSAM1	-0.682
HDAC11	-0.353666666666667
VMO1	-0.641
NOLA2	-0.4955
ADAR	-0.0125833333333333
MTO1	-0.416666666666667
SF4	-0.3945
P2RX1	-0.249166666666667
HBM	-0.1985
EN2	0.702
C14orf172	0.9345
TM9SF2	0.7644
INHBE	-0.4822
TCTE3	0.0619166666666667
TOX2	-1.50575
CTAGE3	-0.1555
HBB	4.4538
MED15	-1.41533333333333
CASR	-0.5495
C6orf66	0.863166666666667
MTPN	-0.40025
UNC50	-0.82425
C21orf33	-0.374875
IRF2	0.719
PGR	-1.9752
GPR84	0.095
CROCCL1	-1.93675
SRPX	-3.94225
BRE	0.269666666666667
FGF10	-0.61375
SDC3	-0.00683333333333336
ZRSR1	-0.838166666666667
DKFZP434P211	-0.909625
SOX6	-0.1205
RPUSD2	0.91625
C14orf173	0.707916666666667
MAPK11	-0.911166666666666
TBC1D22A	-0.0115
FAM123A	-0.1905
COL4A6	-3.4475
TOMM70A	0.25925
NAB1	1.398875
MGC16385	-0.55375
TSPAN18	-1.18466666666667
MED31	-0.921
PLG	-0.06875
CAPSL	-0.0775
ZNF532	1.5647
ASB14	0.247
CA8	-0.78375
NUDT16P	2.1645
SLFN11	-3.175
LRRIQ2	-0.3025
NOL7	-0.286333333333333
BRMS1L	-0.048125
JARID1A	0.664833333333333
PANK2	-1.19275
ICAM3	-1.50325
MDS1	1.99225
TAF8	-0.5285
RNF139	0.1595
ZNF594	-0.0515
ADAM8	1.145375
SFTPC	-0.779875
MAN2B2	-0.149125
RGS12	-0.4365625
EIF1AY	-3.42790909090909
LRRIQ1	-0.944
GPR150	0.26075
CCDC21	-1.70466666666667
PRRG3	0.3795
SAA4	-4.921
RAPGEF5	2.45075
ZCCHC2	0.6395
MGC39372	-1.0365
PPP4R2	0.7925
CDCA2	-0.121666666666667
OR4D5	0.316
PTGFRN	1.1814
SIGLEC5	0.282
C19orf61	-0.498
NMUR2	-0.925
KIAA1586	-0.268666666666667
DAGLA	1.348
CHCHD6	-0.74425
GPR32	0.0145
NEUROD6	0.0328333333333333
SLC2A4RG	-0.111375
CA5B	-0.7235
FBXL3	1.2855
MPHOSPH9	-0.88825
HMG2L1	-0.067
HCN4	0.467
CEACAM19	1.29625
SH2D4B	-0.0776666666666666
HFE2	0.4125
TGM4	0.473666666666667
LYPD2	0.0583333333333333
TBC1D15	-0.33875
MRPS21	-0.4451
NONO	-0.0544
CLEC5A	0.330375
ITCH	0.9579
MGAT3	-1.8045
MBP	0.0311249999999999
RPP25	1.6295
SOSTDC1	1.08
HRC	-1.7755
TRIM48	-0.1675
TMEM133	-0.17575
ECEL1P2	-1.17525
HOXC11	0.05
DOK5	-1.1105
HELZ	-0.259666666666667
LOC348180	-0.82175
MGC33894	-0.31125
ADRB3	-0.6185
DMD	0.272166666666667
PTRH2	-0.6415
MPEG1	1.05366666666667
NDUFA12	1.07583333333333
KRTAP2-4	-0.199083333333333
STAMBPL1	-2.21733333333333
ADCY2	-0.4048
UNQ6125	0.419
KLHL20	-0.216
SRM	-1.22725
OTC	2.83075
TMIE	0.102333333333333
SNX8	-0.7285
LIPK	-0.119
CHURC1	-0.286833333333333
KLC2	-0.159833333333333
HDAC1	0.233333333333333
FAM128A	-0.294833333333333
FNDC3B	-0.026
MTCP1	-0.498166666666667
WFDC10B	0.5456
PCDHGB3	-0.6635
ATRNL1	-1.94966666666667
CAV2	-1.21375
MED26	-0.401833333333333
DUS1L	0.4985
CHRM3	0.204375
NEK9	0.00325
WARS2	1.4935
TBX22	1.6265
TOMM40	-0.21325
RP6-213H19.1	0.207333333333333
TUBGCP5	-0.3545
IGSF6	1.15775
TPPP	0.227333333333333
UNQ6190	-1.374
GSTM5	0.0425
BTD	-1.45583333333333
PDCD1LG2	-0.253833333333333
SNRPB2	-0.2905
ERICH1	0.273875
APOA4	-1.675375
HOXA11	1.55225
NARG1	0.3905
MKX	-0.10875
RAB28	-0.826071428571428
PKP3	2.72175
SH3GL2	-1.68433333333333
CTSO	0.4525
RPN2	0.773
IL28RA	1.63716666666667
SFMBT1	1.25625
WDR57	-0.796
FER1L3	-0.872
HSF5	0.149333333333333
TTC9B	0.35325
C4BPA	-2.5278
ALB	-5.10254545454546
SORBS3	0.52375
UPF2	0.593
JPH1	1.1735
AGBL2	-1.16766666666667
DOPEY1	2.124
TERF1	0.548333333333333
KIF22	-0.223166666666667
NINJ1	-1.29175
SEC61A2	-0.445
HIST1H1D	-0.412166666666667
SFXN4	0.565625
UCP3	-0.2336
ZNF703	0.9585
MYL6B	-0.425
TREM1	0.891
OR52E6	0.0275
CKMT2	1.7605
HLA-C	1.138875
SLC13A3	1.71833333333333
TIMP4	-1.538
SLIT2	0.647
RSF1	-0.969666666666667
LONRF1	0.157785714285714
MON1A	0.0191666666666667
CACNG6	-1.9695
DPPA4	-6.52966666666667
ZSWIM3	1.653
ZNF804A	-0.7836
CCIN	0.785
SLC25A31	0.2515
KCNMB4	1.17025
RABL5	-1.216375
GALNS	-0.2453
STX6	0.674375
HIST1H1C	-3.8605
CIDEB	-0.781
CASP4	-0.553666666666667
PDK3	0.3379
KCNJ11	0.463
TPR	-0.145375
ZSCAN20	0.0025
MTX2	0.1045
HIST1H2BH	-0.332
LOC283767	0.82
LYRM7	-0.487777777777778
BRD3	0.4585
HIST1H2BO	-0.488
MAGEB10	0.197
SLC45A1	-0.426
SERPINA3	-3.3272
KIAA0143	-0.15
KCNJ16	-0.057
KRT79	0.26475
FABP2	-0.104
NUT	0.398333333333333
ZNF57	0.881
FBXL4	0.1665
CLEC9A	0.1825
UGT8	2.15416666666667
BMP2K	0.178
MAPK4	-4.28025
SLC25A23	-0.7762
HINT1	0.2281
KRTAP13-1	-0.484
SFXN5	-0.0894
CHCHD2	0.371916666666667
FAM3D	4.702
NDP	-3.41075
RHOBTB1	-0.464666666666667
SLC4A4	-0.555714285714286
RPL38	-0.644
HTF9C	-1.25383333333333
AP2A2	0.616125
ZBTB46	-0.734
MAP7D1	-0.764125
AOX1	-2.77333333333333
CYR61	0.0429166666666667
DTNA	-0.133785714285714
JRKL	0.623
TMOD3	-0.0825
EEA1	1.0518
ADCK5	0.83425
IL1R1	0.345666666666667
KLK3	0.129428571428571
HRSP12	0.7935
KTN1	0.2975
LOH11CR2A	-0.1857
RELL2	-0.702
MAB21L1	-0.77475
C20orf59	-1.34766666666667
PHKB	-0.191
ADAM2	-1.593
TBC1D8B	1.09883333333333
FAM13A1	0.1765
LAPTM4B	-1.50516666666667
LCN8	-0.8445
TMEM147	0.969
SYT4	0.5788
XPO7	0.404
C9orf62	0.78025
GPR75	-0.7485
TRIM5	0.532125
APOC1	-2.05233333333333
RNASE4	1.41183333333333
PARD6B	-0.712
ARID1A	-0.588583333333333
TPD52L3	0.0835
RRAGB	-0.434833333333333
RCN2	-0.739833333333333
HIST2H2BE	-0.1525
STARD7	0.342
SHMT2	-0.578
KIAA1751	-0.0364
MLYCD	0.037375
LOC162632	-1.3609
UQCRH	0.10075
RP11-217H1.1	0.422
SDHA	-1.156
NCLN	-0.3344
ZNF17	0.586
RCBTB2	-1.61275
VEGFB	-1.2004
RP4-747L4.3	0.87875
COLQ	-0.2047
MPN2	-1.2895
DRG2	-1.284
KLRB1	0.99075
ALPK2	-1.959
DNASE2B	0.853666666666667
FLJ23834	0.597
AXUD1	0.731666666666667
SAFB	0.1995
NSUN4	0.1525
RFX2	0.296833333333333
MAPK8IP1	0.486166666666667
FANCD2	-0.505357142857143
ANKZF1	-1.43133333333333
C19orf50	-1.520625
DUSP8	2.24625
SENP5	0.794875
NFKBIL2	0.57725
LBR	1.5075
IGFL1	0.0715
LZTS2	-0.58675
IL2RG	1.1875
CCDC51	-0.27475
KLF3	0.843625
ANKRD37	-0.11875
KCTD14	2.8635
FZR1	-0.0831666666666667
SLC44A4	3.3754
ESPL1	-0.65675
GMPR2	-0.8332
TBC1D19	-1.35
ERGIC1	0.808296296296296
ERBB4	-1.543
TSPAN32	-0.117583333333333
MAP4	-0.22825
GPHN	1.39175
SLC6A2	-0.111
HIVEP1	0.2295
DFFB	0.4198
EIF4EBP2	0.7385
DMRT1	-0.5745
HSPB6	-0.22025
IER2	0.435666666666667
AIFM1	0.46775
WWC2	-0.685833333333333
MRPL4	-1.05975
FLJ21062	0.191333333333333
EPB41L4A	0.656083333333333
SH2D6	0.08925
TAF4B	-0.89225
GAL3ST3	-0.211
MALT1	-0.546166666666667
RTDR1	1.03825
ARVCF	-0.592125
MEX3B	-1.05183333333333
FBXO16	0.04325
KIF7	-0.86725
C1QC	2.5075
ZNF783	-0.132166666666667
ZNF85	-1.19025
MMP13	0.022
KIAA0329	0.447
RTP3	0.8895
ZBED3	0.661
CLGN	-3.20175
SLC25A37	-0.718541666666667
hCG_18290	0.50625
OR5AS1	-0.0275
SMARCC2	-0.08175
FAM109A	0.883333333333333
CCDC12	0.33325
USF2	0.3988
DEPDC7	1.704
C20orf24	1.33683333333333
JMJD3	0.3295
DSP	0.299428571428571
SLIC1	-0.6275
FAM20A	-1.594875
IRF2BP2	1.25825
