Hybridization REF	TCGA-AY-4071-01A-01R-1113-07
PLIN	0.467833333333333
LOC90826	-0.492
RNF4	-0.8495
F8A1	0.2575
PLEKHG4	-0.23525
GRB2	-0.65695
HIST1H2AD	-0.96775
DUS3L	-0.945
EIF1	-0.3735
RP5-1077B9.4	-0.8825
FPGT	1.81225
GDF10	-0.6532
COQ9	0.39875
GCC2	0.511642857142857
RARRES3	1.870125
PLXNA1	-0.3976
KIAA0100	-0.6389
PMF1	-0.457
FNDC1	4.949
HS2ST1	-0.0365
CRELD2	-0.1365
C8G	0.473
CD82	0.60725
LIM2	-0.542
UNQ6490	-1.64
MMP16	0.088
DRD3	0.247
C5orf26	-0.815
C11orf73	-0.486
PTP4A2	0.917625
OR4M2	-1.095
HPCA	-1.57283333333333
SEC14L1	-0.6075
CHFR	-1.195375
EMILIN1	0.2275
NDUFS4	-0.11025
COL18A1	-1.582
PDZD3	3.9275
C9orf16	0.138166666666667
ERBB2IP	0.497666666666667
EMX2	0.515
FUS	-1.68575
TF	-4.4591
CLCN4	-0.9836
CXorf56	1.01725
C11orf72	0.47525
ELAC2	-1.402
NPR1	-2.21
ASS1	0.805
USP42	0.220625
POLR2J	0.0715
SEC23IP	0.5135
UQCRC1	0.7465
LOC729603	-0.6255
C1orf71	0.107125
POLG	-2.379
ADAM23	-3.541
TFR2	-1.28875
RICTOR	-0.597333333333333
MGC39606	-0.60275
C19orf55	-0.199125
SNAPC1	-1.524
GNA11	1.0885
CCDC52	0.668166666666667
FSIP1	4.8755
UPF3A	-0.427125
IGSF11	-1.67433333333333
LAGE3	0.75675
CHST6	-2.008
UNC13B	-0.108375
TTLL4	-0.867125
ZNF687	-0.738125
SDC2	-1.0294
COX7A2	0.99875
LAMB4	-0.04175
FAM24A	0.6335
LRRTM3	-0.2078
GPHB5	0.54675
OR4C13	0.854
EIF3EIP	-0.061
HABP4	-1.204
TMEM125	4.28625
CNTN2	0.0777142857142857
ASNSD1	-0.02025
FUT4	1.049125
ACF	1.33675
LOC158381	0.0745
CDH8	-0.533666666666667
AGPS	-0.563666666666667
C4orf18	1.0465
PECI	-0.336083333333333
UNG	-0.69975
GSTP1	0.08575
DCUN1D5	-1.407
DKFZP564J0863	-0.76875
SLC9A3R1	-0.303375
BCDO2	-0.224375
CHMP7	-0.272
REM2	0.897
DNHD1	-0.5865
FKBP4	-1.01075
ZNF350	0.54225
MGC11102	-0.34075
BST1	2.03475
KISS1R	-0.014
NCR2	0.211
DEFB125	2.844
UBE2W	0.67375
KRT15	-0.165
C10orf99	4.1055
SCN11A	0.409
GFI1	-0.3915
RDHE2	0.928166666666667
FHL1	-0.594333333333333
OSGEP	0.311333333333333
GATA1	-3.90283333333333
SMC6	-0.99275
TTTY14	-0.706
LPIN3	1.1165
RPL4	-1.3579
RBPMS	-0.3686
PRPF3	-0.799333333333333
EMR1	-1.7005
SPATA19	-0.135
XCR1	-0.122
IRX3	-2.6195
RBM6	-0.01325
KLF4	0.6423
UNC5CL	4.10375
SEBOX	0.3275
BTK	-0.72775
KRCC1	2.18275
C6orf27	0.456
SYTL5	-0.2235
PRND	0.49475
LOC653319	-0.383
PIGL	0.581875
HUS1	1.2155
SFRS6	-0.264083333333333
C17orf77	0.6165
UIMC1	-0.2585
FXYD2	-1.6734
LOC283152	-0.25525
ZNF667	-1.67375
ZCCHC12	-1.42225
TFEC	2.70742857142857
ATP7B	1.6075
POLD2	-2.27833333333333
RG9MTD1	0.09075
ACOT2	-0.7695
HIST1H4I	-0.667625
PPARGC1A	1.6837
ETFA	-0.9443
POLRMT	-0.59425
ZNF146	-0.974875
MIA2	0.846
KLHL6	-0.406333333333333
HOXB5	1.054
NENF	0.666
CUGBP1	-1.0795
PRSS22	2.54016666666667
CASC4	1.8237
CUL4B	1.1075
CENPJ	-0.7057
PITX1	-1.26383333333333
FLJ31033	0.624666666666667
CELSR3	-0.115666666666667
ZNF568	-1.25625
ITSN1	-0.0845
EHBP1L1	-0.215666666666667
C19orf2	-0.443
DCTN1	-1.215
LIN28B	-2.27
TNKS2	1.42325
C1QBP	-0.351
CADPS2	0.6135
SRMS	1.19225
GJA9	0.0371666666666667
MGC24975	-0.352833333333333
TRIM45	-2.23933333333333
TSP50	0.45125
TCP1	-0.644
TMED7	1.1572
CMA1	-0.736
CENPL	-1.4415
PTCRA	-0.0005
FST	-5.57
VWCE	-4.24675
PAWR	0.92375
ABCC12	1.13166666666667
LDLR	-0.3363
ASTN2	-0.1852
LOC441212	0.413625
GPATCH8	-0.41375
TANC2	-2.59775
KIF4A	-1.1695
C18orf18	-0.5185
PGM1	-0.43525
KIAA0258	1.5595
CPD	0.731125
SNCAIP	-1.3065
DCT	-4.147
HLA-DOA	2.25
OR11L1	0.6305
UPK1B	-0.3825
DNAJB4	-0.586
UGT1A8	2.5425
HIST1H4L	-0.2465
PECR	0.0856666666666667
HSPA2	0.205
WFIKKN1	-0.818
SERP1	0.98125
SYDE2	-0.0736666666666666
TACR2	-0.0055
NUP85	-0.5525
CD177	1.74166666666667
LGR5	-1.59433333333333
PIGG	-0.279416666666667
PTHR1	-2.6995
RAB5A	0.616
FLJ13224	0.3095
USP9Y	-1.37266666666667
C7orf53	0.735
LRP1B	-0.226666666666667
XAF1	3.1696
ABCG8	0.667
ANKDD1A	-0.0948333333333333
DAND5	-2.562
SPAG6	-1.13075
LINCR	0.8845
ZDHHC22	-1.372625
CCDC60	-8.964
THOC7	-0.452833333333333
TCTA	0.7299
OR8K3	-0.17
NY-REN-7	-0.467333333333333
B2M	2.194
C6orf141	-1.504875
LPPR4	2.1575
SQLE	-0.655625
SEPHS1	-0.75275
BTBD14B	0.0235
PLRG1	-0.09975
SPG7	-0.6828125
ZNF614	-0.534
PARD6G	-0.0176666666666667
INPP5B	-1.0914
GRPEL2	0.480875
PPID	-1.1911
TRIM56	-0.12
UBE2J1	0.640125
IL20RA	5.1975
LOC387856	0.2135
C1orf107	0.036
UTS2R	0.4405
C19orf22	0.13575
SAFB2	-0.50525
KIAA0652	-0.543875
KLRG1	-0.236666666666667
MS4A8B	5.16616666666667
FRAG1	-0.00974999999999998
KIAA1546	-0.00750000000000001
E2F4	-0.802
CLEC4M	-0.712833333333333
BTBD14A	-0.8505
KIAA0999	-0.252
GYPA	-3.5275
TAC1	2.38422222222222
TRAIP	-0.452
KIAA0232	0.2741
ERCC8	-1.74571428571429
GPX4	-0.1475
KIAA0368	-0.911125
GPR157	-0.0226666666666667
CTAGE4	0.492
C9orf30	-1.5945
OR52A1	1.2105
HSP90B3P	-0.199
ALG9	-0.99
BTBD10	0.81675
SDK2	-0.553
BAIAP3	-1.35525
RABGGTB	-0.57325
ANKRD40	-1.06683333333333
KRT74	0.3515
CALCOCO2	0.790214285714286
SNCA	-4.5225
TMSL8	-3.1275
C2orf53	0.92
ESRRB	-0.369
ARHGAP26	1.0895
TDRD9	-3.61775
HRAS	-0.779833333333333
KLRC4	-1.518
JAGN1	0.0295
BSDC1	0.51875
RNF43	1.7856
NDUFAF1	0.109
PHF12	0.98425
OR1L3	0.20725
FOLR2	1.92725
LYZL6	-0.14875
tcag7.1260	0.281
WSB1	0.0466666666666667
PROS1	1.0886
OSTN	0.5645
PSMB8	2.42225
SOCS4	-0.68125
DDIT4L	-0.49525
MAS1	1.222
MGC34796	0.851
CSHL1	0.1535
TBCCD1	-1.152
ZBTB7C	-0.6545
AP2S1	-0.626625
P15RS	-0.5712
VAT1	-1.7002
SHANK3	0.075
TUFM	0.0315
THEG	-0.1145
KRT34	-1.63625
SGSM3	-0.022125
TOMM22	0.514125
SOCS3	1.13583333333333
CPO	0.5545
POP4	0.7315
BHLHB3	1.14525
MALL	3.8525
OR1B1	0.259
PARK2	0.197
GPR124	0.0445
LCE1E	0.212
RUVBL2	-1.186
CGRRF1	0.4655
ACPL2	0.433
WNT10B	-1.7665
BAIAP2L2	2.600875
ISCA1	0.105
C1orf125	5.32385714285714
RPAP1	-1.90625
RAI16	0.351333333333333
RPL27	0.0355
NLRP9	-2.125
EPN1	0.2535
LOC388610	-2.567875
SLC35A1	0.8861
GAL	-3.67425
SLC14A2	0.5995
RDH11	-1.282
FAM138F	-0.1305
AUH	-0.02325
FLJ40243	-0.0517499999999999
C14orf129	2.01133333333333
MBD2	-0.6255
ABHD14B	0.418125
PIGT	1.401625
ALS2CR4	-0.666
ALAS1	0.2197
FOXO1	1.8475
CRLF3	-0.0385
C20orf107	-0.2085
FARS2	-0.1895
CCDC28A	1.41
NPHP3	-0.31825
OR13F1	0.4035
TSEN54	0.026
DEFB106B	-0.152
OR8B4	1.5495
STH	-1.55425
ZC3H14	-1.088875
CBX2	
TMEM49	-0.09975
C6orf21	0.5715
FLJ20920	1.304875
CRTAP	-0.705214285714286
DDX50	-0.2485
STYXL1	0.858
BLVRB	-0.403
LOC147650	-1.43633333333333
MMP24	1.094
GRID1	-0.478
BANF1	-0.954333333333333
CTAGEP	0.05375
HMBS	-1.527
SLC25A24	0.989
C14orf50	1.787
MRO	-0.828333333333333
SLC25A15	0.63625
FAM84B	0.3997
TDP1	-1.005
C16orf78	-0.6464
C11orf57	0.7085
RFK	0.43525
ZFYVE9	-0.354666666666667
STCH	-0.6905
WIBG	-0.083
LOC283871	-0.328333333333333
GBA2	-0.7612
NDUFB3	0.41175
HSD17B13	-1.99525
GRIN3A	2.8942
FMNL1	-2.19
SEPT7	0.1323
GNLY	5.206
GRAMD1C	1.33316666666667
ZNF165	0.147
USP38	-0.1605
FAM83A	-2.62966666666667
C14orf24	1.31008333333333
ARMCX3	1.678625
ARHGDIB	-0.864333333333333
AK1	-0.6725
KIAA1045	-0.677
DNAJB13	0.0501666666666667
NEU2	-0.644
HIST1H4B	0.298166666666667
FAM20B	-1.4055
HES2	3.11092307692308
FAM73B	-0.4699
LOC388381	-0.4825
INTS7	-0.964
AMPH	-1.188
ZNF775	-0.572625
UCKL1	0.646666666666667
C10orf97	0.8255
C1orf161	0.6935
ALDH1L1	-0.808
FLJ39378	-1.4635
SLC23A1	0.6955
RBM4B	-1.31325
THAP4	-0.442166666666667
OGFRL1	-1.5735
KIAA0831	-0.477
PPP1R15A	-0.394833333333333
C1orf96	-0.641642857142857
C12orf11	-1.90525
BMF	0.627625
MAN1A1	-0.5015
KIAA1600	0.323166666666667
NLGN4X	-0.81125
ALOX12	-1.10333333333333
RB1CC1	0.871
NEIL2	-0.5936
EIF4E	-0.270571428571429
ABHD5	0.14325
EXOC4	0.357
CIP29	-1.04266666666667
BATF2	4.17525
SLC29A4	-1.08525
HTR4	1.88425
EMB	-0.50125
TRAF6	1.0095
LMNB1	-1.0435
FAM19A5	-0.170375
SHE	0.19775
PIK3C2B	1.80925
C15orf15	0.142
USP15	0.3841
TCEAL2	-1.12475
C5orf39	-0.918
PTGER2	0.762
SLC31A1	-0.9241875
IFT172	2.0945
ADAM29	0.42125
GFOD1	-0.2435
ST7L	0.641166666666667
C15orf26	-1.70875
PKN3	-2.13925
CNTD1	1.2282
COMMD1	0.3185
NTRK2	0.6917
FOXN3	-0.037
MFGE8	-1.1347
PFKFB2	1.32216666666667
TAS2R4	-0.44675
ENTHD1	0.739
PRMT5	-1.763375
MGC16384	-0.332625
LOC442229	0.0395
TSKU	-0.036625
KRTCAP3	4.04375
PDLIM1	1.1113
KCNS2	0.4365
RNF126	0.174
CEP63	-0.170375
CLIC4	-1.393875
hCG_1990170	2.07375
ACR	1.7972
KLK7	-0.1915
ALOX5AP	3.38325
RIPK3	5.916
TAS2R9	0.748
C19orf18	-0.2425
BIRC6	-0.190142857142857
ZNF16	-0.159
RFT1	-1.06525
SLC8A2	-0.9875
TACC1	0.825625
ITGAD	1.3995
SAMHD1	1.596
SH3PXD2B	-0.0333
EPC2	0.77675
C20orf85	0.272857142857143
ATP13A2	-0.233333333333333
KRT4	0.586625
CAPNS1	-0.96975
MDM2	-0.22525
PCDH20	5.719
KCNK9	0.36
OR2C1	-0.981
KLHDC3	-0.931166666666667
IPPK	-1.3065
EFHD2	1.162875
GALR3	0.49675
NBEA	-2.16816666666667
ABCA6	1.35877777777778
CLDN3	3.7065
AKT2	-0.835571428571429
EGFR	0.4538
RBM16	0.235625
ZDHHC3	1.3704
SLC25A4	-0.8975
CYB5B	0.4655
CPXM1	-0.8705
NDRG1	-0.592615384615385
FLJ43826	0.31825
OR5L2	-0.97
FARP2	0.7398
MRPL46	-0.89525
LDHAL6B	0.7015
MAPKAPK3	-0.457666666666667
NCAM2	-2.758
PRKD2	-0.438666666666667
ZFP36L1	0.5735
CYSLTR1	0.1805
OR4C3	0.6055
HIST1H2AJ	1.2925
CCNB2	-2.00455555555556
ZNF10	-0.938875
TMEM175	-0.1695
FAM134A	-0.265166666666667
TIGD4	-0.2075
PCNP	-0.19225
MGC39715	-3.074
LQK1	-0.55375
CREB1	-0.1656
TMPRSS3	-0.85575
C4orf32	-1.58675
LAT	-1.12866666666667
KCNA3	0.657
SKIV2L2	-0.909
ROPN1B	-3.5855
tcag7.23	-0.0005
CDT1	-2.594875
ZHX2	0.27425
CD28	-2.41825
ZNF624	-0.262
SEPT2	-0.47975
SOHLH2	-3.11
MCOLN3	-1.21766666666667
UNQ1945	0.3395
MASP2	-0.476
ZNRF3	0.1423
GPATCH3	-0.40625
AGL	-0.00749999999999999
QRICH2	-0.614
PSD4	-0.308666666666667
CCNB1IP1	-1.3455
ENPP7	0.34
OBFC1	-0.2845
KCNG3	-2.24733333333333
C14orf79	-0.795166666666667
ENPEP	-0.113833333333333
SCT	1.7205
SKI	0.23075
SEC61G	0.07075
CAPN11	2.296
ATXN7L3	-0.606
DBNDD1	-1.14366666666667
FAIM	-0.46775
ANKRD36	-0.1145
GABRP	-0.3058
TACSTD2	-3.8028
EIF3J	-0.09725
PPP2R2A	-0.356
TEKT4	-1.08533333333333
PVALB	-4.0395
F10	-1.5865
FAM134C	0.9649
COMP	1.158375
EFCBP1	-2.57853846153846
SCLT1	0.666375
TAL1	-1.4711
ACSL1	-0.54725
ABCC5	0.311083333333333
ABL1	-0.816055555555556
RBBP7	0.0175
PTPRG	0.4665
NCOR1	-0.052
SPINK4	5.89433333333333
TXNRD1	-0.2639
TNRC15	-0.0025
C9orf138	-0.401666666666667
UBE2H	0.517833333333333
BRDT	-0.73025
C8orf31	-0.11925
CCNE2	-1.42590909090909
SLC6A8	-0.459
CALCR	-3.7405
PPP1CB	0.973
ABHD8	-1.954
ARF5	0.0409
SLC24A4	1.04975
CCT3	-0.83525
ZNF121	0.061
SLC3A2	-2.025
OR13A1	0.7085
SLC5A10	0.51275
RAD50	0.1615
IER5	0.02925
MTHFD1L	-1.4255
MBTPS2	-0.4625
MVK	-0.437125
NCL	-0.3392
PSMD10	0.501
MOBP	0.386333333333333
FLJ32894	1.253
HRH1	2.376
C5orf30	1.0395
NUDT16L1	1.0482
RASGRP3	2.58833333333333
PRKRIP1	-0.2281
CCDC75	-0.36575
LOC253970	-1.481
KIAA1239	0.864333333333333
MED21	0.045
SYT11	0.687333333333333
NTSR2	-0.844
EGFL11	
CXorf59	
OR2A25	-0.119333333333333
SPTBN2	-1.396
LRMP	-0.9056
RNF111	-0.407
PTH	
LOC619208	-0.3156
KIAA0895	-0.36025
RANBP5	-0.18
P2RY10	1.757
NME5	0.722333333333333
DDX21	-0.972
LRSAM1	-1.515
HDAC11	0.514333333333333
VMO1	2.14375
NOLA2	-0.3435
ADAR	-0.131166666666667
MTO1	-0.7675
SF4	-0.415833333333333
P2RX1	1.042
HBM	0.32475
EN2	0.7485
C14orf172	0.5055
TM9SF2	1.533
INHBE	-0.819
TCTE3	0.158666666666667
TOX2	-2.903
CTAGE3	0.246875
HBB	5.478
MED15	-1.03983333333333
CASR	0.438
C6orf66	0.3635
MTPN	0.1575
UNC50	0.1295
C21orf33	-0.028625
IRF2	1.158125
PGR	-3.13016666666667
GPR84	1.363
CROCCL1	-1.69925
SRPX	-4.0165
BRE	0.0193333333333333
FGF10	0.2935
SDC3	-1.0705
ZRSR1	-0.0946666666666667
DKFZP434P211	-0.843875
SOX6	
RPUSD2	-0.8735
C14orf173	0.226333333333333
MAPK11	-0.556333333333333
TBC1D22A	0.3515
FAM123A	0.5345
COL4A6	-1.942
TOMM70A	0.42675
NAB1	0.846125
MGC16385	-2.025
TSPAN18	-0.944833333333333
MED31	0.8305
PLG	0.53875
CAPSL	0.558
ZNF532	-0.4028
ASB14	0.7855
CA8	-3.23925
NUDT16P	3.33883333333333
SLFN11	-1.0855
LRRIQ2	-0.747625
NOL7	-0.0608333333333333
BRMS1L	-1.2595
JARID1A	0.479833333333333
PANK2	-0.1905
ICAM3	1.21325
MDS1	2.314
TAF8	-0.2915
RNF139	0.15125
ZNF594	-1.98016666666667
ADAM8	0.905625
SFTPC	-0.267375
MAN2B2	0.26125
RGS12	-0.049125
EIF1AY	-4.03936363636364
LRRIQ1	-0.8945
GPR150	0.508
CCDC21	-1.83033333333333
PRRG3	0.13825
SAA4	-1.73375
RAPGEF5	4.143
ZCCHC2	0.720666666666667
MGC39372	-0.796
PPP4R2	0.033
CDCA2	-2.04833333333333
OR4D5	0.7116
PTGFRN	0.5014
SIGLEC5	1.17983333333333
C19orf61	-1.52133333333333
NMUR2	-0.2755
KIAA1586	-1.5685
DAGLA	0.797333333333333
CHCHD6	0.24125
GPR32	0.201
NEUROD6	0.5212
SLC2A4RG	-0.7744375
CA5B	-0.05675
FBXL3	1.79825
MPHOSPH9	-1.22125
HMG2L1	0.104
HCN4	-0.507833333333333
CEACAM19	-0.05525
SH2D4B	0.498
HFE2	-1.677
TGM4	1.0295
LYPD2	0.0315
TBC1D15	0.18575
MRPS21	-0.5545
NONO	-0.2617
CLEC5A	-0.0228333333333333
ITCH	1.1266
MGAT3	1.6595
MBP	0.00274999999999997
RPP25	-0.338
SOSTDC1	1.2445
HRC	-1.90075
TRIM48	1.8375
TMEM133	1.27725
ECEL1P2	-0.275666666666667
HOXC11	-1.0995
DOK5	-1.1655
HELZ	-0.0521666666666666
LOC348180	-0.66925
MGC33894	0.50375
ADRB3	-0.106
DMD	-0.054
PTRH2	-0.564
MPEG1	4.274
NDUFA12	1.01433333333333
KRTAP2-4	0.245666666666667
STAMBPL1	1.03833333333333
ADCY2	-0.6136
UNQ6125	1.8425
KLHL20	0.275666666666667
SRM	-1.90425
OTC	1.48375
TMIE	-2.05683333333333
SNX8	0.939
LIPK	-0.1485
CHURC1	0.606166666666667
KLC2	0.360666666666667
HDAC1	0.586833333333333
FAM128A	-0.481333333333333
FNDC3B	1.1667
MTCP1	0.0615
WFDC10B	1.9357
PCDHGB3	0.4845
ATRNL1	-2.5005
CAV2	-0.603
MED26	-0.2995
DUS1L	0.4075
CHRM3	-0.17675
NEK9	-1.01275
WARS2	0.69475
TBX22	
TOMM40	-1.2575
RP6-213H19.1	0.247833333333333
TUBGCP5	-1.94775
IGSF6	5.68966666666667
TPPP	0.125
UNQ6190	0.3405
GSTM5	0.713142857142857
BTD	0.3525
PDCD1LG2	-0.519166666666667
SNRPB2	0.6165
ERICH1	1.113625
APOA4	-1.9865
HOXA11	-0.10325
NARG1	-0.858875
MKX	0.91475
RAB28	-0.385571428571429
PKP3	1.99575
SH3GL2	-2.37866666666667
CTSO	2.19125
RPN2	1.0935
IL28RA	2.95383333333333
SFMBT1	0.489
WDR57	-1.164
FER1L3	0.110166666666667
HSF5	0.4128
TTC9B	0.116
C4BPA	1.97916666666667
ALB	-4.38378571428571
SORBS3	-0.15175
UPF2	0.695
JPH1	0.715
AGBL2	0.592
DOPEY1	1.679
TERF1	-0.567583333333333
KIF22	-1.423
NINJ1	-0.821
SEC61A2	-0.331083333333333
HIST1H1D	-0.2245
SFXN4	0.578
UCP3	-0.689
ZNF703	0.851333333333333
MYL6B	-2.23675
TREM1	1.79825
OR52E6	0.8145
CKMT2	6.17575
HLA-C	2.571
SLC13A3	0.389166666666667
TIMP4	-0.301
SLIT2	-0.78675
RSF1	-0.452777777777778
LONRF1	0.168642857142857
MON1A	0.331833333333333
CACNG6	-1.70733333333333
DPPA4	-6.144
ZSWIM3	1.818
ZNF804A	1.15
CCIN	0.66275
SLC25A31	0.651
KCNMB4	-2.44825
RABL5	-0.174875
GALNS	-1.2056
STX6	-0.153875
HIST1H1C	-2.7855
CIDEB	-0.473
CASP4	0.3815
PDK3	0.4504
KCNJ11	0.522
TPR	-0.555375
ZSCAN20	-0.516
MTX2	0.26525
HIST1H2BH	-0.70875
LOC283767	0.037
LYRM7	-0.956176470588235
BRD3	-1.20766666666667
HIST1H2BO	-1.42325
MAGEB10	0.201
SLC45A1	-0.38225
SERPINA3	-3.45075
KIAA0143	0.72225
KCNJ16	0.801
KRT79	-0.70575
FABP2	3.35966666666667
NUT	
ZNF57	1.546
FBXL4	0.50575
CLEC9A	1.9045
UGT8	2.591
BMP2K	0.06075
MAPK4	-3.558
SLC25A23	-0.4298
HINT1	0.3903
KRTAP13-1	0.081
SFXN5	-0.3461
CHCHD2	0.953166666666667
FAM3D	5.131
NDP	-3.11325
RHOBTB1	-0.846666666666667
SLC4A4	0.499875
RPL38	0.03675
HTF9C	-0.128333333333333
AP2A2	-0.35275
ZBTB46	-2.0775
MAP7D1	-0.74675
AOX1	-1.73216666666667
CYR61	-0.426666666666667
DTNA	-2.26253846153846
JRKL	0.488
TMOD3	0.11625
EEA1	0.8008
ADCK5	0.9295
IL1R1	0.546
KLK3	0.644769230769231
HRSP12	-0.42
KTN1	0.257
LOH11CR2A	1.6188
RELL2	-0.272
MAB21L1	1.31775
C20orf59	0.324
PHKB	0.29325
ADAM2	-3.581
TBC1D8B	3.06716666666667
FAM13A1	-0.156875
LAPTM4B	-0.686166666666667
LCN8	0.2035
TMEM147	0.023
SYT4	-0.2278
XPO7	-0.5855
C9orf62	1.061
GPR75	-0.191
TRIM5	0.027
APOC1	-2.31266666666667
RNASE4	1.61116666666667
PARD6B	0.07875
ARID1A	-1.11233333333333
TPD52L3	-0.209666666666667
RRAGB	0.879
RCN2	-0.704833333333333
HIST2H2BE	-1.8176875
STARD7	-0.4505
SHMT2	-1.30425
KIAA1751	0.1308
MLYCD	0.313625
LOC162632	-0.4944
UQCRH	-0.604
RP11-217H1.1	1.7011875
SDHA	-1.62266666666667
NCLN	0.1768
ZNF17	-0.632833333333333
RCBTB2	-1.30175
VEGFB	-1.0609
RP4-747L4.3	0.38175
COLQ	-0.2997
MPN2	-1.8156
DRG2	-1.13325
KLRB1	7.086
ALPK2	-2.8895
DNASE2B	0.53525
FLJ23834	0.144666666666667
AXUD1	1.37566666666667
SAFB	-0.4848
NSUN4	-0.62175
RFX2	-0.017
MAPK8IP1	-0.372166666666667
FANCD2	-1.67985714285714
ANKZF1	-1.472
C19orf50	-1.1175
DUSP8	2.63925
SENP5	0.390625
NFKBIL2	-0.16875
LBR	0.585
IGFL1	-2.8345
LZTS2	-1.0665
IL2RG	2.08975
CCDC51	0.0995
KLF3	1.777
ANKRD37	-0.6465
KCTD14	1.8355
FZR1	-0.152583333333333
SLC44A4	4.8754
ESPL1	-1.333875
GMPR2	-1.109
TBC1D19	-0.943
ERGIC1	0.792740740740741
ERBB4	-1.97588888888889
TSPAN32	0.254833333333333
MAP4	-0.89375
GPHN	-0.6645
SLC6A2	0.20425
HIVEP1	1.028
DFFB	0.3887
EIF4EBP2	0.828
DMRT1	-0.952333333333333
HSPB6	0.0555
IER2	0.415166666666667
AIFM1	0.69125
WWC2	-0.712777777777778
MRPL4	-0.57025
FLJ21062	1.54166666666667
EPB41L4A	-0.513545454545455
SH2D6	0.329
TAF4B	-1.0505
GAL3ST3	-0.35
MALT1	-0.243833333333333
RTDR1	1.218
ARVCF	-0.594
MEX3B	-1.81966666666667
FBXO16	0.45625
KIF7	-3.03275
C1QC	4.70966666666667
ZNF783	0.129333333333333
ZNF85	-1.26475
MMP13	-0.1865
KIAA0329	-0.713166666666667
RTP3	0.236
ZBED3	-1.82575
CLGN	-4.40925
SLC25A37	-1.02741666666667
hCG_18290	0.5545
OR5AS1	0.7915
SMARCC2	0.0458333333333333
FAM109A	0.451666666666667
CCDC12	-0.7295
USF2	-0.4959
DEPDC7	0.78425
C20orf24	1.61316666666667
JMJD3	-0.208
DSP	0.771214285714286
SLIC1	0.676625
FAM20A	-0.292375
IRF2BP2	0.765375
ZNF230	-0.7605
MSN	-1.53457142857143
SLC9A5	-1.4705
EPDR1	-2.1569
MUSK	0.163666666666667
ZNF434	-0.158333333333333
SMARCD1	-0.351666666666667
ZFP106	-1.082
