Hybridization REF	TCGA-AA-A01I-01A-02R-A00A-07
PECI	-0.935083333333333
UNG	0.448625
GSTP1	0.304625
DCUN1D5	-0.5145
DKFZP564J0863	-0.008
SLC9A3R1	-1.26725
BCDO2	-0.06275
CHMP7	-0.17275
REM2	-0.0205
DNHD1	-0.4405
FKBP4	-0.962625
ZNF350	0.45225
MGC11102	0.108875
BST1	-0.576
KISS1R	0.0415
NCR2	0.295
DEFB125	0.9125
UBE2W	0.415
KRT15	-0.275
C10orf99	4.1215
SCN11A	0.00174999999999997
GFI1	-1.63375
RDHE2	1.004
FHL1	-2.12533333333333
OSGEP	0.803833333333333
GATA1	-3.79533333333333
SMC6	0.02375
TTTY14	-0.2545
LPIN3	0.2465
RPL4	-0.3761
RBPMS	-0.7252
PRPF3	-0.557
EMR1	-1.8935
SPATA19	0.498
XCR1	0.2215
IRX3	-2.0326
RBM6	-0.29875
KLF4	-0.087
UNC5CL	2.48075
SEBOX	-0.4925
BTK	-2.27
KRCC1	1.13575
C6orf27	0.179
SYTL5	0.182
PRND	-0.110428571428571
LOC653319	-1.2225
PIGL	-0.053375
HUS1	-0.200666666666667
SFRS6	0.018
C17orf77	0.7595
UIMC1	-0.234833333333333
FXYD2	-1.0191
LOC283152	0.15575
ZNF667	-3.8975
ZCCHC12	-0.27375
TFEC	0.3328
ATP7B	1.416
POLD2	-1.6235
RG9MTD1	0.0145
ACOT2	-0.600833333333333
HIST1H4I	-0.68125
PPARGC1A	1.9975
ETFA	0.105
POLRMT	-0.21675
ZNF146	-0.127875
MIA2	0.062
KLHL6	-2.40166666666667
HOXB5	2.13975
NENF	0.231666666666667
CUGBP1	-0.0455
PRSS22	2.82666666666667
CASC4	0.833
CUL4B	0.8345
CENPJ	-1.3744
PITX1	-0.247333333333333
FLJ31033	0.6955
CELSR3	-0.334
ZNF568	-1.58575
ITSN1	-0.886166666666667
EHBP1L1	-0.466
C19orf2	0.17225
DCTN1	-1.238
LIN28B	-4.30933333333333
TNKS2	0.47625
C1QBP	0.37075
CADPS2	1.465
SRMS	0.2065
GJA9	0.502166666666667
MGC24975	0.210333333333333
TRIM45	-2.286
TSP50	-0.17525
TCP1	-0.64675
TMED7	0.4471
CMA1	-0.5445
CENPL	-1.03833333333333
PTCRA	-0.521
FST	-5.3545
VWCE	-4.33475
PAWR	1.0995
ABCC12	0.845166666666667
LDLR	-1.519
ASTN2	0.2831
LOC441212	-0.40325
GPATCH8	-0.3015
TANC2	-2.26863636363636
KIF4A	-0.55125
C18orf18	1.041
PGM1	-1.2685
KIAA0258	1.27225
CPD	1.16975
SNCAIP	-0.141
DCT	-4.52366666666667
HLA-DOA	1.21745454545455
OR11L1	0.3705
UPK1B	0.1315
DNAJB4	-1.532125
UGT1A8	2.3525
HIST1H4L	-0.729
PECR	-0.515
HSPA2	0.9435
WFIKKN1	-3.309
SERP1	0.203125
SYDE2	-0.331
TACR2	0.1415
NUP85	-0.724
CD177	-0.341
LGR5	1.35966666666667
PIGG	-0.257416666666667
PTHR1	-2.481
RAB5A	0.2173
FLJ13224	-0.2715
USP9Y	0.5595
C7orf53	-0.665
LRP1B	-0.21025
XAF1	1.8894
ABCG8	0.9045
ANKDD1A	-0.111833333333333
DAND5	-3.6565
SPAG6	0.2342
LINCR	2.907
ZDHHC22	-0.92375
CCDC60	0.196
THOC7	-0.5375
TCTA	-0.4558
OR8K3	0.54225
NY-REN-7	-0.658666666666667
B2M	1.48233333333333
C6orf141	-0.646
LPPR4	0.45825
SQLE	-0.862125
SEPHS1	-0.24275
BTBD14B	0.149642857142857
PLRG1	0.34675
SPG7	-0.7860625
ZNF614	-1.2695
PARD6G	-0.649333333333333
INPP5B	-1.3578
GRPEL2	1.47475
PPID	0.1552
TRIM56	-0.418
UBE2J1	0.86025
IL20RA	6.0595
LOC387856	0.00949999999999999
C1orf107	0.434666666666667
UTS2R	0.32625
C19orf22	-0.09875
SAFB2	-1.032
KIAA0652	-0.68825
KLRG1	-1.76283333333333
MS4A8B	2.47516666666667
FRAG1	0.3525
KIAA1546	-0.7075
E2F4	-0.9141
CLEC4M	0.2496
BTBD14A	0.0285
KIAA0999	0.6374
GYPA	-2.8768
TAC1	0.0493333333333333
TRAIP	-1.52616666666667
KIAA0232	0.6492
ERCC8	-0.3115
GPX4	-0.37375
KIAA0368	-0.66375
GPR157	-0.0398333333333333
CTAGE4	1.233
C9orf30	-0.472666666666667
OR52A1	1.3065
HSP90B3P	-0.015
ALG9	-0.7483
BTBD10	0.606
SDK2	-0.08
BAIAP3	-2.07325
RABGGTB	-0.07775
ANKRD40	0.00400000000000001
KRT74	0.3645
CALCOCO2	0.279142857142857
SNCA	-5.205
TMSL8	-4.375
C2orf53	-0.3
ESRRB	-0.02525
ARHGAP26	2.131875
TDRD9	-3.26675
HRAS	-0.8085
KLRC4	-1.909
JAGN1	0.0548333333333333
BSDC1	0.098
RNF43	1.598
NDUFAF1	0.62175
PHF12	0.491
OR1L3	0.187
FOLR2	0.5745
LYZL6	0.0246
tcag7.1260	-0.5635
WSB1	-0.825
PROS1	-0.1317
OSTN	0.1025
PSMB8	2.3765
SOCS4	-0.335285714285714
DDIT4L	-0.7035
MAS1	0.645
MGC34796	1.279
CSHL1	0.2525
TBCCD1	-0.346666666666667
ZBTB7C	-0.4535
AP2S1	-0.9145
P15RS	0.3835
VAT1	-1.6938
SHANK3	0.0118333333333333
TUFM	-0.212166666666667
THEG	-0.38375
KRT34	-0.69975
SGSM3	-0.23175
TOMM22	0.934375
SOCS3	-0.0883333333333333
CPO	1.251
POP4	0.301
BHLHB3	0.273
MALL	3.49175
OR1B1	0.2865
PARK2	0.377166666666667
GPR124	-0.475625
LCE1E	0.0825
RUVBL2	-0.6925
CGRRF1	-0.3294
ACPL2	0.41675
WNT10B	-1.73175
BAIAP2L2	2.262
ISCA1	-0.108
C1orf125	4.34775
RPAP1	-0.881
RAI16	0.199333333333333
RPL27	0.230375
NLRP9	0.4085
EPN1	-0.3585
LOC388610	-2.001
SLC35A1	0.9714
GAL	-5.4595
SLC14A2	0.1975
RDH11	-0.4135
FAM138F	-0.119
AUH	0.10625
FLJ40243	0.294
C14orf129	1.76283333333333
MBD2	-0.727666666666667
ABHD14B	-0.746125
PIGT	0.15175
ALS2CR4	-0.837375
ALAS1	1.1589
FOXO1	0.542833333333333
CRLF3	0.487625
C20orf107	-0.759
FARS2	0.36425
CCDC28A	0.9825
NPHP3	-1.1015
OR13F1	0.492
TSEN54	-0.4085
DEFB106B	0.1489
OR8B4	0.7645
STH	-1.11525
ZC3H14	-0.1655
CBX2	-0.0465
TMEM49	-1.06925
C6orf21	-0.0445
FLJ20920	-0.3385
CRTAP	-0.215142857142857
DDX50	-0.12875
STYXL1	-0.2195
BLVRB	-0.960333333333333
LOC147650	-3.04416666666667
MMP24	-0.29275
GRID1	0.595
BANF1	-1.673
CTAGEP	0.93925
HMBS	-1.2975
SLC25A24	0.555166666666667
C14orf50	2.1155
MRO	0.0405
SLC25A15	0.08875
FAM84B	1.107
TDP1	-0.2585
C16orf78	-0.0258
C11orf57	-0.2635
RFK	1.247125
ZFYVE9	0.412125
STCH	-0.6254
WIBG	1.03975
LOC283871	-0.415166666666667
GBA2	-0.3607
NDUFB3	1.21125
HSD17B13	0.049
GRIN3A	0.489
FMNL1	-2.31983333333333
SEPT7	-0.9608
GNLY	3.2355
GRAMD1C	0.00449999999999997
ZNF165	1.4915
USP38	0.89975
FAM83A	-3.05833333333333
C14orf24	0.929166666666667
ARMCX3	0.74725
ARHGDIB	-1.10333333333333
AK1	0.902125
KIAA1045	-0.06425
DNAJB13	-0.236
NEU2	0.2985
HIST1H4B	0.4995
FAM20B	-0.7524
HES2	2.31735714285714
FAM73B	-0.294
LOC388381	0.244666666666667
INTS7	-0.158090909090909
AMPH	0.161
ZNF775	-0.519
UCKL1	-0.381166666666667
C10orf97	1.07475
C1orf161	0.646
ALDH1L1	-1.467
FLJ39378	-0.923375
SLC23A1	-0.921
RBM4B	-0.90875
THAP4	0.101833333333333
OGFRL1	-0.426
KIAA0831	-0.105875
PPP1R15A	-0.516
C1orf96	-0.4575
C12orf11	-0.09
BMF	-0.186125
MAN1A1	-0.7025
KIAA1600	-0.00533333333333333
NLGN4X	-1.62
ALOX12	-0.720166666666667
RB1CC1	-0.3414
NEIL2	0.1035
EIF4E	0.874272727272727
ABHD5	0.063
EXOC4	-0.494666666666667
CIP29	-0.221833333333333
BATF2	3.8585
SLC29A4	-1.081
HTR4	0.6485
EMB	-2.761
TRAF6	0.84675
LMNB1	1.13875
FAM19A5	-1.70275
SHE	0.74625
PIK3C2B	2.18925
C15orf15	0.0964
USP15	0.0549
TCEAL2	-0.70075
C5orf39	-1.35366666666667
PTGER2	-0.42475
SLC31A1	-0.7515625
IFT172	2.048
ADAM29	-0.1035
GFOD1	-1.2065
ST7L	1.06783333333333
C15orf26	-3.22875
PKN3	-1.83575
CNTD1	1.23316666666667
COMMD1	0.324875
NTRK2	2.0735
FOXN3	0.00974999999999999
MFGE8	-1.2123
PFKFB2	2.0545
TAS2R4	0.0925
ENTHD1	0.146333333333333
PRMT5	-0.996875
MGC16384	-0.716
LOC442229	0.0635
TSKU	0.0395
KRTCAP3	4.215625
PDLIM1	1.3967
KCNS2	0.23075
RNF126	0.325833333333333
CEP63	-0.49775
CLIC4	-0.807
hCG_1990170	1.18975
ACR	1.0916
KLK7	1.78625
ALOX5AP	2.5115
RIPK3	4.26225
TAS2R9	0.9925
C19orf18	-0.977
BIRC6	0.778071428571429
ZNF16	-0.00299999999999999
RFT1	-0.66825
SLC8A2	-0.2175
TACC1	0.661125
ITGAD	0.81925
SAMHD1	0.826
SH3PXD2B	0.5708
EPC2	1.25775
C20orf85	0.382125
ATP13A2	0.0655
KRT4	0.230125
CAPNS1	-1.27775
MDM2	0.475916666666667
PCDH20	0.191
KCNK9	-0.0115
OR2C1	-0.281
KLHDC3	-1.4765
IPPK	-0.32
EFHD2	1.127
GALR3	0.46825
NBEA	-3.09416666666667
ABCA6	0.1051
CLDN3	2.46083333333333
AKT2	-0.415428571428571
EGFR	-0.1064
RBM16	0.298625
ZDHHC3	1.1891
SLC25A4	-0.182
CYB5B	0.844
CPXM1	-1.627
NDRG1	-1.36223076923077
FLJ43826	-0.01525
OR5L2	0.638166666666667
FARP2	0.8778
MRPL46	-0.0601666666666667
LDHAL6B	0.094
MAPKAPK3	0.2025
NCAM2	-3.1635
PRKD2	-0.5365
ZFP36L1	0.792
CYSLTR1	-1.7285
OR4C3	-0.0642500000000001
HIST1H2AJ	1.021
CCNB2	-0.871888888888889
ZNF10	-0.6515
TMEM175	-0.3655
FAM134A	0.2425
TIGD4	0.1455
PCNP	-0.687
MGC39715	-0.183
LQK1	-0.41025
CREB1	0.0435
TMPRSS3	-0.05225
C4orf32	1.125625
LAT	-2.12083333333333
KCNA3	0.2835
SKIV2L2	-1.27225
ROPN1B	-4.00025
tcag7.23	0.111
CDT1	-1.988625
ZHX2	0.23975
CD28	-3.68825
ZNF624	0.45075
SEPT2	0.305416666666667
SOHLH2	-1.484125
MCOLN3	0.696571428571429
UNQ1945	-0.011
MASP2	0.017
ZNRF3	1.2606
GPATCH3	-0.62675
AGL	-0.134625
QRICH2	-1.305
PSD4	0.157166666666667
CCNB1IP1	-0.78475
ENPP7	0.17975
OBFC1	0.25025
KCNG3	-2.155
C14orf79	-1.21166666666667
ENPEP	0.3505
SCT	1.5085
SKI	0.37825
SEC61G	-0.65375
CAPN11	0.337
ATXN7L3	-0.64775
DBNDD1	-1.234
FAIM	0.1735
ANKRD36	-0.877
GABRP	0.072
TACSTD2	-1.4314
EIF3J	0.17925
PPP2R2A	-0.16175
TEKT4	-1.2715
PVALB	-4.33233333333333
F10	-3.2565
FAM134C	0.4828
COMP	0.06825
EFCBP1	-3.2390625
SCLT1	-0.0535
TAL1	-1.4421
ACSL1	0.11725
ABCC5	-0.601416666666667
ABL1	-0.736555555555556
RBBP7	0.284416666666667
PTPRG	0.20025
NCOR1	0.4617
SPINK4	6.64366666666667
TXNRD1	-0.5965
TNRC15	0.52975
C9orf138	0.16575
UBE2H	1.143
BRDT	0.0928333333333333
C8orf31	-0.42425
CCNE2	-1.43272727272727
SLC6A8	-1.115
CALCR	-3.87025
PPP1CB	1.218
ABHD8	-1.77275
ARF5	-0.3264
SLC24A4	0.3305
CCT3	-0.58375
ZNF121	-0.166125
SLC3A2	-1.1718
OR13A1	0.1745
SLC5A10	0.24175
RAD50	0.472875
IER5	-0.240625
MTHFD1L	0.018
MBTPS2	1.14875
MVK	-0.357
NCL	0.631
PSMD10	0.398
MOBP	0.12075
FLJ32894	-0.95
HRH1	1.24466666666667
C5orf30	-0.177
NUDT16L1	0.071
RASGRP3	1.5945
PRKRIP1	-0.9602
CCDC75	0.188
LOC253970	0.18075
KIAA1239	2.268
MED21	0.31425
SYT11	-0.698083333333333
NTSR2	-0.141
EGFL11	0.7595
CXorf59	0.2315
OR2A25	0.0983333333333333
SPTBN2	-0.8325
LRMP	-0.288666666666667
RNF111	-0.518
PTH	-0.2715
LOC619208	-0.757333333333333
KIAA0895	-0.371
RANBP5	0.142125
P2RY10	-0.458
NME5	-1.25116666666667
DDX21	-0.18975
LRSAM1	-1.053
HDAC11	-0.024
VMO1	0.11225
NOLA2	-0.321333333333333
ADAR	-0.318833333333333
MTO1	-0.491333333333333
SF4	-0.247333333333333
P2RX1	0.100833333333333
HBM	-0.01075
EN2	0.7505
C14orf172	0.479
TM9SF2	0.9377
INHBE	-0.772166666666667
TCTE3	0.0159166666666667
TOX2	-2.874
CTAGE3	0.48575
HBB	3.4772
MED15	-1.08166666666667
CASR	0.71075
C6orf66	1.2355
MTPN	-1.02375
UNC50	0.2565
C21orf33	0.27375
IRF2	1.235875
PGR	-2.2716
GPR84	0.597
CROCCL1	-1.266
SRPX	-3.89975
BRE	0.474666666666667
FGF10	0.646
SDC3	-0.0275
ZRSR1	-0.488333333333333
DKFZP434P211	-1.16525
SOX6	1.233
RPUSD2	0.19075
C14orf173	0.611083333333333
MAPK11	-1.0015
TBC1D22A	0.574
FAM123A	-0.383
COL4A6	-2.24983333333333
TOMM70A	0.5805
NAB1	0.97425
MGC16385	-1.395
TSPAN18	-1.73633333333333
MED31	-0.09475
PLG	-0.19275
CAPSL	0.4605
ZNF532	0.2523
ASB14	-0.08575
CA8	-0.91625
NUDT16P	2.727
SLFN11	-2.641
LRRIQ2	-1.05725
NOL7	-0.144333333333333
BRMS1L	-0.42125
JARID1A	-0.0468333333333333
PANK2	-0.284
ICAM3	0.11125
MDS1	2.0075
TAF8	0.10275
RNF139	-0.3235
ZNF594	-0.7925
ADAM8	0.204
SFTPC	-0.086625
MAN2B2	0.332875
RGS12	-0.1380625
EIF1AY	1.14566666666667
LRRIQ1	-1.27166666666667
GPR150	0.44375
CCDC21	-1.694
PRRG3	0.28625
SAA4	-3.5955
RAPGEF5	1.57175
ZCCHC2	0.543833333333333
MGC39372	0.3735
PPP4R2	0.374833333333333
CDCA2	-1.21183333333333
OR4D5	0.381166666666667
PTGFRN	1.0253
SIGLEC5	0.017
C19orf61	-1.0055
NMUR2	0.3105
KIAA1586	-1.24466666666667
DAGLA	2.59933333333333
CHCHD6	-0.52825
GPR32	0.4015
NEUROD6	0.534833333333333
SLC2A4RG	-1.53675
CA5B	0.0385
FBXL3	0.492
MPHOSPH9	-0.45
HMG2L1	0.058
HCN4	0.228833333333333
CEACAM19	-0.394
SH2D4B	0.5025
HFE2	0.3115
TGM4	0.94425
LYPD2	-0.3915
TBC1D15	-0.08175
MRPS21	0.1821
NONO	0.4901
CLEC5A	0.160625
ITCH	0.7218
MGAT3	-1.763
MBP	0.208875
RPP25	0.6955
SOSTDC1	2.099
HRC	-2.0155
TRIM48	0.331
TMEM133	0.056
ECEL1P2	-0.773
HOXC11	0.071
DOK5	-1.8655
HELZ	-0.323333333333333
LOC348180	-0.28125
MGC33894	0.39525
ADRB3	-0.0585
DMD	0.1045
PTRH2	-0.47925
MPEG1	1.96583333333333
NDUFA12	0.779
KRTAP2-4	0.02775
STAMBPL1	0.976666666666667
ADCY2	-1.00283333333333
UNQ6125	0.192
KLHL20	-0.0971666666666667
SRM	-1.90925
OTC	1.05125
TMIE	0.112166666666667
SNX8	-0.17975
LIPK	-0.1835
CHURC1	-0.93025
KLC2	0.116166666666667
HDAC1	0.733166666666667
FAM128A	0.3055
FNDC3B	0.4397
MTCP1	0.0923333333333333
WFDC10B	1.8408
PCDHGB3	0.391
ATRNL1	-2.4554
CAV2	-1.852625
MED26	-0.821166666666667
DUS1L	0.8985
CHRM3	0.19575
NEK9	-0.63075
WARS2	1.10325
TBX22	0.7365
TOMM40	-0.866
RP6-213H19.1	0.765666666666667
TUBGCP5	-0.8245
IGSF6	2.86175
TPPP	0.02
UNQ6190	0.364
GSTM5	0.330125
BTD	-0.236833333333333
PDCD1LG2	-0.533333333333333
SNRPB2	0.662
ERICH1	0.32625
APOA4	-1.525375
HOXA11	0.493
NARG1	0.268625
MKX	1.336
RAB28	-0.428571428571428
PKP3	2.25075
SH3GL2	-1.75675
CTSO	1.24875
RPN2	0.6326875
IL28RA	1.33683333333333
SFMBT1	0.9285
WDR57	-0.12775
FER1L3	-0.685083333333333
HSF5	0.249833333333333
TTC9B	0.77
C4BPA	1.09916666666667
ALB	-4.39621428571429
SORBS3	-0.63875
UPF2	0.583
JPH1	1.3185
AGBL2	-0.923
DOPEY1	2.727
TERF1	-0.234916666666667
KIF22	-1.2905
NINJ1	-0.78125
SEC61A2	-0.2145
HIST1H1D	-1.573
SFXN4	0.779
UCP3	-0.2768
ZNF703	0.866333333333333
MYL6B	-0.75425
TREM1	0.913
OR52E6	0.5055
CKMT2	6.13475
HLA-C	2.75025
SLC13A3	0.6695
TIMP4	-1.56575
SLIT2	-1.43625
RSF1	-0.444666666666667
LONRF1	-0.123714285714286
MON1A	0.186
CACNG6	-1.7815
DPPA4	-6.1615
ZSWIM3	1.1885
ZNF804A	-0.172
CCIN	0.78675
SLC25A31	0.83875
KCNMB4	-2.1045
RABL5	-0.695875
GALNS	-1.063
STX6	0.224875
HIST1H1C	-4.93583333333333
CIDEB	-1.79975
CASP4	0.3985
PDK3	1.5068
KCNJ11	0.2535
TPR	-1.09225
ZSCAN20	0.146
MTX2	0.96025
HIST1H2BH	0.0775000000000001
LOC283767	-1.009
LYRM7	-0.863176470588235
BRD3	-0.6485
HIST1H2BO	-1.732
MAGEB10	0.197
SLC45A1	-0.061
SERPINA3	-2.70595
KIAA0143	0.505
KCNJ16	-0.6075
KRT79	0.1745
FABP2	1.2645
NUT	-0.221333333333333
ZNF57	0.1195
FBXL4	0.5035
CLEC9A	-0.3495
UGT8	3.39266666666667
BMP2K	0.363
MAPK4	-4.489
SLC25A23	-1.883
HINT1	0.2078
KRTAP13-1	-0.316
SFXN5	-0.1359
CHCHD2	-0.0429166666666666
FAM3D	4.947
NDP	-2.5815
RHOBTB1	0.155333333333333
SLC4A4	-0.561625
RPL38	-0.03775
HTF9C	-1.216
AP2A2	0.158875
ZBTB46	-0.873
MAP7D1	-0.991
AOX1	-2.33716666666667
CYR61	-1.96583333333333
DTNA	-1.70614285714286
JRKL	0.4645
TMOD3	0.26875
EEA1	1.0531
ADCK5	0.3995
IL1R1	0.406166666666667
KLK3	0.422928571428571
HRSP12	0.108
KTN1	-0.18375
LOH11CR2A	1.9301
RELL2	-1.10225
MAB21L1	-0.74875
C20orf59	-0.766833333333333
PHKB	0.1375
ADAM2	-2.056
TBC1D8B	1.6165
FAM13A1	0.0653125
LAPTM4B	-0.9065
LCN8	-0.0195
TMEM147	0.2135
SYT4	0.128
XPO7	-0.119
C9orf62	0.853
GPR75	0.2355
TRIM5	0.8415
APOC1	-3.102
RNASE4	0.9295
PARD6B	-1.485
ARID1A	-0.36075
TPD52L3	-0.2125
RRAGB	0.266333333333333
RCN2	-0.645666666666667
HIST2H2BE	-1.59575
STARD7	0.25625
SHMT2	0.48975
KIAA1751	0.140166666666667
MLYCD	0.555125
LOC162632	-0.9043
UQCRH	-0.09525
RP11-217H1.1	1.0066875
SDHA	-0.937833333333333
NCLN	0.5248
ZNF17	-0.314166666666667
RCBTB2	-1.64625
VEGFB	-1.1805
RP4-747L4.3	0.10725
COLQ	-0.4361
MPN2	-1.001
DRG2	-0.67125
KLRB1	3.409
ALPK2	-3.61675
DNASE2B	0.99875
FLJ23834	0.135166666666667
AXUD1	-0.2815
SAFB	-0.0777
NSUN4	0.3085
RFX2	-0.688
MAPK8IP1	-0.208333333333333
FANCD2	-0.920785714285714
ANKZF1	-1.16833333333333
C19orf50	-0.83375
DUSP8	1.0655
SENP5	0.30825
NFKBIL2	-0.0145
LBR	0.626375
IGFL1	0.392
LZTS2	-0.798875
IL2RG	1.50025
CCDC51	0.37025
KLF3	1.279375
ANKRD37	-1.198
KCTD14	2.478
FZR1	0.49475
SLC44A4	4.354
ESPL1	-0.6675
GMPR2	-1.168
TBC1D19	-1.23283333333333
ERGIC1	0.370296296296296
ERBB4	-1.1269
TSPAN32	0.296833333333333
MAP4	-0.57125
GPHN	0.3375
SLC6A2	-0.3895
HIVEP1	0.07725
DFFB	0.601
EIF4EBP2	0.327625
DMRT1	-0.236
HSPB6	-0.041
IER2	-0.0586666666666666
AIFM1	1.484
WWC2	-1.1485
MRPL4	-0.506
FLJ21062	-0.487166666666667
EPB41L4A	-0.92675
SH2D6	0.6335
TAF4B	-0.6235
GAL3ST3	-0.3035
MALT1	-0.256666666666667
RTDR1	0.6675
ARVCF	-0.011875
MEX3B	-2.54466666666667
FBXO16	1.00575
KIF7	-2.136
C1QC	4.01466666666667
ZNF783	-0.662166666666667
ZNF85	-1.77525
MMP13	-0.16
KIAA0329	0.193857142857143
RTP3	-0.185
ZBED3	-0.1415
CLGN	-2.656
SLC25A37	-1.49829166666667
hCG_18290	0.231
OR5AS1	0.5105
SMARCC2	-0.246
FAM109A	1.02183333333333
CCDC12	-0.12775
USF2	-0.5605
DEPDC7	0.8495
C20orf24	0.611666666666667
JMJD3	0.232
DSP	0.596857142857143
SLIC1	0.446
FAM20A	-1.075375
IRF2BP2	0.55475
ZNF230	-0.861
MSN	-1.73642857142857
SLC9A5	-1.619
EPDR1	0.6112
MUSK	-0.0316666666666667
ZNF434	-0.517333333333333
SMARCD1	0.627333333333333
