Hybridization REF	TCGA-AA-A02W-01A-01R-A00A-07
C1orf96	-0.904
C12orf11	-0.5695
BMF	0.33075
MAN1A1	-2.208375
KIAA1600	-0.194166666666667
NLGN4X	-1.59975
ALOX12	0.1475
RB1CC1	0.767
NEIL2	-0.4311
EIF4E	-0.314681818181818
ABHD5	-1.26875
EXOC4	0.290666666666667
CIP29	-0.530333333333333
BATF2	3.34875
SLC29A4	-0.90125
HTR4	1.70975
EMB	-0.32525
TRAF6	1.144
LMNB1	0.4345
FAM19A5	-0.891
SHE	0.31525
PIK3C2B	2.072
C15orf15	-0.6463
USP15	-0.4824
TCEAL2	0.127
C5orf39	-1.74216666666667
PTGER2	-1.1275
SLC31A1	-1.31225
IFT172	1.4515
ADAM29	0.125
GFOD1	0.29075
ST7L	-0.039
C15orf26	-2.21775
PKN3	-2.167
CNTD1	1.78283333333333
COMMD1	-0.412125
NTRK2	0.238583333333333
FOXN3	0.009625
MFGE8	-0.4942
PFKFB2	0.5185
TAS2R4	0.1285
ENTHD1	-0.361666666666667
PRMT5	-0.394
MGC16384	0.041625
LOC442229	-0.666
TSKU	0.55325
KRTCAP3	4.041875
PDLIM1	0.8128
KCNS2	-0.34325
RNF126	-0.626666666666667
CEP63	-0.30825
CLIC4	-1.26075
hCG_1990170	0.862
ACR	1.8329
KLK7	0.4115
ALOX5AP	1.327125
RIPK3	4.7895
TAS2R9	0.5255
C19orf18	0.2735
BIRC6	0.4565
ZNF16	1.345
RFT1	0.25125
SLC8A2	-0.5435
TACC1	-0.23725
ITGAD	0.50175
SAMHD1	0.142
SH3PXD2B	0.3555
EPC2	1.51125
C20orf85	0.534125
ATP13A2	0.272666666666667
KRT4	0.18925
CAPNS1	-0.17075
MDM2	-0.56925
PCDH20	1.23075
KCNK9	0.243
OR2C1	-0.3115
KLHDC3	-0.337333333333333
IPPK	-0.229
EFHD2	0.3115
GALR3	0.48225
NBEA	-2.25133333333333
ABCA6	0.6593
CLDN3	3.49383333333333
AKT2	-0.0758571428571428
EGFR	0.407
RBM16	0.816875
ZDHHC3	1.0698
SLC25A4	-0.599166666666667
CYB5B	-0.924333333333333
CPXM1	-1.7325
NDRG1	0.663384615384615
FLJ43826	0.17025
OR5L2	0.231333333333333
FARP2	0.8829
MRPL46	-0.893333333333333
LDHAL6B	0.1005
MAPKAPK3	0.218
NCAM2	-3.30475
PRKD2	-0.283333333333333
ZFP36L1	0.6759
CYSLTR1	-1.47325
OR4C3	0.2265
HIST1H2AJ	-0.1355
CCNB2	-1.81677777777778
ZNF10	-0.092375
TMEM175	0.064
FAM134A	0.655333333333333
TIGD4	0.305
PCNP	-0.256
MGC39715	0.00724999999999999
LQK1	-0.62175
CREB1	-0.1135
TMPRSS3	-2.16225
C4orf32	-1.482875
LAT	-0.7745
KCNA3	-0.6
SKIV2L2	-0.789
ROPN1B	-3.99075
tcag7.23	0.2495
CDT1	-1.712875
ZHX2	0.33175
CD28	-3.905
ZNF624	-0.1765
SEPT2	-0.249166666666667
SOHLH2	-2.61725
MCOLN3	-0.0574285714285714
UNQ1945	0.1915
MASP2	-0.96
ZNRF3	1.4218
GPATCH3	-0.34225
AGL	0.099875
QRICH2	-0.0795
PSD4	0.189333333333333
CCNB1IP1	0.471
ENPP7	0.0575
OBFC1	-0.55925
KCNG3	-1.92325
C14orf79	0.4345
ENPEP	-0.106666666666667
SCT	0.3475
SKI	0.387125
SEC61G	-0.7415
CAPN11	-0.033
ATXN7L3	0.387
DBNDD1	0.007
FAIM	0.36175
ANKRD36	-1.0775
GABRP	0.797333333333333
TACSTD2	-0.703
EIF3J	-0.252
PPP2R2A	-1.3715
TEKT4	-1.61183333333333
PVALB	-4.26116666666667
F10	-0.6055
FAM134C	0.6636
COMP	3.152625
EFCBP1	-3.5035
SCLT1	-1.025875
TAL1	-1.3842
ACSL1	0.9275
ABCC5	0.1185
ABL1	-0.381666666666667
RBBP7	0.0524166666666667
PTPRG	-0.4685
NCOR1	-0.1088
SPINK4	1.89116666666667
TXNRD1	-1.154
TNRC15	0.5895
C9orf138	0.012125
UBE2H	0.0146666666666666
BRDT	0.0738333333333333
C8orf31	0.26625
CCNE2	-0.519272727272727
SLC6A8	-0.81225
CALCR	-4.68375
PPP1CB	0.351833333333333
ABHD8	-1.72325
ARF5	0.2761
SLC24A4	0.2075
CCT3	-0.30275
ZNF121	-0.381125
SLC3A2	-0.3658
OR13A1	0.2465
SLC5A10	0.00524999999999999
RAD50	0.691875
IER5	-0.315
MTHFD1L	-0.21375
MBTPS2	0.73425
MVK	-0.680625
NCL	0.4044
PSMD10	-0.309
MOBP	0.049125
FLJ32894	-0.4575
HRH1	0.718
C5orf30	0.43875
NUDT16L1	0.3688
RASGRP3	1.64066666666667
PRKRIP1	-0.6521
CCDC75	-0.73275
LOC253970	6.97825
KIAA1239	0.39575
MED21	-0.50975
SYT11	-0.217083333333333
NTSR2	-0.096
EGFL11	0.2525
CXorf59	0.8875
OR2A25	-0.09525
SPTBN2	-0.70025
LRMP	-1.8535
RNF111	-0.17625
PTH	-0.9845
LOC619208	-0.565166666666667
KIAA0895	-0.1125
RANBP5	0.601125
P2RY10	-0.1125
NME5	2.44816666666667
DDX21	-0.41225
LRSAM1	-0.131
HDAC11	0.503
VMO1	0.408
NOLA2	-0.519666666666667
ADAR	-0.480916666666667
MTO1	-0.7795
SF4	-0.00866666666666666
P2RX1	-0.0856666666666667
HBM	0.10475
EN2	0.7205
C14orf172	1.05525
TM9SF2	0.9877
INHBE	-0.553166666666667
TCTE3	-0.0946666666666666
TOX2	-3.82425
CTAGE3	-0.144875
HBB	3.7522
MED15	-0.787
CASR	0.25175
C6orf66	0.347833333333333
MTPN	-0.52175
UNC50	-0.055
C21orf33	-0.141
IRF2	0.582875
PGR	-2.83633333333333
GPR84	0.52
CROCCL1	-1.096
SRPX	-3.8615
BRE	0.3175
FGF10	-0.48775
SDC3	-0.0875
ZRSR1	-0.108333333333333
DKFZP434P211	-0.189375
SOX6	0.645
RPUSD2	0.18525
C14orf173	-0.106
MAPK11	-0.403333333333333
TBC1D22A	-0.0275
FAM123A	-0.071
COL4A6	-2.71366666666667
TOMM70A	0.38725
NAB1	0.595375
MGC16385	-0.301375
TSPAN18	-0.426666666666667
MED31	-0.471
PLG	0.59725
CAPSL	0.509
ZNF532	0.4426
ASB14	0.561
CA8	-0.6695
NUDT16P	2.881
SLFN11	-2.277
LRRIQ2	-0.70625
NOL7	-0.262166666666667
BRMS1L	-0.322625
JARID1A	0.289833333333333
PANK2	0.16025
ICAM3	-1.425
MDS1	1.91475
TAF8	0.1315
RNF139	0.87525
ZNF594	-0.320833333333333
ADAM8	-0.08925
SFTPC	-0.199875
MAN2B2	0.183125
RGS12	-0.4261875
EIF1AY	-4.12891666666667
LRRIQ1	-1.7695
GPR150	0.723
CCDC21	-1.2395
PRRG3	0.0495
SAA4	-4.2595
RAPGEF5	1.6195
ZCCHC2	0.55825
MGC39372	0.0865
PPP4R2	0.1155
CDCA2	-2.53466666666667
OR4D5	0.335166666666667
PTGFRN	0.4901
SIGLEC5	0.282833333333333
C19orf61	-1.07166666666667
NMUR2	0.2775
KIAA1586	-1.14783333333333
DAGLA	1.08483333333333
CHCHD6	-0.3005
GPR32	0.2775
NEUROD6	0.2895
SLC2A4RG	-0.5519375
CA5B	0.2795
FBXL3	1.15
MPHOSPH9	-1.20275
HMG2L1	-0.11075
HCN4	0.349333333333333
CEACAM19	1.099
SH2D4B	0.163833333333333
HFE2	-0.6695
TGM4	-0.4145
LYPD2	-0.0965
TBC1D15	0.08175
MRPS21	-0.509
NONO	-0.0506
CLEC5A	0.104375
ITCH	0.1938
MGAT3	-0.218333333333333
MBP	0.0709999999999999
RPP25	-0.33175
SOSTDC1	3.50725
HRC	-2.0205
TRIM48	0.0195
TMEM133	0.98225
ECEL1P2	-0.53825
HOXC11	-0.292
DOK5	-1.59
HELZ	-0.0498333333333333
LOC348180	-0.65325
MGC33894	0.39
ADRB3	0.1515
DMD	0.0635833333333333
PTRH2	0.017
MPEG1	1.7515
NDUFA12	0.0623333333333333
KRTAP2-4	-0.0225
STAMBPL1	0.0416666666666667
ADCY2	-0.7826
UNQ6125	0.084
KLHL20	-0.5375
SRM	-1.00125
OTC	2.14825
TMIE	0.604166666666667
SNX8	-0.38975
LIPK	-0.219
CHURC1	-0.0879999999999999
KLC2	0.213666666666667
HDAC1	0.311166666666667
FAM128A	0.00833333333333334
FNDC3B	0.7179
MTCP1	-0.247833333333333
WFDC10B	1.228
PCDHGB3	-0.036
ATRNL1	-2.0888
CAV2	-1.311
MED26	-0.121833333333333
DUS1L	1.1735
CHRM3	0.232375
NEK9	0.58275
WARS2	0.6025
TBX22	0.446
TOMM40	-0.382
RP6-213H19.1	0.3715
TUBGCP5	-0.30175
IGSF6	3.252
TPPP	1.21633333333333
UNQ6190	0.115
GSTM5	0.84
BTD	-0.146833333333333
PDCD1LG2	-0.522666666666667
SNRPB2	0.572666666666667
ERICH1	-0.43075
APOA4	-1.596875
HOXA11	0.4645
NARG1	-0.253125
MKX	-0.19525
RAB28	-0.756285714285714
PKP3	2.20275
SH3GL2	-2.54525
CTSO	0.93
RPN2	0.729875
IL28RA	1.98
SFMBT1	-0.46775
WDR57	-1.03375
FER1L3	-0.558666666666667
HSF5	-0.196833333333333
TTC9B	0.49175
C4BPA	-3.61216666666667
ALB	-4.77585714285714
SORBS3	-0.462125
UPF2	0.306
JPH1	2.2595
AGBL2	1.0315
DOPEY1	1.5145
TERF1	0.573083333333333
KIF22	-0.5095
NINJ1	-0.85575
SEC61A2	-0.731
HIST1H1D	-1.27766666666667
SFXN4	0.629875
UCP3	0.5131
ZNF703	0.4935
MYL6B	-0.11575
TREM1	0.50675
OR52E6	0.5215
CKMT2	5.7245
HLA-C	1.40325
SLC13A3	1.90866666666667
TIMP4	-0.16975
SLIT2	0.75275
RSF1	-0.0485555555555556
LONRF1	-1.62592857142857
MON1A	0.0936666666666667
CACNG6	-1.73233333333333
DPPA4	-6.40633333333333
ZSWIM3	1.55975
ZNF804A	-0.31
CCIN	0.253
SLC25A31	-0.0835
KCNMB4	-0.81775
RABL5	-0.189625
GALNS	-0.6962
STX6	0.236125
HIST1H1C	-4.57166666666667
CIDEB	-1.29
CASP4	0.610666666666667
PDK3	-0.0224
KCNJ11	0.711
TPR	-0.6275
ZSCAN20	0.0255
MTX2	0.08275
HIST1H2BH	-1.3295
LOC283767	0.48525
LYRM7	-0.923722222222222
BRD3	0.104666666666667
HIST1H2BO	-1.68175
MAGEB10	-0.0475
SLC45A1	-0.3395
SERPINA3	-3.3573
KIAA0143	0.913
KCNJ16	-0.1385
KRT79	-0.037
FABP2	0.609
NUT	-0.08625
ZNF57	1.162
FBXL4	0.738625
CLEC9A	0.403
UGT8	1.69416666666667
BMP2K	-0.1315
MAPK4	-3.8935
SLC25A23	-0.6799
HINT1	-0.6597
KRTAP13-1	0.059
SFXN5	-0.0882
CHCHD2	-0.276916666666667
FAM3D	4.931
NDP	-3.439375
RHOBTB1	0.114666666666667
SLC4A4	-1.3505
RPL38	0.6655
HTF9C	-1.72016666666667
AP2A2	0.35
ZBTB46	-0.813
MAP7D1	-1.073875
AOX1	-1.632
CYR61	-1.15608333333333
DTNA	-0.4685
JRKL	1.44
TMOD3	-1.46475
EEA1	0.0941
ADCK5	1.8735
IL1R1	-0.537
KLK3	0.288214285714286
HRSP12	1.67475
KTN1	0.34525
LOH11CR2A	0.0585
RELL2	-0.845
MAB21L1	-0.075
C20orf59	0.157166666666667
PHKB	-0.08475
ADAM2	-1.79116666666667
TBC1D8B	1.09816666666667
FAM13A1	-0.1170625
LAPTM4B	1.093
LCN8	-0.007
TMEM147	-0.2815
SYT4	1.32533333333333
XPO7	-1.628
C9orf62	0.83625
GPR75	0.1205
TRIM5	0.291875
APOC1	-1.292
RNASE4	0.743333333333334
PARD6B	-1.745375
ARID1A	-0.0745
TPD52L3	0.2905
RRAGB	0.0866666666666667
RCN2	-0.661333333333333
HIST2H2BE	-1.587875
STARD7	0.35675
SHMT2	-0.60325
KIAA1751	0.133166666666667
MLYCD	0.3715
LOC162632	0.1873
UQCRH	-1.7045
RP11-217H1.1	0.252875
SDHA	-0.297
NCLN	0.3942
ZNF17	-0.057
RCBTB2	-1.98175
VEGFB	-0.1968
RP4-747L4.3	-0.388
COLQ	0.2327
MPN2	-0.523666666666667
DRG2	-0.44775
KLRB1	3.5745
ALPK2	-3.4695
DNASE2B	1.05475
FLJ23834	-0.148166666666667
AXUD1	-0.763833333333333
SAFB	0.0318
NSUN4	-0.167
RFX2	-0.134333333333333
MAPK8IP1	0.685833333333333
FANCD2	-0.536571428571429
ANKZF1	-0.742166666666667
C19orf50	-0.846125
DUSP8	1.352875
SENP5	-0.09425
NFKBIL2	0.447
LBR	0.909
IGFL1	0.35
LZTS2	-0.180375
IL2RG	2.37725
CCDC51	0.0285
KLF3	1.13525
ANKRD37	-1.65075
KCTD14	2.66316666666667
FZR1	-0.190916666666667
SLC44A4	3.2236
ESPL1	-0.757375
GMPR2	-0.4687
TBC1D19	-1.28166666666667
ERGIC1	0.371777777777778
ERBB4	-1.5722
TSPAN32	0.310416666666667
MAP4	-0.68825
GPHN	0.344
SLC6A2	2.193375
HIVEP1	0.25075
DFFB	0.466
EIF4EBP2	0.41925
DMRT1	5.27775
HSPB6	-0.39975
IER2	0.0638333333333333
AIFM1	0.3865
WWC2	-0.582666666666667
MRPL4	-0.18775
FLJ21062	1.1075
EPB41L4A	0.156333333333333
SH2D6	0.25875
TAF4B	-0.0105
GAL3ST3	-0.2035
MALT1	-0.6435
RTDR1	1.623
ARVCF	-0.837
MEX3B	-2.78983333333333
FBXO16	-1.42475
KIF7	-1.41075
C1QC	3.40516666666667
ZNF783	0.306333333333333
ZNF85	-0.47525
MMP13	0.337
KIAA0329	0.573625
RTP3	-0.0205
ZBED3	0.20375
CLGN	-4.97925
SLC25A37	-1.69625
hCG_18290	0.05425
OR5AS1	0.2205
SMARCC2	0.226333333333333
FAM109A	0.918666666666667
CCDC12	0.48
USF2	-0.5236
DEPDC7	-0.4295
C20orf24	0.328166666666667
JMJD3	-0.0225
DSP	0.829928571428571
SLIC1	-0.28575
FAM20A	-1.01175
IRF2BP2	0.945875
ZNF230	-0.6725
MSN	-0.762428571428571
SLC9A5	-1.523
