Hybridization REF	TCGA-AA-A01G-01A-01R-A002-07
F8A1	-0.118333333333333
PLEKHG4	0.919
GRB2	0.07315
HIST1H2AD	-1.36525
DUS3L	-0.101833333333333
EIF1	0.341333333333333
RP5-1077B9.4	-1.0645
FPGT	0.88175
GDF10	-2.14666666666667
COQ9	0.29575
GCC2	0.246357142857143
RARRES3	0.95375
PLXNA1	-0.3433
KIAA0100	-0.0944000000000001
PMF1	-0.551
FNDC1	3.908
HS2ST1	0.22275
CRELD2	0.25625
C8G	-0.739
CD82	-0.33425
LIM2	-0.879
UNQ6490	-0.3125
MMP16	-0.31675
DRD3	0.1365
C5orf26	-0.42475
C11orf73	0.135375
PTP4A2	0.86825
OR4M2	0.1525
HPCA	-1.11466666666667
SEC14L1	-1.17383333333333
CHFR	-1.804625
EMILIN1	0.043125
NDUFS4	0.03525
COL18A1	-1.45225
PDZD3	3.0554
C9orf16	0.0715
ERBB2IP	-0.225333333333333
EMX2	-0.53925
FUS	-1.60125
TF	-3.9859
CLCN4	1.479
CXorf56	0.3735
C11orf72	0.49575
ELAC2	-1.34908333333333
NPR1	-2.29325
ASS1	0.5375
USP42	-0.218875
POLR2J	-0.7075
SEC23IP	0.700833333333333
UQCRC1	0.243
LOC729603	-0.026
C1orf71	-0.617625
POLG	-1.0855
ADAM23	-3.953
TFR2	-0.826
RICTOR	-0.9366
MGC39606	-0.54625
C19orf55	0.29125
SNAPC1	-1.5
GNA11	0.681125
CCDC52	-0.0498333333333333
FSIP1	1.315
UPF3A	-0.260375
IGSF11	-2.96516666666667
LAGE3	-0.20525
CHST6	-2.073
UNC13B	1.12125
TTLL4	-0.52075
ZNF687	-0.6145
SDC2	-2.0277
COX7A2	0.09325
LAMB4	0.4485
FAM24A	0.683
LRRTM3	-1.4445
GPHB5	0.3135
OR4C13	0.2955
EIF3EIP	0.500785714285714
HABP4	-1.177
TMEM125	3.71425
CNTN2	-0.048375
ASNSD1	-0.29475
FUT4	2.08
ACF	0.72075
LOC158381	0.1715
CDH8	-0.1165
AGPS	0.504
C4orf18	1.84775
PECI	-1.54491666666667
UNG	0.44625
GSTP1	-0.096625
DCUN1D5	-0.32
DKFZP564J0863	-1.09375
SLC9A3R1	-0.126625
BCDO2	0.396375
CHMP7	-0.871625
REM2	0.585
DNHD1	-0.366375
FKBP4	-0.607375
ZNF350	0.65375
MGC11102	0.06625
BST1	-0.7845
KISS1R	0.4435
NCR2	0.339
DEFB125	0.617
UBE2W	0.778875
KRT15	-0.322375
C10orf99	3.674
SCN11A	-0.318875
GFI1	-0.9935
RDHE2	2.4325
FHL1	-2.33683333333333
OSGEP	-0.401166666666667
GATA1	-3.23
SMC6	-0.60575
TTTY14	-0.11
LPIN3	0.15425
RPL4	-0.4273
RBPMS	-1.0837
PRPF3	-0.434833333333333
EMR1	-2.6285
SPATA19	0.33025
XCR1	0.4335
IRX3	-2.6341
RBM6	-0.3295
KLF4	0.9633
UNC5CL	2.31025
SEBOX	0.547
BTK	-2.7565
KRCC1	0.55575
C6orf27	0.559
SYTL5	-1.972
PRND	0.22275
LOC653319	-0.469
PIGL	-0.8215
HUS1	-0.0971666666666667
SFRS6	0.1445
C17orf77	0.7655
UIMC1	-0.0403333333333333
FXYD2	-1.8061
LOC283152	-0.10525
ZNF667	-2.5155
ZCCHC12	0.36825
TFEC	0.6997
ATP7B	1.06916666666667
POLD2	-1.353
RG9MTD1	0.10475
ACOT2	-0.986833333333334
HIST1H4I	-0.44125
PPARGC1A	1.4051
ETFA	-0.2176
POLRMT	-0.03325
ZNF146	1.070125
MIA2	-0.096
KLHL6	-2.01466666666667
HOXB5	3.376625
NENF	0.0968333333333333
CUGBP1	-0.14475
PRSS22	1.40833333333333
CASC4	1.2916
CUL4B	-0.2929
CENPJ	-0.1769
PITX1	0.715166666666667
FLJ31033	0.536166666666667
CELSR3	0.607666666666667
ZNF568	-1.46925
ITSN1	-0.474090909090909
EHBP1L1	-0.935833333333333
C19orf2	0.663
DCTN1	-1.52725
LIN28B	-3.39816666666667
TNKS2	0.19525
C1QBP	-0.570125
CADPS2	1.055
SRMS	1.55625
GJA9	0.4895
MGC24975	0.00566666666666667
TRIM45	-1.53066666666667
TSP50	0.036
TCP1	-0.67575
TMED7	0.6631
CMA1	0.345
CENPL	-0.8265
PTCRA	-0.829
FST	-4.782
VWCE	-3.0875
PAWR	1.5425
ABCC12	0.5298
LDLR	-0.3173
ASTN2	-0.2904
LOC441212	-0.558125
GPATCH8	0.03575
TANC2	-1.90525
KIF4A	-0.89625
C18orf18	1.27775
PGM1	-0.9285
KIAA0258	0.5825
CPD	1.248125
SNCAIP	-0.905
DCT	-4.29733333333333
HLA-DOA	1.54659090909091
OR11L1	0.6835
UPK1B	-0.1865
DNAJB4	-0.55725
UGT1A8	3.8805
HIST1H4L	-0.427
PECR	-0.906333333333333
HSPA2	2.47875
WFIKKN1	-1.728
SERP1	0.458125
SYDE2	1.015
TACR2	0.967
NUP85	0.0185
CD177	1.133
LGR5	2.93966666666667
PIGG	0.0419166666666667
PTHR1	-2.88966666666667
RAB5A	-0.03
FLJ13224	-0.4545
USP9Y	1.08033333333333
C7orf53	0.5285
LRP1B	-1.841
XAF1	1.2872
ABCG8	-1.083
ANKDD1A	-0.499166666666667
DAND5	-1.586
SPAG6	-0.012
LINCR	1.7675
ZDHHC22	-1.7755
CCDC60	0.0385
THOC7	-0.620166666666667
TCTA	-0.1821
OR8K3	-0.097
NY-REN-7	-0.10125
B2M	1.41766666666667
C6orf141	-1.139375
LPPR4	1.23675
SQLE	0.105625
SEPHS1	-0.39725
BTBD14B	0.414285714285714
PLRG1	-0.24075
SPG7	-0.5355
ZNF614	0.548333333333333
PARD6G	-0.6085
INPP5B	-1.3516
GRPEL2	0.5825
PPID	0.1459
TRIM56	-0.23825
UBE2J1	-0.453
IL20RA	4.82675
LOC387856	-0.13425
C1orf107	0.635166666666667
UTS2R	0.348
C19orf22	0.51825
SAFB2	-0.06475
KIAA0652	-0.724
KLRG1	-1.58516666666667
MS4A8B	4.7285
FRAG1	0.59
KIAA1546	0.577
E2F4	-0.0703
CLEC4M	-0.526
BTBD14A	-0.6575
KIAA0999	0.4548
GYPA	-3.5265
TAC1	1.9927
TRAIP	-0.6095
KIAA0232	0.856
ERCC8	-0.813875
GPX4	-0.954875
KIAA0368	0.461
GPR157	0.592833333333333
CTAGE4	0.4855
C9orf30	-1.3085
OR52A1	0.467
HSP90B3P	0.241
ALG9	-0.3775
BTBD10	0.5865
SDK2	-0.35125
BAIAP3	-2.606
RABGGTB	-0.399625
ANKRD40	-0.0178333333333334
KRT74	1.346
CALCOCO2	0.640571428571429
SNCA	-3.824
TMSL8	-5.320375
C2orf53	0.907
ESRRB	-0.578
ARHGAP26	1.86025
TDRD9	-3.2345
HRAS	-0.386166666666667
KLRC4	-2.602
JAGN1	-0.0406666666666667
BSDC1	0.02025
RNF43	1.5936
NDUFAF1	0.558
PHF12	0.18225
OR1L3	0.27475
FOLR2	0.78025
LYZL6	0.333833333333333
tcag7.1260	1.8325
WSB1	-0.890166666666667
PROS1	-1.577
OSTN	0.076
PSMB8	1.48475
SOCS4	0.285375
DDIT4L	-1.59025
MAS1	0.1285
MGC34796	0.74625
CSHL1	0.0281666666666667
TBCCD1	-0.373666666666667
ZBTB7C	0.023
AP2S1	-0.0355
P15RS	0.2916
VAT1	-2.1331
SHANK3	0.270166666666667
TUFM	0.321833333333333
THEG	-0.5185
KRT34	-2.335
SGSM3	-0.552875
TOMM22	0.67775
SOCS3	0.169833333333333
CPO	0.756
POP4	1.00475
BHLHB3	-0.813
MALL	3.04575
OR1B1	0.4675
PARK2	-0.175666666666667
GPR124	-0.183625
LCE1E	-0.219
RUVBL2	0.26625
CGRRF1	-0.308
ACPL2	0.61625
WNT10B	-1.62575
BAIAP2L2	1.517875
ISCA1	0.217
C1orf125	3.75742857142857
RPAP1	-0.60375
RAI16	-0.181
RPL27	0.553625
NLRP9	0.126
EPN1	0.8605
LOC388610	-2.093625
SLC35A1	0.8186
GAL	-4.181
SLC14A2	0.78375
RDH11	-0.381833333333333
FAM138F	0.453
AUH	0.40275
FLJ40243	0.08325
C14orf129	1.43133333333333
MBD2	-0.142333333333333
ABHD14B	-0.03675
PIGT	0.27725
ALS2CR4	-0.7185
ALAS1	0.1426
FOXO1	0.722166666666667
CRLF3	0.299375
C20orf107	-0.3015
FARS2	-0.20725
CCDC28A	-0.353
NPHP3	-1.946
OR13F1	0.154
TSEN54	0.504
DEFB106B	0.00366666666666668
OR8B4	0.303
STH	-1.791
ZC3H14	-0.460375
CBX2	0.355
TMEM49	-0.29675
C6orf21	0.425
FLJ20920	0.188875
CRTAP	-0.775357142857143
DDX50	-0.0505
STYXL1	-0.17625
BLVRB	-0.6515
LOC147650	-2.201
MMP24	0.153
GRID1	0.1502
BANF1	-0.943833333333333
CTAGEP	0.1365
HMBS	-1.32175
SLC25A24	0.5215
C14orf50	1.96325
MRO	0.142
SLC25A15	0.6605
FAM84B	1.7891
TDP1	-0.2595
C16orf78	-0.58
C11orf57	0.411625
RFK	0.911875
ZFYVE9	0.306375
STCH	-1.5407
WIBG	0.567
LOC283871	0.0868333333333333
GBA2	-0.4552
NDUFB3	0.43625
HSD17B13	-0.37025
GRIN3A	1.55016666666667
FMNL1	-2.30816666666667
SEPT7	-0.5305
GNLY	3.918
GRAMD1C	-0.282
ZNF165	0.4405
USP38	1.202
FAM83A	-3.24533333333333
C14orf24	0.933583333333333
ARMCX3	-0.236125
ARHGDIB	-1.49683333333333
AK1	-0.028
KIAA1045	-0.8145
DNAJB13	-0.600333333333333
NEU2	0.7865
HIST1H4B	0.2765
FAM20B	-0.7447
HES2	2.36278571428571
FAM73B	-0.2896
LOC388381	0.01525
INTS7	-0.628909090909091
AMPH	-0.6905
ZNF775	-0.189875
UCKL1	-0.0718333333333333
C10orf97	0.25075
C1orf161	0.391
ALDH1L1	0.4995
FLJ39378	-1.010875
SLC23A1	0.616
RBM4B	-0.481
THAP4	0.017
OGFRL1	-1.80825
KIAA0831	-0.3055
PPP1R15A	-0.256333333333333
C1orf96	-0.178357142857143
C12orf11	-0.092
BMF	0.387
MAN1A1	-0.590375
KIAA1600	0.0128333333333333
NLGN4X	-1.8995
ALOX12	-1.36983333333333
RB1CC1	-0.2455
NEIL2	-0.3758
EIF4E	0.893954545454545
ABHD5	-0.405
EXOC4	-0.321333333333333
CIP29	0.296166666666667
BATF2	2.78275
SLC29A4	-1.390625
HTR4	2.84725
EMB	-0.1715
TRAF6	0.63025
LMNB1	2.03075
FAM19A5	-1.162
SHE	0.4045
PIK3C2B	2.41625
C15orf15	-0.0514
USP15	0.2435
TCEAL2	-1.27
C5orf39	-1.08033333333333
PTGER2	-0.1895
SLC31A1	0.0726875
IFT172	0.95725
ADAM29	0.377
GFOD1	0.7865
ST7L	0.117166666666667
C15orf26	-3.15275
PKN3	-2.28575
CNTD1	1.9075
COMMD1	-0.584625
NTRK2	3.73208333333333
FOXN3	0.206
MFGE8	-1.8161
PFKFB2	1.8475
TAS2R4	-0.03875
ENTHD1	-0.315
PRMT5	-0.8675
MGC16384	-0.185
LOC442229	-0.1565
TSKU	0.07475
KRTCAP3	3.988375
PDLIM1	1.3753
KCNS2	0.26
RNF126	0.0193333333333333
CEP63	-0.291625
CLIC4	-1.6425
hCG_1990170	0.7815
ACR	2.8836
KLK7	2.20325
ALOX5AP	1.38475
RIPK3	4.0005
TAS2R9	0.853
C19orf18	0.8085
BIRC6	0.302714285714286
ZNF16	0.5045
RFT1	-0.104
SLC8A2	-0.58575
TACC1	-0.034375
ITGAD	0.34575
SAMHD1	1.272
SH3PXD2B	0.7619
EPC2	0.88025
C20orf85	0.9915
ATP13A2	-0.1215
KRT4	0.976875
CAPNS1	-0.029
MDM2	-0.0261666666666667
PCDH20	4.175
KCNK9	0.189
OR2C1	0.202
KLHDC3	-1.5015
IPPK	0.006
EFHD2	0.495875
GALR3	0.5155
NBEA	-2.36333333333333
ABCA6	0.3535
CLDN3	2.41466666666667
AKT2	0.613857142857143
EGFR	-0.4813
RBM16	0.3125
ZDHHC3	1.1591
SLC25A4	-0.484166666666667
CYB5B	0.294666666666667
CPXM1	-1.748
NDRG1	-1.34307692307692
FLJ43826	-0.0635
OR5L2	0.366
FARP2	0.9967
MRPL46	-0.217666666666667
LDHAL6B	0.063
MAPKAPK3	0.0156666666666667
NCAM2	-4.88425
PRKD2	0.331666666666667
ZFP36L1	1.6747
CYSLTR1	-2.0335
OR4C3	0.4345
HIST1H2AJ	1.0715
CCNB2	-0.514111111111111
ZNF10	0.247625
TMEM175	-0.1895
FAM134A	-0.464833333333333
TIGD4	1.0435
PCNP	-0.69075
MGC39715	0.09875
LQK1	-0.78875
CREB1	0.479
TMPRSS3	-0.90175
C4orf32	-0.78625
LAT	-2.44341666666667
KCNA3	0.1855
SKIV2L2	-0.66125
ROPN1B	-3.8805
tcag7.23	0.822
CDT1	-1.1935
ZHX2	0.518625
CD28	-4.09875
ZNF624	-0.4335
SEPT2	-0.23125
SOHLH2	-2.15425
MCOLN3	-1.16928571428571
UNQ1945	0.5415
MASP2	0.1005
ZNRF3	1.9613
GPATCH3	-0.60875
AGL	0.1195
QRICH2	-0.5145
PSD4	-0.673
CCNB1IP1	-0.54975
ENPP7	-0.0945
OBFC1	-0.417
KCNG3	-1.94075
C14orf79	-1.39308333333333
ENPEP	0.523166666666667
SCT	0.785
SKI	0.769125
SEC61G	-0.64325
CAPN11	0.46275
ATXN7L3	-0.0445
DBNDD1	-0.784166666666667
FAIM	-0.3045
ANKRD36	-0.409
GABRP	0.257833333333333
TACSTD2	-0.909166666666667
EIF3J	0.18375
PPP2R2A	-1.14525
TEKT4	-0.064
PVALB	-4.00966666666667
F10	-3.05516666666667
FAM134C	0.4272
COMP	-0.16975
EFCBP1	-3.5431875
SCLT1	1.0975
TAL1	-1.2256
ACSL1	-0.681
ABCC5	-0.5515
ABL1	-0.393166666666667
RBBP7	0.114666666666667
PTPRG	0.806125
NCOR1	-0.4438
SPINK4	5.66766666666667
TXNRD1	0.1867
TNRC15	0.493625
C9orf138	-0.105625
UBE2H	0.0786666666666667
BRDT	0.471
C8orf31	0.000500000000000002
CCNE2	-0.655363636363636
SLC6A8	-2.1185
CALCR	-4.72975
PPP1CB	0.5135
ABHD8	-1.91575
ARF5	-0.3475
SLC24A4	0.28925
CCT3	-0.294
ZNF121	0.428125
SLC3A2	-1.2354
OR13A1	0.6405
SLC5A10	-0.875
RAD50	0.4575
IER5	-0.3985
MTHFD1L	-0.452375
MBTPS2	-0.04675
MVK	0.1655
NCL	0.7831
PSMD10	-0.4375
MOBP	0.425666666666667
FLJ32894	0.574
HRH1	1.00583333333333
C5orf30	0.87375
NUDT16L1	0.4431
RASGRP3	2.66916666666667
PRKRIP1	-0.9066
CCDC75	0.057
LOC253970	0.30425
KIAA1239	2.32975
MED21	0.09825
SYT11	-0.4735
NTSR2	-1.48
EGFL11	-0.299
CXorf59	-0.812
OR2A25	0.50775
SPTBN2	-1.019
LRMP	-0.847
RNF111	-0.28075
PTH	-0.117
LOC619208	-0.673666666666667
KIAA0895	-0.592
RANBP5	0.093125
P2RY10	-0.513666666666667
NME5	2.68983333333333
DDX21	0.07875
LRSAM1	-1.0155
HDAC11	-0.6775
VMO1	0.1385
NOLA2	-0.412833333333333
ADAR	-0.09625
MTO1	-0.886666666666667
SF4	-0.347833333333333
P2RX1	0.341333333333333
HBM	0.0315
EN2	0.712
C14orf172	1.027
TM9SF2	0.6833
INHBE	-1.62116666666667
TCTE3	-0.104416666666667
TOX2	-3.076
CTAGE3	0.243125
HBB	4.9035
MED15	-1.26033333333333
CASR	0.618
C6orf66	0.632
MTPN	-0.44825
UNC50	-0.65475
C21orf33	-0.264625
IRF2	1.12675
PGR	-2.80233333333333
GPR84	0.74525
CROCCL1	-1.26725
SRPX	-3.4695
BRE	-0.0723333333333333
FGF10	0.33325
SDC3	-1.88016666666667
ZRSR1	-0.569333333333333
DKFZP434P211	-0.953875
SOX6	0.7005
RPUSD2	0.3175
C14orf173	0.411
MAPK11	-0.8775
TBC1D22A	-0.019
FAM123A	-1.371
COL4A6	-3.02916666666667
TOMM70A	0.439
NAB1	-0.0645
MGC16385	-0.624875
TSPAN18	-1.306
MED31	-0.9935
PLG	-0.12
CAPSL	-0.1685
ZNF532	-0.0005
ASB14	0.224
CA8	0.57575
NUDT16P	3.0155
SLFN11	-2.176
LRRIQ2	-0.618
NOL7	-0.0938333333333333
BRMS1L	-0.41625
JARID1A	0.544833333333333
PANK2	-0.3775
ICAM3	-0.85275
MDS1	2.3525
TAF8	-0.04075
RNF139	0.415
ZNF594	-1.04
ADAM8	0.865
SFTPC	-0.5775
MAN2B2	0.11875
RGS12	-0.6359375
EIF1AY	1.377
LRRIQ1	-1.2025
GPR150	0.32875
CCDC21	-1.631
PRRG3	0.04025
SAA4	-3.94775
RAPGEF5	1.900125
ZCCHC2	0.9045
MGC39372	-1.0785
PPP4R2	0.393166666666667
CDCA2	-1.45766666666667
OR4D5	0.556
PTGFRN	0.7156
SIGLEC5	0.106
C19orf61	-0.128333333333333
NMUR2	0.3605
KIAA1586	-1.50766666666667
DAGLA	1.4455
CHCHD6	0.40125
GPR32	0.357
NEUROD6	0.545166666666667
SLC2A4RG	-0.7481875
CA5B	-0.481
FBXL3	0.8185
MPHOSPH9	-0.561
HMG2L1	0.15175
HCN4	-0.0116666666666666
CEACAM19	0.79775
SH2D4B	0.3584
HFE2	-0.649
TGM4	0.3895
LYPD2	0.52525
TBC1D15	-0.2455
MRPS21	-0.9863
NONO	-0.3876
CLEC5A	0.5055
ITCH	0.448
MGAT3	0.0183333333333333
MBP	-0.05125
RPP25	1.1265
SOSTDC1	2.66675
HRC	-2.323
TRIM48	-0.13
TMEM133	0.4795
ECEL1P2	-0.83375
HOXC11	-3.52
DOK5	-3.05125
HELZ	0.539833333333333
LOC348180	0.000250000000000004
MGC33894	0.098
ADRB3	0.0545
DMD	-0.07125
PTRH2	0.14475
MPEG1	2.21983333333333
NDUFA12	0.993
KRTAP2-4	0.0463333333333333
STAMBPL1	0.409
ADCY2	-1.15383333333333
UNQ6125	0.1835
KLHL20	-0.35
SRM	-0.95225
OTC	2.69775
TMIE	-0.0276666666666666
SNX8	0.00375
LIPK	0.1605
CHURC1	0.0588333333333333
KLC2	0.0428333333333333
HDAC1	0.580666666666667
FAM128A	-0.723833333333333
FNDC3B	-0.1944
MTCP1	-0.708666666666667
WFDC10B	0.6788
PCDHGB3	0.39
ATRNL1	-2.4103
CAV2	-1.4875
MED26	-0.341166666666667
DUS1L	1.2215
CHRM3	0.188625
NEK9	-0.53875
WARS2	0.59225
TBX22	-0.4725
TOMM40	0.4675
RP6-213H19.1	0.0483333333333333
TUBGCP5	-0.7075
IGSF6	4.15125
TPPP	0.339833333333333
UNQ6190	-0.5765
GSTM5	0.665875
BTD	-0.945666666666667
PDCD1LG2	-0.504
SNRPB2	0.849
ERICH1	-0.26
APOA4	-1.6355
HOXA11	1.1405
NARG1	0.72775
MKX	1.20825
RAB28	-0.0319285714285714
PKP3	2.32125
SH3GL2	-1.59175
CTSO	0.846
RPN2	1.2310625
IL28RA	1.32966666666667
SFMBT1	0.31075
WDR57	0.07125
FER1L3	-0.196333333333333
HSF5	0.072
TTC9B	1.5075
C4BPA	-0.263666666666667
ALB	-4.26742857142857
SORBS3	-0.38025
UPF2	0.6395
JPH1	1.934
AGBL2	0.16675
DOPEY1	2.121
TERF1	0.301333333333333
KIF22	-0.761833333333333
NINJ1	-0.8405
SEC61A2	-0.336333333333333
HIST1H1D	0.855666666666667
SFXN4	0.606875
UCP3	0.1626
ZNF703	1.14366666666667
MYL6B	-1.099
TREM1	1.20525
OR52E6	-0.094
CKMT2	1.72425
HLA-C	2.093125
SLC13A3	-2.53983333333333
TIMP4	-0.19375
SLIT2	-0.56125
RSF1	-0.0369444444444444
LONRF1	-1.17228571428571
MON1A	0.271666666666667
CACNG6	-2.10866666666667
DPPA4	-4.63533333333333
ZSWIM3	1.15225
ZNF804A	-0.1375
CCIN	0.34425
SLC25A31	1.052
KCNMB4	-0.335
RABL5	-0.87725
GALNS	-0.7068
STX6	0.375875
HIST1H1C	-3.55633333333333
CIDEB	-1.43075
CASP4	-0.358333333333333
PDK3	-0.0832
KCNJ11	-0.106
TPR	-0.59125
ZSCAN20	-0.2895
MTX2	0.0585
HIST1H2BH	-0.609
LOC283767	0.681
LYRM7	-1.02188888888889
BRD3	-0.496
HIST1H2BO	-1.16375
MAGEB10	0.577
SLC45A1	-0.54275
SERPINA3	-3.38805
KIAA0143	0.738
KCNJ16	2.4554
KRT79	-0.2495
FABP2	3.33975
NUT	-0.45175
ZNF57	0.57425
FBXL4	0.075875
CLEC9A	-0.127
UGT8	3.70216666666667
BMP2K	0.48775
MAPK4	-1.53175
SLC25A23	-0.6417
HINT1	0.2505
KRTAP13-1	0.6815
SFXN5	-0.8759
CHCHD2	0.132916666666667
FAM3D	4.5405
NDP	-2.05825
RHOBTB1	-0.071
SLC4A4	1.47075
RPL38	0.6335
HTF9C	-0.7245
AP2A2	0.037625
ZBTB46	-0.691
MAP7D1	-1.01725
AOX1	-2.738
CYR61	-0.182
DTNA	-0.994428571428572
JRKL	1.14425
TMOD3	0.2265
EEA1	1.2646
ADCK5	0.8875
IL1R1	-0.0846666666666667
KLK3	0.406928571428571
HRSP12	0.3505
KTN1	0.175
LOH11CR2A	0.906
RELL2	0.0205
MAB21L1	-0.01075
C20orf59	-0.7135
PHKB	0.18675
ADAM2	-2.4595
TBC1D8B	1.50166666666667
FAM13A1	0.2769375
LAPTM4B	0.309416666666667
LCN8	0.4005
TMEM147	0.6105
SYT4	0.5365
XPO7	-1.0365
C9orf62	0.5935
GPR75	0.077
TRIM5	0.252125
APOC1	-2.66916666666667
RNASE4	0.494333333333333
PARD6B	-1.275625
ARID1A	-0.0663333333333333
TPD52L3	0.1406
RRAGB	-0.587
RCN2	-0.327
HIST2H2BE	-1.8155625
STARD7	0.39625
SHMT2	0.1715
KIAA1751	-0.171833333333333
MLYCD	0.438125
LOC162632	-0.3652
UQCRH	-0.18975
RP11-217H1.1	0.7065
SDHA	-1.41866666666667
NCLN	0.3969
ZNF17	0.664166666666667
RCBTB2	-1.93175
VEGFB	-1.5307
RP4-747L4.3	0.5195
COLQ	-0.5342
MPN2	-0.845666666666667
DRG2	-1.3605
KLRB1	4.56525
ALPK2	-2.57475
DNASE2B	0.937
FLJ23834	0.0966666666666667
AXUD1	-0.434166666666667
SAFB	0.1951
NSUN4	-0.467
RFX2	-0.434666666666667
MAPK8IP1	-0.373166666666667
FANCD2	-0.771571428571429
ANKZF1	-1.5225
C19orf50	-0.75225
DUSP8	1.427875
SENP5	-0.12175
NFKBIL2	0.46025
LBR	1.2005
IGFL1	0.6145
LZTS2	-1.292
IL2RG	1.247375
CCDC51	0.35175
KLF3	1.4345
ANKRD37	-2.2925
KCTD14	1.79566666666667
FZR1	0.0263333333333333
SLC44A4	3.5191
ESPL1	-0.75
GMPR2	-1.0312
TBC1D19	-1.34
ERGIC1	0.511037037037037
ERBB4	-1.7075
TSPAN32	-0.31175
MAP4	-0.5125
GPHN	0.79025
SLC6A2	-0.236875
HIVEP1	0.5585
DFFB	0.942
EIF4EBP2	0.706125
DMRT1	2.1485
HSPB6	0.3445
IER2	0.426166666666667
AIFM1	0.6535
WWC2	-1.31125
MRPL4	-0.0155
FLJ21062	-0.0163333333333333
EPB41L4A	0.05175
SH2D6	1.4845
TAF4B	-0.26225
GAL3ST3	-0.3085
MALT1	-0.3105
RTDR1	1.2735
ARVCF	-0.988125
MEX3B	-2.6835
FBXO16	-1.2155
KIF7	-2.52225
C1QC	3.8655
ZNF783	0.1155
ZNF85	-1.30475
MMP13	-0.3085
KIAA0329	0.00712500000000002
RTP3	0.607
ZBED3	0.604
CLGN	-2.921
SLC25A37	-1.493
hCG_18290	0.0185
OR5AS1	1.0465
SMARCC2	-0.0231666666666667
FAM109A	0.3845
CCDC12	-0.03175
USF2	0.2702
DEPDC7	0.305
C20orf24	0.849666666666667
JMJD3	-0.2575
DSP	0.2875
SLIC1	0.268625
FAM20A	-1.27325
IRF2BP2	0.879625
ZNF230	0.719
MSN	-2.14821428571429
SLC9A5	-2.117
EPDR1	0.1091
MUSK	0.2545
ZNF434	-0.708333333333333
