Hybridization REF	TCGA-AA-A00J-01A-02R-A002-07
MAOA	2.939375
TNNT3	-0.463666666666667
GYPC	-1.7535
C7orf33	0.6515
PLIN	0.319833333333333
LOC90826	-0.2525
RNF4	-0.2856
F8A1	-0.245333333333333
PLEKHG4	-1.3135
GRB2	-0.26205
HIST1H2AD	-0.718
DUS3L	-0.641666666666667
EIF1	0.0673333333333333
RP5-1077B9.4	-1.07833333333333
FPGT	0.622
GDF10	-1.56966666666667
COQ9	0.67225
GCC2	0.611785714285714
RARRES3	1.247875
PLXNA1	0.1901
KIAA0100	-0.2176
PMF1	-0.0215
FNDC1	5.4205
HS2ST1	0.457666666666667
CRELD2	-0.39275
C8G	-0.9075
CD82	0.6585
LIM2	-1.64
UNQ6490	-0.1955
MMP16	-0.44575
DRD3	0.114
C5orf26	0.66875
C11orf73	-0.7925
PTP4A2	-0.3875
OR4M2	0.344
HPCA	0.556666666666667
SEC14L1	-1.21533333333333
CHFR	-2.135125
EMILIN1	0.825375
NDUFS4	0.3305
COL18A1	-0.85
PDZD3	1.2739
C9orf16	0.1365
ERBB2IP	-1.24283333333333
EMX2	0.094
FUS	-1.34725
TF	-4.2401
CLCN4	1.51666666666667
CXorf56	-0.13775
C11orf72	0.93375
ELAC2	-0.634583333333333
NPR1	-1.499
ASS1	-0.881666666666667
USP42	-0.403375
POLR2J	-1.16
SEC23IP	0.819
UQCRC1	1.35025
LOC729603	-0.22275
C1orf71	-0.69975
POLG	-1.501
ADAM23	-3.853
TFR2	-0.7605
RICTOR	-0.5872
MGC39606	-1.15475
C19orf55	-0.191375
SNAPC1	-1.4435
GNA11	0.737125
CCDC52	-0.1345
FSIP1	-1.918
UPF3A	-0.902875
IGSF11	-2.66683333333333
LAGE3	-0.69625
CHST6	-0.989
UNC13B	1.24275
TTLL4	-0.3465
ZNF687	-0.212875
SDC2	-1.5484
COX7A2	0.869
LAMB4	-0.63975
FAM24A	0.2855
LRRTM3	-1.4
GPHB5	0.651
OR4C13	-0.0265
EIF3EIP	0.630928571428571
HABP4	-1.29
TMEM125	4.20425
CNTN2	-0.484
ASNSD1	-0.2055
FUT4	2.072
ACF	0.45625
LOC158381	-0.1005
CDH8	-1.028
AGPS	-0.208666666666667
C4orf18	0.74525
PECI	-1.45358333333333
UNG	0.9125
GSTP1	0.751125
DCUN1D5	-1.10366666666667
DKFZP564J0863	-1.14425
SLC9A3R1	-0.188625
BCDO2	0.5895
CHMP7	0.16475
REM2	-0.423
DNHD1	-0.281125
FKBP4	-0.778875
ZNF350	-2.3645
MGC11102	0.34075
BST1	0.1985
KISS1R	1.1535
NCR2	0.2375
DEFB125	0.386
UBE2W	0.14125
KRT15	0.02825
C10orf99	2.35
SCN11A	-0.197375
GFI1	1.01375
RDHE2	5.0985
FHL1	-2.1145
OSGEP	0.492333333333333
GATA1	-3.23816666666667
SMC6	-0.812
TTTY14	-0.4755
LPIN3	0.45675
RPL4	-0.7103
RBPMS	-0.6825
PRPF3	-0.768166666666667
EMR1	-2.5965
SPATA19	0.0445
XCR1	0.2135
IRX3	-0.2529
RBM6	-0.53225
KLF4	1.1332
UNC5CL	1.796
SEBOX	0.434
BTK	-1.66725
KRCC1	0.6595
C6orf27	0.4545
SYTL5	-0.954
PRND	1.149625
LOC653319	-0.0945
PIGL	-1.481625
HUS1	0.408833333333333
SFRS6	1.45108333333333
C17orf77	0.416
UIMC1	-0.350333333333333
FXYD2	-1.8958
LOC283152	-0.877
ZNF667	-2.34025
ZCCHC12	-0.92175
TFEC	1.6014
ATP7B	0.563
POLD2	-1.24066666666667
RG9MTD1	0.28925
ACOT2	-0.643333333333333
HIST1H4I	-1.097
PPARGC1A	3.2512
ETFA	-0.13
POLRMT	-0.43375
ZNF146	0.038875
MIA2	1.128
KLHL6	-1.62166666666667
HOXB5	2.22075
NENF	0.434833333333333
CUGBP1	-0.28275
PRSS22	1.6805
CASC4	1.6184
CUL4B	0.00599999999999998
CENPJ	-0.7634
PITX1	-0.238166666666667
FLJ31033	0.5625
CELSR3	-0.785833333333333
ZNF568	-1.78125
ITSN1	-0.917166666666667
EHBP1L1	-0.473
C19orf2	0.285
DCTN1	-0.63525
LIN28B	-4.588
TNKS2	0.63075
C1QBP	0.504125
CADPS2	2.107
SRMS	1.19975
GJA9	0.429166666666667
MGC24975	1.1765
TRIM45	-1.07133333333333
TSP50	-0.04725
TCP1	-1.0265
TMED7	0.06
CMA1	0.6765
CENPL	-0.815833333333333
PTCRA	-0.374
FST	-4.70575
VWCE	-3.3005
PAWR	0.608
ABCC12	0.689833333333333
LDLR	-0.3938
ASTN2	0.2237
LOC441212	0.464
GPATCH8	-0.1425
TANC2	-1.42091666666667
KIF4A	-0.6555
C18orf18	-4.33225
PGM1	-1.0255
KIAA0258	0.62025
CPD	0.872875
SNCAIP	-2.038
DCT	-4.20666666666667
HLA-DOA	2.6205
OR11L1	0.6155
UPK1B	-0.225
DNAJB4	-0.905625
UGT1A8	1.7455
HIST1H4L	-0.4225
PECR	-0.348
HSPA2	0.68475
WFIKKN1	0.2235
SERP1	0.815625
SYDE2	0.9695
TACR2	1.1065
NUP85	-0.61625
CD177	0.5035
LGR5	3.55766666666667
PIGG	-0.4155
PTHR1	-3.03766666666667
RAB5A	0.1411
FLJ13224	-0.248
USP9Y	0.271666666666667
C7orf53	-0.1225
LRP1B	-1.709
XAF1	1.6553
ABCG8	0.6625
ANKDD1A	-0.710333333333333
DAND5	-0.6805
SPAG6	0.0515
LINCR	2.677
ZDHHC22	-1.529125
CCDC60	0.6705
THOC7	-1.07416666666667
TCTA	0.3338
OR8K3	0.644
NY-REN-7	-0.47825
B2M	0.961666666666667
C6orf141	-3.36725
LPPR4	1.308
SQLE	-1.682375
SEPHS1	-0.936
BTBD14B	0.370071428571429
PLRG1	-0.07375
SPG7	-0.9188125
ZNF614	-2.235
PARD6G	-0.719166666666667
INPP5B	-0.7054
GRPEL2	0.260375
PPID	0.0295
TRIM56	0.117
UBE2J1	-0.3555
IL20RA	5.05425
LOC387856	0.0505
C1orf107	0.897416666666667
UTS2R	1.074
C19orf22	1.106
SAFB2	-1.2005
KIAA0652	-0.240375
KLRG1	-1.71033333333333
MS4A8B	5.48833333333333
FRAG1	0.5305
KIAA1546	0.15675
E2F4	-0.377
CLEC4M	0.572333333333333
BTBD14A	-0.9775
KIAA0999	0.5597
GYPA	-4.2645
TAC1	1.1614
TRAIP	-0.817833333333333
KIAA0232	0.4134
ERCC8	-0.94725
GPX4	-0.844125
KIAA0368	0.18475
GPR157	0.252666666666667
CTAGE4	1.525
C9orf30	-0.899666666666667
OR52A1	0.686
HSP90B3P	0.4475
ALG9	-0.3434
BTBD10	0.91
SDK2	-0.6255
BAIAP3	-2.1955
RABGGTB	-0.61725
ANKRD40	-0.207833333333333
KRT74	0.2815
CALCOCO2	0.272214285714286
SNCA	-3.88525
TMSL8	-5.562125
C2orf53	0.6775
ESRRB	-0.27375
ARHGAP26	1.81925
TDRD9	-2.912
HRAS	-0.872166666666667
KLRC4	-2.4225
JAGN1	-0.2415
BSDC1	0.80925
RNF43	0.2453
NDUFAF1	0.25625
PHF12	0.356
OR1L3	0.112
FOLR2	1.74525
LYZL6	0.355
tcag7.1260	-1.7035
WSB1	-1.2585
PROS1	0.6321
OSTN	0.556
PSMB8	0.4965
SOCS4	-0.5055
DDIT4L	-0.9025
MAS1	-0.5075
MGC34796	1.1205
CSHL1	0.523
TBCCD1	0.336833333333333
ZBTB7C	-0.022
AP2S1	-0.5875
P15RS	0.2187
VAT1	-1.0839
SHANK3	1.02433333333333
TUFM	0.174333333333333
THEG	0.77575
KRT34	-1.9845
SGSM3	0.597375
TOMM22	0.436
SOCS3	0.926666666666667
CPO	-0.139
POP4	-0.16925
BHLHB3	0.76875
MALL	2.7995
OR1B1	0.7295
PARK2	0.289833333333333
GPR124	0.673625
LCE1E	0.3725
RUVBL2	-0.25275
CGRRF1	-0.1352
ACPL2	0.53275
WNT10B	-1.4925
BAIAP2L2	1.904125
ISCA1	0.6
C1orf125	0.968
RPAP1	-0.323
RAI16	-0.356333333333333
RPL27	-0.27775
NLRP9	0.507
EPN1	-0.222
LOC388610	1.945
SLC35A1	0.548
GAL	-4.52025
SLC14A2	0.5905
RDH11	-0.850166666666667
FAM138F	0.4405
AUH	0.90075
FLJ40243	1.44025
C14orf129	0.962666666666667
MBD2	-0.581333333333333
ABHD14B	0.728375
PIGT	-0.13125
ALS2CR4	0.042
ALAS1	1.0167
FOXO1	1.22866666666667
CRLF3	-0.053
C20orf107	0.079
FARS2	-0.29925
CCDC28A	0.6785
NPHP3	-1.3255
OR13F1	0.614
TSEN54	-0.144
DEFB106B	0.1655
OR8B4	2.277
STH	-1.532
ZC3H14	-0.380625
CBX2	-0.839
TMEM49	-1.2895
C6orf21	0.46
FLJ20920	-0.839
CRTAP	-0.623285714285714
DDX50	-0.21925
STYXL1	0.20825
BLVRB	-0.706
LOC147650	-2.18166666666667
MMP24	0.33575
GRID1	0.329833333333333
BANF1	-0.6345
CTAGEP	0.55475
HMBS	-1.4135
SLC25A24	0.0325
C14orf50	2.1015
MRO	0.442
SLC25A15	0.08075
FAM84B	1.1603
TDP1	-1.2525
C16orf78	0.275333333333333
C11orf57	0.7525
RFK	0.324
ZFYVE9	0.30875
STCH	-1.2491
WIBG	0.4825
LOC283871	-0.641
GBA2	0.5506
NDUFB3	0.16125
HSD17B13	0.1695
GRIN3A	1.41716666666667
FMNL1	-1.70716666666667
SEPT7	-1.7839
GNLY	4.3865
GRAMD1C	1.01666666666667
ZNF165	0.54525
USP38	0.58425
FAM83A	-3.78816666666667
C14orf24	1.15258333333333
ARMCX3	-2.2075
ARHGDIB	-1.92883333333333
AK1	0.3765
KIAA1045	-0.799
DNAJB13	-0.450833333333333
NEU2	0.3045
HIST1H4B	0.714666666666667
FAM20B	-0.7565
HES2	1.96964285714286
FAM73B	-0.4487
LOC388381	-0.34375
INTS7	-0.125909090909091
AMPH	-0.20125
ZNF775	-0.000875000000000042
UCKL1	-0.143166666666667
C10orf97	-0.5525
C1orf161	0.11375
ALDH1L1	-1.1205
FLJ39378	-1.069
SLC23A1	-2.503
RBM4B	-0.548
THAP4	-0.143166666666667
OGFRL1	-0.07525
KIAA0831	-0.63675
PPP1R15A	-0.505
C1orf96	0.509714285714286
C12orf11	-0.7435
BMF	0.3525
MAN1A1	-0.028
KIAA1600	0.127166666666667
NLGN4X	-1.90025
ALOX12	-1.42316666666667
RB1CC1	-0.8743
NEIL2	0.3922
EIF4E	0.526045454545455
ABHD5	-0.44875
EXOC4	-0.4615
CIP29	0.601166666666667
BATF2	2.58475
SLC29A4	-1.356875
HTR4	1.19375
EMB	-0.50475
TRAF6	0.69825
LMNB1	1.64
FAM19A5	-0.601125
SHE	1.25875
PIK3C2B	2.26
C15orf15	0.0166
USP15	0.4283
TCEAL2	-0.441
C5orf39	-0.594666666666667
PTGER2	2.08725
SLC31A1	0.0365
IFT172	2.45
ADAM29	0.2425
GFOD1	0.417
ST7L	-0.170166666666667
C15orf26	-1.12125
PKN3	-1.3335
CNTD1	2.1715
COMMD1	-0.429625
NTRK2	0.871166666666667
FOXN3	-0.5035
MFGE8	-0.2468
PFKFB2	0.387
TAS2R4	0.26975
ENTHD1	-0.636666666666667
PRMT5	-0.56225
MGC16384	-0.9625
LOC442229	-0.97025
TSKU	-0.159375
KRTCAP3	4.416125
PDLIM1	1.2702
KCNS2	-0.132
RNF126	0.591166666666667
CEP63	-0.904125
CLIC4	-1.808625
hCG_1990170	-0.871
ACR	0.2362
KLK7	1.1665
ALOX5AP	3.188125
RIPK3	4.541
TAS2R9	0.5885
C19orf18	-1.766
BIRC6	0.558714285714286
ZNF16	0.5245
RFT1	-0.835
SLC8A2	-0.63225
TACC1	1.524625
ITGAD	-0.128
SAMHD1	1.71775
SH3PXD2B	0.6197
EPC2	0.7835
C20orf85	0.373875
ATP13A2	0.1975
KRT4	0.70475
CAPNS1	-0.4395
MDM2	0.74825
PCDH20	0.68625
KCNK9	0.232
OR2C1	-0.6635
KLHDC3	-0.925666666666667
IPPK	0.2615
EFHD2	0.988
GALR3	1.02475
NBEA	-0.702333333333333
ABCA6	1.4065
CLDN3	1.18766666666667
AKT2	0.00592857142857142
EGFR	-0.9167
RBM16	0.20675
ZDHHC3	0.9087
SLC25A4	1.00016666666667
CYB5B	0.1675
CPXM1	-1.08475
NDRG1	0.206153846153846
FLJ43826	0.51175
OR5L2	-0.0271666666666667
FARP2	1.015
MRPL46	0.0110833333333333
LDHAL6B	0.218166666666667
MAPKAPK3	-0.1605
NCAM2	-2.9095
PRKD2	0.0485
ZFP36L1	0.3475
CYSLTR1	-1.9525
OR4C3	0.2
HIST1H2AJ	-1.516
CCNB2	-0.997777777777778
ZNF10	-1.074125
TMEM175	0.272
FAM134A	0.483666666666667
TIGD4	0.286
PCNP	-0.16725
MGC39715	0.241
LQK1	-1.22375
CREB1	-0.6454
TMPRSS3	2.4485
C4orf32	-0.30225
LAT	-1.81441666666667
KCNA3	-0.7765
SKIV2L2	-0.57475
ROPN1B	-3.41275
tcag7.23	0.298
CDT1	-1.843375
ZHX2	0.377625
CD28	-3.734
ZNF624	-0.2555
SEPT2	-0.4435
SOHLH2	-3.282
MCOLN3	0.953
UNQ1945	0.9745
MASP2	0.991
ZNRF3	0.5579
GPATCH3	-0.2625
AGL	0.690625
QRICH2	0.2355
PSD4	0.502666666666667
CCNB1IP1	-1.07175
ENPP7	0.0255
OBFC1	0.1475
KCNG3	-3.45375
C14orf79	-1.36366666666667
ENPEP	1.1705
SCT	1.136
SKI	0.934125
SEC61G	-0.057
CAPN11	0.25925
ATXN7L3	-0.18475
DBNDD1	-0.762333333333333
FAIM	0.014
ANKRD36	0.0335
GABRP	2.01783333333333
TACSTD2	-1.9215
EIF3J	-0.31975
PPP2R2A	-0.0415
TEKT4	-0.928166666666667
PVALB	-3.96083333333333
F10	-1.47766666666667
FAM134C	0.6531
COMP	3.37025
EFCBP1	-3.174625
SCLT1	0.540875
TAL1	-1.5891
ACSL1	0.96375
ABCC5	-0.62625
ABL1	-0.372555555555556
RBBP7	0.00816666666666663
PTPRG	-0.2125
NCOR1	0.3323
SPINK4	6.10433333333333
TXNRD1	-0.033
TNRC15	0.229375
C9orf138	-0.100125
UBE2H	0.131666666666667
BRDT	-0.539166666666667
C8orf31	0.18975
CCNE2	-0.762909090909091
SLC6A8	-0.935625
CALCR	-4.5275
PPP1CB	0.992
ABHD8	-1.8495
ARF5	0.0851
SLC24A4	0.41275
CCT3	-0.47425
ZNF121	0.00687499999999999
SLC3A2	-1.7532
OR13A1	0.6085
SLC5A10	0.4785
RAD50	-0.17175
IER5	0.635375
MTHFD1L	-1.215
MBTPS2	-0.1735
MVK	0.35775
NCL	0.6004
PSMD10	-0.58325
MOBP	0.39
FLJ32894	0.207
HRH1	0.697166666666667
C5orf30	0.73025
NUDT16L1	0.2863
RASGRP3	3.12116666666667
PRKRIP1	-1.0472
CCDC75	-0.1065
LOC253970	-0.06275
KIAA1239	-0.24275
MED21	-0.4885
SYT11	-0.0828333333333333
NTSR2	-0.3275
EGFL11	0.7385
CXorf59	-0.065
OR2A25	0.42025
SPTBN2	-0.6675
LRMP	-1.86716666666667
RNF111	0.0535
PTH	0.3285
LOC619208	0.0103333333333333
KIAA0895	0.943
RANBP5	-0.326375
P2RY10	-0.616833333333333
NME5	-1.5455
DDX21	-0.75375
LRSAM1	-0.528
HDAC11	0.0321666666666667
VMO1	2.49425
NOLA2	-0.371
ADAR	-0.02825
MTO1	-0.785666666666667
SF4	0.0246666666666667
P2RX1	0.776833333333333
HBM	0.003
EN2	1.4585
C14orf172	-0.07875
TM9SF2	0.6373
INHBE	-1.01516666666667
TCTE3	0.211333333333333
TOX2	-2.98425
CTAGE3	0.364875
HBB	4.6318
MED15	-0.951166666666667
CASR	-0.7425
C6orf66	0.238
MTPN	-0.3895
UNC50	-0.78475
C21orf33	0.422
IRF2	1.022875
PGR	-3.04833333333333
GPR84	3.086
CROCCL1	-1.13925
SRPX	-3.2785
BRE	0.0426666666666667
FGF10	0.33725
SDC3	-0.0316666666666667
ZRSR1	-0.708333333333333
DKFZP434P211	-0.463375
SOX6	-0.186
RPUSD2	-0.09375
C14orf173	-0.1445
MAPK11	0.554833333333333
TBC1D22A	0.114
FAM123A	-0.864
COL4A6	-4.55683333333333
TOMM70A	0.509
NAB1	1.02
MGC16385	-1.40125
TSPAN18	-1.315
MED31	-0.1245
PLG	-0.48175
CAPSL	-0.6785
ZNF532	-0.1967
ASB14	0.41925
CA8	2.807
NUDT16P	3.14483333333333
SLFN11	0.4475
LRRIQ2	-0.075125
NOL7	-0.1655
BRMS1L	-0.603
JARID1A	-0.582333333333333
PANK2	-0.47125
ICAM3	-0.581
MDS1	1.46475
TAF8	-0.5185
RNF139	-0.455
ZNF594	-3
ADAM8	2.37375
SFTPC	-0.40775
MAN2B2	0.293375
RGS12	0.511
EIF1AY	0.974583333333333
LRRIQ1	-2.375
GPR150	1.346
CCDC21	-0.952166666666667
PRRG3	0.33325
SAA4	-4.3395
RAPGEF5	2.44425
ZCCHC2	0.891166666666667
MGC39372	0.3125
PPP4R2	-0.243333333333333
CDCA2	-0.874666666666667
OR4D5	0.852
PTGFRN	1.1962
SIGLEC5	1.7565
C19orf61	-0.502166666666667
NMUR2	0.3185
KIAA1586	-1.28066666666667
DAGLA	0.5835
CHCHD6	-0.164
GPR32	0.7675
NEUROD6	0.409833333333333
SLC2A4RG	-1.090875
CA5B	1.1115
FBXL3	0.72475
MPHOSPH9	-0.51075
HMG2L1	0.3735
HCN4	0.618833333333333
CEACAM19	1.39075
SH2D4B	0.433833333333333
HFE2	-1.0965
TGM4	0.128666666666667
LYPD2	-0.09375
TBC1D15	0.21775
MRPS21	-0.6186
NONO	-1.0283
CLEC5A	2.4995
ITCH	-0.326
MGAT3	1.44666666666667
MBP	0.306875
RPP25	0.36375
SOSTDC1	-0.4215
HRC	-2.484
TRIM48	0.021
TMEM133	0.58825
ECEL1P2	-0.8175
HOXC11	1.656
DOK5	-1.2055
HELZ	0.167333333333333
LOC348180	-0.611
MGC33894	0.5565
ADRB3	0.1075
DMD	-0.478416666666667
PTRH2	-0.7065
MPEG1	3.4345
NDUFA12	0.896
KRTAP2-4	-0.0124166666666667
STAMBPL1	0.983666666666667
ADCY2	-0.421666666666667
UNQ6125	0.2395
KLHL20	-0.106333333333333
SRM	-1.094
OTC	4.16375
TMIE	-0.252
SNX8	0.707
LIPK	0.416
CHURC1	-0.700583333333333
KLC2	0.2435
HDAC1	0.509666666666667
FAM128A	0.261333333333333
FNDC3B	-0.5435
MTCP1	-0.806
WFDC10B	-0.0241
PCDHGB3	0.79
ATRNL1	-2.7202
CAV2	-0.47425
MED26	-0.3265
DUS1L	0.52075
CHRM3	-0.1185
NEK9	-0.235
WARS2	0.53625
TBX22	-0.3665
TOMM40	-0.29075
RP6-213H19.1	0.0718333333333333
TUBGCP5	-0.307
IGSF6	4.57175
TPPP	1.51116666666667
UNQ6190	-0.5705
GSTM5	-0.02575
BTD	-0.843
PDCD1LG2	0.0113333333333333
SNRPB2	-0.287333333333333
ERICH1	0.077625
APOA4	-1.758125
HOXA11	0.8335
NARG1	-0.32525
MKX	-1.57725
RAB28	0.113714285714286
PKP3	1.75225
SH3GL2	-3.38
CTSO	2.11
RPN2	0.4045625
IL28RA	0.805666666666667
SFMBT1	0.78875
WDR57	0.460125
FER1L3	-1.2255
HSF5	0.258666666666667
TTC9B	1.9325
C4BPA	-1.5215
ALB	-4.61042857142857
SORBS3	-0.19
UPF2	0.5265
JPH1	1.5
AGBL2	-0.97375
DOPEY1	2.071
TERF1	-0.0630833333333333
KIF22	-0.753
NINJ1	-0.33925
SEC61A2	-0.427666666666667
HIST1H1D	-0.212333333333333
SFXN4	0.736
UCP3	0.2441
ZNF703	1.94083333333333
MYL6B	-0.55025
TREM1	3.4185
OR52E6	0.2945
CKMT2	-1.01925
HLA-C	1.101
SLC13A3	-0.448
TIMP4	0.19225
SLIT2	0.131
RSF1	-0.0982777777777778
LONRF1	-1.4685
MON1A	-0.261166666666667
CACNG6	-2.00383333333333
DPPA4	-5.15533333333333
ZSWIM3	0.48225
ZNF804A	-0.389166666666667
CCIN	0.99825
SLC25A31	-0.21325
KCNMB4	-3.0775
RABL5	-0.578375
GALNS	-0.6541
STX6	0.310125
HIST1H1C	-2.05583333333333
CIDEB	-1.4615
CASP4	1.25883333333333
PDK3	-0.4268
KCNJ11	0.482
TPR	-0.446
ZSCAN20	-0.9035
MTX2	-0.08175
HIST1H2BH	-1.16
LOC283767	2.27925
LYRM7	-0.738444444444445
BRD3	-0.297833333333333
HIST1H2BO	-0.89425
MAGEB10	0.1605
SLC45A1	-0.1235
SERPINA3	-3.3787
KIAA0143	0.3235
KCNJ16	0.2785
KRT79	0.62325
FABP2	1.6085
NUT	-0.6045
ZNF57	0.90725
FBXL4	-0.9495
CLEC9A	-0.142
UGT8	3.35916666666667
BMP2K	0.159
MAPK4	-3.73975
SLC25A23	-0.1683
HINT1	-0.202
KRTAP13-1	-0.0395
SFXN5	-0.7735
CHCHD2	0.525583333333333
FAM3D	4.5625
NDP	-2.65275
RHOBTB1	-1.11183333333333
SLC4A4	2.618625
RPL38	0.37925
HTF9C	-0.149666666666667
AP2A2	0.42425
ZBTB46	-0.782
MAP7D1	-0.710375
AOX1	-2.5635
CYR61	-0.450416666666667
DTNA	-2.27278571428571
JRKL	1.75875
TMOD3	-0.90325
EEA1	0.7384
ADCK5	0.9205
IL1R1	0.0225
KLK3	1.56035714285714
HRSP12	-0.642
KTN1	-1.04025
LOH11CR2A	1.7851
RELL2	-1.927
MAB21L1	-0.362
C20orf59	-0.7375
PHKB	0.01475
ADAM2	-1.90433333333333
TBC1D8B	1.82366666666667
FAM13A1	0.9298125
LAPTM4B	-2.3715
LCN8	0.064
TMEM147	0.12
SYT4	0.855
XPO7	-0.468
C9orf62	1.6335
GPR75	-0.0735
TRIM5	0.907125
APOC1	-0.136333333333333
RNASE4	1.555
PARD6B	-2.812
ARID1A	-0.197166666666667
TPD52L3	0.3392
RRAGB	-0.147833333333333
RCN2	-0.668166666666667
HIST2H2BE	-1.030125
STARD7	-0.0825
SHMT2	0.982
KIAA1751	-0.0218333333333333
MLYCD	0.540125
LOC162632	0.2458
UQCRH	0.10025
RP11-217H1.1	-0.013375
SDHA	-0.566166666666667
NCLN	0.3982
ZNF17	0.233833333333333
RCBTB2	-1.48525
VEGFB	-1.0506
RP4-747L4.3	0.56675
COLQ	0.0973
MPN2	-0.793333333333333
DRG2	-0.73825
KLRB1	4.4175
ALPK2	-1.82325
DNASE2B	0.15325
FLJ23834	0.551166666666667
AXUD1	-0.167
SAFB	0.5173
NSUN4	0.121
RFX2	-0.00683333333333332
MAPK8IP1	-1.49266666666667
FANCD2	-0.209571428571429
ANKZF1	-0.868166666666667
C19orf50	-0.78125
DUSP8	1.9305
SENP5	-0.10225
NFKBIL2	0.34275
LBR	0.46575
IGFL1	-1.6365
LZTS2	-0.5925
IL2RG	0.25625
CCDC51	0.10325
KLF3	1.346125
ANKRD37	0.99775
KCTD14	2.681
FZR1	0.1835
SLC44A4	3.0181
ESPL1	-0.47175
GMPR2	-1.1229
TBC1D19	-0.498833333333333
ERGIC1	1.05066666666667
ERBB4	-1.8111
TSPAN32	-0.156333333333333
MAP4	-0.4785
GPHN	0.71425
SLC6A2	-0.436375
HIVEP1	-0.054
DFFB	1.1831
EIF4EBP2	0.54625
DMRT1	-0.61125
HSPB6	0.67225
IER2	-0.00933333333333332
AIFM1	0.10225
WWC2	-1.53691666666667
MRPL4	0.264
FLJ21062	-0.0466666666666667
EPB41L4A	-0.235666666666667
SH2D6	0.373
TAF4B	-0.24025
GAL3ST3	-0.351
MALT1	-0.972833333333333
RTDR1	0.94325
ARVCF	-0.313375
MEX3B	-1.1455
FBXO16	0.43925
KIF7	-2.77225
C1QC	4.49616666666667
ZNF783	-0.329833333333333
ZNF85	-1.74925
MMP13	3.46
KIAA0329	-0.543125
RTP3	-1.3765
ZBED3	0.39825
CLGN	-5.82175
SLC25A37	-0.433208333333333
hCG_18290	0.361
OR5AS1	0.1655
SMARCC2	0.06075
FAM109A	1.04366666666667
CCDC12	-0.05175
USF2	0.2939
DEPDC7	0.181
C20orf24	-0.544833333333333
JMJD3	0.1105
DSP	0.573857142857143
SLIC1	0.26875
FAM20A	0.40525
IRF2BP2	0.792625
ZNF230	-0.357
MSN	-1.62285714285714
SLC9A5	-1.102
