Hybridization REF	TCGA-AA-A02R-01A-01R-A00A-07
GTPBP1	0.00578571428571428
RAB33B	1.15383333333333
ALDOC	-1.036625
ZNF212	-0.3985
NUDT1	-1.21966666666667
RFPL2	-0.6605
ZNF83	-0.213666666666667
GDPD5	0.372
PDCD4	-1.0398
CEP350	-0.25825
OR10A2	0.64275
CST7	2.58575
CIAO1	-0.142
SELL	1.2655
OR8J3	-0.269
LTBP4	0.817666666666667
SIRT6	0.512
CCL19	4.1685
PPIL1	-0.339166666666667
GBP7	1.37966666666667
STK17A	0.1129
ABR	0.5075
OR9G1	0.2885
FOXE1	-0.468875
CNGA3	0.7975
GML	0.581
CD38	0.56925
ZDHHC6	0.518166666666667
NEFH	-3.49
CTDSP2	0.771
PGBD5	-1.78466666666667
CCNY	0.540071428571429
RMND5B	0.379666666666667
ZNF257	-3.93725
FLJ22167	0.63
EXOSC7	-0.598833333333333
ROR2	0.249125
MAOA	-2.127
TNNT3	-0.646833333333333
GYPC	-1.92275
C7orf33	0.8225
PLIN	0.0138333333333333
LOC90826	0.39475
RNF4	0.2162
F8A1	0.673666666666667
PLEKHG4	-0.89325
GRB2	-0.1414
HIST1H2AD	-1.84925
DUS3L	-0.0121666666666667
EIF1	-0.169333333333333
RP5-1077B9.4	-0.473333333333333
FPGT	0.501
GDF10	-0.682
COQ9	0.8415
GCC2	0.207285714285714
RARRES3	3.20725
PLXNA1	0.6306
KIAA0100	-0.3456
PMF1	0.032
FNDC1	4.94075
HS2ST1	-0.360166666666667
CRELD2	0.199
C8G	-1.537
CD82	0.62725
LIM2	-0.4255
UNQ6490	-0.389
MMP16	-0.483
DRD3	0.172
C5orf26	-0.55025
C11orf73	-0.758125
PTP4A2	-0.8085
OR4M2	1.167
HPCA	-0.7655
SEC14L1	-0.58
CHFR	-1.4185
EMILIN1	0.8245
NDUFS4	-0.24175
COL18A1	-1.062
PDZD3	2.3697
C9orf16	-0.2945
ERBB2IP	-1.03583333333333
EMX2	-0.43375
FUS	-0.75425
TF	-4.6854
CLCN4	2.53866666666667
CXorf56	-0.27225
C11orf72	0.459
ELAC2	-0.13325
NPR1	-1.632
ASS1	0.861666666666667
USP42	0.189875
POLR2J	-0.781
SEC23IP	0.779
UQCRC1	0.907
LOC729603	-0.5785
C1orf71	-1.163375
POLG	-1.0335
ADAM23	-4.3
TFR2	-0.67925
RICTOR	-1.1636
MGC39606	-0.67975
C19orf55	-0.0725
SNAPC1	-2.33566666666667
GNA11	0.41475
CCDC52	-0.453166666666667
FSIP1	-1.3685
UPF3A	-1.233625
IGSF11	-2.6875
LAGE3	-0.833
CHST6	-3.457
UNC13B	0.16225
TTLL4	-0.061
ZNF687	0.383
SDC2	-1.5997
COX7A2	-0.20625
LAMB4	-0.8005
FAM24A	0.7335
LRRTM3	-1.0138
GPHB5	0.60275
OR4C13	0.3915
EIF3EIP	0.293428571428571
HABP4	0.422
TMEM125	2.89575
CNTN2	-0.0472857142857143
ASNSD1	-0.2845
FUT4	1.992625
ACF	-3.10325
LOC158381	-0.079
CDH8	-0.835
AGPS	0.292166666666667
C4orf18	0.269875
PECI	-1.46125
UNG	1.021
GSTP1	0.44125
DCUN1D5	-0.593333333333333
DKFZP564J0863	-0.57775
SLC9A3R1	-0.36325
BCDO2	-1.247625
CHMP7	0.2145
REM2	-0.036
DNHD1	-0.859125
FKBP4	-0.099875
ZNF350	-1.2965
MGC11102	0.054375
BST1	0.9865
KISS1R	0.854
NCR2	0.0745
DEFB125	0.5955
UBE2W	0.409875
KRT15	-2.28175
C10orf99	0.6885
SCN11A	0.0105
GFI1	0.3565
RDHE2	4.73383333333333
FHL1	-2.2315
OSGEP	0.254166666666667
GATA1	-4.1825
SMC6	-0.70325
TTTY14	-1.05075
LPIN3	0.27
RPL4	-0.2406
RBPMS	-0.2534
PRPF3	-0.500833333333333
EMR1	-1.823
SPATA19	1.4945
XCR1	0.236
IRX3	0.0868
RBM6	-0.6915
KLF4	0.378
UNC5CL	-0.745
SEBOX	0.032
BTK	-0.75075
KRCC1	1.118
C6orf27	0.3255
SYTL5	-0.926
PRND	0.3785
LOC653319	-1.1945
PIGL	-0.961125
HUS1	-0.0531666666666667
SFRS6	1.44975
C17orf77	0.5215
UIMC1	-0.392166666666667
FXYD2	-1.2818
LOC283152	-0.17025
ZNF667	-2.0425
ZCCHC12	-1.284
TFEC	3.3426
ATP7B	0.150666666666667
POLD2	-0.738
RG9MTD1	0.66525
ACOT2	-2.04616666666667
HIST1H4I	-0.73875
PPARGC1A	-2.1205
ETFA	-0.4572
POLRMT	0.51425
ZNF146	-0.02
MIA2	0.872
KLHL6	0.00316666666666667
HOXB5	2.711
NENF	0.351333333333333
CUGBP1	-0.67025
PRSS22	0.965833333333333
CASC4	1.2903
CUL4B	-0.6821
CENPJ	-0.6492
PITX1	0.0448333333333333
FLJ31033	1.31366666666667
CELSR3	-2.5425
ZNF568	-1.621
ITSN1	-0.2905
EHBP1L1	0.266833333333333
C19orf2	0.95275
DCTN1	-0.72475
LIN28B	-4.241
TNKS2	1.032
C1QBP	0.356375
CADPS2	1.5335
SRMS	1.1705
GJA9	0.413166666666667
MGC24975	0.276666666666667
TRIM45	-1.7285
TSP50	-0.36925
TCP1	-0.8
TMED7	-0.0579
CMA1	0.482
CENPL	-0.413833333333333
PTCRA	0.473
FST	-5.7975
VWCE	-3.9115
PAWR	0.36075
ABCC12	0.586
LDLR	0.1521
ASTN2	-0.399
LOC441212	-0.26325
GPATCH8	0.21
TANC2	-0.729666666666667
KIF4A	-1.0255
C18orf18	-4.131
PGM1	-1.34575
KIAA0258	0.55025
CPD	0.817875
SNCAIP	-1.6695
DCT	-5.023
HLA-DOA	4.36577272727273
OR11L1	0.804
UPK1B	-0.027
DNAJB4	-0.8795
UGT1A8	0.09075
HIST1H4L	0.6325
PECR	-1.0375
HSPA2	0.373
WFIKKN1	-2.5945
SERP1	0.213625
SYDE2	-0.6925
TACR2	0.3545
NUP85	-0.1565
CD177	2.86783333333333
LGR5	1.473
PIGG	0.0675
PTHR1	-3.00033333333333
RAB5A	-0.16
FLJ13224	-0.0675
USP9Y	-1.6304
C7orf53	-2.7245
LRP1B	-1.22075
XAF1	4.5045
ABCG8	-0.4385
ANKDD1A	-0.4355
DAND5	-2.2285
SPAG6	0.274833333333333
LINCR	2.106
ZDHHC22	-1.72
CCDC60	1.179
THOC7	-1.2295
TCTA	0.0799
OR8K3	0.528
NY-REN-7	-0.1885
B2M	2.32316666666667
C6orf141	-1.0205
LPPR4	2.00575
SQLE	-1.811875
SEPHS1	-0.153
BTBD14B	0.427642857142857
PLRG1	-0.004
SPG7	-0.2661875
ZNF614	-0.37
PARD6G	-1.001
INPP5B	-0.6859
GRPEL2	0.453125
PPID	-0.2379
TRIM56	0.42975
UBE2J1	0.024125
IL20RA	4.67025
LOC387856	0.13875
C1orf107	0.329666666666667
UTS2R	0.80925
C19orf22	0.4935
SAFB2	-0.212875
KIAA0652	0.375
KLRG1	-1.13866666666667
MS4A8B	1.613
FRAG1	0.466
KIAA1546	0.0085
E2F4	0.5415
CLEC4M	0.590333333333333
BTBD14A	-0.60725
KIAA0999	0.4561
GYPA	-4.613
TAC1	0.7422
TRAIP	-0.563
KIAA0232	0.3425
ERCC8	-1.070375
GPX4	0.270625
KIAA0368	-0.113875
GPR157	-0.5
CTAGE4	1.766
C9orf30	-0.366833333333333
OR52A1	0.597
HSP90B3P	0.4325
ALG9	-0.164
BTBD10	0.80225
SDK2	-0.2705
BAIAP3	-1.06175
RABGGTB	-0.9245
ANKRD40	-0.150666666666667
KRT74	0.6105
CALCOCO2	0.472285714285714
SNCA	-4.68025
TMSL8	-6.3135
C2orf53	0.031
ESRRB	0.0145
ARHGAP26	0.877625
TDRD9	-2.7815
HRAS	0.428833333333333
KLRC4	-1.5815
JAGN1	-0.120666666666667
BSDC1	-0.4285
RNF43	0.058
NDUFAF1	0.1535
PHF12	0.645
OR1L3	0.301
FOLR2	1.6965
LYZL6	0.250333333333333
tcag7.1260	-2.1995
WSB1	-1.608
PROS1	-0.0605
OSTN	0.455
PSMB8	1.9895
SOCS4	-0.096375
DDIT4L	-0.57275
MAS1	-0.188
MGC34796	1.29525
CSHL1	0.503833333333333
TBCCD1	0.19
ZBTB7C	0.3855
AP2S1	-0.430125
P15RS	0.0864
VAT1	-0.6345
SHANK3	1.60083333333333
TUFM	0.373666666666667
THEG	-0.685
KRT34	-1.691
SGSM3	-0.04625
TOMM22	0.07325
SOCS3	0.2485
CPO	-0.2555
POP4	0.05975
BHLHB3	1.06775
MALL	0.45075
OR1B1	0.142
PARK2	0.422666666666667
GPR124	0.7255
LCE1E	1.0655
RUVBL2	-0.386
CGRRF1	-0.0019
ACPL2	1.16675
WNT10B	0.296
BAIAP2L2	1.336625
ISCA1	0.0425
C1orf125	2.931125
RPAP1	-1.09375
RAI16	-0.676166666666667
RPL27	0.071
NLRP9	0.4575
EPN1	0.169
LOC388610	0.745375
SLC35A1	0.8051
GAL	-5.07175
SLC14A2	0.48275
RDH11	-0.845166666666667
FAM138F	0.964
AUH	0.2495
FLJ40243	-0.2845
C14orf129	2.76266666666667
MBD2	-0.520833333333333
ABHD14B	0.9635
PIGT	-0.39175
ALS2CR4	0.079375
ALAS1	0.7705
FOXO1	1.44533333333333
CRLF3	0.13175
C20orf107	-0.067
FARS2	-0.18225
CCDC28A	-0.364
NPHP3	-1.31
OR13F1	0.391
TSEN54	-0.14225
DEFB106B	-0.0336
OR8B4	0.525
STH	-1.13725
ZC3H14	-0.265375
CBX2	0.779
TMEM49	-1.52525
C6orf21	1.0355
FLJ20920	-0.492
CRTAP	-0.552071428571429
DDX50	-0.3545
STYXL1	-0.30025
BLVRB	-0.970666666666667
LOC147650	-1.424
MMP24	-0.4735
GRID1	0.62
BANF1	0.250833333333333
CTAGEP	0.4555
HMBS	-0.6835
SLC25A24	0.6775
C14orf50	2.59625
MRO	-0.3255
SLC25A15	0.1645
FAM84B	0.5518
TDP1	-0.219
C16orf78	0.0188333333333333
C11orf57	0.00900000000000001
RFK	0.60225
ZFYVE9	0.940125
STCH	-1.3419
WIBG	1.131
LOC283871	-0.0848333333333333
GBA2	-0.1355
NDUFB3	-0.035
HSD17B13	-0.436
GRIN3A	3.0942
FMNL1	-0.754333333333333
SEPT7	-1.7707
GNLY	5.943
GRAMD1C	-0.233833333333333
ZNF165	1.109
USP38	1.5055
FAM83A	-4.09633333333333
C14orf24	0.271666666666667
ARMCX3	-0.368875
ARHGDIB	-0.833833333333333
AK1	-0.43025
KIAA1045	0.147
DNAJB13	-0.0946666666666667
NEU2	0.776
HIST1H4B	1.20983333333333
FAM20B	-0.8199
HES2	2.56457142857143
FAM73B	-0.4501
LOC388381	0.296
INTS7	-0.243181818181818
AMPH	-0.731
ZNF775	-0.441
UCKL1	-0.0635
C10orf97	-0.1055
C1orf161	-0.26975
ALDH1L1	0.17
FLJ39378	0.331625
SLC23A1	-2.302
RBM4B	0.52325
THAP4	0.731
OGFRL1	0.0045
KIAA0831	0.442125
PPP1R15A	-1.01883333333333
C1orf96	0.227857142857143
C12orf11	-0.87575
BMF	-0.668
MAN1A1	-0.680125
KIAA1600	0.3885
NLGN4X	-1.66925
ALOX12	-0.803833333333333
RB1CC1	-0.625
NEIL2	0.6178
EIF4E	0.0855
ABHD5	-0.50925
EXOC4	0.0553333333333333
CIP29	-0.161166666666667
BATF2	4.061
SLC29A4	-0.700125
HTR4	0.498
EMB	-0.79975
TRAF6	1.11125
LMNB1	1.472
FAM19A5	-1.1405
SHE	0.4545
PIK3C2B	1.34625
C15orf15	-0.4215
USP15	0.7957
TCEAL2	0.247
C5orf39	-0.995333333333333
PTGER2	0.78575
SLC31A1	-0.3989375
IFT172	-0.1975
ADAM29	0.1585
GFOD1	-1.58475
ST7L	-0.1225
C15orf26	-1.5265
PKN3	-0.633
CNTD1	-0.520333333333333
COMMD1	-0.20725
NTRK2	0.554583333333333
FOXN3	-0.3165
MFGE8	-0.2269
PFKFB2	0.5865
TAS2R4	-0.22125
ENTHD1	3.27333333333333
PRMT5	-0.441125
MGC16384	-1.63375
LOC442229	0.40175
TSKU	0.889
KRTCAP3	4.225875
PDLIM1	1.2198
KCNS2	0.2825
RNF126	0.406833333333333
CEP63	-1.29875
CLIC4	-1.34175
hCG_1990170	-0.83125
ACR	1.6477
KLK7	-0.2965
ALOX5AP	3.736
RIPK3	4.804
TAS2R9	0.948
C19orf18	-1.457
BIRC6	0.0785
ZNF16	0.9895
RFT1	-0.05225
SLC8A2	-0.53175
TACC1	0.618875
ITGAD	1.5755
SAMHD1	2.286
SH3PXD2B	0.8108
EPC2	0.97775
C20orf85	0.4035
ATP13A2	0.611833333333333
KRT4	0.988875
CAPNS1	0.1465
MDM2	0.610333333333333
PCDH20	0.08
KCNK9	0.31
OR2C1	-0.236
KLHDC3	-0.495833333333333
IPPK	0.3885
EFHD2	0.530125
GALR3	0.87675
NBEA	-3.47316666666667
ABCA6	0.6384
CLDN3	-1.17866666666667
AKT2	0.146714285714286
EGFR	1.6228
RBM16	0.437
ZDHHC3	0.9176
SLC25A4	0.207166666666667
CYB5B	-0.962666666666667
CPXM1	-1.59575
NDRG1	-0.878153846153846
FLJ43826	0.165
OR5L2	0.5152
FARP2	0.6855
MRPL46	0.0131666666666667
LDHAL6B	0.6726
MAPKAPK3	-0.231
NCAM2	-3.1635
PRKD2	0.672666666666667
ZFP36L1	1.2534
CYSLTR1	-0.88675
OR4C3	0.177
HIST1H2AJ	-1.036
CCNB2	-0.835555555555555
ZNF10	-2.734375
TMEM175	0.1035
FAM134A	0.510666666666667
TIGD4	0.003
PCNP	-0.61775
MGC39715	0.046
LQK1	-2.1835
CREB1	-0.0745
TMPRSS3	2.00575
C4orf32	-0.32025
LAT	-1.19916666666667
KCNA3	0.2345
SKIV2L2	-0.56575
ROPN1B	-4.8885
tcag7.23	0.3235
CDT1	-1.08175
ZHX2	1.040375
CD28	-3.289
ZNF624	0.096
SEPT2	0.256833333333333
SOHLH2	-2.630375
MCOLN3	1.514375
UNQ1945	0.8425
MASP2	-1.21
ZNRF3	0.4859
GPATCH3	0.14525
AGL	0.837875
QRICH2	-0.273
PSD4	0.771333333333333
CCNB1IP1	-0.76575
ENPP7	-0.11875
OBFC1	-0.48175
KCNG3	-3.122
C14orf79	0.603333333333333
ENPEP	2.90283333333333
SCT	1.1815
SKI	0.810125
SEC61G	-0.96475
CAPN11	-0.67325
ATXN7L3	0.246
DBNDD1	0.334
FAIM	0.86675
ANKRD36	-0.7645
GABRP	3.50783333333333
TACSTD2	-1.09183333333333
EIF3J	-1.0455
PPP2R2A	0.24625
TEKT4	-1.71766666666667
PVALB	-4.55683333333333
F10	-3.58233333333333
FAM134C	0.7678
COMP	3.683
EFCBP1	-3.6815
SCLT1	-0.0835
TAL1	-1.9261
ACSL1	0.79075
ABCC5	-0.857416666666667
ABL1	-0.141833333333333
RBBP7	-0.0314166666666667
PTPRG	-0.2865
NCOR1	0.4303
SPINK4	1.84283333333333
TXNRD1	-0.7208
TNRC15	0.467
C9orf138	0.040875
UBE2H	-0.5645
BRDT	0.0764
C8orf31	0.095
CCNE2	-1.44136363636364
SLC6A8	-0.938
CALCR	-5.111
PPP1CB	0.0676666666666666
ABHD8	-1.681
ARF5	0.196
SLC24A4	0.6165
CCT3	-0.494
ZNF121	0.368875
SLC3A2	-1.704
OR13A1	0.555
SLC5A10	-0.3615
RAD50	-0.252375
IER5	0.40525
MTHFD1L	-0.23525
MBTPS2	0.0636666666666667
MVK	0.118875
NCL	0.4074
PSMD10	-0.59625
MOBP	0.425285714285714
FLJ32894	-1.0505
HRH1	0.877833333333333
C5orf30	0.918
NUDT16L1	-0.0877
RASGRP3	2.89116666666667
PRKRIP1	-0.8187
CCDC75	-0.703
LOC253970	0.67175
KIAA1239	-0.0919999999999999
MED21	0.458
SYT11	0.581666666666667
NTSR2	-0.275
EGFL11	0.2005
CXorf59	-1.214
OR2A25	-0.3485
SPTBN2	-0.3515
LRMP	-1.03783333333333
RNF111	0.4685
PTH	0.823
LOC619208	-0.92
KIAA0895	0.47425
RANBP5	-0.0215
P2RY10	1.42366666666667
NME5	-0.989666666666667
DDX21	-0.76725
LRSAM1	-0.4135
HDAC11	0.323833333333333
VMO1	2.61375
NOLA2	-0.232
ADAR	1.43133333333333
MTO1	-0.225833333333333
SF4	0.076
P2RX1	-0.0325
HBM	0.0955
EN2	1.3395
C14orf172	0.45725
TM9SF2	0.1387
INHBE	-0.7415
TCTE3	-0.0320833333333333
TOX2	-1.5055
CTAGE3	-0.285
HBB	3.6258
MED15	-0.543166666666667
CASR	0.03875
C6orf66	0.439666666666667
MTPN	-1.00825
UNC50	-0.413
C21orf33	0.613875
IRF2	1.263625
PGR	-3.13116666666667
GPR84	2.6395
CROCCL1	-2.51825
SRPX	-4.1315
BRE	-0.0866666666666667
FGF10	0.13
SDC3	0.481666666666667
ZRSR1	-0.4975
DKFZP434P211	-0.571875
SOX6	0.3665
RPUSD2	0.5975
C14orf173	0.0255
MAPK11	1.16883333333333
TBC1D22A	0.565
FAM123A	-1.6995
COL4A6	-5.1408
TOMM70A	0.169
NAB1	1.374125
MGC16385	-0.982
TSPAN18	-1.43733333333333
MED31	-0.04875
PLG	-0.379666666666667
CAPSL	0.192
ZNF532	-0.4205
ASB14	0.01675
CA8	-1.29375
NUDT16P	3.27366666666667
SLFN11	-1.2585
LRRIQ2	-0.5225
NOL7	-0.364
BRMS1L	-0.25975
JARID1A	0.238166666666667
PANK2	0.10575
ICAM3	-0.76775
MDS1	1.619
TAF8	-0.54425
RNF139	-0.26125
ZNF594	-0.835833333333333
ADAM8	2.619
SFTPC	0.035
MAN2B2	0.481
RGS12	-0.0153125
EIF1AY	-5.00858333333333
LRRIQ1	-2.26833333333333
GPR150	0.95475
CCDC21	-1.06333333333333
PRRG3	0.2695
SAA4	-4.4675
RAPGEF5	1.504625
ZCCHC2	1.1515
MGC39372	1.168
PPP4R2	-0.0131666666666667
CDCA2	-0.605666666666667
OR4D5	0.436333333333333
PTGFRN	1.1833
SIGLEC5	2.28183333333333
C19orf61	-0.924833333333333
NMUR2	0.714
KIAA1586	-0.438666666666667
DAGLA	0.124166666666667
CHCHD6	0.076
GPR32	0.518
NEUROD6	0.5084
SLC2A4RG	-0.370625
CA5B	0.23475
FBXL3	1.378
MPHOSPH9	0.107
HMG2L1	-0.9835
HCN4	0.646
CEACAM19	-0.25775
SH2D4B	1.45616666666667
HFE2	-0.443
TGM4	0.550333333333333
LYPD2	-0.181
TBC1D15	0.69825
MRPS21	-1.1832
NONO	-1.3415
CLEC5A	1.838375
ITCH	-0.7805
MGAT3	0.690666666666667
MBP	0.3685
RPP25	1.226
SOSTDC1	-0.75625
HRC	-2.5875
TRIM48	0.4255
TMEM133	0.475
ECEL1P2	-1.7325
HOXC11	2.039
DOK5	-0.78875
HELZ	-0.8065
LOC348180	-0.7395
MGC33894	0.68025
ADRB3	0.427
DMD	-0.606416666666666
PTRH2	-0.524
MPEG1	4.09716666666667
NDUFA12	0.634666666666667
KRTAP2-4	0.411
STAMBPL1	0.146666666666667
ADCY2	-0.837833333333333
UNQ6125	0.1845
KLHL20	-0.531
SRM	-0.5655
OTC	4.358
TMIE	1.6385
SNX8	0.0595
LIPK	-0.054
CHURC1	0.198916666666667
KLC2	0.374333333333333
HDAC1	0.475333333333333
FAM128A	0.239666666666667
FNDC3B	-0.3893
MTCP1	-0.685166666666667
WFDC10B	-0.0236
PCDHGB3	0.965
ATRNL1	-2.9545
CAV2	-0.592875
MED26	0.186
DUS1L	0.77825
CHRM3	-2.153125
NEK9	0.5775
WARS2	1.81275
TBX22	0.1195
TOMM40	0.29225
RP6-213H19.1	-0.409166666666667
TUBGCP5	-0.146
IGSF6	5.98625
TPPP	1.74616666666667
UNQ6190	-0.5665
GSTM5	0.186625
BTD	0.1635
PDCD1LG2	1.12766666666667
SNRPB2	-0.394166666666667
ERICH1	0.22025
APOA4	-1.695625
HOXA11	0.475
NARG1	0.097625
MKX	-1.16333333333333
RAB28	-0.252615384615385
PKP3	2.1675
SH3GL2	-2.795
CTSO	2.26225
RPN2	-0.162125
IL28RA	0.670666666666667
SFMBT1	1.03325
WDR57	-0.041
FER1L3	0.773083333333333
HSF5	0.353666666666667
TTC9B	1.506
C4BPA	-3.971
ALB	-4.70514285714286
SORBS3	0.861875
UPF2	0.972
JPH1	0.94
AGBL2	-0.29325
DOPEY1	1.143
TERF1	-0.31925
KIF22	-0.716833333333333
NINJ1	0.65625
SEC61A2	-0.5375
HIST1H1D	-0.4915
SFXN4	0.36175
UCP3	0.2936
ZNF703	0.755833333333333
MYL6B	-1.32425
TREM1	3.39475
OR52E6	0.614
CKMT2	-0.57525
HLA-C	2.189875
SLC13A3	-3.45766666666667
TIMP4	-1.72925
SLIT2	-0.20825
RSF1	0.0243333333333333
LONRF1	-0.23
MON1A	-0.0161666666666667
CACNG6	-0.438833333333333
DPPA4	-6.66033333333333
ZSWIM3	-0.18875
ZNF804A	0.1604
CCIN	0.87575
SLC25A31	0.2455
KCNMB4	-3.734
RABL5	-0.22875
GALNS	-0.0398
STX6	0.0495
HIST1H1C	-4.5285
CIDEB	-1.19425
CASP4	-0.44
PDK3	0.1937
KCNJ11	1.024
TPR	-0.487625
ZSCAN20	-0.5415
MTX2	-0.2355
HIST1H2BH	-1.82675
LOC283767	1.24875
LYRM7	-1.25661111111111
BRD3	0.0106666666666667
HIST1H2BO	-1.816
MAGEB10	-0.0705
SLC45A1	0.421
SERPINA3	-3.1504
KIAA0143	1.058
KCNJ16	0.311333333333333
KRT79	0.843
FABP2	1.06025
NUT	-0.371
ZNF57	1.0445
FBXL4	0.326875
CLEC9A	1.287
UGT8	2.26033333333333
BMP2K	0.75625
MAPK4	-3.56075
SLC25A23	0.3734
HINT1	0.4034
KRTAP13-1	-0.385
SFXN5	-0.2723
CHCHD2	-0.26525
FAM3D	4.42
NDP	-3.77325
RHOBTB1	-1.22733333333333
SLC4A4	1.637125
RPL38	0.13175
HTF9C	-0.668833333333333
AP2A2	-0.496875
ZBTB46	-0.153
MAP7D1	-0.343875
AOX1	-2.5745
CYR61	-0.449916666666667
DTNA	-1.93492307692308
JRKL	1.43525
TMOD3	-0.4695
EEA1	0.563
ADCK5	0.003
IL1R1	0.707833333333333
KLK3	0.500428571428571
HRSP12	-0.0705
KTN1	0.299
LOH11CR2A	-0.8539
RELL2	-1.335
MAB21L1	0.1535
C20orf59	-0.2915
PHKB	-0.27575
ADAM2	-1.8808
TBC1D8B	1.08883333333333
FAM13A1	-0.1555
LAPTM4B	-4.94733333333333
LCN8	0.3525
TMEM147	0.1845
SYT4	0.778666666666667
XPO7	0.014
C9orf62	1.17775
GPR75	0.49
TRIM5	1.084625
APOC1	1.14916666666667
RNASE4	-0.518166666666667
PARD6B	-2.615875
ARID1A	0.142583333333333
TPD52L3	-0.279777777777778
RRAGB	0.216166666666667
RCN2	-0.8505
HIST2H2BE	-1.6414375
STARD7	0.44575
SHMT2	0.90975
KIAA1751	-0.0525
MLYCD	0.90725
LOC162632	-0.4756
UQCRH	-0.51925
RP11-217H1.1	-0.052875
SDHA	0.380666666666667
NCLN	0.3722
ZNF17	0.705333333333333
RCBTB2	-1.992
VEGFB	-0.9446
RP4-747L4.3	-1.32725
COLQ	0.404
MPN2	-1.058
DRG2	-0.64275
KLRB1	5.12925
ALPK2	-1.5505
DNASE2B	1.96175
FLJ23834	-0.5908
AXUD1	-1.114
SAFB	0.0875
NSUN4	0.55025
RFX2	-0.4585
MAPK8IP1	-0.404666666666667
FANCD2	-0.153357142857143
ANKZF1	-1.53533333333333
C19orf50	-0.696625
DUSP8	0.375375
SENP5	-0.043625
NFKBIL2	0.142
LBR	0.4995
IGFL1	0.302
LZTS2	-0.623375
IL2RG	2.66375
CCDC51	0.77875
KLF3	1.216125
ANKRD37	-0.47275
KCTD14	2.73916666666667
FZR1	0.1
SLC44A4	1.1156
ESPL1	-0.07825
GMPR2	-1.1772
TBC1D19	-1.08416666666667
ERGIC1	0.140333333333333
ERBB4	-1.8141
TSPAN32	0.44775
MAP4	0.04625
GPHN	0.63825
SLC6A2	-0.034125
HIVEP1	0.8175
DFFB	0.7202
EIF4EBP2	0.42625
DMRT1	-0.29825
HSPB6	-0.34075
IER2	-0.7825
AIFM1	0.217
WWC2	-0.730909090909091
MRPL4	0.73675
FLJ21062	0.605
EPB41L4A	-0.95125
SH2D6	0.4985
TAF4B	0.22825
GAL3ST3	-0.0785
MALT1	0.484666666666667
RTDR1	0.27125
ARVCF	-0.555625
MEX3B	-1.56783333333333
FBXO16	-0.764
KIF7	-2.641
C1QC	4.61933333333333
ZNF783	-0.335166666666667
ZNF85	-1.1865
MMP13	-0.2905
KIAA0329	-0.049375
RTP3	-0.81
ZBED3	-0.19825
CLGN	-5.742
SLC25A37	-1.47
hCG_18290	0.06275
OR5AS1	-0.1415
SMARCC2	-0.733083333333333
FAM109A	1.37033333333333
CCDC12	-0.309
USF2	0.2742
DEPDC7	-0.436
C20orf24	-0.344333333333333
JMJD3	-0.3655
DSP	1.07614285714286
SLIC1	0.542375
FAM20A	1.033875
IRF2BP2	0.620125
ZNF230	-0.014
MSN	-1.26178571428571
SLC9A5	-1.2305
EPDR1	-2.0269
MUSK	0.339166666666667
ZNF434	0.0236666666666667
SMARCD1	0.7715
ZFP106	-0.64
ZNF347	-1.5689
