Hybridization REF	TCGA-AA-A00D-01A-01R-A002-07
ISCA1	0.103
C1orf125	-0.13575
RPAP1	-1.25175
RAI16	-0.9765
RPL27	-0.382875
NLRP9	0.225
EPN1	0.3245
LOC388610	-0.578
SLC35A1	0.5987
GAL	-1.878
SLC14A2	0.378
RDH11	-0.853333333333333
FAM138F	-0.1445
AUH	0.02025
FLJ40243	0.6835
C14orf129	2.22
MBD2	-0.67
ABHD14B	0.9035
PIGT	0.57925
ALS2CR4	-0.587125
ALAS1	0.7838
FOXO1	1.04383333333333
CRLF3	-0.072875
C20orf107	0.3325
FARS2	-0.18925
CCDC28A	0.5085
NPHP3	-0.797
OR13F1	0.0115
TSEN54	0.0775
DEFB106B	0.0602
OR8B4	0.8565
STH	-0.73125
ZC3H14	-0.14125
CBX2	-0.4925
TMEM49	-0.6565
C6orf21	0.052
FLJ20920	0.076125
CRTAP	-0.500571428571429
DDX50	0.1865
STYXL1	0.295
BLVRB	-1.10916666666667
LOC147650	-1.85816666666667
MMP24	-0.0495
GRID1	0.8395
BANF1	-0.225166666666667
CTAGEP	0.83625
HMBS	-1.37775
SLC25A24	0.323666666666667
C14orf50	2.5885
MRO	-0.126666666666667
SLC25A15	0.22725
FAM84B	1.3292
TDP1	0.1905
C16orf78	-0.0636666666666667
C11orf57	0.28625
RFK	0.407125
ZFYVE9	0.492
STCH	-0.8309
WIBG	0.22675
LOC283871	-0.8875
GBA2	-0.3201
NDUFB3	-0.0205
HSD17B13	-0.16275
GRIN3A	2.5375
FMNL1	-0.523833333333333
SEPT7	-0.2725
GNLY	4.751
GRAMD1C	1.14316666666667
ZNF165	0.12425
USP38	1.70725
FAM83A	-1.616
C14orf24	0.763583333333333
ARMCX3	0.932125
ARHGDIB	-0.461666666666667
AK1	-0.205
KIAA1045	-0.1815
DNAJB13	-0.511666666666667
NEU2	0.249
HIST1H4B	-0.5515
FAM20B	-0.9051
HES2	-0.236428571428571
FAM73B	-0.3743
LOC388381	0.1825
INTS7	-0.703
AMPH	-0.0135
ZNF775	-0.496
UCKL1	-0.0913333333333333
C10orf97	0.0665
C1orf161	0.283
ALDH1L1	-0.81
FLJ39378	-0.564125
SLC23A1	-0.2515
RBM4B	-0.15475
THAP4	0.0883333333333333
OGFRL1	-0.0505
KIAA0831	0.005375
PPP1R15A	-1.26983333333333
C1orf96	-0.148357142857143
C12orf11	-1.333
BMF	0.11875
MAN1A1	0.5135
KIAA1600	0.473333333333333
NLGN4X	-0.2895
ALOX12	-1.381
RB1CC1	1.0524
NEIL2	0.5586
EIF4E	0.231636363636364
ABHD5	-0.83125
EXOC4	0.236333333333333
CIP29	-0.217333333333333
BATF2	4.337
SLC29A4	-1.4175
HTR4	0.57425
EMB	-0.6225
TRAF6	1.11825
LMNB1	1.31425
FAM19A5	-0.8155
SHE	1.4385
PIK3C2B	1.8205
C15orf15	-1.1704
USP15	0.1518
TCEAL2	-0.89875
C5orf39	-0.502166666666667
PTGER2	-0.26125
SLC31A1	-0.23575
IFT172	1.17975
ADAM29	0.0945
GFOD1	-0.265
ST7L	0.297166666666667
C15orf26	-3.743
PKN3	-1.555
CNTD1	3.67066666666667
COMMD1	-0.028
NTRK2	0.95975
FOXN3	0.073
MFGE8	-0.6841
PFKFB2	0.463166666666667
TAS2R4	-0.14575
ENTHD1	0.8125
PRMT5	-0.466125
MGC16384	-0.504375
LOC442229	-0.48675
TSKU	0.176625
KRTCAP3	3.701125
PDLIM1	1.0388
KCNS2	0.17875
RNF126	-0.139833333333333
CEP63	-0.31975
CLIC4	-0.871875
hCG_1990170	1.9945
ACR	2.0483
KLK7	3.808
ALOX5AP	3.220125
RIPK3	4.2005
TAS2R9	0.15
C19orf18	-1.219
BIRC6	0.210071428571429
ZNF16	1.354
RFT1	-0.107
SLC8A2	-0.0805
TACC1	0.282
ITGAD	1.83675
SAMHD1	2.39825
SH3PXD2B	2.6915
EPC2	0.3955
C20orf85	0.28425
ATP13A2	0.167666666666667
KRT4	0.096625
CAPNS1	0.1795
MDM2	-0.39325
PCDH20	0.0015
KCNK9	0.0115
OR2C1	-0.3945
KLHDC3	-0.994333333333333
IPPK	-0.0825
EFHD2	1.289125
GALR3	0.2115
NBEA	-2.8265
ABCA6	2.3317
CLDN3	2.33833333333333
AKT2	0.273928571428571
EGFR	-0.1297
RBM16	0.240375
ZDHHC3	0.8874
SLC25A4	-0.257166666666667
CYB5B	0.379
CPXM1	-0.70525
NDRG1	-0.306692307692308
FLJ43826	0.05825
OR5L2	0.646
FARP2	1.1753
MRPL46	-1.27541666666667
LDHAL6B	-0.0511666666666667
MAPKAPK3	-0.153833333333333
NCAM2	-2.224
PRKD2	0.1815
ZFP36L1	1.1578
CYSLTR1	-0.51075
OR4C3	0.579
HIST1H2AJ	0.3475
CCNB2	-1.63222222222222
ZNF10	-0.14475
TMEM175	0.1545
FAM134A	0.368166666666667
TIGD4	0.574
PCNP	-0.42
MGC39715	-0.06675
LQK1	-0.795
CREB1	0.6755
TMPRSS3	0.90675
C4orf32	0.188
LAT	-0.85375
KCNA3	0.8205
SKIV2L2	-0.36875
ROPN1B	-4.54475
tcag7.23	-0.0655
CDT1	-1.6345
ZHX2	0.841125
CD28	-2.297
ZNF624	-0.31025
SEPT2	0.00799999999999999
SOHLH2	-2.009
MCOLN3	0.00949999999999998
UNQ1945	0.4095
MASP2	-1.897
ZNRF3	2.2467
GPATCH3	-0.35275
AGL	0.498875
QRICH2	0.197
PSD4	0.258333333333333
CCNB1IP1	0.19775
ENPP7	0.485
OBFC1	0.1705
KCNG3	-2.18575
C14orf79	0.40775
ENPEP	2.13466666666667
SCT	0.348
SKI	0.68725
SEC61G	-0.70925
CAPN11	-0.01725
ATXN7L3	0.06475
DBNDD1	-0.784166666666667
FAIM	0.31925
ANKRD36	-0.748
GABRP	0.6545
TACSTD2	1.35883333333333
EIF3J	-0.80125
PPP2R2A	-0.1965
TEKT4	-0.844666666666667
PVALB	-3.9905
F10	-2.1565
FAM134C	0.4653
COMP	2.832
EFCBP1	-3.406
SCLT1	0.87975
TAL1	-0.4195
ACSL1	0.75575
ABCC5	-0.391166666666667
ABL1	-0.646888888888889
RBBP7	0.100166666666667
PTPRG	0.585375
NCOR1	-0.1607
SPINK4	-0.916166666666667
TXNRD1	-0.2999
TNRC15	0.949125
C9orf138	0.1605
UBE2H	0.616333333333333
BRDT	-0.0258
C8orf31	0.70475
CCNE2	0.527181818181818
SLC6A8	-0.886375
CALCR	-4.856
PPP1CB	0.0454166666666667
ABHD8	-0.872
ARF5	0.1657
SLC24A4	1.22175
CCT3	-0.19575
ZNF121	0.2035
SLC3A2	-0.9709
OR13A1	0.531
SLC5A10	-0.447
RAD50	0.927625
IER5	0.09125
MTHFD1L	-0.766125
MBTPS2	0.1375
MVK	-0.96825
NCL	0.4151
PSMD10	0.17825
MOBP	0.1685
FLJ32894	0.579
HRH1	0.7505
C5orf30	-0.106
NUDT16L1	-0.1041
RASGRP3	3.721
PRKRIP1	-0.3111
CCDC75	-0.028
LOC253970	0.412666666666667
KIAA1239	0.9445
MED21	-0.647
SYT11	0.575
NTSR2	-0.8035
EGFL11	0.7505
CXorf59	0.612
OR2A25	0.595666666666667
SPTBN2	-0.97725
LRMP	-1.00283333333333
RNF111	-0.37225
PTH	-0.03
LOC619208	-0.771666666666667
KIAA0895	0.0025
RANBP5	0.3055
P2RY10	1.752
NME5	-0.808333333333333
DDX21	-0.214
LRSAM1	-0.183
HDAC11	0.701666666666667
VMO1	1.65125
NOLA2	-0.307166666666667
ADAR	0.677916666666667
MTO1	-0.408
SF4	-0.18
P2RX1	0.523666666666667
HBM	-0.166
EN2	0.658
C14orf172	0.512
TM9SF2	1.7463
INHBE	-1.0585
TCTE3	-0.181666666666667
TOX2	-1.89425
CTAGE3	0.754375
HBB	3.9013
MED15	-0.579
CASR	0.1385
C6orf66	0.281166666666667
MTPN	-0.06075
UNC50	-0.19175
C21orf33	-0.0785
IRF2	1.135375
PGR	-2.77933333333333
GPR84	2.72225
CROCCL1	-0.821
SRPX	-3.1495
BRE	0.432166666666667
FGF10	0.4655
SDC3	-0.2785
ZRSR1	-0.262333333333333
DKFZP434P211	-0.768
SOX6	-0.217
RPUSD2	-0.6435
C14orf173	0.470333333333333
MAPK11	-0.26
TBC1D22A	0.391
FAM123A	-0.692
COL4A6	-3.546
TOMM70A	0.39275
NAB1	0.69
MGC16385	-0.747875
TSPAN18	-0.822666666666667
MED31	-1.104
PLG	-0.414
CAPSL	-0.3215
ZNF532	-0.1393
ASB14	0.321
CA8	0.98675
NUDT16P	2.15616666666667
SLFN11	-0.626
LRRIQ2	-0.189875
NOL7	-0.353833333333333
BRMS1L	0.27
JARID1A	0.358333333333333
PANK2	-1.00375
ICAM3	-0.65025
MDS1	1.65875
TAF8	-0.10825
RNF139	0.77275
ZNF594	-0.9775
ADAM8	1.6755
SFTPC	-0.22725
MAN2B2	0.584
RGS12	-0.060625
EIF1AY	3.58291666666667
LRRIQ1	-1.99133333333333
GPR150	0.48425
CCDC21	-1.12133333333333
PRRG3	0.26775
SAA4	1.78575
RAPGEF5	2.16275
ZCCHC2	-0.524333333333333
MGC39372	0.526
PPP4R2	0.770666666666667
CDCA2	-0.7125
OR4D5	0.431333333333333
PTGFRN	0.7323
SIGLEC5	1.9045
C19orf61	-0.718833333333333
NMUR2	1.3965
KIAA1586	-0.8635
DAGLA	1.17516666666667
CHCHD6	-0.1805
GPR32	0.428
NEUROD6	0.132166666666667
SLC2A4RG	-0.5104375
CA5B	-0.39625
FBXL3	1.37675
MPHOSPH9	-0.8395
HMG2L1	0.50175
HCN4	0.0348333333333333
CEACAM19	0.162
SH2D4B	0.413833333333333
HFE2	-1.134
TGM4	0.279666666666667
LYPD2	0.23025
TBC1D15	-0.12075
MRPS21	-0.5409
NONO	-0.2799
CLEC5A	1.3445
ITCH	0.1579
MGAT3	1.3275
MBP	0.0302499999999999
RPP25	0.15775
SOSTDC1	0.26725
HRC	-2.33825
TRIM48	0.275
TMEM133	0.355
ECEL1P2	-0.9465
HOXC11	-1.1745
DOK5	-0.8185
HELZ	-0.453333333333333
LOC348180	-0.68075
MGC33894	0.12575
ADRB3	0.265
DMD	-0.71425
PTRH2	-0.3975
MPEG1	3.44283333333333
NDUFA12	-0.0868333333333333
KRTAP2-4	-0.201583333333333
STAMBPL1	0.672
ADCY2	-0.580333333333333
UNQ6125	0.821
KLHL20	-0.000833333333333341
SRM	-0.9445
OTC	1.42625
TMIE	-0.0406666666666667
SNX8	0.2595
LIPK	0.612
CHURC1	0.2235
KLC2	-0.032
HDAC1	0.332833333333333
FAM128A	-0.0988333333333334
FNDC3B	0.0721
MTCP1	0.273666666666667
WFDC10B	0.997
PCDHGB3	0.7
ATRNL1	-2.6117
CAV2	-1.268
MED26	0.318833333333333
DUS1L	0.521
CHRM3	0.56325
NEK9	1.1035
WARS2	0.69375
TBX22	0.2235
TOMM40	-0.39325
RP6-213H19.1	-0.253666666666667
TUBGCP5	-0.954
IGSF6	5.16425
TPPP	0.608833333333333
UNQ6190	-0.3985
GSTM5	0.985625
BTD	-0.992
PDCD1LG2	0.672666666666667
SNRPB2	-1.34683333333333
ERICH1	0.09675
APOA4	-1.873625
HOXA11	1.606
NARG1	-0.18625
MKX	0.94875
RAB28	-0.116857142857143
PKP3	2.30575
SH3GL2	-3.55475
CTSO	3.627
RPN2	0.668875
IL28RA	0.919666666666667
SFMBT1	0.72925
WDR57	-0.767125
FER1L3	0.518166666666667
HSF5	0.553833333333333
TTC9B	1.3445
C4BPA	-3.00116666666667
ALB	-4.517
SORBS3	-0.022625
UPF2	0.8155
JPH1	2.194
AGBL2	-0.01475
DOPEY1	2.0005
TERF1	0.8185
KIF22	-0.914833333333333
NINJ1	-0.0325
SEC61A2	-0.347166666666667
HIST1H1D	0.125833333333333
SFXN4	0.082875
UCP3	0.7498
ZNF703	0.6675
MYL6B	-0.944
TREM1	2.45225
OR52E6	0.479
CKMT2	3.82175
HLA-C	2.893125
SLC13A3	0.152
TIMP4	-1.837
SLIT2	0.968
RSF1	-0.144611111111111
LONRF1	-1.10114285714286
MON1A	0.318166666666667
CACNG6	-1.88516666666667
DPPA4	-4.91533333333333
ZSWIM3	0.4765
ZNF804A	0.284333333333333
CCIN	0.24175
SLC25A31	-0.323
KCNMB4	1.5915
RABL5	-0.04775
GALNS	-0.069
STX6	0.720625
HIST1H1C	-3.46316666666667
CIDEB	-0.73125
CASP4	1.448
PDK3	0.6124
KCNJ11	-0.1685
TPR	-0.3705
ZSCAN20	0.063
MTX2	-0.5405
HIST1H2BH	-0.74125
LOC283767	0.94325
LYRM7	-1.12305555555556
BRD3	-0.311
HIST1H2BO	-1.296
MAGEB10	0.363
SLC45A1	-0.275
SERPINA3	-3.3748
KIAA0143	1.8275
KCNJ16	0.036
KRT79	0.0175
FABP2	2.107
NUT	-0.311333333333333
ZNF57	0.743
FBXL4	0.78025
CLEC9A	1.219
UGT8	3.5075
BMP2K	0.65225
MAPK4	-4.289
SLC25A23	-0.3575
HINT1	0.2953
KRTAP13-1	0.07
SFXN5	-0.5083
CHCHD2	0.0221666666666667
FAM3D	4.142
NDP	-3.463
RHOBTB1	0.624833333333333
SLC4A4	-1.87128571428571
RPL38	0.1385
HTF9C	-0.6535
AP2A2	0.316
ZBTB46	-0.545
MAP7D1	-0.281125
AOX1	-1.653
CYR61	-0.81175
DTNA	-2.01378571428571
JRKL	0.7795
TMOD3	-0.538
EEA1	0.1789
ADCK5	1.3945
IL1R1	0.908333333333333
KLK3	0.406357142857143
HRSP12	1.445
KTN1	0.60625
LOH11CR2A	1.2007
RELL2	-1.541
MAB21L1	-0.118
C20orf59	-0.5025
PHKB	0.19175
ADAM2	-2.21066666666667
TBC1D8B	1.723
FAM13A1	-0.5335625
LAPTM4B	1.31508333333333
LCN8	0.065
TMEM147	0.0785
SYT4	0.486333333333333
XPO7	-0.3885
C9orf62	0.601
GPR75	0.431
TRIM5	0.825875
APOC1	0.362
RNASE4	-0.355
PARD6B	-2.4985
ARID1A	0.066
TPD52L3	0.0251
RRAGB	0.602833333333333
RCN2	-1.32533333333333
HIST2H2BE	-1.5855625
STARD7	0.341
SHMT2	-0.65525
KIAA1751	-0.0268333333333333
MLYCD	0.8
LOC162632	-0.7909
UQCRH	-0.59225
RP11-217H1.1	0.798
SDHA	-0.739833333333333
NCLN	0.4079
ZNF17	0.221666666666667
RCBTB2	-1.26925
VEGFB	-0.8302
RP4-747L4.3	0.1425
COLQ	0.0386
MPN2	-0.279333333333333
DRG2	-1.13675
KLRB1	6.243
ALPK2	-1.34625
DNASE2B	0.99775
FLJ23834	-0.199166666666667
AXUD1	-0.849
SAFB	0.2097
NSUN4	-0.213
RFX2	-0.355333333333333
MAPK8IP1	-1.34733333333333
FANCD2	-0.861571428571428
ANKZF1	-1.52683333333333
C19orf50	-0.441375
DUSP8	0.948875
SENP5	-0.139
NFKBIL2	0.23925
LBR	0.16175
IGFL1	-0.5035
LZTS2	-0.4215
IL2RG	1.667625
CCDC51	0.4105
KLF3	1.13475
ANKRD37	-2.27025
KCTD14	2.31583333333333
FZR1	0.0724166666666667
SLC44A4	2.9411
ESPL1	-0.68575
GMPR2	0.1284
TBC1D19	-0.633666666666667
ERGIC1	0.464851851851852
ERBB4	-2.0295
TSPAN32	0.258166666666667
MAP4	-0.192625
GPHN	0.42275
SLC6A2	-0.4375
HIVEP1	-0.10975
DFFB	0.7703
EIF4EBP2	0.764875
DMRT1	-0.1805
HSPB6	-0.4435
IER2	-0.214833333333333
AIFM1	0.65425
WWC2	-0.6235
MRPL4	-0.0855
FLJ21062	0.647333333333333
EPB41L4A	-0.199833333333333
SH2D6	0.1745
TAF4B	-0.12625
GAL3ST3	0.0495
MALT1	-0.578
RTDR1	0.411
ARVCF	-1.087125
MEX3B	-2.15366666666667
FBXO16	-0.21625
KIF7	-1.75375
C1QC	3.87133333333333
ZNF783	0.609833333333333
ZNF85	-1.0395
MMP13	0.2795
KIAA0329	0.251
RTP3	-0.4675
ZBED3	-0.36475
CLGN	-5.1595
SLC25A37	-1.19495833333333
hCG_18290	-0.16325
OR5AS1	0.4275
SMARCC2	-0.05625
FAM109A	0.483166666666667
CCDC12	0.09625
USF2	0.1648
DEPDC7	1.401
C20orf24	0.780333333333333
JMJD3	0.368
DSP	0.419857142857143
SLIC1	0.63075
FAM20A	0.946125
IRF2BP2	0.88525
ZNF230	0.1525
MSN	-0.979214285714286
SLC9A5	-2.162
EPDR1	0.7944
MUSK	0.0821666666666667
ZNF434	0.1315
SMARCD1	0.00566666666666666
ZFP106	-0.93825
ZNF347	-1.7585
