Hybridization REF	TCGA-AA-A00Z-01A-01R-A002-07
DCTN1	-0.53575
LIN28B	-3.10666666666667
TNKS2	0.224
C1QBP	-0.63475
CADPS2	1.00525
SRMS	0.347
GJA9	0.1495
MGC24975	-1.159
TRIM45	-1.99033333333333
TSP50	-0.08825
TCP1	-0.02625
TMED7	0.3897
CMA1	0.095
CENPL	-0.322333333333333
PTCRA	-0.605
FST	-4.84125
VWCE	-3.05
PAWR	0.76025
ABCC12	0.131833333333333
LDLR	1.2515
ASTN2	-0.0413
LOC441212	-0.312875
GPATCH8	-0.3985
TANC2	-1.94475
KIF4A	-0.08825
C18orf18	1.2045
PGM1	-1.25025
KIAA0258	-0.338
CPD	1.2295
SNCAIP	-0.38275
DCT	-4.10766666666667
HLA-DOA	1.24295454545455
OR11L1	0.307
UPK1B	-0.135333333333333
DNAJB4	-0.841875
UGT1A8	1.97275
HIST1H4L	0.3905
PECR	-1.71416666666667
HSPA2	0.9385
WFIKKN1	-1.454
SERP1	0.15775
SYDE2	0.37025
TACR2	0.4615
NUP85	0.2785
CD177	2.99433333333333
LGR5	1.48166666666667
PIGG	0.322166666666667
PTHR1	-2.51166666666667
RAB5A	-0.1762
FLJ13224	-0.177
USP9Y	-0.1625
C7orf53	-0.2925
LRP1B	-0.8515
XAF1	1.214
ABCG8	-0.5
ANKDD1A	-0.495666666666667
DAND5	-1.3825
SPAG6	0.2195
LINCR	2.234
ZDHHC22	-1.608375
CCDC60	0.309
THOC7	-0.709333333333333
TCTA	0.7089
OR8K3	-0.02675
NY-REN-7	-0.34825
B2M	1.45733333333333
C6orf141	-1.54875
LPPR4	1.21
SQLE	-0.5485
SEPHS1	-1.053
BTBD14B	0.784214285714286
PLRG1	0.12725
SPG7	-0.44725
ZNF614	-0.872666666666667
PARD6G	-0.883166666666667
INPP5B	-0.8485
GRPEL2	0.338125
PPID	0.4786
TRIM56	0.1455
UBE2J1	0.277625
IL20RA	4.9845
LOC387856	-0.147
C1orf107	0.828166666666667
UTS2R	0.63825
C19orf22	0.8735
SAFB2	0.233875
KIAA0652	-0.384
KLRG1	-1.10883333333333
MS4A8B	1.63166666666667
FRAG1	0.24375
KIAA1546	0.06825
E2F4	-0.0324
CLEC4M	0.108333333333333
BTBD14A	-1.28675
KIAA0999	0.4736
GYPA	-3.24983333333333
TAC1	0.2492
TRAIP	0.0065
KIAA0232	0.6926
ERCC8	-0.151875
GPX4	-0.165375
KIAA0368	0.118625
GPR157	0.949666666666666
CTAGE4	0.502
C9orf30	-0.668333333333333
OR52A1	0.7185
HSP90B3P	-0.2205
ALG9	-0.6309
BTBD10	0.58425
SDK2	-0.04225
BAIAP3	-2.06325
RABGGTB	-0.146
ANKRD40	-0.085
KRT74	0.1245
CALCOCO2	0.614285714285714
SNCA	-3.49775
TMSL8	-3.74575
C2orf53	-0.3505
ESRRB	-0.1685
ARHGAP26	1.563125
TDRD9	-2.9715
HRAS	-0.2355
KLRC4	-2.1635
JAGN1	0.2945
BSDC1	0.12675
RNF43	2.0699
NDUFAF1	0.0575
PHF12	0.22325
OR1L3	0.1655
FOLR2	0.466833333333333
LYZL6	0.138166666666667
tcag7.1260	-1.27
WSB1	-0.699666666666667
PROS1	-0.2462
OSTN	0.3165
PSMB8	1.59825
SOCS4	-0.209375
DDIT4L	-0.379
MAS1	-0.2455
MGC34796	0.52875
CSHL1	0.0798333333333333
TBCCD1	0.0371666666666667
ZBTB7C	-0.2475
AP2S1	-0.7415
P15RS	-0.4348
VAT1	-1.9408
SHANK3	0.242
TUFM	0.233333333333333
THEG	-0.49925
KRT34	-1.4905
SGSM3	-0.558
TOMM22	0.433
SOCS3	-0.283166666666667
CPO	0.199
POP4	1.5525
BHLHB3	-0.8015
MALL	3.0905
OR1B1	0.1015
PARK2	0.506666666666667
GPR124	0.487875
LCE1E	0.096
RUVBL2	-0.12425
CGRRF1	-0.4278
ACPL2	0.62725
WNT10B	-1.71725
BAIAP2L2	0.578375
ISCA1	0.5875
C1orf125	4.195625
RPAP1	-0.38725
RAI16	-0.258333333333333
RPL27	0.4875
NLRP9	-0.321
EPN1	0.8325
LOC388610	-2.69525
SLC35A1	0.4463
GAL	-1.6595
SLC14A2	0.3305
RDH11	-0.787166666666667
FAM138F	-0.5005
AUH	0.3025
FLJ40243	0.07
C14orf129	1.06033333333333
MBD2	-0.842
ABHD14B	0.548
PIGT	0.062125
ALS2CR4	-0.80475
ALAS1	0.7532
FOXO1	0.418666666666667
CRLF3	0.307375
C20orf107	0.191
FARS2	-0.16975
CCDC28A	0.21575
NPHP3	-0.909
OR13F1	0.4575
TSEN54	0.579
DEFB106B	-0.0841
OR8B4	0.142
STH	-0.871
ZC3H14	-0.690625
CBX2	-0.52
TMEM49	-0.199
C6orf21	0.1875
FLJ20920	0.265625
CRTAP	-0.624357142857143
DDX50	0.72575
STYXL1	0.06875
BLVRB	-0.654333333333333
LOC147650	-1.09633333333333
MMP24	0.193
GRID1	0.498666666666667
BANF1	-0.288666666666667
CTAGEP	-0.09625
HMBS	-0.862
SLC25A24	0.109666666666667
C14orf50	1.67275
MRO	-0.545333333333333
SLC25A15	-0.155
FAM84B	0.4585
TDP1	-0.1995
C16orf78	0.0541666666666667
C11orf57	0.18575
RFK	0.437375
ZFYVE9	-0.04
STCH	-1.3552
WIBG	-0.21325
LOC283871	-0.808333333333333
GBA2	-0.2364
NDUFB3	0.46225
HSD17B13	-0.38325
GRIN3A	1.5245
FMNL1	-2.063
SEPT7	-0.8512
GNLY	2.6925
GRAMD1C	-0.112333333333333
ZNF165	1.391
USP38	0.976
FAM83A	-2.76033333333333
C14orf24	-0.047
ARMCX3	1.35375
ARHGDIB	-0.396166666666667
AK1	0.236625
KIAA1045	-0.219
DNAJB13	-0.174333333333333
NEU2	-0.055
HIST1H4B	0.104666666666667
FAM20B	-0.8119
HES2	1.77207142857143
FAM73B	0.0368
LOC388381	-0.05525
INTS7	-0.179818181818182
AMPH	-0.01975
ZNF775	-0.287875
UCKL1	0.248666666666667
C10orf97	-0.324
C1orf161	0.29375
ALDH1L1	-0.40325
FLJ39378	-0.615375
SLC23A1	-0.3955
RBM4B	-0.37975
THAP4	0.112166666666667
OGFRL1	-1.844
KIAA0831	-0.392625
PPP1R15A	-1.2525
C1orf96	-0.508714285714286
C12orf11	-0.5825
BMF	-0.100875
MAN1A1	-0.890375
KIAA1600	-0.141833333333333
NLGN4X	-1.65725
ALOX12	-1.06116666666667
RB1CC1	0.1474
NEIL2	0.5011
EIF4E	0.505636363636364
ABHD5	0.10275
EXOC4	-0.123166666666667
CIP29	-0.416166666666667
BATF2	3.0215
SLC29A4	-1.2055
HTR4	0.78125
EMB	0.14625
TRAF6	0.7735
LMNB1	0.87475
FAM19A5	-0.92375
SHE	0.57575
PIK3C2B	2.007
C15orf15	-0.2564
USP15	-0.3444
TCEAL2	-1.28925
C5orf39	-1.68383333333333
PTGER2	-1.18375
SLC31A1	0.54975
IFT172	1.2095
ADAM29	0.05875
GFOD1	0.1885
ST7L	0.758833333333333
C15orf26	-2.729
PKN3	-1.53525
CNTD1	1.83066666666667
COMMD1	-0.238375
NTRK2	0.424
FOXN3	-0.36675
MFGE8	-1.0259
PFKFB2	2.07733333333333
TAS2R4	0.4205
ENTHD1	-0.321333333333333
PRMT5	-0.809875
MGC16384	-0.54725
LOC442229	-0.46125
TSKU	-0.411
KRTCAP3	3.640625
PDLIM1	1.3296
KCNS2	0.03325
RNF126	0.3365
CEP63	-0.31775
CLIC4	-1.4425
hCG_1990170	0.565
ACR	2.3513
KLK7	0.05175
ALOX5AP	1.229
RIPK3	3.72225
TAS2R9	0.1895
C19orf18	-1.623
BIRC6	0.012
ZNF16	0.1535
RFT1	-0.0675
SLC8A2	-0.01675
TACC1	0.057625
ITGAD	0.3945
SAMHD1	1.33275
SH3PXD2B	0.2684
EPC2	0.59275
C20orf85	0.5435
ATP13A2	-0.191333333333333
KRT4	0.3505
CAPNS1	-0.5715
MDM2	-0.737083333333333
PCDH20	1.49175
KCNK9	0.213
OR2C1	0.2605
KLHDC3	-1.058
IPPK	0.585
EFHD2	1.116875
GALR3	0.508
NBEA	-2.85716666666667
ABCA6	0.7002
CLDN3	2.66716666666667
AKT2	0.181928571428571
EGFR	-0.8214
RBM16	-0.019375
ZDHHC3	0.7681
SLC25A4	0.1725
CYB5B	0.22
CPXM1	-0.98775
NDRG1	-0.912461538461539
FLJ43826	0.089
OR5L2	-0.0188333333333333
FARP2	1.1803
MRPL46	0.0530833333333333
LDHAL6B	0.115833333333333
MAPKAPK3	-0.150833333333333
NCAM2	-3.13275
PRKD2	-0.299666666666667
ZFP36L1	-0.2004
CYSLTR1	-1.6075
OR4C3	0.2625
HIST1H2AJ	0.9545
CCNB2	-0.648555555555556
ZNF10	-0.23825
TMEM175	0.1515
FAM134A	-0.275333333333333
TIGD4	0.632
PCNP	-0.46325
MGC39715	-0.38825
LQK1	-1.75725
CREB1	0.0348
TMPRSS3	-0.15175
C4orf32	0.108
LAT	-2.13325
KCNA3	-0.089
SKIV2L2	-0.3315
ROPN1B	-4.258
tcag7.23	-0.2195
CDT1	-1.619125
ZHX2	-0.144375
CD28	-3.822
ZNF624	-0.6995
SEPT2	-0.0710833333333333
SOHLH2	-2.20025
MCOLN3	-0.612125
UNQ1945	0.2515
MASP2	-0.5325
ZNRF3	1.2325
GPATCH3	-0.3205
AGL	0.429125
QRICH2	-0.3
PSD4	-0.669833333333333
CCNB1IP1	-0.89275
ENPP7	-0.1945
OBFC1	0.11325
KCNG3	-1.28
C14orf79	-0.896333333333333
ENPEP	0.403
SCT	1.2535
SKI	0.757
SEC61G	-0.511
CAPN11	-0.334
ATXN7L3	0.25075
DBNDD1	-0.375833333333333
FAIM	0.13525
ANKRD36	-0.3595
GABRP	-0.0743333333333334
TACSTD2	-1.20916666666667
EIF3J	0.38325
PPP2R2A	-0.04625
TEKT4	-0.715
PVALB	-3.83866666666667
F10	-2.2735
FAM134C	0.6998
COMP	1.266
EFCBP1	-3.3203125
SCLT1	0.513
TAL1	-1.2408
ACSL1	0.303
ABCC5	-0.62225
ABL1	-0.434222222222222
RBBP7	0.538166666666667
PTPRG	0.269
NCOR1	-0.263
SPINK4	4.65483333333333
TXNRD1	-0.7513
TNRC15	0.324
C9orf138	0.244125
UBE2H	0.0591666666666667
BRDT	0.00116666666666667
C8orf31	-0.22475
CCNE2	-0.956727272727273
SLC6A8	-1.107
CALCR	-4.50275
PPP1CB	0.09825
ABHD8	-0.7795
ARF5	-0.2993
SLC24A4	0.2785
CCT3	-0.14375
ZNF121	0.512
SLC3A2	-1.1342
OR13A1	0.2165
SLC5A10	-0.24025
RAD50	0.7415
IER5	-0.2485
MTHFD1L	-0.599125
MBTPS2	0.74625
MVK	0.22825
NCL	0.4731
PSMD10	0.252
MOBP	0.130625
FLJ32894	0.3275
HRH1	1.0275
C5orf30	0.953
NUDT16L1	0.326
RASGRP3	2.17933333333333
PRKRIP1	-0.8598
CCDC75	0.22625
LOC253970	0.07025
KIAA1239	1.12875
MED21	0.2405
SYT11	-0.313333333333333
NTSR2	-0.311
EGFL11	-0.036
CXorf59	0.202
OR2A25	0.1335
SPTBN2	-1.091
LRMP	-1.75783333333333
RNF111	0.024
PTH	0.314
LOC619208	-0.961333333333333
KIAA0895	0.27
RANBP5	-0.30775
P2RY10	-0.0636666666666667
NME5	-0.861
DDX21	0.44125
LRSAM1	-0.353
HDAC11	0.059
VMO1	0.4095
NOLA2	0.0213333333333333
ADAR	-0.033
MTO1	-0.296
SF4	0.301666666666667
P2RX1	0.419666666666667
HBM	-0.09075
EN2	0.824
C14orf172	0.601
TM9SF2	0.5886
INHBE	-0.692
TCTE3	0.0339166666666667
TOX2	-3.128
CTAGE3	-0.0425
HBB	3.2841
MED15	-1.14966666666667
CASR	0.20425
C6orf66	0.563666666666667
MTPN	-0.53875
UNC50	-0.05675
C21orf33	-0.00362499999999999
IRF2	0.534125
PGR	-2.91633333333333
GPR84	1.06525
CROCCL1	0.047
SRPX	-2.75375
BRE	0.206166666666667
FGF10	0.0725
SDC3	-1.73233333333333
ZRSR1	0.137666666666667
DKFZP434P211	-0.493375
SOX6	-0.713
RPUSD2	0.3655
C14orf173	0.354416666666667
MAPK11	-0.748666666666667
TBC1D22A	0.511
FAM123A	-0.4555
COL4A6	-2.93016666666667
TOMM70A	0.31225
NAB1	-0.078625
MGC16385	-0.668875
TSPAN18	-0.164333333333333
MED31	-0.705
PLG	-0.06175
CAPSL	-0.1485
ZNF532	-0.0658
ASB14	0.09375
CA8	-0.26075
NUDT16P	2.943
SLFN11	-2.0325
LRRIQ2	-0.453625
NOL7	0.0676666666666667
BRMS1L	-0.611625
JARID1A	0.0326666666666667
PANK2	0.613
ICAM3	-0.1045
MDS1	2.272
TAF8	0.42775
RNF139	-0.2275
ZNF594	-1.01016666666667
ADAM8	-0.21675
SFTPC	-0.09825
MAN2B2	0.541375
RGS12	-0.0329375
EIF1AY	0.919333333333333
LRRIQ1	-1.33983333333333
GPR150	0.821
CCDC21	-0.829333333333333
PRRG3	0.27575
SAA4	-1.032
RAPGEF5	1.506625
ZCCHC2	-0.254166666666667
MGC39372	-0.404
PPP4R2	0.368666666666667
CDCA2	-0.383
OR4D5	0.520666666666667
PTGFRN	0.4021
SIGLEC5	0.793666666666667
C19orf61	-0.358833333333333
NMUR2	-0.0685
KIAA1586	-1.83133333333333
DAGLA	1.38083333333333
CHCHD6	0.379
GPR32	0.3455
NEUROD6	0.415833333333333
SLC2A4RG	-1.3838125
CA5B	-0.209
FBXL3	0.3125
MPHOSPH9	-0.5575
HMG2L1	0.0835
HCN4	0.549166666666667
CEACAM19	0.55675
SH2D4B	0.0556666666666667
HFE2	-0.3705
TGM4	-0.0975
LYPD2	0.12825
TBC1D15	0.07
MRPS21	-1.6672
NONO	0.0391
CLEC5A	0.335
ITCH	0.6611
MGAT3	-1.19933333333333
MBP	-0.209875
RPP25	0.3635
SOSTDC1	1.2485
HRC	-1.6105
TRIM48	0.014
TMEM133	0.77675
ECEL1P2	-1.05925
HOXC11	-0.5325
DOK5	-1.8945
HELZ	0.0183333333333333
LOC348180	0.05225
MGC33894	-0.0435
ADRB3	0.219
DMD	0.193333333333333
PTRH2	0.6655
MPEG1	2.13733333333333
NDUFA12	0.598666666666667
KRTAP2-4	-0.0719166666666667
STAMBPL1	0.7
ADCY2	-0.756833333333333
UNQ6125	0.1095
KLHL20	0.105166666666667
SRM	-0.40975
OTC	1.0025
TMIE	0.4375
SNX8	-0.45375
LIPK	0.3565
CHURC1	0.0875
KLC2	0.0763333333333333
HDAC1	0.388333333333333
FAM128A	-0.666333333333333
FNDC3B	0.768
MTCP1	0.1845
WFDC10B	1.0102
PCDHGB3	0.177
ATRNL1	-2.2874
CAV2	-1.709375
MED26	0.735333333333333
DUS1L	1.13375
CHRM3	0.175375
NEK9	-0.263
WARS2	0.13
TBX22	-1.142
TOMM40	-0.019
RP6-213H19.1	-0.0646666666666667
TUBGCP5	-0.1285
IGSF6	3.351
TPPP	0.239833333333333
UNQ6190	-0.0195
GSTM5	0.025
BTD	-0.958
PDCD1LG2	-0.3015
SNRPB2	0.481833333333333
ERICH1	0.40775
APOA4	-1.65075
HOXA11	0.83975
NARG1	0.107875
MKX	0.23725
RAB28	-0.347428571428571
PKP3	1.53575
SH3GL2	-1.3435
CTSO	1.1235
RPN2	0.5835
IL28RA	1.45533333333333
SFMBT1	0.428
WDR57	-0.209625
FER1L3	-0.552416666666667
HSF5	0.142
TTC9B	1.1305
C4BPA	0.177333333333333
ALB	-3.93157142857143
SORBS3	0.222625
UPF2	-0.3355
JPH1	1.3585
AGBL2	-0.061
DOPEY1	1.4485
TERF1	-0.374833333333333
KIF22	-0.642666666666667
NINJ1	-0.07175
SEC61A2	-0.958916666666667
HIST1H1D	-1.11966666666667
SFXN4	0.895875
UCP3	0.25
ZNF703	1.10466666666667
MYL6B	-1.61175
TREM1	0.73775
OR52E6	0.106
CKMT2	4.168
HLA-C	1.966125
SLC13A3	-2.27333333333333
TIMP4	-0.8765
SLIT2	-0.681
RSF1	-0.171611111111111
LONRF1	-0.524
MON1A	0.376333333333333
CACNG6	-1.83533333333333
DPPA4	-5.19966666666667
ZSWIM3	1.35725
ZNF804A	0.0891666666666667
CCIN	0.5665
SLC25A31	0.000749999999999987
KCNMB4	-2.1
RABL5	-0.67575
GALNS	-0.2293
STX6	-0.19175
HIST1H1C	-2.94166666666667
CIDEB	-1.201625
CASP4	-0.497
PDK3	0.7743
KCNJ11	-0.0025
TPR	-0.658375
ZSCAN20	-0.8085
MTX2	0.16475
HIST1H2BH	-1.12
LOC283767	3.04575
LYRM7	-0.421833333333333
BRD3	-0.0623333333333333
HIST1H2BO	-1.2945
MAGEB10	0.335
SLC45A1	-0.08525
SERPINA3	-3.18495
KIAA0143	0.45675
KCNJ16	0.734333333333333
KRT79	-0.07375
FABP2	0.94625
NUT	-0.2385
ZNF57	1.81
FBXL4	-0.00775
CLEC9A	0.1275
UGT8	2.861
BMP2K	-0.14925
MAPK4	-3.50225
SLC25A23	-0.9651
HINT1	-0.0482
KRTAP13-1	0.164
SFXN5	-0.2579
CHCHD2	-0.04575
FAM3D	4.431
NDP	-2.34975
RHOBTB1	-1.08433333333333
SLC4A4	0.795125
RPL38	0.7205
HTF9C	-0.8375
AP2A2	-0.376125
ZBTB46	-0.979
MAP7D1	-0.8135
AOX1	-1.08083333333333
CYR61	-1.60008333333333
DTNA	-1.65571428571429
JRKL	0.85775
TMOD3	0.185
EEA1	1.1901
ADCK5	0.53725
IL1R1	-0.3185
KLK3	0.447785714285714
HRSP12	0.5665
KTN1	-0.112
LOH11CR2A	1.0565
RELL2	-0.478
MAB21L1	-0.13225
C20orf59	0.4195
PHKB	-0.35575
ADAM2	-1.4595
TBC1D8B	1.88483333333333
FAM13A1	0.7735625
LAPTM4B	-0.697416666666667
LCN8	0.0815
TMEM147	0.0095
SYT4	0.153833333333333
XPO7	0.2755
C9orf62	0.9515
GPR75	-0.0525
TRIM5	0.197875
APOC1	-2.49233333333333
RNASE4	0.243666666666667
PARD6B	-1.741125
ARID1A	-0.221166666666667
TPD52L3	0.0308
RRAGB	1.04883333333333
RCN2	-0.350333333333333
HIST2H2BE	-1.26475
STARD7	0.0895
SHMT2	-0.4975
KIAA1751	0.214
MLYCD	0.821125
LOC162632	-0.7858
UQCRH	-0.42325
RP11-217H1.1	0.845
SDHA	-0.749333333333333
NCLN	1.0828
ZNF17	0.783166666666667
RCBTB2	-2.03925
VEGFB	-1.3436
RP4-747L4.3	0.328
COLQ	-0.2459
MPN2	-0.529833333333333
DRG2	-0.8975
KLRB1	3.82375
ALPK2	-2.686
DNASE2B	1.31675
FLJ23834	-0.127166666666667
AXUD1	-1.087
SAFB	0.1113
NSUN4	-0.1235
RFX2	-0.487333333333333
MAPK8IP1	-0.856333333333333
FANCD2	-0.522
ANKZF1	-1.51433333333333
C19orf50	0.411375
DUSP8	1.292125
SENP5	0.104625
NFKBIL2	0.38525
LBR	0.57175
IGFL1	0.1015
LZTS2	-1.213875
IL2RG	1.057875
CCDC51	0.3395
KLF3	1.301625
ANKRD37	-1.169
KCTD14	1.85116666666667
FZR1	0.559916666666667
SLC44A4	3.8326
ESPL1	-0.44275
GMPR2	-1.0004
TBC1D19	-1.02283333333333
ERGIC1	0.10837037037037
ERBB4	-1.6403
TSPAN32	-0.07475
MAP4	-0.454625
GPHN	-0.09575
SLC6A2	-0.2215
HIVEP1	0.118
DFFB	1.3869
EIF4EBP2	0.162625
DMRT1	0.65375
HSPB6	0.02925
IER2	0.766833333333333
AIFM1	1.0925
WWC2	-1.49866666666667
MRPL4	0.99425
FLJ21062	0.107666666666667
EPB41L4A	-0.0949166666666667
SH2D6	0.10775
TAF4B	-0.33575
GAL3ST3	-0.194
MALT1	-0.878166666666667
RTDR1	1.776
ARVCF	-0.54725
MEX3B	-2.71816666666667
FBXO16	0.56225
KIF7	-1.51
C1QC	3.36
ZNF783	-0.309
ZNF85	-1.216
MMP13	-0.219
KIAA0329	-0.04175
RTP3	1.5315
ZBED3	0.27775
CLGN	-3.40875
SLC25A37	-0.747958333333333
hCG_18290	-0.10575
OR5AS1	0.1055
SMARCC2	-0.153333333333333
FAM109A	0.255
CCDC12	-0.2105
USF2	0.5029
DEPDC7	-0.09525
C20orf24	1.437
JMJD3	-0.6765
DSP	0.112571428571429
SLIC1	0.917125
FAM20A	-0.64625
IRF2BP2	0.909375
ZNF230	-0.6275
