Hybridization REF	TCGA-AA-A02J-01A-01R-A00A-07
GYPC	-2.878
C7orf33	0.043
PLIN	0.318666666666667
LOC90826	-0.6
RNF4	-0.4482
F8A1	0.123833333333333
PLEKHG4	-1.461
GRB2	-0.5053
HIST1H2AD	-0.938
DUS3L	0.47
EIF1	0.3465
RP5-1077B9.4	-0.785666666666667
FPGT	0.95325
GDF10	-0.185333333333333
COQ9	0.131
GCC2	0.137357142857143
RARRES3	-0.234125
PLXNA1	-0.2786
KIAA0100	-0.4345
PMF1	0.0785
FNDC1	2.61875
HS2ST1	0.02125
CRELD2	0.16425
C8G	-0.949
CD82	-0.88925
LIM2	-0.8435
UNQ6490	-0.056
MMP16	-0.625666666666667
DRD3	0.13975
C5orf26	-0.3245
C11orf73	0.34625
PTP4A2	0.430875
OR4M2	-0.287
HPCA	-0.83
SEC14L1	-1.34666666666667
CHFR	-0.251125
EMILIN1	-0.3415
NDUFS4	-0.46625
COL18A1	-1.574125
PDZD3	2.8573
C9orf16	0.468166666666667
ERBB2IP	-0.304333333333333
EMX2	-0.0795
FUS	-1.052
TF	-4.1752
CLCN4	0.607666666666667
CXorf56	1.37125
C11orf72	0.3075
ELAC2	-1.37808333333333
NPR1	-2.17575
ASS1	-0.4135
USP42	0.046
POLR2J	-0.2125
SEC23IP	0.445833333333333
UQCRC1	0.49425
LOC729603	0.0745
C1orf71	-0.474
POLG	-0.624
ADAM23	-5.0695
TFR2	-0.90175
RICTOR	-0.872
MGC39606	0.583
C19orf55	-0.155875
SNAPC1	-1.63716666666667
GNA11	1.1425
CCDC52	0.352333333333333
FSIP1	-1.0755
UPF3A	-0.357
IGSF11	-2.49333333333333
LAGE3	0.40325
CHST6	-3.661
UNC13B	0.74925
TTLL4	-0.01625
ZNF687	0.028875
SDC2	-2.8237
COX7A2	-0.013
LAMB4	0.329
FAM24A	0.305
LRRTM3	-0.3756
GPHB5	0.43375
OR4C13	-0.5675
EIF3EIP	0.5075
HABP4	-0.785
TMEM125	3.631
CNTN2	-0.14375
ASNSD1	0.14125
FUT4	2.3175
ACF	1.981
LOC158381	0.318
CDH8	-0.2205
AGPS	-0.213166666666667
C4orf18	-0.3625
PECI	-1.21075
UNG	0.5425
GSTP1	0.066125
DCUN1D5	-0.555666666666667
DKFZP564J0863	-1.618
SLC9A3R1	-0.02225
BCDO2	-0.895125
CHMP7	-0.970625
REM2	0.381
DNHD1	-0.39675
FKBP4	-0.454
ZNF350	-3.361
MGC11102	0.321125
BST1	1.1615
KISS1R	0.223
NCR2	0.334
DEFB125	0.512
UBE2W	1.10775
KRT15	-0.006375
C10orf99	3.9715
SCN11A	-0.15075
GFI1	-2.04225
RDHE2	0.515833333333333
FHL1	-2.85983333333333
OSGEP	0.3665
GATA1	-4.248
SMC6	-0.5175
TTTY14	-0.78575
LPIN3	0.4585
RPL4	-0.3775
RBPMS	-1.0362
PRPF3	-0.468
EMR1	-2.425
SPATA19	-0.00100000000000001
XCR1	0.141
IRX3	-2.7993
RBM6	-0.2555
KLF4	0.6202
UNC5CL	3.89875
SEBOX	0.4115
BTK	-3.23325
KRCC1	1.737
C6orf27	0.254
SYTL5	0.074
PRND	0.298625
LOC653319	-1.2055
PIGL	-0.327
HUS1	0.641833333333333
SFRS6	0.1825
C17orf77	0.8085
UIMC1	-0.0621666666666667
FXYD2	-1.4486
LOC283152	-0.72
ZNF667	-2.92025
ZCCHC12	-0.27475
TFEC	0.2284
ATP7B	0.5165
POLD2	-0.4685
RG9MTD1	0.20475
ACOT2	-0.1765
HIST1H4I	-0.5395
PPARGC1A	-1.1793
ETFA	-0.1631
POLRMT	0.05875
ZNF146	0.27375
MIA2	-1.4145
KLHL6	-3.33033333333333
HOXB5	2.076625
NENF	0.397833333333333
CUGBP1	-0.542
PRSS22	1.5695
CASC4	0.6681
CUL4B	0.5395
CENPJ	-0.6606
PITX1	0.736833333333333
FLJ31033	0.423666666666667
CELSR3	-0.2235
ZNF568	-2.3855
ITSN1	-1.2165
EHBP1L1	-1.29033333333333
C19orf2	0.3115
DCTN1	-0.2915
LIN28B	-3.89466666666667
TNKS2	0.16775
C1QBP	-0.51625
CADPS2	0.84275
SRMS	0.3655
GJA9	0.245
MGC24975	0.377833333333333
TRIM45	-1.62283333333333
TSP50	-0.0605
TCP1	-0.57425
TMED7	-0.1035
CMA1	-0.6875
CENPL	-0.3
PTCRA	-0.544
FST	-6.099
VWCE	-2.352
PAWR	0.555
ABCC12	-0.1378
LDLR	-0.592
ASTN2	0.1542
LOC441212	0.344625
GPATCH8	0.34075
TANC2	-2.65391666666667
KIF4A	-0.119
C18orf18	-0.90875
PGM1	-2.1255
KIAA0258	1.08525
CPD	1.1205
SNCAIP	0.598
DCT	-5.25716666666667
HLA-DOA	0.807727272727273
OR11L1	0.6645
UPK1B	-0.0236666666666667
DNAJB4	-1.403875
UGT1A8	2.059
HIST1H4L	-0.8855
PECR	-0.716666666666667
HSPA2	1.043
WFIKKN1	-1.171
SERP1	0.177625
SYDE2	0.27825
TACR2	0.7475
NUP85	-0.18575
CD177	2.22033333333333
LGR5	3.80666666666667
PIGG	-0.0266666666666667
PTHR1	-2.99116666666667
RAB5A	0.2188
FLJ13224	-0.296
USP9Y	-1.07466666666667
C7orf53	0.3865
LRP1B	-0.665
XAF1	-0.104
ABCG8	-0.041
ANKDD1A	-0.949
DAND5	-1.5695
SPAG6	0.0235
LINCR	2.151
ZDHHC22	-1.5075
CCDC60	-0.22
THOC7	-0.596
TCTA	0.3303
OR8K3	0.46475
NY-REN-7	-0.508
B2M	0.655833333333333
C6orf141	-3.313
LPPR4	0.7475
SQLE	0.899625
SEPHS1	0.09275
BTBD14B	0.174428571428571
PLRG1	-0.13175
SPG7	-0.7334375
ZNF614	-0.648666666666667
PARD6G	-1.889
INPP5B	-1.0475
GRPEL2	0.843
PPID	0.2129
TRIM56	0.486
UBE2J1	-0.148625
IL20RA	5.47575
LOC387856	0.0825
C1orf107	1.16658333333333
UTS2R	0.05
C19orf22	0.4195
SAFB2	-0.541625
KIAA0652	-0.509875
KLRG1	-1.7845
MS4A8B	3.49133333333333
FRAG1	0.97675
KIAA1546	0.08675
E2F4	-0.2665
CLEC4M	0.256166666666667
BTBD14A	-1.11725
KIAA0999	0.429
GYPA	-3.7478
TAC1	4.0828
TRAIP	-0.2865
KIAA0232	0.7751
ERCC8	-0.78125
GPX4	-0.611
KIAA0368	-0.97025
GPR157	0.573166666666667
CTAGE4	0.791
C9orf30	-1.25483333333333
OR52A1	1.161
HSP90B3P	0.0795
ALG9	-0.2064
BTBD10	0.353
SDK2	-0.394
BAIAP3	-1.67
RABGGTB	-0.228625
ANKRD40	-0.571666666666667
KRT74	0.8175
CALCOCO2	0.251071428571429
SNCA	-5.5605
TMSL8	-4.78775
C2orf53	0.7415
ESRRB	0.07925
ARHGAP26	1.903125
TDRD9	-3.84775
HRAS	-0.3785
KLRC4	-1.719
JAGN1	-0.0805
BSDC1	-0.0065
RNF43	1.5364
NDUFAF1	-0.29725
PHF12	0.26025
OR1L3	0.12325
FOLR2	0.380166666666667
LYZL6	0.399
tcag7.1260	-1.6625
WSB1	-1.15816666666667
PROS1	0.4261
OSTN	0.519
PSMB8	1.0755
SOCS4	0.127875
DDIT4L	-0.27325
MAS1	0.6395
MGC34796	1.0945
CSHL1	0.0525
TBCCD1	-0.173333333333333
ZBTB7C	0.2005
AP2S1	-0.690125
P15RS	-0.5762
VAT1	-2.3829
SHANK3	0.331
TUFM	-0.121666666666667
THEG	-0.5375
KRT34	-1.21925
SGSM3	-0.169375
TOMM22	0.5215
SOCS3	0.1225
CPO	-0.00149999999999999
POP4	0.3675
BHLHB3	-1.57025
MALL	3.61175
OR1B1	0.3515
PARK2	-0.072
GPR124	-0.8055
LCE1E	-0.076
RUVBL2	-0.17625
CGRRF1	-0.5286
ACPL2	0.50475
WNT10B	-2.0285
BAIAP2L2	1.76275
ISCA1	0.113
C1orf125	1.914
RPAP1	0.08775
RAI16	-0.330166666666667
RPL27	0.084125
NLRP9	0.6025
EPN1	0.948
LOC388610	-2.7225
SLC35A1	0.1715
GAL	-0.04625
SLC14A2	0.15725
RDH11	-0.3055
FAM138F	0.3025
AUH	0.38325
FLJ40243	0.466
C14orf129	1.10833333333333
MBD2	-1.22383333333333
ABHD14B	0.8935
PIGT	0.662125
ALS2CR4	-1.6215
ALAS1	0.5481
FOXO1	0.175833333333333
CRLF3	-0.409375
C20orf107	-0.3485
FARS2	-0.863
CCDC28A	0.235
NPHP3	-1.49625
OR13F1	0.379
TSEN54	0.1845
DEFB106B	0.2526
OR8B4	0.776
STH	-0.96925
ZC3H14	-0.335375
CBX2	-0.536
TMEM49	-0.60775
C6orf21	0.497
FLJ20920	0.4485
CRTAP	-0.568071428571429
DDX50	-0.058
STYXL1	0.511
BLVRB	-1.337
LOC147650	-2.379
MMP24	0.5645
GRID1	0.655
BANF1	-0.224666666666667
CTAGEP	0.05025
HMBS	-1.01
SLC25A24	0.110833333333333
C14orf50	2.065
MRO	-0.355333333333333
SLC25A15	0.2265
FAM84B	2.1116
TDP1	0.421
C16orf78	0.1045
C11orf57	0.127375
RFK	0.720875
ZFYVE9	0.249875
STCH	-1.2196
WIBG	0.38325
LOC283871	-0.415
GBA2	-0.3539
NDUFB3	0.246
HSD17B13	0.11275
GRIN3A	1.33
FMNL1	-3.29533333333333
SEPT7	-0.6737
GNLY	1.4185
GRAMD1C	0.594833333333333
ZNF165	0.9955
USP38	0.9395
FAM83A	-3.64
C14orf24	0.641583333333333
ARMCX3	0.49325
ARHGDIB	-2.73516666666667
AK1	-0.070125
KIAA1045	0.0115
DNAJB13	-0.2825
NEU2	0.1555
HIST1H4B	0.410666666666667
FAM20B	-0.8806
HES2	1.0905
FAM73B	-0.1823
LOC388381	0.6435
INTS7	-0.310818181818182
AMPH	-0.6785
ZNF775	-0.0565
UCKL1	0.104833333333333
C10orf97	-0.14575
C1orf161	0.32175
ALDH1L1	0.8945
FLJ39378	-1.166375
SLC23A1	0.0745
RBM4B	-0.56775
THAP4	0.184333333333333
OGFRL1	-2.15925
KIAA0831	-0.206375
PPP1R15A	0.237666666666667
C1orf96	-0.432214285714286
C12orf11	-0.2955
BMF	-0.0355
MAN1A1	-0.683625
KIAA1600	-0.614833333333333
NLGN4X	-2.80925
ALOX12	-1.0165
RB1CC1	0.6292
NEIL2	-0.2312
EIF4E	0.457
ABHD5	-0.50025
EXOC4	0.0715
CIP29	0.187166666666667
BATF2	2.853
SLC29A4	-0.656125
HTR4	2.25025
EMB	-4.8095
TRAF6	0.49675
LMNB1	1.29625
FAM19A5	-2.108125
SHE	0.53775
PIK3C2B	2.3675
C15orf15	-0.0242
USP15	-0.3716
TCEAL2	-0.77625
C5orf39	-3.0845
PTGER2	-2.1575
SLC31A1	-0.422375
IFT172	1.10475
ADAM29	0.55125
GFOD1	-0.155
ST7L	0.00583333333333334
C15orf26	-2.77125
PKN3	-1.70275
CNTD1	2.54966666666667
COMMD1	-0.461
NTRK2	0.275333333333333
FOXN3	-0.306375
MFGE8	-2.0665
PFKFB2	1.40033333333333
TAS2R4	0.07875
ENTHD1	-0.8855
PRMT5	-0.89625
MGC16384	-1.01175
LOC442229	-0.4225
TSKU	-0.31225
KRTCAP3	4.2415
PDLIM1	1.622
KCNS2	0.05275
RNF126	0.0615
CEP63	-0.557875
CLIC4	-2.398
hCG_1990170	-0.5415
ACR	2.3276
KLK7	0.6295
ALOX5AP	0.62375
RIPK3	4.8645
TAS2R9	0.6775
C19orf18	-0.1675
BIRC6	0.501785714285714
ZNF16	1.116
RFT1	0.36875
SLC8A2	-0.13725
TACC1	-0.028
ITGAD	0.176
SAMHD1	0.1185
SH3PXD2B	0.4666
EPC2	0.7865
C20orf85	0.677
ATP13A2	-0.115666666666667
KRT4	0.19275
CAPNS1	-0.032
MDM2	-1.16508333333333
PCDH20	4.947
KCNK9	0.3
OR2C1	0.2365
KLHDC3	-1.17966666666667
IPPK	0.3185
EFHD2	0.618375
GALR3	0.1705
NBEA	-4.47166666666667
ABCA6	-0.1435
CLDN3	3.59716666666667
AKT2	-0.00507142857142858
EGFR	1.1462
RBM16	0.531125
ZDHHC3	1.3162
SLC25A4	-0.149833333333333
CYB5B	0.390666666666667
CPXM1	-1.9245
NDRG1	1.08776923076923
FLJ43826	0.27625
OR5L2	0.365
FARP2	1.2186
MRPL46	-0.404
LDHAL6B	0.3185
MAPKAPK3	-0.153666666666667
NCAM2	-4.0405
PRKD2	-0.403666666666667
ZFP36L1	0.6851
CYSLTR1	-2.221
OR4C3	0.296
HIST1H2AJ	1.7865
CCNB2	-0.380444444444444
ZNF10	-0.88025
TMEM175	-0.1835
FAM134A	0.1215
TIGD4	1.3455
PCNP	-0.76525
MGC39715	-0.36775
LQK1	0.78175
CREB1	-0.2992
TMPRSS3	-0.63175
C4orf32	-0.96125
LAT	-2.90991666666667
KCNA3	-1.455
SKIV2L2	-0.70575
ROPN1B	-4.4985
tcag7.23	0.4085
CDT1	-0.882875
ZHX2	-0.685625
CD28	-5.9695
ZNF624	-0.73525
SEPT2	-0.287916666666667
SOHLH2	-2.358375
MCOLN3	-0.373875
UNQ1945	-0.071
MASP2	-0.674
ZNRF3	1.9794
GPATCH3	-0.927
AGL	0.256625
QRICH2	-0.069
PSD4	0.135833333333333
CCNB1IP1	-0.64525
ENPP7	0.04375
OBFC1	0.27
KCNG3	-3.21825
C14orf79	-0.410833333333333
ENPEP	0.644166666666667
SCT	1.1365
SKI	0.143875
SEC61G	-0.22525
CAPN11	-0.41625
ATXN7L3	-0.113
DBNDD1	-1.03883333333333
FAIM	0.447
ANKRD36	-1.081
GABRP	-0.6828
TACSTD2	-2.269
EIF3J	0.09425
PPP2R2A	-0.8075
TEKT4	-1.08983333333333
PVALB	-4.22716666666667
F10	-0.513666666666667
FAM134C	0.5563
COMP	1.025
EFCBP1	-4.4455
SCLT1	-0.58975
TAL1	-1.5049
ACSL1	-0.296
ABCC5	-0.746833333333333
ABL1	-0.259
RBBP7	0.651833333333333
PTPRG	0.051125
NCOR1	-0.4055
SPINK4	5.55666666666667
TXNRD1	-1.353
TNRC15	0.057625
C9orf138	0.320625
UBE2H	0.527166666666667
BRDT	0.3255
C8orf31	-0.00525
CCNE2	0.491454545454545
SLC6A8	0.010875
CALCR	-3.53925
PPP1CB	0.541916666666667
ABHD8	-2.25825
ARF5	0.7185
SLC24A4	0.27125
CCT3	-0.149
ZNF121	-0.2135
SLC3A2	-0.7785
OR13A1	0.5035
SLC5A10	0.04475
RAD50	0.878125
IER5	-0.65925
MTHFD1L	-0.221875
MBTPS2	2.55125
MVK	-0.1565
NCL	0.8016
PSMD10	-0.02575
MOBP	0.3435
FLJ32894	0.0785
HRH1	0.888
C5orf30	0.76375
NUDT16L1	0.1871
RASGRP3	1.802
PRKRIP1	-0.1252
CCDC75	-0.81475
LOC253970	0.2935
KIAA1239	0.56975
MED21	-0.184
SYT11	-1.41866666666667
NTSR2	-0.234
EGFL11	0.9305
CXorf59	1.132
OR2A25	0.37325
SPTBN2	-0.23225
LRMP	-2.767
RNF111	-0.00925
PTH	-0.023
LOC619208	-1.13833333333333
KIAA0895	0.415
RANBP5	-0.124875
P2RY10	-0.861
NME5	-1.39933333333333
DDX21	-0.17975
LRSAM1	-0.5805
HDAC11	0.434833333333333
VMO1	-0.032
NOLA2	-0.099
ADAR	-0.497
MTO1	-0.661333333333333
SF4	-0.0508333333333333
P2RX1	0.724666666666667
HBM	0.18575
EN2	0.3875
C14orf172	1.36325
TM9SF2	0.4048
INHBE	-0.896666666666667
TCTE3	-0.0581666666666666
TOX2	-4.371
CTAGE3	-0.296
HBB	4.466
MED15	-0.925666666666667
CASR	0.346
C6orf66	0.7455
MTPN	-0.915125
UNC50	-0.0455
C21orf33	-0.034875
IRF2	0.955625
PGR	-3.61716666666667
GPR84	0.788
CROCCL1	-2.977
SRPX	-4.28125
BRE	0.297333333333333
FGF10	0.26175
SDC3	0.154
ZRSR1	-0.199833333333333
DKFZP434P211	-1.002
SOX6	-0.0065
RPUSD2	0.36775
C14orf173	0.256416666666667
MAPK11	-1.0355
TBC1D22A	0.5475
FAM123A	-1.1785
COL4A6	-3.7175
TOMM70A	0.43375
NAB1	-0.150375
MGC16385	-0.55175
TSPAN18	-0.796833333333333
MED31	-1.09725
PLG	0.20675
CAPSL	0.2785
ZNF532	-0.5273
ASB14	0.36
CA8	-2.17225
NUDT16P	2.78333333333333
SLFN11	-3.518
LRRIQ2	-1.140125
NOL7	0.0471666666666667
BRMS1L	-0.303
JARID1A	-0.289
PANK2	0.307
ICAM3	-0.96
MDS1	2.037
TAF8	-0.4695
RNF139	1.0395
ZNF594	-1.41666666666667
ADAM8	-0.9255
SFTPC	-0.29925
MAN2B2	0.162625
RGS12	-0.3329375
EIF1AY	-4.33716666666667
LRRIQ1	-1.9554
GPR150	0.28125
CCDC21	-1.59733333333333
PRRG3	0.269
SAA4	-3.75525
RAPGEF5	2.207625
ZCCHC2	-0.224666666666667
MGC39372	-0.1225
PPP4R2	0.5925
CDCA2	-1.72216666666667
OR4D5	0.686
PTGFRN	0.6859
SIGLEC5	0.276333333333333
C19orf61	-0.685833333333333
NMUR2	0.2115
KIAA1586	-1.52583333333333
DAGLA	1.651
CHCHD6	0.24925
GPR32	0.723
NEUROD6	0.778666666666667
SLC2A4RG	-0.5190625
CA5B	-0.23125
FBXL3	0.206
MPHOSPH9	-0.52
HMG2L1	0.3725
HCN4	-0.277833333333333
CEACAM19	0.41325
SH2D4B	0.150333333333333
HFE2	-0.5585
TGM4	0.2405
LYPD2	-0.14125
TBC1D15	-0.2945
MRPS21	-1.537
NONO	0.3768
CLEC5A	0.165375
ITCH	0.461
MGAT3	-0.706166666666667
MBP	-0.7155
RPP25	-0.01325
SOSTDC1	3.34725
HRC	-1.68425
TRIM48	0.0415
TMEM133	0.2355
ECEL1P2	-1.175
HOXC11	-0.655
DOK5	-2.5175
HELZ	-0.916166666666667
LOC348180	-0.33425
MGC33894	0.33725
ADRB3	0.4125
DMD	1.19025
PTRH2	0.20775
MPEG1	1.28416666666667
NDUFA12	0.169833333333333
KRTAP2-4	0.0244166666666667
STAMBPL1	1.4435
ADCY2	-1.46766666666667
UNQ6125	0.3125
KLHL20	-0.978
SRM	-0.53
OTC	3.874
TMIE	-0.0985
SNX8	0.371
LIPK	0.167
CHURC1	0.1815
KLC2	0.239
HDAC1	0.737
FAM128A	0.00633333333333333
FNDC3B	0.1443
MTCP1	0.399333333333333
WFDC10B	0.2346
PCDHGB3	0.16
ATRNL1	-2.70377777777778
CAV2	-2.510375
MED26	0.0993333333333333
DUS1L	0.97475
CHRM3	0.187875
NEK9	0.31525
WARS2	0.3115
TBX22	-0.717
TOMM40	-0.026
RP6-213H19.1	0.247166666666667
TUBGCP5	-0.49575
IGSF6	2.0885
TPPP	1.27766666666667
UNQ6190	-1.2685
GSTM5	-0.3125
BTD	-0.530166666666667
PDCD1LG2	-0.975333333333333
SNRPB2	1.04366666666667
ERICH1	0.31325
APOA4	-1.619125
HOXA11	1.156
NARG1	0.34825
MKX	-0.22875
RAB28	-0.199142857142857
PKP3	2.43
SH3GL2	-2.81575
CTSO	0.3965
RPN2	0.977
IL28RA	1.11416666666667
SFMBT1	0.84775
WDR57	0.03925
FER1L3	-0.67125
HSF5	-0.0683333333333333
TTC9B	0.61925
C4BPA	-0.8275
ALB	-4.86407142857143
SORBS3	-0.491375
UPF2	0.727
JPH1	2.46
AGBL2	-0.565
DOPEY1	1.585
TERF1	0.6505
KIF22	-0.459166666666667
NINJ1	-0.568
SEC61A2	-0.357666666666667
HIST1H1D	-1.1515
SFXN4	1.04025
UCP3	-0.1069
ZNF703	1.34533333333333
MYL6B	-1.12875
TREM1	0.21525
OR52E6	0.6075
CKMT2	1.74725
HLA-C	1.24025
SLC13A3	0.170666666666667
TIMP4	0.467
SLIT2	-1.88025
RSF1	-0.450722222222222
LONRF1	-0.994
MON1A	0.642
CACNG6	-2.21533333333333
DPPA4	-6.62816666666667
ZSWIM3	1.7025
ZNF804A	-0.417
CCIN	0.68275
SLC25A31	-0.43125
KCNMB4	1.546
RABL5	-0.193875
GALNS	-0.9946
STX6	-0.130125
HIST1H1C	-3.0125
CIDEB	-1.388875
CASP4	-0.187333333333333
PDK3	1.1033
KCNJ11	0.293
TPR	-0.744875
ZSCAN20	0.2195
MTX2	0.20175
HIST1H2BH	-0.789
LOC283767	0.69975
LYRM7	-1.07894444444444
BRD3	0.0621666666666667
HIST1H2BO	-1.0015
MAGEB10	-0.789
SLC45A1	-0.48
SERPINA3	-2.99885
KIAA0143	0.728
KCNJ16	0.527666666666667
KRT79	0.1255
FABP2	1.615
NUT	-0.6525
ZNF57	1.7215
FBXL4	0.394625
CLEC9A	-0.055
UGT8	2.55333333333333
BMP2K	0.00774999999999999
MAPK4	-3.644
SLC25A23	-0.6428
HINT1	-0.3139
KRTAP13-1	0.095
SFXN5	0.0581
CHCHD2	0.520166666666667
FAM3D	4.94
NDP	-3.1385
RHOBTB1	-1.01666666666667
SLC4A4	0.208125
RPL38	0.14125
HTF9C	-0.817333333333333
AP2A2	0.31125
ZBTB46	-0.6555
MAP7D1	-1.041125
AOX1	-2.49616666666667
CYR61	-0.877666666666667
DTNA	-0.917142857142857
JRKL	0.997
TMOD3	-0.35375
EEA1	0.8081
ADCK5	1.83925
IL1R1	-1.12316666666667
KLK3	0.279714285714286
HRSP12	2.23025
KTN1	-0.17425
LOH11CR2A	-1.0913
RELL2	-0.83325
MAB21L1	-0.12
C20orf59	0.522
PHKB	0.30725
ADAM2	-2.131
TBC1D8B	2.08983333333333
FAM13A1	1.2589375
LAPTM4B	0.363416666666667
LCN8	0.125
TMEM147	0.177
SYT4	0.335833333333333
XPO7	-1.252
C9orf62	0.41725
GPR75	0.351
TRIM5	-0.130875
APOC1	-2.76866666666667
RNASE4	1.322
PARD6B	-1.143
ARID1A	-0.75175
TPD52L3	0.0135
RRAGB	0.401666666666667
RCN2	-0.641666666666667
HIST2H2BE	-0.9066
STARD7	0.157
SHMT2	0.003
KIAA1751	-0.0291666666666667
MLYCD	0.81975
LOC162632	-0.6543
UQCRH	-0.63775
RP11-217H1.1	0.9700625
SDHA	-1.26933333333333
NCLN	0.6624
ZNF17	0.165666666666667
RCBTB2	-2.7955
VEGFB	-0.8606
RP4-747L4.3	-0.11675
COLQ	-0.1664
MPN2	-0.775166666666667
DRG2	-1.08975
KLRB1	2.765
ALPK2	-4.04925
DNASE2B	0.97575
FLJ23834	0.633166666666667
AXUD1	1.01933333333333
SAFB	0.1023
NSUN4	-0.3805
RFX2	0.606
MAPK8IP1	-0.885666666666666
FANCD2	-0.337714285714286
ANKZF1	-1.04566666666667
C19orf50	-0.387875
DUSP8	2.074625
SENP5	0.27
NFKBIL2	0.79775
LBR	1.10625
IGFL1	0.0335
LZTS2	-1.568875
IL2RG	2.23725
CCDC51	0.1255
KLF3	1.54025
ANKRD37	-0.29325
KCTD14	2.59883333333333
FZR1	0.292166666666667
SLC44A4	3.5329
ESPL1	-0.348
GMPR2	-0.6576
TBC1D19	-0.724
ERGIC1	0.414851851851852
ERBB4	-1.6419
TSPAN32	0.170416666666667
MAP4	-0.319375
GPHN	0.577
SLC6A2	-0.443875
HIVEP1	0.00925
DFFB	1.116
EIF4EBP2	1.033375
DMRT1	-0.737
HSPB6	-0.0545
IER2	1.28133333333333
AIFM1	0.94275
WWC2	-1.02233333333333
MRPL4	0.07
FLJ21062	0.9425
EPB41L4A	-0.891083333333333
SH2D6	0.33725
TAF4B	-0.68375
GAL3ST3	0.4025
MALT1	-0.824833333333333
RTDR1	2.3945
ARVCF	-0.288625
MEX3B	-2.98266666666667
FBXO16	-0.42075
KIF7	-2.636
C1QC	2.838
ZNF783	-0.387
ZNF85	-0.71375
MMP13	-1.076
KIAA0329	0.522625
RTP3	0.9935
ZBED3	0.75075
CLGN	-3.347
SLC25A37	-1.87029166666667
hCG_18290	0.2245
OR5AS1	0.6365
SMARCC2	-0.435166666666667
FAM109A	0.974833333333333
CCDC12	-0.063
USF2	-0.1527
DEPDC7	0.18125
C20orf24	1.2145
JMJD3	-0.135
DSP	0.0790714285714286
SLIC1	0.408375
FAM20A	-1.468875
IRF2BP2	0.948125
ZNF230	-1.0585
MSN	-2.763
SLC9A5	-1.588
EPDR1	1.1986
MUSK	0.359833333333333
ZNF434	-1.05016666666667
SMARCD1	-0.279
ZFP106	-0.38825
ZNF347	-1.5689
GTF2E1	0.102
