Hybridization REF	TCGA-AA-A00R-01A-01R-A002-07
NEFH	-3.112
CTDSP2	0.457583333333333
PGBD5	0.52
CCNY	0.538
RMND5B	-0.181083333333333
ZNF257	-0.025
FLJ22167	0.690125
EXOSC7	-0.742166666666667
ROR2	-0.476625
MAOA	3.183625
TNNT3	-0.241833333333333
GYPC	-1.5735
C7orf33	0.7475
PLIN	-0.144
LOC90826	-0.08175
RNF4	0.3347
F8A1	-0.11
PLEKHG4	-2.2435
GRB2	0.15255
HIST1H2AD	-1.90975
DUS3L	0.642166666666667
EIF1	0.0121666666666667
RP5-1077B9.4	-0.767166666666667
FPGT	1.55375
GDF10	-1.48616666666667
COQ9	0.381
GCC2	0.966142857142857
RARRES3	2.846
PLXNA1	-0.0853
KIAA0100	-0.0142
PMF1	-0.223
FNDC1	4.22625
HS2ST1	0.047
CRELD2	0.11825
C8G	-1.6485
CD82	0.72575
LIM2	-1.159
UNQ6490	0.0055
MMP16	-0.5575
DRD3	0.79025
C5orf26	-1.3855
C11orf73	-1.07225
PTP4A2	0.804875
OR4M2	0.225
HPCA	-0.4335
SEC14L1	-0.534333333333333
CHFR	-0.828125
EMILIN1	0.793375
NDUFS4	-0.09275
COL18A1	-1.064625
PDZD3	1.2594
C9orf16	-0.182166666666667
ERBB2IP	-0.379
EMX2	0.01875
FUS	-0.2765
TF	-4.2596
CLCN4	1.90016666666667
CXorf56	0.4605
C11orf72	0.1365
ELAC2	-0.366416666666667
NPR1	-1.19775
ASS1	1.9115
USP42	0.452
POLR2J	-0.7615
SEC23IP	0.6975
UQCRC1	0.928
LOC729603	-0.0155
C1orf71	-0.792875
POLG	-0.2985
ADAM23	-3.64825
TFR2	-1.5585
RICTOR	-0.8194
MGC39606	-0.6085
C19orf55	-0.09925
SNAPC1	-0.827
GNA11	1.057875
CCDC52	-1.12883333333333
FSIP1	-0.56
UPF3A	-0.21725
IGSF11	-3.02916666666667
LAGE3	-0.91
CHST6	-1.555
UNC13B	1.477875
TTLL4	-0.003125
ZNF687	-0.125625
SDC2	-1.9302
COX7A2	0.64025
LAMB4	-0.49975
FAM24A	0.3435
LRRTM3	-0.689
GPHB5	0.21075
OR4C13	-0.3535
EIF3EIP	0.387428571428571
HABP4	0.3165
TMEM125	3.689
CNTN2	-0.087875
ASNSD1	0.02175
FUT4	1.975375
ACF	-3.28225
LOC158381	-0.5895
CDH8	-0.403
AGPS	0.774166666666667
C4orf18	-0.087375
PECI	-0.0146666666666667
UNG	0.348
GSTP1	1.11825
DCUN1D5	-0.610833333333333
DKFZP564J0863	0.413
SLC9A3R1	-0.15475
BCDO2	0.125875
CHMP7	0.95825
REM2	0.4805
DNHD1	-0.398625
FKBP4	-0.38675
ZNF350	-1.1705
MGC11102	0.03725
BST1	2.24725
KISS1R	0.4455
NCR2	0.558
DEFB125	1.158
UBE2W	1.043375
KRT15	-3.2655
C10orf99	0.108
SCN11A	0.374125
GFI1	1.8445
RDHE2	-0.5795
FHL1	-2.08933333333333
OSGEP	0.370833333333333
GATA1	-3.702
SMC6	-0.77
TTTY14	-0.93875
LPIN3	0.94575
RPL4	-0.5967
RBPMS	-1.3749
PRPF3	-0.093
EMR1	-2.5705
SPATA19	0.2885
XCR1	0.148
IRX3	-1.1544
RBM6	-0.27325
KLF4	0.1844
UNC5CL	-0.098
SEBOX	-1.095
BTK	-0.445
KRCC1	0.219
C6orf27	0.152
SYTL5	-2.357
PRND	0.94
LOC653319	-0.6375
PIGL	0.713875
HUS1	0.6815
SFRS6	1.62925
C17orf77	-0.111
UIMC1	-0.257666666666667
FXYD2	-1.928
LOC283152	-0.61425
ZNF667	-2.02225
ZCCHC12	-0.4975
TFEC	3.1534
ATP7B	1.98933333333333
POLD2	-0.573333333333333
RG9MTD1	0.1665
ACOT2	-2.6475
HIST1H4I	-1.33775
PPARGC1A	-3.5667
ETFA	-0.00960000000000001
POLRMT	-0.034
ZNF146	-0.015875
MIA2	-2.1235
KLHL6	0.545333333333333
HOXB5	-0.293875
NENF	0.413666666666667
CUGBP1	0.45775
PRSS22	0.981166666666666
CASC4	1.3454
CUL4B	0.4763
CENPJ	-0.1682
PITX1	0.692166666666667
FLJ31033	0.990333333333333
CELSR3	-1.54833333333333
ZNF568	-1.1055
ITSN1	-0.149083333333333
EHBP1L1	0.4515
C19orf2	0.192
DCTN1	-0.91475
LIN28B	-3.40833333333333
TNKS2	-0.28025
C1QBP	0.711375
CADPS2	1.8415
SRMS	0.22475
GJA9	0.126833333333333
MGC24975	0.598333333333333
TRIM45	-1.84066666666667
TSP50	-0.5505
TCP1	-0.102
TMED7	0.4942
CMA1	-0.183
CENPL	0.508
PTCRA	0.522
FST	-4.90775
VWCE	-2.529
PAWR	0.54775
ABCC12	0.358333333333333
LDLR	-0.327
ASTN2	-0.8252
LOC441212	-0.62175
GPATCH8	0.40025
TANC2	-2.61166666666667
KIF4A	-0.78125
C18orf18	-4.13575
PGM1	-0.64825
KIAA0258	0.90325
CPD	0.61825
SNCAIP	-1.448
DCT	-4.46433333333333
HLA-DOA	3.11127272727273
OR11L1	0.485
UPK1B	-0.683333333333333
DNAJB4	-0.64525
UGT1A8	-0.12025
HIST1H4L	0.865
PECR	-0.796
HSPA2	-0.66375
WFIKKN1	-2.354
SERP1	0.561375
SYDE2	-0.19925
TACR2	0.203
NUP85	0.0535
CD177	0.0775
LGR5	-1.58416666666667
PIGG	-0.226416666666667
PTHR1	-3.3385
RAB5A	-0.0613
FLJ13224	0.334
USP9Y	-1.9765
C7orf53	-1.018
LRP1B	-1.19925
XAF1	3.9842
ABCG8	-0.97
ANKDD1A	0.545166666666667
DAND5	-0.682
SPAG6	0.695
LINCR	1.7895
ZDHHC22	-2.1325
CCDC60	0.698
THOC7	-0.651666666666667
TCTA	0.2498
OR8K3	0.119
NY-REN-7	-0.6145
B2M	1.55583333333333
C6orf141	-1.8865
LPPR4	0.9135
SQLE	-4.80875
SEPHS1	-0.416
BTBD14B	0.345357142857143
PLRG1	-0.14375
SPG7	-0.3924375
ZNF614	-1.9035
PARD6G	0.418166666666667
INPP5B	-0.5753
GRPEL2	0.5235
PPID	-0.0634
TRIM56	0.62075
UBE2J1	0.60175
IL20RA	4.8555
LOC387856	0.31625
C1orf107	0.883833333333333
UTS2R	0.36475
C19orf22	0.4805
SAFB2	0.863
KIAA0652	0.108625
KLRG1	0.393833333333333
MS4A8B	3.03066666666667
FRAG1	0.84625
KIAA1546	0.5335
E2F4	-0.1674
CLEC4M	0.286
BTBD14A	0.687
KIAA0999	0.7373
GYPA	-3.66566666666667
TAC1	-0.3427
TRAIP	-0.471833333333333
KIAA0232	0.4244
ERCC8	-0.4255
GPX4	-0.081125
KIAA0368	-0.452375
GPR157	-0.169
CTAGE4	0.3825
C9orf30	-0.5925
OR52A1	0.325
HSP90B3P	0.202
ALG9	-0.1792
BTBD10	0.4745
SDK2	-0.5245
BAIAP3	-0.97175
RABGGTB	-0.744
ANKRD40	-0.0558333333333333
KRT74	0.5465
CALCOCO2	1.07185714285714
SNCA	-4.1495
TMSL8	-6.223875
C2orf53	0.0325
ESRRB	-0.42175
ARHGAP26	1.1375
TDRD9	-2.48825
HRAS	0.659166666666667
KLRC4	-0.38
JAGN1	0.325
BSDC1	-0.13
RNF43	0.6422
NDUFAF1	-0.0225
PHF12	-0.09075
OR1L3	0.486
FOLR2	2.01708333333333
LYZL6	0.408833333333333
tcag7.1260	-2.3155
WSB1	-0.953333333333333
PROS1	-1.1012
OSTN	-0.058
PSMB8	2.4595
SOCS4	-0.00887500000000003
DDIT4L	0.187
MAS1	0.404
MGC34796	1.19075
CSHL1	-0.223833333333333
TBCCD1	0.0426666666666667
ZBTB7C	-0.3085
AP2S1	-0.71575
P15RS	-0.4819
VAT1	-1.6938
SHANK3	0.972
TUFM	0.187333333333333
THEG	-1.1125
KRT34	-2.4045
SGSM3	-0.175375
TOMM22	1.16475
SOCS3	1.15233333333333
CPO	-0.3615
POP4	0.30425
BHLHB3	-0.91925
MALL	1.707
OR1B1	0.227
PARK2	0.0863333333333333
GPR124	0.46075
LCE1E	0.0455
RUVBL2	-0.091
CGRRF1	-0.2673
ACPL2	0.8195
WNT10B	-0.55675
BAIAP2L2	0.7945
ISCA1	0.0035
C1orf125	4.297625
RPAP1	-0.1655
RAI16	0.351166666666667
RPL27	-0.857375
NLRP9	0.456
EPN1	0.003
LOC388610	-2.22825
SLC35A1	0.8716
GAL	1.4195
SLC14A2	0.55925
RDH11	-1.823
FAM138F	-0.0345
AUH	0.38825
FLJ40243	0.35125
C14orf129	2.6805
MBD2	0.190833333333333
ABHD14B	0.268625
PIGT	-0.3635
ALS2CR4	-0.458875
ALAS1	0.3932
FOXO1	2.18283333333333
CRLF3	0.418375
C20orf107	-0.332
FARS2	0.1875
CCDC28A	-0.206
NPHP3	-0.319
OR13F1	0.29
TSEN54	0.234
DEFB106B	-0.201
OR8B4	0.2285
STH	0.0685
ZC3H14	-0.646
CBX2	-0.3135
TMEM49	-1.19325
C6orf21	0.416
FLJ20920	-1.551125
CRTAP	-0.539214285714286
DDX50	-0.1465
STYXL1	-0.4135
BLVRB	-0.386166666666667
LOC147650	-1.80133333333333
MMP24	-0.299
GRID1	0.584333333333333
BANF1	-0.100666666666667
CTAGEP	0.05325
HMBS	-0.49575
SLC25A24	0.926833333333334
C14orf50	-0.7485
MRO	-0.176833333333333
SLC25A15	-0.10675
FAM84B	-0.2284
TDP1	0.3125
C16orf78	0.532
C11orf57	-0.1125
RFK	0.561875
ZFYVE9	0.643625
STCH	-1.0503
WIBG	0.662
LOC283871	-0.269166666666667
GBA2	-0.4318
NDUFB3	0.26625
HSD17B13	-0.3795
GRIN3A	2.8585
FMNL1	-0.0875
SEPT7	-0.2811
GNLY	5.441
GRAMD1C	0.299166666666667
ZNF165	1.25875
USP38	2.011
FAM83A	-3.6775
C14orf24	0.9245
ARMCX3	-1.54175
ARHGDIB	-0.368666666666667
AK1	-0.19525
KIAA1045	-0.55625
DNAJB13	-0.648166666666667
NEU2	0.363
HIST1H4B	0.359166666666667
FAM20B	-0.5056
HES2	0.0656428571428571
FAM73B	-0.4452
LOC388381	0.387
INTS7	0.124181818181818
AMPH	-0.4775
ZNF775	-0.57275
UCKL1	-0.597
C10orf97	0.1845
C1orf161	-0.42075
ALDH1L1	-2.77925
FLJ39378	-0.58125
SLC23A1	-2.1605
RBM4B	0.20375
THAP4	0.366166666666667
OGFRL1	0.0425
KIAA0831	-0.086875
PPP1R15A	-1.184
C1orf96	0.415714285714286
C12orf11	-0.53925
BMF	-0.366
MAN1A1	-1.4655
KIAA1600	0.275833333333333
NLGN4X	-1.00275
ALOX12	-1.48283333333333
RB1CC1	-0.6256
NEIL2	0.8469
EIF4E	0.408136363636364
ABHD5	-0.3375
EXOC4	-0.0245
CIP29	0.343833333333333
BATF2	4.401
SLC29A4	-1.2655
HTR4	4.25175
EMB	-0.15275
TRAF6	1.73425
LMNB1	2.5885
FAM19A5	-1.68175
SHE	1.30525
PIK3C2B	0.83825
C15orf15	-0.4454
USP15	0.3573
TCEAL2	-0.1245
C5orf39	-0.095
PTGER2	-0.986
SLC31A1	0.1215625
IFT172	0.11375
ADAM29	0.25375
GFOD1	-0.97475
ST7L	0.189
C15orf26	-1.97825
PKN3	0.0925
CNTD1	-0.465333333333333
COMMD1	-0.185
NTRK2	0.8325
FOXN3	0.08425
MFGE8	-1.5212
PFKFB2	0.952
TAS2R4	-0.239
ENTHD1	0.704333333333333
PRMT5	-0.25525
MGC16384	-0.611125
LOC442229	-0.0765
TSKU	-0.218
KRTCAP3	4.271
PDLIM1	1.0682
KCNS2	-0.06875
RNF126	0.209833333333333
CEP63	-0.403875
CLIC4	-1.859125
hCG_1990170	-1.116
ACR	-0.0025
KLK7	-0.62025
ALOX5AP	3.53225
RIPK3	3.75475
TAS2R9	0.02
C19orf18	-1.699
BIRC6	0.428714285714286
ZNF16	0.5235
RFT1	0.22975
SLC8A2	0.706
TACC1	0.851625
ITGAD	1.504
SAMHD1	2.393
SH3PXD2B	0.5547
EPC2	0.37925
C20orf85	0.000714285714285723
ATP13A2	0.2415
KRT4	0.22575
CAPNS1	-0.302
MDM2	0.34925
PCDH20	3.98325
KCNK9	0.396
OR2C1	-0.0135
KLHDC3	-0.672166666666667
IPPK	0.547
EFHD2	0.702625
GALR3	0.28275
NBEA	-3.18916666666667
ABCA6	1.4867
CLDN3	2.05883333333333
AKT2	0.101214285714286
EGFR	0.2708
RBM16	0.129
ZDHHC3	0.2009
SLC25A4	-1.734
CYB5B	0.568333333333333
CPXM1	-1.88475
NDRG1	0.041
FLJ43826	0.35225
OR5L2	0.51
FARP2	-0.069
MRPL46	-0.0735833333333333
LDHAL6B	0.434
MAPKAPK3	0.0183333333333333
NCAM2	-3.52775
PRKD2	0.3305
ZFP36L1	0.2518
CYSLTR1	-0.6745
OR4C3	0.26625
HIST1H2AJ	-0.871
CCNB2	-0.280111111111111
ZNF10	-2.02925
TMEM175	-0.045
FAM134A	0.235666666666667
TIGD4	0.323
PCNP	-0.25
MGC39715	-0.5975
LQK1	-1.17225
CREB1	0.2087
TMPRSS3	2.09725
C4orf32	0.55225
LAT	-0.274416666666667
KCNA3	0.4325
SKIV2L2	-0.213
ROPN1B	-4.43475
tcag7.23	-0.286
CDT1	-0.826875
ZHX2	-0.06725
CD28	-2.37775
ZNF624	0.09175
SEPT2	0.441583333333333
SOHLH2	-2.97285714285714
MCOLN3	-1.094625
UNQ1945	0.62
MASP2	-2.1615
ZNRF3	-0.1869
GPATCH3	-0.2585
AGL	1.0585
QRICH2	0.186
PSD4	0.212166666666667
CCNB1IP1	-0.91525
ENPP7	0.2865
OBFC1	0.54875
KCNG3	-2.43975
C14orf79	-0.106166666666667
ENPEP	0.905166666666667
SCT	0.59
SKI	1.26975
SEC61G	-0.39625
CAPN11	-0.28775
ATXN7L3	0.29825
DBNDD1	-0.465666666666667
FAIM	1.022
ANKRD36	0.1245
GABRP	2.52233333333333
TACSTD2	-3.27
EIF3J	-0.398
PPP2R2A	0.97175
TEKT4	-0.815666666666667
PVALB	-4.18133333333333
F10	-3.698
FAM134C	0.4915
COMP	1.435
EFCBP1	-3.599875
SCLT1	1.557625
TAL1	-1.2816
ACSL1	0.25875
ABCC5	-1.06508333333333
ABL1	-0.301666666666667
RBBP7	-0.158416666666667
PTPRG	1.000375
NCOR1	1.0582
SPINK4	-2.2315
TXNRD1	-0.3081
TNRC15	1.642875
C9orf138	0.0405
UBE2H	0.145166666666667
BRDT	0.2385
C8orf31	-0.3845
CCNE2	-0.191818181818182
SLC6A8	-1.52425
CALCR	-5.46075
PPP1CB	0.552083333333333
ABHD8	-1.65225
ARF5	0.0292
SLC24A4	1.261
CCT3	0.04175
ZNF121	0.136
SLC3A2	-1.5299
OR13A1	0.2905
SLC5A10	0.1815
RAD50	0.530875
IER5	-0.07275
MTHFD1L	-0.17725
MBTPS2	0.86
MVK	-0.690142857142857
NCL	0.7115
PSMD10	0.074
MOBP	0.3155
FLJ32894	0.9005
HRH1	1.679
C5orf30	1.31825
NUDT16L1	-0.3998
RASGRP3	3.643
PRKRIP1	-0.6229
CCDC75	0.62175
LOC253970	0.589
KIAA1239	-0.1465
MED21	-0.20075
SYT11	1.06716666666667
NTSR2	0.151
EGFL11	-0.036
CXorf59	0.5885
OR2A25	0.749333333333333
SPTBN2	-2.3955
LRMP	-0.515333333333333
RNF111	0.213
PTH	0.503
LOC619208	-1.47316666666667
KIAA0895	1.26525
RANBP5	-0.071375
P2RY10	2.40216666666667
NME5	-1.4465
DDX21	-0.07525
LRSAM1	-0.6165
HDAC11	0.399666666666667
VMO1	2.162
NOLA2	-0.282666666666667
ADAR	0.90825
MTO1	-0.0505
SF4	0.0111666666666667
P2RX1	-0.229666666666667
HBM	-0.299
EN2	0.7255
C14orf172	0.435
TM9SF2	0.4775
INHBE	-1.8105
TCTE3	0.513416666666667
TOX2	-1.16775
CTAGE3	0.654875
HBB	2.845
MED15	-0.412166666666667
CASR	0.43375
C6orf66	0.457666666666667
MTPN	0.036125
UNC50	-0.842
C21orf33	0.1425
IRF2	1.441375
PGR	-3.00966666666667
GPR84	3.422
CROCCL1	-0.428
SRPX	-3.884
BRE	0.0788333333333333
FGF10	0.116
SDC3	0.116333333333333
ZRSR1	-0.0218333333333333
DKFZP434P211	-0.296375
SOX6	0.5235
RPUSD2	0.39375
C14orf173	0.285333333333333
MAPK11	0.590333333333333
TBC1D22A	0.6975
FAM123A	-0.7095
COL4A6	-5.226
TOMM70A	0.22575
NAB1	0.922875
MGC16385	-1.073
TSPAN18	-0.471
MED31	-0.0715
PLG	-0.28725
CAPSL	-0.736
ZNF532	-0.2372
ASB14	-0.0745
CA8	-4.06175
NUDT16P	-0.105166666666667
SLFN11	1.716
LRRIQ2	0.32175
NOL7	-0.255
BRMS1L	-0.607
JARID1A	0.0671666666666667
PANK2	0.042
ICAM3	-0.05175
MDS1	1.965
TAF8	0.0105
RNF139	0.117
ZNF594	-1.7245
ADAM8	2.2845
SFTPC	-0.263875
MAN2B2	0.320875
RGS12	-0.015125
EIF1AY	-5.06118181818182
LRRIQ1	-2.32383333333333
GPR150	0.46075
CCDC21	-0.634
PRRG3	0.36325
SAA4	-0.747
RAPGEF5	2.037625
ZCCHC2	0.853583333333333
MGC39372	0.4715
PPP4R2	0.648833333333333
CDCA2	0.861
OR4D5	0.418833333333333
PTGFRN	0.9762
SIGLEC5	1.88033333333333
C19orf61	-0.300333333333333
NMUR2	2.945
KIAA1586	-0.2575
DAGLA	1.078
CHCHD6	-0.4275
GPR32	0.6385
NEUROD6	0.153
SLC2A4RG	-0.4404375
CA5B	0.2925
FBXL3	0.66025
MPHOSPH9	-0.05725
HMG2L1	0.3595
HCN4	0.222833333333333
CEACAM19	-0.30975
SH2D4B	0.851833333333333
HFE2	-0.754
TGM4	0.590833333333333
LYPD2	0.5485
TBC1D15	0.2335
MRPS21	-0.8986
NONO	-1.0408
CLEC5A	2.03425
ITCH	-0.6045
MGAT3	0.760166666666667
MBP	0.443625
RPP25	0.06325
SOSTDC1	-3.5615
HRC	-2.7205
TRIM48	-0.2715
TMEM133	0.76325
ECEL1P2	-1.45575
HOXC11	-1.4435
DOK5	-1.8455
HELZ	-0.245833333333333
LOC348180	-0.80825
MGC33894	0.623
ADRB3	-0.003
DMD	-0.508333333333333
PTRH2	-0.46325
MPEG1	3.9975
NDUFA12	0.253
KRTAP2-4	-0.197833333333333
STAMBPL1	-0.0926666666666667
ADCY2	-1.16666666666667
UNQ6125	0.8155
KLHL20	0.3345
SRM	-1.1035
OTC	1.5825
TMIE	1.34183333333333
SNX8	0.148
LIPK	0.0285
CHURC1	-0.283583333333333
KLC2	0.0593333333333333
HDAC1	0.511
FAM128A	0.00983333333333333
FNDC3B	-0.0695
MTCP1	-0.649333333333333
WFDC10B	-0.1042
PCDHGB3	-0.055
ATRNL1	-2.5136
CAV2	-2.16
MED26	-0.0388333333333333
DUS1L	0.62725
CHRM3	-1.822625
NEK9	1.14675
WARS2	1.2235
TBX22	-0.3745
TOMM40	0.368
RP6-213H19.1	0.177833333333333
TUBGCP5	-0.48625
IGSF6	5.49425
TPPP	1.01583333333333
UNQ6190	0.462
GSTM5	0.213875
BTD	-1.4415
PDCD1LG2	0.875166666666667
SNRPB2	-0.1355
ERICH1	0.910375
APOA4	-1.0145
HOXA11	0.07325
NARG1	-0.039375
MKX	2.113
RAB28	-0.023
PKP3	1.90275
SH3GL2	-2.3085
CTSO	2.79675
RPN2	-0.0496875
IL28RA	0.815833333333333
SFMBT1	0.04975
WDR57	0.806375
FER1L3	0.447083333333333
HSF5	0.2985
TTC9B	1.41
C4BPA	-3.5735
ALB	-4.83430769230769
SORBS3	-0.141125
UPF2	1.168
JPH1	2.0935
AGBL2	-0.7085
DOPEY1	1.14
TERF1	0.236666666666667
KIF22	-0.505666666666667
NINJ1	-0.32525
SEC61A2	-0.694833333333333
HIST1H1D	0.4525
SFXN4	1.445125
UCP3	0.8993
ZNF703	0.409833333333333
MYL6B	-2.2385
TREM1	2.34575
OR52E6	0.9305
CKMT2	-0.49975
HLA-C	2.131125
SLC13A3	-3.59683333333333
TIMP4	-2.3875
SLIT2	-0.07475
RSF1	0.413166666666667
LONRF1	0.153285714285714
MON1A	1.11883333333333
CACNG6	-2.049
DPPA4	-5.26633333333333
ZSWIM3	-0.34575
ZNF804A	-0.0948333333333334
CCIN	0.82025
SLC25A31	0.17775
KCNMB4	-3.27325
RABL5	-0.661375
GALNS	-0.6481
STX6	0.659625
HIST1H1C	-3.622
CIDEB	-1.10825
CASP4	0.2395
PDK3	0.6486
KCNJ11	0.7625
TPR	-0.28025
ZSCAN20	-0.8035
MTX2	-0.13825
HIST1H2BH	-1.6575
LOC283767	2.282
LYRM7	-0.758722222222222
BRD3	0.434666666666667
HIST1H2BO	-1.577
MAGEB10	0.424
SLC45A1	-0.23925
SERPINA3	-3.66885
KIAA0143	0.91975
KCNJ16	-0.23625
KRT79	0.07475
FABP2	3.94475
NUT	0.05
ZNF57	1.0765
FBXL4	0.218375
CLEC9A	1.3305
UGT8	3.19383333333333
BMP2K	0.575
MAPK4	-4.18075
SLC25A23	0.5753
HINT1	0.4642
KRTAP13-1	-0.191
SFXN5	-0.5035
CHCHD2	-0.0184166666666667
FAM3D	4.253
NDP	-4.341375
RHOBTB1	-1.863
SLC4A4	2.180875
RPL38	-0.32425
HTF9C	-0.356833333333333
AP2A2	0.24525
ZBTB46	0.028
MAP7D1	-0.66675
AOX1	-2.3305
CYR61	-1.8895
DTNA	-1.8555
JRKL	0.83575
TMOD3	0.69875
EEA1	0.8565
ADCK5	0.5415
IL1R1	0.380833333333333
KLK3	0.471142857142857
HRSP12	0.5365
KTN1	-0.46025
LOH11CR2A	-0.8745
RELL2	-2.02675
MAB21L1	-0.2425
C20orf59	0.1585
PHKB	-0.06325
ADAM2	-2.417
TBC1D8B	-1.085
FAM13A1	-0.4199375
LAPTM4B	-0.16325
LCN8	0.5095
TMEM147	0.278
SYT4	-0.0653333333333334
XPO7	0.8825
C9orf62	0.684
GPR75	0.1935
TRIM5	0.945875
APOC1	0.5395
RNASE4	-0.8255
PARD6B	-2.950625
ARID1A	-0.289416666666667
TPD52L3	0.74
RRAGB	-1.71366666666667
RCN2	-1.0135
HIST2H2BE	-2.2012
STARD7	0.06175
SHMT2	0.59475
KIAA1751	-0.295333333333333
MLYCD	0.57675
LOC162632	-0.7252
UQCRH	-0.05525
RP11-217H1.1	0.316125
SDHA	0.0646666666666667
NCLN	0.7728
ZNF17	0.296833333333333
RCBTB2	-2.4835
VEGFB	-1.1966
RP4-747L4.3	-0.263
COLQ	-0.2376
MPN2	-0.5915
DRG2	-0.592
KLRB1	6.44625
ALPK2	-1.5655
DNASE2B	1.2375
FLJ23834	-0.254333333333333
AXUD1	-0.578166666666667
SAFB	0.6271
NSUN4	-0.224
RFX2	0.854166666666667
MAPK8IP1	-0.182833333333333
FANCD2	-0.0766428571428571
ANKZF1	-1.384
C19orf50	-0.1975
DUSP8	0.77175
SENP5	0.147375
NFKBIL2	0.356
LBR	1.191625
IGFL1	0.6635
LZTS2	-1.11375
IL2RG	1.13325
CCDC51	0.70575
KLF3	1.358375
ANKRD37	-1.28075
KCTD14	2.5875
FZR1	0.169166666666667
SLC44A4	3.9287
ESPL1	-0.0805
GMPR2	-0.6969
TBC1D19	-0.707
ERGIC1	0.599185185185185
ERBB4	-2.5033
TSPAN32	0.378083333333333
MAP4	0.182625
GPHN	0.88875
SLC6A2	-0.572625
HIVEP1	0.188
DFFB	1.3025
EIF4EBP2	0.58825
DMRT1	-0.51775
HSPB6	-0.39375
IER2	-0.245333333333333
AIFM1	1.61575
WWC2	-0.8405
MRPL4	0.33725
FLJ21062	0.432333333333333
EPB41L4A	-0.0794166666666667
SH2D6	0.17425
TAF4B	0.82525
GAL3ST3	-0.071
MALT1	0.29
RTDR1	-0.08975
ARVCF	-0.582125
MEX3B	-2.332
FBXO16	-2.75975
KIF7	-2.37
C1QC	4.04533333333333
ZNF783	-0.314
ZNF85	-0.3855
MMP13	0.891
KIAA0329	-0.043375
RTP3	-1.4075
ZBED3	0.33
CLGN	-5.8105
SLC25A37	-0.0311666666666667
hCG_18290	-0.5265
OR5AS1	0.1135
SMARCC2	-0.510083333333333
FAM109A	0.806
CCDC12	0.094
USF2	0.321
DEPDC7	-1.15625
C20orf24	0.0055
JMJD3	-0.01
DSP	0.513785714285714
SLIC1	0.82525
FAM20A	0.9985
IRF2BP2	0.700875
ZNF230	-0.097
MSN	0.337857142857143
SLC9A5	-1.2545
EPDR1	-3.0003
MUSK	0.428
ZNF434	-0.047
SMARCD1	0.0721666666666667
ZFP106	-0.4905
ZNF347	-2.0539
GTF2E1	-0.511
RY1	-0.289666666666667
