Hybridization REF	TCGA-B6-A0I6-01A-11R-A034-07
CHMP7	-1.3335
REM2	0.112
DNHD1	-1.11566666666667
FKBP4	-0.05375
ZNF350	0.793
MGC11102	0.297
BST1	1.94175
KISS1R	0.5775
NCR2	0.5005
DEFB125	3.877
UBE2W	0.556375
KRT15	3.49575
C10orf99	0.3825
SCN11A	-1.72616666666667
GFI1	-2.56025
RDHE2	1.77666666666667
FHL1	-1.37833333333333
OSGEP	0.0815
GATA1	-3.90483333333333
SMC6	-0.4865
TTTY14	-0.771
LPIN3	-0.4745
RPL4	0.2285
RBPMS	-0.0144
PRPF3	0.304833333333333
EMR1	-2.092
SPATA19	-0.93425
XCR1	0.8595
IRX3	1.2353
RBM6	-1.321
KLF4	-0.6754
UNC5CL	-0.988
SEBOX	-1.0445
BTK	-1.65875
KRCC1	1.82375
C6orf27	0.5535
SYTL5	-0.9945
PRND	1.9102
LOC653319	-0.56
PIGL	-1.28775
HUS1	0.7695
SFRS6	-1.64033333333333
C17orf77	0.1645
UIMC1	-0.778166666666667
FXYD2	-1.6187
LOC283152	-0.7195
ZNF667	0.22575
ZCCHC12	-0.513
TFEC	2.340375
ATP7B	-1.4975
POLD2	-0.423833333333333
RG9MTD1	0.3555
ACOT2	-0.787333333333333
HIST1H4I	-0.51075
PPARGC1A	0.1393
ETFA	-1.0904
POLRMT	0.00325
ZNF146	0.722875
MIA2	-1.384
KLHL6	-0.968
HOXB5	-1.262
NENF	1.0475
CUGBP1	-0.21675
PRSS22	1.31383333333333
CASC4	0.731
CUL4B	0.463
CENPJ	-0.9609
PITX1	-0.0976666666666667
FLJ31033	-2.43983333333333
CELSR3	-0.670833333333333
ZNF568	0.18825
ITSN1	-1.39072727272727
EHBP1L1	-0.613166666666667
C19orf2	-0.68725
DCTN1	-0.282
LIN28B	-2.83383333333333
TNKS2	0.055
C1QBP	-1.333125
CADPS2	-1.3255
SRMS	-0.06525
GJA9	-0.0543333333333333
MGC24975	-1.041
TRIM45	-0.149833333333333
TSP50	1.48575
TCP1	-0.4275
TMED7	-0.0554
CMA1	1.532
CENPL	-1.37233333333333
PTCRA	-0.33
FST	-1.47325
VWCE	-2.89925
PAWR	0.41
ABCC12	-0.4046
LDLR	-1.575
ASTN2	-0.3507
LOC441212	0.624375
GPATCH8	0.3005
TANC2	-0.596833333333333
KIF4A	-0.91675
C18orf18	0.73875
PGM1	-0.3875
KIAA0258	1.2875
CPD	-0.579
SNCAIP	-1.1295
DCT	-3.93566666666667
HLA-DOA	2.57018181818182
OR11L1	0.821
UPK1B	-0.353333333333333
DNAJB4	0.00787500000000002
UGT1A8	-0.364666666666667
HIST1H4L	-0.0995
PECR	-1.16216666666667
HSPA2	0.321
WFIKKN1	-1.7385
SERP1	0.540125
SYDE2	-0.62975
TACR2	0.7645
NUP85	0.074
CD177	-0.377166666666667
LGR5	-0.5045
PIGG	-0.527666666666667
PTHR1	-1.6605
RAB5A	0.0852
FLJ13224	0.6655
USP9Y	-2.68416666666667
C7orf53	1.9865
LRP1B	-0.11975
XAF1	0.2515
ABCG8	2.591
ANKDD1A	0.3655
DAND5	0.31
SPAG6	0.33625
LINCR	3.12925
ZDHHC22	-1.0905
CCDC60	null
THOC7	-1.7375
TCTA	-0.0953
OR8K3	0.000499999999999973
NY-REN-7	0.712
B2M	1.053
C6orf141	-2.089625
LPPR4	3.54475
SQLE	-1.38777878078145e-17
SEPHS1	1.091
BTBD14B	0.373928571428571
PLRG1	-0.85075
SPG7	-0.19725
ZNF614	0.0655
PARD6G	1.99483333333333
INPP5B	-0.00150000000000002
GRPEL2	0.19875
PPID	-0.8887
TRIM56	-0.94575
UBE2J1	-0.127
IL20RA	1.61975
LOC387856	0.0565
C1orf107	1.5755
UTS2R	0.6005
C19orf22	-0.75725
SAFB2	-0.937875
KIAA0652	-0.10075
KLRG1	-1.3718
MS4A8B	0.8494
FRAG1	-0.36575
KIAA1546	-0.0185
E2F4	-1.1029
CLEC4M	0.213666666666667
BTBD14A	0.892
KIAA0999	0.1684
GYPA	-4.0295
TAC1	0.790777777777778
TRAIP	-1.09566666666667
KIAA0232	-0.0653
ERCC8	-1.0685
GPX4	0.280375
KIAA0368	-0.428125
GPR157	-1.20416666666667
CTAGE4	-0.1175
C9orf30	-0.25
OR52A1	-0.709
HSP90B3P	-0.9315
ALG9	-0.4443
BTBD10	0.01975
SDK2	0.5515
BAIAP3	-2.08925
RABGGTB	-0.633625
ANKRD40	-1.26016666666667
KRT74	-0.3425
CALCOCO2	-0.486
SNCA	-2.91175
TMSL8	2.12775
C2orf53	0.2895
ESRRB	-0.74825
ARHGAP26	-1.007
TDRD9	-3.00575
HRAS	-0.0333333333333333
KLRC4	-2.038
JAGN1	-1.00066666666667
BSDC1	0.50825
RNF43	-0.0805
NDUFAF1	-0.824
PHF12	-0.30275
OR1L3	0.298
FOLR2	0.942
LYZL6	0.96
tcag7.1260	-1.823
WSB1	-2.14516666666667
PROS1	-1.1908
OSTN	0.6275
PSMB8	-0.6535
SOCS4	-0.402125
DDIT4L	3.691
MAS1	-0.4405
MGC34796	0.291
CSHL1	0.403833333333333
TBCCD1	-0.247833333333333
ZBTB7C	0.0165
AP2S1	0.242375
P15RS	-1.373
VAT1	-0.8993
SHANK3	1.8235
TUFM	-0.550666666666667
THEG	-0.07925
KRT34	-0.893
SGSM3	0.195
TOMM22	-0.591125
SOCS3	0.187833333333333
CPO	0.586
POP4	0.19125
BHLHB3	0.554
MALL	2.04425
OR1B1	0.6585
PARK2	-0.0341666666666667
GPR124	0.753125
LCE1E	-0.243
RUVBL2	-0.73075
CGRRF1	-0.1038
ACPL2	-0.14175
WNT10B	-1.761375
BAIAP2L2	-0.755375
ISCA1	-0.328
C1orf125	0.3845
RPAP1	-1.1075
RAI16	-1.13333333333333
RPL27	-0.221125
NLRP9	0.1105
EPN1	0.109
LOC388610	-1.4775
SLC35A1	-0.1932
GAL	-2.2755
SLC14A2	0.182
RDH11	-1.00916666666667
FAM138F	-0.269
AUH	0.71575
FLJ40243	0.455666666666667
C14orf129	0.406666666666667
MBD2	-0.391
ABHD14B	-1.211125
PIGT	-0.40525
ALS2CR4	0.630125
ALAS1	-0.4276
FOXO1	0.348166666666667
CRLF3	-0.477
C20orf107	-1.455
FARS2	0.062
CCDC28A	1.22
NPHP3	-0.278
OR13F1	0.44
TSEN54	-0.43275
DEFB106B	0.330555555555556
OR8B4	-0.6
STH	-2.99775
ZC3H14	-0.22575
CBX2	0.911
TMEM49	-1.78075
C6orf21	0.5605
FLJ20920	-1.306875
CRTAP	-1.06607142857143
DDX50	-0.14925
STYXL1	-1.05475
BLVRB	-1.325
LOC147650	0.333666666666667
MMP24	-0.64325
GRID1	1.514
BANF1	-0.557
CTAGEP	0.2065
HMBS	-2.5995
SLC25A24	0.313333333333333
C14orf50	0.96425
MRO	0.747
SLC25A15	-0.78975
FAM84B	0.6322
TDP1	-0.504
C16orf78	0.1348
C11orf57	-0.109125
RFK	-0.48675
ZFYVE9	0.069375
STCH	-0.8411
WIBG	-0.74275
LOC283871	-1.418
GBA2	-0.5402
NDUFB3	1.06275
HSD17B13	-1.661
GRIN3A	-0.08025
FMNL1	-1.654
SEPT7	-0.4799
GNLY	2.492
GRAMD1C	0.174333333333333
ZNF165	0.544
USP38	-0.27725
FAM83A	-3.336
C14orf24	0.782083333333333
ARMCX3	0.862
ARHGDIB	0.0573333333333333
AK1	0.7485
KIAA1045	0.639
DNAJB13	-0.391166666666667
NEU2	-0.9055
HIST1H4B	-0.439833333333333
FAM20B	0.1192
HES2	0.0959285714285714
FAM73B	-0.4969
LOC388381	0.45225
INTS7	-0.352636363636364
AMPH	-0.6
ZNF775	-0.247125
UCKL1	-0.723833333333333
C10orf97	0.34575
C1orf161	-0.17825
ALDH1L1	-1.46925
FLJ39378	-0.32175
SLC23A1	-2.206
RBM4B	0.09775
THAP4	-0.763
OGFRL1	1.74425
KIAA0831	-0.31625
PPP1R15A	-0.582166666666667
C1orf96	0.498142857142857
C12orf11	-0.66075
BMF	2.056
MAN1A1	-1.513125
KIAA1600	0.287666666666667
NLGN4X	0.245
ALOX12	-0.969
RB1CC1	0.2791
NEIL2	0.02
EIF4E	-0.527047619047619
ABHD5	-0.593
EXOC4	-0.695833333333333
CIP29	-0.183
BATF2	-1.0495
SLC29A4	0.192
HTR4	0.73775
EMB	-1.912
TRAF6	0.033
LMNB1	-0.814
FAM19A5	-0.648125
SHE	0.7285
PIK3C2B	0.29325
C15orf15	-0.4994
USP15	-0.0143
TCEAL2	2.8585
C5orf39	0.3775
PTGER2	0.00325
SLC31A1	-1.2701875
IFT172	0.00175
ADAM29	0.26675
GFOD1	0.45225
ST7L	0.886833333333333
C15orf26	-2.315
PKN3	-1.21775
CNTD1	0.0296666666666667
COMMD1	0.307125
NTRK2	3.856
FOXN3	0.996875
MFGE8	1.709
PFKFB2	0.554166666666667
TAS2R4	0.06575
ENTHD1	0.351333333333333
PRMT5	-0.83925
MGC16384	-1.331
LOC442229	0.64075
TSKU	-0.520375
KRTCAP3	2.44825
PDLIM1	-0.3805
KCNS2	0.29425
RNF126	0.292166666666667
CEP63	-0.47225
CLIC4	0.844375
hCG_1990170	4.187
ACR	2.9766
KLK7	-0.53725
ALOX5AP	3.343375
RIPK3	1.98
TAS2R9	1.0585
C19orf18	0.8725
BIRC6	-0.303285714285714
ZNF16	1.333
RFT1	-1.04975
SLC8A2	-1.78525
TACC1	0.197375
ITGAD	1.744
SAMHD1	0.25925
SH3PXD2B	1.1107
EPC2	0.09825
C20orf85	-0.168125
ATP13A2	0.0655
KRT4	0.692625
CAPNS1	-1.01775
MDM2	-0.4485
PCDH20	1.353
KCNK9	0.0985
OR2C1	-1.112
KLHDC3	-0.5985
IPPK	0.057
EFHD2	-0.67575
GALR3	0.5825
NBEA	0.1365
ABCA6	0.7224
CLDN3	0.4415
AKT2	-0.179428571428571
EGFR	0.8169
RBM16	0.541375
ZDHHC3	-0.5114
SLC25A4	-0.612666666666667
CYB5B	-0.1615
CPXM1	-0.918
NDRG1	1.38746153846154
FLJ43826	-0.31575
OR5L2	0.306666666666667
FARP2	-0.4376
MRPL46	0.00691666666666667
LDHAL6B	0.2775
MAPKAPK3	-1.1185
NCAM2	-3.40275
PRKD2	-0.279166666666667
ZFP36L1	0.8743
CYSLTR1	-2.0345
OR4C3	0.6175
HIST1H2AJ	0.6605
CCNB2	0.0294444444444444
ZNF10	-0.0255
TMEM175	0.071
FAM134A	-0.310166666666667
TIGD4	-0.183
PCNP	0.0495
MGC39715	-0.26175
LQK1	-2.06225
CREB1	0.4108
TMPRSS3	-0.2975
C4orf32	-1.487625
LAT	-2.06091666666667
KCNA3	-0.36
SKIV2L2	-1.224
ROPN1B	3.77325
tcag7.23	0.00850000000000001
CDT1	0.158125
ZHX2	1.63925
CD28	-2.24525
ZNF624	0.1605
SEPT2	-0.300583333333333
SOHLH2	-1.442125
MCOLN3	-0.566666666666667
UNQ1945	0.1185
MASP2	-0.8465
ZNRF3	-0.6389
GPATCH3	-0.65975
AGL	0.9115
QRICH2	0.476
PSD4	-0.886833333333333
CCNB1IP1	-0.06225
ENPP7	0.37
OBFC1	-0.473
KCNG3	-0.85925
C14orf79	-0.299333333333333
ENPEP	0.6545
SCT	1.394
SKI	0.537625
SEC61G	0.80675
CAPN11	0.941666666666667
ATXN7L3	-1.041
DBNDD1	-0.00366666666666667
FAIM	0.601
ANKRD36	0.986
GABRP	4.89366666666667
TACSTD2	2.5874
EIF3J	-0.62225
PPP2R2A	-0.7175
TEKT4	-1.10716666666667
PVALB	-3.62433333333333
F10	-2.93916666666667
FAM134C	-0.1732
COMP	4.361625
EFCBP1	-1.615625
SCLT1	0.267
TAL1	-1.0877
ACSL1	0.82975
ABCC5	0.129416666666667
ABL1	-0.825666666666667
RBBP7	0.4705
PTPRG	-0.889375
NCOR1	-0.9133
SPINK4	-2.39633333333333
TXNRD1	-0.9043
TNRC15	-0.3725
C9orf138	0.7525
UBE2H	-0.0295
BRDT	-0.4482
C8orf31	-0.13075
CCNE2	0.859272727272727
SLC6A8	-1.647
CALCR	-3.79425
PPP1CB	0.562083333333333
ABHD8	0.1215
ARF5	0.1887
SLC24A4	1.0355
CCT3	-0.30325
ZNF121	0.415125
SLC3A2	-0.8829
OR13A1	-0.28
SLC5A10	-1.26325
RAD50	-0.786875
IER5	-0.1945
MTHFD1L	0.416875
MBTPS2	-0.0565
MVK	-0.5105
NCL	-0.3611
PSMD10	-0.0425
MOBP	1.0165
FLJ32894	-0.269
HRH1	-0.673666666666667
C5orf30	-0.43825
NUDT16L1	-0.6369
RASGRP3	5.50316666666667
PRKRIP1	-0.7272
CCDC75	-0.0905
LOC253970	0.226
KIAA1239	-0.0936666666666667
MED21	0.128
SYT11	0.246833333333333
NTSR2	0.485
EGFL11	-8.198
CXorf59	0.625
OR2A25	-0.799333333333333
SPTBN2	0.8105
LRMP	-1.19933333333333
RNF111	0.7845
PTH	2.1645
LOC619208	0.3775
KIAA0895	0.9765
RANBP5	0.504
P2RY10	-0.11
NME5	-0.312333333333333
DDX21	-0.97075
LRSAM1	-0.962
HDAC11	-0.0758333333333333
VMO1	2.415
NOLA2	-0.769666666666667
ADAR	0.0409166666666667
MTO1	-1.212
SF4	0.386166666666667
P2RX1	0.1195
HBM	0.42125
EN2	0.7835
C14orf172	0.85575
TM9SF2	1.2422
INHBE	-1.4665
TCTE3	0.6785
TOX2	-0.9615
CTAGE3	0.03725
HBB	3.4262
MED15	-0.635
CASR	-0.5095
C6orf66	-0.666833333333333
MTPN	-0.74425
UNC50	0.49425
C21orf33	0.192625
IRF2	0.4945
PGR	-3.98916666666667
GPR84	2.12925
CROCCL1	-0.653
SRPX	-0.82525
BRE	-0.584666666666667
FGF10	1.41725
SDC3	0.236666666666667
ZRSR1	-0.345166666666667
DKFZP434P211	-0.732125
SOX6	-1.772
RPUSD2	-0.32525
C14orf173	-0.0576666666666667
MAPK11	-0.314666666666667
TBC1D22A	0.576
FAM123A	-0.128
COL4A6	-1.88683333333333
TOMM70A	-0.1775
NAB1	1.114
MGC16385	0.7595
TSPAN18	-0.556
MED31	-0.162
PLG	0.00149999999999999
CAPSL	0.399
ZNF532	1.8904
ASB14	-0.46975
CA8	-2.93125
NUDT16P	-0.646666666666667
SLFN11	0.699
LRRIQ2	0.39425
NOL7	-0.194833333333333
BRMS1L	-0.05925
JARID1A	1.2685
PANK2	-0.72775
ICAM3	-2.01275
MDS1	-0.372
TAF8	-0.7255
RNF139	0.71125
ZNF594	-0.3125
ADAM8	2.446
SFTPC	-0.5565
MAN2B2	-0.37575
RGS12	-0.2985625
EIF1AY	-3.9107
LRRIQ1	-2.4194
GPR150	0.7965
CCDC21	-1.0015
PRRG3	0.299
SAA4	-3.27875
RAPGEF5	2.377375
ZCCHC2	1.89125
MGC39372	-0.1695
PPP4R2	-0.466166666666667
CDCA2	-1.577
OR4D5	0.000833333333333316
PTGFRN	0.8516
SIGLEC5	1.812
C19orf61	-0.2105
NMUR2	-0.0235
KIAA1586	-0.258666666666667
DAGLA	-0.8445
CHCHD6	0.1915
GPR32	0.2685
NEUROD6	1.0292
SLC2A4RG	0.158
CA5B	-0.1455
FBXL3	0.82775
MPHOSPH9	-1.738
HMG2L1	0.5695
HCN4	0.282
CEACAM19	0.56525
SH2D4B	0.389833333333333
HFE2	0.263
TGM4	0.418
LYPD2	-0.198
TBC1D15	0.8665
MRPS21	0.159
NONO	-0.5717
CLEC5A	2.303875
ITCH	0.6339
MGAT3	3.31266666666667
MBP	-0.281125
RPP25	0.906
SOSTDC1	2.868
HRC	-1.67925
TRIM48	0.6675
TMEM133	0.34125
ECEL1P2	-0.609666666666667
HOXC11	0.213
DOK5	2.681
HELZ	0.25
LOC348180	1.38777878078145e-17
MGC33894	0.2035
ADRB3	0.474
DMD	0.92625
PTRH2	-0.43375
MPEG1	2.463
NDUFA12	0.478166666666667
KRTAP2-4	0.319454545454545
STAMBPL1	-1.81683333333333
ADCY2	2.42883333333333
UNQ6125	0.439
KLHL20	-0.999666666666667
SRM	-1.32175
OTC	-0.53525
TMIE	0.360166666666667
SNX8	0.114
LIPK	-1.464
CHURC1	-0.399666666666667
KLC2	0.475666666666667
HDAC1	-0.0113333333333333
FAM128A	-0.2555
FNDC3B	0.521
MTCP1	0.3925
WFDC10B	0.0523
PCDHGB3	0.615
ATRNL1	-1.6473
CAV2	1.57025
MED26	0.158166666666667
DUS1L	0.098
CHRM3	-0.92625
NEK9	-0.824
WARS2	0.1275
TBX22	1.398
TOMM40	-0.60475
RP6-213H19.1	1.2605
TUBGCP5	-0.849
IGSF6	4.96175
TPPP	0.01125
UNQ6190	-0.541
GSTM5	0.461
BTD	-1.14816666666667
PDCD1LG2	-0.0754000000000001
SNRPB2	-0.449333333333333
ERICH1	0.36
APOA4	-1.826
HOXA11	-2.3655
NARG1	-0.091375
MKX	-0.721
RAB28	-0.404214285714286
PKP3	0.26725
SH3GL2	2.259
CTSO	1.2255
RPN2	0.2411875
IL28RA	1.112
SFMBT1	0.3925
WDR57	0.024
FER1L3	0.332833333333333
HSF5	0.333
TTC9B	-0.04425
C4BPA	-1.48683333333333
ALB	-4.208
SORBS3	0.7575
UPF2	0.9035
JPH1	-1.2735
AGBL2	-2.78375
DOPEY1	1.007
TERF1	0.10975
KIF22	-0.390666666666667
NINJ1	1.63775
SEC61A2	0.64925
HIST1H1D	-0.683
SFXN4	-0.919625
UCP3	0.3144
ZNF703	0.548833333333333
MYL6B	-0.496
TREM1	2.624
OR52E6	0.6945
CKMT2	1.3225
HLA-C	0.824375
SLC13A3	-0.893166666666667
TIMP4	-3.70475
SLIT2	2.1635
RSF1	0.317666666666667
LONRF1	-0.212642857142857
MON1A	-0.243166666666667
CACNG6	-1.71533333333333
DPPA4	-5.141
ZSWIM3	-0.003
ZNF804A	-0.801
CCIN	1.3765
SLC25A31	1.01
KCNMB4	-0.03825
RABL5	-0.0445
GALNS	0.1591
STX6	0.223375
HIST1H1C	-2.18016666666667
CIDEB	1.058375
CASP4	0.724
PDK3	0.8993
KCNJ11	0.013
TPR	-0.1435
ZSCAN20	0.065
MTX2	-0.852
HIST1H2BH	0.3765
LOC283767	0.62975
LYRM7	-0.934944444444445
BRD3	0.120833333333333
HIST1H2BO	-0.22225
MAGEB10	-1.195
SLC45A1	0.12625
SERPINA3	-0.4522
KIAA0143	0.399
KCNJ16	3.3708
KRT79	-1.01325
FABP2	0.09125
NUT	-0.111333333333333
ZNF57	0.676
FBXL4	-0.3415
CLEC9A	1.6965
UGT8	2.27633333333333
BMP2K	0.4415
MAPK4	0.48875
SLC25A23	-0.5825
HINT1	-0.3816
KRTAP13-1	0.615
SFXN5	-0.4062
CHCHD2	0.398916666666667
FAM3D	3.402
NDP	-2.022375
RHOBTB1	-0.375333333333333
SLC4A4	-1.408875
RPL38	-0.049
HTF9C	-0.903166666666667
AP2A2	0.130875
ZBTB46	-0.8375
MAP7D1	0.182375
AOX1	-1.22466666666667
CYR61	2.00875
DTNA	-0.870714285714286
JRKL	1.64525
TMOD3	-0.3935
EEA1	0.0913
ADCK5	1.00625
IL1R1	0.767333333333333
KLK3	0.455285714285714
HRSP12	0.4245
KTN1	0.0485
LOH11CR2A	-1.2686
RELL2	-1.31725
MAB21L1	2.167
C20orf59	-0.855833333333333
PHKB	-0.73575
ADAM2	-1.5514
TBC1D8B	1.86766666666667
FAM13A1	-1.151875
LAPTM4B	0.5895
LCN8	-0.0935
TMEM147	0.098
SYT4	0.14275
XPO7	-0.612
C9orf62	1.67275
GPR75	-0.145
TRIM5	-1.079375
APOC1	-0.367333333333333
RNASE4	-1.2005
PARD6B	-2.07025
ARID1A	0.30425
TPD52L3	0.507714285714286
RRAGB	0.242
RCN2	0.344
HIST2H2BE	0.049125
STARD7	-0.06075
SHMT2	-1.31375
KIAA1751	-0.0414
MLYCD	-0.45425
LOC162632	-0.3609
UQCRH	-0.43825
RP11-217H1.1	0.442875
SDHA	-0.706
NCLN	-0.3811
ZNF17	0.230666666666667
RCBTB2	-1.80675
VEGFB	-0.0655
RP4-747L4.3	1.295
COLQ	-0.2312
MPN2	-1.48266666666667
DRG2	-1.27425
KLRB1	3.5995
ALPK2	-2.26475
DNASE2B	0.4365
FLJ23834	-1.08433333333333
AXUD1	-0.297
SAFB	-0.4566
NSUN4	-0.008
RFX2	-0.0338333333333333
MAPK8IP1	-0.976
FANCD2	-0.861428571428571
ANKZF1	-1.15133333333333
C19orf50	-0.5845
DUSP8	1.300625
SENP5	0.324625
NFKBIL2	-0.297
LBR	-0.459375
IGFL1	2.0525
LZTS2	-0.182625
IL2RG	-0.762125
CCDC51	-1.2175
KLF3	0.73725
ANKRD37	0.4595
KCTD14	0.905166666666667
FZR1	0.26825
SLC44A4	-1.706
ESPL1	-0.782625
GMPR2	-0.488
TBC1D19	0.3355
ERGIC1	-0.526518518518519
ERBB4	-1.5177
TSPAN32	-0.0928333333333334
MAP4	-0.59825
GPHN	-0.77725
SLC6A2	1.2835
HIVEP1	0.372
DFFB	-0.1257
EIF4EBP2	0.52575
DMRT1	4.7725
HSPB6	-0.30325
IER2	0.14
AIFM1	-0.2695
WWC2	-0.483416666666667
MRPL4	-0.39325
FLJ21062	-0.424666666666667
EPB41L4A	0.328181818181818
SH2D6	-0.1275
TAF4B	0.58925
GAL3ST3	-0.2795
MALT1	0.261166666666667
RTDR1	1.87225
ARVCF	-0.288
MEX3B	1.26766666666667
FBXO16	-0.664
KIF7	-0.623
C1QC	3.57616666666667
ZNF783	0.1215
ZNF85	-0.2775
MMP13	4.2845
KIAA0329	0.908285714285714
RTP3	0.077
ZBED3	-0.50125
CLGN	-2.39325
SLC25A37	-0.718
hCG_18290	-0.18725
OR5AS1	0.0595
SMARCC2	-0.283666666666667
FAM109A	-0.455333333333333
CCDC12	-0.6505
USF2	-0.1112
DEPDC7	0.17325
C20orf24	0.0928333333333333
JMJD3	0.3135
DSP	0.9085
SLIC1	-0.263625
FAM20A	0.121625
IRF2BP2	0.84825
ZNF230	0.0275
MSN	0.465642857142857
SLC9A5	-1.0275
EPDR1	-2.0785
MUSK	0.1662
