Hybridization REF	TCGA-AO-A03U-01B-21R-A10J-07
CRYGC	-0.6615
POU3F1	1.1789
C20orf32	-1.2755
CCDC95	-0.592
HIGD1B	4.14925
USP6NL	-0.107125
ABCD4	1.26666666666667
DIMT1L	-0.1425
TEK	1.14
SLC25A46	-0.21025
LARP7	-2.0139
CD160	1.91933333333333
MT1JP	-0.1265
PHF20	-0.5040625
CPNE4	-1.08275
GTPBP1	-0.0976428571428571
RAB33B	0.595166666666667
ALDOC	-2.37575
ZNF212	-0.1445
NUDT1	-0.490166666666667
RFPL2	-1.01725
ZNF83	-0.623666666666667
GDPD5	-1.643
PDCD4	2.43255
CEP350	-0.54525
OR10A2	0.6985
CST7	2.0495
CIAO1	-0.98375
SELL	0.430625
OR8J3	-0.2055
LTBP4	-0.1675
SIRT6	0.141
CCL19	3.87975
PPIL1	-0.9765
GBP7	0.139
STK17A	-0.165
ABR	1.32275
OR9G1	0.1085
FOXE1	-0.627875
CNGA3	-0.08
GML	0.4595
CD38	-1.0015
ZDHHC6	-0.444333333333333
NEFH	-1.44225
CTDSP2	1.09658333333333
PGBD5	1.0115
CCNY	0.151357142857143
RMND5B	-0.00125
ZNF257	-2.0665
FLJ22167	-0.017625
EXOSC7	-0.156
ROR2	0.914
MAOA	-1.413
TNNT3	0.18
GYPC	-0.44275
C7orf33	0.206
PLIN	1.9215
LOC90826	-0.17375
RNF4	-0.3467
F8A1	0.440833333333333
PLEKHG4	-2.74675
GRB2	0.0987
HIST1H2AD	-0.5995
DUS3L	-0.4555
EIF1	0.1985
RP5-1077B9.4	-1.01933333333333
FPGT	0.86625
GDF10	0.527666666666667
COQ9	-0.12575
GCC2	0.315
RARRES3	3.23875
PLXNA1	0.2257
KIAA0100	-0.6777
PMF1	-0.59325
FNDC1	5.45925
HS2ST1	0.450333333333333
CRELD2	1.386
C8G	-1.623
CD82	1.40975
LIM2	0.1705
UNQ6490	-0.16
MMP16	0.32925
DRD3	0.00275
C5orf26	-0.26825
C11orf73	0.04625
PTP4A2	0.0295
OR4M2	0.6205
HPCA	-1.07683333333333
SEC14L1	1.984
CHFR	-0.06425
EMILIN1	0.92075
NDUFS4	-0.83925
COL18A1	0.651625
PDZD3	-0.0989
C9orf16	-0.413166666666667
ERBB2IP	-0.0235
EMX2	2.8625
FUS	-2.01
TF	-3.3011
CLCN4	0.954833333333333
CXorf56	0.553
C11orf72	0.47425
ELAC2	-0.152166666666667
NPR1	-0.883
ASS1	0.236
USP42	-0.581875
POLR2J	-1.0685
SEC23IP	0.0795
UQCRC1	-0.481
LOC729603	-0.18025
C1orf71	-0.700875
POLG	-2.8515
ADAM23	-3.64375
TFR2	-1.32425
RICTOR	-0.9406
MGC39606	1.24625
C19orf55	-0.3415
SNAPC1	-1.44283333333333
GNA11	1.160125
CCDC52	-0.485833333333333
FSIP1	-0.527
UPF3A	-0.338625
IGSF11	-2.49483333333333
LAGE3	-1.015
CHST6	-0.642
UNC13B	0.605875
TTLL4	-0.549375
ZNF687	-0.403625
SDC2	-0.4875
COX7A2	-0.56125
LAMB4	-0.307
FAM24A	0.9925
LRRTM3	-0.4175
GPHB5	0.39925
OR4C13	0.646
EIF3EIP	0.639285714285714
HABP4	-0.4225
TMEM125	4.46125
CNTN2	0.091
ASNSD1	-0.4335
FUT4	1.59725
ACF	-4.17975
LOC158381	0.686
CDH8	0.279
AGPS	-0.167833333333333
C4orf18	1.738
PECI	-0.76525
UNG	-0.87575
GSTP1	-0.107125
DCUN1D5	-1.25783333333333
DKFZP564J0863	-0.626
SLC9A3R1	0.4335
BCDO2	0.990125
CHMP7	-0.0735
REM2	0.2065
DNHD1	-0.411125
FKBP4	-0.9305
ZNF350	1.0405
MGC11102	-0.143875
BST1	1.52925
KISS1R	1.2355
NCR2	0.4685
DEFB125	0.0455
UBE2W	1.109625
KRT15	3.710875
C10orf99	0.3725
SCN11A	0.11625
GFI1	-1.7565
RDHE2	-0.424666666666667
FHL1	-1.77766666666667
OSGEP	0.174
GATA1	-3.9935
SMC6	-1.043
TTTY14	-1.28275
LPIN3	0.27575
RPL4	0.3723
RBPMS	1.3727
PRPF3	-1.4415
EMR1	-1.336
SPATA19	0.09425
XCR1	0.654
IRX3	2.7237
RBM6	-0.89975
KLF4	-1.3506
UNC5CL	-2.2095
SEBOX	0.0665
BTK	0.897
KRCC1	1.23725
C6orf27	0.4505
SYTL5	-0.8125
PRND	1.54025
LOC653319	-1.3725
PIGL	-1.21075
HUS1	-0.0131666666666667
SFRS6	-0.185833333333333
C17orf77	0.298
UIMC1	-0.548333333333333
FXYD2	-2.1853
LOC283152	0.17375
ZNF667	0.20725
ZCCHC12	-0.4105
TFEC	2.8547
ATP7B	-0.442833333333333
POLD2	-1.2205
RG9MTD1	-0.67375
ACOT2	-0.532166666666667
HIST1H4I	-1.571
PPARGC1A	-2.1492
ETFA	-1.1225
POLRMT	-0.32975
ZNF146	-0.2355
MIA2	-0.564
KLHL6	0.382833333333333
HOXB5	0.61975
NENF	0.405666666666667
CUGBP1	0.3985
PRSS22	2.89416666666667
CASC4	1.5417
CUL4B	-0.4267
CENPJ	-1.7814
PITX1	-3.13866666666667
FLJ31033	0.639
CELSR3	-3.20366666666667
ZNF568	0.697
ITSN1	0.351
EHBP1L1	0.390333333333333
C19orf2	-1.09625
DCTN1	0.04975
LIN28B	-3.08016666666667
TNKS2	-0.5365
C1QBP	-0.33025
CADPS2	1.9145
SRMS	0.13525
GJA9	0.254166666666667
MGC24975	-1.33216666666667
TRIM45	-1.77716666666667
TSP50	-0.1555
TCP1	-1.1375
TMED7	1.203
CMA1	0.567
CENPL	-1.532
PTCRA	1.741
FST	-4.18425
VWCE	-2.572
PAWR	-1.2575
ABCC12	0.216666666666667
LDLR	-1.0788
ASTN2	-0.35
LOC441212	-0.83725
GPATCH8	-0.40525
TANC2	-0.789583333333333
KIF4A	-3.387
C18orf18	-1.10525
PGM1	1.7525
KIAA0258	0.6665
CPD	1.165375
SNCAIP	-0.954
DCT	-5.05266666666667
HLA-DOA	3.19127272727273
OR11L1	0.5955
UPK1B	-0.336833333333333
DNAJB4	0.212875
UGT1A8	-0.187
HIST1H4L	-1.612
PECR	-1.19733333333333
HSPA2	0.20075
WFIKKN1	-3.1225
SERP1	1.12575
SYDE2	0.19825
TACR2	0.6055
NUP85	-1.1035
CD177	-0.1405
LGR5	-1.28366666666667
PIGG	0.1505
PTHR1	-1.30416666666667
RAB5A	0.8976
FLJ13224	0.0735
USP9Y	-1.13483333333333
C7orf53	-0.8805
LRP1B	2.19275
XAF1	1.7437
ABCG8	-0.204
ANKDD1A	-0.4555
DAND5	-2.395
SPAG6	1.521
LINCR	0.5345
ZDHHC22	-1.6525
CCDC60	0.439
THOC7	-1.20766666666667
TCTA	1.2754
OR8K3	0.66325
NY-REN-7	-0.352
B2M	2.13866666666667
C6orf141	-3.49325
LPPR4	1.0975
SQLE	-3.86025
SEPHS1	-0.9025
BTBD14B	0.358285714285714
PLRG1	0.1895
SPG7	-0.437
ZNF614	-0.189333333333333
PARD6G	-0.0331666666666667
INPP5B	-0.452
GRPEL2	-0.595375
PPID	-0.6528
TRIM56	0.0375
UBE2J1	0.678
IL20RA	4.5055
LOC387856	-0.18775
C1orf107	0.124
UTS2R	1.275
C19orf22	0.0915
SAFB2	-0.079
KIAA0652	0.611125
KLRG1	-0.442
MS4A8B	0.0441666666666667
FRAG1	-0.172
KIAA1546	0.1755
E2F4	-0.6972
CLEC4M	0.2925
BTBD14A	-0.79525
KIAA0999	1.2014
GYPA	-3.27916666666667
TAC1	0.7706
TRAIP	-2.48116666666667
KIAA0232	0.3319
ERCC8	-1.020625
GPX4	0.3005
KIAA0368	-0.799625
GPR157	-0.9245
CTAGE4	0.6745
C9orf30	-1.3015
OR52A1	0.4005
HSP90B3P	1.0235
ALG9	-0.2886
BTBD10	0.30925
SDK2	0.271
BAIAP3	-1.77175
RABGGTB	-0.826125
ANKRD40	0.0783333333333333
KRT74	0.4505
CALCOCO2	0.634357142857143
SNCA	-1.53075
TMSL8	-5.005
C2orf53	0.1475
ESRRB	-0.182
ARHGAP26	0.51275
TDRD9	-3.1765
HRAS	-0.0308333333333333
KLRC4	-0.7695
JAGN1	0.399666666666667
BSDC1	0.1325
RNF43	0.1689
NDUFAF1	0.2305
PHF12	0.46225
OR1L3	0.38525
FOLR2	2.30133333333333
LYZL6	0.129166666666667
tcag7.1260	-0.4975
WSB1	-2.25583333333333
PROS1	-0.5023
OSTN	1.242
PSMB8	1.48725
SOCS4	0.11475
DDIT4L	2.46425
MAS1	0.1025
MGC34796	1.6245
CSHL1	0.4785
TBCCD1	0.679
ZBTB7C	-0.0445
AP2S1	-0.640375
P15RS	-0.0425
VAT1	-0.9382
SHANK3	0.949666666666667
TUFM	-0.2935
THEG	-0.33175
KRT34	-1.7815
SGSM3	0.681625
TOMM22	-0.180375
SOCS3	1.631
CPO	1.326
POP4	0.32125
BHLHB3	2.719
MALL	4.08025
OR1B1	0.1315
PARK2	0.716666666666667
GPR124	0.455875
LCE1E	0.337
RUVBL2	-0.93925
CGRRF1	0.6026
ACPL2	-0.2105
WNT10B	-2.075375
BAIAP2L2	-2.62125
ISCA1	0.591
C1orf125	-0.047125
RPAP1	-0.796
RAI16	0.818333333333333
RPL27	-0.310125
NLRP9	-0.1335
EPN1	0.3505
LOC388610	-0.828625
SLC35A1	0.6736
GAL	-4.851
SLC14A2	0.58975
RDH11	-0.39
FAM138F	-0.0615
AUH	1.1405
FLJ40243	0.48775
C14orf129	0.344666666666667
MBD2	-0.431333333333333
ABHD14B	0.551375
PIGT	-0.503
ALS2CR4	-0.632875
ALAS1	0.3372
FOXO1	0.794
CRLF3	0.3365
C20orf107	0.332
FARS2	0.74325
CCDC28A	1.32
NPHP3	-1.1005
OR13F1	1.9295
TSEN54	-0.6925
DEFB106B	0.4009
OR8B4	-0.2475
STH	-0.90675
ZC3H14	-0.201625
CBX2	-0.073
TMEM49	-1.09475
C6orf21	0.6315
FLJ20920	0.606125
CRTAP	-0.0797857142857143
DDX50	-0.44
STYXL1	0.19875
BLVRB	-0.485666666666667
LOC147650	0.784833333333333
MMP24	0.30025
GRID1	1.63633333333333
BANF1	-1.06133333333333
CTAGEP	0.80475
HMBS	-2.282
SLC25A24	-0.00416666666666667
C14orf50	0.21475
MRO	0.3475
SLC25A15	-1.32425
FAM84B	1.6049
TDP1	-0.901
C16orf78	0.5796
C11orf57	-0.168625
RFK	-0.164875
ZFYVE9	-0.21175
STCH	-0.5518
WIBG	0.2805
LOC283871	-0.505666666666667
GBA2	-0.109
NDUFB3	-0.19625
HSD17B13	-0.332
GRIN3A	1.15116666666667
FMNL1	0.262
SEPT7	-0.571
GNLY	5.9685
GRAMD1C	0.782833333333333
ZNF165	-0.2725
USP38	0.70125
FAM83A	0.506166666666667
C14orf24	0.06175
ARMCX3	1.14025
ARHGDIB	1.90316666666667
AK1	1.0305
KIAA1045	0.41075
DNAJB13	-0.196833333333333
NEU2	0.6475
HIST1H4B	-1.09066666666667
FAM20B	-0.6318
HES2	0.337642857142857
FAM73B	-0.3365
LOC388381	0.21775
INTS7	-0.966909090909091
AMPH	3.83775
ZNF775	-0.187625
UCKL1	-0.846833333333333
C10orf97	-0.0225
C1orf161	-0.2175
ALDH1L1	1.71375
FLJ39378	0.014375
SLC23A1	-1.9505
RBM4B	-0.1845
THAP4	-0.00516666666666666
OGFRL1	3.112
KIAA0831	0.212875
PPP1R15A	-0.326
C1orf96	0.634857142857143
C12orf11	-1.439
BMF	1.00225
MAN1A1	0.809875
KIAA1600	0.402333333333333
NLGN4X	2.786
ALOX12	-0.966333333333333
RB1CC1	-0.0326
NEIL2	0.3584
EIF4E	0.162454545454545
ABHD5	1.7485
EXOC4	-0.631166666666667
CIP29	0.187833333333333
BATF2	3.68725
SLC29A4	-1.060875
HTR4	0.24125
EMB	-0.3475
TRAF6	0.7065
LMNB1	-3.02475
FAM19A5	-1.182375
SHE	1.76275
PIK3C2B	0.09025
C15orf15	-0.2985
USP15	0.3733
TCEAL2	1.79975
C5orf39	-0.176833333333333
PTGER2	-0.341
SLC31A1	0.09025
IFT172	0.781
ADAM29	0.58875
GFOD1	0.13375
ST7L	0.106333333333333
C15orf26	-3.05825
PKN3	-1.713
CNTD1	0.319333333333333
COMMD1	0.2375
NTRK2	4.40791666666667
FOXN3	0.7215
MFGE8	3.4663
PFKFB2	0.473833333333333
TAS2R4	-0.19825
ENTHD1	-0.246
PRMT5	-0.732875
MGC16384	-1.54525
LOC442229	-0.72375
TSKU	1.412
KRTCAP3	3.719625
PDLIM1	0.2873
KCNS2	0.08625
RNF126	-0.354
CEP63	0.070375
CLIC4	-0.202875
hCG_1990170	0.93725
ACR	0.6063
KLK7	2.0335
ALOX5AP	4.822
RIPK3	4.018
TAS2R9	0.565
C19orf18	1.176
BIRC6	0.078
ZNF16	0.7005
RFT1	-0.56875
SLC8A2	-0.46725
TACC1	0.172875
ITGAD	3.0215
SAMHD1	2.0045
SH3PXD2B	1.3082
EPC2	0.31975
C20orf85	0.283875
ATP13A2	0.4855
KRT4	0.7515
CAPNS1	0.5175
MDM2	-0.67
PCDH20	-0.27025
KCNK9	0.305
OR2C1	0.7965
KLHDC3	-0.693
IPPK	-0.131
EFHD2	0.601375
GALR3	1.13325
NBEA	1.1175
ABCA6	2.5933
CLDN3	1.67233333333333
AKT2	-0.908214285714286
EGFR	0.639
RBM16	-0.122375
ZDHHC3	1.0987
SLC25A4	-0.366166666666667
CYB5B	-0.352666666666667
CPXM1	0.60775
NDRG1	-0.769461538461539
FLJ43826	0.849
OR5L2	0.193
FARP2	0.4455
MRPL46	-0.582833333333333
LDHAL6B	0.0566666666666667
MAPKAPK3	0.309166666666667
NCAM2	-2.67075
PRKD2	0.214666666666667
ZFP36L1	1.2216
CYSLTR1	0.94675
OR4C3	0.458
HIST1H2AJ	0.2525
CCNB2	-3.26533333333333
ZNF10	-0.13925
TMEM175	0.544
FAM134A	0.7245
TIGD4	0.649
PCNP	-0.0755
MGC39715	-0.00699999999999999
LQK1	-2.74275
CREB1	0.878
TMPRSS3	1.27725
C4orf32	0.859
LAT	-1.95808333333333
KCNA3	0.453
SKIV2L2	-0.8615
ROPN1B	1.03275
tcag7.23	-0.003
CDT1	-3.3385
ZHX2	1.05225
CD28	-1.30875
ZNF624	0.268
SEPT2	0.263333333333333
SOHLH2	-1.370875
MCOLN3	-0.335125
UNQ1945	1.2575
MASP2	-0.863
ZNRF3	0.19
GPATCH3	-0.13725
AGL	-0.182
QRICH2	-0.6075
PSD4	0.733
CCNB1IP1	-1.2365
ENPP7	0.56
OBFC1	0.809
KCNG3	-2.22175
C14orf79	0.0210833333333333
ENPEP	1.0245
SCT	1.301
SKI	1.315
SEC61G	-1.05675
CAPN11	-0.05
ATXN7L3	-0.135
DBNDD1	-0.4735
FAIM	0.122
ANKRD36	-0.1345
GABRP	5.75166666666667
TACSTD2	3.232
EIF3J	-0.15
PPP2R2A	-1.148
TEKT4	0.451
PVALB	-3.93383333333333
F10	-3.12633333333333
FAM134C	0.8618
COMP	4.2155
EFCBP1	-2.6835
SCLT1	0.0295
TAL1	-0.4266
ACSL1	2.4035
ABCC5	-0.315333333333333
ABL1	-0.414055555555556
RBBP7	-0.416
PTPRG	-1.103625
NCOR1	-0.00759999999999999
SPINK4	-2.29816666666667
TXNRD1	-1.4546
TNRC15	0.555375
C9orf138	0.548375
UBE2H	0.662666666666667
BRDT	-0.191666666666667
C8orf31	0.1145
CCNE2	-2.64609090909091
SLC6A8	-2.35175
CALCR	-3.3065
PPP1CB	1.86666666666667
ABHD8	1.29575
ARF5	0.0577
SLC24A4	0.982
CCT3	-0.941
ZNF121	-0.1885
SLC3A2	-0.8464
OR13A1	0.504
SLC5A10	-0.285
RAD50	-0.534125
IER5	1.096
MTHFD1L	-1.5105
MBTPS2	0.187
MVK	-0.896
NCL	-0.0473
PSMD10	-0.338
MOBP	0.33125
FLJ32894	-0.327
HRH1	0.748166666666667
C5orf30	-1.37125
NUDT16L1	0.2575
RASGRP3	3.469
PRKRIP1	-0.6698
CCDC75	-0.486
LOC253970	0.39875
KIAA1239	0.2805
MED21	-0.01225
SYT11	0.677583333333334
NTSR2	-0.8045
EGFL11	0.1625
CXorf59	-0.1595
OR2A25	0.30275
SPTBN2	-0.61
LRMP	0.168333333333333
RNF111	0.004
PTH	-0.6895
LOC619208	0.398333333333333
KIAA0895	-0.6395
RANBP5	-0.694125
P2RY10	0.762833333333333
NME5	3.5225
DDX21	-0.8605
LRSAM1	-0.566
HDAC11	0.280166666666667
VMO1	3.19925
NOLA2	-0.8035
ADAR	-0.0211666666666667
MTO1	-1.161
SF4	0.152833333333333
P2RX1	0.338333333333333
HBM	0.33925
EN2	1.0925
C14orf172	0.0275
TM9SF2	1.1452
INHBE	-1.104
TCTE3	0.03275
TOX2	-2.78925
CTAGE3	0.687125
HBB	3.4776
MED15	-0.647333333333333
CASR	0.01475
C6orf66	-1.06216666666667
MTPN	-0.711875
UNC50	0.58425
C21orf33	0.28375
IRF2	1.389625
PGR	-2.0295
GPR84	4.1475
CROCCL1	-2.14775
SRPX	-1.3105
BRE	0.144333333333333
FGF10	-0.33325
SDC3	0.192166666666667
ZRSR1	0.441833333333333
DKFZP434P211	-0.253125
SOX6	-0.0275
RPUSD2	-0.2325
C14orf173	0.374583333333333
MAPK11	-0.783166666666667
TBC1D22A	1.1085
FAM123A	-0.563
COL4A6	-3.10633333333333
TOMM70A	-0.63525
NAB1	0.13225
MGC16385	0.111625
TSPAN18	-0.332166666666667
MED31	-0.41025
PLG	-0.39475
CAPSL	0.3175
ZNF532	1.7486
ASB14	-0.1435
CA8	-1.729
NUDT16P	2.23666666666667
SLFN11	-0.1125
LRRIQ2	-0.481375
NOL7	-0.380833333333333
BRMS1L	-0.334875
JARID1A	-0.185166666666667
PANK2	-0.69225
ICAM3	-0.18325
MDS1	-0.565
TAF8	-0.27775
RNF139	-0.19175
ZNF594	-0.517833333333333
ADAM8	2.629125
SFTPC	0.203375
MAN2B2	1.328375
RGS12	0.5049375
EIF1AY	-4.97158333333333
LRRIQ1	-1.32633333333333
GPR150	1.42
CCDC21	-1.93866666666667
PRRG3	0.71125
SAA4	2.08575
RAPGEF5	0.19925
ZCCHC2	0.0123333333333333
MGC39372	0.1525
PPP4R2	0.0705
CDCA2	-2.58033333333333
OR4D5	1.10083333333333
PTGFRN	2.0127
SIGLEC5	2.97716666666667
C19orf61	0.310666666666667
NMUR2	0.459
KIAA1586	-0.577333333333333
DAGLA	0.9765
CHCHD6	-0.14875
GPR32	0.4925
NEUROD6	0.670666666666667
SLC2A4RG	-0.5668125
CA5B	0.084
FBXL3	1.0355
MPHOSPH9	-1.52
HMG2L1	-0.75175
HCN4	0.982666666666667
CEACAM19	0.53425
SH2D4B	0.448166666666667
HFE2	-0.567
TGM4	0.484
LYPD2	0.0695
TBC1D15	0.0045
MRPS21	-0.3793
NONO	-1.1045
CLEC5A	3.062
ITCH	0.1681
MGAT3	-0.977833333333333
MBP	0.4515
RPP25	-0.62175
SOSTDC1	5.29575
HRC	-1.41475
TRIM48	-0.298
TMEM133	-0.697
ECEL1P2	-0.5925
HOXC11	-0.212
DOK5	4.98375
HELZ	0.510166666666667
LOC348180	-0.60025
MGC33894	0.67875
ADRB3	0.332
DMD	1.3715
PTRH2	-0.72625
MPEG1	3.77566666666667
NDUFA12	-0.542666666666667
KRTAP2-4	0.346333333333333
STAMBPL1	-0.311333333333333
ADCY2	0.707166666666667
UNQ6125	0.4925
KLHL20	-0.0866666666666667
SRM	-1.003
OTC	0.1295
TMIE	0.211333333333333
SNX8	0.48975
LIPK	0.366
CHURC1	-0.581666666666667
KLC2	0.445
HDAC1	-0.493666666666667
FAM128A	-0.877666666666667
FNDC3B	1.5602
MTCP1	-0.0536666666666667
WFDC10B	1.134
PCDHGB3	0.0205
ATRNL1	-1.9967
CAV2	1.14575
MED26	-0.3435
DUS1L	0.34175
CHRM3	-2.147125
NEK9	0.48025
WARS2	-0.09
TBX22	0.403
TOMM40	-1.5775
RP6-213H19.1	-1.6205
TUBGCP5	-0.673
IGSF6	5.82725
TPPP	-0.1365
UNQ6190	0.4725
GSTM5	0.51875
BTD	0.86
PDCD1LG2	0.751166666666667
SNRPB2	-1.01433333333333
ERICH1	0.00750000000000001
APOA4	-1.519
HOXA11	-1.65175
NARG1	-0.66
MKX	-0.80225
RAB28	0.0832142857142857
PKP3	1.379
SH3GL2	-2.78775
CTSO	3.3615
RPN2	0.8751875
IL28RA	0.616
SFMBT1	-0.0375
WDR57	-0.13575
FER1L3	1.22966666666667
HSF5	0.227333333333333
TTC9B	0.97125
C4BPA	2.0695
ALB	-4.12678571428571
SORBS3	0.521875
UPF2	-0.2805
JPH1	0.527
AGBL2	-1.18175
DOPEY1	1.4635
TERF1	-0.525583333333333
KIF22	-1.591
NINJ1	0.42625
SEC61A2	-1.04933333333333
HIST1H1D	-1.66566666666667
SFXN4	-0.502875
UCP3	-0.1889
ZNF703	0.305666666666667
MYL6B	-0.6695
TREM1	1.917
OR52E6	0.612
CKMT2	0.4635
HLA-C	2.5955
SLC13A3	-0.8255
TIMP4	1.85825
SLIT2	4.03025
RSF1	-0.273055555555556
LONRF1	-0.442
MON1A	0.226
CACNG6	-1.8795
DPPA4	-6.289
ZSWIM3	-0.18725
ZNF804A	0.937
CCIN	0.9855
SLC25A31	0.23525
KCNMB4	0.0315
RABL5	-0.0425
GALNS	-0.5211
STX6	0.24125
HIST1H1C	-2.592
CIDEB	0.6235
CASP4	1.462
PDK3	0.6323
KCNJ11	-0.3245
TPR	-0.644875
ZSCAN20	-0.3945
MTX2	-1.038
HIST1H2BH	-1.48875
LOC283767	0.24675
LYRM7	-1.24727777777778
BRD3	-0.549833333333333
HIST1H2BO	-1.646
MAGEB10	-0.069
SLC45A1	0.86425
SERPINA3	4.61725
KIAA0143	0.96
KCNJ16	1.28133333333333
KRT79	1.063
FABP2	-0.19975
NUT	0.057
ZNF57	-0.41425
FBXL4	0.3255
CLEC9A	3.359
UGT8	0.173166666666667
BMP2K	0.1985
MAPK4	-2.196
SLC25A23	-0.8195
HINT1	-0.2783
KRTAP13-1	0.0125
SFXN5	-0.3827
CHCHD2	-0.0935
FAM3D	2.6795
NDP	-2.30975
RHOBTB1	-0.829
SLC4A4	-0.577625
RPL38	-0.24825
HTF9C	-0.366833333333333
AP2A2	0.363875
ZBTB46	-0.136
MAP7D1	0.677875
AOX1	-0.983666666666667
CYR61	0.160416666666667
DTNA	-0.807857142857143
JRKL	0.547
TMOD3	-0.19075
EEA1	-0.0975
ADCK5	-0.31875
IL1R1	2.65766666666667
KLK3	0.468357142857143
HRSP12	-0.71475
KTN1	-0.00975
LOH11CR2A	2.2198
RELL2	-0.942
MAB21L1	1.477
C20orf59	-1.316
PHKB	0.749
ADAM2	-1.7735
TBC1D8B	1.7145
FAM13A1	-0.045125
LAPTM4B	-0.0240833333333333
LCN8	0.2135
TMEM147	0.198
SYT4	0.490666666666667
XPO7	-0.7675
C9orf62	1.546
GPR75	1.0685
TRIM5	0.8615
APOC1	1.99816666666667
RNASE4	0.763333333333333
PARD6B	-2.26325
ARID1A	-0.159416666666667
TPD52L3	0.3724
RRAGB	-0.0391666666666667
RCN2	-0.5725
HIST2H2BE	-1.087375
STARD7	-0.36925
SHMT2	-1.2325
KIAA1751	0.2545
MLYCD	0.66875
LOC162632	-0.6346
UQCRH	-1.772
RP11-217H1.1	1.515875
SDHA	-1.223
NCLN	0.0406
ZNF17	0.315833333333333
RCBTB2	0.3725
VEGFB	0.2519
RP4-747L4.3	1.17625
COLQ	0.3596
MPN2	-0.822666666666667
DRG2	-0.33525
KLRB1	5.32275
ALPK2	-1.676
DNASE2B	0.555
FLJ23834	-0.431
AXUD1	1.09083333333333
SAFB	-0.5348
NSUN4	-0.29075
RFX2	-0.2475
MAPK8IP1	-0.596833333333333
FANCD2	-1.151
ANKZF1	-1.12233333333333
C19orf50	-0.284875
DUSP8	-0.0585
SENP5	-0.735375
NFKBIL2	-0.78925
LBR	-1.15125
IGFL1	0.6425
LZTS2	0.131
IL2RG	0.056
CCDC51	-0.75875
KLF3	0.545875
ANKRD37	-0.744
KCTD14	4.13966666666667
FZR1	0.422
SLC44A4	-1.375
ESPL1	-1.334625
GMPR2	-0.0616
TBC1D19	0.035
ERGIC1	-0.0751851851851852
ERBB4	-0.6282
TSPAN32	1.15375
MAP4	0.264875
GPHN	-0.735
SLC6A2	0.76475
HIVEP1	0.16975
DFFB	-0.4423
EIF4EBP2	0.883875
DMRT1	-0.438
HSPB6	0.005
IER2	1.17183333333333
AIFM1	-0.641
WWC2	0.09
MRPL4	-0.48625
FLJ21062	-0.156166666666667
EPB41L4A	-0.0466666666666665
SH2D6	0.1995
TAF4B	-0.62425
GAL3ST3	0.0925
MALT1	-0.508833333333333
RTDR1	-0.5335
ARVCF	0.400625
MEX3B	-1.5685
FBXO16	-0.05325
KIF7	-0.14625
C1QC	4.0725
ZNF783	-0.934833333333334
ZNF85	-0.90225
MMP13	2.4145
KIAA0329	1.01
RTP3	-0.317
ZBED3	-0.40475
CLGN	-5.896
SLC25A37	1.0125
hCG_18290	0.027
OR5AS1	0.8835
SMARCC2	0.508
FAM109A	-0.0338333333333333
CCDC12	-0.06525
USF2	0.5982
DEPDC7	-1.85675
C20orf24	-0.704
JMJD3	0.169
DSP	-0.213071428571429
SLIC1	0.848125
FAM20A	3.81025
IRF2BP2	-0.071875
ZNF230	0.0365
MSN	0.608214285714286
SLC9A5	-0.575
EPDR1	-1.6591
MUSK	0.0158333333333333
ZNF434	0.1375
SMARCD1	-0.1985
ZFP106	0.30675
ZNF347	0.08
GTF2E1	-0.4715
