Hybridization REF	TCGA-A8-A09W-01A-11R-A00Z-07
CD160	0.3658
MT1JP	-0.585166666666667
PHF20	-0.5640625
CPNE4	-1.3335
GTPBP1	-0.559
RAB33B	1.652
ALDOC	-2.461125
ZNF212	-1.1045
NUDT1	-0.422333333333333
RFPL2	-0.43075
ZNF83	-1.143
GDPD5	0.466
PDCD4	2.3161
CEP350	-0.08825
OR10A2	0.3185
CST7	-0.02
CIAO1	-0.46825
SELL	1.038875
OR8J3	0.549
LTBP4	-0.0858333333333333
SIRT6	0.7005
CCL19	2.6845
PPIL1	-0.0411666666666667
GBP7	1.27433333333333
STK17A	-1.2915
ABR	0.3955
OR9G1	0.6885
FOXE1	-0.08
CNGA3	3.875
GML	0.2755
CD38	-2.28025
ZDHHC6	0.741
NEFH	-2.48425
CTDSP2	0.528083333333333
PGBD5	-0.4795
CCNY	0.157571428571429
RMND5B	0.234166666666667
ZNF257	-0.03525
FLJ22167	-0.633125
EXOSC7	-0.012
ROR2	2.120375
MAOA	1.91225
TNNT3	0.928166666666667
GYPC	-0.884
C7orf33	-0.4695
PLIN	2.10583333333333
LOC90826	-0.5705
RNF4	-0.4806
F8A1	0.336
PLEKHG4	-0.9655
GRB2	0.6222
HIST1H2AD	1.50675
DUS3L	0.279166666666667
EIF1	-0.597333333333333
RP5-1077B9.4	-0.887333333333333
FPGT	1.419
GDF10	1.36116666666667
COQ9	-0.3605
GCC2	-0.462785714285714
RARRES3	3.1735
PLXNA1	-0.8049
KIAA0100	-0.147
PMF1	-0.09775
FNDC1	5.059
HS2ST1	-0.0790833333333334
CRELD2	0.26375
C8G	-1.2065
CD82	1.42225
LIM2	-0.498
UNQ6490	-0.3605
MMP16	-0.36975
DRD3	-0.038
C5orf26	-0.80325
C11orf73	-0.620125
PTP4A2	1.40725
OR4M2	0.4395
HPCA	-0.562833333333333
SEC14L1	-0.379
CHFR	-0.112375
EMILIN1	0.814125
NDUFS4	-0.272
COL18A1	-0.01425
PDZD3	-0.0067
C9orf16	0.618833333333333
ERBB2IP	-0.1665
EMX2	2.594
FUS	-0.842
TF	-3.2138
CLCN4	-0.528333333333333
CXorf56	0.08675
C11orf72	0.57625
ELAC2	-0.369916666666667
NPR1	0.2295
ASS1	-1.04566666666667
USP42	0.44775
POLR2J	-1.1735
SEC23IP	1.17233333333333
UQCRC1	0.964
LOC729603	0.3475
C1orf71	-0.776875
POLG	-2.1255
ADAM23	-2.722
TFR2	-0.1275
RICTOR	-1.6468
MGC39606	0.3255
C19orf55	-0.047
SNAPC1	-1.63016666666667
GNA11	1.216875
CCDC52	0.731333333333333
FSIP1	2.008
UPF3A	-0.69775
IGSF11	-1.808
LAGE3	1.7635
CHST6	-1.496
UNC13B	3.09525
TTLL4	0.168375
ZNF687	0.661
SDC2	-0.9528
COX7A2	-0.19225
LAMB4	0.396
FAM24A	-0.2335
LRRTM3	-1.5815
GPHB5	0.41175
OR4C13	0.16
EIF3EIP	-0.4505
HABP4	-0.5985
TMEM125	3.62575
CNTN2	0.224
ASNSD1	-0.5385
FUT4	0.578375
ACF	-2.3475
LOC158381	-0.4205
CDH8	-0.24525
AGPS	0.282333333333333
C4orf18	2.339875
PECI	0.68525
UNG	0.525625
GSTP1	0.093
DCUN1D5	-1.06366666666667
DKFZP564J0863	0.7575
SLC9A3R1	2.964125
BCDO2	-0.941
CHMP7	0.178125
REM2	0.367
DNHD1	-0.41025
FKBP4	0.318375
ZNF350	2.0085
MGC11102	0.555375
BST1	0.9665
KISS1R	1.2045
NCR2	-1.5995
DEFB125	-0.843
UBE2W	1.96025
KRT15	0.202
C10orf99	0.5955
SCN11A	0.5085
GFI1	-0.991
RDHE2	4.6995
FHL1	-0.940833333333333
OSGEP	-0.6645
GATA1	-2.256
SMC6	-0.99125
TTTY14	-1.209
LPIN3	0.07
RPL4	-0.7252
RBPMS	0.1586
PRPF3	-0.0641666666666667
EMR1	-1.6515
SPATA19	0.15625
XCR1	1.085
IRX3	0.2731
RBM6	-1.17675
KLF4	-0.8291
UNC5CL	-2.361
SEBOX	0.00800000000000001
BTK	-0.2405
KRCC1	-0.16025
C6orf27	0.451
SYTL5	-0.755
PRND	2.80025
LOC653319	-1.5975
PIGL	-0.786875
HUS1	-0.697333333333333
SFRS6	-0.678
C17orf77	0.5535
UIMC1	-1.55333333333333
FXYD2	-1.4145
LOC283152	0.15225
ZNF667	-1.72075
ZCCHC12	-0.30075
TFEC	1.9107
ATP7B	0.812833333333333
POLD2	-0.465
RG9MTD1	0.35825
ACOT2	0.686
HIST1H4I	-0.3805
PPARGC1A	-2.2472
ETFA	-1.5098
POLRMT	-0.004
ZNF146	-0.472
MIA2	-0.612
KLHL6	-1.45016666666667
HOXB5	1.336625
NENF	1.29283333333333
CUGBP1	0.881
PRSS22	1.08433333333333
CASC4	0.2821
CUL4B	0.3062
CENPJ	-1.7222
PITX1	-0.367
FLJ31033	-0.140666666666667
CELSR3	-0.00133333333333333
ZNF568	0.18325
ITSN1	-0.0658333333333333
EHBP1L1	-0.176333333333333
C19orf2	-0.7345
DCTN1	0.2545
LIN28B	-2.26166666666667
TNKS2	-0.72175
C1QBP	-0.389875
CADPS2	0.943
SRMS	0.244
GJA9	0.4665
MGC24975	-0.519666666666667
TRIM45	-0.778666666666667
TSP50	0.284
TCP1	-0.9135
TMED7	0.4444
CMA1	0.7755
CENPL	0.506666666666667
PTCRA	0.3315
FST	-3.751
VWCE	-3.45025
PAWR	-0.7375
ABCC12	2.5335
LDLR	0.0368
ASTN2	1.2425
LOC441212	-0.838
GPATCH8	-0.0235
TANC2	-0.22825
KIF4A	-0.25775
C18orf18	-1.4505
PGM1	-0.2025
KIAA0258	0.1255
CPD	1.53225
SNCAIP	-1.32725
DCT	-3.20616666666667
HLA-DOA	2.39309090909091
OR11L1	0.4755
UPK1B	-0.0663333333333333
DNAJB4	-0.72925
UGT1A8	0.326
HIST1H4L	-0.127
PECR	-0.187666666666667
HSPA2	2.36075
WFIKKN1	-2.7685
SERP1	1.413875
SYDE2	0.0415
TACR2	0.983
NUP85	0.6345
CD177	-0.0151666666666667
LGR5	-1.3365
PIGG	-0.352083333333333
PTHR1	-1.429
RAB5A	-0.3035
FLJ13224	-0.1195
USP9Y	-1.184
C7orf53	-2.1165
LRP1B	-0.5345
XAF1	1.1094
ABCG8	0.239
ANKDD1A	-0.564333333333333
DAND5	-1.5195
SPAG6	4.41633333333333
LINCR	2.19175
ZDHHC22	-1.17675
CCDC60	0.441
THOC7	-1.32733333333333
TCTA	1.2488
OR8K3	0.419
NY-REN-7	-0.6495
B2M	1.304
C6orf141	-1.755
LPPR4	1.6215
SQLE	0.983
SEPHS1	-0.0625
BTBD14B	0.615571428571429
PLRG1	-0.566
SPG7	-0.6476875
ZNF614	-0.101333333333333
PARD6G	0.673333333333333
INPP5B	-0.3017
GRPEL2	0.261125
PPID	-1.0739
TRIM56	-0.82475
UBE2J1	-0.870875
IL20RA	4.18725
LOC387856	0.3305
C1orf107	0.553
UTS2R	1.0715
C19orf22	-0.243
SAFB2	0.087
KIAA0652	0.67425
KLRG1	0.0805
MS4A8B	0.949666666666667
FRAG1	0.58525
KIAA1546	-0.18775
E2F4	-0.9852
CLEC4M	0.296166666666667
BTBD14A	0.78875
KIAA0999	-0.1073
GYPA	-2.646
TAC1	0.8858
TRAIP	-0.973
KIAA0232	0.7488
ERCC8	-0.814375
GPX4	0.06675
KIAA0368	-0.149375
GPR157	-0.789833333333333
CTAGE4	0.137
C9orf30	-0.884333333333333
OR52A1	-0.1445
HSP90B3P	-0.5465
ALG9	0.0303
BTBD10	0.6675
SDK2	0.32775
BAIAP3	0.839
RABGGTB	-0.7575
ANKRD40	1.06616666666667
KRT74	0.634
CALCOCO2	0.997642857142857
SNCA	-2.6535
TMSL8	-1.7525
C2orf53	-1.6735
ESRRB	0.1095
ARHGAP26	-1.42325
TDRD9	-2.1685
HRAS	1.15266666666667
KLRC4	-2.014
JAGN1	0.321
BSDC1	0.13425
RNF43	0.6934
NDUFAF1	-0.4175
PHF12	0.27975
OR1L3	0.502
FOLR2	1.66425
LYZL6	0.410666666666667
tcag7.1260	-1.327
WSB1	-1.8395
PROS1	-1.3198
OSTN	0.6535
PSMB8	1.04325
SOCS4	-0.25775
DDIT4L	2.09025
MAS1	0.0425
MGC34796	1.833
CSHL1	0.306333333333333
TBCCD1	-0.000333333333333334
ZBTB7C	0.279
AP2S1	-0.405
P15RS	-0.544
VAT1	-0.4725
SHANK3	0.691333333333333
TUFM	0.254166666666667
THEG	-0.0675
KRT34	-1.568
SGSM3	0.564875
TOMM22	-0.887625
SOCS3	-0.0151666666666667
CPO	-0.4435
POP4	0.374
BHLHB3	0.16775
MALL	1.38125
OR1B1	0.534
PARK2	0.298833333333333
GPR124	0.0505
LCE1E	-0.014
RUVBL2	0.1135
CGRRF1	0.5318
ACPL2	0.2
WNT10B	-1.865125
BAIAP2L2	-1.642375
ISCA1	0.3755
C1orf125	2.468875
RPAP1	-1.18575
RAI16	0.2175
RPL27	-0.436125
NLRP9	0.123
EPN1	0.614
LOC388610	-1.93425
SLC35A1	0.4732
GAL	-3.44625
SLC14A2	0.11575
RDH11	-0.210833333333333
FAM138F	-0.0285
AUH	-0.4445
FLJ40243	0.32875
C14orf129	0.2695
MBD2	-0.323166666666667
ABHD14B	0.9285
PIGT	-0.48375
ALS2CR4	-0.992
ALAS1	0.6285
FOXO1	-0.0186666666666667
CRLF3	-0.6655
C20orf107	0.278
FARS2	1.24725
CCDC28A	-0.618
NPHP3	-1.8155
OR13F1	0.3395
TSEN54	1.068
DEFB106B	0.0507
OR8B4	0.7305
STH	-0.4565
ZC3H14	-0.26775
CBX2	-0.604
TMEM49	-0.44275
C6orf21	0.975
FLJ20920	1.24175
CRTAP	0.8125
DDX50	-0.6075
STYXL1	-0.24825
BLVRB	1.98083333333333
LOC147650	-0.915333333333333
MMP24	0.795
GRID1	0.723666666666667
BANF1	-0.315666666666667
CTAGEP	0.5645
HMBS	-2.34325
SLC25A24	-0.241
C14orf50	0.863
MRO	1.70466666666667
SLC25A15	-1.804
FAM84B	1.7654
TDP1	-0.52
C16orf78	-0.3118
C11orf57	0.10125
RFK	-0.3565
ZFYVE9	-0.21375
STCH	-0.58
WIBG	0.46575
LOC283871	0.386333333333333
GBA2	-0.3283
NDUFB3	-0.41825
HSD17B13	-0.292
GRIN3A	0.625
FMNL1	-0.059
SEPT7	-0.5329
GNLY	2.5345
GRAMD1C	-0.0798333333333333
ZNF165	0.181
USP38	0.5915
FAM83A	-1.94733333333333
C14orf24	0.292
ARMCX3	0.4485
ARHGDIB	0.728666666666667
AK1	0.556125
KIAA1045	0.61175
DNAJB13	0.0188333333333333
NEU2	0.346
HIST1H4B	-0.100333333333333
FAM20B	0.802
HES2	0.345857142857143
FAM73B	0.2425
LOC388381	-0.66425
INTS7	0.382909090909091
AMPH	0.6545
ZNF775	-0.198125
UCKL1	-0.6885
C10orf97	-0.711
C1orf161	0.74475
ALDH1L1	-1.26675
FLJ39378	-0.571875
SLC23A1	-0.9155
RBM4B	0.3495
THAP4	0.643833333333333
OGFRL1	-0.05225
KIAA0831	-0.018125
PPP1R15A	-0.912166666666667
C1orf96	0.0652142857142857
C12orf11	-2.44425
BMF	0.847
MAN1A1	0.815375
KIAA1600	0.8075
NLGN4X	-1.91
ALOX12	-0.749666666666667
RB1CC1	-0.4071
NEIL2	0.867
EIF4E	0.294363636363636
ABHD5	0.923
EXOC4	-0.812333333333333
CIP29	0.0191666666666667
BATF2	0.137
SLC29A4	-0.573875
HTR4	0.32275
EMB	1.09625
TRAF6	0.37125
LMNB1	-0.60375
FAM19A5	-0.618375
SHE	2.14
PIK3C2B	1.1625
C15orf15	-0.6604
USP15	-0.4124
TCEAL2	0.82875
C5orf39	-0.275833333333333
PTGER2	0.22925
SLC31A1	0.64525
IFT172	0.405
ADAM29	0.334
GFOD1	0.3925
ST7L	0.2755
C15orf26	-2.20825
PKN3	-0.6765
CNTD1	4.0345
COMMD1	0.021625
NTRK2	1.45108333333333
FOXN3	-0.616875
MFGE8	-0.3695
PFKFB2	0.9325
TAS2R4	-0.621666666666667
ENTHD1	-0.0743333333333333
PRMT5	-0.101125
MGC16384	-1.88275
LOC442229	-0.05275
TSKU	2.734
KRTCAP3	2.992625
PDLIM1	1.9098
KCNS2	0.133
RNF126	-0.302
CEP63	-0.51725
CLIC4	-0.720875
hCG_1990170	-0.8405
ACR	-0.0665
KLK7	0.0935
ALOX5AP	3.357125
RIPK3	2.82625
TAS2R9	0.5405
C19orf18	2.259
BIRC6	-0.263142857142857
ZNF16	1.6095
RFT1	0.24225
SLC8A2	-0.155
TACC1	0.636125
ITGAD	1.039
SAMHD1	1.14825
SH3PXD2B	0.3795
EPC2	-0.34175
C20orf85	0.1745
ATP13A2	0.231333333333333
KRT4	1.694125
CAPNS1	0.535
MDM2	-0.215583333333333
PCDH20	0.9655
KCNK9	0.83
OR2C1	-0.1045
KLHDC3	-0.0765
IPPK	1.1135
EFHD2	-0.367625
GALR3	1.156
NBEA	-0.1365
ABCA6	2.3194
CLDN3	2.16533333333333
AKT2	-0.647285714285714
EGFR	-2.6141
RBM16	-0.125625
ZDHHC3	1.236
SLC25A4	0.166333333333333
CYB5B	-1.43383333333333
CPXM1	-0.5225
NDRG1	-0.731230769230769
FLJ43826	0.29325
OR5L2	0.0705
FARP2	1.1338
MRPL46	-0.797416666666667
LDHAL6B	-0.1488
MAPKAPK3	0.2285
NCAM2	0.01725
PRKD2	0.518833333333333
ZFP36L1	0.2767
CYSLTR1	-0.11825
OR4C3	0.22325
HIST1H2AJ	2.655
CCNB2	-2.00555555555556
ZNF10	-0.8775
TMEM175	0.3135
FAM134A	1.9975
TIGD4	-0.128
PCNP	-0.626
MGC39715	2.90575
LQK1	-2.03075
CREB1	0.4786
TMPRSS3	-0.17275
C4orf32	1.4815
LAT	-1.609
KCNA3	-0.925
SKIV2L2	-1.11325
ROPN1B	-2.7285
tcag7.23	-0.774
CDT1	-1.992875
ZHX2	1.81725
CD28	-2.22075
ZNF624	0.6515
SEPT2	0.422083333333333
SOHLH2	-1.546875
MCOLN3	1.46675
UNQ1945	0.8655
MASP2	-0.5425
ZNRF3	-0.8162
GPATCH3	-0.20125
AGL	-0.2655
QRICH2	0.475
PSD4	0.772166666666667
CCNB1IP1	-1.706
ENPP7	0.147
OBFC1	0.845
KCNG3	0.14675
C14orf79	0.731416666666667
ENPEP	0.3955
SCT	0.7905
SKI	0.61325
SEC61G	-1.66
CAPN11	-0.0605
ATXN7L3	0.12125
DBNDD1	-0.423333333333333
FAIM	0.8
ANKRD36	-1.366
GABRP	-0.567166666666667
TACSTD2	2.61716666666667
EIF3J	-0.881
PPP2R2A	-0.604
TEKT4	-0.673
PVALB	-3.4875
F10	-2.2405
FAM134C	1.1443
COMP	4.819375
EFCBP1	-2.83553333333333
SCLT1	-0.469875
TAL1	-0.7402
ACSL1	-0.8725
ABCC5	0.815833333333333
ABL1	0.086
RBBP7	0.261416666666667
PTPRG	-0.47525
NCOR1	-0.2546
SPINK4	0.0716666666666666
TXNRD1	-0.8076
TNRC15	0.866875
C9orf138	0.1645
UBE2H	0.0245
BRDT	1.6875
C8orf31	-0.22275
CCNE2	0.972181818181818
SLC6A8	-1.79125
CALCR	-3.1245
PPP1CB	0.0870833333333333
ABHD8	0.71275
ARF5	-0.3428
SLC24A4	0.51525
CCT3	0.136
ZNF121	-0.3
SLC3A2	0.0937
OR13A1	0.7245
SLC5A10	0.7645
RAD50	-0.154375
IER5	0.58525
MTHFD1L	-2.119375
MBTPS2	0.312333333333333
MVK	0.186125
NCL	0.4027
PSMD10	-0.3895
MOBP	0.364875
FLJ32894	-0.393
HRH1	-0.591833333333333
C5orf30	0.9935
NUDT16L1	1.0926
RASGRP3	3.37116666666667
PRKRIP1	-1.0802
CCDC75	-0.3955
LOC253970	-0.1965
KIAA1239	0.5275
MED21	-0.281
SYT11	0.2145
NTSR2	0.093
EGFL11	0.403
CXorf59	0.8535
OR2A25	0.07025
SPTBN2	1.443
LRMP	-1.388
RNF111	-0.8375
PTH	-0.0595
LOC619208	0.0773333333333334
KIAA0895	1.0925
RANBP5	-0.825625
P2RY10	0.0393333333333333
NME5	1.5355
DDX21	-0.692
LRSAM1	0.5
HDAC11	2.22066666666667
VMO1	2.47525
NOLA2	-1.104
ADAR	0.872666666666667
MTO1	-1.32983333333333
SF4	0.518666666666667
P2RX1	-0.00833333333333336
HBM	0.60925
EN2	1.214
C14orf172	0.521
TM9SF2	0.7636
INHBE	-0.6835
TCTE3	0.0308333333333333
TOX2	-2.66625
CTAGE3	0.920375
HBB	3.5962
MED15	-1.04516666666667
CASR	0.07725
C6orf66	-1.83283333333333
MTPN	-1.502375
UNC50	-0.46925
C21orf33	0.475125
IRF2	0.703625
PGR	-1.58183333333333
GPR84	1.6445
CROCCL1	-3.89575
SRPX	-1.6725
BRE	-0.1915
FGF10	0.315
SDC3	0.3925
ZRSR1	-0.0886666666666667
DKFZP434P211	-0.531625
SOX6	-0.1585
RPUSD2	0.13325
C14orf173	-0.313916666666667
MAPK11	-0.2835
TBC1D22A	0.223
FAM123A	-0.3795
COL4A6	-2.5375
TOMM70A	0.291
NAB1	-0.31125
MGC16385	-0.5415
TSPAN18	0.200166666666667
MED31	-0.07925
PLG	0.02975
CAPSL	0.5845
ZNF532	-0.2821
ASB14	0.0135
CA8	0.81075
NUDT16P	-0.494833333333333
SLFN11	-1.499
LRRIQ2	0.567125
NOL7	-0.2965
BRMS1L	-0.894
JARID1A	-0.170333333333333
PANK2	-0.86525
ICAM3	0.19
MDS1	-0.2515
TAF8	-0.772
RNF139	1.5165
ZNF594	0.0991666666666667
ADAM8	3.5895
SFTPC	0.33875
MAN2B2	1.46625
RGS12	0.50625
EIF1AY	-4.00266666666667
LRRIQ1	-1.402
GPR150	1.0655
CCDC21	-0.863
PRRG3	0.40875
SAA4	-3.78925
RAPGEF5	1.2365
ZCCHC2	0.58575
MGC39372	0.079
PPP4R2	-0.0985
CDCA2	-0.6395
OR4D5	0.711166666666667
PTGFRN	1.0178
SIGLEC5	1.60433333333333
C19orf61	0.391833333333333
NMUR2	0.1095
KIAA1586	-0.9895
DAGLA	0.820333333333333
CHCHD6	0.05275
GPR32	0.791
NEUROD6	0.0218333333333333
SLC2A4RG	0.3363125
CA5B	0.11675
FBXL3	0.8445
MPHOSPH9	-0.8685
HMG2L1	-0.20075
HCN4	0.4275
CEACAM19	-0.24025
SH2D4B	0.458333333333333
HFE2	0.0315
TGM4	4.07866666666667
LYPD2	0.40725
TBC1D15	0.092
MRPS21	0.2268
NONO	-0.5868
CLEC5A	1.2075
ITCH	-0.4885
MGAT3	-1.15316666666667
MBP	0.318125
RPP25	0.531
SOSTDC1	-2.81975
HRC	-0.64025
TRIM48	0.669
TMEM133	-0.60325
ECEL1P2	-0.823
HOXC11	1.266
DOK5	-0.39025
HELZ	0.212166666666667
LOC348180	-0.25875
MGC33894	0.28275
ADRB3	0.395
DMD	-0.04975
PTRH2	0.53625
MPEG1	2.7225
NDUFA12	-0.0905
KRTAP2-4	0.355416666666667
STAMBPL1	-1.404
ADCY2	0.743666666666667
UNQ6125	0.6005
KLHL20	0.0993333333333333
SRM	-0.80925
OTC	-0.35975
TMIE	0.1975
SNX8	1.807
LIPK	0.0745
CHURC1	-0.423666666666667
KLC2	0.387833333333333
HDAC1	-0.297
FAM128A	-0.760166666666667
FNDC3B	-0.4377
MTCP1	-0.289833333333333
WFDC10B	0.3171
PCDHGB3	0.6995
ATRNL1	0.5863
CAV2	-0.816
MED26	-0.0293333333333333
DUS1L	1.66625
CHRM3	-1.590125
NEK9	0.706
WARS2	0.589
TBX22	0.1655
TOMM40	-0.2865
RP6-213H19.1	-0.0528333333333333
TUBGCP5	-0.1055
IGSF6	4.20775
TPPP	0.138833333333333
UNQ6190	0.137
GSTM5	0.123
BTD	1.48133333333333
PDCD1LG2	0.367333333333333
SNRPB2	-0.23
ERICH1	-0.559875
APOA4	-1.30225
HOXA11	-0.98375
NARG1	-0.003625
MKX	0.00275
RAB28	-0.561214285714286
PKP3	1.0095
SH3GL2	-2.26475
CTSO	2.7375
RPN2	0.422375
IL28RA	0.352
SFMBT1	0.49175
WDR57	-0.00424999999999999
FER1L3	0.215916666666667
HSF5	-0.363
TTC9B	1.069
C4BPA	-3.25316666666667
ALB	-2.72628571428571
SORBS3	0.158875
UPF2	-0.4895
JPH1	0.268
AGBL2	-0.26525
DOPEY1	1.104
TERF1	-0.188916666666667
KIF22	-0.0338333333333333
NINJ1	2.0175
SEC61A2	-0.363916666666666
HIST1H1D	0.65
SFXN4	1.14825
UCP3	0.4125
ZNF703	0.882666666666667
MYL6B	-1.6275
TREM1	2.62575
OR52E6	0.714
CKMT2	1.00225
HLA-C	1.5085
SLC13A3	-2.22033333333333
TIMP4	-1.134
SLIT2	2.7175
RSF1	-0.170833333333333
LONRF1	-0.710142857142857
MON1A	-0.0188333333333333
CACNG6	-1.21
DPPA4	-4.5845
ZSWIM3	-0.05075
ZNF804A	0.0526666666666667
CCIN	0.78075
SLC25A31	-0.00674999999999999
KCNMB4	-0.67675
RABL5	-0.461
GALNS	0.075
STX6	0.95
HIST1H1C	-0.1005
CIDEB	-0.99025
CASP4	0.659166666666667
PDK3	0.2813
KCNJ11	1.877
TPR	-0.54575
ZSCAN20	-0.551
MTX2	-0.67625
HIST1H2BH	0.352
LOC283767	0.82425
LYRM7	-1.59183333333333
BRD3	0.467166666666667
HIST1H2BO	-0.02675
MAGEB10	0.488
SLC45A1	0.165
SERPINA3	2.61075
KIAA0143	1.169
KCNJ16	-0.175833333333333
KRT79	1.69525
FABP2	-0.11275
NUT	-0.08725
ZNF57	-0.0185
FBXL4	-0.662375
CLEC9A	-0.039
UGT8	-0.173166666666667
BMP2K	-0.04825
MAPK4	-3.10975
SLC25A23	-0.3104
HINT1	0.3501
KRTAP13-1	0.121
SFXN5	0.036
CHCHD2	0.347833333333333
FAM3D	2.2975
NDP	-2.186125
RHOBTB1	-0.47
SLC4A4	-0.534875
RPL38	0.879
HTF9C	-0.562333333333333
AP2A2	0.5465
ZBTB46	-0.538
MAP7D1	0.34975
AOX1	-0.210333333333333
CYR61	-1.32383333333333
DTNA	-1.08185714285714
JRKL	0.10175
TMOD3	-1.32225
EEA1	0.5532
ADCK5	0.06075
IL1R1	2.589
KLK3	0.416071428571429
HRSP12	-0.046
KTN1	-0.3815
LOH11CR2A	0.4037
RELL2	-0.66925
MAB21L1	-0.14575
C20orf59	-0.707833333333333
PHKB	-0.97975
ADAM2	-1.3225
TBC1D8B	0.781
FAM13A1	-1.333125
LAPTM4B	1.04008333333333
LCN8	0.526
TMEM147	0.368
SYT4	0.0886666666666667
XPO7	-0.271
C9orf62	1.217
GPR75	-0.955
TRIM5	0.347125
APOC1	0.245333333333333
RNASE4	0.662
PARD6B	-2.110375
ARID1A	-0.266
TPD52L3	0.0901
RRAGB	0.505333333333333
RCN2	-1.54166666666667
HIST2H2BE	1.1475625
STARD7	-0.0385
SHMT2	-0.18225
KIAA1751	-0.106333333333333
MLYCD	0.268625
LOC162632	-0.2226
UQCRH	-1.146
RP11-217H1.1	0.3405625
SDHA	-0.4615
NCLN	0.6111
ZNF17	0.0245
RCBTB2	-1.60125
VEGFB	0.4032
RP4-747L4.3	-0.26125
COLQ	-0.24
MPN2	-0.689166666666667
DRG2	0.0305
KLRB1	4.02875
ALPK2	-1.9235
DNASE2B	2.845
FLJ23834	-0.323333333333333
AXUD1	0.396333333333333
SAFB	-0.316
NSUN4	0.46625
RFX2	0.256666666666667
MAPK8IP1	-0.231833333333333
FANCD2	-0.608071428571429
ANKZF1	-0.596666666666667
C19orf50	-0.262375
DUSP8	0.297
SENP5	-0.156375
NFKBIL2	0.0705
LBR	-0.660125
IGFL1	0.187
LZTS2	-0.102375
IL2RG	-0.511625
CCDC51	0.5175
KLF3	0.040625
ANKRD37	-2.09025
KCTD14	-1.4455
FZR1	0.49125
SLC44A4	4.3643
ESPL1	-0.39125
GMPR2	0.1881
TBC1D19	-1.307
ERGIC1	0.301407407407407
ERBB4	2.0778
TSPAN32	0.436333333333333
MAP4	0.168375
GPHN	-0.18375
SLC6A2	-0.032625
HIVEP1	-0.2545
DFFB	-0.6727
EIF4EBP2	0.797875
DMRT1	-0.02025
HSPB6	0.206
IER2	-0.107
AIFM1	-0.1325
WWC2	-0.0841666666666667
MRPL4	0.27325
FLJ21062	-0.765666666666667
EPB41L4A	0.645333333333334
SH2D6	0.2325
TAF4B	-1.6395
GAL3ST3	-1.208
MALT1	-1.42783333333333
RTDR1	0.61075
ARVCF	-0.556625
MEX3B	-1.68766666666667
FBXO16	1.34525
KIF7	-0.66725
C1QC	4.32616666666667
ZNF783	-1.48783333333333
ZNF85	-0.2205
MMP13	3.818
KIAA0329	0.043
RTP3	-1.088
ZBED3	-0.7575
CLGN	1.75525
SLC25A37	-1.73295833333333
hCG_18290	-0.49525
OR5AS1	-1.033
SMARCC2	0.111666666666667
FAM109A	0.394666666666667
CCDC12	-0.85525
USF2	0.2744
DEPDC7	-2.34475
C20orf24	-0.343666666666667
JMJD3	0.401
DSP	-0.578142857142857
SLIC1	0.461875
FAM20A	0.56075
IRF2BP2	-0.96225
ZNF230	-0.2815
MSN	-0.729071428571429
SLC9A5	-0.702
EPDR1	-0.5159
MUSK	0.1235
ZNF434	-0.476333333333333
SMARCD1	-0.467833333333333
ZFP106	-1.12175
