Hybridization REF	TCGA-A8-A0A1-01A-11R-A00Z-07
CEP350	0.61025
OR10A2	-0.48525
CST7	2.1145
CIAO1	-0.988
SELL	1.194375
OR8J3	-0.1175
LTBP4	-0.158
SIRT6	0.11025
CCL19	4.4465
PPIL1	-1.65533333333333
GBP7	-0.3624
STK17A	-0.8212
ABR	0.8745
OR9G1	0.2805
FOXE1	-0.969875
CNGA3	1.4575
GML	0.247
CD38	-0.81
ZDHHC6	0.377833333333333
NEFH	-1.491
CTDSP2	1.17875
PGBD5	0.00516666666666667
CCNY	0.657357142857143
RMND5B	0.96675
ZNF257	-0.13025
FLJ22167	-0.510125
EXOSC7	-0.425833333333333
ROR2	2.33
MAOA	0.98425
TNNT3	1.93983333333333
GYPC	-0.48025
C7orf33	0.228
PLIN	4.4585
LOC90826	-0.09175
RNF4	-0.195
F8A1	0.570166666666667
PLEKHG4	-1.2025
GRB2	0.70485
HIST1H2AD	-1.15275
DUS3L	-0.628833333333333
EIF1	0.115333333333333
RP5-1077B9.4	-0.7925
FPGT	2.1525
GDF10	1.63466666666667
COQ9	-0.33675
GCC2	0.0427142857142857
RARRES3	2.52825
PLXNA1	-0.342
KIAA0100	0.1166
PMF1	0.3535
FNDC1	5.30625
HS2ST1	-0.55075
CRELD2	0.9935
C8G	-1.5785
CD82	1.0465
LIM2	-1.152
UNQ6490	0.087
MMP16	-0.43525
DRD3	-0.043
C5orf26	-1.4555
C11orf73	-0.93175
PTP4A2	0.975
OR4M2	0.2685
HPCA	-1.1725
SEC14L1	-1.217
CHFR	0.3625
EMILIN1	0.56625
NDUFS4	-0.11525
COL18A1	0.0475
PDZD3	0.0512
C9orf16	-0.358166666666667
ERBB2IP	0.316833333333333
EMX2	3.448
FUS	-0.681
TF	-3.1864
CLCN4	0.265166666666667
CXorf56	-0.0465
C11orf72	0.27
ELAC2	-0.052
NPR1	0.07975
ASS1	-1.92766666666667
USP42	-0.0435
POLR2J	-1.5025
SEC23IP	0.856
UQCRC1	0.168
LOC729603	0.1595
C1orf71	0.026625
POLG	-2.008
ADAM23	-3.003
TFR2	-1.6075
RICTOR	-0.9384
MGC39606	0.49475
C19orf55	0.0224999999999999
SNAPC1	-2.12166666666667
GNA11	0.907625
CCDC52	1.206
FSIP1	4.4555
UPF3A	-0.383875
IGSF11	-1.72133333333333
LAGE3	0.264
CHST6	-0.4575
UNC13B	0.952625
TTLL4	-0.577
ZNF687	0.6295
SDC2	-0.1124
COX7A2	-0.43725
LAMB4	-0.896
FAM24A	0.0255
LRRTM3	-0.746
GPHB5	-0.0325
OR4C13	-0.1105
EIF3EIP	0.201285714285714
HABP4	0.0105
TMEM125	3.44325
CNTN2	0.213
ASNSD1	-0.3685
FUT4	0.405375
ACF	-3.499
LOC158381	0.5815
CDH8	-0.69075
AGPS	-1.03916666666667
C4orf18	4.507875
PECI	-0.00691666666666666
UNG	-0.36625
GSTP1	-1.230625
DCUN1D5	-1.4345
DKFZP564J0863	-0.91575
SLC9A3R1	1.3395
BCDO2	0.341
CHMP7	0.475125
REM2	0.692
DNHD1	-0.6155
FKBP4	-0.517
ZNF350	1.854
MGC11102	-0.061375
BST1	1.548
KISS1R	0.2965
NCR2	-0.105
DEFB125	0.5485
UBE2W	1.107
KRT15	-1.533
C10orf99	0.114
SCN11A	-0.077375
GFI1	-1.50775
RDHE2	3.25116666666667
FHL1	0.823666666666667
OSGEP	-0.14
GATA1	-3.4235
SMC6	-0.57575
TTTY14	-0.648
LPIN3	-0.1685
RPL4	-0.1489
RBPMS	0.6688
PRPF3	-0.2515
EMR1	-1.9625
SPATA19	0.37
XCR1	0.1105
IRX3	0.902
RBM6	0.099
KLF4	0.987
UNC5CL	-2.134
SEBOX	0.159
BTK	0.89925
KRCC1	0.07825
C6orf27	0.665
SYTL5	-0.392
PRND	1.869875
LOC653319	-1.568
PIGL	-1.24075
HUS1	-0.3545
SFRS6	0.936416666666667
C17orf77	0.2505
UIMC1	-0.611166666666667
FXYD2	-1.1478
LOC283152	1.03425
ZNF667	-1.378
ZCCHC12	-1.242
TFEC	4.4536
ATP7B	1.09216666666667
POLD2	-0.558666666666667
RG9MTD1	-0.27125
ACOT2	0.414666666666667
HIST1H4I	-1.509
PPARGC1A	-2.2943
ETFA	-1.4537
POLRMT	-0.24175
ZNF146	-0.297875
MIA2	-1.597
KLHL6	0.927833333333334
HOXB5	-0.584625
NENF	0.458333333333333
CUGBP1	0.20925
PRSS22	0.687666666666667
CASC4	0.9562
CUL4B	0.3294
CENPJ	-1.3768
PITX1	-0.293666666666667
FLJ31033	1.14366666666667
CELSR3	-0.4875
ZNF568	0.4955
ITSN1	-0.17775
EHBP1L1	-0.289
C19orf2	-0.40225
DCTN1	0.48
LIN28B	-3.84
TNKS2	-0.17425
C1QBP	-0.132375
CADPS2	1.9045
SRMS	0.54175
GJA9	0.323833333333333
MGC24975	-1.10833333333333
TRIM45	1.1635
TSP50	-0.41725
TCP1	-1.131
TMED7	0.5145
CMA1	0.448
CENPL	-0.834333333333333
PTCRA	0.3425
FST	-1.7325
VWCE	-3.7275
PAWR	-0.83325
ABCC12	1.25316666666667
LDLR	-1.1844
ASTN2	1.1878
LOC441212	-1.294
GPATCH8	-0.0595
TANC2	-0.344
KIF4A	-1.547
C18orf18	-0.775
PGM1	-1.27125
KIAA0258	0.72975
CPD	0.772375
SNCAIP	-1.16775
DCT	-4.12166666666667
HLA-DOA	3.71895454545455
OR11L1	0.4395
UPK1B	0.103
DNAJB4	-0.673625
UGT1A8	0.4205
HIST1H4L	-1.511
PECR	-1.17883333333333
HSPA2	2.7545
WFIKKN1	-2.823
SERP1	1.2
SYDE2	0.30525
TACR2	0.4385
NUP85	-0.4015
CD177	1.82816666666667
LGR5	-2.19533333333333
PIGG	0.234083333333333
PTHR1	-0.593666666666667
RAB5A	0.0676
FLJ13224	-0.1935
USP9Y	-1.93175
C7orf53	-2.0025
LRP1B	-0.252
XAF1	2.0605
ABCG8	-0.453
ANKDD1A	-0.371333333333333
DAND5	-1.66
SPAG6	0.221
LINCR	3.008
ZDHHC22	-1.429125
CCDC60	-0.558
THOC7	-1.23416666666667
TCTA	1.0207
OR8K3	0.00799999999999999
NY-REN-7	-0.683
B2M	2.58983333333333
C6orf141	-1.676625
LPPR4	1.328
SQLE	-2.278625
SEPHS1	-0.51275
BTBD14B	0.0682142857142857
PLRG1	-0.35725
SPG7	-0.0953125
ZNF614	-0.155166666666667
PARD6G	0.0986666666666666
INPP5B	0.1748
GRPEL2	-0.6635
PPID	-0.3017
TRIM56	-0.55175
UBE2J1	-0.239125
IL20RA	3.454
LOC387856	0.5495
C1orf107	0.879833333333333
UTS2R	0.28775
C19orf22	-0.119
SAFB2	-0.247875
KIAA0652	0.126875
KLRG1	-0.0955
MS4A8B	0.933
FRAG1	0.49125
KIAA1546	0.4265
E2F4	-1.1076
CLEC4M	0.276333333333333
BTBD14A	-0.9135
KIAA0999	1.1211
GYPA	-4.22883333333333
TAC1	0.2564
TRAIP	-1.09366666666667
KIAA0232	1.1669
ERCC8	-0.728
GPX4	0.51
KIAA0368	-0.194625
GPR157	-0.216
CTAGE4	0.436
C9orf30	-1.76183333333333
OR52A1	0.0445
HSP90B3P	-0.141
ALG9	-0.652
BTBD10	0.83625
SDK2	-0.3375
BAIAP3	-0.22175
RABGGTB	-0.69175
ANKRD40	0.0203333333333333
KRT74	0.834
CALCOCO2	0.911785714285714
SNCA	-2.6635
TMSL8	-4.26
C2orf53	-0.947
ESRRB	-0.198
ARHGAP26	0.79675
TDRD9	-1.88125
HRAS	-0.291
KLRC4	-2.713
JAGN1	-0.335166666666667
BSDC1	0.58375
RNF43	0.4386
NDUFAF1	1.021
PHF12	0.6365
OR1L3	0.4235
FOLR2	1.96083333333333
LYZL6	-0.0321666666666666
tcag7.1260	-0.8
WSB1	-1.32333333333333
PROS1	-1.0509
OSTN	0.6205
PSMB8	0.84625
SOCS4	0.033375
DDIT4L	3.34875
MAS1	-0.2765
MGC34796	1.3285
CSHL1	0.463
TBCCD1	0.552833333333333
ZBTB7C	0.1815
AP2S1	-0.987375
P15RS	0.1097
VAT1	-0.3298
SHANK3	0.8895
TUFM	0.279666666666667
THEG	-0.428
KRT34	-1.7605
SGSM3	0.519875
TOMM22	-0.570625
SOCS3	0.796
CPO	1.019
POP4	0.52825
BHLHB3	2.169
MALL	0.80375
OR1B1	-0.065
PARK2	1.0535
GPR124	0.412125
LCE1E	-0.3055
RUVBL2	-0.25875
CGRRF1	1.0845
ACPL2	0.394
WNT10B	-1.889125
BAIAP2L2	-2.321625
ISCA1	0.4585
C1orf125	1.43275
RPAP1	-0.74675
RAI16	0.323
RPL27	-0.865
NLRP9	0.5745
EPN1	0.198
LOC388610	-2.98025
SLC35A1	0.7991
GAL	-3.4535
SLC14A2	0.2275
RDH11	-0.608666666666667
FAM138F	-0.6725
AUH	0.42925
FLJ40243	0.2455
C14orf129	0.530333333333333
MBD2	-0.258833333333333
ABHD14B	0.0705
PIGT	0.506
ALS2CR4	-0.4975
ALAS1	1.1229
FOXO1	1.60266666666667
CRLF3	-0.5865
C20orf107	-0.185
FARS2	1.04625
CCDC28A	0.942
NPHP3	-0.02425
OR13F1	0.505
TSEN54	-0.4785
DEFB106B	0.2309
OR8B4	0.466
STH	2.85575
ZC3H14	-0.0555
CBX2	0.1185
TMEM49	-0.6275
C6orf21	0.5415
FLJ20920	0.554375
CRTAP	0.341214285714286
DDX50	0.01075
STYXL1	0.144
BLVRB	-0.171166666666667
LOC147650	-0.235333333333333
MMP24	-0.3605
GRID1	0.859666666666667
BANF1	-0.157833333333333
CTAGEP	0.18675
HMBS	-2.41225
SLC25A24	-0.0761666666666667
C14orf50	1.6615
MRO	0.339666666666667
SLC25A15	-0.81775
FAM84B	1.3549
TDP1	-1.071
C16orf78	0.0356666666666667
C11orf57	-0.500625
RFK	-0.869375
ZFYVE9	-1.33875
STCH	-0.4035
WIBG	0.6675
LOC283871	-0.609333333333333
GBA2	-0.2297
NDUFB3	-0.7235
HSD17B13	0.407
GRIN3A	2.49966666666667
FMNL1	0.0813333333333333
SEPT7	-0.6085
GNLY	2.8535
GRAMD1C	0.0235
ZNF165	-0.29725
USP38	0.34875
FAM83A	-3.50183333333333
C14orf24	0.155833333333333
ARMCX3	1.703125
ARHGDIB	1.93733333333333
AK1	0.147625
KIAA1045	0.46
DNAJB13	-0.0423333333333333
NEU2	-0.153
HIST1H4B	-1.62233333333333
FAM20B	-0.0595
HES2	0.421071428571429
FAM73B	-0.2562
LOC388381	0.23925
INTS7	0.396909090909091
AMPH	2.19675
ZNF775	-0.43575
UCKL1	-0.582333333333333
C10orf97	0.41275
C1orf161	-0.167
ALDH1L1	0.96075
FLJ39378	-0.601625
SLC23A1	-2.5745
RBM4B	0.75875
THAP4	0.0428333333333333
OGFRL1	0.536
KIAA0831	0.711625
PPP1R15A	0.346
C1orf96	-0.201642857142857
C12orf11	-1.8745
BMF	1.19025
MAN1A1	-1.060625
KIAA1600	0.499333333333333
NLGN4X	-0.598
ALOX12	-1.20616666666667
RB1CC1	0.1336
NEIL2	0.6019
EIF4E	-0.00890909090909091
ABHD5	-0.41875
EXOC4	-0.406166666666667
CIP29	-0.214333333333333
BATF2	0.5345
SLC29A4	-0.512
HTR4	0.51275
EMB	-0.2235
TRAF6	0.99425
LMNB1	-4.0215
FAM19A5	-0.85825
SHE	2.218
PIK3C2B	1.0665
C15orf15	-0.2463
USP15	-0.1849
TCEAL2	1.52925
C5orf39	-0.619666666666667
PTGER2	-0.08375
SLC31A1	-0.3169375
IFT172	0.4415
ADAM29	0.47325
GFOD1	0.8585
ST7L	0.899333333333333
C15orf26	-3.3985
PKN3	-1.37175
CNTD1	3.53
COMMD1	0.35775
NTRK2	2.74258333333333
FOXN3	0.6795
MFGE8	-0.7076
PFKFB2	0.8505
TAS2R4	0.05975
ENTHD1	2.53616666666667
PRMT5	-0.231375
MGC16384	-0.35425
LOC442229	-0.1445
TSKU	0.064375
KRTCAP3	2.2885
PDLIM1	0.9664
KCNS2	0.263
RNF126	-0.714166666666667
CEP63	0.132625
CLIC4	-0.06475
hCG_1990170	-0.07375
ACR	0.1587
KLK7	-0.11925
ALOX5AP	3.770125
RIPK3	4.3005
TAS2R9	-0.09
C19orf18	0.8765
BIRC6	-0.163357142857143
ZNF16	1.416
RFT1	-0.13975
SLC8A2	-0.75875
TACC1	0.65275
ITGAD	1.94
SAMHD1	1.71075
SH3PXD2B	1.4424
EPC2	0.67775
C20orf85	4.181875
ATP13A2	0.575833333333333
KRT4	0.164375
CAPNS1	0.11075
MDM2	-0.434166666666667
PCDH20	1.5745
KCNK9	0.3225
OR2C1	-0.089
KLHDC3	-1.34483333333333
IPPK	1.5805
EFHD2	0.36725
GALR3	0.13
NBEA	1.0555
ABCA6	3.047
CLDN3	0.784666666666667
AKT2	-0.945857142857143
EGFR	-2.1696
RBM16	0.267375
ZDHHC3	0.3973
SLC25A4	-0.0405
CYB5B	-1.26816666666667
CPXM1	0.2445
NDRG1	-0.729307692307692
FLJ43826	0.72025
OR5L2	0.188
FARP2	1.1131
MRPL46	-0.670333333333333
LDHAL6B	0.3634
MAPKAPK3	0.274166666666667
NCAM2	0.4305
PRKD2	0.694833333333333
ZFP36L1	1.4681
CYSLTR1	0.2505
OR4C3	0.3105
HIST1H2AJ	1.381
CCNB2	-2.27333333333333
ZNF10	0.47325
TMEM175	0.4625
FAM134A	1.11483333333333
TIGD4	-0.077
PCNP	-0.15325
MGC39715	-0.00525000000000005
LQK1	-1.21
CREB1	0.7034
TMPRSS3	3.2335
C4orf32	2.233125
LAT	-0.892
KCNA3	0.5375
SKIV2L2	-0.053
ROPN1B	-4.201
tcag7.23	-1.1285
CDT1	-2.933875
ZHX2	1.2335
CD28	-1.99575
ZNF624	0.928
SEPT2	0.484083333333333
SOHLH2	-1.655875
MCOLN3	0.144875
UNQ1945	0.712
MASP2	-1.1175
ZNRF3	0.0674
GPATCH3	-0.11625
AGL	-0.217
QRICH2	-0.7925
PSD4	0.938
CCNB1IP1	-1.85525
ENPP7	-0.00849999999999999
OBFC1	0.1815
KCNG3	-2.1425
C14orf79	1.0835
ENPEP	1.12633333333333
SCT	0.995
SKI	0.47975
SEC61G	-0.961
CAPN11	0.2555
ATXN7L3	0.0125
DBNDD1	-0.888666666666667
FAIM	-0.3275
ANKRD36	-0.8895
GABRP	0.0111666666666667
TACSTD2	2.70833333333333
EIF3J	-0.41675
PPP2R2A	0.39125
TEKT4	-0.1425
PVALB	-3.40666666666667
F10	-2.53333333333333
FAM134C	1.0998
COMP	4.859125
EFCBP1	-2.790875
SCLT1	-0.2515
TAL1	-0.9905
ACSL1	2.2815
ABCC5	0.819833333333333
ABL1	-0.103611111111111
RBBP7	0.54175
PTPRG	0.110875
NCOR1	0.2636
SPINK4	-0.0665
TXNRD1	-0.4423
TNRC15	0.373
C9orf138	0.27125
UBE2H	0.456833333333333
BRDT	0.1225
C8orf31	-0.335
CCNE2	-1.81863636363636
SLC6A8	-1.825125
CALCR	-3.9325
PPP1CB	0.43475
ABHD8	0.01425
ARF5	-0.4061
SLC24A4	1.4825
CCT3	0.24775
ZNF121	0.08025
SLC3A2	-0.219
OR13A1	0.2235
SLC5A10	-0.266
RAD50	0.07475
IER5	-0.2065
MTHFD1L	-1.903375
MBTPS2	0.06275
MVK	-0.703125
NCL	-0.0588
PSMD10	-0.34325
MOBP	0.329285714285714
FLJ32894	-0.859
HRH1	-1.13066666666667
C5orf30	1.1135
NUDT16L1	0.7847
RASGRP3	3.38733333333333
PRKRIP1	-1.0192
CCDC75	-0.26075
LOC253970	0.11475
KIAA1239	0.996
MED21	-0.10925
SYT11	0.786
NTSR2	-1.1655
EGFL11	0.217
CXorf59	0.464
OR2A25	0.572666666666667
SPTBN2	-0.80875
LRMP	-0.903666666666667
RNF111	0.5435
PTH	-0.5225
LOC619208	0.579166666666667
KIAA0895	0.13475
RANBP5	-0.54325
P2RY10	2.37633333333333
NME5	4.18283333333333
DDX21	-1.559
LRSAM1	0.564
HDAC11	1.629
VMO1	2.0145
NOLA2	-0.2335
ADAR	1.1765
MTO1	-0.5535
SF4	0.647666666666667
P2RX1	0.209666666666667
HBM	0.11575
EN2	0.35
C14orf172	-0.174
TM9SF2	1.1757
INHBE	-1.66516666666667
TCTE3	-0.2415
TOX2	-2.64475
CTAGE3	-0.098625
HBB	3.2065
MED15	-0.620666666666667
CASR	0.093
C6orf66	-1.804
MTPN	-1.29825
UNC50	-0.0445
C21orf33	0.160625
IRF2	0.877625
PGR	0.757833333333333
GPR84	3.02025
CROCCL1	-1.96325
SRPX	-0.821
BRE	0.6235
FGF10	0.946
SDC3	-0.310833333333333
ZRSR1	0.868833333333333
DKFZP434P211	0.61225
SOX6	-0.093
RPUSD2	-0.444
C14orf173	-0.158833333333333
MAPK11	-0.630333333333333
TBC1D22A	1.3825
FAM123A	-0.4895
COL4A6	-2.39483333333333
TOMM70A	-0.2905
NAB1	-0.039125
MGC16385	-1.02825
TSPAN18	-0.289666666666667
MED31	-0.35075
PLG	-0.167
CAPSL	4.444
ZNF532	0.5245
ASB14	-0.24475
CA8	1.28175
NUDT16P	2.33533333333333
SLFN11	-0.4815
LRRIQ2	0.077625
NOL7	-0.370333333333333
BRMS1L	-0.844625
JARID1A	0.052
PANK2	-0.2525
ICAM3	-0.1945
MDS1	-0.6335
TAF8	-1.139
RNF139	0.11425
ZNF594	-0.1655
ADAM8	3.06225
SFTPC	-0.243125
MAN2B2	1.979625
RGS12	0.848
EIF1AY	-4.75466666666667
LRRIQ1	0.785833333333333
GPR150	0.4405
CCDC21	-0.666833333333333
PRRG3	0.60875
SAA4	-3.2785
RAPGEF5	1.44225
ZCCHC2	-0.0665833333333334
MGC39372	1.7415
PPP4R2	-0.211833333333333
CDCA2	-1.85216666666667
OR4D5	0.411166666666667
PTGFRN	1.4487
SIGLEC5	1.9095
C19orf61	-0.0341666666666667
NMUR2	0.0665
KIAA1586	-1.41933333333333
DAGLA	-0.467333333333333
CHCHD6	-0.274
GPR32	1.151
NEUROD6	0.3675
SLC2A4RG	0.361
CA5B	0.00650000000000001
FBXL3	1.657
MPHOSPH9	-0.41725
HMG2L1	0.627
HCN4	0.0853333333333333
CEACAM19	-0.72975
SH2D4B	-0.0546
HFE2	-0.7705
TGM4	0.301
LYPD2	0.484
TBC1D15	0.44725
MRPS21	-1.1293
NONO	-0.7991
CLEC5A	2.636
ITCH	-0.1975
MGAT3	-0.645333333333333
MBP	0.309625
RPP25	-1.37625
SOSTDC1	-3.252
HRC	-1.4845
TRIM48	-0.217
TMEM133	0.084
ECEL1P2	-0.929666666666667
HOXC11	0.098
DOK5	-0.41525
HELZ	0.277333333333333
LOC348180	-1.13425
MGC33894	0.18325
ADRB3	0.255
DMD	-0.162916666666667
PTRH2	-1.341
MPEG1	3.77183333333333
NDUFA12	0.284166666666667
KRTAP2-4	-0.00341666666666668
STAMBPL1	-0.9885
ADCY2	1.2376
UNQ6125	0.597
KLHL20	0.2215
SRM	-1.222
OTC	0.341
TMIE	-0.382666666666667
SNX8	0.482
LIPK	-0.6135
CHURC1	-0.411333333333333
KLC2	0.241333333333333
HDAC1	0.014
FAM128A	0.203333333333333
FNDC3B	-0.2118
MTCP1	-0.4025
WFDC10B	0.0944
PCDHGB3	-0.8845
ATRNL1	-2.0214
CAV2	0.002375
MED26	-0.0275
DUS1L	0.25125
CHRM3	-1.458625
NEK9	1.1235
WARS2	-0.2155
TBX22	0.5265
TOMM40	-1.195
RP6-213H19.1	-1.85783333333333
TUBGCP5	0.01725
IGSF6	5.44625
TPPP	-0.017
UNQ6190	0.498
GSTM5	1.671
BTD	2.193
PDCD1LG2	2.357
SNRPB2	-0.438833333333333
ERICH1	-0.72375
APOA4	-1.78225
HOXA11	-1.48425
NARG1	-0.61475
MKX	4.8945
RAB28	0.0455714285714286
PKP3	0.53275
SH3GL2	-0.84975
CTSO	3.55125
RPN2	0.347125
IL28RA	0.426833333333333
SFMBT1	1.0235
WDR57	-0.310125
FER1L3	1.03108333333333
HSF5	0.1104
TTC9B	-0.3475
C4BPA	-3.86533333333333
ALB	-4.61609090909091
SORBS3	-0.022
UPF2	0.073
JPH1	-0.501
AGBL2	0.2885
DOPEY1	1.576
TERF1	-0.53025
KIF22	-0.285166666666667
NINJ1	1.64825
SEC61A2	-0.6105
HIST1H1D	-1.558
SFXN4	-0.186
UCP3	0.4535
ZNF703	1.09016666666667
MYL6B	-1.057
TREM1	2.64875
OR52E6	0.321
CKMT2	2.6815
HLA-C	2.77775
SLC13A3	-2.08783333333333
TIMP4	1.969
SLIT2	2.17325
RSF1	-0.0155555555555556
LONRF1	-0.730928571428571
MON1A	-0.322333333333333
CACNG6	-2.07616666666667
DPPA4	-5.294
ZSWIM3	0.0535
ZNF804A	1.47966666666667
CCIN	1.43075
SLC25A31	-0.352
KCNMB4	-0.362
RABL5	-0.1345
GALNS	-0.2574
STX6	0.647625
HIST1H1C	-3.35666666666667
CIDEB	0.349625
CASP4	0.356166666666667
PDK3	0.6451
KCNJ11	1.9675
TPR	-0.025375
ZSCAN20	-0.3695
MTX2	-0.0895
HIST1H2BH	-1.14
LOC283767	0.84875
LYRM7	-0.573882352941177
BRD3	0.278833333333333
HIST1H2BO	-1.345
MAGEB10	0.3
SLC45A1	1.19925
SERPINA3	3.19075
KIAA0143	1.82575
KCNJ16	0.0596666666666667
KRT79	0.37125
FABP2	-1.444
NUT	-0.1665
ZNF57	-0.26825
FBXL4	-0.167625
CLEC9A	1.822
UGT8	-1.198
BMP2K	1.465
MAPK4	-4.06925
SLC25A23	-0.6226
HINT1	0.073
KRTAP13-1	-0.308
SFXN5	0.0995
CHCHD2	-0.0942499999999999
FAM3D	0.8125
NDP	-2.4605
RHOBTB1	0.0908333333333333
SLC4A4	-1.136
RPL38	-0.3295
HTF9C	-0.780166666666667
AP2A2	0.848875
ZBTB46	0.151
MAP7D1	0.423375
AOX1	-1.23033333333333
CYR61	0.667583333333333
DTNA	-1.20257142857143
JRKL	-0.585
TMOD3	-0.6415
EEA1	0.3128
ADCK5	-0.4745
IL1R1	1.5635
KLK3	0.471142857142857
HRSP12	-0.6455
KTN1	0.102
LOH11CR2A	1.2381
RELL2	-1.819
MAB21L1	1.286
C20orf59	-1.378
PHKB	-0.2385
ADAM2	-2.281
TBC1D8B	1.27466666666667
FAM13A1	-0.7305625
LAPTM4B	-1.85391666666667
LCN8	0.206
TMEM147	0.2765
SYT4	0.1398
XPO7	-0.2125
C9orf62	0.1125
GPR75	0.089
TRIM5	0.8955
APOC1	0.8555
RNASE4	0.9965
PARD6B	0.41575
ARID1A	0.846
TPD52L3	0.037
RRAGB	1.25116666666667
RCN2	-0.877
HIST2H2BE	-0.5679375
STARD7	0.67725
SHMT2	-1.44275
KIAA1751	-0.408
MLYCD	0.3625
LOC162632	-1.0154
UQCRH	-1.81525
RP11-217H1.1	0.1623125
SDHA	-0.6645
NCLN	0.1184
ZNF17	0.844
RCBTB2	-1.14675
VEGFB	0.6163
RP4-747L4.3	-0.456
COLQ	0.9138
MPN2	-0.9705
DRG2	-0.00875
KLRB1	5.15625
ALPK2	-2.18925
DNASE2B	2.77025
FLJ23834	-0.188833333333333
AXUD1	1.04216666666667
SAFB	-0.5893
NSUN4	0.04475
RFX2	0.114166666666667
MAPK8IP1	-1.3845
FANCD2	-1.355
ANKZF1	-1.0885
C19orf50	-0.552375
DUSP8	1.1415
SENP5	-0.4565
NFKBIL2	-0.6155
LBR	-0.832125
IGFL1	-0.399
LZTS2	0.5225
IL2RG	0.729125
CCDC51	0.149
KLF3	0.447125
ANKRD37	-0.7125
KCTD14	-2.03283333333333
FZR1	0.39075
SLC44A4	3.6748
ESPL1	-1.244
GMPR2	-0.0995
TBC1D19	0.00133333333333334
ERGIC1	0.013962962962963
ERBB4	3.4168
TSPAN32	1.497
MAP4	0.54075
GPHN	-1.04225
SLC6A2	-0.20625
HIVEP1	0.7715
DFFB	-0.2019
EIF4EBP2	0.555625
DMRT1	-0.481
HSPB6	0.27025
IER2	0.58
AIFM1	-0.36825
WWC2	-0.03425
MRPL4	-0.462
FLJ21062	0.879666666666667
EPB41L4A	1.38425
SH2D6	0.05325
TAF4B	-1.1195
GAL3ST3	-0.0985
MALT1	-0.625333333333333
RTDR1	-0.3975
ARVCF	0.021375
MEX3B	-1.0015
FBXO16	1.2975
KIF7	-1.2535
C1QC	4.04666666666667
ZNF783	-0.7185
ZNF85	0.22825
MMP13	5.0405
KIAA0329	-0.01525
RTP3	-0.5225
ZBED3	-0.2215
CLGN	-1.24625
SLC25A37	-0.916333333333333
hCG_18290	-0.4835
OR5AS1	-0.001
SMARCC2	0.4925
FAM109A	-0.0893333333333333
CCDC12	-0.196
USF2	0.723
DEPDC7	-2.33275
C20orf24	-0.6755
JMJD3	0.7405
DSP	1.41507142857143
SLIC1	0.97425
FAM20A	1.81325
IRF2BP2	0.71075
ZNF230	0.198
MSN	0.0654285714285714
SLC9A5	-2.151
EPDR1	-0.8244
MUSK	0.0335
ZNF434	0.523666666666667
SMARCD1	-0.114333333333333
ZFP106	0.32
ZNF347	0.3278
GTF2E1	0.129
