Hybridization REF	TCGA-A8-A07R-01A-21R-A034-07
MAOA	-1.11175
TNNT3	0.710166666666667
GYPC	0.25475
C7orf33	0.982
PLIN	0.515666666666667
LOC90826	-1.6905
RNF4	-0.3833
F8A1	-0.185666666666667
PLEKHG4	0.24625
GRB2	0.3284
HIST1H2AD	-0.4705
DUS3L	-0.372833333333333
EIF1	-0.666333333333333
RP5-1077B9.4	-0.095
FPGT	2.09325
GDF10	-0.887333333333333
COQ9	-0.33775
GCC2	-0.335142857142857
RARRES3	0.57525
PLXNA1	-0.2062
KIAA0100	-0.7938
PMF1	-0.61025
FNDC1	4.4475
HS2ST1	-0.210916666666667
CRELD2	0.94475
C8G	-1.4255
CD82	2.00325
LIM2	-1.0105
UNQ6490	-0.0135
MMP16	-0.3745
DRD3	0.07475
C5orf26	-2.3365
C11orf73	0.591125
PTP4A2	-0.645875
OR4M2	1.3825
HPCA	-1.40283333333333
SEC14L1	-0.594166666666667
CHFR	0.130375
EMILIN1	0.41425
NDUFS4	-0.417
COL18A1	-1.1655
PDZD3	-0.2765
C9orf16	-0.1515
ERBB2IP	-0.334
EMX2	2.329
FUS	-1.1275
TF	-2.6865
CLCN4	0.671
CXorf56	0.60225
C11orf72	0.32475
ELAC2	-0.221833333333333
NPR1	-2.37675
ASS1	-0.170666666666667
USP42	0.326375
POLR2J	-1.518
SEC23IP	0.311333333333333
UQCRC1	0.33025
LOC729603	-0.731
C1orf71	0.237125
POLG	0.2365
ADAM23	-3.68
TFR2	-0.924
RICTOR	-1.5372
MGC39606	1.951
C19orf55	-0.225375
SNAPC1	-0.1005
GNA11	1.075875
CCDC52	-0.454333333333333
FSIP1	-1.105
UPF3A	-0.380625
IGSF11	-1.19366666666667
LAGE3	0.50625
CHST6	-0.3825
UNC13B	-0.47175
TTLL4	2.1845
ZNF687	0.3915
SDC2	-0.5633
COX7A2	0.1315
LAMB4	0.0245
FAM24A	0.426
LRRTM3	-0.715166666666667
GPHB5	0.08475
OR4C13	-0.128
EIF3EIP	-0.0124285714285714
HABP4	-1.2765
TMEM125	3.3765
CNTN2	0.244875
ASNSD1	-0.00275
FUT4	0.83925
ACF	-3.46075
LOC158381	0.9375
CDH8	-0.3995
AGPS	0.284
C4orf18	-0.625
PECI	-1.28466666666667
UNG	0.498375
GSTP1	0.164
DCUN1D5	0.187333333333333
DKFZP564J0863	-0.1075
SLC9A3R1	-0.430125
BCDO2	-0.506375
CHMP7	-0.976625
REM2	-0.017
DNHD1	-0.636625
FKBP4	-0.14475
ZNF350	1.559
MGC11102	0.558125
BST1	-0.20975
KISS1R	1.516
NCR2	0.4195
DEFB125	0.345
UBE2W	1.4115
KRT15	4.444125
C10orf99	0.8145
SCN11A	0.3925
GFI1	-2.30425
RDHE2	2.27816666666667
FHL1	-2.12116666666667
OSGEP	-0.421833333333333
GATA1	-3.25033333333333
SMC6	-0.9585
TTTY14	-0.8835
LPIN3	-0.238
RPL4	-2.0266
RBPMS	-0.1979
PRPF3	0.622166666666667
EMR1	-2.308
SPATA19	0.30925
XCR1	0.3065
IRX3	2.08
RBM6	-1.20825
KLF4	-1.3128
UNC5CL	-1.25325
SEBOX	-0.522
BTK	-2.29375
KRCC1	-1.05725
C6orf27	0.2245
SYTL5	-1.8375
PRND	0.5315
LOC653319	-1.728
PIGL	-1.159125
HUS1	-0.243833333333333
SFRS6	0.19525
C17orf77	0.7815
UIMC1	-2.385
FXYD2	-1.7231
LOC283152	0.362
ZNF667	1.871
ZCCHC12	-0.572
TFEC	1.7521
ATP7B	-0.1835
POLD2	-1.0605
RG9MTD1	0.8275
ACOT2	-1.91516666666667
HIST1H4I	-0.472875
PPARGC1A	0.045
ETFA	-1.1418
POLRMT	0.01075
ZNF146	1.209875
MIA2	-1.6775
KLHL6	-1.682
HOXB5	-1.032875
NENF	0.0353333333333333
CUGBP1	1.47475
PRSS22	0.682166666666667
CASC4	0.7005
CUL4B	0.7204
CENPJ	-1.6949
PITX1	1.59583333333333
FLJ31033	1.197
CELSR3	-1.2855
ZNF568	0.6685
ITSN1	-0.453666666666667
EHBP1L1	-0.9825
C19orf2	0.34275
DCTN1	0.03775
LIN28B	-3.4314
TNKS2	-0.2655
C1QBP	-0.2045
CADPS2	-2.17875
SRMS	0.21025
GJA9	0.024
MGC24975	-1.28766666666667
TRIM45	-0.665166666666667
TSP50	4.54325
TCP1	-1.63075
TMED7	0.3554
CMA1	1.1345
CENPL	0.0656666666666667
PTCRA	-0.248
FST	-3.60725
VWCE	-3.61525
PAWR	1.34325
ABCC12	0.325833333333333
LDLR	-2.5727
ASTN2	-0.2627
LOC441212	-1.201375
GPATCH8	-0.17875
TANC2	-0.341666666666667
KIF4A	-1.27825
C18orf18	-0.4315
PGM1	-0.42625
KIAA0258	1.7175
CPD	0.765875
SNCAIP	-2.679
DCT	-4.0695
HLA-DOA	1.18090909090909
OR11L1	0.435
UPK1B	0.782
DNAJB4	0.33775
UGT1A8	0.08225
HIST1H4L	1.0925
PECR	-0.486166666666667
HSPA2	0.85825
WFIKKN1	-2.8505
SERP1	0.741375
SYDE2	1.47775
TACR2	0.2045
NUP85	-0.03125
CD177	-0.7204
LGR5	-0.935833333333333
PIGG	-1.55566666666667
PTHR1	-2.788
RAB5A	-0.3877
FLJ13224	0.1315
USP9Y	-1.1295
C7orf53	-1.917
LRP1B	-1.18
XAF1	3.6538
ABCG8	0.2795
ANKDD1A	-0.3845
DAND5	-1.3465
SPAG6	0.4312
LINCR	1.18775
ZDHHC22	-1.416375
CCDC60	-0.5965
THOC7	-1.228
TCTA	0.6362
OR8K3	-0.1075
NY-REN-7	0.193
B2M	1.63866666666667
C6orf141	-0.6235
LPPR4	1.87825
SQLE	-0.5925
SEPHS1	1.60875
BTBD14B	0.513714285714286
PLRG1	-0.63525
SPG7	-0.7558125
ZNF614	0.2525
PARD6G	0.939
INPP5B	-0.2081
GRPEL2	1.35975
PPID	-1.4195
TRIM56	-0.27275
UBE2J1	0.59375
IL20RA	0.8195
LOC387856	0.46725
C1orf107	0.372
UTS2R	1.622
C19orf22	-0.45025
SAFB2	0.3885
KIAA0652	0.536
KLRG1	-1.6074
MS4A8B	0.366
FRAG1	0.728
KIAA1546	-0.67525
E2F4	-0.507
CLEC4M	0.7515
BTBD14A	0.78825
KIAA0999	0.7689
GYPA	-3.02066666666667
TAC1	-0.1744
TRAIP	-1.02116666666667
KIAA0232	-0.2917
ERCC8	-1.03925
GPX4	-0.713125
KIAA0368	-0.9755
GPR157	-0.599333333333333
CTAGE4	0.702
C9orf30	-1.09966666666667
OR52A1	0.8365
HSP90B3P	-0.04
ALG9	-0.2607
BTBD10	0.474
SDK2	0.7055
BAIAP3	-0.993
RABGGTB	-1.347875
ANKRD40	0.583
KRT74	0.432
CALCOCO2	-0.174142857142857
SNCA	-4.4335
TMSL8	0.750625
C2orf53	-0.067
ESRRB	-0.713
ARHGAP26	-0.69975
TDRD9	-2.94
HRAS	0.607333333333333
KLRC4	-2.823
JAGN1	-0.293166666666667
BSDC1	-0.3775
RNF43	-0.8347
NDUFAF1	-0.3565
PHF12	-0.13275
OR1L3	0.22275
FOLR2	1.10583333333333
LYZL6	0.365
tcag7.1260	-1.7345
WSB1	-1.40883333333333
PROS1	-2.1881
OSTN	0.202
PSMB8	-0.1155
SOCS4	0.2755
DDIT4L	0.109
MAS1	-1.078
MGC34796	0.8115
CSHL1	0.645166666666667
TBCCD1	0.641666666666667
ZBTB7C	0.4135
AP2S1	0.10975
P15RS	0.4072
VAT1	0.0655
SHANK3	1.38766666666667
TUFM	0.488833333333333
THEG	-0.084
KRT34	-0.911
SGSM3	0.27275
TOMM22	0.756
SOCS3	0.739
CPO	0.044
POP4	1.082
BHLHB3	-1.238
MALL	0.39175
OR1B1	0.4235
PARK2	0.313833333333333
GPR124	0.072
LCE1E	0.853
RUVBL2	0.176
CGRRF1	-0.075
ACPL2	1.2035
WNT10B	0.95125
BAIAP2L2	-0.927375
ISCA1	0.0805
C1orf125	0.37275
RPAP1	-0.52825
RAI16	-0.999333333333333
RPL27	-0.30325
NLRP9	-0.1155
EPN1	0.7045
LOC388610	-0.966625
SLC35A1	0.1949
GAL	-0.19675
SLC14A2	0.5145
RDH11	-1.05416666666667
FAM138F	-0.803
AUH	-1.33125
FLJ40243	-0.37225
C14orf129	1.49216666666667
MBD2	-1.24966666666667
ABHD14B	-0.633125
PIGT	-0.867625
ALS2CR4	-0.395375
ALAS1	0.2757
FOXO1	0.425166666666667
CRLF3	1.62825
C20orf107	0.3375
FARS2	1.43225
CCDC28A	-0.68525
NPHP3	-1.94125
OR13F1	0.509
TSEN54	-0.223
DEFB106B	0.2058
OR8B4	0.6965
STH	-1.15325
ZC3H14	-0.208125
CBX2	-0.639
TMEM49	-1.5775
C6orf21	-0.0445
FLJ20920	-0.625
CRTAP	-1.28257142857143
DDX50	-0.48375
STYXL1	-1.615
BLVRB	0.316166666666667
LOC147650	-0.399333333333333
MMP24	-0.05325
GRID1	0.798833333333333
BANF1	-0.561166666666667
CTAGEP	0.34325
HMBS	-1.39275
SLC25A24	0.0373333333333333
C14orf50	-0.35775
MRO	0.0835
SLC25A15	-0.63075
FAM84B	1.0893
TDP1	-0.4015
C16orf78	0.608833333333333
C11orf57	-0.00687499999999999
RFK	-0.543625
ZFYVE9	-0.272125
STCH	-1.3959
WIBG	-0.5565
LOC283871	-0.378333333333333
GBA2	-0.4761
NDUFB3	0.39125
HSD17B13	-0.42825
GRIN3A	1.281
FMNL1	-0.888
SEPT7	-0.1307
GNLY	1.5505
GRAMD1C	0.302833333333333
ZNF165	1.64375
USP38	0.79975
FAM83A	-3.13483333333333
C14orf24	1.361
ARMCX3	0.968625
ARHGDIB	-1.703
AK1	0.165125
KIAA1045	0.4565
DNAJB13	-0.108
NEU2	-0.8945
HIST1H4B	0.0626666666666666
FAM20B	0.1225
HES2	0.633428571428571
FAM73B	-0.3014
LOC388381	-0.5855
INTS7	-0.0874545454545455
AMPH	-0.07475
ZNF775	0.392875
UCKL1	0.0725
C10orf97	1.1005
C1orf161	-0.08725
ALDH1L1	-0.8575
FLJ39378	-0.429125
SLC23A1	-1.617
RBM4B	0.50325
THAP4	0.579833333333333
OGFRL1	2.2835
KIAA0831	0.2315
PPP1R15A	-0.764333333333333
C1orf96	1.30214285714286
C12orf11	-2.132
BMF	0.955125
MAN1A1	-0.853
KIAA1600	0.7365
NLGN4X	-1.787
ALOX12	-0.222333333333333
RB1CC1	0.4898
NEIL2	-0.6644
EIF4E	-0.237136363636364
ABHD5	-0.0345
EXOC4	-0.7495
CIP29	-0.269333333333333
BATF2	4.1795
SLC29A4	0.236625
HTR4	0.5385
EMB	-2.85625
TRAF6	1.48975
LMNB1	0.287
FAM19A5	1.433
SHE	0.11375
PIK3C2B	-0.132
C15orf15	0.0452
USP15	0.7962
TCEAL2	4.567
C5orf39	-2.23366666666667
PTGER2	-0.2875
SLC31A1	0.1524375
IFT172	0.08125
ADAM29	0.3685
GFOD1	0.74125
ST7L	-0.1215
C15orf26	-2.76075
PKN3	-1.1005
CNTD1	0.258
COMMD1	0.09025
NTRK2	2.00527272727273
FOXN3	-0.249
MFGE8	1.7552
PFKFB2	0.658166666666667
TAS2R4	-0.12475
ENTHD1	0.624666666666667
PRMT5	-0.93225
MGC16384	-1.282
LOC442229	1.5345
TSKU	1.384625
KRTCAP3	3.76275
PDLIM1	0.2038
KCNS2	-0.12625
RNF126	-0.171666666666667
CEP63	0.30025
CLIC4	0.10925
hCG_1990170	5.06425
ACR	0.6795
KLK7	2.54475
ALOX5AP	2.0825
RIPK3	3.05275
TAS2R9	0.2785
C19orf18	-0.1225
BIRC6	-0.645785714285714
ZNF16	1.004
RFT1	-0.6905
SLC8A2	-0.16875
TACC1	0.46625
ITGAD	0.86025
SAMHD1	2.04375
SH3PXD2B	1.393
EPC2	0.898
C20orf85	0.189625
ATP13A2	-0.0868333333333333
KRT4	1.158375
CAPNS1	-0.3715
MDM2	0.592
PCDH20	1.74675
KCNK9	0.433
OR2C1	-0.2095
KLHDC3	-0.697833333333333
IPPK	0.4005
EFHD2	-0.700625
GALR3	1.4705
NBEA	-1.276
ABCA6	0.7113
CLDN3	1.2345
AKT2	-0.517
EGFR	1.051
RBM16	-0.38475
ZDHHC3	-0.000499999999999996
SLC25A4	-1.09633333333333
CYB5B	-1.25333333333333
CPXM1	-1.64725
NDRG1	0.149230769230769
FLJ43826	0.3055
OR5L2	0.139333333333333
FARP2	-0.3292
MRPL46	1.76875
LDHAL6B	0.127666666666667
MAPKAPK3	-0.073
NCAM2	-3.32166666666667
PRKD2	0.830833333333333
ZFP36L1	1.5079
CYSLTR1	-1.5775
OR4C3	0.011
HIST1H2AJ	1.7805
CCNB2	-0.758222222222222
ZNF10	-0.667625
TMEM175	0.742
FAM134A	0.685166666666667
TIGD4	-1.7785
PCNP	-0.88725
MGC39715	0.53275
LQK1	-2.873
CREB1	0.7237
TMPRSS3	0.43375
C4orf32	-1.83525
LAT	-2.46408333333333
KCNA3	0.211
SKIV2L2	-0.84725
ROPN1B	4.85775
tcag7.23	-0.905
CDT1	-1.465
ZHX2	-0.675625
CD28	-3.48575
ZNF624	0.8975
SEPT2	0.196333333333333
SOHLH2	-1.934
MCOLN3	1.478
UNQ1945	0.595
MASP2	-0.648
ZNRF3	0.0949
GPATCH3	-0.26775
AGL	-0.570125
QRICH2	-0.1225
PSD4	-1.19
CCNB1IP1	-1.74775
ENPP7	-0.017
OBFC1	-0.2315
KCNG3	-2.63233333333333
C14orf79	-1.17358333333333
ENPEP	0.376
SCT	0.679
SKI	1.713875
SEC61G	-1.62875
CAPN11	-0.011
ATXN7L3	0.20025
DBNDD1	0.0441666666666667
FAIM	1.9925
ANKRD36	-0.142
GABRP	5.79633333333333
TACSTD2	-0.1016
EIF3J	-0.02975
PPP2R2A	-0.892
TEKT4	-1.089
PVALB	-3.59466666666667
F10	-2.75166666666667
FAM134C	0.3084
COMP	3.679125
EFCBP1	-2.72746666666667
SCLT1	1.464875
TAL1	-1.2255
ACSL1	1.5235
ABCC5	0.229083333333333
ABL1	-0.290722222222222
RBBP7	0.823583333333333
PTPRG	-0.604
NCOR1	-0.2518
SPINK4	-2.1566
TXNRD1	0.4757
TNRC15	1.741
C9orf138	0.606625
UBE2H	1.336
BRDT	-0.602333333333333
C8orf31	-0.30625
CCNE2	0.846727272727273
SLC6A8	-0.97375
CALCR	-4.30575
PPP1CB	1.69233333333333
ABHD8	0.26425
ARF5	-0.401
SLC24A4	1.1175
CCT3	-0.1495
ZNF121	0.95575
SLC3A2	0.3315
OR13A1	0.552
SLC5A10	0.056
RAD50	-0.715875
IER5	0.426125
MTHFD1L	0.057
MBTPS2	0.215666666666667
MVK	-0.329125
NCL	0.9899
PSMD10	-0.48825
MOBP	0.6805
FLJ32894	-1.2865
HRH1	-0.846666666666667
C5orf30	-0.75125
NUDT16L1	-0.1822
RASGRP3	2.03216666666667
PRKRIP1	-1.0206
CCDC75	1.502
LOC253970	0.63825
KIAA1239	-0.02975
MED21	-0.62875
SYT11	-0.55375
NTSR2	0.228
EGFL11	1.5865
CXorf59	0.272
OR2A25	0.2
SPTBN2	0.157
LRMP	-2.15016666666667
RNF111	-0.44925
PTH	0.0095
LOC619208	1.15833333333333
KIAA0895	-0.3475
RANBP5	0.161
P2RY10	0.0915
NME5	-0.952333333333333
DDX21	-0.28225
LRSAM1	-0.4025
HDAC11	0.0246666666666667
VMO1	1.19625
NOLA2	0.036
ADAR	2.19791666666667
MTO1	-0.295333333333333
SF4	-0.159
P2RX1	-0.694
HBM	0.24075
EN2	1.6675
C14orf172	0.126
TM9SF2	1.3257
INHBE	-0.526333333333333
TCTE3	0.138083333333333
TOX2	-3.533
CTAGE3	1.05325
HBB	1.0704
MED15	-0.353333333333333
CASR	0.19775
C6orf66	0.874
MTPN	0.34825
UNC50	-0.508
C21orf33	0.122875
IRF2	-0.10975
PGR	-2.44833333333333
GPR84	1.97875
CROCCL1	-4.17675
SRPX	-2.0045
BRE	-0.68
FGF10	0.5855
SDC3	0.9355
ZRSR1	-0.341666666666667
DKFZP434P211	-0.75675
SOX6	0.53
RPUSD2	-0.136
C14orf173	-0.197166666666667
MAPK11	-0.814833333333333
TBC1D22A	0.6275
FAM123A	-0.755
COL4A6	-3.332
TOMM70A	0.1575
NAB1	0.051
MGC16385	0.340375
TSPAN18	0.353
MED31	-0.607
PLG	-0.14225
CAPSL	-0.3395
ZNF532	0.5257
ASB14	0.17975
CA8	-3.918
NUDT16P	-1.43266666666667
SLFN11	-0.42
LRRIQ2	1.094875
NOL7	1.15466666666667
BRMS1L	0.758125
JARID1A	0.113833333333333
PANK2	-0.68225
ICAM3	-1.434
MDS1	-0.154
TAF8	-0.3965
RNF139	0.28525
ZNF594	-0.485
ADAM8	1.358375
SFTPC	-0.347625
MAN2B2	-0.546375
RGS12	0.203625
EIF1AY	-3.90036363636364
LRRIQ1	1.3475
GPR150	1.66575
CCDC21	-1.036
PRRG3	0.2355
SAA4	-3.47
RAPGEF5	1.496625
ZCCHC2	0.406
MGC39372	-0.183
PPP4R2	-0.179333333333333
CDCA2	-0.183333333333333
OR4D5	0.621833333333333
PTGFRN	0.6378
SIGLEC5	1.67983333333333
C19orf61	-0.3485
NMUR2	0.2735
KIAA1586	-0.276833333333333
DAGLA	1.27916666666667
CHCHD6	-0.07425
GPR32	0.6405
NEUROD6	0.6665
SLC2A4RG	0.182375
CA5B	-0.7665
FBXL3	0.956
MPHOSPH9	-1.6055
HMG2L1	0.115
HCN4	0.991166666666667
CEACAM19	0.16425
SH2D4B	-0.013
HFE2	-0.5515
TGM4	0.860166666666667
LYPD2	-0.31375
TBC1D15	0.82825
MRPS21	-0.3618
NONO	-1.0339
CLEC5A	1.16675
ITCH	0.335
MGAT3	-0.370166666666667
MBP	-0.20575
RPP25	0.987
SOSTDC1	-0.0345
HRC	-2.09775
TRIM48	0.075
TMEM133	-1.054
ECEL1P2	-1.186
HOXC11	-0.0775
DOK5	0.67425
HELZ	0.4565
LOC348180	-0.1035
MGC33894	0.28025
ADRB3	0.287
DMD	-0.152166666666667
PTRH2	0.07725
MPEG1	1.61183333333333
NDUFA12	1.141
KRTAP2-4	0.230416666666667
STAMBPL1	-2.51233333333333
ADCY2	1.35133333333333
UNQ6125	0.5085
KLHL20	0.663666666666667
SRM	-0.73375
OTC	0.204
TMIE	1.544
SNX8	0.73225
LIPK	0.359
CHURC1	-0.825083333333333
KLC2	0.1915
HDAC1	-0.401166666666667
FAM128A	-0.283
FNDC3B	0.4461
MTCP1	-1.6345
WFDC10B	0.2365
PCDHGB3	0.697
ATRNL1	-1.7177
CAV2	-1.544375
MED26	0.06
DUS1L	1.00325
CHRM3	-0.06475
NEK9	-0.61675
WARS2	0.062
TBX22	1.382
TOMM40	0.69325
RP6-213H19.1	0.229333333333333
TUBGCP5	-1.41725
IGSF6	2.83575
TPPP	-0.1895
UNQ6190	null
GSTM5	-0.77825
BTD	-0.371333333333333
PDCD1LG2	0.552666666666667
SNRPB2	0.2495
ERICH1	0.1055
APOA4	-1.44425
HOXA11	-1.96125
NARG1	0.904875
MKX	-0.69175
RAB28	-0.399142857142857
PKP3	1.5245
SH3GL2	0.611
CTSO	0.28025
RPN2	0.7318125
IL28RA	0.888333333333333
SFMBT1	0.107
WDR57	-0.61
FER1L3	0.154916666666667
HSF5	-0.106166666666667
TTC9B	0.602
C4BPA	-2.76133333333333
ALB	-4.29892857142857
SORBS3	-0.47825
UPF2	1.0185
JPH1	1.2065
AGBL2	-1.4695
DOPEY1	1.8155
TERF1	0.127083333333333
KIF22	-0.2155
NINJ1	-0.60475
SEC61A2	-0.257916666666667
HIST1H1D	-1.50833333333333
SFXN4	-0.212875
UCP3	0.3442
ZNF703	0.576
MYL6B	-0.6915
TREM1	2.17575
OR52E6	-0.17
CKMT2	2.61275
HLA-C	2.051625
SLC13A3	-2.23833333333333
TIMP4	-2.8215
SLIT2	-0.4745
RSF1	0.637222222222222
LONRF1	-1.31657142857143
MON1A	-0.268333333333333
CACNG6	0.473166666666667
DPPA4	-4.826
ZSWIM3	0.635
ZNF804A	0.144166666666667
CCIN	1.0725
SLC25A31	0.9025
KCNMB4	-2.35175
RABL5	-0.541875
GALNS	-0.5381
STX6	2.30975
HIST1H1C	-1.4325
CIDEB	0.1365
CASP4	-0.946
PDK3	0.137
KCNJ11	0.771
TPR	0.45375
ZSCAN20	0.109
MTX2	0.386
HIST1H2BH	-0.83675
LOC283767	0.47875
LYRM7	-1.52011111111111
BRD3	0.0316666666666667
HIST1H2BO	-0.8625
MAGEB10	1.035
SLC45A1	-0.77625
SERPINA3	4.5253
KIAA0143	-0.44775
KCNJ16	-0.459833333333333
KRT79	-0.00675000000000006
FABP2	-0.3935
NUT	0.1115
ZNF57	-0.1955
FBXL4	0.2815
CLEC9A	-0.3785
UGT8	1.6415
BMP2K	0.40025
MAPK4	-1.50675
SLC25A23	-0.5881
HINT1	-0.6032
KRTAP13-1	0.507
SFXN5	-0.8974
CHCHD2	0.40825
FAM3D	3.6055
NDP	-1.86275
RHOBTB1	0.0606666666666667
SLC4A4	-2.012
RPL38	-0.2025
HTF9C	-0.1455
AP2A2	-0.01725
ZBTB46	-0.1845
MAP7D1	-0.272875
AOX1	-2.3715
CYR61	0.446916666666667
DTNA	0.586
JRKL	2.72625
TMOD3	-0.0865
EEA1	1.0301
ADCK5	-0.102
IL1R1	0.956833333333333
KLK3	0.159285714285714
HRSP12	-0.08325
KTN1	0.22075
LOH11CR2A	0.573
RELL2	-1.38275
MAB21L1	0.0625
C20orf59	-0.0861666666666667
PHKB	-1.1075
ADAM2	-1.83516666666667
TBC1D8B	1.41183333333333
FAM13A1	-1.060125
LAPTM4B	0.260333333333333
LCN8	0.046
TMEM147	0.488
SYT4	0.0156666666666667
XPO7	-1.088
C9orf62	1.85325
GPR75	0.24
TRIM5	0.856375
APOC1	-1.931
RNASE4	-1.41316666666667
PARD6B	-1.491125
ARID1A	0.03225
TPD52L3	0.2115
RRAGB	0.997166666666667
RCN2	0.916666666666667
HIST2H2BE	-1.302375
STARD7	-0.317
SHMT2	0.551
KIAA1751	0.200333333333333
MLYCD	-0.31875
LOC162632	-0.4331
UQCRH	-0.727
RP11-217H1.1	1.174
SDHA	-1.35633333333333
NCLN	0.1867
ZNF17	0.922166666666667
RCBTB2	-3.36525
VEGFB	-0.794
RP4-747L4.3	2.628
COLQ	-0.3885
MPN2	-0.4755
DRG2	-0.384
KLRB1	1.57525
ALPK2	-2.781
DNASE2B	-0.46725
FLJ23834	-0.723666666666667
AXUD1	0.233833333333333
SAFB	0.4787
NSUN4	0.296
RFX2	0.439166666666667
MAPK8IP1	-0.3775
FANCD2	-1.24271428571429
ANKZF1	-1.09983333333333
C19orf50	-1.109875
DUSP8	0.4275
SENP5	1.438
NFKBIL2	0.08525
LBR	0.74125
IGFL1	1.411
LZTS2	0.59275
IL2RG	-1.04775
CCDC51	0.5005
KLF3	0.51325
ANKRD37	-2.343
KCTD14	2.64833333333333
FZR1	0.712083333333334
SLC44A4	-1.2658
ESPL1	-0.21525
GMPR2	-0.9089
TBC1D19	-0.801833333333333
ERGIC1	-0.553222222222222
ERBB4	-1.4503
TSPAN32	0.0803333333333334
MAP4	0.322
GPHN	-0.70775
SLC6A2	3.274
HIVEP1	0.5445
DFFB	0.0665
EIF4EBP2	0.39475
DMRT1	3.43575
HSPB6	-0.14775
IER2	-0.5795
AIFM1	0.55875
WWC2	-0.791
MRPL4	0.186
FLJ21062	-0.803833333333333
EPB41L4A	-0.34775
SH2D6	0.4965
TAF4B	-0.1325
GAL3ST3	-0.386
MALT1	-1.09133333333333
RTDR1	0.1395
ARVCF	0.649125
MEX3B	2.00133333333333
FBXO16	-0.21725
KIF7	-1.40725
C1QC	3.9675
ZNF783	-0.491
ZNF85	-0.57875
MMP13	-0.5605
KIAA0329	-0.46425
RTP3	4.3815
ZBED3	-0.47525
CLGN	-1.33775
SLC25A37	-1.49783333333333
hCG_18290	-0.74525
OR5AS1	0.2095
SMARCC2	0.42375
FAM109A	0.459166666666667
CCDC12	-0.60775
USF2	0.435
DEPDC7	0.151
C20orf24	0.422333333333333
JMJD3	0.276
DSP	1.9175
SLIC1	0.281428571428571
FAM20A	2.438625
IRF2BP2	1.71425
ZNF230	0.963
MSN	-0.0872142857142857
SLC9A5	-1.7165
EPDR1	-0.9943
MUSK	0.253
ZNF434	-1.368
SMARCD1	-0.366833333333333
ZFP106	-0.5845
ZNF347	0.7012
GTF2E1	0.1545
