Hybridization REF	TCGA-A8-A07P-01A-11R-A00Z-07
HLA-DOA	2.26395454545455
OR11L1	0.6565
UPK1B	-0.21775
DNAJB4	-0.1065
UGT1A8	0.118333333333333
HIST1H4L	-0.583
PECR	-0.319666666666667
HSPA2	2.6435
WFIKKN1	-2.636
SERP1	2.34675
SYDE2	2.60425
TACR2	1.006
NUP85	-0.42675
CD177	-0.4635
LGR5	-1.0632
PIGG	-0.376
PTHR1	-1.75383333333333
RAB5A	0.4835
FLJ13224	-0.1245
USP9Y	-1.2116
C7orf53	-2.038
LRP1B	-0.22225
XAF1	0.4759
ABCG8	0.7015
ANKDD1A	-0.59
DAND5	-1.336
SPAG6	0.7552
LINCR	0.12625
ZDHHC22	-0.05175
CCDC60	0.473
THOC7	-1.74616666666667
TCTA	1.6054
OR8K3	-0.52275
NY-REN-7	0.069
B2M	0.953666666666667
C6orf141	-2.63125
LPPR4	0.88725
SQLE	0.30425
SEPHS1	-0.58275
BTBD14B	0.673071428571429
PLRG1	-0.70425
SPG7	-0.528625
ZNF614	-0.604833333333333
PARD6G	0.691166666666667
INPP5B	-1.2207
GRPEL2	0.341875
PPID	-0.7826
TRIM56	-1.45425
UBE2J1	-0.6645
IL20RA	3.31025
LOC387856	0.18925
C1orf107	-0.175666666666667
UTS2R	2.178
C19orf22	0.23275
SAFB2	-0.823125
KIAA0652	0.941375
KLRG1	-0.238833333333333
MS4A8B	0.699666666666667
FRAG1	-0.02825
KIAA1546	-0.51875
E2F4	-1.4416
CLEC4M	0.572
BTBD14A	-0.445
KIAA0999	-0.1384
GYPA	-2.12983333333333
TAC1	-0.1233
TRAIP	-1.30566666666667
KIAA0232	0.9415
ERCC8	-1.098875
GPX4	1.236375
KIAA0368	-2.0785
GPR157	0.221833333333333
CTAGE4	0.2095
C9orf30	-1.553
OR52A1	0.215
HSP90B3P	-0.2665
ALG9	-0.5677
BTBD10	0.8215
SDK2	0.118
BAIAP3	-1.05975
RABGGTB	0.49275
ANKRD40	1.1915
KRT74	-0.284
CALCOCO2	1.23857142857143
SNCA	-2.59775
TMSL8	-3.69225
C2orf53	0.3805
ESRRB	-1.033
ARHGAP26	-1.767
TDRD9	-2.59225
HRAS	0.458333333333333
KLRC4	-2.5115
JAGN1	-0.1725
BSDC1	0.4705
RNF43	0.7034
NDUFAF1	1.49125
PHF12	0.01225
OR1L3	1.3245
FOLR2	1.98190909090909
LYZL6	0.261
tcag7.1260	-1.3045
WSB1	-2.49916666666667
PROS1	-1.3385
OSTN	-0.358
PSMB8	0.12025
SOCS4	0.46575
DDIT4L	-0.43
MAS1	0.0775
MGC34796	1.87725
CSHL1	0.7485
TBCCD1	0.288
ZBTB7C	0.002
AP2S1	0.08825
P15RS	1.5146
VAT1	-0.00619999999999999
SHANK3	0.898833333333333
TUFM	0.63
THEG	0.2375
KRT34	-0.956333333333333
SGSM3	0.730625
TOMM22	0.459625
SOCS3	-0.0898333333333333
CPO	0.4555
POP4	0.48375
BHLHB3	-0.03775
MALL	-0.2165
OR1B1	0.231
PARK2	-0.2054
GPR124	-0.463625
LCE1E	0.387
RUVBL2	-0.1785
CGRRF1	0.9978
ACPL2	0.61875
WNT10B	-1.408125
BAIAP2L2	-1.837625
ISCA1	0.513
C1orf125	-0.07475
RPAP1	-0.726
RAI16	-0.502666666666667
RPL27	0.390625
NLRP9	1.1865
EPN1	0.6185
LOC388610	-2.5995
SLC35A1	1.3435
GAL	-4.19475
SLC14A2	0.0465
RDH11	-0.375666666666667
FAM138F	-0.008
AUH	0.03275
FLJ40243	-0.25675
C14orf129	1.132
MBD2	1.025
ABHD14B	-0.13325
PIGT	-0.147125
ALS2CR4	-1.149125
ALAS1	0.2007
FOXO1	0.1575
CRLF3	-0.738875
C20orf107	0.721
FARS2	1.43225
CCDC28A	0.7295
NPHP3	-1.874
OR13F1	0.5435
TSEN54	0.70025
DEFB106B	0.375888888888889
OR8B4	0.2775
STH	-0.27525
ZC3H14	-0.3655
CBX2	-0.118
TMEM49	0.777
C6orf21	0.545
FLJ20920	1.5665
CRTAP	0.139785714285714
DDX50	-0.4655
STYXL1	0.7145
BLVRB	0.753666666666667
LOC147650	-1.73333333333333
MMP24	0.421333333333333
GRID1	0.411666666666667
BANF1	-0.262166666666667
CTAGEP	0.4915
HMBS	-1.76975
SLC25A24	1.38483333333333
C14orf50	-0.3465
MRO	1.155
SLC25A15	-1.51375
FAM84B	1.9968
TDP1	-0.9555
C16orf78	0.0241666666666667
C11orf57	-0.485125
RFK	0.437125
ZFYVE9	-0.347625
STCH	-0.2053
WIBG	0.29925
LOC283871	0.301
GBA2	9.99999999999987e-05
NDUFB3	0.138
HSD17B13	-0.25
GRIN3A	0.649166666666667
FMNL1	-0.754
SEPT7	-1.0271
GNLY	0.811
GRAMD1C	0.723833333333333
ZNF165	0.778
USP38	0.939
FAM83A	-2.1095
C14orf24	0.277833333333333
ARMCX3	0.9755
ARHGDIB	1.2185
AK1	1.049875
KIAA1045	-0.276333333333333
DNAJB13	-0.6896
NEU2	0.2435
HIST1H4B	-0.179166666666667
FAM20B	-0.9137
HES2	-0.404846153846154
FAM73B	-0.3826
LOC388381	-0.927
INTS7	-0.482
AMPH	0.88175
ZNF775	0.405625
UCKL1	-0.458
C10orf97	0.446
C1orf161	-0.12625
ALDH1L1	-2.412
FLJ39378	-0.051875
SLC23A1	0.5225
RBM4B	0.02125
THAP4	-0.0965
OGFRL1	0.36925
KIAA0831	0.041375
PPP1R15A	-0.871333333333333
C1orf96	-0.495928571428571
C12orf11	-2.14425
BMF	0.66125
MAN1A1	0.1915
KIAA1600	0.496
NLGN4X	-1.6335
ALOX12	-0.633
RB1CC1	0.3319
NEIL2	0.0691
EIF4E	0.865190476190476
ABHD5	0.249
EXOC4	-0.0206666666666667
CIP29	-1.04416666666667
BATF2	-0.06175
SLC29A4	-0.620125
HTR4	-0.168666666666667
EMB	-0.9645
TRAF6	0.13275
LMNB1	-3.73875
FAM19A5	-0.82
SHE	0.6625
PIK3C2B	-0.29425
C15orf15	0.355
USP15	0.2038
TCEAL2	0.19925
C5orf39	-1.7575
PTGER2	-0.85775
SLC31A1	0.0031875
IFT172	-1.74075
ADAM29	0.346
GFOD1	-0.71725
ST7L	-0.275333333333333
C15orf26	-2.678
PKN3	-1.41525
CNTD1	4.98766666666667
COMMD1	-0.1645
NTRK2	1.23783333333333
FOXN3	-0.662
MFGE8	-0.6605
PFKFB2	-0.0943333333333333
TAS2R4	0.2035
ENTHD1	0.4352
PRMT5	-0.163375
MGC16384	-1.60825
LOC442229	-0.84875
TSKU	1.97
KRTCAP3	-2.93675
PDLIM1	0.5769
KCNS2	0.2575
RNF126	-0.354
CEP63	-0.85025
CLIC4	-1.149375
hCG_1990170	-0.27675
ACR	0.2539
KLK7	0.550666666666667
ALOX5AP	3.731125
RIPK3	1.618
TAS2R9	0.662
C19orf18	0.956
BIRC6	-0.227571428571429
ZNF16	1.2635
RFT1	-0.29
SLC8A2	-0.93
TACC1	-0.399375
ITGAD	0.34225
SAMHD1	0.84575
SH3PXD2B	0.4981
EPC2	-0.1275
C20orf85	0.0925714285714286
ATP13A2	0.346333333333333
KRT4	0.188125
CAPNS1	0.21525
MDM2	0.540666666666667
PCDH20	0.716
KCNK9	1.231
OR2C1	-0.696
KLHDC3	0.1715
IPPK	0.212
EFHD2	-0.468625
GALR3	2.19175
NBEA	0.399166666666667
ABCA6	1.039
CLDN3	1.41566666666667
AKT2	0.0339285714285714
EGFR	-3.16311111111111
RBM16	-0.28
ZDHHC3	0.5416
SLC25A4	0.675666666666667
CYB5B	-0.784666666666667
CPXM1	-0.3775
NDRG1	-0.828153846153846
FLJ43826	-0.18075
OR5L2	0.249333333333333
FARP2	0.7328
MRPL46	-0.153166666666667
LDHAL6B	0.457166666666667
MAPKAPK3	0.579166666666667
NCAM2	-0.5735
PRKD2	0.202833333333333
ZFP36L1	-0.1468
CYSLTR1	0.614
OR4C3	0.18175
HIST1H2AJ	3.6655
CCNB2	-2.166
ZNF10	-1.732125
TMEM175	1.078
FAM134A	1.43183333333333
TIGD4	0.042
PCNP	-0.2575
MGC39715	0.235
LQK1	-0.1105
CREB1	0.7553
TMPRSS3	-0.58775
C4orf32	2.05425
LAT	-1.46058333333333
KCNA3	0.844
SKIV2L2	-0.864
ROPN1B	-3.88675
tcag7.23	-0.898
CDT1	-2.92075
ZHX2	1.32775
CD28	-2.5175
ZNF624	1.12725
SEPT2	0.434583333333333
SOHLH2	-1.2662
MCOLN3	2.502875
UNQ1945	1.1055
MASP2	-1.0655
ZNRF3	0.3588
GPATCH3	-0.19575
AGL	-0.76475
QRICH2	-1.174
PSD4	0.638833333333333
CCNB1IP1	-2.6565
ENPP7	0.242
OBFC1	0.63575
KCNG3	-0.2895
C14orf79	1.76758333333333
ENPEP	0.9955
SCT	1.182
SKI	0.616625
SEC61G	-0.919
CAPN11	-0.24875
ATXN7L3	0.21075
DBNDD1	0.143833333333333
FAIM	-0.0335
ANKRD36	-1.709
GABRP	0.600833333333333
TACSTD2	1.58983333333333
EIF3J	-0.47075
PPP2R2A	-1.0775
TEKT4	-0.42
PVALB	-2.6925
F10	-2.674
FAM134C	1.8467
COMP	4.682
EFCBP1	-2.57225
SCLT1	-0.118125
TAL1	-0.903111111111111
ACSL1	0.2585
ABCC5	1.17741666666667
ABL1	-0.544666666666667
RBBP7	0.1805
PTPRG	-0.163875
NCOR1	0.2436
SPINK4	0.5135
TXNRD1	-0.5732
TNRC15	-0.292125
C9orf138	0.212375
UBE2H	1.84716666666667
BRDT	-0.0978
C8orf31	-0.2735
CCNE2	-1.10345454545455
SLC6A8	-2.29075
CALCR	-3.25925
PPP1CB	1.00808333333333
ABHD8	0.95875
ARF5	0.5823
SLC24A4	0.5825
CCT3	-0.44075
ZNF121	-0.259142857142857
SLC3A2	0.506
OR13A1	0.5735
SLC5A10	1.61275
RAD50	-1.10675
IER5	0.8055
MTHFD1L	-2.667125
MBTPS2	0.77875
MVK	0.569375
NCL	-0.9819
PSMD10	0.582
MOBP	0.492
FLJ32894	0.1225
HRH1	-1.51766666666667
C5orf30	1.71675
NUDT16L1	2.0122
RASGRP3	2.36883333333333
PRKRIP1	-0.3332
CCDC75	-0.821
LOC253970	0.56025
KIAA1239	0.115333333333333
MED21	-0.41175
SYT11	0.391666666666667
NTSR2	-0.8495
EGFL11	0.68
CXorf59	0.658
OR2A25	0.432
SPTBN2	-0.245
LRMP	-1.6654
RNF111	0.77575
PTH	0.358
LOC619208	0.482666666666667
KIAA0895	1.28175
RANBP5	-1.4045
P2RY10	-0.0685
NME5	-1.3596
DDX21	-1.69675
LRSAM1	0.327
HDAC11	2.32683333333333
VMO1	0.80825
NOLA2	0.226666666666667
ADAR	0.4525
MTO1	-0.735833333333333
SF4	-0.417166666666667
P2RX1	0.220166666666667
HBM	0.49175
EN2	2.1355
C14orf172	0.73475
TM9SF2	0.2789
INHBE	-0.0553333333333333
TCTE3	-0.167
TOX2	-3.69675
CTAGE3	0.208875
HBB	3.6001
MED15	-0.7685
CASR	0.41875
C6orf66	-1.49233333333333
MTPN	-0.47875
UNC50	-0.16225
C21orf33	0.2855
IRF2	0.30075
PGR	-0.717333333333333
GPR84	1.533
CROCCL1	-4.867
SRPX	-2.2975
BRE	-0.1225
FGF10	0.19225
SDC3	-1.0485
ZRSR1	-0.263333333333333
DKFZP434P211	-0.6725
SOX6	0.2005
RPUSD2	0.19075
C14orf173	0.325666666666667
MAPK11	-0.4305
TBC1D22A	1.098
FAM123A	-1.254
COL4A6	-3.754
TOMM70A	0.426
NAB1	-0.849125
MGC16385	-0.952625
TSPAN18	-0.200166666666667
MED31	0.4735
PLG	0.31925
CAPSL	2.3355
ZNF532	-0.6647
ASB14	-0.345
CA8	1.9075
NUDT16P	0.154666666666667
SLFN11	-1.3675
LRRIQ2	0.479375
NOL7	-0.095
BRMS1L	-0.682125
JARID1A	-0.113166666666667
PANK2	-1.117
ICAM3	0.359
MDS1	0.6205
TAF8	-0.401
RNF139	1.143
ZNF594	-1.2215
ADAM8	0.071
SFTPC	-0.163375
MAN2B2	0.702
RGS12	0.1478125
EIF1AY	-3.41854545454545
LRRIQ1	-1.71566666666667
GPR150	2.22875
CCDC21	-1.16683333333333
PRRG3	-0.12075
SAA4	-3.53575
RAPGEF5	0.617125
ZCCHC2	0.4645
MGC39372	0.2
PPP4R2	0.5345
CDCA2	-1.92333333333333
OR4D5	0.616166666666667
PTGFRN	0.2349
SIGLEC5	1.8945
C19orf61	-0.195333333333333
NMUR2	-0.3205
KIAA1586	-2.13766666666667
DAGLA	0.0581666666666667
CHCHD6	0.8175
GPR32	-0.5165
NEUROD6	0.182166666666667
SLC2A4RG	0.512875
CA5B	-1.228
FBXL3	1.09925
MPHOSPH9	-0.86775
HMG2L1	0.305
HCN4	1.181
CEACAM19	-0.2285
SH2D4B	0.526166666666667
HFE2	-0.088
TGM4	0.681
LYPD2	-0.34825
TBC1D15	0.84575
MRPS21	-0.4774
NONO	-0.896
CLEC5A	1.2705
ITCH	-0.2462
MGAT3	-1.53083333333333
MBP	0.500714285714286
RPP25	-1.6095
SOSTDC1	-2.09833333333333
HRC	-1.67125
TRIM48	0.7435
TMEM133	-0.564
ECEL1P2	-1.01275
HOXC11	-0.3715
DOK5	-0.6065
HELZ	0.361333333333333
LOC348180	-0.4925
MGC33894	0.23475
ADRB3	0.423
DMD	-0.853666666666667
PTRH2	0.9095
MPEG1	2.1955
NDUFA12	0.239833333333333
KRTAP2-4	0.7923
STAMBPL1	-1.195
ADCY2	0.0238333333333333
UNQ6125	0.7625
KLHL20	0.292
SRM	-1.125
OTC	-0.349
TMIE	-0.389166666666667
SNX8	0.96575
LIPK	0.4865
CHURC1	0.1985
KLC2	0.499
HDAC1	-0.501666666666667
FAM128A	0.387
FNDC3B	-0.6576
MTCP1	-0.762333333333333
WFDC10B	-0.0396
PCDHGB3	-0.0205
ATRNL1	-0.4866
CAV2	-0.982
MED26	-0.2005
DUS1L	1.3305
CHRM3	-1.7005
NEK9	0.60175
WARS2	-0.0705
TBX22	1.225
TOMM40	-0.4535
RP6-213H19.1	-0.910666666666667
TUBGCP5	0.01525
IGSF6	4.70475
TPPP	-0.0272
UNQ6190	0.5495
GSTM5	0.214375
BTD	0.8165
PDCD1LG2	0.175833333333333
SNRPB2	-1.19183333333333
ERICH1	-1.45725
APOA4	-1.646875
HOXA11	-0.713666666666667
NARG1	-0.00025
MKX	3.86925
RAB28	-0.427076923076923
PKP3	1.09675
SH3GL2	-1.69366666666667
CTSO	3.943
RPN2	0.2321875
IL28RA	0.7008
SFMBT1	0.095
WDR57	0.992875
FER1L3	0.10025
HSF5	0.7344
TTC9B	0.755
C4BPA	-3.312
ALB	-3.49027272727273
SORBS3	-0.4065
UPF2	-0.9465
JPH1	-0.941
AGBL2	-0.05875
DOPEY1	0.3825
TERF1	-0.4815
KIF22	-0.851
NINJ1	0.23375
SEC61A2	0.569
HIST1H1D	0.0583333333333333
SFXN4	0.447
UCP3	0.105
ZNF703	2.3295
MYL6B	-0.987
TREM1	0.84475
OR52E6	0.939
CKMT2	-0.584
HLA-C	1.3675
SLC13A3	-2.69933333333333
TIMP4	-2.61775
SLIT2	1.468
RSF1	-0.317222222222222
LONRF1	-1.34457142857143
MON1A	-0.0526666666666667
CACNG6	-1.014
DPPA4	-4.54133333333333
ZSWIM3	-0.092
ZNF804A	0.417
CCIN	0.85275
SLC25A31	0.1725
KCNMB4	-1.2485
RABL5	0.2875
GALNS	-0.6492
STX6	-0.0425
HIST1H1C	0.821666666666667
CIDEB	-1.247875
CASP4	-1.3035
PDK3	0.2693
KCNJ11	2.027
TPR	-1.592
ZSCAN20	-1.18
MTX2	-0.0585
HIST1H2BH	0.8455
LOC283767	0.00175000000000002
LYRM7	-1.73472222222222
BRD3	-0.0925
HIST1H2BO	0.6465
MAGEB10	-0.3245
SLC45A1	-0.15625
SERPINA3	2.36455
KIAA0143	1.36775
KCNJ16	0.175833333333333
KRT79	0.15075
FABP2	0.213
NUT	0.18125
ZNF57	-0.036
FBXL4	0.74325
CLEC9A	1.013
UGT8	-1.3445
BMP2K	0.4055
MAPK4	-3.34575
SLC25A23	-0.8447
HINT1	0.4984
KRTAP13-1	-0.9705
SFXN5	-0.463222222222222
CHCHD2	0.957833333333333
FAM3D	0.2555
NDP	-2.50675
RHOBTB1	-0.8665
SLC4A4	-1.15
RPL38	0.1945
HTF9C	0.0505
AP2A2	0.072625
ZBTB46	0.552
MAP7D1	-0.237125
AOX1	-1.0085
CYR61	-0.879
DTNA	1.03846153846154
JRKL	-0.173
TMOD3	0.40475
EEA1	-0.322
ADCK5	-0.02575
IL1R1	1.82366666666667
KLK3	1.00371428571429
HRSP12	0.6625
KTN1	-1.03575
LOH11CR2A	0.7532
RELL2	-0.51475
MAB21L1	0.08375
C20orf59	-0.753166666666667
PHKB	-0.65325
ADAM2	-0.514333333333333
TBC1D8B	0.579333333333333
FAM13A1	-1.324
LAPTM4B	0.157333333333333
LCN8	-0.168
TMEM147	1.4665
SYT4	-0.239666666666667
XPO7	-1.444
C9orf62	2.105
GPR75	-0.6565
TRIM5	0.346
APOC1	0.371333333333333
RNASE4	2.13533333333333
PARD6B	0.965
ARID1A	-0.302
TPD52L3	0.096625
RRAGB	2.2475
RCN2	-0.160166666666667
HIST2H2BE	1.1946
STARD7	0.084
SHMT2	-0.794
KIAA1751	0.0536
MLYCD	0.107375
LOC162632	0.4467
UQCRH	-1.21125
RP11-217H1.1	0.1715625
SDHA	-0.766666666666667
NCLN	0.1445
ZNF17	-0.0668333333333333
RCBTB2	-1.77675
VEGFB	-0.2664
RP4-747L4.3	0.132
COLQ	-0.3415
MPN2	-0.612666666666667
DRG2	0.40825
KLRB1	3.27675
ALPK2	-2.67175
DNASE2B	0.93425
FLJ23834	-0.3894
AXUD1	1.30633333333333
SAFB	-0.5734
NSUN4	0.27175
RFX2	-0.600833333333333
MAPK8IP1	0.524166666666667
FANCD2	-1.40378571428571
ANKZF1	-1.60966666666667
C19orf50	-0.447375
DUSP8	1.237375
SENP5	0.0415
NFKBIL2	-0.05475
LBR	-1.53075
IGFL1	0.7415
LZTS2	0.288125
IL2RG	-0.63
CCDC51	0.645
KLF3	-0.282625
ANKRD37	-2.43275
KCTD14	-1.38466666666667
FZR1	0.456083333333333
SLC44A4	4.2194
ESPL1	-0.813857142857143
GMPR2	-0.0522
TBC1D19	-0.766
ERGIC1	1.63138461538462
ERBB4	1.59088888888889
TSPAN32	0.480333333333333
MAP4	-0.677625
GPHN	-0.0695
SLC6A2	0.32825
HIVEP1	-0.64
DFFB	-0.3054
EIF4EBP2	0.342375
DMRT1	0.505
HSPB6	-0.0325
IER2	-0.889166666666667
AIFM1	-0.17425
WWC2	-0.301916666666667
MRPL4	0.233
FLJ21062	-0.156666666666667
EPB41L4A	-0.327090909090909
SH2D6	0.2205
TAF4B	-1.259
GAL3ST3	-0.548
MALT1	-0.577333333333333
RTDR1	1.34775
ARVCF	-0.586125
MEX3B	-0.846
FBXO16	1.06225
KIF7	-1.7835
C1QC	4.28416666666667
ZNF783	-1.12783333333333
ZNF85	0.15525
MMP13	2.9915
KIAA0329	-0.15525
RTP3	-0.00700000000000001
ZBED3	-0.528
CLGN	1.04275
SLC25A37	-2.11678260869565
hCG_18290	-0.81275
OR5AS1	-0.004
SMARCC2	0.270333333333333
FAM109A	0.259333333333333
CCDC12	-0.3585
USF2	0.1685
DEPDC7	-2.12025
C20orf24	0.168333333333333
JMJD3	0.0815
DSP	-0.681461538461539
SLIC1	0.258857142857143
FAM20A	0.25025
IRF2BP2	-0.493
ZNF230	0.0855
