Hybridization REF	TCGA-C8-A12U-01A-11R-A115-07
DBNDD1	0.979833333333333
FAIM	0.56825
ANKRD36	0.4695
GABRP	-0.0515
TACSTD2	1.609
EIF3J	-0.20475
PPP2R2A	-1.2645
TEKT4	0.653666666666667
PVALB	0.8605
F10	-3.24666666666667
FAM134C	0.1096
COMP	2.7695
EFCBP1	-4.0304375
SCLT1	1.053375
TAL1	-1.2964
ACSL1	-0.7105
ABCC5	-0.550083333333333
ABL1	-0.126333333333333
RBBP7	-0.531666666666667
PTPRG	-1.548375
NCOR1	-0.0572
SPINK4	-1.50066666666667
TXNRD1	-1.2991
TNRC15	1.46775
C9orf138	0.338125
UBE2H	0.901666666666667
BRDT	-0.0461666666666666
C8orf31	-0.06425
CCNE2	1.41172727272727
SLC6A8	-1.69025
CALCR	-4.36675
PPP1CB	0.481083333333333
ABHD8	-0.8285
ARF5	0.33
SLC24A4	0.373
CCT3	0.84825
ZNF121	0.890625
SLC3A2	-1.1315
OR13A1	0.323
SLC5A10	-0.33425
RAD50	0.734625
IER5	-0.140375
MTHFD1L	-2.325875
MBTPS2	0.3205
MVK	0.1645
NCL	0.7581
PSMD10	0.518
MOBP	0.099875
FLJ32894	1.034
HRH1	0.780166666666667
C5orf30	2.09825
NUDT16L1	1.332
RASGRP3	3.13283333333333
PRKRIP1	0.0217
CCDC75	0.689
LOC253970	0.3
KIAA1239	-0.38125
MED21	-1.6635
SYT11	-0.3405
NTSR2	0.218
EGFL11	-0.1695
CXorf59	0.4155
OR2A25	0.4525
SPTBN2	-1.05175
LRMP	-1.18866666666667
RNF111	0.30325
PTH	0.1455
LOC619208	0.436666666666667
KIAA0895	1.321
RANBP5	-1.454125
P2RY10	1.68066666666667
NME5	4.14416666666667
DDX21	-0.7645
LRSAM1	0.9355
HDAC11	2.20483333333333
VMO1	1.83075
NOLA2	0.3005
ADAR	0.699166666666667
MTO1	-0.388
SF4	0.2255
P2RX1	0.0463333333333333
HBM	0.338
EN2	-0.1635
C14orf172	0.02925
TM9SF2	0.0275
INHBE	-0.966666666666667
TCTE3	0.217083333333333
TOX2	-2.784
CTAGE3	1.037375
HBB	2.7066
MED15	-0.488166666666667
CASR	0.4715
C6orf66	-1.11266666666667
MTPN	0.284125
UNC50	-0.083
C21orf33	0.073
IRF2	0.885375
PGR	-1.5445
GPR84	1.617
CROCCL1	-1.932
SRPX	-3.57775
BRE	0.4175
FGF10	0.05875
SDC3	0.3465
ZRSR1	0.211666666666667
DKFZP434P211	-0.40475
SOX6	0.243
RPUSD2	-0.3045
C14orf173	-0.286333333333333
MAPK11	-0.473333333333333
TBC1D22A	-0.2575
FAM123A	-0.5465
COL4A6	-3.50416666666667
TOMM70A	0.77475
NAB1	-0.939375
MGC16385	0.804125
TSPAN18	-0.560333333333333
MED31	0.06325
PLG	-0.568
CAPSL	0.933
ZNF532	0.9292
ASB14	-0.04125
CA8	1.482
NUDT16P	-0.5115
SLFN11	-1.146
LRRIQ2	1.766
NOL7	-0.219833333333333
BRMS1L	-0.2895
JARID1A	1.41216666666667
PANK2	-0.2425
ICAM3	-0.80625
MDS1	-0.48225
TAF8	0.732
RNF139	1.7675
ZNF594	-0.389333333333333
ADAM8	2.061
SFTPC	-0.08375
MAN2B2	1.392125
RGS12	0.2789375
EIF1AY	-4.65841666666667
LRRIQ1	1.40083333333333
GPR150	-0.104
CCDC21	-0.5695
PRRG3	0.35925
SAA4	-4.152
RAPGEF5	0.939
ZCCHC2	1.01308333333333
MGC39372	-0.404
PPP4R2	0.609666666666667
CDCA2	-0.9435
OR4D5	0.509333333333333
PTGFRN	-0.8459
SIGLEC5	1.0485
C19orf61	-0.426333333333333
NMUR2	0.1065
KIAA1586	-1.7795
DAGLA	-0.409333333333333
CHCHD6	0.1445
GPR32	0.29
NEUROD6	-0.1365
SLC2A4RG	0.218125
CA5B	-0.25825
FBXL3	0.298
MPHOSPH9	-0.8645
HMG2L1	0.391
HCN4	-0.134166666666667
CEACAM19	0.17825
SH2D4B	0.639666666666667
HFE2	-0.8805
TGM4	0.1425
LYPD2	0.093
TBC1D15	0.5035
MRPS21	-1.0483
NONO	-0.257
CLEC5A	0.914875
ITCH	0.0486
MGAT3	-1.55483333333333
MBP	-1.070875
RPP25	0.79925
SOSTDC1	-2.52825
HRC	-1.56625
TRIM48	-0.1285
TMEM133	-1.47725
ECEL1P2	-1.38025
HOXC11	-0.4265
DOK5	-1.75475
HELZ	1.02316666666667
LOC348180	-0.3645
MGC33894	0.2865
ADRB3	0.0605
DMD	-0.671416666666667
PTRH2	1.44975
MPEG1	2.9215
NDUFA12	0.9595
KRTAP2-4	0.105416666666667
STAMBPL1	-1.64666666666667
ADCY2	-1.35383333333333
UNQ6125	0.526
KLHL20	0.101
SRM	-0.70275
OTC	-0.17675
TMIE	0.120666666666667
SNX8	0.60875
LIPK	0.1475
CHURC1	0.2675
KLC2	0.188666666666667
HDAC1	-0.0406666666666667
FAM128A	2.00616666666667
FNDC3B	-0.9764
MTCP1	0.548
WFDC10B	0.4201
PCDHGB3	0.693
ATRNL1	-2.3027
CAV2	-1.64075
MED26	-0.0368333333333333
DUS1L	1.37275
CHRM3	-1.45075
NEK9	-0.4335
WARS2	-0.5545
TBX22	-0.4065
TOMM40	-0.2155
RP6-213H19.1	0.380666666666667
TUBGCP5	-0.47025
IGSF6	4.88725
TPPP	1.2955
UNQ6190	-0.195
GSTM5	-0.524125
BTD	0.719666666666667
PDCD1LG2	0.480333333333333
SNRPB2	0.706166666666667
ERICH1	-0.30575
APOA4	-1.464375
HOXA11	-2.315
NARG1	-0.106625
MKX	-0.599
RAB28	-0.174142857142857
PKP3	1.3245
SH3GL2	-2.404
CTSO	3.35625
RPN2	0.92375
IL28RA	-0.509833333333333
SFMBT1	0.70025
WDR57	-1.007
FER1L3	0.5885
HSF5	0.286333333333333
TTC9B	1.51075
C4BPA	-3.48833333333333
ALB	-4.8595
SORBS3	0.78275
UPF2	0.309
JPH1	0.7735
AGBL2	1.157
DOPEY1	0.3075
TERF1	0.585666666666667
KIF22	0.317833333333333
NINJ1	0.68775
SEC61A2	0.4505
HIST1H1D	2.0055
SFXN4	0.126
UCP3	0.1997
ZNF703	1.07383333333333
MYL6B	-1.72025
TREM1	0.82675
OR52E6	0.4345
CKMT2	-1.22
HLA-C	2.84775
SLC13A3	-2.02366666666667
TIMP4	-3.97375
SLIT2	1.164
RSF1	0.012
LONRF1	-0.752785714285714
MON1A	0.338
CACNG6	0.1615
DPPA4	-5.43583333333333
ZSWIM3	0.66425
ZNF804A	0.463666666666667
CCIN	0.56075
SLC25A31	0.5735
KCNMB4	-0.4175
RABL5	0.91875
GALNS	0.6253
STX6	0.075875
HIST1H1C	4.32233333333333
CIDEB	-0.94875
CASP4	0.596
PDK3	1.0301
KCNJ11	1.1905
TPR	-0.658
ZSCAN20	-0.164
MTX2	0.3
HIST1H2BH	2.536
LOC283767	-0.103
LYRM7	-0.854833333333333
BRD3	0.394666666666667
HIST1H2BO	1.98775
MAGEB10	-0.0455
SLC45A1	0.77675
SERPINA3	-0.56735
KIAA0143	1.69625
KCNJ16	-0.578833333333333
KRT79	-0.4645
FABP2	-0.81575
NUT	-0.12525
ZNF57	0.749
FBXL4	0.325375
CLEC9A	1.347
UGT8	-0.935833333333333
BMP2K	-0.00375000000000001
MAPK4	-3.5965
SLC25A23	-0.1154
HINT1	-0.4393
KRTAP13-1	0.208
SFXN5	0.0413
CHCHD2	0.559
FAM3D	0.0375
NDP	-3.635625
RHOBTB1	0.596666666666667
SLC4A4	-1.3095
RPL38	1.11475
HTF9C	-0.4145
AP2A2	0.162625
ZBTB46	-0.6015
MAP7D1	-0.020625
AOX1	-2.47316666666667
CYR61	-1.06016666666667
DTNA	2.51114285714286
JRKL	-1.24425
TMOD3	0.65825
EEA1	-1.5782
ADCK5	0.42575
IL1R1	-1.0135
KLK3	-0.0602857142857143
HRSP12	1.1515
KTN1	0.404
LOH11CR2A	0.4114
RELL2	-0.30875
MAB21L1	0.335
C20orf59	-0.9235
PHKB	0.267
ADAM2	-1.45666666666667
TBC1D8B	1.32966666666667
FAM13A1	-1.560625
LAPTM4B	1.39791666666667
LCN8	0.235
TMEM147	0.5995
SYT4	0.426
XPO7	-0.714
C9orf62	-0.02075
GPR75	0.6565
TRIM5	-0.279
APOC1	1.112
RNASE4	-1.64616666666667
PARD6B	-2.51125
ARID1A	0.69375
TPD52L3	0.0984
RRAGB	0.402666666666667
RCN2	-0.248
HIST2H2BE	2.1209375
STARD7	-0.008
SHMT2	-1.6475
KIAA1751	0.147333333333333
MLYCD	0.455875
LOC162632	1.34
UQCRH	-0.32075
RP11-217H1.1	0.5529375
SDHA	-1.4045
NCLN	-0.4416
ZNF17	0.471666666666667
RCBTB2	-2.673
VEGFB	-0.866
RP4-747L4.3	-0.48825
COLQ	0.3117
MPN2	-0.602
DRG2	-0.04825
KLRB1	4.23575
ALPK2	-3.62675
DNASE2B	0.7465
FLJ23834	-0.421166666666667
AXUD1	0.143666666666667
SAFB	-0.1685
NSUN4	0.85025
RFX2	-0.137166666666667
MAPK8IP1	-0.424166666666667
FANCD2	-0.370071428571429
ANKZF1	-1.33616666666667
C19orf50	-0.16
DUSP8	1.968125
SENP5	0.228125
NFKBIL2	-0.235
LBR	-1.671
IGFL1	-0.6225
LZTS2	0.4195
IL2RG	0.42075
CCDC51	0.79625
KLF3	-0.210625
ANKRD37	-0.9965
KCTD14	-2.52516666666667
FZR1	0.30125
SLC44A4	3.1733
ESPL1	-0.472625
GMPR2	0.3121
TBC1D19	-0.532166666666667
ERGIC1	0.433851851851852
ERBB4	3.2797
TSPAN32	0.475833333333333
MAP4	-0.62675
GPHN	-0.38125
SLC6A2	-0.23725
HIVEP1	0.50925
DFFB	-0.3355
EIF4EBP2	0.09075
DMRT1	0.54125
HSPB6	-0.20675
IER2	-0.134666666666667
AIFM1	1.01175
WWC2	-0.40725
MRPL4	-0.58425
FLJ21062	-0.153666666666667
EPB41L4A	0.955083333333333
SH2D6	0.16275
TAF4B	-0.77825
GAL3ST3	-0.1995
MALT1	-1.41166666666667
RTDR1	0.116
ARVCF	-0.21625
MEX3B	0.35
FBXO16	1.6505
KIF7	-2.969
C1QC	3.85816666666667
ZNF783	0.174833333333333
ZNF85	0.9475
MMP13	-0.3995
KIAA0329	-0.0665
RTP3	-0.1055
ZBED3	-2.903
CLGN	-1.39675
SLC25A37	-2.08916666666667
hCG_18290	-0.536
OR5AS1	0.5485
SMARCC2	-0.320666666666667
FAM109A	-0.161
CCDC12	0.30225
USF2	0.0336
DEPDC7	-3.73325
C20orf24	0.365666666666667
JMJD3	0.6445
DSP	0.418714285714286
SLIC1	0.466
FAM20A	0.055375
IRF2BP2	1.279125
ZNF230	0.2745
MSN	-1.24921428571429
SLC9A5	-0.802
EPDR1	-3.0749
MUSK	0.216666666666667
ZNF434	0.864
SMARCD1	-0.902
ZFP106	-0.65875
