Hybridization REF	TCGA-AR-A0TX-01A-11R-A084-07
USP9Y	-1.6808
C7orf53	-0.539
LRP1B	1.905
XAF1	1.9968
ABCG8	-0.7525
ANKDD1A	-0.189833333333333
DAND5	-3.184
SPAG6	0.5115
LINCR	0.30175
ZDHHC22	-2.114875
CCDC60	0.0915
THOC7	-1.52266666666667
TCTA	0.9533
OR8K3	-0.08225
NY-REN-7	-0.22725
B2M	1.83616666666667
C6orf141	-0.984375
LPPR4	4.11925
SQLE	-1.073125
SEPHS1	0.1655
BTBD14B	0.418785714285714
PLRG1	-0.32925
SPG7	0.058375
ZNF614	0.0788333333333334
PARD6G	0.890166666666667
INPP5B	-0.8769
GRPEL2	-0.454375
PPID	-0.6803
TRIM56	0.05075
UBE2J1	0.302625
IL20RA	3.7165
LOC387856	0.59525
C1orf107	-0.18675
UTS2R	0.377
C19orf22	0.17675
SAFB2	-0.43825
KIAA0652	0.56975
KLRG1	0.748166666666667
MS4A8B	1.939
FRAG1	0.10625
KIAA1546	0.204
E2F4	-0.4483
CLEC4M	0.0881666666666667
BTBD14A	-1.585
KIAA0999	0.7104
GYPA	-3.50666666666667
TAC1	-0.332
TRAIP	-2.39916666666667
KIAA0232	1.0868
ERCC8	-0.86475
GPX4	1.1115
KIAA0368	0.67875
GPR157	0.316666666666667
CTAGE4	1.266
C9orf30	-0.884333333333334
OR52A1	0
HSP90B3P	-0.369
ALG9	-0.3513
BTBD10	0.7125
SDK2	0.16575
BAIAP3	1.188
RABGGTB	-0.959
ANKRD40	-0.864166666666667
KRT74	0.327
CALCOCO2	0.422
SNCA	-3.03075
TMSL8	-0.453375
C2orf53	0.032
ESRRB	-0.401
ARHGAP26	0.0495
TDRD9	-2.69125
HRAS	-0.1595
KLRC4	-1.704
JAGN1	-1.04083333333333
BSDC1	0.679
RNF43	0.1107
NDUFAF1	-0.0805
PHF12	0.49225
OR1L3	-0.132333333333333
FOLR2	2.502
LYZL6	0.00539999999999996
tcag7.1260	-0.781
WSB1	-1.67883333333333
PROS1	-0.7407
OSTN	0.2815
PSMB8	1.617
SOCS4	0.1705
DDIT4L	1.347
MAS1	0.4405
MGC34796	-0.00825
CSHL1	0.582666666666667
TBCCD1	0.292
ZBTB7C	0.259
AP2S1	-0.3035
P15RS	0.4074
VAT1	-1.0408
SHANK3	1.30133333333333
TUFM	-0.0131666666666667
THEG	-0.988
KRT34	-2.26225
SGSM3	1.059875
TOMM22	-0.185875
SOCS3	1.215
CPO	0.5555
POP4	0.501
BHLHB3	1.2655
MALL	4.1545
OR1B1	0.1515
PARK2	0.236833333333333
GPR124	0.42425
LCE1E	-0.148
RUVBL2	-0.78925
CGRRF1	0.0039
ACPL2	0.355
WNT10B	-1.032625
BAIAP2L2	-2.60275
ISCA1	1.068
C1orf125	0.4085
RPAP1	-1.058
RAI16	-1.22283333333333
RPL27	-1.2175
NLRP9	-0.323
EPN1	0.1065
LOC388610	-0.203625
SLC35A1	1.6735
GAL	-3.712
SLC14A2	0.436
RDH11	-0.0556666666666667
FAM138F	-0.5105
AUH	0.14775
FLJ40243	0.067
C14orf129	1.19733333333333
MBD2	0.4455
ABHD14B	0.225625
PIGT	0.770875
ALS2CR4	0.353125
ALAS1	0.8962
FOXO1	1.22766666666667
CRLF3	-0.190875
C20orf107	0.1285
FARS2	0.49075
CCDC28A	-0.31025
NPHP3	-0.852
OR13F1	0.141
TSEN54	-0.099
DEFB106B	0.1371
OR8B4	0.0535
STH	0.21275
ZC3H14	-0.47325
CBX2	-0.3605
TMEM49	-1.02525
C6orf21	0.207
FLJ20920	0.27675
CRTAP	-0.0941428571428572
DDX50	-0.253
STYXL1	-0.72075
BLVRB	0.8455
LOC147650	-0.232666666666667
MMP24	0.72975
GRID1	1.50616666666667
BANF1	-0.21
CTAGEP	0.927
HMBS	-1.618
SLC25A24	-0.000833333333333334
C14orf50	0.353
MRO	0.678333333333333
SLC25A15	-0.4705
FAM84B	1.9182
TDP1	-0.983
C16orf78	-0.0738
C11orf57	-0.2515
RFK	-0.12575
ZFYVE9	0.0655
STCH	-0.7508
WIBG	0.96825
LOC283871	0.5115
GBA2	-0.0544
NDUFB3	-0.5085
HSD17B13	0.683
GRIN3A	2.0675
FMNL1	0.481833333333333
SEPT7	-0.4826
GNLY	4.809
GRAMD1C	0.418
ZNF165	-0.676
USP38	1.3075
FAM83A	-3.47616666666667
C14orf24	0.3975
ARMCX3	1.490875
ARHGDIB	1.1755
AK1	0.4475
KIAA1045	0.27575
DNAJB13	-0.102666666666667
NEU2	0.6355
HIST1H4B	-1.8995
FAM20B	-0.3485
HES2	2.56471428571429
FAM73B	-0.0613
LOC388381	1.11225
INTS7	-0.308727272727273
AMPH	2.012
ZNF775	-0.503375
UCKL1	-1.12
C10orf97	0.53
C1orf161	0.248
ALDH1L1	0.876
FLJ39378	-0.520125
SLC23A1	-0.3145
RBM4B	0.5815
THAP4	0.210333333333333
OGFRL1	0.3305
KIAA0831	-0.106375
PPP1R15A	-0.0686666666666667
C1orf96	-0.643
C12orf11	-1.7955
BMF	0.78625
MAN1A1	0.01275
KIAA1600	0.944833333333333
NLGN4X	-1.22275
ALOX12	-1.8
RB1CC1	-0.5459
NEIL2	-0.3574
EIF4E	0.290181818181818
ABHD5	-0.75825
EXOC4	0.1325
CIP29	0.3365
BATF2	1.76875
SLC29A4	-0.24225
HTR4	0.33825
EMB	0.232
TRAF6	1.038
LMNB1	-1.04475
FAM19A5	1.37225
SHE	2.19125
PIK3C2B	1.5465
C15orf15	-0.8883
USP15	1.6233
TCEAL2	-0.33325
C5orf39	-0.507166666666667
PTGER2	-0.38325
SLC31A1	0.885125
IFT172	1.00225
ADAM29	0.3205
GFOD1	0.12325
ST7L	-0.197166666666667
C15orf26	-3.68125
PKN3	-1.98275
CNTD1	2.52283333333333
COMMD1	0.568875
NTRK2	2.0235
FOXN3	0.863375
MFGE8	-0.5506
PFKFB2	0.181166666666667
TAS2R4	-0.136
ENTHD1	2.49283333333333
PRMT5	-0.545
MGC16384	-1.364
LOC442229	-0.656
TSKU	1.660125
KRTCAP3	0.972
PDLIM1	1.2735
KCNS2	0.5115
RNF126	-0.5785
CEP63	-0.66075
CLIC4	0.527
hCG_1990170	-0.279
ACR	1.1122
KLK7	-0.23675
ALOX5AP	3.393
RIPK3	3.694
TAS2R9	-0.056
C19orf18	2.2395
BIRC6	0.307
ZNF16	0.941
RFT1	-1.0095
SLC8A2	-0.26925
TACC1	0.33
ITGAD	1.98275
SAMHD1	2.117
SH3PXD2B	1.1129
EPC2	0.79725
C20orf85	1.606
ATP13A2	0.626166666666667
KRT4	0.37025
CAPNS1	0.664
MDM2	0.271083333333333
PCDH20	5.33175
KCNK9	0.623
OR2C1	-0.0205
KLHDC3	-0.450333333333333
IPPK	1.445
EFHD2	-0.157375
GALR3	0.27275
NBEA	1.04766666666667
ABCA6	3.775
CLDN3	1.83533333333333
AKT2	-0.625071428571429
EGFR	-0.8857
RBM16	0.396625
ZDHHC3	0.5219
SLC25A4	0.631166666666667
CYB5B	-0.182166666666667
CPXM1	0.959
NDRG1	-1.36130769230769
FLJ43826	0.72625
OR5L2	-0.358
FARP2	1.0528
MRPL46	-1.23
LDHAL6B	-0.0321666666666667
MAPKAPK3	-0.913333333333333
NCAM2	-1.73475
PRKD2	0.738666666666667
ZFP36L1	1.2477
CYSLTR1	0.2385
OR4C3	0.02575
HIST1H2AJ	1.476
CCNB2	-2.41244444444444
ZNF10	-0.535625
TMEM175	0.3115
FAM134A	0.701333333333333
TIGD4	-0.289
PCNP	-0.052
MGC39715	1.75275
LQK1	-1.1535
CREB1	1.0212
TMPRSS3	-1.24075
C4orf32	1.06875
LAT	-0.208166666666667
KCNA3	0.409
SKIV2L2	-0.67
ROPN1B	-1.86475
tcag7.23	-0.33
CDT1	-2.151125
ZHX2	0.91625
CD28	-1.493
ZNF624	1.02575
SEPT2	0.465666666666667
SOHLH2	-1.321
MCOLN3	-0.501625
UNQ1945	0.3135
MASP2	-1.2215
ZNRF3	-0.6424
GPATCH3	-0.0425
AGL	0.01525
QRICH2	-0.3055
PSD4	1.412
CCNB1IP1	-2.1865
ENPP7	0.1745
OBFC1	-0.19775
KCNG3	-1.5325
C14orf79	0.888333333333333
ENPEP	1.92033333333333
SCT	1.7535
SKI	0.853875
SEC61G	-1.41625
CAPN11	0.7345
ATXN7L3	-0.25225
DBNDD1	0.954
FAIM	0.34225
ANKRD36	-1.797
GABRP	0.401666666666667
TACSTD2	1.68633333333333
EIF3J	-1.0005
PPP2R2A	-0.756
TEKT4	0.265
PVALB	-3.47083333333333
F10	-2.26416666666667
FAM134C	0.5646
COMP	4.178875
EFCBP1	-2.7209375
SCLT1	-0.427125
TAL1	-1.116
ACSL1	3.093
ABCC5	0.71725
ABL1	-0.528444444444444
RBBP7	-0.305083333333333
PTPRG	-1.084625
NCOR1	-0.0428
SPINK4	-2.61416666666667
TXNRD1	-0.8996
TNRC15	0.113375
C9orf138	0.49375
UBE2H	-0.0885
BRDT	0.483666666666667
C8orf31	-0.237
CCNE2	-0.896090909090909
SLC6A8	-0.972875
CALCR	-3.92075
PPP1CB	1.52516666666667
ABHD8	0.328
ARF5	0.4708
SLC24A4	1.12525
CCT3	-0.5005
ZNF121	-0.169125
SLC3A2	-0.7652
OR13A1	0.2045
SLC5A10	-0.471
RAD50	-0.411625
IER5	-0.18775
MTHFD1L	-2.16475
MBTPS2	-0.048
MVK	0.200375
NCL	-0.4237
PSMD10	0.166
MOBP	0.230625
FLJ32894	0.0105
HRH1	-0.8945
C5orf30	0.13
NUDT16L1	1.3924
RASGRP3	4.08133333333333
PRKRIP1	-0.329
CCDC75	-0.3755
LOC253970	-0.00949999999999998
KIAA1239	2.378
MED21	-1.069
SYT11	0.871083333333333
NTSR2	0.2255
EGFL11	-0.913
CXorf59	0.1315
OR2A25	0.22425
SPTBN2	0.6955
LRMP	-0.409
RNF111	-0.00625
PTH	0.3865
LOC619208	0.773666666666667
KIAA0895	0.88075
RANBP5	-1.328375
P2RY10	2.89316666666667
NME5	3.9855
DDX21	-1.26
LRSAM1	0.3915
HDAC11	0.543333333333333
VMO1	1.1865
NOLA2	-0.430666666666667
ADAR	0.499916666666667
MTO1	-0.5135
SF4	-0.00550000000000001
P2RX1	0.28
HBM	-0.28975
EN2	0.4085
C14orf172	-0.07075
TM9SF2	0.2359
INHBE	-0.966833333333333
TCTE3	-0.391916666666667
TOX2	-1.5975
CTAGE3	0.80975
HBB	3.6975
MED15	-0.582833333333333
CASR	-0.3545
C6orf66	-0.658166666666667
MTPN	-1.059
UNC50	-0.30075
C21orf33	-0.163
IRF2	1.072625
PGR	-2.44983333333333
GPR84	2.61925
CROCCL1	-1.953
SRPX	-0.84825
BRE	0.757833333333333
FGF10	0.957
SDC3	2.1825
ZRSR1	1.2205
DKFZP434P211	-0.606375
SOX6	-0.17
RPUSD2	-0.83425
C14orf173	-0.208416666666667
MAPK11	0.794666666666667
TBC1D22A	0.0895
FAM123A	-0.273
COL4A6	-3.46466666666667
TOMM70A	0.311
NAB1	-0.652
MGC16385	0.106375
TSPAN18	-1.04383333333333
MED31	-0.9675
PLG	-0.744
CAPSL	3.818
ZNF532	0.6587
ASB14	-0.374
CA8	1.86375
NUDT16P	0.482333333333333
SLFN11	-0.245
LRRIQ2	-0.05425
NOL7	-0.909333333333333
BRMS1L	-0.3595
JARID1A	-0.125333333333333
PANK2	-0.2625
ICAM3	0.1435
MDS1	-0.5815
TAF8	-0.86375
RNF139	0.6015
ZNF594	-0.917
ADAM8	2.161
SFTPC	-0.13225
MAN2B2	1.71975
RGS12	0.13075
EIF1AY	-5.43641666666667
LRRIQ1	-1.9025
GPR150	0.46125
CCDC21	-0.578166666666667
PRRG3	0.08125
SAA4	-4.45275
RAPGEF5	1.14175
ZCCHC2	0.374666666666667
MGC39372	1.671
PPP4R2	-0.354
CDCA2	-2.01983333333333
OR4D5	0.551666666666667
PTGFRN	0.6069
SIGLEC5	2.56883333333333
C19orf61	0.00816666666666666
NMUR2	0.465
KIAA1586	-1.02266666666667
DAGLA	0.332
CHCHD6	-0.42575
GPR32	1.0535
NEUROD6	-0.0713333333333333
SLC2A4RG	0.974
CA5B	0.546
FBXL3	1.0445
MPHOSPH9	-1.3315
HMG2L1	0.6645
HCN4	0.370666666666667
CEACAM19	-0.06875
SH2D4B	0.5935
HFE2	-2.0075
TGM4	0.440333333333333
LYPD2	-0.134
TBC1D15	0.0695
MRPS21	-0.5854
NONO	-0.9233
CLEC5A	2.10625
ITCH	-0.2536
MGAT3	-0.372
MBP	-0.271375
RPP25	-1.50675
SOSTDC1	-2.35575
HRC	-1.6845
TRIM48	0.119
TMEM133	0.8955
ECEL1P2	-0.92275
HOXC11	1.7435
DOK5	-0.35925
HELZ	0.1025
LOC348180	-0.6085
MGC33894	0.14275
ADRB3	-0.106
DMD	0.0380833333333333
PTRH2	-1.47175
MPEG1	3.79066666666667
NDUFA12	-0.911
KRTAP2-4	0.07275
STAMBPL1	-0.691333333333333
ADCY2	0.1172
UNQ6125	0.418
KLHL20	-0.2035
SRM	-1.10375
OTC	-0.083
TMIE	-0.0283333333333333
SNX8	-0.6205
LIPK	1.8665
CHURC1	-0.545166666666667
KLC2	-0.0645
HDAC1	-0.0921666666666667
FAM128A	-0.597833333333333
FNDC3B	-0.3234
MTCP1	-0.2195
WFDC10B	-0.00170000000000001
PCDHGB3	-0.661
ATRNL1	-1.0783
CAV2	-0.24425
MED26	0.7185
DUS1L	0.7305
CHRM3	-1.89225
NEK9	0.8115
WARS2	-0.95675
TBX22	-0.169
TOMM40	-0.738
RP6-213H19.1	-2.48116666666667
TUBGCP5	-0.65275
IGSF6	5.244
TPPP	2.02483333333333
UNQ6190	0.13
GSTM5	0.390375
BTD	0.260333333333333
PDCD1LG2	1.83316666666667
SNRPB2	-0.189
ERICH1	-0.786875
APOA4	-2.136375
HOXA11	-1.9125
NARG1	-0.362625
MKX	-0.211
RAB28	0.0794285714285714
PKP3	-0.50375
SH3GL2	-3.02925
CTSO	3.278
RPN2	0.4064375
IL28RA	-0.357333333333333
SFMBT1	-0.67175
WDR57	-0.012875
FER1L3	-0.36975
HSF5	0.187
TTC9B	-0.32675
C4BPA	-4.0945
ALB	-4.44171428571429
SORBS3	0.525625
UPF2	0.3085
JPH1	-0.504
AGBL2	-0.39475
DOPEY1	1.192
TERF1	-0.304666666666667
KIF22	-0.510666666666667
NINJ1	0.89825
SEC61A2	-0.563666666666667
HIST1H1D	-0.0283333333333333
SFXN4	-0.43775
UCP3	0.5307
ZNF703	0.612833333333333
MYL6B	-0.66125
TREM1	2.36975
OR52E6	0.509
CKMT2	1.21275
HLA-C	2.777
SLC13A3	3.35033333333333
TIMP4	-0.34225
SLIT2	2.0815
RSF1	-0.322777777777778
LONRF1	-0.857857142857143
MON1A	-0.4335
CACNG6	1.71633333333333
DPPA4	-5.76933333333333
ZSWIM3	0.87075
ZNF804A	0.922833333333333
CCIN	0.93975
SLC25A31	0.39275
KCNMB4	-0.3265
RABL5	0.6745
GALNS	-0.0103
STX6	0.662375
HIST1H1C	0.660666666666667
CIDEB	0.32625
CASP4	0.9705
PDK3	0.3199
KCNJ11	1.919
TPR	-1.031375
ZSCAN20	-1.172
MTX2	-0.4945
HIST1H2BH	0.30175
LOC283767	0.8345
LYRM7	-0.644333333333333
BRD3	0.8235
HIST1H2BO	0.2565
MAGEB10	-0.078
SLC45A1	1.20775
SERPINA3	-2.90935
KIAA0143	1.38325
KCNJ16	0.169166666666667
KRT79	1.405
FABP2	-0.983
NUT	-0.3095
ZNF57	0.94125
FBXL4	0.038
CLEC9A	2.545
UGT8	-1.56883333333333
BMP2K	1.066
MAPK4	-1.46325
SLC25A23	-0.3394
HINT1	-0.0245
KRTAP13-1	0.5565
SFXN5	0.2945
CHCHD2	-0.549416666666667
FAM3D	3.0865
NDP	-2.334125
RHOBTB1	-0.631
SLC4A4	-1.174625
RPL38	-0.1875
HTF9C	-0.399666666666667
AP2A2	0.25275
ZBTB46	0.149
MAP7D1	0.761875
AOX1	-0.105
CYR61	0.255333333333333
DTNA	0.872857142857143
JRKL	-0.2455
TMOD3	-0.53125
EEA1	-0.4335
ADCK5	-0.601
IL1R1	1.96716666666667
KLK3	0.317857142857143
HRSP12	-1.05825
KTN1	-0.25725
LOH11CR2A	1.6005
RELL2	-0.79675
MAB21L1	2.11475
C20orf59	-1.079
PHKB	0.65175
ADAM2	-2.0878
TBC1D8B	1.24983333333333
FAM13A1	0.237625
LAPTM4B	-0.556916666666667
LCN8	0.043
TMEM147	-0.11
SYT4	0.4552
XPO7	-1.0015
C9orf62	0.23725
GPR75	0.6935
TRIM5	0.72225
APOC1	1.13616666666667
RNASE4	1.24216666666667
PARD6B	-2.243875
ARID1A	0.619833333333333
TPD52L3	0.169
RRAGB	0.568666666666667
RCN2	-1.1385
HIST2H2BE	0.637625
STARD7	0.0985
SHMT2	-0.4895
KIAA1751	-0.453666666666667
MLYCD	0.908
LOC162632	-1.7923
UQCRH	-0.91375
RP11-217H1.1	0.124875
SDHA	-0.488
NCLN	-0.114
ZNF17	0.740833333333333
RCBTB2	-1.666
VEGFB	-0.0295
RP4-747L4.3	0.18525
COLQ	0.1831
MPN2	-0.996666666666667
DRG2	-0.169
KLRB1	6.50525
ALPK2	-1.47425
DNASE2B	3.19525
FLJ23834	-0.529333333333333
AXUD1	0.5685
SAFB	-0.3751
NSUN4	-1.1325
RFX2	1.14683333333333
MAPK8IP1	1.698
FANCD2	-1.72221428571429
ANKZF1	-1.0025
C19orf50	-0.045875
DUSP8	1.35125
SENP5	-0.864125
NFKBIL2	-1.0155
LBR	-0.914375
IGFL1	-0.8045
LZTS2	0.069125
IL2RG	1.098
CCDC51	-1.05
KLF3	0.81725
ANKRD37	-1.26
KCTD14	-2.18733333333333
FZR1	-0.1225
SLC44A4	4.2876
ESPL1	-0.74775
GMPR2	-0.4222
TBC1D19	-0.2795
ERGIC1	0.910740740740741
ERBB4	-0.0084
TSPAN32	0.838583333333333
MAP4	-0.1875
GPHN	-0.84425
SLC6A2	0.312125
HIVEP1	0.72975
DFFB	-0.1186
EIF4EBP2	0.431125
DMRT1	-0.125
HSPB6	0.17425
IER2	0.503833333333333
AIFM1	0.34375
WWC2	0.5335
MRPL4	-0.38575
FLJ21062	0.569
EPB41L4A	1.89
SH2D6	0.3995
TAF4B	-0.864
GAL3ST3	0.1505
MALT1	-0.413833333333333
RTDR1	-0.50975
ARVCF	0.754375
MEX3B	0.661333333333333
FBXO16	0.68525
KIF7	-0.6675
C1QC	3.8135
ZNF783	-0.574166666666667
ZNF85	0.98925
MMP13	4.1805
KIAA0329	0.618625
RTP3	-0.2695
ZBED3	-0.488
CLGN	1.76325
SLC25A37	-1.68075
hCG_18290	-1.04475
OR5AS1	0.4405
SMARCC2	0.26975
FAM109A	-0.0606666666666667
CCDC12	-0.839
USF2	0.5446
DEPDC7	-1.55225
C20orf24	-0.0676666666666667
JMJD3	1.3355
DSP	0.884571428571429
SLIC1	1.324125
FAM20A	2.4305
IRF2BP2	0.62375
ZNF230	0.4525
MSN	-0.459428571428571
SLC9A5	-1.87
EPDR1	-1.5615
MUSK	0.273
ZNF434	0.486166666666667
SMARCD1	-0.135166666666667
ZFP106	-0.344
ZNF347	0.4599
GTF2E1	0.26475
