Hybridization REF	TCGA-AO-A12A-01A-21R-A115-07
RMND5B	0.703083333333333
ZNF257	-1.14375
FLJ22167	-0.476625
EXOSC7	-0.454
ROR2	1.600625
MAOA	0.53
TNNT3	1.96216666666667
GYPC	-0.8035
C7orf33	0.9825
PLIN	4.07533333333333
LOC90826	-0.12625
RNF4	-0.2771
F8A1	0.163
PLEKHG4	-1.3095
GRB2	-0.4572
HIST1H2AD	0.24175
DUS3L	-0.233
EIF1	-0.384666666666667
RP5-1077B9.4	-1.00133333333333
FPGT	0.978
GDF10	1.2355
COQ9	-0.15825
GCC2	-0.4625
RARRES3	2.83925
PLXNA1	-0.5546
KIAA0100	-0.6519
PMF1	1.13725
FNDC1	5.228
HS2ST1	-0.312166666666667
CRELD2	0.2435
C8G	-1.278
CD82	0.9095
LIM2	-0.8165
UNQ6490	-0.3105
MMP16	-0.406
DRD3	0.354
C5orf26	0.2715
C11orf73	0.177875
PTP4A2	0.754375
OR4M2	0.052
HPCA	-0.9155
SEC14L1	-0.782
CHFR	-0.144
EMILIN1	1.06725
NDUFS4	-0.273
COL18A1	0.67175
PDZD3	-0.5426
C9orf16	0.657666666666667
ERBB2IP	0.737
EMX2	3.75475
FUS	-0.28425
TF	-2.6396
CLCN4	-0.485166666666667
CXorf56	-0.37
C11orf72	0.349
ELAC2	-0.534416666666667
NPR1	-0.2635
ASS1	-0.943166666666667
USP42	-0.278375
POLR2J	0.11
SEC23IP	0.562333333333333
UQCRC1	0.10425
LOC729603	-0.53975
C1orf71	-0.423625
POLG	-1.9305
ADAM23	-3.25
TFR2	-1.2595
RICTOR	-0.7584
MGC39606	1.6955
C19orf55	0.078375
SNAPC1	-1.587
GNA11	1.2285
CCDC52	0.268333333333333
FSIP1	2.888
UPF3A	0.136375
IGSF11	-2.946
LAGE3	0.2415
CHST6	-2.337
UNC13B	0.5175
TTLL4	-0.747
ZNF687	0.671375
SDC2	0.9852
COX7A2	-0.56475
LAMB4	-0.854
FAM24A	-0.298
LRRTM3	-1.75516666666667
GPHB5	0.25125
OR4C13	-0.5815
EIF3EIP	0.4065
HABP4	-0.432
TMEM125	3.44325
CNTN2	1.013125
ASNSD1	-0.26075
FUT4	-0.466375
ACF	-3.73325
LOC158381	0.7405
CDH8	0.536
AGPS	-0.180833333333333
C4orf18	3.44725
PECI	0.249833333333333
UNG	-1.13925
GSTP1	-1.094625
DCUN1D5	-1.02066666666667
DKFZP564J0863	-1.0025
SLC9A3R1	1.30475
BCDO2	-0.43725
CHMP7	-0.03375
REM2	2.714
DNHD1	-0.683625
FKBP4	-0.2475
ZNF350	0.89325
MGC11102	-0.332125
BST1	1.09725
KISS1R	0.8335
NCR2	-0.012
DEFB125	0.4055
UBE2W	-0.108625
KRT15	3.44775
C10orf99	0.0035
SCN11A	-0.04975
GFI1	-2.12125
RDHE2	3.61166666666667
FHL1	-0.4105
OSGEP	0.3065
GATA1	-3.42716666666667
SMC6	-0.981
TTTY14	-1.1585
LPIN3	-0.189
RPL4	0.1904
RBPMS	1.1794
PRPF3	0.271
EMR1	-1.446
SPATA19	0.13225
XCR1	0.7025
IRX3	2.4448
RBM6	-0.47
KLF4	-0.4023
UNC5CL	0.914
SEBOX	-0.186
BTK	-0.6845
KRCC1	1.08275
C6orf27	0.672
SYTL5	0.162
PRND	3.65825
LOC653319	-0.997
PIGL	-1.274125
HUS1	-0.49
SFRS6	0.636666666666667
C17orf77	0.1725
UIMC1	-0.181833333333333
FXYD2	-1.9406
LOC283152	2.02875
ZNF667	-0.6905
ZCCHC12	-0.61925
TFEC	2.7149
ATP7B	1.52366666666667
POLD2	-1.23633333333333
RG9MTD1	-0.61375
ACOT2	0.617333333333333
HIST1H4I	-0.8045
PPARGC1A	-1.8521
ETFA	-1.4213
POLRMT	0.1355
ZNF146	-0.284625
MIA2	-2.876
KLHL6	-0.864833333333333
HOXB5	-1.218
NENF	0.994166666666667
CUGBP1	0.3575
PRSS22	2.12883333333333
CASC4	1.1747
CUL4B	0.3577
CENPJ	-1.6924
PITX1	0.2855
FLJ31033	0.577666666666667
CELSR3	-1.32933333333333
ZNF568	0.65825
ITSN1	-0.341833333333333
EHBP1L1	-0.118
C19orf2	-0.49575
DCTN1	0.287
LIN28B	-4.764
TNKS2	-2.0025
C1QBP	-0.2275
CADPS2	1.3385
SRMS	0.17175
GJA9	0.425333333333333
MGC24975	-0.0808333333333333
TRIM45	-0.644166666666667
TSP50	1.139
TCP1	-1.648
TMED7	-0.1374
CMA1	1.3765
CENPL	-1.37883333333333
PTCRA	0.0585
FST	-2.39225
VWCE	-3.58375
PAWR	-0.59525
ABCC12	0.8845
LDLR	-0.5727
ASTN2	0.6791
LOC441212	-0.827375
GPATCH8	-0.036
TANC2	-1.10833333333333
KIF4A	-1.99825
C18orf18	-1.41175
PGM1	-1.20325
KIAA0258	0.40275
CPD	0.43225
SNCAIP	-0.6475
DCT	-4.06916666666667
HLA-DOA	2.88140909090909
OR11L1	0.283
UPK1B	-0.404
DNAJB4	-0.323625
UGT1A8	-0.58375
HIST1H4L	-1.892
PECR	-1.22183333333333
HSPA2	2.08825
WFIKKN1	-2.051
SERP1	0.6045
SYDE2	0.0395
TACR2	0.519
NUP85	-0.59225
CD177	0.209
LGR5	-2.5665
PIGG	-0.117833333333333
PTHR1	-1.14033333333333
RAB5A	-0.1108
FLJ13224	0.0125
USP9Y	-2.124
C7orf53	-1.0415
LRP1B	0.054
XAF1	1.7525
ABCG8	0.0415
ANKDD1A	-0.6355
DAND5	-1.681
SPAG6	-0.0866666666666667
LINCR	1.6125
ZDHHC22	-1.417
CCDC60	0.922
THOC7	-1.60383333333333
TCTA	1.2853
OR8K3	0.51125
NY-REN-7	-0.79375
B2M	2.3825
C6orf141	-0.535125
LPPR4	1.7705
SQLE	-2.742125
SEPHS1	-0.37025
BTBD14B	0.667571428571429
PLRG1	-0.19975
SPG7	-0.764125
ZNF614	-0.361333333333333
PARD6G	1.438
INPP5B	-1.1578
GRPEL2	-0.167
PPID	-0.8346
TRIM56	-0.142
UBE2J1	-0.177
IL20RA	5.393
LOC387856	1.05125
C1orf107	0.89075
UTS2R	1.41225
C19orf22	0.18375
SAFB2	-0.04225
KIAA0652	0.382875
KLRG1	-0.181833333333333
MS4A8B	1.11133333333333
FRAG1	0.76875
KIAA1546	0.04025
E2F4	-0.9079
CLEC4M	0.0548333333333333
BTBD14A	-1.0965
KIAA0999	2.1888
GYPA	-3.484
TAC1	3.2148
TRAIP	-1.382
KIAA0232	0.737
ERCC8	-1.475625
GPX4	1.066625
KIAA0368	-0.28375
GPR157	-0.368333333333333
CTAGE4	2.8525
C9orf30	-1.25933333333333
OR52A1	-0.2515
HSP90B3P	-0.721
ALG9	-0.0706
BTBD10	0.67075
SDK2	0.029
BAIAP3	0.78925
RABGGTB	-0.6645
ANKRD40	-0.507333333333333
KRT74	-0.069
CALCOCO2	-0.0132142857142857
SNCA	-2.64425
TMSL8	-3.043
C2orf53	0.715
ESRRB	-1.087
ARHGAP26	1.239
TDRD9	-2.6625
HRAS	0.701666666666667
KLRC4	-1.98
JAGN1	-0.555166666666667
BSDC1	0.56525
RNF43	-0.0992
NDUFAF1	0.68825
PHF12	0.8375
OR1L3	-0.32625
FOLR2	2.00366666666667
LYZL6	-0.0328333333333333
tcag7.1260	-1.618
WSB1	-1.295
PROS1	0.2141
OSTN	0.604
PSMB8	1.88
SOCS4	-0.122125
DDIT4L	0.95175
MAS1	0.5525
MGC34796	0.70825
CSHL1	0.227166666666667
TBCCD1	0.350833333333333
ZBTB7C	0.6125
AP2S1	0.00325
P15RS	-0.0283
VAT1	-0.8641
SHANK3	1.55766666666667
TUFM	0.114333333333333
THEG	-0.8485
KRT34	-2.4835
SGSM3	0.016
TOMM22	-1.4395
SOCS3	1.064
CPO	2.399
POP4	-0.1565
BHLHB3	2.02375
MALL	1.4845
OR1B1	-0.0455
PARK2	0.525666666666667
GPR124	0.5175
LCE1E	0.674
RUVBL2	-0.215
CGRRF1	0.0627
ACPL2	0.67825
WNT10B	-2.1625
BAIAP2L2	-1.88875
ISCA1	0.3375
C1orf125	0.551375
RPAP1	-0.9955
RAI16	1.0075
RPL27	-0.193375
NLRP9	-0.7375
EPN1	0.835
LOC388610	-0.222375
SLC35A1	0.2006
GAL	-2.81275
SLC14A2	0.84725
RDH11	-1.01183333333333
FAM138F	-0.189
AUH	0.27675
FLJ40243	1.0145
C14orf129	-0.0961666666666667
MBD2	-0.539333333333333
ABHD14B	0.451
PIGT	0.706
ALS2CR4	-0.18075
ALAS1	-0.4465
FOXO1	1.375
CRLF3	-0.133375
C20orf107	-0.074
FARS2	0.85625
CCDC28A	1.2365
NPHP3	-0.04175
OR13F1	0.0305
TSEN54	-0.46925
DEFB106B	-0.0497777777777778
OR8B4	0.0575
STH	2.385
ZC3H14	-0.24975
CBX2	-0.1745
TMEM49	-1.01975
C6orf21	0.5215
FLJ20920	1.994
CRTAP	0.177357142857143
DDX50	0.14575
STYXL1	-0.1855
BLVRB	-0.0393333333333333
LOC147650	0.657333333333333
MMP24	0.44125
GRID1	2.01766666666667
BANF1	0.0556666666666667
CTAGEP	1.1205
HMBS	-1.51725
SLC25A24	0.484166666666667
C14orf50	2.0635
MRO	0.608
SLC25A15	-0.332
FAM84B	1.1473
TDP1	-1.422
C16orf78	-0.211833333333333
C11orf57	-0.067
RFK	-0.969375
ZFYVE9	-1.129875
STCH	-1.3487
WIBG	1.10075
LOC283871	0.0321666666666667
GBA2	-0.482
NDUFB3	-0.601
HSD17B13	-1.28525
GRIN3A	0.871333333333333
FMNL1	0.0811666666666667
SEPT7	-0.7634
GNLY	4.3515
GRAMD1C	0.704666666666667
ZNF165	0.446
USP38	0.42925
FAM83A	-3.66433333333333
C14orf24	0.632666666666667
ARMCX3	1.0115
ARHGDIB	1.26583333333333
AK1	1.03575
KIAA1045	-0.1925
DNAJB13	-0.770666666666667
NEU2	0.0285
HIST1H4B	-1.5435
FAM20B	-0.21
HES2	1.66814285714286
FAM73B	-0.1887
LOC388381	0.26875
INTS7	0.130181818181818
AMPH	2.89925
ZNF775	0.232375
UCKL1	-0.318333333333333
C10orf97	0.1335
C1orf161	-0.38025
ALDH1L1	0.482
FLJ39378	-0.04525
SLC23A1	-3.7115
RBM4B	0.689
THAP4	0.194
OGFRL1	0.55075
KIAA0831	0.26775
PPP1R15A	0.602333333333333
C1orf96	-0.0487857142857143
C12orf11	-2.303
BMF	0.197375
MAN1A1	1.940375
KIAA1600	0.563166666666667
NLGN4X	1.56125
ALOX12	-1.62716666666667
RB1CC1	-0.1692
NEIL2	0.653
EIF4E	-0.495772727272727
ABHD5	-0.17975
EXOC4	-0.275666666666667
CIP29	-0.565833333333333
BATF2	0.373
SLC29A4	-1.000625
HTR4	-0.324
EMB	0.362
TRAF6	0.85675
LMNB1	-3.96925
FAM19A5	-0.539375
SHE	2.006
PIK3C2B	0.71825
C15orf15	-0.55
USP15	-0.2401
TCEAL2	2.96925
C5orf39	-0.4735
PTGER2	-1.747
SLC31A1	-0.768
IFT172	0.66725
ADAM29	0.39175
GFOD1	-0.5715
ST7L	-0.00216666666666667
C15orf26	-3.1895
PKN3	0.317
CNTD1	1.407
COMMD1	0.177375
NTRK2	4.93475
FOXN3	0.08275
MFGE8	0.5817
PFKFB2	0.874333333333333
TAS2R4	-0.73375
ENTHD1	0.4035
PRMT5	-0.891375
MGC16384	-1.360625
LOC442229	-0.913
TSKU	-0.233
KRTCAP3	2.65925
PDLIM1	1.5
KCNS2	0.0205
RNF126	-0.185833333333333
CEP63	-0.3455
CLIC4	-0.977875
hCG_1990170	3.8325
ACR	0.6907
KLK7	3.80275
ALOX5AP	2.83025
RIPK3	4.001
TAS2R9	0.0945
C19orf18	2.175
BIRC6	-0.0659285714285714
ZNF16	1.033
RFT1	-0.83775
SLC8A2	-0.737
TACC1	-0.68825
ITGAD	1.5375
SAMHD1	1.14475
SH3PXD2B	0.9879
EPC2	0.69275
C20orf85	4.14775
ATP13A2	1.541
KRT4	0.255
CAPNS1	0.703
MDM2	-0.613
PCDH20	1.75325
KCNK9	0.525
OR2C1	0.1975
KLHDC3	-0.188333333333333
IPPK	0.619
EFHD2	-0.191375
GALR3	1.351
NBEA	0.194
ABCA6	3.7433
CLDN3	1.9785
AKT2	-0.725928571428572
EGFR	-0.9334
RBM16	0.3835
ZDHHC3	0.4022
SLC25A4	-0.482166666666667
CYB5B	-1.145
CPXM1	0.34825
NDRG1	-1.61192307692308
FLJ43826	0.52175
OR5L2	0.106833333333333
FARP2	0.3996
MRPL46	-0.53625
LDHAL6B	0.00950000000000002
MAPKAPK3	0.0485
NCAM2	1.29425
PRKD2	0.922333333333333
ZFP36L1	1.8722
CYSLTR1	0.747
OR4C3	-0.206
HIST1H2AJ	1.359
CCNB2	-2.38788888888889
ZNF10	-0.069875
TMEM175	0.8655
FAM134A	0.411166666666667
TIGD4	0.1465
PCNP	-0.623
MGC39715	-0.1465
LQK1	-0.3995
CREB1	0.1068
TMPRSS3	2.23725
C4orf32	1.77525
LAT	-1.13191666666667
KCNA3	-1.368
SKIV2L2	-0.714
ROPN1B	0.61475
tcag7.23	0.2495
CDT1	-2.788375
ZHX2	1.20775
CD28	-3.11225
ZNF624	1.16825
SEPT2	0.3715
SOHLH2	-0.927142857142857
MCOLN3	-0.467625
UNQ1945	-0.0555
MASP2	-1.405
ZNRF3	-0.2276
GPATCH3	-0.27425
AGL	0.43675
QRICH2	-0.139
PSD4	0.9105
CCNB1IP1	-1.339
ENPP7	0.25875
OBFC1	0.406
KCNG3	-3.4045
C14orf79	0.889333333333333
ENPEP	1.93566666666667
SCT	1.2775
SKI	0.784875
SEC61G	-1.828
CAPN11	2.72925
ATXN7L3	-0.241
DBNDD1	-0.0533333333333333
FAIM	0.0685
ANKRD36	-1.3115
GABRP	4.4545
TACSTD2	1.634
EIF3J	-0.48425
PPP2R2A	-0.89175
TEKT4	0.051
PVALB	-3.2365
F10	-2.3305
FAM134C	0.6447
COMP	4.49825
EFCBP1	-2.21425
SCLT1	-0.55125
TAL1	-1.5822
ACSL1	0.354
ABCC5	-0.102333333333333
ABL1	-0.609888888888889
RBBP7	0.33325
PTPRG	-0.367
NCOR1	0.0849
SPINK4	2.73666666666667
TXNRD1	-1.5548
TNRC15	-0.064875
C9orf138	0.163875
UBE2H	0.541166666666667
BRDT	0.0951666666666667
C8orf31	0.00724999999999999
CCNE2	-2.27772727272727
SLC6A8	-0.983875
CALCR	-3.3785
PPP1CB	0.780583333333333
ABHD8	0.45575
ARF5	0.1406
SLC24A4	0.843
CCT3	0.544
ZNF121	-1.136
SLC3A2	-0.7143
OR13A1	0.6415
SLC5A10	0.32125
RAD50	-0.59975
IER5	1.00925
MTHFD1L	-2.488375
MBTPS2	0.53925
MVK	-0.757625
NCL	-0.2764
PSMD10	-0.54325
MOBP	0.4645
FLJ32894	1.001
HRH1	-0.923166666666667
C5orf30	1.442
NUDT16L1	1.1193
RASGRP3	3.498
PRKRIP1	-0.4377
CCDC75	-1.0265
LOC253970	0.61625
KIAA1239	1.94825
MED21	-0.387
SYT11	0.0209166666666667
NTSR2	-0.9485
EGFL11	1.0875
CXorf59	0.007
OR2A25	0.695
SPTBN2	-1.37675
LRMP	-1.061
RNF111	-0.11425
PTH	0.0795
LOC619208	1.106
KIAA0895	1.40425
RANBP5	-1.090125
P2RY10	1.84033333333333
NME5	4.644
DDX21	-0.738
LRSAM1	0.6375
HDAC11	1.59366666666667
VMO1	1.6985
NOLA2	-0.173666666666667
ADAR	1.50658333333333
MTO1	-1.23816666666667
SF4	0.606666666666667
P2RX1	-0.529
HBM	-0.11675
EN2	1.3955
C14orf172	0.15075
TM9SF2	0.3648
INHBE	-1.46966666666667
TCTE3	-0.388083333333333
TOX2	0.5895
CTAGE3	0.04875
HBB	3.6555
MED15	-0.212
CASR	0.35825
C6orf66	-1.33833333333333
MTPN	-0.959875
UNC50	-0.064
C21orf33	0.505
IRF2	1.529375
PGR	3.89416666666667
GPR84	2.0535
CROCCL1	-2.07175
SRPX	-1.0825
BRE	0.422833333333333
FGF10	2.18975
SDC3	-0.907166666666667
ZRSR1	0.546166666666667
DKFZP434P211	0.428375
SOX6	-0.39
RPUSD2	0.008
C14orf173	-0.22675
MAPK11	-0.0506666666666666
TBC1D22A	0.462
FAM123A	-1.865
COL4A6	1.797
TOMM70A	-0.197
NAB1	0.052
MGC16385	-0.28925
TSPAN18	-0.0578333333333333
MED31	-0.44075
PLG	-1.2685
CAPSL	3.384
ZNF532	1.1267
ASB14	0.524
CA8	-0.224
NUDT16P	1.70816666666667
SLFN11	-1.3465
LRRIQ2	-0.89925
NOL7	-0.308333333333333
BRMS1L	-0.954
JARID1A	-0.235666666666667
PANK2	-0.53925
ICAM3	-0.19725
MDS1	-0.73725
TAF8	-0.29075
RNF139	0.4505
ZNF594	0.299166666666667
ADAM8	1.385625
SFTPC	-0.11175
MAN2B2	0.865375
RGS12	0.4736875
EIF1AY	-4.90325
LRRIQ1	0.9025
GPR150	1.4255
CCDC21	-1.638
PRRG3	0.3455
SAA4	-2.72775
RAPGEF5	1.586875
ZCCHC2	0.343166666666667
MGC39372	-1.2125
PPP4R2	-0.335833333333333
CDCA2	-2.5605
OR4D5	0.157
PTGFRN	0.965
SIGLEC5	2.11566666666667
C19orf61	0.137
NMUR2	0.4725
KIAA1586	-1.58083333333333
DAGLA	-0.0253333333333333
CHCHD6	-0.36225
GPR32	0.331
NEUROD6	0.4315
SLC2A4RG	0.7248125
CA5B	-0.13175
FBXL3	1.01
MPHOSPH9	-1.46775
HMG2L1	-0.039
HCN4	0.4805
CEACAM19	-0.066
SH2D4B	-0.176666666666667
HFE2	-0.941
TGM4	0.199166666666667
LYPD2	0.2195
TBC1D15	-0.09775
MRPS21	0.5858
NONO	-0.5802
CLEC5A	1.44525
ITCH	-0.2302
MGAT3	-1.07533333333333
MBP	-0.391875
RPP25	-1.421
SOSTDC1	1.958
HRC	-1.326
TRIM48	-1.0545
TMEM133	0.2735
ECEL1P2	-1.54725
HOXC11	0.9095
DOK5	-0.26975
HELZ	0.771333333333333
LOC348180	-0.954
MGC33894	0.18625
ADRB3	0.203
DMD	0.889333333333333
PTRH2	-0.52075
MPEG1	3.26866666666667
NDUFA12	-0.550333333333333
KRTAP2-4	0.174
STAMBPL1	-1.47133333333333
ADCY2	-0.1508
UNQ6125	0.2775
KLHL20	0.186666666666667
SRM	-0.668
OTC	-0.1355
TMIE	0.373666666666667
SNX8	-0.38625
LIPK	0.297
CHURC1	-0.316916666666667
KLC2	0.399333333333333
HDAC1	-0.0393333333333333
FAM128A	0.447333333333333
FNDC3B	-0.4821
MTCP1	-0.383666666666667
WFDC10B	-0.4756
PCDHGB3	-0.222
ATRNL1	-2.4039
CAV2	0.00812499999999999
MED26	0.126333333333333
DUS1L	0.4235
CHRM3	-1.8535
NEK9	0.18475
WARS2	-0.18825
TBX22	0.2555
TOMM40	-0.77575
RP6-213H19.1	-1.134
TUBGCP5	-0.40625
IGSF6	5.239
TPPP	1.18783333333333
UNQ6190	-0.2885
GSTM5	1.94825
BTD	0.9955
PDCD1LG2	-0.2255
SNRPB2	-0.527666666666667
ERICH1	-0.36725
APOA4	-1.6695
HOXA11	-1.37375
NARG1	-0.449875
MKX	5.33825
RAB28	-0.0610714285714286
PKP3	1.526
SH3GL2	-1.48875
CTSO	3.96
RPN2	0.5505
IL28RA	0.8855
SFMBT1	1.3055
WDR57	-0.388
FER1L3	1.336
HSF5	0.7228
TTC9B	0.23125
C4BPA	-3.3235
ALB	-4.36235714285714
SORBS3	0.85425
UPF2	0.4095
JPH1	-0.982
AGBL2	0.3705
DOPEY1	1.46
TERF1	-0.46425
KIF22	-0.241166666666667
NINJ1	1.727
SEC61A2	-0.443666666666667
HIST1H1D	-1.201
SFXN4	-0.046625
UCP3	0.1757
ZNF703	1.451
MYL6B	-0.52475
TREM1	1.307
OR52E6	0.106
CKMT2	2.68325
HLA-C	2.49025
SLC13A3	-1.99133333333333
TIMP4	-0.54775
SLIT2	2.69325
RSF1	-0.0196666666666667
LONRF1	-0.560928571428571
MON1A	-0.071
CACNG6	-1.15733333333333
DPPA4	-5.2635
ZSWIM3	-0.1625
ZNF804A	0.7266
CCIN	1.60075
SLC25A31	0.202333333333333
KCNMB4	-0.35975
RABL5	0.5745
GALNS	-0.4637
STX6	0.31775
HIST1H1C	-1.9455
CIDEB	0.463125
CASP4	0.6415
PDK3	-0.4326
KCNJ11	1.979
TPR	-0.2085
ZSCAN20	-1.1215
MTX2	-0.366
HIST1H2BH	-0.323
LOC283767	1.8445
LYRM7	-1.28883333333333
BRD3	0.513833333333333
HIST1H2BO	-0.35475
MAGEB10	-0.2785
SLC45A1	0.62575
SERPINA3	2.6792
KIAA0143	1.0085
KCNJ16	1.95216666666667
KRT79	0.32775
FABP2	-0.60925
NUT	-0.834
ZNF57	-0.43175
FBXL4	-0.038375
CLEC9A	3.4485
UGT8	-0.490333333333333
BMP2K	0.16225
MAPK4	-3.0405
SLC25A23	-0.369
HINT1	-0.4886
KRTAP13-1	0.0835
SFXN5	-0.1462
CHCHD2	-0.0921666666666667
FAM3D	2.8915
NDP	0.522375
RHOBTB1	-0.506166666666667
SLC4A4	-1.314875
RPL38	-0.587
HTF9C	-0.776166666666667
AP2A2	0.898
ZBTB46	-0.1425
MAP7D1	0.1645
AOX1	-0.889166666666667
CYR61	1.72291666666667
DTNA	0.842928571428571
JRKL	-0.37475
TMOD3	-0.4335
EEA1	0.0326
ADCK5	-0.0945
IL1R1	0.906833333333333
KLK3	0.744214285714286
HRSP12	-0.90475
KTN1	0.639
LOH11CR2A	1.2252
RELL2	-0.87125
MAB21L1	2.418
C20orf59	-1.4765
PHKB	-0.2915
ADAM2	-2.6864
TBC1D8B	1.357
FAM13A1	-0.81025
LAPTM4B	-0.868
LCN8	0.1245
TMEM147	0.6595
SYT4	-0.149333333333333
XPO7	-0.5405
C9orf62	1.74425
GPR75	0.3825
TRIM5	0.831625
APOC1	-0.442333333333333
RNASE4	1.26133333333333
PARD6B	0.729875
ARID1A	0.400166666666667
TPD52L3	0.199
RRAGB	1.2065
RCN2	-0.937
HIST2H2BE	0.1535625
STARD7	-0.784
SHMT2	-1.294
KIAA1751	-0.298666666666667
MLYCD	0.007
LOC162632	-0.6828
UQCRH	-1.6135
RP11-217H1.1	0.1749375
SDHA	-0.948666666666667
NCLN	-0.4186
ZNF17	0.591333333333333
RCBTB2	-1.2385
VEGFB	-0.2704
RP4-747L4.3	1.58075
COLQ	0.5812
MPN2	-0.638166666666667
DRG2	0.25625
KLRB1	5.3825
ALPK2	-1.388
DNASE2B	-0.2875
FLJ23834	-0.3302
AXUD1	1.393
SAFB	-0.0762
NSUN4	-0.559
RFX2	-0.265333333333333
MAPK8IP1	0.7905
FANCD2	-1.36128571428571
ANKZF1	-1.28116666666667
C19orf50	-0.397875
DUSP8	2.78125
SENP5	-0.8405
NFKBIL2	-0.71625
LBR	-1.10375
IGFL1	3.1165
LZTS2	1.13725
IL2RG	0.2155
CCDC51	-0.24325
KLF3	0.158625
ANKRD37	-1.434
KCTD14	1.00166666666667
FZR1	0.50875
SLC44A4	3.5251
ESPL1	-1.074375
GMPR2	-0.1912
TBC1D19	-0.416333333333333
ERGIC1	-0.281148148148148
ERBB4	3.4793
TSPAN32	0.1565
MAP4	0.1445
GPHN	-0.25225
SLC6A2	-0.236
HIVEP1	1.02225
DFFB	-0.0253
EIF4EBP2	0.362
DMRT1	-1.0845
HSPB6	0.32575
IER2	1.1195
AIFM1	0.028
WWC2	0.192083333333333
MRPL4	0.017
FLJ21062	1.95583333333333
EPB41L4A	1.3475
SH2D6	0.254
TAF4B	-0.63775
GAL3ST3	-0.1475
MALT1	-0.742
RTDR1	-0.20775
ARVCF	0.6555
MEX3B	-0.6495
FBXO16	1.521
KIF7	-0.7985
C1QC	3.875
ZNF783	-0.743166666666667
ZNF85	-0.23675
MMP13	2.09
KIAA0329	0.46925
RTP3	-1.635
ZBED3	0.14375
CLGN	-1.87975
SLC25A37	-1.11954166666667
hCG_18290	0.21225
OR5AS1	-0.141
SMARCC2	0.699
FAM109A	-0.406
CCDC12	-0.1295
USF2	1.3122
DEPDC7	-2.1725
C20orf24	-1.04
JMJD3	1.0245
DSP	1.36064285714286
SLIC1	0.667
FAM20A	1.152
IRF2BP2	0.722375
ZNF230	0.8645
MSN	-0.211357142857143
SLC9A5	-1.485
EPDR1	-0.5136
MUSK	-0.389333333333333
ZNF434	0.829
SMARCD1	-0.444666666666667
ZFP106	-0.36625
ZNF347	0.351
GTF2E1	-0.6195
RY1	-0.639
