Hybridization REF	TCGA-AN-A0AR-01A-11R-A00Z-07
LOC729603	0.038
C1orf71	-1.382125
POLG	-0.3835
ADAM23	-3.60575
TFR2	-0.33575
RICTOR	-1.431
MGC39606	1.56075
C19orf55	-0.399625
SNAPC1	-1.64816666666667
GNA11	0.320125
CCDC52	-0.853333333333333
FSIP1	-1.431
UPF3A	0.4965
IGSF11	0.281166666666667
LAGE3	-0.773
CHST6	0.1025
UNC13B	0.652875
TTLL4	1.352875
ZNF687	-0.2605
SDC2	0.0264
COX7A2	-0.50225
LAMB4	0.011
FAM24A	0.178
LRRTM3	-0.535833333333333
GPHB5	0.58175
OR4C13	0.825
EIF3EIP	1.21871428571429
HABP4	-0.32
TMEM125	3.02325
CNTN2	-0.297
ASNSD1	-0.05575
FUT4	1.235875
ACF	-3.4395
LOC158381	-0.5055
CDH8	0.00399999999999999
AGPS	0.536
C4orf18	-0.609625
PECI	-0.729916666666667
UNG	0.429375
GSTP1	0.473375
DCUN1D5	-0.299333333333333
DKFZP564J0863	0.237
SLC9A3R1	0.560375
BCDO2	0.842625
CHMP7	-0.08175
REM2	1.433
DNHD1	-0.474125
FKBP4	0.54025
ZNF350	1.6605
MGC11102	0.448875
BST1	0.99825
KISS1R	0.4675
NCR2	-0.0385
DEFB125	-0.304
UBE2W	1.267625
KRT15	2.5865
C10orf99	0.3115
SCN11A	0.518
GFI1	-0.202
RDHE2	-0.388166666666667
FHL1	-2.32283333333333
OSGEP	0.477833333333333
GATA1	-2.90516666666667
SMC6	0.0405
TTTY14	-1.097
LPIN3	-0.3395
RPL4	-0.0993
RBPMS	-1.3039
PRPF3	-0.671333333333333
EMR1	-2.187
SPATA19	0.09175
XCR1	-0.068
IRX3	2.6243
RBM6	-0.418
KLF4	-1.9152
UNC5CL	0.67725
SEBOX	0.0275
BTK	-1.691
KRCC1	0.1345
C6orf27	0.0885
SYTL5	-0.053
PRND	1.366875
LOC653319	-0.8875
PIGL	-0.697875
HUS1	-0.0161666666666667
SFRS6	-0.131583333333333
C17orf77	0.475
UIMC1	-0.867666666666667
FXYD2	-1.5933
LOC283152	-0.04
ZNF667	1.54525
ZCCHC12	-0.08725
TFEC	1.1215
ATP7B	-0.193666666666667
POLD2	-0.165833333333333
RG9MTD1	-0.99225
ACOT2	-0.168166666666667
HIST1H4I	-0.050625
PPARGC1A	-2.0713
ETFA	-1.3691
POLRMT	-0.74075
ZNF146	0.827875
MIA2	-1.351
KLHL6	-2.19483333333333
HOXB5	-1.62525
NENF	1.46216666666667
CUGBP1	0.93475
PRSS22	0.185666666666667
CASC4	0.4346
CUL4B	-0.0791000000000001
CENPJ	0.2497
PITX1	0.381333333333333
FLJ31033	-0.519833333333333
CELSR3	-1.34683333333333
ZNF568	0.91075
ITSN1	-0.6925
EHBP1L1	-0.160833333333333
C19orf2	1.23975
DCTN1	0.32425
LIN28B	-2.71966666666667
TNKS2	-0.0065
C1QBP	1.456
CADPS2	-1.50875
SRMS	0.397
GJA9	0.430333333333333
MGC24975	-0.296166666666667
TRIM45	0.7295
TSP50	2.11875
TCP1	-1.5575
TMED7	-0.271
CMA1	-0.6785
CENPL	-0.354833333333333
PTCRA	-0.0925
FST	-4.313
VWCE	-3.45675
PAWR	0.68175
ABCC12	1.63066666666667
LDLR	-1.7968
ASTN2	1.4008
LOC441212	-0.175875
GPATCH8	-0.299
TANC2	-0.0401666666666667
KIF4A	-0.7665
C18orf18	-0.9715
PGM1	-1.725
KIAA0258	1.16525
CPD	0.52075
SNCAIP	-1.42925
DCT	-3.694
HLA-DOA	1.64472727272727
OR11L1	0.206
UPK1B	0.588833333333333
DNAJB4	-0.670875
UGT1A8	1.22325
HIST1H4L	0.3815
PECR	-0.881666666666667
HSPA2	0.28975
WFIKKN1	-0.489
SERP1	0.499875
SYDE2	0.0315
TACR2	0.321
NUP85	0.02675
CD177	-0.22
LGR5	-1.30116666666667
PIGG	-1.20966666666667
PTHR1	-2.35133333333333
RAB5A	0.4825
FLJ13224	0.1415
USP9Y	-0.925333333333333
C7orf53	-0.64
LRP1B	-1.3445
XAF1	-0.2271
ABCG8	-0.2355
ANKDD1A	-0.406
DAND5	-1.0135
SPAG6	-0.103
LINCR	3.4105
ZDHHC22	-1.450375
CCDC60	0.351
THOC7	-2.08116666666667
TCTA	0.5591
OR8K3	0.4995
NY-REN-7	-0.25775
B2M	-0.534333333333333
C6orf141	-0.5985
LPPR4	4.32025
SQLE	-1.408875
SEPHS1	1.8915
BTBD14B	0.449642857142857
PLRG1	-0.55725
SPG7	-1.1660625
ZNF614	0.816666666666667
PARD6G	1.2215
INPP5B	-0.94
GRPEL2	-0.21725
PPID	-0.742
TRIM56	-0.28625
UBE2J1	0.972125
IL20RA	2.47775
LOC387856	-0.3585
C1orf107	1.14933333333333
UTS2R	0.3445
C19orf22	-0.079
SAFB2	-0.203
KIAA0652	0.37325
KLRG1	1.10833333333333
MS4A8B	-0.1315
FRAG1	0.70025
KIAA1546	0.42025
E2F4	-1.1527
CLEC4M	0.205833333333333
BTBD14A	0.63525
KIAA0999	1.2115
GYPA	-3.48183333333333
TAC1	-0.2091
TRAIP	-0.443833333333333
KIAA0232	-0.3479
ERCC8	-1.244375
GPX4	-0.54825
KIAA0368	-0.00962499999999994
GPR157	-0.150666666666667
CTAGE4	1.4945
C9orf30	-0.598666666666667
OR52A1	2.2195
HSP90B3P	0.284
ALG9	0.4192
BTBD10	0.58425
SDK2	-0.196
BAIAP3	-1.73425
RABGGTB	-1.415625
ANKRD40	-0.5825
KRT74	0.7865
CALCOCO2	0.274285714285714
SNCA	-3.245
TMSL8	1.336625
C2orf53	0.1975
ESRRB	-0.172
ARHGAP26	-2.1795
TDRD9	-2.8
HRAS	-0.611833333333333
KLRC4	-2.0075
JAGN1	0.589333333333333
BSDC1	-0.5125
RNF43	-1.0957
NDUFAF1	-1.36375
PHF12	0.44325
OR1L3	0.555
FOLR2	0.668083333333333
LYZL6	0.192833333333333
tcag7.1260	-1.7775
WSB1	-1.30266666666667
PROS1	-1.9778
OSTN	0.6155
PSMB8	-2.163
SOCS4	-0.200875
DDIT4L	2.2675
MAS1	-0.073
MGC34796	0.78625
CSHL1	0.650333333333333
TBCCD1	0.966833333333333
ZBTB7C	-0.121
AP2S1	-0.23
P15RS	0.3876
VAT1	0.4212
SHANK3	1.022
TUFM	0.145166666666667
THEG	0.5625
KRT34	-1.77625
SGSM3	0.715375
TOMM22	0.342
SOCS3	-0.957666666666667
CPO	-0.6765
POP4	-0.082
BHLHB3	-1.12125
MALL	0.4655
OR1B1	0.376
PARK2	0.2205
GPR124	-0.519125
LCE1E	0.2095
RUVBL2	-0.282
CGRRF1	0.5515
ACPL2	-0.557
WNT10B	-1.152
BAIAP2L2	-1.938125
ISCA1	0.2355
C1orf125	0.4385
RPAP1	-0.71525
RAI16	0.0186666666666667
RPL27	0.331375
NLRP9	-0.2215
EPN1	0.4325
LOC388610	-0.6135
SLC35A1	1.3269
GAL	-2.842
SLC14A2	0.31175
RDH11	0.00916666666666667
FAM138F	0.496
AUH	-1.3635
FLJ40243	0.38975
C14orf129	-0.636166666666667
MBD2	-0.269833333333333
ABHD14B	-0.043125
PIGT	-0.7705
ALS2CR4	-0.42675
ALAS1	-0.4235
FOXO1	0.4865
CRLF3	-0.074625
C20orf107	-1.2335
FARS2	0.52325
CCDC28A	0.2245
NPHP3	-1.39525
OR13F1	0.6715
TSEN54	0.544
DEFB106B	-0.1519
OR8B4	0.516
STH	0.303
ZC3H14	1.226875
CBX2	0.072
TMEM49	-1.893
C6orf21	0.8295
FLJ20920	0.260875
CRTAP	-0.839142857142857
DDX50	0.54425
STYXL1	-0.7625
BLVRB	-0.795833333333333
LOC147650	0.5655
MMP24	0.40525
GRID1	1.239
BANF1	0.288166666666667
CTAGEP	0.58325
HMBS	-0.24025
SLC25A24	0.82
C14orf50	-0.2005
MRO	0.983
SLC25A15	-0.6685
FAM84B	0.3606
TDP1	1.264
C16orf78	0.1295
C11orf57	0.844625
RFK	-0.623
ZFYVE9	-0.072375
STCH	-1.618
WIBG	-0.591
LOC283871	-0.157
GBA2	-0.6266
NDUFB3	-0.77
HSD17B13	-1.1595
GRIN3A	0.0931666666666667
FMNL1	-1.3285
SEPT7	-0.2326
GNLY	1.489
GRAMD1C	-0.682833333333333
ZNF165	0.78575
USP38	0.2335
FAM83A	-0.5335
C14orf24	0.787666666666667
ARMCX3	2.040875
ARHGDIB	0.207666666666667
AK1	0.307125
KIAA1045	-0.188
DNAJB13	-0.2405
NEU2	0.0255
HIST1H4B	0.383166666666667
FAM20B	0.5168
HES2	0.0317142857142857
FAM73B	-0.0023
LOC388381	-0.67025
INTS7	0.532090909090909
AMPH	-0.24225
ZNF775	-0.054125
UCKL1	-0.6905
C10orf97	0.42025
C1orf161	0.12525
ALDH1L1	1.00525
FLJ39378	0.108625
SLC23A1	-2.2335
RBM4B	0.1445
THAP4	-0.219333333333333
OGFRL1	4.477
KIAA0831	-0.764625
PPP1R15A	-0.257
C1orf96	0.434714285714286
C12orf11	-2.0835
BMF	1.049875
MAN1A1	-0.321875
KIAA1600	0.855666666666667
NLGN4X	0.313
ALOX12	-1.47816666666667
RB1CC1	0.2116
NEIL2	0.7699
EIF4E	-0.263545454545455
ABHD5	-0.37775
EXOC4	-0.767
CIP29	-0.547833333333333
BATF2	-1.8365
SLC29A4	0.780375
HTR4	0.35125
EMB	-1.95025
TRAF6	1.076
LMNB1	-0.967
FAM19A5	-0.712
SHE	0.83725
PIK3C2B	1.25075
C15orf15	-0.7826
USP15	-0.6143
TCEAL2	0.52175
C5orf39	-0.367166666666667
PTGER2	-1.1525
SLC31A1	0.645875
IFT172	0.6105
ADAM29	-0.51725
GFOD1	1.6195
ST7L	0.924166666666667
C15orf26	-2.94425
PKN3	-1.11425
CNTD1	0.0268333333333333
COMMD1	1.2475
NTRK2	1.38966666666667
FOXN3	0.778375
MFGE8	1.1526
PFKFB2	0.2355
TAS2R4	-0.072
ENTHD1	0.621666666666667
PRMT5	-0.197125
MGC16384	-0.772375
LOC442229	0.584
TSKU	-0.285375
KRTCAP3	4.203625
PDLIM1	0.656
KCNS2	0.048
RNF126	-0.9165
CEP63	-0.72025
CLIC4	-0.763125
hCG_1990170	1.37575
ACR	0.8546
KLK7	1.846
ALOX5AP	2.525625
RIPK3	0.8915
TAS2R9	0.5125
C19orf18	0.752
BIRC6	0.0952857142857143
ZNF16	0.935
RFT1	-1.00825
SLC8A2	-0.908
TACC1	-1.36225
ITGAD	0.158
SAMHD1	0.376
SH3PXD2B	1.3884
EPC2	0.83475
C20orf85	0.496375
ATP13A2	0.316833333333333
KRT4	0.12725
CAPNS1	0.2415
MDM2	-0.897916666666667
PCDH20	1.1465
KCNK9	-0.379
OR2C1	-0.132
KLHDC3	0.125833333333333
IPPK	0.289
EFHD2	-0.63975
GALR3	0.31325
NBEA	0.219666666666667
ABCA6	1.1605
CLDN3	1.86783333333333
AKT2	0.0925714285714286
EGFR	-0.545
RBM16	0.3035
ZDHHC3	0.1157
SLC25A4	-1.12533333333333
CYB5B	-1.35183333333333
CPXM1	2.371
NDRG1	-1.23876923076923
FLJ43826	0.6665
OR5L2	0.561833333333333
FARP2	-0.1678
MRPL46	-0.05
LDHAL6B	0.310166666666667
MAPKAPK3	-0.522833333333333
NCAM2	-3.68075
PRKD2	0.385833333333333
ZFP36L1	0.5706
CYSLTR1	-1.763
OR4C3	0.1995
HIST1H2AJ	0.778
CCNB2	-1.22544444444444
ZNF10	1.552375
TMEM175	0.064
FAM134A	0.750666666666667
TIGD4	0.5025
PCNP	-0.94975
MGC39715	-0.75125
LQK1	-1.7535
CREB1	0.7194
TMPRSS3	-1.83825
C4orf32	0.4965
LAT	-2.20891666666667
KCNA3	-0.231
SKIV2L2	-0.107
ROPN1B	1.817
tcag7.23	0.725
CDT1	-1.476
ZHX2	0.33675
CD28	-3.20225
ZNF624	0.4045
SEPT2	0.256
SOHLH2	2.404625
MCOLN3	0.234125
UNQ1945	0.6755
MASP2	-0.707
ZNRF3	-0.349
GPATCH3	-0.66725
AGL	0.303625
QRICH2	-0.7115
PSD4	-0.0591666666666667
CCNB1IP1	0.381
ENPP7	0.178
OBFC1	0.648
KCNG3	-2.66925
C14orf79	0.288833333333333
ENPEP	0.888833333333333
SCT	0.4155
SKI	1.116
SEC61G	-1.13375
CAPN11	-0.01175
ATXN7L3	0.1095
DBNDD1	0.165
FAIM	-0.38875
ANKRD36	-1.2535
GABRP	4.981
TACSTD2	0.53
EIF3J	-0.6765
PPP2R2A	-1.0465
TEKT4	0.1965
PVALB	-3.32166666666667
F10	-3.00216666666667
FAM134C	0.0851
COMP	3.314125
EFCBP1	-1.821875
SCLT1	-0.58025
TAL1	-0.8569
ACSL1	0.321
ABCC5	0.272666666666667
ABL1	-0.275333333333333
RBBP7	-0.0610833333333334
PTPRG	-1.756625
NCOR1	0.5222
SPINK4	-2.12416666666667
TXNRD1	-0.5698
TNRC15	0.0625
C9orf138	0.81575
UBE2H	0.360166666666667
BRDT	-0.2505
C8orf31	-0.36875
CCNE2	-1.648
SLC6A8	-1.10925
CALCR	-3.54175
PPP1CB	0.454583333333333
ABHD8	-1.68675
ARF5	0.9158
SLC24A4	0.69275
CCT3	-0.22425
ZNF121	0.35725
SLC3A2	-0.6228
OR13A1	0.346
SLC5A10	0.094
RAD50	-0.5575
IER5	-0.2815
MTHFD1L	-0.630375
MBTPS2	0.587
MVK	-0.081125
NCL	-0.8164
PSMD10	-0.23225
MOBP	0.36775
FLJ32894	-0.1145
HRH1	-1.264
C5orf30	1.05425
NUDT16L1	-0.0533
RASGRP3	4.775
PRKRIP1	-0.2511
CCDC75	-0.46275
LOC253970	-0.01075
KIAA1239	0.10075
MED21	-0.71775
SYT11	0.184166666666667
NTSR2	-0.3485
EGFL11	-0.2415
CXorf59	0.2315
OR2A25	0.50725
SPTBN2	1.2035
LRMP	-1.58433333333333
RNF111	-1.15325
PTH	0.213
LOC619208	0.353666666666667
KIAA0895	0.18575
RANBP5	0.786
P2RY10	-0.1635
NME5	-0.296166666666667
DDX21	0.2465
LRSAM1	-0.006
HDAC11	1.628
VMO1	1.56975
NOLA2	0.283166666666667
ADAR	0.456833333333333
MTO1	0.254666666666667
SF4	0.451
P2RX1	-0.0358333333333333
HBM	0.0985
EN2	0.2915
C14orf172	0.87725
TM9SF2	0.8053
INHBE	-1.195
TCTE3	0.663583333333333
TOX2	-3.40125
CTAGE3	0.433875
HBB	2.68
MED15	-0.709833333333333
CASR	0.35625
C6orf66	0.729833333333333
MTPN	-0.21425
UNC50	-1.13775
C21orf33	0.166875
IRF2	0.363125
PGR	-2.38616666666667
GPR84	1.227
CROCCL1	-2.3505
SRPX	-1.8205
BRE	0.387333333333333
FGF10	0.26525
SDC3	-0.226666666666667
ZRSR1	-0.235
DKFZP434P211	0.055375
SOX6	0.327
RPUSD2	0.11775
C14orf173	-0.0286666666666666
MAPK11	0.0248333333333334
TBC1D22A	-0.029
FAM123A	-0.437
COL4A6	-0.3595
TOMM70A	-0.34475
NAB1	0.292
MGC16385	-0.101125
TSPAN18	-1.21283333333333
MED31	-0.52925
PLG	-0.3655
CAPSL	0.7325
ZNF532	2.3912
ASB14	0.41925
CA8	-3.825
NUDT16P	0.946833333333333
SLFN11	-0.9175
LRRIQ2	-0.3065
NOL7	-0.2485
BRMS1L	0.391125
JARID1A	1.32116666666667
PANK2	-0.07
ICAM3	-0.8175
MDS1	0.06025
TAF8	-0.203
RNF139	-0.74525
ZNF594	2.47466666666667
ADAM8	1.441625
SFTPC	0.73825
MAN2B2	0.135
RGS12	0.2250625
EIF1AY	-4.448
LRRIQ1	0.406666666666667
GPR150	-0.00949999999999999
CCDC21	-1.1125
PRRG3	1.156
SAA4	-4.2485
RAPGEF5	0.993875
ZCCHC2	1.44316666666667
MGC39372	0.3335
PPP4R2	-0.255
CDCA2	-0.952333333333333
OR4D5	1.3505
PTGFRN	1.4979
SIGLEC5	1.16283333333333
C19orf61	-0.0946666666666667
NMUR2	0.5575
KIAA1586	0.113166666666667
DAGLA	1.70733333333333
CHCHD6	-0.40075
GPR32	0.912
NEUROD6	0.323166666666667
SLC2A4RG	-0.27125
CA5B	0.30475
FBXL3	-0.845
MPHOSPH9	-0.338
HMG2L1	0.244
HCN4	-0.120666666666667
CEACAM19	0.88875
SH2D4B	0.382833333333333
HFE2	-0.0975
TGM4	-0.0912
LYPD2	0.00874999999999999
TBC1D15	-0.50975
MRPS21	-0.0886
NONO	0.064
CLEC5A	1.3895
ITCH	0.6359
MGAT3	-1.99916666666667
MBP	0.463875
RPP25	0.25475
SOSTDC1	4.24925
HRC	-1.60575
TRIM48	0.8485
TMEM133	0.46075
ECEL1P2	-0.821
HOXC11	1.285
DOK5	-1.5825
HELZ	-0.612166666666667
LOC348180	-0.528
MGC33894	0.06475
ADRB3	0.2045
DMD	0.41775
PTRH2	-0.80125
MPEG1	2.33933333333333
NDUFA12	-0.648166666666667
KRTAP2-4	-0.0814166666666667
STAMBPL1	-0.242
ADCY2	-1.211
UNQ6125	0.663
KLHL20	-0.127666666666667
SRM	-1.114
OTC	0.07875
TMIE	0.625
SNX8	1.02275
LIPK	-0.113
CHURC1	-1.79633333333333
KLC2	0.383
HDAC1	-0.9435
FAM128A	0.0873333333333333
FNDC3B	-0.5131
MTCP1	0.0546666666666667
WFDC10B	-0.1689
PCDHGB3	0.409
ATRNL1	-1.626
CAV2	0.62
MED26	0.736166666666667
DUS1L	0.68025
CHRM3	-0.207125
NEK9	0.32675
WARS2	0.8765
TBX22	-0.0435
TOMM40	0.057
RP6-213H19.1	-0.00266666666666667
TUBGCP5	-0.48225
IGSF6	4.02025
TPPP	0.9275
UNQ6190	0.054
GSTM5	-0.8265
BTD	-0.011
PDCD1LG2	-0.3095
SNRPB2	-0.406166666666667
ERICH1	-0.4155
APOA4	-1.555625
HOXA11	0.5735
NARG1	-0.561
MKX	-0.943
RAB28	-0.787142857142857
PKP3	0.79125
SH3GL2	-2.01825
CTSO	1.14575
RPN2	-0.6001875
IL28RA	1.58883333333333
SFMBT1	-0.26825
WDR57	-1.044125
FER1L3	1.201
HSF5	0.256833333333333
TTC9B	0.37875
C4BPA	-3.794
ALB	-3.87764285714286
SORBS3	0.128
UPF2	2.3585
JPH1	0.3835
AGBL2	-3.271
DOPEY1	2.3
TERF1	-0.124916666666667
KIF22	-0.478333333333333
NINJ1	0.391
SEC61A2	1.76741666666667
HIST1H1D	-0.169166666666667
SFXN4	1.341875
UCP3	0.5742
ZNF703	0.125
MYL6B	-0.265
TREM1	2.38125
OR52E6	0.3865
CKMT2	0.4375
HLA-C	0.196625
SLC13A3	0.978833333333333
TIMP4	1.60625
SLIT2	2.49825
RSF1	0.736055555555556
LONRF1	-0.738571428571429
MON1A	-0.574166666666667
CACNG6	-1.72
DPPA4	-5.09316666666667
ZSWIM3	-0.4555
ZNF804A	0.128
CCIN	0.27525
SLC25A31	-0.173333333333333
KCNMB4	1.1235
RABL5	0.53775
GALNS	-0.6204
STX6	0.80375
HIST1H1C	-2.63766666666667
CIDEB	1.06675
CASP4	-0.613333333333333
PDK3	1.8684
KCNJ11	1.7375
TPR	-0.02575
ZSCAN20	-0.9945
MTX2	-0.18825
HIST1H2BH	0.16075
LOC283767	0.627
LYRM7	-2.08355555555556
BRD3	1.04583333333333
HIST1H2BO	-0.56575
MAGEB10	1.537
SLC45A1	-0.328
SERPINA3	0.1767
KIAA0143	0.79525
KCNJ16	5.878
KRT79	0.2785
FABP2	-0.50825
NUT	-0.4045
ZNF57	-0.45325
FBXL4	0.896125
CLEC9A	0.3125
UGT8	1.697
BMP2K	0.2025
MAPK4	0.39475
SLC25A23	-0.5432
HINT1	-1.5638
KRTAP13-1	-0.754
SFXN5	-0.2613
CHCHD2	-0.20825
FAM3D	2.028
NDP	-0.626125
RHOBTB1	2.0725
SLC4A4	-1.21775
RPL38	1.21575
HTF9C	-0.777
AP2A2	-0.211875
ZBTB46	-0.667
MAP7D1	-1.05
AOX1	-2.12933333333333
CYR61	-1.58925
DTNA	0.400357142857143
JRKL	2.25875
TMOD3	-0.56575
EEA1	0.5025
ADCK5	-0.10275
IL1R1	0.671666666666667
KLK3	0.195785714285714
HRSP12	-0.4675
KTN1	-0.21175
LOH11CR2A	0.462
RELL2	-0.2355
MAB21L1	0.90575
C20orf59	-0.8245
PHKB	1.171
ADAM2	-1.51016666666667
TBC1D8B	-0.981333333333333
FAM13A1	-0.2795
LAPTM4B	0.191166666666667
LCN8	-0.0755
TMEM147	0.7805
SYT4	0.2995
XPO7	-0.1115
C9orf62	0.621
GPR75	0.343
TRIM5	0.474625
APOC1	-1.04166666666667
RNASE4	-1.2925
PARD6B	-2.92325
ARID1A	-0.274166666666667
TPD52L3	0.3077
RRAGB	2.13133333333333
RCN2	-0.359833333333333
HIST2H2BE	-0.7935625
STARD7	-0.79975
SHMT2	-0.81025
KIAA1751	0.258666666666667
MLYCD	-0.0605
LOC162632	-0.0163
UQCRH	-1.27325
RP11-217H1.1	0.8998125
SDHA	-0.382166666666667
NCLN	0.0491
ZNF17	0.547666666666667
RCBTB2	-1.92475
VEGFB	0.4887
RP4-747L4.3	1.4575
COLQ	0.3362
MPN2	-1.0395
DRG2	0.303
KLRB1	2.44575
ALPK2	-3.51825
DNASE2B	0.55
FLJ23834	-0.0571666666666667
AXUD1	0.299333333333333
SAFB	0.000599999999999981
NSUN4	-0.4635
RFX2	-1.08483333333333
MAPK8IP1	-0.0796666666666667
FANCD2	-0.0492857142857143
ANKZF1	-0.858
C19orf50	0.109875
DUSP8	0.4735
SENP5	1.789625
NFKBIL2	-0.1675
LBR	0.3375
IGFL1	0.267
LZTS2	1.27875
IL2RG	-1.165375
CCDC51	-0.54475
KLF3	-0.136
ANKRD37	-2.3945
KCTD14	2.56233333333333
FZR1	-0.438333333333333
SLC44A4	-2.1676
ESPL1	-0.340125
GMPR2	-0.1908
TBC1D19	-0.975333333333333
ERGIC1	-0.223111111111111
ERBB4	0.1372
TSPAN32	0.0570000000000001
MAP4	-0.1735
GPHN	0.00175
SLC6A2	1.580125
HIVEP1	0.515
DFFB	0.3923
EIF4EBP2	1.246
DMRT1	1.34975
HSPB6	-0.00199999999999999
IER2	0.367333333333333
AIFM1	-0.04525
WWC2	-0.462416666666667
MRPL4	0.45
FLJ21062	-0.208333333333333
EPB41L4A	0.114083333333333
SH2D6	0.3715
TAF4B	0.83075
GAL3ST3	-0.4635
MALT1	-0.362
RTDR1	1.4375
ARVCF	1.12225
MEX3B	0.668333333333333
FBXO16	-0.379
KIF7	0.198
C1QC	3.42533333333333
ZNF783	-0.781166666666667
ZNF85	0.22275
MMP13	-0.3115
KIAA0329	-0.315875
RTP3	-1.001
ZBED3	0.6455
CLGN	-2.7485
SLC25A37	-0.972083333333333
hCG_18290	0.40175
OR5AS1	-0.1775
SMARCC2	-0.216083333333333
FAM109A	0.348
CCDC12	-0.7225
USF2	0.4713
DEPDC7	-2.556
C20orf24	-1.27333333333333
JMJD3	0.907
DSP	2.18728571428571
SLIC1	0.263125
FAM20A	-0.168
IRF2BP2	0.269125
ZNF230	0.0705
MSN	-0.430214285714286
SLC9A5	-1.209
EPDR1	-2.5027
