Hybridization REF	TCGA-BH-A0BW-01A-11R-A115-07
FOXE1	-0.661375
CNGA3	0.969
GML	0.611
CD38	1.68625
ZDHHC6	-0.175666666666667
NEFH	-0.38825
CTDSP2	-0.438166666666667
PGBD5	2.4245
CCNY	0.352714285714286
RMND5B	0.0445833333333333
ZNF257	-3.65925
FLJ22167	0.210125
EXOSC7	-0.680666666666667
ROR2	1.093625
MAOA	-0.975
TNNT3	-0.0655
GYPC	-0.372
C7orf33	1.0815
PLIN	0.820333333333333
LOC90826	-0.21025
RNF4	0.0949
F8A1	1.07533333333333
PLEKHG4	-1.486
GRB2	0.4751
HIST1H2AD	1.47125
DUS3L	-0.566166666666667
EIF1	0.0136666666666667
RP5-1077B9.4	-0.192833333333333
FPGT	2.123
GDF10	-0.598166666666667
COQ9	0.9025
GCC2	-0.334642857142857
RARRES3	2.052125
PLXNA1	-0.1741
KIAA0100	0.1109
PMF1	0.54425
FNDC1	4.77875
HS2ST1	0.65525
CRELD2	2.0105
C8G	0.0775
CD82	1.86575
LIM2	-0.4045
UNQ6490	0.127
MMP16	-0.52
DRD3	-0.46425
C5orf26	-1.953
C11orf73	0.590375
PTP4A2	0.220625
OR4M2	-0.3805
HPCA	0.855166666666667
SEC14L1	-0.0625
CHFR	0.4185
EMILIN1	1.048125
NDUFS4	-0.92675
COL18A1	-0.600875
PDZD3	-0.0695
C9orf16	0.430166666666667
ERBB2IP	0.185666666666667
EMX2	2.80325
FUS	-0.651
TF	-0.6227
CLCN4	3.4405
CXorf56	0.84325
C11orf72	0.61275
ELAC2	-0.74075
NPR1	0.04775
ASS1	0.261833333333333
USP42	-0.869375
POLR2J	-0.365
SEC23IP	-0.114
UQCRC1	-0.5655
LOC729603	-0.751
C1orf71	0.4725
POLG	-1.125
ADAM23	-3.331
TFR2	-1.43175
RICTOR	-0.6571
MGC39606	-0.25825
C19orf55	-0.366125
SNAPC1	-1.05633333333333
GNA11	0.007375
CCDC52	-1.4175
FSIP1	-0.9605
UPF3A	-0.808875
IGSF11	-2.01466666666667
LAGE3	-0.17175
CHST6	-1.085
UNC13B	0.246125
TTLL4	0.81425
ZNF687	0.072
SDC2	0.9223
COX7A2	-0.1025
LAMB4	-0.00175000000000002
FAM24A	0.0375
LRRTM3	-2.1798
GPHB5	-0.54975
OR4C13	0.724
EIF3EIP	-0.575142857142857
HABP4	0.0345
TMEM125	2.73325
CNTN2	1.881875
ASNSD1	-0.0925
FUT4	1.432
ACF	-3.46775
LOC158381	1.5515
CDH8	-0.627
AGPS	-0.657833333333333
C4orf18	0.853625
PECI	-0.846583333333333
UNG	0.14
GSTP1	0.4355
DCUN1D5	-0.692833333333333
DKFZP564J0863	-0.21525
SLC9A3R1	0.66075
BCDO2	0.290625
CHMP7	-0.139375
REM2	-0.6575
DNHD1	-0.318875
FKBP4	-1.7965
ZNF350	0.886
MGC11102	-0.03075
BST1	1.763
KISS1R	0.257
NCR2	0.5605
DEFB125	0.523
UBE2W	0.97725
KRT15	2.846875
C10orf99	0.5595
SCN11A	1.11525
GFI1	1.04725
RDHE2	-0.8125
FHL1	-2.39616666666667
OSGEP	-0.0666666666666667
GATA1	-3.50483333333333
SMC6	-0.0545
TTTY14	-0.90825
LPIN3	-0.32
RPL4	-0.9326
RBPMS	-0.2496
PRPF3	0.422
EMR1	-0.6045
SPATA19	0.45175
XCR1	0.1715
IRX3	2.2396
RBM6	-1.15225
KLF4	-0.2899
UNC5CL	-1.18675
SEBOX	0.041
BTK	0.39225
KRCC1	1.89475
C6orf27	0.235
SYTL5	-1.2365
PRND	1.20571428571429
LOC653319	-0.054
PIGL	-2.10775
HUS1	-0.244666666666667
SFRS6	0.964666666666666
C17orf77	0.835
UIMC1	-1.778
FXYD2	-1.5742
LOC283152	0.98275
ZNF667	-0.3815
ZCCHC12	-1.453
TFEC	5.3729
ATP7B	-1.88733333333333
POLD2	-1.11583333333333
RG9MTD1	-0.40575
ACOT2	0.781666666666667
HIST1H4I	-1.015625
PPARGC1A	-0.9871
ETFA	-0.1269
POLRMT	-0.9135
ZNF146	0.305125
MIA2	-3.5795
KLHL6	0.181166666666667
HOXB5	-1.752375
NENF	0.425
CUGBP1	0.1625
PRSS22	2.00116666666667
CASC4	0.8136
CUL4B	0.6838
CENPJ	-1.9675
PITX1	-1.1725
FLJ31033	2.64466666666667
CELSR3	-0.796833333333333
ZNF568	0.69675
ITSN1	-1.08625
EHBP1L1	0.614833333333333
C19orf2	0.18275
DCTN1	-0.05525
LIN28B	-4.5545
TNKS2	-0.078
C1QBP	-1.184875
CADPS2	1.99275
SRMS	-0.04775
GJA9	0.5045
MGC24975	-1.44866666666667
TRIM45	-1.361
TSP50	1.4115
TCP1	-1.36275
TMED7	-0.00600000000000001
CMA1	0.038
CENPL	-1.054
PTCRA	0.7065
FST	-3.83225
VWCE	-3.52525
PAWR	-0.5625
ABCC12	-0.30225
LDLR	-1.9286
ASTN2	0.0867
LOC441212	-0.505125
GPATCH8	-0.155
TANC2	-0.7575
KIF4A	-1.14725
C18orf18	0.63325
PGM1	0.264
KIAA0258	1.13375
CPD	1.85975
SNCAIP	-1.0725
DCT	-4.06433333333333
HLA-DOA	3.16663636363636
OR11L1	0.7215
UPK1B	0.4876
DNAJB4	0.368875
UGT1A8	-1.2095
HIST1H4L	-3.363
PECR	-2.46
HSPA2	1.62225
WFIKKN1	-3.396
SERP1	0.95325
SYDE2	-1.0065
TACR2	0.3375
NUP85	0.26025
CD177	-0.0905
LGR5	-3.11733333333333
PIGG	0.383166666666667
PTHR1	-2.35433333333333
RAB5A	0.2912
FLJ13224	0.8315
USP9Y	-3.0005
C7orf53	-1.107
LRP1B	-0.843
XAF1	3.4709
ABCG8	-2.024
ANKDD1A	-0.624333333333333
DAND5	-1.0185
SPAG6	1.717
LINCR	2.72075
ZDHHC22	-1.26375
CCDC60	1.132
THOC7	-1.20283333333333
TCTA	1.0651
OR8K3	-0.051
NY-REN-7	-2.87725
B2M	2.81416666666667
C6orf141	-3.10625
LPPR4	1.63475
SQLE	0.817875
SEPHS1	0.0505
BTBD14B	0.274571428571429
PLRG1	0.04375
SPG7	0.342125
ZNF614	0.145833333333333
PARD6G	1.07133333333333
INPP5B	0.2008
GRPEL2	-0.34275
PPID	-0.4309
TRIM56	-0.03725
UBE2J1	-0.148125
IL20RA	2.2715
LOC387856	-0.11775
C1orf107	0.02
UTS2R	0.7805
C19orf22	-0.5045
SAFB2	-0.986375
KIAA0652	0.410625
KLRG1	-1.52483333333333
MS4A8B	0.170666666666667
FRAG1	0.416
KIAA1546	1.72025
E2F4	0.417
CLEC4M	-0.1385
BTBD14A	1.06
KIAA0999	1.1816
GYPA	-4.747
TAC1	-0.459777777777778
TRAIP	-1.95283333333333
KIAA0232	0.6071
ERCC8	-1.603375
GPX4	0.012375
KIAA0368	0.708125
GPR157	-0.475166666666667
CTAGE4	1.867
C9orf30	0.343333333333333
OR52A1	0.1445
HSP90B3P	0.5105
ALG9	-0.3818
BTBD10	1.20025
SDK2	0.45175
BAIAP3	-1.576
RABGGTB	-1.006875
ANKRD40	0.671833333333333
KRT74	1.0825
CALCOCO2	0.671642857142857
SNCA	-1.2715
TMSL8	-4.954875
C2orf53	0.513
ESRRB	-0.5025
ARHGAP26	0.217125
TDRD9	-3.50425
HRAS	0.785666666666667
KLRC4	-0.9225
JAGN1	-0.4575
BSDC1	1.067
RNF43	1.2257
NDUFAF1	-0.5775
PHF12	0.628
OR1L3	-0.665
FOLR2	1.91858333333333
LYZL6	0.323
tcag7.1260	-0.609
WSB1	-1.0255
PROS1	-2.158
OSTN	0.7695
PSMB8	2.55225
SOCS4	-0.148625
DDIT4L	2.086
MAS1	-1.147
MGC34796	1.19375
CSHL1	0.0778333333333333
TBCCD1	0.452833333333333
ZBTB7C	0.749
AP2S1	-0.208875
P15RS	-0.1222
VAT1	-1.4782
SHANK3	1.79216666666667
TUFM	-0.912166666666667
THEG	-0.62675
KRT34	0.81625
SGSM3	0.60975
TOMM22	-1.03275
SOCS3	1.887
CPO	0.191
POP4	0.72275
BHLHB3	1.18925
MALL	3.0505
OR1B1	0.6095
PARK2	0.351666666666667
GPR124	-0.109375
LCE1E	-0.3305
RUVBL2	-0.7195
CGRRF1	-0.2585
ACPL2	0.5785
WNT10B	-2.2925
BAIAP2L2	-1.836875
ISCA1	0.242
C1orf125	0.224125
RPAP1	-1.4265
RAI16	-0.7175
RPL27	-0.7235
NLRP9	0.199
EPN1	0.4755
LOC388610	-2.344375
SLC35A1	0.1099
GAL	-3.9545
SLC14A2	0.816
RDH11	-1.06516666666667
FAM138F	-0.6305
AUH	0.08025
FLJ40243	-0.698
C14orf129	-0.4745
MBD2	-0.7525
ABHD14B	-0.75825
PIGT	0.02375
ALS2CR4	-0.057625
ALAS1	0.6504
FOXO1	0.693
CRLF3	1.354625
C20orf107	-0.3415
FARS2	0.4025
CCDC28A	0.73725
NPHP3	-0.88975
OR13F1	0.5495
TSEN54	-0.5545
DEFB106B	0.829
OR8B4	1.3635
STH	-1.99225
ZC3H14	-0.75325
CBX2	0.1755
TMEM49	-0.50825
C6orf21	0.7635
FLJ20920	-1.061625
CRTAP	-0.780214285714286
DDX50	0.10325
STYXL1	-0.3295
BLVRB	0.760166666666667
LOC147650	0.589333333333333
MMP24	-0.0135
GRID1	1.779
BANF1	-0.142833333333333
CTAGEP	0.646
HMBS	-1.486
SLC25A24	0.641833333333333
C14orf50	1.021
MRO	1.52216666666667
SLC25A15	-0.77625
FAM84B	1.3176
TDP1	-1.668
C16orf78	0.651666666666667
C11orf57	-0.566625
RFK	-0.79275
ZFYVE9	-0.313625
STCH	0.028
WIBG	-0.111
LOC283871	0.175166666666667
GBA2	-0.6465
NDUFB3	0.938
HSD17B13	-1.496
GRIN3A	3.69716666666667
FMNL1	0.758333333333333
SEPT7	-0.691
GNLY	4.6285
GRAMD1C	1.82016666666667
ZNF165	0.076
USP38	0.92325
FAM83A	-3.107
C14orf24	0.420083333333333
ARMCX3	0.898375
ARHGDIB	1.14183333333333
AK1	0.66125
KIAA1045	-0.15175
DNAJB13	-0.1325
NEU2	0.1005
HIST1H4B	-1.62416666666667
FAM20B	-0.1898
HES2	0.835769230769231
FAM73B	-0.4255
LOC388381	-0.141333333333333
INTS7	0.122545454545455
AMPH	0.59875
ZNF775	-0.3765
UCKL1	0.520666666666667
C10orf97	0.0935
C1orf161	0.7795
ALDH1L1	-1.08025
FLJ39378	0.00687500000000001
SLC23A1	-2.337
RBM4B	0.591
THAP4	0.807666666666667
OGFRL1	2.94075
KIAA0831	-0.725125
PPP1R15A	-0.177333333333333
C1orf96	-0.794571428571428
C12orf11	-1.819
BMF	0.29975
MAN1A1	-0.567125
KIAA1600	0.219833333333333
NLGN4X	-0.19975
ALOX12	-1.17583333333333
RB1CC1	-0.3573
NEIL2	-0.0881
EIF4E	0.900954545454546
ABHD5	-0.531
EXOC4	-1.1785
CIP29	0.0158333333333333
BATF2	3.2225
SLC29A4	-0.986375
HTR4	0.62125
EMB	0.071
TRAF6	0.94775
LMNB1	-1.61
FAM19A5	-1.671
SHE	1.06525
PIK3C2B	0.759
C15orf15	-0.7508
USP15	-0.0405
TCEAL2	-0.45725
C5orf39	0.464666666666667
PTGER2	-0.62575
SLC31A1	-0.6605
IFT172	1.55025
ADAM29	1.32875
GFOD1	-0.2705
ST7L	1.08983333333333
C15orf26	-3.248
PKN3	-0.8545
CNTD1	0.828166666666667
COMMD1	0.58
NTRK2	4.02783333333333
FOXN3	-0.4525
MFGE8	1.0048
PFKFB2	0.759
TAS2R4	-0.588
ENTHD1	0.7155
PRMT5	-1.20775
MGC16384	-0.9925
LOC442229	-0.31875
TSKU	0.076
KRTCAP3	3.13375
PDLIM1	-0.2121
KCNS2	0.13975
RNF126	-1.0565
CEP63	-0.725375
CLIC4	0.081125
hCG_1990170	3.93475
ACR	1.3628
KLK7	1.58325
ALOX5AP	3.5575
RIPK3	3.53825
TAS2R9	0.0625
C19orf18	-1.0975
BIRC6	0.497071428571429
ZNF16	1.107
RFT1	-0.1595
SLC8A2	-0.61525
TACC1	-0.71
ITGAD	0.0967500000000001
SAMHD1	2.45625
SH3PXD2B	1.5745
EPC2	0.9315
C20orf85	0.43725
ATP13A2	0.600333333333333
KRT4	0.46275
CAPNS1	0.64725
MDM2	-0.0258333333333333
PCDH20	-0.02225
KCNK9	0.9815
OR2C1	-0.4785
KLHDC3	-0.415
IPPK	1.126
EFHD2	0.33975
GALR3	0.94525
NBEA	1.08966666666667
ABCA6	1.0424
CLDN3	2.63333333333333
AKT2	-0.299285714285714
EGFR	0.726
RBM16	-0.08375
ZDHHC3	0.3865
SLC25A4	0.265166666666667
CYB5B	0.512
CPXM1	-0.68675
NDRG1	-0.603
FLJ43826	0.689
OR5L2	-0.2784
FARP2	0.1935
MRPL46	0.0249166666666667
LDHAL6B	0.161833333333333
MAPKAPK3	-0.8835
NCAM2	-1.0845
PRKD2	0.712333333333333
ZFP36L1	0.3929
CYSLTR1	-0.9495
OR4C3	0.561
HIST1H2AJ	1.1185
CCNB2	-1.08944444444444
ZNF10	0.18
TMEM175	0.4185
FAM134A	0.452833333333333
TIGD4	1.054
PCNP	0.23
MGC39715	-0.28675
LQK1	-1.99975
CREB1	0.156
TMPRSS3	2.02175
C4orf32	1.845375
LAT	-0.574333333333333
KCNA3	-0.655
SKIV2L2	-1.3215
ROPN1B	2.79275
tcag7.23	-1.4015
CDT1	-1.768
ZHX2	1.091375
CD28	-2.396
ZNF624	0.97825
SEPT2	1.3635
SOHLH2	-3.6855
MCOLN3	1.06875
UNQ1945	0.4165
MASP2	-0.7905
ZNRF3	-1.0427
GPATCH3	-0.18875
AGL	0.311
QRICH2	0.2795
PSD4	1.27866666666667
CCNB1IP1	-2.63575
ENPP7	0.33425
OBFC1	-0.0995
KCNG3	-2.36425
C14orf79	-0.300916666666667
ENPEP	0.8295
SCT	1.9095
SKI	-0.0285
SEC61G	-0.73175
CAPN11	-1.716
ATXN7L3	0.36575
DBNDD1	0.655166666666667
FAIM	1.0555
ANKRD36	-2.397
GABRP	4.69066666666667
TACSTD2	2.22833333333333
EIF3J	-0.7365
PPP2R2A	-0.3565
TEKT4	-1.19283333333333
PVALB	-3.35683333333333
F10	-3.02766666666667
FAM134C	1.2443
COMP	3.820875
EFCBP1	-2.1225625
SCLT1	-1.08775
TAL1	-1.6419
ACSL1	2.92275
ABCC5	-0.415833333333333
ABL1	-0.643944444444444
RBBP7	0.237
PTPRG	-2.17775
NCOR1	-0.4463
SPINK4	-2.352
TXNRD1	0.7094
TNRC15	-1.101375
C9orf138	-0.3565
UBE2H	-0.168666666666667
BRDT	-0.138833333333333
C8orf31	0.60825
CCNE2	-0.374818181818182
SLC6A8	-2.17975
CALCR	-4.2115
PPP1CB	1.62733333333333
ABHD8	-0.53875
ARF5	-0.3289
SLC24A4	1.2505
CCT3	0.30025
ZNF121	-0.89525
SLC3A2	-0.6873
OR13A1	0.419
SLC5A10	-0.51625
RAD50	-0.339625
IER5	0.642375
MTHFD1L	-1.563375
MBTPS2	0.736
MVK	0.00725000000000001
NCL	0.1715
PSMD10	0.7395
MOBP	0.591571428571429
FLJ32894	1.3455
HRH1	-0.628166666666667
C5orf30	-0.09225
NUDT16L1	0.3728
RASGRP3	4.88233333333333
PRKRIP1	-0.7256
CCDC75	-1.29
LOC253970	-0.71625
KIAA1239	-0.0536666666666666
MED21	-0.94075
SYT11	0.475666666666667
NTSR2	0.183
EGFL11	2.1135
CXorf59	1.364
OR2A25	0.487
SPTBN2	0.5585
LRMP	-0.584
RNF111	0.5745
PTH	0.663
LOC619208	0.493166666666667
KIAA0895	1.869
RANBP5	-1.530375
P2RY10	1.86866666666667
NME5	-1.25216666666667
DDX21	-0.54025
LRSAM1	0.609
HDAC11	-0.203833333333333
VMO1	1.29925
NOLA2	-0.708333333333333
ADAR	1.86158333333333
MTO1	-0.781666666666667
SF4	-0.268
P2RX1	0.174666666666667
HBM	0.438
EN2	0.7675
C14orf172	-0.10525
TM9SF2	0.4279
INHBE	-1.384
TCTE3	-0.472083333333333
TOX2	-1.794
CTAGE3	-0.404625
HBB	2.617
MED15	0.266333333333333
CASR	0.38175
C6orf66	-1.36866666666667
MTPN	-1.452625
UNC50	0.927
C21orf33	-0.7325
IRF2	2.35525
PGR	-4.505
GPR84	3.73125
CROCCL1	-1.95325
SRPX	-2.17975
BRE	0.944166666666667
FGF10	0.3945
SDC3	1.253
ZRSR1	-0.046
DKFZP434P211	-0.562125
SOX6	2.618
RPUSD2	-1.1795
C14orf173	-0.0234166666666667
MAPK11	0.449666666666667
TBC1D22A	0.8775
FAM123A	-2.241
COL4A6	-2.504
TOMM70A	0.09325
NAB1	1.265875
MGC16385	1.43725
TSPAN18	-1.72766666666667
MED31	-0.96575
PLG	-0.537666666666667
CAPSL	2.3465
ZNF532	1.3094
ASB14	-0.136
CA8	-3.946
NUDT16P	1.36983333333333
SLFN11	2.1235
LRRIQ2	-0.658125
NOL7	-0.0363333333333334
BRMS1L	0.39575
JARID1A	-0.607333333333333
PANK2	-0.024
ICAM3	-0.27425
MDS1	0.40125
TAF8	-0.28575
RNF139	1.01325
ZNF594	-0.583166666666667
ADAM8	3.9855
SFTPC	-0.164125
MAN2B2	0.945375
RGS12	0.1245
EIF1AY	-4.82416666666667
LRRIQ1	-0.709333333333333
GPR150	0.955
CCDC21	-0.4235
PRRG3	0.104
SAA4	-1.2305
RAPGEF5	1.712
ZCCHC2	-0.0155
MGC39372	2.677
PPP4R2	0.595
CDCA2	-2.16233333333333
OR4D5	0.422333333333333
PTGFRN	0.8588
SIGLEC5	1.36183333333333
C19orf61	0.325666666666667
NMUR2	0.0365
KIAA1586	-1.608
DAGLA	1.30716666666667
CHCHD6	0.0705
GPR32	0.524
NEUROD6	0.1416
SLC2A4RG	0.7631875
CA5B	-0.359
FBXL3	0.61025
MPHOSPH9	-0.95425
HMG2L1	-0.2275
HCN4	0.9105
CEACAM19	1.41075
SH2D4B	1.50766666666667
HFE2	-0.704
TGM4	-0.692
LYPD2	-0.01275
TBC1D15	0.62675
MRPS21	-0.6783
NONO	-0.6276
CLEC5A	3.25625
ITCH	-0.2161
MGAT3	1.591
MBP	-0.315125
RPP25	0.05025
SOSTDC1	0.884
HRC	-1.90125
TRIM48	-0.4835
TMEM133	2.39875
ECEL1P2	-1.8655
HOXC11	-0.615
DOK5	0.34375
HELZ	0.934166666666667
LOC348180	0.2065
MGC33894	0.084
ADRB3	0.001
DMD	1.074
PTRH2	-0.00849999999999999
MPEG1	3.57483333333333
NDUFA12	0.209
KRTAP2-4	0.0165
STAMBPL1	0.330333333333333
ADCY2	1.85133333333333
UNQ6125	0.6485
KLHL20	-1.11266666666667
SRM	-0.75475
OTC	-0.3365
TMIE	-0.437
SNX8	-0.1345
LIPK	2.4945
CHURC1	-1.40533333333333
KLC2	0.416166666666667
HDAC1	0.559166666666667
FAM128A	-0.455166666666667
FNDC3B	1.6599
MTCP1	0.2775
WFDC10B	0.2267
PCDHGB3	0.372
ATRNL1	1.0601
CAV2	1.141625
MED26	-0.409833333333333
DUS1L	0.116
CHRM3	-0.616
NEK9	0.1435
WARS2	-1.01525
TBX22	-2.424
TOMM40	-0.57925
RP6-213H19.1	-0.801333333333333
TUBGCP5	-0.16725
IGSF6	4.69975
TPPP	-0.765
UNQ6190	-0.888
GSTM5	0.181625
BTD	0.188166666666667
PDCD1LG2	2.6975
SNRPB2	0.0886666666666667
ERICH1	-1.01475
APOA4	-1.582125
HOXA11	-2.90225
NARG1	0.440875
MKX	-0.67775
RAB28	1.011
PKP3	1.568
SH3GL2	-3.37
CTSO	5.064
RPN2	1.1076875
IL28RA	-0.381666666666667
SFMBT1	0.62325
WDR57	0.372375
FER1L3	0.260666666666667
HSF5	-0.147666666666667
TTC9B	0.04375
C4BPA	0.744166666666667
ALB	-4.454
SORBS3	-0.0535
UPF2	1.033
JPH1	-0.6255
AGBL2	1.1475
DOPEY1	1.243
TERF1	-0.257583333333333
KIF22	-0.872666666666667
NINJ1	1.58825
SEC61A2	-0.0234166666666667
HIST1H1D	-1.065
SFXN4	-0.929
UCP3	0.00719999999999998
ZNF703	0.1215
MYL6B	-0.8965
TREM1	2.72525
OR52E6	0.957
CKMT2	-0.2595
HLA-C	3.140875
SLC13A3	-1.20016666666667
TIMP4	-2.8455
SLIT2	0.37475
RSF1	-0.507555555555556
LONRF1	-0.540642857142857
MON1A	-0.467166666666667
CACNG6	-1.60133333333333
DPPA4	-5.246
ZSWIM3	0.18325
ZNF804A	1.27316666666667
CCIN	1.92825
SLC25A31	0.2015
KCNMB4	-1.70375
RABL5	-0.50875
GALNS	-0.1865
STX6	-0.13075
HIST1H1C	1.3815
CIDEB	0.36425
CASP4	1.9965
PDK3	1.0173
KCNJ11	-0.249
TPR	-0.482
ZSCAN20	-0.024
MTX2	0.06875
HIST1H2BH	1.12375
LOC283767	-0.168
LYRM7	-1.81183333333333
BRD3	-0.329666666666667
HIST1H2BO	1.006
MAGEB10	2.672
SLC45A1	-0.033
SERPINA3	1.8546
KIAA0143	2.66625
KCNJ16	3.5765
KRT79	-0.63225
FABP2	-0.955
NUT	0.568
ZNF57	-1.99975
FBXL4	0.145125
CLEC9A	2.1815
UGT8	2.66183333333333
BMP2K	0.661
MAPK4	-3.13275
SLC25A23	-2.0571
HINT1	-0.2152
KRTAP13-1	0.434
SFXN5	0.0129
CHCHD2	0.16625
FAM3D	2.3785
NDP	-3.17925
RHOBTB1	-2.29016666666667
SLC4A4	-0.829125
RPL38	-0.663
HTF9C	-0.0421666666666667
AP2A2	0.72625
ZBTB46	0.4645
MAP7D1	1.029375
AOX1	-2.04066666666667
CYR61	0.79525
DTNA	-1.41864285714286
JRKL	0.90025
TMOD3	0.12025
EEA1	0.3007
ADCK5	-0.42625
IL1R1	2.02633333333333
KLK3	0.511857142857143
HRSP12	0.57425
KTN1	-0.40525
LOH11CR2A	1.4893
RELL2	-0.6955
MAB21L1	0.94675
C20orf59	-1.04766666666667
PHKB	0.8065
ADAM2	-3.65016666666667
TBC1D8B	1.0835
FAM13A1	1.11725
LAPTM4B	-0.186833333333333
LCN8	0.4105
TMEM147	0.0065
SYT4	-0.713666666666667
XPO7	-0.614
C9orf62	0.86275
GPR75	0.9705
TRIM5	1.26075
APOC1	-0.0963333333333333
RNASE4	-0.652
PARD6B	-2.0145
ARID1A	0.202083333333333
TPD52L3	0.413875
RRAGB	-0.919833333333333
RCN2	0.775
HIST2H2BE	1.3864375
STARD7	-0.023
SHMT2	-2.10475
KIAA1751	-0.0801666666666667
MLYCD	0.693625
LOC162632	-0.0258
UQCRH	-0.607
RP11-217H1.1	0.4820625
SDHA	-1.35
NCLN	-0.6238
ZNF17	0.1145
RCBTB2	-0.2645
VEGFB	-0.5936
RP4-747L4.3	2.78125
COLQ	0.1297
MPN2	-0.277166666666667
DRG2	-0.4085
KLRB1	5.16275
ALPK2	-1.041
DNASE2B	0.10975
FLJ23834	-0.975833333333333
AXUD1	0.827166666666667
SAFB	-0.7097
NSUN4	-0.11875
RFX2	-1.257
MAPK8IP1	-0.188333333333333
FANCD2	-1.58792857142857
ANKZF1	-1.4125
C19orf50	-0.5
DUSP8	-0.091375
SENP5	-0.184625
NFKBIL2	-0.2795
LBR	-0.773625
IGFL1	1.611
LZTS2	-0.159875
IL2RG	2.25
CCDC51	-0.6005
KLF3	0.69375
ANKRD37	-0.71075
KCTD14	-0.0538333333333333
FZR1	0.0290833333333333
SLC44A4	-1.0308
ESPL1	-0.820125
GMPR2	-1.129
TBC1D19	-0.182666666666667
ERGIC1	-0.73062962962963
ERBB4	-1.0328
TSPAN32	1.24875
MAP4	-0.436375
GPHN	-0.5045
SLC6A2	2.659625
HIVEP1	1.092
DFFB	-0.2052
EIF4EBP2	0.24425
DMRT1	-2.23575
HSPB6	-0.2245
IER2	-0.5835
AIFM1	-0.40825
WWC2	0.0914166666666667
MRPL4	-0.50625
FLJ21062	-1.10816666666667
EPB41L4A	0.271166666666667
SH2D6	0.479
TAF4B	-0.98375
GAL3ST3	-0.2555
MALT1	-0.578
RTDR1	0.287
ARVCF	-0.6355
MEX3B	-1.2075
FBXO16	0.39675
KIF7	-1.27675
C1QC	3.47483333333333
ZNF783	-1.47816666666667
ZNF85	-1.229
MMP13	3.242
KIAA0329	0.17225
RTP3	-0.087
ZBED3	-1.7125
CLGN	-0.75375
SLC25A37	-1.06116666666667
hCG_18290	-1.7835
OR5AS1	0.65
SMARCC2	-0.163916666666667
FAM109A	-0.250333333333333
CCDC12	-0.71825
USF2	0.1172
DEPDC7	-1.4445
C20orf24	0.413
JMJD3	-0.1585
DSP	1.90914285714286
SLIC1	1.459
FAM20A	3.4825
IRF2BP2	0.31125
ZNF230	0.288
MSN	1.08092857142857
SLC9A5	-1.6285
EPDR1	1.0197
MUSK	0.311333333333333
ZNF434	-1.01416666666667
