Hybridization REF	TCGA-A8-A08X-01A-21R-A00Z-07
UNQ6490	0.8005
MMP16	-0.363
DRD3	0.2005
C5orf26	-1.64425
C11orf73	-0.7105
PTP4A2	-0.5775
OR4M2	0.671
HPCA	-0.759666666666667
SEC14L1	0.0951666666666667
CHFR	0.3195
EMILIN1	1.211
NDUFS4	-0.6385
COL18A1	0.456125
PDZD3	-0.2597
C9orf16	0.1785
ERBB2IP	-0.628666666666667
EMX2	4.0845
FUS	-1.47225
TF	-3.5465
CLCN4	-0.562
CXorf56	-0.022
C11orf72	0.31075
ELAC2	-0.519583333333333
NPR1	-0.85425
ASS1	0.0668333333333333
USP42	0.838125
POLR2J	-0.171
SEC23IP	0.547666666666667
UQCRC1	0.46325
LOC729603	-0.18125
C1orf71	-0.217125
POLG	-2.0275
ADAM23	-2.7905
TFR2	-1.371
RICTOR	-0.7521
MGC39606	0.686
C19orf55	-0.13475
SNAPC1	-1.13416666666667
GNA11	1.0195
CCDC52	-0.6125
FSIP1	-1.4055
UPF3A	-0.6505
IGSF11	-2.65066666666667
LAGE3	0.72525
CHST6	-1.877
UNC13B	0.957375
TTLL4	-0.00875
ZNF687	0.037125
SDC2	0.2665
COX7A2	0.0765
LAMB4	-0.22075
FAM24A	0.045
LRRTM3	-0.7744
GPHB5	0.8085
OR4C13	0.418
EIF3EIP	0.269214285714286
HABP4	-0.358
TMEM125	1.26625
CNTN2	0.217875
ASNSD1	-0.51575
FUT4	0.00125
ACF	-3.0755
LOC158381	0.0015
CDH8	0.0876666666666667
AGPS	-1.56633333333333
C4orf18	2.21525
PECI	-2.04316666666667
UNG	-0.98
GSTP1	-1.66675
DCUN1D5	-1.05333333333333
DKFZP564J0863	-0.722
SLC9A3R1	-0.048625
BCDO2	-0.753625
CHMP7	-0.543
REM2	-0.0245
DNHD1	-0.318375
FKBP4	-0.340375
ZNF350	1.98475
MGC11102	-0.260375
BST1	1.44425
KISS1R	0.9755
NCR2	0.1115
DEFB125	0.1505
UBE2W	1.517625
KRT15	1.836125
C10orf99	0.301
SCN11A	0.00837499999999999
GFI1	-0.94975
RDHE2	5.31333333333333
FHL1	-0.968
OSGEP	-0.103833333333333
GATA1	-3.22483333333333
SMC6	0.0745
TTTY14	-1.09325
LPIN3	-0.219
RPL4	-0.5537
RBPMS	-0.5481
PRPF3	-0.261166666666667
EMR1	-2.023
SPATA19	-0.40125
XCR1	0.674
IRX3	1.0334
RBM6	0.02725
KLF4	-0.6685
UNC5CL	0.83075
SEBOX	0.267
BTK	0.81925
KRCC1	0.28375
C6orf27	0.2115
SYTL5	-1.4505
PRND	1.682625
LOC653319	-1.3235
PIGL	-1.672875
HUS1	0.751666666666667
SFRS6	-0.402
C17orf77	1.2435
UIMC1	-0.429666666666667
FXYD2	-1.5731
LOC283152	-0.94875
ZNF667	-0.94225
ZCCHC12	-1.1925
TFEC	3.2362
ATP7B	-0.586833333333333
POLD2	0.197666666666667
RG9MTD1	0.161
ACOT2	-0.405833333333333
HIST1H4I	-0.979125
PPARGC1A	-1.5887
ETFA	-0.4424
POLRMT	-0.032
ZNF146	0.18725
MIA2	-1.353
KLHL6	0.935333333333333
HOXB5	-0.574375
NENF	0.897333333333333
CUGBP1	-0.35025
PRSS22	1.85316666666667
CASC4	0.7653
CUL4B	0.1652
CENPJ	-0.405
PITX1	0.841
FLJ31033	0.048
CELSR3	0.865333333333333
ZNF568	-0.3815
ITSN1	0.152083333333333
EHBP1L1	-0.4915
C19orf2	0.8345
DCTN1	0.08975
LIN28B	-2.2946
TNKS2	-0.024
C1QBP	-0.564625
CADPS2	1.222
SRMS	0.25625
GJA9	-0.161166666666667
MGC24975	-0.347833333333333
TRIM45	-2.3685
TSP50	-0.65375
TCP1	-0.5125
TMED7	-0.3526
CMA1	0.411
CENPL	0.339
PTCRA	-0.149
FST	-3.3965
VWCE	-3.4275
PAWR	0.19675
ABCC12	0.998833333333333
LDLR	-0.0664
ASTN2	-0.4818
LOC441212	-0.972875
GPATCH8	-0.23375
TANC2	-0.786666666666667
KIF4A	-0.87725
C18orf18	-2.16425
PGM1	-0.8085
KIAA0258	0.00200000000000002
CPD	-0.18775
SNCAIP	-1.574
DCT	-3.77466666666667
HLA-DOA	2.98627272727273
OR11L1	1.383
UPK1B	-0.181833333333333
DNAJB4	-1.142375
UGT1A8	-0.66975
HIST1H4L	0.803
PECR	-1.54816666666667
HSPA2	-0.11475
WFIKKN1	-3.0845
SERP1	0.876375
SYDE2	0.8695
TACR2	0.113
NUP85	-0.33775
CD177	-1.12283333333333
LGR5	-2.205
PIGG	-1.31666666666667
PTHR1	-1.343
RAB5A	0.228
FLJ13224	0.3655
USP9Y	-1.7555
C7orf53	-0.483
LRP1B	-1.4905
XAF1	2.1644
ABCG8	-1.0645
ANKDD1A	-0.226666666666667
DAND5	-1.0955
SPAG6	-0.0981666666666667
LINCR	0.79225
ZDHHC22	-1.778625
CCDC60	0.1625
THOC7	-0.6335
TCTA	0.9179
OR8K3	0.18775
NY-REN-7	0.0356666666666667
B2M	1.69733333333333
C6orf141	-1.97475
LPPR4	1.4605
SQLE	0.229375
SEPHS1	0.5375
BTBD14B	0.512714285714286
PLRG1	-0.745
SPG7	-0.783375
ZNF614	-0.249166666666667
PARD6G	1.10433333333333
INPP5B	-0.1689
GRPEL2	-0.481375
PPID	-0.8312
TRIM56	-0.6055
UBE2J1	0.66875
IL20RA	2.29875
LOC387856	0.06875
C1orf107	1.015
UTS2R	0.97825
C19orf22	0.352
SAFB2	-0.197625
KIAA0652	0.194875
KLRG1	-0.514
MS4A8B	0.402666666666667
FRAG1	-0.40325
KIAA1546	-0.1815
E2F4	-1.0173
CLEC4M	-0.0231666666666667
BTBD14A	-1.221
KIAA0999	0.1588
GYPA	-3.362
TAC1	-0.412666666666667
TRAIP	-0.3975
KIAA0232	-0.1947
ERCC8	-1.016875
GPX4	0.80025
KIAA0368	-0.485125
GPR157	-0.0513333333333333
CTAGE4	-0.3735
C9orf30	-0.792
OR52A1	0.323
HSP90B3P	0.138
ALG9	-0.0883
BTBD10	0.257
SDK2	0.7555
BAIAP3	-1.26075
RABGGTB	-0.754375
ANKRD40	-0.576333333333333
KRT74	0.516
CALCOCO2	-0.495642857142857
SNCA	-3.0265
TMSL8	-1.823625
C2orf53	-0.0215
ESRRB	-0.32525
ARHGAP26	-0.820875
TDRD9	-2.21725
HRAS	-0.373833333333333
KLRC4	-1.7615
JAGN1	-0.312333333333333
BSDC1	-0.13475
RNF43	-0.388
NDUFAF1	-0.275
PHF12	0.497
OR1L3	0.351333333333333
FOLR2	1.54666666666667
LYZL6	0.285333333333333
tcag7.1260	2.1705
WSB1	-0.708833333333333
PROS1	-0.8406
OSTN	0.773
PSMB8	0.1165
SOCS4	-0.281125
DDIT4L	2.33525
MAS1	-0.7765
MGC34796	0.98625
CSHL1	0.1048
TBCCD1	0.718333333333333
ZBTB7C	0.2655
AP2S1	-0.2145
P15RS	0.3187
VAT1	-0.7276
SHANK3	0.806
TUFM	-0.718666666666667
THEG	-0.33675
KRT34	-1.582
SGSM3	0.225625
TOMM22	0.034
SOCS3	0.4105
CPO	0.931
POP4	0.4985
BHLHB3	1.739
MALL	2.91775
OR1B1	0.3635
PARK2	0.9845
GPR124	0.966375
LCE1E	0.4175
RUVBL2	-0.26625
CGRRF1	-0.1266
ACPL2	-0.372
WNT10B	-0.8385
BAIAP2L2	-2.06175
ISCA1	-0.0935
C1orf125	-0.188125
RPAP1	-1.1045
RAI16	-0.936333333333333
RPL27	-0.67725
NLRP9	0.1385
EPN1	0.354
LOC388610	-1.07575
SLC35A1	-0.1065
GAL	-0.921
SLC14A2	0.28875
RDH11	-0.658666666666667
FAM138F	-0.411
AUH	-0.495
FLJ40243	-0.491333333333333
C14orf129	0.446166666666667
MBD2	0.271666666666667
ABHD14B	0.988375
PIGT	0.397125
ALS2CR4	-0.219125
ALAS1	0.4773
FOXO1	1.82483333333333
CRLF3	-0.762625
C20orf107	1.0555
FARS2	0.79675
CCDC28A	0.076
NPHP3	-0.473
OR13F1	0.532
TSEN54	-0.2585
DEFB106B	-0.05875
OR8B4	-0.302
STH	-0.00375
ZC3H14	-0.19725
CBX2	-0.3135
TMEM49	-1.781
C6orf21	1.0735
FLJ20920	-0.313875
CRTAP	0.184
DDX50	-0.14025
STYXL1	-0.21275
BLVRB	0.2915
LOC147650	-1.44666666666667
MMP24	0.45875
GRID1	1.47083333333333
BANF1	-0.1195
CTAGEP	0.154
HMBS	-1.663
SLC25A24	-0.237666666666667
C14orf50	-0.3435
MRO	0.831666666666667
SLC25A15	-0.06075
FAM84B	0.9157
TDP1	0.1145
C16orf78	0.276833333333333
C11orf57	0.203375
RFK	-0.9365
ZFYVE9	-0.165875
STCH	0.345
WIBG	-0.0165
LOC283871	-0.818833333333333
GBA2	0.1083
NDUFB3	-0.18175
HSD17B13	-1.16325
GRIN3A	1.3144
FMNL1	-0.3045
SEPT7	-0.1831
GNLY	3.751
GRAMD1C	0.0755
ZNF165	-0.3005
USP38	0.09675
FAM83A	-3.186
C14orf24	0.310083333333333
ARMCX3	0.394625
ARHGDIB	0.0691666666666667
AK1	1.970125
KIAA1045	-0.0666666666666667
DNAJB13	-0.117333333333333
NEU2	-0.119
HIST1H4B	-0.2435
FAM20B	-0.018
HES2	1.39407142857143
FAM73B	-0.5251
LOC388381	0.8055
INTS7	0.00754545454545456
AMPH	1.43625
ZNF775	-0.23625
UCKL1	-0.167166666666667
C10orf97	0.67575
C1orf161	0.11125
ALDH1L1	-2.12575
FLJ39378	-0.310375
SLC23A1	-2.876
RBM4B	0.14025
THAP4	-0.0776666666666667
OGFRL1	0.64475
KIAA0831	0.2725
PPP1R15A	0.297166666666667
C1orf96	1.10735714285714
C12orf11	-1.97125
BMF	1.171125
MAN1A1	-0.47625
KIAA1600	0.968333333333333
NLGN4X	-0.622
ALOX12	-1.497
RB1CC1	0.8834
NEIL2	-0.6335
EIF4E	-0.593636363636364
ABHD5	0.2505
EXOC4	-0.199
CIP29	-0.642333333333333
BATF2	0.96725
SLC29A4	-0.188625
HTR4	0.5575
EMB	-0.51425
TRAF6	0.848
LMNB1	-1.85375
FAM19A5	-0.044
SHE	1.3955
PIK3C2B	0.67125
C15orf15	-0.5652
USP15	-0.1498
TCEAL2	0.6545
C5orf39	-0.217
PTGER2	0.107
SLC31A1	-0.0831875
IFT172	0.21475
ADAM29	-0.11775
GFOD1	1.8985
ST7L	-0.520833333333333
C15orf26	-3.208
PKN3	-1.39475
CNTD1	0.306
COMMD1	1.485875
NTRK2	1.37233333333333
FOXN3	0.884125
MFGE8	0.8096
PFKFB2	1.09433333333333
TAS2R4	-0.02425
ENTHD1	1.5575
PRMT5	-0.98325
MGC16384	-0.516875
LOC442229	0.442
TSKU	0.29625
KRTCAP3	-1.748125
PDLIM1	0.9108
KCNS2	0.28825
RNF126	-0.2205
CEP63	0.322375
CLIC4	0.919375
hCG_1990170	1.79325
ACR	0.3066
KLK7	5.29775
ALOX5AP	3.3865
RIPK3	2.88275
TAS2R9	0.217
C19orf18	0.7435
BIRC6	-0.6975
ZNF16	-0.375
RFT1	-0.036
SLC8A2	-0.33775
TACC1	0.880125
ITGAD	1.22825
SAMHD1	1.1625
SH3PXD2B	1.0521
EPC2	0.25725
C20orf85	0.598375
ATP13A2	0.483166666666667
KRT4	3.833875
CAPNS1	0.23075
MDM2	-0.80025
PCDH20	1.6345
KCNK9	0.4265
OR2C1	-0.438
KLHDC3	0.2205
IPPK	-0.545
EFHD2	-0.222
GALR3	1.04525
NBEA	-1.1725
ABCA6	2.6177
CLDN3	0.499833333333333
AKT2	-0.683142857142857
EGFR	0.9029
RBM16	-0.1995
ZDHHC3	0.5163
SLC25A4	-0.504833333333333
CYB5B	-1.925
CPXM1	0.7915
NDRG1	1.09907692307692
FLJ43826	0.21525
OR5L2	0.4496
FARP2	0.2045
MRPL46	-0.915
LDHAL6B	0.1565
MAPKAPK3	0.191166666666667
NCAM2	-3.4975
PRKD2	0.583666666666667
ZFP36L1	1.4213
CYSLTR1	0.688
OR4C3	0.347
HIST1H2AJ	0.4465
CCNB2	-1.29533333333333
ZNF10	-0.897375
TMEM175	1.592
FAM134A	0.3185
TIGD4	-0.9155
PCNP	-0.55525
MGC39715	0.2385
LQK1	-0.873
CREB1	0.5374
TMPRSS3	-2.71375
C4orf32	-0.9685
LAT	-1.18041666666667
KCNA3	1.692
SKIV2L2	-1.1105
ROPN1B	-3.48725
tcag7.23	-0.013
CDT1	-2.516
ZHX2	1.663875
CD28	-2.664
ZNF624	0.68975
SEPT2	-0.271666666666667
SOHLH2	-0.448
MCOLN3	-0.782625
UNQ1945	1.0085
MASP2	-1.062
ZNRF3	-0.1192
GPATCH3	-0.43275
AGL	-0.139875
QRICH2	-0.6105
PSD4	-0.110333333333333
CCNB1IP1	-0.4905
ENPP7	-0.312
OBFC1	0.3605
KCNG3	-1.83425
C14orf79	0.151583333333333
ENPEP	2.104
SCT	1.9065
SKI	1.23475
SEC61G	0.15675
CAPN11	0.16225
ATXN7L3	-0.12575
DBNDD1	0.0203333333333333
FAIM	0.74725
ANKRD36	-0.1985
GABRP	2.346
TACSTD2	2.05066666666667
EIF3J	-0.65775
PPP2R2A	-0.89
TEKT4	0.0918333333333333
PVALB	-4.0635
F10	-2.38533333333333
FAM134C	0.4771
COMP	4.2465
EFCBP1	-2.8810625
SCLT1	0.5085
TAL1	-1.2999
ACSL1	2.09475
ABCC5	-0.557
ABL1	0.539388888888889
RBBP7	-0.067
PTPRG	-0.35325
NCOR1	-0.3312
SPINK4	-1.07
TXNRD1	-1.167
TNRC15	0.904375
C9orf138	0.849625
UBE2H	0.222666666666667
BRDT	0.357
C8orf31	-0.197
CCNE2	-0.559909090909091
SLC6A8	-0.71325
CALCR	-4.05775
PPP1CB	-0.0190833333333333
ABHD8	-0.5335
ARF5	0.0677
SLC24A4	1.044
CCT3	0.15025
ZNF121	1.20525
SLC3A2	-0.8937
OR13A1	0.959
SLC5A10	0.00625000000000003
RAD50	-0.46675
IER5	0.34325
MTHFD1L	-0.721375
MBTPS2	0.17425
MVK	-0.444375
NCL	-0.6579
PSMD10	-0.26775
MOBP	0.620142857142857
FLJ32894	-1.525
HRH1	0.230333333333333
C5orf30	-0.951
NUDT16L1	-0.0798
RASGRP3	3.93616666666667
PRKRIP1	-0.4374
CCDC75	0.56175
LOC253970	1.95075
KIAA1239	-0.311
MED21	-1.21875
SYT11	0.817833333333333
NTSR2	-0.046
EGFL11	0.533
CXorf59	0.242
OR2A25	-0.27675
SPTBN2	-0.0715
LRMP	-0.246
RNF111	0.1595
PTH	-0.119
LOC619208	0.0671666666666667
KIAA0895	0.0295
RANBP5	-1.17675
P2RY10	2.28183333333333
NME5	-0.545333333333333
DDX21	-0.6125
LRSAM1	0.1845
HDAC11	0.953333333333333
VMO1	1.00575
NOLA2	-0.161333333333333
ADAR	0.73075
MTO1	-0.102333333333333
SF4	0.130666666666667
P2RX1	0.761333333333333
HBM	0.31175
EN2	1.3065
C14orf172	0.2025
TM9SF2	0.4541
INHBE	-2.028
TCTE3	-0.387916666666667
TOX2	-2.075
CTAGE3	0.695
HBB	3.21277777777778
MED15	-0.603333333333333
CASR	0.0995
C6orf66	-0.157333333333333
MTPN	0.20975
UNC50	-0.67775
C21orf33	-0.481375
IRF2	0.1065
PGR	-1.48516666666667
GPR84	2.461
CROCCL1	-2.05225
SRPX	-1.38625
BRE	-0.287
FGF10	0.94825
SDC3	-0.852
ZRSR1	0.4975
DKFZP434P211	0.301125
SOX6	0.416
RPUSD2	-0.31
C14orf173	-0.05
MAPK11	0.2235
TBC1D22A	0.5425
FAM123A	0.162
COL4A6	-4.08333333333333
TOMM70A	0.48025
NAB1	-0.175875
MGC16385	-0.35775
TSPAN18	0.433166666666667
MED31	-0.18375
PLG	-0.1315
CAPSL	0.314
ZNF532	1.0125
ASB14	-0.11625
CA8	0.8775
NUDT16P	-0.0103333333333333
SLFN11	0.4225
LRRIQ2	1.277625
NOL7	-0.0728333333333333
BRMS1L	-0.325875
JARID1A	0.0065
PANK2	-0.77575
ICAM3	0.5165
MDS1	-0.50225
TAF8	0.1695
RNF139	0.9805
ZNF594	-0.544666666666667
ADAM8	2.124875
SFTPC	-0.061125
MAN2B2	0.12625
RGS12	0.0598125
EIF1AY	-4.2245
LRRIQ1	-0.676833333333333
GPR150	0.955
CCDC21	-0.896666666666667
PRRG3	0.49725
SAA4	-3.716
RAPGEF5	2.08975
ZCCHC2	0.551166666666667
MGC39372	0.7185
PPP4R2	0.228166666666667
CDCA2	-1.07483333333333
OR4D5	0.0681666666666667
PTGFRN	1.2589
SIGLEC5	2.18816666666667
C19orf61	-0.1395
NMUR2	0.4985
KIAA1586	-1.66316666666667
DAGLA	-1.6825
CHCHD6	0.126
GPR32	0.8405
NEUROD6	0.0236
SLC2A4RG	0.4285625
CA5B	0.306
FBXL3	1.3835
MPHOSPH9	-0.91425
HMG2L1	0.355
HCN4	0.757666666666667
CEACAM19	1.74825
SH2D4B	0.4885
HFE2	-0.708
TGM4	-0.3662
LYPD2	-0.60725
TBC1D15	0.1675
MRPS21	-0.7695
NONO	-0.5847
CLEC5A	2.137125
ITCH	-0.269
MGAT3	-0.140833333333333
MBP	-0.225875
RPP25	0.6465
SOSTDC1	-2.209
HRC	-1.65175
TRIM48	-0.136
TMEM133	0.39425
ECEL1P2	-1.991
HOXC11	0.4985
DOK5	-0.07825
HELZ	-0.323666666666667
LOC348180	-0.464
MGC33894	0.3135
ADRB3	0.229
DMD	-0.313
PTRH2	-0.3895
MPEG1	3.1615
NDUFA12	-0.101666666666667
KRTAP2-4	0.0824166666666667
STAMBPL1	-1.33016666666667
ADCY2	2.17483333333333
UNQ6125	1.016
KLHL20	0.632333333333333
SRM	-0.7585
OTC	-0.479
TMIE	0.0385
SNX8	0.33175
LIPK	0.4425
CHURC1	0.927
KLC2	0.517666666666667
HDAC1	-0.9265
FAM128A	-0.314166666666667
FNDC3B	0.4965
MTCP1	-0.625666666666667
WFDC10B	0.3248
PCDHGB3	0.174
ATRNL1	-2.50111111111111
CAV2	-0.279875
MED26	0.2565
DUS1L	0.6665
CHRM3	-1.645125
NEK9	0.18525
WARS2	-0.22975
TBX22	-0.398
TOMM40	-0.42575
RP6-213H19.1	-0.4665
TUBGCP5	-0.26375
IGSF6	4.825
TPPP	0.959833333333333
UNQ6190	-0.024
GSTM5	-0.047125
BTD	0.348
PDCD1LG2	1.00516666666667
SNRPB2	0.0518333333333333
ERICH1	-0.9355
APOA4	-1.1895
HOXA11	-0.77425
NARG1	-1.098875
MKX	-0.745
RAB28	-0.775142857142857
PKP3	0.487
SH3GL2	-2.87475
CTSO	2.27825
RPN2	0.2139375
IL28RA	0.703166666666667
SFMBT1	0.4345
WDR57	-1.69775
FER1L3	0.957916666666667
HSF5	0.566833333333333
TTC9B	-0.07075
C4BPA	-3.98616666666667
ALB	-4.01714285714286
SORBS3	-0.242625
UPF2	0.25
JPH1	0.3775
AGBL2	-2.55825
DOPEY1	1.2275
TERF1	-0.198583333333333
KIF22	-1.01166666666667
NINJ1	-0.4315
SEC61A2	0.297416666666667
HIST1H1D	-0.166333333333333
SFXN4	-0.463
UCP3	0.3573
ZNF703	0.371166666666667
MYL6B	-1.138
TREM1	2.44625
OR52E6	0.467
CKMT2	0.31075
HLA-C	1.95225
SLC13A3	-0.0635
TIMP4	-3.69175
SLIT2	2.35825
RSF1	-0.158722222222222
LONRF1	-1.16157142857143
MON1A	0.423833333333333
CACNG6	-1.37683333333333
DPPA4	-4.95233333333333
ZSWIM3	0.447
ZNF804A	0.506166666666667
CCIN	0.7025
SLC25A31	0.01175
KCNMB4	-0.80325
RABL5	0.182125
GALNS	-0.3896
STX6	1.345
HIST1H1C	-1.048
CIDEB	0.599625
CASP4	-0.054
PDK3	-0.6137
KCNJ11	0.096
TPR	0.157125
ZSCAN20	-1.5725
MTX2	-0.54675
HIST1H2BH	0.3575
LOC283767	1.73375
LYRM7	-1.70188888888889
BRD3	0.725833333333333
HIST1H2BO	-0.2825
MAGEB10	0.9205
SLC45A1	-0.1685
SERPINA3	-2.4752
KIAA0143	1.39275
KCNJ16	-0.3635
KRT79	0.99575
FABP2	-0.24775
NUT	-0.420333333333333
ZNF57	-0.0995
FBXL4	0.12025
CLEC9A	0.2485
UGT8	-1.67566666666667
BMP2K	0.5645
MAPK4	-2.85125
SLC25A23	-0.4812
HINT1	-0.8926
KRTAP13-1	0.0695
SFXN5	-0.7038
CHCHD2	0.490416666666667
FAM3D	2.7315
NDP	-3.672875
RHOBTB1	0.576333333333333
SLC4A4	-0.773625
RPL38	-0.1645
HTF9C	-0.580666666666667
AP2A2	0.11375
ZBTB46	-0.505
MAP7D1	0.25275
AOX1	-1.4565
CYR61	0.0165833333333333
DTNA	1.68442857142857
JRKL	0.42425
TMOD3	-1.0245
EEA1	0.1752
ADCK5	-0.137
IL1R1	1.4655
KLK3	0.490461538461539
HRSP12	-0.3705
KTN1	0.2915
LOH11CR2A	0.7146
RELL2	-1.6175
MAB21L1	0.61125
C20orf59	-0.295
PHKB	-0.199
ADAM2	-1.85466666666667
TBC1D8B	1.0715
FAM13A1	-0.69275
LAPTM4B	1.13933333333333
LCN8	0.722
TMEM147	1.174
SYT4	-0.00299999999999998
XPO7	-0.869
C9orf62	1.19875
GPR75	-0.2635
TRIM5	-0.386125
APOC1	0.5025
RNASE4	-0.279333333333333
PARD6B	-2.597125
ARID1A	0.0611666666666667
TPD52L3	0.5102
RRAGB	1.01666666666667
RCN2	-1.0155
HIST2H2BE	0.1003125
STARD7	-0.15325
SHMT2	-0.31775
KIAA1751	0.1058
MLYCD	0.03525
LOC162632	-0.7669
UQCRH	-1.32225
RP11-217H1.1	1.0745625
SDHA	0.00833333333333333
NCLN	0.1132
ZNF17	0.58
RCBTB2	-1.03625
VEGFB	-0.1664
RP4-747L4.3	0.54475
COLQ	0.7837
MPN2	-1.04183333333333
DRG2	-0.603
KLRB1	5.8585
ALPK2	-1.171
DNASE2B	0.49675
FLJ23834	-0.883333333333333
AXUD1	0.568333333333333
SAFB	-0.362
NSUN4	-0.2695
RFX2	-0.535833333333333
MAPK8IP1	-0.723333333333333
FANCD2	-0.0448571428571429
ANKZF1	-1.33
C19orf50	-0.16375
DUSP8	1.454875
SENP5	0.1175
NFKBIL2	-0.26
LBR	-0.8695
IGFL1	2.7895
LZTS2	0.462125
IL2RG	0.76675
CCDC51	0.047
KLF3	-0.332625
ANKRD37	-0.3485
KCTD14	-1.863
FZR1	-0.1525
SLC44A4	2.064
ESPL1	-0.645125
GMPR2	-0.6188
TBC1D19	-1.16083333333333
ERGIC1	-0.195074074074074
ERBB4	-2.310625
TSPAN32	0.508
MAP4	0.42525
GPHN	0.086
SLC6A2	1.757625
HIVEP1	1.43825
DFFB	0.136
EIF4EBP2	0.604125
DMRT1	0.78225
HSPB6	-0.212
IER2	0.0181666666666667
AIFM1	0.08175
WWC2	-0.0535833333333333
MRPL4	-0.44025
FLJ21062	-0.327
EPB41L4A	0.591
SH2D6	0.204
TAF4B	0.11675
GAL3ST3	-0.1575
MALT1	-0.345666666666667
RTDR1	-0.07425
ARVCF	-0.047125
MEX3B	-0.182333333333333
FBXO16	-0.039
KIF7	-0.95725
C1QC	3.92816666666667
ZNF783	-0.473666666666667
ZNF85	-0.48575
MMP13	4.434
KIAA0329	0.121
RTP3	-0.5465
ZBED3	-0.785
CLGN	-3.0185
SLC25A37	-1.64795833333333
hCG_18290	-0.1005
OR5AS1	0.5415
SMARCC2	0.20625
FAM109A	0.164166666666667
CCDC12	0.01675
USF2	0.7475
DEPDC7	-1.49375
C20orf24	-0.518
JMJD3	1.0935
DSP	1.80714285714286
SLIC1	0.657625
FAM20A	1.366875
IRF2BP2	0.96175
ZNF230	-0.1125
MSN	0.184428571428571
SLC9A5	-2.0005
EPDR1	-0.9814
