Hybridization REF	TCGA-AN-A0XV-01A-11R-A109-07
GATA1	-3.167
SMC6	-1.086
TTTY14	-0.74525
LPIN3	0.231
RPL4	-0.2115
RBPMS	0.5352
PRPF3	-0.857333333333333
EMR1	-1.6085
SPATA19	-0.081
XCR1	0.3825
IRX3	2.4768
RBM6	-0.32625
KLF4	0.6134
UNC5CL	-0.314
SEBOX	0.221
BTK	-0.9
KRCC1	1.3325
C6orf27	0.2455
SYTL5	-0.2235
PRND	1.739
LOC653319	-0.621
PIGL	-0.547625
HUS1	-0.5165
SFRS6	0.584416666666667
C17orf77	0.108
UIMC1	-0.361833333333333
FXYD2	-1.2888
LOC283152	2.10275
ZNF667	-1.42025
ZCCHC12	-0.36075
TFEC	1.3311
ATP7B	0.672666666666667
POLD2	-1.08833333333333
RG9MTD1	-0.124
ACOT2	1.10266666666667
HIST1H4I	-0.35075
PPARGC1A	-1.7976
ETFA	-1.308
POLRMT	-0.5515
ZNF146	-0.0885
MIA2	-1.113
KLHL6	-0.933
HOXB5	-0.599375
NENF	0.399666666666667
CUGBP1	-0.33925
PRSS22	1.31983333333333
CASC4	1.3221
CUL4B	0.0382
CENPJ	-1.6472
PITX1	1.4365
FLJ31033	0.347833333333333
CELSR3	0.106333333333333
ZNF568	0.20875
ITSN1	-1.05991666666667
EHBP1L1	-0.889833333333333
C19orf2	-0.1815
DCTN1	-0.2715
LIN28B	-2.4615
TNKS2	-0.31225
C1QBP	-0.2555
CADPS2	1.61
SRMS	0.35475
GJA9	-0.0315
MGC24975	-0.152
TRIM45	0.8045
TSP50	0.931
TCP1	-1.451
TMED7	0.4774
CMA1	0.3645
CENPL	-1.38316666666667
PTCRA	-0.162
FST	-2.33775
VWCE	-2.98475
PAWR	0.027
ABCC12	0.874666666666667
LDLR	-0.2725
ASTN2	0.059
LOC441212	-0.702125
GPATCH8	0.1245
TANC2	-0.408583333333333
KIF4A	-1.55075
C18orf18	-0.2335
PGM1	-0.275
KIAA0258	0.601
CPD	1.348
SNCAIP	0.095
DCT	-4.165
HLA-DOA	1.9165
OR11L1	0.2385
UPK1B	-0.3765
DNAJB4	0.115875
UGT1A8	-0.2715
HIST1H4L	-2.2175
PECR	-1.17683333333333
HSPA2	2.38925
WFIKKN1	-1.6395
SERP1	1.011125
SYDE2	1.2495
TACR2	0.9065
NUP85	-0.4665
CD177	2.70016666666667
LGR5	-0.879833333333333
PIGG	0.117
PTHR1	-0.962166666666667
RAB5A	0.5221
FLJ13224	0.2185
USP9Y	-1.23616666666667
C7orf53	-1.2655
LRP1B	-0.41675
XAF1	1.7932
ABCG8	-0.047
ANKDD1A	-0.1835
DAND5	-1.016
SPAG6	-0.1685
LINCR	-0.15075
ZDHHC22	-1.16
CCDC60	0.502
THOC7	-1.27833333333333
TCTA	1.0486
OR8K3	-0.08225
NY-REN-7	0.0685
B2M	1.6795
C6orf141	-0.832125
LPPR4	2.30925
SQLE	-0.702875
SEPHS1	-0.426
BTBD14B	0.101285714285714
PLRG1	-0.0735
SPG7	-0.0395
ZNF614	-0.579666666666667
PARD6G	0.493833333333333
INPP5B	-0.6619
GRPEL2	0.104125
PPID	-0.7014
TRIM56	-0.55425
UBE2J1	0.127875
IL20RA	4.19425
LOC387856	-0.0425
C1orf107	0.286333333333333
UTS2R	0.53625
C19orf22	0.1965
SAFB2	-0.381125
KIAA0652	0.255625
KLRG1	0.00566666666666665
MS4A8B	0.823
FRAG1	0.916
KIAA1546	0.35
E2F4	-0.9246
CLEC4M	0.0123333333333333
BTBD14A	-1.8595
KIAA0999	0.1165
GYPA	-2.83216666666667
TAC1	0.984
TRAIP	-1.08783333333333
KIAA0232	0.1629
ERCC8	-1.030875
GPX4	0.801125
KIAA0368	-0.470875
GPR157	-0.1175
CTAGE4	0.87
C9orf30	-1.31233333333333
OR52A1	-0.024
HSP90B3P	0.1525
ALG9	-0.0599
BTBD10	0.85975
SDK2	0.295
BAIAP3	1.3115
RABGGTB	-0.961125
ANKRD40	-0.761166666666667
KRT74	0.9365
CALCOCO2	0.773642857142857
SNCA	-3.15175
TMSL8	-2.6765
C2orf53	0.614
ESRRB	0.000499999999999999
ARHGAP26	-1.14075
TDRD9	-0.512
HRAS	-0.114166666666667
KLRC4	-1.7815
JAGN1	-0.0316666666666667
BSDC1	0.89075
RNF43	0.0433
NDUFAF1	0.278
PHF12	0.3355
OR1L3	0.02875
FOLR2	1.20716666666667
LYZL6	0.0105
tcag7.1260	-2.011
WSB1	-1.53966666666667
PROS1	-0.05
OSTN	0.171
PSMB8	1.621
SOCS4	-0.254625
DDIT4L	1.29025
MAS1	-0.3515
MGC34796	0.9875
CSHL1	0.482166666666667
TBCCD1	0.0508333333333333
ZBTB7C	-0.033
AP2S1	-0.254875
P15RS	-0.4349
VAT1	-0.1618
SHANK3	1.42783333333333
TUFM	0.01
THEG	0.09225
KRT34	-0.95325
SGSM3	0.672125
TOMM22	-0.86125
SOCS3	0.930166666666667
CPO	0.961
POP4	0.28175
BHLHB3	0.92025
MALL	1.63625
OR1B1	0.085
PARK2	0.81
GPR124	0.81225
LCE1E	0.2715
RUVBL2	-0.36125
CGRRF1	0.5295
ACPL2	0.449
WNT10B	-1.592375
BAIAP2L2	-1.817625
ISCA1	0.6095
C1orf125	0.068875
RPAP1	-0.758
RAI16	0.464333333333333
RPL27	-0.63475
NLRP9	0.8355
EPN1	-0.2675
LOC388610	-0.455625
SLC35A1	1.218
GAL	-3.78275
SLC14A2	0.21975
RDH11	-0.364666666666667
FAM138F	-0.403
AUH	0.74725
FLJ40243	0.27175
C14orf129	-0.231666666666667
MBD2	-0.0111666666666666
ABHD14B	0.457375
PIGT	1.153125
ALS2CR4	-0.5785
ALAS1	0.0646
FOXO1	1.377
CRLF3	-0.851125
C20orf107	0
FARS2	0.9755
CCDC28A	0.1325
NPHP3	-0.612
OR13F1	0.235
TSEN54	-0.53375
DEFB106B	-0.0259
OR8B4	0.4795
STH	1.3915
ZC3H14	-0.29425
CBX2	-0.71
TMEM49	-0.46525
C6orf21	0.251
FLJ20920	1.641
CRTAP	-0.069
DDX50	-0.29225
STYXL1	0.11275
BLVRB	0.584333333333333
LOC147650	-0.470833333333333
MMP24	0.0255
GRID1	1.215
BANF1	-0.572
CTAGEP	0.6005
HMBS	-1.39375
SLC25A24	0.0753333333333333
C14orf50	2.2265
MRO	-0.0605
SLC25A15	-1.0625
FAM84B	0.9231
TDP1	-0.979
C16orf78	0.1325
C11orf57	0.09575
RFK	-0.466375
ZFYVE9	0.194375
STCH	-1.0773
WIBG	0.8205
LOC283871	-0.476833333333333
GBA2	-0.051
NDUFB3	-0.19475
HSD17B13	-0.151
GRIN3A	0.167166666666667
FMNL1	-0.876666666666667
SEPT7	-0.4439
GNLY	3.241
GRAMD1C	0.265166666666667
ZNF165	1.36
USP38	0.90925
FAM83A	-2.91316666666667
C14orf24	0.460416666666667
ARMCX3	1.028125
ARHGDIB	1.1445
AK1	0.55175
KIAA1045	0.55625
DNAJB13	-0.149
NEU2	-0.017
HIST1H4B	-0.836166666666667
FAM20B	-0.5924
HES2	-0.145285714285714
FAM73B	-0.2222
LOC388381	-0.16675
INTS7	-0.803
AMPH	2.285
ZNF775	-0.311625
UCKL1	-0.0973333333333333
C10orf97	0.606
C1orf161	0.05175
ALDH1L1	-0.6215
FLJ39378	-0.22575
SLC23A1	-0.9705
RBM4B	0.456
THAP4	0.5685
OGFRL1	1.54025
KIAA0831	0.429875
PPP1R15A	-0.200833333333333
C1orf96	-0.623642857142857
C12orf11	-2.01225
BMF	0.277875
MAN1A1	-0.75675
KIAA1600	0.508333333333333
NLGN4X	-0.62725
ALOX12	-0.396333333333333
RB1CC1	0.3691
NEIL2	-0.2319
EIF4E	-0.366818181818182
ABHD5	0.11725
EXOC4	0.0283333333333333
CIP29	-0.449666666666667
BATF2	1.2975
SLC29A4	-0.747
HTR4	0.452
EMB	0.29775
TRAF6	0.65075
LMNB1	-1.86
FAM19A5	-0.0445
SHE	1.98725
PIK3C2B	0.77625
C15orf15	-0.5998
USP15	0.0263
TCEAL2	1.532
C5orf39	-0.1845
PTGER2	-0.54325
SLC31A1	-1.2710625
IFT172	0.42275
ADAM29	0.19475
GFOD1	0.36075
ST7L	1.07733333333333
C15orf26	-1.9325
PKN3	-0.9975
CNTD1	2.24766666666667
COMMD1	0.19375
NTRK2	1.45433333333333
FOXN3	0.556
MFGE8	-0.442
PFKFB2	0.891833333333333
TAS2R4	0.4735
ENTHD1	0.785666666666667
PRMT5	-0.614125
MGC16384	-1.238125
LOC442229	-0.5355
TSKU	1.061375
KRTCAP3	2.848875
PDLIM1	0.687
KCNS2	0.07025
RNF126	-0.253666666666667
CEP63	-0.3805
CLIC4	-0.106
hCG_1990170	-0.22475
ACR	0.8529
KLK7	0.16175
ALOX5AP	2.191625
RIPK3	3.84
TAS2R9	-0.0875
C19orf18	1.4725
BIRC6	0.223714285714286
ZNF16	0.2085
RFT1	-0.4215
SLC8A2	-0.33425
TACC1	0.0155
ITGAD	0.73775
SAMHD1	0.788
SH3PXD2B	0.9044
EPC2	0.476
C20orf85	0.017
ATP13A2	-0.0311666666666667
KRT4	0.181875
CAPNS1	0.32275
MDM2	-0.495
PCDH20	1.18575
KCNK9	0.501
OR2C1	0.239
KLHDC3	-0.805666666666667
IPPK	1.348
EFHD2	-0.176875
GALR3	0.4845
NBEA	-0.320833333333333
ABCA6	2.9719
CLDN3	1.90633333333333
AKT2	-0.561357142857143
EGFR	-1.412
RBM16	0.232625
ZDHHC3	-0.0881
SLC25A4	0.156166666666667
CYB5B	-0.74
CPXM1	0.92875
NDRG1	-1.17492307692308
FLJ43826	0.30475
OR5L2	-0.215166666666667
FARP2	0.7875
MRPL46	-0.675083333333333
LDHAL6B	0.227333333333333
MAPKAPK3	-0.304166666666667
NCAM2	-0.90125
PRKD2	0.0951666666666667
ZFP36L1	1.218
CYSLTR1	1.05125
OR4C3	0.45525
HIST1H2AJ	1.8495
CCNB2	-2.07488888888889
ZNF10	0.148875
TMEM175	0.564
FAM134A	0.863333333333333
TIGD4	-0.442
PCNP	-0.246
MGC39715	1.6445
LQK1	-2.46825
CREB1	-0.0899
TMPRSS3	0.895
C4orf32	2.14375
LAT	-1.09183333333333
KCNA3	0.5825
SKIV2L2	-0.694
ROPN1B	-2.01575
tcag7.23	-0.0675
CDT1	-2.546625
ZHX2	1.369875
CD28	-2.72775
ZNF624	0.784
SEPT2	0.656083333333333
SOHLH2	-1.3645
MCOLN3	-0.2035
UNQ1945	0.4095
MASP2	-0.155
ZNRF3	0.0869
GPATCH3	-0.01425
AGL	0.532125
QRICH2	0.2335
PSD4	1.13816666666667
CCNB1IP1	-1.57875
ENPP7	0.164
OBFC1	0.601
KCNG3	-0.90975
C14orf79	0.66325
ENPEP	1.4115
SCT	0.8595
SKI	0.42175
SEC61G	-1.18625
CAPN11	0.3555
ATXN7L3	-0.208
DBNDD1	-0.129
FAIM	0.27875
ANKRD36	-0.348
GABRP	1.623
TACSTD2	2.45416666666667
EIF3J	-0.28475
PPP2R2A	-0.887
TEKT4	-0.447833333333333
PVALB	-3.4175
F10	-1.45783333333333
FAM134C	0.8299
COMP	4.3085
EFCBP1	-1.6738125
SCLT1	-0.472375
TAL1	-0.5448
ACSL1	-0.1705
ABCC5	0.63275
ABL1	-0.333611111111111
RBBP7	-0.0685
PTPRG	-0.783375
NCOR1	0.162
SPINK4	1.97183333333333
TXNRD1	-0.9353
TNRC15	0.556875
C9orf138	0.649375
UBE2H	0.798
BRDT	-0.0928333333333334
C8orf31	-0.096
CCNE2	-0.169818181818182
SLC6A8	-1.5745
CALCR	-3.34375
PPP1CB	0.40225
ABHD8	-0.22575
ARF5	0.4743
SLC24A4	0.579
CCT3	-0.10575
ZNF121	-0.1745
SLC3A2	-0.3925
OR13A1	0.179
SLC5A10	0.617
RAD50	0.4935
IER5	-0.227625
MTHFD1L	-2.281375
MBTPS2	0.67075
MVK	-0.128625
NCL	0.1968
PSMD10	-0.6335
MOBP	0.26025
FLJ32894	0.1605
HRH1	0.057
C5orf30	0.84575
NUDT16L1	0.7767
RASGRP3	2.52766666666667
PRKRIP1	-0.3901
CCDC75	-0.64575
LOC253970	0.20875
KIAA1239	-0.15075
MED21	-0.38425
SYT11	0.284416666666667
NTSR2	0.3085
EGFL11	0.348
CXorf59	0.602
OR2A25	-0.30825
SPTBN2	-1.1955
LRMP	-0.701
RNF111	-0.02425
PTH	0.055
LOC619208	0.277333333333333
KIAA0895	0.51125
RANBP5	-1.379375
P2RY10	1.47033333333333
NME5	3.06883333333333
DDX21	-0.87825
LRSAM1	0.227
HDAC11	1.59933333333333
VMO1	1.21275
NOLA2	0.126166666666667
ADAR	0.317083333333333
MTO1	-0.358833333333333
SF4	0.131666666666667
P2RX1	0.602166666666667
HBM	0.0645
EN2	0.688
C14orf172	0.2975
TM9SF2	0.0864
INHBE	-0.804166666666667
TCTE3	-0.0201666666666667
TOX2	-2.24075
CTAGE3	0.162125
HBB	2.9156
MED15	-0.436
CASR	-0.00300000000000002
C6orf66	-0.780166666666667
MTPN	-1.070875
UNC50	-0.27275
C21orf33	0.359875
IRF2	0.877125
PGR	0.329833333333333
GPR84	1.0825
CROCCL1	-1.1045
SRPX	-0.37725
BRE	0.518833333333333
FGF10	0.07625
SDC3	0.278833333333333
ZRSR1	0.756166666666667
DKFZP434P211	-0.106
SOX6	-0.2675
RPUSD2	-0.0655
C14orf173	-0.301916666666667
MAPK11	-0.079
TBC1D22A	0.457
FAM123A	-0.063
COL4A6	-2.246
TOMM70A	0.3075
NAB1	0.185
MGC16385	-0.39225
TSPAN18	-0.558166666666667
MED31	-0.29375
PLG	0.01
CAPSL	2.496
ZNF532	0.2008
ASB14	0.07425
CA8	-0.048
NUDT16P	0.850833333333333
SLFN11	-0.5775
LRRIQ2	-0.307375
NOL7	-0.344166666666667
BRMS1L	-0.75
JARID1A	0.288833333333333
PANK2	-0.34925
ICAM3	-0.35525
MDS1	0.04325
TAF8	-0.39875
RNF139	0.77625
ZNF594	0.428
ADAM8	0.977
SFTPC	-0.09625
MAN2B2	1.293125
RGS12	0.498375
EIF1AY	-4.51333333333333
LRRIQ1	0.174166666666667
GPR150	0.662
CCDC21	-0.710833333333333
PRRG3	0.3515
SAA4	-3.46325
RAPGEF5	1.977
ZCCHC2	-0.656166666666667
MGC39372	0.873
PPP4R2	-0.0451666666666667
CDCA2	-2.56683333333333
OR4D5	0.283333333333333
PTGFRN	0.643333333333333
SIGLEC5	0.5995
C19orf61	-0.0655
NMUR2	0.299
KIAA1586	-0.945666666666667
DAGLA	0.179166666666667
CHCHD6	-0.33925
GPR32	0.428
NEUROD6	0.211666666666667
SLC2A4RG	-0.248
CA5B	0.29575
FBXL3	1.05125
MPHOSPH9	-1.14275
HMG2L1	0.0145
HCN4	0.448666666666667
CEACAM19	0.40675
SH2D4B	0.324166666666667
HFE2	-0.2275
TGM4	0.157166666666667
LYPD2	0.1105
TBC1D15	0.548
MRPS21	-0.3503
NONO	-1.1486
CLEC5A	0.661125
ITCH	-0.5013
MGAT3	-1.4505
MBP	-0.11675
RPP25	0.805
SOSTDC1	2.21275
HRC	-0.90175
TRIM48	0.358
TMEM133	0.58625
ECEL1P2	-0.8695
HOXC11	0.111
DOK5	-0.59425
HELZ	0.1365
LOC348180	-0.78675
MGC33894	0.1815
ADRB3	-0.2105
DMD	0.0244166666666667
PTRH2	-0.706
MPEG1	2.155
NDUFA12	-0.236666666666667
KRTAP2-4	0.0853333333333333
STAMBPL1	-1.12933333333333
ADCY2	0.865
UNQ6125	0.7985
KLHL20	0.202333333333333
SRM	-1.2255
OTC	0.04225
TMIE	0.196333333333333
SNX8	-0.079
LIPK	-0.4755
CHURC1	0.515666666666667
KLC2	0.119333333333333
HDAC1	-0.0713333333333333
FAM128A	0.602
FNDC3B	-0.7048
MTCP1	-0.303166666666667
WFDC10B	0.4704
PCDHGB3	0.228
ATRNL1	-1.4628
CAV2	-0.127375
MED26	-0.0333333333333333
DUS1L	0.13675
CHRM3	-0.80725
NEK9	0.711
WARS2	0.86775
TBX22	0.147
TOMM40	-0.80175
RP6-213H19.1	-0.973166666666667
TUBGCP5	0.1155
IGSF6	3.195
TPPP	1.432
UNQ6190	0.0815
GSTM5	0.7125
BTD	1.23716666666667
PDCD1LG2	0.545333333333333
SNRPB2	-0.7505
ERICH1	-0.9245
APOA4	-1.310625
HOXA11	-0.59375
NARG1	-0.186875
MKX	0.41975
RAB28	-0.244071428571429
PKP3	1.46
SH3GL2	-1.58875
CTSO	2.957
RPN2	0.20525
IL28RA	0.208666666666667
SFMBT1	1.211
WDR57	-0.036
FER1L3	1.201
HSF5	-0.315666666666667
TTC9B	0.602
C4BPA	-0.9615
ALB	-2.99214285714286
SORBS3	0.423625
UPF2	0.405
JPH1	0.5905
AGBL2	0.81225
DOPEY1	1.0945
TERF1	0.00358333333333333
KIF22	-0.5295
NINJ1	1.56475
SEC61A2	-0.321666666666667
HIST1H1D	0.356833333333333
SFXN4	0.276625
UCP3	0.4415
ZNF703	1.13716666666667
MYL6B	-0.5345
TREM1	0.4975
OR52E6	0.2875
CKMT2	1.14175
HLA-C	2.46825
SLC13A3	-1.056
TIMP4	-0.95025
SLIT2	3.10675
RSF1	-0.243944444444444
LONRF1	-0.704785714285714
MON1A	0.413333333333333
CACNG6	-1.301
DPPA4	-5.19416666666667
ZSWIM3	-0.287
ZNF804A	-0.101333333333333
CCIN	0.884
SLC25A31	0.911
KCNMB4	-0.46875
RABL5	0.417875
GALNS	0.3023
STX6	-0.021875
HIST1H1C	0.301833333333333
CIDEB	0.658625
CASP4	-0.0931666666666667
PDK3	0.0544
KCNJ11	0.8865
TPR	-0.5015
ZSCAN20	-0.624
MTX2	-0.23075
HIST1H2BH	0.6215
LOC283767	1.482
LYRM7	-1.28538888888889
BRD3	-0.7345
HIST1H2BO	0.4205
MAGEB10	-0.1765
SLC45A1	0.81675
SERPINA3	1.5942
KIAA0143	0.399
KCNJ16	0.265666666666667
KRT79	0.26025
FABP2	-0.4815
NUT	-0.934
ZNF57	-0.49175
FBXL4	0.578875
CLEC9A	0.8295
UGT8	-0.847833333333333
BMP2K	0.77375
MAPK4	-2.98075
SLC25A23	-0.6167
HINT1	-1.0428
KRTAP13-1	0.243
SFXN5	-0.2912
CHCHD2	0.222583333333333
FAM3D	1.085
NDP	-1.832625
RHOBTB1	-1.1765
SLC4A4	-0.975875
RPL38	-0.444
HTF9C	-0.353
AP2A2	0.591125
ZBTB46	0.037
MAP7D1	0.40825
AOX1	-0.282333333333333
CYR61	1.70508333333333
DTNA	-0.5315
JRKL	0.17875
TMOD3	-0.2335
EEA1	0.1552
ADCK5	-0.47375
IL1R1	1.09783333333333
KLK3	0.373428571428571
HRSP12	1.0615
KTN1	0.51775
LOH11CR2A	1.2987
RELL2	-0.725
MAB21L1	1.56875
C20orf59	-0.688166666666667
PHKB	0.55175
ADAM2	-1.0045
TBC1D8B	1.39866666666667
FAM13A1	-0.486875
LAPTM4B	-0.06025
LCN8	-0.059
TMEM147	0.393
SYT4	-0.084
XPO7	-1.0185
C9orf62	0.65325
GPR75	0.363
TRIM5	0.17525
APOC1	-0.842166666666667
RNASE4	1.99033333333333
PARD6B	0.585625
ARID1A	0.417583333333333
TPD52L3	0.2816
RRAGB	0.782
RCN2	-1.0335
HIST2H2BE	0.3308125
STARD7	0.23575
SHMT2	-1.065
KIAA1751	0.683333333333333
MLYCD	0.445625
LOC162632	-0.6008
UQCRH	-1.7785
RP11-217H1.1	-0.0805625
SDHA	-0.137
NCLN	-0.1949
ZNF17	0.393666666666667
RCBTB2	-1.412
VEGFB	0.0414
RP4-747L4.3	-1.0305
COLQ	0.2155
MPN2	-0.593333333333333
DRG2	0.18725
KLRB1	2.75975
ALPK2	-2.2615
DNASE2B	0.60875
FLJ23834	0.834333333333333
AXUD1	1.4305
SAFB	-0.1631
NSUN4	0.1385
RFX2	0.435333333333333
MAPK8IP1	-0.2395
FANCD2	-1.33935714285714
ANKZF1	-1.09133333333333
C19orf50	-0.449375
DUSP8	0.9655
SENP5	-0.14025
NFKBIL2	-1.25425
LBR	-1.403125
IGFL1	0.663
LZTS2	0.12925
IL2RG	0.045375
CCDC51	0.1905
KLF3	0.28125
ANKRD37	-0.40325
KCTD14	-1.44
FZR1	0.0188333333333333
SLC44A4	3.4754
ESPL1	-0.920625
GMPR2	0.0918
TBC1D19	-0.329666666666667
ERGIC1	0.540148148148148
ERBB4	2.7936
TSPAN32	0.249333333333333
MAP4	0.078375
GPHN	0.20725
SLC6A2	0.41725
HIVEP1	0.7695
DFFB	-0.4663
EIF4EBP2	0.345
DMRT1	0.304
HSPB6	0.57
IER2	0.601666666666667
AIFM1	0.01975
WWC2	0.04325
MRPL4	-0.257
FLJ21062	1.1895
EPB41L4A	0.94275
SH2D6	0.22975
TAF4B	-0.29675
GAL3ST3	0.1705
MALT1	-0.461166666666667
RTDR1	0.12175
ARVCF	0.076
MEX3B	-1.363
FBXO16	0.39525
KIF7	-0.7785
C1QC	3.13516666666667
ZNF783	-0.144833333333333
ZNF85	0.258
MMP13	4.429
KIAA0329	0.166875
RTP3	-0.342
ZBED3	0.25325
CLGN	-1.2725
SLC25A37	-1.60129166666667
hCG_18290	-0.05375
OR5AS1	0.123
SMARCC2	0.455416666666667
FAM109A	-0.0958333333333333
CCDC12	0.1775
USF2	0.6146
DEPDC7	-1.8465
C20orf24	-1.0335
JMJD3	0.5985
DSP	1.69321428571429
SLIC1	0.173875
FAM20A	1.146625
IRF2BP2	1.216375
ZNF230	-0.19
MSN	-0.358857142857143
SLC9A5	-0.966
EPDR1	-0.5763
MUSK	-0.0171666666666667
ZNF434	0.26
SMARCD1	-0.615833333333333
ZFP106	-0.58225
ZNF347	0.2812
GTF2E1	-0.3395
