Hybridization REF	TCGA-A2-A0EW-01A-21R-A115-07
MIA2	-2.743
KLHL6	-0.756333333333333
HOXB5	-1.1185
NENF	0.494166666666667
CUGBP1	0.0284999999999999
PRSS22	1.75666666666667
CASC4	1.3126
CUL4B	0.1997
CENPJ	-2.0797
PITX1	-0.701333333333333
FLJ31033	0.533666666666667
CELSR3	-2.16766666666667
ZNF568	1.298
ITSN1	0.026
EHBP1L1	-0.083
C19orf2	-1.141
DCTN1	0.28275
LIN28B	-4.06183333333333
TNKS2	-2.1195
C1QBP	0.140375
CADPS2	1.25775
SRMS	0.26375
GJA9	0.296333333333333
MGC24975	-0.223333333333333
TRIM45	-0.575166666666667
TSP50	0.4445
TCP1	-1.26375
TMED7	0.4613
CMA1	2.4035
CENPL	-1.8575
PTCRA	0.1375
FST	-2.136
VWCE	-2.8115
PAWR	-1.01675
ABCC12	-0.0761666666666666
LDLR	-2.2197
ASTN2	1.2625
LOC441212	-0.92475
GPATCH8	0.68725
TANC2	-0.73
KIF4A	-2.74275
C18orf18	-0.589
PGM1	-0.44575
KIAA0258	0.52775
CPD	0.717375
SNCAIP	0.36875
DCT	-4.25966666666667
HLA-DOA	2.95131818181818
OR11L1	0.2965
UPK1B	-0.197166666666667
DNAJB4	0.39725
UGT1A8	-0.2605
HIST1H4L	-2.4915
PECR	-0.7015
HSPA2	1.60525
WFIKKN1	-2.4295
SERP1	0.960375
SYDE2	1.0055
TACR2	0.306
NUP85	-0.7135
CD177	0.0776666666666667
LGR5	-2.08216666666667
PIGG	0.261666666666667
PTHR1	-0.2975
RAB5A	0.1812
FLJ13224	0.13
USP9Y	-2.33566666666667
C7orf53	-0.5555
LRP1B	0.78075
XAF1	0.6924
ABCG8	-1.064
ANKDD1A	-0.1735
DAND5	-2.065
SPAG6	1.09233333333333
LINCR	0.605
ZDHHC22	-1.316875
CCDC60	0.489
THOC7	-1.41466666666667
TCTA	0.6001
OR8K3	0.07725
NY-REN-7	-0.96825
B2M	2.05633333333333
C6orf141	-1.44975
LPPR4	2.7545
SQLE	-2.62025
SEPHS1	-0.53775
BTBD14B	0.438857142857143
PLRG1	-0.114
SPG7	-0.239
ZNF614	0.136833333333333
PARD6G	1.95883333333333
INPP5B	-0.6123
GRPEL2	-0.466875
PPID	-0.9469
TRIM56	0.12775
UBE2J1	-0.248625
IL20RA	5.112
LOC387856	-0.15975
C1orf107	-0.07775
UTS2R	2.47125
C19orf22	-0.0295
SAFB2	-0.061875
KIAA0652	0.383625
KLRG1	-0.4195
MS4A8B	0.919
FRAG1	0.05225
KIAA1546	0.372
E2F4	-1.0143
CLEC4M	0.0065
BTBD14A	-1.41925
KIAA0999	0.6929
GYPA	-3.77133333333333
TAC1	3.7179
TRAIP	-1.609
KIAA0232	0.8988
ERCC8	-1.52725
GPX4	0.880875
KIAA0368	-0.086625
GPR157	-0.779833333333333
CTAGE4	1.1765
C9orf30	-1.8075
OR52A1	0.182
HSP90B3P	-0.749
ALG9	-0.5448
BTBD10	0.539
SDK2	0.143
BAIAP3	-0.32625
RABGGTB	-0.65725
ANKRD40	0.0308333333333333
KRT74	0.873
CALCOCO2	0.355357142857143
SNCA	-2.23325
TMSL8	-3.013375
C2orf53	0.313
ESRRB	-0.32325
ARHGAP26	-0.984375
TDRD9	-2.15925
HRAS	0.426833333333333
KLRC4	-1.413
JAGN1	0.0148333333333333
BSDC1	0.68525
RNF43	-0.1328
NDUFAF1	0.553
PHF12	0.26675
OR1L3	-0.1525
FOLR2	2.35141666666667
LYZL6	0.0986666666666667
tcag7.1260	-0.718
WSB1	-1.359
PROS1	0.4476
OSTN	0.5695
PSMB8	1.0985
SOCS4	-0.05925
DDIT4L	1.83475
MAS1	-0.663
MGC34796	0.99
CSHL1	0.0176666666666667
TBCCD1	0.328833333333333
ZBTB7C	0.69
AP2S1	0.10825
P15RS	-0.4896
VAT1	-0.4456
SHANK3	1.5785
TUFM	0.321
THEG	-0.5335
KRT34	-1.90325
SGSM3	-0.023
TOMM22	-0.772375
SOCS3	2.72016666666667
CPO	1.0425
POP4	0.26625
BHLHB3	1.631
MALL	2.054
OR1B1	-0.2945
PARK2	1.13433333333333
GPR124	1.54825
LCE1E	0.507
RUVBL2	-0.52
CGRRF1	0.5537
ACPL2	0.52975
WNT10B	-2.130875
BAIAP2L2	-2.131875
ISCA1	0.3205
C1orf125	-0.09275
RPAP1	-0.4
RAI16	0.461166666666667
RPL27	0.18675
NLRP9	0.3645
EPN1	0.658
LOC388610	-1.2795
SLC35A1	0.6027
GAL	-3.82325
SLC14A2	0.1705
RDH11	-0.884166666666667
FAM138F	-0.128
AUH	0.2855
FLJ40243	0.52925
C14orf129	0.297333333333333
MBD2	-0.786833333333333
ABHD14B	0.56575
PIGT	0.055125
ALS2CR4	-0.232125
ALAS1	0.526
FOXO1	1.95316666666667
CRLF3	-0.406375
C20orf107	0.585
FARS2	0.937
CCDC28A	0.9455
NPHP3	-0.80275
OR13F1	0.424
TSEN54	-0.4195
DEFB106B	0.0577
OR8B4	0.2215
STH	1.5155
ZC3H14	-0.218
CBX2	-0.063
TMEM49	-0.28075
C6orf21	0.2935
FLJ20920	0.750375
CRTAP	0.773142857142857
DDX50	-0.24875
STYXL1	0.12475
BLVRB	0.219666666666667
LOC147650	-0.466
MMP24	0.6995
GRID1	1.92966666666667
BANF1	-0.955833333333333
CTAGEP	0.02175
HMBS	-2.56775
SLC25A24	-0.0873333333333333
C14orf50	1.593
MRO	0.6325
SLC25A15	-0.904
FAM84B	1.8095
TDP1	-1.5445
C16orf78	-0.231666666666667
C11orf57	-0.8075
RFK	-0.7695
ZFYVE9	-0.70175
STCH	-1.3182
WIBG	0.41775
LOC283871	-0.403166666666667
GBA2	0.1251
NDUFB3	0.117
HSD17B13	0.55825
GRIN3A	1.21283333333333
FMNL1	-0.576833333333333
SEPT7	-0.4543
GNLY	3.1165
GRAMD1C	1.449
ZNF165	-0.7375
USP38	0.26375
FAM83A	-3.7145
C14orf24	0.693916666666667
ARMCX3	1.284125
ARHGDIB	1.44716666666667
AK1	0.874125
KIAA1045	1.38125
DNAJB13	-0.153
NEU2	0.7725
HIST1H4B	-2.0325
FAM20B	-0.6142
HES2	-0.155071428571429
FAM73B	0.0533
LOC388381	0.24825
INTS7	-1.17290909090909
AMPH	1.8205
ZNF775	0.517125
UCKL1	-0.321833333333333
C10orf97	0.47925
C1orf161	-0.1205
ALDH1L1	1.3935
FLJ39378	-0.389875
SLC23A1	-1.7055
RBM4B	-0.48975
THAP4	0.547833333333333
OGFRL1	0.629
KIAA0831	0.32725
PPP1R15A	1.11666666666667
C1orf96	-0.983
C12orf11	-2.5795
BMF	1.0085
MAN1A1	0.344875
KIAA1600	0.48
NLGN4X	1.224
ALOX12	-1.21716666666667
RB1CC1	0.1622
NEIL2	0.6714
EIF4E	0.127227272727273
ABHD5	-0.27125
EXOC4	-0.463833333333333
CIP29	-0.592
BATF2	0.071
SLC29A4	0.057875
HTR4	0.737
EMB	-1.40025
TRAF6	0.4845
LMNB1	-4.845
FAM19A5	-1.185125
SHE	2.59675
PIK3C2B	0.805
C15orf15	0.2219
USP15	-0.1432
TCEAL2	2.2765
C5orf39	-0.380333333333333
PTGER2	-0.9795
SLC31A1	-0.849625
IFT172	0.28225
ADAM29	0.3015
GFOD1	1.32575
ST7L	0.5045
C15orf26	-3.04075
PKN3	0.31175
CNTD1	2.9225
COMMD1	1.202375
NTRK2	4.28391666666667
FOXN3	1.020375
MFGE8	0.1838
PFKFB2	0.329166666666667
TAS2R4	-0.03025
ENTHD1	1.07766666666667
PRMT5	-0.422375
MGC16384	-1.66125
LOC442229	-0.853
TSKU	1.9855
KRTCAP3	2.0685
PDLIM1	1.4097
KCNS2	0.68525
RNF126	-0.0408333333333333
CEP63	-0.1905
CLIC4	-0.7405
hCG_1990170	2.911
ACR	0.8914
KLK7	3.3895
ALOX5AP	3.674
RIPK3	3.37925
TAS2R9	-0.345
C19orf18	2.1365
BIRC6	-0.271928571428572
ZNF16	1.132
RFT1	-0.577
SLC8A2	-0.47925
TACC1	0.530875
ITGAD	1.1395
SAMHD1	0.92775
SH3PXD2B	1.619
EPC2	0.88075
C20orf85	0.079875
ATP13A2	0.410833333333333
KRT4	0.5205
CAPNS1	0.42375
MDM2	-0.333833333333333
PCDH20	2.44475
KCNK9	0.859
OR2C1	0.4405
KLHDC3	-0.4215
IPPK	0.146
EFHD2	0.353125
GALR3	2.0215
NBEA	1.20916666666667
ABCA6	4.2617
CLDN3	0.571
AKT2	-0.262
EGFR	-0.3505
RBM16	0.206125
ZDHHC3	0.2866
SLC25A4	-0.0178333333333333
CYB5B	-0.610666666666667
CPXM1	2.04875
NDRG1	-0.453615384615385
FLJ43826	0.51475
OR5L2	0.233833333333333
FARP2	0.7888
MRPL46	-0.0525833333333333
LDHAL6B	-0.0388333333333333
MAPKAPK3	0.276833333333333
NCAM2	0.29225
PRKD2	0.944
ZFP36L1	1.5364
CYSLTR1	-0.32125
OR4C3	0.21
HIST1H2AJ	1.1705
CCNB2	-2.97622222222222
ZNF10	0.3075
TMEM175	0.691
FAM134A	0.820166666666667
TIGD4	0.1455
PCNP	0.1125
MGC39715	1.36725
LQK1	-2.7645
CREB1	0.2955
TMPRSS3	2.2795
C4orf32	1.897125
LAT	-1.27908333333333
KCNA3	-1.391
SKIV2L2	-1.20875
ROPN1B	0.006
tcag7.23	-0.0025
CDT1	-3.246625
ZHX2	0.967875
CD28	-3.14525
ZNF624	0.34275
SEPT2	0.222083333333333
SOHLH2	-2.786375
MCOLN3	-0.596
UNQ1945	0.594
MASP2	-1.3115
ZNRF3	-0.5314
GPATCH3	0.153
AGL	0.34625
QRICH2	-0.324
PSD4	2.0245
CCNB1IP1	-1.3375
ENPP7	0.179
OBFC1	0.52525
KCNG3	-2.3495
C14orf79	0.8135
ENPEP	1.58066666666667
SCT	0.7585
SKI	1.144625
SEC61G	-1.38975
CAPN11	0.7
ATXN7L3	-0.1315
DBNDD1	-0.949666666666667
FAIM	0.01575
ANKRD36	-1.6085
GABRP	4.26533333333333
TACSTD2	2.48033333333333
EIF3J	-0.4055
PPP2R2A	-1.138
TEKT4	0.2035
PVALB	-3.52566666666667
F10	-1.19333333333333
FAM134C	1.0669
COMP	4.793875
EFCBP1	-1.6118125
SCLT1	-0.275375
TAL1	-0.4447
ACSL1	2.296
ABCC5	0.75525
ABL1	-0.502111111111111
RBBP7	0.164083333333333
PTPRG	-0.586625
NCOR1	0.0635
SPINK4	-1.23516666666667
TXNRD1	-0.8882
TNRC15	0.226125
C9orf138	0.857
UBE2H	0.482166666666667
BRDT	1.18483333333333
C8orf31	-0.1695
CCNE2	-2.31363636363636
SLC6A8	-1.737
CALCR	-2.93575
PPP1CB	1.29266666666667
ABHD8	0.6525
ARF5	0.489
SLC24A4	0.9685
CCT3	-0.40575
ZNF121	-0.353125
SLC3A2	-0.8527
OR13A1	0.1795
SLC5A10	-0.447
RAD50	-0.46825
IER5	1.188
MTHFD1L	-2.352125
MBTPS2	0.196
MVK	-0.405125
NCL	-0.2062
PSMD10	-0.50525
MOBP	-0.380875
FLJ32894	0.4025
HRH1	-1.2
C5orf30	0.7495
NUDT16L1	1.0986
RASGRP3	3.54616666666667
PRKRIP1	-0.363
CCDC75	-0.4845
LOC253970	0.0005
KIAA1239	0.935
MED21	-0.01375
SYT11	0.502
NTSR2	-0.35
EGFL11	0.2085
CXorf59	-0.454
OR2A25	0.134
SPTBN2	-0.34875
LRMP	-0.495166666666667
RNF111	0.234
PTH	-0.2215
LOC619208	1.51916666666667
KIAA0895	0.187
RANBP5	-1.44575
P2RY10	1.16733333333333
NME5	3.7195
DDX21	-1.207
LRSAM1	0.1925
HDAC11	1.83666666666667
VMO1	2.57075
NOLA2	-0.4665
ADAR	0.75975
MTO1	-1.141
SF4	0.547166666666667
P2RX1	0.0835
HBM	0.146
EN2	1.58
C14orf172	0.2595
TM9SF2	0.71
INHBE	-1.32816666666667
TCTE3	-0.336416666666667
TOX2	-2.1815
CTAGE3	-0.5045
HBB	4.0521
MED15	-0.640666666666667
CASR	0.2345
C6orf66	-1.25483333333333
MTPN	-1.28975
UNC50	0.22475
C21orf33	0.8205
IRF2	1.111375
PGR	1.359
GPR84	1.62125
CROCCL1	-1.81925
SRPX	0.60675
BRE	0.440833333333333
FGF10	2.5595
SDC3	-0.721333333333333
ZRSR1	0.560666666666667
DKFZP434P211	-0.018375
SOX6	-0.1265
RPUSD2	-0.398
C14orf173	0.12125
MAPK11	0.251833333333333
TBC1D22A	0.799
FAM123A	-0.524
COL4A6	-1.77583333333333
TOMM70A	-0.41625
NAB1	-0.10975
MGC16385	-0.631625
TSPAN18	0.335
MED31	-0.53225
PLG	-0.31975
CAPSL	4.566
ZNF532	0.6417
ASB14	0.63025
CA8	-0.10675
NUDT16P	0.491833333333333
SLFN11	-1.1535
LRRIQ2	-0.50225
NOL7	-0.338666666666667
BRMS1L	-0.793375
JARID1A	-0.288166666666667
PANK2	-0.69225
ICAM3	0.11425
MDS1	0.37575
TAF8	-0.89
RNF139	0.15025
ZNF594	0.600166666666667
ADAM8	1.147625
SFTPC	0.064625
MAN2B2	1.489875
RGS12	0.5925
EIF1AY	-4.72466666666667
LRRIQ1	0.754833333333333
GPR150	3.14625
CCDC21	-1.295
PRRG3	0.5595
SAA4	-1.61625
RAPGEF5	3.03575
ZCCHC2	-0.589583333333333
MGC39372	-0.14
PPP4R2	-0.569166666666667
CDCA2	-3.15683333333333
OR4D5	0.225
PTGFRN	1.1693
SIGLEC5	1.92416666666667
C19orf61	-0.06
NMUR2	0.159
KIAA1586	-1.11366666666667
DAGLA	0.0798333333333333
CHCHD6	0.399
GPR32	0.8145
NEUROD6	-0.07
SLC2A4RG	0.7884375
CA5B	0.21975
FBXL3	1.62725
MPHOSPH9	-1.86375
HMG2L1	-0.43925
HCN4	1.89933333333333
CEACAM19	0.0815
SH2D4B	0.317333333333333
HFE2	-0.488
TGM4	0.135666666666667
LYPD2	0.1045
TBC1D15	0.30575
MRPS21	-0.3007
NONO	-0.8363
CLEC5A	2.465125
ITCH	-0.3422
MGAT3	0.0893333333333333
MBP	0.1415
RPP25	-1.2855
SOSTDC1	1.497
HRC	-0.2735
TRIM48	0.325
TMEM133	0.37475
ECEL1P2	-1.308
HOXC11	0.3375
DOK5	0.071
HELZ	0.6375
LOC348180	-0.52875
MGC33894	0.3175
ADRB3	-0.0125
DMD	1.01091666666667
PTRH2	-0.7285
MPEG1	3.018
NDUFA12	0.172833333333333
KRTAP2-4	0.199166666666667
STAMBPL1	-1.13383333333333
ADCY2	1.4024
UNQ6125	-0.275
KLHL20	-0.136
SRM	-0.72475
OTC	0.936
TMIE	0.1705
SNX8	0.435
LIPK	0.184
CHURC1	-0.361833333333333
KLC2	0.188166666666667
HDAC1	-0.323
FAM128A	0.773333333333333
FNDC3B	-0.336
MTCP1	-0.0493333333333333
WFDC10B	0.0737
PCDHGB3	0.33
ATRNL1	1.4293
CAV2	1.215875
MED26	0.0595
DUS1L	0.68175
CHRM3	-1.35475
NEK9	0.4645
WARS2	-0.07825
TBX22	-0.146
TOMM40	-0.963
RP6-213H19.1	-1.79183333333333
TUBGCP5	-0.73625
IGSF6	4.615
TPPP	0.5175
UNQ6190	-0.892
GSTM5	3.027375
BTD	0.984666666666667
PDCD1LG2	1.32616666666667
SNRPB2	-0.355166666666667
ERICH1	-0.61725
APOA4	-1.559
HOXA11	-2.2305
NARG1	-0.435
MKX	-0.65625
RAB28	0.375785714285714
PKP3	0.81525
SH3GL2	-2.23175
CTSO	3.65725
RPN2	0.383125
IL28RA	0.8645
SFMBT1	0.442
WDR57	-0.045
FER1L3	1.02475
HSF5	0.635833333333333
TTC9B	0.131
C4BPA	-3.2705
ALB	-3.87892857142857
SORBS3	0.640625
UPF2	-0.547
JPH1	-0.2195
AGBL2	0.1945
DOPEY1	1.7995
TERF1	-0.606583333333333
KIF22	-0.822833333333333
NINJ1	1.157
SEC61A2	-0.66175
HIST1H1D	-2.819
SFXN4	-0.225125
UCP3	0.7004
ZNF703	1.2565
MYL6B	-0.229
TREM1	1.76975
OR52E6	0.4285
CKMT2	3.23325
HLA-C	2.638125
SLC13A3	-1.29483333333333
TIMP4	1.7615
SLIT2	3.05675
RSF1	0.512555555555556
LONRF1	-0.408928571428571
MON1A	-0.0455
CACNG6	-0.864166666666667
DPPA4	-5.31633333333333
ZSWIM3	-0.04725
ZNF804A	0.685666666666667
CCIN	1.40325
SLC25A31	0.32125
KCNMB4	0.147
RABL5	0.2015
GALNS	-0.9157
STX6	-0.391375
HIST1H1C	-2.94883333333333
CIDEB	0.0625
CASP4	0.4065
PDK3	-0.514
KCNJ11	1.911
TPR	-0.782125
ZSCAN20	-0.527
MTX2	-0.116
HIST1H2BH	-1.08575
LOC283767	2.018
LYRM7	-1.05966666666667
BRD3	-0.384666666666667
HIST1H2BO	-1.14925
MAGEB10	0.337
SLC45A1	1.102
SERPINA3	3.3503
KIAA0143	1.464
KCNJ16	4.57316666666667
KRT79	-0.33675
FABP2	-1.51866666666667
NUT	0.09025
ZNF57	-0.34025
FBXL4	0.13075
CLEC9A	1.5235
UGT8	-1.04666666666667
BMP2K	0.0625
MAPK4	-2.3715
SLC25A23	-0.5162
HINT1	0.0321
KRTAP13-1	0.005
SFXN5	0.9404
CHCHD2	0.27125
FAM3D	3.337
NDP	-2.221625
RHOBTB1	-0.5625
SLC4A4	1.56575
RPL38	-0.0165
HTF9C	-0.323833333333333
AP2A2	0.935875
ZBTB46	-0.092
MAP7D1	0.906
AOX1	-0.233166666666667
CYR61	2.95391666666667
DTNA	-0.591142857142857
JRKL	0.03475
TMOD3	-0.69575
EEA1	-0.0091
ADCK5	0.016
IL1R1	1.90066666666667
KLK3	1.76964285714286
HRSP12	-1.286
KTN1	0.07475
LOH11CR2A	0.8698
RELL2	-0.9195
MAB21L1	3.37225
C20orf59	-0.926833333333333
PHKB	-0.0805
ADAM2	-2.73566666666667
TBC1D8B	1.02516666666667
FAM13A1	-0.0521250000000001
LAPTM4B	-1.23391666666667
LCN8	-0.0745
TMEM147	0.3535
SYT4	0.2194
XPO7	-1.133
C9orf62	3.21675
GPR75	0.4345
TRIM5	0.080125
APOC1	-0.655
RNASE4	1.437
PARD6B	-1.381625
ARID1A	0.120916666666667
TPD52L3	0.2563
RRAGB	0.852833333333333
RCN2	-0.4675
HIST2H2BE	-0.6363125
STARD7	-0.022
SHMT2	-1.0045
KIAA1751	-0.3175
MLYCD	0.496875
LOC162632	-0.2322
UQCRH	-1.48325
RP11-217H1.1	0.1053125
SDHA	-0.6175
NCLN	-0.1814
ZNF17	0.735333333333333
RCBTB2	-0.67325
VEGFB	0.4819
RP4-747L4.3	0.87875
COLQ	0.7028
MPN2	-0.400166666666667
DRG2	0.3225
KLRB1	5.604
ALPK2	-2.70175
DNASE2B	0.808
FLJ23834	-0.0395
AXUD1	2.833
SAFB	-0.3352
NSUN4	-0.38475
RFX2	0.3485
MAPK8IP1	0.00516666666666666
FANCD2	-1.34478571428571
ANKZF1	-1.156
C19orf50	-0.18975
DUSP8	1.571
SENP5	-0.81125
NFKBIL2	-0.8615
LBR	-0.238125
IGFL1	1.3395
LZTS2	0.565875
IL2RG	-0.522875
CCDC51	-0.089
KLF3	-0.031
ANKRD37	-0.04
KCTD14	1.05116666666667
FZR1	0.399666666666667
SLC44A4	3.498
ESPL1	-1.3535
GMPR2	-0.3134
TBC1D19	-0.616666666666667
ERGIC1	0.250962962962963
ERBB4	3.1133
TSPAN32	0.6235
MAP4	-0.007625
GPHN	-0.5825
SLC6A2	0.060375
HIVEP1	0.076
DFFB	-0.5123
EIF4EBP2	0.173125
DMRT1	-0.85325
HSPB6	0.88525
IER2	2.44466666666667
AIFM1	-0.44
WWC2	-0.4135
MRPL4	-0.3145
FLJ21062	2.04033333333333
EPB41L4A	1.5035
SH2D6	0.2645
TAF4B	-1.14625
GAL3ST3	-0.0035
MALT1	-0.717
RTDR1	0.3105
ARVCF	0.4075
MEX3B	-1.16566666666667
FBXO16	0.315
KIF7	-0.0465
C1QC	4.09683333333333
ZNF783	-0.717666666666667
ZNF85	0.2305
MMP13	3.8215
KIAA0329	0.79875
RTP3	-0.797
ZBED3	0.22175
CLGN	-0.2235
SLC25A37	-1.3675
hCG_18290	0.53425
OR5AS1	0.0535
SMARCC2	0.891333333333333
FAM109A	0.0943333333333333
CCDC12	-0.14575
USF2	0.6282
DEPDC7	-3.13225
C20orf24	-0.8675
JMJD3	0.6055
DSP	0.549857142857143
SLIC1	0.585625
FAM20A	1.660875
IRF2BP2	0.31125
ZNF230	0.289
MSN	-0.184071428571429
SLC9A5	-1.236
EPDR1	-0.7414
MUSK	0.215666666666667
ZNF434	0.178833333333333
SMARCD1	-0.2475
ZFP106	0.502
ZNF347	-0.0381
GTF2E1	-0.09025
RY1	-0.345666666666667
