Hybridization REF	TCGA-A8-A09V-01A-11R-A034-07
CEP350	1.16825
OR10A2	0.07725
CST7	-0.5105
CIAO1	-1.39875
SELL	0.722625
OR8J3	0.0415
LTBP4	-0.296166666666667
SIRT6	-0.59225
CCL19	2.78775
PPIL1	-1.51033333333333
GBP7	0.239833333333333
STK17A	-0.8706
ABR	0.31925
OR9G1	-0.034
FOXE1	-1.587125
CNGA3	1.3275
GML	0.3495
CD38	-3.03
ZDHHC6	0.113666666666667
NEFH	-1.3505
CTDSP2	1.18175
PGBD5	-1.08366666666667
CCNY	0.325857142857143
RMND5B	0.398083333333333
ZNF257	0.214
FLJ22167	-0.8155
EXOSC7	-0.8445
ROR2	1.17025
MAOA	-0.764
TNNT3	1.2775
GYPC	-1.82275
C7orf33	0.7155
PLIN	2.57983333333333
LOC90826	-0.0635
RNF4	0.1502
F8A1	0.405666666666667
PLEKHG4	-0.00550000000000001
GRB2	0.2823
HIST1H2AD	-0.05475
DUS3L	-0.739
EIF1	-0.359833333333333
RP5-1077B9.4	-0.785333333333333
FPGT	1.9145
GDF10	0.145
COQ9	-1.015
GCC2	1.034
RARRES3	2.339375
PLXNA1	-0.3908
KIAA0100	-0.018
PMF1	0.32175
FNDC1	5.3885
HS2ST1	-0.528916666666667
CRELD2	-0.15175
C8G	-1.696
CD82	1.055
LIM2	-1.477
UNQ6490	0.1065
MMP16	0.17725
DRD3	-0.07625
C5orf26	-0.553
C11orf73	-0.5365
PTP4A2	1.408
OR4M2	0.3835
HPCA	-1.63783333333333
SEC14L1	-1.46633333333333
CHFR	-0.494125
EMILIN1	0.676
NDUFS4	-0.422
COL18A1	0.27875
PDZD3	-0.2927
C9orf16	-0.805666666666667
ERBB2IP	0.495
EMX2	3.52575
FUS	-0.0955
TF	-4.1792
CLCN4	-0.3155
CXorf56	0.101
C11orf72	0.478
ELAC2	-0.63025
NPR1	-1.62925
ASS1	-3.33283333333333
USP42	0.345125
POLR2J	-1.16
SEC23IP	0.501666666666667
UQCRC1	-1.275
LOC729603	-0.467
C1orf71	1.054875
POLG	-1.914
ADAM23	-3.2755
TFR2	-1.90575
RICTOR	-0.1752
MGC39606	-0.08025
C19orf55	0.1315
SNAPC1	-1.60266666666667
GNA11	0.90575
CCDC52	0.119666666666667
FSIP1	4.3805
UPF3A	0.228625
IGSF11	-1.79333333333333
LAGE3	-0.61825
CHST6	-1.1265
UNC13B	1.00175
TTLL4	-0.94275
ZNF687	0.148625
SDC2	-0.2304
COX7A2	-0.552
LAMB4	-0.34275
FAM24A	0.1275
LRRTM3	-1.24066666666667
GPHB5	-0.244
OR4C13	-0.00600000000000001
EIF3EIP	0.157285714285714
HABP4	-0.9055
TMEM125	3.92525
CNTN2	-0.21875
ASNSD1	-0.11675
FUT4	-0.780125
ACF	-4.1295
LOC158381	0.872
CDH8	-0.46325
AGPS	-0.8725
C4orf18	3.31675
PECI	-0.0585833333333333
UNG	-0.578375
GSTP1	-0.63825
DCUN1D5	-1.69316666666667
DKFZP564J0863	-1.48725
SLC9A3R1	0.490875
BCDO2	0.597875
CHMP7	-0.0555
REM2	-0.005
DNHD1	-0.851125
FKBP4	-0.11975
ZNF350	2.50975
MGC11102	-0.750625
BST1	0.896
KISS1R	0.4425
NCR2	0.3335
DEFB125	-0.559
UBE2W	0.56125
KRT15	-0.729625
C10orf99	0.237
SCN11A	0.049625
GFI1	-3.58175
RDHE2	4.432
FHL1	-1.05
OSGEP	-0.0636666666666667
GATA1	-3.66166666666667
SMC6	-0.77625
TTTY14	-1.1915
LPIN3	0.0805
RPL4	-0.5329
RBPMS	0.9454
PRPF3	0.506666666666667
EMR1	-1.7555
SPATA19	0.19325
XCR1	0.193
IRX3	2.307
RBM6	-0.5985
KLF4	1.0792
UNC5CL	-0.3645
SEBOX	0.1705
BTK	-1.29625
KRCC1	1.5585
C6orf27	0.214
SYTL5	-0.174
PRND	2.73625
LOC653319	-1.251
PIGL	-1.460625
HUS1	-0.697833333333333
SFRS6	0.168666666666667
C17orf77	0.636
UIMC1	-0.509333333333333
FXYD2	-2.2698
LOC283152	1.5585
ZNF667	-1.19475
ZCCHC12	-1.03575
TFEC	1.9504
ATP7B	1.3405
POLD2	-1.34983333333333
RG9MTD1	-0.23
ACOT2	0.1775
HIST1H4I	-1.478
PPARGC1A	-1.7196
ETFA	-1.5769
POLRMT	-0.16875
ZNF146	0.208125
MIA2	-2.387
KLHL6	-1.75433333333333
HOXB5	-1.139375
NENF	0.761
CUGBP1	0.685
PRSS22	1.553
CASC4	1.4777
CUL4B	-0.1562
CENPJ	-1.1681
PITX1	-0.534
FLJ31033	0.8255
CELSR3	-2.33116666666667
ZNF568	1.62
ITSN1	0.174583333333333
EHBP1L1	-0.769166666666667
C19orf2	-0.65625
DCTN1	0.1285
LIN28B	-3.92533333333333
TNKS2	0.26275
C1QBP	-0.987125
CADPS2	2.48275
SRMS	0.46825
GJA9	0.117333333333333
MGC24975	-0.0336666666666667
TRIM45	1.58516666666667
TSP50	1.945
TCP1	-1.033
TMED7	0.173
CMA1	0.6445
CENPL	-0.485166666666667
PTCRA	-1.015
FST	-0.923
VWCE	-4.37725
PAWR	0.61675
ABCC12	0.140333333333333
LDLR	-1.2846
ASTN2	1.0072
LOC441212	-0.84
GPATCH8	0.02025
TANC2	0.0498333333333333
KIF4A	-1.9145
C18orf18	-0.725
PGM1	-1.57675
KIAA0258	0.252
CPD	0.32275
SNCAIP	-1.147
DCT	-4.5535
HLA-DOA	2.82077272727273
OR11L1	0.3765
UPK1B	-0.182
DNAJB4	-0.65575
UGT1A8	-0.3205
HIST1H4L	-0.8015
PECR	-2.004
HSPA2	3.07225
WFIKKN1	-1.368
SERP1	1.114875
SYDE2	1.50025
TACR2	1.0695
NUP85	-0.54225
CD177	3.77583333333333
LGR5	-2.30966666666667
PIGG	0.394666666666667
PTHR1	-0.665166666666667
RAB5A	0.0358
FLJ13224	-0.299
USP9Y	-2.21766666666667
C7orf53	0.2845
LRP1B	-1.658
XAF1	1.0145
ABCG8	-1.434
ANKDD1A	-0.69
DAND5	-0.8545
SPAG6	6.071
LINCR	1.47475
ZDHHC22	-1.986625
CCDC60	-0.016
THOC7	-1.29616666666667
TCTA	0.5929
OR8K3	0.026
NY-REN-7	-0.934
B2M	0.586
C6orf141	-0.98525
LPPR4	0.8015
SQLE	-1.7325
SEPHS1	-0.49625
BTBD14B	0.0162142857142857
PLRG1	-0.28525
SPG7	-0.9220625
ZNF614	-0.114833333333333
PARD6G	0.964666666666667
INPP5B	-0.1719
GRPEL2	-0.481125
PPID	-0.3865
TRIM56	0.059
UBE2J1	-0.925375
IL20RA	5.792
LOC387856	0.4595
C1orf107	1.10466666666667
UTS2R	0.61925
C19orf22	-0.5135
SAFB2	-0.0665
KIAA0652	-0.029625
KLRG1	-1.5135
MS4A8B	3.21566666666667
FRAG1	0.2665
KIAA1546	0.9905
E2F4	-1.5747
CLEC4M	-0.120833333333333
BTBD14A	-2.3135
KIAA0999	2.2248
GYPA	-4.1275
TAC1	0.7715
TRAIP	-1.89966666666667
KIAA0232	0.8496
ERCC8	-1.239
GPX4	0.5425
KIAA0368	0.2195
GPR157	-0.275833333333333
CTAGE4	1.7625
C9orf30	-1.55933333333333
OR52A1	-0.0125
HSP90B3P	-0.6225
ALG9	-0.2526
BTBD10	0.6205
SDK2	-0.484
BAIAP3	0.59875
RABGGTB	-0.7065
ANKRD40	-0.0246666666666667
KRT74	-0.163
CALCOCO2	0.137428571428571
SNCA	-3.26725
TMSL8	-5.836
C2orf53	0.104
ESRRB	-0.33625
ARHGAP26	-2.007875
TDRD9	-2.67625
HRAS	-0.6725
KLRC4	-3.4735
JAGN1	-0.719333333333333
BSDC1	0.86725
RNF43	0.5667
NDUFAF1	0.1415
PHF12	0.39825
OR1L3	0.08675
FOLR2	1.20075
LYZL6	0.0743333333333333
tcag7.1260	-1.9455
WSB1	-0.698333333333333
PROS1	-1.2771
OSTN	0.41
PSMB8	-0.23025
SOCS4	-0.11725
DDIT4L	2.7145
MAS1	-0.1275
MGC34796	0.6565
CSHL1	0.228333333333333
TBCCD1	-0.0943333333333333
ZBTB7C	-0.0135
AP2S1	-1.21925
P15RS	0.0542
VAT1	-0.5751
SHANK3	0.796833333333333
TUFM	-0.204333333333333
THEG	-0.3385
KRT34	-2.57775
SGSM3	0.159
TOMM22	-0.6005
SOCS3	0.468833333333333
CPO	2.6695
POP4	0.0375
BHLHB3	0.53925
MALL	0.42725
OR1B1	-0.128
PARK2	0.7275
GPR124	0.61475
LCE1E	0.6485
RUVBL2	-0.71225
CGRRF1	0.5451
ACPL2	0.74225
WNT10B	-2.368375
BAIAP2L2	-2.395
ISCA1	0.6025
C1orf125	1.129375
RPAP1	-0.5385
RAI16	-0.22
RPL27	-0.611125
NLRP9	0.133
EPN1	-0.2495
LOC388610	-1.45925
SLC35A1	0.8378
GAL	-4.51225
SLC14A2	0.11925
RDH11	-0.695833333333333
FAM138F	-1.0285
AUH	0.49525
FLJ40243	-0.02975
C14orf129	0.309833333333333
MBD2	-0.579
ABHD14B	0.1065
PIGT	0.4915
ALS2CR4	0.23125
ALAS1	-0.318
FOXO1	1.19483333333333
CRLF3	-0.570875
C20orf107	-0.382
FARS2	0.71325
CCDC28A	1.663
NPHP3	-0.0055
OR13F1	0.385
TSEN54	-0.87825
DEFB106B	0.105
OR8B4	1.0495
STH	3.538
ZC3H14	-0.080375
CBX2	-0.369
TMEM49	-0.9865
C6orf21	0.2155
FLJ20920	1.975
CRTAP	-0.313785714285714
DDX50	0.165
STYXL1	-0.3385
BLVRB	-0.428333333333333
LOC147650	0.0651666666666667
MMP24	0.301
GRID1	1.67383333333333
BANF1	-0.8105
CTAGEP	0.257
HMBS	-2.34725
SLC25A24	0.71
C14orf50	1.72175
MRO	-0.3675
SLC25A15	-0.15325
FAM84B	1.162
TDP1	-0.623
C16orf78	0.165333333333333
C11orf57	-0.0745
RFK	-0.768875
ZFYVE9	0.900375
STCH	-1.1931
WIBG	0.328
LOC283871	-0.8495
GBA2	-0.0965
NDUFB3	-0.5375
HSD17B13	-0.7935
GRIN3A	0.579
FMNL1	-1.479
SEPT7	-0.333
GNLY	1.0505
GRAMD1C	1.484
ZNF165	0.40525
USP38	0.1265
FAM83A	-3.94733333333333
C14orf24	0.297833333333333
ARMCX3	1.401125
ARHGDIB	1.00266666666667
AK1	-0.080875
KIAA1045	-0.418
DNAJB13	-0.589166666666667
NEU2	0.4935
HIST1H4B	-1.5895
FAM20B	0.4188
HES2	0.834142857142857
FAM73B	-0.0789
LOC388381	-0.566
INTS7	-0.0300909090909091
AMPH	2.21125
ZNF775	-0.087625
UCKL1	-0.474833333333333
C10orf97	-0.1845
C1orf161	-0.09625
ALDH1L1	-2.3535
FLJ39378	0.053
SLC23A1	-2.45
RBM4B	0.82025
THAP4	0.329166666666667
OGFRL1	0.414
KIAA0831	0.723375
PPP1R15A	-0.5795
C1orf96	-0.224142857142857
C12orf11	-2.12475
BMF	0.642625
MAN1A1	-1.0645
KIAA1600	1
NLGN4X	0.29325
ALOX12	-2.03083333333333
RB1CC1	0.6638
NEIL2	0.2121
EIF4E	-0.375363636363636
ABHD5	-0.46825
EXOC4	0.271166666666667
CIP29	-0.453166666666667
BATF2	-1.42125
SLC29A4	-1.65375
HTR4	0.35275
EMB	-1.7205
TRAF6	0.8835
LMNB1	-0.89975
FAM19A5	-0.82675
SHE	1.858
PIK3C2B	1.3915
C15orf15	-0.4092
USP15	-0.0898
TCEAL2	0.77875
C5orf39	-1.52283333333333
PTGER2	-2.45275
SLC31A1	-0.5741875
IFT172	1.021
ADAM29	0.242
GFOD1	1.09475
ST7L	0.385333333333333
C15orf26	-3.75475
PKN3	-1.2775
CNTD1	2.96616666666667
COMMD1	0.037
NTRK2	2.18691666666667
FOXN3	0.050125
MFGE8	-0.9928
PFKFB2	1.10416666666667
TAS2R4	0.6525
ENTHD1	-0.502166666666667
PRMT5	-0.424125
MGC16384	-0.119625
LOC442229	-0.90375
TSKU	-0.26125
KRTCAP3	2.89
PDLIM1	-0.0041
KCNS2	0.58825
RNF126	-0.757833333333333
CEP63	0.158375
CLIC4	-0.573875
hCG_1990170	-1.40425
ACR	0.7315
KLK7	-0.06575
ALOX5AP	2.844375
RIPK3	3.79875
TAS2R9	0.4345
C19orf18	1.267
BIRC6	-0.0653571428571428
ZNF16	0.884
RFT1	-0.641
SLC8A2	-1.104
TACC1	0.315125
ITGAD	0.67925
SAMHD1	-0.0315
SH3PXD2B	1.0132
EPC2	1.6525
C20orf85	0.48325
ATP13A2	0.582833333333333
KRT4	0.084875
CAPNS1	-0.121
MDM2	-0.680333333333333
PCDH20	2.5115
KCNK9	0.3335
OR2C1	-0.3755
KLHDC3	-0.789666666666667
IPPK	0.547
EFHD2	-0.43525
GALR3	0.50175
NBEA	1.15
ABCA6	3.4642
CLDN3	1.173
AKT2	-0.165214285714286
EGFR	-2.6856
RBM16	0.669625
ZDHHC3	-0.2649
SLC25A4	-1.53483333333333
CYB5B	-1.24483333333333
CPXM1	-0.4565
NDRG1	-0.733076923076923
FLJ43826	0.57925
OR5L2	0.269166666666667
FARP2	0.7104
MRPL46	-0.5165
LDHAL6B	0.402166666666667
MAPKAPK3	-1.14416666666667
NCAM2	-1.041
PRKD2	0.355833333333333
ZFP36L1	1.3703
CYSLTR1	-0.28425
OR4C3	0.000750000000000008
HIST1H2AJ	0.6265
CCNB2	-2.42733333333333
ZNF10	0.494875
TMEM175	0.3785
FAM134A	1.21616666666667
TIGD4	0.2415
PCNP	-0.1105
MGC39715	-0.31075
LQK1	-2.83475
CREB1	0.7848
TMPRSS3	2.2875
C4orf32	1.980625
LAT	-1.57958333333333
KCNA3	0.0355
SKIV2L2	-0.819
ROPN1B	-3.741
tcag7.23	-0.556
CDT1	-3.619875
ZHX2	1.42675
CD28	-4.1935
ZNF624	1.38775
SEPT2	0.472666666666667
SOHLH2	-1.3485
MCOLN3	-1.056375
UNQ1945	0.1735
MASP2	-1.357
ZNRF3	0.1853
GPATCH3	-0.115
AGL	0.75975
QRICH2	-0.378
PSD4	1.05566666666667
CCNB1IP1	-1.88525
ENPP7	-0.26525
OBFC1	-0.15725
KCNG3	-2.65075
C14orf79	1.35725
ENPEP	1.27883333333333
SCT	1.839
SKI	0.64425
SEC61G	-2.2595
CAPN11	0.346
ATXN7L3	-0.108
DBNDD1	-1.345
FAIM	0.10075
ANKRD36	0.986
GABRP	0.757833333333333
TACSTD2	2.27166666666667
EIF3J	-0.60425
PPP2R2A	0.1025
TEKT4	-0.511
PVALB	-3.82166666666667
F10	-2.77266666666667
FAM134C	0.8252
COMP	4.579875
EFCBP1	-3.02575
SCLT1	0.51775
TAL1	-1.4291
ACSL1	-1.14225
ABCC5	-0.88475
ABL1	-0.559833333333333
RBBP7	-0.39
PTPRG	-0.2085
NCOR1	0.4397
SPINK4	-2.35116666666667
TXNRD1	-2.0357
TNRC15	1.383875
C9orf138	1.421875
UBE2H	1.01033333333333
BRDT	-0.230333333333333
C8orf31	-0.28175
CCNE2	-2.53518181818182
SLC6A8	-2.019
CALCR	-4.319
PPP1CB	0.490083333333333
ABHD8	-0.23375
ARF5	-0.1393
SLC24A4	0.406
CCT3	-0.20025
ZNF121	0.407125
SLC3A2	-1.3151
OR13A1	0.1485
SLC5A10	1.019
RAD50	0.272
IER5	-0.1545
MTHFD1L	-2.531625
MBTPS2	-0.05925
MVK	-1.131
NCL	-0.554
PSMD10	-0.27825
MOBP	0.13375
FLJ32894	-0.3225
HRH1	-1.765
C5orf30	1.45075
NUDT16L1	1.0871
RASGRP3	3.3515
PRKRIP1	-0.5293
CCDC75	-0.4815
LOC253970	0.1645
KIAA1239	-0.348
MED21	-0.25475
SYT11	0.280583333333333
NTSR2	-0.5945
EGFL11	0.303
CXorf59	0.5025
OR2A25	0.0155
SPTBN2	-2.33975
LRMP	-1.402
RNF111	0.52825
PTH	0.2585
LOC619208	0.523166666666667
KIAA0895	1.742
RANBP5	-0.971125
P2RY10	0.166666666666667
NME5	3.84616666666667
DDX21	-1.5405
LRSAM1	-0.265
HDAC11	1.81016666666667
VMO1	1.63075
NOLA2	-0.3765
ADAR	1.11941666666667
MTO1	-0.421333333333333
SF4	0.200833333333333
P2RX1	0.521666666666667
HBM	-0.43675
EN2	0.4605
C14orf172	-0.23125
TM9SF2	0.7618
INHBE	-1.98283333333333
TCTE3	-0.03625
TOX2	-2.25525
CTAGE3	-0.049875
HBB	2.8205
MED15	-0.708333333333333
CASR	-0.108
C6orf66	-1.479
MTPN	-0.25525
UNC50	0.5855
C21orf33	-0.031375
IRF2	1.529
PGR	3.7065
GPR84	1.746
CROCCL1	-0.71425
SRPX	-1.45975
BRE	0.0193333333333333
FGF10	1.594
SDC3	0.3125
ZRSR1	0.7275
DKFZP434P211	0.29
SOX6	-0.1785
RPUSD2	0.12275
C14orf173	-0.712583333333333
MAPK11	-0.944333333333333
TBC1D22A	0.288
FAM123A	-0.9595
COL4A6	-3.3415
TOMM70A	-0.389
NAB1	-0.52525
MGC16385	-0.58225
TSPAN18	-0.0861666666666667
MED31	-0.31625
PLG	-1.0515
CAPSL	1.3775
ZNF532	0.8996
ASB14	0.55625
CA8	1.9455
NUDT16P	1.74916666666667
SLFN11	-1.2235
LRRIQ2	0.35275
NOL7	-0.632666666666667
BRMS1L	-0.6635
JARID1A	0.543
PANK2	-0.801
ICAM3	-0.99275
MDS1	-0.703
TAF8	-0.7895
RNF139	0.427
ZNF594	1.224
ADAM8	2.1945
SFTPC	-0.47175
MAN2B2	1.27275
RGS12	1.1655
EIF1AY	-5.427
LRRIQ1	-1.62116666666667
GPR150	0.82225
CCDC21	-0.687166666666667
PRRG3	0.32375
SAA4	-4.70075
RAPGEF5	1.84725
ZCCHC2	0.323916666666667
MGC39372	1.3345
PPP4R2	0.0613333333333333
CDCA2	-2.05483333333333
OR4D5	-0.0848333333333333
PTGFRN	0.8606
SIGLEC5	0.703666666666667
C19orf61	-0.0426666666666667
NMUR2	0.4975
KIAA1586	-1.09666666666667
DAGLA	0.229833333333333
CHCHD6	-1.16825
GPR32	0.7575
NEUROD6	0.0195
SLC2A4RG	-0.1023125
CA5B	0.91275
FBXL3	2.1365
MPHOSPH9	-1.278
HMG2L1	0.72475
HCN4	0.206166666666667
CEACAM19	-0.7595
SH2D4B	0.2715
HFE2	-1.126
TGM4	0.1038
LYPD2	0.205
TBC1D15	-0.084
MRPS21	0.3723
NONO	-0.9922
CLEC5A	2.157375
ITCH	-0.3875
MGAT3	-1.388
MBP	-0.0528749999999999
RPP25	-0.82725
SOSTDC1	-2.5345
HRC	-1.78375
TRIM48	0.502
TMEM133	1.1775
ECEL1P2	-2.03725
HOXC11	-1.2455
DOK5	-0.871
HELZ	0.520333333333333
LOC348180	-1.79075
MGC33894	0.23625
ADRB3	-0.1225
DMD	-0.422583333333333
PTRH2	-0.957
MPEG1	2.4055
NDUFA12	-0.421333333333333
KRTAP2-4	-0.252916666666667
STAMBPL1	-0.878333333333333
ADCY2	1.42833333333333
UNQ6125	0.548
KLHL20	0.91
SRM	-1.6935
OTC	-0.28425
TMIE	0.583166666666667
SNX8	-0.99475
LIPK	0.3075
CHURC1	-0.130666666666667
KLC2	0.0498333333333333
HDAC1	-0.127666666666667
FAM128A	0.4595
FNDC3B	-0.484
MTCP1	-0.487666666666667
WFDC10B	-0.3846
PCDHGB3	0.3535
ATRNL1	-2.5396
CAV2	-0.9545
MED26	0.384166666666667
DUS1L	-0.09375
CHRM3	-1.148625
NEK9	0.639
WARS2	0.241
TBX22	-0.3625
TOMM40	-1.38125
RP6-213H19.1	-1.414
TUBGCP5	0.01775
IGSF6	4.4965
TPPP	1.35283333333333
UNQ6190	0.081
GSTM5	2.632
BTD	1.2735
PDCD1LG2	-0.176166666666667
SNRPB2	-0.857833333333333
ERICH1	-0.218
APOA4	-2.147875
HOXA11	-1.33325
NARG1	-0.477625
MKX	-0.7075
RAB28	-0.139142857142857
PKP3	0.877
SH3GL2	-2.74875
CTSO	3.28125
RPN2	-0.5536875
IL28RA	1.23766666666667
SFMBT1	0.83125
WDR57	-0.605625
FER1L3	1.57483333333333
HSF5	-0.0706666666666667
TTC9B	-0.0205
C4BPA	-4.78216666666667
ALB	-4.48978571428571
SORBS3	0.72025
UPF2	0.1635
JPH1	-1.045
AGBL2	1.9285
DOPEY1	1.195
TERF1	-0.203166666666667
KIF22	0.1115
NINJ1	1.3975
SEC61A2	-0.0510833333333333
HIST1H1D	-2.28883333333333
SFXN4	-0.4365
UCP3	0.9667
ZNF703	1.13
MYL6B	-0.81625
TREM1	1.3965
OR52E6	0.7945
CKMT2	1.476
HLA-C	1.2615
SLC13A3	-1.8705
TIMP4	-2.805
SLIT2	2.70475
RSF1	0.268611111111111
LONRF1	-0.7705
MON1A	-1.078
CACNG6	-2.20866666666667
DPPA4	-5.585
ZSWIM3	0.253
ZNF804A	0.205333333333333
CCIN	1.60575
SLC25A31	-0.134
KCNMB4	0.1595
RABL5	0.3955
GALNS	-0.4094
STX6	0.720125
HIST1H1C	-2.64933333333333
CIDEB	0.13475
CASP4	0.153
PDK3	-0.4399
KCNJ11	2.459
TPR	0.694375
ZSCAN20	-0.0925
MTX2	-0.16675
HIST1H2BH	-1.203
LOC283767	1.509
LYRM7	-1.06366666666667
BRD3	1.12583333333333
HIST1H2BO	-0.92875
MAGEB10	0.37
SLC45A1	0.84325
SERPINA3	1.35625
KIAA0143	1.8815
KCNJ16	-0.0143333333333333
KRT79	-0.1515
FABP2	-1.066
NUT	0.1045
ZNF57	-0.165
FBXL4	1.078875
CLEC9A	2.1725
UGT8	-1.29566666666667
BMP2K	1.00975
MAPK4	-4.09075
SLC25A23	-0.9304
HINT1	-0.2511
KRTAP13-1	0.4885
SFXN5	0.1381
CHCHD2	0.0324166666666666
FAM3D	0.4425
NDP	-2.952125
RHOBTB1	0.744833333333333
SLC4A4	-2.09025
RPL38	-0.03
HTF9C	-0.391
AP2A2	0.709
ZBTB46	-0.019
MAP7D1	0.231375
AOX1	-0.670833333333333
CYR61	-0.57825
DTNA	-0.389571428571429
JRKL	-1.26975
TMOD3	-0.51425
EEA1	-0.0866
ADCK5	-0.41325
IL1R1	0.9515
KLK3	0.364785714285714
HRSP12	-0.5625
KTN1	0.891
LOH11CR2A	0.6337
RELL2	-1.89125
MAB21L1	2.907
C20orf59	-1.26933333333333
PHKB	-0.71675
ADAM2	-2.59716666666667
TBC1D8B	1.36766666666667
FAM13A1	-1.07925
LAPTM4B	-2.18625
LCN8	0.0775
TMEM147	0.1065
SYT4	0.081
XPO7	-0.482
C9orf62	0.7795
GPR75	0.015
TRIM5	0.3325
APOC1	-1.222
RNASE4	0.9325
PARD6B	0.723
ARID1A	0.634
TPD52L3	0.228222222222222
RRAGB	1.39883333333333
RCN2	-0.592333333333333
HIST2H2BE	0.51625
STARD7	0.0055
SHMT2	-1.977
KIAA1751	0.944833333333333
MLYCD	0.31075
LOC162632	0.6929
UQCRH	-1.69425
RP11-217H1.1	0.2395
SDHA	-1.0855
NCLN	-1.1548
ZNF17	0.891
RCBTB2	-1.2375
VEGFB	-0.1675
RP4-747L4.3	1.10125
COLQ	0.6171
MPN2	-0.9235
DRG2	-0.3765
KLRB1	2.782
ALPK2	-1.267
DNASE2B	-0.16875
FLJ23834	1.316
AXUD1	-0.0193333333333333
SAFB	-0.0591
NSUN4	-0.39275
RFX2	-0.784333333333333
MAPK8IP1	0.295333333333333
FANCD2	-1.23142857142857
ANKZF1	-0.756
C19orf50	-0.701125
DUSP8	0.864625
SENP5	-0.55725
NFKBIL2	-0.9245
LBR	-1.236375
IGFL1	0.4405
LZTS2	0.569875
IL2RG	-1.6845
CCDC51	-0.9605
KLF3	0.703875
ANKRD37	-1.42025
KCTD14	-1.27816666666667
FZR1	-0.246
SLC44A4	3.6499
ESPL1	-1.25825
GMPR2	-0.0768
TBC1D19	-0.412666666666667
ERGIC1	0.406518518518519
ERBB4	3.4028
TSPAN32	-0.160166666666667
MAP4	-0.71925
GPHN	-1.6545
SLC6A2	-0.517875
HIVEP1	0.52575
DFFB	-0.2577
EIF4EBP2	0.09625
DMRT1	-0.766
HSPB6	-0.11275
IER2	-0.617666666666667
AIFM1	-0.616
WWC2	0.0330833333333333
MRPL4	-0.9105
FLJ21062	2.105
EPB41L4A	1.25225
SH2D6	0.45975
TAF4B	-1.55775
GAL3ST3	-0.4855
MALT1	-1.09033333333333
RTDR1	-0.04025
ARVCF	0.329625
MEX3B	-0.440333333333333
FBXO16	1.207
KIF7	-1.21825
C1QC	3.507
ZNF783	-0.0748333333333333
ZNF85	0.573
MMP13	4.0275
KIAA0329	0.312125
RTP3	-1.009
ZBED3	-0.8785
CLGN	0.299
SLC25A37	-1.159
hCG_18290	0.11175
OR5AS1	0.415
SMARCC2	0.7025
FAM109A	-0.111833333333333
CCDC12	0.04225
USF2	0.6278
DEPDC7	-1.4545
C20orf24	-0.943333333333333
JMJD3	0.4485
DSP	1.99464285714286
SLIC1	0.180125
FAM20A	0.68875
IRF2BP2	1.6915
ZNF230	0.656
MSN	-1.00142857142857
SLC9A5	-2.158
EPDR1	-2.4008
