Hybridization REF	TCGA-B6-A0RM-01A-11R-A084-07
OSGEP	-0.253166666666667
GATA1	-3.11833333333333
SMC6	-1.31875
TTTY14	-1.33425
LPIN3	0.09025
RPL4	-0.7251
RBPMS	0.1585
PRPF3	-0.173166666666667
EMR1	-2.862
SPATA19	0.11375
XCR1	0.2475
IRX3	2.1076
RBM6	-0.03
KLF4	-1.6071
UNC5CL	1.068
SEBOX	-0.0185
BTK	-0.7565
KRCC1	1.25175
C6orf27	0.1705
SYTL5	-0.7175
PRND	1.252625
LOC653319	-1.471
PIGL	-1.297375
HUS1	-0.796333333333333
SFRS6	0.122666666666667
C17orf77	0.46
UIMC1	-0.614333333333333
FXYD2	-2.1039
LOC283152	-0.65275
ZNF667	-2.07125
ZCCHC12	-0.946
TFEC	1.6976
ATP7B	-0.5025
POLD2	-1.03883333333333
RG9MTD1	0.14875
ACOT2	1.72833333333333
HIST1H4I	-0.246125
PPARGC1A	-1.4669
ETFA	-2.1135
POLRMT	-0.15225
ZNF146	0.54
MIA2	-1.63
KLHL6	-1.92083333333333
HOXB5	-1.645875
NENF	0.0371666666666667
CUGBP1	0.56475
PRSS22	0.6605
CASC4	1.8098
CUL4B	-0.1807
CENPJ	-0.9608
PITX1	-1.76666666666667
FLJ31033	0.492333333333333
CELSR3	-2.1155
ZNF568	0.40875
ITSN1	-0.1475
EHBP1L1	-0.514833333333333
C19orf2	-0.25425
DCTN1	0.7975
LIN28B	-2.68566666666667
TNKS2	-0.354
C1QBP	-0.032125
CADPS2	1.0995
SRMS	0.42775
GJA9	0.413
MGC24975	0.0716666666666667
TRIM45	0.1545
TSP50	-0.545
TCP1	-0.87925
TMED7	0.2245
CMA1	1.245
CENPL	-1.43833333333333
PTCRA	-0.6095
FST	-3.60075
VWCE	-4.2645
PAWR	0.2815
ABCC12	2.88566666666667
LDLR	-3.2224
ASTN2	1.2025
LOC441212	-1.029875
GPATCH8	-0.04375
TANC2	-0.495333333333333
KIF4A	-1.96
C18orf18	-1.28475
PGM1	-0.59525
KIAA0258	-0.10425
CPD	0.784375
SNCAIP	-1.00325
DCT	-4.037
HLA-DOA	2.07195454545455
OR11L1	0.3715
UPK1B	-0.308333333333333
DNAJB4	0.38575
UGT1A8	0.01525
HIST1H4L	-0.4395
PECR	-1.245
HSPA2	3.192
WFIKKN1	-1.432
SERP1	1.189625
SYDE2	3.61075
TACR2	0.4185
NUP85	-0.64275
CD177	-0.623
LGR5	-1.434
PIGG	-0.322083333333333
PTHR1	-2.651
RAB5A	0.1957
FLJ13224	0.14
USP9Y	-0.4615
C7orf53	0.582
LRP1B	0.9315
XAF1	0.3539
ABCG8	-0.281
ANKDD1A	-0.444833333333333
DAND5	-1.5655
SPAG6	0.142
LINCR	-0.8355
ZDHHC22	-1.4125
CCDC60	-0.2535
THOC7	-1.23316666666667
TCTA	1.576
OR8K3	0.31525
NY-REN-7	-0.26575
B2M	0.0708333333333333
C6orf141	1.120625
LPPR4	1.281
SQLE	-1.36125
SEPHS1	-0.2295
BTBD14B	0.212214285714286
PLRG1	-0.46925
SPG7	-0.9131875
ZNF614	-0.398
PARD6G	0.314166666666667
INPP5B	-0.6318
GRPEL2	-0.369125
PPID	-0.4222
TRIM56	-0.12725
UBE2J1	-0.719375
IL20RA	2.58675
LOC387856	0.2105
C1orf107	0.3965
UTS2R	0.22675
C19orf22	0.3375
SAFB2	0.432875
KIAA0652	-0.01425
KLRG1	-0.479666666666667
MS4A8B	3.453
FRAG1	0.368
KIAA1546	0.2905
E2F4	-1.5744
CLEC4M	0.514333333333333
BTBD14A	-1.74675
KIAA0999	1.8337
GYPA	-3.105
TAC1	0.0737
TRAIP	-1.206
KIAA0232	0.9237
ERCC8	-1.77875
GPX4	0.608625
KIAA0368	0.444625
GPR157	-0.79
CTAGE4	0.161
C9orf30	-1.8835
OR52A1	0.7075
HSP90B3P	-0.5405
ALG9	-0.3767
BTBD10	0.51625
SDK2	-0.258
BAIAP3	2.25
RABGGTB	-0.321125
ANKRD40	-0.1635
KRT74	0.375
CALCOCO2	0.651785714285714
SNCA	-3.7255
TMSL8	-3.433
C2orf53	-0.132
ESRRB	-0.7515
ARHGAP26	-2.156125
TDRD9	-3.4305
HRAS	-0.0305
KLRC4	-1.6785
JAGN1	-0.126333333333333
BSDC1	0.646
RNF43	0.0595
NDUFAF1	0.16875
PHF12	0.54875
OR1L3	0.01575
FOLR2	0.9805
LYZL6	0.00060000000000001
tcag7.1260	-0.8615
WSB1	-1.175
PROS1	-1.7457
OSTN	0.32
PSMB8	-0.61775
SOCS4	-0.00775000000000001
DDIT4L	5.89325
MAS1	0.114
MGC34796	1.9145
CSHL1	-0.224333333333333
TBCCD1	0.067
ZBTB7C	-0.1205
AP2S1	-0.62275
P15RS	0.1015
VAT1	-0.8902
SHANK3	0.266666666666667
TUFM	0.5125
THEG	-0.0165
KRT34	-2.16075
SGSM3	0.56775
TOMM22	0.106
SOCS3	0.1265
CPO	1.402
POP4	-0.12975
BHLHB3	-0.18425
MALL	0.975
OR1B1	0.4295
PARK2	0.577666666666667
GPR124	-0.0835
LCE1E	-0.479
RUVBL2	-0.397
CGRRF1	0.5708
ACPL2	-0.2255
WNT10B	-2.5685
BAIAP2L2	-2.14
ISCA1	0.6995
C1orf125	0.550125
RPAP1	-0.75225
RAI16	-0.718
RPL27	-0.633375
NLRP9	0.1155
EPN1	0.234
LOC388610	0.352
SLC35A1	1.8921
GAL	-4.62875
SLC14A2	0.46075
RDH11	-0.22
FAM138F	0.06
AUH	0.84925
FLJ40243	0.41275
C14orf129	0.3385
MBD2	-0.287333333333333
ABHD14B	0.190625
PIGT	0.6295
ALS2CR4	-0.704
ALAS1	-0.0501
FOXO1	0.618166666666667
CRLF3	-0.477375
C20orf107	0.129
FARS2	0.67075
CCDC28A	0.84175
NPHP3	-0.68275
OR13F1	0.342
TSEN54	-0.5425
DEFB106B	0.0909
OR8B4	-0.353
STH	2.647
ZC3H14	-0.192625
CBX2	-0.045
TMEM49	-1.242
C6orf21	0.3835
FLJ20920	1.571125
CRTAP	-0.546142857142857
DDX50	-0.3305
STYXL1	0.443
BLVRB	0.4445
LOC147650	0.126
MMP24	0.29325
GRID1	0.561
BANF1	0.151833333333333
CTAGEP	0.018
HMBS	-2.19375
SLC25A24	0.356666666666667
C14orf50	1.38375
MRO	0.177
SLC25A15	0.8375
FAM84B	2.8196
TDP1	-0.778
C16orf78	0.156
C11orf57	0.45725
RFK	-0.114
ZFYVE9	0.27725
STCH	-1.3817
WIBG	0.3155
LOC283871	-0.2475
GBA2	-0.4506
NDUFB3	-0.25775
HSD17B13	-0.64375
GRIN3A	0.320833333333333
FMNL1	-1.821
SEPT7	-0.2047
GNLY	2.02
GRAMD1C	1.4195
ZNF165	0.73
USP38	1.297
FAM83A	-3.09083333333333
C14orf24	0.816
ARMCX3	0.532
ARHGDIB	0.394333333333333
AK1	1.0225
KIAA1045	-0.164333333333333
DNAJB13	-0.504166666666667
NEU2	0.562
HIST1H4B	-1.17133333333333
FAM20B	-0.2772
HES2	0.352642857142857
FAM73B	-0.6821
LOC388381	0.623
INTS7	-1.03172727272727
AMPH	0.8985
ZNF775	-0.121375
UCKL1	-0.533
C10orf97	0.1685
C1orf161	-0.0705
ALDH1L1	-0.5485
FLJ39378	0.2975
SLC23A1	0.244
RBM4B	0.53975
THAP4	0.389166666666667
OGFRL1	0.4915
KIAA0831	0.553375
PPP1R15A	-0.8835
C1orf96	-1.14442857142857
C12orf11	-2.402
BMF	0.87425
MAN1A1	0.47675
KIAA1600	0.0788333333333333
NLGN4X	-2.2665
ALOX12	-1.05616666666667
RB1CC1	1.8351
NEIL2	1.0238
EIF4E	0.446136363636364
ABHD5	-0.21025
EXOC4	0.2745
CIP29	-0.152833333333333
BATF2	0.14025
SLC29A4	-1.185125
HTR4	0.49425
EMB	0.34
TRAF6	0.631
LMNB1	-1.1955
FAM19A5	-2.020875
SHE	0.74425
PIK3C2B	0.9425
C15orf15	-0.504
USP15	0.009
TCEAL2	0.272
C5orf39	-1.5925
PTGER2	1.41625
SLC31A1	-0.5670625
IFT172	0.05525
ADAM29	0.61375
GFOD1	-1.02775
ST7L	0.649666666666667
C15orf26	-3.03175
PKN3	-1.9385
CNTD1	2.2895
COMMD1	-0.2055
NTRK2	1.01941666666667
FOXN3	1.22425
MFGE8	-1.0433
PFKFB2	-0.402666666666667
TAS2R4	0.234
ENTHD1	-0.192833333333333
PRMT5	-0.440875
MGC16384	-1.168625
LOC442229	-0.54375
TSKU	1.30825
KRTCAP3	2.538625
PDLIM1	-0.208
KCNS2	0.40725
RNF126	-0.626833333333333
CEP63	0.588
CLIC4	-0.85
hCG_1990170	-0.755
ACR	0.5466
KLK7	-0.0445
ALOX5AP	2.33325
RIPK3	2.8005
TAS2R9	0.5565
C19orf18	1.1415
BIRC6	0.497071428571429
ZNF16	2.2695
RFT1	-0.62925
SLC8A2	0.26975
TACC1	-1.27275
ITGAD	0.55375
SAMHD1	0.0375
SH3PXD2B	0.4662
EPC2	1.21275
C20orf85	0.154
ATP13A2	-0.0803333333333333
KRT4	0.0715
CAPNS1	-0.10425
MDM2	0.515
PCDH20	6.71825
KCNK9	0.297
OR2C1	-0.092
KLHDC3	-1.05683333333333
IPPK	0.695
EFHD2	-1.303875
GALR3	0.22025
NBEA	0.686666666666667
ABCA6	1.4922
CLDN3	1.86583333333333
AKT2	0.0821428571428571
EGFR	-2.9529
RBM16	0.670625
ZDHHC3	-0.261
SLC25A4	0.776333333333333
CYB5B	-1.38683333333333
CPXM1	-2.23375
NDRG1	0.427307692307692
FLJ43826	0.0905
OR5L2	-0.00966666666666667
FARP2	0.5904
MRPL46	-0.483
LDHAL6B	0.109666666666667
MAPKAPK3	-0.0811666666666667
NCAM2	-1.26975
PRKD2	-0.442
ZFP36L1	0.6013
CYSLTR1	-0.77475
OR4C3	0.12175
HIST1H2AJ	1.535
CCNB2	-2.46622222222222
ZNF10	0.272875
TMEM175	0.2195
FAM134A	1.32966666666667
TIGD4	0.1715
PCNP	0.06625
MGC39715	0.7045
LQK1	-2.0035
CREB1	0.7417
TMPRSS3	-0.40475
C4orf32	2.02
LAT	-1.59808333333333
KCNA3	-0.694
SKIV2L2	-0.7765
ROPN1B	-3.54875
tcag7.23	-0.185
CDT1	-3.195375
ZHX2	2.223125
CD28	-3.6035
ZNF624	0.97375
SEPT2	0.25925
SOHLH2	-0.251
MCOLN3	0.29075
UNQ1945	0.0955
MASP2	-1.2065
ZNRF3	0.4156
GPATCH3	-0.3075
AGL	1.46275
QRICH2	0.006
PSD4	1.42733333333333
CCNB1IP1	-2.31275
ENPP7	-0.034
OBFC1	-0.17625
KCNG3	-1.787
C14orf79	1.21141666666667
ENPEP	-0.0553333333333333
SCT	0.691
SKI	0.58925
SEC61G	-1.86275
CAPN11	-0.12425
ATXN7L3	-0.2575
DBNDD1	-0.3935
FAIM	0.05525
ANKRD36	-0.038
GABRP	-0.752166666666667
TACSTD2	1.55416666666667
EIF3J	-0.065
PPP2R2A	-0.87175
TEKT4	-0.432333333333333
PVALB	-3.792
F10	-3.0215
FAM134C	1.0047
COMP	4.789375
EFCBP1	-2.641125
SCLT1	0.187875
TAL1	-1.2332
ACSL1	1.73825
ABCC5	0.381083333333333
ABL1	-0.518111111111111
RBBP7	-0.111166666666667
PTPRG	0.14875
NCOR1	0.6226
SPINK4	2.05383333333333
TXNRD1	-0.3836
TNRC15	1.518125
C9orf138	0.739875
UBE2H	1.02016666666667
BRDT	2.72683333333333
C8orf31	-0.33975
CCNE2	0.647272727272727
SLC6A8	-1.0075
CALCR	-3.29875
PPP1CB	0.866583333333333
ABHD8	-0.04025
ARF5	0.0053
SLC24A4	0.31775
CCT3	0.193
ZNF121	0.26475
SLC3A2	-0.628
OR13A1	0.2335
SLC5A10	1.295
RAD50	0.417
IER5	-0.129125
MTHFD1L	-3.09475
MBTPS2	0.39225
MVK	-0.855375
NCL	0.147
PSMD10	-0.28175
MOBP	-0.0862857142857143
FLJ32894	1.2635
HRH1	-1.72383333333333
C5orf30	0.8455
NUDT16L1	1.8907
RASGRP3	2.50566666666667
PRKRIP1	-0.5715
CCDC75	0.00375
LOC253970	0.231
KIAA1239	0.384
MED21	-0.98
SYT11	-0.122833333333333
NTSR2	0.2265
EGFL11	0.504
CXorf59	-0.8105
OR2A25	0.205
SPTBN2	-2.0755
LRMP	-1.90116666666667
RNF111	-0.052
PTH	-0.052
LOC619208	0.231833333333333
KIAA0895	0.55375
RANBP5	-0.879875
P2RY10	-0.098
NME5	3.07083333333333
DDX21	-0.5795
LRSAM1	0.416
HDAC11	2.15633333333333
VMO1	1.30225
NOLA2	0.2435
ADAR	0.16425
MTO1	-0.811666666666667
SF4	0.04
P2RX1	0.174666666666667
HBM	-0.17475
EN2	0.472
C14orf172	0.145
TM9SF2	0.412
INHBE	-1.20933333333333
TCTE3	-0.0670833333333333
TOX2	-3.78575
CTAGE3	0.225375
HBB	3.8933
MED15	-1.12183333333333
CASR	0.14225
C6orf66	-1.12816666666667
MTPN	-0.266625
UNC50	0.163
C21orf33	0.441
IRF2	1.0935
PGR	3.19983333333333
GPR84	1.30125
CROCCL1	-0.7925
SRPX	-2.1095
BRE	0.485
FGF10	3.49375
SDC3	-1.20383333333333
ZRSR1	0.177833333333333
DKFZP434P211	-0.885
SOX6	0.1185
RPUSD2	-0.38175
C14orf173	-0.322166666666667
MAPK11	-1.1245
TBC1D22A	0.244
FAM123A	-0.5255
COL4A6	-3.63316666666667
TOMM70A	0.173
NAB1	-1.014125
MGC16385	-0.614875
TSPAN18	-0.801833333333333
MED31	-0.36825
PLG	-0.16725
CAPSL	0.181
ZNF532	0.6646
ASB14	1.83125
CA8	3.94925
NUDT16P	1.22133333333333
SLFN11	-1.906
LRRIQ2	0.197125
NOL7	-0.498333333333333
BRMS1L	-0.591625
JARID1A	0.632333333333333
PANK2	-0.61525
ICAM3	-0.843
MDS1	-0.7905
TAF8	-0.47375
RNF139	1.712
ZNF594	1.05866666666667
ADAM8	-0.696125
SFTPC	-0.312375
MAN2B2	0.345
RGS12	0.558
EIF1AY	-4.84866666666667
LRRIQ1	-1.87033333333333
GPR150	0.4185
CCDC21	-0.683333333333333
PRRG3	0.4185
SAA4	-4.004
RAPGEF5	2.48425
ZCCHC2	0.27275
MGC39372	-0.439
PPP4R2	0.1085
CDCA2	-2.4155
OR4D5	0.4505
PTGFRN	-0.2979
SIGLEC5	0.315166666666667
C19orf61	-0.428666666666667
NMUR2	0.372
KIAA1586	-0.849166666666667
DAGLA	0.2265
CHCHD6	-0.6525
GPR32	0.321
NEUROD6	0.132
SLC2A4RG	0.026125
CA5B	0.407
FBXL3	2.077
MPHOSPH9	-1.6515
HMG2L1	0.79075
HCN4	0.3575
CEACAM19	-0.2425
SH2D4B	0.1765
HFE2	3.548
TGM4	0.652666666666667
LYPD2	-0.43175
TBC1D15	0.60675
MRPS21	-0.1885
NONO	-0.8108
CLEC5A	1.40875
ITCH	-0.00230000000000005
MGAT3	-1.85483333333333
MBP	0.199625
RPP25	-0.34825
SOSTDC1	-3.0135
HRC	2.55175
TRIM48	0.061
TMEM133	-1.26975
ECEL1P2	-1.291
HOXC11	-0.625
DOK5	-0.382
HELZ	0.584666666666667
LOC348180	-1.5665
MGC33894	0.23225
ADRB3	-0.00800000000000001
DMD	1.38858333333333
PTRH2	-0.89725
MPEG1	2.54483333333333
NDUFA12	-0.0598333333333333
KRTAP2-4	-0.216666666666667
STAMBPL1	-2.05633333333333
ADCY2	1.66966666666667
UNQ6125	0.0785
KLHL20	0.100666666666667
SRM	-1.35425
OTC	0.14375
TMIE	0.0476666666666667
SNX8	-1.0265
LIPK	0.4625
CHURC1	0.882666666666667
KLC2	0.233166666666667
HDAC1	0.53
FAM128A	-0.0316666666666667
FNDC3B	0.1216
MTCP1	-0.552833333333333
WFDC10B	-0.3669
PCDHGB3	0.114
ATRNL1	-0.6137
CAV2	-1.486875
MED26	0.250333333333333
DUS1L	-0.032
CHRM3	-1.744875
NEK9	0.89625
WARS2	-0.33525
TBX22	-1.235
TOMM40	-0.76875
RP6-213H19.1	-3.37466666666667
TUBGCP5	-0.3655
IGSF6	4.68525
TPPP	1.101
UNQ6190	-0.1915
GSTM5	0.346625
BTD	0.268333333333333
PDCD1LG2	-0.256166666666667
SNRPB2	-0.8685
ERICH1	-1.132125
APOA4	-1.479
HOXA11	-0.6625
NARG1	0.039875
MKX	-0.5005
RAB28	-0.260642857142857
PKP3	1.28225
SH3GL2	-2.335
CTSO	2.44275
RPN2	-0.1241875
IL28RA	-0.234833333333333
SFMBT1	0.3985
WDR57	-0.841625
FER1L3	1.23791666666667
HSF5	-0.0516666666666667
TTC9B	0.08775
C4BPA	-4.17183333333333
ALB	-3.94007142857143
SORBS3	-0.23925
UPF2	0.587
JPH1	2.026
AGBL2	-0.4315
DOPEY1	1.0925
TERF1	0.79175
KIF22	0.432
NINJ1	1.68575
SEC61A2	-0.586083333333333
HIST1H1D	-0.9375
SFXN4	-0.14625
UCP3	1.9317
ZNF703	1.88883333333333
MYL6B	0.733
TREM1	0.28525
OR52E6	0.264
CKMT2	4.56725
HLA-C	0.916375
SLC13A3	-1.70066666666667
TIMP4	-1.475
SLIT2	1.36425
RSF1	0.404888888888889
LONRF1	-1.24328571428571
MON1A	-0.602666666666667
CACNG6	1.3865
DPPA4	-5.65466666666667
ZSWIM3	0.346
ZNF804A	-0.163166666666667
CCIN	0.32475
SLC25A31	-0.04825
KCNMB4	-0.71525
RABL5	0.437375
GALNS	-0.4823
STX6	0.456125
HIST1H1C	-1.9035
CIDEB	0.70125
CASP4	-1.03566666666667
PDK3	-0.3941
KCNJ11	1.9815
TPR	-0.16775
ZSCAN20	-0.4905
MTX2	-0.38875
HIST1H2BH	-0.74825
LOC283767	0.37775
LYRM7	-1.12572222222222
BRD3	0.899166666666667
HIST1H2BO	-0.621
MAGEB10	0.68
SLC45A1	0.90175
SERPINA3	2.2188
KIAA0143	1.7905
KCNJ16	1.209
KRT79	0.12525
FABP2	-0.154
NUT	-0.31875
ZNF57	-0.31275
FBXL4	0.871375
CLEC9A	1.468
UGT8	-1.77583333333333
BMP2K	-0.05925
MAPK4	-3.30325
SLC25A23	-0.3992
HINT1	-0.2284
KRTAP13-1	-0.512
SFXN5	1.3288
CHCHD2	0.57075
FAM3D	0.019
NDP	-0.722875
RHOBTB1	1.225
SLC4A4	-0.8135
RPL38	-0.28
HTF9C	-0.0993333333333333
AP2A2	0.687625
ZBTB46	-0.5255
MAP7D1	0.6255
AOX1	-1.88416666666667
CYR61	-0.101
DTNA	0.0874285714285714
JRKL	-1.558
TMOD3	0.53125
EEA1	-0.0655
ADCK5	0.522
IL1R1	4.066
KLK3	0.1935
HRSP12	0.3395
KTN1	1.334
LOH11CR2A	0.8331
RELL2	-1.261
MAB21L1	0.7915
C20orf59	-0.799
PHKB	0.998
ADAM2	-1.48633333333333
TBC1D8B	0.338833333333333
FAM13A1	-0.5103125
LAPTM4B	-0.413
LCN8	0.14
TMEM147	0.3845
SYT4	0.163833333333333
XPO7	-1.345
C9orf62	0.3885
GPR75	0.3405
TRIM5	-1.06275
APOC1	-0.867
RNASE4	1.215
PARD6B	0.281375
ARID1A	0.391416666666667
TPD52L3	0.2964
RRAGB	1.72683333333333
RCN2	-0.5425
HIST2H2BE	0.270125
STARD7	0.85425
SHMT2	-1.95275
KIAA1751	0.227
MLYCD	0.215375
LOC162632	0.897
UQCRH	-1.64975
RP11-217H1.1	0.4623125
SDHA	-1.14366666666667
NCLN	-0.7508
ZNF17	0.2825
RCBTB2	-2.08125
VEGFB	-0.4618
RP4-747L4.3	0.034
COLQ	0.7828
MPN2	-0.591166666666667
DRG2	0.0985
KLRB1	2.32675
ALPK2	-0.593
DNASE2B	0.29425
FLJ23834	0.382333333333333
AXUD1	0.1845
SAFB	0.3442
NSUN4	-0.2965
RFX2	1.21216666666667
MAPK8IP1	-0.489333333333333
FANCD2	-0.393142857142857
ANKZF1	-1.3055
C19orf50	-0.7765
DUSP8	0.106125
SENP5	-0.313625
NFKBIL2	-0.176
LBR	-2.610875
IGFL1	0.484
LZTS2	0.29925
IL2RG	-1.136125
CCDC51	0.393
KLF3	0.00599999999999999
ANKRD37	-1.366
KCTD14	-0.218666666666667
FZR1	-0.15875
SLC44A4	2.999
ESPL1	-0.970375
GMPR2	0.0987
TBC1D19	-0.7545
ERGIC1	0.942111111111111
ERBB4	4.7369
TSPAN32	-0.0405
MAP4	-0.013625
GPHN	1.858
SLC6A2	-0.429625
HIVEP1	-0.14125
DFFB	-0.2913
EIF4EBP2	0.518625
DMRT1	-0.85075
HSPB6	1.2455
IER2	-0.386333333333333
AIFM1	0.3125
WWC2	-1.35508333333333
MRPL4	-0.92875
FLJ21062	0.629833333333333
EPB41L4A	1.10541666666667
SH2D6	0.0775
TAF4B	-1.10175
GAL3ST3	-0.3815
MALT1	-1.85416666666667
RTDR1	0.30975
ARVCF	-0.211875
MEX3B	-2.2225
FBXO16	-0.015
KIF7	-1.51875
C1QC	3.71983333333333
ZNF783	-0.392333333333333
ZNF85	0.535
MMP13	2.6435
KIAA0329	0.495375
RTP3	-0.7295
ZBED3	0.2335
CLGN	-0.47525
SLC25A37	-2.32766666666667
hCG_18290	-0.17075
OR5AS1	0.115
SMARCC2	0.58425
FAM109A	-0.369333333333333
CCDC12	0.28
USF2	0.7201
DEPDC7	-2.42475
C20orf24	-0.762
JMJD3	0.364
DSP	2.45685714285714
SLIC1	0.161125
FAM20A	0.0215
IRF2BP2	1.32075
ZNF230	-0.4085
MSN	-1.65571428571429
SLC9A5	-2.293
EPDR1	-1.0364
MUSK	0.507333333333333
ZNF434	1.041
SMARCD1	-0.624666666666667
ZFP106	1.076
ZNF347	-0.4008
GTF2E1	0.1485
