Hybridization REF	TCGA-AN-A0AS-01A-11R-A00Z-07
PIGL	-1.779625
HUS1	0.046
SFRS6	-0.109916666666667
C17orf77	0.6495
UIMC1	-0.449666666666667
FXYD2	-1.8631
LOC283152	-0.55175
ZNF667	-1.44
ZCCHC12	-0.904
TFEC	2.2063
ATP7B	-0.132333333333333
POLD2	-0.491333333333333
RG9MTD1	-0.10775
ACOT2	-0.737333333333333
HIST1H4I	0.1625
PPARGC1A	-2.2241
ETFA	-1.5723
POLRMT	-0.212
ZNF146	0.31975
MIA2	-1.3785
KLHL6	-0.670166666666667
HOXB5	2.33525
NENF	0.331
CUGBP1	1.186
PRSS22	2.10633333333333
CASC4	1.3962
CUL4B	-0.3299
CENPJ	-1.3415
PITX1	2.42666666666667
FLJ31033	0.139333333333333
CELSR3	-1.939
ZNF568	-0.14225
ITSN1	-0.247666666666667
EHBP1L1	-0.305833333333333
C19orf2	-1.02375
DCTN1	0.27175
LIN28B	-3.904
TNKS2	-0.343
C1QBP	-1.184875
CADPS2	1.8045
SRMS	0.64375
GJA9	0.567666666666667
MGC24975	-1.3115
TRIM45	-1.43666666666667
TSP50	0.35775
TCP1	-1.205
TMED7	0.6173
CMA1	0.667
CENPL	-1.266
PTCRA	0.1335
FST	-2.5595
VWCE	-3.052
PAWR	0.1145
ABCC12	0.261833333333333
LDLR	-1.4265
ASTN2	0.2829
LOC441212	-0.900375
GPATCH8	-0.35375
TANC2	-0.313416666666667
KIF4A	-2.0575
C18orf18	-1.3415
PGM1	-0.9075
KIAA0258	2.392
CPD	0.0785
SNCAIP	-1.47425
DCT	-3.92966666666667
HLA-DOA	2.64468181818182
OR11L1	0.5745
UPK1B	-0.131
DNAJB4	-1.0785
UGT1A8	-0.26025
HIST1H4L	-1.961
PECR	-1.69883333333333
HSPA2	1.66725
WFIKKN1	-2.348
SERP1	1.609
SYDE2	1.69975
TACR2	0.794
NUP85	-1.2425
CD177	0.089
LGR5	-1.97333333333333
PIGG	-1.47025
PTHR1	-0.1225
RAB5A	0.6599
FLJ13224	0.089
USP9Y	-1.701
C7orf53	-0.1625
LRP1B	-0.851
XAF1	0.8274
ABCG8	-0.86
ANKDD1A	-0.147
DAND5	-2.085
SPAG6	0.053
LINCR	0.8465
ZDHHC22	-1.083
CCDC60	0.6805
THOC7	-1.24333333333333
TCTA	1.3436
OR8K3	0.3555
NY-REN-7	-0.68875
B2M	1.12666666666667
C6orf141	-0.34925
LPPR4	1.83625
SQLE	-0.643375
SEPHS1	-0.309
BTBD14B	0.5055
PLRG1	-0.37925
SPG7	-0.5163125
ZNF614	-0.1835
PARD6G	0.9265
INPP5B	-0.6399
GRPEL2	-0.082
PPID	-0.8286
TRIM56	-0.22025
UBE2J1	0.388375
IL20RA	1.95075
LOC387856	0.1975
C1orf107	1.21325
UTS2R	1.1315
C19orf22	0.21725
SAFB2	-0.522
KIAA0652	1.048875
KLRG1	-1.658
MS4A8B	-0.078
FRAG1	0.02775
KIAA1546	-0.17925
E2F4	-0.6766
CLEC4M	0.2075
BTBD14A	0.10675
KIAA0999	0.5126
GYPA	-3.2345
TAC1	-0.4149
TRAIP	-1.46416666666667
KIAA0232	-0.4223
ERCC8	-1.574625
GPX4	0.1605
KIAA0368	-0.137
GPR157	-0.118666666666667
CTAGE4	0.506
C9orf30	-0.6145
OR52A1	0.519
HSP90B3P	0.278
ALG9	-0.5549
BTBD10	0.05425
SDK2	-0.00375
BAIAP3	1.81125
RABGGTB	-0.174375
ANKRD40	-0.202166666666667
KRT74	-0.863
CALCOCO2	-0.309714285714286
SNCA	-2.37925
TMSL8	-4.367875
C2orf53	0.79
ESRRB	0.02
ARHGAP26	-0.87025
TDRD9	-1.828
HRAS	0.824666666666667
KLRC4	-2.153
JAGN1	0.033
BSDC1	0.30425
RNF43	-3.1853
NDUFAF1	0.04875
PHF12	0.05125
OR1L3	0.307
FOLR2	2.38708333333333
LYZL6	0.4402
tcag7.1260	-1.2415
WSB1	-1.29166666666667
PROS1	-1.1246
OSTN	1.1465
PSMB8	0.14375
SOCS4	-0.639375
DDIT4L	0.56125
MAS1	0.6355
MGC34796	1.08075
CSHL1	0.15
TBCCD1	0.117
ZBTB7C	0.1205
AP2S1	-0.414125
P15RS	-0.4394
VAT1	-0.3081
SHANK3	1.16716666666667
TUFM	-0.383333333333333
THEG	-0.135
KRT34	-1.92075
SGSM3	1.0075
TOMM22	-0.193375
SOCS3	1.25733333333333
CPO	1.225
POP4	0.0885
BHLHB3	2.9365
MALL	-0.044
OR1B1	0.609
PARK2	0.180833333333333
GPR124	1.235875
LCE1E	0.754
RUVBL2	-0.3655
CGRRF1	0.3978
ACPL2	0.65275
WNT10B	-1.95075
BAIAP2L2	-2.006
ISCA1	0.237
C1orf125	-0.349875
RPAP1	-0.9425
RAI16	-0.462
RPL27	-0.46925
NLRP9	0.0405
EPN1	0.4605
LOC388610	-1.191
SLC35A1	0.3839
GAL	-2.94675
SLC14A2	0.544
RDH11	-1.09783333333333
FAM138F	0.506
AUH	0.30875
FLJ40243	0.014
C14orf129	0.461666666666667
MBD2	-0.24
ABHD14B	0.33325
PIGT	-0.54325
ALS2CR4	-1.148375
ALAS1	-0.0726
FOXO1	0.978666666666667
CRLF3	-1.005625
C20orf107	-0.2725
FARS2	0.5125
CCDC28A	0.0445
NPHP3	-0.85775
OR13F1	0.6825
TSEN54	-1.119
DEFB106B	0.0527
OR8B4	0.5075
STH	0.30025
ZC3H14	0.39725
CBX2	-0.0535
TMEM49	-1.2525
C6orf21	0.777
FLJ20920	0.166875
CRTAP	-0.271785714285714
DDX50	0.3255
STYXL1	-0.2335
BLVRB	-0.5635
LOC147650	0.445166666666667
MMP24	0.78625
GRID1	1.5055
BANF1	-0.396
CTAGEP	0.2675
HMBS	-1.8965
SLC25A24	0.343166666666667
C14orf50	0.21325
MRO	1.7415
SLC25A15	-0.176
FAM84B	2.2337
TDP1	-0.106
C16orf78	-0.331
C11orf57	0.358125
RFK	-0.311625
ZFYVE9	-0.4775
STCH	0.6466
WIBG	0.5075
LOC283871	-0.726666666666667
GBA2	0.5025
NDUFB3	-1.03225
HSD17B13	-1.0615
GRIN3A	0.913166666666667
FMNL1	-0.338666666666667
SEPT7	-0.7029
GNLY	3.0515
GRAMD1C	-1.17083333333333
ZNF165	0.17325
USP38	0.18275
FAM83A	-3.1565
C14orf24	0.619166666666667
ARMCX3	1.31525
ARHGDIB	1.02983333333333
AK1	0.50625
KIAA1045	-0.36025
DNAJB13	-0.214833333333333
NEU2	-0.0955
HIST1H4B	-0.473333333333333
FAM20B	-0.4727
HES2	1.36371428571429
FAM73B	0.0106
LOC388381	-0.25
INTS7	-1.52745454545455
AMPH	1.94725
ZNF775	0.27975
UCKL1	-0.798333333333333
C10orf97	0.56
C1orf161	0.30675
ALDH1L1	-1.838
FLJ39378	-0.406625
SLC23A1	-3.759
RBM4B	0.4835
THAP4	0.439333333333333
OGFRL1	1.59025
KIAA0831	0.23175
PPP1R15A	0.806666666666667
C1orf96	-0.741714285714286
C12orf11	-2.7125
BMF	1.1575
MAN1A1	-0.9125
KIAA1600	0.727166666666667
NLGN4X	-0.5855
ALOX12	-1.09883333333333
RB1CC1	0.3702
NEIL2	-0.4177
EIF4E	0.266090909090909
ABHD5	-0.413
EXOC4	-0.782666666666667
CIP29	-0.321833333333333
BATF2	0.2225
SLC29A4	-0.57675
HTR4	0.4725
EMB	-1.492
TRAF6	0.76175
LMNB1	-1.70325
FAM19A5	0.16275
SHE	1.01325
PIK3C2B	-0.0405
C15orf15	-0.3747
USP15	-0.0546
TCEAL2	-0.33625
C5orf39	-0.640166666666667
PTGER2	-0.1625
SLC31A1	-0.561625
IFT172	-0.30225
ADAM29	0.56825
GFOD1	0.44525
ST7L	0.1665
C15orf26	-2.14575
PKN3	-0.90225
CNTD1	2.44866666666667
COMMD1	-0.323625
NTRK2	1.772
FOXN3	0.7195
MFGE8	0.1538
PFKFB2	1.84083333333333
TAS2R4	0.00475000000000001
ENTHD1	3.5675
PRMT5	-0.83925
MGC16384	-0.614
LOC442229	-0.494
TSKU	0.738
KRTCAP3	2.671625
PDLIM1	0.3607
KCNS2	0.34075
RNF126	-0.1285
CEP63	0.0755
CLIC4	-0.188875
hCG_1990170	-0.721
ACR	0.7992
KLK7	-0.229
ALOX5AP	4.022
RIPK3	3.96575
TAS2R9	0.358
C19orf18	1.195
BIRC6	-0.336785714285714
ZNF16	1.805
RFT1	0.39
SLC8A2	0.4685
TACC1	-0.02375
ITGAD	1.053
SAMHD1	0.4125
SH3PXD2B	1.751
EPC2	0.8205
C20orf85	1.103625
ATP13A2	0.0441666666666667
KRT4	1.004875
CAPNS1	-0.25525
MDM2	0.05675
PCDH20	3.814
KCNK9	0.757
OR2C1	0.106
KLHDC3	-0.559166666666667
IPPK	0.8655
EFHD2	0.020125
GALR3	1.06075
NBEA	-1.67916666666667
ABCA6	1.9892
CLDN3	2.274
AKT2	-0.138428571428571
EGFR	-0.844
RBM16	0.27275
ZDHHC3	0.00959999999999997
SLC25A4	-1.111
CYB5B	-1.14933333333333
CPXM1	1.269
NDRG1	1.46730769230769
FLJ43826	0.33275
OR5L2	0.371333333333333
FARP2	-0.1924
MRPL46	-0.65475
LDHAL6B	0.277833333333333
MAPKAPK3	0.3995
NCAM2	-2.557
PRKD2	0.527666666666667
ZFP36L1	1.1489
CYSLTR1	-2.4415
OR4C3	0.54
HIST1H2AJ	1.173
CCNB2	-2.16566666666667
ZNF10	-1.04375
TMEM175	0.595
FAM134A	1.1845
TIGD4	-0.736
PCNP	-0.36125
MGC39715	0.16
LQK1	-1.12075
CREB1	0.0939
TMPRSS3	-0.28675
C4orf32	1.03375
LAT	-1.48266666666667
KCNA3	0.083
SKIV2L2	-1.33825
ROPN1B	-4.0085
tcag7.23	0.424
CDT1	-2.103
ZHX2	1.21
CD28	-1.267
ZNF624	0.70275
SEPT2	0.0896666666666667
SOHLH2	-1.5245
MCOLN3	-0.168875
UNQ1945	1.1035
MASP2	-1.287
ZNRF3	0.0275
GPATCH3	0.17075
AGL	2.345
QRICH2	-0.04
PSD4	0.7315
CCNB1IP1	-1.93975
ENPP7	-0.06725
OBFC1	-0.62025
KCNG3	-3.44
C14orf79	1.369
ENPEP	1.795
SCT	3.2265
SKI	1.253625
SEC61G	0.26475
CAPN11	-0.28525
ATXN7L3	0.183
DBNDD1	0.353166666666667
FAIM	-0.08575
ANKRD36	-1.213
GABRP	-0.585
TACSTD2	2.1745
EIF3J	-0.43325
PPP2R2A	-0.9825
TEKT4	-0.0841666666666667
PVALB	-3.51916666666667
F10	-2.65
FAM134C	0.8166
COMP	5.510875
EFCBP1	-2.7969375
SCLT1	-1.368375
TAL1	-1.112
ACSL1	1.1305
ABCC5	-0.240916666666667
ABL1	-0.405055555555556
RBBP7	-0.301666666666667
PTPRG	0.42825
NCOR1	-0.4812
SPINK4	0.333666666666667
TXNRD1	-0.8247
TNRC15	0.2245
C9orf138	0.977875
UBE2H	0.1065
BRDT	0.368666666666667
C8orf31	0.203
CCNE2	-1.65881818181818
SLC6A8	0.59275
CALCR	-4.32625
PPP1CB	0.669416666666667
ABHD8	0.7075
ARF5	-0.0644
SLC24A4	1.10225
CCT3	-0.392
ZNF121	-0.443
SLC3A2	-0.4186
OR13A1	0.6215
SLC5A10	0.27675
RAD50	-1.175375
IER5	0.036625
MTHFD1L	-1.49975
MBTPS2	0.67975
MVK	-1.2985
NCL	0.078
PSMD10	-0.60875
MOBP	0.661375
FLJ32894	0.479
HRH1	0.127166666666667
C5orf30	0.6745
NUDT16L1	0.4453
RASGRP3	3.4735
PRKRIP1	-0.8724
CCDC75	-0.93575
LOC253970	0.15625
KIAA1239	0.417
MED21	-0.81925
SYT11	0.553666666666667
NTSR2	0.295
EGFL11	0.264
CXorf59	0.189
OR2A25	-0.17725
SPTBN2	-0.05925
LRMP	-2.00133333333333
RNF111	-0.07725
PTH	-0.242
LOC619208	-0.121166666666667
KIAA0895	0.1855
RANBP5	-0.9475
P2RY10	-0.734166666666667
NME5	0.791166666666667
DDX21	-0.57275
LRSAM1	-0.1705
HDAC11	1.15033333333333
VMO1	3.8995
NOLA2	-0.243833333333333
ADAR	0.618166666666667
MTO1	-2.0145
SF4	0.935666666666667
P2RX1	-0.0661666666666667
HBM	0.52425
EN2	1.127
C14orf172	1.45975
TM9SF2	0.6781
INHBE	-0.915333333333333
TCTE3	0.00525000000000007
TOX2	-3.35925
CTAGE3	-0.256
HBB	4.2388
MED15	-0.112166666666667
CASR	0.27875
C6orf66	-1.46716666666667
MTPN	-1.046875
UNC50	-0.7195
C21orf33	-0.09675
IRF2	0.959
PGR	-2.501
GPR84	2.993
CROCCL1	-2.9005
SRPX	-0.15925
BRE	-0.0223333333333333
FGF10	1.43025
SDC3	0.412166666666667
ZRSR1	0.361666666666667
DKFZP434P211	0.272375
SOX6	0.367
RPUSD2	0.08125
C14orf173	1.20341666666667
MAPK11	-0.100666666666667
TBC1D22A	1.0345
FAM123A	-0.4645
COL4A6	-4.42
TOMM70A	0.04175
NAB1	-0.660625
MGC16385	0.012
TSPAN18	-0.0145
MED31	-0.9725
PLG	-0.087
CAPSL	0.429
ZNF532	1.7187
ASB14	-0.37125
CA8	0.697
NUDT16P	2.409
SLFN11	-1.0045
LRRIQ2	-0.999875
NOL7	-0.168
BRMS1L	-0.473
JARID1A	0.0845
PANK2	-0.511
ICAM3	-1.06075
MDS1	-0.104
TAF8	-0.7425
RNF139	0.59975
ZNF594	-0.2445
ADAM8	4.433375
SFTPC	-0.097375
MAN2B2	0.697875
RGS12	-0.15825
EIF1AY	-4.804
LRRIQ1	-1.72616666666667
GPR150	1.16075
CCDC21	-1.23716666666667
PRRG3	0.501
SAA4	-4.022
RAPGEF5	0.6375
ZCCHC2	0.6205
MGC39372	1.086
PPP4R2	0.649666666666667
CDCA2	-2.53666666666667
OR4D5	0.241833333333333
PTGFRN	1.2314
SIGLEC5	2.44816666666667
C19orf61	0.178666666666667
NMUR2	0.675
KIAA1586	-2.1225
DAGLA	-0.545833333333333
CHCHD6	-0.7165
GPR32	1.05
NEUROD6	0.247
SLC2A4RG	-0.087375
CA5B	0.85675
FBXL3	1.51625
MPHOSPH9	-2.208
HMG2L1	0.024
HCN4	0.584666666666667
CEACAM19	0.46325
SH2D4B	-0.264333333333333
HFE2	-1.6925
TGM4	0.2806
LYPD2	0.32225
TBC1D15	0.21675
MRPS21	-0.1154
NONO	-0.4729
CLEC5A	3.45375
ITCH	0.3616
MGAT3	-2.138
MBP	0.568875
RPP25	-0.61775
SOSTDC1	-2.9605
HRC	-1.91625
TRIM48	-0.2025
TMEM133	0.439
ECEL1P2	-0.68425
HOXC11	1.009
DOK5	-0.4225
HELZ	-0.13
LOC348180	-0.13125
MGC33894	0.70175
ADRB3	0.154
DMD	0.100583333333333
PTRH2	-1.0275
MPEG1	3.46266666666667
NDUFA12	-1.26366666666667
KRTAP2-4	0.152
STAMBPL1	-1.634
ADCY2	1.07016666666667
UNQ6125	-0.021
KLHL20	-0.114166666666667
SRM	-0.434
OTC	-0.0225
TMIE	0.683666666666667
SNX8	1.97875
LIPK	0.911
CHURC1	-0.5215
KLC2	0.526166666666667
HDAC1	-1.077
FAM128A	-0.0675
FNDC3B	0.7066
MTCP1	-0.963666666666667
WFDC10B	0.1827
PCDHGB3	-0.071
ATRNL1	-2.9792
CAV2	-0.4045
MED26	-0.244666666666667
DUS1L	0.13625
CHRM3	-1.734875
NEK9	0.0275
WARS2	-0.63975
TBX22	-0.416
TOMM40	-0.5755
RP6-213H19.1	-0.442666666666667
TUBGCP5	-0.71975
IGSF6	5.1175
TPPP	1.50666666666667
UNQ6190	0.579
GSTM5	0.770875
BTD	0.406
PDCD1LG2	0.2805
SNRPB2	0.233166666666667
ERICH1	-1.351875
APOA4	-1.45525
HOXA11	-0.61375
NARG1	0.02575
MKX	-0.94775
RAB28	-0.799785714285714
PKP3	1.45275
SH3GL2	-2.2125
CTSO	2.45625
RPN2	0.466
IL28RA	-0.0736666666666667
SFMBT1	1.1445
WDR57	-0.15725
FER1L3	0.0751666666666666
HSF5	0.1185
TTC9B	0.0665
C4BPA	-2.82516666666667
ALB	-3.92842857142857
SORBS3	0.191125
UPF2	0.23
JPH1	-0.5225
AGBL2	-2.30675
DOPEY1	0.7865
TERF1	0.181666666666667
KIF22	-0.967833333333333
NINJ1	1.43975
SEC61A2	-0.650916666666667
HIST1H1D	-1.09416666666667
SFXN4	-0.4425
UCP3	0.7113
ZNF703	1.124
MYL6B	-0.45125
TREM1	3.91675
OR52E6	0.5955
CKMT2	2.27275
HLA-C	1.8885
SLC13A3	-1.32933333333333
TIMP4	-2.566
SLIT2	1.97025
RSF1	0.7905
LONRF1	-1.44542857142857
MON1A	-0.0858333333333333
CACNG6	-1.53666666666667
DPPA4	-4.639
ZSWIM3	-0.12775
ZNF804A	0.759833333333333
CCIN	1.70425
SLC25A31	-0.03325
KCNMB4	1.05
RABL5	-0.106625
GALNS	-0.0919
STX6	0.6135
HIST1H1C	0.0235
CIDEB	-0.7715
CASP4	-0.227666666666667
PDK3	-0.095
KCNJ11	1.1935
TPR	-0.76975
ZSCAN20	-0.1385
MTX2	-0.47575
HIST1H2BH	0.31475
LOC283767	1.455
LYRM7	-1.57355555555556
BRD3	1.13816666666667
HIST1H2BO	0.3265
MAGEB10	0.7115
SLC45A1	1.28775
SERPINA3	1.60795
KIAA0143	1.41975
KCNJ16	-0.0711666666666667
KRT79	0.0395
FABP2	-0.411
NUT	-0.4005
ZNF57	0.0215
FBXL4	0.059
CLEC9A	-0.219
UGT8	-1.41666666666667
BMP2K	-0.14375
MAPK4	-3.49425
SLC25A23	-0.7942
HINT1	-1.7126
KRTAP13-1	0.297
SFXN5	0.1676
CHCHD2	0.316166666666667
FAM3D	0.948
NDP	-3.535375
RHOBTB1	0.0513333333333333
SLC4A4	-2.03225
RPL38	-0.426
HTF9C	0.168166666666667
AP2A2	0.722125
ZBTB46	-0.25
MAP7D1	0.7295
AOX1	0.146333333333333
CYR61	0.23275
DTNA	-1.06621428571429
JRKL	0.4695
TMOD3	-0.33175
EEA1	-0.3192
ADCK5	1.00125
IL1R1	2.07416666666667
KLK3	0.587928571428571
HRSP12	-0.1585
KTN1	-0.12125
LOH11CR2A	0.562
RELL2	-1.3625
MAB21L1	0.7025
C20orf59	-0.840333333333333
PHKB	0.024
ADAM2	-1.735
TBC1D8B	1.65233333333333
FAM13A1	-1.057125
LAPTM4B	0.478
LCN8	0.101
TMEM147	0.3225
SYT4	0.2075
XPO7	-1.1625
C9orf62	1.5665
GPR75	0.1315
TRIM5	-0.672625
APOC1	0.924333333333333
RNASE4	1.71766666666667
PARD6B	-2.17
ARID1A	0.386583333333333
TPD52L3	-0.1623
RRAGB	0.0491666666666667
RCN2	-1.2555
HIST2H2BE	0.78225
STARD7	-0.17375
SHMT2	0.63675
KIAA1751	0.243833333333333
MLYCD	0.361
LOC162632	-1.2483
UQCRH	-1.8665
RP11-217H1.1	1.1294375
SDHA	-0.921333333333333
NCLN	0.1018
ZNF17	0.636
RCBTB2	-1.2335
VEGFB	0.3968
RP4-747L4.3	-0.491
COLQ	0.1511
MPN2	-0.748666666666667
DRG2	-0.4415
KLRB1	3.76225
ALPK2	-1.18625
DNASE2B	0.313
FLJ23834	-0.690666666666667
AXUD1	1.61433333333333
SAFB	-0.286
NSUN4	-0.641
RFX2	0.689333333333333
MAPK8IP1	-0.415166666666667
FANCD2	-1.79971428571429
ANKZF1	-0.776833333333333
C19orf50	-0.848625
DUSP8	0.5995
SENP5	-0.00949999999999999
NFKBIL2	-0.21375
LBR	-1.183875
IGFL1	1.79
LZTS2	0.143625
IL2RG	-0.893125
CCDC51	0.2745
KLF3	0.83025
ANKRD37	-0.094
KCTD14	-1.0465
FZR1	0.813583333333333
SLC44A4	4.6625
ESPL1	-1.256875
GMPR2	-0.2445
TBC1D19	-1.3835
ERGIC1	0.552296296296296
ERBB4	1.486
TSPAN32	-0.105
MAP4	0.331
GPHN	-1.31175
SLC6A2	-0.101625
HIVEP1	0.91175
DFFB	-0.5617
EIF4EBP2	1.106
DMRT1	-0.4605
HSPB6	-0.1985
IER2	-0.494166666666667
AIFM1	-0.41125
WWC2	-0.038
MRPL4	-0.67125
FLJ21062	-0.00816666666666667
EPB41L4A	0.568583333333333
SH2D6	0.291
TAF4B	-1.2745
GAL3ST3	-0.08
MALT1	-0.9825
RTDR1	-0.19175
ARVCF	0.04675
MEX3B	-0.234333333333333
FBXO16	0.37375
KIF7	-0.15425
C1QC	4.8115
ZNF783	-0.885833333333333
ZNF85	-1.10925
MMP13	5.561
KIAA0329	1.142125
RTP3	-1.264
ZBED3	-1.0965
CLGN	-3.15925
SLC25A37	-1.19308333333333
hCG_18290	0.626
OR5AS1	0.157
SMARCC2	0.513833333333333
FAM109A	0.3455
CCDC12	0.06175
USF2	0.7704
DEPDC7	-0.7455
C20orf24	-1.033
JMJD3	0.359
DSP	0.577142857142857
SLIC1	0.604875
FAM20A	1.495875
IRF2BP2	-0.085125
ZNF230	-0.026
MSN	-0.117714285714286
SLC9A5	-1.27
EPDR1	-1.0236
MUSK	0.4015
ZNF434	0.741
SMARCD1	-0.510333333333333
ZFP106	-0.31
ZNF347	-0.5039
GTF2E1	0.55375
RY1	-0.565166666666667
