Hybridization REF	TCGA-E2-A15D-01A-11R-A115-07
ROR2	0.975875
MAOA	1.264125
TNNT3	2.16333333333333
GYPC	-1.10425
C7orf33	1.3335
PLIN	4.05766666666667
LOC90826	-0.1805
RNF4	-0.1591
F8A1	0.644
PLEKHG4	-0.2695
GRB2	-0.2044
HIST1H2AD	1.03725
DUS3L	-0.425
EIF1	-0.199
RP5-1077B9.4	-0.674
FPGT	0.97675
GDF10	2.11
COQ9	-0.80075
GCC2	0.160571428571429
RARRES3	1.85525
PLXNA1	-0.1373
KIAA0100	0.2269
PMF1	0.842
FNDC1	5.1335
HS2ST1	-0.248916666666667
CRELD2	0.63025
C8G	-1.744
CD82	0.142
LIM2	-1.0875
UNQ6490	0.2385
MMP16	0.28175
DRD3	-0.21625
C5orf26	-1.14675
C11orf73	-0.903875
PTP4A2	0.809125
OR4M2	0.9455
HPCA	-1.23233333333333
SEC14L1	-0.782333333333333
CHFR	-0.5305
EMILIN1	1.1085
NDUFS4	-0.6825
COL18A1	0.281875
PDZD3	-0.3478
C9orf16	-0.152666666666667
ERBB2IP	0.2315
EMX2	4.25175
FUS	-0.336
TF	-3.2627
CLCN4	-0.633333333333333
CXorf56	-0.16225
C11orf72	-0.19875
ELAC2	-0.140166666666667
NPR1	0.47925
ASS1	-1.11466666666667
USP42	0.568625
POLR2J	-0.254
SEC23IP	0.641
UQCRC1	-0.20525
LOC729603	-0.63275
C1orf71	-0.27425
POLG	-1.8395
ADAM23	-3.258
TFR2	-0.6845
RICTOR	-1.1257
MGC39606	1.2285
C19orf55	-0.1835
SNAPC1	-1.33533333333333
GNA11	1.02425
CCDC52	-0.223666666666667
FSIP1	5.3485
UPF3A	0.054875
IGSF11	-1.09416666666667
LAGE3	0.2865
CHST6	-0.328
UNC13B	0.99
TTLL4	-0.26075
ZNF687	1.39575
SDC2	-0.7035
COX7A2	-0.551
LAMB4	0.55325
FAM24A	-0.3085
LRRTM3	-1.55516666666667
GPHB5	-0.246
OR4C13	0.158
EIF3EIP	0.182428571428571
HABP4	-0.223
TMEM125	3.743
CNTN2	0.553
ASNSD1	-0.66175
FUT4	-0.254375
ACF	-3.77275
LOC158381	0.5265
CDH8	-0.932
AGPS	-1.1395
C4orf18	3.903
PECI	-0.174416666666667
UNG	-0.61475
GSTP1	-1.89725
DCUN1D5	-0.589333333333333
DKFZP564J0863	-1.29875
SLC9A3R1	0.97925
BCDO2	0.070375
CHMP7	0.723375
REM2	1.4265
DNHD1	-0.627142857142857
FKBP4	-0.324
ZNF350	1.25825
MGC11102	-0.14025
BST1	1.0745
KISS1R	0.3035
NCR2	-0.124
DEFB125	0.374
UBE2W	0.50275
KRT15	-0.875625
C10orf99	-0.0535
SCN11A	0.285875
GFI1	-2.26075
RDHE2	4.434
FHL1	1.41683333333333
OSGEP	-0.337166666666667
GATA1	-3.76466666666667
SMC6	-1.194
TTTY14	-1.0995
LPIN3	0.0365
RPL4	0.0919
RBPMS	0.3906
PRPF3	0.438166666666667
EMR1	-2.3435
SPATA19	-0.0955
XCR1	0.5985
IRX3	2.3097
RBM6	-0.07425
KLF4	-0.43
UNC5CL	2.11225
SEBOX	0.63
BTK	-1.10125
KRCC1	1.75975
C6orf27	0.306
SYTL5	-0.307
PRND	3.55225
LOC653319	-1.029
PIGL	-1.09625
HUS1	-0.233166666666667
SFRS6	0.636166666666667
C17orf77	0.0105
UIMC1	-0.504
FXYD2	-1.7807
LOC283152	1.712
ZNF667	-1.73375
ZCCHC12	-1.15825
TFEC	2.8681
ATP7B	1.31766666666667
POLD2	-0.7755
RG9MTD1	-0.82125
ACOT2	0.457333333333333
HIST1H4I	-1.218625
PPARGC1A	-2.6965
ETFA	-1.5406
POLRMT	-0.2675
ZNF146	-0.028
MIA2	-4.2025
KLHL6	-1.194
HOXB5	1.990375
NENF	1.33366666666667
CUGBP1	0.085
PRSS22	1.61516666666667
CASC4	1.5072
CUL4B	-0.1215
CENPJ	-1.6991
PITX1	-0.439166666666667
FLJ31033	0.734166666666667
CELSR3	0.196
ZNF568	0.91175
ITSN1	-0.432666666666667
EHBP1L1	-0.411333333333333
C19orf2	-0.40025
DCTN1	0.27
LIN28B	-5.4585
TNKS2	-1.98425
C1QBP	-0.661125
CADPS2	1.38625
SRMS	0.11075
GJA9	0.226
MGC24975	0.146166666666667
TRIM45	0.838666666666667
TSP50	1.31575
TCP1	-1.42425
TMED7	-0.4561
CMA1	0.9295
CENPL	-1.30783333333333
PTCRA	-0.418
FST	-2.86225
VWCE	-3.05575
PAWR	-0.3345
ABCC12	1.927
LDLR	-1.8153
ASTN2	0.9586
LOC441212	-0.403125
GPATCH8	0.2425
TANC2	-0.589583333333333
KIF4A	-3.36225
C18orf18	-1.42075
PGM1	-0.7865
KIAA0258	-0.3845
CPD	0.66025
SNCAIP	-0.38575
DCT	-4.47683333333333
HLA-DOA	2.33881818181818
OR11L1	0.2365
UPK1B	-0.568833333333333
DNAJB4	-0.10175
UGT1A8	-0.7355
HIST1H4L	-3.275
PECR	-1.2345
HSPA2	2.642
WFIKKN1	-0.2905
SERP1	0.023125
SYDE2	1.9015
TACR2	0.5345
NUP85	-0.86775
CD177	-0.655333333333333
LGR5	-2.66266666666667
PIGG	0.0363333333333333
PTHR1	-0.166166666666667
RAB5A	0.1038
FLJ13224	-0.286
USP9Y	-2.28033333333333
C7orf53	-0.743
LRP1B	0.16575
XAF1	1.5861
ABCG8	-1.218
ANKDD1A	-0.616333333333333
DAND5	-1.307
SPAG6	0.485833333333333
LINCR	0.19425
ZDHHC22	-1.6455
CCDC60	1.411
THOC7	-1.4265
TCTA	0.7707
OR8K3	-0.00800000000000002
NY-REN-7	-1.6825
B2M	0.629166666666667
C6orf141	-0.46
LPPR4	2.6495
SQLE	-1.092125
SEPHS1	-0.9125
BTBD14B	0.274714285714286
PLRG1	-0.42775
SPG7	-0.6284375
ZNF614	-0.6395
PARD6G	0.542833333333333
INPP5B	-1.1383
GRPEL2	-0.438
PPID	-0.6065
TRIM56	0.2395
UBE2J1	-0.51275
IL20RA	5.4375
LOC387856	0.659
C1orf107	1.32325
UTS2R	0.93
C19orf22	0.69525
SAFB2	-0.210125
KIAA0652	0.0995
KLRG1	0.287166666666667
MS4A8B	2.41283333333333
FRAG1	0.63625
KIAA1546	-0.05325
E2F4	-1.1953
CLEC4M	-0.0581666666666666
BTBD14A	-1.30825
KIAA0999	0.5561
GYPA	-4.29366666666667
TAC1	1.5262
TRAIP	-1.98883333333333
KIAA0232	0.8546
ERCC8	-1.58675
GPX4	1.082
KIAA0368	-0.2375
GPR157	-0.201666666666667
CTAGE4	2.6405
C9orf30	-1.17283333333333
OR52A1	-0.0215
HSP90B3P	-0.597
ALG9	-0.5432
BTBD10	0.43125
SDK2	0.0285
BAIAP3	1.75925
RABGGTB	-1.164625
ANKRD40	-0.127833333333333
KRT74	-0.864
CALCOCO2	0.158
SNCA	-3.4955
TMSL8	-4.42875
C2orf53	-0.1395
ESRRB	-0.43725
ARHGAP26	-0.17525
TDRD9	-2.80275
HRAS	-0.0136666666666667
KLRC4	-1.881
JAGN1	-0.0501666666666667
BSDC1	0.8685
RNF43	0.184
NDUFAF1	0.54425
PHF12	0.37575
OR1L3	0.08575
FOLR2	1.70483333333333
LYZL6	0.150333333333333
tcag7.1260	-2.0135
WSB1	-1.14033333333333
PROS1	-0.8878
OSTN	0.3225
PSMB8	0.4885
SOCS4	-0.599375
DDIT4L	1.4635
MAS1	-0.125
MGC34796	1.9105
CSHL1	0.1755
TBCCD1	0.084
ZBTB7C	0.613
AP2S1	-0.73375
P15RS	0.4255
VAT1	-0.4796
SHANK3	1.8045
TUFM	0.436333333333333
THEG	-0.98425
KRT34	-1.8375
SGSM3	0.287625
TOMM22	-0.5435
SOCS3	0.676
CPO	2.015
POP4	-0.09125
BHLHB3	0.538
MALL	1.7075
OR1B1	0.2605
PARK2	-0.0506666666666667
GPR124	1.1395
LCE1E	-0.241
RUVBL2	-0.587
CGRRF1	-0.084
ACPL2	0.778
WNT10B	-2.07675
BAIAP2L2	-2.081125
ISCA1	0.1005
C1orf125	0.991375
RPAP1	-0.04925
RAI16	0.521666666666667
RPL27	-0.71925
NLRP9	-0.2365
EPN1	0.379
LOC388610	-0.005625
SLC35A1	0.5597
GAL	-3.763
SLC14A2	-0.093
RDH11	-0.507166666666667
FAM138F	-0.0805
AUH	0.283
FLJ40243	0.187666666666667
C14orf129	-0.138
MBD2	-0.326
ABHD14B	0.488
PIGT	1.163625
ALS2CR4	-0.801625
ALAS1	-0.267
FOXO1	1.48616666666667
CRLF3	-0.6665
C20orf107	-0.6175
FARS2	0.5255
CCDC28A	0.90975
NPHP3	-0.65725
OR13F1	-0.2415
TSEN54	-0.344
DEFB106B	0.2469
OR8B4	0.768
STH	2.29425
ZC3H14	-0.421
CBX2	0.503
TMEM49	-1.13975
C6orf21	-0.05
FLJ20920	2.025125
CRTAP	0.118928571428571
DDX50	-0.04075
STYXL1	0.5525
BLVRB	-0.8495
LOC147650	0.295333333333333
MMP24	0.11725
GRID1	1.826
BANF1	-0.0943333333333333
CTAGEP	0.7335
HMBS	-1.507
SLC25A24	-0.149
C14orf50	2.9895
MRO	0.0405
SLC25A15	-0.955
FAM84B	1.4553
TDP1	-0.9635
C16orf78	-0.518833333333333
C11orf57	-0.5925
RFK	-0.445875
ZFYVE9	-0.596625
STCH	-1.4969
WIBG	0.702
LOC283871	-0.194333333333333
GBA2	-0.245
NDUFB3	-0.863
HSD17B13	-1.5075
GRIN3A	0.7555
FMNL1	-0.369666666666667
SEPT7	-0.486
GNLY	2.9115
GRAMD1C	1.6745
ZNF165	0.49925
USP38	0.4255
FAM83A	-4.04066666666667
C14orf24	0.25
ARMCX3	0.711
ARHGDIB	0.191333333333333
AK1	0.244375
KIAA1045	0.49875
DNAJB13	0.0755
NEU2	0.219
HIST1H4B	-2.40216666666667
FAM20B	-0.3327
HES2	0.535928571428571
FAM73B	-0.193
LOC388381	-0.26975
INTS7	0.698909090909091
AMPH	2.64525
ZNF775	0.3055
UCKL1	-0.756333333333333
C10orf97	-0.65425
C1orf161	0.1285
ALDH1L1	1.67575
FLJ39378	0.110875
SLC23A1	-2.3355
RBM4B	-0.0295
THAP4	0.225333333333333
OGFRL1	0.37675
KIAA0831	-0.225125
PPP1R15A	-0.185333333333333
C1orf96	-0.295285714285714
C12orf11	-1.53725
BMF	1.424375
MAN1A1	0.0455
KIAA1600	0.900666666666667
NLGN4X	0.60925
ALOX12	-1.37433333333333
RB1CC1	-0.0721
NEIL2	1.427
EIF4E	-0.302545454545455
ABHD5	0.18475
EXOC4	0.6275
CIP29	-0.775833333333333
BATF2	-0.37625
SLC29A4	-0.132625
HTR4	0.2685
EMB	-0.37375
TRAF6	0.564
LMNB1	-5.10225
FAM19A5	0.47175
SHE	2.495
PIK3C2B	1.596
C15orf15	-0.8063
USP15	-0.201
TCEAL2	-1.065
C5orf39	-0.503166666666667
PTGER2	-0.94225
SLC31A1	-1.01175
IFT172	0.949
ADAM29	0.03825
GFOD1	0.3295
ST7L	0.418666666666667
C15orf26	-2.77375
PKN3	-1.036
CNTD1	1.61766666666667
COMMD1	-0.112375
NTRK2	3.36625
FOXN3	0.293875
MFGE8	-0.4711
PFKFB2	0.482666666666667
TAS2R4	-0.10975
ENTHD1	-0.118166666666667
PRMT5	-0.614
MGC16384	-0.752875
LOC442229	-0.975
TSKU	-0.81825
KRTCAP3	3.2805
PDLIM1	1.0523
KCNS2	-0.5625
RNF126	-0.438666666666667
CEP63	-0.309125
CLIC4	-0.50975
hCG_1990170	-1.32775
ACR	1.026
KLK7	-1.81533333333333
ALOX5AP	2.977125
RIPK3	3.68775
TAS2R9	-0.081
C19orf18	-0.402
BIRC6	0.0483571428571429
ZNF16	1.0475
RFT1	-0.49025
SLC8A2	-0.9285
TACC1	-0.184125
ITGAD	1.493
SAMHD1	0.382
SH3PXD2B	0.9209
EPC2	1.254
C20orf85	5.15825
ATP13A2	0.3505
KRT4	0.036625
CAPNS1	0.044
MDM2	-0.665833333333333
PCDH20	2.96675
KCNK9	0.4935
OR2C1	-0.377
KLHDC3	-0.844
IPPK	1.393
EFHD2	-0.727
GALR3	0.337
NBEA	1.6955
ABCA6	3.8208
CLDN3	1.51216666666667
AKT2	-0.569928571428571
EGFR	-2.0681
RBM16	0.15275
ZDHHC3	0.2398
SLC25A4	-0.196166666666667
CYB5B	-1.44416666666667
CPXM1	-0.8535
NDRG1	-1.62661538461538
FLJ43826	0.03675
OR5L2	-0.0322
FARP2	0.7723
MRPL46	-0.271916666666667
LDHAL6B	-0.5995
MAPKAPK3	-0.507833333333333
NCAM2	-0.8105
PRKD2	0.615
ZFP36L1	1.3407
CYSLTR1	-0.56875
OR4C3	-0.1425
HIST1H2AJ	0.3365
CCNB2	-3.15988888888889
ZNF10	-0.233625
TMEM175	0.324
FAM134A	0.98
TIGD4	0.6605
PCNP	-0.7485
MGC39715	-0.07375
LQK1	-0.26475
CREB1	0.5138
TMPRSS3	2.43325
C4orf32	0.4125
LAT	-1.26958333333333
KCNA3	-0.4615
SKIV2L2	-0.58575
ROPN1B	-1.9245
tcag7.23	-0.341
CDT1	-3.258875
ZHX2	1.284
CD28	-3.52
ZNF624	1.47175
SEPT2	0.11125
SOHLH2	0.761625
MCOLN3	-0.67375
UNQ1945	0.1045
MASP2	-1.2095
ZNRF3	-0.4882
GPATCH3	0.01
AGL	3.39575
QRICH2	-0.401
PSD4	1.94833333333333
CCNB1IP1	-1.799
ENPP7	-0.388
OBFC1	0.40975
KCNG3	-3.21725
C14orf79	1.57116666666667
ENPEP	1.50933333333333
SCT	1.45
SKI	0.832625
SEC61G	-1.66475
CAPN11	0.6365
ATXN7L3	0.2005
DBNDD1	-0.168166666666667
FAIM	-0.16325
ANKRD36	-0.6815
GABRP	1.185
TACSTD2	1.31766666666667
EIF3J	-0.40625
PPP2R2A	0.03125
TEKT4	0.534333333333333
PVALB	-2.08583333333333
F10	-3.33416666666667
FAM134C	0.8995
COMP	4.71025
EFCBP1	-3.90207142857143
SCLT1	-0.811125
TAL1	-0.9591
ACSL1	2.07725
ABCC5	-0.321916666666667
ABL1	-0.574277777777778
RBBP7	-0.7585
PTPRG	0.1155
NCOR1	0.1731
SPINK4	-0.7755
TXNRD1	-2.0486
TNRC15	0.363125
C9orf138	1.809125
UBE2H	0.846666666666667
BRDT	1.07683333333333
C8orf31	0.00775
CCNE2	-2.81654545454545
SLC6A8	-1.2855
CALCR	-4.41075
PPP1CB	0.566916666666667
ABHD8	0.094
ARF5	0.3589
SLC24A4	0.8095
CCT3	0.484
ZNF121	-0.22925
SLC3A2	-0.8694
OR13A1	0.1995
SLC5A10	0.41725
RAD50	0.035625
IER5	0.5465
MTHFD1L	-2.425875
MBTPS2	-0.077
MVK	-0.532125
NCL	-0.3653
PSMD10	-0.808
MOBP	0.309875
FLJ32894	0.245
HRH1	-0.677833333333333
C5orf30	1.63525
NUDT16L1	1.5866
RASGRP3	3.89366666666667
PRKRIP1	0.1869
CCDC75	-0.41825
LOC253970	0.4325
KIAA1239	3.564
MED21	-0.78675
SYT11	0.673166666666667
NTSR2	-0.212
EGFL11	0.4045
CXorf59	2.675
OR2A25	0.4245
SPTBN2	-1.50675
LRMP	-1.61416666666667
RNF111	0.526
PTH	-0.094
LOC619208	1.17366666666667
KIAA0895	1.41175
RANBP5	-0.936
P2RY10	0.6755
NME5	4.3775
DDX21	-1.41
LRSAM1	0.829
HDAC11	0.896666666666667
VMO1	1.447
NOLA2	-0.286
ADAR	0.949916666666667
MTO1	-1.01233333333333
SF4	0.2905
P2RX1	-0.417166666666667
HBM	-0.04
EN2	1.0945
C14orf172	-0.03
TM9SF2	0.2961
INHBE	-1.227
TCTE3	-0.48575
TOX2	-2.56
CTAGE3	0.26175
HBB	3.6404
MED15	-0.5195
CASR	0.24925
C6orf66	-1.49383333333333
MTPN	-0.37675
UNC50	-0.20425
C21orf33	0.20025
IRF2	0.456125
PGR	3.08583333333333
GPR84	1.64575
CROCCL1	-1.288
SRPX	-0.66475
BRE	0.0873333333333333
FGF10	5.34525
SDC3	0.140166666666667
ZRSR1	0.801333333333333
DKFZP434P211	1.02025
SOX6	null
RPUSD2	0.5285
C14orf173	-0.746833333333333
MAPK11	0.4275
TBC1D22A	0.3965
FAM123A	-1.9405
COL4A6	-1.50016666666667
TOMM70A	-0.47675
NAB1	-0.181875
MGC16385	-0.44125
TSPAN18	-0.233333333333333
MED31	-0.7695
PLG	-1.286
CAPSL	5.135
ZNF532	1.4466
ASB14	0.65025
CA8	0.1895
NUDT16P	1.6835
SLFN11	-0.4695
LRRIQ2	-1.005125
NOL7	-0.667333333333333
BRMS1L	-0.931875
JARID1A	0.0946666666666667
PANK2	-1.01825
ICAM3	-0.564
MDS1	-0.37675
TAF8	-0.3635
RNF139	0.8375
ZNF594	-0.695
ADAM8	2.468
SFTPC	-0.262625
MAN2B2	1.516125
RGS12	1.091375
EIF1AY	-4.76175
LRRIQ1	1.16283333333333
GPR150	1.20975
CCDC21	-1.28733333333333
PRRG3	0.43025
SAA4	-4.3615
RAPGEF5	1.809875
ZCCHC2	0.354916666666667
MGC39372	-0.5695
PPP4R2	-0.198666666666667
CDCA2	-3.04066666666667
OR4D5	0.4165
PTGFRN	0.6721
SIGLEC5	1.39483333333333
C19orf61	-0.083
NMUR2	0.05
KIAA1586	-1.19566666666667
DAGLA	0.206
CHCHD6	-0.701
GPR32	0.216
NEUROD6	0.29225
SLC2A4RG	0.6334375
CA5B	0.4205
FBXL3	1.37025
MPHOSPH9	-1.42325
HMG2L1	0.06775
HCN4	0.669
CEACAM19	0.40575
SH2D4B	0.449666666666667
HFE2	-1.1375
TGM4	0.1086
LYPD2	-0.09975
TBC1D15	0.04275
MRPS21	0.0579
NONO	-1.2044
CLEC5A	1.896
ITCH	-0.7117
MGAT3	-0.668
MBP	-0.609375
RPP25	-0.61075
SOSTDC1	-4.12075
HRC	-0.9615
TRIM48	-0.375
TMEM133	-0.12
ECEL1P2	-1.308
HOXC11	2.1115
DOK5	-0.4375
HELZ	-0.103166666666667
LOC348180	-1.2575
MGC33894	0.32775
ADRB3	-0.128
DMD	0.239416666666667
PTRH2	-0.93425
MPEG1	2.74883333333333
NDUFA12	-0.9145
KRTAP2-4	-0.0250833333333333
STAMBPL1	-1.532
ADCY2	-1.35083333333333
UNQ6125	0.3025
KLHL20	0.886833333333333
SRM	-1.24325
OTC	-0.30875
TMIE	0.136666666666667
SNX8	-0.62975
LIPK	1.5355
CHURC1	0.5925
KLC2	0.187166666666667
HDAC1	-0.1775
FAM128A	0.151
FNDC3B	-1.2071
MTCP1	-0.57
WFDC10B	-0.7973
PCDHGB3	-0.454
ATRNL1	-3.1862
CAV2	0.115375
MED26	0.201166666666667
DUS1L	0.33725
CHRM3	-1.154
NEK9	0.8655
WARS2	-0.043
TBX22	-0.596
TOMM40	-1.0325
RP6-213H19.1	-2.134
TUBGCP5	-0.29475
IGSF6	5.02575
TPPP	1.39233333333333
UNQ6190	0.022
GSTM5	0.85675
BTD	1.05333333333333
PDCD1LG2	0.2405
SNRPB2	-0.9235
ERICH1	-0.0125
APOA4	-1.8355
HOXA11	-0.87425
NARG1	-0.449875
MKX	3.24625
RAB28	-0.145571428571429
PKP3	1.34825
SH3GL2	0.72825
CTSO	3.12125
RPN2	-0.5574375
IL28RA	0.145833333333333
SFMBT1	0.145
WDR57	-0.281875
FER1L3	1.06133333333333
HSF5	0.0594999999999999
TTC9B	0.02475
C4BPA	-3.6785
ALB	-5.02958333333333
SORBS3	0.992875
UPF2	-0.1795
JPH1	-0.067
AGBL2	1.808
DOPEY1	1.061
TERF1	-0.326166666666667
KIF22	-0.183833333333333
NINJ1	1.2275
SEC61A2	-0.593583333333333
HIST1H1D	-1.42133333333333
SFXN4	-0.254875
UCP3	0.5716
ZNF703	1.4595
MYL6B	-0.3215
TREM1	1.557
OR52E6	0.339
CKMT2	3.712
HLA-C	1.3365
SLC13A3	-2.27483333333333
TIMP4	1.6905
SLIT2	2.8565
RSF1	-0.317222222222222
LONRF1	-0.201285714285714
MON1A	0.121
CACNG6	-1.9275
DPPA4	-5.65983333333333
ZSWIM3	-0.41725
ZNF804A	0.019
CCIN	1.3725
SLC25A31	-0.82375
KCNMB4	-0.21175
RABL5	1.035
GALNS	-0.6753
STX6	1.141625
HIST1H1C	-0.0655
CIDEB	-0.310875
CASP4	0.278666666666667
PDK3	-0.8836
KCNJ11	2.3565
TPR	0.33075
ZSCAN20	-0.6155
MTX2	-0.71375
HIST1H2BH	0.22375
LOC283767	2.01775
LYRM7	-1.27027777777778
BRD3	0.445166666666667
HIST1H2BO	0.38925
MAGEB10	0.271
SLC45A1	2.0765
SERPINA3	1.1451
KIAA0143	1.022
KCNJ16	-0.854333333333333
KRT79	-0.112
FABP2	-2.395
NUT	-1.7445
ZNF57	-0.378
FBXL4	0.36875
CLEC9A	2.2775
UGT8	-1.6965
BMP2K	-0.401
MAPK4	-2.1545
SLC25A23	-0.7333
HINT1	-0.7359
KRTAP13-1	-0.0435
SFXN5	0.8448
CHCHD2	-0.152166666666667
FAM3D	1.0385
NDP	1.96925
RHOBTB1	0.0106666666666667
SLC4A4	-1.47225
RPL38	-0.317
HTF9C	0.115333333333333
AP2A2	0.683125
ZBTB46	0.17
MAP7D1	0.296625
AOX1	-0.963
CYR61	0.587083333333333
DTNA	0.686571428571429
JRKL	-0.926
TMOD3	0.2665
EEA1	-0.2562
ADCK5	0.2345
IL1R1	0.814833333333333
KLK3	0.0988571428571428
HRSP12	-0.0185
KTN1	0.38225
LOH11CR2A	0.982
RELL2	-0.996
MAB21L1	1.65375
C20orf59	-0.788
PHKB	-0.52325
ADAM2	-2.98483333333333
TBC1D8B	0.515166666666667
FAM13A1	-1.3331875
LAPTM4B	-1.62333333333333
LCN8	-0.13
TMEM147	0.054
SYT4	3.26383333333333
XPO7	-0.2435
C9orf62	1.5715
GPR75	-0.391
TRIM5	-0.367125
APOC1	-0.699666666666667
RNASE4	1.175
PARD6B	-1.308625
ARID1A	0.606833333333333
TPD52L3	0.1939
RRAGB	0.649333333333333
RCN2	-0.636333333333333
HIST2H2BE	0.49275
STARD7	-0.11675
SHMT2	-1.411
KIAA1751	-0.313
MLYCD	0.200375
LOC162632	0.4725
UQCRH	-1.912
RP11-217H1.1	-0.735
SDHA	-0.868
NCLN	-0.6635
ZNF17	0.361
RCBTB2	-1.4375
VEGFB	0.2268
RP4-747L4.3	0.93
COLQ	0.342
MPN2	-0.55
DRG2	-0.05475
KLRB1	4.573
ALPK2	-1.9165
DNASE2B	0.43625
FLJ23834	2.25783333333333
AXUD1	0.9855
SAFB	-0.0344
NSUN4	0.0655
RFX2	0.6655
MAPK8IP1	1.07516666666667
FANCD2	-1.61335714285714
ANKZF1	-1.04733333333333
C19orf50	-0.3875
DUSP8	1.68475
SENP5	-0.92125
NFKBIL2	-0.74975
LBR	-2.034375
IGFL1	0.2355
LZTS2	0.367375
IL2RG	-0.5805
CCDC51	0.06275
KLF3	0.10325
ANKRD37	-1.47725
KCTD14	-0.248833333333333
FZR1	0.305416666666667
SLC44A4	3.5966
ESPL1	-1.498625
GMPR2	-0.0719
TBC1D19	0.302666666666667
ERGIC1	0.272592592592593
ERBB4	4.5869
TSPAN32	0.104833333333333
MAP4	0.20425
GPHN	-0.30425
SLC6A2	-0.279875
HIVEP1	0.90825
DFFB	-0.1144
EIF4EBP2	0.269875
DMRT1	-0.83925
HSPB6	0.6495
IER2	0.779666666666667
AIFM1	-0.59575
WWC2	-0.283166666666667
MRPL4	-0.663
FLJ21062	1.7035
EPB41L4A	1.22166666666667
SH2D6	0.031
TAF4B	-0.79025
GAL3ST3	-0.196
MALT1	-0.8455
RTDR1	1.2155
ARVCF	0.823875
MEX3B	-0.217166666666667
FBXO16	1.63775
KIF7	-0.48225
C1QC	3.70433333333333
ZNF783	0.4165
ZNF85	-0.57525
MMP13	5.1065
KIAA0329	0.7395
RTP3	-1.4705
ZBED3	0.57275
CLGN	-0.78075
SLC25A37	-0.919041666666667
hCG_18290	-0.24125
OR5AS1	-0.089
SMARCC2	0.57175
FAM109A	0.250333333333333
CCDC12	0.35825
USF2	0.3315
DEPDC7	-3.00875
C20orf24	-1.1345
JMJD3	0.405
DSP	1.04007142857143
SLIC1	0.336625
FAM20A	1.056875
IRF2BP2	1.355
ZNF230	-0.514
MSN	-0.407714285714286
SLC9A5	-1.8995
EPDR1	-0.5105
MUSK	0.296666666666667
ZNF434	0.603
SMARCD1	-0.543833333333333
ZFP106	-0.07025
ZNF347	0.6144
