Hybridization REF	TCGA-A8-A08A-01A-11R-A00Z-07
MRPL46	-0.551083333333333
LDHAL6B	-0.780333333333333
MAPKAPK3	0.287
NCAM2	-1.11775
PRKD2	0.443166666666667
ZFP36L1	1.7099
CYSLTR1	0.23025
OR4C3	0.04525
HIST1H2AJ	2.0285
CCNB2	-2.68811111111111
ZNF10	0.04575
TMEM175	0.6275
FAM134A	0.9225
TIGD4	0.2175
PCNP	-0.45925
MGC39715	0.827
LQK1	-0.668
CREB1	0.5893
TMPRSS3	0.92275
C4orf32	1.18875
LAT	-1.9485
KCNA3	-0.958
SKIV2L2	-0.94625
ROPN1B	-4.96125
tcag7.23	-0.455
CDT1	-3.012875
ZHX2	1.060875
CD28	-4.15025
ZNF624	0.6475
SEPT2	0.414333333333333
SOHLH2	-0.51325
MCOLN3	-0.631285714285714
UNQ1945	0.661
MASP2	-0.4015
ZNRF3	0.0126
GPATCH3	-0.143
AGL	1.1415
QRICH2	-0.8255
PSD4	1.20916666666667
CCNB1IP1	-1.5855
ENPP7	0.237
OBFC1	0.5405
KCNG3	-2.30533333333333
C14orf79	0.939583333333333
ENPEP	1.244
SCT	1.624
SKI	0.778625
SEC61G	-1.8425
CAPN11	1.63075
ATXN7L3	-0.0675
DBNDD1	1.00833333333333
FAIM	0.11675
ANKRD36	-0.622
GABRP	-0.494
TACSTD2	1.44716666666667
EIF3J	-0.569
PPP2R2A	-0.48675
TEKT4	0.0448333333333333
PVALB	-2.34816666666667
F10	-2.6865
FAM134C	0.9534
COMP	4.619
EFCBP1	-3.56453333333333
SCLT1	0.10475
TAL1	-1.4701
ACSL1	0.41775
ABCC5	0.366666666666667
ABL1	-0.399333333333333
RBBP7	0.0401666666666667
PTPRG	-1.15675
NCOR1	0.291
SPINK4	4.135
TXNRD1	-1.6051
TNRC15	1.237625
C9orf138	2.034375
UBE2H	0.460166666666667
BRDT	0.11
C8orf31	0.05375
CCNE2	-2.58063636363636
SLC6A8	-1.32875
CALCR	-3.66225
PPP1CB	0.560333333333333
ABHD8	0.419
ARF5	0.1065
SLC24A4	0.0875
CCT3	0.64825
ZNF121	0.027125
SLC3A2	-0.7458
OR13A1	0.631
SLC5A10	0.428
RAD50	0.165875
IER5	-0.039
MTHFD1L	-2.4295
MBTPS2	0.0395
MVK	-0.380375
NCL	-0.00900000000000001
PSMD10	-0.66
MOBP	-0.0204285714285714
FLJ32894	0.076
HRH1	-0.165333333333333
C5orf30	0.796
NUDT16L1	1.6046
RASGRP3	3.1945
PRKRIP1	-0.6059
CCDC75	0.05175
LOC253970	1.12625
KIAA1239	1.71566666666667
MED21	-0.49975
SYT11	0.43625
NTSR2	-1.143
EGFL11	0.264
CXorf59	0.8755
OR2A25	0.05625
SPTBN2	0.4395
LRMP	-1.05866666666667
RNF111	0.00275
PTH	0.2355
LOC619208	0.820166666666667
KIAA0895	1.30875
RANBP5	-0.954125
P2RY10	0.809
NME5	4.79283333333333
DDX21	-1.064
LRSAM1	0.8035
HDAC11	1.31716666666667
VMO1	2.57575
NOLA2	0.0136666666666667
ADAR	0.93625
MTO1	-0.822
SF4	0.212333333333333
P2RX1	-0.5185
HBM	0.26625
EN2	1.443
C14orf172	0.12575
TM9SF2	0.6446
INHBE	-1.08766666666667
TCTE3	0.028
TOX2	-3.36125
CTAGE3	0.51075
HBB	3.4248
MED15	-0.453666666666667
CASR	-0.38725
C6orf66	-1.14683333333333
MTPN	0.271
UNC50	-0.34275
C21orf33	0.11
IRF2	0.73925
PGR	2.85966666666667
GPR84	3.84175
CROCCL1	-2.67175
SRPX	-2.26975
BRE	0.356333333333333
FGF10	3.56933333333333
SDC3	0.274
ZRSR1	0.406166666666667
DKFZP434P211	0.818625
SOX6	1.8735
RPUSD2	-0.000750000000000001
C14orf173	-0.2695
MAPK11	-0.201666666666667
TBC1D22A	0.621
FAM123A	-0.433
COL4A6	-0.377666666666667
TOMM70A	-0.60025
NAB1	-0.12775
MGC16385	0.8535
TSPAN18	0.355333333333333
MED31	-0.22025
PLG	-0.61825
CAPSL	1.932
ZNF532	0.2134
ASB14	0.671
CA8	0.3515
NUDT16P	2.60866666666667
SLFN11	-1.667
LRRIQ2	0.698625
NOL7	-0.641166666666667
BRMS1L	-0.8595
JARID1A	0.416833333333333
PANK2	-0.9405
ICAM3	0.01275
MDS1	-1.03675
TAF8	-0.01625
RNF139	0.41675
ZNF594	-0.099
ADAM8	3.067625
SFTPC	-0.174125
MAN2B2	1.578625
RGS12	0.63825
EIF1AY	-4.924
LRRIQ1	1.06716666666667
GPR150	1.22275
CCDC21	-1.0385
PRRG3	0.28975
SAA4	-4.0305
RAPGEF5	2.064
ZCCHC2	0.0505
MGC39372	-0.7805
PPP4R2	0.0295
CDCA2	-2.13233333333333
OR4D5	0.703666666666667
PTGFRN	1.0731
SIGLEC5	1.75883333333333
C19orf61	0.0405
NMUR2	0.2455
KIAA1586	-1.24183333333333
DAGLA	0.639166666666667
CHCHD6	-0.203
GPR32	1.132
NEUROD6	-0.171
SLC2A4RG	0.12925
CA5B	-0.47475
FBXL3	1.389
MPHOSPH9	-1.2425
HMG2L1	0.5815
HCN4	0.634666666666667
CEACAM19	-0.109
SH2D4B	0.572166666666667
HFE2	-0.6945
TGM4	0.523
LYPD2	-0.704
TBC1D15	0.1825
MRPS21	0.7437
NONO	-0.9118
CLEC5A	3.642875
ITCH	-0.4409
MGAT3	-1.83383333333333
MBP	-0.36925
RPP25	-1.3925
SOSTDC1	-3.62725
HRC	-1.88825
TRIM48	0.951
TMEM133	0.0025
ECEL1P2	-1.75275
HOXC11	-1.8875
DOK5	-0.0785
HELZ	0.172666666666667
LOC348180	-0.3065
MGC33894	0.5365
ADRB3	0.1855
DMD	-0.314
PTRH2	-0.96325
MPEG1	3.315
NDUFA12	-0.0458333333333333
KRTAP2-4	0.46375
STAMBPL1	-1.23483333333333
ADCY2	1.3675
UNQ6125	-0.1615
KLHL20	-0.00550000000000006
SRM	-1.3745
OTC	-0.163
TMIE	0.019
SNX8	-0.19225
LIPK	0.9375
CHURC1	0.725833333333333
KLC2	0.3235
HDAC1	-0.770666666666667
FAM128A	0.837333333333333
FNDC3B	-0.8529
MTCP1	-0.620666666666667
WFDC10B	-0.285
PCDHGB3	0.217
ATRNL1	-1.93377777777778
CAV2	-1.632125
MED26	-0.0101666666666667
DUS1L	0.66225
CHRM3	-1.630625
NEK9	0.426
WARS2	0.82225
TBX22	-0.742
TOMM40	-0.82575
RP6-213H19.1	-4.41716666666667
TUBGCP5	-0.6575
IGSF6	6.09125
TPPP	1.11666666666667
UNQ6190	0.4915
GSTM5	0.483875
BTD	1.49533333333333
PDCD1LG2	0.594166666666667
SNRPB2	-0.970166666666667
ERICH1	-0.60575
APOA4	-1.732125
HOXA11	-2.26075
NARG1	-0.734875
MKX	5.27525
RAB28	-0.591571428571429
PKP3	0.45225
SH3GL2	-2.14725
CTSO	3.15475
RPN2	0.253375
IL28RA	1.05766666666667
SFMBT1	0.856
WDR57	-0.46825
FER1L3	0.967666666666667
HSF5	-0.0764
TTC9B	0.47275
C4BPA	-3.697
ALB	-4.51915384615385
SORBS3	0.231125
UPF2	-0.7495
JPH1	-0.444
AGBL2	0.10175
DOPEY1	1.135
TERF1	-0.5545
KIF22	-0.243
NINJ1	1.614
SEC61A2	-0.672833333333333
HIST1H1D	-0.0758333333333333
SFXN4	0.125
UCP3	0.3427
ZNF703	1.10966666666667
MYL6B	-0.846
TREM1	2.308
OR52E6	0.4975
CKMT2	-0.4595
HLA-C	2.444
SLC13A3	-2.4395
TIMP4	-0.55825
SLIT2	1.60825
RSF1	0.101
LONRF1	-1.02128571428571
MON1A	0.233
CACNG6	-1.79433333333333
DPPA4	-5.266
ZSWIM3	0.53275
ZNF804A	0.476
CCIN	1.25825
SLC25A31	-0.132333333333333
KCNMB4	-0.02125
RABL5	0.578
GALNS	0.7244
STX6	1.20375
HIST1H1C	-0.288833333333333
CIDEB	0.22675
CASP4	-0.474833333333333
PDK3	-0.0543
KCNJ11	2.9865
TPR	0.09775
ZSCAN20	-1.107
MTX2	-0.14275
HIST1H2BH	0.4665
LOC283767	0.959
LYRM7	-0.934666666666667
BRD3	0.824333333333333
HIST1H2BO	0.16625
MAGEB10	-0.752
SLC45A1	2.38725
SERPINA3	3.03755
KIAA0143	1.522
KCNJ16	-1.41
KRT79	0.35175
FABP2	-0.973
NUT	-0.57475
ZNF57	-0.96325
FBXL4	0.360125
CLEC9A	2.58
UGT8	-1.11366666666667
BMP2K	1.51475
MAPK4	-3.621
SLC25A23	-0.2677
HINT1	-0.2078
KRTAP13-1	0.5435
SFXN5	-0.0167
CHCHD2	-0.151166666666667
FAM3D	1.113
NDP	-1.138
RHOBTB1	0.240333333333333
SLC4A4	-2.23825
RPL38	-0.41925
HTF9C	-0.730666666666667
AP2A2	0.042125
ZBTB46	-0.5355
MAP7D1	0.228125
AOX1	-2.37066666666667
CYR61	-0.074
DTNA	0.346857142857143
JRKL	-1.901
TMOD3	-0.82875
EEA1	-0.1031
ADCK5	-0.483
IL1R1	0.649
KLK3	0.228846153846154
HRSP12	-0.69325
KTN1	0.085
LOH11CR2A	-0.5551
RELL2	-1.79675
MAB21L1	0.92025
C20orf59	-1.12616666666667
PHKB	-0.02
ADAM2	-3.0652
TBC1D8B	1.21416666666667
FAM13A1	-1.2269375
LAPTM4B	-1.39016666666667
LCN8	0.1845
TMEM147	0.777
SYT4	-0.5925
XPO7	-0.5415
C9orf62	1.4895
GPR75	0.164
TRIM5	-0.374
APOC1	0.226166666666667
RNASE4	-0.504333333333333
PARD6B	-0.8435
ARID1A	0.494166666666667
TPD52L3	-0.307333333333333
RRAGB	1.22933333333333
RCN2	-0.755333333333333
HIST2H2BE	1.7398125
STARD7	-0.17725
SHMT2	-0.9965
KIAA1751	-0.2388
MLYCD	0.2095
LOC162632	-0.9262
UQCRH	-1.47625
RP11-217H1.1	0.513875
SDHA	-0.951833333333333
NCLN	-0.0904
ZNF17	0.442666666666667
RCBTB2	-1.44875
VEGFB	-0.4667
RP4-747L4.3	0.5845
COLQ	0.757
MPN2	-0.9495
DRG2	0.0875
KLRB1	4.74725
ALPK2	-2.2265
DNASE2B	0.117
FLJ23834	3.11533333333333
AXUD1	0.783333333333333
SAFB	0.0202
NSUN4	-0.00499999999999999
RFX2	-0.8755
MAPK8IP1	0.9035
FANCD2	-1.46742857142857
ANKZF1	-1.55333333333333
C19orf50	-0.788625
DUSP8	1.28675
SENP5	-0.792125
NFKBIL2	-0.64875
LBR	-1.307875
IGFL1	0.2385
LZTS2	0.615
IL2RG	-0.49175
CCDC51	0.2105
KLF3	-0.039375
ANKRD37	-1.9695
KCTD14	-2.12483333333333
FZR1	0.652416666666667
SLC44A4	4.043
ESPL1	-0.94025
GMPR2	-0.075
TBC1D19	-0.397166666666667
ERGIC1	0.606592592592593
ERBB4	3.488
TSPAN32	0.703833333333333
MAP4	0.145
GPHN	-0.003
SLC6A2	-0.019375
HIVEP1	0.09125
DFFB	-0.3035
EIF4EBP2	0.222875
DMRT1	-0.0223333333333334
HSPB6	0.0497500000000001
IER2	-0.267
AIFM1	0.23975
WWC2	0.0313333333333334
MRPL4	-0.36725
FLJ21062	2.5835
EPB41L4A	1.16008333333333
SH2D6	0.267
TAF4B	-0.80375
GAL3ST3	-0.164
MALT1	-1.1525
RTDR1	0.20275
ARVCF	0.167375
MEX3B	-1.47433333333333
FBXO16	1.91975
KIF7	-1.586
C1QC	4.318
ZNF783	-0.660333333333333
ZNF85	-0.2825
MMP13	4.974
KIAA0329	0.1715
RTP3	-1.072
ZBED3	0.225
CLGN	0.3965
SLC25A37	-1.16433333333333
hCG_18290	-0.1535
OR5AS1	0.3115
SMARCC2	0.69475
FAM109A	0.184
CCDC12	-0.363
USF2	0.6877
DEPDC7	-1.921
C20orf24	-1.06733333333333
JMJD3	0.3645
DSP	1.33857142857143
SLIC1	0.733875
FAM20A	0.701
IRF2BP2	1.173
ZNF230	-0.201
MSN	-0.668214285714286
SLC9A5	-1.3895
EPDR1	-2.0569
MUSK	-0.0348333333333333
