Hybridization REF	TCGA-A8-A07E-01A-11R-A034-07
PPIL1	-0.9055
GBP7	0.4215
STK17A	-0.5038
ABR	0.39225
OR9G1	-0.548
FOXE1	-0.5605
CNGA3	1.8745
GML	0.621
CD38	-3.56275
ZDHHC6	-0.225833333333333
NEFH	-2.79025
CTDSP2	1.10116666666667
PGBD5	-1.725
CCNY	0.529428571428571
RMND5B	0.15675
ZNF257	-2.18075
FLJ22167	-0.153125
EXOSC7	-0.570166666666667
ROR2	1.604625
MAOA	-0.750875
TNNT3	1.177
GYPC	0.01775
C7orf33	0.5585
PLIN	3.613
LOC90826	-0.81375
RNF4	0.3643
F8A1	0.535166666666667
PLEKHG4	-0.925
GRB2	0.0169
HIST1H2AD	-0.8955
DUS3L	-0.383333333333333
EIF1	-0.31
RP5-1077B9.4	-1.09133333333333
FPGT	1.27075
GDF10	3.90083333333333
COQ9	-0.6595
GCC2	0.323142857142857
RARRES3	2.325
PLXNA1	0.034
KIAA0100	-0.5644
PMF1	0.16125
FNDC1	5.397
HS2ST1	-0.227416666666667
CRELD2	0.59175
C8G	-2.201
CD82	0.9575
LIM2	-1.1325
UNQ6490	-0.31
MMP16	0.43525
DRD3	-0.3875
C5orf26	-1.24525
C11orf73	-0.381875
PTP4A2	1.21175
OR4M2	0.2255
HPCA	-1.17916666666667
SEC14L1	-0.668333333333333
CHFR	0.02225
EMILIN1	1.35075
NDUFS4	-0.42825
COL18A1	0.755625
PDZD3	-0.2933
C9orf16	-0.124833333333333
ERBB2IP	0.274833333333333
EMX2	4.92525
FUS	-0.475
TF	-4.0154
CLCN4	0.291666666666667
CXorf56	0.29725
C11orf72	0.4875
ELAC2	-0.601666666666667
NPR1	1.08425
ASS1	-1.929
USP42	0.081125
POLR2J	-0.832
SEC23IP	1.20716666666667
UQCRC1	-0.041
LOC729603	-0.50925
C1orf71	-0.41
POLG	-1.4555
ADAM23	-2.35875
TFR2	-1.34525
RICTOR	-1.3221
MGC39606	0.64975
C19orf55	-0.441875
SNAPC1	-1.455
GNA11	1.212375
CCDC52	-0.1915
FSIP1	4.761
UPF3A	-0.187
IGSF11	-2.29516666666667
LAGE3	0.434
CHST6	-1.3375
UNC13B	0.572375
TTLL4	-1.0735
ZNF687	0.108375
SDC2	0.4956
COX7A2	-0.1775
LAMB4	0.43025
FAM24A	-0.053
LRRTM3	-1.03866666666667
GPHB5	-0.15275
OR4C13	0.0455
EIF3EIP	-0.1495
HABP4	0.085
TMEM125	3.34125
CNTN2	0.73775
ASNSD1	-0.13425
FUT4	0.580125
ACF	-4.10575
LOC158381	0.3815
CDH8	0.29
AGPS	-0.569
C4orf18	3.93375
PECI	0.6585
UNG	-0.62575
GSTP1	0.854875
DCUN1D5	-2.383
DKFZP564J0863	-0.14325
SLC9A3R1	0.1745
BCDO2	-1.039125
CHMP7	-0.31925
REM2	0.7035
DNHD1	-0.881125
FKBP4	-0.477625
ZNF350	1.77475
MGC11102	0.501125
BST1	1.51525
KISS1R	0.3975
NCR2	0.192
DEFB125	0.396
UBE2W	0.842125
KRT15	0.43325
C10orf99	-0.066
SCN11A	0.898375
GFI1	-1.64375
RDHE2	3.433
FHL1	0.684166666666667
OSGEP	-0.232333333333333
GATA1	-3.68116666666667
SMC6	-0.968
TTTY14	-1.26175
LPIN3	0.055
RPL4	-0.1712
RBPMS	-0.3781
PRPF3	-0.0466666666666667
EMR1	-2.2065
SPATA19	-0.2645
XCR1	0.5725
IRX3	0.9248
RBM6	-0.44375
KLF4	0.9578
UNC5CL	-0.8045
SEBOX	-0.1805
BTK	-0.84575
KRCC1	0.47875
C6orf27	0.478
SYTL5	-0.761
PRND	5.179375
LOC653319	-1.6785
PIGL	-2.03125
HUS1	0.345166666666667
SFRS6	0.321
C17orf77	0.2755
UIMC1	-0.422666666666667
FXYD2	-1.7437
LOC283152	-0.8105
ZNF667	-0.74625
ZCCHC12	-0.3515
TFEC	2.6357
ATP7B	2.08083333333333
POLD2	-1.035
RG9MTD1	-0.30325
ACOT2	0.331166666666667
HIST1H4I	-1.125375
PPARGC1A	-0.0996
ETFA	-1.0977
POLRMT	-0.4715
ZNF146	0.392
MIA2	-1.97
KLHL6	-0.943166666666667
HOXB5	0.62725
NENF	0.627833333333333
CUGBP1	-0.09725
PRSS22	0.823666666666667
CASC4	1.2745
CUL4B	0.013
CENPJ	-1.3316
PITX1	-0.000666666666666672
FLJ31033	0.535166666666667
CELSR3	-2.03933333333333
ZNF568	0.597
ITSN1	0.401583333333333
EHBP1L1	-0.599833333333333
C19orf2	-0.2315
DCTN1	-0.04875
LIN28B	-4.2
TNKS2	-0.421
C1QBP	-0.78125
CADPS2	1.8935
SRMS	0.487
GJA9	0.238666666666667
MGC24975	-1.44883333333333
TRIM45	-1.12333333333333
TSP50	0.10475
TCP1	-0.5705
TMED7	0.5165
CMA1	2.8815
CENPL	-0.326833333333333
PTCRA	-0.141
FST	-3.26775
VWCE	-3.043
PAWR	-0.56075
ABCC12	1.57633333333333
LDLR	-0.4483
ASTN2	1.1781
LOC441212	-1.00575
GPATCH8	-0.3305
TANC2	-0.114166666666667
KIF4A	-1.12475
C18orf18	-0.314
PGM1	-0.4085
KIAA0258	0.59675
CPD	0.153
SNCAIP	0.2605
DCT	-4.56
HLA-DOA	2.54581818181818
OR11L1	0.2035
UPK1B	-0.332666666666667
DNAJB4	-0.012375
UGT1A8	-0.4895
HIST1H4L	-0.392
PECR	-1.56683333333333
HSPA2	2.292
WFIKKN1	-1.658
SERP1	0.9865
SYDE2	1.69825
TACR2	0.539
NUP85	-0.82425
CD177	-0.354
LGR5	-1.37916666666667
PIGG	-0.0426666666666667
PTHR1	-0.0636666666666667
RAB5A	0.5298
FLJ13224	-0.272
USP9Y	-2.36666666666667
C7orf53	-0.7765
LRP1B	5.9335
XAF1	1.8063
ABCG8	0.322
ANKDD1A	-0.274333333333333
DAND5	-1.8925
SPAG6	1.4385
LINCR	2.30875
ZDHHC22	-1.4805
CCDC60	-0.3445
THOC7	-1.2425
TCTA	0.5499
OR8K3	0.54125
NY-REN-7	-0.587333333333333
B2M	1.01966666666667
C6orf141	-0.74275
LPPR4	4.1155
SQLE	-0.73925
SEPHS1	1.53625
BTBD14B	0.434142857142857
PLRG1	-0.6975
SPG7	-0.7444375
ZNF614	-0.228333333333333
PARD6G	1.252
INPP5B	-0.5608
GRPEL2	0.0755
PPID	-1.202
TRIM56	-0.21025
UBE2J1	0.1995
IL20RA	2.934
LOC387856	0.17775
C1orf107	0.474083333333333
UTS2R	0.50375
C19orf22	-0.01675
SAFB2	0.053625
KIAA0652	0.231625
KLRG1	0.119
MS4A8B	2.484
FRAG1	-0.4165
KIAA1546	0.23075
E2F4	-1.0103
CLEC4M	0.669166666666667
BTBD14A	-0.33275
KIAA0999	0.3928
GYPA	-3.83866666666667
TAC1	0.2113
TRAIP	-1.3115
KIAA0232	1.0088
ERCC8	-0.96325
GPX4	0.34175
KIAA0368	-0.193375
GPR157	-0.681
CTAGE4	1.236
C9orf30	-0.5375
OR52A1	0.213
HSP90B3P	-0.326
ALG9	-0.7093
BTBD10	0.931
SDK2	0.08325
BAIAP3	-0.9285
RABGGTB	-1.090625
ANKRD40	-0.4345
KRT74	0.016
CALCOCO2	-0.293642857142857
SNCA	-2.433
TMSL8	-2.157125
C2orf53	-0.2785
ESRRB	-0.15525
ARHGAP26	-1.215625
TDRD9	-2.14625
HRAS	-0.0375
KLRC4	-2.35
JAGN1	-0.2865
BSDC1	0.6555
RNF43	-0.4464
NDUFAF1	0.62875
PHF12	0.6125
OR1L3	0.3585
FOLR2	2.73591666666667
LYZL6	0.551833333333333
tcag7.1260	-1.726
WSB1	-2.038
PROS1	0.5824
OSTN	0.5465
PSMB8	0.3275
SOCS4	-0.061875
DDIT4L	1.68275
MAS1	0.286
MGC34796	0.6705
CSHL1	0.202
TBCCD1	-0.158333333333333
ZBTB7C	0.2435
AP2S1	-0.2725
P15RS	-0.1418
VAT1	-0.2863
SHANK3	1.44833333333333
TUFM	-0.350833333333333
THEG	-0.639
KRT34	-1.5275
SGSM3	-0.13
TOMM22	-0.373875
SOCS3	1.08133333333333
CPO	0.3945
POP4	0.365
BHLHB3	1.48775
MALL	2.047
OR1B1	0.149
PARK2	0.353333333333333
GPR124	1.627
LCE1E	-0.017
RUVBL2	-0.70925
CGRRF1	0.3196
ACPL2	0.89325
WNT10B	-1.448375
BAIAP2L2	-1.6625
ISCA1	0.3515
C1orf125	0.509875
RPAP1	-0.882
RAI16	-0.1475
RPL27	-0.849
NLRP9	-0.5155
EPN1	0.1255
LOC388610	-1.77925
SLC35A1	0.2696
GAL	-3.44125
SLC14A2	0.51125
RDH11	-0.796166666666667
FAM138F	-0.683
AUH	-0.1935
FLJ40243	-0.22025
C14orf129	0.815666666666667
MBD2	-0.279
ABHD14B	-0.37475
PIGT	0.640375
ALS2CR4	-0.12075
ALAS1	-0.1254
FOXO1	1.21066666666667
CRLF3	-0.52325
C20orf107	-0.1295
FARS2	0.71625
CCDC28A	0.11775
NPHP3	-1.25375
OR13F1	-0.4745
TSEN54	-1.05825
DEFB106B	0.150888888888889
OR8B4	-0.19
STH	1.32475
ZC3H14	-0.260125
CBX2	-0.07
TMEM49	-0.90125
C6orf21	0.3035
FLJ20920	-1.028375
CRTAP	0.347571428571428
DDX50	0.07175
STYXL1	-0.521
BLVRB	-1.02366666666667
LOC147650	-1.1315
MMP24	0.18275
GRID1	2.0815
BANF1	-0.5335
CTAGEP	0.408
HMBS	-2.35825
SLC25A24	0.7485
C14orf50	0.927
MRO	0.647166666666667
SLC25A15	-0.7065
FAM84B	1.4909
TDP1	-0.3255
C16orf78	-0.322166666666667
C11orf57	-0.255875
RFK	-0.340375
ZFYVE9	-0.4025
STCH	-0.377
WIBG	0.3315
LOC283871	-0.501666666666667
GBA2	-0.2656
NDUFB3	-0.37225
HSD17B13	-0.4
GRIN3A	0.598833333333333
FMNL1	-0.417166666666667
SEPT7	0.1218
GNLY	2.4125
GRAMD1C	1.932
ZNF165	-0.75775
USP38	0.63175
FAM83A	-2.8945
C14orf24	0.785083333333333
ARMCX3	1.256
ARHGDIB	0.634833333333333
AK1	0.272875
KIAA1045	0.83
DNAJB13	-1.01466666666667
NEU2	0.5
HIST1H4B	-0.858166666666667
FAM20B	-0.1474
HES2	2.05878571428571
FAM73B	-0.6869
LOC388381	-0.42675
INTS7	-0.139
AMPH	2.27175
ZNF775	-0.12825
UCKL1	-0.759666666666667
C10orf97	1.1205
C1orf161	0.59
ALDH1L1	-0.32325
FLJ39378	-0.26525
SLC23A1	-2.79
RBM4B	-0.05325
THAP4	0.1525
OGFRL1	0.34125
KIAA0831	-0.135375
PPP1R15A	-0.391333333333333
C1orf96	0.067
C12orf11	-2.41525
BMF	1.418
MAN1A1	0.168625
KIAA1600	1.0045
NLGN4X	-0.3415
ALOX12	-0.965333333333333
RB1CC1	-0.1292
NEIL2	0.3324
EIF4E	-0.151363636363636
ABHD5	0.32825
EXOC4	-0.571166666666667
CIP29	0.289833333333333
BATF2	-0.35525
SLC29A4	-0.547625
HTR4	0.3445
EMB	-0.03275
TRAF6	0.93675
LMNB1	-0.592
FAM19A5	0.60825
SHE	2.75975
PIK3C2B	1.37125
C15orf15	-0.2432
USP15	0.1388
TCEAL2	0.936
C5orf39	-0.371666666666667
PTGER2	0.00575
SLC31A1	-0.523875
IFT172	0.36075
ADAM29	0.37875
GFOD1	1.00275
ST7L	0.2665
C15orf26	-2.57775
PKN3	-0.87075
CNTD1	0.9905
COMMD1	0.281125
NTRK2	3.70616666666667
FOXN3	0.693375
MFGE8	0.0245
PFKFB2	0.3905
TAS2R4	-0.456
ENTHD1	1.273
PRMT5	-0.887
MGC16384	-1.4635
LOC442229	-0.13575
TSKU	0.78475
KRTCAP3	1.69325
PDLIM1	1.0999
KCNS2	0.359
RNF126	-0.133666666666667
CEP63	-0.179625
CLIC4	0.42125
hCG_1990170	2.38675
ACR	0.5584
KLK7	0.78725
ALOX5AP	3.08775
RIPK3	4.24625
TAS2R9	0.5925
C19orf18	1.4445
BIRC6	0.132357142857143
ZNF16	1.3555
RFT1	-0.7285
SLC8A2	-0.98125
TACC1	0.75475
ITGAD	0.89725
SAMHD1	1.58
SH3PXD2B	2.0518
EPC2	0.824
C20orf85	4.777375
ATP13A2	0.562333333333333
KRT4	0.733375
CAPNS1	0.23075
MDM2	-0.291083333333333
PCDH20	2.75025
KCNK9	0.16
OR2C1	0.2125
KLHDC3	-0.654
IPPK	0.263
EFHD2	0.539375
GALR3	0.453
NBEA	1.14766666666667
ABCA6	4.21
CLDN3	0.564166666666667
AKT2	-0.697357142857143
EGFR	-0.5264
RBM16	0.357625
ZDHHC3	0.4239
SLC25A4	-1.24466666666667
CYB5B	-0.84
CPXM1	1.36375
NDRG1	-0.776923076923077
FLJ43826	0.42625
OR5L2	-0.462
FARP2	0.4355
MRPL46	-0.616416666666667
LDHAL6B	-0.287166666666667
MAPKAPK3	-0.242
NCAM2	-0.6465
PRKD2	0.527666666666667
ZFP36L1	1.1088
CYSLTR1	0.50575
OR4C3	0.10425
HIST1H2AJ	0.6165
CCNB2	-1.44
ZNF10	-0.4645
TMEM175	0.39
FAM134A	0.7255
TIGD4	-0.474
PCNP	-0.168
MGC39715	-0.00999999999999998
LQK1	-2.89625
CREB1	1.0077
TMPRSS3	-1.16325
C4orf32	1.180375
LAT	-1.12191666666667
KCNA3	-0.2265
SKIV2L2	-0.57425
ROPN1B	-0.5865
tcag7.23	-0.579
CDT1	-2.831875
ZHX2	0.8875
CD28	-1.776
ZNF624	0.617
SEPT2	0.581333333333333
SOHLH2	-2.151375
MCOLN3	0.019625
UNQ1945	0.224
MASP2	-0.9395
ZNRF3	-0.3798
GPATCH3	-0.35325
AGL	3.212
QRICH2	-0.746
PSD4	0.5405
CCNB1IP1	-1.96675
ENPP7	-0.05525
OBFC1	-0.106
KCNG3	-1.6765
C14orf79	-0.129916666666667
ENPEP	3.01566666666667
SCT	1.5265
SKI	1.09925
SEC61G	-1.167
CAPN11	0.20725
ATXN7L3	-0.43725
DBNDD1	-0.0983333333333333
FAIM	0.52975
ANKRD36	-0.0985
GABRP	3.151
TACSTD2	2.37683333333333
EIF3J	-0.222
PPP2R2A	-0.504
TEKT4	0.2245
PVALB	-3.09083333333333
F10	-0.3915
FAM134C	0.5909
COMP	4.559
EFCBP1	-1.97175
SCLT1	0.346
TAL1	-0.6102
ACSL1	0.9655
ABCC5	0.860666666666667
ABL1	-0.309444444444445
RBBP7	1.57725
PTPRG	0.35
NCOR1	-0.2614
SPINK4	-2.66633333333333
TXNRD1	-0.6316
TNRC15	0.7965
C9orf138	0.005125
UBE2H	0.859166666666667
BRDT	0.0995
C8orf31	0.051
CCNE2	-0.587818181818182
SLC6A8	-1.7825
CALCR	-4.301
PPP1CB	0.867583333333333
ABHD8	-0.4665
ARF5	0.2346
SLC24A4	0.94525
CCT3	-0.0395
ZNF121	0.640125
SLC3A2	-1.7761
OR13A1	-0.008
SLC5A10	-0.26675
RAD50	0.066125
IER5	0.27075
MTHFD1L	-1.54525
MBTPS2	0.07975
MVK	-0.5645
NCL	-0.1277
PSMD10	-0.1015
MOBP	0.193625
FLJ32894	-1.2705
HRH1	0.562833333333333
C5orf30	1.098
NUDT16L1	0.5345
RASGRP3	4.14
PRKRIP1	-0.5455
CCDC75	0.061
LOC253970	0.188
KIAA1239	1.374
MED21	0.031
SYT11	1.09258333333333
NTSR2	-0.889
EGFL11	0.7965
CXorf59	1.0015
OR2A25	0.2955
SPTBN2	0.51525
LRMP	-0.827
RNF111	-0.0155
PTH	-0.176
LOC619208	0.496166666666667
KIAA0895	0.1485
RANBP5	-0.823625
P2RY10	1.5125
NME5	3.2065
DDX21	-0.2065
LRSAM1	-0.1535
HDAC11	1.007
VMO1	1.93525
NOLA2	-0.313
ADAR	0.7115
MTO1	-1.01783333333333
SF4	0.193166666666667
P2RX1	0.3405
HBM	0.273
EN2	0.762
C14orf172	-0.013
TM9SF2	1.0422
INHBE	-1.37933333333333
TCTE3	0.227666666666667
TOX2	-2.73275
CTAGE3	0.53575
HBB	4.38
MED15	-1.06
CASR	-0.614
C6orf66	-1.04083333333333
MTPN	-0.3125
UNC50	0.02525
C21orf33	-0.25125
IRF2	0.7765
PGR	-0.564166666666667
GPR84	2.32075
CROCCL1	-2.31375
SRPX	0.09625
BRE	-0.0335
FGF10	0.49725
SDC3	0.651666666666667
ZRSR1	0.591833333333333
DKFZP434P211	-0.29225
SOX6	0.4345
RPUSD2	-0.18475
C14orf173	-0.0595833333333333
MAPK11	-0.035
TBC1D22A	0.1225
FAM123A	-1.12
COL4A6	-2.923
TOMM70A	-0.39675
NAB1	-0.111375
MGC16385	-0.6805
TSPAN18	0.844166666666667
MED31	-0.71925
PLG	-0.2225
CAPSL	3.4775
ZNF532	1.159
ASB14	-0.22525
CA8	-1.20775
NUDT16P	1.316
SLFN11	0.1855
LRRIQ2	0.017625
NOL7	-0.535
BRMS1L	-0.447625
JARID1A	0.402
PANK2	-0.33
ICAM3	0.17575
MDS1	-0.26175
TAF8	-0.62575
RNF139	0.94475
ZNF594	-0.668
ADAM8	1.93425
SFTPC	-0.20225
MAN2B2	1.281375
RGS12	0.48125
EIF1AY	-4.84725
LRRIQ1	-1.6525
GPR150	0.60125
CCDC21	-1.12416666666667
PRRG3	1.33225
SAA4	-3.3175
RAPGEF5	1.641875
ZCCHC2	0.0813333333333333
MGC39372	0.904
PPP4R2	0.042
CDCA2	-1.76616666666667
OR4D5	0.252833333333333
PTGFRN	1.3793
SIGLEC5	1.1055
C19orf61	-0.349166666666667
NMUR2	0.471
KIAA1586	-1.47566666666667
DAGLA	0.154166666666667
CHCHD6	-0.6875
GPR32	1.6255
NEUROD6	-0.191833333333333
SLC2A4RG	0.5454375
CA5B	0.60025
FBXL3	1.25125
MPHOSPH9	-1.40325
HMG2L1	0.0165
HCN4	0.334333333333333
CEACAM19	-0.25925
SH2D4B	0.2665
HFE2	-1.0745
TGM4	0.28125
LYPD2	0.149
TBC1D15	0.12275
MRPS21	-0.3374
NONO	-0.7835
CLEC5A	1.92825
ITCH	0.0154
MGAT3	0.281666666666667
MBP	0.00375000000000009
RPP25	-0.152
SOSTDC1	1.2985
HRC	-0.443
TRIM48	-0.6855
TMEM133	0.6355
ECEL1P2	-0.50325
HOXC11	0.9245
DOK5	0.85875
HELZ	0.2905
LOC348180	-0.96775
MGC33894	0.03725
ADRB3	0.2215
DMD	0.303083333333333
PTRH2	-0.653
MPEG1	3.30016666666667
NDUFA12	-0.0335
KRTAP2-4	0.174
STAMBPL1	-1.0695
ADCY2	2.0598
UNQ6125	-0.206
KLHL20	0.2775
SRM	-0.71125
OTC	-0.29275
TMIE	0.378333333333333
SNX8	-0.25575
LIPK	-0.665
CHURC1	-0.16575
KLC2	0.109166666666667
HDAC1	-0.433833333333333
FAM128A	0.458166666666667
FNDC3B	0.1799
MTCP1	-0.2305
WFDC10B	-0.0194
PCDHGB3	0.779
ATRNL1	-0.8855
CAV2	0.697625
MED26	0.0388333333333333
DUS1L	0.4345
CHRM3	-1.121
NEK9	0.35725
WARS2	0.1345
TBX22	0.9535
TOMM40	-0.9575
RP6-213H19.1	-1.16733333333333
TUBGCP5	-1.28725
IGSF6	4.9675
TPPP	0.447666666666667
UNQ6190	-0.176
GSTM5	0.796875
BTD	0.690833333333333
PDCD1LG2	0.769
SNRPB2	-0.517333333333333
ERICH1	-0.604
APOA4	-1.61375
HOXA11	-1.66275
NARG1	-0.5325
MKX	-0.40325
RAB28	-0.0948571428571428
PKP3	-0.018
SH3GL2	-2.83375
CTSO	3.03575
RPN2	0.0314375
IL28RA	-0.336833333333333
SFMBT1	0.47025
WDR57	0.058125
FER1L3	1.1345
HSF5	0.165166666666667
TTC9B	0.11325
C4BPA	-4.359
ALB	-4.32771428571429
SORBS3	0.357875
UPF2	1.7095
JPH1	-0.0135
AGBL2	-1.42525
DOPEY1	1.6495
TERF1	-0.407416666666667
KIF22	-0.561833333333333
NINJ1	1.37275
SEC61A2	1.09641666666667
HIST1H1D	-1.47333333333333
SFXN4	-0.36925
UCP3	0.1994
ZNF703	0.542666666666667
MYL6B	-0.88
TREM1	1.6365
OR52E6	-0.1295
CKMT2	2.51525
HLA-C	1.640875
SLC13A3	-1.51383333333333
TIMP4	-0.29425
SLIT2	3.8455
RSF1	0.0532777777777778
LONRF1	-1.20092857142857
MON1A	-0.0793333333333333
CACNG6	-2.12716666666667
DPPA4	-5.11183333333333
ZSWIM3	0.13525
ZNF804A	0.365833333333333
CCIN	1.72525
SLC25A31	1.10666666666667
KCNMB4	0.196
RABL5	0.53275
GALNS	-0.3725
STX6	0.652625
HIST1H1C	-3.45466666666667
CIDEB	-0.39175
CASP4	0.284166666666667
PDK3	0.2727
KCNJ11	1.341
TPR	-0.371
ZSCAN20	-0.314
MTX2	-0.313
HIST1H2BH	-0.7805
LOC283767	-0.44875
LYRM7	-1.31472222222222
BRD3	0.460833333333333
HIST1H2BO	-1.96475
MAGEB10	-0.3055
SLC45A1	0.9865
SERPINA3	0.5931
KIAA0143	1.10125
KCNJ16	0.21
KRT79	-0.27
FABP2	-0.7535
NUT	0.0605
ZNF57	0.042
FBXL4	0.322625
CLEC9A	1.8545
UGT8	-1.15516666666667
BMP2K	0.807
MAPK4	-3.18875
SLC25A23	-1.099
HINT1	0.0515
KRTAP13-1	0.5545
SFXN5	0.3061
CHCHD2	-0.0206666666666666
FAM3D	2.6715
NDP	-2.66325
RHOBTB1	0.441166666666667
SLC4A4	-0.4135
RPL38	-0.68
HTF9C	0.173166666666667
AP2A2	0.4095
ZBTB46	-0.8915
MAP7D1	0.492
AOX1	0.770666666666667
CYR61	-0.23275
DTNA	0.737642857142857
JRKL	-0.30175
TMOD3	0.653
EEA1	0.2546
ADCK5	0.2775
IL1R1	2.42116666666667
KLK3	2.02778571428571
HRSP12	-0.8085
KTN1	-0.21125
LOH11CR2A	1.0883
RELL2	-1.8605
MAB21L1	1.40375
C20orf59	-1.33583333333333
PHKB	-0.57075
ADAM2	-1.98333333333333
TBC1D8B	1.42916666666667
FAM13A1	-0.7736875
LAPTM4B	-0.70275
LCN8	0.0255
TMEM147	0.11
SYT4	-0.421833333333333
XPO7	-0.828
C9orf62	0.6435
GPR75	-0.148
TRIM5	0.202
APOC1	-1.08566666666667
RNASE4	0.860666666666667
PARD6B	-2.871875
ARID1A	0.50375
TPD52L3	0.4105
RRAGB	0.570166666666667
RCN2	-0.478333333333333
HIST2H2BE	-0.9778125
STARD7	-0.07275
SHMT2	-1.1315
KIAA1751	-0.213333333333333
MLYCD	-0.034875
LOC162632	-1.1676
UQCRH	-1.00225
RP11-217H1.1	0.499
SDHA	-1.1195
NCLN	-0.1878
ZNF17	1.00666666666667
RCBTB2	-0.9615
VEGFB	0.0697
RP4-747L4.3	1.01275
COLQ	0.1103
MPN2	-0.509833333333333
DRG2	-0.78925
KLRB1	5.57175
ALPK2	-0.56875
DNASE2B	2.85475
FLJ23834	0.310833333333333
AXUD1	0.509333333333333
SAFB	-0.1196
NSUN4	-0.01525
RFX2	0.599833333333333
MAPK8IP1	-0.849833333333333
FANCD2	-0.926571428571428
ANKZF1	-1.683
C19orf50	-0.3085
DUSP8	1.2705
SENP5	-0.14975
NFKBIL2	-0.52275
LBR	-0.375
IGFL1	1.2125
LZTS2	0.366
IL2RG	-0.310625
CCDC51	-0.55575
KLF3	0.744625
ANKRD37	-1.96275
KCTD14	-1.878
FZR1	0.258083333333333
SLC44A4	4.1297
ESPL1	-0.611125
GMPR2	-0.4897
TBC1D19	-0.0776666666666667
ERGIC1	0.868814814814815
ERBB4	3.0994
TSPAN32	0.342833333333333
MAP4	0.245625
GPHN	-0.735
SLC6A2	0.55325
HIVEP1	0.876
DFFB	-0.0183
EIF4EBP2	1.2505
DMRT1	-0.678
HSPB6	0.07825
IER2	0.219833333333333
AIFM1	-0.359
WWC2	0.0800833333333333
MRPL4	-0.7095
FLJ21062	0.9145
EPB41L4A	1.18466666666667
SH2D6	0.1415
TAF4B	-1.318
GAL3ST3	-0.3745
MALT1	-0.374
RTDR1	-0.29875
ARVCF	0.097625
MEX3B	0.803166666666667
FBXO16	-0.0935
KIF7	-0.59275
C1QC	3.99433333333333
ZNF783	-0.176833333333333
ZNF85	0.65075
MMP13	3.347
KIAA0329	0.650714285714286
RTP3	-0.0445
ZBED3	0.4225
CLGN	-0.5655
SLC25A37	-1.6975
hCG_18290	-0.11325
OR5AS1	-0.0385
SMARCC2	0.175
FAM109A	0.167666666666667
CCDC12	-0.158
USF2	0.3257
DEPDC7	-1.855
C20orf24	-0.384
JMJD3	0.2995
DSP	1.17035714285714
SLIC1	0.43525
FAM20A	2.296375
IRF2BP2	0.53225
ZNF230	-0.0315
MSN	0.102714285714286
SLC9A5	-1.7015
EPDR1	-1.0849
MUSK	0.457833333333333
ZNF434	-0.410666666666667
SMARCD1	-0.313666666666667
ZFP106	0.2195
ZNF347	0.3688
GTF2E1	0.239
