Hybridization REF	TCGA-AN-A0FY-01A-11R-A034-07
OR10A2	-0.24175
CST7	0.66175
CIAO1	-1.027
SELL	0.363125
OR8J3	0.286
LTBP4	-0.625
SIRT6	-0.4425
CCL19	4.4845
PPIL1	-0.646666666666667
GBP7	0.519
STK17A	-1.2354
ABR	0.29575
OR9G1	-0.682
FOXE1	-1.040875
CNGA3	0.8505
GML	0.501
CD38	-4.1945
ZDHHC6	0.1925
NEFH	0.92625
CTDSP2	1.34566666666667
PGBD5	-0.0998333333333333
CCNY	0.558571428571429
RMND5B	0.737916666666667
ZNF257	-1.69875
FLJ22167	-0.30825
EXOSC7	-0.707666666666667
ROR2	1.536875
MAOA	0.29825
TNNT3	0.552666666666667
GYPC	-1.3485
C7orf33	0.55
PLIN	3.19983333333333
LOC90826	-0.3285
RNF4	0.0415
F8A1	0.420333333333333
PLEKHG4	0.65275
GRB2	0.70655
HIST1H2AD	-1.2665
DUS3L	-1.45183333333333
EIF1	-0.848666666666667
RP5-1077B9.4	-0.5965
FPGT	1.03375
GDF10	-1.142
COQ9	0.135
GCC2	0.159857142857143
RARRES3	2.466625
PLXNA1	-0.085
KIAA0100	0.4951
PMF1	-0.1445
FNDC1	5.7575
HS2ST1	-0.173
CRELD2	-0.04675
C8G	-0.5735
CD82	0.723
LIM2	-0.495
UNQ6490	-0.232
MMP16	0.24
DRD3	-0.0495
C5orf26	-0.913
C11orf73	0.07525
PTP4A2	1.438625
OR4M2	0.155
HPCA	-0.6705
SEC14L1	-0.785833333333333
CHFR	0.104125
EMILIN1	1.122875
NDUFS4	-0.54775
COL18A1	0.245625
PDZD3	-0.3316
C9orf16	-0.7015
ERBB2IP	0.346166666666667
EMX2	3.8685
FUS	-0.85375
TF	-3.4871
CLCN4	-0.9125
CXorf56	0.482
C11orf72	0.6545
ELAC2	-0.828833333333333
NPR1	-0.65275
ASS1	-1.8585
USP42	-0.44125
POLR2J	-1.107
SEC23IP	0.476166666666667
UQCRC1	-0.23425
LOC729603	-0.52225
C1orf71	0.092625
POLG	-1.5855
ADAM23	-3.7415
TFR2	-0.13225
RICTOR	-0.48
MGC39606	-0.33625
C19orf55	-0.05825
SNAPC1	-1.22333333333333
GNA11	0.397625
CCDC52	0.053
FSIP1	0.1725
UPF3A	0.17075
IGSF11	-2.3175
LAGE3	1.41525
CHST6	-1.094
UNC13B	1.338
TTLL4	-1.4565
ZNF687	-0.30225
SDC2	-0.2032
COX7A2	-0.33325
LAMB4	-1.069
FAM24A	0.6175
LRRTM3	-1.16616666666667
GPHB5	0.10175
OR4C13	0.263
EIF3EIP	-0.260642857142857
HABP4	-0.413
TMEM125	3.36875
CNTN2	-0.12775
ASNSD1	-0.10725
FUT4	-0.424
ACF	-4.03725
LOC158381	0.038
CDH8	1.69075
AGPS	-0.972666666666667
C4orf18	2.368625
PECI	-0.999916666666667
UNG	0.089625
GSTP1	-2.03825
DCUN1D5	-0.464333333333333
DKFZP564J0863	-0.30575
SLC9A3R1	0.965875
BCDO2	1.098
CHMP7	-1.26825
REM2	0.0515
DNHD1	0.072625
FKBP4	0.058375
ZNF350	3.044
MGC11102	1.051125
BST1	0.90325
KISS1R	0.7945
NCR2	0.2145
DEFB125	0.1985
UBE2W	1.073375
KRT15	1.856625
C10orf99	0.298
SCN11A	0.16225
GFI1	-2.8635
RDHE2	4.24133333333333
FHL1	-0.740666666666667
OSGEP	0.062
GATA1	-3.75016666666667
SMC6	-0.651
TTTY14	-0.72175
LPIN3	-0.46675
RPL4	-0.8142
RBPMS	-0.1148
PRPF3	0.114333333333333
EMR1	-2.563
SPATA19	-0.251
XCR1	0.7085
IRX3	2.5745
RBM6	-0.257
KLF4	-0.6032
UNC5CL	0.46825
SEBOX	0.1325
BTK	-1.32625
KRCC1	1.272
C6orf27	0.433
SYTL5	-0.6345
PRND	2.035875
LOC653319	-0.337
PIGL	-1.163
HUS1	0.0226666666666667
SFRS6	2.42875
C17orf77	0.316
UIMC1	-0.552333333333333
FXYD2	-1.8968
LOC283152	1.85875
ZNF667	1.43725
ZCCHC12	-0.77475
TFEC	2.0835
ATP7B	0.343666666666667
POLD2	-0.317333333333333
RG9MTD1	-0.27575
ACOT2	-1.49716666666667
HIST1H4I	-0.898625
PPARGC1A	-2.6782
ETFA	-2.4455
POLRMT	-0.86075
ZNF146	0.106875
MIA2	-1.417
KLHL6	-1.30783333333333
HOXB5	-0.389625
NENF	0.223
CUGBP1	0.30225
PRSS22	1.045
CASC4	0.5826
CUL4B	0.4507
CENPJ	-0.7063
PITX1	1.34066666666667
FLJ31033	1.15916666666667
CELSR3	-0.731833333333333
ZNF568	0.745
ITSN1	0.0591666666666666
EHBP1L1	-0.2235
C19orf2	1.61875
DCTN1	0.27125
LIN28B	-4.00533333333333
TNKS2	-0.38575
C1QBP	-0.8895
CADPS2	1.764
SRMS	0.3455
GJA9	0.0595
MGC24975	-1.24683333333333
TRIM45	0.759666666666667
TSP50	-0.12625
TCP1	-0.25575
TMED7	-0.4157
CMA1	0.3475
CENPL	-0.598
PTCRA	-0.3115
FST	-4.4145
VWCE	-3.35375
PAWR	0.59325
ABCC12	0.444833333333333
LDLR	-1.8148
ASTN2	2.0093
LOC441212	-0.441125
GPATCH8	-0.37625
TANC2	-0.3685
KIF4A	-0.74775
C18orf18	-1.534
PGM1	-2.22725
KIAA0258	2.4495
CPD	0.53275
SNCAIP	-1.6695
DCT	-4.3665
HLA-DOA	1.93504545454545
OR11L1	0.499
UPK1B	-0.541
DNAJB4	-0.380375
UGT1A8	-0.572
HIST1H4L	-0.057
PECR	-1.56216666666667
HSPA2	2.45675
WFIKKN1	-0.4455
SERP1	0.286
SYDE2	2.34925
TACR2	0.675
NUP85	0.22925
CD177	1.475
LGR5	-1.69283333333333
PIGG	-0.0936666666666667
PTHR1	-1.261
RAB5A	0.0865
FLJ13224	-0.472
USP9Y	-1.3195
C7orf53	0.0875
LRP1B	-0.98475
XAF1	1.3668
ABCG8	-0.6165
ANKDD1A	0.0466666666666667
DAND5	-1.923
SPAG6	0.077
LINCR	0.31875
ZDHHC22	-1.146875
CCDC60	0.483
THOC7	-1.20883333333333
TCTA	0.6419
OR8K3	0.19125
NY-REN-7	-0.61025
B2M	0.8195
C6orf141	0.961625
LPPR4	1.692
SQLE	-0.962375
SEPHS1	0.10625
BTBD14B	0.507785714285714
PLRG1	-0.36525
SPG7	0.079375
ZNF614	0.931333333333333
PARD6G	1.7055
INPP5B	-0.6959
GRPEL2	0.180875
PPID	-0.4837
TRIM56	-0.49875
UBE2J1	-0.08175
IL20RA	1.5805
LOC387856	0.13625
C1orf107	0.4455
UTS2R	0.5865
C19orf22	-0.523
SAFB2	-0.255375
KIAA0652	0.2185
KLRG1	-0.832
MS4A8B	1.51983333333333
FRAG1	0.65475
KIAA1546	0.08625
E2F4	-0.6544
CLEC4M	-0.266
BTBD14A	-2.25125
KIAA0999	1.6622
GYPA	-3.2605
TAC1	-0.1713
TRAIP	-0.64
KIAA0232	0.7463
ERCC8	-1.02675
GPX4	0.735125
KIAA0368	0.211
GPR157	-0.169166666666667
CTAGE4	0.776
C9orf30	-1.45483333333333
OR52A1	0.3795
HSP90B3P	-0.93
ALG9	0.4046
BTBD10	1.03575
SDK2	0.0175
BAIAP3	1.2075
RABGGTB	-0.156
ANKRD40	-0.416333333333333
KRT74	-0.15
CALCOCO2	-0.611071428571429
SNCA	-3.818
TMSL8	-4.2
C2orf53	-0.3655
ESRRB	-0.318
ARHGAP26	-1.70275
TDRD9	-2.9755
HRAS	1.72033333333333
KLRC4	-2.699
JAGN1	-0.624666666666667
BSDC1	0.863
RNF43	-0.9694
NDUFAF1	-0.1955
PHF12	0.5545
OR1L3	-0.11075
FOLR2	1.4395
LYZL6	0.114
tcag7.1260	-2.1845
WSB1	0.0765
PROS1	-1.5715
OSTN	0.852
PSMB8	0.422
SOCS4	-0.27075
DDIT4L	3.41775
MAS1	-0.2735
MGC34796	-0.03525
CSHL1	0.0208333333333333
TBCCD1	0.0783333333333333
ZBTB7C	-0.0605
AP2S1	-0.357125
P15RS	-0.4571
VAT1	-0.5482
SHANK3	0.720166666666667
TUFM	-0.172333333333333
THEG	-0.42575
KRT34	-2.0565
SGSM3	-0.1615
TOMM22	-0.847875
SOCS3	0.152333333333333
CPO	0.276
POP4	1.261
BHLHB3	-0.15025
MALL	0.77075
OR1B1	0.0355
PARK2	0.1335
GPR124	0.821875
LCE1E	-0.3535
RUVBL2	-0.4485
CGRRF1	-0.2969
ACPL2	-0.51225
WNT10B	0.037125
BAIAP2L2	0.94625
ISCA1	0.3455
C1orf125	-0.1575
RPAP1	-1.33775
RAI16	-0.409
RPL27	-1.122
NLRP9	-0.1125
EPN1	0.4605
LOC388610	0.559375
SLC35A1	1.2442
GAL	-3.6995
SLC14A2	0.4925
RDH11	-0.627833333333333
FAM138F	-0.4945
AUH	0.12075
FLJ40243	0.26
C14orf129	-0.231333333333333
MBD2	0.106333333333333
ABHD14B	-0.639875
PIGT	1.77225
ALS2CR4	0.301625
ALAS1	-0.3227
FOXO1	0.701
CRLF3	-1.048625
C20orf107	1.174
FARS2	0.586
CCDC28A	0.71675
NPHP3	-1.1155
OR13F1	0.728
TSEN54	0.0425
DEFB106B	0.0608
OR8B4	0.301
STH	2.622
ZC3H14	-0.960875
CBX2	-0.487
TMEM49	-1.80525
C6orf21	0.27
FLJ20920	0.63275
CRTAP	-0.709571428571429
DDX50	-0.081
STYXL1	0.38225
BLVRB	-0.626
LOC147650	0.675
MMP24	-0.19925
GRID1	0.631166666666667
BANF1	-0.2335
CTAGEP	0.0805
HMBS	-1.3275
SLC25A24	1.32583333333333
C14orf50	0.92475
MRO	1.222
SLC25A15	-0.369
FAM84B	2.0891
TDP1	-1.0225
C16orf78	0.328333333333333
C11orf57	0.690875
RFK	-0.60275
ZFYVE9	-0.080375
STCH	-1.2972
WIBG	0.5155
LOC283871	-0.4005
GBA2	0.5428
NDUFB3	-0.434
HSD17B13	-0.42825
GRIN3A	0.736833333333333
FMNL1	-1.5495
SEPT7	-0.3028
GNLY	1.7135
GRAMD1C	0.210333333333333
ZNF165	0.48375
USP38	0.72825
FAM83A	-3.52183333333333
C14orf24	1.17516666666667
ARMCX3	-0.54125
ARHGDIB	-0.931
AK1	-0.101625
KIAA1045	0.51175
DNAJB13	-0.416666666666667
NEU2	0.708
HIST1H4B	-0.593166666666667
FAM20B	-0.2751
HES2	2.40885714285714
FAM73B	-0.004
LOC388381	-0.03775
INTS7	-0.288181818181818
AMPH	1.089
ZNF775	-0.031875
UCKL1	-1.06533333333333
C10orf97	-0.15775
C1orf161	0.09725
ALDH1L1	-1.669
FLJ39378	-0.1545
SLC23A1	-2.7245
RBM4B	0.8605
THAP4	0.213
OGFRL1	-0.1925
KIAA0831	-0.02475
PPP1R15A	-0.150833333333333
C1orf96	0.0407857142857143
C12orf11	-1.42175
BMF	1.31125
MAN1A1	-0.085625
KIAA1600	0.133666666666667
NLGN4X	-1.7215
ALOX12	-0.614333333333333
RB1CC1	0.4466
NEIL2	-0.7709
EIF4E	-0.105227272727273
ABHD5	0.16925
EXOC4	-0.6115
CIP29	0.854833333333333
BATF2	-0.28825
SLC29A4	-1.29475
HTR4	0.23325
EMB	-1.88175
TRAF6	1.2745
LMNB1	0.388
FAM19A5	-0.472125
SHE	0.87875
PIK3C2B	0.45325
C15orf15	-1.1138
USP15	0.1789
TCEAL2	-0.18225
C5orf39	0.587333333333333
PTGER2	-1.686
SLC31A1	-1.2133125
IFT172	0.28875
ADAM29	0.1505
GFOD1	-0.59075
ST7L	0.652166666666667
C15orf26	-2.778
PKN3	-1.472
CNTD1	1.1405
COMMD1	-0.262375
NTRK2	2.21258333333333
FOXN3	0.881875
MFGE8	-0.6663
PFKFB2	0.109333333333333
TAS2R4	-0.46875
ENTHD1	1.13366666666667
PRMT5	-0.903625
MGC16384	-0.388625
LOC442229	0.831
TSKU	1.97
KRTCAP3	0.733125
PDLIM1	-0.4204
KCNS2	0.095
RNF126	-0.626666666666667
CEP63	-0.31
CLIC4	0.32225
hCG_1990170	-0.58975
ACR	1.999
KLK7	-0.05975
ALOX5AP	2.6695
RIPK3	3.679
TAS2R9	0.397
C19orf18	1.1925
BIRC6	0.265357142857143
ZNF16	1.7375
RFT1	-0.723
SLC8A2	-1.06225
TACC1	-0.13425
ITGAD	-0.0375
SAMHD1	0.138
SH3PXD2B	1.2154
EPC2	1.42875
C20orf85	0.222
ATP13A2	0.683833333333333
KRT4	1.021375
CAPNS1	-0.1285
MDM2	-0.471
PCDH20	2.3665
KCNK9	0.488
OR2C1	-0.3025
KLHDC3	-0.500666666666667
IPPK	0.7435
EFHD2	0.15925
GALR3	0.66725
NBEA	1.22866666666667
ABCA6	2.3182
CLDN3	2.09666666666667
AKT2	0.190071428571429
EGFR	-2.4857
RBM16	0.698375
ZDHHC3	-0.405
SLC25A4	-1.08216666666667
CYB5B	-0.694333333333333
CPXM1	-0.24675
NDRG1	0.325538461538462
FLJ43826	0.12025
OR5L2	0.505
FARP2	0.0353
MRPL46	-0.780333333333333
LDHAL6B	0.2415
MAPKAPK3	-0.956166666666667
NCAM2	-2.698
PRKD2	-0.224166666666667
ZFP36L1	0.8658
CYSLTR1	-2.16625
OR4C3	0.31075
HIST1H2AJ	0.064
CCNB2	-1.41922222222222
ZNF10	0.442375
TMEM175	0.452
FAM134A	0.779
TIGD4	-0.599
PCNP	-0.55225
MGC39715	0.25825
LQK1	-2.5865
CREB1	0.2768
TMPRSS3	2.8605
C4orf32	0.842625
LAT	-1.98525
KCNA3	-0.241
SKIV2L2	-0.971
ROPN1B	-3.55775
tcag7.23	-0.652
CDT1	-0.994625
ZHX2	1.094
CD28	-3.41475
ZNF624	0.5725
SEPT2	-0.205333333333333
SOHLH2	-1.047375
MCOLN3	1.8515
UNQ1945	0.4315
MASP2	-1.509
ZNRF3	0.5761
GPATCH3	0.23825
AGL	1.27325
QRICH2	-0.0715
PSD4	1.00566666666667
CCNB1IP1	-1.41775
ENPP7	-0.04625
OBFC1	-0.4105
KCNG3	-1.06975
C14orf79	-0.51
ENPEP	1.89016666666667
SCT	2.3425
SKI	0.952875
SEC61G	-1.3055
CAPN11	-0.2855
ATXN7L3	-0.4105
DBNDD1	0.745666666666667
FAIM	0.264
ANKRD36	0.399
GABRP	1.49966666666667
TACSTD2	1.52233333333333
EIF3J	-0.7525
PPP2R2A	-1.48325
TEKT4	-0.784666666666667
PVALB	-3.12316666666667
F10	-2.67133333333333
FAM134C	0.4958
COMP	4.924125
EFCBP1	-3.02025
SCLT1	0.356875
TAL1	0.7647
ACSL1	0.53025
ABCC5	-0.70275
ABL1	-0.709166666666667
RBBP7	0.656333333333333
PTPRG	1.08925
NCOR1	-0.0373
SPINK4	-1.363
TXNRD1	-1.1295
TNRC15	0.8655
C9orf138	-0.03425
UBE2H	0.29
BRDT	-0.173833333333333
C8orf31	-0.18825
CCNE2	1.04809090909091
SLC6A8	-1.996125
CALCR	-4.55475
PPP1CB	0.5525
ABHD8	-0.269
ARF5	-0.4337
SLC24A4	0.178
CCT3	0.27375
ZNF121	0.753125
SLC3A2	-0.9019
OR13A1	0.312
SLC5A10	-0.22975
RAD50	-0.402125
IER5	0.044375
MTHFD1L	-2.058
MBTPS2	-0.589
MVK	-0.386
NCL	0.3037
PSMD10	-0.168
MOBP	0.175857142857143
FLJ32894	0.1825
HRH1	-0.661166666666667
C5orf30	1.89575
NUDT16L1	1.5548
RASGRP3	2.96283333333333
PRKRIP1	-0.7032
CCDC75	-0.0455
LOC253970	0.18475
KIAA1239	0.1825
MED21	-0.55575
SYT11	0.49625
NTSR2	0.106
EGFL11	0.3375
CXorf59	0.1165
OR2A25	0.25575
SPTBN2	0.9055
LRMP	-1.8825
RNF111	-0.79225
PTH	-0.399
LOC619208	0.660333333333333
KIAA0895	0.9145
RANBP5	1.646125
P2RY10	-0.0341666666666667
NME5	1.30966666666667
DDX21	-1.18325
LRSAM1	-0.1975
HDAC11	0.780166666666667
VMO1	1.65525
NOLA2	-0.336166666666667
ADAR	-0.11625
MTO1	-0.758333333333333
SF4	0.0251666666666667
P2RX1	-0.371666666666667
HBM	0.04475
EN2	0.771
C14orf172	0.396
TM9SF2	0.8565
INHBE	-1.4185
TCTE3	0.247333333333333
TOX2	-3.31525
CTAGE3	0.075625
HBB	3.4332
MED15	-1.44533333333333
CASR	0.1155
C6orf66	-0.716
MTPN	-0.852
UNC50	-0.47825
C21orf33	0.02175
IRF2	0.8665
PGR	3.95316666666667
GPR84	2.38375
CROCCL1	-0.35975
SRPX	-0.872
BRE	0.0953333333333333
FGF10	0.5195
SDC3	0.629333333333333
ZRSR1	0.333666666666667
DKFZP434P211	0.001875
SOX6	0.243
RPUSD2	-0.6205
C14orf173	-0.294416666666667
MAPK11	-0.748666666666667
TBC1D22A	0.058
FAM123A	-1.1295
COL4A6	-4.05066666666667
TOMM70A	-0.36775
NAB1	0.355625
MGC16385	0.479
TSPAN18	-0.207833333333333
MED31	-0.72275
PLG	-0.608
CAPSL	0.571
ZNF532	1.7014
ASB14	-0.374
CA8	0.60775
NUDT16P	1.07433333333333
SLFN11	-1.271
LRRIQ2	-0.26025
NOL7	-0.341833333333333
BRMS1L	0.136375
JARID1A	0.725333333333333
PANK2	-0.25525
ICAM3	-1.03025
MDS1	-0.8065
TAF8	0.00675000000000001
RNF139	0.90825
ZNF594	0.366
ADAM8	1.617625
SFTPC	-0.19875
MAN2B2	0.571625
RGS12	0.5185625
EIF1AY	-4.65833333333333
LRRIQ1	-0.830666666666667
GPR150	0.89125
CCDC21	-0.830666666666667
PRRG3	2.56
SAA4	-4.14525
RAPGEF5	0.99725
ZCCHC2	0.95125
MGC39372	-0.771
PPP4R2	0.219166666666667
CDCA2	-2.0455
OR4D5	0.304833333333333
PTGFRN	0.4791
SIGLEC5	2.04233333333333
C19orf61	-0.0226666666666667
NMUR2	0.402
KIAA1586	-0.630666666666667
DAGLA	0.288166666666667
CHCHD6	-0.93
GPR32	0.5875
NEUROD6	0.279833333333333
SLC2A4RG	1.08
CA5B	1.0255
FBXL3	2.03675
MPHOSPH9	-1.51575
HMG2L1	-0.3025
HCN4	0.505666666666667
CEACAM19	0.23025
SH2D4B	0.289666666666667
HFE2	-1.456
TGM4	-0.616666666666667
LYPD2	-0.15125
TBC1D15	0.26325
MRPS21	-0.3298
NONO	-0.3924
CLEC5A	2.210125
ITCH	-0.3526
MGAT3	-0.876333333333334
MBP	-1.093
RPP25	0.27625
SOSTDC1	-2.46
HRC	-2.12025
TRIM48	0.2175
TMEM133	-1.04125
ECEL1P2	-1.528
HOXC11	1.351
DOK5	-0.53725
HELZ	0.631
LOC348180	-0.92025
MGC33894	0.37825
ADRB3	0.291
DMD	-0.59025
PTRH2	-1.4085
MPEG1	2.50333333333333
NDUFA12	-0.268333333333333
KRTAP2-4	-0.0359166666666667
STAMBPL1	-1.4515
ADCY2	2.42266666666667
UNQ6125	-0.9045
KLHL20	0.0268333333333333
SRM	-0.96
OTC	-0.40575
TMIE	0.156166666666667
SNX8	-0.39025
LIPK	0.2565
CHURC1	-0.07475
KLC2	0.158666666666667
HDAC1	0.7055
FAM128A	-0.074
FNDC3B	-0.4436
MTCP1	-0.434666666666667
WFDC10B	0.2936
PCDHGB3	-0.1125
ATRNL1	-2.1063
CAV2	-1.09125
MED26	0.594166666666667
DUS1L	0.12425
CHRM3	-1.156125
NEK9	-0.33575
WARS2	0.11825
TBX22	0.244
TOMM40	-0.782
RP6-213H19.1	-0.992333333333333
TUBGCP5	-1.43325
IGSF6	5.05125
TPPP	1.21783333333333
UNQ6190	0.0685
GSTM5	0.101625
BTD	-0.671
PDCD1LG2	0.00199999999999999
SNRPB2	0.6035
ERICH1	-1.288
APOA4	-1.74075
HOXA11	-2.4555
NARG1	-0.124125
MKX	-0.465
RAB28	0.194642857142857
PKP3	1.90075
SH3GL2	-0.08875
CTSO	2.089
RPN2	0.0883125
IL28RA	-0.00466666666666667
SFMBT1	0.98475
WDR57	-0.191
FER1L3	0.681916666666667
HSF5	-0.123333333333333
TTC9B	0.167
C4BPA	-4.17483333333333
ALB	-4.27642857142857
SORBS3	0.177625
UPF2	0.3965
JPH1	0.277
AGBL2	-0.706
DOPEY1	1.727
TERF1	-0.273166666666667
KIF22	0.1105
NINJ1	1.36675
SEC61A2	-0.142166666666667
HIST1H1D	-0.565833333333333
SFXN4	-0.2105
UCP3	1.1069
ZNF703	1.979
MYL6B	0.52275
TREM1	2.47825
OR52E6	-0.0515
CKMT2	0.76725
HLA-C	1.63575
SLC13A3	1.60466666666667
TIMP4	-1.34775
SLIT2	1.8545
RSF1	0.297777777777778
LONRF1	-1.46028571428571
MON1A	-0.101
CACNG6	-0.394
DPPA4	-5.1645
ZSWIM3	2.8
ZNF804A	0.180333333333333
CCIN	1.34875
SLC25A31	0.3995
KCNMB4	-0.61525
RABL5	-0.3365
GALNS	-0.1162
STX6	0.418375
HIST1H1C	-2.1285
CIDEB	0.428875
CASP4	-0.914833333333333
PDK3	-0.3965
KCNJ11	1.56
TPR	-0.24225
ZSCAN20	-0.229
MTX2	-0.10575
HIST1H2BH	-1.35125
LOC283767	1.1975
LYRM7	-1.31855555555556
BRD3	0.8415
HIST1H2BO	-1.31825
MAGEB10	0.3005
SLC45A1	0.3265
SERPINA3	-2.2741
KIAA0143	1.1565
KCNJ16	-0.318833333333333
KRT79	-0.41875
FABP2	-0.01525
NUT	-0.33675
ZNF57	-0.48825
FBXL4	0.86625
CLEC9A	0.43
UGT8	-1.69616666666667
BMP2K	0.0035
MAPK4	-3.7985
SLC25A23	-1.1706
HINT1	-0.4213
KRTAP13-1	0.525
SFXN5	0.9347
CHCHD2	0.442833333333333
FAM3D	0.9345
NDP	1.23775
RHOBTB1	0.2775
SLC4A4	-0.89925
RPL38	-0.29175
HTF9C	-0.399166666666667
AP2A2	0.89325
ZBTB46	0.457
MAP7D1	0.85675
AOX1	-1.81933333333333
CYR61	0.00308333333333332
DTNA	1.10578571428571
JRKL	0.05925
TMOD3	0.14425
EEA1	-0.0334
ADCK5	0.5455
IL1R1	0.69
KLK3	0.340285714285714
HRSP12	-0.3695
KTN1	0.17525
LOH11CR2A	0.3873
RELL2	-1.545
MAB21L1	1.299
C20orf59	-1.10333333333333
PHKB	-0.164
ADAM2	-1.89
TBC1D8B	0.818833333333333
FAM13A1	-0.594
LAPTM4B	0.73575
LCN8	-0.0745
TMEM147	0.491
SYT4	0.533
XPO7	-1.626
C9orf62	1.12475
GPR75	0.253
TRIM5	-1.444
APOC1	0.1005
RNASE4	-0.535833333333333
PARD6B	2.489
ARID1A	0.54
TPD52L3	0.513333333333333
RRAGB	0.1605
RCN2	-1.07033333333333
HIST2H2BE	-1.276875
STARD7	0.055
SHMT2	-0.368
KIAA1751	0.298166666666667
MLYCD	-0.0305
LOC162632	-0.6555
UQCRH	-1.02025
RP11-217H1.1	0.5040625
SDHA	-0.770333333333333
NCLN	-0.7647
ZNF17	1.1605
RCBTB2	-2.15825
VEGFB	0.2458
RP4-747L4.3	0.898
COLQ	0.3146
MPN2	-0.710833333333333
DRG2	-0.35775
KLRB1	4.099
ALPK2	-0.58375
DNASE2B	0.793
FLJ23834	0.254333333333333
AXUD1	0.243
SAFB	-0.2296
NSUN4	-0.323
RFX2	0.396833333333333
MAPK8IP1	-0.526833333333333
FANCD2	-0.984571428571429
ANKZF1	-1.0805
C19orf50	-1.06475
DUSP8	1.462125
SENP5	0.393625
NFKBIL2	-0.2165
LBR	-1.573625
IGFL1	0.4245
LZTS2	0.33
IL2RG	-1.0675
CCDC51	-0.22475
KLF3	0.833375
ANKRD37	-1.126
KCTD14	1.57383333333333
FZR1	-0.118166666666667
SLC44A4	2.3538
ESPL1	-0.43
GMPR2	-1.142
TBC1D19	-0.516833333333333
ERGIC1	0.261333333333333
ERBB4	2.8117
TSPAN32	0.0606666666666666
MAP4	-0.01325
GPHN	-0.2285
SLC6A2	0.128375
HIVEP1	0.613
DFFB	0.1769
EIF4EBP2	0.586
DMRT1	-0.328
HSPB6	-0.28025
IER2	0.509166666666667
AIFM1	-0.24425
WWC2	-1.0505
MRPL4	-0.538
FLJ21062	-0.468666666666667
EPB41L4A	1.3305
SH2D6	-0.02175
TAF4B	-0.927
GAL3ST3	-0.661
MALT1	-0.900666666666667
RTDR1	-0.421
ARVCF	0.183625
MEX3B	-0.280666666666667
FBXO16	-1.081
KIF7	-0.61475
C1QC	4.108
ZNF783	-0.102833333333333
ZNF85	-1.07075
MMP13	4.4235
KIAA0329	0.247625
RTP3	-1.0955
ZBED3	-0.129
CLGN	-2.436
SLC25A37	-2.22166666666667
hCG_18290	-0.338
OR5AS1	0.0925
SMARCC2	0.495416666666667
FAM109A	-0.162333333333333
CCDC12	-0.00675
USF2	0.9504
DEPDC7	-1.321
C20orf24	-0.905
JMJD3	-0.2055
DSP	1.51585714285714
SLIC1	0.41225
FAM20A	1.396375
IRF2BP2	0.55925
ZNF230	0.079
MSN	-0.941714285714286
SLC9A5	-0.765
EPDR1	-1.3733
MUSK	-0.399166666666667
ZNF434	0.3855
SMARCD1	-0.383
ZFP106	-0.24725
ZNF347	1.3854
GTF2E1	0.214
