Hybridization REF	TCGA-A2-A0ST-01A-12R-A084-07
ZNF212	-0.00225
NUDT1	-0.375
RFPL2	-0.52
ZNF83	-0.3185
GDPD5	-0.798375
PDCD4	1.4054
CEP350	0.3835
OR10A2	0.732
CST7	2.8545
CIAO1	-1.089
SELL	2.649
OR8J3	0.287
LTBP4	0.3915
SIRT6	-0.21675
CCL19	6.042
PPIL1	-0.826333333333333
GBP7	0.314166666666667
STK17A	0.2377
ABR	0.81
OR9G1	0.321
FOXE1	-0.7295
CNGA3	-0.323
GML	-0.2385
CD38	2.23825
ZDHHC6	-0.1625
NEFH	-1.7585
CTDSP2	0.767333333333333
PGBD5	0.424666666666667
CCNY	0.604071428571429
RMND5B	-0.187166666666667
ZNF257	-0.73775
FLJ22167	-0.378
EXOSC7	-0.4365
ROR2	0.9825
MAOA	0.13825
TNNT3	2.3945
GYPC	-0.3505
C7orf33	0.703
PLIN	0.795
LOC90826	-0.38
RNF4	-0.2002
F8A1	0.7435
PLEKHG4	-1.16075
GRB2	0.6352
HIST1H2AD	0.16675
DUS3L	-0.912666666666667
EIF1	-0.521333333333333
RP5-1077B9.4	-1.118
FPGT	0.744
GDF10	0.76
COQ9	-0.068
GCC2	0.400928571428571
RARRES3	3.334125
PLXNA1	-0.0296
KIAA0100	-0.0501
PMF1	0.22375
FNDC1	4.6405
HS2ST1	0.252833333333333
CRELD2	0.74775
C8G	-1.037
CD82	2.752
LIM2	-0.439
UNQ6490	-0.5035
MMP16	-0.499
DRD3	-0.399
C5orf26	-0.2205
C11orf73	-0.539625
PTP4A2	0.391375
OR4M2	0.8465
HPCA	-0.522666666666667
SEC14L1	0.1425
CHFR	0.2335
EMILIN1	0.884
NDUFS4	-0.86975
COL18A1	0.397
PDZD3	-0.2852
C9orf16	-0.0581666666666667
ERBB2IP	0.228833333333333
EMX2	2.23725
FUS	-0.93725
TF	-3.2889
CLCN4	1.09933333333333
CXorf56	0.6995
C11orf72	0.26075
ELAC2	-0.697583333333333
NPR1	-0.236
ASS1	-0.9795
USP42	0.689875
POLR2J	-0.759
SEC23IP	0.517333333333333
UQCRC1	-0.386
LOC729603	-0.17425
C1orf71	-0.471125
POLG	-1.6625
ADAM23	-3.57375
TFR2	-1.424
RICTOR	-0.0485
MGC39606	0.7225
C19orf55	-0.494125
SNAPC1	-1.16983333333333
GNA11	0.1515
CCDC52	-1.03816666666667
FSIP1	-0.093
UPF3A	-0.037375
IGSF11	-3.1826
LAGE3	0.1395
CHST6	-1.3465
UNC13B	-0.621125
TTLL4	0.95675
ZNF687	0.1185
SDC2	-1.0063
COX7A2	-0.732
LAMB4	-0.59025
FAM24A	-0.5775
LRRTM3	-0.8458
GPHB5	0.42275
OR4C13	0.55
EIF3EIP	0.208928571428571
HABP4	-0.628
TMEM125	2.52275
CNTN2	1.697375
ASNSD1	0.034
FUT4	0.90525
ACF	-3.5545
LOC158381	-0.3295
CDH8	0.1925
AGPS	-0.9085
C4orf18	1.89325
PECI	-0.822083333333333
UNG	-0.691125
GSTP1	0.254625
DCUN1D5	-1.43783333333333
DKFZP564J0863	-0.9045
SLC9A3R1	-0.14125
BCDO2	0.072625
CHMP7	0.16075
REM2	-0.303
DNHD1	-0.339625
FKBP4	-1.029875
ZNF350	1.34625
MGC11102	0.028375
BST1	1.62525
KISS1R	1.25
NCR2	0.0695
DEFB125	0.249
UBE2W	0.95075
KRT15	3.00325
C10orf99	0.2545
SCN11A	0.421
GFI1	0.405
RDHE2	-0.224166666666667
FHL1	-1.22233333333333
OSGEP	-0.210333333333333
GATA1	-3.21166666666667
SMC6	-0.276
TTTY14	-0.5565
LPIN3	-0.54825
RPL4	-0.2428
RBPMS	-0.5627
PRPF3	-0.605333333333333
EMR1	-2.099
SPATA19	0.55725
XCR1	-0.1255
IRX3	1.9248
RBM6	-0.028
KLF4	-0.4381
UNC5CL	-0.71975
SEBOX	-0.3
BTK	1.29375
KRCC1	1.48575
C6orf27	0.4445
SYTL5	-1.8285
PRND	1.09
LOC653319	-2.0015
PIGL	-1.3735
HUS1	-0.251666666666667
SFRS6	-0.355666666666667
C17orf77	0.1045
UIMC1	-0.301833333333333
FXYD2	-1.377
LOC283152	-0.6815
ZNF667	-0.18375
ZCCHC12	-0.69325
TFEC	3.9407
ATP7B	-1.85766666666667
POLD2	-0.724166666666667
RG9MTD1	-0.67575
ACOT2	-0.846
HIST1H4I	-0.782375
PPARGC1A	-1.758
ETFA	-1.8465
POLRMT	-0.66225
ZNF146	0.7765
MIA2	-2.0085
KLHL6	1.5315
HOXB5	-0.54375
NENF	0.3635
CUGBP1	-0.0837499999999999
PRSS22	1.00633333333333
CASC4	0.9826
CUL4B	0.7957
CENPJ	-0.776
PITX1	-0.5905
FLJ31033	2.1855
CELSR3	-1.7385
ZNF568	1.13925
ITSN1	-0.267833333333333
EHBP1L1	0.310833333333333
C19orf2	2.86925
DCTN1	-0.22675
LIN28B	-2.98033333333333
TNKS2	-0.94875
C1QBP	-0.725875
CADPS2	1.7055
SRMS	0.2185
GJA9	0.332166666666667
MGC24975	-0.726833333333333
TRIM45	-0.364666666666667
TSP50	-0.013
TCP1	-1.129
TMED7	-0.0226
CMA1	0.6725
CENPL	-0.680166666666667
PTCRA	1.5625
FST	-4.3775
VWCE	-3.2745
PAWR	-0.75325
ABCC12	0.226666666666667
LDLR	-1.2007
ASTN2	-0.5613
LOC441212	-0.903875
GPATCH8	-0.23925
TANC2	-1.85475
KIF4A	-1.36475
C18orf18	-1.18
PGM1	-0.8115
KIAA0258	0.6365
CPD	0.480875
SNCAIP	0.162
DCT	-4.20233333333333
HLA-DOA	4.22827272727273
OR11L1	0.7635
UPK1B	0.392833333333333
DNAJB4	0.22525
UGT1A8	-0.011
HIST1H4L	-0.617
PECR	-1.34066666666667
HSPA2	0.74125
WFIKKN1	-2.478
SERP1	0.874125
SYDE2	-0.00625000000000001
TACR2	0.463
NUP85	-0.539
CD177	-0.787166666666667
LGR5	-1.3705
PIGG	-0.979333333333333
PTHR1	-2.21783333333333
RAB5A	0.122
FLJ13224	-0.2485
USP9Y	-1.2786
C7orf53	-1.209
LRP1B	-0.55825
XAF1	4.0062
ABCG8	-0.446
ANKDD1A	0.782
DAND5	-1.321
SPAG6	1.10183333333333
LINCR	2.8155
ZDHHC22	-2.035875
CCDC60	-0.736
THOC7	-1.45783333333333
TCTA	0.373
OR8K3	0.02775
NY-REN-7	-0.4555
B2M	2.4095
C6orf141	-2.170625
LPPR4	1.9025
SQLE	-1.769625
SEPHS1	0.233
BTBD14B	0.355071428571429
PLRG1	-0.06075
SPG7	-0.4345
ZNF614	-0.157333333333333
PARD6G	1.016
INPP5B	-0.3537
GRPEL2	-0.447625
PPID	-0.3519
TRIM56	0.30075
UBE2J1	1.108
IL20RA	3.63675
LOC387856	-0.862666666666667
C1orf107	0.962666666666667
UTS2R	1.189
C19orf22	0.18775
SAFB2	0.24375
KIAA0652	0.86175
KLRG1	1.46433333333333
MS4A8B	0.129833333333333
FRAG1	0.12125
KIAA1546	0.6215
E2F4	-0.7565
CLEC4M	0.4235
BTBD14A	-1.641
KIAA0999	0.7849
GYPA	-3.4075
TAC1	0.3222
TRAIP	-1.5205
KIAA0232	-0.4469
ERCC8	-1.723125
GPX4	-0.154875
KIAA0368	-0.172375
GPR157	-0.2505
CTAGE4	-0.0495
C9orf30	-1.09416666666667
OR52A1	-1.041
HSP90B3P	0.1675
ALG9	-0.8107
BTBD10	0.134
SDK2	0.708
BAIAP3	-1.46675
RABGGTB	-0.87975
ANKRD40	-0.752166666666667
KRT74	-0.067
CALCOCO2	0.389571428571429
SNCA	-2.7215
TMSL8	-1.16125
C2orf53	0.796
ESRRB	-0.47475
ARHGAP26	0.699
TDRD9	-2.3885
HRAS	-0.352
KLRC4	-0.5875
JAGN1	-0.0421666666666667
BSDC1	0.4055
RNF43	0.31
NDUFAF1	-0.3385
PHF12	0.15725
OR1L3	0.13375
FOLR2	2.54525
LYZL6	0.0338333333333333
tcag7.1260	-1.423
WSB1	-0.986333333333334
PROS1	-0.6805
OSTN	0.5275
PSMB8	2.32625
SOCS4	-0.375375
DDIT4L	4.0435
MAS1	-0.6135
MGC34796	-0.6645
CSHL1	0.152
TBCCD1	0.215
ZBTB7C	-0.2385
AP2S1	-0.559
P15RS	-0.6099
VAT1	-1.0514
SHANK3	1.38383333333333
TUFM	-0.676
THEG	-0.37275
KRT34	-2.193
SGSM3	-0.083125
TOMM22	-0.021375
SOCS3	2.1355
CPO	-0.00800000000000001
POP4	2.60625
BHLHB3	1.56225
MALL	1.61
OR1B1	0.5375
PARK2	1.55416666666667
GPR124	0.176625
LCE1E	0.6815
RUVBL2	-0.92425
CGRRF1	-0.067
ACPL2	-0.1045
WNT10B	-0.54075
BAIAP2L2	-1.452875
ISCA1	0.2775
C1orf125	-0.313
RPAP1	-0.88375
RAI16	-0.456166666666667
RPL27	-0.514375
NLRP9	-0.416
EPN1	-0.0865
LOC388610	-0.6265
SLC35A1	-0.00380000000000001
GAL	-2.82775
SLC14A2	0.26025
RDH11	-0.8755
FAM138F	-0.207
AUH	-0.27875
FLJ40243	-0.13175
C14orf129	0.045
MBD2	-0.4285
ABHD14B	-0.095125
PIGT	-0.6425
ALS2CR4	-0.20125
ALAS1	0.3944
FOXO1	1.9325
CRLF3	0.74475
C20orf107	0.344
FARS2	0.4185
CCDC28A	0.91125
NPHP3	-0.496
OR13F1	0.047
TSEN54	-0.49525
DEFB106B	0.632
OR8B4	-0.1325
STH	-1.01275
ZC3H14	-0.518375
CBX2	-0.564
TMEM49	-1.34575
C6orf21	0.1085
FLJ20920	-0.33975
CRTAP	-0.369857142857143
DDX50	0.05775
STYXL1	-0.05825
BLVRB	-0.543333333333333
LOC147650	-0.893666666666667
MMP24	-0.018
GRID1	0.775833333333333
BANF1	-0.388333333333333
CTAGEP	0.18675
HMBS	-2.1265
SLC25A24	0.610166666666667
C14orf50	-0.035
MRO	-1.09366666666667
SLC25A15	-1.01225
FAM84B	0.1583
TDP1	-0.463
C16orf78	-0.096
C11orf57	-0.023125
RFK	-0.829
ZFYVE9	-0.583875
STCH	-0.2242
WIBG	-0.02
LOC283871	-1.1035
GBA2	-0.7096
NDUFB3	-0.39875
HSD17B13	-0.253
GRIN3A	1.96616666666667
FMNL1	1.0425
SEPT7	0.4095
GNLY	5.3015
GRAMD1C	0.997
ZNF165	-0.40675
USP38	0.3235
FAM83A	-2.96233333333333
C14orf24	0.500416666666667
ARMCX3	0.518375
ARHGDIB	1.3585
AK1	-1.0445
KIAA1045	0.608
DNAJB13	-0.0891666666666667
NEU2	0.057
HIST1H4B	-0.829333333333333
FAM20B	-0.9371
HES2	1.025
FAM73B	-0.6095
LOC388381	-0.02425
INTS7	-0.266727272727273
AMPH	0.3525
ZNF775	0.061875
UCKL1	-0.360166666666667
C10orf97	-0.43075
C1orf161	-0.02875
ALDH1L1	-1.67625
FLJ39378	-0.7435
SLC23A1	-2.0445
RBM4B	-0.057
THAP4	-0.0205
OGFRL1	1.924
KIAA0831	-0.2855
PPP1R15A	0.0226666666666667
C1orf96	0.312571428571429
C12orf11	-1.8965
BMF	1.145875
MAN1A1	0.2425
KIAA1600	0.8625
NLGN4X	1.118
ALOX12	0.770833333333333
RB1CC1	0.6499
NEIL2	0.2497
EIF4E	-0.289681818181818
ABHD5	-0.47625
EXOC4	0.03
CIP29	-0.103333333333333
BATF2	3.607
SLC29A4	-0.777
HTR4	0.4515
EMB	1.19025
TRAF6	2.17075
LMNB1	-1.106
FAM19A5	-1.9975
SHE	1.5145
PIK3C2B	1.7035
C15orf15	-0.7893
USP15	0.8546
TCEAL2	1.20075
C5orf39	1.1975
PTGER2	-0.0355
SLC31A1	-0.5335625
IFT172	0.8155
ADAM29	-0.096
GFOD1	0.60625
ST7L	0.0331666666666667
C15orf26	-3.31375
PKN3	-1.6065
CNTD1	1.81366666666667
COMMD1	0.00587499999999999
NTRK2	3.89691666666667
FOXN3	1.048375
MFGE8	0.648
PFKFB2	0.356
TAS2R4	0.0295
ENTHD1	2.26066666666667
PRMT5	-1.135625
MGC16384	-0.726625
LOC442229	-0.8025
TSKU	-0.05125
KRTCAP3	3.031125
PDLIM1	0.6398
KCNS2	0.92525
RNF126	-0.336166666666667
CEP63	-0.163125
CLIC4	-0.247625
hCG_1990170	3.2265
ACR	0.5481
KLK7	4.38375
ALOX5AP	4.942625
RIPK3	3.63825
TAS2R9	0.165
C19orf18	0.245
BIRC6	0.534642857142857
ZNF16	0.1325
RFT1	-0.3965
SLC8A2	-0.815
TACC1	0.970375
ITGAD	1.525
SAMHD1	2.80825
SH3PXD2B	1.178
EPC2	1.246
C20orf85	0.241285714285714
ATP13A2	-0.0963333333333333
KRT4	1.536125
CAPNS1	-0.12525
MDM2	0.19
PCDH20	0.2655
KCNK9	-0.3325
OR2C1	-0.0125
KLHDC3	-0.536666666666667
IPPK	-0.341
EFHD2	0.92925
GALR3	1.34325
NBEA	-0.552
ABCA6	3.8919
CLDN3	1.32683333333333
AKT2	-0.888
EGFR	-0.0182
RBM16	0.343875
ZDHHC3	-0.0795
SLC25A4	-1.32116666666667
CYB5B	-0.703666666666667
CPXM1	-0.2255
NDRG1	-0.707
FLJ43826	0.332
OR5L2	0.227833333333333
FARP2	-0.0684
MRPL46	-0.97475
LDHAL6B	0.179833333333333
MAPKAPK3	-0.1915
NCAM2	-3.62975
PRKD2	0.9315
ZFP36L1	1.3587
CYSLTR1	1.69625
OR4C3	-0.03
HIST1H2AJ	0.476
CCNB2	-1.39222222222222
ZNF10	-0.329125
TMEM175	0.95
FAM134A	0.174166666666667
TIGD4	-0.299
PCNP	-0.5165
MGC39715	0.91575
LQK1	-0.94425
CREB1	0.7091
TMPRSS3	1.212
C4orf32	0.56125
LAT	0.90525
KCNA3	1.2535
SKIV2L2	-0.74575
ROPN1B	2.93675
tcag7.23	0.0055
CDT1	-2.367125
ZHX2	1.659125
CD28	-0.05275
ZNF624	0.90175
SEPT2	-0.2225
SOHLH2	-2.326625
MCOLN3	-0.682857142857143
UNQ1945	0.9715
MASP2	-1.2075
ZNRF3	-0.2846
GPATCH3	-0.40575
AGL	0.17825
QRICH2	-0.447
PSD4	1.017
CCNB1IP1	-1.25425
ENPP7	-0.52025
OBFC1	0.26575
KCNG3	-2.33875
C14orf79	-1.42975
ENPEP	0.392666666666667
SCT	1.518
SKI	1.269375
SEC61G	-1.04725
CAPN11	0.554
ATXN7L3	-0.2915
DBNDD1	-0.300333333333333
FAIM	0.422
ANKRD36	0.414
GABRP	5.8265
TACSTD2	1.31916666666667
EIF3J	-0.57875
PPP2R2A	-0.34225
TEKT4	-0.749
PVALB	-3.52066666666667
F10	-2.0755
FAM134C	0.718
COMP	2.763625
EFCBP1	-2.0796875
SCLT1	1.97125
TAL1	-1.057
ACSL1	0.96725
ABCC5	-0.494166666666667
ABL1	-0.632166666666667
RBBP7	-0.223083333333333
PTPRG	-1.31475
NCOR1	0.17
SPINK4	-2.54083333333333
TXNRD1	-1.3009
TNRC15	0.966125
C9orf138	0.471875
UBE2H	0.306666666666667
BRDT	0.26175
C8orf31	-0.0015
CCNE2	-1.97581818181818
SLC6A8	-2.087
CALCR	-4.056
PPP1CB	1.02658333333333
ABHD8	-0.5025
ARF5	0.2642
SLC24A4	1.2825
CCT3	-0.479
ZNF121	-0.102875
SLC3A2	-1.1931
OR13A1	0.3415
SLC5A10	-0.2605
RAD50	-0.45425
IER5	1.189375
MTHFD1L	-0.963375
MBTPS2	0.418666666666667
MVK	-1.11825
NCL	0.1395
PSMD10	-0.03775
MOBP	0.540375
FLJ32894	1.1
HRH1	-0.797
C5orf30	0.01725
NUDT16L1	-0.2344
RASGRP3	4.70033333333333
PRKRIP1	-0.2347
CCDC75	0.6955
LOC253970	-0.254
KIAA1239	0.0525
MED21	-0.5735
SYT11	1.30275
NTSR2	0.4095
EGFL11	0.16
CXorf59	0.083
OR2A25	0.17575
SPTBN2	-0.0895
LRMP	1.1785
RNF111	-0.10525
PTH	0.3225
LOC619208	0.137166666666667
KIAA0895	-0.86225
RANBP5	-1.11575
P2RY10	4.14333333333333
NME5	0.950166666666667
DDX21	-0.53575
LRSAM1	-0.018
HDAC11	-0.116
VMO1	1.39675
NOLA2	-0.176166666666667
ADAR	1.06391666666667
MTO1	-0.946333333333333
SF4	0.0475
P2RX1	0.972833333333333
HBM	0.173
EN2	1.394
C14orf172	-0.40875
TM9SF2	0.344
INHBE	-1.27966666666667
TCTE3	0.1285
TOX2	-0.34325
CTAGE3	0.24725
HBB	4.2905
MED15	-0.542666666666667
CASR	0.4025
C6orf66	-0.516833333333333
MTPN	0.217875
UNC50	-0.7445
C21orf33	0.3215
IRF2	2.036375
PGR	-1.94383333333333
GPR84	4.61925
CROCCL1	-2.05
SRPX	-1.78325
BRE	0.0378333333333333
FGF10	0.457
SDC3	-0.0573333333333334
ZRSR1	0.401166666666667
DKFZP434P211	-0.54975
SOX6	-0.092
RPUSD2	-0.203
C14orf173	-0.571
MAPK11	-0.0481666666666667
TBC1D22A	0.8365
FAM123A	-0.0945
COL4A6	-2.80983333333333
TOMM70A	-0.22325
NAB1	0.207375
MGC16385	0.3225
TSPAN18	-0.422166666666667
MED31	-0.50475
PLG	-0.2605
CAPSL	0.492
ZNF532	1.0033
ASB14	-0.03075
CA8	-1.4625
NUDT16P	0.525166666666667
SLFN11	0.4565
LRRIQ2	-0.228125
NOL7	-0.157666666666667
BRMS1L	-0.821375
JARID1A	1.40833333333333
PANK2	-0.4095
ICAM3	0.9855
MDS1	-0.93325
TAF8	-0.27625
RNF139	0.1755
ZNF594	0.267333333333333
ADAM8	3.543125
SFTPC	-0.465625
MAN2B2	0.761375
RGS12	0.0456875
EIF1AY	-4.68141666666667
LRRIQ1	-1.17983333333333
GPR150	1.20125
CCDC21	-1.8135
PRRG3	0.49425
SAA4	-0.6665
RAPGEF5	1.420875
ZCCHC2	0.574
MGC39372	1.4235
PPP4R2	0.118666666666667
CDCA2	-0.449166666666667
OR4D5	0.748833333333333
PTGFRN	1.1245
SIGLEC5	2.39983333333333
C19orf61	-0.595166666666667
NMUR2	0.5335
KIAA1586	-0.506833333333333
DAGLA	-0.5245
CHCHD6	-0.85025
GPR32	0.108
NEUROD6	0.1325
SLC2A4RG	-0.0303125
CA5B	0.2755
FBXL3	1.25825
MPHOSPH9	-1.1635
HMG2L1	-0.062
HCN4	0.720333333333333
CEACAM19	1.493
SH2D4B	0.265833333333333
HFE2	-0.093
TGM4	0.66125
LYPD2	-0.465
TBC1D15	0.1755
MRPS21	-0.0643
NONO	-0.4373
CLEC5A	2.740375
ITCH	0.1236
MGAT3	0.850833333333333
MBP	0.371
RPP25	-0.8365
SOSTDC1	0.81025
HRC	-1.559
TRIM48	0.124
TMEM133	1.10825
ECEL1P2	-1.05125
HOXC11	-1.058
DOK5	-0.7305
HELZ	0.918833333333333
LOC348180	-0.87675
MGC33894	-0.01525
ADRB3	-0.1565
DMD	0.387333333333333
PTRH2	-0.78325
MPEG1	4.48766666666667
NDUFA12	-0.435833333333333
KRTAP2-4	-0.0874545454545455
STAMBPL1	0.248166666666667
ADCY2	0.1215
UNQ6125	0.5915
KLHL20	0.655166666666667
SRM	-1.016
OTC	0.462
TMIE	0.710666666666667
SNX8	0.796
LIPK	0.0565
CHURC1	-0.0481666666666667
KLC2	0.373333333333333
HDAC1	-0.4745
FAM128A	-0.504666666666667
FNDC3B	0.4907
MTCP1	-0.117166666666667
WFDC10B	1.0016
PCDHGB3	0.123
ATRNL1	-2.31766666666667
CAV2	-0.14925
MED26	0.365333333333333
DUS1L	0.115
CHRM3	-0.568
NEK9	0.24775
WARS2	0.3775
TBX22	0.859
TOMM40	-0.57625
RP6-213H19.1	-0.958833333333333
TUBGCP5	-0.8635
IGSF6	6.15875
TPPP	0.0646666666666667
UNQ6190	-0.735
GSTM5	0.666375
BTD	0.293166666666667
PDCD1LG2	2.229
SNRPB2	-0.938
ERICH1	0.501875
APOA4	-1.87225
HOXA11	-1.67475
NARG1	-0.29225
MKX	-0.74325
RAB28	-0.642714285714286
PKP3	0.37875
SH3GL2	-3.08175
CTSO	4.08025
RPN2	0.2373125
IL28RA	0.574833333333333
SFMBT1	0.44575
WDR57	-0.024875
FER1L3	0.835416666666667
HSF5	0.718833333333333
TTC9B	-0.09225
C4BPA	-3.868
ALB	-4.25330769230769
SORBS3	-0.00425
UPF2	1.242
JPH1	0.1975
AGBL2	-0.341
DOPEY1	1.5025
TERF1	-0.511666666666667
KIF22	-1.18183333333333
NINJ1	0.46225
SEC61A2	-0.713
HIST1H1D	0.873833333333333
SFXN4	-0.2785
UCP3	1.1691
ZNF703	0.643
MYL6B	-0.84275
TREM1	2.451
OR52E6	0.588
CKMT2	0.927
HLA-C	3.3025
SLC13A3	-0.409166666666667
TIMP4	-1.932
SLIT2	2.624
RSF1	0.800277777777778
LONRF1	-0.550214285714286
MON1A	-0.42
CACNG6	-1.40166666666667
DPPA4	-5.20766666666667
ZSWIM3	0.25525
ZNF804A	0.6725
CCIN	1.253
SLC25A31	0.228666666666667
KCNMB4	-0.48275
RABL5	-0.186375
GALNS	-0.6976
STX6	1.34175
HIST1H1C	-1.79816666666667
CIDEB	-0.07575
CASP4	1.24333333333333
PDK3	-0.1664
KCNJ11	-0.501
TPR	0.393875
ZSCAN20	-1.2675
MTX2	-0.548
HIST1H2BH	-0.05425
LOC283767	2.629
LYRM7	-1.172
BRD3	-0.2255
HIST1H2BO	-0.50425
MAGEB10	-0.504
SLC45A1	-0.57525
SERPINA3	-0.8331
KIAA0143	1.033
KCNJ16	2.353
KRT79	-0.46725
FABP2	-0.313333333333333
NUT	0.1835
ZNF57	-1.029
FBXL4	0.5845
CLEC9A	2.802
UGT8	1.17483333333333
BMP2K	0.9465
MAPK4	-1.96975
SLC25A23	-1.5304
HINT1	-0.8216
KRTAP13-1	0.689
SFXN5	-0.4024
CHCHD2	-0.419833333333333
FAM3D	4.3875
NDP	-1.844375
RHOBTB1	-0.903666666666667
SLC4A4	-1.04475
RPL38	-0.33125
HTF9C	-0.763166666666667
AP2A2	0.237375
ZBTB46	-0.0995
MAP7D1	0.157125
AOX1	-0.994
CYR61	0.518916666666667
DTNA	-1.11485714285714
JRKL	0.4965
TMOD3	0.316
EEA1	-0.3265
ADCK5	-0.6545
IL1R1	1.90166666666667
KLK3	0.540428571428571
HRSP12	-1.25925
KTN1	-0.49375
LOH11CR2A	0.3144
RELL2	-1.52775
MAB21L1	1.2435
C20orf59	-1.0835
PHKB	-0.1905
ADAM2	-1.12416666666667
TBC1D8B	0.481166666666667
FAM13A1	0.5148125
LAPTM4B	-0.768583333333333
LCN8	-0.4555
TMEM147	0.6645
SYT4	-0.744666666666667
XPO7	-0.33
C9orf62	0.96575
GPR75	-0.0445
TRIM5	1.20925
APOC1	-0.0836666666666667
RNASE4	-0.3265
PARD6B	-2.608125
ARID1A	0.170083333333333
TPD52L3	0.1817
RRAGB	0.352833333333333
RCN2	-0.753166666666667
HIST2H2BE	-0.049375
STARD7	0.31
SHMT2	-0.768
KIAA1751	-0.260833333333333
MLYCD	0.27175
LOC162632	-0.7197
UQCRH	-1.25075
RP11-217H1.1	0.8155
SDHA	-1.03183333333333
NCLN	-0.768
ZNF17	0.4075
RCBTB2	-1.1685
VEGFB	-0.5215
RP4-747L4.3	1.68225
COLQ	0.554
MPN2	-0.747
DRG2	-0.545
KLRB1	7.048
ALPK2	-1.0295
DNASE2B	1.485
FLJ23834	0.1135
AXUD1	0.7585
SAFB	0.563
NSUN4	-0.58975
RFX2	-0.169666666666667
MAPK8IP1	0.193
FANCD2	-0.285214285714286
ANKZF1	-1.098
C19orf50	-0.665
DUSP8	0.84
SENP5	-0.12675
NFKBIL2	-0.6415
LBR	-0.075125
IGFL1	0.785
LZTS2	0.10975
IL2RG	2.36425
CCDC51	-0.618
KLF3	-0.207375
ANKRD37	-1.23125
KCTD14	3.35733333333333
FZR1	0.00800000000000001
SLC44A4	-0.1248
ESPL1	-1.128625
GMPR2	-0.8441
TBC1D19	-1.71333333333333
ERGIC1	-0.711777777777778
ERBB4	0.7663
TSPAN32	1.37333333333333
MAP4	-0.068375
GPHN	-1.37025
SLC6A2	1.106875
HIVEP1	0.89475
DFFB	-0.0634
EIF4EBP2	0.729
DMRT1	-0.47375
HSPB6	-0.2515
IER2	0.6635
AIFM1	-0.43725
WWC2	-0.562416666666667
MRPL4	-0.74225
FLJ21062	-0.628333333333333
EPB41L4A	0.769083333333333
SH2D6	-0.31075
TAF4B	0.4945
GAL3ST3	-0.8305
MALT1	-0.179333333333333
RTDR1	-0.4055
ARVCF	-0.6475
MEX3B	-1.29666666666667
FBXO16	-0.48575
KIF7	-1.6855
C1QC	4.79033333333333
ZNF783	0.0411666666666667
ZNF85	-0.17425
MMP13	1.049
KIAA0329	0.092
RTP3	-0.2075
ZBED3	0.18525
CLGN	-3.216
SLC25A37	-0.644083333333333
hCG_18290	0.44475
OR5AS1	0.407
SMARCC2	0.4955
FAM109A	-0.0665
CCDC12	-0.14325
USF2	0.7159
DEPDC7	-0.6445
C20orf24	-0.570666666666667
JMJD3	0.4445
DSP	1.78114285714286
SLIC1	1.857875
FAM20A	2.197875
IRF2BP2	0.933875
ZNF230	-0.162
MSN	1.20114285714286
SLC9A5	-2.2905
