Hybridization REF	TCGA-BH-A0DE-01A-11R-A115-07
LRRTM3	-0.6918
GPHB5	0.12975
OR4C13	-0.2565
EIF3EIP	0.0755714285714286
HABP4	-0.176
TMEM125	2.96375
CNTN2	0.523714285714286
ASNSD1	0.12075
FUT4	-0.588
ACF	-4.2085
LOC158381	0.592
CDH8	-0.09775
AGPS	-0.993666666666667
C4orf18	4.517875
PECI	0.846166666666667
UNG	-0.23125
GSTP1	-1.186
DCUN1D5	-1.619
DKFZP564J0863	-1.6295
SLC9A3R1	1.438375
BCDO2	1.065625
CHMP7	0.172625
REM2	0.4715
DNHD1	-0.543375
FKBP4	-0.48725
ZNF350	0.82325
MGC11102	-0.2045
BST1	1.40625
KISS1R	0.4825
NCR2	0.2545
DEFB125	-0.198
UBE2W	0.191875
KRT15	3.265625
C10orf99	-0.0535
SCN11A	0.307625
GFI1	-1.95675
RDHE2	-0.266833333333333
FHL1	0.852333333333333
OSGEP	-0.0605
GATA1	-3.47416666666667
SMC6	-1.401
TTTY14	-1.28325
LPIN3	0.068
RPL4	-0.6253
RBPMS	0.3548
PRPF3	-0.782666666666667
EMR1	-1.422
SPATA19	0.0823333333333333
XCR1	-0.0455
IRX3	2.1034
RBM6	-0.2835
KLF4	-0.3393
UNC5CL	-2.02825
SEBOX	-0.0755
BTK	-0.01225
KRCC1	1.36475
C6orf27	0.494
SYTL5	-0.671
PRND	3.634125
LOC653319	-1.175
PIGL	-1.00325
HUS1	-0.512666666666667
SFRS6	-0.57925
C17orf77	0.8465
UIMC1	0.0918333333333333
FXYD2	-2.0191
LOC283152	1.789
ZNF667	-0.90425
ZCCHC12	-0.76
TFEC	3.5757
ATP7B	0.936166666666666
POLD2	-1.40016666666667
RG9MTD1	-0.4085
ACOT2	0.427833333333333
HIST1H4I	-1.843
PPARGC1A	-2.1341
ETFA	-1.7302
POLRMT	-0.31225
ZNF146	-0.109125
MIA2	-1.448
KLHL6	0.0625
HOXB5	0.277625
NENF	0.451
CUGBP1	0.2225
PRSS22	2.352
CASC4	1.9607
CUL4B	-0.00819999999999996
CENPJ	-2.0728
PITX1	-0.752666666666667
FLJ31033	0.706333333333333
CELSR3	0.115666666666667
ZNF568	0.9865
ITSN1	-0.29525
EHBP1L1	-0.379666666666667
C19orf2	-0.66725
DCTN1	0.14975
LIN28B	-4.30383333333333
TNKS2	-1.67825
C1QBP	-1.39425
CADPS2	0.173
SRMS	0.1875
GJA9	0.0778333333333333
MGC24975	-0.868666666666667
TRIM45	-0.128166666666667
TSP50	-0.6965
TCP1	-1.46325
TMED7	0.0994
CMA1	-0.669
CENPL	-1.75416666666667
PTCRA	0.3715
FST	-2.65175
VWCE	-3.42675
PAWR	-0.243
ABCC12	0.778
LDLR	-0.306
ASTN2	2.5037
LOC441212	-0.48425
GPATCH8	0.1155
TANC2	-1.01241666666667
KIF4A	-2.63275
C18orf18	-1.1115
PGM1	-1.132
KIAA0258	0.4755
CPD	1.835
SNCAIP	0.16825
DCT	-5.00666666666667
HLA-DOA	2.99418181818182
OR11L1	0.456
UPK1B	-0.17
DNAJB4	0.3205
UGT1A8	0.366666666666667
HIST1H4L	-2.897
PECR	-0.228666666666667
HSPA2	2.034
WFIKKN1	-1.703
SERP1	1.138375
SYDE2	1.37175
TACR2	0.707
NUP85	-0.642
CD177	2.21516666666667
LGR5	-1.89633333333333
PIGG	0.0164166666666667
PTHR1	-1.0775
RAB5A	0.4146
FLJ13224	-0.5605
USP9Y	-2.08683333333333
C7orf53	-0.767
LRP1B	0.02675
XAF1	2.0975
ABCG8	0.763
ANKDD1A	0.260333333333333
DAND5	-1.047
SPAG6	0.231
LINCR	1.69175
ZDHHC22	0.987625
CCDC60	-0.031
THOC7	-1.48133333333333
TCTA	0.8935
OR8K3	-0.444
NY-REN-7	-0.46875
B2M	1.70366666666667
C6orf141	-2.615375
LPPR4	3.44925
SQLE	-1.25975
SEPHS1	-1.27725
BTBD14B	0.491
PLRG1	-0.418
SPG7	-0.5311875
ZNF614	-0.8635
PARD6G	0.888666666666667
INPP5B	-1.25144444444444
GRPEL2	0.014875
PPID	-0.7404
TRIM56	-0.012
UBE2J1	-0.386625
IL20RA	2.12075
LOC387856	1.1655
C1orf107	0.726916666666667
UTS2R	1.1055
C19orf22	0.5105
SAFB2	-0.38175
KIAA0652	-0.481
KLRG1	-0.402833333333333
MS4A8B	0.78
FRAG1	1.1015
KIAA1546	0.418
E2F4	-1.2021
CLEC4M	-0.521333333333333
BTBD14A	0.0145
KIAA0999	1.0552
GYPA	-3.9735
TAC1	3.0381
TRAIP	-1.642
KIAA0232	1.6628
ERCC8	-1.831375
GPX4	1.299625
KIAA0368	-0.059
GPR157	-1.66466666666667
CTAGE4	1.7805
C9orf30	-1.23133333333333
OR52A1	0.306
HSP90B3P	-0.3445
ALG9	-0.6115
BTBD10	0.66775
SDK2	-0.08125
BAIAP3	-1.36575
RABGGTB	0.060125
ANKRD40	0.227333333333333
KRT74	1.4075
CALCOCO2	1.21864285714286
SNCA	-2.386
TMSL8	-5.666375
C2orf53	0.739
ESRRB	-0.3675
ARHGAP26	-0.718375
TDRD9	-3.23925
HRAS	-0.1155
KLRC4	-2.1175
JAGN1	0.491833333333333
BSDC1	0.6625
RNF43	0.9779
NDUFAF1	0.51475
PHF12	0.75475
OR1L3	-0.00174999999999996
FOLR2	2.21408333333333
LYZL6	0.6504
tcag7.1260	-1.494
WSB1	-0.885
PROS1	0.2217
OSTN	0.6455
PSMB8	0.54025
SOCS4	-0.149875
DDIT4L	2.0915
MAS1	0.9635
MGC34796	2.31925
CSHL1	-0.013
TBCCD1	0.112333333333333
ZBTB7C	0.033
AP2S1	-0.634875
P15RS	0.2771
VAT1	-0.0997
SHANK3	1.78516666666667
TUFM	-0.156833333333333
THEG	-0.16725
KRT34	-1.96275
SGSM3	0.302625
TOMM22	-0.40525
SOCS3	2.41133333333333
CPO	0.9635
POP4	0.07025
BHLHB3	1.8835
MALL	3.10075
OR1B1	-0.4555
PARK2	0.733833333333333
GPR124	0.98725
LCE1E	-0.7645
RUVBL2	-0.90725
CGRRF1	0.5517
ACPL2	0.1265
WNT10B	-0.88
BAIAP2L2	-2.358375
ISCA1	0.3825
C1orf125	-0.403625
RPAP1	-0.15675
RAI16	-0.358333333333333
RPL27	-0.38375
NLRP9	-0.828
EPN1	0.472
LOC388610	-1.98375
SLC35A1	0.7442
GAL	-4.17525
SLC14A2	-0.283
RDH11	-1.06816666666667
FAM138F	-0.675
AUH	0.04575
FLJ40243	0.7575
C14orf129	-0.393333333333333
MBD2	0.0588333333333334
ABHD14B	0.444375
PIGT	0.6045
ALS2CR4	-0.344375
ALAS1	0.4916
FOXO1	1.61116666666667
CRLF3	-0.088875
C20orf107	-0.114
FARS2	0.45525
CCDC28A	0.33525
NPHP3	-0.79075
OR13F1	0.232
TSEN54	-0.12975
DEFB106B	0.0386
OR8B4	1.325
STH	1.23575
ZC3H14	-0.96175
CBX2	0.53
TMEM49	-0.26975
C6orf21	0.443
FLJ20920	0.347625
CRTAP	0.506
DDX50	-0.0895
STYXL1	-0.6775
BLVRB	0.582333333333333
LOC147650	0.184333333333333
MMP24	0.57875
GRID1	2.24683333333333
BANF1	-0.939166666666667
CTAGEP	0.28625
HMBS	-2.633
SLC25A24	0.7555
C14orf50	0.3115
MRO	0.270666666666667
SLC25A15	-0.8555
FAM84B	1.1773
TDP1	-1.7315
C16orf78	-0.200833333333333
C11orf57	-0.726375
RFK	-0.256375
ZFYVE9	-0.66575
STCH	-1.1092
WIBG	0.42
LOC283871	-0.4965
GBA2	-0.3484
NDUFB3	-0.4985
HSD17B13	0.683
GRIN3A	1.41733333333333
FMNL1	-0.189333333333333
SEPT7	-0.6484
GNLY	3.2155
GRAMD1C	2.207
ZNF165	-0.54775
USP38	1.2005
FAM83A	-3.96
C14orf24	1.36125
ARMCX3	1.30125
ARHGDIB	1.10166666666667
AK1	0.616625
KIAA1045	-0.484
DNAJB13	-0.5365
NEU2	0.3185
HIST1H4B	-2.4075
FAM20B	-0.3532
HES2	0.453071428571429
FAM73B	-0.2058
LOC388381	0.39525
INTS7	-0.792181818181818
AMPH	0.28275
ZNF775	-0.1285
UCKL1	-0.762
C10orf97	-0.057
C1orf161	-0.06575
ALDH1L1	1.80925
FLJ39378	0.159375
SLC23A1	-2.33
RBM4B	-0.3785
THAP4	0.258
OGFRL1	0.4905
KIAA0831	0.0675
PPP1R15A	0.447
C1orf96	-1.02464285714286
C12orf11	-1.30975
BMF	0.529
MAN1A1	0.284875
KIAA1600	0.694833333333333
NLGN4X	0.415
ALOX12	-1.34433333333333
RB1CC1	-0.2985
NEIL2	0.5149
EIF4E	-0.180181818181818
ABHD5	-0.25225
EXOC4	-0.189666666666667
CIP29	-0.320333333333333
BATF2	0.3865
SLC29A4	0.06575
HTR4	0.294
EMB	0.1615
TRAF6	0.2545
LMNB1	-3.26125
FAM19A5	-0.7395
SHE	2.207
PIK3C2B	1.929
C15orf15	-0.4806
USP15	0.1661
TCEAL2	1.961
C5orf39	-0.9345
PTGER2	-0.9205
SLC31A1	-1.394625
IFT172	0.54725
ADAM29	-0.22575
GFOD1	1.32375
ST7L	0.731
C15orf26	-2.76525
PKN3	-0.67425
CNTD1	3.1655
COMMD1	0.418
NTRK2	3.68208333333333
FOXN3	0.54875
MFGE8	0.4616
PFKFB2	-0.266166666666667
TAS2R4	-0.222
ENTHD1	0.400166666666667
PRMT5	-1.251
MGC16384	-1.38375
LOC442229	-0.4165
TSKU	-0.39075
KRTCAP3	3.242125
PDLIM1	1.2171
KCNS2	0.28125
RNF126	-0.0356666666666667
CEP63	-0.101375
CLIC4	0.049875
hCG_1990170	1.326
ACR	0.5339
KLK7	4.19425
ALOX5AP	3.449375
RIPK3	4.1405
TAS2R9	-0.1435
C19orf18	0.371
BIRC6	0.298285714285714
ZNF16	0.938
RFT1	-0.22275
SLC8A2	-0.84475
TACC1	0.496875
ITGAD	1.8115
SAMHD1	1.19325
SH3PXD2B	0.8496
EPC2	1.30875
C20orf85	0.661875
ATP13A2	0.316833333333333
KRT4	0.35275
CAPNS1	0.116
MDM2	-0.247583333333333
PCDH20	3.00475
KCNK9	1.041
OR2C1	-0.164
KLHDC3	-1.273
IPPK	0.945
EFHD2	0.242
GALR3	0.69675
NBEA	1.56216666666667
ABCA6	2.9994
CLDN3	0.898166666666667
AKT2	0.177285714285714
EGFR	-0.939
RBM16	-0.002875
ZDHHC3	0.5253
SLC25A4	0.260166666666667
CYB5B	-0.578166666666667
CPXM1	-0.0845
NDRG1	-0.687461538461538
FLJ43826	0.5495
OR5L2	0.1064
FARP2	0.6831
MRPL46	-0.44825
LDHAL6B	0.469166666666667
MAPKAPK3	-0.019
NCAM2	-1.8725
PRKD2	0.675
ZFP36L1	1.0469
CYSLTR1	-0.66075
OR4C3	0.74275
HIST1H2AJ	1.2675
CCNB2	-3.014
ZNF10	-0.01825
TMEM175	0.368
FAM134A	1.59816666666667
TIGD4	-0.848
PCNP	-0.20325
MGC39715	0.6655
LQK1	-1.01775
CREB1	0.5385
TMPRSS3	-0.55075
C4orf32	2.231125
LAT	-1.29766666666667
KCNA3	-0.9965
SKIV2L2	-0.90975
ROPN1B	0.48625
tcag7.23	-0.4145
CDT1	-3.533625
ZHX2	1.090125
CD28	-2.7465
ZNF624	0.7775
SEPT2	0.239666666666667
SOHLH2	-2.38442857142857
MCOLN3	2.177625
UNQ1945	0.087
MASP2	-1.363
ZNRF3	1.0395
GPATCH3	-0.52225
AGL	0.8555
QRICH2	-0.329
PSD4	1.53166666666667
CCNB1IP1	-2.10425
ENPP7	0.13725
OBFC1	0.17875
KCNG3	-2.11666666666667
C14orf79	0.0966666666666667
ENPEP	1.98566666666667
SCT	1.759
SKI	0.49725
SEC61G	-1.582
CAPN11	0.76225
ATXN7L3	0.248
DBNDD1	0.295333333333333
FAIM	-0.217
ANKRD36	-0.0205
GABRP	4.2525
TACSTD2	1.9955
EIF3J	-0.57825
PPP2R2A	-0.56075
TEKT4	-0.238333333333333
PVALB	-1.3935
F10	-2.91866666666667
FAM134C	1.3527
COMP	4.95475
EFCBP1	-2.6200625
SCLT1	0.24275
TAL1	-0.6595
ACSL1	2.562
ABCC5	1.26058333333333
ABL1	-0.602555555555556
RBBP7	-0.247333333333333
PTPRG	-0.397625
NCOR1	-0.2714
SPINK4	1.54766666666667
TXNRD1	-1.0997
TNRC15	0.24925
C9orf138	0.24025
UBE2H	0.728
BRDT	0.895166666666667
C8orf31	0.22475
CCNE2	-2.64154545454545
SLC6A8	-1.96075
CALCR	-3.5695
PPP1CB	0.802166666666667
ABHD8	0.43425
ARF5	0.4324
SLC24A4	0.42975
CCT3	-0.6275
ZNF121	0.18825
SLC3A2	-0.6511
OR13A1	-0.269
SLC5A10	0.60475
RAD50	-0.7465
IER5	0.91025
MTHFD1L	-1.717875
MBTPS2	-0.03475
MVK	-0.16375
NCL	-0.302
PSMD10	-0.38925
MOBP	0.0375
FLJ32894	0.492
HRH1	0.472666666666667
C5orf30	1.3935
NUDT16L1	0.6441
RASGRP3	4.38233333333333
PRKRIP1	-0.363
CCDC75	0.1855
LOC253970	0.0526666666666667
KIAA1239	2.59025
MED21	-0.56
SYT11	0.85475
NTSR2	-1.505
EGFL11	0.049
CXorf59	0.884
OR2A25	0.58
SPTBN2	-0.297
LRMP	-0.778333333333333
RNF111	0.1545
PTH	0.728
LOC619208	0.388833333333333
KIAA0895	0.632
RANBP5	-0.941125
P2RY10	1.53516666666667
NME5	4.41433333333333
DDX21	-0.6085
LRSAM1	0.477
HDAC11	1.682
VMO1	2.981
NOLA2	-0.562666666666667
ADAR	0.248666666666667
MTO1	-1.47533333333333
SF4	0.398166666666667
P2RX1	-0.165
HBM	0.0995
EN2	0.409
C14orf172	0.17375
TM9SF2	0.2843
INHBE	-0.839666666666667
TCTE3	-0.282583333333333
TOX2	-2.004
CTAGE3	-0.15725
HBB	4.3951
MED15	-0.432833333333333
CASR	-0.7005
C6orf66	-1.31666666666667
MTPN	-0.742
UNC50	0.2375
C21orf33	-0.162125
IRF2	1.26775
PGR	1.1475
GPR84	2.86425
CROCCL1	-2.39
SRPX	-0.688
BRE	-0.109333333333333
FGF10	2.577
SDC3	0.866
ZRSR1	0.639333333333333
DKFZP434P211	-0.344125
SOX6	-0.055
RPUSD2	0.1765
C14orf173	-0.0904166666666667
MAPK11	1.10883333333333
TBC1D22A	0.9325
FAM123A	-0.1075
COL4A6	-1.62866666666667
TOMM70A	0.2365
NAB1	0.29125
MGC16385	-0.678125
TSPAN18	-0.0671666666666667
MED31	-0.424
PLG	-0.31425
CAPSL	2.928
ZNF532	0.9464
ASB14	0.04825
CA8	0.76375
NUDT16P	0.383833333333333
SLFN11	-0.617
LRRIQ2	0.156875
NOL7	-0.431
BRMS1L	-0.78525
JARID1A	0.054
PANK2	-0.29725
ICAM3	-0.1815
MDS1	0.098
TAF8	-0.90475
RNF139	0.74825
ZNF594	0.136166666666667
ADAM8	0.489375
SFTPC	-0.210375
MAN2B2	1.616625
RGS12	0.324625
EIF1AY	-4.693
LRRIQ1	-0.0795
GPR150	1.193
CCDC21	-1.48916666666667
PRRG3	0.439
SAA4	-0.977
RAPGEF5	2.916
ZCCHC2	-0.11725
MGC39372	0.0405
PPP4R2	0.1305
CDCA2	-2.87766666666667
OR4D5	0.1545
PTGFRN	0.7974
SIGLEC5	2.044
C19orf61	-0.192333333333333
NMUR2	0.2255
KIAA1586	-1.4455
DAGLA	0.732666666666667
CHCHD6	0.219
GPR32	0.6725
NEUROD6	0.4865
SLC2A4RG	0.3963125
CA5B	0.0945
FBXL3	1.079
MPHOSPH9	-1.44825
HMG2L1	0.5955
HCN4	0.419166666666667
CEACAM19	0.45325
SH2D4B	0.112
HFE2	-1.952
TGM4	0.528166666666667
LYPD2	0.47775
TBC1D15	-0.3475
MRPS21	-0.7669
NONO	-1.2058
CLEC5A	2.784875
ITCH	-0.1679
MGAT3	-0.231333333333333
MBP	0.00750000000000003
RPP25	-0.3835
SOSTDC1	1.7025
HRC	-0.60975
TRIM48	-0.001
TMEM133	0.1275
ECEL1P2	-0.7165
HOXC11	-0.4865
DOK5	1.4365
HELZ	1.04383333333333
LOC348180	-1.05425
MGC33894	0.0695
ADRB3	-0.0595
DMD	0.576909090909091
PTRH2	0.01775
MPEG1	3.26383333333333
NDUFA12	-0.202
KRTAP2-4	-0.00958333333333328
STAMBPL1	-0.797666666666667
ADCY2	-0.1606
UNQ6125	-0.1865
KLHL20	0.322833333333333
SRM	-1.5005
OTC	0.1085
TMIE	-0.0255
SNX8	0.2665
LIPK	0.738
CHURC1	-0.37725
KLC2	0.271
HDAC1	-0.8675
FAM128A	1.30933333333333
FNDC3B	-0.241
MTCP1	-0.8265
WFDC10B	-0.1491
PCDHGB3	-0.5875
ATRNL1	-2.0846
CAV2	1.3545
MED26	0.250833333333333
DUS1L	0.32725
CHRM3	-1.7315
NEK9	0.0795
WARS2	-0.48775
TBX22	-0.322
TOMM40	-0.804
RP6-213H19.1	-1.41833333333333
TUBGCP5	-0.62725
IGSF6	5.67725
TPPP	-0.533
UNQ6190	-0.0565
GSTM5	0.12925
BTD	0.878833333333333
PDCD1LG2	0.806666666666667
SNRPB2	-0.190166666666667
ERICH1	0.191625
APOA4	-1.8035
HOXA11	-1.23275
NARG1	-0.414125
MKX	3.9
RAB28	-0.0656428571428572
PKP3	0.4135
SH3GL2	-2.515
CTSO	4.4015
RPN2	-0.0255625
IL28RA	0.47
SFMBT1	0.81025
WDR57	-0.728375
FER1L3	1.03816666666667
HSF5	0.912
TTC9B	-0.23725
C4BPA	-1.1815
ALB	-4.94291666666667
SORBS3	0.98025
UPF2	0.5515
JPH1	-0.5295
AGBL2	0.74175
DOPEY1	1.4255
TERF1	-0.0870833333333334
KIF22	-0.921
NINJ1	1.82675
SEC61A2	-0.843166666666667
HIST1H1D	-1.05966666666667
SFXN4	-0.111375
UCP3	-0.1189
ZNF703	1.34916666666667
MYL6B	-0.5015
TREM1	2.28775
OR52E6	-0.12
CKMT2	3.933
HLA-C	2.07625
SLC13A3	-2.026
TIMP4	1.70175
SLIT2	2.8335
RSF1	-0.478111111111111
LONRF1	-0.565928571428571
MON1A	0.184
CACNG6	-1.55416666666667
DPPA4	-5.62516666666667
ZSWIM3	-0.24825
ZNF804A	0.591833333333333
CCIN	1.9795
SLC25A31	0.3085
KCNMB4	-0.62675
RABL5	0.3645
GALNS	-0.4162
STX6	-0.24425
HIST1H1C	0.124333333333333
CIDEB	-0.717375
CASP4	0.520166666666667
PDK3	-1.1163
KCNJ11	2.009
TPR	-0.517875
ZSCAN20	-0.522
MTX2	-0.1445
HIST1H2BH	1.0785
LOC283767	2.01675
LYRM7	-1.09855555555556
BRD3	0.0755
HIST1H2BO	0.64325
MAGEB10	0.405
SLC45A1	0.55575
SERPINA3	2.992
KIAA0143	1.10675
KCNJ16	1.27566666666667
KRT79	-0.1705
FABP2	-0.79575
NUT	-0.264666666666667
ZNF57	-0.40725
FBXL4	-0.08125
CLEC9A	2.4845
UGT8	-0.7805
BMP2K	0.66675
MAPK4	-2.65525
SLC25A23	-0.0368
HINT1	-0.5151
KRTAP13-1	0.412
SFXN5	-0.2998
CHCHD2	-0.176583333333333
FAM3D	3.171
NDP	-2.58975
RHOBTB1	-0.312333333333333
SLC4A4	-0.6915
RPL38	0.47525
HTF9C	0.111166666666667
AP2A2	0.11425
ZBTB46	-0.4875
MAP7D1	0.50075
AOX1	-0.704166666666667
CYR61	1.70466666666667
DTNA	0.756785714285714
JRKL	-0.2345
TMOD3	0.07625
EEA1	0.3284
ADCK5	-0.9725
IL1R1	1.51433333333333
KLK3	0.195714285714286
HRSP12	-0.78125
KTN1	0.952
LOH11CR2A	0.2758
RELL2	-0.43925
MAB21L1	1.20175
C20orf59	-0.971166666666667
PHKB	-0.5335
ADAM2	-1.78883333333333
TBC1D8B	1.08933333333333
FAM13A1	-0.7220625
LAPTM4B	-2.04208333333333
LCN8	-0.1195
TMEM147	0.3515
SYT4	4.24066666666667
XPO7	-0.272
C9orf62	0.977
GPR75	0.26
TRIM5	0.1135
APOC1	0.245333333333333
RNASE4	1.98233333333333
PARD6B	0.016625
ARID1A	-0.211833333333333
TPD52L3	0.189
RRAGB	1.2645
RCN2	-0.680666666666667
HIST2H2BE	1.079375
STARD7	0.151
SHMT2	-1.78975
KIAA1751	-0.359833333333333
MLYCD	0.28175
LOC162632	0.0697
UQCRH	-1.94225
RP11-217H1.1	-0.2065625
SDHA	-1.23816666666667
NCLN	-0.2443
ZNF17	0.936833333333333
RCBTB2	-1.278
VEGFB	0.089
RP4-747L4.3	0.5135
COLQ	0.3927
MPN2	-0.892666666666667
DRG2	-0.487
KLRB1	5.05775
ALPK2	-2.615
DNASE2B	1.98225
FLJ23834	1.33533333333333
AXUD1	1.59316666666667
SAFB	-0.2151
NSUN4	-0.72625
RFX2	-0.0803333333333333
MAPK8IP1	-0.00733333333333335
FANCD2	-1.90085714285714
ANKZF1	-1.38516666666667
C19orf50	-0.428625
DUSP8	1.067
SENP5	-0.60425
NFKBIL2	-0.92475
LBR	-1.112625
IGFL1	1.0815
LZTS2	0.524
IL2RG	-0.522625
CCDC51	-0.0545
KLF3	0.30225
ANKRD37	-1.29625
KCTD14	-0.284333333333333
FZR1	0.237083333333333
SLC44A4	3.3079
ESPL1	-1.67875
GMPR2	-0.3106
TBC1D19	-0.613333333333333
ERGIC1	1.18944444444444
ERBB4	2.4452
TSPAN32	-0.0393333333333333
MAP4	0.19575
GPHN	-0.53725
SLC6A2	0.55575
HIVEP1	1.00525
DFFB	-0.4433
EIF4EBP2	0.085875
DMRT1	-0.16675
HSPB6	0.46
IER2	0.963666666666667
AIFM1	-0.298
WWC2	0.363666666666667
MRPL4	-0.70325
FLJ21062	1.19783333333333
EPB41L4A	1.45958333333333
SH2D6	0.1615
TAF4B	-1.44975
GAL3ST3	-0.159
MALT1	-1.3195
RTDR1	0.16075
ARVCF	-0.005125
MEX3B	-0.542666666666667
FBXO16	1.1975
KIF7	-0.3905
C1QC	4.26133333333333
ZNF783	-0.653833333333333
ZNF85	0.35275
MMP13	4.0105
KIAA0329	0.735
RTP3	-0.352
ZBED3	-0.12225
CLGN	2.06375
SLC25A37	-0.837916666666667
hCG_18290	-0.0285
OR5AS1	0.072
SMARCC2	0.475333333333333
FAM109A	-0.167333333333333
CCDC12	0.424
USF2	0.5507
DEPDC7	-2.509
C20orf24	-0.815833333333333
JMJD3	0.2125
DSP	0.125571428571429
SLIC1	0.594625
FAM20A	1.239625
IRF2BP2	0.087625
ZNF230	-0.0935
MSN	0.325571428571429
SLC9A5	-1.85
EPDR1	-1.5156
