Hybridization REF	TCGA-E2-A154-01A-11R-A115-07
GBP7	0.0286666666666667
STK17A	-0.617
ABR	0.22375
OR9G1	-1.127
FOXE1	-0.733625
CNGA3	0.6
GML	0.6285
CD38	-4.1925
ZDHHC6	0.66
NEFH	-1.7495
CTDSP2	0.973666666666667
PGBD5	-1.442
CCNY	0.468714285714286
RMND5B	0.641083333333333
ZNF257	0.364
FLJ22167	0.696875
EXOSC7	-1.1235
ROR2	1.38025
MAOA	-2.116125
TNNT3	0.0373333333333334
GYPC	-1.9815
C7orf33	0.4315
PLIN	2.057
LOC90826	-0.4305
RNF4	0.0594
F8A1	-0.373166666666667
PLEKHG4	-1.20675
GRB2	0.00125000000000002
HIST1H2AD	0.23725
DUS3L	-0.5435
EIF1	-0.315333333333333
RP5-1077B9.4	-1.2235
FPGT	1.3
GDF10	-0.7555
COQ9	-0.767
GCC2	0.281642857142857
RARRES3	2.7185
PLXNA1	-0.506
KIAA0100	-0.4294
PMF1	0.02375
FNDC1	5.929
HS2ST1	-0.5055
CRELD2	0.285
C8G	-1.901
CD82	0.93225
LIM2	-1.075
UNQ6490	1.2525
MMP16	-0.38575
DRD3	-0.09875
C5orf26	-0.665
C11orf73	-0.58125
PTP4A2	0.727625
OR4M2	0.958
HPCA	-0.833166666666667
SEC14L1	-0.237166666666667
CHFR	-0.505875
EMILIN1	0.669625
NDUFS4	-0.1495
COL18A1	-0.32125
PDZD3	0.2534
C9orf16	-0.271166666666667
ERBB2IP	-0.0321666666666667
EMX2	3.88225
FUS	-0.31375
TF	-3.878
CLCN4	-0.2985
CXorf56	0.00675
C11orf72	0.14175
ELAC2	-0.596416666666667
NPR1	-1.28725
ASS1	-3.2175
USP42	0.39875
POLR2J	0.274
SEC23IP	1.24316666666667
UQCRC1	-0.1715
LOC729603	-0.329
C1orf71	-0.130875
POLG	-1.188
ADAM23	-3.538
TFR2	-1.02275
RICTOR	-0.8251
MGC39606	-0.15925
C19orf55	0.013125
SNAPC1	-1.07283333333333
GNA11	0.6235
CCDC52	0.5405
FSIP1	5.066
UPF3A	0.311375
IGSF11	-2.2765
LAGE3	-0.86
CHST6	-0.481
UNC13B	-0.391875
TTLL4	-0.253375
ZNF687	0.552375
SDC2	1.9548
COX7A2	0.0925
LAMB4	-0.068
FAM24A	0.067
LRRTM3	-1.20366666666667
GPHB5	0.29775
OR4C13	0.1865
EIF3EIP	0.177857142857143
HABP4	-1.3205
TMEM125	2.637
CNTN2	0.760625
ASNSD1	0.139
FUT4	-0.7815
ACF	-3.59225
LOC158381	0.091
CDH8	-0.444
AGPS	0.4235
C4orf18	3.933875
PECI	-0.7095
UNG	-0.678
GSTP1	-1.764
DCUN1D5	-1.4945
DKFZP564J0863	-1.1095
SLC9A3R1	1.556375
BCDO2	-0.11525
CHMP7	0.377125
REM2	1.939
DNHD1	-0.69175
FKBP4	0.516625
ZNF350	1.326
MGC11102	-0.5145
BST1	0.533
KISS1R	0.237
NCR2	0.369
DEFB125	1.9135
UBE2W	0.714
KRT15	-0.863875
C10orf99	0.081
SCN11A	0.023125
GFI1	-3.876
RDHE2	3.37266666666667
FHL1	-1.49183333333333
OSGEP	-0.0756666666666667
GATA1	-3.964
SMC6	-0.7225
TTTY14	-1.02425
LPIN3	-0.046
RPL4	-0.5443
RBPMS	0.6443
PRPF3	0.538833333333333
EMR1	-2.1625
SPATA19	0.1255
XCR1	-0.0945
IRX3	2.0425
RBM6	-0.50325
KLF4	-0.332
UNC5CL	1.13725
SEBOX	0.0015
BTK	-1.9035
KRCC1	0.67375
C6orf27	0.3015
SYTL5	0.4505
PRND	1.8145
LOC653319	-1.0095
PIGL	-0.84075
HUS1	-0.223333333333333
SFRS6	0.253333333333333
C17orf77	0.315
UIMC1	-0.779666666666667
FXYD2	-2.1546
LOC283152	1.989
ZNF667	-1.644
ZCCHC12	-0.67
TFEC	2.2949
ATP7B	1.35816666666667
POLD2	0.068
RG9MTD1	0.31175
ACOT2	-0.1265
HIST1H4I	-1.369875
PPARGC1A	-2.561
ETFA	-2.0221
POLRMT	-0.2585
ZNF146	-0.072
MIA2	-1.7205
KLHL6	-2.11183333333333
HOXB5	-0.732125
NENF	1.09483333333333
CUGBP1	-0.5745
PRSS22	1.4345
CASC4	1.0962
CUL4B	-0.238
CENPJ	-0.6095
PITX1	2.16083333333333
FLJ31033	0.334166666666667
CELSR3	0.105333333333333
ZNF568	0.9175
ITSN1	-0.0712499999999999
EHBP1L1	-0.763333333333333
C19orf2	0.171
DCTN1	1.056
LIN28B	-5.3242
TNKS2	0.15175
C1QBP	-0.991375
CADPS2	2.24075
SRMS	0.3485
GJA9	0.617166666666667
MGC24975	-0.2075
TRIM45	-0.357
TSP50	-0.25675
TCP1	-0.81275
TMED7	0.3978
CMA1	0.044
CENPL	-1.00633333333333
PTCRA	-0.1675
FST	-2.36625
VWCE	-4.568
PAWR	-0.0675
ABCC12	0.7325
LDLR	-1.1619
ASTN2	-0.7973
LOC441212	-0.861125
GPATCH8	0.3205
TANC2	-0.281583333333333
KIF4A	-1.4395
C18orf18	-2.5505
PGM1	-1.78475
KIAA0258	0.023
CPD	0.5375
SNCAIP	-1.865
DCT	-4.74683333333333
HLA-DOA	2.16272727272727
OR11L1	0.1155
UPK1B	-0.103333333333333
DNAJB4	-1.07175
UGT1A8	-0.357
HIST1H4L	-1.145
PECR	-1.2975
HSPA2	2.56675
WFIKKN1	-2.0025
SERP1	0.80925
SYDE2	0.9145
TACR2	0.436
NUP85	-0.52525
CD177	-0.733666666666667
LGR5	-2.03616666666667
PIGG	-0.271166666666667
PTHR1	-1.13883333333333
RAB5A	0.3973
FLJ13224	0.0905
USP9Y	-2.7668
C7orf53	-1.2265
LRP1B	1.8005
XAF1	1.8727
ABCG8	-0.2495
ANKDD1A	-0.6835
DAND5	-0.055
SPAG6	-0.206666666666667
LINCR	0.152
ZDHHC22	-1.748625
CCDC60	0.5555
THOC7	-0.2205
TCTA	1.6716
OR8K3	0.16425
NY-REN-7	0.20475
B2M	-0.0528333333333334
C6orf141	-0.28575
LPPR4	2.0365
SQLE	-0.918125
SEPHS1	-0.552
BTBD14B	0.2045
PLRG1	-0.7765
SPG7	-0.6683125
ZNF614	-0.217666666666667
PARD6G	0.0411666666666667
INPP5B	-0.5169
GRPEL2	-0.665875
PPID	-0.8475
TRIM56	-0.01675
UBE2J1	-0.401625
IL20RA	5.52175
LOC387856	0.284
C1orf107	1.28966666666667
UTS2R	0.37025
C19orf22	0.54225
SAFB2	-0.36625
KIAA0652	0.254625
KLRG1	-1.33716666666667
MS4A8B	4.114
FRAG1	1.33025
KIAA1546	0.13975
E2F4	-0.8856
CLEC4M	0.322833333333333
BTBD14A	-2.2725
KIAA0999	-0.1159
GYPA	-4.41
TAC1	1.1808
TRAIP	-0.993
KIAA0232	0.6291
ERCC8	-1.20275
GPX4	-0.2275
KIAA0368	-0.285625
GPR157	-1.06866666666667
CTAGE4	1.504
C9orf30	-1.31533333333333
OR52A1	0.018
HSP90B3P	-0.419
ALG9	-0.2323
BTBD10	0.3595
SDK2	-0.3795
BAIAP3	1.91775
RABGGTB	-1.3435
ANKRD40	-0.2625
KRT74	0.4475
CALCOCO2	0.282857142857143
SNCA	-4.119
TMSL8	-4.31925
C2orf53	-0.2405
ESRRB	-0.31275
ARHGAP26	-1.51325
TDRD9	-3.12075
HRAS	-0.2225
KLRC4	-1.309
JAGN1	0.1325
BSDC1	-0.22275
RNF43	-0.6357
NDUFAF1	-0.34
PHF12	0.4795
OR1L3	0.36125
FOLR2	1.07583333333333
LYZL6	0.109666666666667
tcag7.1260	-2.233
WSB1	-1.23433333333333
PROS1	-1.3622
OSTN	0.258
PSMB8	-0.40725
SOCS4	-0.733
DDIT4L	1.9345
MAS1	-1.2735
MGC34796	0.32475
CSHL1	0.3435
TBCCD1	-0.124
ZBTB7C	0.227
AP2S1	-0.056375
P15RS	-0.4967
VAT1	-0.6469
SHANK3	0.572166666666667
TUFM	-0.371166666666667
THEG	1.254
KRT34	-1.564
SGSM3	0.448875
TOMM22	-0.2385
SOCS3	0.585333333333333
CPO	0.9055
POP4	0.2375
BHLHB3	0.766
MALL	-0.0785
OR1B1	0.0835
PARK2	0.248
GPR124	0.513625
LCE1E	-0.1115
RUVBL2	-0.13275
CGRRF1	0.5265
ACPL2	1.00325
WNT10B	-2.168875
BAIAP2L2	-2.618125
ISCA1	0.2605
C1orf125	0.94525
RPAP1	-0.97875
RAI16	0.816666666666667
RPL27	-0.19575
NLRP9	0.211
EPN1	0.7175
LOC388610	-0.568625
SLC35A1	0.6927
GAL	-4.698
SLC14A2	0.176
RDH11	-1.208
FAM138F	-0.2235
AUH	0.03
FLJ40243	0.0395
C14orf129	0.544833333333333
MBD2	-1.00516666666667
ABHD14B	0.685
PIGT	0.7885
ALS2CR4	-0.7455
ALAS1	-0.4583
FOXO1	0.529833333333333
CRLF3	-0.536125
C20orf107	-0.794
FARS2	0.556
CCDC28A	0.08975
NPHP3	-0.21025
OR13F1	0.2315
TSEN54	-0.32725
DEFB106B	-0.0242
OR8B4	0.6175
STH	3.37475
ZC3H14	-0.566125
CBX2	-0.1785
TMEM49	-1.071
C6orf21	0.4395
FLJ20920	0.91575
CRTAP	0.137
DDX50	0.05625
STYXL1	0.393
BLVRB	-0.725166666666667
LOC147650	-0.1165
MMP24	0.19475
GRID1	1.28666666666667
BANF1	0.3125
CTAGEP	0.27675
HMBS	-2.01375
SLC25A24	0.7775
C14orf50	1.59225
MRO	0.293166666666667
SLC25A15	0.2905
FAM84B	1.3675
TDP1	0.125
C16orf78	-0.112
C11orf57	0.16
RFK	-1.274
ZFYVE9	-0.668875
STCH	0.1453
WIBG	0.3015
LOC283871	-0.556
GBA2	-0.3859
NDUFB3	-0.2715
HSD17B13	-0.77475
GRIN3A	0.140666666666667
FMNL1	-0.624333333333333
SEPT7	-0.4052
GNLY	1.5075
GRAMD1C	0.5665
ZNF165	-0.18625
USP38	1.001
FAM83A	-3.55883333333333
C14orf24	0.395583333333333
ARMCX3	2.0835
ARHGDIB	1.53833333333333
AK1	-0.475
KIAA1045	-0.24525
DNAJB13	0.326666666666667
NEU2	0.356
HIST1H4B	-1.19616666666667
FAM20B	0.1021
HES2	-0.065
FAM73B	-0.4271
LOC388381	0.70575
INTS7	-0.198454545454545
AMPH	2.042
ZNF775	-0.24725
UCKL1	-0.556
C10orf97	0.13425
C1orf161	0.12075
ALDH1L1	-0.6225
FLJ39378	-0.224625
SLC23A1	0.372
RBM4B	0.4855
THAP4	0.508833333333333
OGFRL1	0.782
KIAA0831	0.167625
PPP1R15A	-0.682
C1orf96	-0.492214285714286
C12orf11	-1.4485
BMF	0.592375
MAN1A1	-1.307
KIAA1600	0.522833333333333
NLGN4X	1.65025
ALOX12	-1.30216666666667
RB1CC1	0.1874
NEIL2	0.4277
EIF4E	-0.720454545454545
ABHD5	-0.45875
EXOC4	0.387833333333333
CIP29	-0.712166666666667
BATF2	-0.1605
SLC29A4	-0.691125
HTR4	0.09325
EMB	-1.861
TRAF6	0.59325
LMNB1	-3.684
FAM19A5	-0.87475
SHE	1.865
PIK3C2B	0.212
C15orf15	-1.0033
USP15	-0.3501
TCEAL2	0.31275
C5orf39	-2.29566666666667
PTGER2	-0.904
SLC31A1	-0.812375
IFT172	0.68625
ADAM29	-0.0005
GFOD1	-0.52325
ST7L	0.6905
C15orf26	-2.97025
PKN3	-1.52025
CNTD1	3.22616666666667
COMMD1	0.206375
NTRK2	1.29216666666667
FOXN3	-0.968625
MFGE8	0.0886
PFKFB2	0.415666666666667
TAS2R4	-0.16225
ENTHD1	-0.803666666666667
PRMT5	-0.482375
MGC16384	-0.9275
LOC442229	-0.7645
TSKU	0.219
KRTCAP3	2.885375
PDLIM1	1.6413
KCNS2	0.19975
RNF126	-0.399166666666667
CEP63	0.24525
CLIC4	0.104625
hCG_1990170	-1.67075
ACR	0.277
KLK7	0.43025
ALOX5AP	3.126375
RIPK3	4.27225
TAS2R9	0.00650000000000001
C19orf18	2.8825
BIRC6	-0.0465
ZNF16	0.7355
RFT1	0.028
SLC8A2	-0.43225
TACC1	0.0385
ITGAD	0.5665
SAMHD1	0.1415
SH3PXD2B	0.9605
EPC2	0.41175
C20orf85	5.617125
ATP13A2	0.459833333333333
KRT4	0.188875
CAPNS1	0.81125
MDM2	-0.520083333333333
PCDH20	2.11775
KCNK9	0.417
OR2C1	0.4915
KLHDC3	-0.0768333333333333
IPPK	0.3355
EFHD2	-0.775125
GALR3	0.282
NBEA	0.373166666666667
ABCA6	1.6325
CLDN3	1.28283333333333
AKT2	-0.328357142857143
EGFR	-2.931
RBM16	0.829625
ZDHHC3	-0.0408
SLC25A4	-0.0886666666666667
CYB5B	-1.29983333333333
CPXM1	-1.46225
NDRG1	-1.58638461538462
FLJ43826	0.169
OR5L2	0.296666666666667
FARP2	0.896
MRPL46	-0.798166666666667
LDHAL6B	-0.0035
MAPKAPK3	0.204333333333333
NCAM2	-0.143
PRKD2	0.146
ZFP36L1	0.8597
CYSLTR1	2.405
OR4C3	-0.0585
HIST1H2AJ	0.472
CCNB2	-2.85266666666667
ZNF10	-0.382125
TMEM175	0.0925
FAM134A	1.07033333333333
TIGD4	-0.114
PCNP	-0.1775
MGC39715	-0.113
LQK1	-1.54875
CREB1	0.6534
TMPRSS3	2.163
C4orf32	1.5065
LAT	-2.65358333333333
KCNA3	-0.325
SKIV2L2	-0.85775
ROPN1B	-0.98075
tcag7.23	0.386
CDT1	-2.013875
ZHX2	0.402875
CD28	-2.966
ZNF624	1.15325
SEPT2	0.163166666666667
SOHLH2	-0.643625
MCOLN3	0.12825
UNQ1945	0.1605
MASP2	-1.209
ZNRF3	0.8631
GPATCH3	-0.7165
AGL	0.99375
QRICH2	-0.4635
PSD4	1.44816666666667
CCNB1IP1	-1.15925
ENPP7	0.29275
OBFC1	0.37275
KCNG3	-2.1765
C14orf79	2.07525
ENPEP	0.946333333333333
SCT	0.5945
SKI	0.014
SEC61G	-0.46325
CAPN11	0.52475
ATXN7L3	0.0965
DBNDD1	-0.451333333333333
FAIM	0.467
ANKRD36	-0.634
GABRP	-0.239
TACSTD2	1.6175
EIF3J	-0.44
PPP2R2A	0.42775
TEKT4	1.17516666666667
PVALB	-4.03866666666667
F10	-3.44966666666667
FAM134C	0.6183
COMP	4.77375
EFCBP1	-3.670125
SCLT1	-0.64425
TAL1	-1.7851
ACSL1	-0.318
ABCC5	0.0208333333333333
ABL1	-0.560666666666667
RBBP7	0.187916666666667
PTPRG	-1.31125
NCOR1	0.2801
SPINK4	3.191
TXNRD1	-2.0061
TNRC15	0.458875
C9orf138	1.34125
UBE2H	0.806333333333333
BRDT	-0.399833333333333
C8orf31	-0.0905
CCNE2	-0.621090909090909
SLC6A8	-2.197875
CALCR	-4.15575
PPP1CB	-0.0531666666666667
ABHD8	-0.02825
ARF5	0.4674
SLC24A4	0.72475
CCT3	-0.3765
ZNF121	0.601625
SLC3A2	-1.1658
OR13A1	-0.004
SLC5A10	1.06
RAD50	0.050625
IER5	-0.571125
MTHFD1L	-2.671625
MBTPS2	0.734
MVK	-0.882875
NCL	-0.4058
PSMD10	-0.28725
MOBP	0.203875
FLJ32894	0.519
HRH1	-1.0865
C5orf30	1.71925
NUDT16L1	0.565
RASGRP3	2.83216666666667
PRKRIP1	-0.27
CCDC75	-0.241
LOC253970	-0.0935
KIAA1239	-0.28525
MED21	-0.39925
SYT11	0.119916666666667
NTSR2	-0.5285
EGFL11	0.45
CXorf59	1.6855
OR2A25	0.1115
SPTBN2	-0.12
LRMP	-2.18316666666667
RNF111	0.41475
PTH	-0.788
LOC619208	1.27316666666667
KIAA0895	1.67475
RANBP5	0.038
P2RY10	2.43933333333333
NME5	4.8525
DDX21	-0.86175
LRSAM1	0.965
HDAC11	1.563
VMO1	2.13375
NOLA2	0.0838333333333333
ADAR	1.03808333333333
MTO1	-0.707
SF4	0.262
P2RX1	-0.438666666666667
HBM	-0.11075
EN2	0.253
C14orf172	0.0645
TM9SF2	0.9464
INHBE	-0.670666666666667
TCTE3	0.0320833333333333
TOX2	-4.052
CTAGE3	0.074125
HBB	2.8306
MED15	-0.180833333333333
CASR	0.299
C6orf66	-1.0285
MTPN	0.12025
UNC50	-0.0945
C21orf33	0.059125
IRF2	0.714375
PGR	4.09866666666667
GPR84	1.951
CROCCL1	-1.91925
SRPX	-1.24825
BRE	0.433
FGF10	2.35225
SDC3	-1.1565
ZRSR1	0.525333333333333
DKFZP434P211	0.616375
SOX6	-0.2875
RPUSD2	-0.33725
C14orf173	-0.420833333333333
MAPK11	-0.396166666666667
TBC1D22A	0.325
FAM123A	-0.69
COL4A6	-2.662
TOMM70A	0.25525
NAB1	-0.168125
MGC16385	-0.807625
TSPAN18	-0.203166666666667
MED31	0.2885
PLG	-0.4685
CAPSL	5.537
ZNF532	-0.2597
ASB14	0.23975
CA8	1.753
NUDT16P	2.27566666666667
SLFN11	-0.906
LRRIQ2	0.151625
NOL7	-0.773166666666667
BRMS1L	-0.681
JARID1A	0.134833333333333
PANK2	-0.57025
ICAM3	-0.7695
MDS1	-0.00125000000000001
TAF8	-0.349
RNF139	0.6825
ZNF594	0.472
ADAM8	1.369
SFTPC	-0.018625
MAN2B2	0.7555
RGS12	0.459125
EIF1AY	-4.78225
LRRIQ1	-0.0801666666666666
GPR150	0.5505
CCDC21	-1.03983333333333
PRRG3	0.32575
SAA4	-4.39075
RAPGEF5	2.076875
ZCCHC2	0.092
MGC39372	1.1755
PPP4R2	0.432833333333333
CDCA2	-1.94316666666667
OR4D5	0.311166666666667
PTGFRN	0.6772
SIGLEC5	0.889333333333333
C19orf61	-0.549
NMUR2	0.2965
KIAA1586	-1.21116666666667
DAGLA	0.477166666666667
CHCHD6	-0.86275
GPR32	0.6115
NEUROD6	0.208
SLC2A4RG	0.1518125
CA5B	-0.1215
FBXL3	2.104
MPHOSPH9	-1.428
HMG2L1	1.05825
HCN4	0.1885
CEACAM19	0.42125
SH2D4B	0.288166666666667
HFE2	-0.5495
TGM4	0.46
LYPD2	0.16725
TBC1D15	-0.3845
MRPS21	0.0811
NONO	-0.117
CLEC5A	3.321
ITCH	-0.3324
MGAT3	-1.89816666666667
MBP	-1.023
RPP25	-2.0765
SOSTDC1	-2.02525
HRC	-1.3385
TRIM48	0.09
TMEM133	-0.2815
ECEL1P2	-1.26125
HOXC11	1.756
DOK5	-0.3945
HELZ	-0.0246666666666667
LOC348180	-1.36625
MGC33894	0.07525
ADRB3	-0.0085
DMD	-0.30975
PTRH2	-0.44925
MPEG1	2.65216666666667
NDUFA12	-0.372333333333333
KRTAP2-4	0.04775
STAMBPL1	-1.97233333333333
ADCY2	-0.4648
UNQ6125	0.2255
KLHL20	0.102166666666667
SRM	-0.996
OTC	0.53175
TMIE	0.671
SNX8	-0.698
LIPK	0.276
CHURC1	0.477833333333333
KLC2	0.005
HDAC1	-0.644
FAM128A	0.584333333333333
FNDC3B	-0.588
MTCP1	-0.018
WFDC10B	0.1609
PCDHGB3	0.0055
ATRNL1	-2.3412
CAV2	-0.816875
MED26	0.0425
DUS1L	-0.18875
CHRM3	-1.481875
NEK9	0.7775
WARS2	-0.3165
TBX22	1.924
TOMM40	-0.4945
RP6-213H19.1	-2.22416666666667
TUBGCP5	-0.232
IGSF6	4.157
TPPP	0.488166666666667
UNQ6190	0.477
GSTM5	-0.0355
BTD	1.01133333333333
PDCD1LG2	0.2115
SNRPB2	-0.514166666666667
ERICH1	0.224125
APOA4	-1.712625
HOXA11	-1.268
NARG1	-0.65325
MKX	6.2755
RAB28	-0.669428571428571
PKP3	1.2575
SH3GL2	-0.5605
CTSO	2.318
RPN2	-0.1166875
IL28RA	0.931
SFMBT1	1.156
WDR57	-1.310875
FER1L3	0.773166666666667
HSF5	0.0416666666666667
TTC9B	-0.0655
C4BPA	-4.0345
ALB	-5.2175
SORBS3	0.793375
UPF2	-0.3425
JPH1	1.329
AGBL2	2.28325
DOPEY1	1.039
TERF1	0.188666666666667
KIF22	-0.755
NINJ1	1.8055
SEC61A2	-0.49525
HIST1H1D	0.145
SFXN4	-0.101875
UCP3	0.0851
ZNF703	1.08083333333333
MYL6B	-1.1485
TREM1	2.88225
OR52E6	0.802
CKMT2	0.52425
HLA-C	0.563875
SLC13A3	-2.2305
TIMP4	-1.46875
SLIT2	1.719
RSF1	0.0138888888888889
LONRF1	-0.365714285714286
MON1A	-0.281333333333333
CACNG6	-1.97333333333333
DPPA4	-5.83466666666667
ZSWIM3	0.01975
ZNF804A	-0.285833333333333
CCIN	1.56025
SLC25A31	-0.139
KCNMB4	-0.47675
RABL5	1.391375
GALNS	0.0073
STX6	0.561125
HIST1H1C	-0.960833333333333
CIDEB	1.15
CASP4	-1.43266666666667
PDK3	-0.4562
KCNJ11	1.766
TPR	-0.2645
ZSCAN20	-0.585
MTX2	-0.05375
HIST1H2BH	-0.44825
LOC283767	1.30575
LYRM7	-0.850888888888889
BRD3	-0.0115
HIST1H2BO	-0.5865
MAGEB10	-3.2805
SLC45A1	0.76575
SERPINA3	2.96645
KIAA0143	1.0395
KCNJ16	-0.0438333333333333
KRT79	0.000500000000000007
FABP2	-0.60825
NUT	-0.70575
ZNF57	0.01
FBXL4	0.6295
CLEC9A	0.0925
UGT8	-1.077
BMP2K	-0.03175
MAPK4	-3.90475
SLC25A23	-0.038
HINT1	-0.3239
KRTAP13-1	0.352
SFXN5	-0.8947
CHCHD2	-0.0634166666666667
FAM3D	1.0195
NDP	-1.438625
RHOBTB1	0.421833333333333
SLC4A4	-1.522375
RPL38	0.253
HTF9C	-0.155
AP2A2	0.558375
ZBTB46	-0.5615
MAP7D1	-0.06275
AOX1	-0.8905
CYR61	0.60425
DTNA	-1.65328571428571
JRKL	-1.50075
TMOD3	-0.7855
EEA1	0.1824
ADCK5	-0.276
IL1R1	0.359666666666667
KLK3	1.16271428571429
HRSP12	0.21075
KTN1	0.7545
LOH11CR2A	-0.4241
RELL2	-1.60775
MAB21L1	1.31725
C20orf59	-0.675
PHKB	-0.1145
ADAM2	-2.718
TBC1D8B	2.098
FAM13A1	-1.6153125
LAPTM4B	-1.25325
LCN8	-0.169
TMEM147	0.3885
SYT4	-0.204833333333333
XPO7	-0.2965
C9orf62	0.754
GPR75	0.488
TRIM5	-0.27575
APOC1	-1.37533333333333
RNASE4	1.33183333333333
PARD6B	0.78475
ARID1A	0.504083333333333
TPD52L3	-0.0731111111111111
RRAGB	1.7685
RCN2	-0.876666666666667
HIST2H2BE	-0.28975
STARD7	-0.3565
SHMT2	-1.2795
KIAA1751	-0.233
MLYCD	0.191375
LOC162632	-0.3372
UQCRH	-2.02225
RP11-217H1.1	0.48425
SDHA	-1.06566666666667
NCLN	-0.3502
ZNF17	0.568166666666667
RCBTB2	-1.90825
VEGFB	0.0941
RP4-747L4.3	-0.0615
COLQ	0.3327
MPN2	-0.963833333333333
DRG2	0.2135
KLRB1	2.527
ALPK2	-1.0605
DNASE2B	0.58325
FLJ23834	2.65033333333333
AXUD1	0.7615
SAFB	-0.5152
NSUN4	-0.971
RFX2	0.835
MAPK8IP1	-0.092
FANCD2	-0.450357142857143
ANKZF1	-1.34733333333333
C19orf50	-0.43125
DUSP8	1.061625
SENP5	-0.82775
NFKBIL2	-0.61675
LBR	-2.139375
IGFL1	1.399
LZTS2	0.452375
IL2RG	-1.338
CCDC51	0.129
KLF3	0.840375
ANKRD37	-1.521
KCTD14	0.519166666666667
FZR1	0.130416666666667
SLC44A4	4.0369
ESPL1	-0.805375
GMPR2	0.408
TBC1D19	-0.4335
ERGIC1	0.154074074074074
ERBB4	3.8221
TSPAN32	-0.00499999999999999
MAP4	0.389
GPHN	0.94725
SLC6A2	-0.202375
HIVEP1	0.92525
DFFB	-0.6021
EIF4EBP2	0.73525
DMRT1	-0.00874999999999995
HSPB6	-0.17125
IER2	0.8175
AIFM1	-0.3535
WWC2	0.298916666666667
MRPL4	0.0615
FLJ21062	2.81033333333333
EPB41L4A	0.658166666666667
SH2D6	0.2475
TAF4B	-1.01925
GAL3ST3	0.125
MALT1	-0.849833333333333
RTDR1	0.626
ARVCF	0.209875
MEX3B	-1.40166666666667
FBXO16	1.90625
KIF7	-0.8045
C1QC	3.442
ZNF783	0.009
ZNF85	0.95025
MMP13	5.857
KIAA0329	0.1335
RTP3	-1.307
ZBED3	0.0295
CLGN	-1.21425
SLC25A37	-1.43875
hCG_18290	0.3575
OR5AS1	0.232
SMARCC2	0.50225
FAM109A	-0.222
CCDC12	-0.06875
USF2	0.8176
DEPDC7	-2.05
C20orf24	-0.7885
JMJD3	0.3675
DSP	2.91428571428571
SLIC1	-0.211125
FAM20A	0.526625
IRF2BP2	0.51875
ZNF230	-0.284
MSN	-1.00278571428571
SLC9A5	-1.8385
EPDR1	-1.9392
MUSK	0.261833333333333
ZNF434	0.0523333333333333
SMARCD1	-0.273333333333333
ZFP106	-0.28025
ZNF347	0.7603
GTF2E1	-0.4575
RY1	-0.7385
