Hybridization REF	TCGA-AO-A12H-01A-11R-A115-07
USP9Y	-2.4266
C7orf53	-0.716
LRP1B	-0.16975
XAF1	2.6057
ABCG8	-1.137
ANKDD1A	-0.981666666666667
DAND5	-1.115
SPAG6	2.86016666666667
LINCR	0.54575
ZDHHC22	-1.158625
CCDC60	0.348
THOC7	-0.3845
TCTA	1.4272
OR8K3	0.54775
NY-REN-7	-0.64125
B2M	1.09566666666667
C6orf141	-1.2225
LPPR4	2.25125
SQLE	0.370375
SEPHS1	-0.642
BTBD14B	-0.0269285714285715
PLRG1	-0.41225
SPG7	0.1666875
ZNF614	0.316
PARD6G	-0.2775
INPP5B	-0.4672
GRPEL2	-0.185875
PPID	-0.2819
TRIM56	0.64775
UBE2J1	-0.25625
IL20RA	2.3365
LOC387856	-0.5255
C1orf107	0.116333333333333
UTS2R	-0.99875
C19orf22	0.931
SAFB2	0.2375
KIAA0652	-0.019875
KLRG1	-1.98866666666667
MS4A8B	0.124166666666667
FRAG1	0.54575
KIAA1546	0.7635
E2F4	-1.0731
CLEC4M	-0.0196666666666667
BTBD14A	-0.7205
KIAA0999	2.373
GYPA	-4.496
TAC1	0.2688
TRAIP	-1.68366666666667
KIAA0232	1.041
ERCC8	-1.353375
GPX4	0.736375
KIAA0368	0.208375
GPR157	-1.82466666666667
CTAGE4	1.593
C9orf30	-1.40583333333333
OR52A1	-0.021
HSP90B3P	0.129
ALG9	-0.4098
BTBD10	0.83325
SDK2	-0.20925
BAIAP3	-0.0525
RABGGTB	-0.274125
ANKRD40	0.527
KRT74	0.7145
CALCOCO2	0.812785714285714
SNCA	-3.90625
TMSL8	-4.9605
C2orf53	-0.2665
ESRRB	-0.281
ARHGAP26	-1.098375
TDRD9	-3.45725
HRAS	0.238333333333333
KLRC4	-1.8195
JAGN1	0.1785
BSDC1	1.03825
RNF43	1.3032
NDUFAF1	1.2085
PHF12	0.76825
OR1L3	0.0835
FOLR2	1.9715
LYZL6	0.223666666666667
tcag7.1260	-1.2705
WSB1	-1.28966666666667
PROS1	-1.6363
OSTN	0.4835
PSMB8	0.86
SOCS4	-0.5275
DDIT4L	0.73475
MAS1	-0.791
MGC34796	1.636
CSHL1	0.473833333333333
TBCCD1	0.1895
ZBTB7C	0.3405
AP2S1	-1.08825
P15RS	0.1461
VAT1	-0.5041
SHANK3	0.785833333333333
TUFM	-0.484166666666667
THEG	-0.7605
KRT34	-1.64825
SGSM3	-0.1075
TOMM22	-0.2975
SOCS3	1.9065
CPO	0.5555
POP4	0.3235
BHLHB3	1.66575
MALL	1.28475
OR1B1	-0.315
PARK2	1.5035
GPR124	0.4185
LCE1E	-0.928
RUVBL2	-0.44725
CGRRF1	0.7833
ACPL2	0.17225
WNT10B	-2.53825
BAIAP2L2	-2.22075
ISCA1	-0.11
C1orf125	0.219
RPAP1	-0.6895
RAI16	-0.809166666666667
RPL27	-0.726125
NLRP9	0.00949999999999999
EPN1	0.1655
LOC388610	0.934625
SLC35A1	0.8394
GAL	-4.72825
SLC14A2	0.37475
RDH11	-0.441833333333333
FAM138F	-0.484
AUH	0.72975
FLJ40243	-0.014
C14orf129	-0.417166666666667
MBD2	0.5635
ABHD14B	1.046375
PIGT	1.371625
ALS2CR4	-0.734125
ALAS1	0.3706
FOXO1	0.543166666666667
CRLF3	-0.684375
C20orf107	0.098
FARS2	0.28475
CCDC28A	0.31075
NPHP3	-0.6595
OR13F1	0.116
TSEN54	-0.618
DEFB106B	0.4501
OR8B4	1.3975
STH	1.0225
ZC3H14	-0.338875
CBX2	-0.856
TMEM49	-1.38725
C6orf21	0.4965
FLJ20920	-0.2765
CRTAP	0.44
DDX50	-0.05225
STYXL1	-0.18225
BLVRB	0.38
LOC147650	-0.598666666666667
MMP24	0.24375
GRID1	2.2035
BANF1	-0.3735
CTAGEP	0.351
HMBS	-1.9685
SLC25A24	-0.697333333333333
C14orf50	2.064
MRO	1.26466666666667
SLC25A15	0.77
FAM84B	0.9528
TDP1	-1.061
C16orf78	-0.673
C11orf57	0.085
RFK	0.509
ZFYVE9	-0.24625
STCH	-0.9423
WIBG	0.68025
LOC283871	-0.465
GBA2	-0.0818
NDUFB3	-1.0505
HSD17B13	-2.69025
GRIN3A	1.14916666666667
FMNL1	-0.542333333333333
SEPT7	-0.6651
GNLY	1.8475
GRAMD1C	0.626166666666667
ZNF165	0.70575
USP38	1.03925
FAM83A	-3.88133333333333
C14orf24	0.954416666666667
ARMCX3	1.372
ARHGDIB	0.852333333333333
AK1	0.9395
KIAA1045	-0.29875
DNAJB13	-0.516
NEU2	-0.3035
HIST1H4B	-1.02266666666667
FAM20B	-0.3718
HES2	-0.625923076923077
FAM73B	-0.3453
LOC388381	1.2845
INTS7	-0.395545454545454
AMPH	2.60425
ZNF775	-0.864375
UCKL1	-1.0005
C10orf97	0.07225
C1orf161	-0.34625
ALDH1L1	-1.838
FLJ39378	0.64225
SLC23A1	-1.218
RBM4B	0.18075
THAP4	0.169833333333333
OGFRL1	1.63725
KIAA0831	0.547
PPP1R15A	-0.379333333333333
C1orf96	-0.00785714285714289
C12orf11	-0.5565
BMF	0.912375
MAN1A1	-2.8295
KIAA1600	0.856166666666667
NLGN4X	-2.9025
ALOX12	-0.868333333333333
RB1CC1	0.131
NEIL2	0.532
EIF4E	-0.114363636363636
ABHD5	-0.57175
EXOC4	-0.149666666666667
CIP29	-0.221666666666667
BATF2	1.253
SLC29A4	-1.13775
HTR4	0.366
EMB	1.745
TRAF6	0.5955
LMNB1	-3.9855
FAM19A5	0.26425
SHE	2.13775
PIK3C2B	0.82275
C15orf15	-0.195
USP15	-0.3355
TCEAL2	0.38275
C5orf39	-1.99716666666667
PTGER2	-1.737
SLC31A1	-1.3475
IFT172	0.1975
ADAM29	0.608
GFOD1	-0.59075
ST7L	1.25483333333333
C15orf26	-3.2255
PKN3	-1.212
CNTD1	1.17066666666667
COMMD1	0.00375
NTRK2	1.87433333333333
FOXN3	-0.011375
MFGE8	-0.9079
PFKFB2	0.3535
TAS2R4	0.142
ENTHD1	-1.23033333333333
PRMT5	-1.074375
MGC16384	-1.691375
LOC442229	-0.5275
TSKU	0.7635
KRTCAP3	3.175125
PDLIM1	0.2624
KCNS2	0.19125
RNF126	-0.337166666666667
CEP63	0.6325
CLIC4	-1.207375
hCG_1990170	-1.4185
ACR	1.8949
KLK7	0.04725
ALOX5AP	2.536875
RIPK3	2.46275
TAS2R9	0.26
C19orf18	2.965
BIRC6	0.640142857142857
ZNF16	1.5145
RFT1	-0.5905
SLC8A2	-0.3715
TACC1	-0.6615
ITGAD	-0.13325
SAMHD1	0.9275
SH3PXD2B	0.54
EPC2	1.52625
C20orf85	0.211
ATP13A2	1.2335
KRT4	0.202625
CAPNS1	0.3365
MDM2	-0.2155
PCDH20	1.24475
KCNK9	0.613
OR2C1	0.1805
KLHDC3	-0.5025
IPPK	1.0175
EFHD2	-0.5185
GALR3	-1.23275
NBEA	2.65383333333333
ABCA6	1.2747
CLDN3	0.9905
AKT2	0.460785714285714
EGFR	-3.859
RBM16	0.86025
ZDHHC3	-0.348
SLC25A4	0.702
CYB5B	-0.727333333333333
CPXM1	-1.32625
NDRG1	-1.33153846153846
FLJ43826	0.24825
OR5L2	0.7085
FARP2	0.8678
MRPL46	-1.19583333333333
LDHAL6B	0.503833333333333
MAPKAPK3	-0.00433333333333335
NCAM2	-2.859
PRKD2	0.384
ZFP36L1	0.9843
CYSLTR1	-0.5695
OR4C3	-0.183
HIST1H2AJ	2.159
CCNB2	-2.88922222222222
ZNF10	0.57125
TMEM175	-0.255
FAM134A	1.40183333333333
TIGD4	-0.236
PCNP	0.0595
MGC39715	-0.111666666666667
LQK1	-0.1595
CREB1	0.7801
TMPRSS3	-1.1715
C4orf32	0.1515
LAT	-2.706
KCNA3	0.0665
SKIV2L2	-0.55325
ROPN1B	-1.7645
tcag7.23	0.4185
CDT1	-2.732
ZHX2	0.303
CD28	-2.54475
ZNF624	2.209
SEPT2	-0.224
SOHLH2	-3.075
MCOLN3	-0.244125
UNQ1945	0.0675
MASP2	0.126
ZNRF3	1.5738
GPATCH3	0.04225
AGL	1.393875
QRICH2	-0.077
PSD4	1.6295
CCNB1IP1	-2.45575
ENPP7	0.2095
OBFC1	0.47825
KCNG3	-1.38025
C14orf79	1.598
ENPEP	2.856
SCT	0.53
SKI	0.549125
SEC61G	0.07275
CAPN11	0.112
ATXN7L3	0.6285
DBNDD1	1.019
FAIM	0.30875
ANKRD36	-0.4945
GABRP	-0.765
TACSTD2	1.98566666666667
EIF3J	-0.13425
PPP2R2A	-0.03125
TEKT4	0.241166666666667
PVALB	2.952
F10	-2.902
FAM134C	1.0432
COMP	3.806375
EFCBP1	-3.8770625
SCLT1	0.49
TAL1	-0.5903
ACSL1	2.00725
ABCC5	0.883916666666667
ABL1	-0.363555555555556
RBBP7	-0.29775
PTPRG	0.170625
NCOR1	1.0241
SPINK4	2.75366666666667
TXNRD1	-1.57
TNRC15	0.971375
C9orf138	1.431375
UBE2H	0.985333333333333
BRDT	2.702
C8orf31	-0.29275
CCNE2	-2.03872727272727
SLC6A8	-0.8165
CALCR	-3.417
PPP1CB	0.442083333333333
ABHD8	1.01175
ARF5	0.3938
SLC24A4	0.169
CCT3	-0.54875
ZNF121	0.980875
SLC3A2	-0.8622
OR13A1	0.2585
SLC5A10	0.0795
RAD50	0.328625
IER5	-1.45525
MTHFD1L	-2.2105
MBTPS2	-0.5285
MVK	-0.27575
NCL	-0.3115
PSMD10	-0.157
MOBP	0.350857142857143
FLJ32894	2.279
HRH1	-1.04716666666667
C5orf30	2.4625
NUDT16L1	1.2272
RASGRP3	4.5015
PRKRIP1	-0.3235
CCDC75	0.82
LOC253970	-0.06775
KIAA1239	-1.306
MED21	-1.222
SYT11	0.0128333333333333
NTSR2	-0.1395
EGFL11	1.2695
CXorf59	1.257
OR2A25	0.5935
SPTBN2	-1.9445
LRMP	-1.59783333333333
RNF111	0.477
PTH	0.493
LOC619208	-0.2645
KIAA0895	1.364
RANBP5	-0.374875
P2RY10	1.1635
NME5	4.042
DDX21	-0.71525
LRSAM1	0.396
HDAC11	1.19566666666667
VMO1	2.274
NOLA2	-0.101
ADAR	0.409
MTO1	-0.371166666666667
SF4	0.677666666666667
P2RX1	0.178666666666667
HBM	0.3855
EN2	-0.948
C14orf172	-0.324
TM9SF2	0.4248
INHBE	-1.08166666666667
TCTE3	0.0179166666666667
TOX2	-3.187
CTAGE3	0.73775
HBB	3.915
MED15	-0.644
CASR	0.25825
C6orf66	-0.874833333333333
MTPN	0.1285
UNC50	-0.246
C21orf33	0.139875
IRF2	1.28825
PGR	-0.566166666666667
GPR84	2.98075
CROCCL1	-1.63625
SRPX	-2.975
BRE	0.182833333333333
FGF10	1.37125
SDC3	0.830166666666667
ZRSR1	1.13783333333333
DKFZP434P211	-0.39525
SOX6	-0.0105
RPUSD2	-0.557
C14orf173	-0.41575
MAPK11	-0.199
TBC1D22A	0.376
FAM123A	-0.508
COL4A6	-0.7215
TOMM70A	0.22075
NAB1	-1.156375
MGC16385	0.299375
TSPAN18	-0.0338333333333333
MED31	0.14725
PLG	-0.58875
CAPSL	2.376
ZNF532	0.698
ASB14	-0.59725
CA8	-3.946
NUDT16P	3.553
SLFN11	-1.5835
LRRIQ2	-0.232
NOL7	-0.218833333333333
BRMS1L	-0.56075
JARID1A	0.196666666666667
PANK2	-0.24
ICAM3	-1.0985
MDS1	-0.3035
TAF8	0.01
RNF139	1.0275
ZNF594	1.28433333333333
ADAM8	0.70625
SFTPC	-0.263125
MAN2B2	1.18125
RGS12	0.7748125
EIF1AY	-4.53483333333333
LRRIQ1	-2.39166666666667
GPR150	-1.11975
CCDC21	-0.804
PRRG3	0.55925
SAA4	-4.3535
RAPGEF5	-0.7625
ZCCHC2	-0.29175
MGC39372	1.732
PPP4R2	-0.00733333333333332
CDCA2	-2.07116666666667
OR4D5	0.515
PTGFRN	0.1454
SIGLEC5	1.54583333333333
C19orf61	-0.0885
NMUR2	0.618
KIAA1586	-0.407833333333333
DAGLA	0.565833333333333
CHCHD6	-0.33975
GPR32	0.297
NEUROD6	-0.620833333333333
SLC2A4RG	0.490375
CA5B	-0.1315
FBXL3	1.22425
MPHOSPH9	-0.933
HMG2L1	0.85225
HCN4	-1.049
CEACAM19	0.632
SH2D4B	0.637333333333333
HFE2	-0.612
TGM4	0.72475
LYPD2	0.26675
TBC1D15	-0.07325
MRPS21	-0.5474
NONO	-0.7356
CLEC5A	3.00025
ITCH	0.1457
MGAT3	-1.58866666666667
MBP	-0.0628749999999999
RPP25	-0.1625
SOSTDC1	-3.82275
HRC	-1.276
TRIM48	-0.491
TMEM133	1.216
ECEL1P2	-1.55625
HOXC11	-0.67
DOK5	-0.718
HELZ	-0.264166666666667
LOC348180	-0.549
MGC33894	0.17325
ADRB3	0.081
DMD	-0.456166666666667
PTRH2	-0.61675
MPEG1	3.42933333333333
NDUFA12	-0.0516666666666667
KRTAP2-4	-0.338916666666667
STAMBPL1	-1.25933333333333
ADCY2	-2.097
UNQ6125	-0.28
KLHL20	0.332333333333333
SRM	-1.276
OTC	-0.03875
TMIE	-0.2235
SNX8	-0.899
LIPK	2.707
CHURC1	0.5395
KLC2	0.477833333333333
HDAC1	0.0606666666666667
FAM128A	0.742666666666667
FNDC3B	-1.162
MTCP1	-0.172166666666667
WFDC10B	1.6536
PCDHGB3	1.686
ATRNL1	-0.5959
CAV2	-1.12425
MED26	0.553833333333333
DUS1L	0.222
CHRM3	-1.374375
NEK9	0.6545
WARS2	0.68025
TBX22	0.2645
TOMM40	-0.9995
RP6-213H19.1	-1.79316666666667
TUBGCP5	0.209
IGSF6	5.00525
TPPP	2.74733333333333
UNQ6190	-0.3105
GSTM5	1.743875
BTD	0.677166666666667
PDCD1LG2	-0.198
SNRPB2	-0.588
ERICH1	-0.516875
APOA4	-1.45225
HOXA11	-1.7705
NARG1	-0.732125
MKX	3.44875
RAB28	-0.422214285714286
PKP3	1.61575
SH3GL2	1.7805
CTSO	3.0645
RPN2	-0.122125
IL28RA	-0.176
SFMBT1	1.30175
WDR57	-1.2405
FER1L3	1.92391666666667
HSF5	-0.00616666666666669
TTC9B	1.10325
C4BPA	-4.48783333333333
ALB	-4.48278571428571
SORBS3	0.683
UPF2	0.0665
JPH1	-0.183
AGBL2	0.909
DOPEY1	1.8505
TERF1	0.399333333333333
KIF22	-0.668833333333333
NINJ1	0.826
SEC61A2	-0.310666666666667
HIST1H1D	-1.23583333333333
SFXN4	-0.127875
UCP3	-0.5046
ZNF703	1.21716666666667
MYL6B	-1.20125
TREM1	2.594
OR52E6	0.508
CKMT2	0.49925
HLA-C	2.214
SLC13A3	-2.05516666666667
TIMP4	-2.017
SLIT2	1.15475
RSF1	0.773833333333333
LONRF1	-1.03885714285714
MON1A	-0.4295
CACNG6	-2.53
DPPA4	-5.37633333333333
ZSWIM3	0.30525
ZNF804A	0.7444
CCIN	1.37725
SLC25A31	0.5715
KCNMB4	3.31575
RABL5	0.63775
GALNS	0.217
STX6	0.9985
HIST1H1C	-0.0856666666666667
CIDEB	-0.628875
CASP4	-0.216166666666667
PDK3	-0.417
KCNJ11	1.801
TPR	-0.475375
ZSCAN20	-0.982
MTX2	0.0485
HIST1H2BH	0.363
LOC283767	1.72775
LYRM7	-0.919888888888889
BRD3	0.324
HIST1H2BO	0.155
MAGEB10	0.7995
SLC45A1	2.6815
SERPINA3	2.17445
KIAA0143	1.1905
KCNJ16	-0.416166666666667
KRT79	-0.22225
FABP2	-2.01366666666667
NUT	-0.4825
ZNF57	-0.4775
FBXL4	0.606125
CLEC9A	0.7665
UGT8	-1.796
BMP2K	2.3505
MAPK4	0.41575
SLC25A23	-0.1515
HINT1	-1.3609
KRTAP13-1	0.4515
SFXN5	0.3537
CHCHD2	-0.1495
FAM3D	1.4555
NDP	3.454875
RHOBTB1	1.36083333333333
SLC4A4	-1.9205
RPL38	0.57575
HTF9C	0.212333333333333
AP2A2	0.815375
ZBTB46	-0.2745
MAP7D1	-0.24425
AOX1	-2.90183333333333
CYR61	0.28
DTNA	-1.56235714285714
JRKL	-0.3585
TMOD3	-0.62425
EEA1	0.2794
ADCK5	-0.29075
IL1R1	1.333
KLK3	-0.443642857142857
HRSP12	0.04975
KTN1	0.02175
LOH11CR2A	-0.0723
RELL2	-1.25375
MAB21L1	2.11875
C20orf59	-1.04266666666667
PHKB	0.52725
ADAM2	-2.65833333333333
TBC1D8B	1.10916666666667
FAM13A1	-1.0968125
LAPTM4B	-1.1485
LCN8	0.1005
TMEM147	-0.0485
SYT4	0.205
XPO7	-0.814
C9orf62	-1.362
GPR75	1.335
TRIM5	0.861875
APOC1	-0.7265
RNASE4	1.45016666666667
PARD6B	-0.038375
ARID1A	1.01633333333333
TPD52L3	0.4924
RRAGB	1.96666666666667
RCN2	-0.5285
HIST2H2BE	0.7889375
STARD7	0.20175
SHMT2	-1.332
KIAA1751	-0.269166666666667
MLYCD	0.727875
LOC162632	-0.0134
UQCRH	-0.976
RP11-217H1.1	0.3084375
SDHA	-1.29783333333333
NCLN	-0.3406
ZNF17	1.117
RCBTB2	-0.7845
VEGFB	-0.4315
RP4-747L4.3	-3.37725
COLQ	0.4164
MPN2	-1.31333333333333
DRG2	-0.016
KLRB1	2.8925
ALPK2	-2.5505
DNASE2B	5.6175
FLJ23834	3.83466666666667
AXUD1	1.418
SAFB	-0.0687
NSUN4	0.35875
RFX2	-0.258666666666667
MAPK8IP1	0.628666666666667
FANCD2	-1.60585714285714
ANKZF1	-1.75233333333333
C19orf50	-0.676625
DUSP8	2.5075
SENP5	-0.59975
NFKBIL2	0.3825
LBR	-2.87175
IGFL1	0.26
LZTS2	0.538625
IL2RG	-1.748875
CCDC51	-0.1025
KLF3	0.176125
ANKRD37	-0.71325
KCTD14	-1.88216666666667
FZR1	0.706666666666667
SLC44A4	4.0427
ESPL1	-1.742625
GMPR2	-0.1926
TBC1D19	-0.439166666666667
ERGIC1	0.870703703703704
ERBB4	5.0072
TSPAN32	-0.244333333333333
MAP4	0.14675
GPHN	-0.01175
SLC6A2	-0.191125
HIVEP1	0.054
DFFB	-0.29
EIF4EBP2	-0.047
DMRT1	-0.62025
HSPB6	0.53775
IER2	2.0145
AIFM1	0.219
WWC2	0.689083333333333
MRPL4	-0.88025
FLJ21062	1.14883333333333
EPB41L4A	2.1075
SH2D6	0.1715
TAF4B	-1.12625
GAL3ST3	-0.12
MALT1	-0.105333333333333
RTDR1	1.25775
ARVCF	0.43875
MEX3B	-0.550166666666667
FBXO16	1.223
KIF7	-0.505
C1QC	3.9055
ZNF783	-1.049
ZNF85	1.24575
MMP13	1.1655
KIAA0329	0.55925
RTP3	-2.679
ZBED3	-0.3695
CLGN	-1.72975
SLC25A37	-1.508625
hCG_18290	-0.16325
OR5AS1	-0.4945
SMARCC2	0.0958333333333333
FAM109A	-0.0723333333333333
CCDC12	0.25275
USF2	1.3902
DEPDC7	-3.28375
C20orf24	-1.44766666666667
JMJD3	1.4285
DSP	1.5585
SLIC1	0.214625
FAM20A	-0.402375
IRF2BP2	-0.020875
ZNF230	0.0995
MSN	-0.965357142857143
SLC9A5	-1.9815
EPDR1	-0.5005
MUSK	0.2098
ZNF434	0.7265
SMARCD1	-0.876166666666667
ZFP106	0.10675
ZNF347	0.888
