Hybridization REF	TCGA-B6-A0IH-01A-11R-A115-07
FST	-3.332
VWCE	-2.12825
PAWR	-0.304
ABCC12	-0.1555
LDLR	-2.4123
ASTN2	1.5918
LOC441212	-0.2885
GPATCH8	0.115
TANC2	-0.50125
KIF4A	-4.062
C18orf18	-0.76825
PGM1	-0.94175
KIAA0258	-0.43675
CPD	0.708375
SNCAIP	0.59325
DCT	-4.5365
HLA-DOA	2.87527272727273
OR11L1	0.2975
UPK1B	-0.182333333333333
DNAJB4	0.66025
UGT1A8	-0.21325
HIST1H4L	-1.337
PECR	-1.04166666666667
HSPA2	1.481
WFIKKN1	-1.676
SERP1	0.60125
SYDE2	0.905
TACR2	0.4845
NUP85	-1.3015
CD177	-0.486833333333333
LGR5	-1.27283333333333
PIGG	-0.245833333333333
PTHR1	-0.1265
RAB5A	0.2052
FLJ13224	-0.188
USP9Y	-2.26716666666667
C7orf53	-0.4515
LRP1B	-0.00924999999999999
XAF1	2.3908
ABCG8	-1.115
ANKDD1A	0.313
DAND5	-1.154
SPAG6	0.358833333333333
LINCR	1.63525
ZDHHC22	-1.334
CCDC60	-0.7935
THOC7	-0.634166666666667
TCTA	0.2624
OR8K3	0.1655
NY-REN-7	-0.5055
B2M	1.3755
C6orf141	-0.4255
LPPR4	3.94
SQLE	-0.752625
SEPHS1	-0.54825
BTBD14B	0.0376428571428571
PLRG1	-0.12975
SPG7	-1.3043125
ZNF614	0.422166666666667
PARD6G	0.927
INPP5B	-0.4912
GRPEL2	-0.77225
PPID	-0.6912
TRIM56	-0.36225
UBE2J1	0.42525
IL20RA	4.41925
LOC387856	0.13825
C1orf107	0.846666666666667
UTS2R	-0.68375
C19orf22	-0.05
SAFB2	0.09
KIAA0652	-0.33675
KLRG1	0.6535
MS4A8B	0.500833333333333
FRAG1	0.84225
KIAA1546	0.62925
E2F4	-1.4012
CLEC4M	-0.332833333333333
BTBD14A	-0.7725
KIAA0999	1.2066
GYPA	-3.78216666666667
TAC1	3.2537
TRAIP	-1.60633333333333
KIAA0232	0.7348
ERCC8	-1.081
GPX4	0.232375
KIAA0368	0.3165
GPR157	-1.68816666666667
CTAGE4	-0.007
C9orf30	-0.938333333333333
OR52A1	0.2775
HSP90B3P	-0.5075
ALG9	-0.4555
BTBD10	0.71725
SDK2	0.3525
BAIAP3	0.6785
RABGGTB	-1.4675
ANKRD40	-1.268
KRT74	0.8725
CALCOCO2	0.181428571428571
SNCA	-2.279
TMSL8	-3.713
C2orf53	0.4
ESRRB	-0.341
ARHGAP26	-0.502875
TDRD9	-1.23
HRAS	-0.727833333333333
KLRC4	-1.8435
JAGN1	-0.318333333333333
BSDC1	0.39775
RNF43	-0.5498
NDUFAF1	-0.06625
PHF12	-0.165
OR1L3	0.327
FOLR2	1.8205
LYZL6	0.171333333333333
tcag7.1260	-1.86
WSB1	-0.9585
PROS1	0.9581
OSTN	0.096
PSMB8	0.33375
SOCS4	-0.394625
DDIT4L	3.4265
MAS1	-0.195
MGC34796	-0.0175
CSHL1	0.205
TBCCD1	-0.609833333333333
ZBTB7C	-0.368
AP2S1	-0.846375
P15RS	0.1118
VAT1	-0.7487
SHANK3	1.12833333333333
TUFM	-1.29166666666667
THEG	-0.46025
KRT34	-1.63225
SGSM3	-0.215125
TOMM22	-1.085875
SOCS3	1.619
CPO	-0.404
POP4	0.5525
BHLHB3	3.185
MALL	2.26
OR1B1	0.3385
PARK2	0.8465
GPR124	1.811
LCE1E	-0.0455
RUVBL2	-1.26
CGRRF1	1.0254
ACPL2	0.8605
WNT10B	-2.378125
BAIAP2L2	-1.69675
ISCA1	0.655
C1orf125	0.33575
RPAP1	-1.4045
RAI16	-0.191333333333333
RPL27	-0.10525
NLRP9	0.7065
EPN1	0.26
LOC388610	-0.1285
SLC35A1	1.6304
GAL	-3.674
SLC14A2	-0.10125
RDH11	-0.894
FAM138F	-0.438
AUH	1.00875
FLJ40243	-0.0875
C14orf129	-0.156333333333333
MBD2	-0.445333333333333
ABHD14B	-0.478
PIGT	1.548875
ALS2CR4	0.384
ALAS1	-0.191
FOXO1	2.319
CRLF3	-0.346
C20orf107	-0.2185
FARS2	0.54875
CCDC28A	1.06525
NPHP3	-0.21675
OR13F1	-0.344
TSEN54	-1.26575
DEFB106B	0.0602222222222222
OR8B4	-0.0905
STH	1.5325
ZC3H14	-0.754
CBX2	-0.283
TMEM49	-1.53125
C6orf21	0.0235
FLJ20920	0.472
CRTAP	0.157928571428571
DDX50	0.4655
STYXL1	0.12
BLVRB	-0.3865
LOC147650	0.274333333333333
MMP24	-0.15275
GRID1	2.85583333333333
BANF1	-0.534
CTAGEP	-0.332
HMBS	-2.25525
SLC25A24	0.517333333333333
C14orf50	1.07075
MRO	0.397166666666667
SLC25A15	-1.21175
FAM84B	1.3092
TDP1	-0.907
C16orf78	-0.0271666666666666
C11orf57	0.500375
RFK	-0.481125
ZFYVE9	-1.0515
STCH	-0.5145
WIBG	0.096
LOC283871	-1.25933333333333
GBA2	-0.8172
NDUFB3	0.04575
HSD17B13	-0.47325
GRIN3A	1.312
FMNL1	-1.2825
SEPT7	0.3061
GNLY	3.9685
GRAMD1C	1.13816666666667
ZNF165	0.03575
USP38	0.826
FAM83A	-3.6665
C14orf24	0.659666666666667
ARMCX3	1.494125
ARHGDIB	1.49216666666667
AK1	-0.512
KIAA1045	0.93125
DNAJB13	-0.315
NEU2	0.409
HIST1H4B	-1.244
FAM20B	0.4572
HES2	0.254214285714286
FAM73B	-0.7485
LOC388381	0.0395
INTS7	-0.157636363636364
AMPH	2.05725
ZNF775	-0.601125
UCKL1	-1.21933333333333
C10orf97	0.58825
C1orf161	0.179
ALDH1L1	-0.87025
FLJ39378	-0.247375
SLC23A1	-0.8085
RBM4B	0.2215
THAP4	0.00433333333333333
OGFRL1	0.661
KIAA0831	0.305
PPP1R15A	-0.1775
C1orf96	0.377642857142857
C12orf11	-2.07575
BMF	0.56725
MAN1A1	-0.209375
KIAA1600	1.18133333333333
NLGN4X	3.133
ALOX12	-1.00633333333333
RB1CC1	0.2434
NEIL2	0.726
EIF4E	-0.458318181818182
ABHD5	-0.90275
EXOC4	0.445833333333333
CIP29	-0.751833333333333
BATF2	0.57025
SLC29A4	-0.777625
HTR4	0.2715
EMB	-0.0825
TRAF6	1.31425
LMNB1	-4.543
FAM19A5	-0.976
SHE	2.9905
PIK3C2B	1.41375
C15orf15	-0.9903
USP15	-0.02
TCEAL2	1.94625
C5orf39	0.210333333333333
PTGER2	0.5445
SLC31A1	0.0015
IFT172	0.62075
ADAM29	0.21675
GFOD1	0.245
ST7L	0.495666666666667
C15orf26	-2.7675
PKN3	-1.284
CNTD1	2.44366666666667
COMMD1	0.17825
NTRK2	3.24325
FOXN3	0.779
MFGE8	-0.3448
PFKFB2	1.2685
TAS2R4	-0.00825000000000001
ENTHD1	1.179
PRMT5	-1.561875
MGC16384	-1.17725
LOC442229	-0.75775
TSKU	0.03375
KRTCAP3	1.784125
PDLIM1	1.1357
KCNS2	0.435
RNF126	-0.604333333333333
CEP63	0.45675
CLIC4	0.114125
hCG_1990170	1.3615
ACR	1.473
KLK7	1.52275
ALOX5AP	2.7975
RIPK3	3.224
TAS2R9	0.411
C19orf18	2.109
BIRC6	-0.2375
ZNF16	1.053
RFT1	-0.678
SLC8A2	-0.566
TACC1	1.347625
ITGAD	0.766
SAMHD1	1.2
SH3PXD2B	1.4302
EPC2	1.667
C20orf85	2.029875
ATP13A2	-0.471333333333333
KRT4	0.003875
CAPNS1	-0.05525
MDM2	-0.618166666666667
PCDH20	2.497
KCNK9	0.4875
OR2C1	-0.027
KLHDC3	-1.2965
IPPK	0.136
EFHD2	-0.61175
GALR3	-0.91675
NBEA	1.82433333333333
ABCA6	3.3906
CLDN3	1.26483333333333
AKT2	-0.493142857142857
EGFR	-0.4516
RBM16	1.252
ZDHHC3	0.0843
SLC25A4	-0.931166666666667
CYB5B	-1.139
CPXM1	1.64775
NDRG1	-1.30207692307692
FLJ43826	0.67175
OR5L2	0.0416666666666667
FARP2	0.1383
MRPL46	-0.91525
LDHAL6B	-0.3634
MAPKAPK3	-0.85
NCAM2	1.478
PRKD2	0.2795
ZFP36L1	1.4524
CYSLTR1	1.036
OR4C3	-0.47875
HIST1H2AJ	0.0425
CCNB2	-4.29511111111111
ZNF10	0.23925
TMEM175	0.0095
FAM134A	0.691666666666667
TIGD4	0.265
PCNP	-0.00775
MGC39715	2.58725
LQK1	-1.6935
CREB1	1.2916
TMPRSS3	0.26375
C4orf32	1.394125
LAT	-0.737416666666666
KCNA3	0.522
SKIV2L2	-0.64825
ROPN1B	-0.59975
tcag7.23	0.2725
CDT1	-4.059875
ZHX2	1.57375
CD28	-2.25925
ZNF624	1.56175
SEPT2	0.405083333333333
SOHLH2	-0.473
MCOLN3	-0.837
UNQ1945	0.2135
MASP2	-1.2
ZNRF3	0.1385
GPATCH3	-0.62425
AGL	0.173125
QRICH2	-0.15
PSD4	0.336333333333333
CCNB1IP1	-1.74225
ENPP7	0.213
OBFC1	-0.414
KCNG3	-1.71
C14orf79	0.0133333333333333
ENPEP	2.9935
SCT	0.999
SKI	0.3895
SEC61G	-1.12675
CAPN11	0.6435
ATXN7L3	-0.7095
DBNDD1	-0.889
FAIM	0.48275
ANKRD36	-0.0125
GABRP	3.07116666666667
TACSTD2	2.43933333333333
EIF3J	-1.17275
PPP2R2A	0.23225
TEKT4	-0.126166666666667
PVALB	-3.0345
F10	-1.64033333333333
FAM134C	0.2963
COMP	3.726125
EFCBP1	-1.8211875
SCLT1	1.644
TAL1	-0.5193
ACSL1	1.0185
ABCC5	0.0738333333333333
ABL1	-0.482722222222222
RBBP7	-0.864083333333333
PTPRG	0.980375
NCOR1	-0.1943
SPINK4	-1.33233333333333
TXNRD1	-1.8724
TNRC15	1.427375
C9orf138	1.426875
UBE2H	0.636666666666667
BRDT	0.945
C8orf31	-0.18075
CCNE2	-3.40745454545455
SLC6A8	-2.376125
CALCR	-3.10225
PPP1CB	0.203083333333333
ABHD8	-0.51925
ARF5	-0.2557
SLC24A4	1.1
CCT3	-0.64025
ZNF121	0.6455
SLC3A2	-1.6801
OR13A1	0.1185
SLC5A10	-0.6045
RAD50	-0.207
IER5	-0.852375
MTHFD1L	-1.890375
MBTPS2	0.240666666666667
MVK	-1.04375
NCL	-0.843
PSMD10	-0.16275
MOBP	-0.15275
FLJ32894	0.5275
HRH1	1.16566666666667
C5orf30	1.0525
NUDT16L1	0.2453
RASGRP3	3.727
PRKRIP1	-0.2739
CCDC75	0.73425
LOC253970	0.144
KIAA1239	-0.524333333333333
MED21	-0.07875
SYT11	1.103
NTSR2	-0.273
EGFL11	-0.282
CXorf59	0.0135
OR2A25	0.05175
SPTBN2	-1.524
LRMP	-0.5445
RNF111	-0.02825
PTH	0.076
LOC619208	0.909166666666667
KIAA0895	1.124
RANBP5	-1.096
P2RY10	2.072
NME5	4.67466666666667
DDX21	-0.89325
LRSAM1	-0.1395
HDAC11	0.0358333333333333
VMO1	1.05025
NOLA2	-0.5415
ADAR	0.9155
MTO1	-0.466166666666667
SF4	-0.0115
P2RX1	0.069
HBM	0.1545
EN2	-1.3825
C14orf172	-0.38825
TM9SF2	0.8482
INHBE	-0.8085
TCTE3	0.283
TOX2	-2.28075
CTAGE3	0.026
HBB	4.6832
MED15	-0.7655
CASR	0.54625
C6orf66	-1.13083333333333
MTPN	0.187625
UNC50	-0.14075
C21orf33	0.54225
IRF2	1.14725
PGR	1.90316666666667
GPR84	1.5675
CROCCL1	-2.3495
SRPX	0.52775
BRE	0.266833333333333
FGF10	1.1795
SDC3	-1.19216666666667
ZRSR1	0.524166666666667
DKFZP434P211	-0.364375
SOX6	1.688
RPUSD2	-0.5385
C14orf173	-0.905916666666667
MAPK11	0.726833333333333
TBC1D22A	0.3235
FAM123A	-0.2695
COL4A6	-1.526
TOMM70A	-0.269
NAB1	0.08475
MGC16385	-0.44375
TSPAN18	0.661
MED31	-0.186
PLG	-0.49675
CAPSL	3.869
ZNF532	1.2818
ASB14	-0.07475
CA8	-0.88775
NUDT16P	1.24266666666667
SLFN11	0.3005
LRRIQ2	-0.00812500000000001
NOL7	-0.835
BRMS1L	-0.466875
JARID1A	0.69
PANK2	-0.17375
ICAM3	-0.29175
MDS1	0.223
TAF8	-0.3345
RNF139	1.237
ZNF594	-0.111
ADAM8	0.41125
SFTPC	-0.22925
MAN2B2	1.2595
RGS12	0.165875
EIF1AY	-4.47116666666667
LRRIQ1	1.6945
GPR150	-0.88775
CCDC21	-2.0835
PRRG3	1.00975
SAA4	-3.7175
RAPGEF5	0.442125
ZCCHC2	0.37675
MGC39372	1.9575
PPP4R2	-0.2795
CDCA2	-2.98383333333333
OR4D5	0.216833333333333
PTGFRN	0.5933
SIGLEC5	1.44066666666667
C19orf61	-1.18816666666667
NMUR2	0.306
KIAA1586	-0.123
DAGLA	0.521666666666667
CHCHD6	-0.716
GPR32	0.7325
NEUROD6	0.0614
SLC2A4RG	0.2233125
CA5B	0.396
FBXL3	1.9245
MPHOSPH9	-2.24175
HMG2L1	0.22325
HCN4	-1.0725
CEACAM19	-0.1215
SH2D4B	1.037
HFE2	-0.1775
TGM4	0.108
LYPD2	-0.4405
TBC1D15	0.09475
MRPS21	-0.0918
NONO	-1.2034
CLEC5A	1.245375
ITCH	0.0015
MGAT3	0.175333333333333
MBP	0.129875
RPP25	-1.309
SOSTDC1	0.37225
HRC	-0.44225
TRIM48	0.06
TMEM133	0.8895
ECEL1P2	-1.36475
HOXC11	-0.472
DOK5	0.96475
HELZ	0.121333333333333
LOC348180	-1.64375
MGC33894	0.26875
ADRB3	-0.097
DMD	0.63575
PTRH2	-0.88475
MPEG1	3.071
NDUFA12	-0.456166666666667
KRTAP2-4	-0.384
STAMBPL1	-1.404
ADCY2	1.5565
UNQ6125	0.3665
KLHL20	0.942
SRM	-1.86175
OTC	0.1645
TMIE	0.247333333333333
SNX8	-0.7525
LIPK	0.407
CHURC1	0.14625
KLC2	-0.046
HDAC1	-0.6875
FAM128A	-0.236
FNDC3B	0.5833
MTCP1	-0.423666666666667
WFDC10B	-0.0951
PCDHGB3	0.183
ATRNL1	-1.4152
CAV2	0.8
MED26	0.437833333333333
DUS1L	-1.2565
CHRM3	-1.065625
NEK9	0.13425
WARS2	0.26475
TBX22	0.1905
TOMM40	-1.2225
RP6-213H19.1	-1.6715
TUBGCP5	-1.09475
IGSF6	5.022
TPPP	0.295166666666667
UNQ6190	0.3235
GSTM5	1.92825
BTD	1.3505
PDCD1LG2	0.623
SNRPB2	-0.189
ERICH1	1.241
APOA4	-1.510125
HOXA11	-1.4655
NARG1	-0.763125
MKX	4.61425
RAB28	-0.291428571428571
PKP3	0.5985
SH3GL2	-1.4175
CTSO	3.67275
RPN2	0.0199375
IL28RA	0.466
SFMBT1	-0.0595
WDR57	-1.50425
FER1L3	1.2275
HSF5	0.328666666666667
TTC9B	-0.00475
C4BPA	-1.94183333333333
ALB	-2.92764285714286
SORBS3	0.768125
UPF2	0.3725
JPH1	-0.8025
AGBL2	-0.16225
DOPEY1	2.162
TERF1	0.694333333333333
KIF22	-1.54366666666667
NINJ1	1.08375
SEC61A2	0.0833333333333334
HIST1H1D	-0.935833333333333
SFXN4	-0.5795
UCP3	0.4517
ZNF703	0.105666666666667
MYL6B	-0.334
TREM1	0.1475
OR52E6	0.2
CKMT2	2.653
HLA-C	2.260375
SLC13A3	-0.773666666666667
TIMP4	-1.56
SLIT2	3.84875
RSF1	0.579666666666667
LONRF1	-0.2165
MON1A	-0.543166666666667
CACNG6	-2.44283333333333
DPPA4	-5.75133333333333
ZSWIM3	-0.162
ZNF804A	-0.00299999999999999
CCIN	1.7425
SLC25A31	0.53025
KCNMB4	0.45
RABL5	0.9285
GALNS	-0.6414
STX6	0.895875
HIST1H1C	-2.98883333333333
CIDEB	0.40075
CASP4	0.549
PDK3	-0.6472
KCNJ11	1.1995
TPR	0.06525
ZSCAN20	-0.418
MTX2	-0.04425
HIST1H2BH	-1.11925
LOC283767	2.2955
LYRM7	-0.881722222222222
BRD3	-0.539
HIST1H2BO	-1.3475
MAGEB10	0.5555
SLC45A1	0.426
SERPINA3	0.05495
KIAA0143	1.11275
KCNJ16	1.655
KRT79	-0.3385
FABP2	-0.4415
NUT	0.1795
ZNF57	0.611
FBXL4	0.332
CLEC9A	2.6715
UGT8	-1.15466666666667
BMP2K	0.48975
MAPK4	-2.8655
SLC25A23	-0.1763
HINT1	-0.3083
KRTAP13-1	0.342
SFXN5	-0.5896
CHCHD2	-0.560666666666667
FAM3D	3.224
NDP	3.249625
RHOBTB1	1.021
SLC4A4	-0.9565
RPL38	0.3195
HTF9C	-0.9525
AP2A2	0.526875
ZBTB46	-0.5775
MAP7D1	-0.60675
AOX1	-0.379333333333333
CYR61	1.48083333333333
DTNA	0.596
JRKL	0.42825
TMOD3	-0.411
EEA1	0.1899
ADCK5	-0.89225
IL1R1	2.76216666666667
KLK3	-0.0448571428571429
HRSP12	-0.08675
KTN1	0.357
LOH11CR2A	0.4913
RELL2	-1.6315
MAB21L1	2.46425
C20orf59	-0.732166666666667
PHKB	-0.19925
ADAM2	-1.9112
TBC1D8B	2.02166666666667
FAM13A1	-0.38
LAPTM4B	0.2535
LCN8	0.174
TMEM147	0.5215
SYT4	-0.219833333333333
XPO7	-0.697
C9orf62	-1.2755
GPR75	0.285
TRIM5	0.31
APOC1	-1.769
RNASE4	0.870166666666667
PARD6B	-0.644625
ARID1A	0.128666666666667
TPD52L3	0.0521
RRAGB	1.539
RCN2	-0.865833333333333
HIST2H2BE	-1.4128125
STARD7	-0.601
SHMT2	-1.83375
KIAA1751	-0.404166666666667
MLYCD	-0.1305
LOC162632	-0.7345
UQCRH	-1.5305
RP11-217H1.1	0.4716875
SDHA	-1.58733333333333
NCLN	-0.9172
ZNF17	0.910666666666667
RCBTB2	-0.4425
VEGFB	0.1455
RP4-747L4.3	0.38
COLQ	0.5086
MPN2	-0.259666666666667
DRG2	-1.044
KLRB1	5.7665
ALPK2	-3.674
DNASE2B	0.509
FLJ23834	-0.216
AXUD1	0.451
SAFB	-0.459
NSUN4	-1.18875
RFX2	0.593333333333333
MAPK8IP1	0.234833333333333
FANCD2	-1.483
ANKZF1	-1.4325
C19orf50	-0.47225
DUSP8	1.28
SENP5	-0.737125
NFKBIL2	-1.20425
LBR	-1.48475
IGFL1	0.0155
LZTS2	0.42425
IL2RG	0.096875
CCDC51	-0.6075
KLF3	0.533125
ANKRD37	-1.67925
KCTD14	0.0358333333333333
FZR1	-0.681833333333333
SLC44A4	3.0665
ESPL1	-1.91375
GMPR2	-0.3752
TBC1D19	-0.486833333333333
ERGIC1	0.320444444444444
ERBB4	3.9246
TSPAN32	0.52925
MAP4	-0.877
GPHN	-0.8015
SLC6A2	0.174875
HIVEP1	1.49975
DFFB	-0.4068
EIF4EBP2	0.614375
DMRT1	-0.78875
HSPB6	0.3435
IER2	0.2615
AIFM1	-0.5285
WWC2	0.15975
MRPL4	-1.1375
FLJ21062	2.026
EPB41L4A	1.86233333333333
SH2D6	0.22475
TAF4B	-0.65725
GAL3ST3	-0.2415
MALT1	-0.237
RTDR1	0.4825
ARVCF	-0.033625
MEX3B	-0.2095
FBXO16	1.74425
KIF7	-1.31425
C1QC	4.35166666666667
ZNF783	0.273166666666667
ZNF85	1.1905
MMP13	0.601
KIAA0329	0.467625
RTP3	0.2235
ZBED3	0.4835
CLGN	-1.80975
SLC25A37	-1.25708333333333
hCG_18290	0.31675
OR5AS1	-0.1095
SMARCC2	0.0723333333333333
FAM109A	-0.890166666666667
CCDC12	-0.114
USF2	-0.0013
DEPDC7	-1.9885
C20orf24	-0.759166666666667
JMJD3	0.255
DSP	1.44328571428571
SLIC1	0.086875
FAM20A	1.967
IRF2BP2	1.2455
ZNF230	0.3875
MSN	-0.339785714285714
SLC9A5	-1.875
EPDR1	-1.2631
MUSK	0.115833333333333
ZNF434	0.189166666666667
SMARCD1	-0.820666666666667
ZFP106	0.1045
ZNF347	1.0212
GTF2E1	-0.127
RY1	-0.986
ATAD2B	0.233625
ARHGAP17	0.1852
