Hybridization REF	TCGA-A2-A04P-01A-31R-A034-07
PLIN	1.9545
LOC90826	0.4045
RNF4	-0.2168
F8A1	0.900166666666667
PLEKHG4	-1.30925
GRB2	0.651
HIST1H2AD	1.08125
DUS3L	-1.31883333333333
EIF1	-0.911333333333333
RP5-1077B9.4	-0.661666666666667
FPGT	1.126
GDF10	0.364333333333333
COQ9	-0.4765
GCC2	0.124714285714286
RARRES3	3.430125
PLXNA1	0.2068
KIAA0100	-0.0998
PMF1	-0.0875
FNDC1	6.07825
HS2ST1	-0.225
CRELD2	0.4765
C8G	0.2795
CD82	2.2975
LIM2	-1.294
UNQ6490	0.2385
MMP16	-0.10175
DRD3	0.14225
C5orf26	-1.6835
C11orf73	-1.020875
PTP4A2	-0.18675
OR4M2	0.315
HPCA	-0.801666666666667
SEC14L1	-0.0348333333333334
CHFR	0.811125
EMILIN1	0.929125
NDUFS4	-1.68025
COL18A1	0.65175
PDZD3	-0.2503
C9orf16	0.4965
ERBB2IP	0.110666666666667
EMX2	3.4645
FUS	-0.81025
TF	-3.4293
CLCN4	0.513666666666667
CXorf56	-1.06825
C11orf72	0.518
ELAC2	-0.658583333333333
NPR1	-1.1545
ASS1	-0.532666666666667
USP42	0.904125
POLR2J	0.2775
SEC23IP	-0.364833333333333
UQCRC1	-0.31175
LOC729603	-0.5755
C1orf71	-1.019
POLG	-1.697
ADAM23	-3.64375
TFR2	-0.554
RICTOR	-1.1571
MGC39606	1.9125
C19orf55	0.211875
SNAPC1	-0.2885
GNA11	1.03425
CCDC52	-0.0478333333333333
FSIP1	-1.719
UPF3A	-1.146375
IGSF11	-2.41733333333333
LAGE3	0.73025
CHST6	0.143
UNC13B	0.66025
TTLL4	1.26625
ZNF687	-0.300375
SDC2	-1.0124
COX7A2	-0.1395
LAMB4	0.1405
FAM24A	-0.3665
LRRTM3	-1.26633333333333
GPHB5	0.60475
OR4C13	1.014
EIF3EIP	0.385928571428571
HABP4	-0.5655
TMEM125	4.327
CNTN2	0.180375
ASNSD1	-0.31325
FUT4	-0.343125
ACF	-2.9905
LOC158381	-1.9045
CDH8	-0.635
AGPS	-1.44816666666667
C4orf18	0.337625
PECI	-2.33733333333333
UNG	-0.956875
GSTP1	0.446625
DCUN1D5	-1.8415
DKFZP564J0863	0.74225
SLC9A3R1	1.065625
BCDO2	-0.19175
CHMP7	-1.21275
REM2	0.3395
DNHD1	-0.23425
FKBP4	-1.06125
ZNF350	0.97475
MGC11102	0.39325
BST1	1.46575
KISS1R	2.0085
NCR2	0.5515
DEFB125	0.231
UBE2W	0.134625
KRT15	3.789875
C10orf99	0.668
SCN11A	0.273375
GFI1	-1.769
RDHE2	-0.0206666666666667
FHL1	-1.0435
OSGEP	0.529166666666667
GATA1	-3.47583333333333
SMC6	-0.4
TTTY14	-0.40425
LPIN3	0.15025
RPL4	-1.4657
RBPMS	0.0563
PRPF3	-0.559833333333333
EMR1	-1.3105
SPATA19	0.0883333333333333
XCR1	0.708
IRX3	1.8542
RBM6	-0.40925
KLF4	-0.4258
UNC5CL	-1.3055
SEBOX	0.1745
BTK	-0.5995
KRCC1	0.5745
C6orf27	0.8205
SYTL5	-1.0095
PRND	1.808875
LOC653319	-0.503
PIGL	-1.114375
HUS1	-0.2055
SFRS6	-1.80708333333333
C17orf77	0.4625
UIMC1	-0.167666666666667
FXYD2	-1.3571
LOC283152	0.47775
ZNF667	-1.85875
ZCCHC12	-1.39625
TFEC	2.0246
ATP7B	-1.96616666666667
POLD2	-1.60233333333333
RG9MTD1	-0.6845
ACOT2	-1.32433333333333
HIST1H4I	0.438875
PPARGC1A	-1.5383
ETFA	-2.8825
POLRMT	-0.1355
ZNF146	0.50925
MIA2	-0.9945
KLHL6	-0.0996666666666667
HOXB5	-1.28925
NENF	1.29883333333333
CUGBP1	1.31325
PRSS22	3.21466666666667
CASC4	0.5629
CUL4B	-0.0774
CENPJ	-0.4736
PITX1	0.955
FLJ31033	0.9715
CELSR3	-0.825833333333333
ZNF568	-0.08725
ITSN1	-1.55508333333333
EHBP1L1	-1.207
C19orf2	0.20075
DCTN1	-0.43525
LIN28B	-1.909
TNKS2	-0.84675
C1QBP	-1.720625
CADPS2	1.5455
SRMS	0.08725
GJA9	0.139333333333333
MGC24975	0.556666666666667
TRIM45	-0.317
TSP50	0.91925
TCP1	-0.9455
TMED7	-0.6498
CMA1	0.237
CENPL	-0.825833333333333
PTCRA	0.343
FST	-4.3225
VWCE	-3.297
PAWR	0.01525
ABCC12	0.3726
LDLR	-1.405
ASTN2	-0.8482
LOC441212	-1.2465
GPATCH8	-0.1595
TANC2	-0.976666666666667
KIF4A	-2.12375
C18orf18	-1.94275
PGM1	-1.7325
KIAA0258	1.30075
CPD	-0.988
SNCAIP	-0.7115
DCT	-4.03066666666667
HLA-DOA	2.469
OR11L1	1.0775
UPK1B	-0.618166666666667
DNAJB4	-0.943125
UGT1A8	-0.263
HIST1H4L	1.256
PECR	-1.87583333333333
HSPA2	1.201
WFIKKN1	-1.958
SERP1	-0.698375
SYDE2	0.68375
TACR2	0.9815
NUP85	0.00824999999999999
CD177	-0.871333333333333
LGR5	-1.80233333333333
PIGG	-0.6095
PTHR1	-2.2535
RAB5A	-0.601
FLJ13224	0.823
USP9Y	-2.1675
C7orf53	1.6305
LRP1B	-1.0935
XAF1	2.9343
ABCG8	-0.5145
ANKDD1A	-0.428833333333333
DAND5	-1.4125
SPAG6	-0.3565
LINCR	2.576
ZDHHC22	-1.331875
CCDC60	0.2885
THOC7	-1.23766666666667
TCTA	0.2057
OR8K3	0.5625
NY-REN-7	-0.15475
B2M	0.966666666666667
C6orf141	0.014625
LPPR4	1.41375
SQLE	-1.3635
SEPHS1	0.11275
BTBD14B	1.34442857142857
PLRG1	-0.263
SPG7	0.048625
ZNF614	-0.0388333333333333
PARD6G	1.20533333333333
INPP5B	-0.6669
GRPEL2	-0.14275
PPID	-1.0134
TRIM56	-0.0605
UBE2J1	-0.079125
IL20RA	-1.009
LOC387856	-0.33625
C1orf107	-0.709333333333333
UTS2R	2.17925
C19orf22	0.793
SAFB2	0.955875
KIAA0652	-0.78075
KLRG1	-0.31
MS4A8B	-0.0131666666666666
FRAG1	0.33175
KIAA1546	0.51675
E2F4	-1.2255
CLEC4M	1.19433333333333
BTBD14A	0.124
KIAA0999	0.1031
GYPA	-3.62616666666667
TAC1	-0.0206
TRAIP	-1.46016666666667
KIAA0232	1.2242
ERCC8	-2.255375
GPX4	0.284625
KIAA0368	-0.98375
GPR157	1.06533333333333
CTAGE4	0.6535
C9orf30	-1.55733333333333
OR52A1	0.5195
HSP90B3P	-1.571
ALG9	-0.6407
BTBD10	-0.45125
SDK2	0.25425
BAIAP3	-2.23775
RABGGTB	-1.016625
ANKRD40	-1.714
KRT74	0.1785
CALCOCO2	-0.964642857142857
SNCA	-3.8125
TMSL8	-0.38
C2orf53	0.2805
ESRRB	-0.354
ARHGAP26	0.298375
TDRD9	-2.7865
HRAS	0.0376666666666667
KLRC4	-2.115
JAGN1	0.188666666666667
BSDC1	1.27375
RNF43	-0.7245
NDUFAF1	-1.287
PHF12	0.30775
OR1L3	0.293
FOLR2	1.48866666666667
LYZL6	-0.123833333333333
tcag7.1260	-1.6455
WSB1	-1.582
PROS1	-1.2352
OSTN	1.1165
PSMB8	0.758
SOCS4	-1.1155
DDIT4L	0.8645
MAS1	-0.687
MGC34796	0.1425
CSHL1	0.645833333333333
TBCCD1	-0.3385
ZBTB7C	1.3045
AP2S1	-0.1605
P15RS	-1.4927
VAT1	-0.9221
SHANK3	1.9985
TUFM	-0.6465
THEG	0.13275
KRT34	-1.34175
SGSM3	0.410875
TOMM22	-1.02725
SOCS3	2.7095
CPO	0.601
POP4	-0.11925
BHLHB3	-0.4975
MALL	2.39825
OR1B1	0.2535
PARK2	-0.185666666666667
GPR124	2.060875
LCE1E	0.506
RUVBL2	-0.2135
CGRRF1	-1.5614
ACPL2	0.08775
WNT10B	-1.773375
BAIAP2L2	-1.41725
ISCA1	-0.3995
C1orf125	2.1295
RPAP1	-0.647
RAI16	-0.559833333333333
RPL27	-1.56925
NLRP9	0.333
EPN1	0.5425
LOC388610	-2.232875
SLC35A1	-0.253
GAL	-3.35775
SLC14A2	0.74675
RDH11	0.4135
FAM138F	-0.017
AUH	-0.147
FLJ40243	0.49675
C14orf129	-1.70666666666667
MBD2	-0.364833333333333
ABHD14B	-0.69275
PIGT	-1.21625
ALS2CR4	-1.519375
ALAS1	-0.7556
FOXO1	1.0365
CRLF3	-1.170875
C20orf107	-0.581
FARS2	-0.41825
CCDC28A	0.47525
NPHP3	-0.39025
OR13F1	0.5585
TSEN54	0.56625
DEFB106B	0.4288
OR8B4	-1.4665
STH	-0.639
ZC3H14	-0.26125
CBX2	-0.304
TMEM49	-1.88225
C6orf21	0.6535
FLJ20920	-1.36
CRTAP	-1.57192857142857
DDX50	-0.495
STYXL1	-1.19325
BLVRB	-0.5485
LOC147650	1.117
MMP24	0.56825
GRID1	1.7795
BANF1	0.816
CTAGEP	-0.03225
HMBS	-2.05875
SLC25A24	-1.79283333333333
C14orf50	0.0005
MRO	0.150833333333333
SLC25A15	-0.5215
FAM84B	0.0437
TDP1	-0.471
C16orf78	0.174333333333333
C11orf57	0.547375
RFK	-0.7795
ZFYVE9	-0.07375
STCH	-1.1105
WIBG	0.154
LOC283871	-1.00666666666667
GBA2	-0.8444
NDUFB3	-0.654
HSD17B13	-1.07125
GRIN3A	1.227
FMNL1	-0.687
SEPT7	-1.2072
GNLY	3.219
GRAMD1C	1.844
ZNF165	1.2265
USP38	0.8815
FAM83A	-2.86933333333333
C14orf24	-0.198583333333333
ARMCX3	0.109125
ARHGDIB	0.878333333333333
AK1	-0.122125
KIAA1045	0.32675
DNAJB13	-0.358333333333333
NEU2	-0.689
HIST1H4B	1.8505
FAM20B	-0.0894
HES2	-0.0586428571428571
FAM73B	-0.491
LOC388381	-0.85825
INTS7	-0.057
AMPH	-0.346
ZNF775	0.483375
UCKL1	-0.756833333333333
C10orf97	-1.33475
C1orf161	0.438
ALDH1L1	0.452
FLJ39378	-0.18725
SLC23A1	-2.028
RBM4B	-0.0125
THAP4	0.925833333333333
OGFRL1	4.373
KIAA0831	-0.4035
PPP1R15A	1.25783333333333
C1orf96	0.969071428571429
C12orf11	-0.14825
BMF	1.49025
MAN1A1	-1.43325
KIAA1600	-0.0871666666666667
NLGN4X	-1.1405
ALOX12	-1.03066666666667
RB1CC1	0.0393
NEIL2	-1.4905
EIF4E	-1.18663636363636
ABHD5	0.38925
EXOC4	-0.940666666666667
CIP29	-0.591
BATF2	1.449
SLC29A4	0.55675
HTR4	0.947
EMB	-1.41775
TRAF6	0.90975
LMNB1	-0.58
FAM19A5	-0.691375
SHE	1.33425
PIK3C2B	0.723
C15orf15	-1.9348
USP15	-0.4267
TCEAL2	1.7595
C5orf39	0.333166666666667
PTGER2	-1.7615
SLC31A1	-1.41725
IFT172	0.6525
ADAM29	0.195
GFOD1	2.8315
ST7L	-0.122666666666667
C15orf26	-2.46525
PKN3	-1.51175
CNTD1	-0.803833333333333
COMMD1	0.809875
NTRK2	2.72091666666667
FOXN3	0.710625
MFGE8	0.8167
PFKFB2	1.04533333333333
TAS2R4	-0.2885
ENTHD1	0.235333333333333
PRMT5	-2.486875
MGC16384	-0.732
LOC442229	0.18925
TSKU	-0.631125
KRTCAP3	3.728
PDLIM1	-0.093
KCNS2	0.699
RNF126	-0.381666666666667
CEP63	-0.435375
CLIC4	-0.132375
hCG_1990170	2.22375
ACR	1.7668
KLK7	0.82175
ALOX5AP	1.514
RIPK3	2.17025
TAS2R9	0.489
C19orf18	1.443
BIRC6	0.124142857142857
ZNF16	1.0545
RFT1	-0.44375
SLC8A2	-0.386
TACC1	0.48275
ITGAD	0.516
SAMHD1	0.38
SH3PXD2B	1.7085
EPC2	1.13825
C20orf85	0.31825
ATP13A2	0.239666666666667
KRT4	0.651125
CAPNS1	0.18975
MDM2	-0.24975
PCDH20	0.52625
KCNK9	0.8805
OR2C1	0.023
KLHDC3	-0.702
IPPK	-0.0185
EFHD2	-0.031
GALR3	2.14025
NBEA	1.26916666666667
ABCA6	2.0894
CLDN3	1.07366666666667
AKT2	0.373142857142857
EGFR	1.2858
RBM16	1.39125
ZDHHC3	-0.1804
SLC25A4	-1.6535
CYB5B	-2.52866666666667
CPXM1	-1.27
NDRG1	-0.433846153846154
FLJ43826	0.32675
OR5L2	0.578
FARP2	0.0935
MRPL46	-1.34325
LDHAL6B	0.458333333333333
MAPKAPK3	-0.542
NCAM2	-3.427
PRKD2	0.248333333333333
ZFP36L1	2.2439
CYSLTR1	-0.05975
OR4C3	-0.04475
HIST1H2AJ	2.5145
CCNB2	-2.08744444444444
ZNF10	0.409625
TMEM175	1.118
FAM134A	0.0178333333333333
TIGD4	0.356
PCNP	-1.56325
MGC39715	0.26025
LQK1	-1.689
CREB1	-0.633
TMPRSS3	-0.34075
C4orf32	1.0805
LAT	-1.22116666666667
KCNA3	0.0485
SKIV2L2	-1.47575
ROPN1B	4.60325
tcag7.23	-0.0125
CDT1	-1.338875
ZHX2	0.444875
CD28	-2.29275
ZNF624	0.82375
SEPT2	0.06825
SOHLH2	-0.74
MCOLN3	-0.710875
UNQ1945	1.2415
MASP2	-0.5575
ZNRF3	-0.4405
GPATCH3	-1.06475
AGL	-0.1445
QRICH2	0.702
PSD4	0.337166666666667
CCNB1IP1	-0.65975
ENPP7	0.047
OBFC1	-1.35325
KCNG3	-1.72175
C14orf79	-0.124083333333333
ENPEP	1.301
SCT	3.1035
SKI	2.190125
SEC61G	-0.423
CAPN11	0.08925
ATXN7L3	0.14225
DBNDD1	1.3895
FAIM	-0.7215
ANKRD36	1.688
GABRP	5.94966666666667
TACSTD2	2.69416666666667
EIF3J	-0.8135
PPP2R2A	-2.81325
TEKT4	0.175166666666667
PVALB	-3.0875
F10	-1.96816666666667
FAM134C	0.0542
COMP	5.76125
EFCBP1	-2.93675
SCLT1	2.65675
TAL1	-0.1697
ACSL1	0.6335
ABCC5	0.461583333333333
ABL1	-0.235
RBBP7	-0.645666666666667
PTPRG	-0.594875
NCOR1	-0.617
SPINK4	-2.11016666666667
TXNRD1	-2.6571
TNRC15	1.81375
C9orf138	0.315375
UBE2H	1.6015
BRDT	0.4265
C8orf31	0.362
CCNE2	-1.80845454545455
SLC6A8	-1.1385
CALCR	-4.14725
PPP1CB	-0.183583333333333
ABHD8	1.48475
ARF5	0.8549
SLC24A4	0.807
CCT3	-0.64375
ZNF121	0.41425
SLC3A2	-1.2992
OR13A1	0.6975
SLC5A10	0.26225
RAD50	-1.77475
IER5	0.490375
MTHFD1L	-0.18825
MBTPS2	-0.373
MVK	-0.617625
NCL	0.1224
PSMD10	-1.85725
MOBP	0.738428571428572
FLJ32894	-0.3615
HRH1	-0.551166666666667
C5orf30	-1.3295
NUDT16L1	-0.3884
RASGRP3	5.77916666666667
PRKRIP1	0.05
CCDC75	2.203
LOC253970	0.0973333333333333
KIAA1239	0.0605
MED21	0.2745
SYT11	0.0881666666666667
NTSR2	0.2795
EGFL11	-0.217
CXorf59	1.109
OR2A25	0.56125
SPTBN2	-0.05725
LRMP	-0.276333333333333
RNF111	-1.68825
PTH	0.61
LOC619208	-0.0333333333333333
KIAA0895	-1.3695
RANBP5	-1.86175
P2RY10	1.70683333333333
NME5	-0.720333333333333
DDX21	-0.9645
LRSAM1	-0.441
HDAC11	-0.349333333333333
VMO1	3.575
NOLA2	-0.503666666666667
ADAR	-0.24575
MTO1	-1.26666666666667
SF4	1.11483333333333
P2RX1	0.161166666666667
HBM	0.53375
EN2	2.3305
C14orf172	0.92025
TM9SF2	-1.692
INHBE	-1.2535
TCTE3	0.567833333333333
TOX2	-2.06625
CTAGE3	-0.264125
HBB	3.7509
MED15	-0.368833333333333
CASR	0.545
C6orf66	-0.277166666666667
MTPN	0.316625
UNC50	-2.26875
C21orf33	0.1995
IRF2	0.598125
PGR	-3.39533333333333
GPR84	2.508
CROCCL1	-1.78775
SRPX	-2.4245
BRE	-0.324166666666667
FGF10	0.15425
SDC3	0.299333333333333
ZRSR1	0.0566666666666667
DKFZP434P211	-0.544125
SOX6	1.1765
RPUSD2	-0.53325
C14orf173	-0.281833333333333
MAPK11	0.0475
TBC1D22A	-0.185
FAM123A	-0.885
COL4A6	-3.431
TOMM70A	-1.3235
NAB1	0.767
MGC16385	0.519125
TSPAN18	0.4065
MED31	-1.045
PLG	-0.20325
CAPSL	0.2185
ZNF532	1.6389
ASB14	-0.262
CA8	-2.5965
NUDT16P	-0.604666666666667
SLFN11	-0.5135
LRRIQ2	0.416375
NOL7	-0.0831666666666667
BRMS1L	-1.976875
JARID1A	0.4015
PANK2	0.18475
ICAM3	-0.8765
MDS1	1.67925
TAF8	-0.12125
RNF139	0.294
ZNF594	-0.763333333333333
ADAM8	0.854
SFTPC	0.08175
MAN2B2	0.76975
RGS12	0.5135
EIF1AY	-4.99683333333333
LRRIQ1	0.0561666666666667
GPR150	2.28025
CCDC21	-1.96316666666667
PRRG3	0.56525
SAA4	-2.75925
RAPGEF5	3.34225
ZCCHC2	0.221666666666667
MGC39372	-0.1025
PPP4R2	-0.254666666666667
CDCA2	-1.72716666666667
OR4D5	0.9595
PTGFRN	1.272
SIGLEC5	0.229
C19orf61	-0.299
NMUR2	0.66
KIAA1586	-1.74533333333333
DAGLA	0.572333333333333
CHCHD6	-0.6485
GPR32	0.4735
NEUROD6	0.626833333333333
SLC2A4RG	0.63475
CA5B	0.78575
FBXL3	-0.76575
MPHOSPH9	-1.7925
HMG2L1	0.08975
HCN4	1.1915
CEACAM19	1.336
SH2D4B	0.331833333333333
HFE2	-1.857
TGM4	0.617
LYPD2	0.2625
TBC1D15	-0.56925
MRPS21	-0.0233
NONO	-1.5113
CLEC5A	1.02271428571429
ITCH	0.0677
MGAT3	-0.652
MBP	-0.831625
RPP25	-0.3095
SOSTDC1	1.6455
HRC	-1.42875
TRIM48	0.302
TMEM133	-0.269
ECEL1P2	-1.15125
HOXC11	0.303
DOK5	0.492
HELZ	1.11566666666667
LOC348180	0.01475
MGC33894	0.66225
ADRB3	0.4565
DMD	1.98516666666667
PTRH2	-0.1525
MPEG1	2.51333333333333
NDUFA12	0.0936666666666667
KRTAP2-4	0.478583333333333
STAMBPL1	-1.82866666666667
ADCY2	2.07533333333333
UNQ6125	0.48
KLHL20	0.039
SRM	-1.313
OTC	-0.47125
TMIE	0.429833333333333
SNX8	0.75875
LIPK	0.5835
CHURC1	-0.7005
KLC2	0.717833333333333
HDAC1	-0.405666666666667
FAM128A	-0.298333333333333
FNDC3B	-0.2496
MTCP1	-0.137166666666667
WFDC10B	0.4381
PCDHGB3	0.4365
ATRNL1	-2.4692
CAV2	-1.302875
MED26	1.32583333333333
DUS1L	2.5835
CHRM3	-0.8235
NEK9	-0.64575
WARS2	0.28025
TBX22	0.2405
TOMM40	0.41625
RP6-213H19.1	-0.951166666666667
TUBGCP5	-1.87575
IGSF6	5.0445
TPPP	0.00483333333333334
UNQ6190	0.357
GSTM5	0.615
BTD	-1.65416666666667
PDCD1LG2	-0.197
SNRPB2	0.0478333333333333
ERICH1	-0.418
APOA4	-1.70525
HOXA11	-2.9685
NARG1	-0.3275
MKX	-1.5055
RAB28	-1.45592857142857
PKP3	1.36225
SH3GL2	0.94025
CTSO	0.77875
RPN2	-0.524375
IL28RA	-0.418
SFMBT1	2.0485
WDR57	-2.280375
FER1L3	-0.0159166666666667
HSF5	0.220833333333333
TTC9B	0.74675
C4BPA	-2.058
ALB	-4.45685714285714
SORBS3	0.247625
UPF2	-0.0775
JPH1	0.663
AGBL2	-2.385
DOPEY1	2.327
TERF1	-0.82925
KIF22	-0.147666666666667
NINJ1	1.4605
SEC61A2	-0.20475
HIST1H1D	2.13416666666667
SFXN4	-0.931875
UCP3	0.9517
ZNF703	1.20783333333333
MYL6B	-0.22225
TREM1	1.07575
OR52E6	0.5
CKMT2	1.389
HLA-C	2.470625
SLC13A3	-0.463
TIMP4	-2.64125
SLIT2	3.14225
RSF1	0.111666666666667
LONRF1	-1.757
MON1A	0.301833333333333
CACNG6	-1.02683333333333
DPPA4	-4.38666666666667
ZSWIM3	-0.162
ZNF804A	0.672833333333333
CCIN	1.357
SLC25A31	-0.292333333333333
KCNMB4	-0.771
RABL5	0.30525
GALNS	0.9885
STX6	2.12975
HIST1H1C	-0.470833333333333
CIDEB	0.591625
CASP4	0.534166666666667
PDK3	1.6662
KCNJ11	-0.0975
TPR	0.1695
ZSCAN20	-0.4875
MTX2	-0.84125
HIST1H2BH	0.965
LOC283767	1.85875
LYRM7	-2.90464705882353
BRD3	0.488833333333333
HIST1H2BO	0.419
MAGEB10	1.1135
SLC45A1	-0.67725
SERPINA3	3.3949
KIAA0143	0.341
KCNJ16	4.96833333333333
KRT79	-0.231
FABP2	-0.27225
NUT	-0.34525
ZNF57	-0.829
FBXL4	-1.38925
CLEC9A	0.956
UGT8	2.7405
BMP2K	-0.09375
MAPK4	-2.53825
SLC25A23	0.204
HINT1	-2.4749
KRTAP13-1	-0.058
SFXN5	-0.7781
CHCHD2	-0.571666666666667
FAM3D	5.0065
NDP	-3.108
RHOBTB1	-0.00350000000000003
SLC4A4	-0.61675
RPL38	1.129
HTF9C	0.304333333333333
AP2A2	-0.451125
ZBTB46	-0.8485
MAP7D1	-0.294625
AOX1	-1.14616666666667
CYR61	1.81291666666667
DTNA	-0.498285714285714
JRKL	0.7045
TMOD3	-0.84925
EEA1	0.2779
ADCK5	1.46075
IL1R1	1.82283333333333
KLK3	0.788071428571429
HRSP12	-0.29975
KTN1	-0.51725
LOH11CR2A	1.201
RELL2	-0.46725
MAB21L1	0.43925
C20orf59	-0.806333333333333
PHKB	-0.30325
ADAM2	-1.589
TBC1D8B	1.16866666666667
FAM13A1	-0.3585625
LAPTM4B	-2.5465
LCN8	0.5645
TMEM147	0.5525
SYT4	0.0906666666666667
XPO7	-1.0935
C9orf62	2.4535
GPR75	0.693
TRIM5	-0.21675
APOC1	-0.0726666666666667
RNASE4	-1.14683333333333
PARD6B	-2.827375
ARID1A	0.052
TPD52L3	0.3011
RRAGB	-0.404
RCN2	-1.84483333333333
HIST2H2BE	0.405625
STARD7	-0.5945
SHMT2	-1.7325
KIAA1751	0.0543333333333333
MLYCD	-0.875
LOC162632	-0.5808
UQCRH	-0.72675
RP11-217H1.1	0.1474375
SDHA	-1.90566666666667
NCLN	-0.0715
ZNF17	-0.557666666666667
RCBTB2	-2.04375
VEGFB	-1.1226
RP4-747L4.3	0.14275
COLQ	0.3028
MPN2	-0.793166666666667
DRG2	-0.5375
KLRB1	4.81925
ALPK2	-1.33375
DNASE2B	3.703
FLJ23834	-0.2775
AXUD1	1.3775
SAFB	0.7598
NSUN4	0.5625
RFX2	-0.5985
MAPK8IP1	-0.894333333333333
FANCD2	-0.0699285714285715
ANKZF1	-1.4815
C19orf50	0.357875
DUSP8	2.1645
SENP5	1.051625
NFKBIL2	-0.0530000000000001
LBR	-1.069625
IGFL1	0.7635
LZTS2	1.538375
IL2RG	0.578375
CCDC51	-1.45675
KLF3	-0.00424999999999995
ANKRD37	-0.7255
KCTD14	-2.38733333333333
FZR1	0.398083333333333
SLC44A4	-2.1916
ESPL1	-0.614
GMPR2	-1.4423
TBC1D19	-1.59833333333333
ERGIC1	-0.0324814814814815
ERBB4	0.2432
TSPAN32	0.417833333333333
MAP4	-0.324375
GPHN	-1.58875
SLC6A2	1.831625
HIVEP1	0.7375
DFFB	-0.2138
EIF4EBP2	0.868
DMRT1	0.449
HSPB6	0.34175
IER2	2.27233333333333
AIFM1	0.303
WWC2	-0.656083333333333
MRPL4	-0.6795
FLJ21062	-0.767833333333333
EPB41L4A	1.68091666666667
SH2D6	0.354
TAF4B	-0.6405
GAL3ST3	-0.3975
MALT1	-1.19783333333333
RTDR1	1.7555
ARVCF	0.517375
MEX3B	-0.594
FBXO16	-0.3745
KIF7	-2.0055
C1QC	4.722
ZNF783	-0.0685
ZNF85	0.85325
MMP13	-1.4165
KIAA0329	1.1405
RTP3	-1.4405
ZBED3	1.63525
CLGN	-2.80425
SLC25A37	-0.562166666666667
hCG_18290	-0.34225
OR5AS1	0.1165
SMARCC2	0.925916666666667
FAM109A	0.353833333333333
CCDC12	0.07625
USF2	1.1805
DEPDC7	-1.522
C20orf24	-1.295
JMJD3	0.6955
DSP	1.52121428571429
SLIC1	0.458875
FAM20A	2.60075
IRF2BP2	1.483125
