Hybridization REF	TCGA-A2-A04X-01A-21R-A034-07
SEC14L1	-0.264166666666667
CHFR	0.384
EMILIN1	1.205625
NDUFS4	-0.44725
COL18A1	-0.023125
PDZD3	-0.2839
C9orf16	0.310166666666667
ERBB2IP	0.624833333333333
EMX2	1.29575
FUS	-1.733
TF	-4.0464
CLCN4	-0.224
CXorf56	-0.50125
C11orf72	0.74475
ELAC2	0.0388333333333333
NPR1	-0.7685
ASS1	-0.796666666666667
USP42	-0.013
POLR2J	-1.3335
SEC23IP	1.0675
UQCRC1	0.7195
LOC729603	-0.0965
C1orf71	-0.16775
POLG	-1.445
ADAM23	-3.73925
TFR2	-1.42675
RICTOR	-0.624
MGC39606	1.29775
C19orf55	-0.06775
SNAPC1	-1.44516666666667
GNA11	0.770625
CCDC52	0.565
FSIP1	6.3815
UPF3A	-1.230125
IGSF11	-2.49066666666667
LAGE3	0.04975
CHST6	-3.406
UNC13B	1.69125
TTLL4	-1.5375
ZNF687	-1.079375
SDC2	-1.8423
COX7A2	-0.72
LAMB4	-0.283666666666667
FAM24A	0.683
LRRTM3	-1.27533333333333
GPHB5	0.43175
OR4C13	0.3575
EIF3EIP	0.340642857142857
HABP4	-0.38
TMEM125	4.389
CNTN2	0.097875
ASNSD1	-0.35175
FUT4	-0.0685
ACF	-3.22625
LOC158381	0.3295
CDH8	0.11175
AGPS	0.5275
C4orf18	2.38625
PECI	0.68975
UNG	-0.059375
GSTP1	-2.318875
DCUN1D5	-1.00583333333333
DKFZP564J0863	0.47325
SLC9A3R1	0.741625
BCDO2	-1.725625
CHMP7	0.1725
REM2	-0.5195
DNHD1	0.667
FKBP4	-0.61475
ZNF350	2.27275
MGC11102	0.454875
BST1	1.194
KISS1R	1.8365
NCR2	-0.0545
DEFB125	0.334
UBE2W	0.49075
KRT15	-0.390375
C10orf99	0.6105
SCN11A	0.18975
GFI1	-1.0785
RDHE2	5.5465
FHL1	-2.17766666666667
OSGEP	0.1535
GATA1	-3.1645
SMC6	-0.352
TTTY14	-0.91425
LPIN3	0.055
RPL4	-0.3642
RBPMS	-0.4873
PRPF3	-1.5925
EMR1	-2.225
SPATA19	0.41525
XCR1	0.481
IRX3	2.5199
RBM6	-0.55475
KLF4	1.3826
UNC5CL	-0.08975
SEBOX	-0.4505
BTK	-0.25925
KRCC1	0.33625
C6orf27	0.6345
SYTL5	0.169
PRND	0.48
LOC653319	-0.8325
PIGL	-0.563
HUS1	-0.401
SFRS6	0.848166666666667
C17orf77	0.3895
UIMC1	-0.361
FXYD2	-1.414
LOC283152	-0.42575
ZNF667	-2.5645
ZCCHC12	-0.7035
TFEC	3.1573
ATP7B	1.474
POLD2	-0.962333333333333
RG9MTD1	-0.501
ACOT2	1.01533333333333
HIST1H4I	-0.509125
PPARGC1A	-1.4911
ETFA	-1.4971
POLRMT	0.14425
ZNF146	-0.60225
MIA2	-1.0785
KLHL6	0.753833333333333
HOXB5	-0.68425
NENF	-0.367333333333333
CUGBP1	0.5585
PRSS22	1.48283333333333
CASC4	1.5657
CUL4B	0.1588
CENPJ	-1.9452
PITX1	0.259833333333333
FLJ31033	1.5895
CELSR3	-1.0905
ZNF568	1.1755
ITSN1	0.05675
EHBP1L1	-0.517
C19orf2	-0.285
DCTN1	0.0275
LIN28B	-2.857
TNKS2	-0.47575
C1QBP	-0.755
CADPS2	1.3035
SRMS	0.32825
GJA9	-0.00316666666666668
MGC24975	-0.105333333333333
TRIM45	0.520833333333333
TSP50	-0.393
TCP1	-2.20875
TMED7	0.5087
CMA1	0.172
CENPL	-0.796
PTCRA	0.9915
FST	-3.85425
VWCE	-3.8345
PAWR	0.647
ABCC12	4.25666666666667
LDLR	0.8451
ASTN2	2.3743
LOC441212	-1.35275
GPATCH8	-0.2055
TANC2	-0.336083333333333
KIF4A	-0.9465
C18orf18	-0.80575
PGM1	-0.64375
KIAA0258	2.127
CPD	0.378
SNCAIP	-1.70325
DCT	-4.179
HLA-DOA	3.293
OR11L1	0.9165
UPK1B	-0.341166666666667
DNAJB4	-1.269
UGT1A8	0.05
HIST1H4L	-0.3875
PECR	-1.9565
HSPA2	3.49
WFIKKN1	-2.6195
SERP1	-0.10275
SYDE2	0.71
TACR2	0.6655
NUP85	-0.84325
CD177	0.531166666666667
LGR5	-1.5745
PIGG	0.48425
PTHR1	-2.44783333333333
RAB5A	0.1415
FLJ13224	0.5425
USP9Y	-1.06683333333333
C7orf53	-1.045
LRP1B	-1.06825
XAF1	3.9481
ABCG8	-0.5275
ANKDD1A	-0.511
DAND5	-1.715
SPAG6	0.308
LINCR	1.04725
ZDHHC22	-1.779125
CCDC60	-0.021
THOC7	-1.4835
TCTA	1.2721
OR8K3	0.118
NY-REN-7	0.20675
B2M	2.29616666666667
C6orf141	-0.28075
LPPR4	1.78075
SQLE	-0.62825
SEPHS1	-0.1735
BTBD14B	0.645928571428571
PLRG1	-0.22575
SPG7	0.142625
ZNF614	-0.0308333333333333
PARD6G	0.796166666666667
INPP5B	-0.9619
GRPEL2	-0.119
PPID	-0.8973
TRIM56	-1.04425
UBE2J1	-0.390625
IL20RA	2.37875
LOC387856	-0.31275
C1orf107	-0.949083333333333
UTS2R	1.55025
C19orf22	0.339
SAFB2	0.45725
KIAA0652	0.139375
KLRG1	0.174666666666667
MS4A8B	0.142166666666667
FRAG1	1.483
KIAA1546	-0.06875
E2F4	-0.9848
CLEC4M	0.999333333333333
BTBD14A	0.55975
KIAA0999	-0.7443
GYPA	-3.637
TAC1	-0.3377
TRAIP	-0.837333333333333
KIAA0232	0.8053
ERCC8	-1.82975
GPX4	0.87675
KIAA0368	-0.148875
GPR157	0.275833333333333
CTAGE4	0.192
C9orf30	-1.28983333333333
OR52A1	0.1875
HSP90B3P	-0.5845
ALG9	-0.8514
BTBD10	1.0695
SDK2	0.2005
BAIAP3	-1.60725
RABGGTB	-0.579
ANKRD40	1.93516666666667
KRT74	-0.101
CALCOCO2	2.24085714285714
SNCA	-4.2935
TMSL8	-3.46775
C2orf53	0.129
ESRRB	-0.34375
ARHGAP26	0.792
TDRD9	-2.278
HRAS	0.841833333333333
KLRC4	-1.5515
JAGN1	0.034
BSDC1	1.38275
RNF43	0.6193
NDUFAF1	0.4275
PHF12	0.1135
OR1L3	0.06475
FOLR2	1.62675
LYZL6	-0.2555
tcag7.1260	-2.062
WSB1	-1.62816666666667
PROS1	-1.6473
OSTN	0.034
PSMB8	2.78925
SOCS4	-0.98275
DDIT4L	0.763
MAS1	-0.693
MGC34796	1.2975
CSHL1	0.498166666666667
TBCCD1	-0.0363333333333333
ZBTB7C	-0.527
AP2S1	-0.097125
P15RS	-1.2052
VAT1	-0.645
SHANK3	1.39616666666667
TUFM	-0.0563333333333333
THEG	-0.59375
KRT34	-2.20375
SGSM3	1.014375
TOMM22	-0.413625
SOCS3	0.336833333333333
CPO	0.495
POP4	0.46125
BHLHB3	-0.1185
MALL	0.83775
OR1B1	-0.028
PARK2	0.279666666666667
GPR124	0.612875
LCE1E	0.343
RUVBL2	-0.62875
CGRRF1	-0.1509
ACPL2	0.76225
WNT10B	-1.673
BAIAP2L2	-1.84575
ISCA1	0.2215
C1orf125	0.1085
RPAP1	-0.40125
RAI16	-0.364833333333333
RPL27	-1.3695
NLRP9	0.509
EPN1	0.1085
LOC388610	-2.168125
SLC35A1	0.4944
GAL	-4.4945
SLC14A2	1.00225
RDH11	-0.284666666666667
FAM138F	-0.328
AUH	0.0715
FLJ40243	-0.09525
C14orf129	-0.035
MBD2	-0.719
ABHD14B	0.664875
PIGT	0.23625
ALS2CR4	-0.847625
ALAS1	-0.4614
FOXO1	0.6065
CRLF3	-0.84575
C20orf107	0.706
FARS2	0.9415
CCDC28A	-0.055
NPHP3	-1.053
OR13F1	0.7675
TSEN54	-0.463
DEFB106B	0.2173
OR8B4	1.209
STH	-0.7765
ZC3H14	-0.32025
CBX2	-1.3335
TMEM49	0.32125
C6orf21	0.8215
FLJ20920	3.2185
CRTAP	-0.428214285714286
DDX50	-0.212
STYXL1	-0.71325
BLVRB	1.79216666666667
LOC147650	-0.774
MMP24	0.7665
GRID1	1.14233333333333
BANF1	-0.775333333333333
CTAGEP	0.6685
HMBS	-2.2895
SLC25A24	-0.987166666666667
C14orf50	2.366
MRO	0.671
SLC25A15	-1.41225
FAM84B	1.3474
TDP1	-0.5465
C16orf78	0.438666666666667
C11orf57	-0.093375
RFK	0.123
ZFYVE9	0.5115
STCH	-1.4366
WIBG	0.92075
LOC283871	-0.3945
GBA2	-0.8095
NDUFB3	-0.18125
HSD17B13	-0.33875
GRIN3A	1.58466666666667
FMNL1	-0.235666666666667
SEPT7	-0.815
GNLY	5.3115
GRAMD1C	1.46266666666667
ZNF165	1.803
USP38	0.966
FAM83A	-3.10983333333333
C14orf24	0.599916666666667
ARMCX3	0.917625
ARHGDIB	0.494166666666667
AK1	0.581375
KIAA1045	-0.0955
DNAJB13	-0.479
NEU2	0.79
HIST1H4B	-0.290166666666667
FAM20B	-0.2057
HES2	0.0687857142857143
FAM73B	-0.5289
LOC388381	0.09675
INTS7	-0.700636363636364
AMPH	1.921
ZNF775	-0.170125
UCKL1	-0.521666666666667
C10orf97	0.51525
C1orf161	-0.1565
ALDH1L1	-1.94225
FLJ39378	0.069875
SLC23A1	-1.775
RBM4B	0.3455
THAP4	0.363333333333333
OGFRL1	0.95625
KIAA0831	0.00937500000000002
PPP1R15A	-0.423666666666667
C1orf96	-0.637285714285714
C12orf11	-1.874
BMF	0.486375
MAN1A1	-0.9495
KIAA1600	0.919333333333333
NLGN4X	-0.96975
ALOX12	-0.967166666666667
RB1CC1	-0.4894
NEIL2	-0.5602
EIF4E	-0.453809523809524
ABHD5	0.43875
EXOC4	-1.19616666666667
CIP29	0.0673333333333333
BATF2	2.5025
SLC29A4	-0.710125
HTR4	0.719
EMB	-0.0695
TRAF6	0.7335
LMNB1	-0.072
FAM19A5	0.308625
SHE	1.08525
PIK3C2B	0.246
C15orf15	-0.4745
USP15	0.2566
TCEAL2	0.027
C5orf39	0.0208333333333333
PTGER2	-0.79125
SLC31A1	-0.596
IFT172	0.51175
ADAM29	0.0615
GFOD1	-0.39925
ST7L	0.177
C15orf26	-3.013
PKN3	-0.267
CNTD1	3.3545
COMMD1	0.448125
NTRK2	1.50741666666667
FOXN3	-0.226625
MFGE8	-1.0077
PFKFB2	0.606333333333334
TAS2R4	-0.2865
ENTHD1	0.678666666666667
PRMT5	-1.556625
MGC16384	-1.2985
LOC442229	-0.45225
TSKU	-1.84225
KRTCAP3	3.04025
PDLIM1	0.4333
KCNS2	0.29575
RNF126	-0.25
CEP63	0.465875
CLIC4	-0.27075
hCG_1990170	-0.59275
ACR	1.0039
KLK7	-0.31975
ALOX5AP	2.19475
RIPK3	4.09925
TAS2R9	0.4905
C19orf18	2.7865
BIRC6	0.0417142857142857
ZNF16	0.445
RFT1	-0.119
SLC8A2	-0.31775
TACC1	0.138125
ITGAD	1.14675
SAMHD1	1.389
SH3PXD2B	0.0372
EPC2	0.56925
C20orf85	0.04925
ATP13A2	0.7605
KRT4	0.64725
CAPNS1	0.153
MDM2	0.219583333333333
PCDH20	1.1525
KCNK9	0.4235
OR2C1	-0.886
KLHDC3	-0.6
IPPK	0.4465
EFHD2	0.51725
GALR3	1.552
NBEA	-0.539166666666667
ABCA6	1.5925
CLDN3	0.8145
AKT2	0.287714285714286
EGFR	-3.2139
RBM16	-0.057125
ZDHHC3	1.9244
SLC25A4	0.175833333333333
CYB5B	-0.9125
CPXM1	-0.44925
NDRG1	-1.87746153846154
FLJ43826	-0.00849999999999999
OR5L2	0.218333333333333
FARP2	0.6727
MRPL46	-0.588333333333333
LDHAL6B	0.188333333333333
MAPKAPK3	0.2115
NCAM2	-3.021
PRKD2	0.3045
ZFP36L1	0.7749
CYSLTR1	0.247
OR4C3	-0.058
HIST1H2AJ	2.886
CCNB2	-1.70055555555556
ZNF10	-0.01475
TMEM175	0.9455
FAM134A	0.843166666666667
TIGD4	0.13
PCNP	-1.085
MGC39715	-0.07975
LQK1	-1.832
CREB1	0.2549
TMPRSS3	-0.3015
C4orf32	2.498
LAT	-0.527
KCNA3	0.443
SKIV2L2	-0.68725
ROPN1B	-2.57125
tcag7.23	-0.826
CDT1	-1.08675
ZHX2	1.4925
CD28	-1.9585
ZNF624	1.2645
SEPT2	-0.0865833333333333
SOHLH2	-1.39175
MCOLN3	-0.450875
UNQ1945	1.012
MASP2	-0.8105
ZNRF3	0.7193
GPATCH3	0.31175
AGL	1.1825
QRICH2	-0.4475
PSD4	0.651
CCNB1IP1	-1.527
ENPP7	0.15025
OBFC1	1.24825
KCNG3	-1.598
C14orf79	0.3845
ENPEP	1.4845
SCT	2.383
SKI	0.971625
SEC61G	-1.03725
CAPN11	0.14425
ATXN7L3	-0.4665
DBNDD1	-0.846166666666667
FAIM	0.7925
ANKRD36	-0.437
GABRP	1.107
TACSTD2	1.05933333333333
EIF3J	-0.49325
PPP2R2A	-1.04375
TEKT4	-0.341833333333333
PVALB	-3.62183333333333
F10	-2.94966666666667
FAM134C	0.7678
COMP	4.36275
EFCBP1	-3.1699375
SCLT1	0.706
TAL1	-1.0619
ACSL1	1.629
ABCC5	-0.323333333333333
ABL1	-0.190444444444445
RBBP7	0.03225
PTPRG	0.014
NCOR1	0.1512
SPINK4	-1.56233333333333
TXNRD1	-1.6485
TNRC15	1.17275
C9orf138	0.013875
UBE2H	0.908
BRDT	1.285
C8orf31	0.05725
CCNE2	-0.656272727272727
SLC6A8	-1.9405
CALCR	-3.8625
PPP1CB	-0.220583333333333
ABHD8	-0.0005
ARF5	-0.6023
SLC24A4	0.8435
CCT3	-1.353
ZNF121	-0.039875
SLC3A2	-0.4486
OR13A1	0.704
SLC5A10	0.5265
RAD50	0.04225
IER5	0.6945
MTHFD1L	-2.337375
MBTPS2	0.149
MVK	0.556
NCL	0.0814
PSMD10	-0.60425
MOBP	0.50075
FLJ32894	-0.611
HRH1	2.402
C5orf30	0.11875
NUDT16L1	0.7364
RASGRP3	3.80433333333333
PRKRIP1	-0.6207
CCDC75	0.729
LOC253970	0.801
KIAA1239	0.46725
MED21	-0.2405
SYT11	0.187916666666667
NTSR2	0.507
EGFL11	0.077
CXorf59	-0.6125
OR2A25	0.466
SPTBN2	-2.245
LRMP	-0.5445
RNF111	-0.5425
PTH	0.4525
LOC619208	0.261333333333333
KIAA0895	-0.4075
RANBP5	-1.583125
P2RY10	1.82066666666667
NME5	-0.617666666666667
DDX21	-1.09775
LRSAM1	0.21
HDAC11	1.113
VMO1	2.68275
NOLA2	-0.606166666666667
ADAR	1.2475
MTO1	-1.261
SF4	0.311166666666667
P2RX1	0.564666666666667
HBM	0.24675
EN2	2.0565
C14orf172	0.223
TM9SF2	-0.7268
INHBE	-1.23116666666667
TCTE3	0.07025
TOX2	-1.8325
CTAGE3	0.61175
HBB	4.2948
MED15	-0.546833333333333
CASR	0.28375
C6orf66	-1.65583333333333
MTPN	-1.084
UNC50	-0.64675
C21orf33	0.14275
IRF2	1.183375
PGR	2.01716666666667
GPR84	2.29575
CROCCL1	-1.5815
SRPX	-2.65275
BRE	0.33
FGF10	0.2695
SDC3	-1.15616666666667
ZRSR1	0.8445
DKFZP434P211	-0.621375
SOX6	-0.0135
RPUSD2	-0.0625
C14orf173	0.311333333333333
MAPK11	-0.448833333333333
TBC1D22A	0.6185
FAM123A	-0.57
COL4A6	-2.98666666666667
TOMM70A	-0.28425
NAB1	-0.3025
MGC16385	-0.012875
TSPAN18	0.0705
MED31	-0.274
PLG	0.05125
CAPSL	0.2415
ZNF532	0.5573
ASB14	-0.18475
CA8	-0.34625
NUDT16P	1.729
SLFN11	-1.008
LRRIQ2	0.610375
NOL7	0.169
BRMS1L	-1.254875
JARID1A	0.550666666666667
PANK2	0.54075
ICAM3	0.17025
MDS1	-0.98375
TAF8	-0.61125
RNF139	0.6085
ZNF594	0.425166666666667
ADAM8	1.643
SFTPC	-0.02475
MAN2B2	1.566375
RGS12	0.4628125
EIF1AY	-4.80590909090909
LRRIQ1	-1.55066666666667
GPR150	1.774
CCDC21	-1.42
PRRG3	0.27025
SAA4	-3.64025
RAPGEF5	1.065125
ZCCHC2	0.465416666666667
MGC39372	-0.4185
PPP4R2	0.498833333333333
CDCA2	-2.03683333333333
OR4D5	0.241166666666667
PTGFRN	0.8421
SIGLEC5	1.59633333333333
C19orf61	0.0991666666666667
NMUR2	0.325
KIAA1586	-0.847333333333333
DAGLA	-0.7685
CHCHD6	0.0655
GPR32	0.429
NEUROD6	0.2585
SLC2A4RG	0.2449375
CA5B	0.7145
FBXL3	-0.39125
MPHOSPH9	-1.22625
HMG2L1	0.2325
HCN4	0.874
CEACAM19	0.9235
SH2D4B	0.1475
HFE2	-0.34
TGM4	1.85133333333333
LYPD2	-0.2565
TBC1D15	0.252
MRPS21	-0.7235
NONO	-0.8603
CLEC5A	0.7075
ITCH	0.9751
MGAT3	-0.892166666666667
MBP	-0.562375
RPP25	-0.26225
SOSTDC1	-2.01175
HRC	-1.2195
TRIM48	0.082
TMEM133	3.0495
ECEL1P2	-1.1405
HOXC11	0.487
DOK5	-0.76275
HELZ	0.629333333333333
LOC348180	-0.395
MGC33894	0.58425
ADRB3	-0.0635
DMD	-0.535166666666667
PTRH2	0.7925
MPEG1	3.5705
NDUFA12	0.100166666666667
KRTAP2-4	0.312916666666667
STAMBPL1	-0.741833333333333
ADCY2	2.42683333333333
UNQ6125	0.053
KLHL20	0.351833333333333
SRM	-1.21375
OTC	-0.2225
TMIE	-0.0605
SNX8	1.2455
LIPK	-0.1515
CHURC1	-0.35275
KLC2	0.5225
HDAC1	-0.306833333333333
FAM128A	0.8125
FNDC3B	-0.3893
MTCP1	-0.5505
WFDC10B	0.256
PCDHGB3	0.48
ATRNL1	-2.0669
CAV2	-1.872875
MED26	-0.116166666666667
DUS1L	0.616
CHRM3	-1.936125
NEK9	0.1325
WARS2	0.82175
TBX22	-0.118
TOMM40	-1.06075
RP6-213H19.1	-1.93383333333333
TUBGCP5	-0.05475
IGSF6	5.83125
TPPP	-0.149833333333333
UNQ6190	0.398
GSTM5	-0.53475
BTD	0.830666666666667
PDCD1LG2	0.257166666666667
SNRPB2	-0.037
ERICH1	-0.744875
APOA4	-1.483
HOXA11	-2.27725
NARG1	-0.752375
MKX	-0.417
RAB28	-0.824285714285714
PKP3	1.2305
SH3GL2	-2.2515
CTSO	2.6825
RPN2	0.7263125
IL28RA	-0.395666666666667
SFMBT1	1.09125
WDR57	-0.680625
FER1L3	0.973666666666667
HSF5	-0.146
TTC9B	0.92925
C4BPA	-3.82466666666667
ALB	-4.18642857142857
SORBS3	0.3455
UPF2	0.12
JPH1	0.4325
AGBL2	-0.3905
DOPEY1	1.4465
TERF1	-0.42075
KIF22	-0.0903333333333333
NINJ1	0.984
SEC61A2	0.26025
HIST1H1D	1.21333333333333
SFXN4	0.617
UCP3	0.646
ZNF703	0.901833333333333
MYL6B	-0.29525
TREM1	0.87
OR52E6	0.859
CKMT2	-0.29925
HLA-C	3.414125
SLC13A3	-1.246
TIMP4	-3.371
SLIT2	1.92225
RSF1	-0.170611111111111
LONRF1	-0.900214285714286
MON1A	0.644166666666667
CACNG6	-1.26233333333333
DPPA4	-4.85833333333333
ZSWIM3	0.1925
ZNF804A	0.199166666666667
CCIN	0.43375
SLC25A31	0.277333333333333
KCNMB4	-1.73425
RABL5	0.049125
GALNS	-0.3954
STX6	0.583875
HIST1H1C	1.255
CIDEB	1.298875
CASP4	0.801
PDK3	0.1753
KCNJ11	0.8615
TPR	-0.70125
ZSCAN20	-0.9685
MTX2	0.17225
HIST1H2BH	1.3275
LOC283767	2.1445
LYRM7	-1.68
BRD3	0.193166666666667
HIST1H2BO	0.79475
MAGEB10	-0.2075
SLC45A1	0.70875
SERPINA3	-1.42045
KIAA0143	0.6045
KCNJ16	-0.169333333333333
KRT79	0.15425
FABP2	-0.60225
NUT	-0.28375
ZNF57	-0.3925
FBXL4	-0.705125
CLEC9A	1.464
UGT8	-1.03066666666667
BMP2K	-0.0405
MAPK4	-3.45275
SLC25A23	-0.1551
HINT1	-0.2399
KRTAP13-1	-0.111
SFXN5	-0.3689
CHCHD2	-0.0838333333333333
FAM3D	0.38
NDP	-3.787
RHOBTB1	-1.03533333333333
SLC4A4	-1.11271428571429
RPL38	-0.4845
HTF9C	0.134666666666667
AP2A2	0.771125
ZBTB46	-0.4105
MAP7D1	-0.152625
AOX1	-1.8375
CYR61	0.0984166666666667
DTNA	-1.82285714285714
JRKL	-0.69325
TMOD3	0.593
EEA1	0.415
ADCK5	-0.5615
IL1R1	2.3445
KLK3	0.637714285714286
HRSP12	-0.62575
KTN1	-0.177
LOH11CR2A	0.5514
RELL2	-1.38525
MAB21L1	0.52425
C20orf59	-0.9335
PHKB	0.672
ADAM2	-1.37633333333333
TBC1D8B	1.40166666666667
FAM13A1	-0.8128125
LAPTM4B	-2.90275
LCN8	0.7105
TMEM147	0.5255
SYT4	0.296166666666667
XPO7	-1.0515
C9orf62	2.092
GPR75	0.1475
TRIM5	0.91875
APOC1	2.32183333333333
RNASE4	0.298833333333333
PARD6B	-2.7
ARID1A	0.393
TPD52L3	0.4007
RRAGB	0.116833333333333
RCN2	-0.801333333333333
HIST2H2BE	-0.034375
STARD7	-0.52575
SHMT2	-0.91925
KIAA1751	0.0526666666666667
MLYCD	0.054
LOC162632	1.7738
UQCRH	-1.49675
RP11-217H1.1	0.5631875
SDHA	-1.0935
NCLN	0.4213
ZNF17	0.325666666666667
RCBTB2	-1.99925
VEGFB	-0.8021
RP4-747L4.3	-0.9255
COLQ	0.2254
MPN2	-0.887666666666667
DRG2	0.13275
KLRB1	5.7585
ALPK2	-1.41975
DNASE2B	4.20725
FLJ23834	-0.213333333333333
AXUD1	0.6925
SAFB	0.1717
NSUN4	0.50225
RFX2	0.0283333333333333
MAPK8IP1	-0.612833333333333
FANCD2	-0.816642857142857
ANKZF1	-1.33233333333333
C19orf50	-0.49
DUSP8	2.372125
SENP5	0.374
NFKBIL2	-0.45025
LBR	-1.652375
IGFL1	-0.37
LZTS2	0.649375
IL2RG	0.968375
CCDC51	0.221
KLF3	0.607625
ANKRD37	-0.822
KCTD14	-1.506
FZR1	0.641083333333333
SLC44A4	4.9089
ESPL1	-0.510875
GMPR2	-0.6574
TBC1D19	-0.534666666666667
ERGIC1	1.49507407407407
ERBB4	3.6635
TSPAN32	1.142
MAP4	-0.948
GPHN	-0.63625
SLC6A2	-0.140375
HIVEP1	0.90675
DFFB	-0.2938
EIF4EBP2	0.383875
DMRT1	0.06725
HSPB6	-0.0275
IER2	0.0595
AIFM1	0.12175
WWC2	-0.60975
MRPL4	-0.729
FLJ21062	0.365833333333333
EPB41L4A	1.89716666666667
SH2D6	0.11275
TAF4B	-1.50375
GAL3ST3	-0.713
MALT1	-1.35333333333333
RTDR1	0.424
ARVCF	0.164625
MEX3B	-1.589
FBXO16	0.75175
KIF7	-1.93125
C1QC	4.45866666666667
ZNF783	-0.728333333333333
ZNF85	0.4065
MMP13	2.1065
KIAA0329	0.56325
RTP3	-0.679
ZBED3	-0.3205
CLGN	-1.375
SLC25A37	-1.80158333333333
hCG_18290	-0.36925
OR5AS1	0.1825
SMARCC2	0.729416666666667
FAM109A	0.241666666666667
CCDC12	-0.232
USF2	0.5187
DEPDC7	-1.6285
C20orf24	-0.676166666666667
JMJD3	0.6185
DSP	1.27721428571429
SLIC1	0.8275
FAM20A	1.21225
IRF2BP2	-0.3315
ZNF230	0.313
MSN	-0.580285714285714
SLC9A5	-1.3985
EPDR1	-1.1246
MUSK	0.399
ZNF434	-0.113833333333333
SMARCD1	-0.420166666666667
ZFP106	-0.77175
ZNF347	0.3608
