Hybridization REF	TCGA-AN-A0XP-01A-11R-A109-07
BTBD10	0.414
SDK2	0.3175
BAIAP3	1.0935
RABGGTB	-1.265875
ANKRD40	-0.526833333333333
KRT74	0.5775
CALCOCO2	0.210571428571429
SNCA	-3.8705
TMSL8	-4.7335
C2orf53	-0.4955
ESRRB	-0.69975
ARHGAP26	0.038875
TDRD9	-2.725
HRAS	0.339166666666667
KLRC4	-3.4965
JAGN1	0.1865
BSDC1	0.362
RNF43	-0.8405
NDUFAF1	0.6085
PHF12	-0.23825
OR1L3	-0.21025
FOLR2	1.48766666666667
LYZL6	0.717166666666667
tcag7.1260	-2.0185
WSB1	-1.60816666666667
PROS1	-1.0544
OSTN	0.436
PSMB8	2.0905
SOCS4	-0.352
DDIT4L	1.675
MAS1	0.212
MGC34796	2.541
CSHL1	-0.120166666666667
TBCCD1	0.100666666666667
ZBTB7C	0.1715
AP2S1	0.402375
P15RS	-1.2394
VAT1	-0.7564
SHANK3	1.15116666666667
TUFM	-0.190666666666667
THEG	-0.703
KRT34	-2.66375
SGSM3	0.743375
TOMM22	-0.289125
SOCS3	0.309166666666667
CPO	0.5085
POP4	0.2715
BHLHB3	0.038
MALL	0.604
OR1B1	0.5705
PARK2	0.230333333333333
GPR124	0.196625
LCE1E	0.2845
RUVBL2	-0.415
CGRRF1	0.4064
ACPL2	0.8725
WNT10B	-2.719125
BAIAP2L2	-1.692875
ISCA1	-0.091
C1orf125	1.04175
RPAP1	-0.88125
RAI16	0.852333333333333
RPL27	-0.152375
NLRP9	0.479
EPN1	0.2945
LOC388610	-1.8445
SLC35A1	1.1562
GAL	-3.89575
SLC14A2	0.22075
RDH11	-0.5315
FAM138F	-0.839
AUH	0.065
FLJ40243	-0.05025
C14orf129	0.750333333333333
MBD2	-0.979833333333333
ABHD14B	0.412625
PIGT	1.543
ALS2CR4	-1.018875
ALAS1	0.2821
FOXO1	0.7015
CRLF3	-1.183625
C20orf107	0.1895
FARS2	1.0095
CCDC28A	1.1635
NPHP3	-0.78475
OR13F1	0.0615
TSEN54	-0.46575
DEFB106B	0.0315
OR8B4	0.4655
STH	3.5625
ZC3H14	-0.6235
CBX2	-0.374
TMEM49	-1.61
C6orf21	0.827
FLJ20920	0.71275
CRTAP	-0.315928571428571
DDX50	-0.558
STYXL1	0.2255
BLVRB	0.916
LOC147650	-0.704333333333333
MMP24	0.57775
GRID1	2.16083333333333
BANF1	-0.682166666666667
CTAGEP	0.707
HMBS	-1.4775
SLC25A24	0.00599999999999999
C14orf50	2.7665
MRO	0.456333333333333
SLC25A15	-0.60075
FAM84B	1.4724
TDP1	-0.515
C16orf78	-0.00833333333333337
C11orf57	0.013375
RFK	-0.869625
ZFYVE9	-2.124625
STCH	-1.1008
WIBG	0.529
LOC283871	-0.637
GBA2	-0.1674
NDUFB3	0.43125
HSD17B13	-1.28525
GRIN3A	1.17983333333333
FMNL1	-1.49783333333333
SEPT7	-0.7334
GNLY	2.4755
GRAMD1C	0.809333333333333
ZNF165	0.40625
USP38	-0.30625
FAM83A	-2.91116666666667
C14orf24	0.212166666666667
ARMCX3	1.081875
ARHGDIB	1.7675
AK1	0.579125
KIAA1045	-0.156
DNAJB13	-1.085
NEU2	-0.0845
HIST1H4B	-0.881
FAM20B	0.408
HES2	0.241714285714286
FAM73B	-0.3196
LOC388381	-0.06375
INTS7	0.0419090909090909
AMPH	1.20575
ZNF775	0.652125
UCKL1	-0.103833333333333
C10orf97	-0.05675
C1orf161	0.105
ALDH1L1	-1.58375
FLJ39378	-0.406875
SLC23A1	-1.0485
RBM4B	0.0775
THAP4	0.3185
OGFRL1	0.3785
KIAA0831	0.497625
PPP1R15A	-0.671333333333333
C1orf96	-0.39
C12orf11	-3.18725
BMF	0.70175
MAN1A1	-1.616375
KIAA1600	0.322333333333333
NLGN4X	-2.45875
ALOX12	-2.0575
RB1CC1	0.2298
NEIL2	0.4588
EIF4E	-0.963818181818182
ABHD5	-0.28825
EXOC4	0.188666666666667
CIP29	-1.09183333333333
BATF2	3.833
SLC29A4	-0.8685
HTR4	0.34725
EMB	-0.51975
TRAF6	1.125
LMNB1	-3.344
FAM19A5	-0.732875
SHE	1.266
PIK3C2B	0.5545
C15orf15	-0.5415
USP15	-0.3984
TCEAL2	-0.1335
C5orf39	-1.54433333333333
PTGER2	-1.50925
SLC31A1	-0.1135625
IFT172	0.58975
ADAM29	0.0825
GFOD1	1.354
ST7L	0.618333333333333
C15orf26	-2.00525
PKN3	-0.94375
CNTD1	3.78016666666667
COMMD1	0.735875
NTRK2	2.56583333333333
FOXN3	-0.566125
MFGE8	0.1594
PFKFB2	1.09
TAS2R4	0.2095
ENTHD1	-0.526
PRMT5	-0.682375
MGC16384	0.00212500000000001
LOC442229	-0.3235
TSKU	0.480375
KRTCAP3	3.146625
PDLIM1	1.563
KCNS2	0.3585
RNF126	-0.235333333333333
CEP63	0.325
CLIC4	-0.896
hCG_1990170	-0.976
ACR	-0.0892
KLK7	0.17675
ALOX5AP	2.71225
RIPK3	4.734
TAS2R9	0.2845
C19orf18	2.599
BIRC6	-0.857857142857143
ZNF16	1.0895
RFT1	-0.136
SLC8A2	-0.60725
TACC1	-0.342125
ITGAD	1.05125
SAMHD1	1.9305
SH3PXD2B	0.172
EPC2	0.5405
C20orf85	-0.338625
ATP13A2	0.872333333333333
KRT4	0.439625
CAPNS1	0.30125
MDM2	0.210416666666667
PCDH20	1.179
KCNK9	0.5085
OR2C1	-0.0255
KLHDC3	-0.915833333333333
IPPK	0.4755
EFHD2	0.840125
GALR3	2.62375
NBEA	1.27316666666667
ABCA6	1.2351
CLDN3	1.41183333333333
AKT2	-0.638642857142857
EGFR	-2.9067
RBM16	0.065375
ZDHHC3	0.2287
SLC25A4	-0.376666666666667
CYB5B	-2.47066666666667
CPXM1	-0.787
NDRG1	-1.78253846153846
FLJ43826	0.31375
OR5L2	0.0726666666666667
FARP2	0.7493
MRPL46	0.0423333333333333
LDHAL6B	-0.236666666666667
MAPKAPK3	-0.1345
NCAM2	-2.30525
PRKD2	1.10483333333333
ZFP36L1	1.1241
CYSLTR1	-0.265
OR4C3	-0.316
HIST1H2AJ	2.1175
CCNB2	-2.95822222222222
ZNF10	0.115375
TMEM175	1.1565
FAM134A	0.367
TIGD4	0.7565
PCNP	-0.33175
MGC39715	0.00500000000000003
LQK1	-2.09075
CREB1	0.0912
TMPRSS3	-0.0745
C4orf32	2.37425
LAT	-2.34741666666667
KCNA3	0.16
SKIV2L2	-0.91625
ROPN1B	-3.62225
tcag7.23	-0.2755
CDT1	-3.142375
ZHX2	1.0775
CD28	-4.2735
ZNF624	0.364
SEPT2	-0.0870833333333333
SOHLH2	-1.0465
MCOLN3	-1.67971428571429
UNQ1945	0.782
MASP2	-0.998
ZNRF3	0.3696
GPATCH3	-0.197
AGL	-0.1355
QRICH2	-0.804
PSD4	1.11366666666667
CCNB1IP1	-2.628
ENPP7	-0.216
OBFC1	0.12125
KCNG3	-2.2305
C14orf79	1.13008333333333
ENPEP	2.60866666666667
SCT	2.9535
SKI	1.41025
SEC61G	-0.774
CAPN11	-0.44625
ATXN7L3	-0.5595
DBNDD1	-0.923333333333333
FAIM	-0.75925
ANKRD36	-0.3575
GABRP	0.823166666666667
TACSTD2	2.83483333333333
EIF3J	-0.3975
PPP2R2A	-0.42775
TEKT4	-0.0971666666666667
PVALB	-3.29116666666667
F10	-2.55816666666667
FAM134C	0.6252
COMP	5.44275
EFCBP1	-2.87546666666667
SCLT1	0.493375
TAL1	-1.3463
ACSL1	-0.34125
ABCC5	0.746916666666667
ABL1	-0.404388888888889
RBBP7	0.0218333333333333
PTPRG	0.663875
NCOR1	-0.5991
SPINK4	-0.294833333333333
TXNRD1	-1.0331
TNRC15	1.104125
C9orf138	0.853
UBE2H	1.00083333333333
BRDT	0.2185
C8orf31	0.219
CCNE2	-2.10436363636364
SLC6A8	-1.717625
CALCR	-3.52375
PPP1CB	-0.252666666666667
ABHD8	0.13075
ARF5	0.1711
SLC24A4	0.35575
CCT3	0.0555
ZNF121	0.489375
SLC3A2	-1.2533
OR13A1	0.502
SLC5A10	-0.049
RAD50	0.225125
IER5	1.1555
MTHFD1L	-2.09775
MBTPS2	0.3025
MVK	-0.834125
NCL	-0.9088
PSMD10	-0.47225
MOBP	0.501875
FLJ32894	0.3285
HRH1	-0.635333333333333
C5orf30	1.02675
NUDT16L1	0.9951
RASGRP3	3.63433333333333
PRKRIP1	0.1446
CCDC75	0.51475
LOC253970	0.424666666666667
KIAA1239	0.7365
MED21	0.19775
SYT11	0.16475
NTSR2	-0.4
EGFL11	0.19
CXorf59	0.709
OR2A25	0.597
SPTBN2	-0.645
LRMP	-1.699
RNF111	0.32775
PTH	0.948
LOC619208	0.866333333333333
KIAA0895	-0.08175
RANBP5	-1.281
P2RY10	0.395666666666667
NME5	3.94083333333333
DDX21	-1.5635
LRSAM1	0.8105
HDAC11	1.732
VMO1	1.8585
NOLA2	-0.0335
ADAR	1.99416666666667
MTO1	-0.9225
SF4	0.595166666666667
P2RX1	-0.830166666666666
HBM	0.152
EN2	2.798
C14orf172	0.75025
TM9SF2	0.7333
INHBE	-1.79766666666667
TCTE3	-0.0228333333333333
TOX2	-3.17875
CTAGE3	1.096625
HBB	4.18
MED15	-0.311166666666667
CASR	2.81
C6orf66	-0.694
MTPN	0.44775
UNC50	-0.05425
C21orf33	0.00787499999999999
IRF2	1.007
PGR	2.94633333333333
GPR84	2.2335
CROCCL1	-2.0745
SRPX	-1.56425
BRE	0.415
FGF10	1.35825
SDC3	-0.927333333333333
ZRSR1	0.345166666666667
DKFZP434P211	0.268625
SOX6	0.839
RPUSD2	0.1865
C14orf173	-0.0763333333333333
MAPK11	0.156166666666667
TBC1D22A	0.936
FAM123A	-1.108
COL4A6	-2.9675
TOMM70A	-0.66725
NAB1	-0.3435
MGC16385	-0.702
TSPAN18	0.808166666666667
MED31	0.01525
PLG	-1.4855
CAPSL	0.0215
ZNF532	-0.2607
ASB14	0.67475
CA8	0.5935
NUDT16P	1.29033333333333
SLFN11	-1.5835
LRRIQ2	0.90725
NOL7	0.00566666666666671
BRMS1L	-1.279625
JARID1A	0.812
PANK2	0.041
ICAM3	-0.32525
MDS1	-0.66825
TAF8	-0.2335
RNF139	0.71325
ZNF594	-0.788666666666667
ADAM8	2.788875
SFTPC	0.003625
MAN2B2	1.3125
RGS12	0.736
EIF1AY	-4.68116666666667
LRRIQ1	-1.517
GPR150	3.0485
CCDC21	-1.64916666666667
PRRG3	0.09825
SAA4	-3.19625
RAPGEF5	3.0065
ZCCHC2	0.4645
MGC39372	1.6855
PPP4R2	-0.5915
CDCA2	-2.36516666666667
OR4D5	-0.0576666666666666
PTGFRN	1.5727
SIGLEC5	1.885
C19orf61	0.241166666666667
NMUR2	-0.4695
KIAA1586	-0.892666666666667
DAGLA	0.192
CHCHD6	-0.20725
GPR32	-0.293
NEUROD6	0.3485
SLC2A4RG	0.454875
CA5B	0.1755
FBXL3	1.84025
MPHOSPH9	-1.68225
HMG2L1	0.3585
HCN4	1.66516666666667
CEACAM19	-0.3285
SH2D4B	0.0383333333333333
HFE2	-0.5765
TGM4	0.302666666666667
LYPD2	0.00825000000000001
TBC1D15	0.59575
MRPS21	0.4495
NONO	-0.8894
CLEC5A	1.313
ITCH	0.482
MGAT3	-0.384333333333333
MBP	-0.71
RPP25	-0.62225
SOSTDC1	-2.7
HRC	-0.8885
TRIM48	0.293
TMEM133	1.803
ECEL1P2	-1.626
HOXC11	-0.6685
DOK5	-1.10675
HELZ	0.461333333333333
LOC348180	-0.64525
MGC33894	0.087
ADRB3	0.1005
DMD	-0.51425
PTRH2	0.09675
MPEG1	2.41933333333333
NDUFA12	0.545
KRTAP2-4	0.37775
STAMBPL1	-2.1515
ADCY2	0.426
UNQ6125	0.3955
KLHL20	0.635
SRM	-1.32475
OTC	-0.5575
TMIE	0.207666666666667
SNX8	0.30225
LIPK	0.205
CHURC1	1.23125
KLC2	0.319333333333333
HDAC1	-0.7535
FAM128A	0.705833333333333
FNDC3B	0.3777
MTCP1	-0.736833333333333
WFDC10B	0.379
PCDHGB3	0.4455
ATRNL1	-2.04388888888889
CAV2	-1.072625
MED26	-0.184666666666667
DUS1L	0.3545
CHRM3	-1.405
NEK9	-0.071
WARS2	1.17525
TBX22	-0.0425
TOMM40	-1.1435
RP6-213H19.1	-1.79166666666667
TUBGCP5	-0.27975
IGSF6	5.414
TPPP	-0.745
UNQ6190	0.51
GSTM5	0.419375
BTD	1.49516666666667
PDCD1LG2	-0.0328333333333333
SNRPB2	0.608
ERICH1	-0.28
APOA4	-1.586625
HOXA11	-1.9585
NARG1	-0.871125
MKX	-0.47125
RAB28	-1.14242857142857
PKP3	1.0925
SH3GL2	-1.36375
CTSO	2.626
RPN2	1.109375
IL28RA	0.704666666666667
SFMBT1	1.17475
WDR57	-1.749875
FER1L3	0.428
HSF5	0.456
TTC9B	0.29525
C4BPA	-3.89583333333333
ALB	-3.7755
SORBS3	0.64525
UPF2	-1.136
JPH1	-0.96
AGBL2	0.89625
DOPEY1	1.846
TERF1	-0.53375
KIF22	-1.12
NINJ1	2.28325
SEC61A2	-0.845416666666667
HIST1H1D	0.0531666666666666
SFXN4	-0.192875
UCP3	0.7633
ZNF703	1.40983333333333
MYL6B	-0.7615
TREM1	1.18175
OR52E6	0.0435
CKMT2	-0.0065
HLA-C	3.63475
SLC13A3	-2.204
TIMP4	0.57125
SLIT2	1.42175
RSF1	0.190444444444444
LONRF1	-1.37092857142857
MON1A	0.323333333333333
CACNG6	-0.177666666666667
DPPA4	-4.85566666666667
ZSWIM3	0.66625
ZNF804A	0.397333333333333
CCIN	1.6525
SLC25A31	-0.879
KCNMB4	-1.43925
RABL5	0.77075
GALNS	-0.1497
STX6	1.289125
HIST1H1C	-1.47516666666667
CIDEB	0.655375
CASP4	0.966
PDK3	0.4124
KCNJ11	1.6265
TPR	-0.037375
ZSCAN20	-0.921
MTX2	-0.39175
HIST1H2BH	0.4955
LOC283767	1.7985
LYRM7	-1.47311111111111
BRD3	0.102166666666667
HIST1H2BO	0.3675
MAGEB10	-0.027
SLC45A1	1.15225
SERPINA3	3.0703
KIAA0143	1.73075
KCNJ16	-1.07866666666667
KRT79	-0.7475
FABP2	-0.72325
NUT	-0.19575
ZNF57	-0.31475
FBXL4	0.16625
CLEC9A	-0.0505
UGT8	-1.36183333333333
BMP2K	-0.3355
MAPK4	-3.681
SLC25A23	-0.5355
HINT1	-0.3545
KRTAP13-1	0.128
SFXN5	0.2908
CHCHD2	0.279916666666667
FAM3D	1.332
NDP	-2.107375
RHOBTB1	-0.205333333333333
SLC4A4	-1.303625
RPL38	0.2805
HTF9C	-0.1215
AP2A2	0.7315
ZBTB46	-0.495
MAP7D1	0.01225
AOX1	-1.63316666666667
CYR61	-0.210833333333333
DTNA	-1.20764285714286
JRKL	-1.09025
TMOD3	-0.803
EEA1	-0.1258
ADCK5	0.05125
IL1R1	0.731666666666667
KLK3	1.1345
HRSP12	-0.53875
KTN1	0.5
LOH11CR2A	1.1249
RELL2	-1.39225
MAB21L1	0.25625
C20orf59	-1.24783333333333
PHKB	-0.65325
ADAM2	-1.6715
TBC1D8B	1.98433333333333
FAM13A1	-1.30575
LAPTM4B	-1.16875
LCN8	-0.259
TMEM147	0.982
SYT4	0.372166666666667
XPO7	-0.6335
C9orf62	2.9705
GPR75	-0.3975
TRIM5	1.157125
APOC1	0.2225
RNASE4	0.406333333333333
PARD6B	1.22375
ARID1A	0.179916666666667
TPD52L3	-0.208888888888889
RRAGB	0.672
RCN2	-0.803666666666667
HIST2H2BE	0.526375
STARD7	-0.602
SHMT2	-1.512
KIAA1751	-0.443833333333333
MLYCD	0.155875
LOC162632	-1.486
UQCRH	-1.887
RP11-217H1.1	0.7860625
SDHA	-0.885333333333333
NCLN	-0.0852
ZNF17	0.883833333333333
RCBTB2	-1.797
VEGFB	-0.1428
RP4-747L4.3	0.68425
COLQ	0.1063
MPN2	-0.439166666666667
DRG2	-0.6005
KLRB1	1.5275
ALPK2	-0.36075
DNASE2B	3.054
FLJ23834	-0.762166666666667
AXUD1	0.645833333333333
SAFB	-0.1183
NSUN4	-0.016
RFX2	-0.282666666666667
MAPK8IP1	-0.696333333333333
FANCD2	-1.18764285714286
ANKZF1	-1.63383333333333
C19orf50	-0.347625
DUSP8	2.244375
SENP5	-0.0735
NFKBIL2	-0.792
LBR	-1.460375
IGFL1	0.531
LZTS2	0.28
IL2RG	-1.325375
CCDC51	0.20225
KLF3	0.551875
ANKRD37	-0.9325
KCTD14	-1.33433333333333
FZR1	0.500833333333333
SLC44A4	4.7531
ESPL1	-1.146375
GMPR2	0.4102
TBC1D19	-0.4315
ERGIC1	0.341074074074074
ERBB4	2.6856
TSPAN32	-0.465333333333333
MAP4	-0.23675
GPHN	-0.52175
SLC6A2	-0.554625
HIVEP1	-0.4525
DFFB	-0.6394
EIF4EBP2	0.136625
DMRT1	-0.27075
HSPB6	-0.24325
IER2	0.1965
AIFM1	-0.22425
WWC2	-0.4235
MRPL4	-0.296
FLJ21062	1.6145
EPB41L4A	1.83883333333333
SH2D6	-0.20325
TAF4B	-1.93525
GAL3ST3	-1.0575
MALT1	-1.9325
RTDR1	-0.577
ARVCF	0.109875
MEX3B	-2.09883333333333
FBXO16	2.283
KIF7	-1.525
C1QC	4.47116666666667
ZNF783	-0.136333333333333
ZNF85	-0.2185
MMP13	5.1255
KIAA0329	0.486375
RTP3	-1.09
ZBED3	0.52275
CLGN	-2.71
SLC25A37	-0.83725
hCG_18290	0.21
OR5AS1	-0.164
SMARCC2	1.06125
FAM109A	-0.115
CCDC12	-0.0705
USF2	0.6383
DEPDC7	-1.95675
C20orf24	-0.2685
JMJD3	-0.316
DSP	1.10064285714286
SLIC1	-0.545125
FAM20A	0.89275
IRF2BP2	0.345
ZNF230	0.2635
MSN	-1.01742857142857
SLC9A5	-1.881
EPDR1	-2.2282
