Hybridization REF	TCGA-BH-A0HI-01A-11R-A084-07
SELL	0.44425
OR8J3	0.0785
LTBP4	-0.557166666666667
SIRT6	-0.17925
CCL19	4.0385
PPIL1	-0.899
GBP7	0.66
STK17A	-0.5921
ABR	0.81125
OR9G1	0.0985
FOXE1	-1.096625
CNGA3	0.2525
GML	0.196
CD38	-3.94425
ZDHHC6	0.224833333333333
NEFH	-2.19275
CTDSP2	0.652833333333333
PGBD5	-1.08383333333333
CCNY	0.136785714285714
RMND5B	0.468583333333333
ZNF257	-0.893
FLJ22167	-0.71725
EXOSC7	-0.621666666666667
ROR2	2.106375
MAOA	-0.034
TNNT3	0.0075
GYPC	-1.45675
C7orf33	0.9335
PLIN	1.5335
LOC90826	0.43475
RNF4	-0.0244
F8A1	0.646166666666667
PLEKHG4	-1.2905
GRB2	0.1015
HIST1H2AD	0.2375
DUS3L	-1.4595
EIF1	-0.207166666666667
RP5-1077B9.4	-1.741
FPGT	2.08125
GDF10	-0.371
COQ9	-0.6705
GCC2	0.249142857142857
RARRES3	3.107875
PLXNA1	-0.7943
KIAA0100	-0.5429
PMF1	0.51075
FNDC1	5.2795
HS2ST1	-0.223333333333333
CRELD2	0.74425
C8G	-2.525
CD82	0.288
LIM2	-1.6915
UNQ6490	0.0435
MMP16	0.02
DRD3	-0.19775
C5orf26	-1.719
C11orf73	-0.364125
PTP4A2	1.963875
OR4M2	0.29
HPCA	-0.894166666666667
SEC14L1	-0.204
CHFR	-0.31575
EMILIN1	0.893375
NDUFS4	-0.34475
COL18A1	0.68175
PDZD3	-0.2806
C9orf16	-0.197833333333333
ERBB2IP	0.115666666666667
EMX2	2.668
FUS	-0.9265
TF	-4.3349
CLCN4	-0.358833333333333
CXorf56	0.245
C11orf72	0.177
ELAC2	-0.436583333333333
NPR1	-0.7015
ASS1	-2.97816666666667
USP42	0.009125
POLR2J	-1.6015
SEC23IP	1.29933333333333
UQCRC1	0.17375
LOC729603	-0.37325
C1orf71	0.023125
POLG	-2.2285
ADAM23	-3.047
TFR2	-1.79725
RICTOR	-1.0972
MGC39606	-0.468
C19orf55	-0.582625
SNAPC1	-1.421
GNA11	0.921375
CCDC52	0.474333333333333
FSIP1	5.356
UPF3A	-0.067125
IGSF11	-2.444
LAGE3	0.29
CHST6	-2.2685
UNC13B	1.678625
TTLL4	-1.903
ZNF687	0.69975
SDC2	0.4714
COX7A2	0.052
LAMB4	-0.0565
FAM24A	0.4385
LRRTM3	-1.04583333333333
GPHB5	0.04825
OR4C13	0.01
EIF3EIP	-0.0339285714285714
HABP4	-0.637
TMEM125	4.0275
CNTN2	0.59575
ASNSD1	-0.367
FUT4	-0.330875
ACF	-4.443
LOC158381	0.918
CDH8	0.3125
AGPS	-0.117833333333333
C4orf18	4.369375
PECI	0.440333333333333
UNG	-0.428875
GSTP1	-0.57625
DCUN1D5	-0.924666666666667
DKFZP564J0863	-0.7025
SLC9A3R1	1.41375
BCDO2	-0.86925
CHMP7	0.282875
REM2	1.011
DNHD1	-0.764875
FKBP4	-0.11675
ZNF350	1.65525
MGC11102	-0.22975
BST1	1.25925
KISS1R	0.6265
NCR2	0.002
DEFB125	0.1575
UBE2W	0.94175
KRT15	-0.41875
C10orf99	0.289
SCN11A	0.22375
GFI1	-3.02875
RDHE2	3.89133333333333
FHL1	-1.33016666666667
OSGEP	0.0181666666666667
GATA1	-3.6385
SMC6	-1.343
TTTY14	-1.87825
LPIN3	-0.3135
RPL4	-0.7277
RBPMS	0.1316
PRPF3	-0.6
EMR1	-2.0155
SPATA19	0.35825
XCR1	0.326
IRX3	1.7115
RBM6	-0.9675
KLF4	0.6943
UNC5CL	-1.29725
SEBOX	0.26
BTK	-0.43325
KRCC1	0.73375
C6orf27	0.2285
SYTL5	0.168
PRND	2.84325
LOC653319	-1.6575
PIGL	-1.38975
HUS1	-0.2535
SFRS6	1.296
C17orf77	0.3995
UIMC1	-0.758
FXYD2	-2.2449
LOC283152	2.1675
ZNF667	0.275
ZCCHC12	-0.2655
TFEC	2.4298
ATP7B	1.81283333333333
POLD2	-1.13916666666667
RG9MTD1	-0.281
ACOT2	0.97
HIST1H4I	-1.094375
PPARGC1A	-2.96544444444444
ETFA	-2.5179
POLRMT	-0.8285
ZNF146	0.266125
MIA2	-1.38
KLHL6	-1.06666666666667
HOXB5	2.56075
NENF	0.8565
CUGBP1	0.28
PRSS22	0.773
CASC4	1.4472
CUL4B	0.3428
CENPJ	-2.1413
PITX1	0.900166666666667
FLJ31033	0.7885
CELSR3	-2.544
ZNF568	1.25475
ITSN1	-0.997666666666667
EHBP1L1	-1.11366666666667
C19orf2	-0.33875
DCTN1	0.29775
LIN28B	-3.57516666666667
TNKS2	-0.749
C1QBP	-0.685875
CADPS2	1.18525
SRMS	0.75875
GJA9	0.038
MGC24975	-1.332
TRIM45	-0.0951666666666667
TSP50	-0.23075
TCP1	-1.18575
TMED7	-0.0915
CMA1	0.498
CENPL	-1.11633333333333
PTCRA	0.1655
FST	-3.78275
VWCE	-4.09175
PAWR	-0.4095
ABCC12	0.51
LDLR	-2.5585
ASTN2	1.6087
LOC441212	-1.710375
GPATCH8	-0.1055
TANC2	-0.307833333333333
KIF4A	-2.1845
C18orf18	-0.968
PGM1	-0.70675
KIAA0258	0.899
CPD	1.5415
SNCAIP	-0.8735
DCT	-4.58283333333333
HLA-DOA	2.90736363636364
OR11L1	0.162
UPK1B	-0.325833333333333
DNAJB4	0.527125
UGT1A8	0.106
HIST1H4L	-2.714
PECR	-1.49316666666667
HSPA2	1.682
WFIKKN1	-3.39
SERP1	2.1845
SYDE2	1.386
TACR2	0.0605
NUP85	-1.027
CD177	3.13183333333333
LGR5	-1.82
PIGG	0.312083333333333
PTHR1	-1.99933333333333
RAB5A	0.5278
FLJ13224	-0.4005
USP9Y	-1.29266666666667
C7orf53	-2.5355
LRP1B	0.1975
XAF1	1.4253
ABCG8	0.2035
ANKDD1A	-0.658
DAND5	-1.7435
SPAG6	0.292833333333333
LINCR	1.295
ZDHHC22	-1.6125
CCDC60	0.455
THOC7	-1.03616666666667
TCTA	1.2401
OR8K3	0.1765
NY-REN-7	-0.476
B2M	1.17133333333333
C6orf141	-1.746625
LPPR4	1.62525
SQLE	-1.676875
SEPHS1	-0.43825
BTBD14B	0.157214285714286
PLRG1	-0.15425
SPG7	-0.67875
ZNF614	0.213
PARD6G	0.7515
INPP5B	-0.7552
GRPEL2	-0.100375
PPID	-0.9288
TRIM56	-0.8545
UBE2J1	0.160875
IL20RA	6.14325
LOC387856	0.44125
C1orf107	0.67725
UTS2R	0.5955
C19orf22	0.47575
SAFB2	-0.224625
KIAA0652	0.23125
KLRG1	-0.647166666666667
MS4A8B	2.5005
FRAG1	0.73
KIAA1546	0.08925
E2F4	-1.2334
CLEC4M	0.415666666666667
BTBD14A	-1.55875
KIAA0999	2.1135
GYPA	-3.58116666666667
TAC1	1.2959
TRAIP	-2.07416666666667
KIAA0232	0.9766
ERCC8	-1.04025
GPX4	0.674625
KIAA0368	-0.27
GPR157	-1.49533333333333
CTAGE4	0.5575
C9orf30	-1.53566666666667
OR52A1	0.1155
HSP90B3P	0.0845
ALG9	-0.2063
BTBD10	0.56675
SDK2	0.056
BAIAP3	-0.8245
RABGGTB	-1.392
ANKRD40	-0.0956666666666667
KRT74	0.268
CALCOCO2	0.790642857142857
SNCA	-2.786
TMSL8	-4.2155
C2orf53	-0.344
ESRRB	-0.74025
ARHGAP26	-0.78525
TDRD9	-3.3265
HRAS	0.0361666666666667
KLRC4	-3.0925
JAGN1	-0.054
BSDC1	0.61775
RNF43	-0.3929
NDUFAF1	0.8455
PHF12	0.49775
OR1L3	0.057
FOLR2	0.801416666666667
LYZL6	0.150833333333333
tcag7.1260	-1.8935
WSB1	-1.70783333333333
PROS1	-0.8357
OSTN	0.356
PSMB8	0.94975
SOCS4	0.213375
DDIT4L	1.7875
MAS1	-0.7045
MGC34796	1.97175
CSHL1	0.3005
TBCCD1	0.682166666666667
ZBTB7C	0.17
AP2S1	-0.4435
P15RS	0.4923
VAT1	-0.8914
SHANK3	1.00983333333333
TUFM	-0.356
THEG	-0.10125
KRT34	-2.068
SGSM3	0.1425
TOMM22	-0.355125
SOCS3	1.54883333333333
CPO	0.729
POP4	0.152
BHLHB3	0.90875
MALL	1.18325
OR1B1	0.4595
PARK2	1.677
GPR124	0.481125
LCE1E	0.1525
RUVBL2	-0.75225
CGRRF1	0.9855
ACPL2	0.79775
WNT10B	-2.655375
BAIAP2L2	-2.53
ISCA1	0.497
C1orf125	0.7485
RPAP1	-0.4365
RAI16	-0.371166666666667
RPL27	-0.565
NLRP9	0.2595
EPN1	0.008
LOC388610	-1.3875
SLC35A1	1.2109
GAL	-4.47775
SLC14A2	0.46575
RDH11	-0.432833333333333
FAM138F	-0.5415
AUH	0.67875
FLJ40243	-0.26175
C14orf129	0.596166666666667
MBD2	-0.435
ABHD14B	0.336
PIGT	1.80525
ALS2CR4	-0.332375
ALAS1	0.4374
FOXO1	0.669
CRLF3	-0.43725
C20orf107	0.1845
FARS2	0.61475
CCDC28A	1.0035
NPHP3	-1.12175
OR13F1	0.7965
TSEN54	-0.8905
DEFB106B	0.1959
OR8B4	0.582
STH	0.364
ZC3H14	-0.31075
CBX2	-0.282
TMEM49	-0.53025
C6orf21	0.48
FLJ20920	1.1505
CRTAP	0.394071428571429
DDX50	-0.17525
STYXL1	0.0835
BLVRB	-0.061
LOC147650	-0.735166666666667
MMP24	0.502
GRID1	2.001
BANF1	-0.735
CTAGEP	0.74025
HMBS	-2.1905
SLC25A24	0.3955
C14orf50	2.66925
MRO	0.9685
SLC25A15	-0.68775
FAM84B	1.2399
TDP1	-0.7615
C16orf78	-0.0818333333333333
C11orf57	-0.207625
RFK	-0.313875
ZFYVE9	-0.221125
STCH	0.8377
WIBG	0.68
LOC283871	-0.4225
GBA2	-0.4872
NDUFB3	-0.38025
HSD17B13	-0.60875
GRIN3A	1.03516666666667
FMNL1	-0.647166666666667
SEPT7	-0.2717
GNLY	0.9855
GRAMD1C	0.526333333333333
ZNF165	-0.27375
USP38	1.01225
FAM83A	-3.66833333333333
C14orf24	1.0345
ARMCX3	1.688125
ARHGDIB	2.00533333333333
AK1	0.27275
KIAA1045	0.2145
DNAJB13	-0.603166666666667
NEU2	0.2895
HIST1H4B	-1.6605
FAM20B	0.1006
HES2	0.0407142857142857
FAM73B	-0.595
LOC388381	0.226
INTS7	-0.219090909090909
AMPH	1.73225
ZNF775	-0.355625
UCKL1	-1.1015
C10orf97	0.42325
C1orf161	0.53525
ALDH1L1	-2.05125
FLJ39378	-0.06475
SLC23A1	-1.6345
RBM4B	0.58825
THAP4	0.588666666666667
OGFRL1	1.289
KIAA0831	0.21
PPP1R15A	0.051
C1orf96	-0.475714285714286
C12orf11	-1.71525
BMF	0.611625
MAN1A1	-0.086
KIAA1600	0.6375
NLGN4X	-0.63425
ALOX12	-1.503
RB1CC1	-0.1036
NEIL2	0.8917
EIF4E	0.137772727272727
ABHD5	-0.10125
EXOC4	-0.7295
CIP29	0.0366666666666667
BATF2	0.30225
SLC29A4	-0.98425
HTR4	0.323
EMB	-0.83725
TRAF6	0.78975
LMNB1	-1.93325
FAM19A5	-0.4425
SHE	1.97975
PIK3C2B	1.28325
C15orf15	-0.5184
USP15	0.0562
TCEAL2	1.0505
C5orf39	-1.9425
PTGER2	-1.46025
SLC31A1	-0.596375
IFT172	0.826
ADAM29	0.36725
GFOD1	0.95275
ST7L	1.6435
C15orf26	-2.71275
PKN3	-0.96175
CNTD1	3.10016666666667
COMMD1	0.444
NTRK2	3.28808333333333
FOXN3	-0.392
MFGE8	-0.4584
PFKFB2	1.13483333333333
TAS2R4	-0.27475
ENTHD1	0.8375
PRMT5	-0.330625
MGC16384	-2.349875
LOC442229	-1.0275
TSKU	0.198375
KRTCAP3	3.052625
PDLIM1	1.2382
KCNS2	-0.184
RNF126	-0.514333333333333
CEP63	0.362
CLIC4	-0.215375
hCG_1990170	-0.58725
ACR	0.6779
KLK7	0.4595
ALOX5AP	3.4825
RIPK3	4.287
TAS2R9	0.242
C19orf18	2.5305
BIRC6	0.436428571428571
ZNF16	0.932
RFT1	-0.207
SLC8A2	-0.4535
TACC1	-0.78325
ITGAD	0.57625
SAMHD1	0.9195
SH3PXD2B	1.1184
EPC2	0.88175
C20orf85	0.5905
ATP13A2	0.47
KRT4	0.469875
CAPNS1	0.28
MDM2	-0.35425
PCDH20	1.44225
KCNK9	0.5525
OR2C1	-0.2075
KLHDC3	-0.872833333333333
IPPK	1.4705
EFHD2	0.2655
GALR3	0.42575
NBEA	0.778
ABCA6	1.9656
CLDN3	1.03333333333333
AKT2	-0.571857142857143
EGFR	-2.7188
RBM16	0.6865
ZDHHC3	0.2358
SLC25A4	0.195666666666667
CYB5B	-0.621166666666667
CPXM1	-0.198
NDRG1	-1.32
FLJ43826	0.89775
OR5L2	-0.400333333333333
FARP2	0.941
MRPL46	-0.7815
LDHAL6B	0.1635
MAPKAPK3	-0.0871666666666667
NCAM2	-0.7295
PRKD2	0.2735
ZFP36L1	1.2306
CYSLTR1	0.26975
OR4C3	0.41875
HIST1H2AJ	1.356
CCNB2	-3.19677777777778
ZNF10	0.281875
TMEM175	0.2765
FAM134A	0.7695
TIGD4	0.2085
PCNP	-0.162
MGC39715	1.005
LQK1	0.06075
CREB1	0.8684
TMPRSS3	0.20625
C4orf32	2.776
LAT	-2.2845
KCNA3	-0.0825
SKIV2L2	-0.31725
ROPN1B	-3.3135
tcag7.23	-0.2925
CDT1	-3.8875
ZHX2	0.79525
CD28	-3.8115
ZNF624	1.316
SEPT2	0.46875
SOHLH2	0.519
MCOLN3	-1.087
UNQ1945	0.4225
MASP2	-1.397
ZNRF3	0.6733
GPATCH3	-0.35275
AGL	0.785625
QRICH2	-0.6025
PSD4	1.02816666666667
CCNB1IP1	-2.6605
ENPP7	0.0705
OBFC1	0.35475
KCNG3	-2.63675
C14orf79	1.191
ENPEP	2.4565
SCT	2.3015
SKI	0.687
SEC61G	-1.25475
CAPN11	0.45925
ATXN7L3	0.06175
DBNDD1	-0.18
FAIM	-0.02475
ANKRD36	-1.7595
GABRP	2.07366666666667
TACSTD2	2.91133333333333
EIF3J	-0.535
PPP2R2A	0.09475
TEKT4	-1.567
PVALB	-3.38333333333333
F10	-3.0215
FAM134C	0.9599
COMP	4.172875
EFCBP1	-2.38425
SCLT1	-0.18825
TAL1	-1.0347
ACSL1	0.27525
ABCC5	-0.0120833333333333
ABL1	-0.394555555555556
RBBP7	0.0695833333333333
PTPRG	-0.715875
NCOR1	0.3505
SPINK4	-0.838833333333333
TXNRD1	-1.6224
TNRC15	0.65725
C9orf138	0.557
UBE2H	0.253333333333333
BRDT	0.8535
C8orf31	-0.339
CCNE2	-1.40018181818182
SLC6A8	-2.0945
CALCR	-3.17975
PPP1CB	0.925416666666667
ABHD8	0.36975
ARF5	-0.4783
SLC24A4	0.36825
CCT3	-0.2455
ZNF121	-0.071375
SLC3A2	-1.1066
OR13A1	0.5795
SLC5A10	-0.2795
RAD50	-0.161125
IER5	0.064625
MTHFD1L	-2.575
MBTPS2	0.44125
MVK	-0.73425
NCL	-0.2667
PSMD10	0.09125
MOBP	0.2665
FLJ32894	-0.3555
HRH1	-0.607166666666667
C5orf30	-0.17175
NUDT16L1	0.9776
RASGRP3	4.02366666666667
PRKRIP1	-0.9417
CCDC75	-0.449
LOC253970	0.4365
KIAA1239	-0.25725
MED21	-0.5205
SYT11	0.713666666666667
NTSR2	0.101
EGFL11	0.1795
CXorf59	0.3165
OR2A25	0.3625
SPTBN2	-0.36325
LRMP	-1.282
RNF111	0.34375
PTH	-0.053
LOC619208	0.671833333333333
KIAA0895	0.69975
RANBP5	-1.067625
P2RY10	0.5545
NME5	4.3725
DDX21	-0.96525
LRSAM1	0.381
HDAC11	1.9665
VMO1	1.594
NOLA2	-0.276166666666667
ADAR	0.683166666666667
MTO1	-0.933666666666667
SF4	-0.112166666666667
P2RX1	-0.336
HBM	-0.145
EN2	0.886
C14orf172	-0.3135
TM9SF2	0.8585
INHBE	-1.12666666666667
TCTE3	0.105333333333333
TOX2	-2.90975
CTAGE3	0.887875
HBB	3.7573
MED15	-0.640833333333333
CASR	-0.05425
C6orf66	-1.39233333333333
MTPN	-1.50275
UNC50	0.0585
C21orf33	-0.07225
IRF2	1.225
PGR	2.365
GPR84	2.79675
CROCCL1	-3.038
SRPX	-1.81725
BRE	0.562333333333333
FGF10	1.437
SDC3	0.799166666666667
ZRSR1	0.387333333333333
DKFZP434P211	-1.245625
SOX6	-0.4285
RPUSD2	-0.3575
C14orf173	-0.601416666666667
MAPK11	-0.1325
TBC1D22A	0.634
FAM123A	-0.821
COL4A6	-2.4365
TOMM70A	-0.02475
NAB1	-0.036375
MGC16385	-0.720375
TSPAN18	-0.674333333333333
MED31	-0.066
PLG	-0.42175
CAPSL	2.682
ZNF532	0.8938
ASB14	0.1845
CA8	1.49875
NUDT16P	2.03616666666667
SLFN11	-1.023
LRRIQ2	0.464125
NOL7	-0.468666666666667
BRMS1L	-0.4815
JARID1A	0.107833333333333
PANK2	-0.20025
ICAM3	-0.79275
MDS1	-1.20225
TAF8	-0.47
RNF139	0.77925
ZNF594	0.431
ADAM8	2.663
SFTPC	-0.06575
MAN2B2	1.906125
RGS12	0.6244375
EIF1AY	-4.97691666666667
LRRIQ1	-1.44133333333333
GPR150	0.593
CCDC21	-1.16916666666667
PRRG3	0.38275
SAA4	-4.28125
RAPGEF5	2.441625
ZCCHC2	-0.326333333333333
MGC39372	-0.0465
PPP4R2	0.524
CDCA2	-2.58716666666667
OR4D5	0.499833333333333
PTGFRN	1.3969
SIGLEC5	2.04133333333333
C19orf61	-0.205
NMUR2	0.702
KIAA1586	-0.7325
DAGLA	0.6815
CHCHD6	-0.54925
GPR32	0.539
NEUROD6	0.321833333333333
SLC2A4RG	0.3053125
CA5B	-0.13125
FBXL3	1.754
MPHOSPH9	-1.28575
HMG2L1	1.043
HCN4	0.488166666666667
CEACAM19	-0.38225
SH2D4B	0.3175
HFE2	-0.975
TGM4	0.543166666666667
LYPD2	-0.12625
TBC1D15	0.007
MRPS21	-0.2659
NONO	-0.7773
CLEC5A	2.30475
ITCH	-0.0443
MGAT3	-1.2275
MBP	-0.046125
RPP25	-1.732
SOSTDC1	-1.247
HRC	-1.11475
TRIM48	0.073
TMEM133	0.68525
ECEL1P2	-1.19675
HOXC11	0.675
DOK5	-0.11125
HELZ	0.321
LOC348180	-1.51725
MGC33894	-0.06175
ADRB3	0.0925
DMD	-0.400333333333333
PTRH2	-0.70775
MPEG1	2.88833333333333
NDUFA12	-0.014
KRTAP2-4	0.0218333333333334
STAMBPL1	-1.36433333333333
ADCY2	0.0906666666666667
UNQ6125	0.1455
KLHL20	0.129833333333333
SRM	-1.70825
OTC	-0.00274999999999999
TMIE	0.196166666666667
SNX8	-0.8495
LIPK	0.996
CHURC1	0.0524166666666667
KLC2	0.0901666666666667
HDAC1	-0.285
FAM128A	0.5375
FNDC3B	0.0146
MTCP1	-0.260333333333333
WFDC10B	0.0517
PCDHGB3	0.00600000000000001
ATRNL1	-1.3345
CAV2	-0.427875
MED26	0.1015
DUS1L	0.163
CHRM3	-1.779
NEK9	1.058
WARS2	0.41025
TBX22	-0.648
TOMM40	-0.9015
RP6-213H19.1	-1.84766666666667
TUBGCP5	-0.01
IGSF6	5.067
TPPP	0.669166666666667
UNQ6190	0.6205
GSTM5	0.79675
BTD	1.929
PDCD1LG2	0.324166666666667
SNRPB2	-0.599833333333333
ERICH1	-1.184
APOA4	-1.551375
HOXA11	-1.38725
NARG1	-0.6355
MKX	-0.64875
RAB28	-0.186
PKP3	0.74875
SH3GL2	-0.7195
CTSO	3.52625
RPN2	0.4545
IL28RA	0.339333333333333
SFMBT1	1.13175
WDR57	0.23775
FER1L3	0.992166666666667
HSF5	0.112
TTC9B	0.859
C4BPA	-3.426
ALB	-4.72178571428571
SORBS3	0.273125
UPF2	-0.065
JPH1	-0.028
AGBL2	1.14425
DOPEY1	1.239
TERF1	-0.0261666666666667
KIF22	-0.7135
NINJ1	0.86075
SEC61A2	-0.680333333333333
HIST1H1D	-0.2585
SFXN4	-0.0355
UCP3	-0.1043
ZNF703	0.920166666666667
MYL6B	-0.78275
TREM1	2.2955
OR52E6	0.3645
CKMT2	0.766
HLA-C	2.2085
SLC13A3	-2.54233333333333
TIMP4	2.16175
SLIT2	2.39375
RSF1	-0.0306111111111111
LONRF1	-0.718285714285714
MON1A	0.0903333333333333
CACNG6	-2.0525
DPPA4	-5.71416666666667
ZSWIM3	0.36225
ZNF804A	0.481333333333333
CCIN	1.27675
SLC25A31	0.436
KCNMB4	-0.54975
RABL5	0.115125
GALNS	-0.47
STX6	0.704875
HIST1H1C	-1.55933333333333
CIDEB	0.7625
CASP4	0.218833333333333
PDK3	-0.0218
KCNJ11	2.1115
TPR	-0.2915
ZSCAN20	-0.824
MTX2	-0.055
HIST1H2BH	-0.21325
LOC283767	0.1255
LYRM7	-1.08555555555556
BRD3	0.455333333333333
HIST1H2BO	-0.55325
MAGEB10	-0.0665
SLC45A1	2.247
SERPINA3	2.9831
KIAA0143	1.60675
KCNJ16	0.112
KRT79	0.03725
FABP2	-0.555
NUT	-0.11825
ZNF57	-0.69675
FBXL4	0.953375
CLEC9A	2.1725
UGT8	-1.56116666666667
BMP2K	1.577
MAPK4	-3.46575
SLC25A23	-0.6599
HINT1	-1.3183
KRTAP13-1	0.281
SFXN5	1.9992
CHCHD2	-0.04075
FAM3D	2.4755
NDP	-0.94075
RHOBTB1	-0.565333333333333
SLC4A4	2.318625
RPL38	-0.131
HTF9C	-0.737666666666667
AP2A2	0.46475
ZBTB46	-0.6505
MAP7D1	-0.141125
AOX1	-0.128
CYR61	2.0355
DTNA	-0.568214285714286
JRKL	0.323
TMOD3	0.08825
EEA1	0.3066
ADCK5	-0.84525
IL1R1	2.00733333333333
KLK3	0.391071428571429
HRSP12	-0.8085
KTN1	0.12925
LOH11CR2A	0.8474
RELL2	-2.02125
MAB21L1	1.13025
C20orf59	-1.40016666666667
PHKB	-0.20025
ADAM2	-2.0745
TBC1D8B	1.80366666666667
FAM13A1	-0.6766875
LAPTM4B	-1.88641666666667
LCN8	0.2565
TMEM147	0.191
SYT4	0.162833333333333
XPO7	-0.6805
C9orf62	0.4405
GPR75	0.3635
TRIM5	0.44375
APOC1	-0.290833333333333
RNASE4	1.87516666666667
PARD6B	-0.0222499999999999
ARID1A	0.605583333333333
TPD52L3	0.4964
RRAGB	0.675833333333333
RCN2	-0.4175
HIST2H2BE	0.7231875
STARD7	-0.12975
SHMT2	-1.4995
KIAA1751	-0.229333333333333
MLYCD	0.116375
LOC162632	-1.0684
UQCRH	-1.65125
RP11-217H1.1	0.50225
SDHA	-0.9395
NCLN	-0.1567
ZNF17	0.800333333333333
RCBTB2	-1.678
VEGFB	-0.0623
RP4-747L4.3	-0.3015
COLQ	0.3057
MPN2	-0.743666666666667
DRG2	-0.199
KLRB1	4.291
ALPK2	-2.27975
DNASE2B	4.2185
FLJ23834	0.284
AXUD1	2.05916666666667
SAFB	-0.1244
NSUN4	0.16325
RFX2	-0.518166666666667
MAPK8IP1	-0.475833333333333
FANCD2	-1.02857142857143
ANKZF1	-1.59233333333333
C19orf50	-0.32925
DUSP8	1.40325
SENP5	-0.472
NFKBIL2	-0.94075
LBR	-2.095125
IGFL1	2.0335
LZTS2	0.062625
IL2RG	-1.16025
CCDC51	-0.1995
KLF3	0.434125
ANKRD37	-0.76525
KCTD14	0.0335
FZR1	0.1205
SLC44A4	4.0072
ESPL1	-1.451375
GMPR2	0.3525
TBC1D19	-0.120166666666667
ERGIC1	0.648185185185185
ERBB4	3.3261
TSPAN32	-0.379416666666667
MAP4	0.118375
GPHN	-0.437
SLC6A2	-0.183125
HIVEP1	0.13275
DFFB	-0.4693
EIF4EBP2	0.574625
DMRT1	-0.20625
HSPB6	-0.0915
IER2	1.66133333333333
AIFM1	0.092
WWC2	0.08675
MRPL4	-0.728
FLJ21062	1.53166666666667
EPB41L4A	0.62925
SH2D6	0.0445
TAF4B	-1.742
GAL3ST3	0.014
MALT1	-1.08766666666667
RTDR1	-0.22475
ARVCF	0.026375
MEX3B	-0.662666666666667
FBXO16	2.46575
KIF7	-0.9475
C1QC	3.8235
ZNF783	-1.02883333333333
ZNF85	1.2705
MMP13	4.6105
KIAA0329	0.681625
RTP3	-0.0855
ZBED3	-0.4255
CLGN	0.98975
SLC25A37	-1.53804166666667
hCG_18290	-0.1225
OR5AS1	0.387
SMARCC2	0.446416666666667
FAM109A	0.035
CCDC12	-0.1575
USF2	0.4971
DEPDC7	-1.89825
C20orf24	-0.977666666666667
JMJD3	0.582
DSP	1.26685714285714
SLIC1	0.349625
FAM20A	1.056125
IRF2BP2	1.087625
ZNF230	0.3755
MSN	-0.454214285714286
SLC9A5	-2.354
EPDR1	-1.2132
MUSK	-0.0283333333333333
ZNF434	0.417
SMARCD1	-0.528166666666667
ZFP106	-0.27925
ZNF347	0.7066
GTF2E1	0.28175
RY1	-0.0965
