Hybridization REF	TCGA-B6-A0IP-01A-11R-A034-07
MAOA	-0.72125
TNNT3	0.218833333333333
GYPC	-1.11175
C7orf33	0.393
PLIN	2.9515
LOC90826	0.2515
RNF4	0.1297
F8A1	0.475
PLEKHG4	-0.954
GRB2	0.76365
HIST1H2AD	-0.80225
DUS3L	-0.707833333333333
EIF1	-0.176333333333333
RP5-1077B9.4	-0.944666666666667
FPGT	1.673
GDF10	-0.268666666666667
COQ9	-0.76375
GCC2	-0.138857142857143
RARRES3	2.958
PLXNA1	-0.485
KIAA0100	0.0658
PMF1	0.68675
FNDC1	5.15475
HS2ST1	-0.0572499999999999
CRELD2	0.44175
C8G	-2.3485
CD82	0.841
LIM2	-0.725
UNQ6490	-1.148
MMP16	-0.57625
DRD3	-0.58075
C5orf26	-0.591
C11orf73	-0.670875
PTP4A2	0.625875
OR4M2	-0.4065
HPCA	-1.79583333333333
SEC14L1	-1.03133333333333
CHFR	-0.236
EMILIN1	0.765375
NDUFS4	-0.39275
COL18A1	-0.13125
PDZD3	-0.2908
C9orf16	-0.354
ERBB2IP	0.940166666666667
EMX2	2.1565
FUS	-0.838
TF	-3.7249
CLCN4	-0.611666666666667
CXorf56	-0.81025
C11orf72	0.73225
ELAC2	-0.33825
NPR1	-1.024
ASS1	-2.8025
USP42	0.086125
POLR2J	-1.023
SEC23IP	0.971
UQCRC1	-0.0895
LOC729603	-1.11725
C1orf71	0.29075
POLG	-1.6565
ADAM23	-3.45025
TFR2	-0.88525
RICTOR	-1.4964
MGC39606	0.4945
C19orf55	-0.1745
SNAPC1	-1.85916666666667
GNA11	0.889125
CCDC52	-0.0538333333333333
FSIP1	3.532
UPF3A	-0.28275
IGSF11	-2.42233333333333
LAGE3	0.50625
CHST6	-1.6435
UNC13B	0.671625
TTLL4	-0.55
ZNF687	0.964125
SDC2	-0.7775
COX7A2	-0.15925
LAMB4	-0.8855
FAM24A	0.799
LRRTM3	-0.977
GPHB5	0.25
OR4C13	0.1595
EIF3EIP	0.495714285714286
HABP4	-1.4745
TMEM125	3.821
CNTN2	-0.11825
ASNSD1	-0.09575
FUT4	-0.42075
ACF	-4.08775
LOC158381	0.157
CDH8	-0.242
AGPS	-2.569
C4orf18	4.11875
PECI	0.642166666666667
UNG	-0.48625
GSTP1	-2.043
DCUN1D5	-1.3465
DKFZP564J0863	-1.10925
SLC9A3R1	0.2225
BCDO2	-0.060375
CHMP7	0.10875
REM2	0.7525
DNHD1	-0.987
FKBP4	-0.84125
ZNF350	2.00475
MGC11102	-0.115875
BST1	2.42075
KISS1R	1.236
NCR2	0.2495
DEFB125	1.423
UBE2W	0.44525
KRT15	2.7215
C10orf99	0.1015
SCN11A	0.154125
GFI1	-2.45025
RDHE2	2.59683333333333
FHL1	-1.59133333333333
OSGEP	0.191
GATA1	-3.51133333333333
SMC6	-0.5925
TTTY14	-1.1395
LPIN3	-0.0825
RPL4	-0.0524
RBPMS	0.7225
PRPF3	-0.533333333333333
EMR1	-1.759
SPATA19	0.5445
XCR1	0.1895
IRX3	1.9997
RBM6	-0.0945
KLF4	-1.3507
UNC5CL	0.24775
SEBOX	-0.318
BTK	-0.5085
KRCC1	1.362
C6orf27	0.6675
SYTL5	-0.969
PRND	2.2225
LOC653319	-1.5105
PIGL	-1.141625
HUS1	-0.383333333333333
SFRS6	-0.37775
C17orf77	0.1185
UIMC1	-0.6395
FXYD2	-1.7426
LOC283152	2.264
ZNF667	-1.437
ZCCHC12	-1.121
TFEC	1.2577
ATP7B	0.7505
POLD2	-1.042
RG9MTD1	0.10025
ACOT2	1.08833333333333
HIST1H4I	-1.149125
PPARGC1A	-2.2628
ETFA	-0.8292
POLRMT	-0.13275
ZNF146	0.187625
MIA2	-1.7065
KLHL6	-0.866
HOXB5	-1.273625
NENF	0.943833333333333
CUGBP1	0.38075
PRSS22	1.49733333333333
CASC4	1.0037
CUL4B	0.2739
CENPJ	-1.7391
PITX1	-0.224666666666667
FLJ31033	0.137
CELSR3	-1.47733333333333
ZNF568	0.6035
ITSN1	-0.41175
EHBP1L1	-1.072
C19orf2	-0.72275
DCTN1	0.00125
LIN28B	-3.83216666666667
TNKS2	-0.31825
C1QBP	0.166625
CADPS2	2.22075
SRMS	0.2115
GJA9	0.658333333333333
MGC24975	-1.03416666666667
TRIM45	0.613
TSP50	0.934
TCP1	-1.526
TMED7	0.1801
CMA1	-0.541
CENPL	-0.933333333333333
PTCRA	-0.3685
FST	-2.78775
VWCE	-3.67775
PAWR	-0.4045
ABCC12	-0.2496
LDLR	-0.6851
ASTN2	0.4806
LOC441212	-0.865375
GPATCH8	-0.119
TANC2	-1.03975
KIF4A	-2.13675
C18orf18	-1.9035
PGM1	-0.95325
KIAA0258	0.7665
CPD	0.62225
SNCAIP	-0.69925
DCT	-4.41366666666667
HLA-DOA	2.54
OR11L1	0.3985
UPK1B	-0.102833333333333
DNAJB4	-1.01425
UGT1A8	-0.58475
HIST1H4L	-0.4455
PECR	-1.10916666666667
HSPA2	2.70475
WFIKKN1	-1.6815
SERP1	1.008875
SYDE2	1.10375
TACR2	0.8095
NUP85	-0.7625
CD177	-1.00933333333333
LGR5	-2.0755
PIGG	0.161833333333333
PTHR1	-1.3675
RAB5A	0.0865
FLJ13224	0.016
USP9Y	-1.7705
C7orf53	-0.5565
LRP1B	-0.1075
XAF1	1.1886
ABCG8	-0.7035
ANKDD1A	-0.676833333333333
DAND5	-1.037
SPAG6	6.4485
LINCR	0.9505
ZDHHC22	-1.853875
CCDC60	0.604
THOC7	-1.23133333333333
TCTA	0.8913
OR8K3	0.4805
NY-REN-7	-0.1935
B2M	1.4625
C6orf141	-1.225875
LPPR4	1.2285
SQLE	-1.745375
SEPHS1	-0.3335
BTBD14B	0.593428571428571
PLRG1	-0.16425
SPG7	-0.7176875
ZNF614	-0.1495
PARD6G	1.11833333333333
INPP5B	-0.5995
GRPEL2	-0.278625
PPID	-0.7638
TRIM56	0.2185
UBE2J1	-0.385625
IL20RA	5.30775
LOC387856	0.35925
C1orf107	1.00183333333333
UTS2R	1.20575
C19orf22	-0.14525
SAFB2	-0.12875
KIAA0652	-0.079375
KLRG1	-0.415166666666667
MS4A8B	1.30183333333333
FRAG1	0.433
KIAA1546	0.605
E2F4	-1.4847
CLEC4M	0.231333333333333
BTBD14A	-1.28375
KIAA0999	0.7947
GYPA	-3.5862
TAC1	1.0449
TRAIP	-1.12966666666667
KIAA0232	0.6862
ERCC8	-0.966625
GPX4	0.03075
KIAA0368	-0.667
GPR157	-0.3485
CTAGE4	1.31
C9orf30	-1.819
OR52A1	-0.5005
HSP90B3P	-0.8905
ALG9	0.0717
BTBD10	0.7475
SDK2	-0.02525
BAIAP3	-0.3375
RABGGTB	-0.939
ANKRD40	-0.184666666666667
KRT74	0.404
CALCOCO2	0.1505
SNCA	-2.8935
TMSL8	-2.411
C2orf53	-0.5175
ESRRB	-0.45325
ARHGAP26	-0.921
TDRD9	-3.1445
HRAS	-0.288833333333333
KLRC4	-2.6005
JAGN1	-0.44
BSDC1	0.8875
RNF43	0.6223
NDUFAF1	0.79575
PHF12	-0.10175
OR1L3	0.12825
FOLR2	1.11183333333333
LYZL6	0.4464
tcag7.1260	-2.1935
WSB1	-1.27933333333333
PROS1	-1.2065
OSTN	0.454
PSMB8	0.99425
SOCS4	-0.696375
DDIT4L	0.9115
MAS1	0.693
MGC34796	0.5885
CSHL1	0.174333333333333
TBCCD1	0.398666666666667
ZBTB7C	0.045
AP2S1	-0.690125
P15RS	-0.2645
VAT1	-0.7622
SHANK3	0.8605
TUFM	0.0761666666666667
THEG	-0.32875
KRT34	-1.8015
SGSM3	0.364625
TOMM22	-0.41425
SOCS3	0.634333333333333
CPO	1.2475
POP4	0.052
BHLHB3	1.2905
MALL	0.882
OR1B1	0.5765
PARK2	0.504833333333333
GPR124	-0.436375
LCE1E	0.5555
RUVBL2	-0.513
CGRRF1	0.5516
ACPL2	0.9645
WNT10B	-2.318875
BAIAP2L2	-2.313625
ISCA1	-0.306
C1orf125	0.616
RPAP1	-0.61
RAI16	0.1255
RPL27	-0.220875
NLRP9	0.372
EPN1	-0.1195
LOC388610	-1.236125
SLC35A1	0.3992
GAL	-4.116
SLC14A2	0.40025
RDH11	-0.544833333333333
FAM138F	-0.9095
AUH	0.24925
FLJ40243	0.595
C14orf129	0.124166666666667
MBD2	-0.539166666666667
ABHD14B	0.273375
PIGT	0.372
ALS2CR4	-0.901875
ALAS1	-0.0959
FOXO1	1.27383333333333
CRLF3	-0.645125
C20orf107	-0.2735
FARS2	0.76075
CCDC28A	1.20825
NPHP3	-0.97075
OR13F1	-0.2335
TSEN54	-0.578
DEFB106B	0.09
OR8B4	0.737
STH	2.59625
ZC3H14	-0.192
CBX2	-0.026
TMEM49	-1.502
C6orf21	0.8085
FLJ20920	0.905375
CRTAP	-0.645928571428571
DDX50	0.2005
STYXL1	0.23325
BLVRB	-0.662333333333333
LOC147650	-0.0936666666666667
MMP24	-0.252
GRID1	1.4675
BANF1	-0.5535
CTAGEP	0.368
HMBS	-2.3485
SLC25A24	0.829
C14orf50	2.17775
MRO	0.0483333333333333
SLC25A15	-0.28125
FAM84B	1.6145
TDP1	-0.8175
C16orf78	-0.4208
C11orf57	0.10725
RFK	-1.54575
ZFYVE9	-2.142125
STCH	-0.7966
WIBG	0.64725
LOC283871	-0.764666666666666
GBA2	-0.2881
NDUFB3	-0.277
HSD17B13	-2.05325
GRIN3A	0.873333333333333
FMNL1	-1.0915
SEPT7	-0.844
GNLY	3.001
GRAMD1C	1.58466666666667
ZNF165	0.338
USP38	0.4655
FAM83A	-3.366
C14orf24	0.384166666666667
ARMCX3	1.844125
ARHGDIB	1.30016666666667
AK1	0.24575
KIAA1045	0.56375
DNAJB13	-0.270833333333333
NEU2	-0.192
HIST1H4B	-1.05366666666667
FAM20B	-0.1535
HES2	0.605928571428571
FAM73B	-0.4104
LOC388381	-0.4205
INTS7	-0.130545454545455
AMPH	0.74075
ZNF775	0.263
UCKL1	-0.995833333333333
C10orf97	-0.1435
C1orf161	0.37775
ALDH1L1	-1.24025
FLJ39378	-0.1995
SLC23A1	-0.6105
RBM4B	0.291
THAP4	-0.109333333333333
OGFRL1	1.5715
KIAA0831	0.4715
PPP1R15A	-0.387
C1orf96	0.00371428571428571
C12orf11	-1.4545
BMF	1.159875
MAN1A1	-2.25775
KIAA1600	0.843666666666667
NLGN4X	0.818
ALOX12	-1.14466666666667
RB1CC1	0.1768
NEIL2	0.4216
EIF4E	0.0537727272727273
ABHD5	-0.193
EXOC4	-0.162666666666667
CIP29	-0.0868333333333333
BATF2	-0.14875
SLC29A4	-0.748125
HTR4	0.17975
EMB	-2.0535
TRAF6	0.9265
LMNB1	-1.6875
FAM19A5	-0.955
SHE	1.48675
PIK3C2B	1.17875
C15orf15	-0.6092
USP15	-0.0603
TCEAL2	2.125
C5orf39	-0.8725
PTGER2	-0.723
SLC31A1	-1.0061875
IFT172	0.6965
ADAM29	0.1595
GFOD1	-0.10925
ST7L	0.336
C15orf26	-3.2475
PKN3	-0.53375
CNTD1	2.95133333333333
COMMD1	0.49525
NTRK2	2.90625
FOXN3	-0.097625
MFGE8	-1.1412
PFKFB2	0.9135
TAS2R4	-0.074
ENTHD1	-0.076
PRMT5	-0.83725
MGC16384	-0.647375
LOC442229	-0.453
TSKU	-0.70275
KRTCAP3	3.46875
PDLIM1	1.6143
KCNS2	0.351
RNF126	-0.3985
CEP63	-0.0395
CLIC4	-0.909375
hCG_1990170	0.83625
ACR	0.798
KLK7	3.15925
ALOX5AP	2.581
RIPK3	4.05825
TAS2R9	0.4185
C19orf18	1.6195
BIRC6	0.0885
ZNF16	1.0495
RFT1	-0.595
SLC8A2	-1.1195
TACC1	-0.3775
ITGAD	0.8135
SAMHD1	0.45325
SH3PXD2B	0.882
EPC2	0.88825
C20orf85	-0.35525
ATP13A2	0.556166666666667
KRT4	0.380125
CAPNS1	-0.04875
MDM2	-0.233333333333333
PCDH20	3.06775
KCNK9	0.693
OR2C1	-0.3265
KLHDC3	-0.532166666666667
IPPK	-0.318
EFHD2	-0.21025
GALR3	1.10425
NBEA	1.41366666666667
ABCA6	2.7883
CLDN3	1.1095
AKT2	-0.501571428571429
EGFR	-1.5996
RBM16	0.499625
ZDHHC3	0.1006
SLC25A4	-0.203666666666667
CYB5B	-1.7305
CPXM1	-0.38325
NDRG1	-1.77776923076923
FLJ43826	0.0905
OR5L2	0.00633333333333335
FARP2	0.8818
MRPL46	-0.43425
LDHAL6B	0.212166666666667
MAPKAPK3	-0.12
NCAM2	-0.27425
PRKD2	0.488833333333333
ZFP36L1	1.4628
CYSLTR1	0.27075
OR4C3	0.477
HIST1H2AJ	0.9
CCNB2	-2.40244444444444
ZNF10	0.55825
TMEM175	0.541
FAM134A	1.16583333333333
TIGD4	-0.4415
PCNP	-0.24275
MGC39715	-0.321
LQK1	-0.11275
CREB1	0.8259
TMPRSS3	3.17925
C4orf32	1.454875
LAT	-1.71408333333333
KCNA3	0.4025
SKIV2L2	-0.72375
ROPN1B	-0.76175
tcag7.23	-0.641
CDT1	-3.161375
ZHX2	1.331875
CD28	-2.73975
ZNF624	1.14025
SEPT2	0.246083333333333
SOHLH2	-1.518
MCOLN3	-1.39042857142857
UNQ1945	0.584
MASP2	-0.7915
ZNRF3	0.452
GPATCH3	-0.155
AGL	1.330375
QRICH2	0.1585
PSD4	0.973833333333333
CCNB1IP1	-1.5215
ENPP7	-0.10825
OBFC1	-0.40525
KCNG3	-2.7455
C14orf79	0.62525
ENPEP	0.3445
SCT	1.278
SKI	0.748
SEC61G	-1.2435
CAPN11	0.4155
ATXN7L3	-0.2415
DBNDD1	-0.741833333333333
FAIM	-0.15375
ANKRD36	-0.274
GABRP	3.55
TACSTD2	2.6905
EIF3J	-0.31175
PPP2R2A	-0.228
TEKT4	-0.3135
PVALB	-2.50583333333333
F10	-2.48283333333333
FAM134C	0.7867
COMP	4.3365
EFCBP1	-2.495375
SCLT1	0.250375
TAL1	-1.3756
ACSL1	-0.698
ABCC5	-0.776166666666667
ABL1	-0.559333333333333
RBBP7	0.820416666666667
PTPRG	0.6455
NCOR1	-0.8427
SPINK4	-0.7675
TXNRD1	-1.8395
TNRC15	0.926
C9orf138	0.562875
UBE2H	1.01366666666667
BRDT	-0.133833333333333
C8orf31	-0.18975
CCNE2	-1.20881818181818
SLC6A8	-2.21475
CALCR	-3.77625
PPP1CB	1.47891666666667
ABHD8	0.23325
ARF5	0.3219
SLC24A4	0.13275
CCT3	-0.14575
ZNF121	-0.208875
SLC3A2	-1.1383
OR13A1	0.183
SLC5A10	0.0415
RAD50	0.264625
IER5	0.785875
MTHFD1L	-2.55575
MBTPS2	0.01
MVK	-0.57875
NCL	0.0191
PSMD10	-0.85925
MOBP	0.417625
FLJ32894	-2.0815
HRH1	-0.525166666666667
C5orf30	1.6835
NUDT16L1	0.5223
RASGRP3	3.01466666666667
PRKRIP1	-0.4266
CCDC75	0.164
LOC253970	-1.29225
KIAA1239	-0.09425
MED21	-0.426
SYT11	0.286833333333333
NTSR2	-1.44
EGFL11	0.7085
CXorf59	1.708
OR2A25	0.535
SPTBN2	-1.73225
LRMP	-1.13133333333333
RNF111	0.29525
PTH	0.5875
LOC619208	0.674666666666667
KIAA0895	1.07075
RANBP5	-0.706625
P2RY10	1.3025
NME5	4.02866666666667
DDX21	-1.0915
LRSAM1	0.23
HDAC11	1.1
VMO1	1.40525
NOLA2	-0.188
ADAR	0.672583333333333
MTO1	-0.5735
SF4	0.486666666666667
P2RX1	-0.125833333333333
HBM	0.096
EN2	1.833
C14orf172	0.428
TM9SF2	0.5786
INHBE	-1.86216666666667
TCTE3	0.0951666666666667
TOX2	-2.576
CTAGE3	0.388375
HBB	3.2034
MED15	-0.602666666666667
CASR	0.714
C6orf66	-1.76383333333333
MTPN	-0.798125
UNC50	-0.1805
C21orf33	0.525625
IRF2	0.809375
PGR	2.062
GPR84	1.76125
CROCCL1	-1.3365
SRPX	-2.00175
BRE	0.289333333333333
FGF10	1.53475
SDC3	0.991333333333333
ZRSR1	0.581166666666667
DKFZP434P211	-0.238375
SOX6	0.513
RPUSD2	0.01975
C14orf173	0.0171666666666667
MAPK11	-0.4115
TBC1D22A	0.4685
FAM123A	-0.9775
COL4A6	-1.22416666666667
TOMM70A	-0.379
NAB1	0.17425
MGC16385	-1.2075
TSPAN18	-0.392666666666667
MED31	0.22225
PLG	-0.7395
CAPSL	1.727
ZNF532	0.8879
ASB14	0.1075
CA8	1.4835
NUDT16P	1.54383333333333
SLFN11	-1.785
LRRIQ2	0.171125
NOL7	-0.244333333333333
BRMS1L	-1.064375
JARID1A	0.383166666666667
PANK2	-0.426
ICAM3	-0.28925
MDS1	-0.49
TAF8	-0.92275
RNF139	0.76475
ZNF594	0.41
ADAM8	1.03275
SFTPC	-0.31025
MAN2B2	1.14925
RGS12	0.8083125
EIF1AY	-4.45925
LRRIQ1	-0.647333333333333
GPR150	1.57475
CCDC21	-1.46
PRRG3	-0.0195
SAA4	-3.0865
RAPGEF5	2.392
ZCCHC2	0.4215
MGC39372	-1.011
PPP4R2	-0.123
CDCA2	-2.08716666666667
OR4D5	-0.629666666666667
PTGFRN	0.9775
SIGLEC5	1.92166666666667
C19orf61	-0.4075
NMUR2	-0.0525
KIAA1586	-1.04366666666667
DAGLA	1.0175
CHCHD6	-0.2085
GPR32	0.37
NEUROD6	-0.21275
SLC2A4RG	0.1711875
CA5B	-0.19225
FBXL3	2.0965
MPHOSPH9	-1.46375
HMG2L1	0.72475
HCN4	0.873833333333333
CEACAM19	-0.0985
SH2D4B	0.176666666666667
HFE2	-1.247
TGM4	-0.04025
LYPD2	-0.20975
TBC1D15	0.043
MRPS21	-0.1628
NONO	-1.236
CLEC5A	1.587125
ITCH	0.00459999999999999
MGAT3	-0.249833333333333
MBP	-0.336375
RPP25	-1.41475
SOSTDC1	0.10075
HRC	-1.5905
TRIM48	-0.037
TMEM133	-0.03975
ECEL1P2	-1.40725
HOXC11	-0.102
DOK5	-0.67825
HELZ	0.5145
LOC348180	-1.10775
MGC33894	0.4755
ADRB3	0.00899999999999998
DMD	-0.05
PTRH2	-0.53375
MPEG1	2.82183333333333
NDUFA12	-0.148333333333333
KRTAP2-4	-0.0902727272727273
STAMBPL1	-1.369
ADCY2	0.3828
UNQ6125	1.023
KLHL20	0.518666666666667
SRM	-1.307
OTC	-0.5155
TMIE	-0.1825
SNX8	-0.19125
LIPK	-0.704
CHURC1	0.376666666666667
KLC2	0.1085
HDAC1	0.0715
FAM128A	0.410833333333333
FNDC3B	-0.2556
MTCP1	-0.622166666666667
WFDC10B	-0.1229
PCDHGB3	0.3325
ATRNL1	-1.969
CAV2	-1.266375
MED26	0.0926666666666667
DUS1L	0.198
CHRM3	-1.565375
NEK9	0.154
WARS2	0.3145
TBX22	0.8965
TOMM40	-1.17375
RP6-213H19.1	-1.4915
TUBGCP5	-0.4785
IGSF6	4.6955
TPPP	0.689333333333333
UNQ6190	0.543
GSTM5	0.422125
BTD	1.183
PDCD1LG2	-0.106
SNRPB2	-0.716166666666667
ERICH1	-0.53925
APOA4	-1.759
HOXA11	-2.629
NARG1	-0.15025
MKX	6.0195
RAB28	-0.414642857142857
PKP3	0.78475
SH3GL2	-3.2235
CTSO	3.0175
RPN2	-0.1204375
IL28RA	0.508
SFMBT1	1.0205
WDR57	-0.04025
FER1L3	0.943333333333333
HSF5	0.427833333333333
TTC9B	0.29075
C4BPA	-3.43583333333333
ALB	-3.60971428571429
SORBS3	0.274375
UPF2	0.1275
JPH1	-1.1125
AGBL2	0.80375
DOPEY1	1.7335
TERF1	-0.2845
KIF22	-0.564333333333333
NINJ1	1.33575
SEC61A2	-0.671
HIST1H1D	-1.29283333333333
SFXN4	-0.137875
UCP3	0.271
ZNF703	1.27266666666667
MYL6B	-0.4745
TREM1	1.3315
OR52E6	0.678
CKMT2	1.219
HLA-C	1.98425
SLC13A3	-2.211
TIMP4	-0.78025
SLIT2	2.495
RSF1	-0.0257777777777778
LONRF1	-0.377214285714286
MON1A	-0.153166666666667
CACNG6	-1.52983333333333
DPPA4	-5.21933333333333
ZSWIM3	-0.09775
ZNF804A	-0.513166666666667
CCIN	0.895
SLC25A31	0.68975
KCNMB4	-1.09375
RABL5	0.313125
GALNS	-1.4027
STX6	1.24725
HIST1H1C	-3.02266666666667
CIDEB	1.07375
CASP4	0.575333333333333
PDK3	-0.2002
KCNJ11	2.23
TPR	-0.07825
ZSCAN20	-0.514
MTX2	0.0035
HIST1H2BH	-1.17325
LOC283767	1.07875
LYRM7	-0.827888888888889
BRD3	0.0443333333333333
HIST1H2BO	-1.4855
MAGEB10	0.134
SLC45A1	1.2385
SERPINA3	2.788
KIAA0143	1.421
KCNJ16	3.28783333333333
KRT79	0.026
FABP2	-0.26725
NUT	-0.6495
ZNF57	-0.05625
FBXL4	-0.241375
CLEC9A	1.059
UGT8	-0.752833333333333
BMP2K	1.0945
MAPK4	-3.06425
SLC25A23	-0.4802
HINT1	0.2957
KRTAP13-1	0.1825
SFXN5	-0.8003
CHCHD2	-0.130166666666667
FAM3D	2.3545
NDP	-0.3615
RHOBTB1	0.200666666666667
SLC4A4	-1.638625
RPL38	-0.236
HTF9C	-0.530333333333333
AP2A2	0.4565
ZBTB46	-0.5355
MAP7D1	-0.28075
AOX1	-1.7875
CYR61	-0.54675
DTNA	-1.739
JRKL	-0.77425
TMOD3	-0.648
EEA1	-0.0243
ADCK5	-0.4985
IL1R1	1.015
KLK3	0.906357142857143
HRSP12	-1.0675
KTN1	0.55225
LOH11CR2A	0.9898
RELL2	-2.0725
MAB21L1	0.6685
C20orf59	-1.45116666666667
PHKB	-0.53825
ADAM2	-2.06833333333333
TBC1D8B	1.50366666666667
FAM13A1	-1.0461875
LAPTM4B	-2.54333333333333
LCN8	-0.4135
TMEM147	0.0765
SYT4	-0.0718333333333333
XPO7	-1.0385
C9orf62	1.81625
GPR75	0.2615
TRIM5	0.48475
APOC1	-0.355166666666667
RNASE4	0.609333333333333
PARD6B	-0.4015
ARID1A	0.607916666666667
TPD52L3	0.497444444444444
RRAGB	1.22816666666667
RCN2	-0.666333333333333
HIST2H2BE	-1.0659375
STARD7	0.244
SHMT2	-1.3715
KIAA1751	-0.7685
MLYCD	-0.117625
LOC162632	-0.337
UQCRH	-1.6425
RP11-217H1.1	-0.152125
SDHA	-0.926333333333333
NCLN	-0.3734
ZNF17	0.921166666666667
RCBTB2	-1.79
VEGFB	-0.6145
RP4-747L4.3	0.42375
COLQ	0.521
MPN2	-1.51133333333333
DRG2	-0.21725
KLRB1	4.919
ALPK2	-2.2785
DNASE2B	0.16775
FLJ23834	-0.5015
AXUD1	0.453
SAFB	-0.00489999999999998
NSUN4	0.07575
RFX2	-0.3285
MAPK8IP1	-0.022
FANCD2	-0.795642857142857
ANKZF1	-1.50033333333333
C19orf50	-0.844625
DUSP8	1.6295
SENP5	-0.5155
NFKBIL2	-0.745
LBR	-1.076125
IGFL1	1.32
LZTS2	0.618125
IL2RG	-0.576
CCDC51	-0.00325
KLF3	0.31425
ANKRD37	-1.6415
KCTD14	-0.456166666666667
FZR1	0.41575
SLC44A4	3.9517
ESPL1	-1.17375
GMPR2	-0.0501
TBC1D19	-0.437833333333333
ERGIC1	0.24562962962963
ERBB4	3.7515
TSPAN32	0.125666666666667
MAP4	-0.277625
GPHN	-1.53
SLC6A2	0.119375
HIVEP1	0.35725
DFFB	-0.2058
EIF4EBP2	0.430875
DMRT1	-1.05933333333333
HSPB6	-0.07975
IER2	0.0748333333333333
AIFM1	-0.1285
WWC2	-0.590545454545454
MRPL4	-0.61975
FLJ21062	1.96833333333333
EPB41L4A	1.72933333333333
SH2D6	0.00675000000000001
TAF4B	-1.13675
GAL3ST3	-0.356
MALT1	-0.500833333333333
RTDR1	-0.5025
ARVCF	0.339625
MEX3B	-0.4385
FBXO16	1.8565
KIF7	-1.96225
C1QC	3.76166666666667
ZNF783	-0.197
ZNF85	-0.42525
MMP13	4.192
KIAA0329	0.582
RTP3	-1.5705
ZBED3	0.57175
CLGN	1.66375
SLC25A37	-0.897625
hCG_18290	0.10925
OR5AS1	-0.059
SMARCC2	0.8675
FAM109A	-0.0228333333333333
CCDC12	0.35325
USF2	0.2437
DEPDC7	-2.78525
C20orf24	-0.946166666666667
JMJD3	1.1135
DSP	1.47457142857143
SLIC1	0.7615
FAM20A	1.07775
IRF2BP2	0.806
ZNF230	0.345
MSN	-0.817142857142857
SLC9A5	-1.9285
EPDR1	-2.6803
