Hybridization REF	TCGA-AN-A0XO-01A-11R-A109-07
FAIM	-0.3265
ANKRD36	-1.413
GABRP	1.10433333333333
TACSTD2	2.32933333333333
EIF3J	-0.8155
PPP2R2A	0.58675
TEKT4	0.3545
PVALB	-3.5265
F10	-2.3855
FAM134C	0.8507
COMP	4.737125
EFCBP1	-2.0120625
SCLT1	-1.005625
TAL1	-1.3398
ACSL1	2.35375
ABCC5	0.73575
ABL1	-0.594555555555556
RBBP7	1.83966666666667
PTPRG	0.208375
NCOR1	-0.3925
SPINK4	1.72633333333333
TXNRD1	-1.5214
TNRC15	0.266375
C9orf138	1.0005
UBE2H	1.13916666666667
BRDT	-0.0101666666666667
C8orf31	-0.15325
CCNE2	-0.428727272727273
SLC6A8	-0.9165
CALCR	-4.17925
PPP1CB	0.743083333333333
ABHD8	0.13875
ARF5	0.1286
SLC24A4	0.1675
CCT3	0.49175
ZNF121	0.0355
SLC3A2	-0.7281
OR13A1	0.569
SLC5A10	-0.0215
RAD50	0.44175
IER5	0.6125
MTHFD1L	-2.366
MBTPS2	0.498
MVK	-0.913375
NCL	-0.0848
PSMD10	-0.343
MOBP	0.194375
FLJ32894	-0.0325
HRH1	0.1225
C5orf30	1.912
NUDT16L1	1.6556
RASGRP3	2.82816666666667
PRKRIP1	-0.1977
CCDC75	-0.47475
LOC253970	0.4265
KIAA1239	0.1595
MED21	0.21725
SYT11	0.00616666666666666
NTSR2	-0.036
EGFL11	0.349
CXorf59	0.6395
OR2A25	0.3395
SPTBN2	-1.04325
LRMP	-1.89666666666667
RNF111	0.432
PTH	0.281
LOC619208	0.659333333333333
KIAA0895	1.17975
RANBP5	-1.470125
P2RY10	1.18066666666667
NME5	4.288
DDX21	-1.09375
LRSAM1	0.0135
HDAC11	1.41916666666667
VMO1	1.36575
NOLA2	0.222
ADAR	0.702166666666666
MTO1	-0.762666666666667
SF4	0.768333333333333
P2RX1	-0.171666666666667
HBM	0.16275
EN2	0.9055
C14orf172	0.699
TM9SF2	-0.2257
INHBE	-1.49216666666667
TCTE3	-0.3805
TOX2	-3.40825
CTAGE3	0.0695
HBB	1.6333
MED15	-0.922166666666667
CASR	0.103
C6orf66	-1.3605
MTPN	-0.771
UNC50	-0.35025
C21orf33	0.118875
IRF2	0.945
PGR	3.41316666666667
GPR84	1.79025
CROCCL1	-2.2385
SRPX	-1.24175
BRE	0.518666666666667
FGF10	1.5705
SDC3	0.825833333333333
ZRSR1	0.395333333333333
DKFZP434P211	-0.0335
SOX6	0.281
RPUSD2	-0.0655
C14orf173	0.3155
MAPK11	-0.0825
TBC1D22A	-0.265
FAM123A	-0.3105
COL4A6	-1.43
TOMM70A	0.48175
NAB1	0.149375
MGC16385	-0.26175
TSPAN18	-0.302333333333333
MED31	-0.76975
PLG	-0.7165
CAPSL	2.2315
ZNF532	1.1756
ASB14	-0.164
CA8	1.1115
NUDT16P	1.624
SLFN11	-1.03
LRRIQ2	-0.025125
NOL7	-0.5575
BRMS1L	-0.8555
JARID1A	0.444666666666667
PANK2	-0.558
ICAM3	-0.6845
MDS1	0.8375
TAF8	-0.40275
RNF139	0.66625
ZNF594	-0.6965
ADAM8	0.59875
SFTPC	-0.275125
MAN2B2	0.5865
RGS12	0.0394375
EIF1AY	-4.81308333333333
LRRIQ1	-0.596166666666667
GPR150	0.83775
CCDC21	-1.2035
PRRG3	0.3005
SAA4	-3.305
RAPGEF5	1.434625
ZCCHC2	0.135666666666667
MGC39372	0.2975
PPP4R2	0.825666666666667
CDCA2	-2.09516666666667
OR4D5	0.084
PTGFRN	0.9321
SIGLEC5	0.901166666666667
C19orf61	-0.204833333333333
NMUR2	0.352
KIAA1586	-1.20783333333333
DAGLA	-0.311333333333333
CHCHD6	0.18475
GPR32	0.6235
NEUROD6	0.2318
SLC2A4RG	0.051375
CA5B	-0.05225
FBXL3	1.69925
MPHOSPH9	-1.63075
HMG2L1	-0.33275
HCN4	0.344833333333333
CEACAM19	0.08875
SH2D4B	0.149833333333333
HFE2	-0.59
TGM4	0.138333333333333
LYPD2	0.356
TBC1D15	0.21575
MRPS21	-0.00300000000000002
NONO	-0.837
CLEC5A	1.532
ITCH	-0.6281
MGAT3	-1.30383333333333
MBP	-0.763125
RPP25	-0.85725
SOSTDC1	1.57825
HRC	-1.7285
TRIM48	0.298
TMEM133	0.2705
ECEL1P2	-0.7095
HOXC11	2.0005
DOK5	-1.0185
HELZ	-0.275666666666667
LOC348180	-1.67475
MGC33894	0.4125
ADRB3	0.3355
DMD	0.189333333333333
PTRH2	-0.88525
MPEG1	1.81
NDUFA12	-0.524666666666667
KRTAP2-4	0.235916666666667
STAMBPL1	-1.69216666666667
ADCY2	0.639666666666667
UNQ6125	0.49
KLHL20	0.1915
SRM	-1.7035
OTC	-0.38125
TMIE	0.2505
SNX8	0.11775
LIPK	-0.00750000000000001
CHURC1	0.441
KLC2	0.111333333333333
HDAC1	-0.275666666666667
FAM128A	0.110666666666667
FNDC3B	-0.0437
MTCP1	-0.470166666666667
WFDC10B	0.0896
PCDHGB3	0.371
ATRNL1	-0.4984
CAV2	-0.116875
MED26	0.0266666666666667
DUS1L	-0.08675
CHRM3	-1.48825
NEK9	0.25975
WARS2	0.1125
TBX22	0.59
TOMM40	-1.20175
RP6-213H19.1	-1.11533333333333
TUBGCP5	-0.08875
IGSF6	3.464
TPPP	0.623166666666667
UNQ6190	-0.142
GSTM5	2.313125
BTD	1.15466666666667
PDCD1LG2	-0.168333333333333
SNRPB2	-0.711833333333333
ERICH1	-1.1935
APOA4	-1.606125
HOXA11	-1.446
NARG1	-0.00362499999999999
MKX	2.3735
RAB28	-0.524928571428571
PKP3	1.27725
SH3GL2	-3.092
CTSO	2.78525
RPN2	0.052625
IL28RA	-0.225666666666667
SFMBT1	0.76825
WDR57	0.140375
FER1L3	0.331416666666667
HSF5	0.0708333333333333
TTC9B	-0.0925
C4BPA	-3.61966666666667
ALB	-3.71364285714286
SORBS3	-0.06375
UPF2	0.317
JPH1	-0.101
AGBL2	-0.97975
DOPEY1	1.088
TERF1	-0.416333333333333
KIF22	-0.771
NINJ1	2.20825
SEC61A2	-1.01516666666667
HIST1H1D	0.212833333333333
SFXN4	-0.46975
UCP3	0.8757
ZNF703	1.76416666666667
MYL6B	-0.3885
TREM1	1.78925
OR52E6	0.768
CKMT2	1.34475
HLA-C	1.8585
SLC13A3	-2.061
TIMP4	-2.713
SLIT2	2.21225
RSF1	-0.263
LONRF1	-0.354571428571429
MON1A	0.626833333333333
CACNG6	-1.79333333333333
DPPA4	-5.288
ZSWIM3	0.1825
ZNF804A	-0.190333333333333
CCIN	1.2075
SLC25A31	0.10475
KCNMB4	-0.6775
RABL5	0.77025
GALNS	-0.9247
STX6	0.75925
HIST1H1C	-0.137666666666667
CIDEB	-0.007875
CASP4	0.00133333333333333
PDK3	0.6573
KCNJ11	0.976
TPR	-1.06425
ZSCAN20	-0.2055
MTX2	-0.3165
HIST1H2BH	0.3575
LOC283767	0.5745
LYRM7	-1.03094444444444
BRD3	-0.994666666666667
HIST1H2BO	0.11775
MAGEB10	0.397
SLC45A1	1.26725
SERPINA3	2.3474
KIAA0143	1.186
KCNJ16	-0.123833333333333
KRT79	0.591
FABP2	-0.5415
NUT	-0.02675
ZNF57	-0.4015
FBXL4	0.318875
CLEC9A	-0.1785
UGT8	-1.02283333333333
BMP2K	-0.44375
MAPK4	-3.22425
SLC25A23	-0.2715
HINT1	-0.3144
KRTAP13-1	0.3035
SFXN5	0.1845
CHCHD2	-0.0205
FAM3D	1.524
NDP	0.199875
RHOBTB1	-0.4185
SLC4A4	0.177625
RPL38	-0.20225
HTF9C	-0.676
AP2A2	0.3635
ZBTB46	-0.5895
MAP7D1	-0.052625
AOX1	-1.234
CYR61	0.700166666666667
DTNA	-0.0562142857142857
JRKL	0.00275
TMOD3	0.2065
EEA1	-0.4936
ADCK5	0.8545
IL1R1	2.02316666666667
KLK3	0.678642857142857
HRSP12	-1.23875
KTN1	0.121
LOH11CR2A	1.24
RELL2	-1.67125
MAB21L1	0.98725
C20orf59	-1.5465
PHKB	0.398
ADAM2	-1.70966666666667
TBC1D8B	0.731666666666667
FAM13A1	-0.2800625
LAPTM4B	-0.0903333333333333
LCN8	0.1395
TMEM147	0.4005
SYT4	0.229
XPO7	-0.2675
C9orf62	1.05175
GPR75	-0.239
TRIM5	0.240125
APOC1	-2.51816666666667
RNASE4	0.278
PARD6B	-1.256
ARID1A	0.75225
TPD52L3	0.1794
RRAGB	0.696333333333333
RCN2	-0.831
HIST2H2BE	0.0336875
STARD7	-0.585
SHMT2	-1.0265
KIAA1751	0.136
MLYCD	-0.160625
LOC162632	-0.4671
UQCRH	-1.575
RP11-217H1.1	0.3145625
SDHA	-0.7835
NCLN	-0.5404
ZNF17	0.499833333333333
RCBTB2	-2.41625
VEGFB	-0.2239
RP4-747L4.3	0.07675
COLQ	0.3616
MPN2	-0.523166666666667
DRG2	-0.29425
KLRB1	1.936
ALPK2	-1.06875
DNASE2B	0.56425
FLJ23834	-0.124666666666667
AXUD1	0.362
SAFB	0.1
NSUN4	0.45675
RFX2	0.280833333333333
MAPK8IP1	-0.3175
FANCD2	-0.7925
ANKZF1	-1.35566666666667
C19orf50	-0.65225
DUSP8	0.53175
SENP5	0.73425
NFKBIL2	-0.67875
LBR	-0.927
IGFL1	1.9015
LZTS2	0.27925
IL2RG	-1.611625
CCDC51	0.28175
KLF3	0.424375
ANKRD37	-0.9955
KCTD14	-0.9195
FZR1	0.3535
SLC44A4	4.1239
ESPL1	-1.026875
GMPR2	0.1727
TBC1D19	-0.709833333333333
ERGIC1	1.41255555555556
ERBB4	3.4323
TSPAN32	-0.2585
MAP4	0.13275
GPHN	-0.08475
SLC6A2	0.474
HIVEP1	1.22
DFFB	-0.3613
EIF4EBP2	0.424125
DMRT1	0.57675
HSPB6	-0.1615
IER2	-0.106833333333333
AIFM1	-0.408
WWC2	-0.611083333333333
MRPL4	-0.70425
FLJ21062	0.900166666666667
EPB41L4A	0.962916666666667
SH2D6	0.32925
TAF4B	-1.06325
GAL3ST3	-0.373
MALT1	-0.4655
RTDR1	0.10725
ARVCF	-0.290125
MEX3B	-1.24916666666667
FBXO16	0.70725
KIF7	-0.4485
C1QC	3.32916666666667
ZNF783	-0.389333333333333
ZNF85	-0.2645
MMP13	5.3495
KIAA0329	0.740625
RTP3	-0.793
ZBED3	-0.053
CLGN	-1.56375
SLC25A37	-1.391625
hCG_18290	0.39625
OR5AS1	0.316
SMARCC2	0.45525
FAM109A	-0.0568333333333333
CCDC12	0.29625
USF2	-0.0466
DEPDC7	-2.38625
C20orf24	-0.8405
JMJD3	-0.101
DSP	2.7275
SLIC1	-0.109875
FAM20A	0.443625
IRF2BP2	1.45175
ZNF230	-0.0515
MSN	-0.884
SLC9A5	-1.203
EPDR1	-1.2787
MUSK	0.329333333333333
ZNF434	0.119
