Hybridization REF	TCGA-B6-A0WV-01A-11R-A109-07
ZNF257	-3.3705
FLJ22167	0.56725
EXOSC7	-0.348333333333333
ROR2	1.310625
MAOA	-0.13275
TNNT3	0.663
GYPC	-2.15325
C7orf33	-0.274
PLIN	3.28316666666667
LOC90826	-0.095
RNF4	0.098
F8A1	1.29966666666667
PLEKHG4	-2.103
GRB2	0.6636
HIST1H2AD	0.59075
DUS3L	-0.606666666666667
EIF1	0.28
RP5-1077B9.4	-1.57533333333333
FPGT	1.642
GDF10	-0.961
COQ9	0.12675
GCC2	-0.158642857142857
RARRES3	2.937625
PLXNA1	-0.4863
KIAA0100	0.4274
PMF1	-0.30725
FNDC1	4.79325
HS2ST1	-0.354833333333333
CRELD2	0.68025
C8G	-1.8945
CD82	-0.20675
LIM2	-0.7875
UNQ6490	-0.316
MMP16	1.51425
DRD3	0.009
C5orf26	-1.04925
C11orf73	0.70675
PTP4A2	0.478875
OR4M2	0.431
HPCA	-1.00616666666667
SEC14L1	-0.240666666666667
CHFR	0.472625
EMILIN1	0.672375
NDUFS4	-1.06575
COL18A1	-0.41075
PDZD3	0.126
C9orf16	-0.0281666666666667
ERBB2IP	-0.448333333333333
EMX2	1.548
FUS	-0.48925
TF	-4.1514
CLCN4	-0.935333333333333
CXorf56	0.90225
C11orf72	-0.0725
ELAC2	-0.822166666666667
NPR1	-1.491
ASS1	-3.287
USP42	0.031
POLR2J	0.1305
SEC23IP	1.14233333333333
UQCRC1	0.4855
LOC729603	-0.91825
C1orf71	-0.018875
POLG	-1.569
ADAM23	-3.73675
TFR2	-1.477
RICTOR	-0.8864
MGC39606	0.7785
C19orf55	-0.239125
SNAPC1	-1.43583333333333
GNA11	1.0055
CCDC52	0.382166666666667
FSIP1	5.1075
UPF3A	0.369625
IGSF11	-2.8295
LAGE3	0.491
CHST6	-1.9635
UNC13B	0.106625
TTLL4	-0.8975
ZNF687	0.39225
SDC2	-1.0962
COX7A2	-0.6785
LAMB4	-0.75025
FAM24A	0.1135
LRRTM3	-1.4505
GPHB5	-0.03225
OR4C13	0.07
EIF3EIP	0.474571428571429
HABP4	0.313
TMEM125	3.341
CNTN2	0.239875
ASNSD1	-0.353
FUT4	-1.336625
ACF	-4.44775
LOC158381	0.1375
CDH8	-0.062
AGPS	-1.60016666666667
C4orf18	1.641125
PECI	-0.97925
UNG	-0.265
GSTP1	-2.81475
DCUN1D5	-1.68733333333333
DKFZP564J0863	-0.318
SLC9A3R1	3.132875
BCDO2	-0.668625
CHMP7	-0.121875
REM2	1.865
DNHD1	-0.535625
FKBP4	0.506875
ZNF350	1.15475
MGC11102	0.592625
BST1	-0.32775
KISS1R	0.0145
NCR2	0.0965
DEFB125	0.9775
UBE2W	0.686
KRT15	0.96775
C10orf99	0.2045
SCN11A	-0.31125
GFI1	-3.7955
RDHE2	-0.932
FHL1	-1.9585
OSGEP	0.0268333333333333
GATA1	-4.02733333333333
SMC6	-1.30125
TTTY14	-1.35625
LPIN3	0.35375
RPL4	-0.9434
RBPMS	1.2807
PRPF3	-0.661333333333333
EMR1	-2.8815
SPATA19	-0.011
XCR1	1.827
IRX3	1.6329
RBM6	-0.507
KLF4	-1.4757
UNC5CL	-1.51975
SEBOX	0.845
BTK	-2.941
KRCC1	0.482
C6orf27	0.671
SYTL5	1.3925
PRND	2.24675
LOC653319	-0.7815
PIGL	-0.662125
HUS1	0.0388333333333333
SFRS6	0.404833333333333
C17orf77	0.289
UIMC1	-0.248333333333333
FXYD2	-2.0566
LOC283152	2.46225
ZNF667	-2.33125
ZCCHC12	-0.8675
TFEC	0.8685
ATP7B	0.178333333333333
POLD2	-0.232833333333333
RG9MTD1	0.09625
ACOT2	2.61516666666667
HIST1H4I	-0.293375
PPARGC1A	-2.9599
ETFA	-1.4643
POLRMT	-0.21725
ZNF146	-0.066125
MIA2	-1.7305
KLHL6	-2.82183333333333
HOXB5	-1.299875
NENF	1.23616666666667
CUGBP1	-0.52225
PRSS22	1.58483333333333
CASC4	1.0162
CUL4B	0.3045
CENPJ	-1.5104
PITX1	-0.0876666666666667
FLJ31033	0.6165
CELSR3	1.09766666666667
ZNF568	0.62775
ITSN1	-0.3725
EHBP1L1	-1.3485
C19orf2	-0.34275
DCTN1	0.05075
LIN28B	-3.82383333333333
TNKS2	0.069
C1QBP	-1.00025
CADPS2	2.29075
SRMS	0.626333333333333
GJA9	0.548833333333333
MGC24975	-0.6965
TRIM45	0.289833333333333
TSP50	-0.2765
TCP1	-1.31875
TMED7	0.9695
CMA1	1.2185
CENPL	-0.722666666666667
PTCRA	-0.412
FST	-3.6325
VWCE	-4.4825
PAWR	0.5795
ABCC12	0.5586
LDLR	0.0892
ASTN2	1.5543
LOC441212	-1.11525
GPATCH8	-0.44175
TANC2	0.00708333333333334
KIF4A	-0.83
C18orf18	-1.4875
PGM1	-0.89675
KIAA0258	0.65375
CPD	0.081125
SNCAIP	-1.29475
DCT	-4.92133333333333
HLA-DOA	1.76240909090909
OR11L1	0.411
UPK1B	-0.422666666666667
DNAJB4	-0.788
UGT1A8	-1.47425
HIST1H4L	-1.851
PECR	-0.219333333333333
HSPA2	1.8485
WFIKKN1	-2.3335
SERP1	0.51575
SYDE2	1.50475
TACR2	0.8585
NUP85	0.27
CD177	-1.03116666666667
LGR5	-2.0365
PIGG	0.385833333333333
PTHR1	-2.1075
RAB5A	0.1771
FLJ13224	0.207
USP9Y	-2.23583333333333
C7orf53	-0.646
LRP1B	-0.6955
XAF1	0.5988
ABCG8	-0.7395
ANKDD1A	-1.32133333333333
DAND5	-0.3075
SPAG6	4.48233333333333
LINCR	0.45
ZDHHC22	-1.43
CCDC60	0.366
THOC7	-1.27633333333333
TCTA	1.8475
OR8K3	0.25425
NY-REN-7	-0.729333333333333
B2M	0.221833333333333
C6orf141	-2.248125
LPPR4	1.93475
SQLE	-1.116
SEPHS1	-0.39375
BTBD14B	0.393642857142857
PLRG1	-0.396
SPG7	-0.0505
ZNF614	-0.303833333333333
PARD6G	0.229666666666667
INPP5B	-0.3269
GRPEL2	0.4275
PPID	-0.9015
TRIM56	0.15625
UBE2J1	-0.62425
IL20RA	5.51725
LOC387856	0.19725
C1orf107	0.473
UTS2R	-0.1145
C19orf22	0.04125
SAFB2	-0.38225
KIAA0652	0.9395
KLRG1	-0.2225
MS4A8B	1.81133333333333
FRAG1	1.04675
KIAA1546	0.37125
E2F4	-1.1773
CLEC4M	0.5305
BTBD14A	-1.4665
KIAA0999	0.5004
GYPA	-3.1196
TAC1	0.4505
TRAIP	-0.445
KIAA0232	1.4447
ERCC8	-1.114875
GPX4	1.116875
KIAA0368	-0.00400000000000001
GPR157	-0.336166666666667
CTAGE4	1.857
C9orf30	-1.29566666666667
OR52A1	-0.2975
HSP90B3P	-0.417
ALG9	-0.0964
BTBD10	1.38925
SDK2	0.15875
BAIAP3	-1.172
RABGGTB	-1.53975
ANKRD40	0.4815
KRT74	0.7275
CALCOCO2	1.26778571428571
SNCA	-4.051
TMSL8	-1.955
C2orf53	0.149
ESRRB	-0.19925
ARHGAP26	-1.618
TDRD9	-3.4315
HRAS	0.802666666666667
KLRC4	-3.299
JAGN1	0.0761666666666667
BSDC1	0.10075
RNF43	0.7911
NDUFAF1	-0.4675
PHF12	0.642
OR1L3	0.15725
FOLR2	1.01325
LYZL6	0.0525
tcag7.1260	-2.933
WSB1	-2.99533333333333
PROS1	-1.3698
OSTN	0.4205
PSMB8	0.2255
SOCS4	0.593
DDIT4L	-0.5155
MAS1	0.167
MGC34796	1.5395
CSHL1	-0.1426
TBCCD1	-0.0295
ZBTB7C	0.09
AP2S1	0.455875
P15RS	-0.0388
VAT1	-0.1183
SHANK3	0.476166666666667
TUFM	-0.0288333333333333
THEG	1.2785
KRT34	-1.3155
SGSM3	0.4905
TOMM22	-0.359125
SOCS3	0.427833333333333
CPO	0.5655
POP4	0.5175
BHLHB3	0.38
MALL	1.06175
OR1B1	1.106
PARK2	1.08083333333333
GPR124	-0.719125
LCE1E	-0.0535
RUVBL2	0.02175
CGRRF1	0.8807
ACPL2	-0.328
WNT10B	-1.195375
BAIAP2L2	-2.502125
ISCA1	0.5025
C1orf125	0.770125
RPAP1	-1.0245
RAI16	-0.406166666666667
RPL27	-0.475125
NLRP9	-0.409
EPN1	0.2275
LOC388610	-1.110125
SLC35A1	0.4242
GAL	-4.19225
SLC14A2	0.3305
RDH11	0.647
FAM138F	-0.281
AUH	-0.11275
FLJ40243	0.40975
C14orf129	0.286666666666667
MBD2	-0.408833333333333
ABHD14B	0.13025
PIGT	1.247875
ALS2CR4	0.0128749999999999
ALAS1	0.1003
FOXO1	0.531666666666667
CRLF3	-1.401625
C20orf107	0.9345
FARS2	0.61975
CCDC28A	-0.259
NPHP3	-1.30075
OR13F1	0.1965
TSEN54	0.25475
DEFB106B	0.4055
OR8B4	-0.4185
STH	3.1035
ZC3H14	-0.648625
CBX2	-0.1385
TMEM49	-0.002
C6orf21	0.4565
FLJ20920	0.781875
CRTAP	0.425714285714286
DDX50	-0.30925
STYXL1	1.01725
BLVRB	1.225
LOC147650	0.188333333333333
MMP24	0.74125
GRID1	1.159
BANF1	-0.229666666666667
CTAGEP	1.0745
HMBS	-1.76625
SLC25A24	-0.579333333333333
C14orf50	2.07275
MRO	0.557
SLC25A15	-0.82175
FAM84B	1.0099
TDP1	-1.1535
C16orf78	-0.4195
C11orf57	-0.693625
RFK	-0.898375
ZFYVE9	-0.621
STCH	0.3671
WIBG	0.508
LOC283871	0.335666666666667
GBA2	-0.6102
NDUFB3	-0.21175
HSD17B13	-0.08275
GRIN3A	0.6302
FMNL1	-1.57166666666667
SEPT7	-0.3658
GNLY	2.372
GRAMD1C	1.465
ZNF165	-0.33
USP38	0.9125
FAM83A	-4.14516666666667
C14orf24	0.969916666666667
ARMCX3	1.37975
ARHGDIB	-1.42333333333333
AK1	0.48875
KIAA1045	-1.0505
DNAJB13	-0.6795
NEU2	0.561
HIST1H4B	-1.18333333333333
FAM20B	-0.5164
HES2	-0.0625714285714286
FAM73B	0.2004
LOC388381	0.152666666666667
INTS7	-0.230363636363636
AMPH	3.0065
ZNF775	-0.208
UCKL1	-0.0716666666666667
C10orf97	0.297
C1orf161	-0.28
ALDH1L1	-1.20075
FLJ39378	-0.060875
SLC23A1	0.4865
RBM4B	0.40325
THAP4	0.117666666666667
OGFRL1	-0.634
KIAA0831	0.482125
PPP1R15A	-0.593666666666667
C1orf96	-0.317714285714286
C12orf11	-1.73425
BMF	0.49225
MAN1A1	-0.924875
KIAA1600	0.630333333333333
NLGN4X	-1.22025
ALOX12	-0.9685
RB1CC1	-0.312
NEIL2	-0.0432
EIF4E	-9.0909090909062e-05
ABHD5	0.252
EXOC4	0.2925
CIP29	0.1685
BATF2	1.15425
SLC29A4	-1.042875
HTR4	0.43375
EMB	-2.9905
TRAF6	0.559
LMNB1	-1.18725
FAM19A5	-1.910125
SHE	0.689
PIK3C2B	0.7165
C15orf15	-1.3461
USP15	0.0636
TCEAL2	0.829
C5orf39	-2.46966666666667
PTGER2	0.23875
SLC31A1	-0.4281875
IFT172	0.398
ADAM29	0.86075
GFOD1	-0.57475
ST7L	0.6675
C15orf26	-3.22575
PKN3	-1.73975
CNTD1	2.35966666666667
COMMD1	0.332
NTRK2	2.42591666666667
FOXN3	-1.695875
MFGE8	-1.2225
PFKFB2	0.761
TAS2R4	0.051
ENTHD1	1.1115
PRMT5	-0.01775
MGC16384	-0.68625
LOC442229	-0.90425
TSKU	-0.689125
KRTCAP3	1.857625
PDLIM1	-0.438
KCNS2	0.5945
RNF126	-0.180833333333333
CEP63	-0.021375
CLIC4	-1.04675
hCG_1990170	-0.64175
ACR	0.4556
KLK7	1.3025
ALOX5AP	1.475875
RIPK3	3.91025
TAS2R9	0.161
C19orf18	-0.314
BIRC6	0.2235
ZNF16	0.844
RFT1	0.04325
SLC8A2	-1.009
TACC1	-0.676375
ITGAD	-0.3555
SAMHD1	0.65975
SH3PXD2B	1.154
EPC2	0.0065
C20orf85	2.464875
ATP13A2	1.011
KRT4	0.189625
CAPNS1	0.653
MDM2	0.17925
PCDH20	3.0625
KCNK9	1.298
OR2C1	-0.256
KLHDC3	-1.261
IPPK	0.9435
EFHD2	-0.189
GALR3	0.00775
NBEA	0.8735
ABCA6	1.7145
CLDN3	2.12516666666667
AKT2	-0.755714285714286
EGFR	-2.4136
RBM16	-0.347875
ZDHHC3	0.5683
SLC25A4	0.433666666666667
CYB5B	-0.3345
CPXM1	-0.04075
NDRG1	-2.34746153846154
FLJ43826	1.2025
OR5L2	0.0173333333333333
FARP2	0.7077
MRPL46	-1.13266666666667
LDHAL6B	0.9316
MAPKAPK3	0.261666666666667
NCAM2	0.5905
PRKD2	0.325333333333333
ZFP36L1	1.1832
CYSLTR1	-2.05075
OR4C3	0.847666666666667
HIST1H2AJ	3.002
CCNB2	-2.32022222222222
ZNF10	0.434
TMEM175	0.314
FAM134A	0.901166666666667
TIGD4	0.5795
PCNP	-0.2445
MGC39715	0.48775
LQK1	-2.2795
CREB1	0.6122
TMPRSS3	-2.965
C4orf32	1.73375
LAT	-3.20283333333333
KCNA3	0.0725
SKIV2L2	-1.239
ROPN1B	-2.11675
tcag7.23	-0.1175
CDT1	-2.243375
ZHX2	0.821375
CD28	-5.045
ZNF624	0.7775
SEPT2	0.601583333333333
SOHLH2	-1.210875
MCOLN3	1.165
UNQ1945	0.379
MASP2	-1.2665
ZNRF3	0.3497
GPATCH3	-0.396
AGL	1.356375
QRICH2	0.4915
PSD4	1.046
CCNB1IP1	-1.05375
ENPP7	0.30925
OBFC1	0.85425
KCNG3	-1.928
C14orf79	0.519
ENPEP	1.555
SCT	1.377
SKI	0.153375
SEC61G	-0.891
CAPN11	-0.174
ATXN7L3	-0.89125
DBNDD1	0.457833333333333
FAIM	-0.18625
ANKRD36	-0.3725
GABRP	4.63766666666667
TACSTD2	2.02383333333333
EIF3J	-1.0945
PPP2R2A	-0.68575
TEKT4	0.1025
PVALB	-3.88766666666667
F10	-3.32183333333333
FAM134C	1.1445
COMP	4.078625
EFCBP1	-2.889375
SCLT1	-0.441125
TAL1	-1.5481
ACSL1	1.1325
ABCC5	1.55575
ABL1	-0.335777777777778
RBBP7	0.949083333333333
PTPRG	-0.631125
NCOR1	-0.2921
SPINK4	0.986833333333333
TXNRD1	-0.9446
TNRC15	0.376125
C9orf138	1.66025
UBE2H	0.917666666666667
BRDT	1.608
C8orf31	0.043
CCNE2	-0.458545454545455
SLC6A8	-1.867625
CALCR	-5.218
PPP1CB	0.938916666666667
ABHD8	0.44475
ARF5	0.4915
SLC24A4	0.38775
CCT3	0.0535
ZNF121	0.62525
SLC3A2	-0.2583
OR13A1	0.6115
SLC5A10	-0.206
RAD50	0.825375
IER5	0.058375
MTHFD1L	-2.814375
MBTPS2	1.0145
MVK	0.619375
NCL	0.00189999999999997
PSMD10	0.04225
MOBP	-0.412375
FLJ32894	0.614
HRH1	-1.764
C5orf30	1.3535
NUDT16L1	0.9346
RASGRP3	1.88216666666667
PRKRIP1	0.1644
CCDC75	-0.309
LOC253970	0.25325
KIAA1239	2.5125
MED21	-0.194
SYT11	-0.692666666666667
NTSR2	-0.41
EGFL11	-0.1885
CXorf59	0.5665
OR2A25	0.51075
SPTBN2	-0.81475
LRMP	-3.02416666666667
RNF111	-0.27325
PTH	0.3005
LOC619208	0.410333333333333
KIAA0895	1.45275
RANBP5	-1.117
P2RY10	-0.855
NME5	4.47733333333333
DDX21	-0.7025
LRSAM1	0.802
HDAC11	1.93133333333333
VMO1	1.21675
NOLA2	0.518
ADAR	0.9945
MTO1	-1.1435
SF4	0.225166666666667
P2RX1	-0.397833333333333
HBM	0.2475
EN2	0.2815
C14orf172	0.22425
TM9SF2	0.1872
INHBE	-1.4755
TCTE3	-0.102833333333333
TOX2	-4.355
CTAGE3	0.639875
HBB	2.3568
MED15	-0.320166666666667
CASR	0.113
C6orf66	-1.59683333333333
MTPN	-0.653125
UNC50	-0.129
C21orf33	0.153875
IRF2	0.501125
PGR	0.921166666666667
GPR84	0.99825
CROCCL1	-1.9
SRPX	-1.6885
BRE	0.711
FGF10	0.2995
SDC3	0.26
ZRSR1	0.329833333333333
DKFZP434P211	-0.07
SOX6	-0.21
RPUSD2	-0.86975
C14orf173	-0.38275
MAPK11	-0.413833333333333
TBC1D22A	1.0155
FAM123A	-1.2105
COL4A6	1.076
TOMM70A	0.315
NAB1	0.00487499999999999
MGC16385	0.1125
TSPAN18	-1.1335
MED31	-0.416
PLG	-0.471
CAPSL	2.88
ZNF532	0.186
ASB14	0.206333333333333
CA8	0.345
NUDT16P	1.69133333333333
SLFN11	-2.3655
LRRIQ2	0.130625
NOL7	-0.6125
BRMS1L	-0.213375
JARID1A	0.201333333333333
PANK2	0.385
ICAM3	-0.14525
MDS1	-0.31775
TAF8	-1.179
RNF139	0.4985
ZNF594	0.276833333333333
ADAM8	0.67275
SFTPC	-0.48625
MAN2B2	1.3765
RGS12	0.2745625
EIF1AY	-5.71883333333333
LRRIQ1	1.79366666666667
GPR150	0.144
CCDC21	-0.981666666666667
PRRG3	0.231
SAA4	-3.16925
RAPGEF5	1.706375
ZCCHC2	-0.0563333333333333
MGC39372	-0.0125
PPP4R2	0.1075
CDCA2	-1.90283333333333
OR4D5	0.711833333333333
PTGFRN	0.9554
SIGLEC5	0.638333333333333
C19orf61	0.019
NMUR2	0.756
KIAA1586	-1.29633333333333
DAGLA	1.64416666666667
CHCHD6	0.44275
GPR32	1.178
NEUROD6	0.3315
SLC2A4RG	0.966625
CA5B	0.371
FBXL3	0.46625
MPHOSPH9	-0.23925
HMG2L1	0.72375
HCN4	0.0606666666666667
CEACAM19	0.7355
SH2D4B	0.239833333333333
HFE2	-0.811
TGM4	-0.9875
LYPD2	1.21375
TBC1D15	-0.066
MRPS21	-0.2001
NONO	-0.8995
CLEC5A	1.47514285714286
ITCH	0.1654
MGAT3	-1.517
MBP	-1.182
RPP25	-2.01125
SOSTDC1	0.2805
HRC	-1.22925
TRIM48	-0.685
TMEM133	-1.193
ECEL1P2	-1.9595
HOXC11	1.273
DOK5	-1.94825
HELZ	0.308666666666667
LOC348180	-0.496
MGC33894	0.6515
ADRB3	0.1855
DMD	-0.0861666666666667
PTRH2	-0.38575
MPEG1	1.462
NDUFA12	0.0488333333333333
KRTAP2-4	-0.0975
STAMBPL1	-1.4235
ADCY2	-0.725166666666667
UNQ6125	0.8655
KLHL20	0.144833333333333
SRM	-1.42125
OTC	-0.76825
TMIE	-0.1825
SNX8	0.3415
LIPK	-0.0345
CHURC1	0.46975
KLC2	0.225666666666667
HDAC1	-0.247333333333333
FAM128A	1.0055
FNDC3B	-0.7388
MTCP1	0.887333333333333
WFDC10B	2.7912
PCDHGB3	0.4765
ATRNL1	0.7843
CAV2	-1.476625
MED26	0.317
DUS1L	0.52475
CHRM3	-1.953
NEK9	0.952
WARS2	-0.36075
TBX22	1.145
TOMM40	-0.55
RP6-213H19.1	0.115166666666667
TUBGCP5	-0.38175
IGSF6	3.2645
TPPP	0.857333333333333
UNQ6190	0.6115
GSTM5	1.888375
BTD	1.27933333333333
PDCD1LG2	-0.18
SNRPB2	0.235166666666667
ERICH1	-1.246375
APOA4	-1.90075
HOXA11	-1.83025
NARG1	0.437875
MKX	-0.87575
RAB28	-0.267571428571429
PKP3	1.67625
SH3GL2	-3.05375
CTSO	3.3025
RPN2	0.8394375
IL28RA	-0.1695
SFMBT1	0.68025
WDR57	0.28975
FER1L3	1.53691666666667
HSF5	0.424833333333333
TTC9B	0.312
C4BPA	-4.02383333333333
ALB	-4.41135714285714
SORBS3	-0.082625
UPF2	-0.0035
JPH1	1.6355
AGBL2	1.379
DOPEY1	0.428
TERF1	-0.392083333333333
KIF22	-0.6075
NINJ1	2.378
SEC61A2	-0.0670833333333333
HIST1H1D	-0.0915
SFXN4	0.100625
UCP3	0.0869
ZNF703	1.58216666666667
MYL6B	0.08
TREM1	2.086
OR52E6	0.47
CKMT2	0.561
HLA-C	1.383375
SLC13A3	-2.37183333333333
TIMP4	-1.91725
SLIT2	0.67
RSF1	-0.682222222222222
LONRF1	-0.596428571428571
MON1A	0.541666666666667
CACNG6	-2.274
DPPA4	-6.08366666666667
ZSWIM3	0.41875
ZNF804A	0.3745
CCIN	1.202
SLC25A31	0.37325
KCNMB4	-0.6245
RABL5	1.52775
GALNS	0.4095
STX6	0.238
HIST1H1C	-0.0573333333333333
CIDEB	-0.39
CASP4	-1.763
PDK3	0.8389
KCNJ11	2.0565
TPR	-0.7075
ZSCAN20	-0.341
MTX2	-0.41225
HIST1H2BH	0.709
LOC283767	1.77925
LYRM7	-0.971277777777778
BRD3	-1.08516666666667
HIST1H2BO	0.2125
MAGEB10	-0.049
SLC45A1	1.9765
SERPINA3	3.0374
KIAA0143	1.31575
KCNJ16	0.0708333333333334
KRT79	-0.0715
FABP2	-0.8425
NUT	0.34775
ZNF57	0.636
FBXL4	-0.135125
CLEC9A	0.364
UGT8	-1.32783333333333
BMP2K	-0.0745
MAPK4	-4.442
SLC25A23	0.1362
HINT1	-0.4498
KRTAP13-1	0.445
SFXN5	1.0333
CHCHD2	0.311166666666667
FAM3D	0.9015
NDP	0.129125
RHOBTB1	-0.4885
SLC4A4	-1.7975
RPL38	0.0805
HTF9C	0.0953333333333333
AP2A2	0.628875
ZBTB46	0.644
MAP7D1	-0.43275
AOX1	-1.60633333333333
CYR61	-0.995166666666667
DTNA	-1.28607142857143
JRKL	-0.609
TMOD3	-1.11425
EEA1	0.3803
ADCK5	0.2275
IL1R1	-0.222166666666667
KLK3	0.447769230769231
HRSP12	-0.40725
KTN1	1.27925
LOH11CR2A	-0.891
RELL2	-0.0845
MAB21L1	0.6925
C20orf59	-1.70166666666667
PHKB	0.776
ADAM2	-3.20033333333333
TBC1D8B	1.52716666666667
FAM13A1	-0.987375
LAPTM4B	-0.43575
LCN8	0.3735
TMEM147	0.7235
SYT4	-0.0576666666666667
XPO7	-1.028
C9orf62	-0.03225
GPR75	1.338
TRIM5	0.417625
APOC1	-1.728
RNASE4	1.71966666666667
PARD6B	0.649625
ARID1A	0.36025
TPD52L3	-0.603666666666667
RRAGB	1.47183333333333
RCN2	-1.104
HIST2H2BE	1.3981875
STARD7	-0.2165
SHMT2	-0.672
KIAA1751	0.244166666666667
MLYCD	0.885875
LOC162632	0.4696
UQCRH	-2.1215
RP11-217H1.1	-0.0581875
SDHA	-0.781
NCLN	-0.0814
ZNF17	1.01383333333333
RCBTB2	-3.18775
VEGFB	0.3726
RP4-747L4.3	0.3345
COLQ	0.3302
MPN2	-0.685666666666667
DRG2	-0.169
KLRB1	1.82225
ALPK2	-2.91975
DNASE2B	0.19275
FLJ23834	0.123166666666667
AXUD1	0.575833333333333
SAFB	-0.2188
NSUN4	-0.14
RFX2	0.669166666666667
MAPK8IP1	0.688333333333333
FANCD2	-0.639642857142857
ANKZF1	-1.48883333333333
C19orf50	-0.241125
DUSP8	1.006875
SENP5	-0.1205
NFKBIL2	-0.6815
LBR	-1.60075
IGFL1	3.076
LZTS2	-0.133125
IL2RG	-2.012625
CCDC51	0.5235
KLF3	-0.007875
ANKRD37	-0.971
KCTD14	-1.523
FZR1	0.413916666666667
SLC44A4	2.8543
ESPL1	-0.5795
GMPR2	0.5369
TBC1D19	0.263333333333333
ERGIC1	0.979851851851852
ERBB4	3.2098
TSPAN32	-0.435583333333333
MAP4	0.381625
GPHN	1.65225
SLC6A2	0.15925
HIVEP1	0.54075
DFFB	-0.71
EIF4EBP2	0.417375
DMRT1	0.01875
HSPB6	-0.27
IER2	0.276666666666667
AIFM1	0.39825
WWC2	0.344833333333333
MRPL4	-0.08675
FLJ21062	1.71583333333333
EPB41L4A	1.55183333333333
SH2D6	0.11475
TAF4B	-0.578
GAL3ST3	-0.002
MALT1	-1.073
RTDR1	0.2365
ARVCF	0.136125
MEX3B	-1.78016666666667
FBXO16	1.071
KIF7	-1.81125
C1QC	3.14533333333333
ZNF783	-0.1315
ZNF85	-1.07925
MMP13	3.597
KIAA0329	-0.260875
RTP3	-0.888
ZBED3	-1.09325
CLGN	-2.94425
SLC25A37	-1.698875
hCG_18290	-0.4475
OR5AS1	1.0265
SMARCC2	0.281833333333333
FAM109A	0.3125
CCDC12	-0.08975
USF2	0.3031
DEPDC7	-3.1995
C20orf24	0.505
JMJD3	0.491
DSP	1.35642857142857
SLIC1	0.027125
FAM20A	0.073625
IRF2BP2	-0.065
ZNF230	0.29
MSN	-1.45478571428571
SLC9A5	-1.9345
EPDR1	-0.5838
MUSK	0.0668333333333333
ZNF434	0.428166666666667
SMARCD1	-0.214
