Hybridization REF	TCGA-BH-A0AV-01A-31R-A115-07
HIST1H2AD	-0.94075
DUS3L	-0.835833333333333
EIF1	-0.175333333333333
RP5-1077B9.4	-0.602666666666667
FPGT	0.6835
GDF10	-1.46983333333333
COQ9	-0.878
GCC2	0.387428571428571
RARRES3	-0.755875
PLXNA1	0.9885
KIAA0100	-0.4917
PMF1	-0.2765
FNDC1	5.3335
HS2ST1	0.540636363636364
CRELD2	0.18275
C8G	-1.6475
CD82	1.79075
LIM2	-1.6215
UNQ6490	-0.0985
MMP16	0.30875
DRD3	-0.14325
C5orf26	-1.35425
C11orf73	0.16425
PTP4A2	0.375875
OR4M2	0.057
HPCA	-0.756
SEC14L1	0.1035
CHFR	-0.310625
EMILIN1	1.788
NDUFS4	-0.577
COL18A1	1.232
PDZD3	0.1018
C9orf16	0.362666666666667
ERBB2IP	-0.109666666666667
EMX2	4.67925
FUS	-0.8255
TF	-4.1644
CLCN4	1.106
CXorf56	0.122
C11orf72	-0.36
ELAC2	-0.852166666666667
NPR1	0.07625
ASS1	-0.1145
USP42	0.427
POLR2J	-1.0545
SEC23IP	0.561
UQCRC1	0.138
LOC729603	0.07975
C1orf71	0.026
POLG	-0.4085
ADAM23	-3.455
TFR2	-0.343
RICTOR	-0.8804
MGC39606	1.74325
C19orf55	-0.40175
SNAPC1	-1.22566666666667
GNA11	0.596625
CCDC52	-0.0841666666666667
FSIP1	-0.453
UPF3A	0.000375000000000001
IGSF11	-2.1595
LAGE3	0.13175
CHST6	0.766
UNC13B	-0.239
TTLL4	0.69425
ZNF687	0.436875
SDC2	1.814
COX7A2	0.1745
LAMB4	-0.0565
FAM24A	0.5495
LRRTM3	-1.45016666666667
GPHB5	0.10425
OR4C13	-0.5645
EIF3EIP	0.510285714285714
HABP4	0.5675
TMEM125	3.777
CNTN2	0.250625
ASNSD1	-0.7155
FUT4	0.507
ACF	-4.0905
LOC158381	0.415
CDH8	-0.2685
AGPS	-0.283666666666667
C4orf18	2.29275
PECI	-2.04441666666667
UNG	-0.293625
GSTP1	0.31325
DCUN1D5	-1.89983333333333
DKFZP564J0863	-0.4725
SLC9A3R1	-1.192
BCDO2	-0.644875
CHMP7	-0.26075
REM2	-0.2955
DNHD1	-0.628
FKBP4	0.229875
ZNF350	1.4605
MGC11102	-0.4505
BST1	1.71025
KISS1R	1.1005
NCR2	0.023
DEFB125	0.4605
UBE2W	0.903625
KRT15	2.85725
C10orf99	0.254
SCN11A	0.4675
GFI1	-3.268
RDHE2	2.746
FHL1	0.285
OSGEP	0.253
GATA1	-3.76816666666667
SMC6	0.14025
TTTY14	-1.71375
LPIN3	-0.171
RPL4	0.1194
RBPMS	-0.0729
PRPF3	1.784
EMR1	-2.303
SPATA19	0.29225
XCR1	0.043
IRX3	1.449
RBM6	-0.80025
KLF4	1.1641
UNC5CL	-0.56875
SEBOX	0.165
BTK	-1.38075
KRCC1	0.53775
C6orf27	0.445
SYTL5	-0.576
PRND	2.172
LOC653319	-2.1555
PIGL	-1.856125
HUS1	0.106333333333333
SFRS6	-1.65308333333333
C17orf77	0.402
UIMC1	-0.687166666666667
FXYD2	-1.964
LOC283152	-0.432
ZNF667	1.5995
ZCCHC12	-1.041
TFEC	3.3812
ATP7B	-1.42816666666667
POLD2	-0.608166666666667
RG9MTD1	-0.1235
ACOT2	-0.82
HIST1H4I	-1.14825
PPARGC1A	0.12
ETFA	-1.505
POLRMT	-1.084
ZNF146	0.315375
MIA2	-2.5545
KLHL6	-0.8525
HOXB5	-0.853
NENF	-0.168333333333333
CUGBP1	-0.38125
PRSS22	0.281166666666667
CASC4	1.39
CUL4B	0.4449
CENPJ	-1.1949
PITX1	0.158333333333333
FLJ31033	0.649
CELSR3	-1.8895
ZNF568	1.0065
ITSN1	-0.390166666666667
EHBP1L1	-0.39
C19orf2	0.375
DCTN1	0.813
LIN28B	-2.69583333333333
TNKS2	0.06975
C1QBP	-1.90325
CADPS2	-0.11075
SRMS	0.16775
GJA9	0.161166666666667
MGC24975	-1.30666666666667
TRIM45	-1.4025
TSP50	0.5785
TCP1	-0.062
TMED7	0.3004
CMA1	0.8745
CENPL	-0.0493333333333333
PTCRA	-0.367
FST	-1.7445
VWCE	-4.16025
PAWR	0.3775
ABCC12	0.2355
LDLR	-1.3358
ASTN2	-0.4013
LOC441212	-0.522125
GPATCH8	0.359
TANC2	-0.0401666666666667
KIF4A	-0.6315
C18orf18	-0.67775
PGM1	0.215
KIAA0258	1.66075
CPD	-0.033125
SNCAIP	-1.2215
DCT	-4.493
HLA-DOA	2.55809090909091
OR11L1	0.2085
UPK1B	-0.256666666666667
DNAJB4	1.189
UGT1A8	-0.680666666666667
HIST1H4L	0.4005
PECR	-1.79233333333333
HSPA2	0.70975
WFIKKN1	-3.445
SERP1	1.292375
SYDE2	0.947
TACR2	-0.4255
NUP85	-0.39875
CD177	0.235833333333333
LGR5	2.43366666666667
PIGG	0.3155
PTHR1	-0.377
RAB5A	1.0653
FLJ13224	0.356
USP9Y	-2.92816666666667
C7orf53	-0.755
LRP1B	-0.419
XAF1	1.6902
ABCG8	-1.581
ANKDD1A	0.332833333333333
DAND5	-0.8645
SPAG6	0.3224
LINCR	1.35625
ZDHHC22	-1.344375
CCDC60	-0.313
THOC7	-1.7845
TCTA	1.1425
OR8K3	-0.23625
NY-REN-7	-1.52525
B2M	0.9595
C6orf141	-1.037
LPPR4	3.90425
SQLE	-0.835
SEPHS1	-0.3425
BTBD14B	0.288785714285714
PLRG1	-0.2355
SPG7	-0.2690625
ZNF614	0.0351666666666667
PARD6G	1.09816666666667
INPP5B	-0.0902
GRPEL2	0.116875
PPID	-1.0372
TRIM56	-0.73975
UBE2J1	0.78
IL20RA	1.60475
LOC387856	0.49425
C1orf107	0.898833333333333
UTS2R	1.3005
C19orf22	-0.16825
SAFB2	-0.401125
KIAA0652	0.769375
KLRG1	-0.794833333333333
MS4A8B	-0.0928333333333333
FRAG1	0.0105
KIAA1546	-0.054
E2F4	-1.1663
CLEC4M	-0.0308333333333333
BTBD14A	1.21875
KIAA0999	0.5037
GYPA	-4.1908
TAC1	-0.1691
TRAIP	-0.779
KIAA0232	0.2263
ERCC8	-1.50175
GPX4	-0.581375
KIAA0368	-0.877
GPR157	-1.73083333333333
CTAGE4	-0.159
C9orf30	0.197333333333333
OR52A1	0.993
HSP90B3P	-0.754
ALG9	-0.9514
BTBD10	0.3475
SDK2	0.5215
BAIAP3	-1.29175
RABGGTB	-1.435625
ANKRD40	-0.587
KRT74	-0.032
CALCOCO2	0.0772857142857143
SNCA	-2.9405
TMSL8	1.3965
C2orf53	-0.079
ESRRB	-0.415
ARHGAP26	-1.095
TDRD9	-2.65225
HRAS	0.122833333333333
KLRC4	-2.376
JAGN1	0.353666666666667
BSDC1	-0.13525
RNF43	-1.2828
NDUFAF1	-1.0475
PHF12	0.6995
OR1L3	0.87025
FOLR2	1.3115
LYZL6	0.209333333333333
tcag7.1260	-1.6365
WSB1	-1.72083333333333
PROS1	0.7375
OSTN	1.0175
PSMB8	0.032
SOCS4	-0.141
DDIT4L	2.30975
MAS1	-0.855
MGC34796	-0.11725
CSHL1	-0.091
TBCCD1	-0.274333333333333
ZBTB7C	0.6355
AP2S1	-0.268375
P15RS	0.1868
VAT1	-0.0826
SHANK3	1.63733333333333
TUFM	-0.8155
THEG	-1.617
KRT34	1.4085
SGSM3	0.571125
TOMM22	-0.167625
SOCS3	2.17183333333333
CPO	-0.208
POP4	-0.076
BHLHB3	1.1135
MALL	2.99075
OR1B1	1.4515
PARK2	0.6275
GPR124	1.5105
LCE1E	0.602
RUVBL2	-0.32625
CGRRF1	0.1102
ACPL2	-0.20975
WNT10B	-2.774875
BAIAP2L2	-1.107
ISCA1	0.02
C1orf125	-0.260875
RPAP1	-1.35525
RAI16	-0.961166666666667
RPL27	-0.662875
NLRP9	0.0505
EPN1	0.827
LOC388610	-1.24325
SLC35A1	0.271
GAL	-2.08825
SLC14A2	-0.04025
RDH11	-1.35516666666667
FAM138F	-0.4805
AUH	-0.934
FLJ40243	0.2935
C14orf129	0.0533333333333333
MBD2	-0.338333333333333
ABHD14B	0.450875
PIGT	-0.062375
ALS2CR4	-0.272375
ALAS1	0.6712
FOXO1	1.74066666666667
CRLF3	-0.067
C20orf107	-0.0285
FARS2	0.81825
CCDC28A	0.47275
NPHP3	-0.666
OR13F1	0.2515
TSEN54	-0.41125
DEFB106B	-0.0523333333333334
OR8B4	0.1125
STH	-1.1605
ZC3H14	-0.62275
CBX2	0.146
TMEM49	-0.97275
C6orf21	0.665
FLJ20920	0.347
CRTAP	0.130214285714286
DDX50	-0.1225
STYXL1	-1.034
BLVRB	-0.962166666666667
LOC147650	-0.321166666666667
MMP24	-0.7405
GRID1	2.45083333333333
BANF1	-0.475666666666667
CTAGEP	-0.0995
HMBS	-2.53475
SLC25A24	0.636666666666667
C14orf50	-0.516
MRO	0.514833333333333
SLC25A15	-1.29775
FAM84B	1.7146
TDP1	-0.636
C16orf78	0.0976666666666667
C11orf57	-0.524
RFK	-1.09875
ZFYVE9	-0.73975
STCH	0.3203
WIBG	-0.5815
LOC283871	-1.04416666666667
GBA2	-0.6111
NDUFB3	-0.60375
HSD17B13	-0.63075
GRIN3A	1.919
FMNL1	-0.204166666666667
SEPT7	0.2899
GNLY	3.189
GRAMD1C	1.17666666666667
ZNF165	1.55375
USP38	0.674
FAM83A	-3.90283333333333
C14orf24	0.94225
ARMCX3	1.340375
ARHGDIB	0.443166666666667
AK1	-0.3
KIAA1045	3.83375
DNAJB13	-0.240166666666667
NEU2	0.651
HIST1H4B	-0.279666666666667
FAM20B	-0.0967
HES2	0.236571428571429
FAM73B	-0.572
LOC388381	-0.00774999999999999
INTS7	-0.725454545454545
AMPH	1.77175
ZNF775	0.02575
UCKL1	-1.37083333333333
C10orf97	0.0065
C1orf161	-0.574666666666667
ALDH1L1	-0.52
FLJ39378	-0.216
SLC23A1	-2.627
RBM4B	0.22025
THAP4	-0.0933333333333333
OGFRL1	1.426
KIAA0831	-0.328625
PPP1R15A	0.9665
C1orf96	0.414428571428572
C12orf11	-1.08625
BMF	1.776375
MAN1A1	-0.59
KIAA1600	0.877833333333333
NLGN4X	1.7575
ALOX12	-1.24333333333333
RB1CC1	0.6254
NEIL2	-0.3739
EIF4E	-0.597136363636364
ABHD5	0.04975
EXOC4	-0.0935
CIP29	-0.450333333333333
BATF2	-1.07975
SLC29A4	0.246875
HTR4	0.225
EMB	-0.8035
TRAF6	1.661
LMNB1	-3.153
FAM19A5	-0.607875
SHE	1.69875
PIK3C2B	-0.30175
C15orf15	-0.3699
USP15	-0.5953
TCEAL2	3.42025
C5orf39	0.580666666666667
PTGER2	1.32575
SLC31A1	-0.127375
IFT172	1.51775
ADAM29	0.0595
GFOD1	1.50925
ST7L	0.260333333333333
C15orf26	-3.583
PKN3	-1.4845
CNTD1	0.892
COMMD1	1.18525
NTRK2	3.15525
FOXN3	0.8375
MFGE8	3.4583
PFKFB2	-0.917166666666667
TAS2R4	-0.587333333333333
ENTHD1	3.54916666666667
PRMT5	-0.78475
MGC16384	-1.86275
LOC442229	-0.019
TSKU	0.1805
KRTCAP3	3.42025
PDLIM1	0.0584
KCNS2	0.277
RNF126	-0.584166666666667
CEP63	0.282125
CLIC4	1.943625
hCG_1990170	4.386
ACR	2.4262
KLK7	4.42925
ALOX5AP	4.139625
RIPK3	3.3635
TAS2R9	0.882
C19orf18	1.7245
BIRC6	0.0787857142857143
ZNF16	0.9065
RFT1	0.309
SLC8A2	-0.3215
TACC1	0.5635
ITGAD	1.04875
SAMHD1	0.3605
SH3PXD2B	2.3091
EPC2	1.38275
C20orf85	0.06575
ATP13A2	0.195666666666667
KRT4	0.899125
CAPNS1	0.62175
MDM2	-0.64725
PCDH20	1.667
KCNK9	0.334
OR2C1	-0.245
KLHDC3	1.106
IPPK	0.7945
EFHD2	-0.507625
GALR3	1.26625
NBEA	-0.712166666666667
ABCA6	2.4149
CLDN3	0.110666666666667
AKT2	-0.811928571428571
EGFR	0.708
RBM16	0.10725
ZDHHC3	0.1477
SLC25A4	-1.49433333333333
CYB5B	-1.26366666666667
CPXM1	1.04775
NDRG1	1.79953846153846
FLJ43826	0.3755
OR5L2	0.0798333333333333
FARP2	-0.3628
MRPL46	0.0114166666666667
LDHAL6B	0.1762
MAPKAPK3	-0.521833333333333
NCAM2	-1.404
PRKD2	-0.065
ZFP36L1	1.338
CYSLTR1	-1.2145
OR4C3	0.06875
HIST1H2AJ	1.8915
CCNB2	-0.534666666666667
ZNF10	-0.6475
TMEM175	0.9175
FAM134A	0.0328333333333333
TIGD4	-0.4955
PCNP	-0.003
MGC39715	-0.2195
LQK1	-1.39375
CREB1	0.5355
TMPRSS3	1.22075
C4orf32	-0.6465
LAT	-1.57575
KCNA3	-0.6715
SKIV2L2	-1.3365
ROPN1B	3.90125
tcag7.23	-0.124
CDT1	-1.250625
ZHX2	0.778625
CD28	-4.73625
ZNF624	0.7715
SEPT2	0.22725
SOHLH2	-1.3025
MCOLN3	0.60175
UNQ1945	0.2945
MASP2	-1.74
ZNRF3	-0.1147
GPATCH3	-0.00925
AGL	0.4285
QRICH2	-0.149
PSD4	0.275666666666667
CCNB1IP1	-0.796
ENPP7	0.3145
OBFC1	-0.04425
KCNG3	-1.41575
C14orf79	-0.325083333333333
ENPEP	3.26383333333333
SCT	1.767
SKI	1.1115
SEC61G	-0.62275
CAPN11	0.3015
ATXN7L3	0.02975
DBNDD1	0.446
FAIM	0.7475
ANKRD36	-0.76
GABRP	5.27766666666667
TACSTD2	1.6105
EIF3J	-0.53525
PPP2R2A	0.15225
TEKT4	-0.445
PVALB	-3.93266666666667
F10	-2.42266666666667
FAM134C	0.4831
COMP	4.57175
EFCBP1	-2.47893333333333
SCLT1	0.754875
TAL1	-1.4612
ACSL1	0.90225
ABCC5	-0.713416666666667
ABL1	-0.0705
RBBP7	-0.339583333333333
PTPRG	-0.180875
NCOR1	-0.3002
SPINK4	-2.83366666666667
TXNRD1	-0.6521
TNRC15	0.21775
C9orf138	1.381375
UBE2H	0.2885
BRDT	0.1065
C8orf31	0.02
CCNE2	0.203454545454545
SLC6A8	-1.255
CALCR	-4.35475
PPP1CB	0.991583333333333
ABHD8	-0.1395
ARF5	-0.2708
SLC24A4	1.15325
CCT3	-0.59975
ZNF121	0.370625
SLC3A2	-1.1416
OR13A1	0.4335
SLC5A10	-0.79375
RAD50	-1.173875
IER5	0.134
MTHFD1L	-0.734125
MBTPS2	0.25525
MVK	-0.927875
NCL	-0.4869
PSMD10	0.278
MOBP	-0.096
FLJ32894	1.208
HRH1	1.88433333333333
C5orf30	-1.23525
NUDT16L1	0.1197
RASGRP3	3.91533333333333
PRKRIP1	-1.0877
CCDC75	0.23625
LOC253970	1.187
KIAA1239	0.511
MED21	0.64975
SYT11	1.248
NTSR2	-0.7455
EGFL11	null
CXorf59	0.4635
OR2A25	0.21375
SPTBN2	-0.468
LRMP	-1.68766666666667
RNF111	0.51075
PTH	0.0905
LOC619208	1.10616666666667
KIAA0895	0.8105
RANBP5	-0.367125
P2RY10	0.287
NME5	-0.0983333333333333
DDX21	-1.24725
LRSAM1	0.948
HDAC11	0.909
VMO1	2.14725
NOLA2	-0.8675
ADAR	1.96483333333333
MTO1	-0.207833333333333
SF4	0.101333333333333
P2RX1	-0.113333333333333
HBM	0.193
EN2	0.9615
C14orf172	-0.112
TM9SF2	0.7365
INHBE	-0.619166666666667
TCTE3	0.2415
TOX2	-2.6685
CTAGE3	0.15675
HBB	2.7145
MED15	0.304
CASR	0.22625
C6orf66	-0.420166666666667
MTPN	-0.335875
UNC50	-0.5305
C21orf33	-0.551125
IRF2	0.619375
PGR	-2.13266666666667
GPR84	3.56475
CROCCL1	-2.448
SRPX	0.43125
BRE	0.743333333333333
FGF10	0.78075
SDC3	0.158833333333333
ZRSR1	0.068
DKFZP434P211	-0.0912500000000001
SOX6	1.3485
RPUSD2	-0.2565
C14orf173	0.00916666666666668
MAPK11	-0.228
TBC1D22A	0.7395
FAM123A	-0.579
COL4A6	-4.4015
TOMM70A	-0.32575
NAB1	0.299875
MGC16385	1.13325
TSPAN18	1.57566666666667
MED31	-0.81
PLG	-0.348
CAPSL	1.121
ZNF532	2.582
ASB14	0.2035
CA8	0.44675
NUDT16P	-0.203
SLFN11	0.515
LRRIQ2	0.04275
NOL7	-0.266833333333333
BRMS1L	0.688625
JARID1A	1.53266666666667
PANK2	-0.746
ICAM3	-1.627
MDS1	-1.0695
TAF8	-0.08375
RNF139	0.40675
ZNF594	-0.583833333333333
ADAM8	3.114875
SFTPC	-0.504875
MAN2B2	0.791375
RGS12	0.18925
EIF1AY	-5.30083333333333
LRRIQ1	-1.4365
GPR150	1.42375
CCDC21	-0.756666666666667
PRRG3	1.8925
SAA4	-3.85475
RAPGEF5	1.78975
ZCCHC2	0.40725
MGC39372	0.25
PPP4R2	0.3655
CDCA2	-0.341666666666667
OR4D5	0.324
PTGFRN	1.6814
SIGLEC5	2.95016666666667
C19orf61	-0.270166666666667
NMUR2	0.27
KIAA1586	-0.3805
DAGLA	-1.48533333333333
CHCHD6	-0.583
GPR32	1.245
NEUROD6	0.365
SLC2A4RG	-0.350125
CA5B	-0.11225
FBXL3	1.673
MPHOSPH9	-1.51525
HMG2L1	0.03675
HCN4	0.871166666666667
CEACAM19	0.25825
SH2D4B	0.307666666666667
HFE2	-0.5895
TGM4	0.9212
LYPD2	0.41975
TBC1D15	0.047
MRPS21	0.3993
NONO	-0.1812
CLEC5A	4.084125
ITCH	-0.2523
MGAT3	-0.026
MBP	0.53925
RPP25	0.35525
SOSTDC1	1.35625
HRC	-2.381
TRIM48	-0.169
TMEM133	0.21575
ECEL1P2	-1.558
HOXC11	0.24
DOK5	1.13175
HELZ	-0.0665
LOC348180	-0.3745
MGC33894	0.45825
ADRB3	0.133
DMD	0.816916666666667
PTRH2	-0.37775
MPEG1	3.57016666666667
NDUFA12	-0.8305
KRTAP2-4	0.152833333333333
STAMBPL1	-2.2115
ADCY2	2.06483333333333
UNQ6125	0.27
KLHL20	0.086
SRM	-1.369
OTC	0.23425
TMIE	0.686333333333333
SNX8	0.79225
LIPK	-0.3495
CHURC1	0.59375
KLC2	0.0736666666666667
HDAC1	-0.454666666666667
FAM128A	-0.276166666666667
FNDC3B	1.3165
MTCP1	-0.0523333333333333
WFDC10B	0.6571
PCDHGB3	-0.1575
ATRNL1	-1.2363
CAV2	0.44675
MED26	0.0405
DUS1L	-0.06925
CHRM3	0.212375
NEK9	0.19275
WARS2	-0.339
TBX22	-0.0415
TOMM40	-0.757
RP6-213H19.1	-0.0693333333333333
TUBGCP5	-0.774
IGSF6	4.11075
TPPP	0.4138
UNQ6190	-0.0295
GSTM5	1.049125
BTD	0.0938333333333333
PDCD1LG2	0.8785
SNRPB2	-0.988
ERICH1	-1.49025
APOA4	-1.685375
HOXA11	-0.8455
NARG1	-0.988875
MKX	0.6135
RAB28	0.136071428571429
PKP3	0.48375
SH3GL2	1.08575
CTSO	3.40275
RPN2	-0.580625
IL28RA	-0.342666666666667
SFMBT1	0.5675
WDR57	-1.07375
FER1L3	1.21116666666667
HSF5	0.0736666666666667
TTC9B	-0.368
C4BPA	-3.39933333333333
ALB	-5.35321428571429
SORBS3	0.878625
UPF2	0.297
JPH1	-0.3635
AGBL2	-1.63675
DOPEY1	1.5525
TERF1	-0.26875
KIF22	-0.595333333333333
NINJ1	0.39625
SEC61A2	-0.812
HIST1H1D	-1.893
SFXN4	-1.1705
UCP3	0.023
ZNF703	0.577666666666667
MYL6B	-0.46
TREM1	3.25875
OR52E6	0.6615
CKMT2	1.50825
HLA-C	1.663375
SLC13A3	-1.56416666666667
TIMP4	-2.185
SLIT2	1.44475
RSF1	0.814166666666666
LONRF1	-0.989285714285714
MON1A	0.788166666666667
CACNG6	1.10616666666667
DPPA4	-5.99833333333333
ZSWIM3	-0.02425
ZNF804A	0.5586
CCIN	2.06775
SLC25A31	0.965
KCNMB4	0.22725
RABL5	-0.498
GALNS	-0.5866
STX6	0.57325
HIST1H1C	-1.34316666666667
CIDEB	0.239625
CASP4	-0.423666666666667
PDK3	-0.6877
KCNJ11	0.1275
TPR	-0.333875
ZSCAN20	0.5835
MTX2	-0.67725
HIST1H2BH	-0.53825
LOC283767	0.142
LYRM7	-1.66277777777778
BRD3	0.477333333333333
HIST1H2BO	-0.1155
MAGEB10	0.2355
SLC45A1	1.6945
SERPINA3	1.53345
KIAA0143	1.47275
KCNJ16	0.265166666666667
KRT79	-0.112
FABP2	-1.04075
NUT	2.616
ZNF57	-0.6475
FBXL4	1.1545
CLEC9A	0.404
UGT8	-0.07
BMP2K	0.297
MAPK4	0.888
SLC25A23	-0.3153
HINT1	-1.2525
KRTAP13-1	0.3735
SFXN5	-0.4751
CHCHD2	-0.222833333333333
FAM3D	2.3525
NDP	-1.569125
RHOBTB1	0.394166666666667
SLC4A4	-1.120625
RPL38	0.36125
HTF9C	0.0545
AP2A2	0.250875
ZBTB46	0.291
MAP7D1	0.9795
AOX1	-1.54683333333333
CYR61	2.34091666666667
DTNA	0.290785714285714
JRKL	0.97625
TMOD3	0.72075
EEA1	0.1402
ADCK5	-0.3255
IL1R1	2.12666666666667
KLK3	0.590142857142857
HRSP12	-0.6245
KTN1	-0.23425
LOH11CR2A	1.4992
RELL2	-1.5165
MAB21L1	1.5695
C20orf59	-0.839333333333333
PHKB	-0.45025
ADAM2	-3.195
TBC1D8B	1.63316666666667
FAM13A1	-1.1765
LAPTM4B	-0.299166666666667
LCN8	0.1765
TMEM147	-0.0665
SYT4	0.456333333333333
XPO7	-0.1695
C9orf62	1.65475
GPR75	0.682
TRIM5	0.00675
APOC1	-0.908666666666667
RNASE4	0.455
PARD6B	-4.08525
ARID1A	0.265916666666667
TPD52L3	0.496222222222222
RRAGB	0.6695
RCN2	0.203166666666667
HIST2H2BE	-0.6886875
STARD7	-0.528
SHMT2	-0.87475
KIAA1751	-0.372333333333333
MLYCD	0.276625
LOC162632	-0.2387
UQCRH	-0.3
RP11-217H1.1	0.958875
SDHA	-0.2075
NCLN	-0.5874
ZNF17	0.630166666666667
RCBTB2	-1.4365
VEGFB	0.02
RP4-747L4.3	2.205
COLQ	-0.0551
MPN2	-0.910333333333333
DRG2	-0.37875
KLRB1	3.7165
ALPK2	-0.567
DNASE2B	0.5115
FLJ23834	-0.644
AXUD1	1.57166666666667
SAFB	-0.1213
NSUN4	0.466
RFX2	-0.135
MAPK8IP1	-0.704
FANCD2	0.429357142857143
ANKZF1	-1.685
C19orf50	-0.546875
DUSP8	0.609375
SENP5	-0.49825
NFKBIL2	-0.34575
LBR	-1.583625
IGFL1	3.8375
LZTS2	0.6395
IL2RG	-0.636625
CCDC51	0.38475
KLF3	1.272625
ANKRD37	-0.70625
KCTD14	1.25433333333333
FZR1	0.382916666666667
SLC44A4	-2.676
ESPL1	-0.52825
GMPR2	-0.8348
TBC1D19	0.0696666666666667
ERGIC1	-0.547074074074074
ERBB4	-1.6813
TSPAN32	0.0880833333333333
MAP4	0.6505
GPHN	-0.928
SLC6A2	3.459875
HIVEP1	1.13775
DFFB	-1.168
EIF4EBP2	0.661375
DMRT1	4.934
HSPB6	-0.2185
IER2	-0.1635
AIFM1	-1.0025
WWC2	0.422916666666667
MRPL4	-1.16925
FLJ21062	-0.628666666666667
EPB41L4A	-0.0721666666666666
SH2D6	0.078
TAF4B	-0.874
GAL3ST3	-0.369
MALT1	0.084
RTDR1	1.26225
ARVCF	0.3
MEX3B	1.8245
FBXO16	-0.69525
KIF7	0.71525
C1QC	3.695
ZNF783	-0.434166666666667
ZNF85	-0.3495
MMP13	6.125
KIAA0329	0.30975
RTP3	-0.346
ZBED3	-0.64275
CLGN	-4.63625
SLC25A37	-1.282375
hCG_18290	0.126
OR5AS1	0.0525
SMARCC2	0.382083333333333
FAM109A	0.358333333333333
CCDC12	-0.0625
USF2	0.4549
DEPDC7	-0.25875
C20orf24	-0.990666666666667
JMJD3	0.123
DSP	2.1485
SLIC1	0.57925
FAM20A	1.396875
IRF2BP2	1.939
ZNF230	-0.228
MSN	1.49807142857143
SLC9A5	-2.6765
EPDR1	-0.4102
MUSK	0.433666666666667
ZNF434	-0.875166666666667
SMARCD1	-0.626333333333333
ZFP106	-0.56975
ZNF347	0.9383
